,model,output,interpretable,attributable,cells,reasoning,id,set,language,lang
20,mt5_xxl,IPTp 3+ is highest in Mono (26%) and lowest in Alibori (7%).,1.0,1.0,14.0,1.0,OD78-en-29,dev,,en
9,reference,Individuals in that age group accounted for around 25 percent of the active hepatitis infections at the time of the 2008 EDHS.,1.0,0.0,,,FR313-en-3,test,,en
10,mt5_small,.,0.0,,,,FR313-en-3,test,,en
11,mt5_xxl,The percentage of men age 15-59 who tested positive for hepatitis C RNA increased from 7 percent in 2005 to 12 percent in 2008,1.0,0.0,,,FR313-en-3,test,,en
12,ssa_mt5,The percentage of the population age 15-59 tested positive for the hepatitis C RNA increased from 8% in 2005 to 5% in 2014.,1.0,0.0,,,FR313-en-3,test,,en
11,reference,"The under-5 mortality rate is 2.5 times higher among children in the lowest two wealth quintiles than among children in the highest quintile (102 and 103 deaths per 1,000 live births in the first two quintiles versus 39 in the highest quintile).",1.0,1.0,7.0,1.0,SR238-en-13,dev,,en
12,mt5_xxl,"Under-5 mortality is highest in the poorest households (10 deaths per 1,000 live births) and lowest in the wealthiest households (39 deaths per 1,000 live births).",1.0,0.0,,,SR238-en-13,dev,,en
13,ssa_mt5,"Under-5 mortality is highest in the poorest households, while the wealthiest households are lowest in the wealthiest households.",0.0,,,,SR238-en-13,dev,,en
14,mt5_small,"Overall, the under-5 mortality rate is highest in the poorest households, while the wealthiest households are much more likely to have a wealthiest households than in the wealthiest households.",0.0,,,,SR238-en-13,dev,,en
11,ssa_mt5,"The majority of ITNs in Nigerian households received a skilled provider, while the majority of ITNs in Nigerian households received a skilled provider.",0.0,,,,MIS31-en-12,test,,en
12,mt5_xxl,"The majority of ITNs in Tanzania come from mass distribution campaigns (62% in the five years preceding the survey), followed by individual pharmacies (15% in the five years preceding the survey), and shehia coupons (10%).",1.0,0.0,,,MIS31-en-12,test,,en
13,reference,Only 1% of ITNs were obtained during immunisation visits.,1.0,1.0,2.0,1.0,MIS31-en-12,test,,en
14,mt5_small,"Although just over half of the household population, 56% of the population were given foods from a low of ITNs, 60% were given foods from a low of ITNs.",0.0,,,,MIS31-en-12,test,,en
9,mt5_xxl,"However, only 56% of households have enough ITNs to cover each household member.",1.0,1.0,2.0,0.0,MF8-en-3,dev,,en
10,mt5_small,"However, only 56% of the population slept under an ITN, but 68% slept under an ITN, but 68% slept under an ITN.",0.0,,,,MF8-en-3,dev,,en
11,reference,"Overall, 68% of the household population slept under an ITN the night before the survey.",1.0,0.0,,,MF8-en-3,dev,,en
12,ssa_mt5,"The majority of households and 75% of households have enough ITNs to cover each household member, assuming one ITN is used by two people.",0.0,,,,MF8-en-3,dev,,en
11,mt5_xxl,The percentage of women who want to continue the practice decreased from 82 percent in 1995 to 58 percent in 2014.,1.0,1.0,5.0,1.0,FR302-FR306-en-21,dev,,en
12,ssa_mt5,"The proportion of women who had a fever has declined, from 79% of women to 51% of women.",1.0,0.0,,,FR302-FR306-en-21,dev,,en
13,reference,"Also women were much less likely to believe that men want the practice to continue in 2014 than in 2000 (50 percent and 61 percent, respectively).",1.0,1.0,5.0,1.0,FR302-FR306-en-21,dev,,en
14,mt5_small,Since 2008.,0.0,,,,FR302-FR306-en-21,dev,,en
8,reference,Use of ITNs by pregnant women age 15-49 varies little by residence (81% in urban areas versus 79% in rural areas).,1.0,0.0,,,OD78-en-19,dev,,en
9,ssa_mt5,The percentage of pregnant women age 15-49 who slept under an ITN the night before the survey increased from 25% in 2006 to 75% in 2011-2012 to 79% in 2017-2018.,1.0,0.0,,,OD78-en-19,dev,,en
10,mt5_xxl,The percentage of pregnant women who slept under an ITN the night before the survey in urban areas increased from 25% in 2006 to 72% in 2011-2012 to 81% in 2017-2018.,1.0,1.0,7.0,1.0,OD78-en-19,dev,,en
11,mt5_small,"Similarly, 81% of pregnant women slept under an ITN the night before the survey.",1.0,0.0,,,OD78-en-19,dev,,en
12,reference,the percentage of children age 12-23 months receiving all basic vacations increased substantially between 1990 and 2007 (from only 15% to 87%).,1.0,1.0,5.0,1.0,FR346-en-52,test,,en
13,mt5_small,"According to the 2007 JPFHS, the proportion of children age 12-23 months who have received all basic vaccinations during the first year before the survey were higher than the proportion of children age 12-23 months who have received all basic vaccinations, from 17% to 86%.",1.0,0.0,,,FR346-en-52,test,,en
14,ssa_mt5,The percentage of children age 12-23 months who received all basic vaccinations increased from 8% in 1990 to 86% in 2017-18,1.0,0.0,,,FR346-en-52,test,,en
15,mt5_xxl,The proportion of children age 12-23 months who received all basic vaccinations increased from 15% in 1990 to 87% in 2007 and 93% in 2012 to 86% in 2017-18,1.0,1.0,9.0,1.0,FR346-en-52,test,,en
9,reference,the percentage of children age 12-23 months who are fully vaccinated according to past KDHS surveys in Kenya.,0.0,,,,FR229-en-20,dev,,en
10,mt5_xxl,The proportion of children age 12-23 months who had received all vaccines required for the Expanded Program of immunization (EPI) in 2008 is 77%.,1.0,0.0,,,FR229-en-20,dev,,en
11,mt5_small,"Although there are variations in childhood vaccination coverage among children age 12-23 months overall are fully vaccinated, the proportion of children age 12-23 months who had fully vaccinated has increased since 1997.",0.0,,,,FR229-en-20,dev,,en
12,ssa_mt5,The proportion of children age 12-23 months who had received all vaccines increased from 79% in 2007 to 72% in 2003.,1.0,0.0,,,FR229-en-20,dev,,en
9,mt5_small,"Overall, 39% of households have access to an improved source for drinking water, compared to 42% of urban households.",1.0,0.0,,,FR346-en-1,test,,en
10,reference,"The most common source of drinking water among both urban and rural households is water piped into their housing unit/yard/plot, followed by bottled water",1.0,1.0,7.0,1.0,FR346-en-1,test,,en
11,ssa_mt5,The most common source of drinking water is higher in rural areas (52%) than in urban areas (41%).,0.0,,,,FR346-en-1,test,,en
12,mt5_xxl,"The most common source of improved drinking water is piped water into a housing unit/yard plot (59% in urban areas and 49% in rural areas), followed by bottled water and improved sources for cooking and hand washing (37% in urban and 42% in rural areas).",1.0,1.0,12.0,1.0,FR346-en-1,test,,en
23,mt5_xxl,The total fertility rate is higher in rural areas (5.2 children per woman) than in urban areas (2.9 children per woman).,1.0,1.0,4.0,1.0,FR229-en-7,dev,,en
24,mt5_small,TFR fertility rate is highest in the East (3.6 children per woman) and lowest in the West (1.9 children per woman).,1.0,0.0,,,FR229-en-7,dev,,en
25,ssa_mt5,Fertility rate is highest in rural areas.,1.0,1.0,4.0,1.0,FR229-en-7,dev,,en
26,reference,"Fertility in Western (5.6), Nyanza (5.4), Coast (4.8), and Rift Valley (4.7) provinces is slightly above the national average.",1.0,0.0,,,FR229-en-7,dev,,en
12,mt5_small,"According to the three-quarters of children age 12-23 months, the proportion of children who received all basic vaccinations among children age 12-23 months who received all basic vaccinations, while the proportion of children who received all basic vaccinations among children who received all basic vaccinations.",0.0,,,,FR293-en-21,test,,en
13,mt5_xxl,The proportion of men age 15-49 who had two or more sexual partners in the past 12 months is more than five times higher than the proportion of women (21% versus 4%).,1.0,0.0,,,FR293-en-21,test,,en
14,reference,The proportion of children who received none of the six basic vaccinations declined marginally by 6 percentage points from the 2003 level,1.0,1.0,5.0,1.0,FR293-en-21,test,,en
15,ssa_mt5,The proportion of children age 12-23 months who had received all basic vaccinations (Figure 4.1).,0.0,,,,FR293-en-21,test,,en
16,mt5_small,Current empowerment is highest in Nigeria (10%) and lowest in Malawi (38%).,1.0,0.0,,,AS77-en-1,test,,en
17,mt5_xxl,"Overall, the proportion of young women in the highest tercile is lowest in Mali and Senegal, where just 13% of young women in the highest tercile are empowered.",1.0,0.0,,,AS77-en-1,test,,en
18,reference,"In contrast, 8 in 10 young women (81%) in the Philippines are highly empowered.",1.0,1.0,3.0,0.0,AS77-en-1,test,,en
19,ssa_mt5,Current contraceptive use ranges from a low of 81% in Nepal to a high of 81% in Mali to a low of 60% in Nepal.,0.0,,,,AS77-en-1,test,,en
13,reference,"One in 10 women were employed in sales and services. Smaller percentages were engaged in clerical (6%), skilled manual (4%), unskilled manual (1%), and agricultural (1%) occupations",1.0,1.0,11.0,1.0,FR346-en-12,test,,en
14,mt5_small,"Overall, 26% of ever-married women and 28% of men age 15-49 employed in the 12 months before the survey.",1.0,0.0,,,FR346-en-12,test,,en
15,mt5_xxl,The differences between men and women in employment are very similar.,0.0,,,,FR346-en-12,test,,en
16,ssa_mt5,The percentage of women with a skilled provider has increased from 26% in the 12 months before the survey.,1.0,0.0,,,FR346-en-12,test,,en
20,mt5_small,Both the wanted TFR and the highest level of education rates were higher in rural areas than in urban areas.,1.0,0.0,,,SR15-en-8,dev,,en
21,mt5_xxl,"The difference between the total fertility rate and the wanted fertility rate is highest in Southeast Anatolia, where women have an average of 2.1 children.",1.0,0.0,,,SR15-en-8,dev,,en
22,ssa_mt5,The total demand for spacing a higher education in Turkey were using a family planning method.,0.0,,,,SR15-en-8,dev,,en
23,reference,Unmet need by region varies from 3 percent of women in the West to 15 percent of women in the East.,1.0,0.0,,,SR15-en-8,dev,,en
11,reference,Advice or treatment seeking for children with fever was highest in the highland epidemic area (82 percent) and lowest in the lake endemic zone (65 percent).,1.0,1.0,8.0,1.0,MIS22-en-10,dev,,en
12,mt5_small,"Overall, 71% of children under age 15-49 had blood test, while 24% had blood test, and 55% had blood test.",0.0,,,,MIS22-en-10,dev,,en
13,ssa_mt5,"The lake endemic zone showed that 56 percent of children under five are treated with antimalarials, while 39 percent of children under five are treated with antimalarials.",0.0,,,,MIS22-en-10,dev,,en
14,mt5_xxl,"The results show that more than one-third of children with fever in the Highland epidemic zone received antimalarial treatment, and less than one-third of children in the lake endemic zone received ACT treatment.",1.0,0.0,,,MIS22-en-10,dev,,en
10,mt5_xxl,"Overall, 85% of women in Tanzania receive antenatal care, 76% receive normal delivery, and 4% receive a caesarean section.",1.0,0.0,,,SPA22-en-20,test,,en
11,reference,This level is similar to the 74 percent of facilities providing normal delivery services in the 2006 TSPA.,1.0,0.0,,,SPA22-en-20,test,,en
12,ssa_mt5,The percentage of women receiving all health services are given less than half of the assessment visit.,0.0,,,,SPA22-en-20,test,,en
13,mt5_small,While a majority of births take place in the highest proportion of births in the five years preceding the survey.,0.0,,,,SPA22-en-20,test,,en
16,mt5_small,"Overall, the proportion of children age 12-23 months who had all vaccinations were vaccinated at all age before the survey.",0.0,,,,FR293-en-20,test,,en
17,reference,This is the youngest cohort of children who have reached the age by which they should be fully vaccinated.,1.0,0.0,,,FR293-en-20,test,,en
18,ssa_mt5,"The proportion of children age 12-23 months who had received fever against tuberculosis (BCG), the proportion of children age 12-23 months who had received fever against measles (BCG), the proportion were vaccinated against measles (BCG), the proportion were vaccinated against measles (BCG), the proportion were vaccinated against measles (BCG), the proportion were vaccinated against measles (BCG), the proportion were vaccinated against measles (BCG), the proportion were vaccinated against measles (BCG), the proportion were vaccinated against measles (BCG), the proportion were vaccinated against measles (BCG), the proportion were vaccinated against measles (BCG), the proportion were vaccinated against measles (BCG), the proportion were vaccinated against measles (BCG), the proportion were vaccinated against measles (BCG), the proportion were vaccinated against measles (BCG), the proportion were vaccinated against measles (BCG), the proportion were vaccinated against measles (BCG), the proportion were vaccinated against measles (BCG), the proportion were vaccinated against measles (BCG), the proportion were vaccinated against measles (BCG), the proportion were vaccinated against measles (BCG), the proportion were vaccinated against measles (BCG), the proportion were vaccinated against measles (BCG), the proportion were vaccinated against measles (BCG), the proportion were vaccinated against measles (BCG), the proportion were vaccin",0.0,,,,FR293-en-20,test,,en
19,mt5_xxl,The proportion of children age 12-23 months who had received all basic vaccinations was 25%.,1.0,1.0,2.0,0.0,FR293-en-20,test,,en
9,ssa_mt5,The percentage of women with a secondary education is highest among men than those with a higher education (45%) than among men with a higher education (65%),0.0,,,,SR238-en-2,test,,en
10,mt5_small,Though a higher education is higher than those with no education (53 percent) than those with no education (15 percent) than those with no education (15 percent).,0.0,,,,SR238-en-2,test,,en
11,reference,"Six in 10 women are literate, compared to 84% of men.",1.0,0.0,,,SR238-en-2,test,,en
12,mt5_xxl,The majority of men and women age 15-24 have a secondary education or higher; 43% of women and 8% of men have no education.,1.0,0.0,,,SR238-en-2,test,,en
15,mt5_small,.,0.0,,,,SR280-en-3,dev,,en
16,ssa_mt5,Fertility levels are higher in rural areas than in urban areas.,1.0,1.0,5.0,1.0,SR280-en-3,dev,,en
17,mt5_xxl,"The results show that women in rural areas are more likely to have more children than women in urban areas (4.8 and 3.2 children, respectively).",1.0,0.0,,,SR280-en-3,dev,,en
18,reference,Tanzanian women generally want smaller families than they have.,1.0,0.0,,,SR280-en-3,dev,,en
16,reference,"The most common form of spousal physical or sexual violence reported by ever-married women is being slapped (31 percent) followed by being pushed, shaken, or having something thrown at them.",1.0,1.0,13.0,1.0,FR308-en-25,dev,,en
17,mt5_xxl,"The most commonly reported spousal physical acts reported by ever-married women were to be beaten up, kicked, dragged, or beaten up by their husbands or partners, and to be forced to have sex with them when they did not want to.",1.0,0.0,,,FR308-en-25,dev,,en
18,ssa_mt5,The percentage of women who reported that they had been forced to have sex with their fist or with a violent method.,0.0,,,,FR308-en-25,dev,,en
19,mt5_small,"Overall, 19% of ever-married women said that they did not want to have sex against their will, and 13% of women said that they did not want to have sex against their will.",0.0,,,,FR308-en-25,dev,,en
8,ssa_mt5,"Women who are divorced, separated, or widowed women are divorced, separated, or widowed women.",0.0,,,,FR229-en-4,dev,,en
9,mt5_small,"Currently, 85% of women were employed but 11% were employed but 43% were employed but 43% were employed but 43% were employed but 43% were not currently employed but 43% were not currently employed but 43% were not currently employed but 43% were not currently employed but 43% were not currently employed but 43% were not currently employed but 43% were not currently employed but 43% were not currently employed but 43% were not currently employed but 43% were not currently employed but 43% were not currently employed but 43% were not currently employed but 43% were currently employed but 43% were currently employed but 43% were currently employed but 43% were currently employed but 43% were currently employed but 43% were currently employed but 43% were currently employed but 43% were currently employed but 43% were currently employed but 43% were currently employed but 43% were currently employed but 43% were currently employed but 43% were currently employed but 43% were currently employed but 43% were currently employed but 43% were currently employed but 43% were currently employed but 43% were currently employed but 43% were currently employed but 43% were currently employed but 43% were currently employed but 43% were currently employed but 43% were currently employed but 43% were currently employed but 43% were currently employed but 43% were currently employed",0.0,,,,FR229-en-4,dev,,en
10,mt5_xxl,"Women who are currently employed are more likely to be employed in the future than those who were not currently employed in the past 12 months (87 percent and 2 percent, respectively).",1.0,0.0,,,FR229-en-4,dev,,en
11,reference,"The data on men show little variation with age over age 25 or by type of place of residence, education level, or wealth status.",0.0,,,,FR229-en-4,dev,,en
16,mt5_small,"Oral rehydration salts are given for testing, intake of fluids were given for testing.",0.0,,,,FR359-en-59,dev,,en
17,reference,"One in three children (31%) with diarrhoea were given zinc, and 23% received a combination of ORS and zinc.",1.0,1.0,4.0,0.0,FR359-en-59,dev,,en
18,ssa_mt5,The recommended home fluid among children under age 5 with diarrhoea is highest in the 2 weeks before the survey.,0.0,,,,FR359-en-59,dev,,en
19,mt5_xxl,The majority of children under age 5 with diarrhoea (65%) were taken to a health provider for advice or treatment.,1.0,1.0,2.0,0.0,FR359-en-59,dev,,en
13,mt5_xxl,"Although the majority of facilities had trained staff, only a few had the capacity to provide quality services.",1.0,0.0,,,SPA22-en-24,dev,,en
14,reference,Thirty-one percent of government facilities and 33 percent of faith-based facilities offer ART services.,1.0,0.0,,,SPA22-en-24,dev,,en
15,mt5_small,"Regarding equipment used by the availability of service site on the day of the survey, the majority of facilities had a higher proportion of facilities had a higher proportion of facilities had a higher proportion of facilities had a higher proportion of facilities had a higher proportion of facilities had a higher proportion of facilities had a higher proportion of facilities had a higher proportion of facilities had a higher proportion of facilities had a higher proportion of facilities had a higher proportion of facilities had a higher proportion of facilities had a higher proportion of facilities had a higher proportion of facilities had a higher proportion of facilities had a higher proportion of facilities had a higher proportion of facilities had a higher proportion of facilities had a higher proportion of facilities had a higher proportion of facilities had a higher proportion of facilities had a higher proportion of facilities had a higher proportion of facilities had a higher proportion of facilities had a higher proportion of facilities had a higher proportion of facilities had a higher proportion of facilities had a higher proportion of facilities had a higher proportion of facilities had a higher proportion of facilities had a higher proportion of facilities had a higher proportion of facilities had a higher proportion of facilities had a higher proportion of facilities had a higher proportion of facilities had a higher proportion of facilities had a higher proportion of facilities had a higher proportion of facilities had a higher proportion of facilities had a higher proportion of facilities had a higher proportion",0.0,,,,SPA22-en-24,dev,,en
16,ssa_mt5,"The percentage of women receiving all of the selected sources of routine screening procedures during antenatal care visits, trained staff, equipment, and medicines.",0.0,,,,SPA22-en-24,dev,,en
12,mt5_small,"Currently, the under-five mortality rate has decreased since 2003.",1.0,0.0,,,SR223-en-7,dev,,en
13,mt5_xxl,"The under-five mortality rate has decreased significantly since 2008, from 27 deaths per 1,000 live births.",1.0,0.0,,,SR223-en-7,dev,,en
14,reference,Childhood mortality continues to decline in Egypt.,1.0,0.0,,,SR223-en-7,dev,,en
15,ssa_mt5,"Under-five mortality has increased since 2008, from a percentage of children under-five mortality has declined over the past decade in the 2008 Egypt.",0.0,,,,SR223-en-7,dev,,en
15,mt5_small,"However, the majority of women age 30-49 have a typical of births and the lowest percentage of women who have a twice as high as a typical of births.",0.0,,,,AS75-en-7,test,,en
16,reference,The largest single trajectory is one from typically timed first sex (50% of all men) through typically timed first marriage (21%) to typically timed birth of first child (15%).,1.0,0.0,,,AS75-en-7,test,,en
17,ssa_mt5,The percentage of women age 30-49 who are visited to a skilled provider for their first sexual debut.,0.0,,,,AS75-en-7,test,,en
18,mt5_xxl,The results show that the earlier start of family formation is very similar to the typical pattern.,0.0,,,,AS75-en-7,test,,en
14,ssa_mt5,The most common form of spousal violence reported by their current or the past 12 months reported that they had been experienced spousal violence reported by their last 12 months.,0.0,,,,FR346-en-73,test,,en
15,reference,"Women experiencing spousal physical violence most often reported that their husband pushed them, shook them, or threw something at them (12%); 11% of women reported that their husband slapped them.",1.0,1.0,11.0,1.0,FR346-en-73,test,,en
16,mt5_xxl,"The most common form of spousal physical violence reported by ever-married women is slapping (11%), followed by kicking, dragging, or beating up (3%), and being pushed, shaken, or having something thrown at them (9%).",1.0,0.0,,,FR346-en-73,test,,en
17,mt5_small,"Overall, slapping was the most commonly reported act, experienced by pushing, shaking, or throwing something at them, shaking, or throwing something at them.",0.0,,,,FR346-en-73,test,,en
9,mt5_xxl,The availability of TB services is very similar in Tanzania 2014-15.,1.0,0.0,,,SPA22-en-31,test,,en
10,ssa_mt5,"The proportion of Tanzanian women receiving all of Tanzania health facilities has increased since 2006, from 27% to 21%.",0.0,,,,SPA22-en-31,test,,en
11,mt5_small,"Since 2006, however, only one-third of Tanzanian women had a vaginal during the period.",1.0,0.0,,,SPA22-en-31,test,,en
12,reference,"In all cases, hospitals and health centres were more likely to have guidelines than other types of facilities.",1.0,0.0,,,SPA22-en-31,test,,en
9,mt5_small,.,0.0,,,,SR238-en-14,dev,,en
10,reference,Under-5 mortality decreases as the interval between births increases.,1.0,1.0,8.0,1.0,SR238-en-14,dev,,en
11,ssa_mt5,Under-5 mortality rate is highest among children born less than two years after a previous birth.,1.0,1.0,5.0,1.0,SR238-en-14,dev,,en
12,mt5_xxl,"Under-5 mortality is highest for children born less than two years after a previous birth (139 deaths per 1,000 live births) and lowest for children born four years after a previous birth (42 deaths per 1,000 live births).",1.0,1.0,6.0,1.0,SR238-en-14,dev,,en
9,mt5_small,Demand satisfied by modern methods is highest in rural areas (52%) and lowest in rural areas (46%).,1.0,0.0,,,SR238-en-10,test,,en
10,mt5_xxl,"Overall, Angola has a higher demand for family planning than the rest of the countries.",1.0,0.0,,,SR238-en-10,test,,en
11,reference,Unmet need for family planning is defined as the proportion of married women who want to delay or stop childbearing but are not using family planning.,1.0,0.0,,,SR238-en-10,test,,en
12,ssa_mt5,"The demand for family planning and demand for family planning is satisfied by modern methods, from 52% in Zanzibar to 55% in Zanzibar.",0.0,,,,SR238-en-10,test,,en
12,reference,Women are most likely to agree that wife beating is justified if a wife goes out without telling her husband (25%) and neglects the children (25%).,1.0,1.0,8.0,1.0,DM52-en-10,test,,en
13,mt5_xxl,"Women are more likely to believe that a husband is justified in beating his wife for any reason, such as arguing with his wife, neglecting children, and refusing to have sex with him.",1.0,0.0,,,DM52-en-10,test,,en
14,ssa_mt5,The percentage of women who believe that wife beating is justified in beating his wife for the past 12 years is justified in beating his wife for the past 12 years.,0.0,,,,DM52-en-10,test,,en
15,mt5_small,"Overall, 19% of women agree that wife beating is justified if a wife argues with her husband for the following reasons:",1.0,0.0,,,DM52-en-10,test,,en
8,ssa_mt5,The proportion of women who had a live birth in the five years preceding the survey were a vaginal delivery after a vaginal delivery.,0.0,,,,FR302-FR306-en-13,dev,,en
9,mt5_xxl,The proportion of women receiving antenatal care has increased significantly from 74% in 2008 to 90% in 2014.,1.0,1.0,5.0,1.0,FR302-FR306-en-13,dev,,en
10,mt5_small,Caesarean deliveries are almost universally available health indicators for the most recent survey.,0.0,,,,FR302-FR306-en-13,dev,,en
11,reference,"Seventy-six percent of mothers received at least one tetanus toxoid injection during Maternal Health • 121 pregnancy for the last live birth in 2014; however, this represented a small decline from the level in 2008 (80 percent).",0.0,,,,FR302-FR306-en-13,dev,,en
9,mt5_small,"Overall, 83% of children age 6-59 months with anemia are almost universal among children age 6-59 months.",0.0,,,,SR238-en-19,dev,,en
10,ssa_mt5,The prevalence of anemia generally increases with increasing mothers from 26% in children age 6-59 months to 34% in children age 6-59 months.,0.0,,,,SR238-en-19,dev,,en
11,reference,The 2015-16 IIMS also tested children age 6-59 months for anemia.,1.0,0.0,,,SR238-en-19,dev,,en
12,mt5_xxl,The prevalence of anemia among children is 65%.,1.0,1.0,2.0,0.0,SR238-en-19,dev,,en
9,mt5_xxl,The percentage of overweight or obese among women has increased significantly from 68 percent in 2008 to 76 percent in 2015.,1.0,1.0,5.0,1.0,FR313-en-4,dev,,en
10,reference,"Among women age 15-59, the proportion overweight and obese increased from 68 percent in 2008 to 76 percent in 2015.",1.0,1.0,5.0,1.0,FR313-en-4,dev,,en
11,ssa_mt5,The percentage overweight or obese has increased from 53% in 2008 to 83% in 2014.,1.0,0.0,,,FR313-en-4,dev,,en
12,mt5_small,"Since 2008-09, the percentage of overweight or obese among women and men age 15-59 who had a normal increase from 28% in the 2008 EIDHS to 69% in the 2018 EIDHS.",0.0,,,,FR313-en-4,dev,,en
11,ssa_mt5,.,0.0,,,,SR15-en-9,dev,,en
12,reference,The pattern where neonatal mortality rates exceed post-neonatal mortality rates is continuing.,1.0,1.0,11.0,1.0,SR15-en-9,dev,,en
13,mt5_small,"Similarly, the infant mortality rate is highest in Nigeria (10 deaths per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000 live births per 1,000",0.0,,,,SR15-en-9,dev,,en
14,mt5_xxl,"The infant mortality rate has decreased significantly over the past 15 years in Tanzania, from 53 per 1,000 live births in 1993 to 29 per 1,000 live births in 2003.",1.0,0.0,,,SR15-en-9,dev,,en
9,ssa_mt5,"Although diabetes services can be provided in the skilled provider, a sharp decline in the majority of facilities, a sharp decline in the availability of staff with a waste receptacle.",0.0,,,,SPA22-en-32,dev,,en
10,mt5_small,"Gloves and a sharp sharp sharp sharps of ten health facilities had latex gloves available at the ANC service site, and a waste receptacle had a waste receptacle.",0.0,,,,SPA22-en-32,dev,,en
11,mt5_xxl,Gloves and a waste receptacle were found in 78 percent of facilities with a TB service.,1.0,0.0,,,SPA22-en-32,dev,,en
12,reference,"About six of every ten had hand-washing supplies, specifically soap and running water or alcohol-based hand disinfectant.",1.0,1.0,2.0,0.0,SPA22-en-32,dev,,en
8,reference,Sixteen percent of children age 12-23 months have received no vaccinations.,1.0,0.0,,,SR220-en-10,dev,,en
9,ssa_mt5,The percentage of children age 12-23 months who have received all basic vaccinations increased from only 15 percent in 1997 to 15 percent in 2013.,0.0,,,,SR220-en-10,dev,,en
10,mt5_small,"However, the percentage of children age 12-23 months who have no vaccinations has increased markedly since 1997.",1.0,1.0,5.0,1.0,SR220-en-10,dev,,en
11,mt5_xxl,The proportion of children age 12-23 months who received all basic vaccinations increased from 28% in 1997 to 43% in 2013.,1.0,1.0,5.0,1.0,SR220-en-10,dev,,en
9,ssa_mt5,The data show that over half of children under age 5 sleep under an ITN the night before the survey.,1.0,0.0,,,FR308-en-21,dev,,en
10,reference,"The proportion of children under age 5 who slept under an ITN increased from 5 percent to 54 percent, and the percentage of pregnant women age 15-49 who slept under an ITN increased from 4 percent to 51 percent.",1.0,0.0,,,FR308-en-21,dev,,en
11,mt5_small,"Similarly, the percentage of children under age 5 who slept under an ITN the night before the survey increased from 16% in 2003 to 72% in 2014.",1.0,0.0,,,FR308-en-21,dev,,en
12,mt5_xxl,The percentage of households with at least one ITN increased from 6 percent in 2003 to 59 percent in 2014.,1.0,1.0,5.0,1.0,FR308-en-21,dev,,en
13,mt5_xxl,"The infant mortality rate has decreased from 34 deaths per 1,000 live births in 1990 to 17 deaths per 1,000 live births in 2017-18, while the under-5 mortality rate has decreased from 39 deaths per 1,000 live births in 1990 to 19 deaths per 1,000 live births in 2017-18.",1.0,1.0,8.0,1.0,FR346-en-39,test,,en
14,ssa_mt5,"The infant mortality rate has increased over the last 20 years, from only 5% of infant mortality rate in 1990 to 32% of infant mortality in 2017-18",1.0,0.0,,,FR346-en-39,test,,en
15,reference,"Under-5 mortality declined by half over the period, from 39 to 19 deaths per 1,000 live births.",1.0,1.0,5.0,1.0,FR346-en-39,test,,en
16,mt5_small,Early childhood mortality rate among children under five mortality is higher in Jordan than in Jordan.,0.0,,,,FR346-en-39,test,,en
9,ssa_mt5,The most common improved source of drinking water is most common in rural areas (51%) and lowest in urban areas (41%).,0.0,,,,SR261-en-1,test,,en
10,mt5_xxl,The percentage of households with access to an improved source of drinking water is higher in urban areas (95%) than in rural areas (62%).,1.0,1.0,5.0,1.0,SR261-en-1,test,,en
11,mt5_small,"Overall, 48% of households have access to an improved water source, compared to 48% of households with access to an improved water source.",0.0,,,,SR261-en-1,test,,en
12,reference,"Nearly 7 in 10 households have access to an improved source of drinking water (95% of urban households, compared to 62% of rural households).",1.0,1.0,7.0,1.0,SR261-en-1,test,,en
12,mt5_small,"However, more than half of women and 22% of men have no education.",1.0,0.0,,,SR196-en-2,test,,en
13,reference,Eighteen percent of women age 15-49 and 9% of men age 15-49 have had no education.,1.0,1.0,5.0,0.0,SR196-en-2,test,,en
14,mt5_xxl,"The highest level of education among men is secondary education (21% and 17%, respectively).",1.0,0.0,,,SR196-en-2,test,,en
15,ssa_mt5,The percentage of women and men who have completed primary education increased from 12% in the lowest level of education.,0.0,,,,SR196-en-2,test,,en
11,reference,"Provincially, fertility varies from 4.5 children per woman in Luanda to 8.6 in Bié.",1.0,0.0,,,SR238-en-4,dev,,en
12,mt5_small,"Currently, women in the poorest households have an average of 7.5 children, compared to 4.6 children in the wealthiest households.",1.0,0.0,,,SR238-en-4,dev,,en
13,ssa_mt5,"Fertility is highest in the poorest households, from 5.6 children per woman in the poorest households.",0.0,,,,SR238-en-4,dev,,en
