abandoned	siyiwa
rug	rhaga
ruin	onhile
rule	nawu
ruler	rhula
rules	milawu
running	tsutsuma
run	tsutsuma
rural	tikoxikaya
rush	hatlisa
sack	saka
sacred	kwetsima
sacrifice	gandzelo
safe flight	hlayiseka eka rendzo ra xihahampfhuka
safe	hlayiseka
safety	vuhlayiseki
sage	ntlharhi
said	vurile
sailing	famba hi xikepe
sail	tluta
sake	vunene
salary	muholo
sale	mbhukuto
salmon	hlampfi ya salmon
salt	munyu
same	fana
Same here	Swa fana na laha
sample	sampulu
sand	sava
Sanskrit	Sanskrit
sarcastic	vungunya
sassy	saseka
satisfaction	eneriseka
satisfied	eneriseka
satisfy	enerisa
satisfying	eneriseka
sat	tshamile
Saturday	Muqibela
sausage	soseji
savage	vuharhi
save	hlayisa
saw	vonile
say	vula
scale	xikalu
scam	vuxisi
scarce	kayivela
scared	chuha
scarf	xikhafu
scar	xivati
scary	chavisa
scattered	hangalaka
scene	ndhawu
scenery	mbono
scent	risuna
schedule	xedulu
school	xikolo
science	sayense
scientist	mutivi wa sayense
scientists	vativi va sayense
scissors	swikero
scold	chovola
scope	xikopu
score	nkutlunyo
scrap	khwaya
scratch	nwaya
scream	cema
screen	xikirini
screw	xikurufu
script	xitsalwana
seal	siva
sea	lwandle
search	secha
season	nguva
seat	xitulu
second	sekondi
secret	xihundla
section	xiyenge
secure	hlayisa
security	vuhlayiseki
seed	mbewu
seek	lava
seem	languteka
seems	swi tikomba
seen	vonile
see	vona
see you later	ndzi ta ku vona hi ku famba ka nkarhi
see you	ndzi ta ku vona
see you soon	ndzi ta ku vona ku nga ri khale
see you tomorrow	ndzi ta ku vona mundzuku
seize	tekeriwa nhundzu
seizure	tekeriwa
seldom	a swi talangi
select	hlawula
self healing	ku titshungula
selfish	vutianakanyi
self	wena n'wini
sell	xavisa
send me your picture	ndzi rhumele xifaniso xa wena
send	rhumela
senior	lonkulu
sense	maimba yo twisisa
sensible	mbilu yo olova
sensitive	twela
sentences	swivulwa
sentence	xivulwa
sent	rhumerile
separate	hambanisa
Sepedi	Sepedi
september	Ndzati
sequence	xaxamela
series	landzana
seriously	hakunene
serious	tiyimisela
serve	tirhela
service	vukorhokeri
session	nhlengeletano
setting	lulamisa
settle	tshamiseka
set up	ku lulamisa
set	vekela
seven	nkombo
seventeen	khumenkombo
seventy	makumenkombo
several	swo tala
severe	hi matimba
sew	rhungha
shade	ndzhuti
shadow	ndzhuti
shake	dzinginisa
shallow	entangi
shall	ta
shame	mbuyangwana
shape	xivumbeko
share	avelana
sharp	kariha
shed	dzuvula
sheep	nyimpfu
sheet	lakana
she has	u na
she is	hi yena
shelf	shelufu
shell	xiphambati
shelter	vutumbelo
she	yena
shield	xitlhangu
shift	cinca
shine	vangama
shipping	tleketla hi xikepe
ship	xikepe
shirt	hembhe
shoes	tintanghu
shoot	duvula
shopping	ku xava
shop	vhengele
shore	ribuwa
shortage	nkayivelo
short	koma
shot	baleserile
shoulder	katla
should	fanele
shout	huwelela
shower	xawara
show	kombisa
show me	ndzi kombi
shrimp	nkokotso
shrink	kokotsana
sh	sh
shut	pfala
shut up	miyela
shy	nyuma
sibling	makwerhu
siblings	vamakwavo
sick	vabya
side	tlhelo
sigh	hefemulela
sightseeing	valanga
sight	vona
signature	nsayino
significant	xa nkoka
sign	mfungho
silence	miyela
silent	miyela
silk	siliki
silly	vuphunta
silver	silivhere
similar	fana
simple	olova
simp	xiphunta
simultaneously	xikan'we
since	ku sukela
sincerely	titsongahata
sincere	titsongahata
singer	xiyimbeleri
single	xin'we
sing	yimbelela
sink	dzika
Sir	Nkulukumba
sister in law	sivara wa xisati
sister	sesi
site	ndhawu
sit	tshama
situation	xiyimo
sixteen	khumetsevu
six	tsevu
sixty	makumetsevu
size	sayizi
skills	swikili
skill	xikili
skin	nhlonghe
skinny	ondzile
skip	tlula
skirt	xiketi
sky	tilo
slave	hlonga
sleep	etlela
sleeping	etlela
sleepy	vurhongo
sleeve	xiphutseri xa voko
slice	xilayi
slide	rheta
slightly	switsongo
slim	ondza
slip	rheta
slope	xiganga
slot	xivandla
slowly	nonoka
slow	nonoka
small	xitsongo
smart	ntlharhi
smell	risema
smile	n'wayitela
smoke	dzaha
smooth	rheta
snack	xinambunambu
snail	humba
snake	nyoka
snap	tshoveka
snow	gamboko
soak	tsakamisa
soap	xisibi
sober	xalamukile
soccer	ntlangu wa milenge
social	vaaki
society	vaaki
socks	masokisi
so cute	swi sasekile
so far	ku fika kwala
soft	olova
software	software
soil	misava
so	kutani
soldier	socha
sold out	xavisiwe hinkwaswo
sold	xavisile
sole	wexe
solid	tiyile
solution	xitshunxo
solve	ololoxa
somebody	un'wana
somehow	ndlela yin'wana
someone	un'wana
something	xin'wana
sometimes	nkarhi wun'wana
some	xin'wana
song	risimu
soon	sweswi
sophisticated	xiyimo xa le henhla
Sorani	Sorani
sore throat	swirhumbana swa le nkolweni
sore	xilondzo
sorrow	gome
Sorry	ku tisola
sort	hlela
sought	laviwaka
soulmate	muringani
soul	moya
sound	mpfumawulo
soup	supu
source	xihlovo
sour	phyama
south	dzonga
space	xivandla
spam	lavekiki
Spanish	Spanish
span	mpfhuka
spare	saleke
speak	vulavula
special	hlawuleka
species	muxaka
specific	hlawuleka
spectacular	hlamarisa
speechless	heleriwa hi marito
speech	mbulavulo
speed	rivilo
spell	peleta
spend	tirhisa
spent	tirhisile
spicy	lunga
spike	tlakuka
spinach	xipinachi
spin	rhendzeleta
spirit	moya
spit	tshutela
splendid	swo nyanyula
split	hambanyisa
spoiled	borile
spoil	onheka
spontaneous	kungatiwangi
spoon	lepula
spot	xivandla
spouse	nkatanga
spread	hangalaka
spring	ximun'wana
square	xikwere
squeeze	kama
squid	xikwidi
squirrel	maxinjani
stable	ntshamiseko
stab	tlhava
stack	paketela
staff	vatirhi
stage	xiteji
stain	xipatsu
stairs	switepisi
stake	khombyeni
stalk	landzelela
stall	yima
stamp	xitempe
standard	xiyimo
stand	yima
star	nyeleti
started	sungurile
start	sungula
starving	twa ndlala
state	hlamusela
statement	xitatimente
station	xitici
statue	xifaniso
status	xiyimo
stay safe	tshama u hlayisekile
stay	tshama
steady	tshamiseka
steak	xinhongana
steal	yiva
steam	nkahelo
steel	nsimbhi
steep	xiganga
stem	nsinya
step	goza
stick	xinhongana
stiff	tsindziyela
still	tano
sting	tlhava
stingy	munhu wo tsonana
stir	hakasa
stock	xitoko
stolen	yiviwile
stomach	khwiri
stone	ribye
stood	yimile
stool	mahuma
stop	yima
storage	vuhlayiselo
store	veka
storm	bubutsa
story	xitori
stove	xitofu
straightforward	rivaleni
straight	lulama
strain	ntshikelelo
strange	hlamarisa
stranger	tiviweki
strategy	endlelo
strawberry	sitrowiberi
straw	furu
streak	ntambhu
stream	xinambyana
street	xitarata
strength	matimba
stress	ntshikelelo
stretch	tsanyula
strict	tshama entiyisweni
strike	xitereko
string	ntambu
strip	hluvula
strive	ringeta
stroke	oma swirho
strong	tiya
struck	biwa
structure	xivumbeko
struggle	kayakaya
struggling	kayakaya
stubborn	nkwikwirimba
stuck	manyekile
student	xichudeni
study	dyondza
studying	ku dyondza
stuff	xilo
stunning	saseka
stupid	xiphunta
style	xitayili
subject	nhlokomhaka
submission	titsongahata
submit	yisa
substance	engetela
substitute	siva
subtle	ntikelo
succeed	humelela
successful	humelela
success	humelela
such as	u fana na
such	ku fana na
suck	munyungela
suddenly	xihatla
sudden	xihatla
suffer	hlupheka
suffering	hlupheka
sufficient	ringanerile
sugar	chukela
suggestion	ndzinganyeto
suggest	ringanyeta
suitable	ringanela
suitcase	phebabege
suit	ringanela
summary	nkomiso
summer	ximumu
summit	nhlonhlorhi
sum	ntsengo
sunday	Sonto
sun	dyambu
sunny	dyambyini
sunset	riperile
sunshine	vangama
superior	vukulu
super	kahle
supervisor	mulanguteri
supper	laleha
supply	phakela
support	nseketelo
supposed	kumbexana
suppose	kumbexana
sure	tiyisisa
surface	henhla ka
surge	gadla
surgery	vuhandzuri
surname	xivongo
surprised	hlamarile
surprise	xihlamariso
surrender	tinyikela
surrounding	leswi ku rhendzeleke
surveillance	mbalango
survey	hlela
survive	pona
suspect	ehleketela
suspended	yirisiwa
suspicious	vilerisa
sustainability	tiyiseleka
sustainable	tiyiseleka
sustain	tiyisela
swag	xiphemu xa khetheni
swallow	mita
swap	cincanisa
swear	rhukana
sweater	xikipa xo kufumela
sweat	nyuku
sweep	kukula
sweet dreams	vurhongo lebyinene
sweetheart	murhandziwa
sweet	nyanganya
sweet tooth	tsakela swo nyanganya
swelling	pfimba
swell	pfimba
swim	khida
swimming	khida
swing	jolomba
switch	tima
swollen	pfimba
sword	banga
symbol	mfungho
sympathy	ntwela vusiwana
symptoms	swikombiso
system	sisitimi
table	tafula
tackle	lwisana
tag	thege
tail	ncila
take away	teka u famba
take care	tihlayisi
taken	tekiwile
take off	ku suka
take	teka
talkative	mandangada
talk	vulavula
tall	leha
tape	thepi
tap	khumbha
target	xikongomelo
task	ntirho
taste	nantswo
tasty	nantswo
taught	dyondzisile
teach	dyondzisa
teacher	mudyondzisi
team	xipanu
tear	handzula
tears	mihloti
tease	karhata
tea	tiya
technology	thekinoloji
teeth	meno
tell	byela
tell me	ndzi byeli
temperature	mahiselo
temper	ximbilwambilwana
temple	tempele
temporary	nkarhinyana
tenant	muhirhi
tendency	ntolovelo
tender	hletela
tend	lulamisa
ten	khume
tense	nkwetlembetano
tension	ntlimbano
tentative	kanakana
ten thousand	khume ra magidi
tent	thende
terms	minkarhi
term	thema
terrible	xo biha
terrific	kulukumba
territory	ndhawu
test	xikambelo
text	tsalwa
thank	khensa
Thanks for using our app	Ha khensa kuva u tirhisa app ya hina
thanks	inkomu
than	ku tlula
Thank you for your patience while we investigate shipment	Ha khensa ku rindzela loko hiri karhi hi lavisisa ntleketlo hi xikepe
thank you	inkomu
thank you so much	inkomu swinene
thank you very much	inkomu swinene
that is	hi sweswo
that's good	sweswo swi kahle
that	sweswo
theft	vukhamba
their	swa lavaya
theme	mombo
themselves	vona vinyi
them	vona
then	kutani
theory	xianakanyiwa
there are	ku na
therefore	kwalaho
there is	ku na
there	kwalaho
these	leswi
they are	hi vona
they	vona
thick	bumbula
thief	khamba
thigh	ndzhumbhu
things	swilo
thing	xilo
think	ehleketa
thin	lala
third	vunharhu
thirsty	torha
thirteen	khumenharhu
thirty	makumenharhu
this is	leswi i
this	lexi
thorough	koxemeta
thoroughly	koxometa
those	sweswo
though	hambi
thoughtful	ehleketela
thought	hleketa
thoughts	mianakanyo
thousand	gidi
thread	ntambhu
threaten	chavisa
threat	nxungeto
three	nharhu
threshold	vugimamusi
thrilled	nyanyula
thrive	humelela
throat	nkolo
through	hileka
throughout	hinkwako
throw	cukumeta
thumb	rigutsu
thunder	dzinda
Thursday	Ravumune
thus	kwalaho
tick	fungha
tide	boha
tidy	tenga
tie	boha
tiger	yingwe
tight	boha swinene
Tigrinya	Tigrinya
time	nkarhi
timid	nchavo
tiny	xitsongo
tip	makumu
tips	makumu
tired	karhele
tire	thayere
tissue	thixu
title	xirhangi
toast	omisa
to be	ku va
today	namuntlha
toddler	ricence
to	eka
toes	swintihwana
together	swin'we
toilet	xihambukelo
told	byerile
tolerance	tiyisela
tolerate	tiyisela
tomato	tamatisi
tomorrow	mundzuku
tongue	ririmi
tonight	namuntlha namadyambu
took	tekile
tools	switirho
tool	xitirho
too	naswona
tooth	tino
top	henhla
topic	nhlokomhaka
torn	davuka
torture	xanisa
total	hinkwaswo
touch	khumba
tough	tika
tour	rendzo
toward	kuya eka
towards	kuya eka
towel	thawulu
town	xidorobana
toxic	vubihi
trace	landzelerisa
track	xiporo
trade	ntirho
traditional	xintu
tradition	xintu
traffic	ntlimbano
trail	nkondzo
training	vutiolori
train	letela
trait	muxengi
traits	swihlawulekisi
transfer	hundzisela
transition	ku hundzuka
translate	hundzuluxa
transparent	erivaleni
transportation	ntleketlo
transport	xifambo
trap	xirimbana
trash	thyaka
trauma	moxa
travel	teka rendzo
tray	thireyi
treasure	rifumo
treat	khomisa
treatment	vutshunguri
tree	nsinya
tremendous	leswikulu
trend	mahungwini
trial	tenga
trick	kanganyisa
tried	ringetile
trigger	gwedla
trim	tsemeta
trip	rendzo
trouble	hlupha
trousers	maburuku
truck	lori
true	ntiyiso
trunk	nxakwa
trust	tshembha
truth	ntiyiso
try	ringeta
Tsonga	Tsonga
tube	chupu
Tuesday	Ravumbirhi
tuition	hakelo ya xikolo
turkey	galankulu
turmeric	xigugu
turn	jika
turtle	mfutsu
tutor	muleteri
twelve	khumembirhi
twenty	makumembirhi
twenty-one	makumbembirhi-n'we
twice	kambirhi
twist	jikisa
Twi	Twi
two	mbirhi
type	muxaka
typical	swantolovelo
ugly	biha
ultimate	eku heteleleni
umbrella	xiambulela
unable	hluleka
uncle	malume
unconscious	titivala
under	ehansi
underneath	hansi ka
underrated	tekeriwa ehansi
understand	twisisa
understood	twisisile
unfortunately	nkateko-khombo
uniform	yunifomo
unique	swo fana swoxe
unit	yuniti
university	yunivhesiti
unknown	tiviweki
unless	handleka
until	fikela
unusual	tolovelekangi
update	pfuxeta
upgrade	antswisa
up	henhla
upon	ehenhla
upset	hlundzuka
up to you	swi le ka wena
urban	doroba
urge	khutaza
urgent	xihatla
used	tirhile
useful	tirhiseka
useless	pfuneki nchumu
use	tirhisa
us	hina
usually	hixitalo
usual	ntolovelo
utility	tirhiseka
vacation	nkarhi wo wisa
vaccination	nsawutiso
vaccine	nsawutiso
vacuum	xivandla
vague	a swi le rivaleni
valid	tirhaka
valley	riwa
valuable	xa nkoka
value	nkoka
variety	hambana
various	hambana
vary	hambana
vase	mbita
vast	xikulu
vegetable	matsavu
vegetables	matsavu
vehicle	movha
vendor	ximawusi
venom	vuxungu
venture	nghena
venue	ndhawu
verify	tiyisisa
versatile	ringanela eka swo tala
version	nkandziyiso
vertical	ololoka
very good	kahle swinene
very	swinene
vessel	xikepe
via	hile
vibe	nkhinkhi
vibes	matitwelo
vicious	hi tihanyi
victim	muxanisiwa
video	vhidiyo
view	vona
village	tiko
villain	muxanisi
vinegar	vhiniga
vintage	khale
violence	madzolonga
violent	madzolonga
viral	fambelana no tluleriwa
virgin	ntombhi-nto
virtual	fana
virtue	matikhomelo ya kahle
vision	xivono
visit	endza
visual	xivono
vital	nkoka
vivid	matitwelo yo tiya
vocabulary	ntivovutivi
voice	rito
void	vangwa
volume	vholumu
volunteer	tinyiketela
vomit	hlanta
vulnerable	ekhombyeni
wage	muholo
wages	miholo
waist	xisuti
waiter	wetara
waiting	rindzile
wait	yima
wake	pfuka
wake up	pfuka
walk	famba
walking	ku famba
wallet	xipaci
wall	khumbi
wander	lahleka
wanna	lava
wanted	lavile
want	lava
wardrobe	wadiropo
warehouse	ndhawu yo hlayisela
warm	kufumela
warning	xilemukisi
warn	lemukisa
war	nyimpi
warrior	nhenha
wash	hlantswa
was	kuvile
waste	tlangisa
watch	langutisa
water	mati
watermelon	khalavatla
wave	gandlati
way	ndlela
weakness	tsana
weak	vevuka
wealth	rifumo
wealthy	rifumo
wear	ambala
we are	hi na
wearing	ambarile
weather	maxelo
we can	hi nga
wedding	mucato
Wednesday	Ravunharhu
weed	nhova
weekend	mahelo ya vhiki
week	vhiki
we	hina
weight	ntikelo
weird	tolovelekangi
welcome	amukela
welfare	nhlayiso
well done	tirhe kahle
Well	Swinene
went	yile
were	vile
west	vupeladyambu
wet	tsakama
whale	nkavavangaheti
what about you	i yini hi wena
what are you doing now	Xana u endla yini sweswi
what are you doing right now	xana u endla yini sweswi
what are you doing	xana u endla yini
what do you do for a living	xana u tirha yini ku tihanyisa
what do you do	xana u endla yini
what do you mean	xana u vula yini
what do you want	xana u lava yini
whatever	xihi na xihi
what happened	ku humelele yini
what is	i yini
what is this	i yini lexi
what is your job	hi wihi ntirho wa wena
what is your name	i mani vito ra wena
what's up	ku humelela yini
what's your name	hi wena mani vito ra wena
what	yini
wheat	n'wahuva
wheel	vhilwa
whenever	nkarhi wihi na wihi
when	rini
where are you from	xana u huma kwihi
where are you now	u le kwihi sweswi
where are you	u le kwihi
whereas	kasi
where do you live	xana u tshama kwihi
where is	hi kwihi e
where	kwihi
whether	loko
which	xihi
while	nkarhinyana
whisper	hlevetela
whistle	noti
white	basa
who are you	hi wena mani
who is	i mani
who is this	i mani loyi
whole	hinkwaswo
who	mani
whom	loyi
whose	swa mani
why	hikokwalaho ka yini
why not	hikwalaho ka yini
wicked	nsele
wide	anama
widow	muferiwa
width	anama
wife	nsati
wild	nhova
willing	tsakela
will	ntsakelo
wind	moya
window	fasitere
windy	kuna moya
wine	vhinyo
win	hlula
winter	xixika
wipe	sula
wire	nsimbhi
wisdom	vutlharhi
wise	tlharihile
wish	tsakela
wish you all the best	navelela hinkwaswo swa kahle
witch	noyi
withdrawal	susa
withdraw	ku teka
with	hi
within	endzeni
without	kuri hava
witness	mbhoni
witty	nyanyula
wolf	hlolwa
woman	wansati
women	vavasati
wonderful	kahle
wonder	hlamala
won	hlurile
won't	nge
wood	rihunyi
wool	wulu
word	rito
words	marito
working	ku tirha
work	ntirho
work out	vutiolori
world	misava
worm	xivungu
worn	hlakala
worried	vilela
worry	vilela
worse	nyanya
worship	gandzela
worst	nyanya
worth it	swa fanela
worth	ntikelo
worthy	nkoka
would	nga
wound	xilondzo
Wow	Hlamala
wrap	phutsela
wrath	vukarhi
wrist	xinungu
Write here	Tsala laha
write	tsala
writing	ku tsala
written	tsariwile
wrong	hoxeka
wrote	tsarile
yard	rivala
yawn	ahlamula
Yeah	Ina
year	lembe
years	malembe
yeast	xivirisi
yell	cema
yellow	xitshopana
yes baby	ina nkata
yes dear	ina wo hlawuleka
yes honey	ina nkata
Yes	Ina
yes my love	ina murhandziwa
yes of course	ina swi tano
yesterday	tolo
yet	sweswi
yield	vuyerisa
you are beautiful	u sasekile
you are so beautiful	u sasekile swinene
you are welcome	u amukelekile
you are	wena u
you can	u nga
You know	wa swi tiva
young	ntsongo
you're welcome	u amukeriwile
you’re welcome	u amukeriwile
yourself	wena
your	swa wena
your welcome	u amukeriwile
youth	muntshwa
you too	na wena vu
you	wena
yummy	nandzika
zero	ziro
