قليل	a little
يحتاج إلى	need
بيحتاج	need
سلبي	negative
همل	neglect
يفاوض	negotiate
جار	neighbor
حارة	neighborhood
حي	neighborhood
ولا	neither
ابن اخ	nephew
ابن اخت	nephew
نيرد	nerd
مجتهد	nerd
معصب	nervous
متوتر	nervous
عش	nest
شبكة	net
شبكة	network
حيادي	neutral
أبداً	never
لا تستسلم أبداً	never give up
لا تيأس من رحمة رب العالمين	never give up
ما بيهم	never mind
مو مشكلة	never mind
ولا يهمك	nevermind
مع هيك	nevertheless
جديد	new
أخبار	news
اللي بعدو	next
قرب	next to
بجوار	next to
جنب	next to
جَمِيل	nice
حِلُو	nice
لَطِيف	nice
تشرّفتُ بلقائِكَ	nice to meet you
تشرَّفنا	nice to meet you
بنت الأخ	niece
بنت الأخت	niece
ليل	night
كابوس	nightmare
تسعة	nine
تسعتعش	nineteen
تسعين	ninety
كَلَّ	No
لا	No
لأ	No
ما في مشكلة	no problem
مو مشكلة	no problem
ولا يهمك	no problem
مو معقول	no way
عم تمزح	no way
ما حدا	nobody
ضجة	noise
ضجة	noisy
لا أحد	none
الضهر	noon
لا	nope
ولا	nor
عادي	normal
طبيعي	normal
شمال	north
اللغة العربيّة في شمالِ بلاد الشام	North Levantine Arabic
اللغة العربيّة في شمال المشرق العربيّ	North Levantine Arabic
أنف	nose
منخار	nose
حنين	nostalgic
مو	not
لا	not
مو صحيح	not at all
ما شبو شي	not bad
مو هلّق	Not now
لسى	not yet
لسى بكير	not yet
ملاحظة	note
عرفت	noted
فهمت	noted
لا شَيء	nothing
وَلا شِي	nothing
ملاحظة	notice
لاحظت	noticed
اسم	noun
الأسماء	nouns
رواية	novel
تشرين التاني	november
هلق	now
الآن	now
هالايام	nowadays
مضايقة	nuisance
إزعاج	nuisance
باطل	null
ملغي	null
مخدّر	numb
رقم	number
ممرضة	nurse
مكسّرات	nut
جوزة الطيب	nutmeg
تَغذِيَة	nutrition
حلَف	oath
سِمنة	obesity
يطيع	obey
هدف	object
غاية	objective
هدف	objective
الزام	obligation
فرض	obligation
مو مفهوم	obscure
اشراف	observation
يراقب	observe
مهووس	obsessed
هوَس	obsession
ما عاد حدا استعملو	obsolete
بطلت موضتو	obsolete
عثرة	obstacle
ياخد	obtain
مقتني	obtained
واضح	obvious
بكل وضوح	obviously
أحياناً	occasionally
بعض الأوقات	occasionally
شغل	occupation
عمل	occupation
فيه حدا	occupied
مشغول	occupied
صادف	occur
صار	occur
حصل	occurred
يصير	occurs
محيط	ocean
تشرين الأول	october
غريب	odd
احتمالات	odds
لِ	of
لَ	of
أكيد	of course
طبعاً	of course
عن	off
جارح	offensive
عرض	offer
مكتب	office
رسمي	official
معظم الأوقات	often
غالبًا ما	often
أكثر الأحيان	often
آه	Oh
أُوه	Oh
أه عن جدّ	oh really
نفط	oil
زيت	oil
ماشي	ok
تكرم	ok
أوافق	ok
ماشي حبيبي	ok dear
ماشي حبيبي	ok honey
ماشي حبيبي	ok my love
ماشي	okay
مو مشكلة	okay
لا تقلق	okay
أوافق	okay
تكرم	okay
لا بأس	okay
ماشي حبيبي	okay baby
ماشي حبيبي	okay dear
ماشي حبيبي	okay honey
موافق حبيبتي	okay honey
ماشي حبيبي	okay my love
عتيق	old
عمر	old
قديم	old
فَوق	on
على	on
مرة وحدة	once
مرة	once
واحد	one
لغة وحدة مو كافية أبداً	one language is never enough
بصل	onion
متصل	online
اونلاين	online
فقط	only
بس	only
فتح	open
عملية	operation
رأي	opinion
فرص	opportunities
فرصة	opportunity
عكس	opposite
شي بيفائل	optimistic
خيار	option
خياري	optional
أو	or
برتقالي	orange
برتقان	orange
طلبيّة	order
طلب	order
أمر	order
عادي	ordinary
منظمة	organization
توجيه	orientation
اتجاه	orientation
أصل	origin
أصلي	original
لغة أورومو	Oromo
يتيم	orphan
آخر	other
تاني	other
بلا هيك	otherwise
من دون هيك	otherwise
لازم	ought
من الضروري	ought
ملكنا	our
لنا	our
مهمتنا: تمكين كل شخص بكل مكان انو يقدر يفهم العالم ويقدر يعبر عن نفسو من خلال اللغات.	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
مهمتنا: أنو انظم المعلومات العالمية ونخلي إمكانية الدخول والاستفادة منها متاحة على مستوى العالم.	Our mission: to organize the world's information and make it universally accessible and useful.
برا	out
النتيجة	outcome
ملبوس	outfit
بدلة	outfit
متفتح	outgoing
رايح	outgoing
مَنفَذ	outlet
الخطوط العريضة	outline
برا	outside
متميز	outstanding
مميز	outstanding
فرن	oven
أكتر من	over
فوق	over
هونيك	over there
إجمالي	overall
يتغلب على	overcome
التفكير الزايد عن اللازم	overthinking
مهزوم	overwhelmed
مغلوب	overwhelmed
غامر	overwhelming
عاطفي	overwhelming
مديون	owe
بومة	owl
يملك	own
بيملك	own
مالك	owner
عجل كبير	ox
فدّان	ox
تور	ox
خطوة	pace
رزمة	pack
علبة	package
طَرد	package
مدفوع	paid
وجع	pain
ألم	pain
دهان	paint
دهان	painting
تلوين	painting
زوج	pair
مصفرّ	pale
لونو مخطوف	pale
نخيل	palm
مقلاية	pan
جائحة	pandemic
هلع	panic
خوف كبير	panic
بنطلون	pants
بنطال	pants
ورقة	paper
جنة	paradise
موازي	parallel
شقفة	parcel
قطعة	parcel
العفو	pardon
أب وأم	parents
أهل	parents
حديقة عامة	park
ببغاء	parrot
بَقدونس	parsley
قطعة	part
يشارك	participate
خص نص	particular
خاص	particular
بالأخص	particularly
شريك	partner
حفلة	party
مرّ	pass
نجح	pass
ممر	passage
اجتاز	passed
نجح	passed
ولع	passion
عشق	passion
انفعالي	passionate
عصبي	passionate
سلبي	passive
كلمة السر	password
من زمان	past
ماضي	past
بِركة	patch
طريق	path
بيوجع القلب	pathetic
صبر	patience
مريض	patient
صابر	patient
نمط	pattern
يوقف	pause
رصيف	pavement
يدفع	pay
دفع	payment
سلام	peace
آمن	peaceful
خوخ	peach
قمة	peak
إجاص	pear
بزيلا	peas
غير مألوف	peculiar
غريب	peculiar
يبوّل	pee
قشر	peel
اللي من جيلو	peer
ولاد جيلو	peers
قلم	pen
قلم رصاص	pencil
بالانتظار	pending
مستني	pending
ناس	people
عالم	people
فلفل	pepper
فهِم	perceive
تصور	perceive
فطنة	perception
نباهة	perception
مثالي	perfect
تمام	perfect
يعمل	perform
يخلّص	perform
أداء	performance
عمل	performance
يمكن	perhaps
معقول	perhaps
فترة	period
مستمر	permanent
دايم	permanent
اذن	permission
يئذن	permit
يسمح	permit
مثابرة	perseverance
العمل الجاد	perseverance
مصرّ	persistent
شخص	person
واحد	person
شخصية	personal
شخصية	personality
وجهة نظر	perspective
بيقنع	persuade
منحرف	pervert
بلا أخلاق	pervert
حيوان أليف	pet
مرحلة	phase
ظاهرة	phenomenon
فلسفة	philosophy
تليفون	phone
صورة	photo
عبارة	phrase
جسماني	physical
يختار	pick
أخد	pick up
مسك	pick up
صورة	picture
شقفة	piece
قطعة	piece
قِطَع	pieces
شقف	pieces
خنزير	pig
حمامة	pigeon
كومة	pile
باسور	pile
مخدة	pillow
طيار	pilot
دبوس	pin
أناناس	pineapple
زهري	pink
حفرة	pit
رمية	pitch
زفت	pitch
شفقة	pity
رحمة	pity
مطرح	place
مكان	place
أماكن	places
وباء	plague
سهل	plain
واضح	plain
خطة	plan
طيّارة	plane
زرعة	plant
نبتة	plant
النباتات	plants
جاط	plate
صحن	plate
منصة	platform
لعب	play
شغّل	play
يلعب	playing
منيح	pleasant
جذاب	pleasant
من فضلك	please
لو سمحت	please
رجاءً	please
فرحان	pleased
مبسوط	pleased
انبساط	pleasure
سعادة	pleasure
وعد	pledge
تعهّد	pledge
كتير	plenty
حبكة	plot
سدادة	plug
خوخ	plum
سبّاك	plumber
سمكري	plumber
جمع	plural
نشرة صوتية	podcast
قصيدة	poem
شِعر	poetry
نقطة	point
سم	poison
شرطة	police
سياسة	policy
مهذب	polite
منظوم	polite
تلوث	pollution
بركة مي	pond
بحرة	pond
حمام سباحة	pool
حوض	pool
عمل بالحمّام	poop
ضعيف	poor
فقير	poor
البوب	pop
منتشر	popular
شعبي	popular
عدد السكان	population
لحم الخنزير	pork
شوربة قمح	porridge
مينا	port
مرفأ	port
مركز	position
ايجابي	positive
كويّس	positive
عندو	possess
أملاك	possession
ملوكي	possessive
ممكن	possible
معقول	possible
بريد	post
منصب	post
بعد	post
يأجل	postpone
بطاطا	potato
ممكن	potential
محتمل	potential
ليرة	pound
فقر	poverty
معتاز	poverty
قوة	power
قوي	powerful
عملي	practical
ممارسة	practice
تدريب	practice
مدح	praise
مقلب	prank
مزحة	prank
عم بيصلي	pray
صلاة	pray
غالي	precious
ثمين	precious
دقيق	precise
بشكل دقيق	precisely
يتنبأ	predict
بيفضل	prefer
تفضيل	preference
حامل	pregnant
من غير وجه حق	prejudice
اجحاف بحقو	prejudice
مقدمات	premises
بريميوم	premium
ممتاز	premium
تحضير	preparation
تجهيز	preparation
بيجهّز	prepare
بيحضر	prepare
جاهز	prepared
حرف جر	preposition
الحضور	presence
موجود	present
حاضر	present
عرض تقديمي	presentation
بيحفظ	preserve
رئيس	president
صحافة	press
ضغط	press
ضغط	pressure
بيعمل حالو	pretend
بيتظاهر	pretend
حلو	pretty
جميل	pretty
بيمنع	prevent
يمنع	prevent
اللي قبلو	previous
فريسة	prey
ضحية	prey
سعر	price
شوفة الحال	pride
غرور	pride
كاهن	priest
أساسي	primary
رئيسي	prime
أساسي	prime
أميرة	princess
رئيسي	principal
قبل	prior
أولوية	priority
سجن	prison
خصوصية	privacy
خصوصي	private
شخصي	private
امتياز	privilege
جائزة	prize
على الأرجح	probably
على الأغلب	probably
مشكلة	problem
طريقة	procedure
إجراء	procedure
يتابع	proceed
يتحرك	proceed
عملية	process
شغلة	process
بينتج عنو	produce
منتج	product
إنتاج	production
مهنة	profession
صنعة	profession
محترف	professional
بروفايل	profile
حساب تعريفي	profile
منفعة	profit
غميق	profound
عويص	profound
تقدّم	progress
مشروع	project
مبيّن	prominent
بارز	prominent
وعد	promise
عزز	promote
دعم	promote
شجّع	promote
دعاية	promotion
ترويج	promotion
فوري	prompt
متسطّح	prone
الضمائر	pronouns
لفظ	pronunciation
نطق	pronunciation
اثبات	proof
دليل	proof
صحيح	proper
مناسب	proper
بشكل صحيح	properly
أملاك	properties
أملاك	property
أطيان	property
عرض	proposal
احتمال	prospect
الرفاهية	prosperity
النعيم	prosperity
مزدهر	prosperous
يحمي	protect
بشوف حالي	proud
بفتخر ف	proud
فخور	proud
يثبت	prove
يبرهن	prove
يعطي	provide
يساهم	provide
متوفر	provided
محافظة	province
مونة	provision
بلوغ	puberty
شعبي	public
علني	public
سحب	pull
يقطين	pumpkin
واحد معدَّل	punctual
تلميذ	pupil
شري	purchase
شراء	purchase
طاهر	pure
صافي	pure
بنفسجي	purple
قرميدي	purple
غايَة	purpose
غَرَض	purpose
هَدَف	purpose
شنتة	purse
محفظة	purse
يقنع	pursue
ملاحقة	pursuit
مطاردة	pursuit
ادفش	push
يضع	put
بيحط	put
مؤهل	qualification
نوعية	quality
جودة	quality
كمية	quantity
الحجر الصحي	quarantine
خناقة	quarrel
ربع	quarter
لغة الكيتشوا	Quechua
ملكة	queen
مِثلي	queer
استفسار	query
سؤال	question
طابور	queue
سريع	quick
بسرعة	quickly
هادي	quiet
صامت	quiet
هادئ	quiet
ساكت	quiet
لحاف	quilt
بيبطّل	quit
بيترك	quit
تمامًا	quite
تَمَامْ	quite
اختبار	quiz
اقتباس	quotation
حدد سعر	quote
اقتبس	quote
عروض أسعار	quotes
أرنب	rabbit
عِرق	race
سباق	race
هيجان	rage
غضب	rage
مطر	rain
شتي	rain
رفع	raise
ربّى	raise
شال	raise
ربّى	raised
ركض	ran
عشوائي	random
بيتراوح	range
مجال	range
نطاق	range
سريع	rapid
بسرعة	rapidly
نادر	rare
نادراًً	rarely
قليل ما	rarely
متهور	rash
متسرع	rash
جردون	rat
معدّل	rate
من انو	rather
بدل	rather
نسبة	ratio
عقلاني	rational
غر	raw
خام	raw
رجع	re
كرر	re
وصل	reach
يصل	reach
وصلّو	reached
رد فعل	reaction
يقرأ	read
يقرا	read
مطالعة	reading
قراية	reading
جاهز	ready
واقعي	real
حقيقي	real
الواقع	reality
عرف	realize
تيقّن	realize
عرف	realized
فِعلًا	really
حَقًّا	really
عن جد	really
ورا	rear
خلفي	rear
سبب	reason
معقول	reasonable
عم يتذكّر	recall
استلام	receipt
استلم	receive
استلم	received
آخر شي	recent
بالفترة الأخيرة	recently
استقبال	reception
وصفة	recipe
أهوج	reckless
متهور	reckless
تعرُّف	recognition
عرف	recognize
بيوصي فيه	recommend
يُستحسن	recommended
تسجيل	record
استرداد	recover
استعادة	recover
استرجاع	recovery
استعادة	recovery
مستطيل	rectangle
أحمر	red
يسترد	redeem
يرجّع	redeem
فك الدين	redemption
خلاص	redemption
بيقلل	reduce
زايد	redundant
يأشّر	refer
يلمّح	refer
مرجع	reference
إشارة	reference
بيعكس	reflect
انعكاس	reflection
ما عم يرضى	refrain
برّاد	refrigerator
استرداد	refund
ما بدو	refuse
بيرفض	refuse
رفض	refused
اعتبار	regard
بخصوص	regarding
بغض النظر	regardless
تحياتي	regards
منطقة	region
سجّل	register
ندمان	regret
ندم	regret
عادي	regular
بشكل منتظم	regularly
رفض	reject
ما بدو	reject
متصل	relate
بيتعلق ب	related
علاقة	relationship
من الأقارب	relative
أقارب	relatives
ارتاح	relax
ترك	release
أفلت	release
أطلق سراحو	released
محرر	released
مناسب	relevant
موثوق	reliable
بتقدر توثق فيه	reliable
ارتياح	relief
يخفّف عن	relieve
يريّح	relieve
مرتاح	relieved
دين	religion
ديني	religious
بيتردد	reluctant
يعتمد على	rely
بيضل	remain
بيبقى	remain
فاضل	remaining
باقي	remaining
مميز	remarkable
علاج	remedy
بيتذكر	remember
بيذكّر	remind
تذكير	reminder
بعيد	remote
بيشيل	remove
يقدم	render
إيجار	rent
صلّح	repair
عاد	repeat
يبدّل	replace
يجاوب	reply
يرد	reply
تقرير	report
بيمثّل	represent
سمعة	reputation
طلب	request
بدو	require
بيتطلّب	required
بيحتاج	required
ينجّي	rescue
بحث	research
تشابه	resemble
تماثل	resemble
غيظ	resentment
حجز	reservation
احتياطي	reserve
ساكن	resident
استقال	resign
الصمود	resilience
مطواع	resilience
ليّن	resilient
مرن	resilient
بيقاوم	resist
مقاومة	resistance
دقة	resolution
قرار	resolution
حلّ	resolve
منتجع	resort
مأوى	resort
موارد	resources
بيشيل قدر وقيمة	respect
بيحترم	respect
يحترم	respect
بيرد	respond
بيجاوب	respond
رد	response
جواب	response
المسؤولية	responsibility
مسؤول	responsible
راحة	rest
باقي	rest
الله يرحم ترابو	rest in peace
مطعم	restaurant
يستعيد	restore
بيقيد	restrict
نتيجة	result
نتائج	results
بيكمل	resume
سيرة ذاتية	resume
بيع بالمفرّق	retail
مفرّق	retail
بيحتفظ	retain
حفظ	retention
متقاعد	retired
تراجع	retreat
يسترجع	retrieve
يرجع	return
بيكشف	reveal
بيبيّن	reveal
مكشوف	revealed
انتقام	revenge
مردود	revenue
يعكس	reverse
مراجعة	review
يراجع	revise
مراجعة	revision
ثورة	revolution
جائزة	reward
إيقاع	rhythm
ضلع	rib
رز	rice
غني	rich
ميسور الحال	rich
يتخلص من	rid
بيركب	ride
مسخرة	ridiculous
شي مسخرة	ridiculous
صحيح	right
عندك حقّ	right
مظبوط	right
هلق	right now
عنيد	rigid
متزمت	rigid
خاتم	ring
شطف	rinse
شغب	riot
مزّق	rip
شقشق	rip
مستوي	ripe
ارتفاع	rise
زيادة	rise
مجازفة	risk
منافسة	rival
نهر	river
طريق	road
مشوي	roast
قوي	robust
صلب	robust
صخرة	rock
حَجَر	rock
عصا	rod
دور	role
لفة	roll
سطح	roof
فضى	room
غرفة	room
شروش	root
جذور	root
حبل	rope
خربان	rotten
معفن	rotten
غليظ	rough
قاسي	rough
خشن	rough
بقسوة	roughly
مدوّر	round
طريق	route
روتين	routine
صف	row
فرك	rub
محاية	rubber
زبالة	rubbish
غليظ	rude
فج	rude
جفص	rude
بساط	rug
سجادة	rug
خراب	ruin
قاعدة	rule
حاكم	ruler
قواعد	rules
ركض	run
ركد	running
ضيّعجي	rural
يسرع	rush
كيس	sack
مقدّس	sacred
تضحية	sacrifice
آمن	safe
توصلو بخير	safe flight
السلامة	safety
عاقل	sage
حكيم	sage
قال	said
طلع بالبحر	sail
شراع	sail
يطلع بالبحر	sailing
منشان	sake
راتب	salary
تخفيضات	sale
أوكازيون	sale
سمك السلمون	salmon
ملح	salt
نفس الشي	same
سيّان	same
نفس الشي هون	Same here
عينة	sample
رمل	sand
اللغة السنسكريتية	Sanskrit
ساخر	sarcastic
وقح	sassy
قعد	sat
رضى	satisfaction
اشباع	satisfaction
رضيان	satisfied
رضى	satisfy
مرضي	satisfying
السبت	Saturday
سجق	sausage
متوحش	savage
همجي	savage
حفظ	save
رأى	saw
شاهد	saw
شاف	saw
بينطق	say
بيقول	say
مقياس	scale
زان	scale
ميزان	scale
غش	scam
نصب	scam
ندبة	scar
أثر جرح	scar
قليل	scarce
نادر	scarce
مرعوب	scared
خايف	scared
غطى	scarf
منديل	scarf
شال	scarf
مرعب	scary
مشلوح هون وهون	scattered
مشهد	scene
منظر طبيعي	scenery
ريحة طيّبة	scent
جدول	schedule
برنامج	schedule
مدرسة	school
علوم	science
عالم	scientist
العلماء	scientists
مقرض	scissors
مقص	scissors
أنّب	scold
وبّخ	scold
مدى	scope
مجال	scope
نتيجة	score
خرداوات	scrap
يخرمش	scratch
عم يصرخ	scream
شاشة	screen
خرّب	screw
بخط الايد	script
مخطوطة	script
بحر	sea
ختم	seal
عم يدوّر	search
فصل	season
موسم	season
كرسي	seat
مقعد	seat
التاني	second
سر	secret
قسم	section
مأمّن عليه	secure
أمن	security
رأى	see
شاف	see
بشوفك	see you
بشوفك بعدين	see you
بشوفك بعدين	see you later
بشوفك عن قريب	see you soon
بشوفك بكرا	see you tomorrow
بذرة	seed
يطلب	seek
يتأمل	seek
يبدّو	seem
الظاهر	seems
منشاف	seen
استولى على	seize
اعتقال	seizure
مصادرة	seizure
قليل ما	seldom
نادراً	seldom
يختار	select
نفس	self
الشفاء الذاتي	self healing
ما بيحب غير حالو	selfish
أناني	selfish
بيبيع	sell
بعت	send
أرسل	send
ابعتلي صورتك	send me your picture
كبير	senior
سنيور	senior
حاسّة	sense
احساس	sense
حسّاس	sensible
حسّاس	sensitive
بَعَت	sent
حكم	sentence
جملة	sentence
جُمل	sentences
يفصل	separate
لغة السبيدي	Sepedi
أيلول	september
تسلسل	sequence
مسلسل	series
عن جد	serious
عم تحكي جد	serious
عن جد	seriously
عم تحكي جد	seriously
يخدم	serve
خدمة	service
جلسة	session
حصة	session
مجموعة	set
طقم	set
ركّب	set up
ثبّت	set up
قعدة	setting
ضبط	setting
يستقر	settle
سبعة	seven
سبعتعش	seventeen
سبعين	seventy
متعدد	several
متنوع	several
قوي	severe
حدّ	severe
خياطة	sew
اسكت	sh
هس	sh
خيال	shade
ظل	shade
ضل	shadow
هزة	shake
رح	shall
سطحي	shallow
عالوشّ	shallow
عيب	shame
يا عيب الشوم	shame
شكل	shape
بيقسم	share
يشارك	share
حدّ	sharp
هيي	she
هي	she
عندها	she has
هيّي	she is
سقيفة	shed
زريبة	shed
غنمة	sheep
صفحة	sheet
ملاية	sheet
رف	shelf
صدَفة	shell
ملجأ	shelter
مأوى	shelter
درع	shield
يغيّر	shift
يحوّل	shift
يبرق	shine
سفينة	ship
باخرة	ship
شحن	shipping
قميص	shirt
كندرة	shoes
صبّاط	shoes
بوط	shoes
قوّس	shoot
دكان	shop
محل	shop
تسوّق	shopping
شط	shore
قصير	short
نقص	shortage
طلقة	shot
لازم	should
يجب	should
المفروض	should
كتف	shoulder
يصرّخ	shout
عرض	show
بيفرجي	show
فرجيني	show me
حمّام	shower
جمبري	shrimp
انكمش	shrink
سكّر	shut
سكّر تمك	shut up
اخراس	shut up
خجول	shy
اخت	sibling
أخ	sibling
نسايب	siblings
قرايبين	siblings
شبو شي	sick
مريض	sick
جنَب	side
تنهد	sigh
رؤية	sight
مناظر طبيعية	sightseeing
علامة	sign
إشارة	sign
توقيع	signature
مهم	significant
إلو معنى	significant
صمت	silence
صامت	silent
حرير	silk
سخيف	silly
فضة	silver
نفس الشي	similar
متشابه	similar
أجدب	simp
بسيط	simple
بنفس الوقت	simultaneously
من وقت	since
من لما	since
منذ	since
مخلص	sincere
مخلص	sincerely
بيغني	sing
مطرب	singer
عزّابي	single
حوض	sink
مغسلة	sink
بالوعة	sink
سيد	Sir
اخت	sister
بنت الاحما	sister in law
اقعد	sit
موقع	site
وضع	situation
حالة	situation
ستة	six
ستعش	sixteen
ستين	sixty
قياس	size
مهارة	skill
شطارة	skill
مهارات	skills
شطارة	skills
جلد	skin
بشرة	skin
جلد وعضم	skinny
يتخطى	skip
يتجاوز	skip
تنوّرة	skirt
سما	sky
عبد	slave
نام	sleep
نايم	sleeping
نعسان	sleepy
كم	sleeve
قطعة خبز	slice
زلق	slide
خفيف	slightly
نحيف	slim
تزحلق	slip
انحدار	slope
فتحة	slot
بطيء	slow
عمهل	slowly
شو شوي	slowly
صغير	small
فهلوي	smart
ذكي	smart
يشم	smell
يبتسم	smile
دخان	smoke
ناعم	smooth
ملس	smooth
وجبة خفيفة	snack
حلزون	snail
حية	snake
حنش	snake
طرطقة	snap
تلج	snow
لذلك	so
هلّأ تنيِّي	so
مِشان هَيك	so
كتير ظريف	so cute
لهلق	so far
لغاية هالساعة	so far
نقع	soak
صابون	soap
واعي	sober
متّزن	sober
كرة القدم	soccer
اجتماعي	social
مجتمع	society
جرابات	socks
ناعم	soft
طري	soft
برمجة	software
تراب	soil
تخفيضات	sold
انباع	sold
منباع	sold out
جندي	soldier
نعل	sole
قاسي	solid
حل	solution
بيحلّ	solve
شوي	some
شوية	some
بعض	some
حدا	somebody
بطريقة ما	somehow
حدا	someone
شي	something
شيء	something
أحياناً	sometimes
بعض الأحيان	sometimes
غنيّة	song
قرّيبًا	soon
راقي	sophisticated
اللغة السورانية	Sorani
بيوجّع	sore
التهاب بلعوم	sore throat
أسى	sorrow
بلوة	sorrow
عذرًا	Sorry
آسف	Sorry
أعتَذِر	Sorry
نوع	sort
بحث	sought
روح	soul
رفيق الروح	soulmate
صوت	sound
شوربة	soup
فج	sour
حامض	sour
مصدر	source
أصل	source
جنوب	south
مكان فاضي	space
فضا	space
رسائل إلكترونية مزعجة	spam
شبر	span
الأسبانية	Spanish
إضافي	spare
بديل	spare
يحكي	speak
خاص	special
صنف	species
نوع	species
خاص	specific
حلو كتير	spectacular
بيجنن	spectacular
كلمة	speech
عاجز عن الحكي	speechless
سرعة	speed
يهجّي	spell
سحر	spell
صرف	spend
قضّى	spend
صرف	spent
حَرّ	spicy
كلو بهارات	spicy
سنبلة	spike
برمة	spin
سبانخ	spinach
روح	spirit
بزق	spit
رائع	splendid
يقسّم	split
ينزع	spoil
مدلل	spoiled
نزعو الدلال	spoiled
عفوي	spontaneous
ملعقة	spoon
نقطة	spot
شريك الحياة	spouse
ينتشر	spread
يوزع	spread
نبع مي	spring
ربّيع	spring
مربع	square
ساحة	square
عصَر	squeeze
حبّّار	squid
سنجاب	squirrel
شارع	st
طعنة	stab
مستقر	stable
كومة	stack
مجموعة الموظفين	staff
طاقم الشغل	staff
منصة	stage
وصمة عار	stain
درج	stairs
حصة	stake
قصبة	stalk
مماطلة	stall
ختم	stamp
وقف	stand
يقف	stand
قياسي	standard
معياري	standard
نجمة	star
بلّش	start
بداية	start
بدا	start
بلّش	started
ميّت من الجوع	starving
حالة	state
ولاية	state
دولة	state
قول	statement
إفادة	statement
محطة	station
تمثال	statue
حالة	status
خليك	stay
ابقَ	stay
ضل	stay
انشالله تضل بخير	stay safe
ثابت	steady
قطعة ستيك	steak
يسرق	steal
بخار	steam
ستيل	steel
فولاذ	steel
انحدار	steep
عِرق النبتة	stem
خطوة	step
درجة	step
يلزّق	stick
قاسي	stiff
ما زالَ	still
لِسّاتُو	still
بَعْدُو	still
قرصة	sting
بخيل	stingy
هيجان	stir
ضجة	stir
مخزون	stock
مسروق	stolen
معدة	stomach
حجر	stone
وقف	stood
براز	stool
بيوقّف	stop
تخزين	storage
مخزن	store
محل	store
عاصفة	storm
حكاية	story
غاز	stove
فرن	stove
مستقيم	straight
مباشر	straight
ما بيحب الزايحة	straightforward
تعّبني	strain
غريب	strange
شخص غريب	stranger
إستراتيجية	strategy
قشة	straw
فريز	strawberry
شريط	streak
مجرى	stream
ساقية	stream
شارع	street
قوة	strength
توتّر	stress
ضغط نفسي	stress
يمط	stretch
حازم	strict
كلمتو ما بتصير اتنين	strict
ضربة	strike
خيط	string
شريط	strip
اجتهد	strive
سكتة دماغية	stroke
قوي	strong
مضروب	struck
بناء	structure
هيكل	structure
عم يناضل	struggle
يعاني	struggle
عم يعاني	struggle
عم يناضل	struggling
عم يكافح	struggling
عنيد	stubborn
علقان	stuck
معلّق	stuck
طالب	student
دراسة	study
بيدرس	study
دراسة	studying
شغلات	stuff
أغراض	stuff
غراض	stuff
حلو كتير	stunning
بيجنن	stunning
غبي	stupid
أجدب	stupid
أسلوب	style
موضوع	subject
طاعة, رضوخ	submission
بيطبق	submit
بيقدم	submit
مادة	substance
فحوى	substance
أخد محلو	substitute
استبدل	substitute
رقيق	subtle
حربوق	subtle
نجح	succeed
نجاح	success
ناجح	successful
مثل	such
متل	such
متل	such as
رضاعة	suck
مفاجئ	sudden
فجأة	suddenly
عم يعاني	suffer
ألم	suffering
معاناة	suffering
كافي	sufficient
وافي	sufficient
بيكفي	sufficient
سكّر	sugar
بيقترح	suggest
اقتراح	suggestion
دعوى	suit
بدلة	suit
مناسب	suitable
شنتة سفر	suitcase
مجموع	sum
ملخّص	summary
الصيف	summer
قمة	summit
الشمس	sun
الأحد	sunday
مشمس	sunny
غروب الشمس	sunset
وقت المغرب	sunset
طلعة الشمس	sunshine
ممتاز	super
فاخر	superior
مشرف	supervisor
عشا	supper
تموين	supply
تجهيز	supply
دعم	support
المفروض	suppose
مفروض	supposed
واجب	supposed
أكِيد	sure
ميّة بالمِيّة	sure
سطح	surface
وش	surface
طفرة	surge
جراحة	surgery
الكنية	surname
مفاجأة	surprise
متفاجأ	surprised
استسلم	surrender
تاب	surrender
اللي حوالينا	surrounding
اشراف	surveillance
استبيان	survey
استطلاع	survey
ينجا	survive
مشتبه فيه	suspect
معلّق	suspended
مشبوه	suspicious
مشكوك فيه	suspicious
حَافَظ على	sustain
الاستدامة	sustainability
مستمر	sustainable
دائم	sustainable
غنيمة	swag
صرة تياب	swag
يبلع	swallow
تبديل	swap
يحلف	swear
عرَق	sweat
عرِق	sweat
جاكيت خفيفة	sweater
كنّس	sweep
تكنيس	sweep
حلو	sweet
جميل	sweet
أحلام سعيدة	sweet dreams
بيموت عالحلو	sweet tooth
حبيب	sweetheart
نفخة	swell
متورّم	swelling
سباحة	swim
سباحة	swimming
يتمرجح	swing
يبدّل	switch
مورّم	swollen
سيف	sword
رمز	symbol
تعاطف	sympathy
أعراض	symptoms
نظام	system
طاولة	table
جدول	table
العدة	tackle
بطاقة شعار	tag
تاغ	tag
دنب	tail
خُذْ	take
خُود	take
يبعد	take away
انتبه	take care
اعتني	take care
طارت	take off
مأخود	taken
بيحكي	talk
ثرثار	talkative
طويل	tall
حنفية	tap
شريط	tape
غاية	target
هدف	target
مهمة	task
دوق	taste
طيّب	tasty
علّم	taught
شاي	tea
يعلّم	teach
أستاذ	teacher
معلم	teacher
فريق	team
دمعة	tear
دموع	tears
يزعج	tease
يدايق	tease
تكنولوجيا	technology
سنان	teeth
خبّر	tell
قلّي	tell me
خبرني	tell me
طبع حدّ	temper
درجة الحرارة	temperature
