a little	кӀеззиг
otherwise	кхечу кепара
otherwise	кхечу тайпана
ought	деза
our	тхан
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	Тхан декхар: Ӏаламах болу хаамаш синтеме хиларх массо а кхетор - иза нийса а ду.
Our mission: to organize the world's information and make it universally accessible and useful.	Тхан декхар: Ӏаламан хаамаш системе балина иштта цуьнах массо а кхеташ волуш иза пайдане хиллийтар ду.
out	чуьра ара
outcome	йист яккха
outcome	чекхдаккха
outfit	гӀирс
outgoing	дӀадохьуьйту
outlet	арадалар
outline	контур
outside	арахула
outstanding	гӀараваьлла
oven	товха
over	тӀехула
over there	дӀо цига
overall	нийса аьлча
overcome	тола
overcome	толам баккха
overthinking	тӀехьарчо
overwhelmed	цецдаккхина
overwhelmed	аргӀаддахийтина
overwhelming	дукхахберш
owe	хила деза
owl	бухӀа
own	долара
own	долахь
owner	да
owner	долахо
ox	сту
pace	болар
pack	дӀахьарчор
package	пакет
paid	схьатекхаш
pain	лазар
paint	басардан
painting	сурт
pair	шиъ
pale	беса
palm	кераюкъ
pan	яй
pandemic	ун
pandemic	пандеми
panic	кхерадалар
panic	дохар
pants	хеча
paper	кехат
paradise	ялсамани
parallel	тераниг
parallel	параллель
parcel	поштехула яийтина хӀума
pardon	бехк ма била
parents	да-нана
park	парк
parrot	тоти
parsley	чам бен буц
part	дакъа
participate	дакъалацар
particular	билгалдина
particular	шадаьккхина
particularly	къаьсттина
partner	накъост
partner	декъашхо
party	синкъерам
pass	чекхдала
passage	чекхдалар
passed	чекхдаьлла
passion	даггара хилар
passionate	даггара
passive	партал
password	пароль
past	дахнарг
past	хилларг
past	лелларг
past	дӀадаьлларг
patch	йома
path	некъ
pathetic	гӀийла
patience	собар
patient	собаре
patient	сапаргӀат
pattern	шаблон
pattern	бустам
pause	сацангӀа
pavement	некъ
pay	мах дӀабала
pay	ахча дала
payment	мах балар
peace	дуьне
peaceful	машаре
peach	гӀаммагӀа
peak	бохь
pear	кхор
pear	хьормат
peas	кхоьш
peculiar	башхалле
pee	яздан
peel	чкъуьйриг
peer	цхьатерра
peer	тера
peers	нийсархой
pen	къолам
pencil	къолам
pending	хьежар
people	нах
pepper	бурч
perceive	кхета
perception	моьттург
perception	хетарг
perfect	вуно дика
perfect	тоьлла
perform	хӀоттор
perform	хӀоттам
performance	эвсаралла
performance	кхочушдар
perhaps	аьтто хиларе хьаьжжина
perhaps	аьтто баларе терра
perhaps	ницкъ ма-кхоччу
period	мур
permanent	даим
permanent	диллина
permanent	цахеддаш
permission	пурба
permit	магийта
perseverance	ондалла
perseverance	чӀогӀалла
persistent	чӀогӀа
person	стаг
person	адам
personal	шен
personality	шеггара
personality	адам
perspective	перспектива
perspective	хиндерг
persuade	тешна хила
pervert	сийсаздаккхархо
pet	цӀера дийнат
phase	фаза
phenomenon	феномен
phenomenon	цецвоккхург
philosophy	философи
phone	телефон
photo	сурт
phrase	фраза
phrase	дешнийн кочар
physical	ницкъаша
physical	физически
pick	харжар
pick up	схьалахьо
picture	сурт
piece	юьхк
piece	дакъа
pieces	дакъош
pig	хьакха
pigeon	кхокха
pile	оьла
pillow	гӀайба
pilot	кемалелорхо
pin	пин
pineapple	ананас
pink	ал-бос
pit	ор
pitch	кховдор
pitch	далар
pity	къинхетам
place	меттиг
places	меттигаш
plague	ун
plain	могӀара
plain	атта
plan	план
plan	Ӏалашо
plane	кема
plant	орамат
plants	ораматаш
plate	кад
plate	бошхап
platform	платформа
platform	тӀегӀа
play	ловза
playing	лакхара
pleasant	тамехьа
pleasant	там болуш
please	Делан дуьхьа
pleased	резахилар
pleasure	там
pledge	закъалт
plenty	дукха
plot	сюжет
plug	штекер
plum	хьач
plumber	сантехник
plural	дукхалин терахь
podcast	подкаст
poem	байт
poetry	поэзи
point	тӀадам
poison	дӀовш
police	полици
policy	политика
polite	гӀиллакхе
pollution	сийсаздар
pollution	бехдар
pond	Ӏам
pool	бассейн
poop	цӀано ян
poor	миска
poor	къен
pop	тата
popular	гӀараваьлла
population	бахархой
pork	хьакхин жижиг
porridge	кенан худар
port	порт
position	дарж
position	меттиг
position	хьал
positive	самукъане
positive	бакъхьара
possess	долалла
possession	долалла
possessive	тӀеозаран
possible	тарлуш ду
possible	хила тарлуш ду
post	пост
postpone	юьстахдилла
potato	картол
potential	потенциал
potential	гӀора
pound	пунт
poverty	къоьлла
poverty	беркъалла
power	ницкъ
powerful	чӀогӀа
practical	практикан
practice	практика
practice	зеделларг
praise	хестор
prank	харцхьалла
pray	доӀа дан
precious	деза
precious	мехала
precise	леррина
precisely	леррина
predict	прогноз яр
prefer	тоьлуш
prefer	бакъахьа
preference	бакъхьа хетар
pregnant	доьзалхочух
pregnant	берах
prejudice	бӀатилар
premises	таро хилар
premium	уггаре лакхарчу сортан
preparation	кечам
prepare	кечдан
prepared	кечдинарг
preposition	бахьана
presence	нисдалар
presence	тӀедар
present	совгӀат
presentation	презентаци
presentation	довзийтар
preserve	лардар
president	паччахь
press	зорба
press	тӀетаӀор
pressure	тӀеӀаткъам
pretend	кеп лело
pretend	моттаргӀанаш лело
pretty	тайна
pretty	товш
prevent	ца дайта
prevent	дуьхьало ян
previous	хьалхара
prey	даккхар
price	мах
pride	куралла
priest	мозгӀар
primary	хьалхара
prime	юьхь
prime	коьрта
princess	паччахьан йоӀ
principal	лакхара
prior	хьалххе
priority	приоритет ерг
priority	хьалхадаккха дезарг
prison	набахте
privacy	къайлаха
private	долара
private	долахь
privilege	гӀоли
prize	совгӀат
probably	хила торуш
probably	хила тарлуш
problem	хьовзам
problem	проблема
problem	гӀайгӀа
procedure	процедура
procedure	хьесап
proceed	дӀадахьа
process	процесс
produce	дан
product	продукт
production	кхоллар
profession	професси
professional	корматаллин
profile	профиль
profit	пайда
profound	кӀорга
progress	кхиам
progress	прогресс
project	проект
prominent	гуш
promise	ваӀда дан
promise	дош дала
promote	гӀодан
promotion	хьаладаккхар
prompt	чехка
prone	тӀера
pronouns	цӀерметдешнаш
pronunciation	алар
proof	тоьшалла
proper	нийса
proper	хила ма-дезза
properly	нийса
properly	хила ма-деза
properly	ладаме
properties	башхаллаш
property	долалла
proposal	кховдо
prospect	перспектива
prosperity	кхиам
prosperous	кхиош долу
protect	лардан
proud	кура
prove	тешо
provide	латтор
provide	кхачамбар
provided	гайтинарг
province	провинци
provision	латтор
puberty	гӀеметтахӀоттар
public	юкъараллин
pull	озор
pumpkin	гӀабакх
punctual	дурсе
pupil	дешархо
purchase	эцар
pure	цӀена
purple	цӀexo-сийна
purpose	Ӏалашо
purse	бохча
pursue	тӀаьхьадаьлла лела
pursue	лар лаца
pursuit	тӀаьхьадаьлла лелар
push	татта
put	охьадилла
qualification	говзалла
qualification	квалификаци
quality	дикалла
quantity	барам
quarantine	карантин
quarrel	эгӀар
quarter	доьалгӀаниг
Quechua	Кечуа
queen	паччахьан зуда
queer	тамашена
query	хаттар
question	хаттар
queue	рогӀехь
queue	рагӀ
quick	сиха
quick	чехка
quickly	сиха
quickly	маса
quiet	меллаша
quilt	детта
quit	пайдаэца
quit	лело
quite	реза хила
quite	дуьззина
quiz	квиз
quotation	цитата
quote	мах хадо
quotes	дешнаш
rabbit	пхьагал
race	сихалла
rage	дералла
rain	догӀа
raise	тӀедала
raise	деста
raised	хьалаайдина
raised	даздина
ran	дӀададар
random	ларамза
range	диапазон
range	гуо
rapid	сиха
rapidly	сиха
rare	нилха
rare	чорда
rarely	наггахь
rash	хьара
rash	кхарта
rat	мукадахка
rate	балл
rather	чехкаха
rather	сихаха
ratio	дозуш хилар
rational	эвсаре
raw	тӀуьна
re	юха
reach	кхачадала
reached	тӀекхача
reaction	реакци
read	деша
reading	дешар
ready	кийча
real	долуш дерг
real	баккъал
reality	бакъдерг
realize	кхочушдан
realize	кхета
realized	кхета
really	баккъал
rear	тӀехьара
reason	бахьана
reasonable	хьекъале
recall	хетарг алар
receipt	чек
receive	схьаэца
received	схьаэцнарг
recent	дукха хан йоццуш
recently	дукха хан йоццуш
reception	тӀелацар
recipe	рецепт
reckless	кхетамбоцу
reckless	хьекъалдоцу
recognition	довзар
recognize	кхета
recommend	хьехам бар
recommended	хьехош дийриг
record	дӀаяздан
recover	юхаметтахӀотта
recovery	юхаметтахӀоттор
rectangle	нийса саберг
red	цӀен
redeem	мах дӀабала
redeem	схьаэца
redemption	бехктакхар
reduce	лахдан
reduce	кӀезиг дан
reduce	жимдан
redundant	дукха
refer	дан
reference	тӀедозар
reflect	юхатоха
reflection	юхатохар
refrain	сатохар
refrigerator	шелорг
refrigerator	рефрижиратор
refund	ахча юхадерзор
refuse	дуьхьал хилар
refused	дуьхьал хила
regard	ларам
regarding	доьзна
regarding	хьакхалуш
regardless	пусар доцу
regards	ларамца
region	меттиг
region	кӀошт
region	регион
register	регистраци ян
regret	дагахьбаллам
regular	даима а
regular	диллина
regularly	даим
reject	юхататта
relate	дозуш хила
related	дихкина
relationship	гергарло
relationship	зӀе
relationship	юкъаметтиг
relative	гергара стаг
relatives	гергара нах
relax	малдала
release	арахеца
release	кхочушдан
release	мукъадаккха
released	арахецна
relevant	мегаш
relevant	торуш долу
reliable	тешаме
relief	атто
relieve	паргӀатдаккха
relieved	аттачу дала
religion	дин
religious	динан
reluctant	хьайна
reluctant	лаам боцу
reluctant	дог ца догӀу
rely	тешар
remain	саца
remain	диса
remaining	сацийра
remarkable	башха
remedy	гӀирса
remember	дагадан
remind	дагадаийтар
reminder	дагадаийтар
remote	дӀехьадаьккхина
remote	юьстахдаьккхина
remote	арадаьккхина
remove	дӀадаккхар
remove	юхаэцар
remove	юхадаккхар
render	дан
rent	аренде эца
rent	йоле диллина схьаэца
repair	тодар
repeat	юха ала
replace	хийцар
reply	жопдалар
report	довзийтар
report	хаамбар
represent	довзийта
reputation	ларам
reputation	репутаци
request	жоп дехар
require	схьадеха
require	юхадеха
required	схьадоьхург
rescue	кӀелхьалдаккхар
research	таллар
research	зер
resemble	эха
resentment	эргӀаддала
reservation	дӀалацар
reserve	тӀаьхьало
resident	вахархо
resign	дӀавалар
resilience	ондалла
resilient	онда
resist	дуьхьало ян
resistance	дуьхьало
resolution	резолюци
resolution	жамӀ
resolve	жамӀе кхача
resort	курорт
resources	аьргаллаш
resources	ресурсаш
respect	ларар
respect	ларам
respond	дакъалаца
response	жоп
responsibility	жоьпалла
responsible	жоьпаллин
rest	мукъахилар
rest	садаӀар
rest in peace	Маьрша Ӏилла
restaurant	ресторан
restore	юхаметтахӀотто
restrict	доза тухуш
result	жамӀ
result	хилам
results	хилам
resume	юхадоладала
retail	терзанахь узуш дохкар
retain	латтор
retention	сацор
retired	мукъа хилар
retreat	духадалар
retrieve	даха
retrieve	даккха
return	юхадерзо
return	юхадало
reveal	схьаделла
revealed	билгалдина
revenge	бекхам
revenue	тӀедогӀург
reverse	юхадогӀу
review	хьажар
review	зер
revise	юхахьажар
revision	юхахьажар
revolution	революци
reward	совгӀат
rhythm	ритм
rib	пӀенда
rice	дуга
rich	бахам болу
rich	хьал долу
rich	дехаш долу
rid	хьалхадаккхар
ride	эха
ride	лела
ridiculous	лартӀахь доцу
right	бакъ ду
right	нийса ду
right	аьтту агӀор
right now	хӀинца
rigid	декъа
rigid	шога
ring	го
ring	хӀоз
ring	чӀуг
rinse	дитта
rinse	хича хьакхо
rinse	дила
riot	гӀаттам
rip	хадор
ripe	хилла долу
rise	айар
risk	кхераме хила
risk	кхерам латта
risk	кхерамбала
rival	къийсархо
river	хи
road	некъ
roast	кхарза
robust	тешаме
robust	онда
rock	рок
rod	гӀад
role	декхар
role	дечун дакъа
roll	рулон
roof	тхов
room	чоь
root	орам
rope	тӀийраг
rotten	дахкаделла
rough	морса
rough	шога
roughly	чорда
round	горга
route	маршрут
routine	маьӀна доцу болх
row	могӀа
rub	хьекхо
rubber	резаьнка
rubbish	нехаш
rude	морса
rude	шога
rug	куз
ruin	дохор
rule	бакъо
ruler	паччахь
ruler	урхаллча
rules	бакъонаш
run	дада
running	вадар
rural	юртара
rural	юртан
rush	сихалла
sack	гали
sacred	деза
sacrifice	сагӀа дан
safe	кхерамза
safe flight	маьрша гӀойла
safety	кхерамзалла
sage	хьекъалча
said	элира
sail	гата
sail	парус
sailing	гатанан спорт
sake	сакэ
salary	алапа
sale	дохкар
salmon	лосось
salt	туьха
same	тера
same	иштта
Same here	изза
sample	масал
sand	гӀум
Sanskrit	Санскрит
sarcastic	Ӏиттарш яр
sassy	кӀоршаме
sat	хиина Ӏийна
satisfaction	тамхилар
satisfaction	тоаме далор
satisfied	тоаме
satisfied	кхачаме
satisfy	кхачамбар
satisfying	кхачамехь
Saturday	шот
sausage	йоьхь
savage	къиза адам
savage	вон адам
savage	акха адам
save	Ӏалашдан
save	тӀечӀагӀдан
saw	гира
say	ала
scale	кхачо
scale	масштаб
scam	афера
scam	тешнабехк
scam	бозбуанчалла
scar	мо
scarce	зене
scared	кхерийна
scarf	шарф
scary	инзаре
scattered	дӀасакхийсина
scene	сцена
scenery	пейзаж
scent	хьож
schedule	график
schedule	раж
school	ишкол
science	Ӏилма
scientist	дешна стаг
scientists	Ӏалам нах
scissors	тукар
scold	дов дан
scope	доза
scope	дукхалла
scope	барам
score	чот
scrap	кӀозалг
scratch	мӀараш таса
scratch	махцарг
scream	мохь
screen	экран
screw	винт
script	скрипт
sea	хӀорд
seal	мухӀар
search	лахар
season	зама
seat	охьахоийла
second	шолгӀа
secret	къайле
section	секци
section	декъар
secure	кхерамзалла
security	кхерамзалла
see	ган
see you	гур ду вай
see you later	тӀаьхьа гур ду вай
see you soon	гур ду вай
see you tomorrow	кхана гур ду вай
seed	хӀу
seek	леха
seem	хетадала
seems	хетало
seen	гина
seize	схьалаца
seizure	доладерзор
seldom	наггахь
select	харжар
self	ша
self healing	шен дарбанаш лелор
selfish	дегала
selfish	саьхьара
sell	дохка
send	дахийта
send	хьажо
send me your picture	хаьйн сурт даийта суна
senior	лакхара
sense	хаам
sensible	кхетамчохь долу
sensitive	экама
sent	дӀадахьийтар
sentence	кховдор
sentences	кховдор
separate	къаьстина
separate	дӀакъаьстина
Sepedi	Сепеди
september	сентябрь
sequence	цхьаьнадар
series	башхаллаш
series	билгалонаш
series	сереш
serious	леррина
seriously	баккъал
serve	хьашт кхочушдан
service	гӀуллакх дар
session	сесси
set	эцар
set up	хӀотто
setting	дӀахоттор
settle	чухаа
seven	ворхӀ
seventeen	вуьрхӀитта
seventy	кхузткъе
several	масех
severe	буьрса
sew	тегар
sh	ш
shade	ӀиндагӀа
shadow	ӀиндагӀ
shake	дегадар
shall	дийр ду
shallow	кегий
shallow	гомха
shallow	жима
shame	эхь
shape	васт
shape	кеп
shape	барам
share	декъадала
sharp	ира
she	и
she	иза
she has	цуьнгахь ду
she is	иза
shed	божал
sheep	жий
sheet	тахта
sheet	дакъа
sheet	агӀо
sheet	цастар
shelf	терхи
shell	лахьорч
shelter	тховкӀело
shield	турс
shift	такхар
shine	лепа
ship	кема
shipping	дӀадахьар
shirt	коч
shoes	мачаш
shoot	тохар
shop	туька
shopping	туькана вахар
shopping	эцарш дан
shore	хийист
short	доца
shortage	оьшуш хилар
shot	далар
shot	тохар
should	хила тарло
should	хила мега
shoulder	белш
shout	мохь
show	гайта
show me	гайта суна
shower	душ
shower	луьйчийла
shrimp	креветка
shrink	жимдалар
shrink	хабар
shut	дӀакъовла
shut up	дӀакъовла
shy	эсала
shy	эхье
sibling	ваша-йиша
siblings	вежарий
siblings	йижарий
sick	цомгуш
sick	сиркхо
side	агӀо
sigh	синош даха
sight	хьажар
sight	бӀаьргтохар
sightseeing	езачу меттигашка хьажар
sign	томмагӀа
signature	куьг яздар
significant	ладам боллуш
significant	кхачаме
silence	тийналла
silent	тийна
silk	дера
silly	Ӏовдал
silver	дети
similar	тера
simp	хӀилланзаниг
simple	цхьалха
simultaneously	цхьана хеннахь
since	дуьйна
since	тӀера дӀа
sincere	даггара
sincerely	даггара
sing	лекха
singer	эшаршлакхархо
single	цхьалха
sink	ной
sink	чо
sink	чоь
Sir	Сэр
sister	йиша
sister in law	маьрйиша
sit	хиина Ӏан
site	сайт
situation	хьал
situation	ситуаци
six	ялх
sixteen	ялхитта
sixty	кховзткъе
size	барам
skill	карадерзар
skills	карадерзинарг
skills	Ӏаьмнарг
skills	зеделларг
skin	цӀока
skinny	оза
skip	чекхдалийтар
skirt	юбка
sky	стигал
slave	гӀарбаш
sleep	наб ян
sleeping	набъяр
sleepy	набаран
sleeve	пхьош
slice	цастар
slide	гу
slightly	меллаша
slim	дуткъа
slip	шерша
slope	басе
slot	слот
slow	меллаша
slowly	мела
small	кегий
small	жима
smart	хьекъале
smell	хьожа
smile	делакъажа
smoke	кӀур
smooth	шера
snack	тӀекхаллар
snail	этмаьӀиг
snake	лаьхьа
snap	тӀах дан
snow	ло
so	хӀета
so	иштта
so	оццул
so cute	хьомсара
so far	хӀинца а
soak	малар
soap	саба
sober	дахаза
soccer	футболан
social	юкъараллин
society	юкъаралла
socks	пазаташ
soft	кӀеда
software	программан кхачам
soil	латта
sold	доьхкина
sold out	доьхкина
soldier	салти
sole	айра
solid	онда
solution	сацам
solve	къаста
some	цхьаверг
some	цхьадерг
somebody	цхьаъ
somehow	мухха а
someone	муьлхха
something	цхьа хӀума
something	цхьамма
sometimes	цхьана хенахь
sometimes	наггахь
song	илли
soon	кеста
soon	сихха
sophisticated	чолхе
sophisticated	зеделла
Sorani	Сорани
sore	даӀ
sore throat	къамкъарг лазош
sorrow	гӀайгӀа
Sorry	къинтӀера вала
Sorry	Бехк ма била
sort	литта
sort	дӀасакъасто
sought	лахара
soul	са
soulmate	гергара стаг
sound	аз
sound	гӀара
soup	суп
sour	муьста
source	хьост
south	къилбе
space	шорте
space	тӀурнене
space	космос
space	стигал
spam	спам
spam	нехаш
span	юкъ
Spanish	Испахойн
spare	тӀаьхьалонан
speak	къамел дан
special	къаьсттина
species	кеп
specific	леррина
spectacular	битаме
speech	къамел
speechless	дистцахирг
speed	сихалла
spell	неӀалт
spend	дохкар
spent	дайина
spicy	кӀон
spike	кӀохцал
spin	хьийзор
spinach	шпинат
spirit	са
spit	туйнаш кхийсар
splendid	исбаьхьа
split	декъа
spoil	талхор
spoiled	талхина
spontaneous	цахетарг
spoon	Ӏайг
spot	томмагӀа
spouse	майра
spread	даржор
spring	бӀаьсте
square	майда
squeeze	тӀетаӀор
squid	кальмар
squirrel	тарсал
st	ур
stab	урс тохар
stable	чӀагӀделла
stack	барз
stack	рагӀ
stack	хоьла
staff	персонал
stage	рагӀ
stain	томмагӀа
stairs	лами
stake	дакъа
stalk	гӀодам
stall	ога
stamp	мухӀар
stand	латта
standard	стандарт
star	седа
start	дӀадолор
started	долина
starving	мацала хьоьгург
state	пачхьалкх
statement	дехар
station	станци
statue	хӀоллам
statue	статуя
status	статус
status	хьал
stay	саца
stay	диса
stay	Ӏан
stay safe	ларлуш хила
steady	цхьабосса
steady	цхьана хьесапехь
steak	стейк
steak	кхаьрзина жижиг
steal	лечкъо
steam	Ӏаь
steel	болат
steep	Ӏункар
stem	бух
step	ког
stick	тӀетаса
stick	сацо
stick	тӀетоха
stiff	декъа
stiff	шога
still	юха а
still	цхьана эшшара
still	цхьабосса
sting	ю тоха
stingy	пис
stir	новкъарло
stock	ларма
stolen	лачкъина
stomach	хьер
stone	тӀулг
stood	лаьтташ хила
stool	гӀант
stop	саца
stop	сацар
storage	хьаьтта
storage	ларма
store	туька
store	ларма
storm	шайтӀан мох
story	истори
stove	экъа
straight	нийса
straightforward	къайле йоцуш
straightforward	дог цӀена
strain	тӀетаӀор
strange	тамаше
stranger	цавевзарг
strategy	стратеги
straw	ча
strawberry	цӀазам
streak	аса
stream	долуш хила
stream	хила
street	урам
strength	ницкъ
stress	стресс
stretch	дохалла
strict	къовламе
strict	тийна
strike	тохар
string	могӀа
strip	аса
strive	гӀерта
stroke	тохар
strong	чӀогӀа
strong	ницкъала
struck	эшна
structure	дӀахӀоттам
struggle	къийсам
struggling	къийсам
stubborn	аьрха
stubborn	сонта
stuck	дисина
student	студент
study	Ӏамо
study	талла
studying	Ӏамор
stuff	материал
stuff	хӀума
stunning	цецвоккху
stupid	Ӏовдал
style	стиль
subject	хӀума
subject	субъект
submission	муьтӀахь дар
submit	тӀечӀагӀдан
substance	хӀума
substitute	хийцар
subtle	дуткъа
succeed	кхиаме
success	аьтто
successful	кхиаме
such	ишта
such as	цунах терра
suck	цӀубдан
sudden	цӀаьххьана
suddenly	цӀеххьана
suffer	бала хьега
suffering	бала хьегар
sufficient	кхачаме
sugar	шекар
suggest	хьехам бан
suggest	ала
suggest	хьеха
suggestion	алар
suit	мегаш долу
suitable	мегаш долу
suitcase	чамда
sum	барам
summary	резюме
summary	жамӀ
summer	аьхке
summit	вовшах кхетар
sun	малх
sunday	кӀиранде
sunny	маьлхе
sunset	малх чубузар
sunshine	маьлхан серло
super	супер
superior	дикаллица билгалвериг
supervisor	куьйгалхо
supper	пхьор
supply	кхачо
supply	дала
supply	латто
support	гӀо
suppose	ойла хила
suppose	дагадан
supposed	моьтту
sure	дера
surface	тӀехуле
surface	тӀехулара
surge	тулгӀе
surgery	хирурги
surname	фамили
surname	дайн цӀе
surprise	совгӀат
surprised	цецваьлла
surrender	каравахар
surrounding	гонахара
surveillance	терго
survey	ледара
survive	дийна диса
suspect	дегабаам
suspended	оьллинарг
suspended	сацийнарг
suspicious	шеконе
suspicious	шеконан
sustain	чӀагӀдан
sustainability	чӀогӀа хилар
sustainable	цхьана эшшара
swag	къепал
swag	салпал
swallow	къурдаш дан
swap	хийцар
swear	дуй
sweat	хьацар
sweater	пазаткоч
sweater	свитер
sweep	нуй хьакха
sweet	мерза
sweet dreams	наб беркате хуьлда
sweet tooth	мерза хӀума езарг
sweetheart	хьомениг
swell	дестар
swelling	дестар
swim	нека дан
swimming	нека дан
swing	техко
switch	дӀайойъург
switch	лакъорг
swollen	дистина
sword	тур
symbol	символ
symbol	васт
sympathy	безам
symptoms	симптомаш
system	система
table	шун
table	текх
tackle	кечамаш
tag	билгало
tail	цӀога
take	схьаэца
take away	дӀадахьа
take care	юьхьаръэца
take care	тӀелаца
take care	гӀайгӀа бан
take off	эца
taken	схьаэцнарг
talk	мотт бийца
talk	къамел дан
talk	вистхила
talkative	къамеле
tall	лекха
tap	кран
tape	лента
target	Ӏалашо
task	Ӏалашо
taste	чам
tasty	мерза
taught	гӀоьртина
tea	чай
teach	Ӏамо
teacher	хьехархо
team	команда
team	тоба
tear	этӀо
tears	бӀаьрхиш
tease	хичаш ян
technology	технологи
teeth	цергаш
tell	дийца
tell me	ала соьга
temper	характер
temperature	температура
temple	килс
temporary	ханна
ten	итт
ten thousand	итт эзар
tenant	йолах нехан хӀума лелориг
tenant	арендатор
tend	болам баржа
tend	терго ян
tend	тенденци хила
tendency	тенденци
tender	тендер
tense	гӀоьртина хьал
tension	тӀетаӀор
tent	гӀортор
tent	гӀаж
tentative	хьалххе
term	хан
terms	хьелаш
terrible	къемате
terrible	къиза
terrific	инзардоккху
territory	доза
test	таллам
test	тест
text	текст
than	мел
than	иза доцург
thank	баркалла
thank you	баркалла
Thank you for your patience while we investigate shipment	Тхо дӀахьажийна довллалц сатохарна баркалла хьуна
thank you so much	докха баркалла ду шуна
thank you very much	доккха баркалла ду хьуна
thanks	баркалла
Thanks for using our app	Баркалла тхан хьехамах пайда эцарна
that	дӀогарниг
that	иза
that is	вуьшт аьлча
that's good	иза дика ду
theft	лачкъор
their	церан
them	церан
theme	тема
themselves	шайн
then	цул тӀаьхьа
then	тӀаккха
theory	теори
there	дӀога
there	цига
there are	цигахь
there is	иза ду
therefore	цундела
these	уьш
they	уьш
they are	уьш бу
thick	стомма
thief	къу
thigh	варе
thin	дуткъа
thing	хӀума
things	хӀуманаш
think	ойла ян
third	кхолгӀа
thirsty	хьагдала
thirteen	ткъе итт
thirty	ткъе итт
this	и
this	иза
this is	иза ду
thorough	леррина
thoroughly	дикка
those	уьш
though	хӀета а
though	мукъа а
though	амма
thought	ойла
thought	хетарг
thoughtful	ойлане
thoughts	ойланаш
thousand	эзар
thread	хьаса
threat	кхерам
threaten	кхерам таса
three	кхоъ
threshold	неӀсагӀа
thrilled	синтем байна
thrive	зазадаккха
throat	къамкъарг
through	бахьаница
through	чекх
through	тӀехула
throughout	чекх
throw	кхийса
thumb	нанапӀелг
thunder	стигал къовкъар
Thursday	еара
thus	оцу кеппара
tick	билгалдаккхар
tide	хӀорд тӀекхетар
tidy	дурсе
tie	галстук
tiger	цӀоькъалом
tight	чорда
tight	дуткъа
Tigrinya	Тигринья
time	хан
time	зама
timid	ийзалург
tiny	жима
tip	хьехам
tips	чайнан хӀума
tire	зоьпар
tired	гӀорасиз
tired	кӀаддала
tissue	кӀеда
title	цӀе
to be	хила
toast	тост
today	тахана
toddler	кога доьду бер
toes	когапӀелгаш
together	цхьаьна
toilet	туалет
told	аьлла
tolerance	сатохар
tolerate	сатохар
tomato	помидор
tomorrow	кхана
tongue	мотт
tonight	тховса
too	кхин а
too	а
took	схьаэцна
tool	гӀирс
tool	инструмент
tools	инструменташ
tooth	церг
top	лакхара
top	тоьлла
topic	тема
torn	датӀийна
torture	Ӏазап
total	дерриг
touch	куьг Ӏоттар
tough	чӀогӀа
tour	тур
toward	дуьхьал
toward	агӀор
towards	дуьхьал
towards	агӀор
towel	гата
town	гӀала
toxic	дӀаьвше
trace	лар
track	некъан аса
track	некъ
trade	дохкар
tradition	ламаст
traditional	ламастан
traffic	трафик
trail	лар
train	цӀерпошт
training	хьехар
training	Ӏамор
trait	амалан башхалла
traits	сизаш
transfer	меттахдаккхар
transition	дехьавалар
translate	гочдар
transparent	чекх са гун
transport	транспорт
transportation	дӀадахьар
trap	гура
trash	нехаш
trauma	чов
travel	кхарста
travel	араваьлла лела
tray	лоток
treasure	хазна
treat	дарба лело
treatment	дарба лелор
tree	дитт
tremendous	доккху
trend	тенденци
trial	зеран
trial	зуьйш
trick	хӀилла
tried	гӀоьртира
trigger	лаг
trim	тодар
trip	кхарстар
trip	лелар
trip	вахар
trouble	бала
trousers	хеча
truck	кирлелош йолу машен
true	бакъдерг
trunk	багажник
trust	теша
truth	бакъдерг
try	хьажа
Tsonga	Тсонга
tube	трубка
tube	биргӀа
Tuesday	шинара
tuition	Ӏамор
turkey	Туркойн мохк
turmeric	куркума
turn	paгӀ
turtle	уьнтӀапхьид
tutor	репетитор
twelve	шийтта
twenty	ткъа
twenty-one	ткъе цхьаъ
Twi	Тви
twice	шозза
twist	твист
two	шиъ
type	тайпа
typical	тайпаналлин
ugly	цӀармата
ugly	ирча
ultimate	тӀаьхьара
umbrella	четар
unable	хьолехь цахилар
uncle	деваша
uncle	ненаваша
unconscious	кхетаме доцу
under	кӀел
underneath	кӀел
underrated	богӀу мах ца хадийна
understand	кхета
understood	кхийтира
unfortunately	дакъазалла
uniform	униформа
unique	башха
unit	дустаран барам
university	университет
unknown	вевзаш воцу
unless	нагахь санна и ца
until	оцу тӀе кхаччалц
until	хӀетталц
unusual	башха
up	ирх
up	хьала
up to you	хьуна хаа мега
update	дуза
update	карладаккха
update	хийца
upgrade	карладаккха
upon	хенахь
upset	телхина
upset	халахетар
upset	цатам
urban	гӀалин
urge	самадаккха
urgent	сиха
us	тхуна
use	пайдаэцар
use	лелор
used	пайда эцнарг
useful	пайде
useless	пайде доцу
usual	гуттар
usually	гуттар а
usually	даима а
utility	пайда
vacation	мукъа хан
vacation	балхах садоӀу денош
vaccination	вакцинаци
vaccine	дарба
vaccine	вакцина
vacuum	вакуум
vague	къастанза
vague	билгалза
valid	нийса
valid	бакъдолу
valley	тогӀе
valuable	мехала
value	мах
value	мехалла
value	маьӀна
variety	башхалла
variety	тайп-тайпаналла
various	башхалла йолуш
