abandoned	okulekulirwa
reasonable	okutegeerekeka
reason	ensonga
recall	okujjukira
receipt	lisiiti
received	-afuna
receive	okufuna
recently	jjuuzi juuzi
recent	mu buliwo
reception	lisepusoni
recipe	ebirungo
reckless	-lagajjavu
recognition	okutegeera
recognize	okutegeera
recommended	okulagirira
recommend	okulonda
record	ebiterekero
recover	okufuna
recovery	okuwona
rectangle	mwamba
redeem	okununula
redemption	okununulibwa
red	-myuufu
reduce	okukendeeza
redundant	tekyetagisa
reference	okwebuuza ewalala
refer	okulagirira
reflection	ekitangaala
reflect	okufumitiriza
refrain	okwezira
refrigerator	fuliiji
refund	okusasula
refused	okugaana
refuse	okugaana
regarding	ekikwaata ku
regardless	nwankubadde
regard	londa endowoza eyo
regards	kulamusiza
region	ekifo
register	okwewandiisa
regret	okwejjusa
regular	buli kaseera
regularly	buli kaseera
reject	okugaana
related	okubeera n'akakwaate
relate	oluganda
relationship	enkolagana
relative	ow'ekika
relatives	ab'ekika
relax	okuwummula
released	okuteebwa
release	okuta
relevant	-mugaso
reliable	okwesigika
relief	emirembe
relieved	okuweweera
relieve	okuweweeza
religion	eddiini
religious	kya diini
reluctant	okukungubala
rely	okwesigama
remaining	okusigalawo
remain	okusigala
remarkable	kya njawulo
remedy	eddagala
remember	okujjukira
reminder	okujjukiza
remind	okujjukiza
remote	limooti
remove	okujjamu
render	okuwa
rent	obusuulu
repair	okukanika
repeat	okuddamu
replace	okuzzaawo
reply	okuddamu
report	okuloopa
represent	okukiikirira
reputation	ekitiibwa
request	okusaba
required	-etaagisa
require	okwetaagisa
rescue	okununula
research	okunoonyereza
resemble	-faanana
resentment	obukyaayi
reservation	okutereka
reserve	okutereka
resident	omutuuze
resign	okulekulira
resilience	obumalirivu
resilient	obumalirivu
resistance	okugaana
resist	okulwana
resolution	ensalawo
resolve	okumalirira
resort	ettabaaliro
resources	eby'okukozesa
respect	okussaamu ekitiibwa
respond	okuddamu
response	okuddamu
responsibility	obuvunaanyizibwa
responsible	-buvunaanyizibwa
restaurant	lesitoolanti
rest in peace	wummula mirembe
rest	okuwummula
restore	okuwona
restrict	okufunza
result	alizaati
results	alizaati
resume	okuddamu
retail	okutunda ebintu mubutono
retain	okukuuma
retention	okukuuma
retired	okulekulira
retreat	obuddukiro
retrieve	-funa
return	okukomawo
revealed	okubikkulirwa
reveal	okubikkula
revenge	okuwolera
revenue	enfuna
reverse	okudda emabega
review	okwekkaanya
revise	okuyisaamu amaaso
revision	okuyisaamu amaaso
revolution	okwewaggula
reward	empeera
rhythm	okucaccaliza ebigambo
rib	olubiriizi
rice	omuceere
rich	obugagga
ride	okusotta
ridiculous	kibi
rid	okujjawo
right	kituufu
right now	kati
rigid	okukaluba
ring	empeta
rinse	okumunyunguza
riot	okwekalakaasa
ripe	okwengera
rip	okuyuza
rise	okuyimuka
risk	akabi
rival	omulabe
river	omugga
road	oluguudo
roast	okwookya
robust	eggume
rock	olwaazi
rod	omu'ggo
role	omugaso
roll	okuzinga
roof	akasolya
room	ekisenge
root	omuzi
rope	omuguwa
rotten	-vundu
roughly	okukozesa amaanyi
rough	obukakanyavu
round	okwetooloola
route	ekkubo
routine	okudingana
row	olunyiriri
rubber	labba
rubbish	kasassiro
rub	okusangula
rude	-kambwe
rug	ekisiimula
ruin	okwonoona
rule	okufuga
ruler	luula
rules	amateeka
running	okudduka
run	okudduka
rural	mu kyaalo
rush	okwaanguwa
sack	egguniya
sacred	obutukuvu
sacrifice	sadaaka
safe flight	olugendo olulungi mu nnyonyi
safe	obukuumi
safety	obukuumi
sage	ekirime ekikozesebwa nga edagala
said	-agamba
sailing	okuvuga elyaato
sail	okuseeyeeya
sake	ekigendererwa
salary	omusaala
sale	okutunda
salmon	eky'enyanja
salt	omunnyo
Same here	kyekimu ne wano
same	-mu
sample	okulegako
sand	omusenyu
Sanskrit	Sanskrit
sarcastic	kusaaga
sassy	obukanu
satisfaction	okukkuta
satisfied	okukkuta
satisfying	-kkusa
satisfy	okukkusa
sat	okutuula
Saturday	Olunaku ol'wamukaaga
sausage	soseji
savage	nga nsolo
save	okununula
saw	omusumeeno
say	okugamba
scale	minzaani
scam	okufera
scarce	ebbula
scared	okutya
scar	enkovu
scarf	ekizibawo
scary	eky'entiisa
scattered	okusaansaana
scene	oluyombo
scenery	enabika
scent	akawoowo
schedule	teekateeka
school	essomero
science	sayansi
scientist	kigezimunnyo
scientists	abanasayansi
scissors	makansi
scold	okuyombesa
scope	obuzito bwomugaso
score	okuteeba
scrap	akatiriginya
scratch	okutakula
scream	okuleekaana
screen	lutimbe
screw	omusumaali
script	ekiwandiiko
sea	enyanja
seal	okusiba
search	okunoonya
season	ebiro
seat	ekifo
second	akatikitiki
secret	ekyaama
section	akabondo
secure	okukuuma
security	obukuumi
seed	ensigo
seek	okunoonya
seem	okulabika
seems	kilabika
seen	okulaba
see	okulaba
see you later	tulabagane edda
see you soon	nja kukulaba edda
see you tomorrow	tulabagane enkya
see you	tulabagane
seize	okubaka
seizure	ensimbu
seldom	si bulijjo
select	okulonda
self healing	okwewonya
selfish	okwemalirira
self	obwananyini
sell	okutunda
send me your picture	nsindikira ekifaanayi kyo
send	okutuma
senior	omukulu
sense	okuwulira
sensible	okutegeera
sensitive	kyamugasonyo
sentences	ebigambo
sentence	sentensi
sent	yatumwa
separate	okwawula
Sepedi	Sepedi
september	omweezi ogw'omwenda
sequence	olunyiriri
series	ebintu ebija kimu Ku kimu
serious	kikulu
seriously	okikakasa
serve	okuweereza
service	empeereza
session	olukiiko
set	biggate
setting	okutereeza
settle	okutereera
set up	okutandika
seven	musanvu
seventeen	kumi na musanvu
seventy	nsanvu
several	-ngi
severe	-ngi
sew	okutunga
shade	okusiiga
shadow	ekisiikirize
shake	okunyeenya
shall	nja
shallow	-funda
shame	ensonyi
shape	enkula
share	omugabo
sharp	-oogi
shed	okufiirwa
sheep	endiga
sheet	ebbaati
she has	ye alina
she is	ye ali
shelf	ekitindiiro
shell	ekisosonkole
shelter	okweggama
she	ye
shield	engabo
shift	okusenguka
shine	okwaaka
ship	emmeeri
shipping	okutambuza ku mmeeri
shirt	saati
shoes	engatto
shoot	okukuba essasi
shop	okugula
shopping	okugula
shore	olukalu
shortage	ebbula
short	obumpi
shot	okukuba essasi
shoulder	amabegaabega
should	-teekwa
shout	okulekaana
shower	okunaaba
show me	ndaga
show	okulaga
shrimp	shrimp
shrink	okukendeera
sh	sh
shut	okuggalawo
shut up	sirika
shy	ensonyi
sibling	muganda wange
siblings	ab'oluganda
sick	-lwadde
side	oludda
sigh	okussa ekikkoowe
sight	okulaba
sightseeing	okulambuula
signature	okutekako omukono
significant	kya mugaso
sign	okuteekako omukono
silence	akasiriikiriro
silent	okusirika
silk	liiri
silly	obusiru
silver	effeeza
similar	okwefaananyiriza
simple	-angu
simp	omuntu omusiru
simultaneously	emirundi mingi
since	okuva
sincere	amazima
sincerely	mazima
singer	omuyimbi
single	-wuulu
sing	okuyimba
sink	okubbira
Sir	Ssebo
sister in law	mulamu omukazi
sister	mwanyina
site	ekibanja
sit	okutuula
situation	embeera
six	mukaaga
sixteen	kumi na mukaaga
sixty	nkaaga
size	obunene
skill	eby'emikono
skills	eby'engalo
skinny	mutono
skin	omubiri
skip	okubuuka
skirt	sikaati
sky	eggulu
slave	omuddu
sleeping	okwebaka
sleep	otulo
sleepy	Okuba n'otulo
sleeve	emikono gya saati
slice	okusala
slide	okuseerera
slightly	katono
slim	-tono
slip	okuseerera
slope	akaselengeto
slot	ekifo
slowly	mpola
slow	mpola
small	-tono
smart	okulabika obulungi
smell	okuwunyiza
smile	okumweenya
smoke	omukka
smooth	obugonvu
snack	obumpwankimpwanki
snail	ekkovu
snake	omusota
snap	ekifananyi
snow	omuzira
soak	okunnyika
soap	sabuuni
sober	okutegeera
soccer	omupiira
social	embera yobuntu
society	abantu ku kyaalo
socks	Sitookisi
so cute	kilungi nyo
so	ekituufu
so far	kakati
soft	obugonvu
software	sofutiweeya
soil	ettaka
sold	-atunda
soldier	omujaasi
sold out	okutunda amaguzi gonna
sole	soole
solid	ekigumu
solution	okugonjoola
solve	okuggusa
somebody	omuntu
somehow	afazali
some	-mu
someone	waliwo omuntu
something	ekintu ekimu
sometimes	oluusi
song	oluyimba
soon	mangu ddala
sophisticated	tategerekeka
Sorani	Sorani
sore	okuzimba
sore throat	okulumwa mu mamiro
sorrow	ennaku
Sorry	Nsonyiwa
sort	engeri
sought	okunoonya
soulmate	-omwoyo
soul	omwoyo
sound	okuwulikika
soup	supu
source	ensibuko
sour	okukaawa
south	sawusi
space	ekifo
spam	obubaka obutalina makulu
span	ebbanga
Spanish	Olusupeyini
spare	okusonyiwa
speak	okwoogera
special	kya njawulo
species	ebika
specific	kilondemu
spectacular	kisuffu
speechless	okubulwa ebigambo
speech	okwoogera
speed	supiidi
spell	okwogera
spend	okusaasaanya
spent	okukozesa
spicy	okulunga
spike	okukoleera
spinach	bbuga
spin	okwetooloola
spirit	omwooyo
spit	okuwandula
splendid	Kisuffu
split	yatika
spoiled	okwoononeka
spoil	okwoonoona
spontaneous	ekikangabwa
spoon	ekijiiko
spot	ekifo
spouse	omufumbo
spread	okusaasanya
spring	sepulingi
square	kyebiriga
squeeze	okukamula
squid	ekisolo ekyo mumaz
squirrel	endegeya
stable	yetengerede
stab	okufumita
stack	okubunga
staff	abakozi
stage	siteeji
stain	ebbala
stairs	amadaala
stake	olubaawo
stalk	okulinnya akagere
stall	omudaala
stamp	sitampu
standard	omutindo
stand	okuyimirira
star	emmunyeenye
started	okutandika
start	okutandika
starving	Okulumwa enjala
state	eggwanga
statement	ekigambo
station	sitenseni
statue	ekiwumbe
status	ennyimirira
stay	okusigala
stay safe	wekuume
steady	obugumu
steak	enyama
steal	okubba
steam	omukka
steel	kyuuma
steep	akaserengeto
stem	enduli
step	eddaala
stick	akati
stiff	okukakanyala
still	naye
sting	okuluma
stingy	obukodo
stir	okutabula
stock	okutunda
stolen	ekibbe
stomach	olubuto
stone	ejjinja
stood	yayimirira
stool	akatebe
stop	okulekera
storage	okutereka
store	sitoowa
storm	kibuyaga
story	olugero
stove	sigiri
straightforward	obuteeruma ntama
straight	okugolokoka
strain	kulafuubana
stranger	mugenyi
strange	sikya bulijjo
strategy	akakodyo
straw	akaseke
strawberry	situloberi
streak	olunyiriri
stream	oluzzi
street	ekkubo
strength	amaanyi
stress	okukoowa
stretch	okugolola
strict	obukakaativu
strike	okwekalakaasa
string	akaguwa
strip	okwambula
strive	okufuba
stroke	storoko
strong	obugumu
struck	okukubibwa
structure	enkula
struggle	okufuba
struggling	obulafubana
st	st
stubborn	-ddalu
stuck	okulaalira
student	omuyizi
studying	okusoma
study	okusoma
stuff	ebintu
stunning	kisanyusa nyo
stupid	-siru
style	engeri
subject	essomo
submission	obujeemulukufu
submit	okuwaayo
substance	amakulu
substitute	okuteeka mu kifo kya
subtle	okukozesa amagezi okutukiliza ekintu
succeed	okukulaakulana
successful	okuyita
success	okuyita
such as	okugeza nga
such	nga
suck	okunuuna
sudden	kibwatukira
suddenly	kibwatukira
suffering	okubonabona
suffer	okubonabona
sufficient	okumala
sugar	sukaali
suggestion	okuteesa
suggest	okuteesa
suitable	okusaanira
suitcase	sanduuko
suit	suuti
summary	okubumbako
summer	obudde bw'akasana
summit	obusammambiro
sum	okugatta
sunday	Sabiiti
sun	enjuba
sunny	omusana
sunset	obugwanjuba
sunshine	akasana
superior	omukulu
super	kiyitirivu
supervisor	omulabirizi
supper	eky'eggulo
supply	okugaba
support	okuwagira
supposed	okuteekwa
suppose	okuteekwa
sure	tewali kubuusabuusa
surface	ku ngulu
surge	okutambula okugenda mumasa
surgery	okuloongoosa
surname	erinnya egganda
surprised	okuzinduukiriza
surprise	okuzinduukiriza
surrender	surrender
surrounding	okwetooloola
surveillance	okuketta
survey	okunyoonyereza
survive	okusimattuka
suspect	okwekengera
suspended	okuyimiriza
suspicious	okubuusabuusa
sustainability	okwebeezawo
sustainable	kimazaako
sustain	okubeezawo
swag	amalala
swallow	okumira
swap	okufaanyisa
swear	okulayira
sweater	sweeta
sweat	okutuuyana
sweep	okuyera
sweet dreams	ebirooto ebirungi
sweetheart	kabiite
sweet	okuwooma
sweet tooth	okwagala ebiwooma
swelling	okuzimba
swell	okuzimba
swimming	okuwuga
swim	okuwuga
swing	okwesuuba
switch	okukyuusa
swollen	okuzimba
sword	ekitala
symbol	akabonero
sympathy	okusaasira
symptoms	obubonero
system	ebikozesebwa ewamu
table	emmeeza
tackle	ekikozesebwa mu mulimo
tag	erinnya
tail	omukira
take away	twaala eri
take care	-kuume
taken	okutwaalibwa
take off	okujjako
take	twaala
talkative	okwogera nyo
talk	okwoogera
tall	obuwanvu
tape	teepu
tap	taapu
target	ssabaawa
task	ekigezo
taste	okuloza
tasty	okuwooma
taught	-asomesa
tea	caayi
teacher	omusomesa
teach	okusomesa
team	ekibinja
tear	okuyuza
tears	amaziga
tease	okukookoonya
technology	tekinolojiya
teeth	amanyo
tell me	mbulira
tell	okugamba
temperature	ebbugumu
temper	obusungu
temple	yeekalu
temporary	sikyalubeerera
tenant	omupangisa
tendency	emize
tender	okugonda
tend	okulabirira
ten	kkumi
tense	okubulwa emirembe
tension	obunkenke
tentative	tekimanyidwa
tent	eweema
ten thousand	mutwaalo
term	ekisanja
terms	emitendera
terrible	kibi
terrific	-ntiisa
territory	amatwaale
test	ekigezo
text	okuwandiika obubaka
thank	okwebaza
Thanks for using our app	Webala kukozesa app yaffe
thanks	weebale
Thank you for your patience while we investigate shipment	Weebale kugumiikiriza nga bwe tunoonyereza ku byamaguzi we bituuse
thank you so much	weebale nyo.
thank you very much	webale nyo
thank you	weebale
than	okusinga
that	ekyo
that is	ekyo kili
that's good	ekyo kirungi
theft	obubbi
their	byaabwe
them	bbo
theme	omulamwa
themselves	bokka
then	awo
the	omu
theory	okukkiriza
there are	waliwo e-
there	awo
therefore	n'olw'ekyo
there is	waliwo
these	bino
they are	bbo bali
they	bbo
thick	obukwaafu
thief	omubbi
thigh	ekisambi
thing	ekintu
things	ebintu
think	okulowooza
thin	obutono
third	eky'okusatu
thirsty	ennyonta
thirteen	kumi na ssatu
thirty	asatu
this is	kino kili
this	-no
thoroughly	nyo
thorough	okutunulira bulikimu
those	-o
though	naye
thought	ekirowoozo
thoughtful	okulowoozako
thoughts	ebirowoozo
thousand	lukumi
thread	wuzi
threaten	okutiisatiisa
threat	entiisa
three	ssatu
threshold	ebintu ebibera wansi wolugi
thrilled	okusanyuka
thrive	okuwangula
throat	amamiro
through	mu
throughout	ekiseera kyonna
throw	okukasuka
thumb	olugalo olusajja
thunder	laddu
Thursday	olunaku olw'okuna
thus	n'olwekyo
tick	okusaza
tide	empewo
tidy	obuyonjo
tie	okusiba
tiger	engo
tight	okunyweeza
Tigrinya	Tigrinya
time	omulundi
timid	obutiitiizi
tiny	-tono
tip	kawuna
tips	tiipu
tired	nkooye
tire	omupiira
tissue	busimu bwomubiri
title	omutwe
toast	ekyuma ekifumba emigati
to be	okubeera
today	leero
toddler	omwaana
toes	obugere
together	ffembi
toilet	kabuyonjo
to	ku
told	okubuulira
tolerance	obuguminkiriza
tolerate	okuguminkiriza
tomato	enyaanya
tomorrow	enkya
tongue	olulimi
tonight	kiro kino
took	yatwaala
tool	ekikozesebwa
tools	ebikozesebwa
too	nyo
tooth	erinnyo
topic	omulamwa
top	waggulu
torn	okuyulika
torture	okutulugunya
total	okugatta
touch	okukwaata
tough	obugumu
tour	okulambuula
toward	eri
towards	eri
towel	tawulo
town	kibuga
toxic	-a butwa
trace	okuziga
track	kuziga
trade	obusuubuzi
traditional	-lombo
tradition	ennono
traffic	tulafiki
trail	okulinnya akagere
train	gaali y'omukka
training	okutendeka
trait	empisa
traits	empisa
transfer	okusindika
transition	okuyuuka
translate	okuvvunula
transparent	okutangaala
transportation	entambula
transport	entambula
trap	omutego
trash	kasassiro
trauma	okukosebwa
travel	Okutambula
tray	olugali
treasure	eky'omuwendo
treatment	obujjanjabi
treat	okujjanjaba
tree	omuti
tremendous	kingi nyo
trend	okubeera ku mutindo
trial	okugezako
trick	olukwe
tried	okugezaako
trigger	okusiikula
trim	okukendeeza
trip	olugendo
trouble	ennaku
trousers	empale
truck	motoka
true	kituufu
trunk	essanduuko
trust	obwesigwa
truth	amazima
try	okugezaako
Tsonga	Tsonga
tube	omupiira
Tuesday	Olunaku olw'okubiri
tuition	sente
turkey	ssekokko
turmeric	ekinzaali
turn	okukyuuka
turtle	enfudu
tutor	omusomesa
twelve	kumi na bbiri
twenty	amakumi abiri
twenty-one	abiri mu emu
twice	emirundi ebiri
twist	okunyoola
Twi	Twi
two	bbiri
type	okuwandiika
typical	okulabika nga omuntu omulala
ugly	-bi
ultimate	ekitukibwako kunkomerero
umbrella	ambuleera
unable	obutasobola
uncle	kojja
unconscious	obutategeera
underneath	wansi wa
underrated	okunyooma
understand	okutegeera
understood	-tegeera
under	wansi
unfortunately	eky'embi
uniform	yunifoomu
unique	eky'enjawulo
unit	omunwe
university	yunivasite
unknown	ekitamanyikiddwa
unless	mpozi nga
until	mpaka nga
unusual	si kya bulijjo
update	okututegeza
upgrade	okuyimusa omutindo
upon	waggulu
upset	okunyiiga
up to you	kiri eri gwe
up	waggulu
urban	mukibuga
urgent	mangu
urge	okukuutira
used	okukozesa
useful	-a mugaso
useless	obutabeera na mugaso
use	omugaso
us	ffe
usual	buli kaseera
usually	buli kaseera
utility	ebikozesebwa
vacation	ekiwummulo
vaccination	okugema
vaccine	eddagala ly'okugema
vacuum	ebanga
vague	tekitegeerekeka
valid	kituufu
valley	ekiwonvu
valuable	kya mugaso
value	omuwendo
variety	eby'enjawulo
various	eby'enjawulo
vary	-aawukana
vase	veesi
vast	-nene
vegetable	enva endirwa
vegetables	eva endirwa
vehicle	emmotoka
vendor	omutunzi
venom	obutwa
venture	omwoleso
venue	ekifo
verify	okukakasa
versatile	okukyuukakyuuka
version	ekika
vertical	okwesimba
very good	kilungi nyo
very	nyo
vessel	ekikompe
via	ku
vibe	okukwana
vibes	okukwana
vicious	-kambwe
victim	omukube
video	vidiyo
view	endowooza
village	ekyaalo
villain	omulabe
vinegar	vinega
vintage	-kadde
violence	obukambwe
violent	obutujju
viral	okusaasaana
virgin	mbeerera
virtual	lutimbe
virtue	obulongoofu
vision	okulaba
visit	okukyaala
visual	ebifaananyi
vital	-a mugaso
vivid	okulabikirawo
vocabulary	ebigambo bwoluzungu
voice	eddoboozi
void	tekikirizibwa
volume	eddoboozi
volunteer	okwewaayo
vomit	okusesema
vulnerable	omwaavu
wage	empeera
wages	empeera
waist	ekiwato
waiter	omuweerezi
waiting	okulinda
wait	linda
wake	okuzuukuka
wake up	zuukuka
walking	okutambula
walk	okutambula
wall	ekisenge
wallet	waleti
wander	okwenjeera
wanna	okwagala
wanted	okwagalwa
want	okwagala
wardrobe	woduloopu
warehouse	weeyahawusi
warm	okubuguma
warning	okulabula
warn	okulabula
war	olutalo
warrior	omulwaanyi
was	-ali
wash	-yoza
waste	kasassiro
watch	saawa
water	amazzi
watermelon	wotameloni
wave	amayengo
way	engeri
weakness	obunafu
weak	obunafu
wealth	obugagga
wealthy	obugagga
we are	ffe tuli
wearing	okuyambala
wear	okwambala
weather	obudde
we can	tusobola
wedding	embaga
Wednesday	Olunaku olwokusatu
weed	omuddo
weekend	wikendi
week	sabiiti
we	ffe
weight	obuzito
weird	obutategerekeka
welcome	kaale
welfare	embeera
Well	bulungi
well done	gyebaleko
went	-agenda
were	twaali
west	ebugwa njuba
wet	okutoba
whale	lukwaata
what about you	atte gwe
what are you doing now	okola ki kaakati
what are you doing	okola ki
what are you doing right now	okolaki kati
what do you do for a living	okola ki okwebeezaawo
what do you do	okola ki
what do you mean	otegeeza ki
what do you want	oyagala ki
whatever	-nna -nna
what happened	kiki ekyabaddewo
what is	kiki -li
what is this	kiki kino
what is your job	okola mulimu kyi
what is your name	erinnya lyo gwe ani
what	kiki
what's up	kiki ekiriwo
what's your name	erinnya lyo gwe ani
wheat	eng'aano
wheel	nnamuziga
when	ddi
whenever	olunaku lwonna
where are you from	ova wa
where are you now	oliwa kati
where are you	oli wa
whereas	nga atte
where do you live	obeera wa
where is	ekintu kiliwa
where	wa
whether	oba
which	nga
while	naye
whisper	akaama
whistle	okufuuwa oluwa
white	kyeeru
who	ani
who are you	gwe ani
who is	ani ali
who is this	ani ono
whole	mu bulambirira
whom	ani
whose	-aani
why	lwaaki
why not	lwaaki nedda
wicked	-labe
wide	obugazi
widow	namwandu
width	obugazi
wife	mukyaala
wild	eky'ensiko
will	ekiraamo
willing	okwagala
wind	empewo
window	eddirisa
windy	empewo empitirivu
wine	omwenge
win	okusinga
winter	ekiseera eky'obutiti
wipe	okusiimuula
wire	waaya
wisdom	amagezi
wise	okuba n'amagezi
wish	singa
wish you all the best	-kwagaliza ebirungi
witch	omulogo
withdrawal	okujjayo
withdraw	okujjayo
within	mu masekati ga
with	ne
without	obubeera na
witness	omujulizi
witty	-gezi
wolf	omusege
woman	omukazi
women	abakazi
wonderful	-lungi
wonder	okweewuunya
won	okusinga
won't	okulekera
wood	enku
wool	ebyooya
word	ekigambo
words	ebigambo
working	okukola
work	okukola
work out	okukola duyilo
world	ensi
worm	olusiringanyi
worn	okwambala
worried	okweraliikirira
worry	okweraliikirira
worse	ekisingako obubi
worship	okusinza
worst	ekisinga obubi
worth it	-saanira
worth	omuwendo
worthy	okusaanira
would	-andi
wound	ekiwundu
Wow	Wow
wrap	okuzinga
wrath	okukyaayi
wrist	oluyingo
Write here	wandiika wano
write	wandiika
writing	okuwandiika
written	kiwandikiddwa
wrong	-kyaamu
wrote	-wandiika
yard	yaadi
yawn	okwayuuya
Yeah	Yee
year	omwaka
years	emyaka
yeast	ekizimbukulusa
yell	okuwoggana
yellow	kyenvu
yes baby	iye bebi
yes dear	yee mukwano
yes honey	wanji kabiite
yes my love	wanji mukwano
yes of course	yee, butereevu
yesterday	jjo
Yes	Yee
yet	naye
yield	okukungula
you are beautiful	oli mulungi
you are	oli
you are so beautiful	oli mulungi nyo
you are welcome	-sanyuse okukulaba
you can	osobola
you	ggwe
You know	Omanyi
young	obuto
you're welcome	kaale
you’re welcome	kaale
yourself	ggwe
your welcome	tusanyuse okukulaba
your	-yo
youth	obuvubuka
you too	naawe
yummy	okuwooma
zero	zeelo
