a	ⴰ
doing	ⵢⴻⵅⴷⴻⵎ
doll	ⵜⴰⵒⵓⵒⵉⵍⵜ
domain	ⴰⴳⵎⵓⴹ
domestic	ⴰⵅⵅⵣⵎ
dominant	ⵜⴻⵃⴽⴻⵎ
don't	ⵓⴻ ⴷⵯⵜⴰⵔⵔⴰ ⴰⵔⴰ
Don't worry	ⵓⵔ ⵜⵜⵇⴻⵍⵉⴰ ⴰⵔⴰ
donate	ⴰⵚⴻⴷⴷⴻⵇ
done	ⵉⴼⵓⴽⴽ
donkey	ⴰⵖⵢⵓⵍ
dope	ⵣⴻⵟⵍⴰ
double	ⵓⵙⵍⵉⴳ
doubt	ⵢⵛⵓⴽ
dough	ⴰⵔⴻⴽⵜⵉ
down	ⵖⴻⵔ ⵍⵇⴰⵄⴰ
download	ⵙⵙⵉⴳⴻⵣ
draft	ⴰⵔⵓ
drag	ⵣⵣⵓⵖⵓⵔⴻⵖ
drain	ⴰⵙⵓⴼ
drama	ⵜⴰⵎⵓⴳⴳⵉⵜ
draw	suneɣ
drawer	ⵍⴻⵇⵊⴻⵔ
drawing	ⵙⵙⵓⵏⴻⵖ
dread	ⴰⴼⵊⴰε
dream	ⴰⵔⴳⵓ
dress	ⵜⴰⵇⴻⵏⴷⵓⵔⵜ
drill	ⵜⴰⵙⴻⴼⵍⵓⵜ
drink	ⵙⴻⵡ
drive	ⵢⴻⵏⵀⴻⵔ
drop	ⵢⴻⵖⵍⵉ
dropped	ⵢⵀⴻⵡⵡⴻⴷⵯⴷ
drought	ⵜⴰⵖⴰⵔⵜ
drunk	ⵢⴻⵙⵡⴰ
dry	ⵢⴻⴽⴽⴰⵡ
duck	ⴰⴱⵔⵉⴽ
dude	ⴰⵢ ⴰⵎⴻⴷⴷⴰⴽⴻⵍ
due	ⵍⵃⴻⵇ
due to	ⵉⵎⵉ
dull	ⴷ ⴰⵎⵅⵓⵎ
dumb	ⵓⵏⴳⵉⴼ
dump	ⴰⴽⴰⵎⵢⵓⵏ
duration	ⵜⴰⵍⵍⵉⵜ
during	ⴷⴻⴳ
dust	ⴰⵖⴻⴱⴱⴰⵔ
duty	ⵍⵡⴰⵊⴻⴱ
dwell	ⵢⴻⵣⴷⴻⵖ
dying	ⵢⴻⵜⵜⵎⴻⵜⵜⴰⵜ
each	ⵢⴰⵍ ⵢⵉⵡⴻⵏ
each other	ⵡⴰ ⵖⴻⵔ ⵡⴰⵢⴻⴹ
eager	ⵢⴻⵙⵄⴰⵏ ⵍⴻⴱⵖⵉ
eagle	ⵉⴳⵉⴷⴻⵔ
ear	ⴰⵎⴻⵥⵥⵓⵖ
earlier	ⵣⵉⴽⵯⵏⵏⵉ
early	ⵣⵉⴽ
earn	ⵔⴻⴱⵃ
ears	ⵉⵎⴻⵥⵥⵓⵖⴻⵏ
earth	ⴰⴽⴰⵍ
earthquake	ⵜⵣⴻⵏⵣⴻⵍⵜ
ease	ⵜⴰⵙⵓⵙⵎⵉ
easily	ⵙ ⵜⴻⴼⵙⴻⵙ
east	ⴰⵙⴰⵎⵎⴰⵔ
easy	ⴰⵙⵀⴻⵍ
eat	ⴰⵞⵞ
eating	ⵜⵓⵞⵞⵉⵜ
economic	Admis
economy	ⵜⴰⴷⴰⵎⵙⴰ
edge	ⵔⵔⵉⴼ
edit	ⵥⵔⴻⴳ
education	ⴰⵙⴻⵍⵎⴻⴷ
effect	ⴰⵙⴻⵎⴷⵓ
effective	ⵢⴻⵙⵄⴰⵏ ⴰⵣⴰⵍ
efficiency	ⴰⴼⵓⴷ
efficient	ⵉⴼⵓⵍⴽⵉⵏ
effort	ⴰⴼⵓⴷ
egg	ⵜⴰⵎⴻⵍⵍⴰⵍⵜ
eggplant	ⴱⴰⵜⴻⵏⵊⴰⵍ
ego	ⵉⵎⴰⵏⵯⵉⵡ
eight	ⵜⵎⴰⵏⵢⴰ
eighteen	ⵎⵔⴰⵡ ⴷ ⵟⴰⵎ
eighty	ⵟⴰⵎ ⵏ ⵜⵎⴻⵔⵡⵉⵏ
either	ⵏⴻⵖ
elaborate	ⴰⵙⵏⵓⵍⴼⵓ
elbow	ⵜⴻⵖⵎⴻⵔⵜ
elder	ⴰⵎⵖⴰⵔ
elderly	ⴰⵎⵖⴰⵔ
elegant	ⵉⵔⵖⴰⵏ
element	ⴰⴼⵜⵓⵙ
elephant	ⵉⵍⵓ
eleven	ⵎⵔⴰⵡ ⴷ ⵢⵉⵡⴻⵏ
eligible	ⵢⴻⵙⵄⴰⵏ ⴰⵣⴻⵔⴼ
eliminate	ⵢⴻⴽⴽⴻⵙ
else	ⴰⵢⴻⵏ ⵏⵏⵉⴹⴻⵏ
embarrassed	ⵃⴻⵛⵛⵎⴻⵖ
embarrassing	ⵍⴻⵃⵕⵉⵙ
embrace	ⵇⴱⴻⵍ
emerge	ⵙⵉⴼⵔⵉⵔ
emergency	ⵢⴻⵄⴵⴻⵍ
emotional	ⵢⴻⵜⵃⵓⵍⴼⵓ
empathy	ⵍⵖⵉⴹ
emphasis	ⵜⵉⵍⴰⵡⵜ
emphasize	ⵢⴻⵜⵜⵃⴻⵜⵜⵉⵜ
employee	ⴰⵅⴻⴷⴷⴰⵎ
employees	ⵉⵅⴻⴷⴷⴰⵎⴻⵏ
employer	ⴰⵏⴻⵎⵀⴰⵍ
employment	ⴰⵅⴻⴷⴷⵉⵎ
empty	ⵉⵍⴻⵎ
enable	ⵢⴻⵣⵎⴻⵔ ⵍⵃⴰⵍ
encounter	ⵢⴻⵎⵍⴰⴽ
encourage	ⵙⵙⴻⵍⵀⵓ
end	ⵜⴰⴳⴳⴰⵔⴰ
endangered	ⴷⴻⴳ ⵓⵎⵉⵀⵉ
endeavor	ⵉⴼⴰⴷⴷⴻⵏ
endurance	ⵜⴰⵣⵉⴷⵉⵔⵜ
endure	ⵢⴻⵙⵄⴰⵏ ⵚⵚⴱⴻⵕ
enemy	ⴰεⴷⴰⵡ
energy	ⵜⴰⵣⵎⴻⵔⵜ
engage	ⵢⴻⵅⴹⴻⴱ
engaged	ⵢⴻⵅⴷⴻⴱ
engagement	ⵍⴻⵅⴹⵓⴱⴻⵢⵢⴰ
engine	ⴰⵎⵓⵜⵓⵔ
engineer	ⴰⵊⴻⵏⵢⵓⵔ
English	ⵜⴰⴳⵍⵉⵣⵉⵜ
enhance	ⵢⴻⵙⵏⴻⵔⵏⵉ
enjoy	ⵄⴻⴴⴱⵯⴰⵙ
enormous	ⴰⵎⴻⵇⵇⵔⴰⵏ
enough	ⵉⵛⴰⵟ
ensure	ⴰⴷ ⴷⵯⵢⴻⴼⴽ
enter	ⴽⴻⵛⵎⴻⵜ
entertainment	ⵣⵣⵀⵓ
enthusiasm	ⴰⵣⵏⴰⵍ
enthusiastic	ⵉⵎⵏⵓⴼⴰⴳ
entire	ⴰⴽⴽ
entitled	ⴰⵣⵔⴻⴼ
entity	ⴰⵎⵙⴰⵔⵉ
entrance	ⵓⵏⴻⴽⵛⵓⵎ
entrepreneur	ⵉⵎⵄⴻⵍⵍⴻⵎ
envelope	ⵜⴰⴱⵔⴰⵜ
environment	ⵜⵉⵡⴻⵏⵏⴰⴹⵉⵏ
envy	ⵜⵉⵙⵎⵉⵏ
epic	ⵜⵉⵎⴻⵍⵃⴻⵎⵜ
epidemic	ⵜⴰⵙⴰⴽⵔⴰⵔⵜ
equal	ⴰⵎⵣⵓⵏ
equipment	ⴰⵍⵍⴰⵍ
equity	ⴰⵎⵓⵔ ⵏ ⵜⵏⴻⴼⵙⵉⵜ
equivalent	ⴽⵉⴼⴽⵉⴼ
eraser	ⵙⴻⴼⴻⴹ
error	ⵜⵓⵛⵛⴹⴰ
escape	ⵜⴰⵔⵡⵍⴰ
especially	ⵍⴰⴷⵖⴰ
essay	ⵜⵚⴻⴷⴷⴰⵔⵜ
essence	ⵜⵓⵎⴰⵙⵜ
essential	ⵉⵅⴰⵜⴰⵔⵏ
establish	ⴰⵙⴻⴱⴷⴻⴷ
established	ⵢⴻⵜⵜⵡⴰⵙⴱⴻⴷⴷ
estate	ⵓⵖⴻⴳⴳⴰⴷ
estimate	ⴰⵙⵓⴳⴻⵏ
estimated	ⴰⵣⴰⵍ ⵏ
etc	ⴰⵜⴳ
eternal	ⴰⵎⵓⴷ
ethics	ⵜⴰⵖⴻⵎⴰ
evaluate	ⴰⵙⵎⵓⵇⵇⴻⵍ
evaluation	ⴰⵙⴻⵖⵜⵉ
even	ⵓⵍⴰ ⴷ
even though	ⵡⴰⵅⵅⴰ
evening	ⵜⴰⵎⴻⴷⴷⵉ
event	ⵜⴰⴷⵢⴰⵏⵜ
eventually	ⵜⴰⴳⴳⴰⵔⴰ
ever	ⵢⴰⵍ ⴰⵙⵙ
every	ⵢⴰⵍ
everybody	ⵎⴻⴷⴷⴻⵏ ⴰⴽⴽ
everyone	ⴰⴽⴽ
everything	ⴽⵔⴰ ⵢⴻⵍⴰⵏ
evidence	ⵉⵙⵙⴻⴽⵏⵉⵢⴻⵏ
evil	ⵢⵉⵔ
evolution	ⵜⵉⵎⴻⵔⵏⵉ
evolve	ⵢⴻⵏⵔⵏⴰ
Ewe	Eⵡ
ex	ⴰⵎⴻⴷⴷⴰⴽⴻⵍ ⵏ ⵣⵉⴽ
exact	ⵙⵡⴰⵙⵡⴰ
exactly	ⵙⵡⴰⵙⵡⴰ
exam	ⴰⴽⴰⵢⴰⴷ
examine	ⵜⵜⵎⵓⵇⵓⵍ
example	ⴰⵎⴻⴷⵢⴰ
exceed	ⵢⵓⴳⴰⵔ
excellent	ⵉⵖⵓⴷⴰⵏ
except	ⵙⵉⵡⴰ
exception	ⴰⵍⴰ
excess	ⴰⵙⵟⵓⵇⵇⵓⵜ
excessive	ⵙⵟⵓⵇⵇⵓⵜ
exchange	ⴰⴱⴻⴷⴷⴻⵍ
excited	ⵙⴻⵇⵍⵉⵍⴻⵃ
excitement	ⴰⵏⴱⴰⵛ
exciting	ⵢⴻⵙⵙⴻⵡⵀⴰⵎ
exclusive	ⴰⵎⴰⴳⴰⵣ
excuse	ⵙⵙⵓⵔⴻⴼⵯⵉⵢⵉ
excuse me	ⵙⵙⵓⵔⴻⴼⵯⵉⵢⵉ
execute	ⵓⵇⵇⴻⵎ
execution	ⵜⴰⵙⴻⵍⴽⴻⵎⵜ
executive	ⴰⵎⴹⴻⴱⴱⴻⵔ
exercise	ⵍⵖⴻⵍ
exhaust	ⴼⴼⴰⴳⴳⵡⴻⵖ
exhausted	ⵢⴻⵙⵄⴰ
exhibit	ⵜⵉⵎⵣⵉⴽⴻⵏⵜ
exhibition	ⵜⵉⵎⵣⵉⴽⴻⵏⵜ
exist	ⴰⴽⴽⵡ
existence	ⵜⵉⵍⴰⵡⵜ
existing	ⵉ ⵢⴻⵍⵍⴰⵏ
exit	ⵜⵓⴼⴼⵖⴰ
expand	ⵎⵖⵓⵔ
expect	ⵔⵊⵓ
expected	ⵢⴻⵜⵜⵓⵏⴻⴼⴽ
expenses	ⴰⵙⴻⵔⵔⴻⴼ
expensive	ⵖⵍⴰⵢ
experience	armi
experiment	ⵜⴰⵔⵎⵉⵜ
expert	ⴰⵎⵓⵙⵙⵏⴰⵡ
expired	ⵢⴻⵎⵎⵓⵜ
explain	ⴻⴼⵀⴻⵎ
explanation	ⴰⵙⴻⴳⵣⵉ
exploit	ⵜⴰⵏⴼⵓⵙⵜ
explore	ⴰⴷ ⴷⵯⵏⴰⴷⵉ
export	ⴰⵙⵙⵉⴼⵉⴹⴻⵏ
expose	ⴼⵙⴻⵔ
exposed	ⵉⴱⴰⵏⵯ ⴻⴷ
exposure	ⴰⵙⴼⴻⵍ
express	ⵏⵍⴻⵎⵎⴻⴷ
expression	ⴰⴷ ⴷⵯⵜⴻⵙⵙⴻⵏⴼⴰⵍⵉⴹ
extend	ⵙⴻⵖⵣⴻⴼ
extended	ⴰⵎⵔⴰⵃ
extension	ⵜⴰⵙⴳⵉⵡⵉⵜ
extent	ⴰⵙⴽⴻⵜ
external	ⴰⵎⵏⵉⵔⵉ
extinct	ⵢⴻⵏⴳⴻⵔ
extra	ⵓⴳⴰⵔ
extract	ⵢⴻⴽⴽⴻⵙ
extraordinary	ⵉⴼⴰⵣⴻⵏ
extreme	ⵉⵎⵉⵅⴼⵉⵡ
extremely	ⵙ ⵡⴰⵟⴰⵙ
eye	ⵜⵉⵟ
eyes	ⴰⵍⵍⴻⵏ
fabric	ⴰⵛⴻⵟⵟⵉⴹ
fabulous	ⵢⴻⵙⵙⴻⵡⵀⴰⵎⴻⵏ
face	ⵙⴻⴷⵎⴻⵔ
face	ⵓⴷⴻⵎ
facilitate	ⴰⵙⵀⴻⵍⵍⵉ
facilities	ⴰⵔⴼⵉⵇ
facility	ⵍⵜⴻⵙⴰⵍⴰ
fact	ⵜⵉⴷⴻⵜⵜ
factor	ⴰⵎⴻⵣⵣⴰⵔⴻⵡ
factory	ⵜⴰⵏⴻⵖⵔⴰⴼⵜ
facts	ⵜⵉⴷⴻⵜⵜ
fade	ⵜⴻⵜⵜⵕⵓⵃⵓ
fail	ⵅⴷⴻⵄ
fail	ⵢⴻⵅⵚⴻⵔ
failed	ⵢⴻⵅⵚⴻⵔ
failure	ⵍⴻⵅⵚⴰⵔⴰ
faint	ⵢⴻⵅⵍⴻⴼ
fair	ⴰⵏⴻⵎⴳⴰⵔ
fair	ⵓⵖⴷⵉⵎ
fairly	ⴷⴰⵇⵙ
fairy	ⵙⴻⵏⵖⴻⴷ
faith	ⵍⵉⵎⴰⵏ
faithful	ⴰⵏⵚⵉⵃ
fake	ⵎⴰⵞⵞⵉ ⴷ ⵡⵉⵏ ⵏ ⵜⵉⴷⴻⵜ
fall	ⵢⴻⵖⵍⵉ
false	ⵢⴻⵖⵍⴻⴹ
fame	ⵢⴻⵜⵡⴰⵙⵙⴻⵏ
familiar	ⵢⴻⵜⵜⵡⴰⵙⴻⵏⴻⵏ
family	ⵜⴰⵡⴰⵛⵓⵍⵜ
famine	ⵍⴰⵥ
famous	ⵢⴻⵜⵜⵡⴰⵙⵙⵏⴻⵏ
fan	ⵜⴻⵙⴱⵓⵃⵔⵓⵜ
fan	ⵢⴻⵔⴱⴻⵃ
fancy	ⵖⵍⴰⵢ
fantastic	ⵉⴳⴻⵔⵔⴻⵣ
far	ⵉⴱⵄⴻⴷ
farewell	ⴰⵔ ⵜⵉⵎⵍⵉⵍⵉⵜ
farm	ⵜⴰⴱⵃⵉⵔⵜ
farmer	ⴰⴼⴻⵍⵍⴰⵃ
fascinating	ⵜⴰⵏⴻⴱⴱⴰⴹⵟ
fashion	ⵜⴻⵍⴽⵉⵎⵜ
fast	ⵜⴰⵖⴰⵡⵍⴰ
fat	ⵢⴻⵙⵙⴻⵃⴰ
fatal	ⵎⴻⵙⵙⵓⵙ
fate	ⵜⴰⵡⴻⵏⵣⴰ
father	ⴱⴰⴱⴰ
fatigue	ⵄⴻⴳⴳⵓ
fault	ⵍⴻⵄⵢⵓⴱ
favorite	ⵉⵏⴰⵔⴰⴼⴻⵏ
favour	ⴷⴻⵔⴱⴻⵣ
favourite	ⵉⵃⴻⵎⵎⴻⵍ
fear	ⵢⵓⴳⴳⴰⴷ
feast	ⵜⴰⵎⴻⵖⵔⴰ
feather	ⵉⴼⴻⵔ
feature	ⴰⵎⴻⵢⴻⵣ
features	ⵙⵉⴼⴰⵜ
february	ⴼⵓⵔⴰⵔ
fed up	ⴷⴰⵇⵙ
fee	ⴰⵙⴻⴽⴽⵉⵍ
feed	ⴰⵖⴻⵓⵎ
feedback	ⵉⵡⴻⵏⵏⵉⵟⴻⵏ
feel	ⵃⵓⵍⴼⴰ
feeling	ⵉⵃⵓⵍⴼⴰⵏ
feet	ⵉⴹⴰⵔⵔⴻⵏ
fell	ⵢⴻⵖⵍⵉ
fellow	ⴰⵎⴷⴰⴽⴻⵍ
felt	ⵢⴻⵜⵜⵡⴰⵃⵓⵍⴼⵓ
female	ⵜⴰⵎⴻⵜⵜⴰⵏⵜ
fence	ⵙⴻⴼⵔⴻⵇ
fertile	ⴷ ⵜⵉⴼⴻⵔⴽⴰ
festival	ⵜⴰⴼⴰⵙⴽⴰ
fetch	ⴰⵡⴻⴷ
fever	ⵜⴰⵡⵍⴰ
few	ⴽⵔⴰ
fewer	ⴷⵔⵓⵙ
fiance	ⴰⵎⴻⴷⴷⴰⴽⴻⵍ
fiction	ⵓⵙⵙⵓⴳⴻⵏ
field	ⴰⵎⴽⴰⵏ
fierce	ⵜⵉⵙⴻⵔⴳⴰⵍ
fifteen	ⵎⵔⴰⵡ ⴷ ⵙⴻⵎⵎⵓⵙ
fifty	ⵙⴻⵎⵎⵓⵙ ⵏ ⵜⵎⴻⵔⵡⵉⵏ
fight	ⵏⵏⴰⵖ
fighting	ⴰⵎⵎⴻⵛⵜⵛⴰⵡ
figure	ⵢⴻⴼⵀⴻⵎ
figure out	ⵢⴻⴼⵀⴻⵎ
file	ⵙⴻⵏⵜⵓ
fill	ⵜⴻⵛⵛⵓⵔ
filled	ⵢⴻⵞⵞⵓⵔ
film	ⴰⵙⴰⵔⵓ
filthy	ⵢⴻⵔⴽⴰ
finally	ⵜⴰⴳⴳⴰⵔⴰ
finance	ⵜⴰⵥⵔⴰⴼ
financial	ⵉⴷⵔⵉⵎⴻⵏ
find	ⴰⴼⴻⴷ
find out	ⴰⴼⵯⴷ
fine	ⵢⴻⵍⵀⴰ
fine	ⵜⴰⴼⴳⵓⵔⵜ
finger	ⴰⴹⴰⴷ
finish	ⵉⴽⴼⴰ
finished	ⵢⴻⴼⵓⴽ
fire	ⵜⵉⵎⴻⵙ
firm	ⵉⵍⵓⵎⵎ
first	ⴰⵎⴻⴰⵣⵡⴰⵔⵓ
first name	ⵉⵙⴻⵎ
fish	ⵉⵙⴻⵍⵎⴰⵏ
fit	ⵢⴻⵙⵙⴼⴽⴻⵏ
five	ⵙⴻⵎⵎⵓⵙ
fix	ⴰⴷ ⵉⵢⵉⵯⵜⵙⴻⴳⴳⵎⴻⴷ
fixed	ⵚⴻⴳⴳⴻⵎ
flag	ⵙⴻⵏⵊⴰⵇ
flash	ⵍⴻⴱⵔⴻⵇ
flat	ⵢⴻⵥⵥⴻⵍ
flaw	ⵍⴻⵅⵚⴰ
flawless	ⴰⵏⴻⴱⵍⴰⵍ
flee	ⵢⴻⵔⵡⴻⵍ
flesh	ⴰⴽⵙⵓⵎ
flew	ⵢⵓⴼⴻⴳ
flex	ⵉⵍⴻⵖⵡⴰⵏⴻⵏ
flexible	ⵜⴰⵍⵡⴰⵢⴰⵏⵜ
flight	ⵡⴰⴼⴼⵓⴳ
flip	ⴱⵔⴻⵏ
flirt	ⵢⴻⵜⵜⵀⵓⴽⴽⵓ
flirting	ⴰⴷ ⴰⵙⵯⵢⴻⵙⵙⴻⴽⵍⴻⵙ
float	ⵢⴻⵜⵜⵉⴼⵍⵉⵡ
flood	ⴰⵃⴻⵎⵎⴰⵍ
floor	ⵍⵇⴰⵄⴰ
flour	ⴰⴳⵉⵍ
flow	ⵙⵔⵉⴷⴷⵉⵎⴻⵏ
flower	ⵜⴰⵣⴻǧǧⵉⴳⵜ
flu	ⴰⴱⴻⵃⵔⵉ.
fluent	ⵉⵙⴻⵔⵔⴻⵃ
fluently	ⵙ ⵜⴰⵍⵡⵉⵜ
fluffy	ⴰⵍⵍⴰⴳⴰⵖ
fluid	ⴰⵎⴻⵏⴳⵉ
fly	ⴰⴼⵓⴷ
focus	ⵍⵃⵓⵯⴷ
focus	ⵉⵙⵡⵉ
fog	ⴰⵙⵉⴳⵏⴰ
foggy	ⴰⴳⵓ
fold	ⴰⴷ ⵟⴻⴱⵇⴻⵖ
folks	ⵉⵎⴷⴰⵏⴻⵏ
follow	ⴹⴼⴻⵔ
follow up	ⴹⴼⴻⵔ
following	ⵙⴻⵍⴷ
food	ⵓⵞⵞⵉ
fool	ⴽⴻⵍⵍⴻⵅ
foolish	ⴰⵎⵀⴰⵡ
foot	ⴰⴹⴰⵔ
football	ⴷⴷⴰⴱⴻⵅ ⵓⴷⴰⵔ
for	ⴰ ⵅⴰⵟⴻⵔ
For example	ⴰⵎⴻⴷⵢⴰ
for instance	ⴰⵎⴻⴷⵢⴰ
for you	ⵉ ⴽⴻⵞⵞ
forbidden	ⵢⴻⵜⵜⵡⴰⴳⴷⴻⵍ
force	ⵍⴵⵀⴻⴷ
forecast	ⴰⵙⵓⴳⴻⵏ
forehead	ⴰⵢⴻⵏⴷⵓⵔ
foreign	ⴰⴳⴻⵍⵣⵉⵎ
forest	ⵜⵉⵥⴳⵉ
forever	ⵉ ⵍⴻⴱⴷⴰ
forget	ⵜⵜⵓⵖ
forgive	ⵙⵓⵔⴻⴼ
forgot	ⵢⴻⵜⵜⵓ
fork	ⵜⴰⴼⴻⵔⵛⵉⴹⵜ
form	ⴳⴻⵜⵯⴷ
formal	ⵜⵓⵏⵚⵉⴱ
former	ⴰⵏⴻⵎⵀⴰⵍ
fortunately	ⴰⵙⵔⴰⴳⴻⵏ
fortune	ⵍⵅⵉⵔ
forty	ⵓⴽⴽⵓⵥ ⵏ ⵜⵎⴻⵔⵡⵉⵏ
forty-two	ⵓⴽⴽⵓⵥ ⵏ ⵜⵎⴻⵔⵡⵉⵏ ⴷ ⵙⵉⵏ
forward	ⵖⴻⵔ ⵣⴷⴰⵜ
foster	ⵙⵏⴻⵔⵏⴰⵏ
fought	ⵢⴻⵏⵏⵓⵖ
found	ⵓⴼⴰⵏ
foundation	ⵍⵍⵙⴰⵙ.
four	ⵓⴽⴽⵓⵥ
fourteen	ⵎⵔⴰⵡ ⴷ ⵓⴽⴽⵓⵣ
fox	ⴰⴱⴰⵕⴻⵖ
fragile	ⵢⴻⵅⵙⴻⵏ
frame	ⵜⴰⵣⴻⵍⵖⴰ
framework	ⴰⵖⴰⵡⴰⵙ
fraud	ⴰⴷⴻⵔⵔⴰⵃ
freak	ⴰⴼⵖⵓⵍ
free	ⵉⵍⴻⵍⵍⵉ
freedom	ⵜⵉⵍⴻⵍⵍⵉ
freeze	ⵜⵉⴳⴻⵔⵙⵉⵏ
frequency	ⴰⵙⵏⴰⴳⴰⵔ
frequent	ⵉⵙⵏⴰⴳⴰⵔⴰⵏ
frequently	ⵙ ⵡⴰⵟⴰⵙ
fresh	ⴰⵊⴷⵉⴷ
friday	ⵍⵊⴻⵎⵄⴰ
fridge	ⵉⵎⵙⵉⵙⵎⴻⴹ
friend	ⴰⵎⴻⴷⴷⴰⴽⴻⴽ
friendly	ⴷ ⵉⵎⴻⴷⴷⵓⴽⴰⵍ
friends	ⵉⵎⴷⵓⴽⴰⵍ
friendship	ⵜⴰⴷⵓⴽⵍⵉ
frightened	ⵢⵓⴳⴰⴷ
frightening	ⵢⴻⵙⵙⴻⵅⵍⴰεⴻⵏ
frog	ⴰⴳⵔⵓ
from	ⵙⵉ
front	ⵣⴷⴰⵜ
frozen	ⵢⴻⴼⵔⵉ
fruit	ⵍⴼⴰⴽⵢⴰ
frustrated	ⵜⴻⵞⵞⴻⵃ
fuel	ⴰⵙⴻⵔⵖⵓ
Fulfulde	Fⵓⵍⴼⵓⴷ
full	ⵢⴻⵞⵞⵓⵔ
fun	ⴰⵎⵏⴻⵛⵔⴻⵃ
function	ⴰⵅⴻⴷⴷⵉⵎ
fundamental	ⵢⴻⵙⵄⴰⵏ ⴰⵣⴰⵍ ⴷ ⴰⵎⴻⵇⵔⴰⵏ
funeral	ⵍⴵⴰⵏⴰⵣⴰ
funny	ⵢⴻⵙⴻⵜⴰⵢ
fur	ⵜⴰⴷⵓⵟ
furious	ⵢⴻⵔⴼⴰ
furniture	ⵍⵇⴻⵛⵛ
further	ⵓⴳⴰⵔ
furthermore	ⵓⵍⴰ ⴷ
future	ⵉⵎⴰⵍ
gain	ⵢⴻⵔⴱⴻⵃ
game	ⵜⵓⵔⴰⵔⴻⵜ
gap	ⵍⵛⴻⵍⵍⵉⵅ
garage	ⴰⴳⴰⵔⴰⵊ
garbage	ⵉⵍⴻⴼⴹⴰⵏ
garden	ⵍⴻⵊⵏⴰⵏ
garlic	ⵜⵉⵙⴽⴰⵔⵜ
gate	ⵜⴰⵡⵡⵓⵔⵜ
gather	ⴷⴷⵓⴽⵍⴻⵜ
gathering	ⵜⴻⵎⴰⵍⵍⴻⵍⴻⵏ
gauge	ⵍⴻⴽⴽⵉⵉⵍ
gave	ⵢⴻⴼⴽⴰ
gear	ⴰⵙⴻⵍⴽⵉⵎ
gender	ⴰⵏⴰⵡ
general	ⵓⵎⴰⵜⴰ
generally	ⵙ ⵓⵎⴰⵜⴰ
generate	ⵜⴰⵙⵓⵜⴰⵢⵜ
generation	ⵉⵙⴰⵔⴰⵡⵡⴻⵏ
generous	ⴰⴼⴻⵃⵛⵓⵛ
genius	ⵓⵃⵔⵉⵛ
genre	ⵚⵚⴻⵏⴼ
gentle	ⵢⴻⵃⴷⴻⵇ
genuine	ⵜⵉⴷⴻⵜⵜ
gesture	ⴰⵃⴰⴱⴰⵛ
get	ⴰⵡⵉ
get dressed	ⴻⵍⵙ
get up	ⴽⴽⴻⵔⵯⴷ
get well soon	ⵇⵔⵉⴱ ⴰⴷ ⵢⴻⵊⵊⴻⵢ
getting	ⵢⴻⵜⵜⵡⴰⵟⵟⴰⴼ
ghost	ⴰⵣⵖⵓⵖ
ghosting	ⴰⵙⴼⴻⵍ
giant	ⴰⴳⴻⵀⴳⵓⵀ
gift	ⴰⵙⴻⴼⴽ
ginger	ⵙⴻⴽⵏⴻⵊⴱⵉⵔ
girl	ⵜⴰⵇⵛⵉⵯⵜ
girlfriend	ⵜⴰⵎⴷⴰⴽⴻⵍⵜ
give	ⴼⴽⴻⵜ
give up	ⴰⴷ ⵙⴻⵍⵍⵎⴻⵖ
given	ⵉⵎⵓⴷⴷⴻⵏ
glad	ⵢⴻⵏⴻⵛⵔⴰⵃ
glance	ⵢⴻⵎⵎⵓⵇⵇⴻⵍ
glass	ⵣⴻⵊⴰⵊ
glasses	ⵏⵡⴰⴷⴻⵔ
glimpse	ⵜⴰⵎⵓⵖⵍⵉ
global	ⴰⵎⴰⵜⴰ
gloomy	ⴰⵎⵙⵓⵍⵍⴻⵙ
gloves	ⵍⵍⵉⴳⴰⵜ
glow	ⵢⴻⴼⵔⴰⵔⵉ
glow up	ⴰⴷ ⴷⵯⵢⴻⵣⵣⵉⵏ
glue	ⵙⴻⵏⴻⵟⴹ
go	ⵕⵓⵃ
go ahead	ⴰⵀⴰ
go away	ⵔⵓⵃⴻⵜ
go to bed	ⵔⵓⵃ ⴰⴷ ⵜⴻⵟⵙⴻⴹ
goal	ⵉⵙⵡⵉ
goals	ⵉⵙⵡⵉⵢⴻⵏ
goat	ⵜⴰⵖⴰⵜⵜ
god	ⵔⴻⴱⴱⵉ
god bless you	ⴰⴷ ⴽⵯⵉⴱⴰⵔⴻⴽ ⵔⴻⴱⴱⵉ
goes	ⵉⵜⴻⴷⴷⵓ
going	ⵢⴻⵜⵜⵔⵓⵃⵓ
going to	ⴰⴷ ⵏⵔⵓⵃ
gold	ⵓⵔⴻⵖ
gone	ⵉⵔⵓⵃ
gonna	ⴰⴷ
goo	ⴳⴳⵓ
good	ⵢⴻⵡⵇⴻⵎ
good afternoon	ⴰⵣⵓⵍ
good bye	ⴷⵉ ⵍⴰⵎⴰⵏ
good day	ⴰⵙⵙ ⴰⵎⴻⴳⴳⴰⵣ
good evening	ⵔⴰⵎⴻⴷⴷⵉⵜ ⵢⴻⵍⵀⴰⵏ
good job	ⵛⵖⴻⵍ ⵉⴳⴻⵔⵣⴻⵏ
good looking	ⵢⴻⵍⵀⴰ
good luck	ⴰⴼⵓⴷ ⵉⴳⴻⵔⵔⵣⴻⵏ
good morning	ⵜⵉⴼⴰⵡⵉⵏ
