a	kele
muscle	buu
museum	mize
mushroom	fiyenan
music	fɔli
must	ka kan ka
mute	bobo
mutual	ɲɔgɔn
my	nne
my	n
My dear	N jarabi
my friend	N teri
My hovercraft is full of eels	Nne ka ayeroglisɛɛri fara ni sajigwɛ ye
my love	n jarabi
my name is	n tɔgɔ ye
my pleasure	n ka diya
myself	ne yɛrɛ
mysterious	gundo
mystery	gundo
myth	bisigiyako
nail	pɔnti
naive	duga
name	tɔgɔ
narrative	lankaleli
narrow	dɔgɔya
narrow	dɔgɔ
nasty	cɛjugu
national	jamaden
nationality	jamanadenya
native	duguden
native	jamanaden
natural	yɛrɛyɛrɛ
nature	latanganin
nausea	fɔɔnɔnege
near	gɛrɛfɛ
nearby	kɛrɛ fɛ
nearly	sɔɔni dɔrɔn
neat	pelepele
necessary	mi kakan
neck	kan
necklace	kannankɔnɔ
need	bi.fɛ
negative	bansira
negative	sɔsɔlisira
neglect	a ma jate
negotiate	ka tɛrɛmɛ
neighbor	sigiɲɔgnwɔ
neighborhood	sigiya
neighborhood	sigijɔngɔnya
neither	foyi
nephew	lamɔden
nerd	kegun
nervous	basigibali
nest	ɲaa
net	dafalen
network	erezo
neutral	kelenna
never	pɛtu
never	abadan
never give up	ka na ban abada
never mind	ka na jɔrɔ abada
nevermind	kana hami
nevertheless	nga
new	kura
news	kibaruyaw
next	nata
next to	a kɛrɛfɛ
nice	cɛɲi
nice	ɲɛna
nice	ɲi
nice to meet you	n dusu ka di ka i kunbɛn
niece	lamɔden
night	suu
nightmare	sugojugu
nine	kɔnɔntɔn
nineteen	tan ni kɔnɔntɔn
ninety	bikɔnɔntɔn
No	Ayi
No	un un
No	ɔn ɔn
no problem	baasi t'a ra
no problem	tɔɔrɔ t'u ra
no way	abada
nobody	mɔgɔsi
noise	mankan
noisy	mankan kɛlɛ
none	si
none	foyi si
none	mɔgɔ si
noon	midi
nope	ayi
nor	wa
normal	a ka kan
north	worodugu
nose	nuun
nostalgic	ɲanafinya
nostalgic	ɲɛnafinya
not	te
not	ti
not at all	fiyewu
not bad	a juguyalen tɛ
Not now	Sisan tɛ
not yet	ban fɔlɔ
note	nɔti
noted	a famuna
nothing	foyi
nothing	fosi
nothing	papaga
notice	kɔrɔsili kɛ
notice	kunnafoni
noticed	kɔrɔsili kɛra
noticed	yera
noun	tɔgɔ
nouns	tɔgɔw
novel	kura
november	novanburukalo
now	sisan
nowadays	bidonya
nuisance	tɔɔrɔli
null	fu
numb	deessè
number	hakɛya
number	jatiden
nurse	dɔgɔtɔrɔ
nut	ekuru
nutmeg	muskaad yiriden
nutrition	baloli
oath	kalilikan
obesity	bonyakojugu
obey	kolo
object	ban
object	minɛn
objective	dilankun
obligation	diyagoya
obscure	finman
observation	jateminɛ
observe	kɔrɔsi
obsessed	tɔɔrɔnin
obsession	fa
obsolete	datibanen
obstacle	kunbalan
obtain	latigɛ
obtain	lasɔrɔ
obtained	sɔrɔla
obvious	welekubali
obviously	welekubali
occasionally	wagati dɔ
occupation	ciya
occupation	mako
occupation	baara
occupied	okipe
occur	kɛli
occurred	kɛra
occurs	ka kɛ
ocean	kɔgɔjiba
october	ɔtɔburukalo
odd	kunntan
odds	garisigɛ
of	ta
of	ka
of course	koyi
off	te yen
offensive	bagama
offer	di
office	biro
office	cikɛda baarada
official	faama
often	waati caman
often	sɔn
Oh	.yo
Oh	Waayi
Oh	Wala
oh really	tiɲɛ lo
oil	tulu
ok	n'sona
ok dear	ayiwa ne balima
ok honey	ayiwa ne jarabi
ok my love	ayiwa n jarabi
okay	ayiwa
okay baby	ayiwa n jarabi
okay dear	ayiwa n teri
okay honey	baasi t'a la n jarabi
okay my love	ayiwa n jarabi
old	kɔrɔman
on	kan
on	sanfɛ
on	kun
once	ni
once	siɲɛ kelen
one	kelen
one language is never enough	kan kelen dorɔn ti dafa
onion	jaba
online	bɔlɔlɔ san fɛ
only	dorɔn
open	yɛlɛ
operation	baarakɛcogo
operation	opereli
opinion	miiriya
opportunities	kunnadiya
opportunity	seen
opportunity	siratigɛ
opportunity	bolominɛyɔrɔ
opposite	kɔɔ donni
optimistic	jgima
option	cogo
optional	wajibi tɛ
or	wala
or	walima
orange	woranjima
orange	lemburuba
order	yamaruyali
order	latigɛ
order	diyagoyasira
ordinary	gwansan
organization	jɛkulu
orientation	ɲɛyirali
origin	bɔyɔrɔ
original	yɛrɛyɛrɛ
Oromo	Oromokan
orphan	falatɔ
other	wɛrɛ
otherwise	n'o tɛ
ought	kan ka
our	an
our	anw
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	an ka baara walasa yɔrɔ bɛɛ ka se ka diɲɛ famuya ani k'u hakilina fɔ kan bɛɛɔɔ, an ka baara walasa yɔrɔ bɛɛ ka se ka diɲɛ famuya ani k'u hakilina fɔ kan bɛɛɔɔ
Our mission: to organize the world's information and make it universally accessible and useful.	an ka baara ye ka diɲɛkunnafoniw labɛ ani k'u kɛ fɛn min bɛ, ani k'u kɛ fɛn min bɛ se ka sɔrɔani nafa srɔ, ani k'u kɛ fɛn min bɛ se ka sɔrɔani nafa srɔ
out	kɛnɛma
outcome	jaabi
outfit	teni
outgoing	bɔ ta
outlet	bɔda
outline	ka fɛsɛ fɛsɛ
outside	kɛnɛma
outstanding	min ɲɔgɔn te yen
oven	pɔli
over	baanna
over there	yen
over there	yenfɛ
overall	bɛɛ
overcome	dumu
overthinking	miiri ka tɛmɛ
overwhelmed	walannin
overwhelming	sungandili
owe	kèta
owl	gingin
own	bi.bolo
own	yɛrɛ
owner	tigi
ox	misi
pace	cɛlatigɛ
pace	tagamasen
pack	ka faraɲɔgɔn kan
package	pake
paid	sarala
pain	dimi
paint	pɛntiri don
paint	pɛntiri
painting	pɛntirili
pair	fila
pale	nyalaguè
palm	tɛgɛ
pan	kasɔrɔli
pandemic	mumumunu bana
panic	siraɲɛ
pants	pantalɔn
paper	sɛbɛn
paradise	alijɛnɛ
parallel	kuntilenna kelen
parcel	du tɛrɛn
pardon	yafa
parents	bangeba
park	pariki
parrot	solo
parsley	pɛrisili
part	fan
participate	taalikɛ
particular	kɛrɛnkɛrɛnnin
particularly	jango
partner	jɛɲɔgɔn
party	fɛti
party	ɲɛnɛgɛ
pass	sabati
pass	tɛmɛ
passage	tɛmɛsira
passed	tɛmɛnen
passion	kanuya
passionate	fɛ
passive	tɛmɛta
password	kɔdi
past	ka kɔrɔ
patch	ka bari
path	sira
pathetic	hinɛtɔ
patience	sabali
patience	dusufaga
patient	farigwantɔ
patient	sabali mɔgɔ
pattern	ɲɔgɔnna
pattern	sugu
pause	ka jɔ
pavement	pawe
pay	san
payment	sarali
peace	hɛɛrɛ
peaceful	hɛrɛ ni baaden
peach	mɔnni
peak	kuncɛmana
peak	dakun
peak	biɲɛ
pear	puwari
peas	siyɔ
peculiar	kɛrɛnkɛrɛnlen
pee	suunadji
peel	fara
peer	toɲɔgɔn
peers	tɔɲɔgɔnw
pen	biki
pencil	kiriyon
pending	min ma kɛ
people	mɔgɔ
people	jama
pepper	foronto
perceive	ka sɔrɔ
perception	sɔminiminan
perfect	cege
perfect	dafanin
perform	kɛ
performance	seloya
performance	se
perhaps	adɔrɔ
perhaps	nasɔrɔ
period	tuma
period	waati
permanent	banbali
permission	yamaruyasɛbɛ
permit	yamaruya
perseverance	taaɲɛ
persistent	mɛta
person	mɔgɔ
personal	mɔgɔkelenko
personality	hadamadenya
perspective	poroze
persuade	lasɔn
pervert	fatɔ
pervert	tiyɛnni
pet	sokɔnɔbigan
phase	kumasen
phenomenon	fɛnw
philosophy	filo
phone	telefɔni
photo	foto
phrase	kumasen
physical	farigolo
pick	tigɛ
pick	soli
pick up	ta
picture	jaa
piece	faranfaran
pieces	kunkurunw
pig	lɛ
pigeon	jɛnɛtugan
pile	sara
pillow	kunkɔrɔdonnan
pillow	kunblana
pilot	pankurunbolila
pin	biɲɛ
pineapple	jabibi
pineapple	anana
pink	bilenman
pit	kɔlɔn
pitch	karafu
pity	hinan
pity	makaritɔya
place	yɔrɔ
places	yɔrɔw
places	lɔyɔrɔw
plague	banaburuku
plague	banajɛnsɛ
plain	gwansan
plan	fɛɛrɛ
plan	bolola
plane	awiyɔn
plant	nɛɛmafɛn
plant	falenfɛn
plant	turu
plants	falenfɛnw
plate	tasa
platform	bɔlɔlɔ kan
play	tlon k
playing	tulob kɛ
pleasant	diya
pleasant	duman
please	i ye sabari
please	i hakɛ to
pleased	kunadiyara
pleasure	nege
pledge	delili
plenty	caaman
plot	yɔrɔ
plug	kurantayɔrɔ
plum	mandi
plumber	pulɔnbiye
plural	cayalan
podcast	kan talen
poem	poyi
poetry	poyi baara
point	tomi
point	da
poison	baga
police	polisi
policy	fɛɛrɛ
polite	ladamunin
pollution	lamininɔgɔ
pond	ji dingɛ
pool	bunbayɔrɔ
pool	dalan
poop	ka bo kɛ
poor	fantan
pop	sarama
popular	jama bɛɛ mɔgɔ
population	jama
pork	lɛsogo
porridge	baga
port	pɔri
position	dakun
position	lɔyɔrɔ
positive	sɔnsira
possess	bɛ bolo
possession	tigiya
possessive	tigiyalan
possible	min bi se
post	bɔlɔ
post	lase
postpone	yakaro
postpone	weleku
potato	kɔmitɛrɛ
potential	sekoya
pound	bugɔbugɔ
pound	bunte
poverty	lakolonya
power	see
powerful	barikama
practical	nɔgɔman
practice	minɛbolo
practice	waleya
praise	bato
prank	dalabɔli
pray	deli
pray	seli
precious	taare
precise	ka sɛbɛntiya
precisely	kɛrɛnkɛrɛnlenyala
predict	ka sni dɔn
prefer	fisaya
preference	fisaya
pregnant	kɔnɔma
prejudice	gasilako
premises	yɔrɔw
premium	kalite fɔlɔ
preparation	labɛnli
prepare	tobi
prepare	babaara
prepared	tobinin
preposition	bilaɲɛ
presence	ɲana
presence	ɲɛ na
present	bii
present	mɔɔ
present	yira
presentation	dantigɛkan
preserve	kana
preserve	latanga
president	jamanatuntigi
press	ka digi
pressure	daga
pretend	nɔminɛ
pretty	janjigi
prevent	bali
previous	fɔlɔ fɔlɔɔ
prey	sɔnnifɛn
price	sɔngɔ
pride	disibaya
pride	kuncɛbaya
priest	sarakalasebaga
primary	baju
prime	pirimu
princess	masaden
principal	kunbaba
prior	kabini
priority	diyanyeta
priority	kɔnkatɛmɛjo min bi tɔɔw ɲɛ
prison	kaso
privacy	daamu
private	dumuduguma
privilege	nafa
prize	kunnawolojala
probably	adɔrɔ
probably	nasɔrɔ
problem	gwɛlɛya
procedure	kititigɛsira
procedure	cogo
proceed	ka taa ma
process	cogo
produce	sɔrɔ
produce	bɔ
product	dilanlifɛn
production	sɛnɛ
profession	baaradegin
professional	baarakalan
profile	porofili
profit	nafa
profound	dunya
progress	yiriwali
project	poroze
prominent	tɔgɔma
prominent	ba
promise	layidu
promise	karifa
promote	yiriwa
promotion	jalayɛlɛ
prompt	waaju
prompt	tigɛlanteli
prone	dusuba
pronouns	nɔnabilaw
pronunciation	fɔcogo
proof	kokɔrɔbɔ
proper	yɛrɛ
properly	saniya
properties	bolo fɛnw
property	marafɛn
property	tigiya
proposal	ɲanala
prospect	hakilina
prosperity	ɲɛsuma
prosperous	sabatili
protect	latanga
protect	kisi
proud	falimɔgɔ
prove	ka kiisa yira
provide	balo
provided	dilen
province	marali
provision	dumunifɛn
puberty	cɛmisɛnya
puberty	sunguruya
public	foroba
pull	saman
pumpkin	jɛ
punctual	wagati
pupil	lakɔliden
purchase	san
pure	gwɛ
pure	saniman
purpose	dilankun
purpose	bilakun
purse	pɔrɔtɔmani
purse	warimisɛnbilanan
pursue	tagama
pursue	magwɛn
pursuit	nɔgɛn
push	ɲɔnti
push	digi
put	don
qualification	tɔgɔmadon
qualification	mankutuli
quality	sɔn
quantity	dama
quarantine	latɔn yɔrɔ
quarrel	kɛlɛ
quarter	kin
Quechua	Kuechuakan
queen	masamuso
queer	kɛrɛnkɛrɛnneya la
query	ɲininkali
question	ɲininga
question	ɲiningali
queue	safa
quick	joona
quickly	joona
quiet	suu
quilt	dara
quilt	birifani
quit	toyi
quit	bila
quite	fin
quiz	degeli
quotation	sɔngɔ di
quote	kofɔta
quotes	sɔngɔn di
rabbit	sonsan
race	siya
rage	wurubana
rain	sanji ben
rain	sanji
rain	sangi
raise	layɛlɛ
raised	lawili
ran	ka boli
random	kuntere
range	sugu wɛrɛw
rapid	telima
rapidly	joona
rare	go
rarely	dɔgɔ
rash	farikolo bana
rat	toto
rate	sɔngɔ
rather	ka kon a nyè
ratio	kɛmɛsarada
rational	nafama
raw	kɛnɛ
re	tuguni
re	tugu
reach	arrive
reach	se
reached	a sera
reaction	reyakisɔn
read	kalan
reading	gafekalan
ready	fɛrɛ
real	tiɲɛ
reality	kow
realize	lɔnya
realized	faamuyara
really	jaati
really	ti ti ti
really	kɔni
rear	kɔfɛla
rear	kɔɔ
reason	dakun
reasonable	fisa
recall	ka segin ka wele
receipt	resi
receive	minɛ
receive	mina
received	sɔrɔra
recent	kurakura
recently	kɔsa nin na
reception	donda
recipe	fana
reckless	miiribali
recognition	boɲamasegin
recognize	lakolɔn
recognize	lɔn
recommend	koo fɔ
recommend	kumagwɛlɛya
recommended	koo fɔra
record	cisama
record	kofɔsɛbɛ
recover	ka kɛnɛya
recovery	kɛnɛyali
rectangle	tangili
rectangle	selekenaani
red	wulen
redeem	kisi
redemption	sarali
reduce	dɔ bɔ
redundant	tanikasegin
refer	ka . ci.fɛ
reference	tamachien
reflect	taasi
reflection	hakilijagabɔ
reflection	jatiminɛ
reflection	miriya
refrain	yɛrɛ minɛ
refrigerator	firigo
refund	sara
refund	warikɔsegi
refuse	jɛn
refuse	ban
refused	banna
regard	gasi
regarding	gasi
regardless	bonyabaliya
regards	gasiw
region	mara
register	sɛbɛn
regret	nimisa
regular	basiginin
regularly	tuman bɛ
reject	ka fili
relate	lakali
related	min be bɔ ɲɔgɔnw ma
relationship	cɛ
relative	somɔgɔ
relative	baliman
relatives	balimaw
relax	labila
relax	afoni
release	bɔli
release	bila
released	labilalen
relevant	bè a ma
reliable	hɔɔrɔn
reliable	ka kan ka
relief	dɛmɛɲini
relief	dugukolo labɛnsigicogo
relieve	sigikamine
relieved	lafiya sɔrɔla
religion	dinan
religious	diinɛ
reluctant	a be kɛɲɛ
rely	la
remain	to
remaining	tɔ
remarkable	kɔsɔsilen
remedy	saraka
remember	hakiliya
remind	hakili jigin
reminder	hakilinajiginla
remote	yɔrɔjan
remove	labɔ
remove	bɔ
render	ka i yɛrɛ di
rent	sosara
rent	sofuru
rent	luwanse
repair	dilan
repeat	segi a kan
repeat	segi
replace	kɔfalen
replace	kunmafalen
reply	jaabili
report	kumatasɛbɛ
report	cikɔsegisɛbɛ
report	kofɔ
represent	bisigiya
reputation	danbe
reputation	mankutu
reputation	dawula
request	dali
require	ka kan ni
required	komi o ka kan
rescue	lahinɛ
rescue	bolominɛyɔrɔ
research	ɲinini
resemble	fɛ
resemble	ka bɔ
resentment	kɔnɔnakuru
resentment	dimi
resentment	mɔnɛ
reservation	lakofɔli
reserve	ka mara
resident	lasigiden
resign	ka baara bila
resilience	ko ku
resilient	fasaman
resist	ka firifiri
resistance	firifirili
resolution	ŋaniya
resolve	ka ɲɛnabɔ
resort	eresɔri
resources	nafolomafɛnw
respect	bato
respect	bonya
respond	jaabi
response	jaabili
responsibility	ɲɛmɔgɔya
responsible	ɲanabɔbaga
rest	lafiɲɛ
rest	lafiya
rest in peace	ala ka dinan i la
restaurant	dumunifeereyɔrɔ
restore	ka lasegin
restrict	ka dansiri
result	jaabi
results	jaabiw
resume	segi k'a kɛ
retail	jagomafila
retain	tɔn
retention	marali
retired	sɛngɛ lafiɲɛ
retreat	rɛtrɛt
retrieve	sigikamine
return	segi
reveal	yira
revealed	jiralen
revenge	ta sara
revenue	nafolo
reverse	ka yɛlɛma
review	sɛgɛsɛgɛli
revise	ka sɛgɛsɛgɛ
revision	seginkanni
revolution	erewolisɔn
reward	kunnawolojala
reward	baraji
rhythm	fɔlisen
rib	galakakolo
rib	galaka
rice	kinin
rich	nafolotigi
rid	ka fili
ride	boli
ridiculous	latulon
right	kini
right	bɛnnin lo
right	ten lo
right now	sisan
rigid	makama
ring	tugutugunin
ring	kasi
rinse	susa
rinse	sanango
riot	balawu
rip	ka fara
ripe	mɔlen
rise	sannayɛlɛn
risk	farati
rival	sinacɛ
rival	sina
river	ba
road	sira
roast	worotilen
robust	ka fɔri
rock	farakurun
rod	kalamanin
role	lɔda
roll	ka kolonkolon
roof	sanbo
room	soden
root	lili
rope	juruden
rotten	torila
rough	ŋɛɲɛ
roughly	ɲɔgɔnna
round	kulukutu
round	mulunkutu
route	sira
routine	don o don
row	sira
row	aranze
rub	jɔɔsi
rub	digi
rub	goro
rubber	gɔmu
rubbish	ɲaman
rude	malobali
rug	ŋɛɲɛ
ruin	halaki
ruin	bɔnɛ
rule	sariya
ruler	tiiricilan
rules	sariyaw
run	boli
run	bori
running	boli
rural	dafɛdugu
rush	teliya
rush	teliman
sack	saki
sack	bɔrɔ
sacred	lasirannen
sacrifice	jibɔn
sacrifice	saraka
safe	wulibal
safe flight	wulibali pankurunnatagama
safety	lakana
sage	hakilitigi
said	kumanan
said	fɔra
sail	ka kurunboli
sailing	batoboli
sake	kɔsɔn
salary	sara
sale	sannin
salmon	tèbèn
salt	kɔgɔ
same	bɔɲɔgɔman
Same here	o kelen do yan
sample	esantiyɔn
sand	cɛncɛn
Sanskrit	Sanskritikan
sarcastic	jagaci
sassy	nafantan
sat	sigilen
satisfaction	wasali
satisfied	kɛlɛkɛlɛ
satisfied	dafanin
satisfied	fanin
satisfy	wasa
satisfying	nafama
Saturday	Sibirilon
sausage	sogo mugu
savage	waraya
save	kisi
saw	tun .ye
say	fɔ
scale	wɔrɔ
scale	fara
scam	yuruya
scar	jolifɔ
scarce	dɔgɔ
scared	tɔlɛ
scared	siranan
scarf	dankana
scary	min be jabɔra
scattered	serilen
scene	kɛnɛ
scenery	ɲɔgɔlɔn
scent	wusulan
schedule	programu
school	kalanso
science	lɔnniya
scientist	siyantifiki
scientists	dɔnnibagaw
scissors	sizo
scold	sɔngɔ
scope	nafa
score	bi
scrap	ɲaman
scratch	baasi
scream	kulekan
screen	ekaran
screw	wisi
script	sɛbɛnni
sea	kɔgɔji
seal	sirinan
search	ɲini
search	woloma
season	wagati
seat	sigilan
second	filanan
second	segɔndi
secret	gundo
section	fan
secure	ka lakana
security	lakana
see	ye
see	filɛ
see you	kan bɛn
see you later	kan bɛ kɔfɛ
see you soon	kan bɛ sɔɔni
see you tomorrow	k'an bɛn
see you tomorrow	an be sini
seed	si
seek	ɲini
seek	tugu
seem	a sugu
seems	i n'a fɔ
seen	a yela
seize	ka minɛ
seizure	minɛli
seldom	lawoloma
select	ka sugandi
self	yɛrɛ
self healing	yɛrɛ furakɛli
selfish	ɲakuna
sell	feere
send	ci
send me your picture	i foto ci ne ma
senior	kuntigi
sense	ja
sense	kala
sensible	fɛgɛya
sensitive	makaritɔ
sent	a ci la
sentence	kumasen
sentence	ɲegili
sentences	kumasenw
separate	danfara
separate	fara
Sepedi	Sepedikan
september	sɛtanburukalo
sequence	dasigi
series	seriw
serious	sɛbɛ
serious	dun
seriously	sɛbɛla
serve	nafa
serve	dumuni
service	mako
session	sesiyɔn
set	lonsigi
set up	kɛ
setting	paramɛtiri
settle	latigɛ
settle	ɲaɲini
seven	wolonfila
seventeen	bisegi
seventy	biwolonfila
several	dama dɔ
several	caaman
severe	fariman
severe	dun
sew	sɛnɛ kɛla
sh	suu
shade	ka dibi don
shadow	ja
shake	ka yigiyigi
shall	bena
shallow	min ti dunman
shame	maloya
shape	cogoya
share	tilan
share	niyɔrɔ
sharp	di
sharp	leru
she	a
she has	a bi
she is	a ye
shed	gwaa
sheep	sagasi
sheep	saga
sheet	dara
sheet	sɛbɛn
shell	fara
shell	ka wɔrɔ
shelter	gwaa
shelter	togon
shelter	dogotu
shield	nɛgɛbɛnnan
shift	yɛlɛma
shine	ka manamana
ship	kurunba
shipping	cili bato fɔ
shirt	semisi
shirt	dereke
shoes	samaraw
shoes	suliye
shoot	k'a tan
shop	bitiki
shopping	sanni
shore	jida
short	surun
shortage	danya
shot	tiri
should	ka kan ka
shoulder	fɛfɛ
shoulder	gaman
shout	ka kule
show	ɲɛfɔ
show	yira
show	ɲanagwɛ
show me	a yira ne ma
shower	koyɔrɔ
shrimp	kerevɛti
shrink	ka wolo
shut	ka datugu
shut up	makun
shut up	da ge
shy	maloya
sibling	baliman
siblings	denw
sick	farigwanto
sick	man kɛnɛ
sick	banabagatɔ
side	faan
side	galaka
side	tɔgɔ
sigh	taamasiyɛn
sight	yeeli
sightseeing	turizimu
sign	tagamasiɲɛ
sign	tigɛnɔbila
signature	tigɛnɔbila
signature	bolonɔ
significant	bolokɔfɛfɛn
silence	kumabaliya
silent	datugu
silk	fuu
silly	naloman
silver	warijɛ
similar	ɲɔgɔnna
simp	sɔgɔman
simple	nɔgɔman
simultaneously	wagati kelen
since	fo
sincere	sɛbɛ
sincerely	sɛbɛsɛbɛla
sing	dɔnkilila
singer	dɔnkililala
single	gwanan
sink	ben
Sir	Balimancɛ
Sir	Cɛmɔgɔ
sister	badenman
sister in law	buramuso
sit	sigi
site	yɔrɔ
situation	ko
six	wɔɔrɔ
sixteen	tan ni wɔɔrɔ
sixty	biwɔɔrɔ
size	kundama
skill	lɔnniya
skills	lɔntaw
skin	golo
skinny	fasalen
skip	toyi
skip	bila
skirt	ɔrɔbu
sky	sankolo
slave	jɔn
sleep	sinɔgɔ
sleeping	sunɔgɔ
sleepy	sinɔgɔ b'a ra
sleeve	gulokiboloda
slice	ka tigɛ fitini fitini
slide	ka tɛnrɛn tɛnrɛn
slightly	falafala
slim	misɛn
slip	cɛɛnɛ
slope	jigi jigi
slot	ka don
slow	sumaman
slowly	dɔɔnin dɔɔnin
small	fitinin
smart	politiki
smell	kasa
smile	yɛlɛ
smoke	sisi
smooth	manugu
smooth	munaki
snack	daladumini
snail	kerekete
snake	saa
snap	ka ja ta
snow	nɛzi
so	o le kosɔn
so	o le kanma
so	o tuma
so cute	cɛ ka ɲi ka ɲakojugu
so far	hali bi
soak	ka ɲigin
soap	safunɛ
sober	sulen
soccer	ntolotan
social	sosiyali
society	baarabolo
society	sosiyete
socks	susɛti
soft	magaman
software	lozisiyɛli
soil	dugumakolo
sold	feerela
sold out	feerela
soldier	sɔrɔdasi
soldier	fama
sole	kelen
solid	jalen
solution	bɔda
solve	ɲanabɔ
some	dɔ
somebody	mɔgɔ
somebody	mɔgɔ dɔ
somehow	cogo walima suguya wɛrɛ
someone	mɔgɔ dɔ
something	fɛn dɔ
sometimes	waati waati
song	dɔnkili
soon	dɔɔnin
sophisticated	sɔrɔbatigi
Sorani	Soranikan
sore	joli
sore throat	kan dimi
sorrow	ɲɛnasisi
Sorry	Safurulayi
Sorry	Hakɛ to
Sorry	I sabari
sort	suguya
sort	sugandi
sought	ɲinina
soul	nii
soulmate	diyanyebaga
sound	kanɲɛ
sound	mankan
soup	naji
sour	kuma
source	bununda
source	fɔlɔyɔrɔ
south	baɲafan
south	worodugu
space	kɛnɛ
spam	jankarabu ci
span	janya
Spanish	Esipaɲɔnli
spare	kisi
speak	kumasɛn
speak	fɔ
special	kɛrɛnkɛrɛn
species	fɛn suguyaw
specific	kɛrɛnkɛrɛn
spectacular	ilɛlifɛnw
speech	wajuli
speech	dantigɛkan
speechless	bobo
speed	teliya
spell	siginindenfɔ
spell	dabali
spell	mɔgɔbolo
spend	wari bɔ
spent	kɛla
spicy	farin
spike	biɲɛ
spin	tago
spin	munu
spin	bisi
spinach	pinari
spirit	nii
spit	tu
splendid	cɛɲi
split	tilanan
spoil	tiɲɛ
spoiled	tiɲɛ
spontaneous	sisan
spoon	kuyɛri
spot	yɔrɔ
spot	ɲanɔto
spot	kurunin
spouse	furuɲɔgɔn cɛman
spouse	furuɲɔgɔn musoman
spread	duruntu
spread	fara
spring	kɔrɔtanan
spring	bunun
spring	soni
square	kaare
squeeze	ka madigi
squid	djidiara
squirrel	nkɛlen
stab	turu
stable	basigilen
stack	faraɲɔgɔnkan
staff	baarabolo mɔgɔw
stage	dakun
stage	tagamasira
stain	nɔ
stairs	yɛlɛnan
stairs	yɛlɛnyɛlɛnna
stake	bɔlɔ
stalk	kala
stall	ka kale
stamp	tɛnburu
stand	lɔ
standard	dansiginin
star	lolo
start	daminɛ
started	daminɛna
starving	kɔngɔ
state	jamana
statement	fɔta
statement	kuma
station	sitasiyɔn
statue	jirimɔgɔnin
status	dakun
stay	to
stay safe	ɲuman sigi
steady	basigilen
steak	sogo
steal	sonya
steam	cici
steam	sisi
steel	nɛgɛ
steep	teliman
stem	kala
step	etapu
stick	bere
stick	nɔrɔnɔrɔ
stiff	fɛgɛma
still	fɔlɔ
sting	cinda
stingy	tɛgɛmagɛlɛ
stir	ka lamaga
stock	bilankɔrɔ
stock	bilanin
stolen	sonyalen
stomach	kɔnɔ
stone	gabakurun
stone	bɛrɛ
stood	jɔlen
stool	kurun
stool	wagalen
stop	lalɔ
storage	marayɔrɔ
store	bila
store	bitiki
store	bilanin
storm	funufunu
story	ziri
story	tariki
stove	furuno
straight	tilennin
straight	kɔnɔnagwɛ
straight	kunkelen
straightforward	para tilennin
strain	yirikurun
strange	kunntan
stranger	dunan
strategy	fɛɛrɛ
straw	karata
strawberry	firɛzi
streak	serilen
stream	kɔɔ
stream	ba
street	siraba
strength	fanga
strength	se
stress	magwan
stretch	ka sama
strict	fari
strike	baarabila
strike	gusi
string	juru
string	juruden
strip	ka wɔrɔ
strive	ka sabati
stroke	surun
stroke	tiiri
strong	barikaman
struck	gosilen
structure	baaradabolo
struggle	kɛlɛ
struggle	ɲakɔrɔse
struggling	kɛlɛ
stubborn	mɔgɔjugu
stuck	balan
student	kalanden
student	kalandenba
study	sɛgɛsɛgɛli
study	kalan
studying	kalan
stuff	sɔgu
stuff	sɔsɔ
stunning	dabaliban
stupid	naloman
style	mɔdɛli
subject	lahalaya
subject	kɔnɔnako
subject	kalanta
submission	dɔgɔmaya
submit	kolo
substance	kɔnɔnafɛn
substitute	ka falen
subtle	ceguman
succeed	sabati
success	kunawolo
successful	dondala
such	ɲɔgɔn
such as	i n'a fɔ
suck	mugan
sudden	ka bali
suddenly	pɔkɛ
suffer	tɔrɔ
suffering	dimi
sufficient	ɲanaman
sufficient	dafanin
sugar	sukaro
suggest	sula
suggestion	ladili
suit	ɲafa
suit	kunminɛ
suitable	bèle a ma
suitcase	walisi
sum	hakɛ
summary	bakurubafɔ
summary	fɔkasurunya
summer	telema
summit	kuncɛ
sun	tile
sunday	dimansilon
sunny	tilebin
sunset	tilebin
sunshine	tileɲɛ
super	a kaɲi
superior	a sanfɛ
supervisor	ɲɛmɔgɔ
supper	ka dumini kɛ
supply	bɔ
supply	bɔli
support	dɛmɛli
support	dɛmɛ
suppose	bisigi
supposed	i n'a fɔ
sure	lɛgɛsɛ
sure	wulibali
surface	kɔkanna
surge	ka yɛlɛ
surgery	operelikɛyɔrɔ
surname	jamu
surprise	bali
surprise	barinnako
surprise	balinanko
surprised	balinan
surrender	yɛrɛdi
surrounding	fanfɛla
surveillance	lakɔlɔsi
survey	sɛgɛsɛgɛli
survive	balo
suspect	siganamɔgɔ
suspended	a jɔlendo
suspicious	sigamɔgɔ
sustain	ka mɛn
sustainability	min bi mɛn
sustainable	min be mɛn
swag	kado
swallow	kunu
swap	ka falen
swear	ka kalen
sweat	wɔsi
sweater	jugujugu
sweep	ka fura
sweet	aluwa
sweet dreams	siko nɔgɔman
sweet tooth	ɲiin ɲuman
sweetheart	dusu
swell	funu
swelling	funu bɛ kɛ
swim	nage
swimming	naze
swing	bumuso
swing	felefala
switch	yɛlɛma
swollen	kununen
sword	npan
symbol	sɛnboli
