abandoned	छोड़ल
quantity	मात्रा
quarantine	कोरंटाइन
quarrel	झगड़ा
quarter	तिमाही
Quechua	केचुवा
queen	रानी
queer	विचित्र
query	पूछताछ
question	सवाल
queue	कतार
quickly	झट से
quick	झट से
quiet	शांत
quilt	तोशक
quite	बिल्कुल
quit	छोड़ीं
quiz	प्रश्नोत्तरी
quotation	हवाला
quotes	उध्दरण
quote	मोल लगावल
rabbit	खरगोश
race	दौड़
rage	उत्पाद
rain	बरखा
raised	उभरल
raise	पालल-पोसल
random	सतमेरवनी
range	रेंज
ran	धवले
rapidly	तेजी से
rapid	तेज
rarely	शायदे कब्बो
rare	दुलम
rash	चकत्ता
rate	भाव
rather	बल्कि
rational	तर्कसंगत
ratio	अनुपात
rat	मूस
raw	काँच
reached	पहुँच गईंनीं
reach	पहुँच
reaction	प्रतिक्रिया
reading	पढ़ल रहल बानी
ready	तइयार
read	पढ़ल
reality	असलियत
realized	एहसास भईल
realize	अहसास
really	सच्चो
real	वास्तविक
rear	पिछला
reasonable	यथोचित
reason	कारन
recall	ईयाद
receipt	रसीद
received	मिलल
receive	पायीं
recently	हाले में
recent	हाल के
reception	अगवानी
recipe	नुसखा
reckless	लापरवाह
recognition	मान्यता
recognize	चिन्हीं
recommended	अनुशंसित
recommend	सिफारिश कईल
record	दर्ज करीं
recovery	वसूली
recover	वसूल कईल
rectangle	आयत
redeem	धन दैकै छुड़ावल
redemption	करजा से मुक्ति
reduce	घटायीं
redundant	फालतू
red	लाल
reference	सिफारिश
refer	हवाला दिहल
reflection	प्रतिबिंब
reflect	प्रतिबिंबित भईल
refrain	बचल
refrigerator	फ्रिज
refund	धन-वापसी
refused	मना का दिहल
refuse	मना क दिहल
regarding	से जुड़ल
regardless	निफिकिर
regards	सादर
regard	लिहाज
region	इलाका
register	पंजी
regret	माफी
regularly	नियमत तैर पर
regular	नियमित
reject	नामंजूर कईल
related	जुड़ल
relate	संबंधित
relationship	रिस्ता
relatives	रिश्तेदार
relative	नातेदार
relax	आराम
released	रिहा
release	जारी कयिल
relevant	काम लायक
reliable	भरोसे लायक
relief	राहत
relieved	कार्यमुक्त
relieve	राहत मिलल
religion	धरम
religious	धार्मिक
reluctant	अनिच्छुक
rely	भरोसा कईल
remaining	बचल-खुचल
remain	लाश
remarkable	धेयान देबे योग्य
remedy	उपाय
remember	इयाद कयिल
reminder	रिमांइडर
remind	ईयाद दिलाईं
remote	दूर में स्थित
remove	निकालल
render	प्रस्तुत
rent	किराया
repair	मरम्मत
repeat	दुहरावऽ
replace	बदलीं
reply	जबाब
report	रपट
represent	प्रतिनिधित्व कईल
reputation	प्रतिष्ठा
request	निहोरा
required	जरूरी
require	जरुरत
rescue	बचाव
research	शोध
resemble	समान भईल
resentment	नाराजगी
reservation	आरक्षण
reserve	आारक्षित
resident	निवासी
resign	इस्तीफा दिहल
resilience	लचीलापन
resilient	लचीला
resistance	प्रतिरोध
resist	विरोध
resolution	समाधान
resolve	हल कईल
resort	सैरगाह
resources	संसाधन
respect	आदर
respond	जवाब दऽ
response	जबाब
responsibility	जिम्मेदारी
responsible	जिमेदार
restaurant	रेस्तरां
rest in peace	आत्मा के सदगति मिले
restore	बहाल कईल
restrict	रोकल
rest	आराम
results	परिणाम
result	नतीजा
resume	रिज्युम
retail	खुदरा
retain	बनवले राखीं
retention	रोक कै राखल
retired	सेवानिवृत्त
retreat	वापसी
retrieve	संबंधित
return	लउटल
revealed	परगट भईल
reveal	खुलासा
revenge	बदला
revenue	राजस्व
reverse	उलटाव
review	समीक्षा
revise	दोहराईं
revision	संशोधन
revolution	किरांति
reward	इनाम
re	दुबारा
rhythm	ताल
rib	पसली
rice	चाऊर
rich	धनी
ride	सवारी
ridiculous	बेहूदा
rid	छुटकारा दियावल
right now	अभिये
right	ठीक
rigid	सख्त
ring	अंगूठी
rinse	कुल्ला करऽ
riot	दंगा
ripe	परिपक्क
rip	फाड़ल
rise	उगल
risk	जोखिम
rival	प्रतिद्वंद्वी
river	नदी
road	सड़क
roast	भुनल
robust	मजबूत
rock	चट्टान
rod	छड़ी
role	भूमिका
roll	लपेटल
roof	छत
room	कमरा
root	जड़
rope	रसरी
rotten	सड़ल-गलल
roughly	सांढ
rough	खुरदुराह
round	गोल
route	रास्ता
routine	दिनचर्या
row	लाइन
rubber	रबर
rubbish	बकवास
rub	रगड़
rude	अकड़ू
rug	गलीचा
ruin	बरबाद
ruler	अपवाद
rules	नियम
rule	नियम
running	धावल
run	दउरीं
rural	गंवई
rush	भीड़भाड़
sack	थैला
sacred	पवित्र
sacrifice	त्याग
safe flight	सुरक्षित उड़ान
safety	सुरक्षा
safe	सुरक्षित
sage	साधू
said	कहलन
sailing	नोकायन
sail	समुद्री यात्रा
sake	खातिर
salary	वेतन
sale	बिक्री
salmon	सामन मछरी
salt	निमक
Same here	हमरे इहे कहनाम बा
same	ओइसने
sample	नमूना
sand	बालू
Sanskrit	संस्कृत
sarcastic	व्यंग्यपूर्ण
sassy	दबंग
satisfaction	संतुष्टि
satisfied	संतुष्ट
satisfying	संतोषजनक
satisfy	संतुष्ट भईल
Saturday	सनिचर
sat	सनिचर
sausage	सॉस
savage	बनेचर
save	बचावल
saw	लउकल
say	कहीं
scale	पैमाना
scam	धोखा
scarce	अपर्याप्त
scared	डेराइल
scarf	दुपट्टा
scary	डरावना
scar	चोट के निसान
scattered	छितराईल
scenery	नजारा
scene	द्रशय
scent	खुशब
schedule	सूची
school	स्कूल
science	बिग्यान
scientists	वैज्ञानिक
scientist	वैज्ञानिक
scissors	कईंची
scold	डांटल-फटकारल
scope	दायरा
score	स्कोर
scrap	रद्दी माल
scratch	खरोंच
scream	चीख
screen	स्क्रीन
screw	पेंच
script	लिपि
seal	मोहर
search	तलाशी
season	मौसम
seat	बईठे के जगह
sea	समुन्दर
second	दूसरा
secret	गुप्त
section	धारा
secure	सुरक्षित
security	सुरक्षा
seed	बीज
seek	माँगल
seems	बुझात बा
seem	जान पड़ल
seen	दैखनीं हं
see you later	बाद में फेर मुलाकात होई
see you soon	जल्दि फेर मुलाकात होई
see you tomorrow	काल्हि मिलल जाई
see you	फेर मिलेब
see	देखीं
seize	जब्त कईल
seizure	कब्जा
seldom	कब्बो कब्बो
select	चुनीं
self healing	खुद से उपचार
selfish	स्वार्थी
self	खुद
sell	बेचल
send me your picture	हमके आपन तसवीर भेजऽ
send	भेजीं
senior	वरिष्ठ
sense	होस
sensible	समझदार
sensitive	संवेदनशील
sentences	वाक्य
sentence	वाक्य
sent	भैजल गईल
separate	अलहदा
Sepedi	सेपेडी
september	सितंबर
sequence	अनुक्रम
series	श्रृंखला
seriously	गंभीरतापूर्वक
serious	गम्भीर
serve	चाकरी कईल
service	नौकरी
session	सत्र
setting	स्थापना
settle	बस जाईल
set up	सेटअप
set	सेट
seventeen	सतरह
seventy	सत्तर
seven	सात
several	कई गो
severe	गम्हीर
sew	टांकल
shade	छेंह
shadow	परछाई
shake	हिलल-डुलल
shallow	ओछा
shall	करिहें
shame	लाज
shape	अकार
share	बाँटीं
sharp	नुकीला
shed	छप्पर
sheep	भेड़
sheet	चादर
she has	ओकरा लगे
she is	ऊ हियऽ
shelf	ताखा
shell	सीप
shelter	सहारा
she	ऊ
shield	शील्ड
shift	बदलल
shine	चमक
shipping	शिपिंग
ship	जहाज
shirt	कमीज
shoes	जूते
shoot	गोली मारल
shopping	खरीदारी
shop	दुकान
shore	सागर के किनारा
shortage	कमी
short	नाटुर
shot	गोला
shoulder	कंधा
should	चाहीं
shout	शोर मचावल
shower	बौछार
show me	हमके देखावऽ
show	देखायीं
shrimp	झींगा
shrink	सिकुड़ल
shut up	चुप रहऽ
shut	बंद
shy	लजकोकड़
siblings	भाई बहिनी
sibling	एक पेट के जामल
sick	बेमार
side	भाग
sightseeing	दर्शनीय स्थल पर घूमल-फिरल
sight	जगहा
sigh	विलाप
signature	हस्ताक्षर
significant	बहुते महत्व वाला
sign	चिन्ह
silence	चुप्पी
silent	खामोश
silk	रेशम
silly	बउराह
silver	चांदी
similar	एके निहन
simple	साधारन
simp	भोला-भाला
simultaneously	संगे-संगे
sincerely	भवदिय
sincere	ईमानदार
since	तब से
singer	गायक
single	अकेला
sing	गावऽ
sink	डूबल
Sir	हुजूर
sister in law	साली
sister	बहिन
site	साईट
situation	हालत
sit	बईठऽ
sixteen	सोलह
sixty	साठ
six	छह
size	आकार
skills	कौशल
skill	कौशल
skinny	दुबला-पतला
skin	चमड़ी
skip	छोड़ दऽ
skirt	लहंगा
sky	आकास
slave	गुलाम
sleeping	सूतल बा
sleepy	निद्राल
sleep	सुतल
sleeve	आस्तिन
slice	टुकड़ा
slide	फिसल-पट्टी
slightly	तनी-मनी
slim	पातर
slip	पर्ची
slope	ढाल
slot	खांचा
slowly	धीरे-धीरे
slow	धीमा
small	छोट
smart	बनल ठनल
smell	गंध
smile	हँसी
smoke	धुआं
smooth	चिकन
snack	नाशता
snail	घोंघा
snake	साँप
snap	फोटो
snow	बरफ
soak	भिगोईं
soap	साबुन
sober	संयमी
soccer	फुटबाॅल
social	सामाजिक
society	समाज
socks	मोजा
so cute	बहुते नीक
so far	अब ले
software	सॉफ्टवेयर
soft	मोलायम
soil	मिट्टी
soldier	फौजी
sold out	बेचा गईल
sold	बिका गईल
sole	एकमात्र
solid	ठोस
solution	हल
solve	समाधान
somebody	केहू
somehow	केहू ना केहू तरह
someone	केहू
something	कवनो चीजु
sometimes	कब्बो कब्बो
some	कुछु
song	गीत
soon	हाली
sophisticated	परिष्कृत
Sorani	सोरानी
sore throat	गला में खराश
sore	घाव
sorrow	गम
Sorry	माँफ करीं
sort	क्रम में सजावल
sought	तलाशल गईल
soulmate	हमसफर
soul	आत्मा
sound	आवाज
soup	सूप
source	स्रोत
sour	खटाह
south	दक्खिन
so	एही से
space	जगह
spam	स्पैम
Spanish	स्पेनिश
span	अवधि
spare	फालतू
speak	बोलऽ
special	खास
species	प्रजाति
specific	बिशेस
spectacular	सानदार
speechless	अवाक
speech	बोलल
speed	चाल
spell	बोली
spend	खर्चा
spent	खरच कईले
spicy	मसालेदार
spike	खूंटा
spinach	पालकी के साग
spin	घुमावऽ
spirit	आत्मा
spit	थूकल
splendid	सानदार
split	तूरल
spoiled	बिगाड़ल
spoil	खराब कईल
spontaneous	सहज
spoon	चम्मच
spot	दाग
spouse	मरद-मेहरारू
spread	छितरायिल
spring	स्प्रिंग
square	चौकोर
squeeze	निचोड़ल
squid	ब्यंग
squirrel	गिलहरी
stable	स्थिर
stab	छरा भोंकल
stack	ढेर
staff	करमचारी
stage	मंच
stain	दाग
stairs	जीना
stake	दांव लगावल
stalk	रौबदार चाल
stall	दुकान
stamp	मोहर
standard	मानक
stand	ठाड़ रहऽ
started	सुरू हो गईल
start	चालू कयिल
starving	निराहार
star	तारा
statement	कहनाम
state	राज
station	स्टेशन
statue	मूर्ति
status	ओहदा
stay safe	सुरक्षित रहीं
stay	ठहरीं
steady	स्थिर
steak	मांस के टुकड़ा
steal	चुरावल
steam	भाप
steel	इस्पात
steep	खड़ा ढाल
stem	तना
step	कदम
stick	छड़ी
stiff	कठोर
still	फिर भी
stingy	कंजूस
sting	डंक
stir	हलचल
stock	भंडार
stolen	चोरी हो गईल
stomach	लाद
stone	पत्थर
stood	खड़ा भईल
stool	मचिया
stop	रूकीं
storage	भंडारण
store	दुकान
storm	तूफान
story	कहानी
stove	अंगीठी
straightforward	सीधा सादा
straight	सोझे
strain	खिंचाव
stranger	अजनबी
strange	अटपटाह
strategy	रणनीति
strawberry	स्ट्रॉबेरी
straw	भूसा
streak	लकीर
stream	बहल
street	गली
strength	जोर
stress	तनाव
stretch	फैलाव
strict	सख्त
strike	हड़ताल
string	डोरी
strip	पट्टी
strive	कोशिश कईल
stroke	झटका
strong	मजबूत
struck	टक्कर लागल
structure	ढांचा
struggle	संघर्ष
struggling	लड़ाई-झगड़ा
stubborn	ढीठ
stuck	अँटकल
student	छात्र
studying	पढ़ रहल बा
study	पढ़ाई-लिखाई
stuff	सामान
stunning	मन मोह लेबे वाला
stupid	मूरख
style	अंदाज
subject	बिषय
submission	जमा कईल
submit	जमा करीं
substance	पदार्थ
substitute	विकल्प
subtle	सूक्ष्म
succeed	कामयाब भईल
successful	सफल
success	सफलता
such as	जईसे कि
such	अइसन
suck	चूसल
suddenly	अचके
sudden	अचानक
suffering	दुख
suffer	कष्ट भोगल
sufficient	अनघा
sugar	चीनी
suggestion	सुझाव
suggest	सलाह
suitable	सही
suitcase	सूटकेस
suit	सूट
summary	सारांश
summer	गरमी
summit	शिखर
sum	जोड़
sunday	इतवार
sunny	धूपदार
sunset	सुर्यास्त
sunshine	सूरज कै रोशनी
sun	सूरज
superior	बेहतर
supervisor	सुपरवाईजर
super	बेहतरीन
supper	रात के भोजन
supply	सप्लाई
support	समर्थन
supposed	मान लिहल गईल
suppose	मान लीं
sure	पक्का
surface	सतह
surgery	सर्जरी
surge	हिलोर
surname	कुलनाम
surprised	चकित
surprise	अचरज
surrender	घुटना टैकल
surrounding	आस-पास
surveillance	निगरानी कईल
survey	सर्वे
survive	जियल
suspect	संदैहास्पद
suspended	मुअत्तल
suspicious	संदेह से भरल
sustainability	टिकाऊपन
sustainable	टिकाऊ
sustain	बनाए रखल
swag	पोटली
swallow	निगलल
swap	अदला-बदला
swear	कसम खाईल
sweater	सुईटर
sweat	पसीना
sweep	झाड़ू बुहारन
sweet dreams	रात बढ़िया बीतो
sweetheart	जानेमन
sweet tooth	मिठाई का चस्का
sweet	मीठ
swelling	सूजन
swell	फुलाव
swimming	तईरल
swim	तैराकी
swing	झूला
switch	स्विच
swollen	फूलल
sword	तलवार
symbol	प्रतीक
sympathy	सहानुभूति
symptoms	लक्षण
system	प्रणाली
table	टेबुल
tackle	निपटल
tag	घुंडी
tail	पोंछ
take away	ले जा
take care	ध्यान राखीं
taken	लिहल गईल
take off	उड़ान भरल
take	लेना
talkative	बातूनी
talk	बतियाईं
tall	लाम
tape	फीता
tap	नल
target	लक्ष्य
task	काम
taste	स्वाद
tasty	स्वादिष्ट
taught	सीखावल
teacher	गुरूजी
teach	सिखावल
team	टीम
tears	लोर
tear	आँसू
tease	शरारत
tea	चाय
technology	तकनीक
teeth	दांत
tell me	हमरा के बताईं
tell	कहीं
temperature	तापमान
temper	झुंझलाहट
temple	मंदिर
temporary	अस्थाई
tenant	किरायेदार
tendency	प्रवृत्ति
tender	टेंडर
tend	झुकल
tense	बेचैन
tension	तनाव
tentative	संभावित
ten thousand	दस हजार
tent	तंबू
ten	दस
terms	शर्त
term	मियाद
terrible	डरावन
terrific	भयानक
territory	क्षेत्र
test	परीक्षा
text	पाठ
Thanks for using our app	हमनी के ऐप इस्तेमाल करे खातिर धन्यवाद
thanks	धन्यवाद
Thank you for your patience while we investigate shipment	शिपमेंट जाॅंंच करे के समय रऊवाॅंं के सब्र करे के खातिर धन्यवाद
thank you so much	रउवा के बहुत बहुत धन्यवाद
thank you very much	राऊर खूब-खूब धन्यवाद
thank you	धन्यबाद
thank	धन्यवाद
than	के तुलना में
that is	यानी
that's good	ई अच्छा बा
that	ऊ
theft	चोरी भईल
their	उनकर
theme	विषय
themselves	ऊ लोग खुद
them	उहनी लोग
then	तब
theory	सिद्धांत
there are	उहवां
therefore	एही खातिर
there is	उहवां बा
there	ऊहाॅंं
these	ई
they are	ऊ लोग ह
they	ऊ
thick	मोट
thief	चोर
thigh	जांघ
things	सामान
thing	चीज
think	सोचीं
thin	पातर
third	तीसरा
thirsty	प्यासा
thirteen	तेरह
thirty	तीस
this is	ई ह
this	ई
thoroughly	विस्तार से
thorough	सुरू से अंत ले
those	उहनी लोग
thoughtful	सावधान
thoughts	विचार
thought	सोच
though	मगर
thousand	हजार
thread	धागा
threaten	धमकावल
threat	धमकी
three	तीन
threshold	दहलीज
thrilled	रोमांचित
thrive	उन्नति कईल
throat	गला
throughout	शुरू से अंत तक
through	जरिये
throw	फेंकीं
thumb	अंगूठा
thunder	गड़गड़ाहट
Thursday	बियफे
thus	एह तरी
tick	कुटकी
tide	ज्वार-भाटा
tidy	रूमाल
tie	कंठलँगोट
tiger	बाघ
tight	सकेत
Tigrinya	तिग्रिन्या
time	समय
timid	डरपोक
tiny	छोटहन
tips	सलाहर
tip	नोक
tired	थाकल
tire	टायर
tissue	ऊतक
title	हक
toast	टोस्ट
to be	होए वाला
today	आजु
toddler	बच्चा
toes	पांव के उंगली
together	साथे-साथे
toilet	पाखाना
told	कहनीं
tolerance	सहनशीलता
tolerate	बरदाश्त कईल
tomato	टमाटर
tomorrow	काल्हु
tongue	जीभ
tonight	आज के रात
took	ले लिहल
tools	उपकरण
tool	साधन
tooth	दांत
too	भी
topic	विषय
top	ऊपर
torn	फाटल
torture	यातना दिहल
total	कुल
touch	छूअऽ
tough	कड़ेर
tour	यात्रा
towards	के ओर
toward	का ओर
towel	तौलिया
town	शहर
toxic	बिसैला
to	खातिर
trace	निशान
track	डड़ार
trade	व्यापार
traditional	परंपरागत
tradition	परंपरा
traffic	यातायात
trail	रास्ता
training	प्रशिक्षण
train	रेल
traits	लक्षण
trait	विशेषता
transfer	स्थानांतरण
transition	अवस्थांतर
translate	अनुवाद
transparent	पारदर्शी
transportation	परिवहन
transport	परिवहन
trap	जाल
trash	कचरा
trauma	सदमा
travel	जतरा
tray	तश्तरी
treasure	खजाना
treatment	इलाज
treat	इलाज
tree	पेड़
tremendous	अद्भुत
trend	रूझान
trial	अजमावल
trick	चालाकी
tried	कोशिश भईल
trigger	ट्रिगर
trim	कांट-छांट कईल
trip	सैर
trouble	दिक्कत
trousers	पतलून
truck	ट्रक
true	सच
trunk	पेटी
trust	भरोसा
truth	सच्चाई
try	कोशिश करीं
Tsonga	त्सोंगा
tube	ट्यूब
Tuesday	मंगर
tuition	ट्यूशन
turkey	तुर्की
turmeric	हरदी
turn	पलट
turtle	कछुआ
tutor	अध्यापक
twelve	बारह
twenty-one	एकईस
twenty	बीस
twice	दु बेर
twist	मोड़
Twi	ट्वी
two	दु
type	किसिम
typical	ठेठ
ugly	बदरूप
ultimate	सर्वश्रेष्ठ
umbrella	छतरी
unable	असमर्थ
uncle	काका
unconscious	बेहोश
underneath	नीचे
underrated	कम आंकल
understand	बुझायिल
understood	समझ गईनीं
under	नीचे
unfortunately	दुर्भाग से
uniform	वर्दी
unique	खास
unit	इकाई
university	विश्वविद्यालय
unknown	अनजान
unless	जब ले ना
until	तबले
unusual	असामान्य
update	अपडेट
upgrade	तरक्की
upon	ऊपर
upset	परैसान
up to you	रऊआ प निरभर करत बा
up	ऊपर
urban	शहरी
urgent	तत्काल
urge	विनती
used	इस्तेमाल भईल
useful	उपयोगी
useless	निकम्मा
use	उपयोग
usually	हमेशा जईसन
usual	सामान्य
us	हमनीं के
utility	उपयोगिता
vacation	छुट्टी
vaccination	टीकाकरन
vaccine	टीका
vacuum	खालीपन
vague	डावांडोल
valid	वैध
valley	घाटी
valuable	कीमती
value	कीमत
variety	किसिम
various	कई गो
vary	अंतर भईल
vase	फूलदान
vast	व्यापक
vegetables	तरकारी
vegetable	तरकारी
vehicle	सवारी
vendor	बेचे वाला
venom	जहर
venture	उद्यम
venue	स्थल
verify	सत्यापित करीं
versatile	बहुमुखी
version	संस्करण
vertical	खड़ा
very good	बहुत बढ़िया
very	बहुते
vessel	पतीला
via	जरिए
vibes	सनसनी
vibe	महौल
vicious	बुरा
victim	पीड़ित
video	वीडियो
view	नजारा
village	गांव
villain	खलनायक
vinegar	सिरका
vintage	काफी पुरान गाड़ी
violence	हिंसा
violent	हिंसक
viral	वायरल
virgin	कुआंर
virtual	भर्चुअल
virtue	नैतिक गुन
vision	नजर
visit	मुलाकात
visual	दृश्य
vital	अहम
vivid	जीवंत
vocabulary	शब्दावली
voice	आवाज
void	सून्य
volume	मात्रा
volunteer	स्वंयसेवक
vomit	उलटी कईल
vulnerable	छुईमुई
wages	तनखाह
wage	वेतन
waist	कमर
waiter	वेटर
waiting	इंतजार करतानी
wait	रूक
wake up	उठऽ
wake	जाग जा
walking	घूमल
walk	टहलल
wallet	बटुआ
wall	भीत
wander	टहलल
wanna	चाहतानी
wanted	चाहत रहनी
want	चाही
wardrobe	अलमारी
warehouse	गोदाम
warm	गरम
warning	चेतावनी
warn	चेतावनी दिहल
warrior	योद्धा
war	लड़ाई
wash	धुलाई
waste	कूड़ा
watch	घड़ी
watermelon	तरबूजा
water	पानी
wave	लहर
way	राहि
weakness	कमजोरी
weak	कमजोर
wealthy	पईसा वाला मनई
wealth	मालदार
we are	हमनी का हईं जा
wearing	पहिनल
wear	पहिनल
weather	मौसम
we can	हमनि का कर सकिले जा
wedding	बियाह
Wednesday	बुध
weed	मोथल
weekend	सप्ताहांत
week	हप्ता
weight	वजन
weird	अजबे
welcome	स्वागत
welfare	कल्याण
well done	बहुत बढ़िया
Well	ठीक
went	गयिलन
west	पछिम
wet	गील
we	हम
whale	व्हैल
what about you	आपन सुनाईं
what are you doing now	रऊवाॅंं अबहीं का करत बानीं
what are you doing right now	अबहीं तू का कर रहल बाड़ऽ
what are you doing	का होता
what do you do for a living	रऊआ का काम करिलै
what do you do	रऊआ का करिले
what do you mean	राउर का मतलब बा
what do you want	तू का चाहत बाड़ऽ
whatever	जवन भी
what happened	का भयिल
what is this	ई का हऽ
what is your job	रऊआ का काम करिले
what is your name	राउर नाम का ह
what is	का ह
what's up	का हो रहल बा
what's your name	तहार नांव का हऽ
what	का
wheat	गेहूँ
wheel	चक्का
whenever	जब कबो
when	कब
where are you from	तू कहाॅं से बाट
where are you now	रऊआ अभी कहाँ बानीं
where are you	तू कहाॅंं बाट
whereas	जबकि
where do you live	रऊआ कहां रहिले
where is	कहां बा
where	कहाॅंं
whether	कौनो
which	कऊन
while	जब
whisper	फुसफुसाईल
whistle	सीटी
white	ऊजर
who are you	राउर परिचय
who is this	ई के हऽ
who is	के हऽ
whole	पूरा
whom	केकरा के
whose	केकर
who	कऊन
why not	काहे ना
why	काहें
wicked	उत्पाती
wide	चाकर
widow	मुसमात
width	चौड़ाई
wife	लुगाई
wild	जंगली
willing	चाहल
window	खिड़की
windy	तूफानी
wind	हवा
wine	शराब
winter	जाड़ा
win	जीत
wipe	पोंछल
wire	तार
wisdom	अकिल
wise	बुद्धिगर
wish you all the best	रऊआ के ढेर सारा सुभकामना
wish	चाह
witch	डाईन
withdrawal	निकासी
withdraw	निकालल
within	के भीतर
without	बिना
with	साथे
witness	गवाह
witty	विनोदपूर्ण
wolf	भेड़िया
woman	जनाना
women	जनाना
wonderful	गज्जब
wonder	गज्जब
won't	ना होई
won	जीत गईनीं
wood	लकड़ी
wool	ऊन
words	शब्द
word	शब्द
working	कामकाजी
work out	कसरत
work	काम
world	दुनिया
worm	कीड़ा
worn	पहिनल
worried	चिंतित
worry	चिंता
worse	बहुते खराब
worship	पूजा
worst	सबसे खराब
worth it	मूल्यवान
worthy	योग्य
worth	लायक
would	चाहिले
wound	घाव
Wow	बहुत अच्छा
wrap	लपेटाई
wrath	गुस्सा
wrist	कलाई
Write here	एहिजा लिख
write	लिखीं
writing	लिखल
written	लिखित
wrong	गलत
wrote	लिखनीं
yard	बाड़ा
yawn	जम्हाई
Yeah	हॅंं
years	साल
year	बरिस
yeast	खमीर
yellow	पियर
yell	चिल्लाईल
yes baby	हं जान
yes dear	हं जानेमन
yes honey	हँ ए जान
yes my love	हँ, हमार जान
yes of course	हं बिलकुल
yesterday	काल्हु (बीतल)
Yes	हॅंं
yet	अबही तक
yield	फायदा
you are beautiful	तू सुनर बाड़ू
you are so beautiful	तू बड़ा सुनर बाड़ू
you are welcome	राउर स्वागत बा
you are	तू हऊअ
you can	रउवा ले हो जाई
You know	रऊआ जानतानी
young	जवान
you're welcome	राऊर सोआगत बा
you’re welcome	राऊर सोआगत बा
yourself	रऊआ खुद
your welcome	राऊर सोआगत बा
your	तोहार
youth	जवान
you too	तूहूं
you	रऊवाॅं
yummy	स्वादिष्ट
zero	शून्य
