Un	a
tanankiliya	protect
ueyimatketl	proud
machilis	prove
tlaskamatilis	provide
tlaonilipixki	provided
pitepetl	province
tlamantli	provision
tlaiskaltilistli	puberty
tlen nochimej	public
tlailana	pull
ayojtli	pumpkin
puntual	punctual
tlamachtiketl	pupil
tlakoa	purchase
atlaneyolo	pure
kamojpaltil	purple
keloa	purpose
xikiplitontli	purse
totoka	pursue
kitotoka	pursuit
kuatopeuaj	push
xitlali	put
yolnankilistli	qualification
kualtitok	quality
poalis	quantity
ompoalitonaltsajktok	quarantine
kamanalkualankayotl	quarrel
inik naui	quarter
Quechua	Quechua
siuatlajtoani	queen
uilontli	queer
kantekalokan	query
tlatlanitl	question
pantli	queue
ijisiuli	quick
chikauak	quickly
motonaluij	quiet
ueyitlakemitl	quilt
kaua	quit
muchijka	quite
tlaneltilistli	quiz
tenauatilistli	quotation
tenauatilistli	quote
tenonotsa	quotes
kuatochi	rabbit
mekayotl	race
chichitlauelilokayon	rage
kiauitl	rain
piui	raise
iskatiloni	raised
tlatlo	ran
in patoli	random
tlentekiti	range
ijisiulti	rapid
ijisiulti	rapidly
senkamochiuaj	rare
sankemantsi	rarely
sauatli	rash
tusa	rat
tochkaxil	rate
achkamati	rather
tlatlanotsalistli	ratio
tlainamiki	rational
ayaiksi	raw
tlamantli	re
xikasiti	reach
nikasik	reached
reacción	reaction
tlapoa	read
tlepojki	reading
toiuka	ready
tlenkayotl	real
yoyoniuikal	reality
ti'ijta	realize
asikamatili	realized
tlen neliya	really
ijka	rear
tlasikayotl	reason
ixtlamaki	reasonable
kinamiki	recall
tlaselitlakuiloli	receipt
niselij	receive
niseli	received
amanok	recent
amanok	recently
salistli	reception
tlajkuiloltlakuali	recipe
amonauatilmak	reckless
noyolomaxilistli	recognition
teixmatis	recognize
tlalnemiktia	recommend
tlalnelmiktia	recommended
amochtlakuiloli	record
kipanti	recover
mochikaua	recovery
rectángulo	rectangle
chichiltik	red
tlaxtlauili	redeem
temakixtiani	redemption
nitlachiua	reduce
sampayanok	redundant
kimakatoke	refer
tlen ikamoita	reference
akeskauiya	reflect
teskatilistli	reflection
saualistli	refrain
sesekotlasaloni	refrigerator
xikuepa	refund
ayok nochiuas	refuse
sampa nitekiui	refused
niyolnonotsa	regard
ika ajkeya	regarding
in tlamachiui	regardless
tlapololij	regards
Tlaltokayotl	region
tlasemachilistli	register
yolchokas	regret
sankuali	regular
regularmente	regularly
mayoui	reject
tenotsali	relate
tenenotsali	related
Tenonotsali	relationship
teixmatkauaj	relative
teixmatkauaj	relatives
mokoxteka	relax
tepanmoyaualistli	release
momajkatok	released
ixnextili	relevant
niyolmaka	reliable
teseuili	relief
pachijki	relieve
teseuli	relieved
yeknemilistli	religion
teknemini	religious
achtekakini	reluctant
temachi	rely
niuekaua	remain
tlen poliui	remaining
nenexi	remarkable
tlapatilistli	remedy
tlainamiki	remember
kilnamiki	remind
teiknamili	reminder
uejkaelij	remote
tlamaneloa	remove
kaua	render
tlakeua	rent
yejtia	repair
sampayanok	repeat
ixpatli	replace
tenankilistli	reply
chiualispantilistli	report
tepankisketl	represent
teyotl	reputation
amatltlapaleuili	request
moneneki	require
tlatlani	required
kipantijke	rescue
tlatsintoka	research
pixaui	resemble
kualankayotl	resentment
kuania	reservation
reservar	reserve
nemini	resident
mauiltsoltechiua	resign
resiliencia	resilience
resiliente	resilient
ixnamikilis	resist
chikaukayotl	resistance
tlen asik	resolution
nikualalis	resolve
tekiuili	resort
tlenoktekouili	resources
tlaixtilistli	respect
tlanankili	respond
tlanankili	response
responsabilidad	responsibility
tepanichketsa	responsible
siajkaua	rest
paxia moseluili	rest in peace
kalitlakualnamakake	restaurant
tlapajtia	restore
axkiksuiya	restrict
katsa kiski	result
resultados	results
tlakuilolmachitili	resume
sesen namakas	retail
tlatsakuili	retain
tlatsakuali	retention
yolitlamanemi	retired
uejkatika	retreat
kikuiti	retrieve
mokuepa	return
nextiliya	reveal
nextilistli	revealed
netsonkuilistli	revenge
Tominxochiotilistli:	revenue
ijikanemi	reverse
seyojuekta	review
tlaltlachiliya	revise
tlamamachiliya	revision
ikniuyaoyotl	revolution
tetlanilili	reward
ritmo	rhythm
sikuili	rib
asentli	rice
ajuiyak	rich
kichti	rid
tlanenemi	ride
nauilaua	ridiculous
kualtitok	right
amatsi	right now
topalkatl	rigid
maxitlastli	ring
uatsa	rinse
yaolkuayankayotl	riot
postektli	rip
ikoxik	ripe
tlekojtis	rise
akilistli	risk
rival	rival
atemitl	river
ojtli	road
iksitoj	roast
tomauak	robust
texkali	rock
kuapipitstsi	rod
tlen tichiuas	role
tlayoualochtia	roll
kalkuauitl	roof
innaui	room
nejuayo	root
mekatl	rope
palantok	rotten
chachauak	rough
aproximadamente	roughly
youaltik	round
oktipa	route
sampayanok	routine
pantli	row
mamatso	rub
tetlaixpouili	rubber
tlasoli	rubbish
fiero kamati	rude
papetlatl	rug
uejkaxolejtok	ruin
tlauaualoni	rule
tlanay	ruler
piltlayeyekoli	rules
tlalolistli	run
otskayotl	running
chinankotl	rural
siajkapa	rush
yoyomitlamanali	sack
teoyojtika	sacred
tlamanayotl	sacrifice
melajtik	safe
kuali patlantli	safe flight
yoatlmotlakuauiya	safety
salviatl	sage
kiijtok	said
akalnemi	sail
akaltikanemilistli	sailing
tlen itonal ne	sake
tlaxtlauili	salary
namakas	sale
xochimichin	salmon
tsikuini	salt
iuikal	same
aquí también	Same here
nextili	sample
xali	sand
Sanskrit	Sanskrit
sarcástico	sarcastic
pícaro	sassy
moseui	sat
teyolmaxilistli	satisfaction
teyolmachilistli	satisfied
yolmaxilia	satisfy
teyolmachilistli	satisfying
Sábado	Saturday
tlanakasali	sausage
chanek	savage
tlajokuili	save
kitak	saw
kiito	say
etik	scale
timo	scam
tsotsouistli	scar
poliui	scarce
mamajtok	scared
ichkamekatl	scarf
majmajtok	scary
tetlaokoli	scattered
akana	scene
tlayekatitok	scenery
auiyoinekistli	scent
tlamapiluiloni	schedule
tlamachtiloya	school
tlamatilistli	science
tlatilismatini	scientist
científicos	scientists
tepostejtekitl	scissors
kiuajua	scold
asitok	scope
puntuación	score
se kentsi	scrap
uauana	scratch
kuatsatsili	scream
tlapaloni	screen
tornillo	screw
tlakuiloli	script
ueyiatl	sea
namakas	seal
temoli	search
panos	season
ikpali	seat
ompa	second
ichtakayotl	secret
sección	section
aujka kena	secure
tlakatokak	security
tlachiya	see
nimitsita	see you
sankentsi nimitsitas	see you later
ninitsitas nima	see you soon
mostla timoitase	see you tomorrow
ijyoli	seed
temoua	seek
sanijki	seem
sanijki	seems
kiitak	seen
kiski	seize
tetlakakaualtilistli	seizure
San kemantsi	seldom
tlapepenili	select
iuikal	self
selti pachiui	self healing
chauastili	selfish
tlanamakilis	sell
makajki	send
ximakaua moixkopinkayotl	send me your picture
achtui	senior
nematiuanij	sense
nematini	sensible
ontlamatilistli	sensitive
makajki	sent
teotlajtoli	sentence
teotlajtoli	sentences
moxexeloa	separate
Sepedi	Sepedi
septiembre	september
tlakuilchiuali	sequence
serie	series
nelmauili	serious
nenejliya	seriously
tekiuiya	serve
tlatekalistli	service
nechikali	session
mauiltili	set
tlatlaliya	set up
tentli	setting
tlatlalijke	settle
chikome	seven
matlaktli uan chikome	seventeen
expoali uan matlaktli	seventy
sekinojmej	several
tekokoliani	severe
tlasoma	sew
ya	sh
tlakauili	shade
tlakauilotl	shadow
tsetseloa	shake
axmotekiuiya	shall
ixmanil	shallow
teijneltsi	shame
chiualistli	shape
ajachimaka	share
tlateki	sharp
ya	she
yeuaj kipiya	she has
ne ya elij	she is
tapanko	shed
ixkatl	sheep
xiuitl	sheet
tlakitltlakalakiya	shelf
ektli	shell
choloakoyon	shelter
chimali	shield
youalteki	shift
tlapetlantli	shine
auakali	ship
tlamakaua	shipping
kemitl	shirt
kaktli	shoes
tlatopontli	shoot
kaltlanamatili	shop
tlakouani	shopping
tlatemoa	shore
kuekuetsi	short
anekotonali	shortage
tepontlalistli	shot
tlauika	should
ajkol	shoulder
kuatsaske	shout
tlamauisoli	show
nexnextili	show me
auiuastli	shower
chakali	shrimp
kototsiui	shrink
kasajktok	shut
kamatsakuaka	shut up
mamajketl	shy
ikni	sibling
ijnime	siblings
kokoyiya	sick
kampa	side
elsisiuilistli	sigh
tlachiyali	sight
chiua uijyayotl	sightseeing
tlamachiyotl	sign
tlaneltiloni	signature
ki'itosneki	significant
ichaka	silence
mokaualistli	silent
seda	silk
uiui	silly
istateokuauitl	silver
iuikal	similar
ampoaneuak	simp
axpoyek	simple
sansempainpeuasej	simultaneously
onkan	since
ijniyutl	sincere
ijniyotl	sincerely
uikatl	sing
kuikani	singer
amo namiki	single
tlapapakatl	sink
Totlayi	Sir
pipi	sister
uejpol	sister in law
moseui	sit
onouayan	site
tlamantli	situation
chikuase	six
matlaktli uan chikuase	sixteen
expoali	sixty
uext	size
yolokayotl	skill
yolokayotl	skills
kuetlax	skin
pitsauak	skinny
tsikuintlu	skip
kueitl	skirt
eljuikak	sky
tlakotli	slave
kochilistli	sleep
koxtik	sleeping
kochmiki	sleepy
tlamaitl	sleeve
tlaxoxoli	slice
alaxtik	slide
se kensi	slightly
piastik	slim
xitlania	slip
tlekoayan	slope
tlauasantli	slot
yolik	slow
yolik	slowly
kuekuetsi	small
toiuka	smart
miyotilistli	smell
ixueskayotl	smile
poktli	smoke
yamanik	smooth
sekotlasalistli	snack
atekokolin	snail
coatl	snake
chasquear	snap
sepauitl	snow
uajka	so
tlan yeyejtsi	so cute
hasta amantsi	so far
apachoa	soak
xapo	soap
axtlaoni	sober
tapayoliani	soccer
tlakakijnimej	social
maseualmej	society
nometsyoyomitl	socks
yamantik	soft
software	software
tlali	soil
namakatok	sold
namakajka	sold out
yaotl	soldier
iyojtsi	sole
tetik	solid
mosenkaua	solution
kiyeyekos	solve
se kentsi tlen	some
ajkaya	somebody
in kenin	somehow
ajkaya	someone
kentsi	something
kemantsi	sometimes
tlauikali	song
chiuaya	soon
piltikayotl	sophisticated
Sorani	Sorani
chichinajtik	sore
toskajauaj	sore throat
pinaua	sorrow
Ni machiliya	Sorry
tlakualali	sort
temojki	sought
itonal	soul
itonal koatli	soulmate
kakalakistli	sound
tsopiatl	soup
chichik	sour
yameyali	source
uitstlan	south
tlakatoyan	space
tlasolamatlakuiloli	spam
malkochka	span
kaxtiltlajtoli	Spanish
tlasenkemiloni	spare
kamati	speak
tlapanauiya	special
tlapiyalmej	species
temachtitlani	specific
tlamauisoli	spectacular
amamekatlkamanali	speech
axkamanali	speechless
ueyojtli	speed
sesekamanali	spell
yalti	spend
yaltitok	spent
kokolis	spicy
uistli	spike
malakachoa	spin
kanaukilitl	spinach
itonal	spirit
chajcha	spit
espléndido	splendid
xeliuilistli	split
tetlauelkatiliya	spoil
tetlauelkaki	spoiled
kamantikayotl	spontaneous
neollani	spoon
kanke	spot
siua	spouse
tlakamauiyaj	spread
xopanili	spring
tlanajasantli	square
tlapaxka	squeeze
calamar	squid
tokomajtli	squirrel
ojkali	st
apuñalar	stab
axmoliniya	stable
pila	stack
tekimaceualmej	staff
kampa sentilise	stage
mancha	stain
tlamamatlatl	stairs
Tlakoipili	stake
isijiuiya	stalk
tlaxikali	stall
tekiluastli	stamp
ketsa	stand
estándar	standard
sitlali	star
peualtili	start
pejki	started
apismiki	starving
Altepetl	state
melaualistli	statement
teposkalmimilolkoyan	station
tekikuili	statue
Tlaltokayotl	status
makauas	stay
kuali ximotekipano	stay safe
chikauak	steady
uakaxnakatl	steak
tlaxtekili	steal
apojtli	steam
ueytepostli	steel
malinali	steep
kiyotl	stem
se nenenki	step
kuauitl	stick
topalkatl	stiff
nojuan	still
tlitsopintli	sting
nexikoli	stingy
maneloli	stir
chiuali	stock
tlaixtektli	stolen
ijti	stomach
tetl	stone
mokestok	stood
ikpal	stool
ketsa	stop
semanali	storage
tlanamakiskali	store
atlakamanilistli	storm
nemiliskayotl	story
tepostlekuili	stove
melauak	straight
xitlahuak	straightforward
kechtkaposteki	strain
chontali	strange
koyotl	stranger
mochiuastili	strategy
popotli	straw
asexokotl	strawberry
chichikuaua	streak
apachkatl	stream
ojtli	street
chikajtok	strength
kuesoualij	stress
motitijlana	stretch
tlanachikauak	strict
tekiketsa	strike
mekatl	string
majkaua	strip
nisenkauas tlen	strive
apoplejía	stroke
chikajtok	strong
xoxoktok	struck
kalmikistetl	structure
tlauilantli	struggle
tlauilantli	struggling
axtlakaki	stubborn
potsaki	stuck
machtiani	student
tlamachtili	study
machitilistli	studying
tlamantli	stuff
ixapilpintsi	stunning
kuawiwiti	stupid
yautlajtolistli	style
ajkeya	subject
Sanmokaua	submission
ipantlanextiliya	submit
yelistli	substance
maxiltiani	substitute
sutil	subtle
nijpiya tlen nijkeki	succeed
teasistli	success
teasilistli	successful
tal	such
kejtsa	such as
chichina	suck
tlalochtla	sudden
onmonextiya	suddenly
ejeyouiya	suffer
tlaiyouili	suffering
ixachi	sufficient
tlasopeli	sugar
tlen nikijtoua	suggest
kejatsa nochiuas	suggestion
yoyomitltsontli	suit
kimonamiktia	suitable
euapetlakali	suitcase
piui	sum
tlakuilolmachitili	summary
xopanatl	summer
itsonyok	summit
iselti	sun
domingo	sunday
tona	sunny
teotlakili	sunset
tonamini	sunshine
súper	super
sempaueyi	superior
tlachiyalitlanauatili	supervisor
kochkayotia	supper
tlailiuischiutli	supply
tlapaleuili	support
nitlaliyaya	suppose
atlak	supposed
tlamelaualistli	sure
ixko	surface
tlatejkoli	surge
texotlatilistli	surgery
tsonka	surname
axnichiyayaya	surprise
sorprendido	surprised
motemaka	surrender
tlayoualouaj	surrounding
ixtetlakuitlauiya	surveillance
maseualtlatlanilistli	survey
niyoltok	survive
chikoyoloani	suspect
piloa	suspended
ixkakauanelij	suspicious
tekipanoa	sustain
sostenibilidad	sustainability
mopaleuiketl	sustainable
tlsixtektekoli	swag
tlatoloa	swallow
tlapatlili	swap
itechtlajtoa	swear
tlaitonal	sweat
uipiltejtektli	sweater
tlaxpana	sweep
tsopelik	sweet
tsopelik kuckitl	sweet dreams
apixmiki	sweet tooth
tlaxochiuilistli	sweetheart
poxaua	swell
xipotli	swelling
ajki	swim
ajkilistli	swimming
tlauiuixoli	swing
tlapatlalistli	switch
poxajtik	swollen
teposmakuauitl	sword
símbolo	symbol
simpatía	sympathy
tlen mitskokoa	symptoms
sistema	system
akolpechtli	table
tlejkolis	tackle
pilamatlakuiloli	tag
tsimpa	tail
kiski	take
uijka	take away
ikayolik	take care
akopatlantli	take off
tlaitok	taken
kamalistli	talk
sankamatijketl	talkative
uejkapantik	tall
teposkisatl	tap
mekatl	tape
neyoleualoni	target
semiluitekitl	task
pakilistli	taste
ajuiyak	tasty
nextili	taught
xiuatl	tea
tlamaxtili	teach
tlamaxtiketl	teacher
tlajkia	team
kotoni	tear
ixayo	tears
tlamakakauiya	tease
teknolotilistli	technology
tlankoch	teeth
kijto	tell
tleljui	tell me
chiuilistli	temper
totonanmakachiyola	temperature
teokali	temple
atlakualo	temporary
matlaktli	ten
se xikipili una makuili tsontli	ten thousand
kalitlanextili	tenant
patlaua	tend
tendencia	tendency
seseltik	tender
imixpa	tense
tenkayotl	tension
kalitlanamakaketl	tent
teteyeokani	tentative
tsonkisalistli	term
sentlaloni	terms
temamaui	terrible
ueyik	terrific
kalitiloayan	territory
tetlatemolistli	test
tlajkuiloli	text
tlen	than
tlaskamati	thank
Tlaskamati	thank you
Tlaskamati ti mochistok tikitasej kanke eltok tlen timismakauiluke	Thank you for your patience while we investigate shipment
miyaj tlaskamati	thank you so much
miyak tlaskamati	thank you very much
Tlaskamati	thanks
tlaskamati titekiuuiya tlen to aplicación	Thanks for using our app
Tlachke	that
kenopa	that is
nopa kuali	that's good
in	the
tlaxtekitl	theft
tlen	their
tlen	them
temachtli	theme
ne yeuantin	themselves
uajka	then
teoria	theory
nopano	there
onka	there are
unka	there is
yejka elis	therefore
ni me	these
yeuanti	they
tlen	they are
tomauak	thick
tlaxtejketl	thief
mestli	thigh
pitsatsi	thin
tlamantli	thing
tlenueli	things
tlainamiki	think
tlen eyi	third
amiki	thirsty
matlaktli uan eyi	thirteen
sempoali uan matlaktli	thirty
ni	this
ni elij	this is
in iitsintla	thorough
malmauili	thoroughly
inin	those
maske	though
tlainamikili	thought
inani	thoughtful
ilnamikamatl	thoughts
ometsontli uan matlakpoali	thousand
ikpatl	thread
kamanalmamauiya	threat
atemamauiya	threaten
eyi	three
umbral	threshold
yolpakili	thrilled
temoskalistli	thrive
toskitl	throat
kakanke	through
tlen nochipa	throughout
majkaualistli	throw
ueymapili	thumb
tlatomontli	thunder
Jueves	Thursday
por consiguiente	thus
chipojtli	tick
aejekatl	tide
tlatekpanali	tidy
kechmekatl	tie
yaoselotl	tiger
tetsiltik	tight
Tigrinya	Tigrinya
nemilis	time
maukayotl	timid
pilkinitsi	tiny
tomitlatlami	tip
temakatlachtlauili	tips
olmalakatl	tire
tlasiauilistli	tired
ikitilistli	tissue
Tlatokayotl	title
a	to
elij	to be
totopochuitsa	toast
ama	today
pilkonetsa	toddler
xokpili	toes
sansejko	together
kuitlakali	toilet
kijto	told
tolerancia	tolerance
tolerar	tolerate
tomatl	tomato
mostla	tomorrow
nejnepili	tongue
ni youali	tonight
nojkia	too
nikuik	took
tepostlatkil	tool
tepostlatkil	tools
tlankoch	tooth
itsima	top
semaxkayotl	topic
tlatlatsayantli	torn
tlaktepauiya	torture
nochi	total
matoka	touch
ui	tough
nejnemi	tour
nepa	toward
kanke	towards
yoyonuajki	towel
chinanko	town
tóxico	toxic
tlatemachiua	trace
pista	track
tlasemananki	trade
tlamamatilistli	tradition
tlen mochichiua	traditional
ixtlakaualijka	traffic
tlanekuilistli	trail
teposokuili	train
machtilistli	training
kejatsa	trait
tlanechyalistli	traits
makaualtomij	transfer
tlapatlalistli	transition
tlaltojkuepa	translate
tsalantik	transparent
aniuaya	transport
nailkixtilistli	transportation
tlakestli	trap
tlasoli	trash
trauma	trauma
nenemilis	travel
akomitl	tray
teokuitlakayotl	treasure
nenemilis	treat
tepatilistli	treatment
kuauitl	tree
axtlakaki	tremendous
tendencia	trend
tetlasontekilistli	trial
truco	trick
nisenkajki	tried
tepostlatoponi	trigger
tejtejki	trim
nenemilis	trip
tlauililokani	trouble
pantaloj	trousers
ueyiteposkauayo	truck
MELAUAK	true
kuatsomitl	trunk
netechmachiliya	trust
Tlamelauak	truth
uelis	try
Tsonga	Tsonga
kokojtli	tube
martes	Tuesday
tlaxtlauilmachtiyola	tuition
totoli	turkey
cúrcuma	turmeric
kueptok	turn
ayotsi	turtle
motatakajtok	tutor
matlaktli uan ome	twelve
sempoali	twenty
sempoali uan se	twenty-one
Twi	Twi
ome uelta	twice
malina	twist
ome	two
ajkaya	type
kolenopaelij	typical
axyeyejtsi	ugly
tlaijka	ultimate
kiauiloni	umbrella
imimatki	unable
tlayi	uncle
iuintik	unconscious
tlatsintla tlen	under
tlatsintla	underneath
infravalorado	underrated
tlamachili	understand
nikuamachili	understood
tlen aompayotl	unfortunately
yoyoniuikal	uniform
iyoltsi	unique
se	unit
ueyitlamachtiyoli	university
axnikixmati	unknown
in pil maske	unless
kani	until
inusual	unusual
ixko	up
ta tijmati	up to you
tlen amanok	update
actualización	upgrade
ipa	upon
pilkualantok	upset
altepeyotl	urban
isiuteua	urge
ijisiulti	urgent
tlen	us
tekiutl	use
tekiuijtok	used
tekiuili	useful
nenkoyotl	useless
tekouiya	usual
tlatekiuili	usually
kitekuiuya	utility
tekitlasiyakaketl	vacation
tlatsopintli	vaccination
pajtlitsopintli	vaccine
ilakatstik	vacuum
sanenemi	vague
nouan kuali	valid
tepetsalan	valley
patiyo	valuable
mosemakas	value
kentsi nochi onka	variety
sekinoj	various
tlen ueli	vary
atliuani	vase
poli	vast
xiuitl	vegetable
achiotl	vegetables
teposkauayo	vehicle
tlanamakaketl	vendor
mikoapatli	venom
arriesgarse	venture
kanaya	venue
sampa xitlachili	verify
versátil	versatile
mokamanalis	version
vertical	vertical
miam	very
senka kuali	very good
atliuani	vessel
tepots oktli	via
itonalpoloua	vibe
vibras	vibes
auilnemini	vicious
tlajkoketl	victim
ichtlakopinkamoliniya	video
tlachialis	view
chinanko	village
tlajpaliuik	villain
xokoktli	vinegar
uejkani	vintage
tlauilantli	violence
tlauisneki	violent
viral	viral
ichpochtli	virgin
tepostlaixnextili	virtual
chikaulistli	virtue
tlachkotalistli	vision
paxaloketl	visit
tikijta	visual
yolnemili	vital
nemilis	vivid
tlajtolsentilistli	vocabulary
toska	voice
ayojtle	void
chikauak	volume
motemaka	volunteer
misotla	vomit
teijnelsi	vulnerable
tlaxtlauili	wage
tlaxtlauili	wages
pitsakayotl	waist
chia	wait
Tlapaleuitlamakaketl	waiter
chía	waiting
isak	wake
isa	wake up
nenemi	walk
nenemilistli	walking
tepamitl	wall
ajoktomin	wallet
neneketl	wander
nejki	wanna
kineki	want
nenejki	wanted
yoatltlauilantli	war
kakokuiyoyomitl	wardrobe
tlatiloyan	warehouse
achi tlatotoniya	warm
yolmeyauali	warn
kiluijkiya	warning
yaotl	warrior
yajki	was
chikuentli	wash
polijtok	waste
tlachiya	watch
atl	water
meloj	watermelon
akueyotl	wave
teposojtli	way
tojuanti	we
tojuanti	we are
tiuelij	we can
kokoxkayotl	weak
kokoxkayotl	weakness
tlatkilistli	wealth
ajuiyak	wealthy
uika	wear
nijuika	wearing
tlaliskayotl	weather
ijuitlsiuali	wedding
miércoles	Wednesday
akauatl	weed
semano	week
tlanki semano	weekend
etik	weight
raro	weird
kualitiasij	welcome
chikaulistli	welfare
Kuali	Well
kuali kichtol	well done
yajki	went
yajke	were
ikalakian	west
xolontok	wet
ueyimichin	whale
Tlachke	what
tlen ipan ta	what about you
Tlachke ti chiua	what are you doing
Tlachke tichiua amantsi	what are you doing now
tlachke tichiua amantsi	what are you doing right now
tlachke tichiua	what do you do
tlen timotekichiuaj	what do you do for a living
tlaxke tijneki tikijtos	what do you mean
tlaxke tijneki	what do you want
tlen panok	what happened
tlachke	what is
nitlachi	what is this
katlia moteki	what is your job
kejatsa motoka	what is your name
tlachi pano	what's up
kejatsa mo toka	what's your name
tlen ueli	whatever
mekatlauili	wheat
malakachtli	wheel
kema	when
kema uelij	whenever
Kanke	where
kanke ti'istok	where are you
Kanke ti ualaj	where are you from
kanke ti'istok amantsi	where are you now
kanke mocha	where do you live
kanke eltok	where is
neyononotsali	whereas
kena	whether
katlia	which
maske ni	while
ixtakakamati	whisper
tlankikisa	whistle
chipauak	white
Ajkeya	who
tiajkeya	who are you
ajkeya	who is
ejkeya	who is this
tlantok	whole
ajkeya	whom
tlen ajkeya	whose
paratle	why
kenke axtle	why not
tlauelilok	wicked
tlauexko	wide
okichmijki	widow
koyauak	width
siua	wife
tekualchine	wild
tlanekilistli	will
mosenkauani	willing
tlatlani	win
ajakatl	wind
tlanexilotl	window
iyeyi	windy
oktli	wine
tlaseseyankapa	winter
xinechpanolti se yoyomitl	wipe
mejatepostli	wire
tlamatilistli	wisdom
tlamatini	wise
aonemalistika	wish
tlen eluitilistli senka kuali	wish you all the best
siuanauali	witch
uaya	with
xiuikata	withdraw
kueniya	withdrawal
kalajtok	within
atle	without
tlen kiitak	witness
tlachialiani	witty
koyotl	wolf
siuatl	woman
toauimej	women
tlatlanki	won
axtiase	won't
nimotlatlani	wonder
tlamauitsoli	wonderful
kuauitl	wood
ixkatsomitl	wool
kamanali	word
kamanali	words
tekitl	work
neyekolistli	work out
peualistli	working
Tlaltepaktli	world
okuili	worm
nijuikak	worn
tekipachoa	worried
kuesoualij	worry
tlanaluili	worse
teotia	worship
tlanalui	worst
patiyotl	worth
axtlapijnaltli	worth it
ixtikiloni	worthy
Axueli	would
tlauitektli	wound
guau	Wow
kemiloa	wrap
kokoli	wrath
siuajauili	wrist
tlakuiloli	write
nikani xitlakuilo	Write here
machioli	writing
tlakuiloli	written
axkuali	wrong
notlakuilo	wrote
kalika	yard
kochkamachaloli	yawn
Kena	Yeah
xiutl	year
xiuitl	years
xokotextli	yeast
kuatsatsili	yell
kostik	yellow
Kena	Yes
kena konetl	yes baby
kena teijnelsi	yes dear
kejna teijnelsi	yes honey
Kena no tlasojtla	yes my love
kenaj	yes of course
yaljuaya	yesterday
nojuan	yet
tlatlanitomi	yield
Ta	you
elij	you are
tu elij yeyejtsi	you are beautiful
ta ti elij tlauel yeyejtsi	you are so beautiful
Axtleno	you are welcome
ya ti uelij	you can
ya tijmati	You know
ta nojkia	you too
axtleno	you're welcome
telpokatl	young
ta	your
axtleno	your welcome
ta niman	yourself
telpokayotl	youth
axtleno	you’re welcome
ajuiyak	yummy
amopouali	zero
