бичииле	a little
дорт-булуңчук	rectangle
кызыл	red
дедир садып алыр	redeem
арылдырышкын	redemption
эвээжедиир	reduce
артыкшылдыг	redundant
хамааржыр	refer
айтыг	reference
чайыннандырар	reflect
дүрзү	reflection
кызыгаарлаар	refrain
соодукчу	refrigerator
акша эгидери	refund
хандырбас	refuse
чөшпээревээн	refused
хүндүлээри	regard
дугайында	regarding
турза-даа	regardless
хүндүлел-биле	regards
регион	region
бүрүткээр	register
хараадаар	regret
хомудаар	regret
доктаамал	regular
үе саанда	regularly
чөпшээревес	reject
хамааржыр	relate
хамаарышкан	related
харылзаа	relationship
төрели	relative
төрелдер	relatives
дыштаныр	relax
салыр	release
үндүрүпкен	released
тааржыр	relevant
бүзүрелдиг	reliable
чиигээри	relief
хостаар	relieve
чиигээн	relieved
шажын	religion
шажынчы	religious
күзел чокка	reluctant
идегээр	rely
артар	remain
чыдып калган	remaining
кайгамчык	remarkable
чепсек-херексел	remedy
сактып чоруур	remember
сагындырар	remind
сагындырары	reminder
ырактан	remote
арылдадыр	remove
чедирер	render
хөлезилээр	rent
септелге	repair
каттаптаар	repeat
солуур	replace
харыылаар	reply
илеткел	report
таныштырар	represent
ат-алдар	reputation
дилэг	request
негелде	request
хереглээр	require
негелде	required
амы-тынын алыры	rescue
шинчилел	research
дөмейлежир	resemble
килең	resentment
бронялаар	reservation
резерв	reserve
чурттакчы	resident
халажыр	resign
шөйлүүчели	resilience
дыгый	resilient
удурланыр	resist
удурланыышкын	resistance
доктаал	resolution
шиитпирлээр	resolve
курорт	resort
курлавыр	resources
хүндүткел	respect
харылаар	respond
харылаар	response
харыысалгалыы	responsibility
харыысаалгалыг	responsible
дыштаныр	rest
чыдар чери чымчак болзун	rest in peace
ресторан	restaurant
катап тургузар	restore
кызыгаарлаар	restrict
түңнел	result
түңнелдер	results
дүңнээр	resume
үүрмектей садар	retail
тудар	retain
тудары	retention
халажкан	retired
аткаарлаар	retreat
эгидер	retrieve
эглир	return
ажыдар	reveal
илереткен	revealed
өжээн	revenge
орулга	revenue
дедир	reverse
допчулал	review
эде көөр	revise
эде көөрү	revision
революция	revolution
шаңнал	reward
ритм	rhythm
ээги	rib
рис	rice
бай	rich
хосталыр	rid
мунар	ride
утка чок	ridiculous
шын	right
оң	right
ам дораан	right now
кадыг	rigid
билзек	ring
былгаар	rinse
үймээн	riot
үзүлген чер	rip
бышкан	ripe
кодүрлур	rise
айыылдыг чүве кылыр	risk
адаанныг кижизи	rival
хем	river
орук	road
быжырар	roast
быжыг	robust
даш	rock
өзек	rod
роль	role
чуктаар	roll
крыша	roof
өрээл	room
дазыл	root
хендир	rope
ирик	rotten
бөзүргей	rough
хире	roughly
борбак	round
эртер орук	route
рутина	routine
чиг	row
дүрбүүр	rub
резина	rubber
бок	rubbish
ааспырак	rude
хевис	rug
бузар	ruin
дүрүм	rule
чагырыкчы	ruler
дүрүмнер	rules
маңнаар	run
маңнап турар	running
көдээниң	rural
далажыыр	rush
шоодай	sack
ыдыктыг	sacred
хайыралавас	sacrifice
айыыл чок	safe
эки ужар	safe flight
айыыл чогу	safety
шалфей	sage
чугалаан	said
эжиндирери	sail
хемелээри	sailing
дээш	sake
шалың	salary
садар	sale
лосось	salmon
дус	salt
дөмей	same
база ындыг	Same here
үлегер	sample
элезин	sand
санскрит	Sanskrit
сарказмныг	sarcastic
бардам	sassy
олурган	sat
күзел ханары	satisfaction
сеткили канган	satisfied
хандырар	satisfy
элээн эки	satisfying
суббота	Saturday
сосиска	sausage
каржы	savage
камгалаар	save
көрген	saw
чугаалаар	say
хемчээл	scale
бузурукчу чорук	scam
сорбу	scar
чедишпес	scarce
корткан	scared
ораашкын	scarf
коргунчуг	scary
тарадыр октаткан	scattered
сцена	scene
пейзаж	scenery
чыт	scent
хуваарь	schedule
школа	school
эртем	science
эртемдээн	scientist
эртемдээннер	scientists
хачы	scissors
бак сөглээр	scold
туран	scope
санаары	score
артыңчы	scrap
шыйбак	scratch
алгы	scream
экран	screen
ээриил	screw
сценарий	script
далай	sea
таңма	seal
дилээр	search
үе	season
олурар	seat
ийи дугаар	second
чажыт	secret
хуваажыры	section
айыыл чогун хандырар	secure
айыыл чогу	security
көөр	see
байырлыг	see you
дараазыңга чедир	see you later
ужурашкыже	see you soon
даарта ужуражыр бис	see you tomorrow
үрезин	seed
дилээр	seek
көстүр	seem
көстүр	seems
көрген	seen
тудуп алыр	seize
эжелеп алыры	seizure
ховар	seldom
шилиир	select
бот	self
бодун эмнээр	self healing
дужун хараары	selfish
садар	sell
чоргузар	send
менче бодуңнуң чурууң чоргузуп берем	send me your picture
Менче бодуңарның чурууңар чоргузуңар	send me your picture
үстүкү	senior
минниишкин	sense
чүвени шын бодаар	sensible
миниичел	sensitive
чоргускан	sent
домак	sentence
домактар	sentences
чарар	separate
Сепеди	Sepedi
тос ай	september
туруштуу	sequence
серия	series
шыңгыы	serious
шынап-ла	seriously
бараан болур	serve
хандырылга	service
сессия	session
тургузар	set
өрүлге	set
тургузар	set up
тургузары	setting
кээп чурттаар	settle
чеди	seven
он чеди	seventeen
чеден	seventy
чамдык	several
кадыг-дошкун	severe
даараар	sew
ш	sh
хөлеге	shade
хөлеге	shadow
силгиир	shake
ужурлуг	shall
сыык	shallow
бак ат	shame
хевир	shape
үлежир	share
чидиг	sharp
ол (кыс кижи)	she
ол кыс кижи	she has
ол кыс кижи	she is
сери	shed
хой	sheep
арын	sheet
полка	shelf
курт хавы	shell
чаштынар чер	shelter
щит	shield
шимчедири	shift
чырыыр	shine
далай хемези	ship
чедирери	shipping
хөйлең	shirt
идиктер	shoes
адар	shoot
садыг	shop
садыгланыыры	shopping
далай эрии	shore
чолдак	short
чедишпези	shortage
адар	shot
ужурлуг	should
эгин	shoulder
алгы	shout
көргүзер	show
меңээ көргүс	show me
душ	shower
креветка	shrimp
кызырлыр	shrink
хаар	shut
аскың хаап ал	shut up
ыядар	shy
төрел	sibling
төрелдер	siblings
аарыг	sick
тала	side
улуг тынар	sigh
көрүш	sight
экскурсия	sightseeing
ат салыр	sign
хол үжүү	signature
чугула	significant
шыпшың	silence
аяар	silent
торгу	silk
аамай	silly
мөнгүн	silver
дөмей	similar
бөдүүн сеткилдиг кижи	simp
бөдүүн	simple
чангыс угда	simultaneously
ол үеден бээр	since
чүректиң ханызындан	sincere
шын сеткили-биле	sincerely
ырылаар	sing
ыраажы	singer
чаңгыс	single
раковина	sink
Ноян	Sir
угбай	sister
кунчуу	sister in law
олурар	sit
сайт	site
байдал	situation
алды	six
он алды	sixteen
алдан	sixty
размер	size
арга-мергежил	skill
арга-мергежилдер	skills
кеш	skin
арган	skinny
этирер	skip
юбка	skirt
дээр	sky
кул	slave
удуур	sleep
удуп чыдар	sleeping
уйгузураан	sleepy
хеңчең	sleeve
кескинди	slice
таяр	slide
аяар	slightly
хөнү	slim
таяр	slip
бел	slope
ойнаар автоматтар	slot
оожум	slow
оожум	slowly
хензиг	small
угааныг	smart
чыттаар	smell
хүлүмзүрүг	smile
ыш	smoke
дески	smooth
чем	snack
улитка	snail
чылан	snake
таккыладыр	snap
хар	snow
ынчаарга	so
ынчангаш	so
дыка чаптанчыг	so cute
ам мөрүнде	so far
сиңирер	soak
саваң	soap
бодамчалыг	sober
футбол	soccer
ниитилел	social
ниитилел	society
уктар	socks
чымчак	soft
программа	software
хөрзүн	soil
саттынган	sold
саттынган	sold out
шериг кижи	soldier
чаңгыс	sole
кадыг	solid
шиитпир	solution
бодаар	solve
чамдык	some
бир-ле кижи	somebody
бир канчаан	somehow
бир-ле кижи	someone
бир-ле чүве	something
чамдыкта	sometimes
ыры	song
удавас	soon
дүрген	soon
нарын	sophisticated
Сорани	Sorani
язва	sore
боостаа аарыр	sore throat
муңгарал	sorrow
буруулуг болдум	Sorry
ылгаар	sort
дилээр	sought
сеткил	soul
төрел сеткилдиг кижи	soulmate
ыыт	sound
мүн	soup
ажыг	sour
үндезин	source
мурну чүк	south
делгем	space
спам	spam
аразы	span
испан	Spanish
курлавыр	spare
чугаалаар	speak
тускай	special
хевирлер	species
онзагай	specific
кайгамчыктыг	spectacular
чугаа	speech
ыыт чок	speechless
дүргени	speed
үжүктеп адаар	spell
чарар	spend
чарыпкан	spent
ажыг	spicy
тен	spike
дескинери	spin
шпинат	spinach
сеткил-сорук	spirit
дукурер	spit
кончуг эки	splendid
адырар	split
үрээр	spoil
үрегдетинген	spoiled
хенертен	spontaneous
омааш	spoon
былчак	spot
өөнүң-ишти	spouse
тарадыр	spread
час	spring
дөрбелчин	square
чыырар	squeeze
кальмар	squid
дииң	squirrel
ст	st
шанчар	stab
доктаамал	stable
оваа	stack
персонал	staff
уе-чада	stage
былчак	stain
чада	stairs
кезек	stake
кедеп чоруур	stalk
мал турар чер	stall
тамга	stamp
турар	stand
стандарт	standard
сылдыс	star
эгелээр	start
эгелепкен	started
аштап турар	starving
аймак	state
медеглел	statement
билдириишкин	statement
станция	station
тураскаал	statue
байдал	status
артып каар	stay
айыыл чок бол	stay safe
турум	steady
стейк	steak
оорлаар	steal
агым	steam
каң	steel
кадыр	steep
үндезин	stem
базым	step
чышпырар	stick
көжүй берген	stiff
амдыызында	still
амда	still
шагар	sting
харам	stingy
былгаар	stir
склад	stock
оорлапкан	stolen
хырын	stomach
даш	stone
турган	stood
сандай	stool
тур	stop
шыгжаар чер	storage
садыг	store
шуурган	storm
солун-чугаа	story
плита	stove
дорт	straight
бөдүүн	straightforward
хере дыртыышкын	strain
чиктиг	strange
танывазы кижи	stranger
стратегия	strategy
саваң	straw
честек-кат	strawberry
дилиндек	streak
агым	stream
кудумчу	street
күш	strength
күжениишкин	stress
дурту	stretch
шыңгыы	strict
согары	strike
одуруг	string
дилиндек	strip
оралдажыр	strive
кагары	stroke
күштүг	strong
магадаан	struck
тургузуг	structure
демисел	struggle
демисежип турар	struggling
дедир	stubborn
чыдыпкан	stuck
студент	student
өөренир	study
өөредилге	studying
чүүлдер	stuff
аажок кайганыр	stunning
аамай	stupid
аян	style
чүүл	subject
чүве	subject
чагырары	submission
чоргузар	submit
бүдүмел	substance
солуур	substitute
нарын	subtle
чедиишкинниг	succeed
чедиишкин	success
чедиишкинниг	successful
мындыг	such
чижээлээрге	such as
сорар	suck
хенертен	sudden
хенертен	suddenly
хикчектенир	suffer
түреп турар	suffering
четчир	sufficient
чигир	sugar
саналдаар	suggest
сүме	suggestion
костюм	suit
таарымчалыг	suitable
чемодан	suitcase
ниитизи	sum
эдертиг	summary
чай	summer
саммит	summit
хүн	sun
улуг-хүн	sunday
хүннүг	sunny
кызыл хүн	sunset
хүн чырыы	sunshine
супер	super
ажып турар	superior
супервайзер	supervisor
кежээки чем	supper
хандырары	supply
деткимче	support
деп бодаар	suppose
деп бодаан	supposed
ынчанмайн канчаар	sure
кыры	surface
чалгыг	surge
хирургия	surgery
фамилия	surname
хенертен болган чүүл	surprise
магадаан	surprised
дүжүп бээр	surrender
долгандыр турар	surrounding
хайгаарал	surveillance
айтырары	survey
дириг артар	survive
каразыыр	suspect
тургузупкан	suspended
караданчыг	suspicious
хевээр тудар	sustain
чурталга доктаамалы	sustainability
туруштуг	sustainable
үп-саап	swag
ажырар	swallow
орнун солур	swap
даңгырак	swear
деридер	sweat
свитер	sweater
ширбиир	sweep
чигирсиг	sweet
эки дүштерни күзедим	sweet dreams
чигирзиг чем чиксээр кижи	sweet tooth
ынак кижизи	sweetheart
хөөр	swell
бичии ыжа бергени	swelling
эштиир	swim
эштири	swimming
чайгаар	swing
солукчу	switch
дөгдегер	swollen
селеме	sword
демдек	symbol
сонуургал	sympathy
симптомнар	symptoms
система	system
ширээ	table
херекселдер	tackle
демдек	tag
кудурук	tail
алыр	take
ап алыр	take
апаар	take away
човаар	take care
ужуга бээр	take off
алдынган	taken
чугаалажыыр	talk
чугаакыр	talkative
бедик	tall
кран	tap
лента	tape
кара	target
сорулга	task
амдан	taste
амданныг	tasty
өөредип турган	taught
шай	tea
өөредир	teach
башкы	teacher
команда	team
ора дыртар	tear
чаштар	tears
хорададыр	tease
технология	technology
диштер	teeth
чугаалаар	tell
меңээ чугаала	tell me
аажы-чаң	temper
температура	temperature
хүрээ	temple
түр	temporary
он	ten
он муң	ten thousand
хөлезилекчи	tenant
адакталыр	tend
тенденция	tendency
чассыг	tender
күженген	tense
күжениишкин	tension
майгын	tent
баштайгы	tentative
хуусаа	term
дугуржулгалар	terms
дыка коргунчуг	terrible
коргунчуг	terrific
девискээр	territory
тест	test
текст	text
өөрүп четтирер	thank
Четтирдим	thank you
Чедирерин тодарадып турувуста манааныңар дээш четтирдивис	Thank you for your patience while we investigate shipment
улуу биле четтирдим	thank you so much
улуу-биле четтирдим	thank you very much
четтирдим	thanks
четтирдивис бистиң приложение ажыглааны дээш	Thanks for using our app
ол	that
ол дээрге	that is
ол эки-дир	that's good
оорлаары	theft
оларның	their
оларның	them
тема	theme
боттарын	themselves
оон	then
инчеш	then
теория	theory
түгдэ	there
ында	there
ында	there are
ынды	there is
ынчангаш	therefore
бо (хөйнүң саны)	these
олар	they
олар	they are
кылын	thick
оор	thief
дөңмек	thigh
чуга	thin
арган	thin
чүве	thing
эт-сеп	things
боданыыр	think
үш дугаар	third
сускаар	thirsty
он үш	thirteen
ужен	thirty
бо	this
бо дээрге	this is
хынамчалыг	thorough
хынамчалыг	thoroughly
олар	those
болза	though
бодал	thought
боданган шинчилиг	thoughtful
бодалдар	thoughts
муң	thousand
удазын	thread
кыжаның	threat
кыжаныр	threaten
үш	three
кызыгаар	threshold
сирилээр	thrilled
өзер	thrive
бооста	throat
өттүр	through
дургузунда	throughout
октаар	throw
улуг салаа	thumb
диңмирээшкин	thunder
четверг	Thursday
мынчангаш	thus
саргы	tick
далайның көдүрлүрү	tide
шевергин	tidy
галстук	tie
пар	tiger
тар	tight
Тигринья	Tigrinya
үе	time
тыртылчак	timid
арган	tiny
арга-сүме	tip
молдурук	tips
шина	tire
шылаан	tired
шылап калган	tired
пөс	tissue
эге	title
болур	to be
йөрээл	toast
бо хүн	today
өпея	toddler
бут салаалары	toes
кады	together
туалет	toilet
чугаалаттынган	told
негелде чогу	tolerance
шыдажып эртер	tolerate
помидор	tomato
эртен	tomorrow
даарта	tomorrow
дыл	tongue
бо кежээ	tonight
база	too
алган	took
инструмент	tool
инструментилер	tools
диш	tooth
үстүкү	top
тема	topic
орулган	torn
хилинчектээшкин	torture
ниити	total
дээр	touch
быжыг	tough
ээлчег	tour
өтүр	toward
этир	towards
аржыыл	towel
бичии хоорай	town
хоранныг	toxic
ис	trace
орук	track
садыглажыр	trade
чаңчыл	tradition
традициялыг	traditional
трафик	traffic
ис	trail
өөредиир	train
өөредилге	training
аажы-чаңының онза чүүлү	trait
аажы-чаңының онза чүүлдери	traits
өскээр тургузары	transfer
шилчиири	transition
очулдурар	translate
өттүр көстүр	transparent
транспорт	transport
дажыыры	transportation
какпа	trap
бок	trash
кемдээри	trauma
аян-чорук кылыр	travel
поднос	tray
эртине	treasure
эмнээр	treat
эмнээри	treatment
ыяш	tree
канчаар-даа аажок улуг	tremendous
угланыышкын	trend
шенелде	trial
кажар арга	trick
шенээн	tried
мажы	trigger
каасталга	trim
чорук	trip
берге байдал	trouble
чүгүр	trousers
чүък машиназы	truck
багажник	trunk
бузурел	trust
шын	truth
шенээр	try
Цонга	Tsonga
хоорза	tube
вторник	Tuesday
өөредилге	tuition
индюк	turkey
куркума	turmeric
корүнер	turn
языты-мелегей	turtle
репетитор	tutor
тыва	Tuvan
он ийи	twelve
чээрби	twenty
чээрби бир	twenty-one
Тви	Twi
ий катап	twice
дескиндирер	twist
ийи	two
хевир	type
ылаптыг	typical
чараш эвес	ugly
чүдек	ugly
сөөлгү	ultimate
хол майгыны	umbrella
шыдавас	unable
даайы	uncle
акызы	uncle
моорап калган	unconscious
адаанда	under
адаанда	underneath
чедир үнелеттинмээн	underrated
билип алыр	understand
билип алган	understood
хараадаан	unfortunately
униформа	uniform
эң ховар	unique
хемчээл	unit
университет	university
билдинмес	unknown
азы эвес	unless
чедир	until
бөдүүн эвес	unusual
өөрү	up
сен шили	up to you
чаартыыр	update
чаартыр	upgrade
кырында	upon
хөңнү баксыраан	upset
хоорайныың	urban
албадаар	urge
далаштыг	urgent
бисти	us
ажыглаар	use
ажыглаттынган	used
ажыктыг	useful
ажык чок	useless
анаа	usual
анаада	usually
ажык-дуза	utility
шөлээ	vacation
вакцина салыр	vaccination
вакцина	vaccine
вакум	vacuum
тода эвес	vague
күштүг	valid
узун чоога	valley
үнелиг	valuable
үне	value
янзы-бүрү	variety
янзы-бүрү	various
кончуг	vary
ваза	vase
алгыг-делгем	vast
ногаа	vegetable
ногаа аймаа	vegetables
транспорт	vehicle
садыгжы	vendor
хоран	venom
бүдүрүлге	venture
ужуражыр чер	venue
шынзыдар	verify
янзы-бүрү талалыг	versatile
версия	version
вертикальдыг	vertical
дыка	very
дыка эки	very good
сава	vessel
ажыр	via
сирлеңнээри	vibe
сирлеңнээри	vibes
бужар	vicious
өргүл	victim
видео	video
көстүрү	view
суур	village
өжээтен	villain
уксус	vinegar
эрги шагның	vintage
күчүлел	violence
күчүлел	violent
вирустуг	viral
бүдүн	virgin
виртуал	virtual
эки мөзү	virtue
көрүлге	vision
баар	visit
карак-биле кылыр	visual
эң чугула	vital
өңгүр	vivid
дылдың сөс байлаа	vocabulary
үн	voice
хос болуру	void
хемчээл	volume
эки турачы	volunteer
куску	vomit
суларгай	vulnerable
шалың	wage
ажыл төлевири	wages
бел	waist
манаар	wait
официант	waiter
манаашкын	waiting
оттур	wake
оттуп кээр	wake up
кылаштаар	walk
чорууру	walking
хана	wall
акша хавы	wallet
кезиир	wander
күзээр	wanna
күзээр	want
сураглап тыптырган	wanted
дайын	war
хеп шкавы	wardrobe
склад	warehouse
чылыг	warm
сагындырар	warn
сагындырары	warning
дайынчы	warrior
турган	was
чуурга	wash
артыңчы	waste
көөр	watch
суг	water
арбуз	watermelon
чалгыг	wave
орук	way
бис	we
бистер	we
бистер	we are
бистер шыдаар	we can
кошкаак	weak
шагзыргайы	weakness
байлак	wealth
шыырак	wealthy
кедер	wear
кедип турар	wearing
агаар бойдус	weather
куда	wedding
среда	Wednesday
чашпан	weed
неделя	week
дыштаныр хүн	weekend
кил	weight
элдептиг	weird
чиктиг	weird
кирип моорлаңар	welcome
чаагай байдал	welfare
Эки	Well
эки кылган	well done
чораан	went
болган	were
болганнар	were
барыын чүк	west
өл	wet
кит	whale
чүү	what
чүнү	what
харын сен	what about you
харын силер	what about you
Чүнү канчап тур сен	what are you doing
Чүнү кылып тур силер	what are you doing
Ам чүнү канчап тур силер	what are you doing now
Ам чүнү кылып тур сен	what are you doing now
сен ам чүнү кылып тур сен	what are you doing right now
силер ам чүнү кылып тур силер	what are you doing right now
чүнү канчап турар сен	what do you do
чүнү канчап турар силер	what do you do
чурталгада чүү-биле ажылдап ап тур сен	what do you do for a living
чурталгада чүү-биле ажылдап ап турсилер	what do you do for a living
чүү деп тур сен	what do you mean
чүү деп тур силер	what do you mean
чүнү күзеп тур сен	what do you want
чүү болган	what happened
бо дээрге	what is
ол дээрге	what is
бо чүү чувел	what is this
ажылың кандыг	what is your job
ажылыңар кандыг	what is your job
адыңар кым	what is your name
чүү-дүр	what's up
адың кым	what's your name
чүү-даа болза	whatever
кызыл-тас	wheat
дугуй	wheel
кажан	when
санында-ла	whenever
кайы	where
кайда	where
силер кайда силер	where are you
сен кайда сен	where are you
кайыын келген сен	where are you from
кайыын силер	where are you from
силер ам кайда силер	where are you now
сен ам кайда сен	where are you now
кайда чурттап тур сен	where do you live
кайда чурттап тур силер	where do you live
кайда	where is
ол үеде	whereas
ирги бе	whether
кайы	which
кайызы	which
үезинде	while
сымыраныр	whisper
сыгырар	whistle
ак	white
кым	who
силер кым силер	who are you
сен кым сен	who are you
кым деп	who is
бо кым чувел	who is this
бүдүн	whole
кым	whom
кымның	whose
чүге	why
чуге чок	why not
кара сагыштыг	wicked
калбак	wide
өөнүң ишти калган кижи	widow
калбаа	width
кадай	wife
черлик	wild
белен	willing
удар	win
хат	wind
соңга	window
хаттыг	windy
кызыл-арага	wine
кыш	winter
чодар	wipe
провод	wire
мерген угаан	wisdom
мерген угаанныг	wise
кузээр	wish
сеңээ эң эки чүвелерни күзеп тур мен	wish you all the best
азакадай	witch
биле	with
уштуур	withdraw
үндүрүлге	withdrawal
иштинде	within
чокта	without
көрген кижи	witness
чечен	witty
бөрү	wolf
херээжен	woman
херээжен кижи	women
удуп алган	won
чок боор	won't
кайгаар	wonder
кайгамчык чараш	wonderful
ыяш	wood
дүктен кылган пөс	wool
сөс	word
сөстер	words
ажыл	work
ажылдаар	work out
ажылдап турар	working
делегей	world
курт	worm
элээн	worn
сеткили дүүрээн	worried
дүвүрээр	worry
оон багай	worse
мөгеери	worship
эң багай	worst
үнези	worth
үне дүүшкен	worth it
хүндүлүг	worthy
балыг	wound
вау	Wow
ораар	wrap
ажынары	wrath
билек	wrist
бижиир	write
маңаа бижиир	Write here
бижиг	writing
бижээн	written
шын эвес	wrong
меге	wrong
бижип турган	wrote
бажың чаны	yard
эзээр	yawn
Ындыг	Yeah
чыл	year
чылдар	years
ажыткы	yeast
алгырар	yell
сарыг	yellow
Ийе	Yes
ийе ынаам	yes baby
ийе эргимим	yes dear
ийе сарыым	yes honey
Ийе мээң ынакшылым	yes my love
ийе ынчамайн	yes of course
дүүн	yesterday
амдыызында	yet
амда чок	yet
чайлап бээр	yield
сен	you
силер	you
силер дээрге	you are
сен дээрге	you are
силер чараш силер	you are beautiful
сен чараш сен	you are beautiful
силер дыка чараш силер	you are so beautiful
сен дыка чараш сен	you are so beautiful
моорлаңар	you are welcome
сен шыдаар сен	you can
силер шыдаар силер	you can
силер билир силер	You know
сен билир сен	You know
сен база	you too
силер база	you too
ажырбас	you're welcome
аныяк	young
сээң	your
силерниң	your
ажырбас	your welcome
бодуң	yourself
бодуңар	yourself
аныяктар	youth
ажырбас анаа	you’re welcome
чаагай	yummy
тик	zero
