އެކަހެރިކުރުން	abandon
އަޑުގަދަ	noisy
އެއްޗެއްނޫން	none
މެންދުރު	noon
ނޫން	nope
ނުވަތަ	nor
އާދައިގެ	normal
އުތުރު	north
ނޭފަތް	nose
ބޯއަނބުރައިގަތުން	nostalgic
ނޫން	not
ގޯހެއްނޫން	not bad
ނޯޓް	note
ފާހަގަކޮށްފިން	noted
އެއްޗެއްނޫން	nothing
ނޯޓިސް	notice
ފާހަގަވުން	noticed
ނަން	noun
ނަންތައް	nouns
ވާހަކަފޮތް	novel
ނޮވެމްބަރ	november
މިހާރު	now
އެހެންނުވާނެ	no way
އައްސިވުން	numb
ނަންބަރު	number
ނަރުހުން	nurse
އިސްކުރު	nut
ތަކޯވައް	nutmeg
ނިއުޓްރީޝަން	nutrition
ހުވާ	oath
ފަލަބަލި	obesity
ބޯލެބުން	obey
އެއްޗެއް	object
މަޤަޞަދު	objective
ވާޖިބު	obligation
ކަޝްފުވުން	obscure
އޮބްޒަރވްކުރުން	observation
އޮބްޒަރވް	observe
އަޅައިގަނެފަ	obsessed
އޮބްސެޝަން	obsession
ނެތިގޮސްފައިވާ	obsolete
އުނދަގޫ	obstacle
ހޯދުން	obtain
ލިބުން	obtained
ޔަޤީން	obvious
ޔަޤީނުންވެސް	obviously
މަޝްޢޫލުވެފައިވުން	occupied
އޮކަރސް	occurs
ކަނޑު	ocean
އޮކްޓޯބަރ	october
އޮޑްސް	odds
ޔަޤީނެއްނު	of course
އޮފް	off
ފުރުސަތު	offer
އޮފީސް	office
ރަސްމީ	official
ގިނަފަހަރު	often
އޯހ	Oh
ތެޔޮ	oil
މަތީގައި	on
އެއްފަހަރު	once
އެކެއް	one
ފިޔާ	onion
އޮންލައިން	online
ހަމައެކަނި	only
ހުޅުވުން	open
އޮޕަރޭޝަން	operation
ޙިޔާލު	opinion
ފުރުޞަތުތައް	opportunities
ފުރުޞަތު	opportunity
އިދިކޮޅު	opposite
އުންމީދުންފުރިފައިވާ	optimistic
ގޮތް	option
އިޚްތިޔާރީ	optional
ނުވަތަ	or
އޮރެންޖު	orange
ތަރުތީބު	order
އާދައިގެ	ordinary
އޯގަނައިޒޭޝަން	organization
އޮރިއެންޓޭޝަން	orientation
އޮރިޖިން	origin
އަސްލު	original
އަރޯމާ	Oromo
ޔަތީމު	orphan
އެހެން	other
އެހެންނޫންނަމަ	otherwise
އަހަރެމެންގެ	our
ބޭރުކުރުން	out
ނަތީޖާ	outcome
ހެދުން	outfit
އައުޓްގޮއިންގް	outgoing
އައުޓްލެޓް	outlet
އައުޓްލައިން	outline
ބޭރު	outside
އަވަން	oven
މަތިން	over
ޖުމްލަގޮތެއްގައި	overall
އެތާގައި	over there
މާބޮޑަށްވިސްނުން	overthinking
އުތުރިއެރުން	overwhelmed
ދެރުން	owe
ބަކަމޫނު	owl
އަމިއްލަ	own
އޮކްސް	ox
ޕޭސް	pace
ޕެކް	pack
ޕެކޭޖް	package
ފައިސާދައްކާފައި	paid
ތަދު	pain
ކުލަޖެއްސުން	paint
ކުރެހުން	painting
ޕެއަރ	pair
ހުދުވެފައިވުން	pale
ރުއް	palm
ތަވާ	pan
ބަލިމަޑުކަން	pandemic
ހާސްވުން	panic
ފަޓުލޫނު	pants
ކަރުދާސް	paper
ސުވަރުގެ	paradise
ޕަރެލަލް	parallel
ޕާރުސަލް	parcel
މައާފުކުރޭ	pardon
މައިންބަފައިން	parents
ޕާކު	park
ޕެރޮޓް	parrot
ޕާސްލީ	parsley
ބައެއް	part
ބައިވެރިވުން	participate
ބައިވެރިޔާ	partner
ޕާޓީ	party
ޕާސް	pass
ޕެސެޖް	passage
ފާސްވުން	passed
ޝަޢުޤުވެރިކަން	passion
ޕެޝަނޭޓް	passionate
ޕެސިވް	passive
ޕާސްވަރޑް	password
މާޒީ	past
ޕެޗް	patch
މަގު	path
ތާކުންތާކުނުޖެހޭ	pathetic
ކެތްތެރިކަން	patience
ބަލިމީހާ	patient
ޕެޓާރން	pattern
މަޑުޖައްސާލުން	pause
ކަފިހިހުރަސް	pavement
ފައިސާދެއްކުން	payment
އަމާންކަން	peace
ހަމަހިމޭންކަން	peaceful
ޕީޗް	peach
މަތި	peak
ޕެއާ	pear
ފެހިއޮްށް	peas
ތަފާތު	peculiar
ވަރަ	pee
ނޮޅުން	peel
އެކުވެރިން	peers
ގަލަން	pen
ފަންސުރު	pencil
ނުނިމި	pending
މީހުން	people
އަސޭމިރުސް	pepper
ނަގައިގަންނަ	perceive
ފެންނަގޮތް	perception
ބަރާބަރު	perfect
ހުށަހެޅުން	perform
ހުށަހެޅުން	performance
ފަހަރެއްގަ	perhaps
ޕީރިއަޑް	period
ދާއިމީ	permanent
ހުއްދަ	permission
ހުއްދަ	permit
ދެމިހުރުން	perseverance
ދެމިހުރުން	persistent
މީހާ	person
އަމިއްލަ	personal
ޝަޚުސިއްޔަތު	personality
ވިސްނުން	perspective
ބާރުއެޅުން	persuade
ހުރަސްއެޅުން	pervert
ފޭސް	phase
ފެނޯމިނާ	phenomenon
ފިލޯސޮފީ	philosophy
ފޯނު	phone
ފޮޓޯ	photo
ޖުމްލަ	phrase
ފިޒިކަލް	physical
ނެގުން	pick
ޕިކްއަޕް	pick up
ފޮޓޯ	picture
އެތިކޮޅެއް	piece
އެތިކޮޅުަތައް	pieces
އޫރު	pig
ކޮތަރު	pigeon
ފުނި	pile
ބާލީސް	pillow
ޕައިލޮޓް	pilot
ޕިން	pin
އަލަނާސި	pineapple
ފިޔާތޮށި	pink
ވަޅުގަނޑެއް	pit
އަޑު	pitch
ތަން	place
ތަންތަަން	places
ބަލިމަޑުކަން	plague
އާދައިގެ	plain
ރޭވުން	plan
ޕްލޭން	plane
ގަސް	plant
ގަސްތައް	plants
ތަށި	plate
ޕްލެޓްފޯމް	platform
ކުޅުން	play
ކުޅުން	playing
ހިތްގައިމު	pleasant
ޕްލީޒް	please
ހިތްހަމަޖެހިފައި	pleased
ޝަރަފް	pleasure
ޕްލެޖް	pledge
ބައިވަރު	plenty
މަކަރު	plot
ޕްލަގް	plug
ޕްލަމް	plum
ޕްލަމްބަރ	plumber
ޕޮޑްކާސްޓް	podcast
ޅެން	poem
ޅެން	poetry
ޕޮއިންޓް	point
ވިހަ	poison
ޕޮލިސް	police
އުސޫލު	policy
ޕޮލައިޓް	polite
ވައިނުސާފުވުން	pollution
ފެންގަނޑު	pond
ފެންގަނޑު	pool
ބޮޑުކަމުދިއުން	poop
ފަޤީރު	poor
ފަޅާލުން	pop
މަޝްހޫރު	popular
އާބާދީ	population
އޫރުމަސް	pork
ޕޮރިޖް	porridge
ބަނދަރު	port
މަޤާމު	position
ޕޮޒިޓިވް	positive
ޕޮސެސިވް	possessive
ވެދާނެ	possible
ޕޯސްޓް	post
ލަސްކުރުން	postpone
އަލުވި	potato
ޕައުންޑް	pound
ފަޤީރުކަން	poverty
ބާރު	power
ބާރުގަދަ	powerful
ޕްރެކްޓިކަލް	practical
ޕްރެކްޓިސް	practice
ތަޢުރީފުކކުރުން	praise
އޮޅުވާލުމެއް	prank
ނަމާދުކުރުން	pray
އަގުހުރި	precious
ސީދާ	precise
ކަނޑައެޅިގެން	precisely
އަންދާޒާކުރުން	predict
އިސްކަންދިނުން	prefer
ބޭނުންވާގޮތް	preference
ބަނޑުބޮޑު	pregnant
ޕްރީޖުޑިސް	prejudice
ހުވާތައް	premises
މޮޅު	premium
ތައްޔާރުވުން	preparation
ތައްޔާރުވުން	prepare
ތައްޔާރުކޮށްފަ	prepared
ޕްރިޕޮޒިޝަން	preposition
ޙާޒިރުގައި	presence
ހަދިޔާ	present
ޕްރެޒެންޓޭޝަން	presentation
ރައީސް	president
ނޫސްވެރިން	press
ޕްރެޝަރ	pressure
ރިވެތި	pretty
ހުރަސްއެޅުން	prevent
ކުރީގެ	previous
ޝިކާރަ	prey
އަގު	price
ޝަރަފު	pride
އަޅުވެރިޔާ	priest
އިބްތިދާއީ	primary
ޕްރައިމް	prime
ޕްރިންސަސް	princess
ޕްރިންސިޕަލް	principal
ކުރިން	prior
އިސްކަންދޭކަންތައް	priority
ޖަލު	prison
އަމިއްލަ	privacy
އަމިއްލަ	private
ޝަރަފު	privilege
އިނާމު	prize
މައްސަލަ	problem
ޕްރޮސީޖަރ	procedure
މަރުޙަލާ	process
އުފެއްދުން	produce
މުދާ	product
އުފެއްދުން	production
ޕްރޮފެޝަން	profession
ޕްރޮފެޝަނަލް	professional
ޕްރޮފައިލް	profile
ފައިދާ	profit
ޕްރޮފައުންޑް	profound
ކުރިއެރުން	progress
ޕްރޮޖެކްޓް	project
މަޝްހޫރު	prominent
ހުވާ	promise
ކުރިއެރުވުން	promote
ޕްރޮމޯޝަން	promotion
އަވަސް	prompt
ޕްރޯން	prone
ބަދަލުނަން	pronouns
ބަސްކިޔާގޮތް	pronunciation
ހެކި	proof
އެކަށީގެންވާ	proper
މުދާ	properly
މުދާތައް	properties
މުދާ	property
ހުށަހެޅުން	proposal
ހުށަހެޅުން	prospect
ތަނަވަސްކަން	prosperity
ބާއްޖަވެރި	prosperous
ރައްކާތެރިކުރުން	protect
ފަޚުރުވެރި	proud
ސާބިތުކުރުން	prove
ފޯރުކޮށްދިނުން	provide
ފޯރުކޮށްދީފައި	provided
ޕްރޮވިންސް	province
ރިޒްޤު	provision
ބާލިޢުވުން	puberty
ޢާންމު	public
ދެމުން	pull
ބަރަބޯ	pumpkin
ކަޅި	pupil
ގަތުން	purchase
ސާފުތާހިރު	pure
ޖަންބު	purple
މަޤްޞަދު	purpose
ޕަރސް	purse
ހިޔާރުކުރުން	pursue
ޕަރސޫޓް	pursuit
ކޮއްޕުން	push
ލުން	put
ސަނަދު	qualification
ކޮލިޓީ	quality
ޢަދަދު	quantity
ކަރަންޓީން	quarantine
މައްސަލަ	quarrel
ކެޗުވާ	Quechua
ރާނީ	queen
ކުޔަރ	queer
ކުއެރީ	query
ސުވާލު	question
ކިއު	queue
އަވަސް	quick
އަވަހަށް	quickly
އަޑުމަޑު	quiet
ކުއިލްޓު	quilt
ދޫކޮށްލުން	quit
ކުއިޒް	quiz
ކޮޓޭޝަން	quotation
ބަސްކޮޅު	quote
ލިޔުންކޮޅު	quotes
މުސަޅު	rabbit
ރޭސް	race
ރުޅިގަނޑު	rage
ވާރޭ	rain
އުސްކުރުން	raise
އުފުލުން	raised
ދުވި	ran
ވަކޮގޮތެއްނެތް	random
މިންގަނޑު	range
އަވަސް	rapid
ވަރަށްމަދުން	rarely
ރޭޝް	rash
ހިކަނދި	rat
މިންވަރު	rate
ބަދަލުގައި	rather
ރޭޝިއޯ	ratio
ރެޝަނަލް	rational
ރޯ	raw
ފޯރުން	reach
ފޯރުން	reached
ވީގޮތް	reaction
ކިޔުން	read
ކިޔުން	reading
ތައްޔާރު	ready
އަސްލު	real
ހަޤީޤަތް	reality
ފާހަނގަވުން	realize
އެނގުން	realized
ހަޤީޤަތުގައި	really
ފުރަގަސްފަރާތް	rear
ސަބަބު	reason
ޤަބޫލުކުރެވޭ	reasonable
ހަނދާންކުރުން	recall
ރިސިޓް	receipt
ލިބުން	receive
ލިބުން	received
ފަހުގެ	recent
ރިސެޕްޝަން	reception
ރެސިޕީ	recipe
ފަރުވާކުޑަ	reckless
އަގުވަޒަންކުރުން	recognition
ފާހަގަވުން	recognize
ހުށަހެޅުން	recommend
ލަފާދެވިފައިވުން	recommended
ރިކޯޑްކުރުން	record
ފަސޭހަވުން	recover
ރިކަވަރވުން	recovery
ރެކްޓޭންގަލް	rectangle
ރަތް	red
ރިޑީމް	redeem
ރިޑެމްޝަން	redemption
މަދުކުރުން	reduce
ރިޑަންޑަންޓް	redundant
ހުށަހެޅުން	refer
ރިފަރަންސް	reference
ރިފްލެކްޓް	reflect
ރިފްލެކްޝަން	reflection
ދުރުވުން	refrain
ރެފްރިޖަރޭޓަރު	refrigerator
ރީފަންޑް	refund
ދެކޮޅު	refuse
ދެކޮޅުހެދުން	refused
ހަވާލާދިނުން	regard
ގުޅިގެން	regarding
ވެދުން	regards
ސަރަހައްދު	region
ރަޖިސްޓްރީކުރުން	register
ހިތާމަ	regret
ޢާންމު	regular
ޤަވައިދުން	regularly
ޤަބޫލުނުކުރުން	reject
ރިލޭޓް	relate
ގުޅުން	related
ގުޅުން	relationship
ހަމަޖެހިލުން	relax
ދޫކުރުން	release
ދޫކޮށްފައި	released
އެކަށޭނަ	relevant
އިތުބާރުކުރެވޭ	reliable
ލުއި	relief
ދޫލިބުން	relieve
ދީން	religion
ދީނީ	religious
ފަސްޖެހުން	reluctant
ބަރޯސާވުން	rely
ދެމިހުރުން	remain
ބާކީހުރިބައި	remaining
ފާހަގަކޮށްލެވޭ	remarkable
ފަރުވާ	remedy
ހަނދާންކުރުން	remember
ހަނދާންކޮށްދިނުން	remind
ހަނދާންކޮށްދިނުން	reminder
ރިމޯޓް	remote
ރިމޫވް	remove
ރެންޑަރ	render
ކުލި	rent
މަރާމާތުކުރުން	repair
ރިޕީޓްކުރުން	repeat
ރިޕްލޭސް	replace
ޖަވާބުދިނުން	reply
ރިޕޯޓު	report
ތަމްސީލު	represent
ރިކުއެސްޓް	request
ބޭނުންވުން	require
ބޭނުންވާ	required
ސަލާމަތްކުރުން	rescue
ދިރާސާ	research
ތަމްސީލުކުރަނީ	resemble
ނުރުހުން	resentment
ރިޒަރވޭޝަން	reservation
ރިޒަރވް	reserve
ރައްޔިތެއް	resident
ރިޒައިލިއެންސް	resilience
ރުންކުރުވުން	resist
ރިޒޮލިއުޝަން	resolution
ހައްލުކުރުން	resolve
ރިސޯޓު	resort
ރިސޯސަސް	resources
އިޙްތިރާމް	respect
އިޖާބަދިނުން	respond
ޖަވާބު	response
މަސްޢޫލިއްޔަތު	responsibility
ޒިންމާދާރު	responsible
އަރާމުކުރުން	rest
ރެސްޓޯރަންޓް	restaurant
ރީސްޓޯރ	restore
މަނާކުރުން	restrict
ނަތީޖާ	result
ނަތީޖާތައް	results
ރީޓެއިލް	retail
ދެމެހެއްޓުން	retain
ރިޓެންޝަން	retention
މުސްކުޅިކުރައްވާފައި	retired
ރުޖޫޢަވުން	return
ފާޅުކުރުން	reveal
ފާޅުވުން	revealed
ބަދަލު	revenge
އާމްދަނީ	revenue
ރިވިއު	review
އިޞްލާޙުކުރުން	revise
މުރާޖަޢާ	revision
ރިވޮލިއުޝަން	revolution
ދަރުމަ	reward
ރިދަމް	rhythm
މޭކަށި	rib
ބަތް	rice
މުއްސަނދި	rich
ދޫކޮށްލުން	rid
ސަވާރީ	ride
ކަނާތް	right
މިހާރު	right now
ރުންކުރު	rigid
އަނގޮޓި	ring
ދޮވުން	rinse
ހަޅުތާލު	riot
ރިޕް	rip
ދޮންވެފައި	ripe
ނުރައްކާ	risk
ހަތުރު	rival
ކޯރު	river
މަގު	road
ރޯސްޓް	roast
ވަރުގަދަ	robust
ހިލަ	rock
ރޯލް	role
ރޯލް	roll
ފުރާޅު	roof
ކޮޓަރި	room
މޫ	root
ވާގަނޑު	rope
ކުނިވެފަ	rotten
ގަދަ	rough
ގާތްގަނޑަކަށް	roughly
ބުރު	round
މަގު	route
ރޫޓިން	routine
ބަރި	row
އުގުޅުން	rub
ރަބަރު	rubber
ކުނި	rubbish
ރަގް	rug
ހަލާކުކުރުން	ruin
ވެރިކަންކުރުން	rule
ފަތިގަނޑު	ruler
ޤަވައިދުތައް	rules
ދުވުން	run
ދުވުން	running
ރަށްފުށު	rural
އަވަސްކޮށްލުން	rush
ގޯނި	sack
ހުރުމަތްތެރި	sacred
ޤުރުބާންކުރުން	sacrifice
ރައްކާތެރި	safe
ރައްކާތެރި	safety
ސޭޖް	sage
ބުނި	said
ދަތުރުކުރުން	sail
ދަތުރުކުރުން	sailing
ސޭކް	sake
މުސާރަ	salary
ސޭލް	sale
ސާމަން	salmon
ލޮނު	salt
އެކައްޗެއް	same
މިކޮޅުވެސް	Same here
ސާމްޕަލް	sample
ވެލި	sand
ސާންސްކުރިޓް	Sanskrit
މަލާމާތްކުރުން	sarcastic
ސެސީ	sassy
އިށީން	sat
ފުދުން	satisfaction
ފުދިފައި	satisfied
ފުދުން	satisfy
ހިތްހަމަޖެހޭ	satisfying
ސޮސެޖް	sausage
އަނިޔާވެރި	savage
ރައްކާކުރުން	save
ފެނުން	saw
ބުނުން	say
ސްކޭމް	scam
ލަކުނު	scar
ތަދު	scarce
ބިރުގަނެފައިވުން	scared
ސްކާފް	scarf
ބިރުވެރި	scary
ވިއްސިވިހާލިވެފައި	scattered
ސީން	scene
މަންޒަރުތައް	scenery
ވަސް	scent
ޝެޑިއުލް	schedule
ސްކޫލް	school
ސައިންސު	science
ސައިންޓިސްޓް	scientist
ސައިންޓިސްޓުން	scientists
ކަތުރު	scissors
އެއްޗެހިކިޔުން	scold
ސްކޯޕް	scope
ނަތީޖާ	score
އެތިކޮޅެއް	scrap
ކޫރުން	scratch
ހަޅޭއްލެވުން	scream
ސްކްރީން	screen
އިސްކުރު	screw
ސްކްރިޕްޓް	script
ކަނޑު	sea
ސިއްކަ	seal
ހޯދުން	search
މޫސުން	season
ގޮޑި	seat
ދެވަނަ	second
ސިއްރު	secret
ސެކްޝަން	section
ރައްކާތެރި	secure
ރައްކާތެރިކަން	security
ފެނުން	see
އޮށް	seed
ހޯދުން	seek
ފެންނަގޮތުގައި	seem
ހީވަނީ	seems
ފެނުނު	seen
ސީޒް	seize
ސީޒަރ	seizure
ޚިޔާރުކުރުން	select
ނަފްސު	self
ވިއްކުން	sell
ފޮނުވުން	send
ސީނިއަރ	senior
ހިއްސު	sense
ވިސްނުންތެރި	sensible
ސެންސިޓިވް	sensitive
ފޮނުވައިފި	sent
ޖުމްލަ	sentence
ޖުމްލަތައް	sentences
ވަކި	separate
ސެޕެޑައި	Sepedi
ސެޕްޓެމްބަރ	september
ސީކުއެންސް	sequence
ސީރީޒް	series
ސީރިއަސް	serious
ސީރިއަސްކޮށް	seriously
ޚިދުމަތްކުރުން	serve
ޚިދުމަތް	service
ސެޝަން	session
ސެޓް	set
ސެޓިންގ	setting
ހަމަޖެހުން	settle
ހަތެއް	seven
ސަތާރަ	seventeen
ހަތްދިހަ	seventy
ބައިވަރު	several
ގަދަފަދަ	severe
ފެހުން	sew
ހިޔާ	shade
ހިޔަނި	shadow
ތަޅުވާލުން	shake
ތިލަ	shallow
ލަދު	shame
ބައްޓަން	shape
ޙިއްސާ	share
ތޫނު	sharp
އޭނާ	she
ފޭބުން	shed
ބަކަރި	sheep
ޝީޓް	sheet
ހަރުގަނޑު	shelf
ބޮލި	shell
ހިޔާ	shelter
ޝީލްޑް	shield
ބަދަލުވުން	shift
ވިދުން	shine
ބޯޓުފަހަރު	ship
ޝިޕިންގ	shipping
ޤަމީސް	shirt
ބޫޓު	shoes
ނިރު	shoot
ފިހާރަ	shop
ވިޔަފާރިކުރުން	shopping
އައްސޭރިފަށް	shore
ކުރު	short
މަދުވުން	shortage
ޝޮޓް	shot
ކޮނޑު	shoulder
ހަޅޭއްލެވުން	shout
ދެއްކުން	show
ފެންވެރުން	shower
ޑިނގާ	shrimp
ކުޑަވުން	shrink
އަނގަމަޑުކުރޭ	shut up
ލަދުވެތި	shy
ބަލި	sick
ފަރާތް	side
އާހ	sigh
މަންޒަރު	sight
ސޮއި	sign
ސޮއި	signature
ޚާއްސަ	significant
ހަމަހިމޭންކަން	silence
އަޑުމަޑު	silent
އޫ	silk
މޮޔަ	silly
ރިހި	silver
އެއްގޮތް	similar
އާދައިގެ	simple
ސަބަބުން	since
އިޚްލާޞްތެރި	sincere
ހެޔްޮއެދޭ	sincerely
ލަވަކިޔުން	sing
ލަވަކިޔާމީހާ	singer
އެކަތި	single
ސިންކް	sink
ސަރ	Sir
ދައްތަ	sister
ފަހަރީ	sister in law
އިށީނުން	sit
ސައިޓް	site
ޙާލަތު	situation
ހައެއް	six
ސޯޅަ	sixteen
ފަސްދޮޅަސް	sixty
ސައިޒް	size
ހުނަރު	skill
ހުނަރުތައް	skills
ހަންގަނޑު	skin
ހިކި	skinny
ދޫކޮށްލުން	skip
ސްކަރޓް	skirt
އުޑު	sky
އަޅުމީހާ	slave
ނިދުން	sleep
ނިދުން	sleeping
ނިދިއައުން	sleepy
އަތްކުރި	sleeve
ފަޅިކުރުން	slice
ސްލައިޑް	slide
ކުޑަކޮށް	slightly
ލުޅާފަތި	slim
ސްލިޕް	slip
ސްލޯޕް	slope
ސްލޮޓް	slot
މަޑުން	slow
މަޑުމަޑުން	slowly
ކުޑަ	small
ވިސްނުންތޫނު	smart
ވަސް	smell
ހިނިތުންވުން	smile
ދުން	smoke
އޮމާން	smooth
ސްނެކް	snack
ފިނިހަކަ	snail
ހަރުފަ	snake
ސްނެޕް	snap
ސްނޯ	snow
އެހެންކަމުން	so
މަޑުކުރުން	soak
ސައިބޯނި	soap
ހަމައިގައި	sober
ސޮކަރ	soccer
ސޯޝަލް	social
މުޖުތަމަޢު	society
އިސްޓާކީނު	socks
މިހާތަނަށް	so far
މަޑު	soft
ސްފްޓްވެއަރ	software
ވެލި	soil
ވިކިފައި	sold
ސިފައިންގެމީހާ	soldier
ސޯލް	sole
ސޮލިޑް	solid
ޙައްލު	solution
ހައްލުކުރުން	solve
ބައެއް	some
ކޮންމެވެސްގޮތަކަށް	somehow
ލަވަ	song
އަވަހަށް	soon
ޒަމާނީ	sophisticated
ސޯރާނި	Sorani
ތަދުވެފައި	sore
ހިތާމަ	sorrow
ފުރާނަ	soul
ސޯލްމޭޓް	soulmate
އަޑު	sound
ސޫޕް	soup
ހުތް	sour
އަސްލު	source
ދެކުނު	south
ސަރަހައްދު	space
ސްޕޭމް	spam
ދިގުމިން	span
ސްޕެނިޝް	Spanish
ސްޕެއަރ	spare
ޚާއްސަ	special
ވައްތަރުގެ	species
ވަކި	specific
ވާހަކަ	speech
ސްޕީޑް	speed
ސްޕެލް	spell
ޚަރަދުކުރުން	spend
ޚަރަދުކުރެވިފައި	spent
ކުޅި	spicy
ސްޕައިކް	spike
އެނބުރުން	spin
ސްޕިނެޗް	spinach
ސްޕިރިޓް	spirit
ކުޅުޖެހުން	spit
އަޖައިބުވަނިވި	splendid
ބައިކުރުން	split
ހަލާކުވުން	spoil
ހަލާކުވުން	spoiled
ސްޕޮންޓޭނިއަސް	spontaneous
ސަމްސާ	spoon
ސްޕޮޓް	spot
ފެތުރުން	spread
ސްޕްރިންގ	spring
ގޮޅި	square
ފިއްތުން	squeeze
ދިލަމަސް	squid
ހެރުން	stab
ސްޓޭބަލް	stable
ފުނިޖެހުން	stack
މުވައްޒަފުން	staff
ސްޓޭޖް	stage
ލައް	stain
ސިޑިބަރި	stairs
ސްޓޭކް	stake
ސްޓޯކް	stalk
ސްޓޯލް	stall
ތައްގަނޑު	stamp
ތެދަށްހުރުން	stand
ތަރި	star
ފެށުން	start
ފަށައިފި	started
ބަނޑުހައިވުން	starving
ޙާލަތު	state
ބަޔާން	statement
ސްޓޭޝަން	station
ސްޓެޗޫ	statue
ޙާލަތު	status
ހުރުން	stay
ސްޓެޑީ	steady
ސްޓޭކް	steak
ވަގަށްނެގުން	steal
ސްޓްރީމް	steam
ދަގަނޑު	steel
އަޑި	steep
ސްޓެމް	stem
ފިޔަވަޅު	step
ދަނޑިބުރި	stick
ހަރު	stiff
އަދިވެސް	still
ކަށި	sting
ދަހިވެތި	stingy
ގިރުން	stir
ސްޓޮކް	stock
ވަގަށްނެގުން	stolen
ބަނޑު	stomach
ހިލަ	stone
ހުރި	stood
ގޮނޑި	stool
ހުއްޓުން	stop
ސްޓޯރ	store
ޠޫފާން	storm
ވާހަކަ	story
އުނދުން	stove
ސީދާ	straight
ދިމާއަށް	straightforward
ފުރޭނުން	strain
ސްޓްރޭޓެޖީ	strategy
ސްޓްރޯ	straw
ސްޓްރޯބެރީ	strawberry
ސްޓްރީކް	streak
ކޯރު	stream
މަގުމަތި	street
ބުންވަރު	strength
ފިކުރުގިނަވުން	stress
ދެމުން	stretch
ހަރުކަށި	strict
ސްޓްރައިކް	strike
ސްޓްރިންގ	string
ސްޓްރިޕް	strip
ސްޓްރޯކް	stroke
ވަރުގަދަ	strong
ސްޓްރަކް	struck
ބިނާ	structure
ސްޓްރަގްލް	struggle
ހާލުގައި	struggling
ބޯހަރު	stubborn
ތާށިވުން	stuck
ދަރިވަރު	student
ކިޔެވުން	study
ކިޔެވުން	studying
ތަކެތި	stuff
މޮޔަ	stupid
ސްޓައިލް	style
މައުޝޫއު	subject
ހުށަހެޅުން	submission
ހުށަހެޅުން	submit
މާއްދާ	substance
ބަދަލު	substitute
ސަޓްލް	subtle
ކާމިޔާބުވުން	succeed
ކާމިޔާބު	success
ކާމިޔާބު	successful
އެފަދަ	such
މިސާލަކަށް	such as
ދެމުން	suck
ކުއްލި	sudden
ތަހައްމަލުކުރުން	suffer
އަނިޔާ	suffering
ފުދުން	sufficient
ހަކުރު	sugar
ހުށަހެޅުން	suggest
ޚިޔާލު	suggestion
އެކަށީގެންވާ	suitable
ސޫޓްކޭސް	suitcase
ޖުމްލަ	sum
ޚުލާސާ	summary
ސަމިޓް	summit
އިރު	sun
ހޫނު	sunny
އިރުއޮއްސުން	sunset
އިރުގެއަލި	sunshine
ސުޕަރ	super
ބާރުގަދަ	superior
ސުޕަރވައިޒަރު	supervisor
ސަޕްލައި	supply
ހިތްވަރު	support
ހީވާގޮތުން	suppose
ޔަޤީން	sure
ސަރފޭސް	surface
ސަރޖް	surge
ސަރޖަރީ	surgery
ސަރޕްރައިޒް	surprise
އާޝޯޚްވުން	surprised
ދޫކޮށްލުން	surrender
ސަރވެއިލެންސް	surveillance
ސަރވޭ	survey
ސަރވައިވް	survive
ޝައްކުކުރެވޭ	suspect
ސަސްޕެންޑްކުރުން	suspended
ދެމެހެއްޓުން	sustain
ދެމެހެއްޓެނިވި	sustainability
ދެމެހެއްޓެނިވި	sustainable
ސްވެގް	swag
ދިރުވުން	swallow
ބަދަލުކޮށްލުން	swap
ހުވާކުރުން	swear
ދާ	sweat
ސްވެޓަރ	sweater
ކުނިކެހުން	sweep
ފޮނި	sweet
ދުޅަވެފަ	swell
ދުޅަވުން	swelling
ފެތުން	swim
ފެތުން	swimming
ސްވިންގ	swing
ބަދަލުކުރުން	switch
ދުޅަވެފައި	swollen
ކަނޑި	sword
ނިޝާން	symbol
ސިމްޕަތީ	sympathy
ޢަލާމާތްތައް	symptoms
ސިސްޓަމް	system
މޭޒު	table
ޓެކްލް	tackle
ޓެގް	tag
ނިގޫ	tail
ނެގުން	take
ގެންދިޔުމަށް	take away
އަޅާލުން	take care
ނަގާފައި	taken
ވާހަކަގިނަ	talkative
ދިގު	tall
ޓޭޕް	tape
އަމާޒު	target
މަސައްކަތެއް	task
ރަހަ	taste
މީރު	tasty
ކިޔަވައިދިން	taught
ސައި	tea
ކިޔަވައިދިނުން	teach
މުދައްރިސު	teacher
ޓީމު	team
ކަރުނަ	tear
ކަރުނަތައް	tears
ދިމާކުރުން	tease
ޓެކްނޮލޮޖީ	technology
ދަތް	teeth
ބުނުން	tell
ރުޅި	temper
ފިނިހޫނުމިން	temperature
ބުދުފައްޅި	temple
ވަގުތީ	temporary
ދިހައެއް	ten
މަޑު	tender
ފިކުރު	tension
ޓެންޓް	tent
ވަގުތީ	tentative
މުއްދަތު	term
ޝަރުޠުތައް	terms
ބިރުވެތި	terrible
ބަރާބަރު	terrific
ސަރަހައްދު	territory
އިމްތިޙާން	test
ލިޔުންކޮޅު	text
ވުރެ	than
ޝުކުރު	thank
ޝުކުރިއްޔާ	thanks
ޝުކުރިއްޔާ	thank you
އެ	that
އެއީ	that is
ވައްކަން	theft
އެމީހުންގެ	their
އެމީހުން	them
ތީމް	theme
އެމީހުން	themselves
އޭރު	then
ތިއަރީ	theory
