i-	a
komuntfu	personal
buntfu	personality
umbono	perspective
kholisa	persuade
losonakele	pervert
silwane lesifuyiwako	pet
totosa	pet
simo	phase
simanga	phenomenon
ifilosofi	philosophy
lucingo	phone
sitfombe	photo
isisho	phrase
kwemvelo	physical
khetsa	pick
lipiki	pick
phakamisa	pick up
landza	pick up
sitfombe	picture
incenye	piece
sicephu	piece
ticephu	pieces
tincenye	pieces
ingulube	pig
lituba	pigeon
incwaba	pile
umcamelo	pillow
umshayeli welibhanoyi	pilot
sipeleti	pin
liphayinaphu	pineapple
bomvana	pink
umgodzi	pit
kuphakama	pitch
sihawu	pity
indzawo	place
tindzawo	places
sifo	plague
sobala	plain
lisu	plan
luhlelo	plan
lipulani	plan
indiza	plane
sitjalo	plant
tijalo	plants
lipuleti	plate
inkundla	platform
kudlala	play
kudlala	playing
lokujabulisako	pleasant
lokuhle	pleasant
kujabulisa	please
ngicela	please
jabulile	pleased
injabulo	pleasure
sicinisekiso	pledge
lokunyenti	plenty
indzima	plot
lipulagi	plug
lipulamu	plum
bunyenti	plural
inkondlo	poem
inkondlo	poetry
luhlamvu	point
ushevu	poison
emaphoyisa	police
ipholisi	policy
nemusa	polite
kungcolisa	pollution
ichibi	pond
isiziba	pool
lophuyile	poor
loswele	poor
kuchuma	pop
tsandzwako	popular
linani lebantfu	population
inyama yengulube	pork
liphalishi	porridge
litheku	port
sikhundla	position
cinisile	positive
yiba ne-	possess
kuba ne-	possession
kuba nakho	possessive
entekako	possible
tfumela ngeposi	post
insika	post
hlehlisa	postpone
bhatata	potato
kwenteka	potential
liphawundi	pound
kuswela	poverty
emandla	power
lonemandla	powerful
lokulisito	practical
likhono lekwenta	practical
umkhuba	practice
babata	praise
dvumisa	praise
umgilo	prank
thantaza	pray
leligugu	precious
yikho	precise
impela	precisely
biketela	predict
thandza kakhulu	prefer
thandza kakhulu	preference
kukhulelwa	pregnant
kukhetsa	prejudice
kubandlulula	prejudice
itakhiwo	premises
umvuzo	premium
kulungiselela	preparation
kulungiselela	prepare
kulungiselelwe	prepared
beka embilil	preposition
kuba khona	presence
lokukhona	present
setfulo	presentation
londolota	preserve
mengameli	president
cindzetela	press
kucindzetela	pressure
kwenta shengatsi	pretend
muhle	pretty
kuvimba	prevent
kwekucala	previous
lokuzingelwako	prey
intengo	price
kutichenya	pride
umpristi	priest
calisako	primary
sisusa	prime
inkhosatana	princess
lokuyinhloko	principal
embi	prior
lokuta kucala	priority
litilongo	prison
lijele	prison
kuba yedvwa	privacy
yedvwa	private
lilungelo	privilege
umvuzo	prize
kungenteka	probably
inkhinga	problem
inchubo	procedure
chubeka	proceed
inchubo	process
khicita	produce
umkhicito	product
umkhicito	production
buncweti	profession
bungcweti	professional
liphrofayili	profile
inzuzo	profit
khulu khakhulu	profound
chubekelembili	progress
inchubekelembili	progress
liphrojekthi	project
velele	prominent
sitsembiso	promise
chubekisa	promote
isenyuso	promotion
niketa	prompt
tsandza ku-	prone
isabitwana	pronouns
kuphimisela	pronunciation
bufakazi	proof
lokufanele	proper
kahle	properly
ngokufanele	properly
tici	properties
imphahla	property
umcabango	proposal
sibonakalo	prospect
litsemba	prospect
inhlanhla	prosperity
busisiwe	prosperous
vikela	protect
kuticabha	proud
bonisa	prove
fakazela	prove
kuniketa	provide
niketile	provided
sifundza seve	province
lilungiselelo	provision
kutfomba	puberty
kwantfu bonkhe	public
donsa	pull
litsanga	pumpkin
ngesikhatsi	punctual
umfundzi	pupil
tsenga	purchase
cwebile	pure
ngcwele	pure
nsomi	purple
injongo	purpose
sikhwama	purse
tingela	pursue
landzelisa	pursue
kutingela	pursuit
kulandzelisa	pursuit
sundzuta	push
beka	put
kufaneleka	qualification
imfanelo	quality
sibalo	quantity
kuhlukaniswa	quarantine
umbango	quarrel
likwata	quarter
SiQuenchua	Quechua
indlovukati	queen
cabangisako	queer
mangalisako	queer
umbuto	query
buta	query
umbuto	question
buta	question
umugca	queue
ngekushesha	quick
ngekushesha	quickly
kuthula	quiet
likhwilitsi	quilt
yeka	quit
mibuto	quiz
kucaphuna	quotation
imali lebitwako	quotation
caphuna	quote
sicashunwa	quote
bita imali	quote
ticashunwa	quotes
nogwaja	rabbit
mncintiswano	race
luhlanga	race
intfukutselo	rage
imvula	rain
kukhulisa	raise
khulisile	raised
gijimile	ran
ngokungahleliwe	random
hlela	range
sheshisako	rapid
ngekusheshisako	rapidly
ngavamile	rare
ngokungavamile	rarely
sihlungu	rash
ligundvwane	rat
linganisela	rate
silinganiso	rate
kunekutsi	rather
bukhulu	ratio
nencondvo	rational
ngavutsiwe	raw
mayelana	re
kufinyelela	reach
finyelele	reached
kusabela	reaction
fundza	read
kufundza	reading
lungele	ready
kweciniso	real
mbambambamba	real
sibili	reality
tfola	realize
finyelela	realize
finyelele	realized
tfolile	realized
mbambambamba	really
indzawo yasemuva	rear
sizatfu	reason
nencondvo	reasonable
khumbula	recall
lirisidi	receipt
amukela	receive
tfola	receive
amukele	received
tfolile	received
kwamuva	recent
muva nje	recently
samukelo	reception
indlela yokwenta	recipe
ngacabangi	reckless
kubonwa	recognition
kukhumbula	recognition
vuma	recognize
bona	recognize
ncoma	recommend
tusa	recommend
tusile	recommended
ncomile	recommended
bhala	record
irekhodi	record
yiba ncono	recover
tfola futsi	recover
kuba ncono	recovery
kutfola futsi	recovery
bomvu	red
hlenga	redeem
kuhlenga	redemption
nciphisa	reduce
nyenti	redundant
ngetulu	redundant
dlulisela	refer
nikela	refer
kudlilisela	reference
bukisa	reflect
cabanga	reflect
kucabanga	reflection
kubuyisa	reflection
gwema	refrain
lifriji	refrigerator
imali lebuyiselwako	refund
ncaba	refuse
ncabile	refused
naka	regard
buka	regard
mayelana	regarding
nganaki	regardless
tilokotfo	regards
indzawo	region
sifundza	region
bhalisa	register
kutisola	regret
njalo	regular
njalo	regularly
ncaba	reject
coca	relate
hlobene	related
buhlobo	relationship
sihlobo	relative
tihlobo	relatives
phumula	relax
khulula	release
khululile	released
condzene	relevant
fanele	relevant
letsembekile	reliable
lusito	relief
phumuta	relieve
phumulile	relieved
inkholo	religion
kholwako	religious
kungatsandzi	reluctant
ncika	rely
sala	remain
sele	remaining
mangalisako	remarkable
selapho	remedy
likhambi	remedy
khumbula	remember
khumbuta	remind
sikhumbuto	reminder
kudze	remote
susa	remove
enta	render
casha	rent
lungisa	repair
phindza	repeat
eba endzaweni ya-	replace
tsatsa indzawo ya-	replace
imphendvulo	reply
phendvula	reply
bika	report
umbiko	report
fanekisa	represent
khulumela	represent
lidvumela	reputation
sicelo	request
cela	request
funa	require
funile	required
sindzisa	rescue
cwaninga	research
lucwaningo	research
fana na-	resemble
kwenyanya	resentment
kubhukha	reservation
bhukha	reserve
umhlali	resident
shiya	resign
yekela	resign
kupeteka	resilience
petekako	resilient
vimbela	resist
ncaba	resist
kuvimbela	resistance
inkani	resistance
kucinisa	resolution
lungisa	resolve
phatsa	resort
sebentisa	resort
licebo	resources
lisu	resources
kuhlonipha	respect
sabela	respond
phendvula	respond
imphendvulo	response
kusabela	response
sibopho	responsibility
nesibopho	responsible
kuphumula	rest
lokunye	rest
lala ngekutfula	rest in peace
sitolo sekudlela	restaurant
buyisela	restore
vimbela	restrict
khawulisa	restrict
umphumela	result
imiphumela	results
chubekisa	resume
umhwebi	retail
gcina	retain
kugcina	retention
hlehlile	retired
phumulile	retired
hlehla	retreat
baleka	retreat
tfola futsi	retrieve
buya	return
buyisela	return
bonisa	reveal
bonisiwe	revealed
phindzisela	revenge
imali	revenue
buyisa	reverse
hlehlisa	reverse
hlehlela ngemuva	reverse
kubuketa	review
buyeketa	revise
kubuyeketa	revision
kugucuka	revolution
kuphendvuka	revolution
umvuzo	reward
sigci	rhythm
lubambo	rib
cebile	rich
susa	rid
gibela	ride
hlekekako	ridiculous
ngenancondvo	ridiculous
kulungile	right
cinisile	right
nyalo	right now
lukhuni	rigid
cinile	rigid
indandatho	ring
yakata	rinse
bhikisha	riot
dzabula	rip
vutsiwe	ripe
phakama	rise
ingoti	risk
sitsa	rival
umfula	river
umgwaco	road
yosa	roast
cinile	robust
litje	rock
indvuku	rod
indzima	role
goca	roll
luphahla	roof
likamelo	room
imapandze	root
intsambo	rope
bolile	rotten
lukhuni	rough
matima	rough
magudlugudlu	roughly
siyingi	round
umgwaco	route
kujwayela	routine
luhla	row
gwedla	row
hlikihla	rub
kungcola	rubbish
kudzelela	rude
kuba luhlata	rude
umata	rug
onakalisa	ruin
umtsetfo	rule
busa	rule
umbusi	ruler
mitsetfo	rules
gijima	run
kugijima	running
emakhaya	rural
phutfuma	rush
lisaka	sack
ngcwele	sacred
umnikelo	sacrifice
umhlabelo	sacrifice
ngena ngoti	safe
londzekile	safe
kuhamba ngendiza lokuphephile	safe flight
kulondzeka	safety
muntfu lohlakaniphile	sage
utse	said
hamba ngokhumbi	sail
useyili	sail
kuhamba ngomkhumbi	sailing
nga-	sake
liholo	salary
kutsengisa	sale
liswayi	salt
lokufanako	same
Kuyafana nalapha	Same here
lisampula	sample
sihlabatsi	sand
SiSanskrit	Sanskrit
bhincako	sarcastic
bhucako	sarcastic
hlezi	sat
kwaneliseka	satisfaction
nelisekile	satisfied
nelisa	satisfy
kwenelisa	satisfying
UMgcibelo	Saturday
lisositji	sausage
nonya	savage
gcina	save
sindzisa	save
kubona	saw
isho	say
sikali	scale
sibati	scar
ntulekile	scarce
tfukile	scared
yesaba	scared
sikhafu	scarf
lokutfusako	scary
hlakatekile	scattered
sabalele	scattered
indzawo	scene
inkundla	scene
lokubukwako	scenery
amakha	scent
liphunga	scent
luhlelo	schedule
sikolwa	school
isayensi	science
sosayensi	scientist
bososayensi	scientists
sikele	scissors
sola	scold
tsetsa	scold
bubanti	scope
emaphutu	score
lahla	scrap
dweba	scratch
memeta	scream
sikrini	screen
sisitfo	screen
sikulufo	screw
simo sokuloba	script
lulwandle	sea
kuvala	seal
hlola	search
cinga	search
sikhatsi somnyaka	season
sihlalo	seat
bili	second
imfihlo	secret
incenye	section
vikelekile	secure
kuvikeleka	security
bona	see
ngizokubona	see you
ngizokubona kamuva	see you later
ngizokubona madvute	see you soon
ngizokubona kusasa	see you tomorrow
imbewu	seed
funa	seek
bukeka	seem
bonakala	seem
bukeka	seems
bonakala	seems
bone	seen
bamba	seize
kubamba	seizure
ngokungavamile	seldom
kancane	seldom
khetsa	select
muntfu	self
kutelapha	self healing
kutifunela	selfish
tsengisa	sell
tfumela	send
tfumela sitfombe sakho	send me your picture
lomdzala	senior
lomkhulu	senior
kwati	sense
incondvo	sense
kwati	sensible
kuba nencondvo	sensible
kutsamba	sensitive
tfumele	sent
umusho	sentence
imisho	sentences
hlukanisa	separate
SiPedi	Sepedi
ngongoni	september
septemba	september
kulandzelana	sequence
kulandzelana	series
ncamile	serious
ngokuncamile	seriously
khonta	serve
sebentela	serve
kukhonta	service
sikhatsi	session
beka	set
misa	set up
luhlelo	setting
kubeka	setting
hlela	settle
beka	settle
sikhombisa	seven
lishumi nesikhombisa	seventeen
emashumi lasikhombisa	seventy
leminyenti	several
labanyenti	several
letinyenti	several
bucayi	severe
tfunga	sew
umtfunti	shade
sitfunti	shadow
nyakatisa	shake
kumele	shall
ngashonile	shallow
mahloni	shame
simo	shape
sibumbeko	shape
yabelana	share
sabelo	share
bukhali	sharp
yena	she
une-	she has
u-	she is
chitsa	shed
indlwane	shed
timvu	sheep
imvu	sheep
likhasi	sheet
lishidi	sheet
shalufu	shelf
ligobolondo	shell
kusitseka	shelter
kufukamela	shelter
sivikelo	shield
hlehlisa	shift
khanya	shine
umkhumbi	ship
kutfumela	shipping
lihhembe	shirt
ticatfulo	shoes
dubula	shoot
tsenga	shop
kutsenga	shopping
ogwini	shore
kwesikhashana	short
kufishane	short
kuntuleka	shortage
dubulile	shot
kufanele	should
lihlombe	shoulder
memeta	shout
bonisa	show
ngibonise	show me
geza	shower
shwabana	shrink
vala	shut
tfula	shut up
unemahloni	shy
lotalana naye	sibling
lotalana nabo	siblings
kugula	sick
luhlangotsi	side
bubula	sigh
kubona	sight
kubona indzawo	sightseeing
luphawu	sign
kusayina	signature
lokubalulekile	significant
kutfula	silence
tfulile	silent
silika	silk
bulima	silly
siliva	silver
lokufanako	similar
lokulula	simple
ngasikhatsi sinye	simultaneously
kanye kanye	simultaneously
kusukela	since
cinisile	sincere
ngeciniso	sincerely
ngokucinisile	sincerely
hlabelela	sing
umhlabeleli	singer
yodvwa	single
cwila	sink
Mnumzane	Sir
dzadze	sister
umlamu	sister in law
hlala	sit
sizindza	site
kuma	situation
sitfupha	six
lishumi nesitfupha	sixteen
emashumi lasitfupha	sixty
bukhulu	size
likhono	skill
emakhono	skills
sikhumba	skin
lomncane	skinny
yeca	skip
siketi	skirt
litulu	sky
sibhakabhaka	sky
sisebenti	slave
sigcila	slave
lala	sleep
kulala	sleeping
nobutfongo	sleepy
umkhono	sleeve
lucezu	slice
shelela	slide
kancane	slightly
simo lesincane	slim
shelela	slip
kwehla	slope
sikhala	slot
phuta	slow
ngekwephuta	slowly
lencane	small
hlakaniphile	smart
bukhali	smart
hogela	smell
kunuka	smell
momotseka	smile
intfutfu	smoke
bhema	smoke
phucukile	smooth
umnenkhe	snail
inyoka	snake
ncamula	snap
lichwa	snow
ngako-ke	so
kuhle kahulu	so cute
kudze kakhulu	so far
cwilisa	soak
insipho	soap
sangulukile	sober
libhola	soccer
komphakatsi	social
libandla	society
umhlangano	society
emasokisi	socks
tsambile	soft
inhlabatsi	soil
tsengisile	sold
tsengise konkhe	sold out
lisotja	soldier
kuphela	sole
cinile	solid
sisombululo	solution
catulula	solve
cedza	solve
letinye	some
labanye	some
lomunye	somebody
ngenye indlela	somehow
muntfu lomunye	someone
intfo lenye	something
ngaletinye tikhatsi	sometimes
ingoma	song
masinyane	soon
nelulwati	sophisticated
SiSorani	Sorani
buhlungu	sore
umphimbo lobuhlungu	sore throat
kudzabuka	sorrow
Ncesi	Sorry
Ngiyacolisa	Sorry
hlukanisa	sort
luhlobo	sort
funa	sought
umphefumulo	soul
umacondzana	soulmate
umsindvo	sound
isobho	soup
munyu	sour
sisusa	source
umtfombo	source
ningizimu	south
sikhala	space
silinganiso	span
Sipeyini	Spanish
lokunye	spare
khuluma	speak
khetsekile	special
luhlobo	species
lokutsile	specific
mangalisako	spectacular
kukhuluma	speech
ngenakukhuluma	speechless
ngenamlomo	speechless
sivinini	speed
pela	spell
sibango	spell
kusebentisa	spend
kucitsa	spend
sebentise	spent
nongiwe	spicy
kucija	spike
photsa	spin
umoya	spirit
khafula	spit
kuhle kakhulu	splendid
hlukanisa	split
phanga	spoil
phangile	spoiled
tivelela	spontaneous
sipunu	spoon
lichashati	spot
libala	spot
loshadze naye	spouse
kusakateka	spread
kwendlulela	spread
kwandza	spread
intfwasahlobo	spring
hluma	spring
sikwele	square
cindzetela	squeeze
ingwane	squid
hlaba	stab
sitebelu	stable
incwaba	stack
ebasebenti	staff
tintfo	staff
siteji	stage
misa	stage
faka umbala	stain
titebhisi	stairs
sigcobo	stake
lucijo	stake
luhlanga	stalk
indzawo yehhashi	stall
sitembu	stamp
yima	stand
indzinganiso	standard
inkhanyeti	star
cala	start
calile	started
kulamba	starving
bunjani	state
sitatimende	statement
siteshi	station
sifanekiso	statue
sikhundla	status
hlala	stay
hlala ulondzekile	stay safe
kucinile	steady
siteki	steak
yeba	steal
umusi	steam
insimbi	steel
cwilisa	steep
lutsi	stem
luhlanga	stem
nyatsela	step
lukhuni	stick
lutsi	stick
gongobele	stiff
noko	still
nanyalo	still
nobe kunjalo	still
tinyela	sting
ngoco	stingy
bondza	stir
umphini	stock
yebiwe	stolen
sisu	stomach
litje	stone
mile	stood
bhosha	stool
ima	stop
kugcina	storage
gcina	store
siphepho	storm
sivunguvungu	storm
indzaba	story
sitofu	stove
lecondzile	straight
condzile	straightforward
vova	strain
bunzima	strain
luhlobo	strain
mangalisako	strange
sihambi	stranger
umfokati	stranger
licebo	strategy
lisu	strategy
mucu	straw
lutsi	straw
mugca	streak
umfudlana	stream
sitaladi	street
umgwaco	street
emandla	strength
gcizelela	stress
lula	stretch
nweba	stretch
lukhuni	strict
cinile	strict
shaya	strike
gadla	strike
intsambo	string
hluba	strip
etama	strive
kushaya	stroke
kufa luhlangotsi	stroke
nemandla	strong
cinile	strong
shayile	struck
kwakhiwa	structure
bumatima	struggle
kulwisana	struggle
kulwisana	struggling
nenkani	stubborn
namatsele	stuck
umfundzisi	student
fundza	study
kufundza	studying
tintfo	stuff
lenhle kakhulu	stunning
bulima	stupid
sitayela	style
luhlobo	style
indzaba	subject
sihloko	subject
kutfumela, kutfobela	submission
tfobela	submit
tfumela	submit
intfo	substance
kubeka indzaweni yokunye	substitute
ngebucile	subtle
phumelela	succeed
impumelelo	success
lonempumelelo	successful
lokunjalo	such
njenge-	such as
ncela	suck
munca	suck
etfusako	sudden
masinyane	suddenly
hlupheka	suffer
kuhlupheka	suffering
lokwanele	sufficient
shukela	sugar
sikisela	suggest
kusikisela	suggestion
sicelo	suit
fanele	suitable
lisutikhesi	suitcase
kuhlanganiswa	sum
sisonga	summary
lihlobo	summer
sicongo	summit
lilanga	sun
sontfo	sunday
lelilanga lelishisako	sunny
kushona kwelilanga	sunset
kuvela kwelilanga	sunshine
enhle kakhulu	super
mkhulu	superior
umphatsi	supervisor
kudla kwakusihlwa	supper
kuniketa	supply
kusekelwa	support
si	suppose
catjangwako	supposed
cinisekile	sure
ngetulu	surface
gubha	surge
kuhlinta	surgery
sibongo	surname
mangalisa	surprise
mangele	surprised
nikela	surrender
dela	surrender
lokutungetile	surrounding
kubekwa	surveillance
kugadza	surveillance
hlola	survey
sindza	survive
sola	suspect
coshiwe	suspended
sola	suspicious
gcina	sustain
lokugcinekako	sustainable
gwinya	swallow
shintja	swap
Siswati	Swati
funga	swear
juluka	sweat
lijezi	sweater
shanyela	sweep
mnandzi	sweet
emaphupho lamnandi	sweet dreams
tsandza lokuneshukela	sweet tooth
tsandvo	sweetheart
vuvuka	swell
khukhumala	swell
kukhukhumala	swelling
kuvuvuka	swelling
bukudza	swim
kubukudza	swimming
shwiba	swing
gucula	switch
vuvukile	swollen
inkemba	sword
sifanekiso	symbol
luphawu	symbol
uzwela	sympathy
sihawu	sympathy
tibonakaliso	symptoms
luhlelo	system
litafula	table
bamba	tackle
silingiso	tag
umsila	tail
kutsatsa	take
kutsatsa	take away
tinakekele	take care
kususa	take off
kutsatsiwe	taken
khuluma	talk
lotsandza kukhuluma	talkative
mudze	tall
impompi	tap
ithephu	tape
umgomo	target
umsebenti	task
nambitsa	taste
lemnandzi	tasty
fundzisiwe	taught
litiye	tea
fundzisa	teach
thishela	teacher
umfundzisi	teacher
licembu	team
dzabula	tear
tinyembeti	tears
belesela	tease
bucwephesha	technology
matinyo	teeth
tjela	tell
ngitjele	tell me
nhlitiyo lencane	temper
kushisa	temperature
lithempheli	temple
kwesikhashana	temporary
lishumi	ten
tinkhulungwane telishumi	ten thousand
umcashi	tenant
beka	tend
kutsandza	tendency
kutsamba	tender
kushaca	tense
kushaceka	tension
lithende	tent
kwesikhashana	tentative
inkhatsi	term
mitsetfo	terms
lokubi	terrible
lokutfusako	terrific
indzawo	territory
kuhlola	test
sivivinyo	test
umbhalo	text
kwendlula	than
lokungetulu	than
kunekutsi	than
kubonga	thank
ngiyabonga	thank you
Siyabonga ngekubeketela kwakho ngesikhatsi siphenya tintfo letitfutsiwe	Thank you for your patience while we investigate shipment
siyabonga kakhulu	thank you so much
siyabonga kakhulu	thank you very much
ngiyabonga	thanks
Siyabonga ngekusebentisa i-app yetfu	Thanks for using our app
kutsi	that
loku	that is
kuhle	that's good
kweba	theft
yabo	their
indzaba	theme
kwabo	themselves
ngako-ke	then
bese	then
kucabanga	theory
sichasiselo	theory
lapho	there
kune-	there are
kukhona	there is
ngako-ke	therefore
leti	these
bona	they
ba-	they are
lecinile	thick
bukhulu	thick
lisela	thief
litsanga	thigh
kondzile	thin
intfo	thing
tintfo	things
cabanga	think
yesitsatfu	third
omile	thirsty
lishumi nentsatfu	thirteen
emashumi lamatsatfu	thirty
loku	this
loku ku-	this is
ngempela	thorough
impela	thoroughly
leti	those
nanobe	though
kodvwa-ke	though
cabanga	thought
kucabangela	thoughtful
micabango	thoughts
inkhulungwane	thousand
intsambo	thread
uhala	thread
lusongo	threat
songela	threaten
lokutsatfu	three
umnyango	threshold
jabulile	thrilled
khula	thrive
luphimbo	throat
nge	through
sikhatsi sonkhe	throughout
indzawo yonkhe	throughout
lahla	throw
sithupha	thumb
kudvuma	thunder
Ngalesine	Thursday
kanjalo	thus
luphawu	tick
sikhatsi	tide
cocekile	tidy
ithayi	tie
bopha	tie
ingwe	tiger
cinile	tight
SiTigrinya	Tigrinya
sikhatsi	time
novalo	timid
lokuncane	tiny
sihloko	tip
emathipu	tips
emacebiso	tips
khatsala	tire
kudzinwa	tired
lilungelo	title
sihloko	title
ku-	to
kuba	to be
osa	toast
lamuhla	today
ingane lecatfulako	toddler
tinzwana	toes
ndzawonye	together
indlu yangasese	toilet
tjelile	told
kuvumela	tolerance
vumela	tolerate
tamatisi	tomato
kusasa	tomorrow
lulwimi	tongue
lamuhla ebusuku	tonight
futsi	too
tsatsile	took
lithuluzi	tool
emathuluzi	tools
litinyo	tooth
etulu	top
sihloko	topic
dzabulile	torn
buhlungu lobukhulu	torture
lokuphelele	total
litoshi	touch
matima	tough
luhambo	tour
ku-	toward
ku-	towards
lithawula	towel
lidolobha	town
sihlungu	toxic
umkhondvo	trace
indlela	track
munca	track
hweba	trade
lisiko	tradition
kwelisiko	traditional
kuminyana	traffic
hudula	trail
cecesha	train
kucecesha	training
isici	trait
itici	traits
dlulisela	transfer
gucuka	transition
humusha	translate
bonakalako	transparent
tfwala	transport
kutfwala	transportation
tsiya	trap
bamba	trap
umfungumfungu	trash
kuhlukubeteka	trauma
hamba	travel
lithileyi	tray
ingcebo	treasure
phatsa	treat
kuphatsa	treatment
sihlahla	tree
lokukhulu kakhulu	tremendous
lokutsandzwako	trend
silingo	trial
licebo	trick
tamile	tried
kususa	trigger
ncuma	trim
lungisa	trim
luhambo	trip
inkhinga	trouble
libhulukwe	trousers
liloli	truck
kuliciniso	TRUE
lugodvo	trunk
tsemba	trust
liciniso	truth
yetama	try
SiTsonga	Tsonga
imbobo	tube
Lesibili	Tuesday
kufundzisa	tuition
ligalaguni	turkey
phendvula	turn
lufudu	turtle
fundzisa	tutor
uthisha	tutor
lishumi nambili	twelve
emashumi lamabili	twenty
emashumi lamabili nanye	twenty-one
SiTwi	Twi
kabili	twice
sonta	twist
bili	two
bhala	type
luhlobo	type
kocobo	typical
mubi	ugly
kokugcina	ultimate
sambulela	umbrella
awukwati	unable
malume	uncle
culekile	unconscious
ngephansi	under
ngephansi	underneath
ngatiswa	underrated
kuvisisa	understand
kucondza	understand
condzile	understood
ngelishwa	unfortunately
mfaniselo	uniform
lehlukile	unique
silinganiso	unit
lokukodvwa	unit
nyuvesi	university
lokungatiwa	unknown
ngaphandle kwa-	unless
kuze	until
lokungavamile	unusual
ngetulu	up
kukuwe	up to you
lungisa	update
tfutfukisa	upgrade
etulu kwa-	upon
ku-	upon
kutfukutsela	upset
nedolobha	urban
celisisa	urge
sibophetelo	urge
phutfumako	urgent
tsine	us
sebentisa	use
sebentisile	used
sebentako	useful
ngenamsebenti	useless
vamile	usual
ngalokuvamile	usually
kusita	utility
liholidi	vacation
kuvakasha	vacation
kugcaba	vaccination
umgomo	vaccine
indzawo engelalutfo	vacuum
ngevakali	vague
ciniso	valid
lidzobo	valley
sigodzi	valley
bugugu	valuable
linani	value
kubaluleka	value
kuhluka	variety
nhlobonhlobo	variety
hlukile	various
hluka	vary
livasi	vase
khulu kakhulu	vast
umbidvo	vegetable
silimo	vegetable
mifino	vegetables
mibhidvo	vegetables
incola	vehicle
umtsengisi	vendor
butsi	venom
sihlungu	venom
kulinga	venture
indazwo yekuhlanganyela	venue
cinisekisa	verify
nhlobonhlobo	versatile
luhlobo	version
kumile	vertical
cobo	very
kakhulu	very
kuhle kakhulu	very good
sitja	vessel
nga-	via
umoya	vibe
khohlakele	vicious
sisulu	victim
ividiyo	video
kubuka	view
kubona	view
umuzi	village
lihilikici	villain
uvinika	vinegar
kwakudzala	vintage
budlova	violence
nebudlova	violent
intfombi	virgin
wona	virtual
yena	virtual
ligunya	virtue
emandla	virtue
umbono	vision
kuvakasha	visit
bonako	visual
nemphilo	vital
lokusemcoka	vital
khanyako	vivid
njengako	vivid
luhlelo lamagama	vocabulary
liphimbo	voice
yite	void
umsindvo	volume
tinikele	volunteer
volontiya	volunteer
hlanta	vomit
limala	vulnerable
liholo	wage
enta	wage
liholo	wages
elukhalo	waist
lindza	wait
kumela	wait
sisebenti	waiter
kulindza	waiting
vuma	wake
vuka	wake up
hamba ngetinyawo	walk
kuhamba	walking
ludvonga	wall
sikhwama semali	wallet
zula	wander
funa	wanna
kufuna	want
funwako	wanted
imphi	war
indlu yekugcina timphahla	warehouse
futfumele	warm
cwayisa	warn
sicwayiso	warning
lichawe	warrior
libutfo	warrior
geza	wash
hlanta	wash
emangcoliso	waste
kumosha	waste
kubukela	watch
emanti	water
lijoti	watermelon
ligagasi	wave
indlela	way
tsine	we
si-	we are
singa-	we can
butsakatsaka	weak
butsakatsaka	weakness
ingcebo	wealth
cebile	wealthy
gcoka	wear
kugcoka	wearing
simo selitulu	weather
umshado	wedding
Lesitsatfu	Wednesday
lukhula	weed
ugwayi	weed
liviki	week
lisontfo	week
imphelaviki	weekend
imphelasontfo	weekend
sisindvo	weight
emangalisako	weird
etfusako	weird
kwemukela	welcome
inhlalakahle	welfare
Kulungile	Well
Kahle	Well
wente kahle	well done
chubeka	went
wahamba	went
bebe-	were
enshonalanga	west
tsambile	wet
umkhoma	whale
yini	what
kutsiwani ngawe	what about you
wentani	what are you doing
wentani nyalo	what are you doing now
wentani nyalo	what are you doing right now
wentani	what do you do
umsebenti wakho yini	what do you do for a living
usho kutsini	what do you mean
ufunani	what do you want
kwentekeni	what happened
yini	what is
yini loku	what is this
yini umsebenti wakho	what is your job
ngubani libito lakho	what is your name
kwentekani	what's up
ngubani libito lakho	what's your name
nobe yini	whatever
kungakhatsaliseki	whatever
kolweni	wheat
lisondvo	wheel
nini	when
tonkhe tikhatsi	whenever
nanini	whenever
kuphi	where
ukuphi	where are you
uvela kuphi	where are you from
ukuphi nyalo	where are you now
uhlala kuphi	where do you live
ukuphi u-	where is
ikuphi i-	where is
kodvwa	whereas
kantsi	whereas
nobe	whether
ngatiphi	which
nguyiphi	which
ngesikhatsi	while
hleba	whisper
hlaba likhwelo	whistle
mhlophe	white
bobani	who
ngubani	who
ungubani	who are you
ngubani o-	who is
ngubani u-	who is
ngubani lona	who is this
yonkhe	whole
ubani	whom
kwabani	whose
kabani	whose
kungani	why
kungani	why not
lokubi	wicked
khohlakele	wicked
lebanti	wide
umfelokati	widow
bubanti	width
umfati	wife
kwasendle	wild
ito-	will
sifiso	will
uto-	will
fisako	willing
vumako	willing
phumelela	win
ncoba	win
umoya	wind
lifasitela	window
kunemoya	windy
liwayini	wine
busika	winter
sula	wipe
lucingo	wire
kuhlakanipha	wisdom
sati	wise
sifiso	wish
fisa	wish
ngikufisela lokuhle	wish you all the best
umtsakatsi	witch
kanye na-	with
buyisa	withdraw
hlehla	withdraw
susa	withdraw
kuhlehlisa	withdrawal
kubuyisa	withdrawal
kususa	withdrawal
ngekhatsi	within
ngaphandle kwa-	without
fakazi	witness
hlekisako	witty
umfati	woman
bafati	women
hlulile	won
phumelele	won
ngeke-	won't
kumangalisa	wonder
lesabakekako	wonderful
lukhuni	wood
boya bemvu	wool
liwuli	wool
ligama	word
livi	word
emavi	words
emagama	words
umsebenti	work
