неуна	a little
сы вылӧ видзӧдтӧг	nevertheless
выль	new
выльторъяс	news
мӧд	next
орччӧн	next to
шань	nice
нимкодь тӧдмасьны	nice to meet you
племяннича	niece
воча ныв	niece
вой	night
лёк вӧт	nightmare
ӧкмыс	nine
дас ӧкмыс	nineteen
ӧкмысдас	ninety
Абу	No
дерт	no problem
нинӧм понда	no way
некод	nobody
шум	noise
шума	noisy
ни ӧти	none
лун шӧр	noon
абу	nope
ни	nor
нормальнӧй	normal
войвыв	north
ныр	nose
кольӧмасьыс гажтӧмтчана	nostalgic
абу	not
он	not
оз	not
ньӧти	not at all
абу лёк	not bad
Оз ӧні	Not now
абу на	not yet
пасйӧд	note
пасйӧм	noted
нинӧм	nothing
казявны	notice
казяліс	noticed
казялӧма	noticed
эмакыв	noun
эмакывъяс	nouns
роман	novel
вӧльгым	november
ӧні	now
ӧні	nowadays
падмӧг	nuisance
ноль	null
гегдӧм	numb
позялӧм	numb
номер	number
медсестра	nurse
ӧрек	nut
мускат ӧрек	nutmeg
вердӧм	nutrition
кыв сетӧм	oath
тшӧгӧм	obesity
кывзысьны	obey
объект	object
мог	objective
уджмог	obligation
гудыр	obscure
видзӧдӧм	observation
видзӧдны	observe
сетчӧм	obsession
важмӧм	obsolete
мытшӧд	obstacle
босьтны	obtain
босьтіс	obtained
тыдалана	obvious
тыдалӧ	obviously
буракӧ	obviously
кадысь кадӧ	occasionally
уджсикас	occupation
занят	occupied
вӧвны	occur
лоны	occur
лоис	occurred
вӧчсьӧ	occurs
океан	ocean
йирым	october
тешкодь	odd
позянлунъяс	odds
дерт	of course
кусӧдӧм	off
увтыртана	offensive
вӧзйыны	offer
вӧзйӧм	offer
кабинет	office
официальнӧй	official
сука	often
тшӧкыда	often
О	Oh
збыльысь	oh really
вый	oil
ладнӧ	ok
бур, донаӧй	ok dear
бур, донаӧй	ok honey
бур, мусаӧй	ok my love
бура	okay
бур	okay
бур, мусаӧй	okay baby
бур, донаӧй	okay dear
дона	okay honey
бур, муса	okay honey
бур, менам муслунӧй	okay my love
пӧрысь	old
важ	old
важся	old
вылын	on
ӧтчыд	once
ӧти	one
ӧти кывйыд некор абу тырмымӧн	one language is never enough
лук	onion
онлайн	online
сӧмын	only
восьса	open
операция	operation
видзӧдлас	opinion
позянлунъяс	opportunities
позянлун	opportunity
паныд	opposite
бурӧ эскысь	optimistic
ног	option
позянлун	option
лоны вермана	optional
абу быть	optional
либӧ	or
апельсин	orange
вижовгӧрд	orange
тшӧктыны	order
арт	order
прӧстӧй	ordinary
котыр	organization
нырвизь	orientation
лоӧм	origin
аслыспӧлӧс	original
Оромо	Oromo
батьтӧм-мамтӧм	orphan
мӧд	other
мӧд ног	otherwise
колӧ	ought
миян	our
Миян мог: сетны позянлун быдлаын да быдӧнлы гӧгӧрвоны мирсӧ да петкӧдлыны асьнысӧ ас кывйӧн.	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
Миян мог: лӧсьӧдны мир йылысь тӧдӧмлунъяс да вӧчны найӧс быдӧнлы восьсаӧн да коланаӧн.	Our mission: to organize the world's information and make it universally accessible and useful.
ортсысяньыс	out
бӧртас	outcome
снаряженньӧ	outfit
петысь	outgoing
розетка	outlet
мыгӧр	outline
ортсын	outside
нималана	outstanding
пач	oven
вывті	over
кӧнкӧ сэні	over there
комбинезон	overall
венны	overcome
юрын гартлӧм	overthinking
пикӧ воӧм	overwhelmed
весьӧпӧртана	overwhelming
лоны уджйӧза	owe
сюзь	owl
ас	own
кутны	own
кутысь	owner
ӧш	ox
ӧд	pace
гартны	pack
упаковка	package
мынтӧма	paid
мынтіс	paid
дой	pain
серпасавны	paint
краска	paint
серпас	painting
серпасасьӧм	painting
гоз	pair
блед	pale
ки пыдӧс	palm
рач	pan
пандемия	pandemic
шӧйӧвошӧм	panic
гач	pants
кабала	paper
рай	paradise
параллельнӧй	parallel
ыстӧмтор	parcel
прӧститӧм	pardon
бать-мам	parents
парк	park
попугай	parrot
петрушка	parsley
юкӧн	part
пырӧдчыны	participate
торъялана	particular
торйӧн	particularly
ёрт	partner
рытпук	party
ветлӧдлыны	pass
кольны	pass
вуджанін	passage
колис	passed
сьӧлӧмсянь сетчӧм	passion
биа	passionate
водзмӧстчытӧм	passive
гусякыв	password
кольӧм	past
йӧр	patch
юкӧн	patch
ордым	path
коньӧр	pathetic
терпенньӧ	patience
висьысь	patient
дӧзмытӧм	patient
сер	pattern
коставлӧм	pause
пода туй	pavement
мынтыны	pay
мынтысьӧм	payment
мир	peace
лӧнь	peaceful
персик	peach
йыв	peak
груша	pear
анькытш	peas
аслыспӧлӧс	peculiar
кудзасьны	pee
кудз	pee
кор	peel
кыш	peel
тшӧтшъя	peer
тшӧтшъяяс	peers
ручка	pen
карандаш	pencil
виччысиг	pending
йӧз	people
гормӧг	pepper
гӧгӧрвоны	perceive
гӧгӧрвоӧм	perception
тыр-бур	perfect
вӧчны	perform
вӧчны верманлун	performance
вермас лоны	perhaps
кадколаст	period
вежласьтӧм	permanent
лэдзӧм	permission
лэдзны	permit
личлэдзлытӧмлун	perseverance
сетчытӧм	persistent
морт	person
ас	personal
морт	personality
видзӧдлас	perspective
эскӧдны	persuade
пеж морт	pervert
гортса пемӧс	pet
фаза	phase
петкӧдчӧм	phenomenon
философия	philosophy
телепон	phone
фото	photo
кывйитлӧс	phrase
физическӧй	physical
ӧктыны	pick
босьтны	pick up
лэптыны	pick up
серпас	picture
тор	piece
торъяс	pieces
порсь	pig
гулю	pigeon
чукӧр	pile
юрлӧс	pillow
пилот	pilot
булавка	pin
ананас	pineapple
кельыдгӧрд	pink
гӧп	pit
медджуджыдін	pitch
джуджда	pitch
жалитӧм	pity
ин	place
инавны	place
инъяс	places
чума	plague
ясыд	plain
план	plan
самолёт	plane
быдмӧг	plant
быдмӧгъяс	plants
тасьті	plate
платформа	platform
пьеса	play
ворсны	play
ворсысь	playing
лӧсьыд	pleasant
пӧжалуйста	please
бур вылӧ	please
могмӧдны	please
дӧвӧль	pleased
сьӧлӧм бурмӧдантор	pleasure
кыв сетӧм	pledge
уна	plenty
сюрӧс	plot
тупкыны	plug
слива	plum
ва нюжӧдысь	plumber
уна лыда	plural
подкаст	podcast
кывбур	poem
поэзия	poetry
чут	point
яд	poison
полиция	police
политика	policy
вежавидзысь	polite
няйтчӧдӧм	pollution
пруд	pond
варччанін	pool
сітасьны	poop
коньӧр	poor
гӧль	poor
потны	pop
нималана	popular
олысьяс	population
порсь яй	pork
рок	porridge
порт	port
ин	position
прамӧй	positive
кутны	possess
кутӧм	possession
асалан	possessive
лоны вермана	possible
пошта	post
йӧзӧдны	post
водзӧ вылӧ пуктыны	postpone
картупель	potato
позяна	potential
лоны вермана	potential
пунт	pound
гӧльлун	poverty
власьт	power
вын	power
вына	powerful
практическӧй	practical
практика	practice
практикуйтчыны	practice
ошкыны	praise
вильшалӧм	prank
кевмысьны	pray
дона	precious
буретш	precise
стӧча	precisely
водзвыв висьтавны	predict
ёнджыка радейтны	prefer
ёнджыка радейтӧм	preference
нӧбасьысь	pregnant
подувтӧм видзӧдлас	prejudice
мутас	premises
вылыс тшупӧда	premium
дасьтысьӧм	preparation
дасьтыны	prepare
дась	prepared
предлог	preposition
эм	presence
ӧнія	present
козин	present
петкӧдлӧм	presentation
кольны	preserve
президент	president
личкыны	press
газет-журнал	press
личкӧм	pressure
давленньӧ	pressure
лэдзчысьны	pretend
вель	pretty
мичаник	pretty
видзчысьны	prevent
воддза	previous
кыйдӧс	prey
дон	price
асьтӧ пыдди пуктӧм	pride
вичкоын служитысь	priest
медтӧдчана	primary
медшӧр	prime
принцесса	princess
веськӧдлысь	principal
воддза	prior
медтӧдчанатор	priority
дзескыдін	prison
йӧзӧдтӧмлун	privacy
аспом	private
торъя инӧд	privilege
приз	prize
вермас лоны	probably
мытшӧд	problem
процедура	procedure
водзӧ вӧчны	proceed
вӧдитны	process
вӧчны	process
вӧчӧм	process
вӧчны	produce
вӧчӧмтор	product
производство	production
уджсикас	profession
профессионал	professional
профиль	profile
чӧжӧс	profit
пыді	profound
сӧвмӧм	progress
сӧвмыны	progress
проект	project
нималана	prominent
кӧсйысьӧм	promise
кӧсйысьны	promise
сӧвмӧдны	promote
кыпӧдӧм	promotion
тэрыб	prompt
кымыньӧн куйлысь	prone
нимвежтасъяс	pronouns
шуанног	pronunciation
докажитӧм	proof
колана	proper
колана ногӧн	properly
аслыспӧлӧслунъяс	properties
ас эмбур	property
вӧзйӧм	proposal
аскиа лун	prospect
дзордзалӧм	prosperity
дзоридзалан	prosperous
дорйыны	protect
тшап	proud
эскӧдны	prove
сетны	provide
могмӧдны	provide
могмӧдӧм	provided
обласьт	province
могмӧдӧм	provision
тыр вир-яйӧ воӧм	puberty
восьса	public
кыскыны	pull
тыква	pumpkin
чочкӧм	punctual
велӧдчысь	pupil
ньӧбны	purchase
сӧстӧм	pure
гӧрдовлӧз	purple
мог	purpose
кӧшель	purse
вӧтчыны	pursue
вӧтлысьны	pursuit
вӧтлысьӧм	pursuit
йӧткыны	push
пуктыны	put
кужанлун	qualification
квалификация	qualification
качество	quality
мында	quantity
карантин	quarantine
пинясьны	quarrel
пинясьӧм	quarrel
нёльӧд пай	quarter
Кечуа	Quechua
королева	queen
ӧксань	queen
аслыссяма	queer
корӧм	query
юалӧм	question
ӧчередь	queue
сувтны ӧчередьӧ	queue
тэрыб	quick
ӧдйӧ	quickly
лӧнь	quiet
лестукъясысь вурӧм эшкын	quilt
эновтны	quit
шыблавны	quit
вель	quite
дзик	quite
юасьӧм	quiz
цитата	quotation
цитата	quote
ыстысьны	quote
цитатаяс	quotes
кӧч	rabbit
кролик	rabbit
панласьӧм	race
ярлун	rage
зэр	rain
зэрны	rain
кыпӧдны	raise
кыпӧдчӧм	raise
лэптіс	raised
лэптӧм	raised
котраліс	ran
водзвыв лӧсьӧдтӧм	random
рад	range
тэрыб	rapid
ӧдйӧ	rapidly
гежӧд	rare
шоч	rare
гежӧда	rarely
кисьталӧм	rash
крыса	rat
ӧд	rate
вель	rather
йитчӧм	ratio
ӧта-мӧд вылӧ тӧдчӧм	ratio
вежӧртана	rational
уль	raw
воны	reach
судзны	reach
шедӧдӧма	reached
шедӧдіс	reached
вочавидзӧм	reaction
лыддьыны	read
лыддьысьӧм	reading
дась	ready
збыльвывса	real
збыль	reality
гӧгӧрвоны	realize
гӧгӧрвоис	realized
гӧгӧрвоӧма	realized
збыльысь	really
бӧр	rear
помка	reason
тӧлка	reasonable
тӧд вылӧ вайӧдны	recall
квитанция	receipt
босьтны	receive
пӧлучитіс	received
неважӧнся	recent
неважӧн	recently
примитӧм	reception
вочаалӧм	reception
рецепт	recipe
вежӧртӧм	reckless
пыдди пуктӧм	recognition
тӧдмавны	recognize
вӧзйыны	recommend
вӧзйӧм	recommended
гижны	record
гижӧд	record
бурдны	recover
бурдӧм	recovery
веськыдсэрӧг	rectangle
гӧрд	red
вештыны	redeem
вештӧм	redemption
этшаммӧдны	reduce
чинтыны	reduce
ичӧтмӧдны	reduce
вывті ыджыд	redundant
ыстысьны	refer
ыстӧг	reference
петкӧдлыны	reflect
петкӧдчӧм	reflection
кутчысьны	refrain
кӧзӧд	refrigerator
вештыны	refund
вештӧм	refund
ӧткажитчыны	refuse
ӧткажитіс	refused
пыдди пуктыны	regard
кузя	regarding
видзӧдтӧг	regardless
чолӧм	regards
регион	region
пасйыны	register
каитчыны	regret
жалитны	regret
коставтӧм	regular
пыр	regularly
ӧтдортны	reject
йитчыны	relate
йитчӧм	related
йитӧдъяс	relationship
мыетшкӧ	relative
рӧдвуж	relative
рӧдвуж	relatives
шойччыштны	relax
мездмӧм	release
мездыны	release
мездмӧм	released
лӧсялана	relevant
зумыд	reliable
эскыны позяна	reliable
кокньӧдӧм	relief
кокньӧдны	relieve
кокнипырысь	relieved
эскӧм	religion
эскысь	religious
дышкодь	reluctant
мыджсьыны	rely
кольны	remain
кольӧм	remaining
тӧдчана	remarkable
бурдӧдчантор	remedy
тӧд вылын кутны	remember
тӧд вылӧ уськӧдны	remind
тӧд вылӧ уськӧдӧм	reminder
ылысса	remote
бырӧдны	remove
чышкыны	remove
сетны	render
кӧртымалӧм	rent
дзоньтавны	repair
мӧдысь вӧчны	repeat
вежны	replace
вочакыв	reply
вочавидзны	reply
юӧртны	report
доклад	report
петкӧдлыны	represent
ним	reputation
корны	request
корӧм	request
корны	require
корана	required
мездыны	rescue
туялӧм	research
мунны	resemble
лӧг кутӧм	resentment
бронируйтӧм	reservation
кольӧдны	reserve
олысь	resident
ӧткажитчыны	resign
зумыдлун	resilience
зумыд	resilient
водзсасьны	resist
водзсасьӧм	resistance
кывкӧртӧд	resolution
решитны	resolve
курорт	resort
ресурсъяс	resources
озырлун	resources
пыдди пуктыны	respect
пыдди пуктӧм	respect
вочавидзны	respond
вочакыв	response
кывкутӧм	responsibility
кывкутысь	responsible
шойччӧм	rest
югыдін да шоныдін	rest in peace
ресторан	restaurant
выль пӧв лӧсьӧдны	restore
дзескӧдны	restrict
бӧртас	result
бӧртасъяс	results
водзӧ вӧчны	resume
розничнӧй	retail
кольны	retain
кутӧм	retention
пенсия вылын	retired
бӧрыньтчыны	retreat
бӧр босьтны	retrieve
бӧр сетны	return
бӧр локны	return
восьтыны	reveal
восьтіс	revealed
водзӧс	revenge
чӧжӧс	revenue
бӧр	reverse
дженьыда висьталӧм	review
видлавны	review
прӧверитны	revise
выльысь видлалӧм	revision
революция	revolution
награда	reward
ритм	rhythm
ордлы	rib
рис	rice
озыр	rich
мынтӧдчыны	rid
ветлыны	ride
ветлӧм	ride
серам петкӧдлан	ridiculous
веськыдвыв	right
правлун	right
дзик ӧні	right now
чорыд	rigid
чунькытш	ring
кытш	ring
пожъявны	rinse
кыпӧдчӧм	riot
косявны	rip
косяссьӧм	rip
кисьмӧм	ripe
кыпӧдчыны	rise
кыпӧдчӧм	rise
риск	risk
рискуйтны	risk
конкурент	rival
ю	river
туй	road
пражитны	roast
ён	robust
из	rock
кырта	rock
ньӧр	rod
роль	role
гӧгыльтны	roll
вевт	roof
жыр	room
вуж	root
гез	rope
сісь	rotten
вежавидзтӧм	rough
чорыд	rough
гӧгӧр	roughly
кымын	roughly
гӧгрӧс	round
мунан туй	route
быдлунся	routine
рад	row
вуштыны	rub
зыртны	rub
резина	rubber
лӧп-ёг	rubbish
мывкыдтӧм	rude
вежавидзтӧм	rude
ковёр	rug
жугӧдны	ruin
правилӧ	rule
веськӧдлысь	ruler
правилӧяс	rules
индӧдъяс	rules
котӧртны	run
пышйыны	run
гӧнитны	run
котӧртысь	running
сиктса	rural
чепӧсйыны	rush
тэрмасьӧм	rush
сепыс	sack
вежа	sacred
жертва	sacrifice
абу ӧпаснӧй	safe
бура лэбны	safe flight
лёк суӧмысь видзӧм	safety
мывкыд морт	sage
шуис	said
плавайтны	sail
тӧвдӧра	sail
плавайтысь	sailing
плавайтӧм	sailing
понда	sake
удждон	salary
вузасьӧм	sale
чими	salmon
сов	salt
дзик жӧ сійӧ	same
Тані дзик жӧ сійӧ	Same here
видлӧг	sample
лыа	sand
Санскрит	Sanskrit
ёся тешитчан	sarcastic
збой	sassy
пукалі	sat
пукаліс	sat
сьӧлӧм бурмӧм	satisfaction
дӧвӧль	satisfied
могмӧдны	satisfy
сьӧлӧм бурмӧдысь	satisfying
Субӧта	Saturday
калбас	sausage
велӧдтӧм	savage
вӧй	savage
кид	savage
видзны	save
аддзыліс	saw
сёрнитны	say
масштаб	scale
ылӧдлӧм	scam
вурыс	scar
этшаӧн овлан	scarce
повзьӧдӧм	scared
шарп	scarf
повзьӧдчана	scary
разі-пели	scattered
сцена	scene
серпас	scenery
кӧр	scent
планируйтны	schedule
расписанньӧ	schedule
школа	school
наука	science
учёнӧй	scientist
туялысьяс	scientists
ножич	scissors
пинявны	scold
шымыртӧм	scope
тшӧт	score
курас-карас	scrap
сарпалӧм	scratch
сарпавны	scratch
горзыны	scream
экран	screen
винт	screw
сценарий	script
саридз	sea
печать	seal
корсьны	search
вогӧгӧрся кад	season
пуклӧс	seat
мӧд	second
секунд	second
гусятор	secret
юкӧн	section
лӧнь	secure
лёк суӧмысь видзӧм	security
аддзыны	see
аддзысьлам	see you
аддзысям сёрӧнджык	see you later
аддзысьлытӧдз	see you soon
регыд аддзысям	see you soon
аскиӧдз	see you tomorrow
кӧйдыс	seed
корсьны	seek
кажитчыны	seem
чайтсьӧ	seems
аддзылӧма	seen
кутны	seize
босьтӧм	seizure
асалӧм	seizure
корсюрӧ	seldom
бӧрйыны	select
ачыс	self
аснаукӧн бурдӧдчӧм	self healing
асьсӧ радейтысь	selfish
вузавны	sell
ыстыны	send
мӧдӧдны	send
ысты меным ассьыд фототӧ	send me your picture
ыстӧй меным ассьыныд фотонытӧ	send me your picture
ыджыд	senior
кылӧм	sense
тӧлка	sensible
ляб	sensitive
ыстіс	sent
ыстӧма	sent
сёрникузя	sentence
сёрникузяяс	sentences
торъя	separate
Сепеди	Sepedi
кӧч	september
сьӧрсьӧн-бӧрсьӧн мунӧм	sequence
сериал	series
авъя	serious
тӧлка	serious
серьёзнӧй	serious
збыльысь	seriously
служитны	serve
служба	service
сессия	session
лӧсьӧдны	set
набор	set
пуктыны	set
лӧсьӧдны	set up
ладмӧдӧм	setting
овмӧдчыны	settle
сизим	seven
дас сизим	seventeen
сизимдас	seventy
некымын	several
сьӧкыд	severe
вурны	sew
вурсьыны	sew
тс-с	sh
вуджӧр	shade
вуджӧр	shadow
таркӧдны	shake
колӧ	shall
ляпкыд	shallow
яндзим	shame
бала	shape
юксьыны	share
ёсь	sharp
сійӧ	she
сылӧн эм	she has
сійӧ лоӧ	she is
лэбув	shed
ыж	sheep
кабала тор	sheet
джадж	shelf
кыш	shell
юр сюянін	shelter
сайӧд пӧв	shield
вешйыны	shift
югъявны	shine
караб	ship
вайӧм	shipping
дӧрӧм	shirt
кӧм	shoes
лыйны	shoot
лыйсьыны	shoot
лавка	shop
ньӧбасьӧм	shopping
ва дор	shore
берег	shore
дженьыд	short
тырмытӧм	shortage
лыйны	shot
лыйӧм	shot
должен	should
пельпом	shoulder
горзыны	shout
петкӧдчӧм	show
петкӧдлыны	show
петкӧдлы меным	show me
петкӧдлӧй меным	show me
душ	shower
креветка	shrimp
пуксьыны	shrink
пӧдлавны	shut
вом пӧдлавны	shut up
яндысьысь	shy
вок али чой	sibling
чой-вок	siblings
висьысь	sick
дор	side
ышловзьӧм	sigh
аддзан	sight
нималанаторъяс видзӧдалӧм	sightseeing
пас	sign
кырымпас	signature
тӧдчана	significant
чӧв олӧм	silence
чӧв олысь	silent
чӧв	silent
шӧвк	silk
йӧй	silly
бӧб	silly
эзысь	silver
ӧткодь	similar
мӧмӧт	simp
прӧстӧй	simple
ӧттшӧтш	simultaneously
сьӧлӧмсянь	sincere
сьӧлӧмсянь	sincerely
сьывны	sing
сьылысь	singer
ӧтка	single
дзик ӧти	single
раковина	sink
вӧйны	sink
Ӧксай	Sir
чой	sister
монь	sister in law
пукавны	sit
ин	site
ситуация	situation
квайт	six
дас квайт	sixteen
квайтымын	sixty
ыджда	size
кужанлун	skill
сям	skills
кучик	skin
вӧсни	skinny
чеччавны	skip
юбка	skirt
енэж	sky
раб	slave
узьны	sleep
узьысь	sleeping
унзіль	sleepy
сос	sleeve
шӧрӧм	slice
шӧравны	slice
исковтны	slide
муртса	slightly
статя	slim
исковтны	slip
ньывк	slope
розь	slot
ньӧжмыд	slow
ньӧжйӧ	slowly
ичӧтик	small
дзоля	small
сюсь	smart
кӧр	smell
нюм	smile
нюмъявны	smile
куритчыны	smoke
тшын	smoke
мольыд	smooth
шыльыд	smooth
нуръясянтор	snack
лёльӧ	snail
змей	snake
колскӧдны	snap
лым	snow
лымъявны	snow
и сідз	so
сэтшӧм мусаник	so cute
ӧнӧдз	so far
сэтчӧдз	so far
йиджтыны	soak
майтӧг	soap
садь	sober
футбол	soccer
социальнӧй	social
котыр	society
йӧзкотыр	society
носки	socks
небыд	soft
уджтасулов	software
мусин	soil
вузалӧм	sold
вузаліс	sold
вузалӧма	sold out
салдат	soldier
под	sole
куш ӧти	sole
топыд	solid
кывкӧртӧд	solution
решитны	solve
некымын	some
мыйтакӧ	some
кодкӧ	somebody
кыдзкӧ	somehow
кодкӧ	someone
мыйкӧ	something
мукӧддырйи	sometimes
корсюрӧ	sometimes
сьыланкыв	song
регыд	soon
дзуг	sophisticated
Сорани	Sorani
доймӧм	sore
дой	sore
висьысь горш	sore throat
шог	sorrow
Прӧща кора	Sorry
сикасавны	sort
нырччис	sought
лов	soul
ас морт	soulmate
шы	sound
шыд	soup
шома	sour
ӧшмӧс	source
лунвыв	south
гӧгӧртас	space
спам	spam
коласт	span
Испания	Spanish
видзтыны	spare
запаснӧй	spare
сёрнитны	speak
аслыс сикас	special
торъялан	special
сикас	species
стӧч	specific
торъя	specific
синмӧ шыбитчан	spectacular
сёрни	speech
кыввортӧм	speechless
ӧд	speed
нимкыв	spell
лотны	spend
видзӧм	spent
ёсь кӧра	spicy
ёсь	spike
шеп	spike
бергӧдлыны	spin
шпинат	spinach
лов	spirit
сьӧлавны	spit
торъя бур	splendid
торъялӧм	split
торйӧдны	split
тшыкӧдны	spoil
тшыкӧм	spoiled
виччысьтӧм	spontaneous
пань	spoon
чут	spot
верӧс	spouse
паськӧдны	spread
тулыс	spring
квадрат	square
пычкыны	squeeze
кальмар	squid
ур	squirrel
вежа	st
начкыны	stab
зумыд	stable
сабри	stack
уджалысьяс	staff
сцена	stage
ляк	stain
пос	stairs
ставка	stake
за	stalk
лавка	stall
печать	stamp
сулавны	stand
стандартнӧй	standard
кодзув	star
заводитны	start
заводитӧм	started
тшыгъялысь	starving
аскылӧм	state
эскӧдны	state
шыӧдчӧм	statement
станция	station
статуя	statue
статус	status
кольччыны	stay
олӧм-вӧлӧм	stay
видз асьтӧ	stay safe
видзӧй асьнытӧ	stay safe
зумыд	steady
бифштекс	steak
гусясьны	steal
ру	steam
емдон	steel
крут	steep
за	stem
воськов	step
бедь	stick
чорыд	stiff
на	still
вӧрзьывтӧм	still
чушкыны	sting
скуп	stingy
гудравны	stir
запас	stock
гусялӧм	stolen
кынӧм	stomach
из	stone
сулаліс	stood
джек	stool
сувтлыны	stop
видзанін	storage
лӧдны	store
бушков	storm
висьт	story
плита	stove
веськыд	straight
веськыд	straightforward
напряженньӧ	strain
тешкодь	strange
тӧдтӧм	stranger
нуӧданног	strategy
идзас	straw
оз	strawberry
визь	streak
визув	stream
улич	street
эбӧс	strength
вынйӧр	strength
вын	strength
стресс	stress
нюжӧдны	stretch
стрӧг	strict
кучкӧм	strike
кучкысьны	strike
кучкыны	strike
струна	string
визь	strip
зільны	strive
кучкӧм	stroke
вына	strong
ён	strong
вартіс	struck
вартӧма	struck
тэчас	structure
тышкасьны	struggle
тыш	struggle
тышкасьысь	struggling
асныра	stubborn
сибдӧм	stuck
студент	student
туялӧм	study
туявны	study
туялӧм	studying
сюйны	stuff
чуймӧдана	stunning
йӧй	stupid
стиль	style
тор	subject
эмтор	subject
кывзысьӧм	submission
кывзысьны	submit
вещество	substance
вежантор	substitute
вежысь	substitute
вежны	substitute
ӧдва аддзана	subtle
артмыны	succeed
вермӧм	success
бура олысь	successful
бура уджалысь	successful
татшӧм	such
сэтшӧм	such as
кыдзи	such as
нёнявны	suck
виччысьтӧм	sudden
виччысьтӧг	suddenly
сьӧкыд нуны	suffer
страдайтӧм	suffering
тырмана	sufficient
сакар	sugar
вӧзйыны	suggest
вӧзйӧм	suggestion
костюм	suit
лӧсявны	suit
шогмана	suitable
чемодан	suitcase
ӧтувъя лыд	sum
сюрӧс	summary
гожӧм	summer
йыв	summit
шонді	sun
вежалун	sunday
шондіа	sunny
шонді пуксьӧм	sunset
шонді югыд	sunshine
зэв бур	super
медвылыс	superior
супервайзер	supervisor
ужын	supper
могмӧдны	supply
могмӧдӧм	supply
отсӧг	support
отсавны	support
чайтны	suppose
чайтана	supposed
дерт	sure
веркӧс	surface
кыпавны	surge
хирургия	surgery
ов	surname
чуймӧдны	surprise
чуймӧм	surprised
сетчыны	surrender
гӧгӧрса	surrounding
видзӧдӧм	surveillance
юасьӧм	survey
юасьны	survey
ловйӧн кольны	survive
чайтны мыжаӧн	suspect
мыжаӧн чайтана	suspect
ӧшӧдӧм	suspended
тӧдтӧм	suspicious
сетны отсӧг	sustain
зумыдлун	sustainability
зумыд	sustainable
лайкъявны	swag
ньылавны	swallow
вежласьны	swap
кыв сетны	swear
ёрччыны	swear
ньылӧм	sweat
свитер	sweater
чышкыны	sweep
юмов	sweet
юмов вӧтъяс	sweet dreams
юмов радейтысь	sweet tooth
сьӧлӧмшӧр	sweetheart
туктыны	swell
пыкӧс	swelling
варччыны	swim
варччӧм	swimming
качайтчыны	swing
гытсан	swing
переключайтны	switch
переключатель	switch
пыктӧм	swollen
шыпурт	sword
пас	symbol
сьӧлӧмсянь гӧгӧрвоӧм	sympathy
симптомъяс	symptoms
система	system
тэчас	system
пызан	table
решитавны	tackle
пас	tag
бӧж	tail
босьтны	take
мырддьыны	take away
видз асьтӧ	take care
пӧрччыны	take off
босьтӧм	taken
сёрнитны	talk
сёрни	talk
варов	talkative
джуджыд	tall
кузь	tall
кран	tap
кучкавны	tap
лента	tape
пуктыны мог	target
мишень	target
мог	task
видлыны	taste
кӧр	taste
чӧскыд	tasty
велӧдіс	taught
тшай	tea
велӧдны	teach
велӧдысь	teacher
команда	team
синва	tear
синва	tears
дэльӧдны	tease
вӧчанног	technology
пиньяс	teeth
сёрнитны	tell
висьтавны	tell
висьталӧй меным	tell me
висьтав меным	tell me
сям	temper
температура	temperature
вичко	temple
недыр кадся	temporary
дас	ten
дас сюрс	ten thousand
олысь	tenant
зільны	tend
нырвизь	tendency
мелі	tender
зэлалӧм	tense
зэлалӧм	tension
вон	tent
ылӧсас вӧчӧм	tentative
термин	term
условиеяс	terms
весьӧпӧртана	terrible
шензьӧдана	terrific
мутас	territory
прӧверяйтны	test
тест	test
гижӧд	text
текст	text
дорысь	than
аттьӧавны	thank
аттьӧ	thank you
Аттьӧ виччысьӧмсьыныд, сэк кості ми тӧдмалам, кӧні ыстӧмторйыс	Thank you for your patience while we investigate shipment
ыджыд аттьӧ	thank you so much
ыджыд аттьӧ	thank you very much
аттьӧ	thanks
Аттьӧ миян приложенньӧӧн вӧдитчӧмысь	Thanks for using our app
сійӧ	that
тайӧ лоӧ	that is
тайӧ бур	that's good
гусясьӧм	theft
налӧн	their
найӧс	them
тема	theme
асьнысӧ	themselves
сэк	then
теория	theory
сэні	there
эмӧсь	there are
эм	there is
сы вӧсна	therefore
тайӧяс	these
найӧ	they
найӧ лоӧны	they are
кыз	thick
гусясьысь	thief
лядьвей	thigh
вӧсни	thin
тор	thing
кӧлуй	things
мӧвпавны	think
коймӧд	third
косьмӧм горша	thirsty
дас куим	thirteen
комын	thirty
тайӧ	this
тайӧ лоӧ	this is
быд боксянь	thorough
пыдісянь	thorough
тырвыйӧ	thoroughly
найӧ	those
кӧть	though
мӧвпаліс	thought
мӧвп	thought
мӧвпалысь	thoughtful
мӧвпъяс	thoughts
сюрс	thousand
сунис	thread
грӧз	threat
повзьӧдлыны	threaten
куим	three
тагӧс	threshold
нимкодь	thrilled
дзоридзавны	thrive
горш	throat
пыр	through
мысти	through
быдлаті	throughout
шыблавны	throw
пев	thumb
гым	thunder
Четверг	Thursday
татшӧм ногӧн	thus
вӧрса лудік	tick
туӧм-ямӧм	tide
пельк	tidy
галстук	tie
кӧртавны	tie
тигр	tiger
дзескыд	tight
Тигринья	Tigrinya
кад	time
рам	timid
зэв ичӧтик	tiny
пом	tip
чай вылӧ	tips
шына	tire
мудз	tired
мудзӧм	tired
салфетка	tissue
ним	title
