a little	drusceņ
rough	raups
roughly	aptuvenai
round	opoļš
route	maršruts
routine	rutina
row	rynda
rub	berzēt
rubber	gumeja
rubbish	atkrytumi
rude	rups
rug	pakluojs
ruin	sabūjuot
rule	lykums
ruler	lineals
rules	nūsacejumi
run	skrīt
running	skrīnūšs
rural	lauku rajons
rush	steigt
sack	maiss
sacred	svāts
sacrifice	upers
safe	drūss
safe flight	drūsu liduojumu
safety	drūseiba
sage	salveja
said	saceja
sail	buruot
sailing	buruot
sake	dieļ
salary	olga
sale	izpuordūšona
salmon	lass
salt	suoļs
same	tys pats
Same here	taipoš ite
sample	paraugs
sand	smiļkts
Sanskrit	sanskrits
sarcastic	sarkastisks
sassy	oss
sat	sēdēja
satisfaction	apmīrynuoteiba
satisfied	apmīrynuots
satisfy	apmīrynuot
satisfying	apmīrynūšs
Saturday	sastdīne
sausage	deseņa
sausage	dasa
savage	mežūneigs
save	gluobt
saw	redzēja
say	saceit
scale	svori
scam	kruopšona
scar	rāta
scarce	rats
scared	nūsabejs
scarf	šaļs
scary	baileigs
scattered	izkaiseits
scene	aina
scenery	skots
scent	smarža
schedule	grafiks
school	škola
science	zynuotne
scientist	zynuotnīks
scientists	zynuotnīki
scissors	škēris
scold	lomuot
scope	darbeibys jūma
score	rezultats
scrap	atkrytumi
scratch	kaseit
scream	klīgs
screen	ekrans
screw	skrūve
script	scenarejs
sea	jyura
seal	zeimūgs
seal	rūņs
search	meklēt
season	sezona
seat	sēdeklis
second	ūtrais
secret	nūslāpums
section	sadaļa
secure	drūss
security	drūseiba
see	redzi
see you	iz sasatikšonu
see you later	redzēsimīs vāluok
see you soon	dreiži sasatiksim
see you tomorrow	sasatiksim reitā
seed	sākla
seek	meklēt
seem	līkās
seems	līkās
seen	redziejs
seize	īkaruot
seizure	lēkme
seldom	ratai
select	izavielēt
self	pats
self healing	pošatveseļuošonuos
selfish	egoistisks
sell	puordūt
send	syuteit
send me your picture	atsyuti maņ sovu biļdi
senior	vacuokais
sense	sajust
sensible	sapruoteigs
sensitive	jiuteigs
sent	nūsyuteits
sentence	teikums
sentences	teikumi
separate	atsevišks
Sepedi	sapedi
september	septembris
sequence	seceiba
series	sereja
serious	nūpītnys
seriously	nūpītnai
serve	kolpuot
service	apkolpuošona
session	seseja
set	komplekts
set	nūsaceit
set up	sagatavuot
setting	īstatejums
settle	apsamest
seven	septeni
seventeen	septeņpadsmit
seventy	septeņdesmit
several	vairuoki
severe	gryuts
sew	šyut
shade	susātivs
shadow	susātivs
shake	krateit
shallow	sakls
shame	kauns
shape	forma
shape	figura
share	daleit
sharp	oss
she	jei
she has	jai ir
she is	jei ir
shed	škiuns
shed	nūsvīst
sheep	vuška
sheet	lopa
shelf	plaukts
shell	glīmežvuoks
shelter	pajumte
shield	aizsorgs
shift	mainēt
shine	speidēt
ship	kugis
shipping	syuteišona
shirt	krakls
shoes	kūrpis
shoot	saut
shop	veikals
shopping	īsapierkšona
shore	krosts
short	eiss
shortage	tryukums
shot	izsauts
should	vajadzātu
shoulder	placs
shout	klīgt
show	paruodeit
show me	paruodi maņ
shower	duša
shrimp	garnele
shrink	sasaraut
shut	aizvērt
shut up	aizataisi
shy	kautreigs
sibling	bruoļs
sibling	muosa
siblings	bruoļs
siblings	muosa
sick	slyms
side	puse
sigh	nūpyuta
sight	redze
sightseeing	vītu apskate
sign	zeime
signature	paroksts
significant	nūzeimeigs
silence	klusums
silent	kluss
silk	zeids
silly	nagudrys
silver	sudobrs
similar	leidzeigs
simple	vīgls
simultaneously	vīnlaiceigi
since	kūpš
sincere	sirsneigs
sincerely	nu sirds
sing	dzīduot
singer	dzīduotuojs
singer	dzīduotuoja
single	vīns pats
sink	izlītne
sink	nūgrimt
Sir	kungs
sister	muosa
sister in law	svaine
sit	sēdēt
site	teikls
situation	situaceja
six	seši
sixteen	sešpadsmit
sixty	sešdesmit
size	izmārs
skill	prasme
skills	prasmis
skin	uoda
skinny	tīvs
skip	izlaist
skirt	brunči
sky	dabasi
slave	vergs
sleep	gulēt
sleeping	gulēšona
sleepy	mīgains
sleeve	pīdurkne
slice	škiele
slide	sleidēt
slightly	nadaudz
slim	tīvs
slip	sleidēt
slope	sleipums
slot	sprauga
slow	lāns
slowly	lānai
small	mozeņš
smart	gudrys
smell	saūst
smile	smaids
smoke	peipe
smoke	dyumi
smoke	peipēt
smooth	gluds
snack	uzkūda
snail	glīmezs
snake	čyuska
snap	salyuzt
snow	snīgs
so	tai
so cute	tik mīļš
so far	tik tuoli
soak	mērcēt
soap	zīpis
sober	nadziers
soccer	futbols
social	socials
society	sabīdreiba
socks	zečis
soft	meiksts
software	programmatura
soil	zeme
sold	puordūts
sold out	izpierkts
soldier	karaveirs
sole	zūle
sole	pamata
solid	cīts
solution	rysynuojums
solve	atrysynuot
some	daži
some	dažys
somebody	nazkas
somehow	nazkai
someone	nazkurš
something	nazkas
sometimes	dažreiz
song	dzīsme
soon	dreiž
sophisticated	izsmolcynuots
Sorani	sorani
sore	suopeigs
sore throat	suopūšs kokls
sorrow	bādys
Sorry	atlaid
sort	kuortuot
sought	meklēja
soul	dvēsele
soulmate	dvieselis radinīks
sound	skaņa
soup	zupa
sour	skuobs
source	olūts
south	dīnvydu
space	kosmoss
space	vīta
spam	surogatposts
span	izaplest
Spanish	Spāņu
spare	apžaluot
spare	līks
speak	runuot
special	eipašs
species	suga
specific	eipašs
spectacular	izcils
speech	runa
speechless	bez vuordu
speed	uotrums
spell	burvesteiba
spend	izlaist
spent	tērēja
spicy	oss
spike	smaile
spin	grīztīs
spinach	spinats
spirit	gors
spit	špļaut
splendid	breineigi
split	sadaleit
split	izaškiert
spoil	izbalavuots
spoiled	izlutynuots
spontaneous	piekšņs
spoon	karūte
spot	plankums
spot	vīta
spouse	veirs
spouse	sīva
spread	izplateit
spring	pavasars
square	kvadrats
square	kvartals
squeeze	saspīst
squid	kalmars
squirrel	vuovere
stab	sadurt
stable	stabils
stack	sakraut
staff	personals
stage	skotive
stage	pūsms
stain	nateirums
stairs	kuopnis
stake	likme
stalk	izsekuot
stall	aizkavēt
stall	stends
stamp	zeimūgs
stand	stuovēt
standard	standarta
star	zvaigzne
start	īsuokt
started	īsuokts
starving	bodā
state	stuovūklis
state	vaļsts
state	izsaceit
statement	paziņuojums
station	staceja
statue	statuja
status	stuovūklis
status	statuss
stay	palikt
stay safe	esi drūss
steady	stabils
steak	steiks
steal	nūzagt
steam	tvaiks
steel	dzeļzs
steep	stuovs
stem	ceļtīs nu
stem	kuots
step	pakuopīņs
stick	kuots
stiff	steivs
still	vys vēļ
sting	īdzeļt
stingy	skūps
stir	maisēt
stock	akcejis
stock	kruojums
stolen	nūzagts
stomach	vādars
stone	akmiņs
stood	stuovēja
stool	syuds
stool	taburete
stop	apsastuot
storage	nūlyktova
store	veikals
storm	vātra
story	stuosts
stove	plita
straight	taisns
straightforward	taišni
strain	pyulētīs
strange	deivains
stranger	svešinīks
strategy	strategeja
straw	solms
strawberry	zemine
streak	sveitra
stream	straume
street	īla
strength	spāks
stress	uztraukums
stretch	staipētīs
strict	styngrs
strike	sist
string	stričs
strip	lūksne
strive	ceņstīs
stroke	glaudeit
stroke	insults
strong	spieceigs
struck	īsyta
struck	puorsteigts
structure	struktura
struggle	ceiņa
struggling	ceineitīs
stubborn	spīteigs
stuck	īspryuds
student	students
study	vuiceitīs
studying	vuiceibys
stuff	lītys
stuff	pībuozt
stunning	satrīcūši
stupid	nagudrys
style	stils
subject	prīkšmats
submission	pasakļaušona
submit	īsnēgt
substance	vīla
substitute	aizvītojamais
subtle	smolks
succeed	veiktīs
success	panuokumi
successful	sekmeigs
such	taids
such as	taidi kai
suck	syukt
sudden	piekšnis
suddenly	pieški
suffer	cīst
suffering	cīsšonys
sufficient	pīteikūšs
sugar	cukrs
suggest	īsacēt
suggestion	īsacejums
suit	kostims
suit	derēt
suitable	dereigs
suitcase	čemodans
sum	summa
summary	apkūpuojums
summer	vosora
summit	viersūtne
summit	sanuoksme
sun	saule
sunday	svātdīne
sunny	saulains
sunset	saulis rīts
sunshine	saulis gaisma
super	super
superior	puoruoks
supervisor	uzraugs
supper	vakarenis
supply	piegāde
support	atbolsts
suppose	laikam
supposed	dūmojams
sure	prūtams
surface	vierss
surge	puorsprīgums
surgery	operaceja
surname	pavuorde
surprise	puorsteigums
surprised	puorsteigts
surrender	pasadūt
surrounding	apuortejais
surveillance	nūvāruošona
survey	aptauja
survive	izdzeivuot
suspect	aizdūmuos turamais
suspended	apturāta
suspicious	aizdūmeigs
sustain	uzturēt
sustainability	iļgtspiejeiba
sustainable	iļgtspiejeigs
swallow	nūreit
swap	maineit
swear	zvērēt
sweat	sveist
sweater	džempers
sweep	slaiceit
sweet	soldons
sweet dreams	soldus sapņus
sweet tooth	soldumu āduojs
sweetheart	meiluo
swell	sapampt
swelling	pampums
swim	peļdēt
swimming	peļdēšona
swing	leigačis
switch	samaineit
swollen	sapamps
sword	zūbyns
symbol	simbols
sympathy	simpateja
symptoms	simptomi
system	sistema
table	tabula
tackle	rysynuot
tag	atzeimuot
tail	aste
take	jem
take away	atņemt
take care	pasaryupej
take off	nūjem nūst
taken	aizjimts
talk	runuot
talkative	runuoteigs
tall	garš
tap	krāns
tap	baksteit
tape	lente
target	mierkis
task	aizdavums
taste	garša
tasty	gords
taught	īvuiceja
tea	čajs
teach	viuceit
teacher	školuotuojs
team	komanda
tear	pleist
tears	osorys
tease	kircynuot
technology	tehnologeja
teeth	zūbi
tell	saceit
tell me	soki maņ
temper	temperaments
temperature	temperatura
temple	templis
temporary	pagaidu
ten	desmit
ten thousand	desmit tyukstūšys
tenant	īrnīks
tend	tendeņce
tendency	tendeņce
tender	konkurss
tense	saspriņdzs
tension	sprīdze
tent	telts
tentative	provizoriski
term	jiedzīns
terms	nūsacejumi
terrible	brīsmeigs
terrific	breineigs
territory	teritoreja
test	puorbaudejums
text	ziņa
text	teksts
than	kai
thank	paļdis
thank you	paļdis
Thank you for your patience while we investigate shipment	Paļdis par pacīteibu, cikom mes izmeklejom syutiejumu
thank you so much	lels paļdis
thank you very much	lels paļdis
thanks	paļdis
Thanks for using our app	paļdis, ka izmontuojot myusu aplikaceju
that	tei
that	tys
that is	tys ir
that's good	tys ir labi
the	tys
theft	zuodzeiba
their	jūs
them	jī
theme	tema
themselves	jī poši
then	tod
theory	teoreja
there	tī
there are	tī ir
there is	tī ir
therefore	deļtuo
these	tī
they	juos
they	jī
they are	jī ir
thick	bīzs
thief	zaglis
thigh	lytka
thin	tīvs
thing	līta
things	lītys
think	dūmuot
third	trešais
thirsty	izsluops
thirteen	treispadsmit
thirty	treisdesmit
this	ituo
this	ituos
this is	itys ir
thorough	cauri
thoroughly	pavadēt laiku
those	tī
though	gon
thought	dūma
thoughtful	dūmeigs
thoughts	dūmys
thousand	tyukstūša
thread	pavedīns
threat	drauds
threaten	draud
three	treis
threshold	rūbeža
thrilled	saviļņuots
thrive	uzplaukt
throat	reikle
through	cauri
throughout	cauri
throw	svīst
thumb	eikss
thunder	pārkiuņs
Thursday	catūrtdine
thus	deļtuo
tick	ērce
tide	plyudmainis
tidy	kuorteigs
tidy	teirs
tie	šlipse
tie	sasīt
tiger	tīgers
tight	cīšs
Tigrinya	tigrinja
time	laiks
timid	kautreigs
tiny	seiks
tip	dzeramnauda
tip	gols
tips	padūmi
tips	dzeromnauda
tire	rīpa
tired	pīkuss
tissue	salvete
title	nūsaukums
to	iz
to be	byut
toast	grauzdeņš
today	šudiņ
toddler	bārns
toes	kuoju piersti
together	kūpā
toilet	tualete
told	sacēja
tolerance	toleraņce
tolerate	pacīst
tomato	tomāts
tomorrow	reit
tongue	mēle
tonight	itūnakt
too	ari
took	pajēme
tool	reiks
tools	dorbareiki
tooth	zūbs
top	augšā
topic	temats
torn	plāsts
torture	mūceibys
total	kūpā
touch	pīskuorīns
tough	gryuts
tour	ekskurseja
toward	iz
towards	vierzīnī iz
towel	dvīļs
town	piļsāta
toxic	toksisks
trace	izsekuot
track	izsekuot
track	trase
trade	omots
trade	tierdznīceiba
tradition	tradiceja
traditional	tradicionals
traffic	satiksme
trail	styga
train	trenētīs
train	viļcīņs
training	treneņs
trait	eipašeiba
traits	eipašeibys
transfer	nūdūt cytam
transition	puoreja
translate	tulkuot
transparent	caurspeideigs
transport	transports
transportation	transportēšona
trap	lomotys
trash	musurs
trauma	trauma
travel	ceļuot
tray	papluote
treasure	duorgums
treat	gordums
treatment	uorstēšona
tree	kūks
tremendous	miļzeigs
trend	tendeņce
trial	puorbaudejums
trick	triks
tried	raudzeits
trigger	īmeslis
trim	apgrīzt
trip	ceļuojums
trouble	napatikšonys
trousers	biksis
truck	smoguo mašyna
TRUE	eists
trunk	bagažnīks
trust	ticēt
truth	patīseiba
try	raudzeit
Tsonga	tsonga
tube	caurule
Tuesday	ūtardīne
tuition	vuiceibu moksa
turkey	kurkyns
turmeric	kurkuma
turn	pasagrīzt
turtle	bruņurupucss
tutor	školuotuojs
twelve	divpadsmit
twenty	divdesmit
twenty-one	divdesmit vīns
Twi	tvi
twice	divreiz
twist	grīzt
two	divi
type	tips
typical	tipisks
ugly	naskaists
ultimate	galeigais
umbrella	leitasorgs
unable	naspiejeigs
uncle	onkuļs
unconscious	bez samanis
under	zam
underneath	zam
underrated	nanūviertēts
understand	saprast
understood	saprosts
unfortunately	dīvamžāl
uniform	forma
unique	unikals
unit	vīneiba
university	universitate
unknown	nazynoms
unless	ja viņ
until	cikom
unusual	naparosts
up	iz augšu
up to you	izlem tu
update	atjaunynuojums
upgrade	uzlobuojums
upon	iz
upset	biedeigs
urban	piļsātys
urge	mudynuot
urgent	steidzams
us	mes
use	izmontuot
used	izmontuots
useful	nūdereigs
useless	bezjiedzeigs
usual	parosts
usually	parostai
utility	lītdereiba
vacation	atvalinuojums
vaccination	vakcinaceja
vaccine	vakcina
vacuum	putekļu syuciejs
vague	naskaidrys
valid	dereigs
valley	īleja
valuable	vierteigs
value	vierteiba
variety	vysaideiba
various	vysaidi
vary	variēt
vase	vāze
vast	plašs
vegetable	duorziņs
vegetables	duorzini
vehicle	transportleidzeklis
vendor	puordeviejs
venom	iņde
venture	risks
venue	vīta
verify	apstyprynuot
versatile	vysaids
version	verseja
vertical	vertikals
very	cīši
very good	cīši lobs
vessel	trauks
via	caur
vibe	sajiutys
vibes	nūskaņa
vibes	vibracejis
vicious	ļauns
victim	upers
video	video
view	skots
village	cīms
villain	švakais
vinegar	etikis
vintage	senejs
violence	vardarbeiba
violent	vardarbeigs
viral	populars
viral	vīrusu
virgin	jaunive
virtual	virtuals
virtue	tykums
vision	redzejums
visit	apcīmuot
visual	vizuals
vital	vitāls
vivid	spylgts
vocabulary	vuordineica
voice	bolss
void	tukšums
volume	skaļums
volunteer	breivpruoteigais
vomit	vamakli
vulnerable	naaizsorguots
wage	olga
wages	olgys
waist	vyduklis
wait	gaidi
waiter	vīsmīļs
waiting	gaidūt
wake	mūstīs
wake up	celīs augšā
walk	īt
walking	staigojūt
wall	sīna
wallet	moks
wander	kleist
wanna	gribi
want	gribēt
wanted	grybāts
war	kars
wardrobe	skaps
warehouse	nūlyktova
warm	sylts
warn	breidynuot
warning	breidynuojums
warrior	karuotuojs
was	beja
wash	mozguot
waste	atkrytumi
waste	izškīst
watch	vērtīs
water	iudiņs
watermelon	arbuzs
wave	viļņs
way	ceļš
we	mes
we are	mes asom
we can	mes varim
weak	vuojš
weakness	vuojums
wealth	boguoteiba
wealthy	boguots
wear	nosuot
wearing	nosojūt
weather	laikapstuokli
wedding	kuozys
Wednesday	trešdīne
weed	zuoleite
week	sluobs
weekend	nedeļgols
weight	svors
weird	sovaids
welcome	sveicynuot
welfare	lobkluojeiba
Well	labi
well done	labi padareits
went	guoja
were	beja
west	rītumi
wet	slapnis
whale	vaļs
what	kas
what about you	kai ar tevi
what are you doing	kū tu dori
what are you doing now	kū tu niu dori
what are you doing right now	kū tu niu dori
what do you do	kū tu dori
what do you do for a living	kū to dori
what do you mean	kū tu ar tū dūmoj
what do you want	kū tu gribi
what happened	kas nūtics
what is	kas ir
what is this	kas ir itys
what is your job	kur tu struodoj
what is your name	kaids ir tovs vuords
what's up	kai īt
what's your name	kai tevi sauc
what's your name	kaids ir tovs vuords
whatever	vīnolga
wheat	kvīši
wheel	ritiņs
when	kod
whenever	sevkod
where	kur
where are you	kur tu esi
where are you from	nu kurīņs tu esi
where are you now	kur tu niu esi
where do you live	kur tu dzeivoj
where is	kur ir
whereas	tai kai
whether	voi
which	kurš
while	cikom
whisper	čukstēt
whistle	sviļpuot
white	bolts
who	kurš
who	kura
who are you	kas tu esi
who is	kas ir
who is this	kas tu esi
whole	vyss
whom	kurs
whose	kuru
why	parkū
why not	parkū nā
wicked	troks
wide	plots
widow	atraitne
width	plotums
wife	sīva
wild	sovvalis
will	gryba
willing	gribēdams
win	uzvarēt
wind	viejs
window	lūgs
windy	viejains
wine	veins
winter	zīma
wipe	slauceit
wire	vods
wisdom	gudreiba
wise	gudrs
wish	gribēt
wish you all the best	vieleju tev vysu lobuokū
witch	rogona
with	ar
withdraw	atsaukt
withdrawal	izastuošona
within	īškā
without	bez
witness	līcinīks
witty	atjauteigs
wolf	vylks
woman	sīvīte
women	sīvite
won	uzvarēja
won't	nabyus
wonder	breinums
wonderful	breineigs
wood	molka
wool	vylna
word	vuords
words	vuordi
work	dorbs
work out	trenētīs
working	struodojūt
world	pasauļs
worm	tuorps
worn	nosuots
worried	uzatraucss
worry	uzatraukt
worse	švakuok
worship	pīlyugt
worst	švakuokais
worth	vārts
worth it	tys ir tuo vārts
worthy	vārts
would	voi
wound	rāta
wrap	sateit
wrath	dusmis
wrist	rūkys lūceitova
write	raksteit
Write here	roksti ite
writing	raksteiba
written	raksteits
wrong	napareizs
wrote	raksteja
yard	pogolms
yawn	žuovuotīs
yawn	žuova
Yeah	nui
year	gods
years	godi
yeast	ryugs
yell	bļaut
yellow	dzaltons
Yes	nui
yes baby	niu bierneņ
yes dear	nui duorgais
yes honey	nui duorguo
yes my love	nui muna mīla
yes of course	nui prūtams
yesterday	vakardīne
yet	vēļ
yield	raža
you	tu
you are	tu esi
you are beautiful	tu esi šmuka
you are so beautiful	tu esi tik šmuka
you are welcome	lapini aicynuots
you can	tu vari
You know	tu zini
you too	tu ari
you're welcome	nav par kū
young	jauns
your	tovs
your	tova
your welcome	nav par kū
yourself	es pats
youth	jauneiba
you’re welcome	nav par kū
yummy	gords
zero	nulle
