ah	a
update	update
upgrade	upgrade
pon	upon
upset	upset
kuntry	urban
compell	urge
pressin	urgent
wi	us
use	use
use	used
have use	useful
useless	useless
same	usual
usually	usually
bills	utility
vocation	vacation
juk	vaccination
vaccine	vaccine
suck up	vacuum
vague	vague
real	valid
valley	valley
have value	valuable
value	value
diffrent diffrent	variety
diffrent	various
vary	vary
vaze	vase
wide	vast
vegiteble	vegetable
vegiteble	vegetables
veekle	vehicle
venda	vendor
poisin	venom
venture	venture
venue	venue
verify	verify
versatile	versatile
vershan	version
vertical	vertical
very	very
gud gud	very good
vessel	vessel
via	via
enagy	vibe
vibez	vibes
vishous	vicious
victim	victim
video	video
site	view
villij	village
bad man	villain
viniga	vinegar
vintij	vintage
vilence	violence
vilent	violent
viral	viral
virgin	virgin
virtwal	virtual
clean haat	virtue
vijan	vision
cum tuh	visit
cyan si	visual
impotant	vital
abvious	vivid
vocabulery	vocabulary
vice	voice
empty	void
valume	volume
valinteer	volunteer
piyuk	vomit
vulnerable	vulnerable
pay	wage
pay	wages
wais' line	waist
wait	wait
waita	waiter
a wait	waiting
wake up	wake
git up	wake up
waak	walk
waak	walking
wall	wall
wallit	wallet
move roun'	wander
want tuh	wanna
waan	want
did waan	wanted
war	war
waadrob	wardrobe
warehouse	warehouse
waam	warm
wawn	warn
waanin	warning
solja	warrior
ben deh	was
wash	wash
waste	waste
watch	watch
Wata	water
melan	watermelon
wave	wave
way	way
wi	we
wi a	we are
wi cyan	we can
weak	weak
weakniss	weakness
cashy	wealth
wealty	wealthy
put on	wear
a wear	wearing
wedda	weather
weddin'	wedding
Wensday	Wednesday
pick out	weed
inna e week	week
weeken	weekend
weight	weight
weird	weird
welcum	welcome
welfare	welfare
Well	Well
gud jab	well done
guh	went
did a	were
wes	west
wet up	wet
whale	whale
wah	what
wah bout yuh	what about you
weh yah do	what are you doing
weh yuh a do now	what are you doing now
weh yuh duh yah now	what are you doing right now
wah yuh duh	what do you do
weh yuh duh fi a livin	what do you do for a living
weh yuh mean	what do you mean
weh yuh waan	what do you want
wah happn	what happened
a wah	what is
a wah dis	what is this
wah kinna wuk yuh duh	what is your job
weh yuh name	what is your name
wah gwaan	what's up
weh yuh name	what's your name
wateva	whatever
wheat	wheat
tire	wheel
wen	when
wen eva	whenever
weh	where
weh yuh deh	where are you
weh yuh cum from	where are you from
weh yuh deh now	where are you now
weh yuh live	where do you live
a weh	where is
az	whereas
wedda	whether
wish	which
wile	while
wispa	whisper
blow	whistle
white	white
who	who
hu yuh bi	who are you
a who	who is
a who dis	who is this
hola	whole
ho fa	whom
ho fah	whose
wah mek	why
wah mek	why not
wickid	wicked
wide	wide
hussy ded	widow
wit	width
wify	wife
wile	wild
we	will
wi dweet	willing
a win	win
breeze	wind
window	window
breezy	windy
wine	wine
winta	winter
wipe up	wipe
wyah	wire
briteness	wisdom
brite	wise
ope fah	wish
wish yuh all di bess	wish you all the best
witch	witch
wid	with
tek out	withdraw
withdraw	withdrawal
inna	within
widout	without
witniss	witness
smaat	witty
wulf	wolf
oman	woman
oman	women
wan	won
naaw guh	won't
wanda	wonder
wandaful	wonderful
wud	wood
wool	wool
wud	word
wud dem	words
wuk	work
wurk out	work out
a wuk	working
wurl	world
wurm	worm
dun wear	worn
fret	worried
fret	worry
di baddess	worse
praise	worship
worse	worst
wut	worth
wut i	worth it
wurdy	worthy
woulda	would
cut	wound
Jeezam	Wow
rap up	wrap
fury	wrath
ris	wrist
rite	write
rite yah suh	Write here
a rite	writing
rite dung	written
rang	wrong
rite	wrote
yaad	yard
yawn	yawn
Mhm	Yeah
ear	year
eternity	years
fungus	yeast
shout	yell
yellow	yellow
Yea	Yes
yea babes	yes baby
yea dear	yes dear
yea 'oney	yes honey
yea mi luv	yes my love
yea af course	yes of course
yestideh	yesterday
yet	yet
gi way	yield
yuh	you
yuh a	you are
yuh pretty enuh	you are beautiful
yuh pretty enuh	you are so beautiful
yuh welcum	you are welcome
yuh can	you can
yuh dun know	You know
yuh tuh	you too
yuh welcum	you're welcome
fresh	young
fi yuh	your
yuhwelcum	your welcome
yuhself	yourself
youngin	youth
yuh welcum	you’re welcome
taas gud	yummy
zero	zero
