a	اک
notice	غور کرنڑاں
noticed	نوٹس کیتا
noun	اسم
nouns	اسم
novel	ناول
november	نومبر
now	ہونڑ
nowadays	اج کل
nuisance	تکلیف
null	خالی
numb	سن کرنڑاں
number	نمبر
nurse	نرس
nut	اخروٹ
nutmeg	جائفل
nutrition	خوراک
oath	حلف
obesity	موٹاپا
obey	فرمانبرداری کرنڑاں
object	شے
objective	حقیقی
obligation	پابندی
obscure	اندھارا
observation	مشاہدہ کرنڑاں
observe	غور کرنڑاں
obsessed	وہم دل وچ بیہہ گئے
obsession	وہم کرنڑاں
obsolete	پرانڑاں
obstacle	آڑ
obtain	حاصل کرنڑاں
obtained	جاری ہویا
obvious	صاف
obviously	واضح طور تے
occasionally	کڈھئیں کڈھئیں
occupation	پیشہ
occupied	قبضہ کیتا
occur	واقع ہونڑاں
occurred	واقع تھیا
occurs	ہوونڑاں
ocean	سمندر
october	اکتوبر
odd	بے جوڑ
odds	فرق
of	دا
of course	بے شک
off	بند
offensive	خراب
offer	تجویز
offer	تجویز کرنڑاں
office	آفس
official	سرکاری
often	کڈھئیں
Oh	اوہ
oh really	اوہ واقعی
oil	تیل
ok	ٹھیک ہے
ok dear	ٹھیک ہے دوست
ok honey	ٹھیک ہے مٹھی
ok my love	ٹھیک ہے میڈے سوہنڑے
okay	ٹھیک ہے
okay baby	ٹھیک ہے میڈی جان
okay dear	ٹھیک ہے دوست
okay honey	ٹھیک ہے مٹھی
okay my love	میڈے پیار ٹھیک ہے
old	پرانڑاں
on	اتے
once	ہک واری
one	ہک
one language is never enough	ہک زبان کافی نہیں ہوندی
onion	وصل
online	آن لائن
only	صرف
open	کھولو
operation	آپریشن
opinion	رائے
opportunities	موقعے
opportunity	موقع
opposite	ضد
optimistic	امید نال رہونڑاں
option	اختیار
optional	اختیاری
or	یا
orange	اورنج
orange	کینو
order	حُکم
order	حُکم ڈیونڑاں
ordinary	معمولی
organization	تنظیم
orientation	تبدیلی لاونڑاں
origin	بنیاد
original	اصل
Oromo	اورومو
orphan	یتیم
other	بیا
otherwise	ایس دے علاوہ
ought	ضروری ہونڑاں
our	سہاڈا
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	ساڈا مشن: ہر اک نوں، ہر جاہ تے دنیا نوں سمجھنڑ تے وکھری بولیاں وچ آپنڑاں اظہار کرنڑ دے قابل بناونڑاں۔
Our mission: to organize the world's information and make it universally accessible and useful.	ساڈا مشن: دنیا دی معلومات کوں منظم کرنڑاں تے پوری دنیا وچ اینکوں رسائی دے قابل تے فائدہ مند بناونڑاں۔
out	باہر
outcome	نتیجہ
outfit	کپڑے
outgoing	کیتی جاونڑ آلی
outlet	نکلنڑ دی راہ
outline	خاکہ
outside	باہر
outstanding	غیر معمولی
oven	اوون
over	اوتے
over there	اُتھاں
overall	مجموعی
overcome	ہراونڑاں
overthinking	زیادہ سوچڑاں
overwhelmed	جذباتی
overwhelming	بہوں زیادہ
owe	قرض دار ہونڑاں
owl	الو
own	زاتی
own	مالک ہونڑاں
owner	مالک
ox	سانڈ
pace	رفتار
pack	بدھڑاں
package	بدھنڑاں
paid	ادا شدہ
pain	درد
paint	رنگ
painting	مصوری
pair	جوڑا
pale	پیلا
palm	ہتھیلی
pan	پرات
pandemic	وبا
panic	دہشت
pants	پینٹ
paper	پرچہ
paradise	جنت
parallel	اکو جیہا
parcel	پارسل
pardon	معافی ڈیونڑاں
parents	ماں پیو
park	پارک
parrot	طوطا
parsley	پارسلے
part	حصہ
participate	شامل ہونڑاں
particular	مخصوص
particularly	خاص طور تے
partner	ساتھی
party	دعوت
pass	پاس
passage	راہ
passed	ٹُر گیا
passion	جذبہ
passionate	جذباتی
passive	سست
password	پاس ورڈ
past	ماضی
patch	تھگڑی
path	راہ
pathetic	درد آلا
patience	صبر
patient	مریض
patient	صابر
pattern	نمونہ
pause	تھوڑی دیر رُکڑاں
pavement	پَکّی روڈ
pay	ادائیگی کرو
payment	ادا کرنڑاں
peace	امن
peaceful	پرامن
peach	آڑو
peak	چوٹی
pear	ناشپاتی
peas	مٹر
peculiar	خاص
pee	مٹر
pee	چھوٹا پیشاب کرنڑاں
peel	چِھلڑاں
peer	برابر
peers	ہم جھولی
pen	قلم
pencil	پنسل
pending	زیر غور
people	لوک
pepper	کالی مرچ
perceive	ڈیکھڑاں
perception	مینھ
perfect	مکمل کرنڑاں
perform	انجام ڈیوو
performance	کارکردگی
perhaps	شید
period	ویلا
permanent	مستقل
permission	اجازت
permit	اجازت ڈیونڑاں
perseverance	استقامت
persistent	ثابت قدم
person	بندہ
personal	ذاتی
personality	شخصیت
perspective	منظر
persuade	منوانڑاں
pervert	بچاؤ
pet	پالتو
phase	دور
phenomenon	انوکھی شے
philosophy	فلسفہ
phone	فون
photo	تصویر
phrase	جملہ
physical	جسمانی
pick	چنڑاں
pick up	چاؤ
picture	تصویر
piece	ٹکڑا
pieces	ٹکڑے
pig	سور
pigeon	کبوتر
pile	ڈھیر
pillow	سرانڑاں
pilot	پائلٹ
pin	پِن
pineapple	انناس
pink	گلابی
pit	کَھڈ
pitch	کم شروع کرنڑاں
pity	ہمدردی
place	مقرر کرنڑاں
place	جاہ
places	جاہواں
plague	طاعون
plain	سادہ
plan	منصوبہ
plane	جہاز
plant	پودا
plants	پودے
plate	پلیٹ
platform	پلیٹ فارم
play	کھیڈڑاں
play	کھیڈ
playing	کھیڈڑاں
pleasant	خوشگوار
please	مہربانی
pleased	خوش
pleasure	خوشی
pledge	ضمانت
plenty	بہوں زیادہ
plot	پلاٹ
plug	پلگ
plum	آلو بخارا
plumber	پلمبر
plural	جمع
podcast	پوڈکاسٹ
poem	نظم
poetry	شاعری
point	نقطہ
poison	زہر
police	پولیس
policy	پالیسی
polite	خوش اخلاق
pollution	آلودگی
pond	تالاب
pool	پول
poop	تھک وینجڑاں
poor	غریب
pop	پھٹراں
popular	مشہور
population	آبادی
pork	سور دا گوشت
porridge	دلیہ
port	بندرگاہ
position	عہدہ
positive	مثبت
possess	ماک ہوونڑاں
possession	قبضہ
possessive	قبضے دے متعلق
possible	ممکن
post	اشتہار ڈیونڑاں
post	عہدہ
postpone	ملتوی کرنڑاں
potato	آلو
potential	اختیار
pound	پاؤنڈ
poverty	غریبی
power	طاقت
powerful	طاقتور
practical	تجربہ
practice	عمل کرنڑاں
practice	عمل
praise	تعریف کرنڑاں
prank	شرارت
pray	دعا
precious	قیمتی
precise	صاف
precisely	بالکل ٹھیک
predict	پیشنگوئی کرنڑاں
prefer	ترجیح ڈیوو
preference	ترجیح
pregnant	حاملہ
prejudice	بے انصافی کرنڑاں
premises	عمارت
premium	پریمیم
preparation	تیاری
prepare	تیاری کرو
prepared	تیار کیتا
preposition	حرف ربط
presence	موجودگی
present	تحفہ
present	موجودہ وقت
presentation	پریزنٹیشن
preserve	محفوظ کرنڑاں
president	صدر
press	دباونڑاں
press	بِھیڑ
pressure	دباؤ
pretend	بہانہ کرنڑاں
pretty	خوبصورت
pretty	چنگے طریقے نال
prevent	روکڑاں
previous	پچھلا
prey	شکار
price	قیمت
pride	فخر کرنڑاں
priest	پادری
primary	پرائمری
prime	اہم ترین
princess	شہزادی
principal	پرنسپل
prior	افضل
priority	ترجیح
prison	قید خانہ
privacy	رازداری
private	پرائیویٹ
privilege	بری کرنڑاں
prize	انعام
probably	امکان ہونڑاں
problem	مسئلہ
procedure	طریقہ
proceed	اگے ونجو
process	عمل کرنڑاں
process	طریقہ
produce	پیدا کرنڑاں
product	پراڈکٹ
production	پیداوار
profession	پیشہ
professional	پیشہ ور
profile	پروفائل
profit	منافع
profound	چاونڑاں
progress	ترقی کرنڑاں
progress	ترقی
project	منصوبہ
prominent	نمایاں
promise	وعدہ کرنڑاں
promise	وعدہ
promote	ترقی ڈیونڑاں
promotion	ترقی
prompt	فوری
prone	جھکیا ہویا
pronouns	تلفظ
pronunciation	تلفظ
proof	ثبوت
proper	مناسب
properly	چنگی طرحاں
properties	خصوصیتاں
property	جائیداد
proposal	تجویز
prospect	امکان
prosperity	کامیابی
prosperous	خوشحال
protect	تحفظ
proud	مغرور
prove	ثبوت
provide	ڈیوو
provided	ڈے ڈتا گیا
province	صوبہ
provision	فراہم کرنڑاں
puberty	جوانی
public	عوام
pull	چھکو
pumpkin	کدو
punctual	وقت دا پابند
pupil	شاگرد
purchase	گھنو
pure	خالص
purple	جامنی
purpose	مقصد
purse	پرس
pursue	پچھو لگے رہنڑاں
pursuit	جستجو
push	دھکا ڈیوو
put	رکھو
qualification	تعلیم
quality	معیار
quantity	معیار
quarantine	قرنطینہ
quarrel	جھگڑا
quarrel	جھگڑنڑاں
quarter	چوتھائی
Quechua	کیچوا
queen	شہزادی
queer	نرالا
query	سوال
question	سوال
queue	قطار
queue	قطار بناونڑاں
quick	فوری
quickly	فوری طور تے
quiet	چپ
quilt	سووڑ
quit	چھوڑو
quite	بہوں کجھ
quite	بالکل
quiz	پہیلی
quotation	حوالہ
quote	حوالہ ڈیونڑاں
quote	حوالہ
quotes	حوالے
rabbit	خرگوش
race	ریس
rage	غصہ
rain	مینھ
raise	چاونڑاں
raise	اُتے چاونڑاں
raised	چایا ہویا
ran	ستلی
random	بے ترتیب
range	حد
rapid	بہوں تیز
rapidly	تیزی نال
rare	غیر معمولی
rarely	کڈئیں کڈھئیں
rash	پھرتی نال
rat	چوہا
rate	ریٹ
rather	بہوں حد تائیں
ratio	شرح
rational	سمجھدار
raw	لین
re	ری
reach	پُجو
reached	پُج گیا
reaction	رد عمل
read	پڑھو
reading	پڑھنڑاں
ready	تیار
real	اصلی
reality	حقیقت
realize	احساس کرنڑاں
realized	حاصل کیتا ہویا
really	واقعی
rear	گھٹ
reason	وجہ
reasonable	مناسب
recall	ولا کال کرو
receipt	رسید
receive	وصول کرو
received	وصول کیتا
recent	نواں تازہ
recently	ہونڑیں ہونڑیں
reception	استقبالیہ
recipe	ترکیب
reckless	لاپرواہ
recognition	شناخت کرنڑاں
recognize	سنیانڑو
recommend	تجویز کرنڑاں
recommended	سفارش کیتی
record	ریکارڈ
record	ریکارڈ کرنڑاں
recover	واپس گھنڑاں
recovery	وصولی
rectangle	مستطیل
red	سرخ
redeem	بچا گھنڑاں
redemption	چھڑوانوڑاں
reduce	گھٹ کرو
redundant	فالتو
refer	حوالہ
reference	حوالہ
reflect	عکس
reflection	ریفلیکشن
refrain	رکڑاں
refrigerator	سردخانہ
refund	واپس کرنڑاں
refuse	انکار کرنڑاں
refused	انکار کیتا
regard	خیال کرنڑاں
regarding	دے متعلق
regardless	بے لحاظ
regards	مخلص
region	علاقہ
register	رجسٹر
regret	افسوس
regular	باقاعدہ
regularly	باقاعدگی نال
reject	رد کرنڑاں
relate	بیان کرنڑاں
related	متعلقہ
relationship	رشتہ
relative	موصول
relative	رشتے دار
relatives	رشتہ دار
relax	آرام کرنڑاں
release	آزادی
release	آزاد کرنڑاں
released	جاری کیتا گیا
relevant	متعلقہ
reliable	بھروسے آلا
relief	امداد
relieve	حمایت کرنڑاں
relieved	حمایت کیتی
religion	مذہب
religious	مذہبی
reluctant	ضدی
rely	بھروسہ کرنڑاں
remain	باقی ہونڑاں
remaining	باقی
remarkable	نمایاں
remedy	علاج
remember	یاد رکھو
remind	یاد ڈیواونڑاں
reminder	یاد کروانڑاں
remote	ریموٹ
remove	ہٹاؤ
render	ڈیونڑاں
rent	کرایہ
repair	مرمت کرنڑاں
repeat	دہراؤ
replace	ادل بدل کرنڑاں
reply	جواب
reply	جواب ڈیونڑاں
report	اطلاع ڈیونڑاں
report	اطلاع
represent	نمائندگی کرنڑاں
reputation	عزت
request	درخواست
request	عرض کرنڑاں
require	ضروری
required	ضرورت اے
rescue	بچاونڑاں
research	تحقیق
resemble	رلدا ملدا
resentment	بُرا مناونڑاں
reservation	قید
reserve	محفوظ کرنڑاں
resident	رہائشی
resign	استعفٰی ڈیونڑاں
resilience	لچک
resilient	لوچ آلا
resist	مقابلہ کرنڑاں
resistance	مدافعت دی طاقت
resolution	نارمل ہونڑاں
resolve	حل کرنڑاں
resort	گزرنڑاں
resources	وسائل
respect	عزت
respect	عزت کرنڑاں
respond	جواب ڈیونڑاں
response	جواب
responsibility	ذمہ واری
responsible	ذمہ وار
rest	آرام
rest in peace	رحمت وچ جاہ ملے
restaurant	ریسٹورینٹ
restore	واپس آنڑاں
restrict	پابند
result	نتیجہ
results	نتیجے
resume	ولا شروع کرو
retail	پرچون ویچڑاں
retain	رکھو
retention	یاد رکھنڑاں
retired	ریٹائر ہویا
retreat	پِچھے ہٹڑاں
retrieve	ولا حاصل کرنڑاں
return	واپس کرنڑاں
reveal	ظاہر کرو
revealed	ظاہر کیتا
revenge	بدلہ
revenue	آمدن
reverse	پُٹھا چلاونڑاں
review	تبصرہ
review	تبصرہ کرنڑاں
revise	دہراؤ
revision	دہرانڑاں
revolution	انقلاب
reward	انعام
rhythm	روانی
rib	پسلی
rice	اول
rich	امیر
rid	پیچھا چھڑاونڑاں
ride	سواری کرنڑاں
ride	سواری
ridiculous	مذاق اڈارنڑاں
right	سجے
right	درست
right now	بالکل ہونڑیں
rigid	بے لوجھ
ring	مندری
rinse	دھونڑاں
riot	فساد
rip	پھاڑنڑاں
rip	چیرڑاں پھاڑنڑاں
ripe	پکا
rise	اضافہ
rise	مَہنگا ہونڑاں
risk	خطرہ
risk	خطرے وچ سَٹڑاں
rival	رقیب
river	دریا
road	روڈ
roast	بُھنڑاں
robust	بہوں طاقتور
rock	پہاڑ
rod	چھڑی
role	کردار
roll	رڑھکانڑاں
roof	چھت
room	کمرہ
root	چھت
rope	رسی
rotten	گندا
rough	خراب
roughly	خراب
round	دائرہ
route	روٹ
routine	معمول
row	لائن
rub	رَگڑو
rubber	ربڑ
rubbish	گندگی
rude	بدتمیز
rug	قالین
ruin	بربادی
rule	قاعدہ
ruler	حاکم
rules	قوانین
run	نسو
running	دُرکڑاں
rural	دیہاتی
rush	اصل
rush	تیز رفتاری
sack	بوری
sacred	مقدس
sacrifice	قربانی کرنڑاں
safe	محفوظ
safe flight	محفوظ پرواز
safety	حفاطت
sage	سیج
said	آکھیا
sail	سمندری سفر
sailing	دریا دا سفر
sake	دے واسطے
salary	تنخواہ
sale	سیل
salmon	سامن
salt	لونڑ
same	ہک جینجہا
Same here	اتھاں وی اوہی ہے
sample	سادہ
sand	ریت
Sanskrit	سنسکرت
Saraiki	سرائیکی
sarcastic	تعریفی
sassy	بے ادب
sat	ہفتہ
satisfaction	اطمینان
satisfied	مطمئن
satisfy	راضی کرنڑاں
satisfying	اظمینان ڈیونڑ آلا
Saturday	ہفتہ
sausage	ساسیج
savage	جنگلی
save	محفوظ کرو
saw	ڈیکھیا
say	آکھو
scale	فُٹا
scam	دھوکہ ڈیونڑاں
scar	نشان
scarce	کمی دے نال
scared	ڈرنڑاں
scarf	اسکارف
scary	ڈرپوک
scattered	وکھریا ہویا
scene	منظر
scenery	نظارہ
scent	عطر
schedule	نقشہ بناونڑاں
schedule	طریقہ
school	سکول
science	سائنس
scientist	سائنسدان
scientists	سائنسدان
scissors	مقراض
scold	نقص کڈھڑاں
scope	گنجائش
score	اسکور
scrap	ردی
scratch	خراش
scream	چیخڑاں
screen	سکرین
screw	اسکرو
script	تحریر کرنڑاں
sea	سمندر
seal	مہر
search	گولھو
season	موسم
seat	سیٹ
second	ڈوجھا
secret	راز
section	حصہ
secure	محفوظ کرنڑاں
security	ضمانت
see	ڈیکھو
see you	ولا ملسوں
see you later	بعد اچ ملدے ہوں
see you soon	ولا ملسوں
see you tomorrow	کل ملسوں
seed	بیج
seek	گولھڑاں
seem	نظر آونڑاں
seems	لگدا ہے
seen	ڈیکھیا گیا
seize	پابند کرنڑاں
seizure	قبصہ
seldom	کڈھئیں کڈھئیں
select	منتخب کرنڑاں
self	خود
self healing	خود ٹھیک ہونڑاں
selfish	خودغرض
sell	ویچڑاں
send	بھیجو
send me your picture	میکوں آپنڑیں تصویر بھیجو
senior	سینیئر
sense	شعور
sensible	عقلمند
sensitive	حساس
sent	بھیج ڈتا گیا
sentence	جملہ
sentences	جملے
separate	انج
Sepedi	سپیڈی
september	ستمب
sequence	ترتیب
series	سیریز
serious	سنجیدہ
seriously	سنجیدگی نال
serve	پیش کرنڑاں
service	خدمت
session	اجلاس
set	سیٹ
set	لگاونڑاں
set up	ترتیب ڈیونڑاں
setting	سیٹنگ
settle	طے کرنڑاں
seven	سَت
seventeen	سترہاں
seventy	ستر
several	ہک توں ودھ
severe	شدید
sew	سیونڑاں
sh	ایس ایچھ
shade	چھاں
shadow	چھاں
shake	ہلاونڑاں
shall	کرنا
shallow	گھٹ ڈونگا
shame	شرم
shape	شکل
share	ونڈو
sharp	تیز
she	چھوہیر
she has	اوندے کول ہے
she is	یے ہے
shed	سر لکاونڑ دی جاہ
sheep	بھیڈ
sheet	شیٹ
shelf	شیلف
shell	سیپی
shelter	ٹھکانڑاں
shield	ڈھال
shift	شفٹ
shine	چمک
ship	سمندری جہاز
shipping	جہاز اچ مال لوڈ کرنڑاں
shirt	چولا
shoes	جوتے
shoot	گولی مارنڑاں
shop	دکان
shopping	خرید فروخت کنڑاں
shore	سہارا ڈیونڑاں
short	چھوٹا
shortage	کمی
shot	گولی مارنڑاں
shot	گولی
should	لازمی
shoulder	مونڈھا
shout	چیخڑاں
show	نمائش
show	پیش کرنڑاں
show me	میکوں ڈکھاؤ
shower	چھینٹے آونڑاں
shrimp	جھینگا
shrink	سکڑنڑاں
shut	بند کرنڑاں
shut up	بند کرنڑاں
shy	شرمیلا ہونڑاں
sibling	بھینڑ بھرا
siblings	بھینڑ بھرا
sick	بیمار
side	پاسا
sigh	ٹھڈا ساہ گھنڑاں
sight	نظر
sightseeing	سیر تفریح
sign	علامت
signature	دستخط
significant	اہم
silence	خاموشی
silent	خاموش
silk	ریشم
silly	بیوقوف
silver	چاندی
similar	ہکو جینجھا
simp	سادہ
simple	سادہ
simultaneously	اکو وقت اچ
since	اوں ویلے توں
sincere	صادق
sincerely	مخلص
sing	گاونراں
singer	گُلوکار
single	کلہا
sink	گندگی دا کھڈا
sink	ڈوبڑاں
Sir	سر
sister	بھینڑ
sister in law	نینہانڑ
sit	بیہڑاں
site	جگہ
situation	صورتحال
six	چھی
sixteen	سولہاں
sixty	سٹھ
size	ناپ
skill	ہنرمندی
skills	مہارتاں
skin	کھل
skinny	بہوں دُبلا
skip	چھوڑ ڈیو
skirt	اسکرٹ
sky	آسمان
slave	غلامی
sleep	بیندر
sleeping	سُمڑاں
sleepy	سُتا ہویا
sleeve	آستین
slice	ٹکڑا
slice	ٹکڑا کرنڑاں
slide	سلائیڈ
slightly	ہولے نال
slim	سوکھا
slip	تلکڑاں
slope	ترچھی جاہ
slot	سوراخ
slow	ہولا
slowly	ہولے نال
small	نکا
smart	سمارٹ
smell	بو
smile	مُسکراہٹ
smile	مُسکرانڑاں
smoke	دھواں
smooth	صاف
snack	ہلکا ناشتہ
snail	گھونگا
snake	سانپ
snap	حرکت کرنڑاں
snow	برف
so	تاں
so cute	بہوں سوہنڑاں
so far	ہونڑ تائیں
soak	بھگوونڑاں
soap	صابنڑ
sober	سنجیدہ
soccer	ساکر
social	سماجی
society	سوسائٹی
socks	جراباں
soft	پولا
software	سافٹ ویئر
soil	مٹی
sold	وک گیا
sold out	وِک گیا
soldier	سپاہی
sole	جوتے دا تلے آلا حصہ
solid	ٹھوس
solution	حل
solve	حل کرو
some	کجھ
somebody	کوئی بندہ
somehow	کئیں طریقے نال
someone	کوئی ہک
something	کوئی شے
sometimes	کئیں ویلے
song	گانا
soon	جلدی
sophisticated	بناوٹی
Sorani	سورانی
sore	ڈُکھتی جاہ
sore	ڈُکھنڑ آلا
sore throat	گلے اچ ورم
sorrow	غم
Sorry	معذرت
sort	ترتیب ڈیوو
sought	گولھیا
soul	روح
soulmate	سچا جوڑی دار
sound	آواز
soup	سوپ
sour	کھٹا
source	ذریعہ
south	جنوب
space	گنجائش
spam	اسپیم
span	وقفہ
Spanish	اسپینش
spare	فالتو
spare	بچاونڑاں
speak	الاونڑاں
special	خاص
species	مِصالحے
specific	مخصوص
spectacular	ڈیکھنڑ دے قابل
speech	بولنڑاں
speechless	خاموش
speed	رفتار
spell	ہجے
spend	خرچیا
spent	خرچ کیتا
spicy	مصالحے دار
spike	کیل
spin	گھماونڑاں
spinach	پالک
spirit	جذبہ
spit	تُھک
splendid	چنگا
split	تقسیم کرنڑاں
split	تفریق
spoil	وگاڑنڑاں
spoiled	خراب تھی گیا
spontaneous	بغیر ارادہ
spoon	چمچہ
spot	جاہ
spouse	پایا
spread	پھیلا ڈیوو
spring	بہار
square	چورس
squeeze	نچوڑنڑاں
squid	سکویڈ
squirrel	گلہری
st	ایس ٹی
stab	گھسیڑنڑاں
stable	مضبوط
stack	ڈھیر لاونڑاں
staff	عملہ
stage	مرحلہ
stain	دھبہ
stairs	پوڑھیاں
stake	بازی لاونڑاں
stalk	اکڑ کنے ٹرڑاں
stall	اصطبل
stamp	مہر
stand	کھڑا
stand	کھڑا ہونڑاں
standard	معیاری
star	تارہ
start	شروع کرو
started	شروع کیتا
starving	بُکھا مرنڑاں
state	حالت
state	عرض کرنڑاں
statement	بیان
station	اسٹیشن
statue	بُت
status	اسٹیٹس
stay	قیام کرنڑاں
stay	ٹِکڑاں
stay safe	محفوظ رہو
steady	قائم رکھنڑاں
steak	گوشت دا ٹکڑا
steal	چوری کرنڑاں
steam	بھاپ
steel	اسٹیل
steep	ڈھلان
stem	رکاوٹ
step	قدم
stick	کاٹھی
stiff	ضدی
still	خاموشی
still	ہونڑ تائیں
sting	ڈنگ مارنڑاں
stingy	کنجوس
stir	ہلاونڑاں
stock	ذخیرہ
stolen	چوری کیتا ہویا
stomach	ڈھیڈ
stone	پتھر
stood	کھڑا تھیا
stool	اسٹول
stop	روکو
storage	ذخیرہ
store	اسٹور
storm	طوفان
story	کہانی
stove	چولھا
straight	سدھا
straightforward	دیانت دار
strain	چھانڑاں
strange	غیر
stranger	اجنبی
strategy	حکمت عملی
straw	پینپ
strawberry	رس بھری
streak	بہوں تیز اثر
stream	اسٹریم
street	روڈ
strength	طاقت
stress	دباؤ
stretch	چِھکڑاں
strict	سخت گیر
strike	ہڑتال
string	اسٹرنگ
strip	پٹی
strive	کوشش کرنڑاں
stroke	فالچ
strong	مضبوط
struck	ہڑتال کیتی
structure	ڈھانچہ
struggle	کوشش کرنڑاں
struggle	کوشش
struggling	جدوجہد
stubborn	ضدی
stuck	پھسیا ہویا
student	شاگرد
study	مطالعہ کرنڑاں
study	مطالعہ
studying	پڑھنڑاں
stuff	عملہ
stunning	حیرت انگیز
stupid	بیوقوف
style	انداز
subject	مضمون
submission	گزارش
submit	جمع کراؤ
substance	مادہ
substitute	متبادل
subtle	چالاک
succeed	کامیابی حاصل کرنڑاں
success	کامیابی
successful	کامیاب
such	اینجھا
such as	جیویں کہ
suck	چوسڑاں
sudden	اچانک
suddenly	اچانک
suffer	تکلیف چانڑاں
suffering	مصیبت
sufficient	بہوں
sugar	کھنڈ
suggest	تجویز کرو
suggestion	تجویز
suit	جوڑا
suit	سوہنڑاں نظر آونڑاں
suitable	موافق
suitcase	اٹیچی
sum	جمع کرنڑاں
summary	خلاصہ
summer	گرمی
summit	چوٹی
sun	سِج
sunday	اتوار
sunny	روشن
sunset	سِج لہڑاں
sunshine	سِج دی روشنی
super	کمال
superior	اوچے درجے دا
supervisor	منتظم
supper	شام دا کھاونڑاں
supply	سامان
supply	مہیا کرنڑاں
support	مدد کرنڑاں
support	حمایت کرنڑاں
suppose	فرض کرنڑاں
supposed	فرض کیتا
sure	بالکل
surface	سطح
surge	چڑھنڑاں
surgery	سرجری
surname	خاندانی ناں
surprise	حیران کرنڑاں
surprised	حیران تھیا
surrender	دستبردار ہونڑاں
surrounding	ماحول
surveillance	کڑی نگرانی
survey	سروے کرنڑاں
survey	سروے
survive	بچ وینجڑاں
suspect	شک
suspect	شک کرنڑاں
suspended	معطل کیتا گیا
suspicious	مشکوک
sustain	برداشت کرنڑاں
sustainability	مضبوطی
sustainable	برداشت دے قابل
swag	زور نال ڈھاونڑاں
swallow	کھاونڑاں
swap	اک وار وچ
swear	قسم چاونڑاں
sweat	پسینہ
sweater	سویٹر
sweep	بوہاری ڈیونڑاں
sweet	مٹھا
sweet dreams	پیارے خواب
sweet tooth	مٹھائی دا شوق
sweetheart	معشوق
swell	پُھولنڑاں
swelling	سوج ہونڑاں
swim	تیرنڑاں
swimming	تیرنڑاں
swing	پینگھا
swing	پینگھا ڈیونڑاں
switch	سوئچ
switch	سوئچ لگاونڑاں
swollen	اوپھل ہویا
sword	تلوار
symbol	علامت
sympathy	ہمدردی
symptoms	علامتاں
system	نظام
table	میز
tackle	وزنی شیواں چاونڑاں
tag	ٹیگ
tail	دم
take	پکڑو
take away	گھن کے وینجو
take care	دھیان رکھنڑاں
take off	ذمہ واری چاونڑاں
taken	گھنڑاں
talk	تقریر کرنڑاں
talk	الاونڑاں
talkative	زیادہ گالھیں کرنڑ آلا
tall	لمبا
tap	کھٹکاونڑاں
tap	ٹیپ
tape	ٹیپ
target	نشانہ بناونڑاں
target	نشانہ
task	ٹاسک
taste	ذائقہ
taste	چکھڑاں
tasty	مزیدار
taught	پڑھایا
tea	جا
teach	پڑھاونڑاں
teacher	استاذ
team	ٹیم
tear	ہنجو
tears	ہنجو
tease	چھیڑنڑاں
technology	ٹیکنالوجی
teeth	ڈند
tell	آکھو
tell me	میکوں ڈسو
temper	غصہ آونڑاں
temperature	پارہ
temple	کنپٹی
temporary	عارضی
ten	ڈاہ
ten thousand	ڈاہ ہزار
tenant	قنات
tend	ڈیکھ بھال کرنڑاں
tendency	رجحان
tender	ڈیکھ بھال کرنڑ آلا
tense	کھچاؤ
tension	ٹینشن
tent	قنات
tentative	عارضی
term	مقررہ وقت
terms	ماہواری
terrible	ڈراونڑاں
terrific	ٹریفک
territory	علاقہ
test	آزمائش
test	آزمائش دے لائق قرار ڈیونڑاں
text	ٹیکسٹ
than	مقابلے وچ
thank	شکریہ
thank you	تہاڈا شکریہ
Thank you for your patience while we investigate shipment	ساڈے شپنگ دی چھان بین دے دوران تساں دے صبر واسطے شکریہ
thank you so much	تہاڈا بہوں زیادہ شکریہ
thank you very much	تہاڈا بہوں زیادہ شکریہ
thanks	شکریہ
Thanks for using our app	ساڈی ایپ استعمال کرن دا شکریہ
that	اوہ
that is	او ہے
that's good	ایہہ چنگی گالھہ اے
the	دی
theft	چوری
their	اونہاں دا
them	اوہناں
theme	تھیم
themselves	او خود
then	ولا
theory	نظریہ
there	اتھاں
there are	اوتھاں ہے
there is	اوتھاں ہے
therefore	ایں واسطے
these	ایہہ
they	وہ
they are	اوہ ہن
thick	موٹا
thief	چور
thigh	ران
thin	باریک
thing	شے
things	شیواں
think	سوچڑاں
third	تریجھا
thirsty	ترسیا
thirteen	تیرہاں
thirty	تِریہہ
this	ایہہ
this is	ایہہ ہے
thorough	پورا
thoroughly	پوری طرحاں
those	اوہ
though	تاں وی
thought	سوچ
thoughtful	سوچ سمجھ کنے
thoughts	خیالات
thousand	ہزار
thread	دھاگہ
threat	دھمکی ڈیونڑاں
threaten	دھمکی ڈیونڑاں
three	ترے
threshold	تھریشولڈ
thrilled	شوق پیدا کیتا
thrive	خوشحال ہونڑاں
throat	گلا
through	دے ذریعے
throughout	شروع توں اخیر تائیں
throw	سٹ گھتو
thumb	انوٹھا
thunder	گرج چمک
Thursday	خمیس
thus	ایس واسطے
tick	نشان
tide	لہراں اُٹھڑاں
tidy	صاف ستھرا
tie	کم کاج
tie	بدھڑاں
tiger	چیتا
tight	سوڑا
Tigrinya	ٹگرینیا
time	ویلا
timid	ڈرپوک
tiny	نکا
tip	ٹوٹکہ
tips	تجویزاں
