ӧжыт	a little
тодэ ваён	repeat
асэныд воштыны	replace
ответ	reply
вераны	report
укшась	represent
репутация	reputation
курон сётыны	request
курон	request
курыны	require
кулэ	required
спасательный	rescue
эскерыны	research
тодэ вайытыны	resemble
куатаськон	resentment
юнматыны	reservation
ваньбурет	reserve
резидент	resident
отставкае сётон	resign
юнлык	resilience
юнлыко	resilient
пумитъяськыны	resist
пумитъяськон	resistance
решение	resolution
быдэстыны	resolve
курорт	resort
ужъюгдур	resources
гажан	respect
вазён	respond
реакция	response
кылкутон	responsibility
ответственной	responsible
шутэтскон	rest
каньылэн кылльыны	rest in peace
ресторан	restaurant
выльдыны	restore
сюбегатыны	restrict
результатъёсыз	result
йылпумъянъёс	results
выльысь кутскыны	resume
нимаз вузан	retail
возьыны	retain
возён	retention
пенсиын	retired
чигнаны	retreat
поттыны	retrieve
берыктэ	return
усё	reveal
шараям	revealed
йыркурез берыктыны	revenge
доход	revenue
берен	reverse
лыдӟон	review
выльысь учкыны	revise
выльысь учкон	revision
революция	revolution
кузьым	reward
ритм	rhythm
урдлы	rib
рис	rice
узыр	rich
мозмытыны	rid
мынон	ride
кельыштэм формаез	ridiculous
эрикрадъя	right
ӵапак али	right now
чурыт	rigid
кульчолы	ring
гылатон	rinse
бунт	riot
кесем	rip
вуэм	ripe
ӝужда	rise
дӥсьтон	risk
вожмаськыны	rival
шур	river
сюрес	road
пыжыны	roast
оскымон	robust
кӧльы	rock
стержень	rod
рольёсты	role
рулон	roll
липет	roof
висъет	room
выжы	root
гозы	rope
сисьмем	rotten
зуркак	rough
лек	roughly
котырес	round
мынон маршрут	route
огдышем сямъя ужан	routine
рад	row
зыраны	rub
резинка	rubber
жаг	rubbish
зуркак	rude
коврик	rug
таркамын	ruin
шонеррад	rule
линейка	ruler
шонеррад	rules
бызьыса	run
бызись	running
сельской	rural
дыртэммы	rush
мешок	sack
вӧсяськон	sacred
юрттэткузьым сётыны	sacrifice
кышкыттэм	safe
курдантэм лобӟон	safe flight
кышкыттэмлык	safety
визьбурчи	sage
шуо	said
уяны	sail
уяса кошкон	sailing
муг	sake
уждун	salary
вузан сярысь	sale
лосось	salmon
сылал	salt
нош	same
Татын но сыӵе ик	Same here
тусъет	sample
луо	sand
Санскрит	Sanskrit
мыскылляса серекъян	sarcastic
кӧбертэм	sassy
бусы кутон эскеронъёс	sat
кӧт каньыл луон	satisfaction
огназэс	satisfied
быдэстыны	satisfy
кӧт каньыл луон	satisfying
кӧснунал	Saturday
векчи сӥльтырем	sausage
дикарьёслэн	savage
возьыны	save
адӟыны	saw
шуо	say
масштаб	scale
мошенничество	scam
вурыс	scar
тырмымтэ	scarce
шурдыт	scared
шарфик	scarf
кышкыт	scary
пасьтана зӥръям	scattered
сцена	scene
инкуазь тус	scenery
зын	scent
планировать	schedule
школа	school
наука	science
тодосчи	scientist
тодосчиос	scientists
качы	scissors
тышкаськыны	scold
дась	scope
лыдъян	score
куштӥськем корт	scrap
ӵабтӥськем	scratch
кесяськыны	scream
экран	screen
винт	screw
сценарий	script
зарезь	sea
печать	seal
утчан	search
вакыт	season
пукон	seat
кыкетӥ	second
лушкес	secret
висъет	section
кышкыттэмлык кылдытыны	secure
кышка	security
адӟыны	see
адӟиськом	see you
адӟиськом	see you later
вуоно пумиськытозь	see you soon
ӵуказеозь	see you tomorrow
тысь	seed
утчаны	seek
адӟисько	seem
лэся	seems
адӟем	seen
пытсэтаны	seize
кулыса усён	seizure
шер	seldom
октыны	select
ачим	self
ачиз бурмон	self healing
эгоистичной	selfish
продажа	sell
келяны	send
ысты мыным фотодэ	send me your picture
бадӟымез	senior
пуштрос	sense
визьмо	sensible
ӧбылес	sensitive
келям	sent
пумкыл	sentence
шуосъёс	sentences
нимаз	separate
Сепиде	Sepedi
куарусён	september
радыз	sequence
сузьет	series
серьёзной	serious
йӧн-йӧн	seriously
обслуживать	serve
утялтон	service
сессия	session
зуркатыны	set
кылдытыны	set up
тупатон	setting
интыяны	settle
сизьым	seven
дас сизьым	seventeen
сизьымдон	seventy
кӧня	several
йӧн-йӧн	severe
вуриськыны	sew
вужер	shade
вужер	shadow
курткыны	shake
кулэ	shall
лазег	shallow
аслэсьтыззэ	shame
формаос	shape
люкетэз	share
лэчыт	sharp
со	she
солэн вань	she has
со	she is
сбрасывать	shed
ыжъёс	sheep
куар	sheet
ӝажы	shelf
дыж	shell
ватӥськон-пегӟон	shelter
щит	shield
смена	shift
пиштыны	shine
корабль	ship
судно ветлон	shipping
дэрем	shirt
быгатӥсьлэн	shoes
ыбылыны	shoot
вузаськонни	shop
бичаськем	shopping
ярдур	shore
вакчи	short
ёрмон	shortage
ыбылыны	shot
кулэ	should
пельпум	shoulder
кесяськыны	shout
шоу	show
мыным возьматыны	show me
лул	shower
креветка	shrimp
ичиомыны	shrink
пытсаны	shut
ӵоксаськиз	shut up
востэмак	shy
агай-вынъёс	sibling
сузэр-вынъёс	siblings
висись	sick
пал	side
шокчыны	sigh
ужрад	sight
дано интыосты учкон	sightseeing
пусъёс	sign
гожтӥськем	signature
шӧдскымон	significant
шыпыт	silence
чалмыт	silent
буртчин	silk
шузи	silly
азвесь	silver
огвыллем	similar
огшоры адями	simp
огшоры	simple
огвакытэ	simultaneously
со дырысь	since
усьтэм сюлмо	sincere
сэлмысь ик	sincerely
кырӟаны	sing
кырӟась	singer
огназ	single
куалемъёсысь	sink
Сэр	Sir
сузэр	sister
вылькен	sister in law
пуктыны	sit
сайт	site
ситуация	situation
куать	six
дас куать	sixteen
куатьтон	sixty
быдӟала	size
ӧнер	skill
быгатэм	skills
ку	skin
векчи	skinny
чильпыра	skip
юбкаен	skirt
инбам	sky
вар	slave
уйвӧтын	sleep
ум	sleeping
кӧлэм потӥсь	sleepy
тул	sleeve
втулка	sleeve
юдоно	slice
юдэс	slice
слайд	slide
кыньыръяса	slightly
веськрес	slim
гылӟыны	slip
бамал	slope
слот	slot
каллен	slow
каллен	slowly
пичи	small
визьмо	smart
зын	smell
пальпотон	smile
ӵын	smoke
вольыт	smooth
закуска	snack
куалялюльы	snail
кый	snake
шлач карем	snap
лымы	snow
озьы	so
сыӵе мусо	so cute
улыны	so far
коттыны	soak
майтал	soap
сазь	sober
футбол	soccer
пумитан	social
мерлык	society
носки	socks
небыт	soft
софтверной	software
музъем	soil
вузамон	sold
вузаны	sold out
солдат	soldier
нимаз	sole
юн	solid
решение	solution
лэсьтыны	solve
куд-огъёсыз	some
кин ке	somebody
озь но тазь но	somehow
кин ке	someone
мар-ке	something
кытӥ	sometimes
кырӟан	song
ӝоген	soon
сложной	sophisticated
Сорани	Sorani
висись	sore
висись чырты	sore throat
куректон	sorrow
вождэс эн вае	Sorry
шертон	sort
утчаны	sought
лул	soul
родственной	soulmate
куара	sound
шыд	soup
чырс	sour
дор ошмес	source
лымшор	south
инты	space
спам	spam
вӧлмыны	span
испан кышно	Spanish
шыръям	spare
верало	speak
аспӧртэмлыко	special
видъёс	species
аспӧртэмлыко	specific
эффектной	spectacular
вераськон	speech
вераськисьтэм	speechless
ӝоглык	speed
пелляськон	spell
арам	spend
быдтэм	spent
лэчыт	spicy
шеп	spike
бергатыса	spin
шпинат	spinach
духовной	spirit
сяланы	spit
син мальдымон	splendid
вайяса	split
сӧрыны	spoil
уродмем	spoiled
шуак	spontaneous
пуньы	spoon
инты	spot
кышно	spouse
вӧлмем	spread
тулыс	spring
квадратлы	square
пачкатыны	squeeze
кальмар	squid
коньы	squirrel
бышкалтыны	stab
вошъяськисьтэм	stable
штабеле тырыны	stack
персонал	staff
этапаз	stage
вишты	stain
тубат	stairs
лэсьтыны ставка	stake
ныд	stalk
партер	stall
штамповать карыны	stamp
киоскысь	stand
standart	standard
кизили	star
кутскыны	start
кутскиз	started
сютэм	starving
штат	state
заявление	statement
станция	station
статуя	statue
инлыкез	status
кыльыны	stay
кышкыттэмлыкын луыны	stay safe
юн	steady
стейк	steak
лушканы	steal
пар	steam
андан	steel
луонтэм	steep
модос	stem
вамыш	step
боды	stick
чурыт	stiff
вань на-а	still
леканы	sting
чурыт	stingy
сураны	stir
запассэ	stock
лушкам	stolen
ӝуш	stomach
из	stone
сылӥз	stood
пукон	stool
остановка	stop
утён	storage
люкаськизы	store
штурмовать карыны	storm
мадёс	story
гур	stove
прямой	straight
огшоры	straightforward
напряжение	strain
валантэм	strange
тодмотэм мурт	stranger
стратегия	strategy
куро	straw
боры	strawberry
гож	streak
ӧръёсъя	stream
ульчаез	street
кужым	strength
стресс	stress
золъяськыны	stretch
строгой	strict
бугыръяськемзы	strike
чур	string
гож	strip
тыршыны	strive
инсульт	stroke
кужмо	strong
вормем	struck
пушсузьетэз	structure
нюръяськон	struggle
жугиськон	struggling
ваменэс	stubborn
ёрмись	stuck
ученический	student
дышетскон	study
дышетскыны	study
дышетон	studying
пушказ тырыны	stuff
кушектымон	stunning
шузи	stupid
стиль	style
тема	subject
возьматон	submission
эскерыны сётыны	submit
тырмет	substance
вошъяны	substitute
векчи	subtle
мыныны	succeed
азинлык	success
азинлыко	successful
дорын сыӵе	such
таӵе кадь	such as
сюпсьыны	suck
шуак	sudden
шуак	suddenly
курадӟонъёс	suffer
курадӟон	suffering
ваньмыз	sufficient
сахар	sugar
ӵектӥзы	suggest
предложение	suggestion
костюм	suit
тупаны	suit
тупась	suitable
чемодан	suitcase
огъя лыд	sum
резюме	summary
гужем	summer
кенешонзы	summit
шунды	sun
арня	sunday
шундыё	sunny
шунды пуксён	sunset
шундылэн югытэз	sunshine
супер	super
вылӥ	superior
инспектор	supervisor
ӝытазезэ сиськон	supper
тырмыт сётон	supply
юрттыны	support
поныны	suppose
азьмалпам	supposed
веран	sure
вылыз	surface
жомбыляк	surge
операция	surgery
фамилия	surname
витьымтэ	surprise
паймем	surprised
сётон	surrender
котыртӥсь	surrounding
чаклан	surveillance
юан-веран	survey
улэп кыльыны	survive
шекланы	suspect
ошоно	suspended
подозрительной	suspicious
юрттэт сётыны	sustain
йыг-йыг азинтон	sustainability
йыгмыт	sustainable
котыр	swag
ньылӥз	swallow
кыскон	swap
кыл сётыны	swear
пӧсяны	sweat
свитер	sweater
ӵужыны	sweep
голькыт	sweet
ческыт уйвӧтъёс	sweet dreams
ческыт сиись	sweet tooth
мусо	sweetheart
пельтӥськыны	swell
пыктэм	swelling
уяны	swim
уян	swimming
сэзъяса	swing
переключатель	switch
тӧрнам	swollen
меч	sword
символ	symbol
жалян	sympathy
тодметъёс	symptoms
система	system
ӝӧк	table
быдэстыны	tackle
пус	tag
быжзэ	tail
кутыны	take
басьтыны	take away
астэ уть	take care
лобӟем	take off
кутэм	taken
верало	talk
вераськись	talkative
ӝужыт	tall
кранысь	tap
лякыны	tape
целевой	target
олo	task
шӧмыз	taste
ческыт	tasty
дышетэм	taught
чай	tea
дышетоно	teach
дышетӥсь	teacher
команда	team
слезоточивой	tear
синвуос	tears
пышкылыны	tease
технологиос	technology
пиньысь	teeth
верало	tell
мон верасько	tell me
отпускной	temper
температура	temperature
черк	temple
огдырлы	temporary
дас	ten
дас сюрс	ten thousand
арендатор	tenant
утялтэ	tend
тенденция	tendency
тендер	tender
дыр	tense
вань кужымез поттон	tension
палатка	tent
азьлосез	tentative
срок	term
нимкылъёс	terms
шимес	terrible
туж кышкыт	terrific
улосвыл	territory
тестовые	test
кылкуэт	text
мар	than
тау	thank
тау	thank you
Тон понна, тыныд тау кариз чиданмылы, келян дыръёсыз мон тэкшыры	Thank you for your patience while we investigate shipment
бадӟым тау тӥледлы	thank you so much
бадӟым тау тӥледлы	thank you very much
тау	thanks
Тау приложенимез уже кутэмды понна	Thanks for using our app
ма	that
со луоз	that is
со умой	that's good
лушкам	theft
соосты	their
соослы	them
тема	theme
соос асьсэос	themselves
собере	then
малпан	theory
отын	there
вань	there are
пумиськизы	there is
малы ке шуоно	therefore
таосыз	these
соос	they
соос вань	they are
кыз	thick
лушкаськись	thief
макес	thigh
векчи	thin
штука	thing
ваньбур	things
малпаны	think
куинетӥез	third
сюкуасьмем адями	thirsty
дас куинь	thirteen
куамын	thirty
таиз	this
со сыӵе	this is
пыр-поч	thorough
пыр-поч	thoroughly
таос	those
ке но	though
малпанъёс	thought
мур малпаськись	thoughtful
малпаъёс	thoughts
сюрс	thousand
шорт	thread
кышкытлыклэсь	threat
кышкатыны	threaten
куинь	three
ӧс	threshold
сюлэмшугъяськись	thrilled
узырмизы	thrive
гуньдӥсько	throat
пыр	through
котькытын	throughout
лэзяськыны	throw
пӧлы	thumb
гудыри	thunder
Покчиарня	Thursday
образ	thus
клещ	tick
вуӝутскон	tide
ӝикыт	tidy
галстук	tie
тигр	tiger
ӝикыт	tight
Тигринья	Tigrinya
ортчытэм дыр	time
кöберась	timid
пичи	tiny
кенеш	tip
валэктонъёс	tips
катьтэммытыны	tire
жади	tired
басма	tissue
нимыз	title
вылын	to
луоно	to be
тост	toast
туннэ	today
пичильтык	toddler
пыдчиньы	toes
ӵош	together
туалет	toilet
верам	told
чидан	tolerance
чиданы	tolerate
помидор	tomato
ӵуказе	tomorrow
кыл	tongue
туннэ ӝыт	tonight
ортчыт	too
кутӥз	took
тӥрлык	tool
уж тӥрлыкъёс	tools
пинь	tooth
вылӥ	top
вылӥысь	top
тема	topic
кесям	torn
курадӟытыны	torture
огъя лыдъям	total
йӧтэ	touch
чурытоме	tough
тур	tour
пала	toward
доры	towards
ӵушкон	towel
город	town
токсичной	toxic
пытьы	trace
трек	track
вузкарыны	trade
сям-йылол	tradition
котьку	traditional
ветлон	traffic
пытьы	trail
тренироваться	train
тренировочной	training
сям	trait
астодметъёс	traits
сётыны	transfer
потон	transition
берыктыны	translate
пырадӟиськись	transparent
нуыны-вайыны	transport
нуллон-ворттон	transportation
нальык	trap
жуг-жагзэс	trash
сӧсырмем	trauma
мыныны-ветлыны	travel
лоток	tray
дуно ваньбур	treasure
шыд	treat
эмъян	treatment
писпуос	tree
омабыдӟа	tremendous
тенденция	trend
пробный	trial
трюк	trick
веръяны	tried
триггер	trigger
чеберъян	trim
мынон	trip
умойтэм ужъёс	trouble
брюки	trousers
грузовик	truck
ЗЭМЛЫКЕЗ	true
багажниказ	trunk
оскыны	trust
оскон	trust
зэм	truth
утчаны	try
Тсонга	Tsonga
чильым	tube
Вторник	Tuesday
дышетскон	tuition
курка	turkey
куркума	turmeric
биниське	turn
избака	turtle
репетитор	tutor
дас кык	twelve
кызь	twenty
кызь одӥг	twenty-one
Тви	Twi
кык пол	twice
позыръяны	twist
кык	two
тип	type
типичной	typical
Удмурт кыл	Udmurt
шуш	ugly
пумозяз	ultimate
зорвозъет	umbrella
уг быгаты	unable
дядя	uncle
йырсазьтэк	unconscious
улын	under
улын	underneath
ӧжытгес лыдъяны	underrated
валаны	understand
валамон	understood
шудтэм учырын	unfortunately
униформа	uniform
уникальный	unique
огмет	unit
университет	university
тодмотэм	unknown
только	unless
со дырозь	until
аспӧртэмлыко	unusual
солань	up
тыныд бырйоно	up to you
выльдӥськон	update
ӟеч карыны	upgrade
умоятӥзы	upgrade
бöрысь	upon
шуген	upset
кар	urban
сайкатон	urge
срочной	urgent
милемыз	us
ужатонъя	use
уже кутыны	used
пайдаё	useful
кулэтэм	useless
огшоры	usual
котьку	usually
кулэлык	utility
отпуск	vacation
вакцинация	vaccination
вакцинация	vaccine
вакуум	vacuum
расплывчатый	vague
действительный	valid
нёжал	valley
кулэлыко	valuable
дунлыкъёсыз	value
сям турлы	variety
пӧртэм	various
висъяськыны	vary
ваза	vase
паськыт	vast
бакча сиён	vegetable
бакча сиён	vegetables
транспорт	vehicle
вузкарись	vendor
яд	venom
ужбергатонни	venture
нуон инты	venue
эскерыны	verify
троспӧртэмлыко	versatile
пӧртэмлык	version
валланет	vertical
туж	very
но туж умой	very good
сосуд	vessel
вамен	via
мар атмосфера	vibe
дырекъян	vibes
сьӧлыко	vicious
бырем	victim
видео	video
тусызъя	view
гурт	village
лек мурт	villain
уксус	vinegar
виноград октон вакыт	vintage
кужмысь карон	violence
сэлэм чигиськись	violent
вирусной	viral
исамтэ ныл	virgin
виртуальной	virtual
ӟеч сямо адями	virtue
синадӟон	vision
лыктон	visit
адӟон	visual
жизненно	vital
яркыт	vivid
словарной	vocabulary
куара сётыны	voice
кужымтэм	void
громкость	volume
асмылкыдчи	volunteer
ӧскон	vomit
ӧсконы	vomit
уязвимый	vulnerable
уждун	wage
уждун	wages
талия	waist
витьыны	wait
официант	waiter
витён	waiting
сайкатыны	wake
сайкатскиз	wake up
ветлыны	walk
ветлон	walking
борддор	wall
янчик	wallet
калгыса ветлыны	wander
потыны	wanna
потыны	want
утчаськыса	wanted
ож	war
гардероб	wardrobe
склад	warehouse
шуныт	warm
алыны	warn
алон	warning
ожгарчи	warrior
вал	was
миськыны	wash
сюре	waste
час	watch
ву	water
арбуз	watermelon
шонтыны	wave
образ	way
ми	we
ми	we are
ми быгатӥськом	we can
ляб-а	weak
лябӟем	weakness
узырлык	wealth
узыр	wealthy
матын	wear
нуллон	wearing
куазь	weather
сюан	wedding
вирнунал	Wednesday
жуг-жаг	weed
арня	week
шутэтскон	weekend
секталазыя	weight
йӧспӧртэм	weird
ӟеч-а	welcome
улон ӟечлык	welfare
Ярам	Well
молодец	well done
мынӥз	went
вал	were
шундыпуксён	west
мускытсэ	wet
кит	whale
мар	what
мар тон сярысь	what about you
ма тон кариськод	what are you doing
али мар тон лэсьтӥд	what are you doing now
мар тон али кариськод	what are you doing right now
мар тӥ ужаськоды	what do you do
кызьы тон улыны коньдон поттӥськод	what do you do for a living
мар тӥляд вань	what do you mean
мар тынад потэ	what do you want
мар луиз	what happened
мар	what is
мар со сыӵе	what is this
кыӵе тынад ужед	what is your job
кызьы тӥляд нимтулды	what is your name
мар луиз	what's up
кызьы тынад нимыд	what's your name
мед	whatever
чабей	wheat
питыран	wheel
ку	when
куке	whenever
кытын	where
кытын тон	where are you
кытысь тон	where are you from
кытын али тон	where are you now
кытын тон улиськод	where do you live
кытын	where is
со дыре	whereas
сотэк но	whether
кыӵе	which
дыр	while
сипыртыны	whisper
шултэм	whistle
кисьтаськись	white
кинлэн	who
кин тон	who are you
кин	who is
кин та	who is this
копак	whole
кинлэн	whom
кинлэн	whose
a ма	why
Малы бы ум	why not
кышка	wicked
паськыт	wide
пал кышно	widow
пасьталаез	width
кышноез	wife
кыр	wild
эрик	will
потыны	will
мылкыд карись	willing
вормон	win
тӧл	wind
укно	window
тӧло	windy
вина	wine
тол	winter
ӵушылыны	wipe
провод	wire
визьлыксэс	wisdom
визьмо	wise
мылкыд карисьёс	wish
сӥзисько тӥледлы ваньзэ умойзэ	wish you all the best
вегин	witch
юрттэтэн	with
отзывать	withdraw
басьтон	withdrawal
пушкын	within
сотэк	without
адӟыны	witness
лэчыт визьмо	witty
кион	wolf
нылъёс	woman
нылъёс	women
вормем	won
уз луы	won't
тунсыко	wonder
усто	wonderful
писпуос	wood
гон	wool
кыл	word
кылъёс	words
уж	work
ужаны	work
дасяны	work out
ужась	working
дунне	world
нумыр	worm
нуллэм	worn
сюлэмшугъяськись	worried
сюлмаськыны	worry
уродмем	worse
йыбыртон	worship
самой урод	worst
сылэ	worth
кулэ вылэм	worth it
ярамон	worthy
потэ вал	would
эмъяськон	wound
Вау	Wow
обертка	wrap
пуромон	wrath
суйпоскес	wrist
гожъяны	write
гожтоно татчы	Write here
гожтон	writing
письменной	written
умойтэм	wrong
гожтэм	wrote
азбар	yard
вушйылон	yawn
вушйылыны	yawn
Мед	Yeah
ар	year
аръёс	years
маял	yeast
кесяськыны	yell
ӵуж	yellow
мед	Yes
бен пичие	yes baby
бен, дуное	yes dear
мед, мусо	yes honey
мед кыскоз, мынам яратон	yes my love
бен одно ик	yes of course
толло доры	yesterday
на	yet
кожалод	yield
тӥледыз	you
тӥ	you are
тон туж чебер	you are beautiful
тон сыӵе чебер	you are so beautiful
тон ӟечкылазы	you are welcome
тон быгатӥськод	you can
Тодӥськоды-а	You know
но тон	you too
пожалуйста	you're welcome
егитъёс	young
мар тон	your
ӟечкылан	your welcome
астэ	yourself
пинал дыр	youth
гажаса витиськом	you’re welcome
ческыт	yummy
нулевой	zero
