i	a
phi trei ka kam aiu	what is your job
phi kyrteng kumno	what is your name
phi kyrteng kumno	what's your name
kew	wheat
shaka	wheel
lano	when
ha kano kano kampor	whenever
hangno	where
hangno phi don	where are you
phi dei naei	where are you from
phi don haei mynta	where are you now
phi sah hangno	where do you live
hangno don	where is
katba	whereas
lada	whether
kaba	which
katba	while
pasiaw	whisper
siaw	whistle
lieh	white
mano	who
phi dei mano	who are you
mano ba	who is
mano ine	who is this
baroh kawei	whole
mano	whom
jongno	whose
balei	why
balei em	why not
sniew jinglong	wicked
iar	wide
riew kynthei	widow
jingiar	width
ka lok	wife
sa	will
jop	win
lyer	wind
jingkhang iit	window
ba beh lyer	windy
kyiad	wine
tlang	winter
niad	wipe
sainar	wire
jingstad	wisdom
bastad	wise
kitbok kit rwiang	wish you all the best
ka nongaisniew	witch
bad	with
jingrandien	withdrawal
hapoh	within
khlem	without
sakhi	witness
nongsakhi	witness
ba biria	witty
suri	wolf
ka kynthei	woman
ki kynthei	women
lah jop	won
jinglyngngoh	wonder
ka dieng	wood
sai wool	wool
ktien	word
ki ktien	words
trei	work
jingtrei	work
ba treikam	working
ka pyrthei	world
wieh	worm
ba lah jot	worn
khuslai	worried
khuslai	worry
kham sniew	worse
mane	worship
ba sniew tam	worst
ka dor	worth
ba don dor	worthy
jingmong	wound
Wow	Wow
sop	wrap
jingbitar	wrath
thoh	write
Thoh hangne	Write here
jingthoh	writing
ba la thoh	written
ba bakla	wrong
la thoh	wrote
pruh	yard
jingsaham	yawn
saham	yawn
snem	year
ki snem	years
thit	yeast
hylla	yell
ba stem	yellow
Hooid	Yes
hooid baieid	yes honey
hooid baieid jong nga	yes my love
hooid khlem pep	yes of course
mynnin	yesterday
pyndem	yield
phi	you
phi long	you are
phi bhabriew	you are beautiful
phi bhabriew bha	you are so beautiful
phi lah	you can
Phi tip	You know
phi ruh	you too
ym lei lei	you're welcome
dang khynnah	young
jong phi	your
ym lei lei	your welcome
ma phi	yourself
samla	youth
nout	zero
