abandon	ɗallugo
skill	aandal
skills	aandal
skin	laaral
skinny	seewi
skip	juwugo
skirt	patare
sky	asaman
slave	maccuɗo
sleep	danugo
sleeping	ɗanugo
sleepy	yiɗi ɗanugo
sleeve	jungo limse
slice	ta'ugo
slide	sallol
slightly	seeda
slim	cewɗum
slip	ɗerewol
slope	jippol
slot	ngaska
slow	ɗayi
slowly	be hakilo
small	pamarron
smart	feeri
smell	haccenga
smile	jallende
smoke	curɗe
smooth	diggi
snack	nyamɗe
snail	kuccuru
snake	mbodi
snap	hoosugo
snow	glas
soak	sofugo
soap	sabulu
sober	je wikay
soccer	balong
social	ummatore
society	ummatore
socks	limse kosɗe
so cute	woɗo jamum
so far	bana
soft	diggungel
software	kuje ordo ɗelmi
soil	lesdi
soldier	soje
sold out	sippugo
sold	sippi
sole	les paɗal
solid	sati
solution	dabare
solve	teffugo dabare
somebody	goɗɗo feere
some	feere
somehow	bana ni
someone	neddo
something	kuje feere
sometimes	ha wakati feere
so	nden
song	gimmi
soon	badi
sophisticated	je mari sembe
Sorani	Sorani
sore	hudure
sore throat	hudure do dande
sorrow	nder nawɗum
Sorry	yaffam
sort	suftugo
sought	teffi
soulmate	giɗaɗo
soul	ngeendam
sound	hoolo
soup	hako
source	wawru
sour	lami
south	fombina
space	asama
spam	cuuɗi
Spanish	Espanis
span	ta'irde
spare	siggi
speak	wolwugo
special	feerejo
species	geeɓeji
specific	feerejo
spectacular	ha yeeso yimɓe
speechless	wala wolde
speech	wolde
speed	doggugo
spell	windugo
spend	majinugo
spent	majjini
spicy	weeli
spike	hoore
spinach	hako
spin	yirlugo
spirit	ruhu
spit	waɗugo tuɗe
splendid	panyo
split	sendi
spoiled	woni
spoil	wonugo
spontaneous	jonta
spoon	sokali
spot	baabal
spouse	debbo
spread	sankitugo
spring	juwugo
square	baabal
squeeze	ɗiɗugo
squid	skid
squirrel	jiire
stable	wala dimbugo
stab	yiwugo
stack	ruffugo
staff	geebe
stage	yaɓɓorde
stain	toɓe
stairs	wairde
stake	legal
stalk	tokkugo
stall	suudu puccu
stamp	maandol
standard	je aandin
stand	baabal jonde
star	kode
started	fuɗɗi
start	start
starving	mayugo be weelo
state	lesdi
statement	wolde
station	wakere darnal
statue	haylol
status	jonde
stay	joddugo
stay safe	wondu nder jam
steady	taski
steak	soya
steal	wujugo
steam	gulɗam
steel	kofta
steep	leeli
stem	ɗaɗol
step	yaɓɓorde
stick	legal
stiff	jutti
still	siru
sting	tuffugo
stingy	waɗa ndingare
stir	umminugo
stock	mofturde
stolen	wujama
stomach	reedu
stone	ka'e
stood	dari
stool	buwe
stop	darnugo
storage	sigorde
store	sigorde
storm	duluru
story	tariya
stove	kuje deffugo
straight	cir
straightforward	wala lawol feere
strain	silbugo
strange	feerejo
stranger	ngiilowo
strategy	dabare
strawberry	ɓikkon lekki
straw	huɗo
streak	be toɓe
stream	mayo
street	laabi
strength	sembe
stress	wurtinugo
stretch	dasugo
strict	sey be lawol
strike	wilugo
string	hawtirde
strip	ittugo
strive	haɓdugo
stroke	nyau pali
strong	mari sembe
struck	yewi
structure	suudu
struggle	habre
struggling	kaɓɓugo
stubborn	hoore sati
stuck	takki
student	jaangowo
study	ekkitol
studying	jaangugo
stuff	kuje
stunning	hilnan
stupid	wala hakilo
style	gikku
subject	kuje
submission	jo'inol
submit	neldugo
substance	cakkare
substitute	dabare feere
subtle	lawgel
succeed	jalli
successful	hisi
success	jallorgal
such as	bana
such	irin
suck	mussugo
suddenly	lawgel
sudden	seeɗa ni
suffering	yarugo bone
suffer	yarugo bone
sufficient	deydey
sugar	sukar
suggest	feelugo
suggestion	tendinol
suitable	mari nafitirki
suitcase	jiba
suit	koti
sum	limgal
summary	samere
summer	ndungu
summit	hoore
sunday	alat
sun	naange
sunny	naange ɗon
sunset	wallugo naange
sunshine	ummugo naange
super	boɗɗum
superior	jagorɗo
supervisor	aynowo
supper	nyiiri
supply	ndokkugo
support	wallende
supposed	tammi
suppose	tammugo
sure	be gonga
surface	daaldal
surge	ɓesdugo
surgery	seekogu
surname	inde
surprised	hilni
surprise	hilnugo
surrender	accugo
surrounding	tarde
surveillance	aynol
survey	emmolji
survive	yisugo
suspect	bana waɗi
suspended	darni
suspicious	laɓɓay
sustainability	wallende
sustainable	je nebban
sustain	wallugo
swag	kuje saaman
swallow	moddugo
swap	saanjugo
swear	hunugo
sweater	limse
sweat	gulɗum
sweep	vuwugo
sweet dreams	hoyɗe be jam
sweetheart	ɓeelere ɓernde
sweet tooth	yardi nyamdu
sweet	weeli
swelling	uppugo
swell	uppugo
swim	fijugo nder ndiyam
swimming	nastugo nder ndiyam
swing	dimbugo
switch	nyifinugo
swollen	uppi
sword	kafahi
symbol	mandol
sympathy	neɗaaku
symptoms	maandolji
system	ordo
table	taabal
tackle	do'inugo
tag	matinugo
tail	wiicu
take away	wurtinugo
take care	aynugo
take	hoosugo
taken	hoccama
take off	ummugo
talkative	wolwan
talk	ngewte
tall	jutti
tap	baabal nyaɗugo ndiyam
tape	hoosugo
target	ngida
task	kugal
taste	mettugo
tasty	weeli
taught	jaangini
tea	caay
teacher	jaangowo
teach	jaanginugo
team	geeɓe
tear	gonɗi
tears	gonɗi
tease	tonyugo
technology	teknik
teeth	nie
tell me	limtinam
tell	wolwugo
temperature	wulol
temper	ɓernde
temple	suudu haykaliru
temporary	je hideko
tenant	hasduye
tend	bana
tendency	yahde
tender	ammugo
ten	sappo
tense	wakati
tension	haala
tentative	foondol
ten thousand	ujinere sappo
tent	suudu
terms	wolde
term	timminol
terrible	buri sembe
terrific	haali
territory	lesdi
test	foondugo
text	wolde
than	do
Thanks for using our app	Mi yetti ngam huwwugo be app
thanks	useko
thank	useko
Thank you for your patience while we investigate shipment	min yetti ngam munyal ha wakati lartol ko woni nder ton
thank you	mi yetti
thank you so much	mi yetti mon masin
thank you very much	mi yetti mon jur
that is	bana wi'ugo
that	je
that's good	ɗo kanduɗum
the	e
theft	wika
their	mabbe
theme	hoore
them	kambe
themselves	kamɓe
then	nden
theory	ekkitol
there are	wodi
therefore	amma
there	ha ton
there is	wodi
these	ndu
they are	ɓe lati
they	be
thick	mauni
thief	gujo
thigh	koppi
thing	kuje
things	kujeji
think	nummugo
thin	seewi
third	tataɓre
thirsty	mari ɗonkwa
thirteen	sappo e tati
thirty	cappan tati
this is	ndu lati
this	ndu
thorough	luggi
thoroughly	luggina
those	ndu
though	ko to
thoughtful	ɗon numma
thought	nummol
thoughts	numolji
thousand	ujinere
thread	garaji
threaten	hunnugo
threat	tasnol
three	legal
threshold	mahol
thrilled	hulnan
thrive	haɓdugo
throat	daande
through	gal
throughout	fu
throw	sakinugo
thumb	wondu
thunder	yende
Thursday	Alamise
thus	ndu
tick	suɓɓu
tide	yahde
tidy	labde
tie	habbugo
tiger	kuje ladde
tight	mabbi
Tigrinya	Tigrinya
time	wakati
timid	gite maɓɓay
tiny	peetel
tip	feelore
tips	feeloji
tired	tampi
tire	fiɗu
tissue	limse
title	hoore
toast	yarugo
to be	wondugo
today	hande
toddler	ɓingel
toes	koli
together	ha peelel gootel
to	ha
toilet	gaɗa suudu
told	wi
tolerance	yafuye
tolerate	jaɓɓugo
tomato	tomat
tomorrow	jango
tongue	demgal
tonight	hande jemma
too	bo'o
took	hoosi
tool	kuje
tools	kujeji huwugo
tooth	nie
top	hoore
topic	hoore
torn	sekki
torture	yarnugo bone
total	fu
touch	memmugo
tough	sati
tour	jaahangal
toward	gal
towards	gal
towel	soso
town	berniwol
toxic	don mbara
trace	didugo
track	tokkugo
trade	fillu
traditional	je gikku
tradition	gikku
traffic	fillu
trail	labi
training	ekkitol
train	jirki
trait	didol
traits	didolji
transfer	yarɓugo
transition	sallol
translate	lornugo
transparent	gite laran
transportation	hortol
transport	moota
trap	ngamngam
trash	kuje sakinugo cuuɗi
trauma	saklere
travel	wadugo jaahangal
tray	tassawo
treasure	sigorde
treat	hurgugo
treatment	hurgol
tree	legal
tremendous	jur
trend	yahde
trial	kitta
trick	sarge
tried	foondi
trigger	memmugo
trim	ta'ugo
trip	jaahangal
trouble	jibru
trousers	serla
truck	kamiyong
true	gonga
trunk	leegal
trust	amana
truth	gonga
try	foondol
Tsonga	Tsonga
tube	koloba
Tuesday	Salasa
tuition	ceede
turkey	paula
turmeric	kukurma
turn	kona
turtle	ɗayinugo
tutor	fawowo
twelve	sappo e ɗiɗi
twenty	nogas
twenty-one	nogas e ɗiɗi
twice	nde ɗiɗi
twist	saanjugo
Twi	Twi
two	didi
type	irin
typical	irin man
ugly	nyidi
ultimate	ragare
umbrella	perveci
unable	footay
uncle	baapa
unconscious	wala hakilo
under	ha les
underneath	ha les
underrated	daraja usti
understand	nanugo
understood	fammi
unfortunately	maray sa'a
uniform	ɓornele
unique	feerejo
unit	geeɓe
university	jam'iare
unknown	aanda
unless	sna
until	ha
unusual	waway
update	lartol
up	do
upgrade	ɓesdugo daraja
upon	do
upset	berni
up to you	ha ma
urban	berni
urge	ewnugo
urgent	yawi
us	amin
used	hiɗi
useful	be naffuda
use	huwugo be
useless	wala naffuda
usually	burna fu
usual	tum
utility	nafuda
vacation	siwtare
vaccination	baatal
vaccine	baatal
vacuum	wala
vague	laɓay
valid	hanni
valley	koose
valuable	je mari daraja
value	daraja
variety	dabareji
various	feere
vary	saanjan
vase	lope
vast	waggi
vegetable	hako
vegetables	hako
vehicle	moota
vendor	sippowo
venom	lekki mbarugo
venture	hawtirde
venue	wakere
verify	larugo
versatile	neɓatta
version	irin
vertical	gal do
very	buri
very good	woɗi masin
vessel	tassawo
via	gal
vibe	daraja
vibes	hakika
vicious	hannay
victim	keeɓɓi saɗirma
video	vidiyo
view	larugo
village	wuro
villain	nyiduɗum
vinegar	lamirde
vintage	je saaman
violence	kaɓɓe
violent	be nawɗum
viral	waɗi cuffe
virgin	aanda gorko
virtual	gal ordo
virtue	boɗenga
vision	hakilo
visit	ngillugo
visual	be gite
vital	be yonki
vivid	be yonki
vocabulary	ngewte
voice	daande
void	wala
volume	maunugo
volunteer	mballowo
vomit	tuttugo
vulnerable	wala sembe
wages	waɗugo
wage	yoɓɓol
waist	keesi
waiter	mballowo
waiting	ndenugo
wait	reenu
wake	be gite
wake up	finnugo
walking	waancugo
walk	wancugo
wallet	jiba
wall	mahol
wander	wancugo
wanna	mi yiɗi
wanted	teffama
want	yidi
wardrobe	sigga limse
warehouse	sigorde
war	konno
warm	wuli
warning	hakika
warn	matinugo
warrior	koonowo
wash	lottugo
was	lati no
waste	cuudi
watch	larugo
watermelon	waygore maka
water	ndiyam
wave	ndiyam
way	lawol
weakness	tampere
weak	wala sembe
wealth	risku
wealthy	diskuɗo
wear	bornugo
we are	min woni
wearing	ɓornugo
weather	wakati
we can	min footi
wedding	ɓaangal
Wednesday	Alarba
weed	geene
week	asawere
weekend	asawe
we	enen
weight	teddol
weird	hannay
welcome	jabbama
welfare	jam wonde
Well	boddum
well done	lalleko
went	dili
were	lati no
west	hirnaange
wet	soofi
whale	liɗi manga
what about you	e ko larni ma
what are you doing	a don wada dume
what are you doing now	a don wada dume jonta
what are you doing right now	ɗume a waɗata jonta
what do you do	a ɗon waɗa ɗume
what do you do for a living	a ɗon huwa ɗume
what do you mean	a yidi yeecugo dume
what do you want	i yiɗi ɗume
what	dume
whatever	ko je toy
what happened	ko salli
what is	dume on
what is this	ɗume ɗo
what is your job	ɗume kugal ma
what is your name	moy inde ma
what's up	noy mbiɗa
what's your name	inde ma moy
wheat	marori
wheel	kosɗe
whenever	kala
when	ndey
where are you	a don toy
where are you from	a woni ha lesdi toy
where are you now	a don toy jonta
whereas	amma
where do you live	a ɗon yeeɗa
where	ha toy
where is	toy woni
whether	to bana
which	je
while	ha wakati
whisper	wolwugo be daande peetel
whistle	fufugo luwal
white	daneejum
who are you	a moy
who is this	moy ɗo
who is	who is
whole	fu
whom	moy
who	moy
whose	je
why	koni
why not	ngam ɗume
wicked	halli
wide	yaaji
widow	debbo je gorko mayi
width	yajjol
wife	debbo
wild	je ladde
willing	ngida
will	wonan
win	daɗugo
wind	hendu
window	dammugal
windy	be hendu
wine	mbal
winter	ndungu
wipe	ustugo
wire	ɓoogol yite
wisdom	hikma
wise	mari hikma
wish	wish
wish you all the best	allah barkitina mon
witch	mistirijo
with	be
withdrawal	ittugo
withdraw	ittugo
within	nder
without	wala
witness	seedowo
witty	jalnan
wolf	nyamowo
woman	debbo
women	rewbe
wonder	boddenga
wonderful	kandudum
won	jalli
won't	footay
wood	leede
wool	gaasa
words	ngewte
word	wolde
working	kugal
work	kugal
work out	huwinugo ɓaali
world	duniya
worm	gilɗi
worn	hiɗi
worried	sakli
worry	nummol
worse	buri kallugo
worship	dewal
worst	hannay
worth	be daraja
worth it	deydey mara
worthy	mari daraja
would	yardi
wound	hudure
Wow	Kayaa
wrap	suudugo
wrath	ɓernde
wrist	jungo
Write here	Windu ha ɗo
write	windugo
writing	bindi
written	bindi
wrong	aybe
wrote	windi no
yard	saare
yawn	maɓɓitugo hunduko
Yeah	Oho
year	hittande
years	duɓɓi
yeast	is
yellow	bana ndiyam goro
yell	sikkugo
yes baby	oho giɗaɗo
yes dear	oho giɗaɗo
yes honey	oho beelere bernde
yes my love	oho giddado am
yes of course	oho be gonga
Yes	Oho
yesterday	kenya
yet	fahin
yield	roondugo
you	an
you are	an woni
you are beautiful	a woɗi
you are so beautiful	a woɗi masin
you are welcome	a jabbama
you can	a footi
You know	Aandi
young	sukka
you're welcome	a jabbama
you’re welcome	a jaɓɓama
your	ma
yourself	an man
your welcome	a jaɓɓama
youth	sukka
you too	an fu
yummy	welli
zero	wala
