a little	trocha
nice	miyło
nice to meet you	fajnie cie poznać
niece	siostrzynica
niece	bratanica
night	noc
nightmare	jankuryjo
nine	dziewiyńć
nineteen	dziewiytnoście
ninety	dziewiyńćdziesiōnt
No	Niy
no problem	niy ma problymu
no problem	bez problymu
no way	niy ma mowy
nobody	żodyn
noise	larmo
noisy	larmiyrski
none	żodyn
noon	połednie
nope	niy
nor	ani
normal	normalny
north	pōłnoc
nose	nos
nostalgic	nostalgiczny
not	niy
not at all	cołkym niy
not bad	niy ma źle
Not now	Niy teroz
not yet	jeszcze niy
note	zopiska
noted	ôdnotowany
nothing	nic
notice	roznajmiynie
noticed	dojzdrzany
noun	rzeczownik
nouns	rzeczowniki
novel	rōman
november	listopod
now	terozki
now	teroz
nowadays	teroźnie
nuisance	niydogodność
null	nul
numb	ôdryntwiały
number	numer
number	liczba
nurse	flyjgerka
nut	ôrzech
nutmeg	muszkat
nutrition	ôdżywianie
oath	przisiynga
obesity	rubość
obey	przestrzegać
obey	suchać
object	ôbiekt
objective	cyl
obligation	ôbowiōnzek
obscure	niyklarowny
observation	ôbserwacyjo
observe	fajrować
observe	ôbserwować
obsessed	zafiksowany
obsession	ôbsesyjo
obsolete	zastarzały
obstacle	zawada
obtain	dostać
obtained	dostany
obvious	ôczywisty
obviously	snadnōm rzeczōm
obviously	toć
occasionally	roz za kedy
occupation	zajyńcie
occupation	fach
occupied	zajynty
occur	trefiać sie
occur	zdrarzać sie
occurred	wystōmpiyła
occurs	wystympuje
ocean	ôcean
october	paździyrnik
odd	niyporzisty
odd	dziwny
odds	szanse
of	ôd
of	z
of course	toć
off	wyłōnczōny
offensive	ôfensywa
offer	propōnować
offer	ôferta
offer	zapropōnować
office	biōro
official	byamter
often	czynsto
Oh	Och
oh really	doprowdy
oil	ôlyj
ok	ok
ok dear	dobrze, dziubku
ok honey	dobrze, dziubku
ok my love	okej, serce
okay	okej
okay baby	dobrze, dziubku
okay dear	okej, dziubek
okay honey	dobre, dziubek
okay my love	dobre, dziubek
old	stary
on	na
once	roz
once	kedyś
one	jedyn
one	roz
one language is never enough	jedyn jynzyk nigdy niy styko
onion	cebula
onion	cebulowy
online	onlajn
only	ino
open	ôtwarty
open	ôtwiyrać
operation	ôperacyjo
opinion	ôpinijo
opportunities	możliwości
opportunity	możliwość
opportunity	przileżytość
opposite	ôpaczny
opposite	naprzeciwko
opposite	na ôpy
optimistic	ôptymistyczny
option	ôpcyjo
optional	ôpcyjōnalny
or	abo
orange	apluzina
order	porzōndek
order	rozkoz
order	rozkazować
ordinary	zwykły
organization	ôrganizacyjo
orientation	ôriyntacyjo
origin	pochodzynie
original	ôryginalny
Oromo	Oromo
orphan	siyrota
other	inkszy
otherwise	w inkszym razie
otherwise	w przeciwnym razie
ought	winiyn
our	nasz
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	Naszo misyjo: dozwolić wszyjskim i wszyndy zrozumiynie świata i wyrażanie siebie w roztōmajtych jynzykach.
Our mission: to organize the world's information and make it universally accessible and useful.	Naszo misyjo: poskludzać światowe informacyje i uczynić jy wszeôbecnie przistympnymi i przidajnymi.
out	zewnōntrz
out	aus
outcome	wynik
outfit	ôblyczynie
outfit	szaty
outgoing	kamracki
outgoing	ustympujōncy
outlet	wylot
outline	rys
outside	zewnōntrz
outstanding	doskōnały
outstanding	zaległy
oven	piec
over	bez
over there	tam
overall	ôgōlnie
overall	cołkym
overcome	pokōnać
overthinking	myślynie za wiela
overwhelmed	zbamōncōny
overwhelmed	zasuty
overwhelming	prziciśniynty
overwhelming	zasuty
owe	być winnym
owe	zawdziynczać
owl	sowa
own	posiadać
own	włosny
owner	posiedziciel
ox	wōł
pace	tympo
pack	paket
package	paket
paid	płatny
pain	bōl
paint	malować
paint	farba
painting	ôbroz
pair	pora
pale	blady
palm	palma
pan	kastrol
pandemic	pandymijo
panic	panika
pants	galoty
pants	batki
pants	spodnioki
paper	papiōr
paradise	raj
parallel	rōwnolygły
parcel	paket
pardon	ułaskawiynie
parents	ôjcowie
park	parkować
park	park
parrot	papagaj
parsley	petersyla
part	czyńść
part	tajla
participate	brać udzioł
particular	ôsobliwy
particularly	ôsobliwie
partner	partnyr
party	fajer
party	partyjo
pass	mijać
pass	przechodzić
pass	przepustka
passage	przejście
passed	przeszoł
passion	spodobanie
passion	pasyjo
passionate	namiyntny
passive	pasywny
password	hasło
password	parola
past	przeszły
past	przeszłość
patch	kōncek
path	ściyżka
pathetic	żałosny
patience	ciyrpliwość
patient	pacjynt
patient	ciyrpliwy
pattern	muster
pause	pauza
pavement	tretuar
pay	traktamynt
pay	płacić
payment	płat
peace	pokōj
peaceful	spokojny
peach	bruskwina
peak	wiyrch
pear	gruszka
peas	groch
peculiar	ôsobliwy
peculiar	indywidualny
peculiar	dziwny
pee	sikać
peel	szkrobać
peer	rōwny
peer	dziwać sie
peer	rōwniok
peers	rōwnieśniki
pen	filok
pencil	blajsztyft
pending	aże do
people	ludzie
pepper	pfeffer
pepper	korzynie
perceive	postrzygać
perceive	doziyrać
perception	percepcyjo
perfect	perfekcyjny
perfect	wyborny
perform	dokōnować
perform	wykōnować
performance	wydajność
perhaps	możno
period	ôkres
period	kropka
period	czas
permanent	permanyntny
permanent	stały
permission	zwōlo
permit	zwōla
perseverance	wytrwałość
persistent	wytwały
person	ôsoba
personal	ôsobisty
personality	karakter
personality	natura
perspective	perspektywa
persuade	namowiać
persuade	namōwić
pervert	frechowny
pet	pieścić
pet	dōmowe zwiyrza
phase	faza
phenomenon	zjawisko
philosophy	filozofijo
phone	telefōn
photo	zdjyńcie
photo	fotografijo
phrase	wyrażynie
physical	fizyczny
pick	ôbiyrać
pick up	podniyś
pick up	ôdebrać
picture	ôbroz
piece	kōncek
pieces	kōncki
pig	świnia
pigeon	gołōmb
pile	sztapel
pillow	zogōwek
pilot	pilot
pin	szpyndlik
pineapple	ananas
pink	rōżowy
pit	spodek
pitch	tōn
pitch	ciepać
pitch	szpilplac
pity	litość
pity	szkoda
place	miyjsce
place	plac
places	place
plague	plaga
plain	klarowny
plain	ajnfachowy
plain	rōwnina
plan	planować
plan	plan
plane	fliger
plane	płaszczyzna
plant	roślina
plant	werk
plant	sadzić
plants	rośliny
plate	plata
plate	talyrz
platform	platforma
play	grać
play	szpilać
play	puszczać
playing	szpil
pleasant	przijymny
please	dogodzać
please	prosza
please	proszymy
pleased	kōntynt
pleasure	przijymność
pleasure	uciecha
pledge	przirzeczynie
pledge	przirzekać
plenty	za tyla
plenty	mocka
plot	fabuła
plot	knuć
plug	szteker
plum	śliwka
plumber	hydraulik
plural	mnogie
podcast	podcast
podcast	suchowisko
poem	wiersz
poetry	poezyjo
point	skazować
point	cwek
point	pōnkt
poison	zatruć
police	policyjo
policy	polityka
polite	uprzyjmy
pollution	zniyczyszczynie
pond	stow
pool	basyn
poop	kupa
poor	biydny
pop	muzyka pop
popular	popularny
population	ludność
pork	świnina
porridge	hawerfloki
port	port
position	pozycyjo
positive	pozytywny
possess	posiadać
possession	posiadanie
possessive	zazdrosny
possible	możliwy
post	post
post	sztela
post	poczta
postpone	ôdłożyć
potato	kartofel
potential	potyncjoł
pound	fōnt
poverty	biyda
power	ynergijo
power	moc
power	władza
powerful	potynżny
practical	praktyczny
practice	praktyka
practice	ćwiczyć
praise	chwolić
praise	chwolba
prank	wybryk
pray	rzykać
precious	cynny
precise	precyzyjny
precisely	akuratnie
predict	przewidować
prefer	woleć
preference	preferencyjo
pregnant	w ciōnży
prejudice	uprzedzynie
premises	lokal
premium	prymijo
premium	premium
preparation	narychtowanie
prepare	rychtować
prepared	narychtowany
preposition	przijimek
presence	ôbecność
present	teroźny
presentation	prezyntacyjo
preserve	utrzimować
president	prezydynt
press	biglować
press	naciskać
pressure	ciśniynie
pretend	udować
pretty	fajny
prevent	zapobiegać
previous	piyrwyjszy
prey	zdobycz
prey	ôfiara
price	cyna
pride	parada
priest	kapelōn
primary	bazowy
prime	głowny
princess	princesa
principal	głowny
prior	przeōr
prior	piyrwyjszy
priority	priorytet
prison	hereszt
prison	wiynziynie
privacy	prywatność
private	gymajner
private	prywatny
privilege	prziwilej
prize	nadgroda
probably	prowdopodobnie
probably	nojpewnij
problem	problym
procedure	procedura
proceed	postympować
process	proces
produce	produkować
product	produkt
production	produkcyjo
profession	fach
professional	fachmōn
professional	profesjōnalny
profile	profil
profit	profit
profound	głymboki
progress	postymp
project	projekt
prominent	znaczōncy
promise	ôbiycka
promise	ôbiycować
promote	prōmować
promotion	sztajgniyńcie
prompt	podpowiydź
prompt	niyzawodny
prone	skłōnny
prone	na brzuchu
pronouns	zajimki
pronunciation	wymōwianie
proof	dowōd
proper	noleżyty
properly	ôdpednio
properties	statek
property	statek
proposal	propozycyjo
prospect	perspektywa
prosperity	dobrobyt
prosperous	dostatni
protect	chrōnić
proud	paradny
prove	dokozać
prove	dokazować
provide	zapewniać
provide	zapewnić
provided	dostarczōny
province	prowincyjo
provision	zaôpatrzynie
puberty	dojzdrzywanie
public	publiczny
pull	ciōngnōńć
pumpkin	bania
punctual	punktualny
pupil	szkolorz
pupil	uczyń
purchase	sprowōnek
pure	snożny
pure	czysty
purple	purpurowy
purpose	cyl
purse	tasza
purse	taśka
purse	portmanyj
pursue	dōnżyć
pursue	ścigać
pursue	porać sie
pursuit	pościg
push	ciś
push	naciskać
put	wrazić
put	wrażać
qualification	kwalifikacyjo
quality	jakość
quantity	wielość
quantity	liczba
quarantine	kwarantanna
quarrel	wadzić sie
quarrel	haja
quarter	sztwierć godziny
quarter	sztwierć roku
quarter	sztwierć
Quechua	Keczua
queen	krōlowo
queer	queer
query	spytanie
question	pytać
question	pytanie
queue	raja
quick	drabki
quick	wartki
quick	gibki
quickly	drabko
quickly	gibko
quickly	wartko
quiet	cichy
quilt	sztepdeka
quit	przestować
quit	przestać
quit	zrezygnować
quite	blank
quite	cołkym
quiz	quiz
quotation	cytata
quote	cytować
quote	cytata
quotes	cytaty
rabbit	krōlik
rabbit	mycok
race	rasa
race	wyścig
rage	szaleć
rage	ściykłość
rain	podać
rain	dyszcz
raise	dźwignōńć
raise	podwyżka
raise	dźwigać
raised	dźwigniynty
ran	lecioł
random	lōsowy
range	zakres
rapid	drapki
rapid	wartki
rapid	gibki
rapidly	drapko
rapidly	gibko
rapidly	wartko
rare	rzodki
rarely	rzodko
rash	wysypka
rat	szczur
rate	ôcyniać
rate	skaźnik
rather	radszyj
ratio	stosōnek
rational	racjōnalny
raw	surowy
re	ôdp
reach	siōngać
reach	zasiyng
reached	ôsiōngniynty
reaction	reakcyjo
read	czytać
reading	czytanie
reading	ôdczyt
ready	gotowy
real	prawy
real	autyntyczny
reality	rzeczywistość
realize	realizować
realized	ryalizowany
really	doprowdy
really	naprowda
really	richtich
rear	zadek
reason	argumyntować
reason	powōd
reason	rozum
reasonable	usōndny
recall	spōmniynie
receipt	paragōn
receive	dostować
received	dostoł
received	dostany
recent	niydowny
recently	niydowno
reception	przijyńcie
recipe	recept
reckless	lekomyślny
recognition	uznanie
recognition	poznanie
recognize	poznować
recognize	poznać
recommend	rekōmandować
recommended	zalycany
record	nagrować
recover	ôdzyskować
recovery	powrōt do zdrowio
recovery	naprawa
recovery	wydobrzynie
rectangle	prostokōnt
red	czerwōny
red	czerwiyń
redeem	ôdkupować
redeem	ôdbiyrać
redemption	ôdkupiynie
reduce	redukować
redundant	podarymny
refer	ôdnosić sie
refer	spōminać
reference	ôdniesiynie
reflect	ôdbijać
reflection	ôdbicie
refrain	unikać
refrain	refren
refrigerator	lodōwka
refund	refundacyjo
refuse	ôdkozać
refuse	ôdkazować
refused	ôdciepniynty
regard	zglōnd
regarding	we sprawie
regardless	niyzależnie
regardless	zōwizō
regards	pozdrowiynia
region	regiōn
register	registrować
register	regest
regret	żol
regret	żałować
regular	regularny
regularly	regularnie
reject	ôdciepnōńć
reject	ôdciepować
relate	ôpowiadać
relate	powiōnzać
related	powiōnzany
relationship	relacyjo
relative	zglyndny
relative	przociel
relatives	krewni
relax	ôdpoczywać
release	zwolniynie
released	wydany
released	puszczōny
relevant	ôdpedni
reliable	niyzawodny
relief	ulga
relieve	uśmiyrzać
relieved	ôdciōnżōny
religion	religijo
religious	religijny
reluctant	niychyntny
rely	polygać
rely	przekazować
remain	ôstać
remaining	ôstały
remarkable	niyôbyczajny
remarkable	niyzwykły
remedy	rozwiōnzanie
remember	pamiyntać
remind	spōmnieć
reminder	spōmniynie
reminder	ôstatek
remote	daleki
remote	zdalny
remove	usunōńć
remove	wyciepnōńć
remove	wychrōnić
render	rynderowanie
rent	nojym
repair	sprawōnek
repeat	powtorzać
replace	zastympować
reply	ôdpowiydź
reply	ôdpadać
report	report
report	reportować
report	protokōł
represent	reprezyntować
reputation	reputacyjo
request	żōndanie
request	prośba
require	wymogać
required	wymogany
rescue	retōnek
research	podszukowanie
resemble	spōminać
resentment	zgorszynie
reservation	rezerwacyjo
reserve	forant
reserve	rezerwa
resident	rezydynt
resign	rezygnować
resilience	ôdporność
resilient	ôdporny
resist	przeciwić sie
resistance	ôpōr
resolution	rezolucyjo
resolve	usōndzać
resort	Ôstrzodek wczasowy
resources	zasoby
respect	reszpekt
respond	reagować
response	ôdpowiydź
responsibility	zapowiedzialność
responsible	zapowiedzialny
rest	rest
rest	ôdpoczywać
rest	ôdpoczynek
rest in peace	spoczywej w pokoju
restaurant	restauracyjo
restore	prziwrōcić
restrict	ôgraniczać
result	wynik
results	wyniki
resume	wznowić
resume	wznowiać
retail	detaliczny przedej
retain	zachować
retention	retyncyjo
retention	zatrzimanie
retired	na pynzyji
retreat	wycofać sie
retrieve	ôdzyskować
retrieve	ôdzyskać
return	powrōt
return	wrocać
return	ôddować
reveal	pokozać
reveal	zdradzić
revealed	wyzdradziōł
revenge	pōmsta
revenue	przichōd
reverse	ôdwrocać
review	recynzyjo
revise	rewidować
revise	korygować
revise	poprawiać
revision	rewizyjo
revolution	rewolucyjo
reward	nadgrodzać
reward	nadgroda
rhythm	rytm
rib	ziebro
rice	ryż
rich	bogaty
rid	pozbywać
ride	jeździć
ridiculous	śmiyszny
right	prowda
right	prawy
right	prawo
right now	już teroz
rigid	sztajfny
ring	zwōnićl ring
ring	piestrzyń
rinse	płōkanie
rinse	płōkać
riot	zamiyszki
riot	zburzki
rip	rozrywać
rip	rozerwać
ripe	dojzdrzały
rise	wzrostać
rise	stować
risk	ryzyko
rival	rywalizować
river	rzyka
road	drōga
road	sztreka
roast	piyc
robust	akuratny
rock	berga
rock	chwioć
rod	prynt
role	rola
roll	rolka
roof	dach
room	izba
root	zdrzōdło
root	korzyń
rope	sznōra
rope	lina
rotten	zgnity
rough	chroplawy
roughly	mynij wiyncyj
round	runda
round	ôkrōngły
route	sztreka
routine	rutyna
row	wiosłować
row	raja
rub	trzić
rubber	gōmin
rubbish	abfale
rubbish	hasie
rude	rozwieziōny
rude	zbestwiōny
rug	tepich
ruin	rujina
ruin	rujnować
rule	prawidło
ruler	władca
ruler	lynijorz
rules	prawidła
run	lotać
run	biyg
run	lecieć
running	fungowanie
running	lotanie
rural	wiejski
rush	uwijaczka
rush	szwōng
rush	zimnica
sack	bojtel
sack	miech
sacred	poświyncōny
sacrifice	ôfiarować
sacrifice	poświyncynie
sacrifice	poświyncać
safe	bezpieczny
safe flight	bezpieczny flug
safety	bezpieczyństwo
sage	szałwijo
said	pedzioł
sail	zyjglować
sail	zyjgel
sailing	zeglarstwo
sake	zglōnd
salary	geltak
sale	przedej
salmon	łosoś
salt	sōl
same	to samo
same	tyn sōm
same	taki sōm
Same here	Tak samo tukej
sample	prōbka
sand	piosek
Sanskrit	Sanskryt
sarcastic	sarkastyczny
sassy	wygodany
sassy	dopolōny
sassy	pyskaty
sat	siedzioł
sat	siednōł
satisfaction	ukōntyntowanie
satisfied	kōntynt
satisfied	zadowolōny
satisfy	usatysfakcjōnować
satisfying	dogadzajōncy
Saturday	sobota
sausage	wuszt
savage	dziki
savage	dzik
savage	dzikus
save	spamiyntować
save	szporować
save	retować
saw	piyła
say	godać
say	prawić
scale	skala
scam	szulyrstwo
scar	szrama
scarce	deficytowy
scared	przestraszōny
scarf	szal
scary	ôkropiczny
scattered	rozsiany
scene	scyna
scenery	scyneryjo
scent	wōń
schedule	harmōnogram
school	szkoła
science	nauka
scientist	wyuczōny
scientists	uczōne
scientists	wyuczyni
scissors	nożyce
scissors	nożyczki
scold	ôbrzyczeć
scold	naryczeć
scope	zakres
score	wynik
scrap	ajza
scratch	zadropanie
scratch	szkrobać
scream	krzik
screen	ekran
screw	smolić
screw	szrōba
script	scynariusz
sea	morze
seal	sztympel
seal	foka
search	szukej
season	pora roku
season	sezōn
seat	zic
seat	siydziba
second	sekunda
second	drugi
secret	sekret
section	dzioł
section	sekcyjo
secure	zabezpieczać
secure	bezpieczny
security	bezpieczyństwo
see	widzieć
see you	chow sie
see you	miyj sie
see you later	do zoboczynio niyskorzij
see you soon	do zoboczynio hned
see you tomorrow	do jutra
seed	nasiōnko
seek	szukać
seem	wydować sie
seems	wydowo sie
seen	widziany
seize	zajōnć
seize	chycić
seizure	sekucyjo
seizure	napad
seldom	rzodko
select	ôbiyrać
self	siebie
self healing	samolyczynie
selfish	samolubny
sell	przedać
sell	przedować
send	wysyłać
send me your picture	poślij mi swoje zdjyńcie
senior	syniōr
sense	zmysł
sense	czuć
sense	syns
sensible	rozsōndny
sensitive	czuły
sensitive	delikatny
sent	posłany
sentence	zdanie
sentences	zdania
separate	ôsobny
separate	rozdzielać
Sepedi	Sepedi
september	wrzesiyń
sequence	sekwyncyjo
sequence	porzōndek
series	seryjo
serious	poważny
seriously	poważnie
serve	sużyć
serve	podować
serve	podać
service	nobożyństwo
service	zerwis
service	usuga
session	sesyjo
set	sztalować
set	kōmplet
set	nasztalowany
set up	ustawiać
setting	ustawiynie
settle	usōndzić
seven	siedym
seventeen	siedymnoście
seventy	siedymdziesiōnt
several	pora
severe	dotkliwy
severe	poważny
severe	surowy
sew	szyć
sh	cii
shade	ciyń
shadow	ciyń
shake	potrzōnsnōńć
shall	powiniyn
shallow	płytki
shame	gańba
shape	kształt
share	udzioł
share	dzielić
sharp	ôstry
she	ôna
she has	ôna mo
she is	ôna je
shed	szopa
sheep	ôwca
sheet	archa
shelf	pōłka
shell	powłōka
shelter	schrōniynie
shield	ôsłōna
shift	szychta
shift	pōmiana
shine	świycić
ship	szif
shipping	liferōng
shirt	hymda
shoes	strzewiki
shoot	strzylać
shop	sklep
shopping	sprowōnki
shore	wybżerze
short	krōtki
shortage	niydostatek
shot	szus
should	winiyn
shoulder	ramia
shout	ryczeć
shout	krziczeć
show	pokazować
show	program
show	serial
show me	pokoż mi
shower	dusz
shower	dyszcz
shower	brauza
shrimp	krewetka
shrink	zmyńszać sie
shrink	zestōmpiać sie
shut	zawrzić
shut up	trzimać pysk
shy	gańbiaty
sibling	rodzyństwo
siblings	rodzyństwo
sick	chory
sick	niymocny
side	strōna
sigh	westchniyncie
sight	wzrok
sight	doziyrać
sightseeing	zwiydzanie
sign	podpisać
sign	znak
sign	podpisować
signature	podpis
significant	znaczōncy
silence	cisza
silent	cichy
Silesian	Ślōnski
silk	jedbow
silly	niymōndry
silver	strzybro
similar	podobny
simp	ciupa
simple	ajnfachowy
simultaneously	we tym samym czasie
since	ôd
since	skoro
sincere	szczyry
sincerely	szczyrze
sing	śpiywać
singer	śpiywok
single	singel
single	pojedynczy
sink	ausgus
Sir	Pōn
sister	siostra
sister in law	szwigra
sit	siedzieć
site	miyjsce
situation	sytuacyjo
six	szejś
sixteen	szesnoście
sixty	sześdziesiōnt
size	miara
size	srogość
skill	kōnszt
skills	kōnszty
skin	skōra
skinny	płōny
skip	podskakować
skip	pōminōńć
skip	skok
skirt	kecka
sky	niebo
slave	niywolnik
sleep	spać
sleep	śpik
sleeping	spanie
sleepy	synny
sleeve	rynkow
slice	kōncek
slice	kraiczek
slide	slajd
slide	sjechać
slide	sjyżdżać
slightly	kapka
slightly	leko
slim	szczupły
slip	ômōłka
slip	ukiołzdniyńcie
slip	karteczka
slope	nachylynie
slot	ôtwōr
slow	powolny
slowly	poleku
small	mały
smart	mōndry
smell	wōniać
smell	wōń
smile	uśmiychać sie
smile	uśmiych
smoke	polić
smooth	gładki
snack	przekōnska
snack	maszket
snail	ślimok
snail	szneka
snake	szlauch
snake	wōnż
snap	trzask
snap	łōmać
snow	śniyg
so	tōż
so	tak
so cute	taki słodki
so far	dotynczos
soak	moczyć
soap	mydło
sober	trzyźwy
soccer	fuzbal
social	społeczny
society	towarzistwo
society	społeczyństwo
socks	fuzekle
socks	zoki
soft	miynki
software	ôprogramowanie
soil	gleba
sold	przedany
sold out	wyprzedane
soldier	wojok
sole	zola
solid	solidny
solid	stały
solution	rozwiōnzanie
solve	rozwiōnzować
some	trocha
some	jakiś
somebody	ftoś
somehow	jakosi
someone	ftoś
something	coś
something	cosik
sometimes	niyroz
sometimes	czasami
sometimes	czasym
song	śpiywka
soon	hned
sophisticated	wyrafinowany
Sorani	Sorani
sore	rana
sore	ôbolały
sore throat	bolōnce garło
sorrow	żol
Sorry	Przeproszōm
Sorry	Wybocz
sort	zorta
sort	zortować
sought	poszukowany
soul	soul
soul	dusza
soul	duch
soulmate	bratnio dusza
sound	klang
sound	źwiynk
soup	zupa
sour	kwaśny
source	zdrzōdło
south	połednie
space	kosmos
space	przestrzyństwo
space	plac
spam	niychciano korespōndyncyjo
spam	spam
span	zakres
Spanish	hiszpański
spare	uszporować
spare	na ibrich
spare	ibryczny
speak	godać
speak	prawić
special	ekstra
species	gatōnek
specific	kōnkretny
spectacular	spektakl
spectacular	spektakularny
speech	przemōwiynie
speechless	ôniymiały
speed	wartkość
spell	literować
spell	zaklyńcie
spend	spyndzać
spend	wydować
spent	spotrzebowany
spicy	pikantny
spike	sztachel
spin	ôbrōt
spin	kryńcić
spinach	szpinat
spirit	duch
spit	pluć
splendid	perfekt
split	dzielić
split	podzielić
spoil	wziōntek
spoil	zepsuć
spoil	psuć
spoiled	rozwiedziōny
spontaneous	spōntaniczny
spoon	łyżka
spot	kropka
spot	dojzdrzeć
spot	miyjsce
spouse	ślubny
spread	rozprzestrzyniać sie
spring	wiosna
square	plac
square	kwadratowy
square	kwadrat
squeeze	ściskać
squid	kalmar
squirrel	wywiōrka
st	św.
stab	zasztyletować
stable	masztalnia
stable	sztabilny
stack	sztapel
staff	kryka
staff	sztab
staff	persōnel
stage	faza
stage	scyna
stain	flek
stairs	słody
stake	stowka
stalk	sztyngel
stall	sztand
stamp	sztympel
stand	sztand
stand	stoć
stand	sztynder
standard	sztandard
star	gwiozda
start	sztartować
start	sztart
started	napoczynty
started	sztartnōł
starving	głodujōncy
state	stōn
statement	poświadczynie
station	sztela
statue	dynkmal
status	status
stay	ôstować
stay	ôstać
stay	pobyt
stay safe	bydź bezpieczny
steady	stały
steak	stek
steal	porwać
steal	kraś
steam	para
steel	ôcyl
steep	strōmy
stem	blezeruła
stem	sztyngel
step	krok
stick	tkać
stick	klejić
stick	kij
stiff	sztajfny
still	durch
still	spokojny
still	cichy
sting	żōndło
stingy	chamliwy
stir	miyszać
stir	zamiyszać
stock	skłod
stock	akcyjo
stolen	skradziōny
stolen	zachabiōny
stomach	żołōndek
stone	kamyń
stood	stoł
stool	stolec
stool	stołek
stop	stować
stop	sztopować
storage	magazynowanie
store	sklep
store	trzimać
storm	sztorm
storm	burza
story	historyjo
stove	piec
stove	kuchynka
straight	prosty
straightforward	prosty
strain	szapnować
strain	szpana
strange	dziwny
stranger	cudzy
strategy	strategijo
straw	sōma
strawberry	podzimka
streak	pasmo
stream	strumiyń
street	sztrasa
street	ulica
strength	siyła
stress	sztres
stress	akcynt
stress	podkryślać
stretch	rozciōngać
strict	surowy
strike	trzasnōńć
strike	sztrajkować
strike	sztrajk
string	struna
string	strunowy
strip	seblykać
strive	starać sie
stroke	udar
stroke	szlag
stroke	głoskać
strong	mocny
struck	trzaśniōny
structure	struktura
struggle	walczyć
struggle	bōj
struggle	staranie
struggling	zmogajōncy sie
stubborn	uparty
stubborn	zaparty
stuck	wbity
stuck	zaszperowany
student	sztudynt
student	szkolorz
study	podszukowanie
study	uczyć sie
study	podszukować
studying	uczynie sie
stuff	filować
stuff	rzeczy
stunning	zachwycajōncy
stunning	szumny
stupid	gupi
style	styl
subject	tymat
submission	zgłoszynie
submit	wysyłać
submit	skłodać
submit	wysłać
substance	substancyjo
substance	treść
substitute	zastōmpić
substitute	zastympować
subtle	subtelny
succeed	ôdniyś sukces
success	sukces
success	powodzynie
successful	udany
successful	zwyciynski
such	taki
such as	jak
suck	cyckać
sudden	nogły
suddenly	naroz
suffer	ciyrpieć
suffering	ciyrpiynie
sufficient	stykajōncy
sugar	cuker
suggest	sugerować
suggestion	dorada
suit	pasować
suit	ôblycze
suit	ancug
suitable	ôdpedni
suitcase	kofer
sum	suma
summary	skrōcynie
summer	lato
summit	tref
summit	szczyt
sun	słōńce
sunday	niydziela
sunny	słōneczny
sunset	zachōd słōńca
sunshine	słōńce
super	super
super	szumnie
superior	pyszny
superior	lepszy
supervisor	kerownik
supper	wieczerzo
supply	podaż
supply	liwerować
supply	zaôpatrzynie
support	podpora
support	sparcie
suppose	przipuszczać
supposed	przipuszczalny
sure	zicher
sure	pewny
sure	toć
surface	powiyrchnia
surge	skok
surgery	ôperacyjo
surgery	chiyrurgijo
surname	nazwisko
surprise	niyspodzianka
surprised	udziwniōny
surrender	poddać sie
surrender	poddować sie
surrounding	ôbtoczajōncy
surveillance	dozōr
survey	anketa
survive	przetwać
suspect	podyjzdrzywać
suspect	podyjzdrzany
suspended	zawieszōny
suspicious	podyjzdrzany
sustain	podtrzimować
sustainability	wyważōny rozrost
sustainable	zrōwnoważōny
sustainable	twały
swag	aszynie sie
swag	łup
swallow	łykać
swap	umiyniać
swear	przisiōngać
swear	przeklinać
sweat	pot
sweat	pocić sie
sweater	cwiter
sweep	śmiatać
sweet	słodki
sweet dreams	słodkich snōw
sweet tooth	słodke zymby
sweetheart	serce
sweetheart	serduszko
swell	puchnōnć
swell	brnieć
swelling	puchniyncie
swim	pływać
swimming	pływanie
swing	huśtawka
swing	husśtać sie
switch	zamiyniać
switch	szalter
swollen	ôpuchniynty
sword	miecz
symbol	symbol
sympathy	spōłczucie
symptoms	ôbjawy
system	systym
table	tabula
table	stōł
tackle	przibory
tag	etyketa
tail	ôgōn
take	brać
take	weznōńć
take away	na wynos
take care	chow sie
take care	dować pozōr
take care	dbać
take off	sztartować
take off	seblykać
taken	zajynty
taken	wziynty
talk	ôzprawiać
talkative	rozgodany
talkative	kōmunikatywny
tall	wysoki
tap	tykać
tap	kokotek
tape	banda
target	cyl
task	zodanie
taste	kosztować
taste	smak
tasty	smakowity
taught	nauczōł
taught	uczōny
tea	tyj
teach	uczyć
teacher	rechtōr
team	manszaft
team	zespōł
tear	lza
tear	drzeć
tears	płaczki
tease	berusić
technology	technologijo
teeth	zymby
tell	pedzieć
tell	padać
tell me	powiydz mi
temper	hartować
temperature	tymperatura
temple	świōntynia
temporary	tymczasowy
ten	dziesiyńć
ten thousand	dziesiyńć tysiyncy
tenant	najymca
tend	ôpiekować sie
tend	mieć tyndyncyjo
tendency	tyndyncyjo
tender	czuły
tense	napniynty
tension	szpana
tent	celt
tentative	niypewny
term	kadyncyjo
term	termin
terms	warōnki
terrible	ôkropiczny
terrible	żadny
terrific	ôkropiczny
terrific	żadny
territory	terytorium
test	test
test	testować
text	tekst
than	jak
than	aniżeli
thank	dziynkować
thank you	Dziynkuja
Thank you for your patience while we investigate shipment	Dziynkujymy za ciyrpliwość w czasie ôbadowanio przesyłki
thank you so much	dziynkuja piyknie
thank you very much	dziynkuja piyknie
thanks	dziynki
