a	Jun
Oh	tib´aj
oh really	ax
oil	aseyt
ok	b´anatz´un
ok dear	b´a´antz´un
ok honey	kutzin k'ujlab'il
ok my love	kutzen
okay	b´anatz´un
okay baby	b´ana tzun nex
okay dear	kutzen
okay honey	kutzen
okay my love	kutzen
old	ojtxi
old	xjoq´
on	toj
once	ju maj
one	jun
one language is never enough	qa nim yol b´an
onion	sb'oy
onion	xnakite
online	kub'ku
only	t-junilx
only	jiq´ijil
open	jaql
open	jqle
open	jqo´n k´ab´li
operation	operacion
opinion	t-b´isel tib´aje lo
opportunities	anb'il
opportunity	anb´il
opposite	tmaqb´il
optimistic	tbʼanel
option	toj tumel
optional	onbʼil lu
or	moqa
orange	lanch
order	txolb´il
ordinary	chi ma ik'x
organization	chemb'l
orientation	qmal nab'il
origin	tlok´
original	axixju
Oromo	Oromo
orphan	meb´a
orphan	yaj
orphan	b´eyb´il
other	juntl
otherwise	me mya lo
ought	jaku tzʼoknin
our	qe
our	qeya
our	qe´y
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	aju q'xime: te q´kaq´il tun tok ojtzq´et twitz tx´otx´ex tun txi qmet toj alux yol
Our mission: to organize the world's information and make it universally accessible and useful.	aju q'xime: tun txi q'mete toj nuk'un te tnam ex t'un ko'k te ajb'en
out	ex
out	exil
outcome	tuʼntzunju
outfit	ijb'aj
outgoing	ma tz'el
outlet	tzexa tzala
outline	q´amalte
outside	pen
outstanding	jawil
outstanding	tx'aql
outstanding	tx'aqle
oven	jorn
oven	wosb´il
oven	tz´i´lsb´i´l
over	tibaj
over there	chixa
over there	tzachi´n
over there	chix
overall	k´aq´il
overcome	tikʼx
overthinking	b'isil
overwhelmed	n-qo ja ka´yen ti´j
overwhelming	tq'optz'an
owe	k'as
owl	tukru
own	weye
owner	tajwil
ox	tman wakx
pace	tiky'xil xjal
pack	n-a
package	b'otz'
paid	choj
paid	chojb´il
pain	k´ixk´o´j
paint	uk´sil
painting	tk'wa'
pair	kab'
pale	smuq´in
palm	xa'j
pan	pan
pandemic	pandemia
panic	xob'jil
pants	wexj
paper	uj
paradise	tbʼanel najbʼil
parallel	mujtten
parcel	nim awal
pardon	ko'pil
parents	mamb'aj
parents	manb'aj
park	park
parrot	tnuq
parrot	tnuqil
parsley	rejil
part	q´esin
participate	yek´il
particular	ikxje
particularly	particularmente
partner	quk´e
party	nimq´ij
party	ninq´ij
pass	iky´tz
pass	iky´
passage	iky'
passed	ma tz´ik
passion	qa tun t-b´ant
passionate	txqan
passive	tuq'li
password	tal ja
past	ma k´ej
patch	xb´uqb´il
path	b'e
pathetic	mya wen ka´yen
patience	noqx samel
patient	yab´
pattern	nejinil
pause	yoma
pavement	ttxa´nklab´
pay	choj
pay	chojb´il
payment	chjol
peace	nak´i´l
peace	numb´il
peace	txub´txaj
peaceful	mintiʼ in che qʼojin
peach	trasni
peach	trasin
peach	taxan
peak	tuk´b´il
peak	twi´ittzi
peak	tz´i
pear	jaxab lob'aj
peas	chenaq'
peculiar	aju in bʼant kyuʼn
pee	tz´a´lil
peel	txk´omil
peer	tuk´il
peers	t-xb'oj
pen	tz´ib´ab´il
pencil	sb'qtz'ib'b'il
pending	na´m
people	xjal
pepper	pimient
perceive	ximil
perception	tzen n-xi q-kayen
perfect	b´a´n
perform	b´inchalte
performance	yek´el
perhaps	qapa
perhaps	qaj
period	amb´el
permanent	n-kij
permission	permis
permit	amb´il
perseverance	tbʼanel techel
persistent	te jumajx
person	xjal
personal	aq´anal
personality	xjalil
perspective	kayet
persuade	b´inchel tun ky-ni´men
pervert	nach
pet	alu'maj
phase	amb'al
philosophy	txunab'il
phone	yolb´il
photo	tilb'ilal
phrase	yoxchi'
physical	xmilal
pick	sik´olte
pick	tzakj
pick up	tun t-yet
picture	tilb´ilal
piece	taqiky´
pieces	tmojchaq´
pig	b´och
pigeon	xkawaste´
pigeon	xu´ch
pile	k´loj
pile	job´an
pillow	q´axweyj
pilot	yekil
pilot	choqol
pin	b'aq
pineapple	matzjti'j
pink	b'ech
pit	jul
pitch	matz'k'
pity	q´obaj
place	tenb´il
places	k'ayb'il
plague	kʼixbʼisabʼil
plain	twutz tx´otx´
plan	nuk´il
plane	k´xlip
plant	k´ul
plants	k´ul
plate	techil totx´
play	saqchal
playing	saqchal
pleasant	k´ok´j
please	bichanxa Xtalbil
pleased	k´uw
pleasure	k´okj
pledge	tuʼn tbʼant jlu kyu
plenty	nimxix
plot	anq'ib'il
plug	xikyb´txaqb´il
plum	chky'anan
plumber	b'inchil tub'
plural	nimsal
podcast	nchi yolin
poem	pakab´
poetry	pakab´
point	t´ak
poison	venen
police	xq'uqil
policy	kawil
polite	ponex xjal
pollution	yajel tx´otx´
pond	matij pil
pool	piscina
poop	txa'
poor	meb´a
poor	yaj
pop	laq'in
popular	jotx wutzqilte
population	tnam
pork	b´och
porridge	sqal
port	tziplow
position	tzen tayey
positive	qo b´isen b´a´n
possess	etzil
possession	etzal
possessive	lak'in
possible	iktzen
post	chik´b´a´n
postpone	toj jumajtil
potato	sq´al
potential	tipumal
pound	ka'yla'j
poverty	yaj
poverty	b´eyb´il
power	tipumal
powerful	kumil
practical	nya kwest
practice	b´inchal
praise	jun yol b´an ti´je
prank	yaq
pray	naʼn dios
precious	b´anil
precise	ikja
precisely	ikyjo
predict	q'mal
prefer	qa tajb'ila
pregnant	nya b´an
pregnant	ch´onwi´
prejudice	xmayil
premises	ja jatumel
premium	tb'anel
preparation	b'inchet
prepare	b'inchalte
prepared	b´inchan
presence	ktel
present	jalin
presentation	yekbʼil
preserve	k´ulte
president	nejenel
press	yiq´ob´il
press	b´etz´b´il
pressure	tipomal
pretend	taj tun tok
pretty	tb´anil
prevent	ka´ayil ti´j
previous	nejtil
prey	tzyu'n
price	twi
pride	nimaltib'
priest	ajb'ech
primary	txexnaq´tz
prime	winaq
principal	winaq
prior	nam taq
priority	iltij
prison	jpub´il
privacy	okx qe tajwil
private	te tajwi
privilege	tbʼanel ambʼil
prize	chojb´al
prize	kotzalalb´il
probably	kab´ale
problem	q´oj
procedure	ja ma tzaje
proceed	kxel b´inchet
process	qe tqiky´
produce	b´nchalte
product	k´ax
production	b'ichal yekil
profession	in che aqʼunan
professional	ajb´inch
professional	aju´j
profile	plaj
profit	kanb´ab´il
profound	txe'
progress	ch'iysb'il
project	aqʼuntl
prominent	q´anchal
promise	kxel q-b´inchen
promote	n-jax
promotion	k'loj
prompt	junratx
prone	nya kwest tu'n
pronouns	xelb´ib´aj
pronouns	txelb´ib´aj
pronunciation	qʼamanxa qe yol klarxix
proof	niky'b'eb'il
proper	b´a´n
properly	qe
properties	tajwil
property	iltij
proposal	txi yek´et
prosperity	tzalaj
prosperous	qʼinin
protect	k´ayil
proud	tjonk´u´
prove	yek´b´il
provide	q'olte
provided	ma tzajtq'on
province	kojb'il
provision	amli´
puberty	kuʼxin
public	qexjal
public	te kyaqilx
pull	xo´l
pumpkin	mukin
punctual	toj amb'il
pupil	xnaq´tzanjtz
purchase	loq´aj
pure	sjanen
purpose	Tikb´antel
purse	tb´el pwaq
pursue	joyil
pursue	jyol
pursuit	joyil
pursuit	jyol
push	lamo´n
push	jpu´n
put	qolte
qualification	tajlal xnaq'tz
quality	t-kayb´ajtz
quantity	tqan
quarantine	qokx jpet
quarrel	b'uj
quarter	te kyaje
Quechua	quechua
queer	ti tzun la
query	jyonkuxa
question	xjel
queue	tje
quick	q´ela
quick	q´exa
quick	ojq´ela
quickly	ojqel ch´intl
quickly	ojqel
quiet	chu´chil
quilt	watb'il
quit	leb´il
quite	nim
quiz	yek´il
quotation	b'il twi'
quote	b´il twi´
quotes	b´il twi´ kax
rabbit	xiky
race	rinel
rage	ttx'u'jil
rain	xb'al
raise	matijset
raised	ma jaw twi'
ran	ma rinin
random	noq ja
range	jaxex
rapid	jalinxix
rapidly	oxqelx
rare	alkelaya
rare	bisil
rarely	mya jotx maj
rash	aq'unal
rat	ich´
rate	t-wi´
rather	te txel
ratio	tiʼ toklen
rational	mas b'an
raw	cha'x
re	re
reach	kanol
reach	xikan
reach	se´l
reached	ma k´ub´tij
reaction	tmod
read	aj-u´j
reading	ujil
ready	ma qo b´ant
real	twutx
reality	ikja
realize	kayinxa
realized	ma ti la
really	iktzen
rear	xo´pj
rear	xo´pb´aj
reason	txolil
reasonable	ximil
recall	nalte
receipt	ma tz´okx
receive	k´amol
received	ma tzok k´amona
recent	etzqeku
recently	tzma x-b´aj
reception	ttziʼ
recipe	tu´jal
recipe	q´anb´il
reckless	nti txob´el
recognition	toklen
recognize	niky'tzil
recommend	o´qxenil
recommended	oq´xenil
record	ni juntl o japen ti´j
recover	tten juntl maj
recovery	ma tz'ajtz
rectangle	xqin
rectangle	xqinswej
red	k'eq
redeem	tx'exb'il
redemption	kyanmi
reduce	much´jsal
reduce	nuchsal
redundant	axjo
refer	tun txi q-sma´n
reference	b´ilte ti´j
reflect	yekʼbʼil
reflection	ximil
refrain	yoma
refrigerator	cheysb´il
refund	q'ol tx'el
refuse	ik'il
refused	ma tzel ik´in
regard	ti´j
regarding	el q´ib´aj
regardless	extzen ikje
regards	q´olb´el
register	in tzaj kyqʼamaʼn uʼj
regret	tzul toj tk´uja
regular	b'a'nx b'a'n ch'in
regularly	kukxjo
reject	ik´il
relate	kyqʼamaʼn
related	tok ti´j
relationship	tuk´e
relative	relativo
relatives	witzel
relax	qo lajen
release	tzaqpil
release	tz´loja´
released	me tzel k'opin
relevant	iltij
reliable	q´uqb´il k´u´j
relief	b'a'nnixix
relieve	q´amalte
relieved	q'anin
religion	okslab´l
religious	okslal
reluctant	jun lu´n reacio
rely	q´uqk´u´jil
remain	axtz'u tenkuya
remaining	ch'intl
remarkable	q'anchal
remedy	ti'chaq
remember	k´u´jlal
remind	n´al
reminder	nalte
remote	n-qo manejaren ti´j naqche
remove	yekil
remove	yukchil
render	majil
render	majnal
rent	majil
repair	saqsan
repeat	kyq´amantza
repeat	kyxnik´b´entza
replace	txel
reply	tz'aq' wel
report	n-tza t-q´man
represent	xel
reputation	q-b´ijte
request	q'anilte
require	wajb´le
required	q'anilte
required	iltij
rescue	klet
research	qe ajxpich'il
resemble	chi ma ikx
resentment	q'oj
reserve	ab'tzil
resident	te tzalu'n
resign	il tiʼj tuʼn tkyaj ttzaqpiʼn
resilience	tjaw weʼ t-xima
resilient	tipumala
resist	nik'x
resistance	ntipa
resolution	tzen kxel b´inchet
resolve	t-xi kybʼinchaʼn
resort	tb'anel ja
resources	nim at te
respect	nimb´il
respond	tzaq´wel
response	tz'aq'wel
response	tzaq'wel
responsibility	matoklen
responsible	xjal b´an b´isen tun t-b´an tu´n
rest	ojlal
rest in peace	chab´a tz´ojlan
restaurant	nimwab´il
restore	k'awil wab'j
restrict	mi tun toktz
result	t-pak´b´al
results	tuʼntzunju
resume	taltqanil
retail	jun netz´ k´ayel
retain	tzyuma
retention	wab´il
retention	wa´lb´il
retreat	retiro
retrieve	tten juntl maj
return	meltz'il
reveal	q'malte
revealed	ma txi tnam
revenge	t-xel
revenue	k'anb'abil
reverse	tijxi
review	k´ayilte
revise	k'ayilte
revision	k'ayilte
revolution	chʼixpubʼil
reward	chojb´al
reward	kotzalalb´il
rhythm	ajqelil mo cheb'a
rib	xuk´b´aj
rib	tchil
rib	xu´k´b´aj
rice	saqji'l
rice	saqtriy
rich	q´inon
rid	tzaqpil
ride	wa'b'il
ridiculous	q-tzeb´el
right	b´an
right now	jalin
rigid	kuj
ring	xmilq´ab´aj
ring	xmilq´ob´j
rinse	numsil
riot	wulil
rip	laqin
ripe	q´an
rise	jax toj kya´j
risk	nya bʼaʼn
rival	ajq´oj
river	a´
road	b´e
roast	tx'ilin
robust	ma'
rock	ab'aj
rod	tze
role	role
roll	tolu'j
roof	yek´b´itz
room	toj ja
root	tloq'
root	txe'
rope	ech
rotten	q´anaq
rotten	q´aynay
rough	xnak´
roughly	ma'xpa
round	t´ol
route	b'e
routine	axju b'inchet
row	txol.
rub	tok´tz tib´aj
rubber	xqechb´il
rubbish	tz´is
rude	kuj
rug	b´etb´il
rule	jikyb'il
ruler	jikyb´il
rules	tal kawb'il
run	qelaj
run	rinil
run	qelan
running	qelaj
running	rinil
running	qelan
rural	toj aldea
rush	ch'akajlab'il
sack	ch'u'x
sack	ch'x
sacred	xjan
sacrifice	tun txi oyet
safe	axix
safe flight	q'uqil tk'uj
safety	xq'u'q'il
sage	qawaj
said	ma tma
sail	aja'yil
sailing	aja´yil
sake	b´an
salary	twi´ k´u´j
sale	k'axjil
sale	k'a'x
salmon	kix
salt	atz´in. atz´an
same	ajxu
Same here	ikx tzalan
sample	yekb'il
sand	tz´awin q´uq´
Sanskrit	Sanskrit
sarcastic	yolb'il
sassy	atrevido
sat	ma kuqe
satisfaction	ttzalaja
satisfied	ma noj
satisfy	k'ok'j
satisfying	qeb´ni tk´u´j
Saturday	qaq´ij
savage	te ch´um
save	k'u'lte
save	k'u'l
saw	ma til
say	chitzan
say	q´amal
say	chi
scale	t-we´
scam	ma k´u alq´an
scar	tiky'len
scarce	ch´in
scared	xob'il
scared	sik´pul
scarf	potzb'il q'qul
scary	xob´el
scattered	chitil
scene	txokbʼil
scenery	chʼixpubʼil
scent	k´okj
schedule	amb´el
school	tja xnaq'tzb'l
science	xnaq´tzb´il kyten xjal
scientist	ajnab'xix
scientists	sjnab´xix
scissors	ch'ers
scold	ilil
scold	wulil
scope	tpon kanin
score	taq'b'il
scrap	tz'is
scratch	skyet xkatil
scream	sch'il
screen	tilb'ilalb'il
screw	klawo
script	wa´b´il
sea	plow
seal	tipun
seal	otx´
search	joyb´aj
season	xkotzb'il
seat	q'ajtz
second	tkab'
secret	jask'ul
section	k'loj
secure	axix
security	xq´uq´il
see	kayil
see you	qa q'ib'
see you later	qa wila nej
see you soon	qa wila nej
see you tomorrow	qa wila nejchij
seed	ijaj
seek	jyol
seem	chi ma ikx
seems	chi ma ikx
seen	ma ku k'ayin
seize	k'wal
seize	k'al
seldom	junjin maj
select	jk'ol
self	xilen
self	a
self healing	kykʼujlabʼil
selfish	xk'a
sell	k'ayilte
sell	k'ayil
send	q´olte
send me your picture	q´ontza jun tilb´ilala
senior	qman
senior	tat
sense	bab'il
sense	tzeb'il
sensible	kub' tna'n
sensitive	nxi q-sentiren
sent	ma xtx´i
sentence	txolyol
sentences	n'ajl dios
separate	pa'n
separate	pa'in maj
Sepedi	Sepedi
september	tb´exjaw
series	q-kayb´el
serious	axix
seriously	twitzxix
serve	ajb´el
service	ajb´el
session	amb'il
set	tkub´
setting	tx´uk´
settle	qeyb´etz
seven	wuq
seventeen	wuqlaj
seventy	oxk´al laj
several	txqan
severe	kuj
sew	tzol
sew	slepil
shade	lek´in
shadow	tewin
shake	qusb'il
shake	chtol
shall	ma txi ya atz
shallow	b'otz txe
shame	ch´ixb´il
shame	tx´ixwa
shame	tx´ixaw
shape	tten. txolb´al
shape	nak´ul
shape	tz'an tten
share	oyil
share	etzat ti´yax
sharp	kchil
she	a
she has	a ti te
she is	a
shed	kyja chej
sheep	rit
sheet	tx´an uj
shelf	yek´b´il k´axjel
shell	i'jb'aj
shelter	pa´til
shelter	ewil
shelter	kolb´aj
shield	txo'w
shift	tokex
shine	qopil
ship	nim tib´aja´
shipping	q´ol
shirt	kamixay
shoes	xjab´
shoot	xol q'aq'
shop	k´ayil
shopping	loq'il
shore	mlaj
short	xtok´
short	xkut
shortage	chin
shot	sqach tzaq´
should	tu´ntle
shoulder	semu´l
shoulder	semiil
shout	xch'il
show	yek´il
show	yek´al
show me	yekintza
shower	txi su´l ti´b´
shrimp	txo´m
shrink	k'oli
shut	jpulte
shut	jpul
shut up	numek´uya
shy	tx´ixb´el
sibling	itzikyb´aj
sibling	Atzikyb´aj
siblings	xib´an
siblings	wanab´e
siblings	anb´aj
sick	yab´
side	txlaj
sigh	b'sil
sigh	jiq'chil
sight	kayb'il
sightseeing	pasialil
sightseeing	b'til
sign	sqitil
signature	sqitil
significant	tilel
silence	nakb´il
silent	nakb'l
silent	xur
silk	chub'
silly	xnak´
silver	t'ab'
similar	ch'i ma ik'x
simp	xnak
simple	noq
simultaneously	ax ikx
since	axix toj
sincere	axix
sincerely	axix
sing	b'itzil
singer	b´itzil
single	n-junale
sink	tkub´il a´
Sir	qman
Sir	tat
sister	anab´
sister in law	b´alak
sister in law	b´aluk
sit	q´ek´uya
sit	q´uqli
site	k'a'yb'il
situation	tzen tayey
six	qaq
sixteen	qaqlaj
sixty	oxk´al
size	jni twe'
skill	junpaqx
skills	junpaqx
skin	chib'jil
skinny	slak´
skinny	slenk
skip	t´ikypajil
skip	t´ikypaj
skirt	mutz´amaj
sky	kya´j
slave	yajin xjal
sleep	tal
sleep	wtal
sleep	ktal
sleeping	tal
sleeping	wtal
sleeping	ktal
sleepy	yolok´ watle
sleeve	tq'ob
slice	nik'jen
slide	q´itil
slightly	cheb´e taj
slim	slik'
slim	slak'
slip	ma ja q'itj
slope	tzaqʼwet
slot	jul
slow	chab´a
slowly	chab´a
small	mux. nuch
small	b´o´s
smart	q´tik´
smell	siqil
smile	tz´e´l
smoke	sich´il
smooth	chab´a
snack	tchi'
snail	xjul
snail	xleky
snake	kan
snap	pa'l
snow	ch'ew
so	Yajtzutz
so cute	tb´anil
so far	chaq´
soak	aktzan
soap	q´eq
sober	mya k'walq'e'n
soccer	xpo'tzil
social	ch'uqxjal
society	ja otoye
socks	ma'l
soft	chab'a
soft	tu'nxtib'
soil	tajq´xjab´
sold	k´ayin
sold out	siktenil
sold out	mixitl
soldier	pint
sole	o´kx
solid	xpint
solid	ajq´oj
solution	n-xi q-b´inchen tun t-b´ant jun lu´n
solve	jyol tumel
some	junjun
somebody	jun qe la
somehow	ikyjo
someone	a tix juntl
something	jun lu´n
sometimes	atmaj
sometimes	wechaq
song	b´itz
soon	chinxtil
sophisticated	b´an yeken tib´
Sorani	Sorani
sore	n-cho´n
sore throat	chun
sore throat	ky´ixk´aj q´ulle
sore throat	chunaq. chumb´aj
sorrow	b'isb'il
Sorry	najsama
sort	nik'ul
sought	joyb´aj
sought	injyojtz´
soul	anmi
soulmate	xjal ikxje tzenku awe
sound	siqmal
sour	tx'am
source	kuj
source	kyiw
source	kaw
south	tajatz ta´w
space	temb´il
spam	jun correo mya wen
span	tipaj
Spanish	kyol mos
spare	ma qe ch´in
speak	yolil
special	Tb´anil
species	tk'ujil
species	wiq
specific	axexje
spectacular	ka´yb´itz
spectacular	kib´itz
spectacular	yek´b´il
speech	yolina
speechless	mixti nyolin
speechless	ti nyolin
speed	tzʼok tilil
spell	q´mal
spend	nojsal
spend	najsal
spent	ma ku b'aj
spicy	yab´
spike	le'ch
spin	sutil
spin	sutlal
spirit	xewb'aj xjan
spit	tzub´il
splendid	tb'anel
split	palte
spoil	chajilte
spoiled	nq´ayj
spoon	talpak´
spot	t'ak
spouse	xu'jilb'aj
spouse	xu'jlal
spread	loqj
spring	b´echq´ijil
square	swe'j
square	kyajb'utx'
squeeze	sikte
squid	cheb´e
squirrel	ku'k
st	klab´
stab	pejk'il
stable	tbʼanel
stack	tkub´il a´
staff	xjal aq'anal
stage	yek'b'il
stain	b'etel
stairs	yotx
stake	yek´il
stalk	lol
stall	tu´n
stall	te
stand	wa´l
standard	junil
star	che´w
start	qe'l
start	ajet
start	qetsal
started	ma txi q´e
starving	ma k'im tun q'aq''in
state	nimtam
statement	q´mal
station	xkotzb'il
statue	ib´ilal
status	tzen taye
stay	junx tenkuya
stay safe	q'uqil tk'uj
steady	toj tbʼanel
steak	chi'b'j k'asin
steal	alq´amaj
steal	alq´al
steal	elq´an
steam	xb´akix
steel	k'uxb'il
steep	toj tzaj
stem	itz'jil
step	iky´tz
stick	mijajech
stiff	kyaqluk'k'aj
still	loqey
sting	ch'i'o'n
stingy	xk´a
stir	smol
stock	i´tz´
stock	chwiqlal
stolen	alq'amaj
stolen	elq'an
stolen	alq'a'n
stomach	tz'on
stomach	k'u'b'aj
stone	abj
stood	tenb'il
stool	txa´
stop	wab´il
stop	tzuy
storage	k'ulte
store	kulte
storm	nimxix jb'al
story	aju tqʼama
stove	k'achb'il q'aq'
straight	txuk
straight	txulin
straightforward	tz´inintij
strain	jun cepa
strange	alkayela
stranger	chin bisine
strategy	tumel
straw	ch´um
straw	ch´in
strawberry	xwis
streak	sq'it
stream	taq'il xqoptzaj
street	klab´
strength	ajmaq
stress	sik´ten
stretch	q´inil
strict	jun xjal b´an kayen tij amb´el wen
strike	qo ku we´
string	xpotx´in
strip	xonxa
strive	jya'tz
stroke	n-tza lipen
strong	kuj
strong	kyiw
strong	kaw
struck	k'ixb'
structure	tzen kxel b´inchen
struggle	q´onka tilil
struggling	jya'tz
stubborn	mib´in
stuck	maqe q´et
student	xnaq´tzanjtz
study	u´jil
studying	u'jilil
stuff	lu´n
stunning	qo ja ka´yenx ti´j
stupid	xnak
stupid	xkonk
stupid	qejil
style	tq'anb'ech
subject	qman
subject	xjal
subject	txu
submission	q´ol
submit	chq´ol
substance	aju
substitute	xelb'aj
subtle	cheb´e
succeed	t-xi tqʼoʼna tbʼanel
success	tel b´aj
successful	ma b´ant
such	ikje
such as	s'en xju
suck	tz´ub´il
sudden	inan
suddenly	qaxku
suddenly	mixininj
suffer	ma k´uch´aj
suffering	yajiltib'il
sufficient	okxju
sugar	ch´iysb´il
suggest	jun q-yol
suggestion	jun nab´il yol
suit	xb´alamb´alil
suitable	t-b´an t-b´inchet
suitcase	iq´ijtz
summary	talqan
summer	q´ijal
summit	witz
sun	q´j
sunday	Domindo
sunny	q'ij
sunset	q'ale
sunshine	q'ij
super	nim
superior	tibʼaj
supervisor	nejenel
supper	w´al
supply	tun tok
support	mojel
suppose	nchiye
supposed	kubʼ kyximen
sure	ax
surface	tib´aj
surge	chʼiy
surgery	jqol xjal
surname	k'olil
surprised	kyimen
surrender	xi tqʼoʼn tibʼ
surrounding	wa'b'il
surveillance	xq´uqal
survey	kayel qi´j
survive	xa´wan
suspect	okslal
suspended	kawil
suspicious	k´uj a
sustain	tz'yul
sustainability	tzi´yal
sustainable	txokal
swag	chunxjab'
swallow	b´ilq´ul
swap	qo tx'ixpun
swear	jurar
sweat	mujk´aj
sweater	ta'yil xmilalb'aj
sweep	tz´isol
sweep	tz´isil
sweep	misol
sweet	chi´
sweet dreams	chi´twatla
sweet dreams	chi´ q´ajt
sweet tooth	liq´
sweet tooth	tzeq
sweetheart	k'ujlab'il
swell	nmal
swelling	mal
swelling	malil
swim	chi'l
swimming	chil
swing	tik´
switch	tx'exb'il
swollen	m´al
sword	laqte
symbol	tech
sympathy	cho'n k'uj
symptoms	ti nch'iyon
system	nuk'ul ttxolil
table	Mex
table	tenb'il
tackle	laq'eb'il
tag	tu'jal pa
tail	tje
take	k ´wal l
take	K´al
take away	q´inxa
take care	ka´yinx tib´a
take off	loch´al lochi´l
taken	ma tx'iq'in
taken	ma b'aj
talk	yolil
talkative	un xjal aju noq tgan tuʼn tyolin
tall	nimin twe'
tap	makol
tape	si'pj
target	tkb'antel
task	taq´in
taste	yak'ol
taste	k'ok'jal
tasty	k'ok'j
taught	yek´ilte
tea	te'
teach	yek´il
teacher	nejenel aq´untl
team	b'yuj
tear	ta´lwitzb´aj
tears	ta'lwutzb'aj
tease	yajil
technology	saq
teeth	b´aj
tell	chitzan
tell	q´amal
tell	chi
tell me	qamantza weya
temper	tzen kyaq
temperature	ab´il
temple	tja kjawil
temporary	junjen amb´el
ten	lajuj
ten	laj
ten thousand	junch´uy jwe´q´o´
tenant	majil
tend	yob'il
tendency	saq
tender	jun ilicitación
tense	jip
tension	nya bʼaʼn
tent	ja
tentative	q'eqab'
term	b´ajsil
terms	jun yol
terrible	taq'wix
terrific	ponix
territory	n tx'otx'
test	ka´yel
text	yol tz'ib'in
than	ti ju
thank	qol chjonte
thank you	chjonte
Thank you for your patience while we investigate shipment	tzaj tqona tun qo jyone tij toqxena
Thank you for your patience while we investigate shipment	chjonte te amb´il
thank you so much	chjonte
thank you very much	chjonte
thanks	chjonte
Thanks for using our app	chjonte sajon aplicaciones qeye
that	qeju
that is	a natzun
that's good	b'a'natzun
the	a
theft	alqan
their	qeye
them	aqe
theme	tema
themselves	eyex
then	nej
theory	chinaj
there	machi´w
there	txix
there is	a ti
therefore	extzen
these	ajlu´
they	aye
they	aqe
they are	eye
thick	pin
thief	aleq'
thigh	twi´tz k´uxe
thin	slak
thin	slik
thing	lu´n
things	tx´aqan
think	ximil
third	toxin
thirsty	wje á
thirteen	oxlaj
thirty	junk´al laj
this	a ju lu
this is	ajlu´
thorough	siktenil
thoroughly	cheb'a
those	aj
though	ixqa
though	exlaqa
though	b´awtl
thought	xim
thoughtful	k'u'jlan
thoughts	xim
thousand	kab´q´o´ lajk´al
thread	noq´
threat	x'olb'tz'al
threaten	xob´ajil
three	oxe
three	ox
threshold	ja tun t-kanen
thrilled	tb'anel
thrive	tun q-q´inex
throat	qulb´aj
through	kyoj
throughout	kyxol
throw	chitil
throw	xo'l
throw	chita
thumb	tal q'ob'aj
thunder	k´inkaq
thunder	q´ankyoq
Thursday	kyaq'ij
thus	iku k´alani´
tick	q´ol techil
tide	yupaj witzb'aj
tidy	txole'
tidy	txolb'i'n
tie	xmol
tie	jitz'il
tiger	b´alan
tiger	b´alun
tight	noqxex
Tigrinya	Tigrinya
time	amb´il
tiny	chin b´otz
tip	nab'il
tips	nab'il
tire	llanta
tired	sikten
tissue	chemaj
title	tx'ilu'j
title	tb'i
to	Te
to be	tza lo
toast	tx'il wab'j
today	jalin
toddler	botz k'wal
toes	tal tq´an
together	junx
toilet	tz´alb´il
told	ma tzaj tman
tolerance	nimb'il
tolerate	nimb´il
tomato	xko´ya
tomato	xkoya
tomorrow	nejchij
tongue	aq'
tongue	aq'b'aj
tonight	ja lin te q'onik'an
too	sub´an
too	ikx
took	k'ab'aj
took	k'wa'n
took	k'walte
tool	makb'il
tools	makb'il
tooth	b'aq
tooth	steb'aj
tooth	eyb'aj
top	jawni
top	jawna
topic	b'i'yol
torn	lich'il
torture	yajil
total	jte
touch	tzyuma
tough	kuj
tour	ma b´et
toward	jayil
towards	jayil
towel	txo'wa
town	tnam
toxic	mya wen
trace	tik'len
track	pista
trade	k'yil
trade	xk'ayil
tradition	anq´ib´il
traditional	n-qb´inchen toj q-tx´otx´
traffic	txqan kar
trail	b´e
train	no´xk´ux
train	kotkotan k´uxb´il
train	tiqantib´
training	xnaqtzb´il
trait	ikja
transfer	transferir
transition	tx´xpub´l
translate	tel qnikʼ
transparent	qanchal
transport	b'etb'il
transportation	b'etb'il
trap	k'ob'il
trash	txatz´is
trash	tz´is
trauma	job'aj
travel	b´etel
tray	laq
treasure	q-tesoro
treat	txi q-b´inchen
treatment	jun lu´n n-xi b´inchet
tree	tze´
tremendous	nintz´k´u´
trend	ik tzeʼnx in kubʼ
trial	xnik'chalte
trial	xnik'chal
tried	ma chi tb´inchan
trigger	b´inchalte
trim	jol
trip	b´etel
trouble	q´oj
trousers	wex
truck	iqatzb´il
TRUE	ax
trunk	ajtz´in
trust	q´uqb´il tk´u´j
truth	ax
try	B´inchal
Tsonga	Tsonga
tube	tub
Tuesday	kaq´ij
tuition	tok letra kyiʼj
turkey	chmeq´
turn	ptz´ul
turn	paqtzul
turn	paqet
turtle	petz
tutor	ab'tzil
twelve	kab´lajuj
twelve	kab´laj
twenty	junk'al
twenty-one	junk´al jun
Twi	Twi
twice	kab´e maj
twist	sutil
twist	sutlal
two	kab´
two	kab´e
type	wiq
typical	ik tzeʼnx in kubʼ
ugly	taq´wix
ultimate	b'ajsb'il
umbrella	pa´t
unable	mnya b'an
uncle	kyan
unconscious	najnab´il
under	chin
under	chaba
underneath	tjaq´
underrated	xnak
understand	nakeyil
understand	toj twi´
understand	niky´
