veháš	a little
meannudanvuohki	procedure
ovdánit	proceed
proseassa	process
ávnnastit	process
buvttadit	produce
buvtta	product
buvttadeapmi	production
ámmát	profession
ámmátlaš	professional
profiila	profile
vuoitu	profit
ávkkáiduvvat	profit
čiekŋal	profound
ovdánit	progress
ovdáneapmi	progress
prošeakta	project
fuomášahtti	prominent
lohpádus	promise
lohpidit	promise
máinnustit	promote
doarjut	promote
alideapmi	promotion
ávžžuhit	prompt
ážžuhus	prompt
soddjil	prone
pronomenat	pronouns
jietnadeapmi	pronunciation
duođaštus	proof
albma	proper
albma ládje	properly
iešvuođat	properties
giddodat	property
evttohus	proposal
oainnus	prospect
jábálašvuohta	prosperity
jábálaš	prosperous
suodjalit	protect
rámis	proud
duođaštit	prove
addit	provide
juos	provided
eanagoddi	province
doaimmaheapmi	provision
eaktu	provision
rávásmanahki	puberty
almmolaš	public
geassit	pull
gurbbet	pumpkin
joavdil	punctual
oahppi	pupil
oastit	purchase
buhtis	pure
čielggas	pure
sáhppat	purple
ulbmil	purpose
bursa	purse
háhpohallat	pursue
háhpohallan	pursuit
hoigadit	push
bidjat	put
dutkkus	qualification
kvalitehta	quality
mearri	quantity
karantena	quarantine
nággu	quarrel
nágget	quarrel
njealjádas	quarter
koartil	quarter
ketšuagiella	Quechua
dronnet	queen
bonju	queer
jearaldat	query
gažaldat	question
ráidu	queue
čuožžut ráiddus	queue
johtil	quick
hoahpus	quickly
jaskat	quiet
govččas	quilt
loahpahit	quit
aivve	quite
oalle	quite
gažus	quiz
sitáhta	quotation
sitáhta	quote
siteret	quote
aisttonmearkkat	quotes
njoammil	rabbit
gilvu	race
moarri	rage
arvi	rain
loktet	raise
bálkábajádus	raise
loktejuvvon	raised
viegai	ran
sahtedohko	random
skála	range
johtil	rapid
jođánit	rapidly
hárvenaš	rare
hárve	rarely
ihtalanvigit	rash
roahttu	rat
dákta	rate
millosabbot	rather
gorri	ratio
jearggalaš	rational
roavis	raw
ollit	reach
olii	reached
reakšuvdna	reaction
lohkat	read
lohkan	reading
gárvvis	ready
albma	real
duođalašvuohta	reality
fihttet	realize
ollašuvvan	realized
duođai	really
maŋábealle	rear
sivva	reason
áššálaš	reasonable
muittašit	recall
kuite	receipt
reseapta	receipt
oažžut	receive
ožžon	received
gieskadaš	recent
eske	recently
vuostáiváldin	reception
resepšuvdna	reception
reseapta	recipe
eaimmaskas	reckless
dovddasteapmi	recognition
dovdát	recognize
ávžžuhit	recommend
ávžžuhuvvon	recommended
skearru	record
báddet	record
návccaiduvvat	recover
buorráneapmi	recovery
njuolggočiegahas	rectangle
ruoksat	red
lotnut	redeem
lotnun	redemption
bestojupmi	redemption
uhcidit	reduce
liiggálaš	redundant
dárbbašmeahttun	redundant
čujuhit	refer
čujuheapmi	reference
speadjalastit	reflect
speadjalastin	reflection
mážžat	refrain
jiekŋaskáhppe	refrigerator
buhtadit	refund
buhtadus	refund
biehttalit	refuse
biehttalii	refused
doaladuvvat	regard
hárrai	regarding
fuolakeahttá	regardless
dearvvuođat	regards
guovlu	region
registtar	register
gáhtat	regret
jeavddalaš	regular
jeavddalaččat	regularly
hilgut	reject
muitalit	relate
guoskat	relate
áššáigullevaš	related
gaskavuohta	relationship
gorálaš	relative
fuolki	relative
fuolkkit	relatives
vuoiŋŋastit	relax
olggosaddin	release
addit olggos	release
almmustahtii	released
áššáigullevaš	relevant
luohttehahtti	reliable
geahpádus	relief
álkidit	relieve
mášuiduvvan	relieved
osku	religion
oskkoldatlaš	religious
dáhtuheapme	reluctant
luohttit	rely
báhcit	remain
loahppa	remaining
čalbmáičuohcci	remarkable
dálkkas	remedy
muitit	remember
muittuhit	remind
muittuhus	reminder
gáiddus-	remote
boaitto-	remote
jávkadit	remove
rievdadit	render
láigu	rent
divodit	repair
geardduhit	repeat
lonuhit	replace
vástidit	reply
vástádus	reply
raporteret	report
raporta	report
ovddastit	represent
beaggin	reputation
bivdit	request
bivddat	request
gáibidit	require
bákkolaš	required
gádjut	rescue
dutkamuš	research
muittuhit	resemble
bahčavuohta	resentment
várren	reservation
várret	reserve
ássi	resident
cealkit eret	resign
sitkatvuohta	resilience
sitkat	resilient
vuostálastit	resist
vuostálastin	resistance
resolušuvdna	resolution
mearrádus	resolution
čoavdit	resolve
geaidnu	resort
návccat	resources
gudnejahttin	respect
gudnejahttit	respect
vástidit	respond
vástádus	response
ovttasvástádus	responsibility
vásttolaš	responsible
vuoiŋŋastit	rest
vuoiŋŋas ráfis	rest in peace
restoráŋŋa	restaurant
máhcahit	restore
ráddjet	restrict
boađus	result
bohtosat	results
joatkit	resume
bođuidvuovdin	retail
doalahit	retain
vurken	retention
ealáhagas	retired
murdilit	retreat
viežžat	retrieve
máhccat	return
iktit	reveal
almmostahtton	revealed
máksu	revenge
gávpejohtu	revenue
geassit ruovttoluotta	reverse
dárkkistit	review
dárkkástus	review
buorádallat	revise
veršuvdna	revision
revolušuvdna	revolution
bálkkašupmi	reward
ritma	rhythm
erttetdákti	rib
risenat	rice
rikkis	rich
beassat	rid
sáhttu	ride
riidet	ride
boagustahtti	ridiculous
riekta	right
olgeš	right
aiddo dál	right now
doaŋgat	rigid
suorpmas	ring
doidit	rinse
stuibmi	riot
gaikásit	rip
gaikkohat	rip
láddan	ripe
badjáneapmi	rise
badjánit	rise
riska	risk
riskeret	risk
gilvaleaddji	rival
johka	river
geaidnu	road
čoarbbealli	roast
bassit	roast
šumppas	robust
geađgi	rock
stággu	rod
rolla	role
jorrat	roll
gáhttu	roof
latnja	room
ruohtas	root
báddi	rope
guohca	rotten
roavis	rough
sullii	roughly
jorbbas	round
geaidnu	route
rutiidna	routine
gurgadas	row
ruvvet	rub
gummi	rubber
ruska	rubbish
eahpeustitlaš	rude
láhtterátnu	rug
bázahus	ruin
bilidit	ruin
njuolggadus	rule
ráđđejeaddji	ruler
linjála	ruler
njuolggadusat	rules
viehkat	run
viehkan	running
dálon-	rural
meahttit	rush
bahkadas	rush
seahkka	sack
bassi	sacred
oaffaruššat	sacrifice
oadjebas	safe
dorvvolaš mátki	safe flight
dorvvolašvuohta	safety
sálvia	sage
viissis	sage
dajai	said
borjjastit	sail
borjjasteapmi	sailing
dihte	sake
bálká	salary
vuoládusvuovdin	sale
vuovdin	sale
luossa	salmon
sálti	salt
seamma	same
Mun maid	Same here
čájánas	sample
sáddu	sand
sanskrihtta	Sanskrit
sarkasttalaš	sarcastic
ealas	sassy
čohkkái	sat
duhtadeapmi	satisfaction
duđavaš	satisfied
duhtadit	satisfy
duhtadahtti	satisfying
lávvardat	Saturday
márfi	sausage
roavis	savage
seastit	save
oinnii	saw
dadjat	say
skála	scale
skelbmošeapmi	scam
árpa	scar
gárži	scarce
balus	scared
liidni	scarf
balahahtti	scary
bieđgái	scattered
dáhpáhuvvanbáiki	scene
duovdda	scenery
hádja	scent
dateret	schedule
áigetávval	schedule
skuvla	school
dieđa	science
dutki	scientist
dutkit	scientists
skierat	scissors
moaitit	scold
olli	scope
čuokkeslohku	score
oassi	scrap
ráhput	scratch
biškut	scream
šearbma	screen
skruvva	screw
giehtačálus	script
mearra	sea
njuorju	seal
ohcat	search
jahkeáigi	season
čohkkedat	seat
sekunda	second
nubbi	second
suollemasvuohta	secret
oassi	section
oadjebas	secure
oadjebasvuohta	security
oaidnit	see
oaidnaleapmái	see you
oaidnaletne maŋŋelaš	see you later
oaidnaletne farga	see you soon
oaidnaletne ihttin	see you tomorrow
siepman	seed
ohcat	seek
váikkuhit	seem
váikkuha	seems
oidnojuvvon	seen
dollet	seize
dohppehallan	seizure
hárve	seldom
válljet	select
ieš	self
ieš buorráneaddji	self healing
vuovdnái	selfish
vuovdit	sell
sáddet	send
sáddes munnje iežat gova	send me your picture
boarrásut	senior
jierbmi	sense
jierbmái	sensible
hearki	sensitive
sáddii	sent
cealkka	sentence
cealkagat	sentences
sierra	separate
sepedigiella	Sepedi
čakčamánnu	september
ortnet	sequence
ráidu	series
duođalaš	serious
duođalaččat	seriously
bálvalit	serve
bálvalus	service
čohkkán	session
čoahkki	set
bidjat	set
cegget	set up
ásahus	setting
ásahuvvat	settle
čieža	seven
čiežanuppelohkái	seventeen
čiežalogi	seventy
máŋga	several
duođalaš	severe
goarui	sew
hyš	sh
suoivvan	shade
suoivva	shadow
savdnjilit	shake
áigu	shall
coagis	shallow
heahpat	shame
hápmi	shape
juohkit	share
bastil	sharp
son	she
sus lea	she has
son lea	she is
skadjá	shed
sávza	sheep
árka	sheet
láhkán	sheet
hildu	shelf
garra	shell
suodji	shelter
suodji	shield
galba	shield
sirdin	shift
báitit	shine
dámpa	ship
fievrredeapmi	shipping
báidi	shirt
gápmagat	shoes
báhčit	shoot
gávpi	shop
oastin	shopping
gáddi	shore
oanehis	short
vátni	shortage
bážii	shot
skuohtta	shot
galggašii	should
oalgi	shoulder
čuorvut	shout
show	show
čájehit	show
čájet munnje	show me
riššu	shower
reahkka	shrimp
játnat	shrink
gitta	shut
oro jaska	shut up
árgi	shy
oarbin	sibling
oarbinat	siblings
buozus	sick
bealli	side
šuohkihit	sigh
šuohkanas	sigh
oainnáhus	sight
oaidnu	sight
oainnáldagaid geahččan	sightseeing
mearka	sign
vuolláičálus	signature
fuomášahtti	significant
jaskatvuohta	silence
jaskat	silent
silki	silk
ártet	silly
silba	silver
sullasaš	similar
duipi	simp
oktageardán	simple
seamma áigge	simultaneously
rájes	since
njuolggalaš	sincere
rehálaččat	sincerely
lávlut	sing
lávlu	singer
ovttaskas	single
vuodjut	sink
basadangárri	sink
oabbá	sister
gálojeatni	sister in law
sivjjot	sister in law
mannji	sister in law
čohkkát	sit
báiki	site
siidu	site
dilli	situation
guhtta	six
guhttanuppelohkái	sixteen
guhttalogi	sixty
sturrodat	size
dáidu	skill
dáiddut	skills
liiki	skin
ruoinnas	skinny
hilgut	skip
vuolpu	skirt
albmi	sky
šláva	slave
oađđit	sleep
oađđimin	sleeping
ođeš	sleepy
soadjá	sleeve
vajahastit	slice
vajahas	slice
čeassat	slide
binná	slightly
seaggi	slim
njalkkastit	slip
fielti	slope
latnja	slot
hiđis	slow
gulul	slowly
uhci	small
fihtolaš	smart
hádja	smell
moddját	smile
modji	smile
suovva	smoke
livttis	smooth
nealgádat	snack
riifu	snail
gearpmaš	snake
doddjot	snap
muohta	snow
nu	so
nu čáppis	so cute
dassážii	so far
luvvadit	soak
sáibu	soap
juguheapme	sober
juolgespábba	soccer
sosiála	social
servodat	society
suohkut	socks
linis	soft
prográmmadat	software
eanavuođđu	soil
vuvdon	sold
lohppii vuvdojuvvon	sold out
soalddát	soldier
juolgevuođđu	sole
fásta	solid
čoavddus	solution
čoavdit	solve
muhtin	some
soames	somebody
mo nu	somehow
soames	someone
juoga	something
muhtumin	sometimes
lávlla	song
farga	soon
kompleaksa	sophisticated
soranigiella	Sorani
bávččas	sore
rašši	sore
čottabávččas	sore throat
moraš	sorrow
Ándagassii	Sorry
šládja	sort
sorteret	sort
ozai	sought
siellu	soul
váibmoustit	soulmate
jietna	sound
málli	soup
suvrris	sour
gáldu	source
máddi	south
gomuvuohta	space
ruskapoasta	spam
áigegaska	span
spánskkagiella	Spanish
seastit	spare
várre-	spare
hállat	speak
erenomáš	special
šládja	species
aiddolaš	specific
čalbmáičuohcci	spectacular
hállan	speech
sáhka	speech
jávoheapme	speechless
leaktu	speed
stávet	spell
goluhit	spend
goluhii	spent
álbmái	spicy
biika	spike
jorrat	spin
jorgalit	spin
spináhtta	spinach
heagga	spirit
vuoigŋa	spirit
čolgat	spit
čolga	spit
briljánta	splendid
juohkit	split
juohku	split
lilluhit	spoil
billidit	spoil
guohca	spoiled
spontána	spontaneous
baste	spoon
dielku	spot
báiki	spot
guoibmi	spouse
leavvat	spread
giđđa	spring
njealjehas	square
čárvet	squeeze
bleahkkaguolli	squid
oarri	squirrel
niibádit	stab
stáđis	stable
guhpá	stack
bargit	staff
lávdi	stage
duolvvidit	stain
tráhppá	stairs
čuolda	stake
nađđa	stalk
hiŋgal	stall
steampalastit	stamp
poastamearka	stamp
steampal	stamp
oaidnu	stand
čuožžut	stand
standárda	standard
násti	star
álgit	start
álggii	started
nelgon	starving
cealkit	state
dilli	state
cealkámuš	statement
stašuvdna	station
bázzi	statue
status	status
dilli	status
báhcit	stay
galledeapmi	stay
eale dearvan	stay safe
dásset	steady
biffa	steak
suoladit	steal
lievla	steam
stálli	steel
ceakkus	steep
nađđa	stem
lávki	step
darvánit	stick
soabbi	stick
doaŋgi	stiff
lihkatkeahtes	still
ain	still
biika	sting
hánis	stingy
fierrut	stir
rádju	stock
suoladuvvon	stolen
čoavji	stomach
geađgi	stone
čuoččui	stood
reŋko	stool
bissehit	stop
vuorkun	storage
gávpi	store
stoarbma	storm
máinnas	story
oapman	stove
njuolga	straight
mohkeheapme	straightforward
dearidit	strain
amas	strange
vierroolmmoš	stranger
strategiija	strategy
bohcci	straw
oalga	straw
eanamuorji	strawberry
stáhpi	streak
rávdnji	stream
streamet	stream
gáhtta	street
nannodat	strength
streassa	stress
vatnat	stretch
sroaŋggis	strict
bargoheaitta	strike
báddi	string
nuoladit	strip
gierddahallat	strive
časkkástat	stroke
gievra	strong
časkkii	struck
ráhkadus	structure
dáistalit	struggle
dáistaleapmi	struggle
dáistaleapmi	struggling
nággár	stubborn
darvánan	stuck
oahppi	student
dutkamuš	study
studeret	study
studeren	studying
tiŋga	stuff
ebmui	stunning
doavki	stupid
stiila	style
dahkki	subject
vuolláneapmi	submission
guođđit	submit
vuollánit	submit
ávnnas	substance
sadjásaš	substitute
dorjolas	subtle
lihkostuvvat	succeed
menestupmi	success
lihkostuvvan	successful
dakkár	such
dego	such as
njammat	suck
fáhkka	sudden
fáhkkestaga	suddenly
gillát	suffer
gillámuš	suffering
doarvái	sufficient
sohkar	sugar
evttohit	suggest
evttohus	suggestion
gárvu	suit
heivet	suit
dohkálaš	suitable
tásku	suitcase
supmi	sum
čoahkkáigeassu	summary
geassi	summer
allačoahkkin	summit
beaivváš	sun
sotnabeaivi	sunday
beaivvádat-	sunny
beaiveluoitin	sunset
beaivvadat	sunshine
super	super
ovdaolmmoš	superior
bagadalli	supervisor
eahkedaš	supper
rádju	supply
doaimmahit	supply
doarjja	support
doarjut	support
navdit	suppose
navdojuvvon	supposed
sihkkar	sure
bajáš	surface
márastat	surge
čuohpahus	surgery
sohkanamma	surname
heahkastuvvan	surprise
hirpmahuvvan	surprised
vuollánit	surrender
biras	surrounding
bajilgeahčču	surveillance
jearahallat	survey
jearahallan	survey
ceavzit	survive
várohit	suspect
várohuvvon	suspect
heaŋggo-	suspended
eahpidahtti	suspicious
joatkit	sustain
suvdilis ovdáneapmi	sustainability
suvdil	sustainable
hearva	swag
swag	swag
njiellat	swallow
lonuhit	swap
vuordnut	swear
garrudit	swear
bivastat	sweat
ullobáidi	sweater
sihkastit	sweep
kustet	sweep
njálggis	sweet
buorre idja	sweet dreams
váibmil herskuide	sweet tooth
gollážan	sweetheart
bohtanit	swell
bohtaneapmi	swelling
vuojadit	swim
vuojadeapmi	swimming
suhkká	swing
sugadit	swing
laktit	switch
botkkon	switch
bohtanan	swollen
miehkki	sword
symbola	symbol
sympatiija	sympathy
dávdamearkkat	symptoms
systema	system
beavdi	table
gearganit	tackle
mearka	tag
seaibi	tail
váldit	take
váldit eret	take away
take away	take away
leage várrugas	take care
váldit eret	take off
vuolgit	take off
váldojuvvon	taken
hállan	talk
hállat	talk
hállái	talkative
guhkki	tall
hátna	tap
spoahkuhit	tap
báddi	tape
teaipa	tape
čuozáhat	target
čuozihit	target
bargamuš	task
máistit	taste
smáhkka	taste
njálggis	tasty
oahpahii	taught
deadja	tea
oahpahit	teach
oahpaheaddji	teacher
joavku	team
gatnjal	tear
gáikanit	tear
gatnjalat	tears
nárret	tease
teknologiija	technology
bánit	teeth
muitalit	tell
muital munnje	tell me
giivvisvuohta	temper
temperatuvra	temperature
tempel	temple
gaskaboddosaš	temporary
logi	ten
logi duhát	ten thousand
láigolaš	tenant
lávet	tend
mieđisvuohta	tendency
ráhkislaš	tender
smierru	tender
gealdašuvvan	tense
gealdagas	tension
tealtá	tent
ráhkkaneaddji	tentative
badji	term
eavttut	terms
issoras	terrible
fiinnis	terrific
guovlu	territory
testet	test
iskkus	test
teaksta	text
go	than
giitit	thank
giitu	thank you
Giitu go nagodat vuordit dan botta go mii leat dutkamin sáddehusa	Thank you for your patience while we investigate shipment
eatnat giitu	thank you so much
eatnat giitu	thank you very much
giitu	thanks
Giitu go geavahat min áppa	Thanks for using our app
duot	that
dat lea	that is
dat lea buorre	that's good
suoládeapmi	theft
sin	their
sii	them
tema	theme
ieža	themselves
dalle	then
teoriija	theory
doppe	there
leat	there are
doppe lea	there is
danin	therefore
dát	these
sii	they
soai leaba	they are
sii leat	they are
assái	thick
suola	thief
badjeváhkká	thigh
ruoinnas	thin
ášši	thing
áššit	things
jurddašit	think
goalmmát	third
lea goiku	thirsty
golbmanuppelohkái	thirteen
golbmalogi	thirty
dát	this
dát lea	this is
vuđolaš	thorough
čađa	thoroughly
duot	those
vaikko	though
jurddašii	thought
jurdda	thought
jurddašahkes	thoughtful
jurdagat	thoughts
duhát	thousand
árpu	thread
uhki	threat
uhkidit	threaten
golbma	three
šielbmá	threshold
movtta	thrilled
menestuvvat	thrive
čotta	throat
čađa	through
miehtá	throughout
bálkestit	throw
bealgi	thumb
baján	thunder
duorastat	Thursday
nie	thus
coahkkit	tick
niranas	tick
vuorročáhci	tide
čorgat	tidy
kraváhtta	tie
čatnat	tie
tiger	tiger
čavgat	tight
tigrinjagiella	Tigrinya
áigi	time
árgi	timid
bás	tiny
tipsa	tip
tipsat	tips
váibat	tire
riekkis	tire
váiban	tired
njunneliidni	tissue
bajilčála	title
leahkit	to be
goarddaláibi	toast
cearki	toast
otne	today
unnoraš	toddler
juolgesuorpmat	toes
ovttas	together
hivsset	toilet
muitalii	told
gierdilvuohta	tolerance
gierdat	tolerate
tomáhta	tomato
ihttin	tomorrow
njuovčča	tongue
otne eahkedis	tonight
maiddái	too
válddii	took
bargoneavvu	tool
bargoneavvut	tools
bátni	tooth
čohkka	top
fáddá	topic
gaikánan	torn
biinnidit	torture
oktiibuot	total
guoskkahit	touch
garas	tough
tuvra	tour
vuostá	toward
vuostá	towards
sihkaldat	towel
gávpot	town
mirkkolaš	toxic
luodda	trace
bihttá	track
bálggis	track
gávppašeapmi	trade
gávppašit	trade
árbevierru	tradition
árbevirolaš	traditional
johtolat	traffic
bálggis	trail
toga	train
skuvlen	training
iešvuohki	trait
iešvuogit	traits
sirdašuvvat	transfer
sirdin	transition
jorgalit	translate
čađačuovgi	transparent
johtolat	transport
fievrredeapmi	transportation
giella	trap
ruski	trash
trauma	trauma
mátkkoštit	travel
brihkká	tray
árdna	treasure
gieđahallat	treat
dikšun	treatment
dikšu	treatment
muorra	tree
fámolaš	tremendous
treanda	trend
diggi	trial
iskan	trial
koansta	trick
geahččalii	tried
báhcahat	trigger
báhcahit	trigger
čorgestit	trim
mátki	trip
váttisvuohta	trouble
buvssat	trousers
guorbmebiila	truck
riekta	true
muorramátta	trunk
luohttámuš	trust
luohttit	trust
duohtavuohta	truth
geahččalit	try
tsoŋgagiella	Tsonga
bohcci	tube
maŋŋebárga	Tuesday
oahpahus	tuition
kálkon	turkey
gurkemeija	turmeric
jorggihit	turn
galbarihcci	turtle
tutor	tutor
oahpaheaddji	tutor
guoktenuppelohkái	twelve
guoktelogi	twenty
guoktelogiokta	twenty-one
twigiella	Twi
guktii	twice
jorahit	twist
jorggáldat	twist
guokte	two
tiipa	type
typihkalaš	typical
ropmi	ugly
dehálamos	ultimate
arvesuodji	umbrella
basttekeahtes	unable
čeahci	uncle
mielavuloš	unconscious
vulobealde	under
vuolde	underneath
badjelgehččojuvvon	underrated
áddet	understand
áddii	understood
dađi bahábut	unfortunately
unifoarbma	uniform
áidnalunddot	unique
ovttadat	unit
boddu	unit
universitehtta	university
dovdameahttun	unknown
earretgo	unless
dasa	until
eahpedáválaš	unusual
bajás	up
mearrit don	up to you
ođasmahttit	update
ođasmahttin	update
buoridit	upgrade
buorideapmi	upgrade
aldi	upon
jierásmuvvan	upset
gávpot-	urban
dáhttu	urge
vikkahit	urge
hohpolaš	urgent
min	us
geavahit	use
geavaheapmi	use
geavahuvvon	used
anolaš	useful
dušši	useless
dábálaš	usual
dábálaččat	usually
ávki	utility
luopmu	vacation
boahkut	vaccination
boahkuhusat	vaccine
guorosadji	vacuum
mearritmeahttun	vague
čuožžovaš	valid
leahki	valley
divrras	valuable
árvu	value
árvvoštit	value
máŋggahámatvuohta	variety
hivvodat	variety
sierralágan	various
molsašuddat	vary
váse	vase
ravdameahttun	vast
ruonas	vegetable
šattut	vegetables
fievru	vehicle
gálvolágideaddji	vendor
mirku	venom
arvat	venture
báiki	venue
duođaštit	verify
máŋggabealat	versatile
veršuvdna	version
ceakkonjuolgat	vertical
hui	very
hui buorre	very good
fanas	vessel
bokte	via
vuoigŋa	vibe
dovdu	vibes
olmmošmeahttun	vicious
oaffar	victim
video	video
oainnus	view
geahčadit	view
gilli	village
skealbma	villain
ettet	vinegar
jahkegeardi	vintage
veahkaváldi	violence
veahkaválddálaš	violent
virála	viral
buhtisnieida	virgin
virtuála	virtual
šiehku	virtue
višuvdna	vision
oaidnu	vision
galledit	visit
galledeapmi	visit
visuála	visual
heakkadeaŧalaš	vital
ealas	vivid
sátnerádju	vocabulary
jietna	voice
árvvoheapme	void
guoros	void
saddjáivuohta	volume
eaktodáhtolaš	volunteer
vuovssadit	vomit
vuovssanas	vomit
suojeheapme	vulnerable
bálká	wage
bálkágolut	wages
seakkáš	waist
vuordit	wait
beavdebálvá	waiter
vuordimin	waiting
lođas	wake
gohccát	wake up
vázzit	walk
vázzin	walk
vázzimin	walking
seaidni	wall
bursa	wallet
jođašit	wander
hálida	wanna
hálidit	want
háliduvvon	wanted
hálidii	wanted
soahti	war
bivttaskábe	wardrobe
rádju	warehouse
ligget	warm
liekkas	warm
váruhit	warn
váruhus	warning
soahtti	warrior
lei	was
bassat	wash
bázahus	waste
háskkidit	waste
geahččat	watch
čáhci	water
čáhcemelovdna	watermelon
bárru	wave
vuohki	way
mii	we
mii leat	we are
mii sáhttit	we can
headju	weak
váili	weakness
jábálašvuohta	wealth
jábálaš	wealthy
coggat	wear
lea alde	wearing
dálki	weather
heajat	wedding
gaskavahkku	Wednesday
árvvohisrássi	weed
vahkku	week
vahkkoloahppa	weekend
deaddu	weight
deaddit	weight
ártet	weird
buresboahtin	welcome
buresbirgen	welfare
Na	Well
bures dahkkon	well done
manai	went
ledje	were
oarji	west
njuoskkas	wet
fális	whale
mii	what
naba don	what about you
maid don barggat	what are you doing
maid don dál leat bargamin	what are you doing now
maid leat dál bargamin	what are you doing right now
maid don barggat	what do you do
maid don barggat	what do you do for a living
maid oaivvildat	what do you mean
maid don hálidat	what do you want
mii dáhpáhuvai	what happened
mii lea	what is
mii dát lea	what is this
maid barggat	what is your job
mii du namma lea	what is your name
mo manná	what's up
mii du namma lea	what's your name
mo beare	whatever
nisu	wheat
juvla	wheel
go	when
goas beare	whenever
gos	where
gos don leat	where are you
gos don leat eret	where are you from
gos don dál leat	where are you now
gos don orut	where do you live
gos lea	where is
go fas	whereas
lešgo	whether
mii	which
dan botta go	while
savkalit	whisper
njurgut	whistle
vielgat	white
gii	who
gii don leat	who are you
gii lea	who is
gii diet lea	who is this
ollislaš	whole
gean	whom
gean	whose
manin	why
manin ii	why not
bahánihkkán	wicked
viiddis	wide
leaska	widow
govdodat	width
eamit	wife
vilddas	wild
áigut	will
dáhttu	will
dáhtolaš	willing
vuoitu	win
vuoitit	win
biegga	wind
láse	window
bieggái	windy
viidni	wine
dálvi	winter
sihkkut	wipe
streaŋga	wire
viisodat	wisdom
viissis	wise
sávaldat	wish
sávvat	wish
sávan dutnje buot buriid	wish you all the best
noaidi	witch
geassádit	withdraw
geassádeapmi	withdrawal
haga	without
vihtanuššat	witness
vihtan	witness
áices	witty
gumpe	wolf
nisu	woman
nissonat	women
vuittii	won
ii áiggo	won't
imaš	wonder
ovddolaš	wonderful
muorra	wood
ullu	wool
sátni	word
sánit	words
bargu	work
bargat	work
trenet	work out
bargamin	working
máilbmi	world
máhtu	worm
duolvvas	worn
fuolas	worried
fuolastuvvat	worry
fuolla	worry
vearrát	worse
bálvalit	worship
vearrámus	worst
árvosaš	worth
dan veara	worth it
veará	worthy
hávvi	wound
Šoš	Wow
giesaldat	wrap
giesadit	wrap
vašši	wrath
giehtaruohtas	wrist
čállit	write
Čále deike	Write here
čállin	writing
čállon	written
boastut	wrong
čálii	wrote
šillju	yard
gávastallat	yawn
gávvasat	yawn
Jua	Yeah
jahki	year
jagi	years
jeasta	yeast
čuorvvas	yell
fiskat	yellow
Juo	Yes
juo gieris	yes baby
juo ráhkis	yes dear
juo gollážan	yes honey
juo ráhkkásan	yes my love
dieđusge	yes of course
ikte	yesterday
vel	yet
buvttihit	yield
vuollánit	yield
don	you
don leat	you are
leat čáppis	you are beautiful
don leat nu čáppis	you are so beautiful
leage buorre	you are welcome
sáhtát	you can
Oainnat	You know
don maid	you too
leage buorre	you're welcome
nuorra	young
du	your
leage buorre	your welcome
don ieš	yourself
nuorravuohta	youth
nuorrageardi	youth
leage buorre	you’re welcome
njálggis	yummy
nolla	zero
