a	kou'n
official	n'ga sran kula si i
often	tchin vie
Oh	Oh
oh really	oh sakpa
oil	kan'ni n'zue
oil	essenci
ok	etipka
ok dear	n'tili mi sran kpa
ok honey	n'tili mi wu'n
ok honey	n'tili mi yi
ok my love	n'tili mi wu'n
ok my love	n'tili mi yi
okay	etipka
okay baby	n'tili mi yi
okay dear	n'tili mi sran kpa
okay honey	n'tili mi wu'n
okay honey	n'tili mi yi
okay my love	n'tili mi wu'n
okay my love	n'tili mi yi
old	lã
on	issu
once	kpɛ kun'gba
one	ku'n
one	kun'gba
one language is never enough	aien kun ti a kaka
onion	jaba
online	interneti su
only	ku'n gba
open	tike
operation	nigue me yolɛ
opinion	akun'nda
opportunities	juman mu
opportunity	saa kpaa
opportunity	n'dɛ fɛ
opposite	bue kun
optimistic	lafi su
option	i wafa uflɛ
optional	n'ga ti a tʃinji
or	anzɛɛ
orange	lomi
orange	domi
order	suman
ordinary	n'ga ti titi like
organization	iyo lɛ
orientation	i kaki wlɛ
origin	lika n'ga e fi'n
original	iba kpa
Oromo	Oromo
orphan	ayika ba
other	uflɛ
otherwise	iwafa uflɛ
ought	wa
our	ye
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	Ye juman: ye yo nan sran n'gba, lika n'gba, be ti be wun anien kɔkun be yijɔ anien me nu.
Our mission: to organize the world's information and make it universally accessible and useful.	Ye juman : sie sie minh nu n'dɛ nan sran me n'gba bé kwla wun' yi.
out	guassu
outcome	i vie wlɛ
outfit	tralɛ
outgoing	n'ga fite
outlet	trã lɛ
outlet	fite
outline	klekle
outside	guassu
outstanding	iti wlɛ
oven	fouri
oven	aliɛ n'vuen tonwlɛ
over	issu
over there	lɔ fan
overall	in'gba
overcome	ekula yoli
overthinking	bu akun'nda dan
overwhelmed	akun'nda son li
overwhelming	e tin su
owe	ye liɔ
owl	apkatue
own	ibɔbɔ
owner	sran n'ga liɛ
ox	apkatue
pace	iwafa n'ga efa yo
pack	kata i wun
package	ibɔlɛ
package	pake
paid	tua
pain	yaa
paint	pinturi yolɛ
painting	painturi yolɛ
pair	n'ɲon
pale	etiɛ i sran su
palm	n'me
pan	sɛ
pandemic	tukpa ʃɛ
panic	kunnu wa san'gan
pants	fieto mu
paper	fluwa
paradise	blɔlɔ
parallel	n'nion
parcel	assiɛ
parcel	lika
pardon	yaki
parents	ye si ni et ye nimu
park	lika n'ga be jran loto mu
parrot	annun'man n'ga yijɔ
parsley	persili n'ɲa
part	bue
participate	yo vie
particular	like kpa
particularly	isso liɛ su
partner	javuɛ
party	fɛtri
pass	sin
passage	atin'
passage	sin'wlɛ
passed	sin li
passion	like klolɛ
passionate	n'klo i
passive	n'ga sin
password	i lacle
past	lã
patch	n'ga be kwla sie sie
path	ati'n
path	akpɔ
pathetic	eyo anvon
patience	midɛlɛ
patient	kpli man
patient	trɛ i awlɛn
pattern	issɔ tiɛ
pause	jran kan
pavement	apkɔ i lika n'ga be sin bé janu
pay	to
payment	akatua
peace	akunudjuɛ
peaceful	aunjuɛ
peach	koa tolɛ
peak	iti pien'bie
pear	pɔmi i wafa kun
peas	nin'gue n'ma
peas	peti pua
peculiar	n'ga ti a titi like
pee	n'mie
peel	kplokplo
peer	n'ɲon
peers	n'nion
pen	biki
pencil	biki
pending	n'ga tɛ wolɛ
pending	n'ga be nan yoman
people	sran mu
pepper	mankun
perceive	fa
perception	iwafa n'ga a fa wu'n yi
perfect	tɛ numan'nu
perform	di juman
performance	affɛ
perhaps	ewa yo
period	issɔ blɛ
permanent	dɔ kulã
permission	man atin
permit	man ati'n
perseverance	awlin ba like
persistent	ekin i yekun
person	sran
personal	sran kun liɛ
personality	sran i wafa n'ga ti
personality	sran dan
perspective	n'ga kula yo su
persuade	yo min ekpli'n su
pervert	e klo yassua
pervert	e klo bla
pet	n'guã kanlin nin'gue
phase	i bue
phenomenon	n'dɛ sɔ
philosophy	minh i wunlɛ wafa wuflɛ
phone	telefɔni
photo	foto
phrase	i jolɛ
physical	ibɔbɔ ba
pick	man kun'ssu
pick up	fa
pick up	man su
picture	wawɛ
picture	photo
piece	i bue
pieces	bue mu
pig	kɔkɔti
pigeon	okuomo
pile	pili
pillow	n'ga a sie a ti su
pilot	avion condufuɛ
pin	tra i
pineapple	anana
pink	wufue
pit	kun'man
pitch	idjɔwlɛ
pitch	siewlɛ
pity	anvɔ
place	lika
places	placi
places	lika
plague	tupkaki
plain	assiɛ kpa
plan	akun'nda
plane	alapla
plant	dua
plants	waka n'ma mu
plate	kpon'gbo ba
platform	juman lika
play	kan ngua
playing	to
pleasant	eyo fɛ
pleasant	fɛ
please	n'kpata wɔ
pleased	yo fɛ
pleasure	yo fɛ
pledge	man i nuan
plenty	i n'gba
plenty	yiwa
plot	assiɛ
plug	fluwa
plug	i ti
plum	waka n'ma
plumber	plombie
plural	kaka'm
podcast	like n'ga be ti ni be su
poem	yijolɛ klanman
poetry	kan n'dɛme ni yijolɛ klanman
point	lika kun
poison	puazon
police	polici
police	son'ja
policy	n'mla
polite	iyii sran
pollution	like bon wa
pond	n'zue ba
pool	piscini
poop	tan
poop	bi
poor	yalɛfuɛ
pop	jue kun
popular	be si yi pka
population	sran mu
pork	kɔkɔti
porridge	baka
port	pɔri
position	issie wlɛ
positive	ti kpa
possess	fa'i
possession	like n'ga ti be liɛ
possessive	kan'gan like su
possible	n'ga be kula yo
post	be fa fite
postpone	sie i iɲu'nu
potato	alenda
potential	like n'ga kula yo
pound	kilo
pound	blofuɛ sika
poverty	yalɛ
power	i timi
powerful	juejue
practical	n'ga be yo
practice	iyolɛ
praise	flɛ
prank	n'gua
pray	flɛ
precious	like kpa
precious	like n'ga lɛ gua
precise	issu ɛ
precisely	i su
predict	duamua kanli
prefer	klo n'ga
preference	n'ga a klo i
pregnant	wun'zɛ
prejudice	ya n'ga eyo
premises	be lika
premium	sika n'ga a ɲin i
preparation	sie sie
preparation	tonlɛ
prepare	ton'h
prepared	sie sie
preposition	like n'ga adumua kan
presence	kɛ wolɛ
present	issien
presentation	i klekle wa
preserve	sie
president	preziden
press	ti'n su
pressure	afɛ
pretend	e se kɛ
pretty	klanhan
prevent	dumua yo
previous	n'ga dumua yoli
prey	n'nin
price	i gua
price	gua
pride	di enuan
priest	preti
primary	i kan'gan
prime	sika n'ga be fa man juman lɔ
princess	famiɛn bla
principal	ibo
prior	n'ga ti tʃin'tʃin
priority	n'dɛ tʃin'tʃin
prison	bisua
privacy	sran klun n'dɛ
private	n'dɛ pka
privilege	sie wlɛ kpa
prize	kado
probably	eyossu
problem	n'dɛ tɛ
procedure	iyo lɛ
proceed	yo juman
proceed	di
process	iyolɛ nu
produce	man
produce	yo
product	n'ge atɛ yo lɛ liɛ
production	i yiwlɛ nu
profession	like n'ga eyo
profession	juman
professional	essi i juman
profile	i wafa
profit	issu n'ga a ɲin i
profound	kunnu ti mua
profound	tin'nin
progress	ekɔ i ɲunu
project	nin'gue n'ga a won yo
prominent	n'ga be si
promise	ta n'da
promote	yo publicite
promote	kan i nin'gue n'dɛ
promotion	sran su juman wulalɛ
prompt	nin'dɛ
prone	assidan
prone	n'dɛ
pronouns	sran wafa'm
pronunciation	ibo bo wlɛ
proof	namwlɛ klelɛ
proper	sawun
properly	i like
properties	be like mu
property	like
proposal	man akun'nda
prospect	like n'ga be won yo
prosperity	kpa yo lɛ
prosperous	sika ɲanlɛ
protect	nianssu
protect	nian i lika
proud	yo ɔ wu'n kpakpa
prove	kle
provide	faman
provided	man li
province	apkassua
provision	nin'gue n'ga a fa man
puberty	gnilε nu
public	sran mu
pull	yʃoin
pumpkin	ʃu
punctual	dɔ su
pupil	suklu ba
purchase	to
pure	like kpa
purple	ble
purpose	nin'gue n'ga be sun'nzu
purse	su su
pursue	yo lele
pursuit	su issu
push	tin'su
put	wulanu
put	sienu
qualification	n'ga e si i
quality	like kpa
quantity	i nuan
quarantine	besie be lika kun
quarrel	utre
quarter	bue
quarter	iba kun
Quechua	Quechua
queen	famien bla
queer	yassua n'ga yo iwun ke bla
query	wu salɛ
query	qosan
question	qosan
queue	dua ba
quick	nin'dɛ
quickly	nin'dɛ
quiet	dii'n
quilt	lafi wlɛ
quit	djassolɛ
quite	etissu
quiz	qosan kaka
quotation	i gua
quote	inuan
quotes	man n'dɛ su
rabbit	gban'mlɔ
race	wondi lɛ
rage	fia
rain	n'zue
raise	ta
raised	man su
ran	wondi
random	eyo sa
random	wa sun'nzu man
range	i wafa
rapid	nin'dɛ
rapidly	nin'dɛ nu
rare	be ɲinmin
rarely	like n'ga be gnin i dɔ kula su
rash	be bo n'su
rash	bu man akun'nda
rat	ote
rate	inuan
rather	klo
ratio	bue
rational	n'ga ti kpa
raw	molin
reach	djussu
reach	to i
reached	e toli i
reaction	kɛ a sɔssu
read	fluwa nianlɛ
reading	i kan lɛ
ready	man siessie
real	be wun yi
reality	like n'ga yo wehin nu
realize	ewun yi kɛ
realized	wun' nu
really	sapka
rear	issin
reason	n'gatiɛ
reasonable	n'ga assi kɛ eti kpa
recall	flɛ ekun
receipt	sɔli nu
receive	fã
received	sɔnu
recent	koko n'ganu
recently	koko n'ganu
reception	i falɛ
recipe	sika n'ga n'dɔssua a ɲin i
reckless	kekle
recognition	wun' yi wlɛ
recognize	siyi
recognize	wun'iwlɛ
recommend	kle ɔ
recommended	kan i n'dɛ kpa
record	fa sie itinu
recover	yo juejue
recovery	yo juejue
rectangle	kɛ like paplapa
red	ɔkulɛ
redeem	to
redeem	kaki ni
redemption	tin'gue lɛ
reduce	tissu
redundant	n'ga be fa yoman like kun'
refer	nian su
reference	n'ga n'nianssu
reflect	n'ga fitenu
reflection	nian nu
refrain	issu sɔlɛ
refrigerator	frigidɛri
refund	tua
refuse	nan kplin'n su
refused	kplinman su
regard	nianlɛ
regarding	issɔ tiɛ
regarding	issɔ su
regardless	ikulã
regards	eni klolɛ
region	apkassu
region	assiɛ
register	sie lika kun
regret	n'ssissɔ
regular	titi
regularly	tchin kula
reject	fuen i
reject	to i blo
relate	kan
related	n'ga be lɛ like bé afien
relationship	aniãn
relative	issɔ like
relatives	niãn mu
relax	do wumien
release	fa fite
release	yatchi nu
released	yi
released	fite
relevant	i kpa
reliable	lafissu
relief	yo i ye
relieve	yo i kpa
relieved	wa yoye
religion	nianmien sulɛ
religious	nianmien like
reluctant	eya ɔ kɛ ayo
rely	lafi su
remain	ya
remaining	ya lɛ
remarkable	n'ga be wun yi
remedy	are
remember	bu i akun'nda
remember	nan awula fi su
remind	kpɛnnin su
reminder	kpli'n akunu
remote	mua like yowa
remove	yi i lɛ
render	yo i
rent	fa like
repair	sie sie iye
repeat	kin yekun
replace	kaki
reply	tɛ su
reply	kpli'n su
report	kan
represent	klebe
reputation	i n'dɛ kpa
request	srɛlɛ
request	wussa
require	n'ga ti i su
required	efata kɛ
rescue	de i
rescue	wuka i
research	kun'dɛlɛ
resemble	e fa
resentment	n'ga a bu
reservation	dumua fa
reserve	sie
resident	tranfuɛ
resign	jasso i juman nu
resign	yaki i juman
resilience	i jranlɛ
resilient	n'ga fite ekun
resilient	n'ga ba ekun
resist	jran ʃin'ʃin
resistance	n'ga akula sua
resolution	n'dɛ sie sie lɛ
resolve	yo i kpa
resort	lika n'ga be do wun'mien
resources	like n'ga be ye lɛ i
respect	iyi yi sran
respond	tɛ su
response	i su tɛlɛ
responsibility	wɔ like
responsibility	wɔ n'dɛ
responsible	nian be su
rest	do wumien
rest in peace	min i wawuɛ ɔ klanman
restaurant	aliɛ diwa lika
restore	yo i wuflɛ
restrict	nian su kpa
result	i vie wlɛ
results	i vie wlɛ
resume	yo ekun
retail	kan'gan
retain	jran i
retention	i jran lɛ
retired	do umien
retreat	edi a juman kun
retreat	fiawlɛ
retrieve	fa
return	sa'assin
reveal	kan kle
revealed	kan kle
revenge	kɛ a yo sran like mɔ e yo wɔ vie
revenue	sika n'ga a ɲin i
reverse	i bue kun
review	nian nu ekun
revise	nian nu eku'n
revision	nian nu ekun
revolution	like kaki lɛ
reward	be man like
rhythm	i yole wafa
rib	banki fluwa
rice	avie ma
rich	wlogbi fuɛ
rid	yi i lɛ
ride	fu
ridiculous	fin'fin
right	kpa
right now	iʃra
rigid	kekle
ring	n'ga
rinse	salo
riot	sran kaka
rip	min nianmien sunman i
ripe	blo
rise	wukassu
risk	n'ga kula ɲan ɔ
rival	wla
river	nzue
road	atin'
roast	kinhin
robust	e lɛ umien
rock	yɛbuɛ
rod	waka n'ma
rod	fon'tron
role	i like n'ga e yo
roll	kpɛ iwun
roof	sua tissu
room	sua ba
root	i ja n'ma
rope	ɲan'man
rotten	kplɔwa
rough	kokloko
roughly	ni umien
round	i kun su
route	ati'n
routine	like kun'gba
row	ɔ bue n'ga a wo su
rub	waka
rubber	bi waka
rubbish	like fien
rude	kpoha kpoha
rug	bachi
ruin	saki
rule	n'mla
ruler	fussu
rules	n'mla
run	won'di
running	wondi lɛ
rural	klɔ kan
rural	nan'mue nu
rush	nin'dɛ
sack	yijɔ issu
sacred	n'ga be yoman
sacrifice	sraka
safe	alaje
safe flight	kɔ klanhan
safe flight	nianmien suman ɔ
safety	n'dɛ numan su
sage	n'gwlɛlɛ
said	seli
sail	n'zue su kɔlɛ
sailing	n'zue su kolɛ
sake	yijɔ assu
salary	akatua
sale	fien
salmon	jue
salt	n'jin'
same	ikun'gba
Same here	I kun'gba lefan
sample	i kun
sand	awun ɲan
Sanskrit	Sanskrit
sarcastic	srilɛ tɛ
sassy	i yin i a sran
sat	tran'li
satisfaction	yofɛ
satisfied	ɔ yo kpa
satisfy	eti pka
satisfying	e ti su
Saturday	fue
sausage	n'nin fle
savage	blo like
save	yo iye
saw	wun'lii
say	kan
scale	baskuli
scam	avie
scar	kan'nvuen
scarce	n'ga ti ya titi like
scared	yo srɛ
scarf	sumun
scary	eyo srɛ
scattered	trɛ trɛ wa
scattered	san'gan wa
scene	sa mu
scenery	filmi nu sa
scent	parfum
schedule	isun'zu'n lɛ
school	suklu
science	like n'ga blofuɛ me si'n
scientist	sran n'ga yo blofuɛ like
scientists	mu be n'ga be yi nin'gue
scissors	sizo mu
scold	yijɔ be su
scope	i vilɛnu
score	bi n'ga be wla
scrap	blalɛ
scratch	fuan fuan
scratch	e jajanu
scream	kpanlɛ
screen	i ecran
screen	i gnunu
screw	kpɛ i wun
script	filmi nu n'dɛ mu
sea	jen'zue
seal	tampon
search	kun'dɛ
season	afuɛ
seat	tran'wlɛ
seat	bia
second	i n'ɲon su
secret	kunnu n'dɛ
section	i bue
secure	ti kpa
security	n'ga sã tɛ numan lɛ
see	nian
see you	ye tɛ wo nu
see you later	ye tɛ wo nu
see you soon	ye tɛ wo nu
see you tomorrow	ye wo ayin'man
seed	n'ga be duali
seek	kun'dɛ
seem	eti kɛ
seems	e ti kɛ
seen	wun' i
seize	tra nu
seizure	i tralɛ
seldom	be ɲinmin i
seldom	n'ga tia titi like
select	fa kun
self	ibɔbɔ
self healing	yo ɔ wu'n are
selfish	awin fuɛ
sell	to
send	fa kɔ
send me your picture	fa wɔ foto blɛmi
senior	be su pkin
sense	i wafa n'ga
sensible	mon'ton
sensitive	n'ga ti a lekle
sent	fawɔli
sentence	fluwa klele
sentences	n'dɛ ma
separate	titi nu
Sepedi	Sepedi
september	septembri
sequence	i nuan kun
series	i bue bue nu
serious	sran kpa
seriously	mi n'dɛ kpa
serve	man like
service	like n'ga be yo
session	juman
set	fa sie
set up	isie sielɛ
setting	i sie sie lɛ
settle	pklan
seven	n'so
seventeen	blu ni n'so
seventy	ablo n'so
several	kaka
several	son'li
severe	kunnu vi
sew	kpa trãlɛ
shade	wawɛ
shadow	fɔnvɔ
shake	keje
shall	kula
shallow	timan tinnin
shame	yanzuin
shape	ibɔbɔ
share	man vie
sharp	lawa
she	blã
she has	e ti
she is	e ti
shed	lika
sheep	bua
sheet	fluwa
sheet	tan'ni
shelf	tabli kanhan
shell	i bu
shelter	fiawlɛ
shelter	sua
shield	blalɛ n'ga be fa kata be ɲunu be di utre
shift	kakilɛ
shine	kpaja
ship	kloklo ale dan
shipping	bato me like
shirt	fieto
shirt	culɔti
shoes	m'gbabua
shoot	to
shop	butiki
shopping	nin'gue tolɛ
shore	n'zue nuan
short	kpe
short	tia tin'nin
shortage	nin'gue n'ga nun manlɛ
shot	to
shoulder	wati
shout	to i
show	kle
show me	kle mi
shower	abialiɛ
shrimp	crevɛtti
shrink	kpɛ su
shut	tonu
shut up	kata i
shut up	tonu
shy	eyidjɔ man
sibling	niãn mu
siblings	niãn bla ni niãn yassua
sick	sandiman
side	bue
sigh	do umien
sight	nianlɛ
sightseeing	blofuɛ be nin'gue nianlɛ
sign	wun' i wlɛ
signature	i signaturi
significant	dan
significant	kpa
silence	ya di'n
silent	teman su
silk	koton
silly	sia n'gulɛlɛ
silver	sika
similar	ikun'gba
simp	eni sran yijɔ kpa
simple	pɔpɔ
simultaneously	nindɛ lɛ
since	efa fi'n
sincere	nan ato
sincerely	i pka i
sing	sro jue
sing	to jue
singer	jue tofuɛ
single	tʃɛgbaka bla
single	tʃɛgbaka yassua
sink	ewa yo tɛ
Sir	Bã
sister	nian' bla
sister in law	mi yi niãn bla
sister in law	mi niãn yi
sister in law	mi wa yi
sit	tran
site	lika
situation	n'dɛ
six	n'sien
sixteen	blu ni n'sien
sixty	ablossien
size	i tin'nin su
skill	n'ga kula yo
skills	like n'ga assi yi yo
skin	kplo
skinny	kɛklɛkɛ
skip	sin' su
skip	tu tra su
skirt	jupi
sky	nianmien su
slave	sran n'ga be yo i tɛtɛ
slave	sran di juman man sran
sleep	lafi
sleeping	lafilɛ
sleepy	lafi
sleeve	i sa
slice	kpɛ kpɛ nu
slide	seri
slightly	kan sa
slim	srɛrɛ
slim	kanhan
slip	seri
slope	ati'n ba
slot	kpakiwlɛ
slot	kpaki
slow	blɛ blɛ
slowly	blɛblɛ
slowly	blɛlɛ
small	kanhan
smart	n'gulɛlɛ
smell	fɛ i n'van
smile	sri
smoke	ta non'llɛ
smooth	mlonlon
snack	dɔ n'ga be di aliɛ su
snail	buke
snake	wo
snap	sata
snap	bu i
snow	blɔfuɛ me arɛ blɛ
so	issɔ ti
so cute	klanman
so far	mua
soak	wla n'zue nu
soap	san'mlan
sober	fa blɛ
soccer	banon
social	sran n'gba liɛ
society	ye sran mu
socks	sosseti
soft	mu'hin
soft	mon'ton
software	machini like
soil	saki
sold	yo i atɛ
sold out	fɛ
soldier	son'ja
sole	kun'gba
solid	kokloko
solution	n'dlɛ siesielɛ
solve	sie sie
some	be vie
somebody	sran
somehow	kan'gan
someone	sran
something	like
sometimes	tchinvie
song	jue
soon	n'dɛnu
sophisticated	ti pka
Sorani	Sorani
sore	ya
sore	kan'ni
sore throat	kɔmian bo ya
sorrow	yatɛ
sorrow	sunlɛ
Sorry	Yaki
sort	fite
sought	kun'dɛ
soul	wawɛ
soulmate	mi wun
soulmate	mi yi
sound	eti kɛ
soup	tro
sour	vi
sour	klakla
source	ibolɔ
source	ifi'nwlɛ
south	ja n'gua
space	lika
spam	bue tɛ
span	pkɛwun
Spanish	Espaɲoli
spare	si'n
speak	yijɔ
special	kun'gba
species	iwafa
specific	kun'gba
spectacular	n'ga sran me nian i kaka
speech	ijɔ lɛ
speechless	e lɛman ninh
speed	nin'dɛ
spell	bo bo
spend	di
spent	sin
spent	di sika
spicy	mankun wo nu
spike	pointi
spin	kpɛ i wun
spinach	n'dre
spirit	wawɛ
spit	ti nuan n'zue
splendid	klanman kpa
split	kpɛnu
split	titinu
spoil	saki
spoiled	saki
spontaneous	ilɛ fan
spoon	atiɛ
spot	juman
spouse	yi
spouse	bla
spread	trɛ
spring	afuɛ n'ga
square	lo'ngo
square	lika
squeeze	tʃoin nu
squid	n'zue nu jue drongon drongon
squirrel	aklemia
st	i ku'n su
stab	wɔ ni kue
stable	fɔwun
stack	ibɔlɛ kun
staff	be wumuan
stage	like suan lɛ
stain	fien
stairs	fuwlɛ mu
stake	i vie wlɛ
stalk	waka n'ma
stalk	fon'tron
stall	i tilɛ
stamp	tampon
stand	jasso
standard	iti ti like
star	n'zrama
start	bo i bo
started	wa bobo
starving	awo
starving	awo kun'i
state	kle ni ɔ sa
statement	yi djɔlɛ
station	lika n'ga be fa essenci
statue	waka sran
statue	akatia
status	wakasran
stay	tran
stay safe	sie awun pka
stay safe	tran pka
steady	efa ɔ n'glo
steak	n'nin
steal	wa
steam	wun'srin
steel	blalɛ
steep	kiawa
stem	i n'ma wuflɛ
step	ibue kan
stick	man'tan
stiff	kekle
still	eku'n
sting	san
sting	sanyi
stingy	sran n'ga kwla sika manlɛ
stir	keje
stock	ibo lɔ
stolen	wali
stomach	kunnu
stone	yɛbuɛ
stood	yalilɛ
stool	bia
stop	djran
storage	issie wlɛ
store	sua n'ga be sie nigue me nu
storm	n'zu n'ga tɔ tɛ
story	n'dɛ
stove	be sa gan
straight	srere
straightforward	issu strere
strain	afɛ
strain	wumien
strain	tin'guɛ nu
strange	etiyɛ issu
stranger	aofuɛ
strategy	isie sie lɛ
straw	fefe
strawberry	waka n'ma n'ga be fa yo divin
streak	tʃoin
stream	n'ga sin dɔ kula su
street	ati'n
street	apkɔ
strength	umien
stress	srɛ
stretch	tʃoin nu
strict	tʃin'tʃin
strike	gnanman
string	ɲanman
strip	wa i
strip	like paplapa
strive	yo i kpa
strive	mian a yin'
stroke	tukpa ʃɛ
strong	ti yassua
struck	fin'yi
structure	societe sua
struggle	jran kekle
struggling	di wutre
stubborn	yi su kekle
stuck	mantan
student	suklu ba
study	nian fluwa nu
studying	fluwa suanlɛ
stuff	niggue
stuff	like
stunning	mantan
stupid	sin'gli'n
style	iwafa n'ga e ti
style	iwafa n'ga e fa yo
subject	n'dɛssɔ
submission	pklin su
submit	fa man
substance	like n'ga be fa yo
substitute	i wuflɛ sie lɛ
subtle	like n'gbin
succeed	yo kpa
success	aklunjuɛ
successful	eyo li kpa
such	n'ga
such as	kɛ
suck	non
sudden	itchra
suddenly	issulɛ
suffer	fɛ
suffering	fɛlɛ
sufficient	eju
sugar	sukula
suggest	man akun'nda
suggestion	aku'nda
suit	eya
suitable	tikpa
suitcase	valizi
sum	issu ukalɛ
summary	i kpe
summer	wawa
summit	i ti
sun	via
sunday	mɔnnɛn
sunny	eni via
sunset	via tɔwlɛ
sunshine	via
super	kpa
superior	ikpin
superior	itissu
supervisor	be su nian fuɛ
supper	aliɛ
supply	man
support	wuka
suppose	n'bu kɛ
supposed	bu kɛ
sure	lafissu kɛ
surface	issu
surge	issu uka
surgery	dɔtrɔ operation
surname	dun'man
surprise	e bo nuan
surprised	e fu i nu
surrender	yaki i sɔ
surrender	yaki nu
surrounding	i wu'n
surveillance	su nianlɛ
survey	ussawlɛ nu
survive	wa wuman
survive	tɛ dimin
suspect	yi ɛ yoli
suspended	kpɛ kpo
suspicious	bu kɛ
sustain	ma wunmien
sustainability	itʃele
sustainable	n'ga ʃɛ
swag	like n'ga be ɲin i
swallow	min'
swap	be wun kaki lɛ
swear	di iti amu
sweat	wun'fle
sweater	tralɛ
sweep	tʃuan
sweet	ninkin ninkin
sweet	yo fɛ
sweet dreams	laflɛ kpa
sweet tooth	mli'n m'lin
sweetheart	mi anwlin
swell	ya lɛ
swelling	yalɛ
swim	wɛ n'zue
swimming	n'zue wɛ wa
swing	toto yi
switch	nuan hi
swollen	hun'wa
sword	besse
sword	tokofi
symbol	be like n'ga be fa sie be n'zɔliɛ
sympathy	eni sran be yijɔ
symptoms	iyolɛ wafa
system	iyowlɛnu
table	tabli
tackle	kan i
tag	sie n'zɔliɛ
tail	du'ã
take	fa
take away	fa kɔ
take care	nien issu
take off	man su
taken	fali
talk	yidjɔ
talkative	yi jo fuɛ dan
tall	ɔ kula yossi
tap	tin su
tape	kasseti
target	ivie wlɛ
task	juman kekle
taste	nian i fɛ
tasty	eyo fɛ
taught	suan
tea	te
teach	nin'gue klelɛ
teach	fluwa klelɛ
teacher	sran n'ga kle flua
team	ye sran bue mu
tear	sun
tears	yima n'zue
tease	kin n'gua
technology	blɔfue like
teeth	nuan nu je mu
tell	kan
tell	se
tell me	se mi
temper	yeliɛ
temperature	lika dolɛ
temple	nianmien sua dan
temporary	blɛ kun
ten	blu
ten thousand	koto kun blu
tenant	ifuɛ
tend	tin'guɛ
tendency	isso n'dɛ
tender	monton'h
tender	juman
tense	srɛ
tension	ya n'a wo inu
tent	bachi
tentative	iyo lɛ eku'n
term	issɔ like
terms	yi jowlɛ mu
terrible	tʃin'djin
terrible	kekle
terrific	n'ga yo srɛ
territory	asiɛ
test	juman nianlɛ
text	klɛwa
than	tra
thank	kula
thank you	n'yo kula
Thank you for your patience while we investigate shipment	ye yo amu kula ni midɛlɛ kɛ yefa nian nigue me fakɔlɛ me su
thank you so much	n'yo ame kula kpa
thank you very much	n'yo wɔ kula kpa
thanks	amu kula
Thanks for using our app	Ye yo ame kwla ni ye machini like fa yo lɛ
that	n'ga
that is	e ti
that's good	eti kpa
the	kou'n
theft	avie
their	be
them	be
theme	n'dɛ
themselves	be bɔ
then	issɔ ti
theory	n'dɛ kun
there	lɛ
there are	be o
there are	be ti
there is	be wo
there is	vie ɛ
therefore	itiyɛ
these	like n'ga mu
they	be
they are	be ti
thick	gbugblugbu
thief	avie fuɛ
thigh	sɔwa
thin	kɛklɛkɛ
thin	srɛrɛ
thing	like
thing	nin'gue
things	nin'gue mu
think	bu akun'nda
third	n'san su
thirsty	n'zue oho ku'n
thirteen	blu ni n'san
thirty	abla n'san
this	n'ga
this is	n'ga yɛ
thorough	i'nu
thoroughly	i sin'wlɛ su
those	like n'ga mu
though	sanguɛ
thought	agun'da
thoughtful	bu akun'nda
thoughtful	nian sran lika
thoughts	akun'nda bulɛ
thousand	koto kun kon
thread	ɲanman
threat	n'dɛ n'ga wo assu
threaten	yijɔ be su
three	n'san
threshold	anuan
threshold	inuanssu
thrilled	yo i fɛ
thrive	yo kpa
thrive	ɲan sika
throat	kɔmian bo
through	efassi'n
throughout	inu
throw	to
thumb	sãma kokotre
thunder	n'gblanlan
Thursday	Jɔlɛ tʃin
thus	yɛ
tick	ja nu
tide	n'zue
tidy	siessie wa
tie	cravati
tiger	jra
tight	mian
Tigrinya	Tigrinya
time	dɔ
timid	di'n
timid	e yijo man
tiny	kanhan
tip	akun'nda kpa
tips	agun'da mu
tire	pine
tired	fɛ
tissue	tan'ni
title	iti
title	ibo bo wlɛ
to	i
to be	ti
toast	kinhin
today	andɛ
toddler	bakan
toes	jama
together	ye n'gba
toilet	wun'ziwlɛ
told	seli
tolerance	pklin like me su
tolerate	yaki nu
tomato	tomati
tomorrow	ayin'man
tongue	anien
tongue	taflan'man
tonight	n'dɔ sua n'ga
too	eni
too	ekun
took	fali
tool	like
tools	like'mu
tooth	je
top	klan'man
top	n'glo
topic	n'dɛ
torn	titi li
torture	akuatika
total	i n'gba
touch	kinhi
tough	kokloko
tough	kekle
tour	kpɛhi wun
toward	ibue lɔ
towards	ibue liɛ su
towel	like n'ga be fa nun'nun'bé nuan wu
towel	torichon
town	min'h
toxic	ti man kpa
trace	ati'n
trace	issi'n wlɛ
track	ati'n
track	sin'sin wlɛ
trade	niggue tɔnilɛ
trade	nin'gue atɛ
tradition	m'mla
tradition	laa m'mla
traditional	laha nin'gue
traffic	loto me sin'wlɛ nu
trail	ati'n
train	ale
training	nin'gue suan lɛ
trait	jawlɛ
traits	i n'zɔliɛ
transfer	fa kɔ
transition	i kakilɛ
translate	kin ibo
transparent	n'ga be wun'nu
transport	loto sika
transport	loto mu
transportation	i fa kolɛ
trap	aya
trap	tra
trash	wula utuwlɛ
trauma	akun'nda wa san'gan
travel	lika kɔlɛ
tray	gan'nan
tray	kpon'gbo dan
treasure	like kpa
treat	fɛ i
treatment	iyo lɛ
tree	n'san
