a	Ein
record	skjal
recover	koma fyri seg
recovery	heilsubót
rectangle	rættvinklaður
red	reytt
redeem	gjalda skuldina aftur
redemption	útgjalding
reduce	minka
redundant	óneyðugur
refer	vísa til
reference	tilvísing
reflect	varpa aftur
reflection	afturbragd
refrain	niðurlag
refrigerator	kuldaskáp
refund	endurgjaldiing
refuse	nokta
refused	sýttur
regard	at meta høgt
regarding	viðvíkjandi
regardless	uttan mun til
regards	virðing
region	øki
register	skrá
regret	angra
regular	fastur kundi
regularly	regluliga
reject	kveistra burtur
relate	siga frá
related	skyldur við
relationship	parlag
relative	skyldfólk
relatives	skyldfólk
relax	slappa av
release	leysgeving
release	geva út
release	sleppa av við
released	leysgivin
relevant	sum hevur týdning
reliable	álítandi
relief	lætti
relieve	lætta
relieved	lætnaður
religion	átrúnaður
religious	trugvandi
reluctant	trekur
rely	líta á
remain	verða
remain	standa eftir
remain	blíva
remaining	verandi
remarkable	óvanligur
remedy	hjálparráð
remember	minnast
remind	áminning
reminder	áminning
remote	fjarur
remove	taka burtur
render	veiting
rent	leiga
repair	umvæla
repeat	endurtøka
replace	seta í staðin
reply	svara
reply	endurtaka
report	frágreiðing
report	tíðindasending
represent	umboða
reputation	mæti
request	umbøn
require	krevja
required	kravdur
required	ásettur
required	skydligur
rescue	bjarging
research	gransking
resemble	minna um
resemble	líkjast
resentment	agg
reservation	bílegging
reserve	goymsla
resident	íbúgvi
resign	fara úr starvi
resilience	lívsmáttur
resilient	seigur
resist	standa ímóti
resistance	mótstøða
resolution	støðufesti
resolve	loysa
resort	útvegur
resources	snarræði
resources	megi
respect	virðing
respond	aftursvar
response	svar
response	aftursvar
responsibility	ábyrgd
responsible	sum ber ábyrgd av
responsible	ábyrgur
rest	hvíla
rest in peace	hvíl í friði
restaurant	matstova
restore	umvæla
restrict	avmarka
result	úrslit
results	úrslit
resume	taka uppaftur
retail	smásøla
retain	varðveita
retention	varðveiðsla
retired	loystur úr starvi
retreat	afturtøka
retrieve	fara
return	heimkoma
return	afturkoma
reveal	avhylja
reveal	siga frá
reveal	avdúka
revealed	avdúkaður
revenge	hevnd
revenue	inntøka
reverse	vend
review	yvirlit
revise	endurskoðan
revision	endurskoðan
revolution	uppreistur
reward	samsýning
rhythm	rútma
rib	rivjabein
rice	rís
rich	ríkur
rid	loysa
ride	túrur
ride	súkklutúrur
ride	koyritúrur
ridiculous	tápuligt
ridiculous	láturligt
right	rættindi
right	rættur
right now	beint nú
rigid	stívur
ring	ringur
rinse	reinsan
riot	ófriður
rip	skrædl
ripe	búgvin
rise	rísa
risk	vandi
rival	sambiðil
rival	kappingarneyti
river	á
road	vegur
roast	steik
robust	treystur
rock	rokkur
rod	stong
role	leiklutur
roll	rulla
roof	tak
room	rúm
root	rót
rope	reip
rotten	rotið
rough	ráur
roughly	harðliga
round	rundur
route	farleið
routine	handahógv
row	røð
rub	vandamál
rubber	gummi
rubbish	rusk
rude	ófólkaligt
rude	ófólkaligur
rug	teppi
ruin	toft
rule	at stýra
ruler	lineal
ruler	valdsharri
rules	reglugerð
run	renna
running	renning
rural	bygdarligur
rush	skund
sack	sekkur
sacred	heilagur
sacrifice	offur
safe	tryggur
safe flight	trygga flogferð
safety	trygd
sage	vísmaður
said	segði
sail	salt
sailing	siglur
sake	søk
salary	løn
sale	søla
sale	útsøla
salmon	laksur
salt	salt
same	sama
Same here	sama her
sample	roynd
sand	sandur
Sanskrit	Sanskrit
sarcastic	speiskur
sassy	frekur
sat	sat
satisfaction	nøgdsemi
satisfied	nøgdur
satisfy	nøktandi
satisfying	nøktandi
Saturday	leygardagur
sausage	pylsa
savage	villmaður
savage	illmenni
save	bjarga
saw	sá
say	sig
say	siga
scale	lønarstigi
scam	skálkagerð
scar	arr
scarce	knappur
scared	bangin
scarf	turriklæði
scary	ræðandi
scattered	knústur
scene	pallur
scenery	vakurt landslag
scent	angi
schedule	skrá
schedule	tíðarætlan
schedule	arbeiðsætlan
school	skúli
science	vísund
scientist	vísindafólk
scientists	vísindafólk
scissors	saksur
scold	skelda
scope	rúmar ræsur
score	støða
scrap	spjørr
scratch	klóran
scream	skíggja
screen	skýggi
screw	skrúva
script	handrit
sea	hav
seal	innsigli
search	leita
season	árstíð
seat	setur
second	sekund
secret	loyndarmál
section	partur
secure	tryggur
security	trygd
see	síggja
see you	vit síggjast
see you later	síggjast seinni
see you soon	síggjast skjótt
see you tomorrow	síggjast í morgin
seed	fræ
seek	leita eftir
seem	tykist
seems	tykist
seen	sá
seize	tríva í
seizure	tøka
seldom	sjáldan
select	kjósa
select	velja
self	sjálvur
self healing	sjálvsleking
selfish	sjálvsøkin
sell	selja
send	senda
send me your picture	send mær tína mynd
senior	eldri
sense	sansa
sensible	vitugur
sensitive	viðkvæmur
sent	sent
sentence	setningur
sentences	setningar
separate	skilja
separate	sundurluta
Sepedi	Sepedi
september	septembur
sequence	partur
series	sendirøð
serious	álvarsamur
serious	álvarsamt
serious	álvarsom
seriously	í álvara
serve	tæna
service	tænasta
session	seta
set	seta
set up	skipna
setting	at fara niður
settle	bonkur
seven	sjey
seventeen	seytjan
seventy	sjeyti
several	fleiri
severe	álvarsamur
sew	seyma
sh	Sh
shade	skuggi
shadow	skuggi
shake	rysta
shall	skulu
shallow	grunnur
shame	skomm
shape	snið
shape	skap
shape	formur
share	deila
share	luta
sharp	hvassur
she	hon
she has	hon hevur
she is	hon er
shed	skúr
sheep	seyður
sheet	ark
shelf	hill
shell	skal
shelter	vernd
shield	skjødur
shift	skifti
shine	skina
shine	lýsa
ship	skip
shipping	skipan
shirt	skjúrta
shoes	skógvar
shoot	skjót
shop	handil
shopping	keypa
shore	strond
short	stuttur
shortage	trot
shot	skot
should	skuldi
shoulder	øksl
shout	rópa
show	framførsla
show	vísa
show	sýna
show me	vís mær
shower	bað
shrimp	rækja
shrink	svinna
shut	afturlatið
shut up	tig
shy	leypa til viks
shy	smæðin
sibling	systkin
siblings	systkin
sick	sjúkur
side	síða
sigh	suffa
sight	sjón
sightseeing	vitjan á kendum støðum
sign	teknin
sign	skelti
signature	undirskrift
significant	týdningarmikil
significant	týðandi
silence	stilli
silent	stillur
silk	silki
silly	býtt
silly	býttlingur
silly	býttur
silver	silvur
similar	eins
simp	býttlingur
simple	einfalt
simultaneously	samsundis
since	síðan
sincere	hjartaligur
sincerely	ærliga
sing	syng
singer	sangari
single	stakur
single	støk
sink	vask
Sir	Harri
sister	systir
sister in law	bróðurkona
sit	sit
site	stað
situation	støða
six	seks
sixteen	sekstan
sixty	trýss
sixty	seksti
size	stødd
skill	gávur
skills	evni
skin	húð
skinny	klænur
skip	lop
skirt	kjóli
sky	himmal
slave	trælur
sleep	svav
sleeping	svevur
sleepy	linur
sleeve	erma
slice	flís
slide	glið
slightly	eitt sindur
slim	slakna
slip	glið
slope	skrái
slot	riva
slow	seinur
slowly	spakuliga
small	lítil
smart	snildur
smell	luktur
smile	smíl
smoke	roykur
smooth	smildliga
snack	argjamáltíð
snail	snigil
snake	slanga
snap	klamsur
snow	kavi
so	so
so cute	so elskuligur
so cute	so fittur
so far	higartil
soak	dýggjan
soap	sápa
sober	edrúur
soccer	fóbóltur
social	sosialur
society	samfelag
socks	sokkar
soft	bleytur
software	forrit
soil	mold
sold	seld
sold out	útselt
soldier	hermaður
sole	sóli
solid	fast evni
solution	avgerð
solve	loysa
some	nakrir
some	nøkur
some	nakrar
somebody	onkur
somehow	onkusvegna
someone	onkur
something	okkurt
something	eitthvørt
sometimes	viðhvørt
sometimes	av og á
song	songur
soon	skjótt
sophisticated	fínligur
Sorani	Sorani
sore	sárur
sore throat	ilt í hálsinum
sorrow	sorg
Sorry	Orsaka
Sorry	Umber
sort	slag
sought	umbiðin
soul	sál
soulmate	andans vinur
sound	ljóð
soup	suppa
sour	súrur
source	kelda
south	suður
space	rúm
spam	ruskpostur
span	spenni
Spanish	spanskt
spare	spara
speak	tosa
special	serligur
species	slag
specific	serstakur
specific	neyvur
spectacular	stórfingin
speech	røða
speechless	málleysur
speed	ferð
spell	stava
spend	nýta
spend	brúka
spent	nýtti
spicy	kryddaður
spike	píkur
spin	hvirlan
spinach	spinat
spirit	andi
spit	spíta
splendid	framúrskarandi
split	klúgva
spoil	oðileggja
spoiled	spiltur
spontaneous	spontanur
spoon	skeið
spot	stað
spouse	maki
spread	spjaða
spring	vár
square	fýrkantur
squeeze	kroysta
squid	høgguslokkur
squirrel	íkorn
stab	stinga
stable	rossafjós
stack	lað
staff	starvsfólk
stage	pallur
stain	blettur
stairs	trappur
stake	steyri
stalk	tráelta
stall	steðgaði
stamp	frimerki
stand	standa
standard	støði
star	stjørna
start	byrjan
started	byrjaði
starving	hungurstungin
state	lega
state	støða
state	ríki
statement	boð
statement	frásøgn
statement	fráboðan
station	støð
statue	standmynd
status	støða
status	standur
stay	verða verandi
stay	uppihald
stay safe	ansa eftir tær
steady	støðugur
steak	búffur
steal	stjala
steam	dampur
steel	sjala
steep	bratti
stem	stelkur
step	fet
stick	pinnur
stiff	stívur
still	framvegis
still	longu
still	enn
sting	stinga
stingy	pírin
stir	rørsla
stock	goymsla
stolen	stolið
stomach	búkur
stone	steinur
stood	stóð
stool	skjóta
stop	steðga
storage	goymslurúm
store	handil
storm	ódnarveður
story	søga
stove	ovnur
straight	beint
straight	beinur teinur
straight	beint strekki
straightforward	beina leið
strain	órógva
strange	løgin
stranger	fremmandur
strategy	strategi
straw	strá
strawberry	jarðber
streak	strika
stream	streymur
stream	stroyma
street	gøta
strength	styrki
stress	strongd
stretch	toyggja
stretch	teinur
strict	strangur
strike	slag
string	snórur
strip	ál
strive	stremba
stroke	tilburður
strong	sterkur
struck	sligin
structure	uppbygging
struggle	stríð
struggle	strev
struggling	stríðist
stubborn	treiskur
stubborn	tvørur
stuck	fangaður
student	lesandi
study	lestur
study	nám
studying	lesnaður
stuff	evni
stuff	tilfar
stunning	yndisligur
stupid	býttur
style	stílur
subject	evni
submission	undirgivin
submit	geva seg undir
substance	evni
substitute	eftirgerð
subtle	hárhvassur
succeed	eydnast
success	gott úrslit
successful	væleydnaður
such	slíkur
such	tílíkur
such	sovorðin
such as	sum til dømis
suck	súgving
sudden	knappligur
suddenly	brádliga
suddenly	knappliga
suffer	líða
suffer	pínast
suffering	líðing
sufficient	nóg mikið
sugar	sukur
suggest	skjóta upp
suggest	sipa til
suggestion	uppskot
suit	klædningur
suitable	hóskandi
suitable	sum hóskar
suitcase	kuffert
sum	peningaupphædd
summary	samanumtøka
summer	summar
summit	tindur
sun	sól
sunday	sunnudagur
sunny	sólskygdur
sunset	sólsetur
sunshine	sólskin
super	nógvur
superior	yvirmaður
supervisor	umsjónarfólk
supper	nátturði
supply	útgerð
support	stuðul
suppose	halda
supposed	væntaður
sure	vissur
sure	ivaleyst
sure	vísur
surface	yvirfláti
surge	brotasjógvur
surgery	skurðviðgerð
surname	fornavn
surprise	kemur óvart á
surprised	tikin á bóli
surrender	at lata av hondum
surrounding	umhvørvi
surveillance	eftirlit
survey	umsjón
survey	yvirlit
survey	kanning
survive	yvirliva
suspect	undir illgruna
suspended	hongdur upp
suspicious	illgrunasamur
sustain	halda á
sustainability	burðardygni
sustainable	burðardyggur
swag	blómuleinkja
swallow	svølg
swap	umbýti
swear	svørja
sweat	sveitta
sweater	troyggja
sweep	sópan
sweet	søtt
sweet	søtur
sweet dreams	droym søtt
sweet tooth	søt tonn
sweetheart	elskaði
sweetheart	elskaða
swell	bólgnan
swelling	bólgnaður
swim	svimja
swimming	svimjing
swing	reiggja
switch	kontakt
swollen	bólgnaður
swollen	hovin
sword	svørð
symbol	tekin
sympathy	samkensla
symptoms	eyðkenni
system	skipan
table	borð
tackle	reiðskapur
tag	spjaldur
tail	hali
take	taka
take away	sum kann takast heim við
take care	ansa eftir tær
take off	fráferð
taken	tikin
talk	tosa
talkative	prátingarsamur
tall	høgur
tap	klikk
tape	band
target	mið
task	starv
taste	smakkur
taste	munnbiti
tasty	smakkgott
taught	lærdi
tea	te
teach	læra
teach	frálæra
teacher	lærari
team	toymi
tear	tár
tears	tár
tease	arga
technology	tøkni
teeth	tenn
tell	siga frá
tell me	sig mær
temper	sinnalag
temperature	hitastig
temple	tempul
temporary	fyribils
ten	tíggju
ten thousand	tíggju túsund
tenant	leigari
tend	røkja
tendency	lyndi
tender	eymur
tender	mjukur
tense	fjálturstungin
tense	spentur
tension	spenning
tent	tjald
tentative	roynd
term	skeið
terms	máliska
terrible	ræðuligur
terrible	øgiligur
terrific	framúrskarandi
territory	lendi
test	roynd
text	tekstur
than	enn
thank	tøkk
thank you	Takk fyri
Thank you for your patience while we investigate shipment	Takk fyri títt tolsemi meðan vit kannað ferming
thank you so much	stóra tøkk
thank you very much	stóra tøkk
thanks	Takk fyri
Thanks for using our app	takk fyri at tú nýtti app okkara
that	tað
that is	hetta er
that's good	tað er gott
the	tað
theft	stuldur
their	teirra
them	tey
theme	evni
themselves	sjávlir
themselves	sjálvar
then	tá
theory	ástøði
there	har
there are	har eru
there is	har er
therefore	tí
these	hesi
they	tey
they are	tey eru
thick	tjúkkur
thief	tjóvur
thigh	lær
thin	klænur
thin	tunnur
thing	lutur
things	lutir
think	hugsa
third	triðingur
thirsty	tystur
thirteen	trettan
thirty	tríati
this	hetta
this is	hetta er
thorough	nágreiniligur
thoroughly	fullkomuliga
those	hasi
those	hasar
those	hasir
though	tó at
though	hóast
though	men
thought	tanki
thought	hugsan
thoughtful	hugsunarsamur
thoughts	tankar
thousand	túsund
thread	tráður
threat	hótta
threaten	hótta
three	trý
threshold	gátt
thrilled	eldhugaður
thrive	trivnaður
throat	hálsur
through	gjøgnum
throughout	alla tíðina
throughout	úr enda í enda
throw	blaka
thumb	tummil
thunder	tora
Thursday	hosdagur
thus	á henda hátt
thus	soleiðis
tick	slikka
tide	fljóð og fjøra
tidy	nossligt
tidy	reint
tie	binda
tiger	tikari
tight	tættur
tight	tættskipaður
Tigrinya	Tigrinya
time	tíð
timid	mótleysur
tiny	lítil
tip	oddur
tips	drykkipengar
tire	dekk
tired	troyttur
tissue	vevnaður
title	heiti
to	til
to be	at vera
toast	skál
today	í dag
toddler	smábarn
toddler	óviti
toes	tær
together	saman
toilet	vesi
told	segði frá
tolerance	tolsemi
tolerate	tola
tomato	tomat
tomorrow	í morgin
tongue	tunga
tonight	í kvøld
too	eisini
took	taka
tool	amboð
tools	amboð
tooth	tonn
top	tindur
top	toppur
topic	evni
torn	sundurskræddur
torture	píning
total	samantald upphædd
touch	nerta
tough	tó
tour	rundferð
toward	imóti
towards	móti
towel	handklæði
town	býur
toxic	eitrandi
trace	spor
track	gøta
track	slóð
track	rás
trade	starv
tradition	siðvenja
traditional	siðbundin
traffic	ferðsla
trail	gøta
train	tok
training	venjing
trait	andlitsbragd
traits	eginleiki
transfer	flutningur
transition	yvirgonga
translate	týða
transparent	skyggin
transport	sending
transport	flutningur
transportation	flutningur
trap	fella
trash	skrell
trauma	sálarligur snuddur
travel	ferðast
tray	bakki
treasure	skattur
treat	fara við
treatment	viðgerð
tree	træ
tremendous	skelkandi
trend	stevna
trial	royndarkoyring
trial	rættarkanning
trick	snildir
tried	royndi
trigger	elva til
trim	formur
trip	ferð
trouble	trupulleiki
trousers	buksur
truck	lastbilur
true	sandur
trunk	viðførisrúm
trust	álit
truth	sannleiki
try	royna
Tsonga	Tsonga
tube	slanga
Tuesday	týsdagur
tuition	undirvísing
tuition	leiðbeining
turkey	kalkun
turmeric	gurkemaia
turn	snúningur
turtle	skjaldbøka
tutor	universitetslærari
twelve	tólv
twenty	tjúgu
twenty-one	einogtjúgu
Twi	Twi
twice	tvær reisur
twist	surra
two	tvey
type	slag
typical	eyðkendur
ugly	ljótur
ultimate	endaligur
umbrella	regnskjól
unable	ikki vera førur fyri
uncle	pápabeiggi
uncle	mammubeiggi
unconscious	i óviti
under	undir
underneath	undirsíða
underrated	undirmeta
understand	skilja
understood	skilti
unfortunately	tíverri
unfortunately	til alla vanlukku
unfortunately	vanlukkutíð
uniform	herbúni
unique	framúrskarandi
unique	eindømi
unique	frálíkur
unit	eind
university	lærdur háskúli
unknown	ókendur
unless	uttan
until	inntil
unusual	óvanligur
up	upp
up to you	tað er upp til tín
update	dagføring
upgrade	betring
upon	á
upset	óð
upset	uppøst
urban	býar
urge	eggjan
urgent	skund
us	okkum
use	nýta
used	brúktur
useful	gagnligur
useless	ónýtiligur
usual	vanligur
usually	vanliga
utility	gagn
vacation	frítíð
vacation	fráflyting
vaccination	koppseting
vaccine	koppingarevni
vacuum	tómi
vague	veikur
valid	væl grundaður
valley	dalur
valuable	virðismikið
value	verð
variety	fjølbroytni
various	ymisir
various	ymissir
various	ymiskir
vary	broytast
vase	vasi
vast	ovurstórur
vegetable	grønmeti
vegetables	grønmeti
vehicle	akfar
vendor	seljari
venom	eitur
venture	váðaverk
venue	staður
verify	kanna
versatile	fjølkønur
version	útlegging
version	frágreiðing
version	avbrigdi
vertical	loddrættur
very	ógvuliga
very	sera
very	berur
very good	sera gott
vessel	kar
via	um
vibe	darran
vibe	titran
vibes	darran
vibes	titran
vicious	óreinur
victim	offur
video	sjónband
view	útsýni
village	bygd
villain	illmenni
vinegar	edikur
vintage	árgangs
violence	harðskapur
violent	harðligur
viral	fer sum eldur um alnetið til teldupostar og sosialar miðlar
virgin	jomfrú
virtual	veruligur
virtue	dygd
vision	sjón
visit	vitjan
visual	myndapartur
vital	lívsneyðugur
vivid	livandi
vocabulary	orðafeingi
voice	rødd
void	tómrúm
volume	ljóðstyrki
volume	nøgd
volunteer	sjálvboðin
vomit	spýggja
vulnerable	viðbrekin
wage	løn
wages	løn
waist	miðja
wait	bíða
waiter	tænari
waiting	bíðing
wake	vakin
wake up	vakna
walk	ganga
walking	ganga
wall	veggur
wallet	pengamappa
wander	ganga
wanna	vil
want	vilja
wanted	verða ynsktur
war	kríggj
wardrobe	klædnaskáp
warehouse	vøruhús
warm	heitt
warn	ávara
warning	hitandi
warrior	hermaður
was	var
wash	vaska
waste	spilla
watch	hyggja
watch	síggja
watch	varðhald
water	vatn
watermelon	vatnmelón
wave	alda
way	vegur
we	vit
we are	vit eru
we can	vit kunnu
weak	veikur
weakness	veikleiki
wealth	ríkidømi
wealthy	ríkur
wear	ílatin
wearing	brúkt
weather	veður
wedding	brúdleyp
Wednesday	mikudagur
weed	illgras
week	veikur
weekend	vikuskifti
weight	vekt
weight	lodd
weird	løgi
welcome	ger so væl
welcome	vælkomin
welfare	vælferð
Well	Gott
well done	væl frágingið
went	fór
were	vóru
west	vestur
wet	vátur
whale	hvalur
what	hvat
what about you	hvussu við tær
what are you doing	hvat ger tú
what are you doing now	hvat ger tú nú
what are you doing now	hvat ger tú í løtuni
what are you doing right now	Hvat ger tú beint nú
what do you do	hvat ger tú
what do you do for a living	hvørjum arbeiðir tú við
what do you do for a living	hvørjum tekst tú við
what do you do for a living	Hvat er starv títt
what do you mean	hvat meinar tú við
what do you want	hvat vilt tú
what happened	hvat hendi
what happened	hvat fór fram
what is	hvat er
what is this	hvat er hetta
what is your job	hvørjum starvast tú við
what is your name	hvussu eitur tú
what's up	Hvussu gongur
what's your name	hvussu eitur tú
whatever	óansæð
wheat	hveiti
wheel	hjól
when	tá
whenever	tá tað liggur fyri
where	hvar
where are you	hvar ert tú
where are you from	hvaðini er tú
where are you from	hvaðani er tú
where are you from	Hvar er tú frá
where are you now	hvar er tú nú
where do you live	hvar byr tú
where is	hvar er
whereas	harafturímóti
whether	um
whether	antin
which	hvat
which	hvør
while	ímeðan
while	tíð
while	løta
whisper	teska
whistle	floyta
white	hvítt
who	hvør
who are you	hvør er tú
who is	hvør er
who is this	hvør er hetta
whole	heilt
whom	hvør
whose	hvørs
why	hví
why not	hví ikki
wicked	óndur
wicked	óreinur
wide	miskast
wide	breiður
widow	einkja
width	vídd
wife	maki
wife	kona
wild	villur
will	vil
willing	viljugur
win	vinna
wind	vindur
window	vindeyga
window	gluggi
windy	vindmikil
wine	vín
winter	vetur
wipe	at turka av
wire	veirur
wisdom	vísdómur
wise	vísur
wish	ynski
wish you all the best	eg ynski tær alt tað besta
witch	heks
with	við
withdraw	taka aftur
withdrawal	afturtøka
within	innan
within	innvortis
without	við ongum
without	uttan
witness	vitni
witty	stuttligur
wolf	úlvur
woman	kvinna
women	kvinnur
won	vunnu
won't	vil ikki
wonder	undur
wonder	undurverk
wonderful	ótrúligur
wonderful	undurfullur
wonderful	undursamur
wood	træ
wool	ull
word	orð
words	orð
work	arbeiði
work out	íðka
working	arbeiður
world	heimur
worm	ormur
worn	brúkt
worried	stúrin
worry	ekki
worse	verri
worship	guddyrkan
worst	ringast
worth	virði
worth it	tað var tað vert
worthy	verdigur
would	vil
would	vildi
wound	sár
Wow	Wow
wrap	balla uttan um
wrath	vreiði
wrist	handlið
write	skriva
Write here	skriva her
writing	skriva
written	skrivað
wrong	skeift
wrote	skrivaði
yard	garður
yawn	geisp
Yeah	Ja
year	ár
years	ár
yeast	ger
yell	róp
yellow	gult
Yes	Ja
yes baby	ja, góða
yes baby	Ja, góði
yes dear	ja, góða
yes dear	ja, góði
yes honey	ja, góða
yes honey	ja, góði
yes my love	ja, mín elskaða
yes my love	ja, mín elskaði
yes of course	ja, sjálvsagt
yesterday	í gjár
yet	enn
yield	avgrøði
you	tú
you are	tú er
you are beautiful	tú er vøkur
you are beautiful	tú er vakur
you are so beautiful	tú er so vøkur
you are so beautiful	tú er so vakur
you are welcome	onki at takka
you are welcome	ger so væl
you can	tú kanst
you can	tú kann
You know	tú veit
you too	eisini tú
you're welcome	ger so væl
young	ungur
your	tín
your welcome	ger so væl
yourself	sjálvur
youth	ungdómur
you’re welcome	ger so væl
yummy	lekkurt
zero	null
