hlokomologa	abandon
karolo	section
boloka	secure
tšhireletšo	security
hloka šedi	reckless
ga se	doesn't
ya sedumedi	religious
bona	see
peu	seed
ka se efogwego	inevitable
nyaka	seek
bone	seen
eja sefihlolo	have breakfast
go sega	laughing
ga se gantši	hardly
go sego fao	otherwise
E sego gabjale	Not now
e sego gantši	barely
e sego gantši	seldom
e sego	neither
ba sehlabelo	sacrifice
Thobela Sehlopha	Dear Team
nka se	I can't
golega	seize
golega	seizure
kgetha	select
go se lekanele	odds
timana	selfish
rekiša	sell
romela	send
se sengwe le se sengwe	anything
se sengwe	something
mogolo	senior
ga se	not
sekwi	sense
hlalefilego	sensible
rometše	sent
lefoko	sentence
mafoko	sentences
kgaogane	separate
Sepedi	Sepedi
go sepela	walking
tšerwe sephetho	decided
setemere	september
tatelano	sequence
tatelano	series
tiišitše	serious
solela	serve
tirelo	service
go sesa	sailing
sefofane se se bolokegilego	safe flight
selo se se makatšago	freak
tulo	session
nthomele seswantšho sa gago	send me your picture
sehlopha	set
go se timane	generous
sa šetšego selo	obsession
ya setšo	traditional
lefelo	setting
beakanya	set up
šupa	seven
lesomešupa	seventeen
masomešupa	seventy
mmalwa	several
šoro	severe
rokile	sew
ka sewelo	casual
ka sewelo	rarely
ka se	won't
š	sh
moriti	shade
morithi	shadow
šikinya	shake
tla	shall
metša	shallow
mahlabišadihlong	shame
sebopego	shape
abelana	share
bogale	sharp
yena	she
tšholla	shed
nku	sheep
letlakala	sheet
o	she is
šelefo	shelf
legapi	shell
morithi	shelter
kotse	shield
šuthiša	shift
phadima	shine
sekepe	ship
gempe	shirt
dieta	shoes
thuntšha	shoot
lebenkele	shop
lebopo	shore
kopana	short
tlhaelelo	shortage
swanetše	should
legetla	shoulder
goeletša	shout
bontšha	show
šawara	shower
mpontšhe	show me
širimpi	shrimp
šošobanya	shrink
tswalela	shut
homola	shut up
dihlong	shy
ngwanešo	sibling
baratho	siblings
lwala	sick
lehlakore	side
fegelwa	sigh
pono	sight
leswao	sign
mosaeno	signature
bohlokwa	significant
setu	silence
homotšego	silent
siliki	silk
lešilo	silly
silibera	silver
swanago	similar
simpo	simp
bonolo	simple
sammaletee	simultaneously
kgonthe	sincere
opela	sing
moopedi	singer
tee	single
sobelela	sink
Morena	Sir
sesi	sister
ngwetši	sister in law
dula	sit
saete	site
seemo	situation
tshela	six
lesometshela	sixteen
masometshela	sixty
bogolo	size
bokgoni	skill
mabokgoni	skills
letlalo	skin
otilego	skinny
tshela	skip
sekhethe	skirt
lefaufau	sky
lekgoba	slave
robala	sleep
selai	slice
selaete	slide
gannyane	slightly
otile	slim
thelela	slip
motheoga	slope
tsenya	slot
nanya	slow
nnyane	small
botse	smart
nkgelela	smell
myemyela	smile
muši	smoke
boreledi	smooth
seneke	snack
kgopa	snail
noga	snake
kgaola	snap
lehlwa	snow
ena	soak
sešepe	soap
setšhaba	society
masokisi	socks
boleta	soft
softewere	software
mabu	soil
rekišitše	sold
lešole	soldier
rekišitšwe	sold out
sola	sole
tšhipi	solid
tharollo	solution
rarolla	solve
go šoma	working
dingwe	some
o šomile gabotse	well done
koša	song
thantše	sophisticated
Sorani	Sorani
sešo	sore
manyami	sorrow
hlopha	sort
nyakile	sought
moya	soul
modumo	sound
sopo	soup
galaka	sour
mothopo	source
borwa	south
sekgoba	space
sepamo	spam
bogolo	span
Sepeniši	Spanish
boloka	spare
bolela	speak
ikgetha	special
mohuta	species
polelo	speech
lebelo	speed
peleta	spell
šomišitše	spent
sepikiri	spike
dikološa	spin
sepenatšhe	spinach
moya	spirit
tshwa	spit
kganyago	splendid
kgaoganya	split
senya	spoil
senyegilego	spoiled
lelepola	spoon
lefelo	spot
mogatša	spouse
phatlalala	spread
seruthwane	spring
khutlonne	square
pitlela	squeeze
sekwiti	squid
sehlora	squirrel
seterata	st
hlaba	stab
tiilego	stable
hlopha	stack
bašomedi	staff
kgato	stage
sepatso	stain
ditepisi	stairs
katolo	stake
lehlokwa	stalk
setolo	stall
setempe	stamp
ema	stand
motheo	standard
naledi	star
thomiša	start
thomile	started
mmušo	state
setatemente	statement
setiši	station
sehlwaseeme	statue
maemo	status
dula	stay
utswa	steal
phišo	steam
tšhipi	steel
motheoga	steep
kutu	stem
kgato	step
kgomarela	stick
thatafa	stiff
sa	still
loma	sting
hudua	stir
phahlo	stock
utswitšwe	stolen
dimpa	stomach
leswika	stone
eme	stood
mantle	stool
ema	stop
bobolokelo	storage
boloka	store
ledimo	storm
kanegelo	story
setofo	stove
thwii	straight
lapišago	strain
makatša	strange
moeng	stranger
leanophethagatšo	strategy
lehlokwa	straw
seterooperi	strawberry
mothaladi	streak
moela	stream
seterata	street
maatla	strength
kgatelelo	stress
nganga	stretch
tlhoko	strict
thapo	string
moseto	strip
katana	strive
seterouku	stroke
maatla	strong
bethilwe	struck
sebopego	structure
katana	struggle
hlogothata	stubborn
tsentše	stuck
moithuti	student
ithuta	study
kitela	stuff
tumišegago	stunning
setlaela	stupid
mohuta	style
hlogotaba	subject
boikokobetšo	submission
tliša	submit
selo	substance
moemedi	substitute
makatšago	subtle
atlega	succeed
katlego	success
atlegile	successful
bjalo	such
nyanya	suck
tlaišega	suffer
lekanetšego	sufficient
swikiri	sugar
šišinya	suggest
tšhišinyo	suggestion
swanela	suit
maswanedi	suitable
suthukheisi	suitcase
palomoka	sum
kakaretšo	summary
selemo	summer
sehloa	summit
letšatši	sun
sontaga	sunday
phirimatšatši	sunset
kgolo	super
mookamedi	supervisor
difihlolo	supper
kabo	supply
thekga	support
nagana	suppose
swanetše	supposed
kgonthiša	sure
bokagodimo	surface
lephoto	surge
karo	surgery
sefane	surname
makatša	surprise
maketše	surprised
ineela	surrender
tikologo	surrounding
phatišišo	surveillance
diphatišišo	survey
phologa	survive
mogononelwa	suspect
fegilwe	suspended
belaetša	suspicious
kgotlelela	sustain
ikgantšha	swag
metša	swallow
fetoša	swap
ikana	swear
sethitho	sweat
swetha	sweater
swiela	sweep
bose	sweet
moratiwa	sweetheart
ruruga	swell
rutha	swim
hwidinya	swing
fetogela	switch
rurugile	swollen
lerumo	sword
leswao	symbol
kwelobohloko	sympathy
dika	symptoms
tshepedišo	system
tafola	table
lwantšha	tackle
theke	tag
mosela	tail
tšea	take
hlokomela	take care
tšerwe	taken
fofa	take off
bolela	talk
telele	tall
thepe	tap
theipi	tape
tebanyo	target
mošomo	task
tatso	taste
rutile	taught
teye	tea
ruta	teach
morutiši	teacher
sehlopha	team
gagola	tear
megokgo	tears
kwera	tease
theknolotši	technology
meno	teeth
botša	tell
mpotše	tell me
kgatha tema	participate
pefelo	temper
themphereitšha	temperature
tempele	temple
nakwana	temporary
lesome	ten
mohiri	tenant
diša	tend
setlwaedi	tendency
thentara	tender
lebaka	tense
kgohlano	tension
tente	tent
go teraeka	strike
lereo	term
mareo	terms
boifišago	terrific
mollwane	territory
leka	test
sengwalwa	text
go thaba go fetišiša	excited
go thabiša	cheers
sa thabišego	negative
leboga	thank
gore	that
go theeletša	listening
bohodu	theft
ka thelelo	fluently
bona	them
tabataba	theme
gona	then
teori	theory
moo	there
tše	these
go thetha	mobile
bona	they
koto	thick
lehodu	thief
serope	thigh
sese	thin
selo	thing
dilo	things
nagana	think
boraro	third
nyorilwe	thirsty
lesometharo	thirteen
masometharo	thirty
se	this
bao	those
kgopolo	thought
naganišiša	thoughtful
dikgopolo	thoughts
sekete	thousand
go thousta	toast
garane	thread
matšhošetši	threat
tšhošetša	threaten
tharo	three
mogato	threshold
atlega	thrive
mogolo	throat
go	through
foša	throw
ledimo	thunder
Labone	Thursday
swaya	tick
tlema	tide
hlwekile	tidy
bofa	tie
nkwe	tiger
tiišitše	tight
Tigrinya	Tigrinya
ka tiišetšo	seriously
go timana	greedy
go timana	stingy
nako	time
dihlong	timid
lehlokwana	tiny
ntlha	tip
maele	tips
lapa	tire
lapile	tired
tlhalenama	tissue
thaetlele	title
ke tla ba	I would be
re tla bonana gosasa	see you tomorrow
re tla bonana nako ye e sa fetšego pelo	see you soon
re tla bonana	see you
go tlaišega	suffering
ke tla	I will
go tlaleletša	in addition
sa tlhago	indigenous
wa tlhago	native
ka tlhokomelo	carefully
go tloga	departure
go tloga moo	hence
go tloga	since
sa tlwaelegago	unusual
ka tlwaelo	usually
go	to
lehono	today
mapimpane	toddler
mmogo	together
ka toka	fairly
boditše	told
kgotlelelo	tolerance
kgotlelela	tolerate
tamati	tomato
gosasa	tomorrow
leleme	tongue
go tonya	chill
gape	too
tšerwe	took
thulusi	tool
ditlabela	tools
leino	tooth
godimo	top
hlogotaba	topic
gagogile	torn
tlaiša	torture
palomoka	total
kgoma	touch
thata	tough
leeto	tour
toulo	towel
toropo	town
latelela	trace
thereke	track
kgwebo	trade
setšo	tradition
sephethephethe	traffic
goga	trail
hlahla	train
tlhahlo	training
eka	trait
mekgwa	traits
fetišetša	transfer
phetogo	transition
fetolela	translate
Google Translate	Google Translate
pepeneneng	transparent
senamelwa	transport
molaba	trap
ditlakala	trash
tlaišego	trauma
sepela	travel
thereyi	tray
lehumo	treasure
kalafo	treatment
mohlare	tree
therenta	trend
teko	trial
hlalefetša	trick
lekile	tried
šušumetša	trigger
kgabiša	trim
leeto	trip
bothata	trouble
marokgo	trousers
theraka	truck
nnete	true
sebelebele	trunk
tshepha	trust
bonnete	truth
leka	try
dikgopolo tša go hloka mmala tše talalerata di robetše di befetšwe	colorless green ideas slept furiously
dijo tša tseleng	take away
go tšea gore	assumption
sa tsebjego leina	anonymous
sa tsebjego	unknown
nako tše dingwe	sometimes
ke tše kae	how many
ka tsela ya	via
ka tsela ye nngwe	somehow
dikete tše lesome	ten thousand
o tsene fase ka mošomo	are you busy
go tsenela	attendance
go tsenelela	thorough
go tsenelela	thoroughly
ntšha tšhelete	spend
ka tshwanelo	properly
kgopela tshwarelo	apologize
Se tshwenyege	Don't worry
se tshwenyege	never mind
se tshwenyege	nevermind
le tsogile bjang lehono	how are you doing today
le tsogile bjang lehono	how are you today
le tsogile	how are you doing
Tsonga	Tsonga
go tšwafa	reluctant
go tšwa go	from
sa tšwa go	not yet
go tšwa go wena	up to you
o tšwa kae	where are you from
tšhupu	tube
Labobedi	Tuesday
thuto	tuition
go tuma	fame
kalakune	turkey
thumeriki	turmeric
fetoga	turn
pshinyaleraga	turtle
mohlahli	tutor
lesomepedi	twelve
masomepedi	twenty
masomepedi-tee	twenty-one
Twi	Twi
gabedi	twice
sopha	twist
pedi	two
mohuta	type
befile	ugly
amporela	umbrella
palelwa	unable
malome	uncle
nyaditše	underrated
kwešiša	understand
kwešišitše	understood
yunifomo	uniform
moswananoši	unique
yuniti	unit
yunibesithi	university
godimo	up
mpshafatša	update
kaonafatša	upgrade
godimo	upon
nyamile	upset
motsesetoropo	urban
hlohleletša	urge
tšhoganetšo	urgent
rena	us
šomiša	use
šomišitšwego	used
mehleng	usual
thušo	utility
maikhutšo	vacation
moento	vaccine
sebaka	vacuum
makgonthe	valid
molapo	valley
boleng	value
fapafapana	variety
fapafapanego	various
fapafapana	vary
sebjanatsopa	vase
kgolo	vast
morogo	vegetable
merogo	vegetables
senamelwa	vehicle
mogwebi	vendor
mpholo	venom
phonkgelela	venture
lefelo	venue
kgonthiša	verify
fetogago	versatile
bešene	version
tsepamego	vertical
kudu	very
sekepe	vessel
baepe	vibe
dibaepe	vibes
šoro	vicious
motšwasehlabelo	victim
bitio	video
bogela	view
motse	village
lenaba	villain
binika	vinegar
dikgaruru	violence
baerale	viral
kgarebe	virgin
bothakga	virtue
ponelopele	vision
etela	visit
bonegago	visual
bohlokwa	vital
bonagala	vivid
tlotlontšu	vocabulary
lentšu	voice
sekgoba	void
bolumu	volume
moithaopi	volunteer
hlatša	vomit
mošomo wa gae	homework
mošomo wa gago ke eng	what is your job
moputso	wage
meputso	wages
letheka	waist
leta	wait
waitara	waiter
letile	waiting
monna wa ka	hubby
mogwera wa ka	my friend
moratiwa wa ka	my love
tsoga	wake
tsoga	wake up
sepela	walk
leboto	wall
sekhwama	wallet
molekane wa monna	husband
ralala	wander
nyaka	wanna
nyaka	want
nyakegago	wanted
ntwa	war
otoropo	wardrobe
ntlophahlo	warehouse
Morerokgolo wa rena: go kgontšha mang le mang, kae le kae go kwešiša lefase le go itlhagiša go akaretša dipolelo.	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
ruthela	warm
lemoša	warn
temošo	warning
mogale	warrior
mofofiši wa sefofane	pilot
hlatswa	wash
ditlakala	waste
bogela	watch
meetse	water
legapu	watermelon
mohuta wa tšhelete	currency
lephoto	wave
tsela	way
rena	we
fokola	weak
bofokodi	weakness
lehumo	wealth
humile	wealthy
apara	wear
boso	weather
monyanya	wedding
Laboraro	Wednesday
ngwang	weed
beke	week
boima	weight
makatšago	weird
bobotlana	welfare
Gabotse	Well
gomme wena	and you
ke wena mang	what's your name
ke wena mang	who are you
le wena	you too
sepetše	went
bodikela	west
thapile	wet
leruarua	whale
eng	what
korong	wheat
leotwana	wheel
neng	when
kae	where
yona	which
mola	while
hwenahwena	whisper
tšhweu	white
mang	who
yoo	whose
bokgopo	wicked
-phara	wide
mohwana	widow
bophara	width
mosadi	wife
hlaga	wild
tla	will
ikemišeditšego	willing
thopa	win
phefo	wind
lefasetere	window
beine	wine
marega	winter
phumola	wipe
lethale	wire
bohlale	wisdom
bohlale	wise
duma	wish
moloi	witch
ka	with
hlatse	witness
phiri	wolf
mosadi	woman
basadi	women
thopile	won
tlabega	wonder
makatšago	wonderful
kota	wood
wulu	wool
lentšu	word
mantšu	words
mošomo	work
hwetša	work out
lefase	world
seboko	worm
onetše	worn
tshwenyega	worried
tshwenyega	worry
tumiša	worship
theko	worth
tla	would
sešo	wound
Ao	Wow
phuthela	wrap
kgalefo	wrath
letheka	wrist
ngwala	write
ngwadilwe	written
phošo	wrong
ngwadile	wrote
paka ya bjale	contemporary
kamora ya bodulo	living room
ntlwana ya boithomelo	toilet
temogišišo ya bokgabo	aesthetic
kganyogo ya dijo tša swikiri	sweet tooth
puno ya diterebe	vintage
nakong ya	during
soda ya go paka	baking soda
go ya go	towards
kgokagano ya inthanete	virtual
go ya ka	according
Houbakerafte ya ka e tletše ka dikgoka	My hovercraft is full of eels
nama ya kgogo	chicken
nama ya kgomo	beef
nama ya kgomo	steak
sego ya kgonthe	tentative
merero ya kgwebo	commercial
nama ya kolobe	pork
tšhišinyego ya lefase	earthquake
nako ya mafelelo	deadline
sego ya makgonthe	invalid
kgwele ya maoto	football
kgwele ya maoto	soccer
menwana ya maoto	toes
ngaka ya meno	dentist
kiletšo ya mesepelo	lockdown
tlolo ya molao	breach
kgatelelo ya monagano	depression
ponagalo ya naga	landscape
takaletšo ya pholo ka pela	get well soon
jarata	yard
Ponelopele ya rena: go beakanya tshedimošo ya lefase le go e dira gore e fihlelelege lefaseng ka bophara le go ba mohola.	Our mission: to organize the world's information and make it universally accessible and useful.
tsheketšo ya tšhelete	economic
pušetšo ya tšhelete	refund
ona	yawn
Ee	Yeah
ngwaga	year
mengwaga	years
komelo	yeast
krisemose ye botse	merry christmas
goeletša	yell
serolane	yellow
go yena	whom
nako ye nngwe	occasionally
Ee	Yes
maabane	yesterday
anthe	yet
tšweletša	yield
motho yo mongwe	somebody
motho yo mongwe	someone
ya yona	its
wena	you
o	you are
nnyane	young
wena	yourself
baswa	youth
tswee	yummy
lefeela	zero
