abandon	dhiisuu
pathetic	gaddisiisaa
pathetic	kan garaa nama nyaatu
path	karaa
patience	obsa
patient	dhukkubsataa
pattern	toora
pause	gidduutti dhaabuu
pavement	asfaaltii ol jedhaa karaa cinaa lafoon irra deeman
pay	kaffaluu
payment	kaffaltii
peaceful	naga-qabeessa
peace	nagaa
peach	kookii
peak	gubbee
pear	akaakuu muduraa mi'aawaa avokaadoo fakkaatu
peas	baaqilaa
peculiar	waan baratame irraan adda
pee	fincaa'uu
peel	quncisuu
peer	cimsanii ilaaluu
peers	hiriyoota
pencil	qubeessaa
pending	eeggataa kan jiru
pen	kobbee
people	namoota
pepper	mimmixa
perceive	hubachuu
perception	akkaataa hubannaa
perfect	mudaa kan hin qabne
performance	ga'umsa
perform	hojjechuu
perhaps	tarii
period	turtii
permanent	dhaabbataa
permission	hayyama
permit	hayyamuu
perseverance	obsaan danda'anii itti fufuu
persistent	jabaatee itti fufuu
personal	dhuunfaa
personality	eenyummaa
person	nama
perspective	akkaataa ilaalchaa
persuade	amansiisuu
pervert	kan duraanii irraa kaachisuu
pet	horii mana keessatti guddifatan
phase	marsaa
phenomenon	kan yaadatamu
philosophy	falaasama
phone	bilbila
photo	suuraa
phrase	gaalee
physical	qaama
pick	kaasuu
pick up	kaasuu
picture	suuraa
piece	cittuu
pieces	caccabaa
pig	booyyee
pigeon	gugee
pile	tuullaa
pillow	boraatii
pilot	balaliisaa xiyyaaraa
pineapple	anaanaasii
pin	ispiilii
pink	halluu diimaatti dhiyaatu
pit	boolla
pitch	qal'ina sagalee
pity	namaa gadduu
place	iddoo
places	bakkeewwan
plague	dararuu
plain	bakkee diriiraa
plane	xiyyaara
plan	karoora
plant	biqilaa
plants	biqiltoota
plate	gabatee
platform	waltajjii
playing	taphachuu
play	taphachuu
pleasant	kan namatti tolu
pleased	gammadaa
please	maaloo
pleasure	gammachuu
pledge	kakaa
plenty	hedduu
plot	daba
plug	cuqqaallaa
plumber	nama ujummoo bishaanii sirreessu
plum	ija mukaa gaafa bilchaatu gara diimaatti ykn bookaatti dhiyaatu
plural	danuu
podcast	waraabbii argaa-dhageettii intarneetiirraa kaa'amu
poem	walaloo
poetry	og-walaloo
point	qabxii
poison	summii
police	poolisii
policy	imaammata
polite	afaan ho'aa
pollution	faalama
pond	haroo
pool	kuufama bishaani xiqqaa
poop	dambaliin galaanaa dooniirra ba'uu
poor	hiyyeessa
popular	beekamaa
population	uummata
pop	xaaxa'uu
pork	foon booyyee
porridge	marqaa
port	buufata doonii
position	gita hojii
positive	qajeelaa
possession	qabeenyaa
possessive	abbummaa
possess	qabaachuu
possible	kan danda'amu
post	maxxansuu
postpone	yeroo biraatti dabarsuu
potato	dinnicha
potential	dandeettii dhokataa
pound	tumuu
poverty	hiyyummaa
power	aangoo
powerful	humna-qabeessa
practical	hojiitti hiikuu
practice	shaakala
praise	galateeffachuu
prank	qoosaa gochaan agarsiifamu
pray	kadhachuu
precious	gati-jabeessa
precise	dogoggora kan hinqabne
precisely	irraa-maqa tokko malee
predict	raaguu
preference	filannoo
prefer	filachuun
pregnant	ulfa
prejudice	wallaalaan kan namarra kaa'an
premises	qe'ee
premium	hamma kaffaltii waliigalteef ykn baraarsaaf kaffalamu
preparation	qophii
prepared	qophaa'e
prepare	qopheessuu
preposition	birqaba
presence	argamuu
presentation	dhiyyeessa
present	jira
preserve	tursuu
president	pirezidaantii
press	dhiibuu
pressure	dhiibbaa
pretend	fakkeessuu
pretty	bareedduu
prevent	ittisuu
previous	kan duraa
prey	kan nyaataaf adamsamu
price	gatii
pride	boonuu
priest	luba
primary	sadarkaa tokkoffaa
prime	muummicha
princess	giiftii
principal	oogganaa mana barnootaa
prior	dura
priority	dursa
prison	mana hidhaa
privacy	dhuunfummaa
private	dhuunfaa
privilege	mirga addaa
prize	badhaasa
probably	tarii
problem	rakkoo
procedure	adeemsa
proceed	itti fufi
process	adeemsa
produce	oomishuu
production	oomisha
product	oomisha
professional	ogeessa
profession	ogummaa
profile	ibsama
profit	bu'aa
profound	baay'ee jabaa
progress	fooyya'iinsa
project	pirojektii
prominent	addatti ba'aa
promise	waadaa
promote	guddisuu
promotion	beeksisuu
prompt	gara gochaatti socho'uu
prone	saaxilamaa
pronouns	bamaqoota
pronunciation	sagaleessuu
proof	ragaa
proper	kan ta'u
properly	akka ta'utti
properties	qabeenyaawwan
property	qabeenya
proposal	abuura
prospect	gara fuulduraatti raawwachuuf carraan isaa bal'aa kan ta'e
prosperity	badhaadhina
prosperous	badhaadhaa
protect	eeguu
proud	boonaa
prove	mirkaneessuu
provided	dhiyaate
provide	dhiyeessuu
province	godina
provision	dhiyeessii
puberty	saal lammeessoo
public	uummata
pull	harkisuu
pumpkin	buqqee
punctual	yeroo kabajuu
pupil	agartuu ijaa
purchase	bituu
pure	calala
purple	diimaa-cuquliisa
purpose	dhimma
purse	rukuttaa
pursue	hordofuu
pursuit	hordoffii
push	dhiibuu
put	kaa'uu
qualification	qormaata darbanii ragaa argachuu
quality	qulqullina
quantity	baay'ina
quarantine	adda baasuu
quarrel	wal loluu
quarter	kurmaana
Quechua	Kuweechuwaa
queen	mootittii
queer	adda
query	gaaffii
question	gaaffii
queue	dabaree
quick	ariitii
quickly	atattamaan
quiet	callisaa
quilt	uffannaa siree toorri hodhaa isaa mul'atu
quit	dhaabuu
quite	gahaadhumatti
quiz	battallee
quotation	waraabbii
quote	jechama
quotes	jechoota bebbeekamoo akka fakkeenyaatti fudhataman
rabbit	illeettii
race	sanyii
rage	aarii to'atamuu hin dandeenye
rain	rooba
raised	ol kaafame
raise	kaasuu
random	akka carraa
ran	fiige
range	hamma garaagarummaa
rapid	ariifataa
rapidly	atattamaan
rare	darbee darbee kan mul'atu
rarely	darbee darbee
rash	ofeeggannoon kan itti hir'ate
rate	gatii
rat	hantuuta
rather	-irra
rational	sababarratti kan hundaa'e
ratio	reeshoo
raw	dheedhii
reached	ga'ame
reach	ga'uu
reaction	deebii wanta tokko
read	dubbisuu
reading	dubbisuu
ready	qophaa'aa
real	dhugaa qabatamaa
reality	dhugaa qabatama
realized	hubate
realize	qalbeeffachuu
really	dhugaadhumatti
rear	dugda duuba
reasonable	sababa kan qabu
reason	sababa
recall	yaadachuu
receipt	nagahee
received	fudhatame
receive	fudhachuu
recent	dhiyoo
recently	dhiyeenya kana
reception	simannaa
recipe	tartiiba midhaan ittiin qopheessan
reckless	kan of hin eegganne
recognition	beekamtii
recognize	qalbeeffachuu
recommended	yaada gorsaa dhiyeesse
recommend	yaada gorsaa kennuu
record	galmeessuu
recover	haala duraaniitti deebi'uu
recovery	fooyyee qabaachuu
rectangle	rog-arfee
red	diimaa
redeem	baraaruu
redemption	baraaruu
reduce	hir'isuu
redundant	wanta irra-deddeebii ta'e
reference	wabeeffannaa
refer	wabeeffachuu
reflect	calaqqisuu
reflection	calaqqisa
refrain	irraa of qusachuu
refrigerator	kottolleessaa
refund	kaffaltii deebisuu
refused	dide
refuse	diduu
regard	ilaaluu
regarding	waa'ee
regardless	osoo ilaalcha keessa hin galchin
regards	nagaa wajjin
region	naannoo
register	galmeessuu
regret	gaabbuu
regular	idilee
regularly	dhaabbataadhaan
re	irra deebiin
reject	fudhachuu dhiisuu
related	kan itti dhiyaatu
relate	firoomsuu
relationship	hariiroo
relative	fira
relatives	firoottan
relax	of gadhiisuu
released	gad dhiifame
release	gad dhiisuu
relevant	barbaachisaa
reliable	kan irratti of gatan
relief	furamuu
relieved	furame
relieve	furuu
religion	amantaa
religious	kan amantaa
reluctant	nama waa laayyootti ilaalu
rely	irratti of gatuu
remain	hafuu
remaining	kan hafu
remarkable	kan hin irraanfatamne
remedy	qoricha
remember	yaadachuu
reminder	yaadachiisaa
remind	yaadachiisuu
remote	fagoo
remove	irraa kaasuu
render	kennuu
rent	kiraa
repair	suphuu
repeat	irra-deebi'uu
replace	bakka buusuu
reply	deebisuu
report	gabaasuu
represent	bakka bu'uu
reputation	kabaja
request	gaafachuu
required	kan barbaadamu
require	irraa eeguu
rescue	oolchuu
research	qo'annoo
resemble	fakkaachuu
resentment	aarii
reservation	of qusachuu
reserve	hambifachuu
resident	jiraataa
resign	gad dhiisuu
resilience	dandamannaa
resilient	dandamataa
resistance	dandeettii ittisuu
resist	ittisuu
resolution	xumura
resolve	furuu
resort	iddoo bashannanaa
resources	maddeen
respect	kabajuu
respond	deebii kennuu
response	deebii
responsibility	itti-gaafatamummaa
responsible	itti gaafatamaa
restaurant	mana nyaataa
rest	boqochuu
rest in peace	nagaan boqodhu
restore	bakka duraaniitti deebisuu
restrict	daangessuu
result	bu'aa
results	bu'aawwan
resume	deebisanii jalqabuu
retail	qinxaaboo
retain	turfachuu
retention	tursuu
retired	soorama ba'e
retreat	duubatti deebi'uu
retrieve	barbaadanii arguu
return	deebisuu
revealed	mul'ifame
reveal	mul'isuu
revenge	haaloo
revenue	galii
reverse	deebisuu
review	keessa deebi'uu
revise	keessa deebi'uu
revision	keessa-deebii
revolution	warraaqsa
reward	badhaasa
rhythm	dhahannaa
rib	lafee cinaachaa
rice	ruuzii
rich	sooressa
ride	oofuu
ridiculous	salphaa
rid	irraa baasuu
right now	yeroo ammaatti
right	sirrii
rigid	kan hin lallaafne
ring	qubeelaa
rinse	dhiquu
riot	jeequmsa tuutaan godhamu
ripe	bilchaataa
rip	ittii kutuu
rise	ol ka'uu
risk	carraa balaan uumamuu
rival	morkataa
river	laga
road	karaa
roast	waaduu
robust	cimaa fi fayyabuleessa
rock	dhagaa
rod	ulee
role	ga'ee
roll	gangalchuu
roof	qooxii manaa
room	kutaa
root	hundee
rope	funyoo
rotten	tortoraa
roughly	irra keessa
rough	shaakarraa'aa
round	marsaa
route	karaa
routine	guyyaa guyyaan
row	toora
rubber	gommaa
rubbish	kosii
rub	sukkuumuu
rude	guddis badii
rug	afaa lafaa
ruin	balleessuu
rule	bulchuu
ruler	sarartuu
rules	seerota
run	fiiguu
running	fiiguu
rural	baadiyyaa
rush	ariifachuu
sack	qalqalloo
sacred	kabajamaa
sacrifice	aarsaa
safe	eegamaa
safe flight	imala xiyyaaraa gaarii
safety	nageenya
sage	ogeessa cimaa
said	jedhe
sail	galaanarra deemuu
sailing	bishaanirra dooniin imaluu
sake	wayiif jecha
salary	mindaa
sale	gurgurtaa
salmon	akaakuu qurxummii
salt	soogidda
Same here	Asiis akkasuma
same	walfakkaataa
sample	samuuda
sand	cirracha
Sanskrit	Saaniskiriitii
sarcastic	qoosaa kan makate
sassy	hamileen guutuu
satisfaction	itti quufuu
satisfied	kan garaan ciise
satisfying	quubsuu
satisfy	quubsuu
sat	taa'e
Saturday	Sanbata
sausage	foon akka tolchanitti qopheeffamee gurguramu
savage	hamaa
save	qusachuu
saw	arge
say	jechuu
scale	safartuu
scam	gowwoomsaa
scarce	muraasa
scared	kan rifate
scarf	fooxaa moormarra buufatan
scar	godaannisa
scary	rifaasisaa
scattered	faffaca'e
scenery	taa'umsa lafaafii waan isarra jiru
scene	taatee
scent	urgaa
schedule	sagantaa
school	mana barumsaa
science	saayinsii
scientist	saayintistii
scientists	saayintitstoota
scissors	maqasii
scold	aariidhaan ifachuu
scope	bal'ina
score	qabxii
scrap	cabduu
scratch	hooquu
scream	caraanuu
screen	iskiriinii
screw	sibiila qal'aa naannessanii waa keessa galchuun ittiin hidhan
script	barreeffama
sea	galaana
seal	chaappeessuu
search	barbaaduu
season	waqtii
seat	teessoo
second	lammaffaa
secret	icitii
section	kutaa
secure	nageenya eegamaa
security	nageenya
seed	sanyii
see	ilaaluu
seek	barbaaduu
seem	itti fakkaachuu
seems	fakkaata
seen	argame
see you later	booda wal agarra
see you	nagaatti
see you soon	dhiyootti wal nu ha agarsiisu
see you tomorrow	hanga boriitti nagaatti
seize	humnaan qabachuu
seizure	gaggabsaa
seldom	darbee darbee
select	filuu
self healing	of fayyisuu
selfish	ofittoo
self	of
sell	gurguruu
send	erguu
send me your picture	suuraa kee naa ergi
senior	angafa
sense	miira
sensible	ogummaan kan hojjetame
sensitive	salphaatti kan itti dhaga'amu
sentence	hima
sentences	himoota
sent	erge
separate	adda baasuu
Sepedi	Sepeedii
september	caamsaa
sequence	tartiiba
series	kan walitti fufu
seriously	isa dhugumaa
serious	qoosaa kan hin ta'iin
serve	tajaajiluu
service	tajaajila
session	yeroo
set	sirreessuu
setting	haala
settle	dubbii xumuruu
set up	qixeessuu
seventeen	kudha torba
seven	torba
seventy	torbaatama
several	baay'ee
severe	hammaataa
sew	hodhuu
shade	gaaddisa
shadow	gaaddidduu
shake	urgufuu
shallow	ol dhihoo
shame	qaanii
shape	boca
share	qooduu
sharp	qara
shed	godoo
sheep	hoolaa
sheet	baaqqee
she has	isheen qabdi
she	ishee
she is	isheen ... dha
shelf	wanta meeshaa irra naqatan
shell	man'ee cilalluu
shelter	da'oo
shield	gaachana
shift	jijjiiruu
shine	ifuu
ship	doonii
shipping	fe'umsa
shirt	qomee
sh	{NS}
shoes	kopheewwan
shoot	dhukaasuu
shopping	bittaa
shop	suuqii
shore	qarqara galaanaa
shortage	hanqina
short	gabaabaa
shot	dhukaase
shoulder	gateettii
should	ta'uu qaba
shout	iyyuu
show	agarsiisuu
shower	rooba xiqqaa
show me	natti agarsiisi
shrimp	raammoo bishaan keessaa nyaataaf ooltu
shrink	walitti galuu
shut	cufuu
shut up	afaan kee qabi
shy	saalfataa
sibling	obbolaa
siblings	obboloota
sick	dhibamaa
side	gara
sigh	hafuura baafachuu
sight	argaa
sightseeing	bakkee daawwachuu
signature	mallattoo
significant	ijoo
sign	mallattoo
silence	callisa
silent	callisaa
silk	suufii
silly	salphaa
silver	nahaasii
similar	walfakkaataa
simp	gowwaa
simple	salphaa
simultaneously	al tokkoon
since	erga
sincere	fakkeessaa malee
sincerely	kabajaan
singer	faarfataa
sing	faarfachuu
single	qeenxee
sink	liqimfamuu
Sir	Obboo
sister in law	obboleettii abbaa ykn haadha buddeenii irraa dhalatte
sister	obboleettii
site	bakka
sit	taa'uu
situation	haala
six	ja'a
sixteen	kudha jaha
sixty	jaatama
size	hamma ga'u
skill	dandeettii
skills	dandeettiiwwan
skin	gogaa
skinny	qal'oo
skip	irra darbuu
skirt	wandaboo
sky	samii
slave	garba
sleeping	rafuu
sleep	rafuu
sleepy	irribi kan qabe
sleeve	harka wayyaa
slice	muraa haphii
slide	mucucaachuu
slightly	xiqqoodhuma ishee
slim	qal'aa
slip	mucucaachuu
slope	shaffaxa
slot	qaawwaa waa itti galu
slowly	suuta
slow	suuta
small	xiqqoo
smart	qaxalee
smell	foolii
smile	qummaaduu
smoke	aara
smooth	kan hin quuqne
snack	nyaata salphaa
snail	cilalluu
snake	bofa
snap	qarxamsuu
snow	rooba cabbii
soak	cuuphuu
soap	saamuunaa
sober	irraa galuu
soccer	kubbaa miillaa
social	kan hawaasaa
society	hawaasa
socks	shurraaba miillaa
so cute	baay'ee bareeda
so far	hanga ammaatti
soft	lallaafaa
software	mosaajii
soil	biyyoo
so	kanaaf
sold	gurgure
soldier	loltuu
sold out	gurgurame
sole	faana
solid	jabaataa
solution	furmaata
solve	furuu
somebody	nama ta'e
somehow	sababa hin beekamneen
some	muraasa
someone	nama ta'e
something	waanta ta'e
sometimes	yeroo tokko tokko
song	faarfannaa
soon	dhiyootti
sophisticated	walxaxaa
Sorani	Soraanii
sore	madaa
sore throat	dhukkubbii qoonqoo
sorrow	gadda
Sorry	Dhiifama
sort	secca'uu
sought	barbaade
soul	lubbuu
soulmate	hiriyaa lubbuu
sound	sagalee
soup	shoorbaa
source	madda
sour	hadhaa'aa
south	kibba
space	bakka
spam	kan hin ilaallanne
span	dheerina yeroo wanti tokko keessatti eegalee xumuramu
Spanish	Ispaanishii
spare	oolchuu
speak	dubbachuu
special	kan adda ta'e
species	gosa
specific	qophaatti
spectacular	kan qalbii namaa hawwatu
speech	dubbii
speechless	jecha dhabuu
speed	saffisa
spell	qubeessuu
spend	itti baasuu
spent	baase
spicy	mi'aawaa
spike	fiixee qara
spinach	raafuu
spin	naanna'uu
spirit	hafuura
spit	tufuu
splendid	baay'ee kan nama hawwatu
split	baqaqsuu
spoil	balleessuu
spoiled	gatii waan tokkoo xiqqeessuu
spontaneous	osoo itti hin yaadamin
spoon	fal'aana
spot	bakka
spouse	abbaa warraa
spouse	haadha
spread	tatamsaasuu
spring	arfaasaa
square	addababayii
squeeze	cuunfuu
squid	gosa qurxummii
squirrel	gosa illeettii
stable	tasgabbaa'aa
stab	waraanuu
stack	kuusaa wantootaa
staff	hojjettoota waajjira tokkoo
stage	waltajjii
stain	halluu dibuu
stairs	gulantaa
stake	hordaa
stalk	dhokatanii hordofuu
stall	kutaa
stamp	chaappaa
standard	sadarkaa
stand	dhaabachuu
started	jalqabame
start	eegaluu
star	urjii
starving	beela'uu
state	ibsuu
statement	hima
station	buufata
statue	siidaa
status	sadarkaa
stay safe	nagaan turi
stay	turuu
st	daandii
steady	dhaabbataa
steak	muraa foon loonii
steal	hatuu
steam	hurka
steel	sibiila
steep	irraan-gadee cimaa
stem	hundee
step	sadarkaa
stick	ulee
stiff	kan salphaatti hin dabne
still	ammayyuu
sting	hidduu
stingy	doqna
stir	waliin makuu
stock	kuusaa
stolen	hatamaa
stomach	garaacha
stone	dhagaa
stood	dhaabbate
stool	sagaraa
stop	dhaabuu
storage	kuusaa
store	kuusuu
storm	rooba bubbeen makate
story	seenaa
stove	istoovii
straightforward	kallattii
straight	qajeelaa
strain	jabeessuu
strange	haaraa
stranger	orma
strategy	tarsiimoo
strawberry	goraa
straw	marga gogaa
streak	sarara qalloo dheeraa halluu addaa
stream	yaa'uu
street	daandii
strength	cimina
stress	cinqii
stretch	harkisuu
strict	seera kan cimsu
strike	haleellaa
string	hidhaa
strip	qeexxa'uu
strive	carraaquu
stroke	haleellaa
strong	cimaa
struck	rukute
structure	caasaa
struggle	wal'aansoo
struggling	ittiin qabuu
stubborn	mata-jabeessa
stuck	keessatti qabamuu
student	barataa
studying	qayyabachuu
study	qayyabannaa
stuff	wanta
stunning	qalbii kan nama fuudhu
stupid	kan hin hubanne
style	akkaataa
subject	mata duree
submission	galchuu
submit	galchuu
substance	wanta
substitute	bakka buusuu
subtle	dhokataa
succeed	milkaa'uu
successful	milkaa'aa
success	milkaa'ina
such	akka
such as	kan akka
suck	hodhuu
suddenly	battaluma sana
sudden	osoo hin yaadamin
suffer	dararamuu
suffering	rakkachuu
sufficient	ga'aa
sugar	shukkaara
suggestion	yaada kennamu
suggest	yaada dhiyeessuu
suitable	mijataa
suitcase	shaanxaa uffataa fi meeshaalee
suit	suufii
sum	ida'ama
summary	cuunfaa
summer	ganna
summit	galchuu
sun	aduu
sunday	dilbata
sunny	aduu ba'aa jiru
sunset	lixa aduu
sunshine	ifa aduu
super	caalmaa kan qabu
superior	kan irra caaluu
supervisor	to'ataa
supper	dhiyaana
supply	dhiyeessii
support	deeggarsa
suppose	akka ta'etti yaaduu
supposed	yaadame
sure	sirrii
surface	irra-keessa
surge	darbatamanii ba'uu
surgery	baqaqsanii yaaluu
surname	maqaa akaakayyuu
surprised	osoo hin beekin irra ba'e
surprise	wanta hinyaadamin namaa gochuu
surrender	harka kennuu
surrounding	naannoo
surveillance	hordoffii taatee
survey	qo'annoo
survive	jiraachuu
suspect	shakkamaa
suspended	rarraasuu
suspicious	shakkisiisaa
sustainability	tursiifamu
sustainable	itti-fufiinsa kan qabu
sustain	cimsuu
swag	huccuu akka golgaatti fannifamee rarra'u
swallow	liqimsuu
swap	geeddaruu
swear	kakachuu
sweat	dafqa
sweater	shurraaba
sweep	haxaa'uu
sweet dreams	abjuu bareedaa
sweetheart	dammee
sweet	mi'aawaa
sweet tooth	waan mi'aawaa baay'ee jaallachuu
swell	dhiita'uu
swelling	dhiita
swim	daakuu
swimming	daakuu
swing	rarra'ee socho'uu
switch	jijjiiruu
swollen	dhiita'aa
sword	billaa
symbol	mallattoo
sympathy	nama dhabeef gadduu
symptoms	mallattoolee dhukkubaa
system	sirna
table	minjaala
tackle	ittiin qabuu
tag	adda baasuuf mallattoo wayitti maxxanfamu
tail	eegee
take away	kan fudhatanii deeman
take care	of eeggadhu
take	fudhadhu
taken	fudhatame
take off	ol ka'uu
talkative	nama haasa'u
talk	dubbachuu
tall	dheeraa
tape	sagalee waraabuu
tap	qeensuu
target	xiyyeeffaanoo
task	hojii
taste	dhamdhama
tasty	mi'aawaa
taught	barsiise
teach	barsiisuu
teacher	barsiisaa
team	garee
tear	imimmaan
tears	imimmaan
tease	itti qoosuu
tea	shaayee
technology	teeknooloojii
teeth	ilkaan
tell	himuu
tell me	natti himi
temper	amala
temperature	ho'ina
temple	mana sagadaa
temporary	yeroof
tenant	nama lafa kireeffatee irratti hojjetu
tendency	amala waanta tokko dalaguu
tender	salphaatti kan cabu
tend	itti galchuu
ten	kudhan
tense	ennaa
tension	muddama
tentative	dhaabbataa kan hinta'in
tent	dunkaana
ten thousand	kuma kudhan
term	jecha
terms	jechoota
terrible	badaa
terrific	naasisaa
territory	daangaa
test	qormaata
text	barreeffama
than	irra
thank	galateeffachuu
Thanks for using our app	Mosaajjii keenya fayyadamuu keessaniif galatoomaa
thanks	galatoomi
Thank you for your patience while we investigate shipment	Geejjiba yeroo qorannutti obsa kessaniif galatoomaa
thank you	galatoomaa
thank you so much	baay'ee galatoomii
thank you very much	baay'ee galatoomi
that is	sun ...dha
that	sana
that's good	sun gaariidha
theft	hanna
the	-icha
their	kan isaanii
theme	dhimma haasaa
them	isaan
themselves	isaanuma
then	yommuus
theory	yaad-rimee
there	achi
there are	...jiru
therefore	kanaaf
there is	jira
these	kunneen
they are	isaan ... dha
they	isaan
thick	furdaa
thief	hattuu
thigh	sarbaa
things	wantoota
thing	wanta
think	yaaduu
thin	qalloo
third	sadaffaa
thirsty	dheebotaa
thirteen	kudha sadii
thirty	soddoma
this is	kuni ..dha
this	kana
thorough	guutummaatti
thoroughly	gadi fageenyaan
those	jarreen
though	garuu
thoughtful	yaadaan guutuu
thoughts	yaada
thought	yaada
thousand	kuma
thread	qajjisa
threat	balaa
threaten	doorsisuu
three	sadii
threshold	dafii
thrilled	gammachiise
thrive	jiraachuu
throat	kokkee
through	keessa
throughout	guutummaatti
throw	darbachuu
thumb	abbuudduu
thunder	guungummii balaqqeessaa
Thursday	Kamisa
thus	kanaaf
tick	silmii
tide	dhaha galaanaa
tidy	toora kan gale
tie	hidhuu
tiger	qeerransa
tight	cimsee qabuu
Tigrinya	Afaan Tigiree
time	yeroo
timid	salphaatti kan na'u
tiny	xiqqishuu
tip	moggaa
tips	yaada gorsaa
tire	dadhabsiisuu
tired	dadhabe
tissue	miciree
title	mata-duree
toast	muraa daabboo abiddarratti diimessanii gogsuu
to be	ta'uu
today	har'a
toddler	daa'ima daaddisu
toes	quba miillaa
to	gara
together	wajjin
toilet	mana fincaanii
told	hime
tolerance	obsaan danda'uu
tolerate	obsaan danda'uu
tomato	timaatima
tomorrow	boor
tongue	arraba
tonight	har'a galgala
too	-is
took	fuudhe
tool	meeshaa
tools	meeshaalee
tooth	ilkaan
top	gubbaa
topic	mataduree
torn	tarsa'e
torture	dararuu
total	ida'ama
touch	tuquu
tough	cimaa
tour	daawwannaa
toward	gara
towards	gara ... tti
towel	fooxaa
town	magaalaa
toxic	summaa'aa
trace	faana dhahuu
track	daandii
trade	daldala
tradition	aadaa
traditional	kan aadaa
traffic	sosochii
trail	mallattoo
training	leenjii
train	leenjisuu
trait	amala
traits	amaloota wanta tokko adda taasisan
transfer	dabarsuu
transition	ce'umsa
translate	hiikuu
transparent	of keessa dabarsuu
transportation	geejjibuu
transport	geejjiba
trap	kiyyoo
trash	kosii
trauma	miidhaa qaamaa
travel	imaluu
tray	saanii diriiraa
treasure	kuufama maallaqaa
treatment	wal'aansa
treat	wal'aanuu
tree	muka
tremendous	hedduu
trend	adeemsa baratamaa
trial	yaalii
trick	gowwoomsaa
tried	yaale
trigger	dammaqsuu
trim	irraa qeexxa'uu
trip	imala
trouble	rakkoo
trousers	surree
truck	konkolaataa guddaa
true	dhugaa
trunk	kumbii
trust	amanuu
truth	dhugaa
try	yaaluu
Tsonga	Soongaa
tube	ujummoo
Tuesday	Kibxata
tuition	barsiisuu
turkey	tarkii
turmeric	irdii
turn	garagalchuu
turtle	qocaa
tutor	leenjisaa
twelve	kudha lama
twenty	diigdama
twenty-one	digdamii tokko
twice	al lama
twist	naannessuu
Twi	Tiwaay
two	lama
type	akaakuu
typical	addumaan
ugly	fokkisaa
ultimate	dhuma
umbrella	dibaabee
unable	dadhabuu
uncle	eessuma
unconscious	of wallaalaa
under	jala
underneath	jala
underrated	kan gatiin sirriitti hin kennamneef
understand	hubachuu
understood	hubate
unfortunately	kan hin eegamne
uniform	uffata dambii
unique	adda
unit	safartuu
university	yuunivarsitii
unknown	kan hinbeekamne
unless	yoo ta'een ala
until	hamma
unusual	kan hin baratamin
update	odeeffannoo dhiyeenyaa
upgrade	sadarkaa isaa guddisuu
up	ol
upon	irratti
upset	aaruu
up to you	dhimma keeti
urban	magaalaa
urge	dirquu
urgent	atattama
used	fayyadame
use	fayyadamuu
useful	kan nama fayyadu
useless	faayidaa kan hinqabne
us	nuyi
usual	baratamaa
usually	yeroo hedduu
utility	tajaajila
vacation	boqonnaa
vaccination	talaallii
vaccine	talaallii
vacuum	duwwaa
vague	hiikuuf kan nama rakkisu
valid	fudhatama kan qabu
valley	dachaa
valuable	gati-qabeessa
value	gatii
variety	akaakuu
various	garaagara
vary	adda adda ta'uu
vase	xuwwee qal'aa dheeraa
vast	bal'aa
vegetable	kuduraa
vegetables	kuduraalee
vehicle	konkolaataa
vendor	gurguraa
venom	hadhaa
venture	imala balaa qabuu fi sodaachisaa
venue	galma
verify	dhugoomsuu
versatile	faayidaalee hedduutti kan madaqu
version	gosa
vertical	ol kan dhaabbatu
very	baay'ee
very good	baay'ee gaarii
vessel	baattuu dhangala'aa
via	karaa
vibe	haala
vibes	haala
vicious	maraammartoo
victim	miidhamaa
video	viidiyoo
view	ilaaluu
village	baadiyyaa
villain	nama gocha badaa hojjetuu fi ilaalcha badaa qabu
vinegar	muduraa dhangagga'aa
vintage	bara ykn bakkee daadhii wayinii gaariin itti oomishamu
violence	goolii
violent	abbaa irree
viral	kan baay'ee faffaca'e
virgin	durbummaa kan qabdu
virtual	kan qaamaan hin raawwatamne
virtue	gaarummaa
vision	mul'ata
visit	daawwachuu
visual	kan argamu
vital	murteessaa
vivid	mul'ataa
vocabulary	hiika jechootaa
voice	sagalee
void	fuudhatama kan hinqabne
volume	hamma qabachuu danda'uu
volunteer	tola ooltummaa
vomit	balaqqama
vulnerable	saaxilamaa
wage	kaffaltii
wages	kaffaltii
waist	mudhii
wait	eegi
waiter	keessumsiisaa
waiting	eeguu
wake	dammaquu
wake up	dammaqi
walk	deemuu
walking	deemuu
wallet	boorsaa xiqqoo
wall	keenyan
wander	jooruu
wanna	barbaada
want	barbaaduu
wanted	barbaadamaa
wardrobe	kuusaa uffataa
warehouse	mankuusa
warm	ho'aa
warn	akeekkachiisuu
warning	akeekkachiisa
warrior	loltuu
war	waraana
wash	dhiquu
waste	qisaasa'uu
was	ture
watch	ilaaluu
water	bishaan
watermelon	habaabii
wave	dambalii
way	karaa
weak	dadhabaa
weakness	dadhabina
wealth	qabeenya
wealthy	dureessa
we are	nuti ... dha
wearing	uffachuu
wear	uffachuu
weather	haala qilleensaa
we can	nuti ni dandeenya
wedding	gaa'ela
Wednesday	Roobii
weed	aramaa
weekend	dhuma torbanii
week	torbee
weight	ulfaatina
weird	waan hin baratamin
welcome	baga nagaan dhufte
welfare	fayyummaa
well done	gaarii goote
Well	gaarii
went	deeme
we	nuti
were	ture
west	dhiha
wet	jiidhaa
whale	qurxummii guddicha
what about you	ati hoo
