tshiṱuku	a little
khwine	proper
nḓila yone	properly
ndaka	properties
ndaka	property
ḽikumedzwa	proposal
ṱoḓa	prospect
ndaka	prosperity
u bvelela	prosperous
tsireledza	protect
ḓikukumusa	proud
ḓivhonadza	prove
ṋea	provide
ṋewa	provided
vunḓu	province
mbuvha	provision
u hula	puberty
tshitshavha	public
kokodza	pull
fhuri	pumpkin
u fara tshifhinga	punctual
mugudiswa	pupil
renga	purchase
tsha vhukuma	pure
phephuḽu	purple
tshipikwa	purpose
salamurahu	purse
bvelaphanḓa	pursue
tevhelela	pursuit
khurumedza	push
vhea	put
ndalukano	qualification
ndeme	quality
vhunzani	quantity
u vha thungo	quarantine
nndwa	quarrel
u lwa	quarrel
kotara	quarter
khosikadzi	queen
u sa ḓowelea	queer
mbudziso	query
mbudziso	question
fola	queue
mufolo	queue
ṱavhanya	quick
ṱavhanyedza	quickly
fhumula	quiet
bedisipuredi	quilt
litsha	quit
ḓure	quite
ndinganḓivho	quiz
muredzo	quotation
ngaganyo	quote
gaganya	quote
miredzo	quotes
muvhuḓa	rabbit
mbambe	race
mbiti	rage
mvula	rain
khuliso	raise
alusa	raise
vuswa	raised
gidima	ran
tshayandivhiswa	random
mutevhe	range
ṱavhanya	rapid
ṱavhanyaho	rapidly
u sa ḓowelea	rare
hu si tshikhala tshoṱhe	rarely
munyavhili	rash
mbevha	rat
phimo	rate
ndi nga na nda	rather
ndivhanele	ratio
ndivhanele	rational
thumbukwa	raw
swikelela	reach
swika	reached
tshiiteo	reaction
vhala	read
vhala	reading
lugela	ready
vhukuma	real
ngoho	reality
pfesesa	realize
ṱalukanya	realized
zwavhukuma	really
murahu	rear
tshiitisi	reason
pfalaho	reasonable
u bvisa tshiduloni	recall
tshiḽipi	receipt
ṱanganedza	receive
ṱanganedza	received
zwino zwino	recent
zwenezwino	recently
ṱanganedza	reception
risipi	recipe
u sa londa	reckless
thendelo	recognition
ḓivha	recognize
themendela	recommend
themendelwaho	recommended
rekhoda	record
rekhodo	record
fhola	recover
fhola	recovery
khuḓanḓeiṋa	rectangle
tsuku	red
rengulula	redeem
vhuphulusi	redemption
fhungudza	reduce
si na mushumo	redundant
amba nga	refer
ndaedzi	reference
vhonisa	reflect
tshivhoniswa	reflection
mbuelelo	refrain
firidzhi	refrigerator
badela murahu	refund
hana	refuse
landula	refused
nga kha	regard
u ya nga	regarding
naho hu si na	regardless
ndumeliso	regards
dzingu	region
ṅwalisa	register
ḓisola	regret
misi yoṱhe	regular
kanzhi	regularly
hana	reject
vhushaka	relate
vhushaka	related
vhushaka	relationship
vhushaka	relative
shaka	relative
mashaka	relatives
awela	relax
mbofholowo	release
vhofholola	release
bviswa	released
teaho	relevant
fulufhedzea	reliable
femuluwa	relief
ḓithusa	relieve
ṱhaḓula	relieved
vhurereli	religion
vhurereli	religious
shavha	reluctant
tika	rely
sala	remain
tsho salaho	remaining
vhuḓisa	remarkable
dzilafho	remedy
humbula	remember
humbudza	remind
humbula	reminder
sumbanḓila	remote
bvisa	remove
ṋetshedza	render
rennde	rent
lugisa	repair
dovholola	repeat
thivha vhudzulo	replace
fhundula	reply
phindulo	reply
vhiga	report
muvhigo	report
imelela	represent
tshirunzi	reputation
khumbelo	request
humbela	request
ṱoḓa	require
ṱoḓea	required
phulusa	rescue
ṱhoḓisiso	research
fana	resemble
vengo	resentment
mbetshelwathungo	reservation
vhuthivhi	reserve
mudzulapo	resident
litsha	resign
konḓelela	resilience
konḓelela	resilient
tila	resist
hana	resistance
tsheo	resolution
tandulula	resolve
rizoto	resort
zwiko	resources
ṱhonifha	respect
ṱhonifho	respect
fhindula	respond
fhindula	response
vhuḓifhinduleli	responsibility
vhuḓifhinduleli	responsible
awela	rest
awela nga mulalo	rest in peace
kifi	restaurant
vhuedzedza	restore
kaṱudza	restrict
mvelelo	result
mvelelo	results
thoma	resume
vhengele	retail
vhea	retain
ṱhuso	retention
notha	retired
vhukhudo	retreat
wana hafhu	retrieve
humela	return
anḓadza	reveal
dzumbululwa	revealed
lifhedza	revenge
mbuelo	revenue
vhetshela thungo	reverse
sedzulusa	review
tsedzuluso	review
sedzulusa	revise
ndovhololo	revision
mvutshelano	revolution
pfufho	reward
mutevhetsindo	rhythm
mbabvu	rib
raisi	rice
pfuma	rich
laṱa	rid
tshiṋamelo	ride
ṋamela	ride
zwi sa pfadzi	ridiculous
pfanelo	right
tshauḽa	right
zwino	right now
u sa shanduki	rigid
rinngi	ring
ṱukisa	rinse
mufhirifhiri	riot
mbanga	rip
kheruwa	rip
vhibva	ripe
aluwa	rise
nyaluwo	rise
khombo	risk
mupikisi	rival
mulambo	river
bada	road
otsha	roast
maanḓa	robust
tombo	rock
ṱhamu	rod
tshipiḓa	role
rolo	roll
ṱhanga	roof
lufhera	room
mudzi	root
thambo	rope
sina	rotten
konḓa	rough
mugaganyo zwawo	roughly
tshitendeledzi	round
nḓila	route
maitele	routine
ḽaini	row
sikiṱedza	rub
raba	rubber
mathukhwi	rubbish
vhutsha	rude
methe	rug
tshinya	ruin
langa	rule
ruḽa	ruler
milayo	rules
shavha	run
gidima	running
mahayani	rural
shishi	rush
ṱavhanyedza	rush
saga	sack
khethefhalaho	sacred
tshiṱhavhelo	sacrifice
tsireledzea	safe
vhufhufhi ho tsireledzeaho	safe flight
tsireledzo	safety
ṱalifha	sage
ambiwa	said
seila	sail
alavha	sailing
halwa ha sake	sake
muholo	salary
sele	sale
salimono	salmon
muṋo	salt
fana	same
U tou fana na ngeno	Same here
sambula	sample
muṱavha	sand
muhoyo	sarcastic
tsha vhuḓi	sassy
dzula	sat
fushea	satisfaction
fushea	satisfied
fusha	satisfy
fushaho	satisfying
Mugivhela	Saturday
sotshisi	sausage
ḽilema	savage
vhulunga	save
vhona	saw
amba	say
tshikalo	scale
vhufhura	scam
ḽivhadzi	scar
shaeaho	scarce
tshuwa	scared
tshikhafu	scarf
tshuwisa	scary
hasekana	scattered
bono	scene
vhupo	scenery
munukhelelo	scent
vhidzani	schedule
sheduḽu	schedule
tshikolo	school
Saintsi	science
vhaḓivhi vha saintsi	scientist
vhorasaintsi	scientists
tshigero	scissors
kaidza	scold
tshikoupu	scope
kora	score
lutshetshelo	scrap
ṅwaya	scratch
huwelela	scream
tshikirini	screen
tshikurufu	screw
maṅwalwa	script
lwanzhe	sea
tshivalo	seal
ṱoḓa	search
khalaṅwaha	season
tshidulo	seat
vhuvhili	second
tshiphiri	secret
tshipiḓa	section
tsireledza	secure
tsireledzo	security
vhona	see
ndi ḓo ni vhona	see you
ndi ḓo ni vhona hu si kale	see you later
ndi ḓo ni vhona zwenezwino	see you soon
ndi ḓo ni vhona matshelo	see you tomorrow
mbeu	seed
ṱoḓa	seek
mbonalelo	seem
vhonala	seems
vhonwa	seen
dzhia	seize
tshifakhole	seizure
a si kanzhi	seldom
khetha	select
nṋe	self
fhola nga woṱhe	self healing
ḓihumbulela	selfish
rengisa	sell
rumela	send
nthumeleni tshifanyiso tshaṋu	send me your picture
muhulwane	senior
pfadza	sense
pfadza	sensible
vhupfa	sensitive
rumela	sent
muṱala	sentence
mafhungo	sentences
fhandekanya	separate
khubvumedzi	september
mutevhe	sequence
tsielano	series
tsha ndeme	serious
zwa vhukuma	seriously
shumela	serve
tshumelo	service
sesheni	session
dzudzanya	set
ṅanda	set
dzudzanya	set up
fhethuvhupo	setting
dzulisea	settle
sumbe	seven
fumisumbe	seventeen
fusumbe	seventy
fhambanaho	several
konḓaho	severe
rungwa	sew
murunzi	shade
murunzi	shadow
dzinginyisa	shake
ḓo	shall
so ngo tsesaho	shallow
shonedzwa	shame
tshivhumbeo	shape
kovha	share
fhira	sharp
ene	she
u na	she has
ndi	she is
laṱa	shed
nngu	sheep
baphathi	sheet
raka	shelf
ganda	shell
vhudzulo	shelter
tshiṱangu	shield
diso	shift
penya	shine
tshikepe	ship
endedza	shipping
hemmbe	shirt
zwienda	shoes
thuntsha	shoot
vhengele	shop
renga	shopping
vhugabelelo	shore
pfufhi	short
ṱhahelelo	shortage
thuntsha	shot
tshiṱhavhane	shot
zwinga	should
haḓa	shoulder
huwelela	shout
ṱano	show
ṱana	show
ntsumbedzeni	show me
shawara	shower
hwahwamala	shrink
vala	shut
shii	shut up
shona	shy
ṅwana wa mme	sibling
vhana vha musadzi	siblings
lwala	sick
lurumbu	side
femuluwa	sigh
luvhonela	sight
u vhona vhupo	sightseeing
luswayo	sign
tsaino	signature
ndeme	significant
tshete	silence
fhumula	silent
siliga	silk
ḓabaḓaba	silly
siḽiva	silver
fana	similar
buphuthe	simp
leluwa	simple
khathihi	simultaneously
u bva	since
tshonetshone	sincere
zwavhukuma	sincerely
bannda	sing
muimbi	singer
sa dzea	single
zinki	sink
ṋuvhela	sink
Vho	Sir
khaladzi	sister
muvhuye	sister in law
dzula	sit
tshitentsi	site
tshiimo	situation
rathi	six
fumirathi	sixteen
furathi	sixty
saizi	size
vhukoni	skill
vhukoni	skills
lukanda	skin
u onda	skinny
pfuka	skip
tshikete	skirt
lutombo	sky
phuli	slave
lala	sleep
eḓela	sleeping
u vha na khofhe	sleepy
tshanḓa	sleeve
swadza	slice
lupepelele	slice
suvha	slide
nyana	slightly
tsekene	slim
tshiḽipi	slip
nzengamo	slope
tshifhinga	slot
ongolowa	slow
nga u ongolowa	slowly
zwiṱuku	small
ṱalifha	smart
munukho	smell
sea	smile
tshiseo	smile
mutsi	smoke
tswavhelele	smooth
zwidyangudyangu	snack
khumba	snail
ṋowa	snake
tshihaḓu	snap
mahaḓa	snow
ngauralo	so
nakelela	so cute
u swika hafha	so far
lovhea	soak
tshisibe	soap
u sa kambiwa	sober
bola ya milenzhe	soccer
matshilisano	social
tshitshavha	society
sogisi	socks
u sa konḓa	soft
softhiwee	software
mavu	soil
rengiswa	sold
u rengisa zwa fhela zwoṱhe	sold out
swole	soldier
swole	sole
tshiomate	solid
thandululo	solution
tandulula	solve
zwiṅwe	some
muṅwe muthu	somebody
nga iṅwe nḓila	somehow
muṅwe	someone
tshiṅwe	something
tshinwe tshifhinga	sometimes
luimbo	song
hu si kale	soon
konḓa	sophisticated
tshilonda	sore
vhavha	sore
mukulo u no khou vhavha	sore throat
ṱungufhala	sorrow
Pfarelo	Sorry
nanguludza	sort
ṱoḓiwa	sought
muya	soul
mufunwa wa mbiluni	soulmate
mubvumo	sound
swobo	soup
vhavha	sour
tshiko	source
devhula	south
tshikhala	space
tshipeme	spam
muelo wa tshanḓa	span
vhetshela thungo	spare
tshipere	spare
amba	speak
tsha ndeme	special
lushaka	species
tiwaho	specific
zwa nṱhesa	spectacular
amba	speech
u fhelelwa nga maipfi	speechless
luvhi	speed
peleṱa	spell
shumisa	spend
shumisa	spent
vhavhelela	spicy
tshibigiri	spike
monisa	spin
tshipinisi	spinach
muya	spirit
pfa	spit
vhunzhingimi	splendid
mutwe	split
fhanduwa	split
leṅwa	spoil
leṅwa	spoiled
sokou bvelela	spontaneous
lebula	spoon
dondo	spot
munna	spouse
anḓadza	spread
luṱavula	spring
tshikwea	square
pwanyeledza	squeeze
squid	squid
luṱura	squirrel
ṱhavha	stab
tshiṱafu	stable
khuvhela	stack
vhashumi	staff
vhugalatenga	stage
dondo	stain
zwiṱepisi	stairs
mukovhe	stake
mukonyi	stalk
vhengele	stall
tshiṱemmbe	stamp
ima	stand
tshitentsi	stand
mutheo	standard
ṋaledzi	star
thoma	start
thoma	started
nḓala	starving
muvhuso	state
talutshedza	state
vhuṱanzi	statement
tshiṱitshi	station
sitetshu	statue
tshiimo	status
dzula	stay
vhudzulo	stay
dzula wo tsireledzea	stay safe
tewa	steady
tshiṱeki	steak
tswa	steal
tshitimu	steam
tsimbi	steel
tshivhanga	steep
ḽivhumbwa	stem
ḽiga	step
thanda	stick
konḓa	stiff
dzika	still
tshete	still
luvholela	sting
ṅamela	stingy
ritha	stir
zwifuwo	stock
tswiwa	stolen
thumbu	stomach
tombo	stone
ima	stood
tshidzulo	stool
litsha	stop
mbulungo	storage
vhengele	store
ḓumbu	storm
tshiṱori	story
tshiṱofu	stove
navha	straight
leluwa	straightforward
sefa	strain
u sa ḓowelea	strange
mutsinda	stranger
tshiṱirathedzhi	strategy
siṱrou	straw
sṱrouberi	strawberry
thambo	streak
mulambo	stream
tshibadana	street
maanḓa	strength
mutsiko	stress
ṱanḓavhudza	stretch
vhutevheli	strict
rwa	strike
mutevhe	string
thambo	strip
edzisa	strive
rwa	stroke
khwaṱha	strong
mbombonya	struck
tshiimiswa	structure
thambulo	struggle
tambula	struggle
ombana	struggling
u sa pfa	stubborn
patwa	stuck
mutshudeni	student
ngudo	study
guda	study
ngudo	studying
zwithu	stuff
akhamadzaho	stunning
tshiḓahela	stupid
tshitaili	style
thero	subject
vhuḓiṋekedzi	submission
rumela	submit
thukhita	substance
mufareli	substitute
pfesesa	subtle
bvelela	succeed
bvelela	success
bvelela	successful
izwi	such
fana na	such as
mama	suck
nga u ṱavhanya	sudden
nga khathihi fhedzi	suddenly
tambula	suffer
tambula	suffering
lingana	sufficient
swigiri	sugar
dzinginya	suggest
dzinginya	suggestion
sutu	suit
fanela	suit
teaho	suitable
phuthumennde	suitcase
ṱhanganyelo	sum
manweledzo	summary
tshilimo	summer
muṱumba	summit
ḓuvha	sun
swondaha	sunday
ḓuvha	sunny
matotatombo	sunset
maora	sunshine
zwanṱhesa	super
re muhulwane	superior
muṱoli	supervisor
tshilalelo	supper
ṋetshedza	supply
nḓisedzo	supply
thikhedzo	support
tikedza	support
u ngari	suppose
khumbulelo	supposed
zwo to ralo	sure
nyalo	surface
ela	surge
vhuari	surgery
tshifani	surname
mangadza	surprise
mangala	surprised
diṋekedza	surrender
vhupo	surrounding
ndavheleso	surveillance
saveyi	survey
ponya	survive
humbulela	suspect
muhumbulelwa	suspect
imiswa	suspended
vhilaedza	suspicious
tika	sustain
zwi bvelaho phanḓa	sustainability
fanelaho	sustainable
xaraḓeni	swag
mila	swallow
tshintsha	swap
ana	swear
biko	sweat
dzhesi	sweater
swiela	sweep
ḓifha	sweet
miloro yavhuḓi	sweet dreams
u funesa zwi ḓifhelelaho	sweet tooth
mufunwa	sweetheart
zwimba	swell
zwimba	swelling
bambela	swim
bambela	swimming
devhu	swing
devhuwa	swing
switshi	switch
funga	switch
zwimba	swollen
pfumo	sword
tshiga	symbol
u pfela vhuṱungu	sympathy
tsumbadzwadze	symptoms
sisiṱeme	system
ṱafula	table
lwa	tackle
thege	tag
mutshila	tail
dzhia	take
ṱusa	take away
ṱhogomela	take care
takuwa	take off
dzhiwa	taken
nyambo	talk
amba	talk
u ambesa	talkative
lapfa	tall
khokhonya	tap
phaiphi	tap
lubannda	tape
phimo	target
pima	target
mushumo	task
thetshela	taste
muḓifho	taste
ḓifha	tasty
funza	taught
tie	tea
funza	teach
mudededzi	teacher
thimu	team
kherula	tear
miṱodzi	tears
tswenya	tease
thekhinoḽodzhi	technology
maṋo	teeth
vhudza	tell
mmbudzeni	tell me
vhuvha	temper
thempheretsha	temperature
thembele	temple
tshifhinganyana	temporary
fumiraru	ten
zwigidi zwa fumi	ten thousand
muhiri	tenant
u ya kha	tend
ndivhelo	tendency
ṱhogomela	tender
ḽikhathi	tense
vhuakhwa	tension
dennde	tent
anganyelwa	tentative
kotara	term
maipfi	terms
zwi si zwavhuḓi	terrible
zwavhuḓisa	terrific
ḓisi	territory
ndigo	test
linga	test
ḽiṅwalo	text
u fhira	than
livhuwa	thank
ndo livhuwa	thank you
Ro livhuwa u konḓelela havho musi ri tshi kha ḓi ita ṱhoḓisiso ya zwo rumelwaho	Thank you for your patience while we investigate shipment
ndo livhuwa nga maanḓa	thank you so much
ndo livhuwa nga maanḓa	thank you very much
ndo livhuwa	thanks
Ri khou livhuwa u shumisa apu yashu	Thanks for using our app
itsho	that
ndi hezwi	that is
ndi zwavhuḓi	that's good
vhuvemu	theft
zwavho	their
vhone	them
thero	theme
vhone vhaṋe	themselves
u bva afho	then
theori	theory
fhaḽa	there
hu na	there are
hu na	there is
hone ha	therefore
izwi	these
vho	they
vho	they are
ndenya	thick
mbava	thief
tshirumbi	thigh
sekene	thin
tshithu	thing
zwithu	things
humbula	think
tshararu	third
ḓora	thirsty
fumiraru	thirteen
furaru	thirty
itshi	this
itshi ndi	this is
nga	thorough
vhuronwane	thoroughly
avho	those
kha	though
muhumbulo	thought
vhuthu	thoughtful
mihumbulo	thoughts
tshigidi	thousand
muḓali	thread
fara	threat
shushedza	threaten
tharu	three
tshikalo	threshold
nyanyulea	thrilled
bvelela	thrive
mukulo	throat
nga	through
tshifhingatshoṱhe	throughout
laṱa	throw
gunwe	thumb
mibvumo	thunder
Ḽavhuṋa	Thursday
nga	thus
tshievhe	tick
ḓalaza	tide
vhudele	tidy
muvhofho	tie
vhofha	tie
didinngwe	tiger
tsinisa	tight
tshifhinga	time
ofha	timid
ṱhukhu	tiny
ṱhodzi	tip
ngeletshedzo	tips
neta	tire
neta	tired
thishu	tissue
ṱhoho	title
kha	to
thositi	toast
ṋamusi	today
ṅwana	toddler
zwikunwe	toes
roṱhe	together
bunga	toilet
ambiwa	told
konḓelela	tolerance
konḓelela	tolerate
ṱamaṱisi	tomato
matshelo	tomorrow
lulimi	tongue
madekwana	tonight
vho	too
dzia	took
tshishumiswa	tool
zwishumiswa	tools
ḽino	tooth
nṱha	top
thero	topic
kheruwa	torn
vhaisa	torture
ṱhanganyelo	total
konḓa	touch
konḓa	tough
lwendo	tour
u ya	toward
u ya kha	towards
thavhula	towel
ḓorobo	town
phoizeni	toxic
oledzela	trace
nḓila	track
vhubindudzi	trade
bindulisa	trade
sialala	tradition
mvelele	traditional
vhuendi	traffic
muzwila	trail
pfumbudza	train
pfumbudzo	training
tshivhumbamvumbo	trait
tshivhumbamvumbo	traits
pfukisa	transfer
muratho	transition
phindulela	translate
vhonadza	transparent
vhuendedzi	transport
zwa vhuendi	transportation
tshimbevha	trap
malaṱwa	trash
thiroma	trauma
dala	travel
ṱhirei	tray
tsha thengokhulu	treasure
fara	treat
dzilafho	treatment
muri	tree
takadzaho	tremendous
tshizwino zwino	trend
ndingo	trial
fhura	trick
lingedzwa	tried
mathomo	trigger
thoma	trigger
linganyisa	trim
lwendo	trip
khakhathi	trouble
marukhu	trousers
ṱiraka	truck
NGOHO	true
mutumbu	trunk
tsinde	trunk
fulufhela	trust
fulufhelo	trust
ngoho	truth
edzisa	try
phaiphi	tube
Ḽavhuvhili	Tuesday
funziwa	tuition
nkhwe	turkey
thumeriki	turmeric
rembulusa	turn
tshibode	turtle
mudededzi	tutor
fumbili	twelve
fumbili	twenty
fumbilithihi	twenty-one
kavhili	twice
somba	twist
vhavhili	two
lushaka	type
lushaka	typical
vhifha	ugly
gumani nga nṋe	ultimate
tshisambureni	umbrella
u sa kona	unable
malume	uncle
dzidzivhala	unconscious
fhasi ha	under
nga fhasi	underneath
nyadza	underrated
pfesesa	understand
pfesesea	understood
mashudumavhi	unfortunately
yunifomo	uniform
zwofhambanaho	unique
tshipiḓa	unit
yunivesithi	university
u sa ḓivhea	unknown
arali	unless
u swikela	until
u sa ḓowelea	unusual
nṱha	up
zwi kha inwi	up to you
khwinisani	update
khwiniso	update
khwinisa	upgrade
khwiniso	upgrade
kha	upon
kwata	upset
dziḓoroboni	urban
ṱuṱuwedza	urge
ṱhuṱhuwedzo	urge
shishi	urgent
riṋe	us
tshumiso	use
shumisa	use
shumiswa	used
i no shumisea	useful
si na mushumo	useless
kanzhi	usual
kanzhi	usually
tsha mushumo	utility
madalo	vacation
muhaelo	vaccination
khaelo	vaccine
vakhumu	vacuum
sa pfadzi	vague
teaho	valid
govha	valley
tsha thengo khulu	valuable
ndeme	value
fhambananaho	variety
u fhambana	various
fhambana	vary
vasi	vase
khulu-khulu	vast
muroho	vegetable
miroho	vegetables
goloi	vehicle
Tshivenḓa	Venda
muvhambadzazwiṱuku	vendor
vhuṱungu	venom
lwendo	venture
fhethu	venue
khwaṱhisedza	verify
shumiseahunzhi	versatile
sia	version
nzimo	vertical
nga maanḓa	very
zwa vhuḓisa	very good
tshifaredzi	vessel
kha	via
vhuḓipfi	vibe
tshiimo	vibes
levhaho	vicious
tshipondwa	victim
vidio	video
kuvhonele	view
muḓi	village
phondi	villain
viniga	vinegar
tshikale	vintage
khakhathi	violence
vhuḓifari huvhi	violent
tshitshili	viral
sa athu ḓivha munna	virgin
tshi vhonalaho	virtual
mikhwa	virtue
bono	vision
dala	visit
madalo	visit
vhonala	visual
ndeme	vital
vhonala	vivid
nḓivho ya maipfi	vocabulary
ipfi	voice
tshikhala	void
volumu	volume
maḓilonga	volunteer
ṱanza	vomit
maṱanza	vomit
u vha khomboni	vulnerable
muholo	wage
miholo	wages
khundu	waist
lindelani	wait
hweta	waiter
lindela	waiting
phaphama	wake
vuwani	wake up
mutshimbilo	walk
tshimbila	walk
tshimbila	walking
luvhondo	wall
tshipatshi	wallet
tendeleka	wander
ndi khou ṱoḓa	wanna
ṱoḓa	want
ṱoḓwa	wanted
nndwa	war
waḓirobo	wardrobe
nnḓu ya mbulungelo	warehouse
fhisa	warm
sevha	warn
tsevho	warning
mulwi	warrior
tsho vha	was
ṱanzwa	wash
maḽatwa	waste
laṱekanya	waste
lavhelesani	watch
maḓi	water
bvani	watermelon
gabelo	wave
nḓila	way
riṋe	we
ri	we are
ri nga	we can
u sa khwaṱha	weak
vhuṱudzeṱudze	weakness
lupfumo	wealth
pfuma	wealthy
ambara	wear
ambara	wearing
mutsho	weather
munyanya	wedding
Ḽavhuraru	Wednesday
tsheṋe	weed
vhege	week
mafhelo a vhege	weekend
lemela	weight
tshileme	weight
tshuwisa	weird
ṱanganedzwa	welcome
ndondolo	welfare
Zwavhuḓi	Well
shuma zwavhuḓi	well done
ya	went
ro	were
vhukovhela	west
thaba	wet
khovhe ya vhimbi	whale
zwifhio	what
nga ha vhone	what about you
ni khou ita mini	what are you doing
ni khou ita mini zwino	what are you doing now
ni khou ita mini zwino	what are you doing right now
ni khou ita mini	what do you do
ni shuma mini	what do you do for a living
ni khou ri mini	what do you mean
ni khou ṱoḓa mini	what do you want
ho itea mini	what happened
ndi mini	what is
ndi mini itshi	what is this
ni shuma mini	what is your job
dzina ḽanu ndi nnyi	what is your name
hu khou itea mini	what's up
dzina ḽaṋu ndi nnyi	what's your name
tshiṅwe na tshiṅwe	whatever
mufhoho	wheat
vhili	wheel
lini	when
tshifhinga tshiṅwe na tshiṅwe	whenever
ngafhi	where
ni ngafhi	where are you
ni bva ngafhi	where are you from
ni ngafhi zwino	where are you now
ni dzula ngafhi	where do you live
i ngafhi	where is
fhedzi	whereas
kana	whether
tshifhio	which
musi	while
hevhedza	whisper
tshiṱiriri	whistle
tshena	white
nnyi	who
ndi inwi nnyi	who are you
ndi nnyi	who is
ndi nnyi uyu	who is this
tshoṱhe	whole
nnyi	whom
tsha nnyi	whose
ndi ngani	why
ndi ngani zwi sa ralo	why not
mbilummbi	wicked
ṱanḓavhuwa	wide
tshilikadzi	widow
vhuphara	width
mufumakadzi	wife
ḓakani	wild
wiḽi	will
ḓo	will
tendela	willing
wina	win
muya	wind
fasiṱere	window
muyani	windy
waini	wine
vhuria	winter
phumula	wipe
ḓiraṱa	wire
vhuṱali	wisdom
ṱalifha	wise
lutamo	wish
tama	wish
ndi ni tamela zwivhuya	wish you all the best
muloi	witch
na	with
humisela murahu	withdraw
muṱuso	withdrawal
kha	within
hu si na	without
ṱanziela	witness
ṱhanzi	witness
u vha na midai	witty
ṱarelo	wolf
mufumakadzi	woman
mufumakadzi	women
kunda	won
lialia	wonder
zwavhuḓi	wonderful
bulannga	wood
uḽu	wool
ipfi	word
maipfi	words
shuma	work
mushumo	work
nyonyoloso	work out
shuma	working
ḽifhasi	world
mbungu	worm
ṱahala	worn
vhilahela	worried
vhilahela	worry
kalulaho	worse
renda	worship
konḓaho	worst
ndeme	worth
zwo fanela	worth it
zwo fanela	worthy
ḓo	would
tshilonda	wound
Evho wee	Wow
putela	wrap
mbiti	wrath
tshinungo	wrist
ṅwala	write
Ṅwalani hafha	Write here
muṅwalo	writing
ṅwalwaho	written
khakhea	wrong
ṅwala	wrote
dzharaṱa	yard
galamulo	yawn
alamula	yawn
ṅwaha	year
miṅwaha	years
mbiliso	yeast
tzhema	yell
tshitopi	yellow
Ee	Yes
ee ṅwana	yes baby
ee mufunwa	yes dear
ee mufunwa	yes honey
ee mufunwa wanga	yes my love
ee zwo ralo	yes of course
mulovha	yesterday
naho zwo ralo	yet
ḓisa	yield
inwi	you
ni pfi nnyi	you are
no naka	you are beautiful
no nakesa	you are so beautiful
vho ṱanganedzwa	you are welcome
ni nga	you can
Ni a zwi ḓivha	You know
na inwi vho	you too
vho ṱanganedzwa	you're welcome
muswa	young
zwana	your
vho ṱanganedzwa	your welcome
inwi muṋe	yourself
muswa	youth
no ṱanganedzwa	you’re welcome
ḓifha	yummy
pumu	zero
