a	ا
perfect	سمڤورنا
perform	ملقساناكن
performance	ڤريستاسي
perhaps	موڠكين
period	تيمڤوه
permanent	ككال
permission	كبنرن
permit	ممبنركن
perseverance	كتاباهن
persistent	برتروسن
person	اورڠ
personal	ڤريبادي
personality	ڤرسوناليتي
perspective	ڤنداڠن
persuade	ڤوجوق
pervert	ڤنچبول
pet	حيوان ڤليهارأن
phase	فاسا
phenomenon	فينومينا
philosophy	فلسفه
phone	تيليفون
photo	فوتو
phrase	فراس
physical	فيزيكل
pick	ڤيليه
pick up	منداڤتكن
pick up	مڠوتيڤ
picture	ڬمبر
piece	بهاڬين
pieces	كڤيڠن
pig	بابي
pigeon	مرڤاتي
pile	لوڠڬوكن
pillow	بنتل
pilot	جوروتربڠ
pin	ڤين
pineapple	نناس
pink	ميره جمبو
pit	لوبڠ
pitch	ليمڤر
pity	كاسيهن
place	تمڤت
places	تمڤت
plague	وابق
plain	كوسوڠ
plan	ڤرانچڠن
plane	كاڤل تربڠ
plane	ساته
plant	ڤوكوق
plants	تومبوهن
plate	ڤيڠڬن
platform	ڤلاتفورم
play	برماءين
playing	برماءين
pleasant	مڽنڠكن
please	تولوڠ
pleased	سنڠ
pleasure	نعمت
pledge	براقرار
plenty	باڽق
plot	ڤلوت
plug	ڤالم
plum	بواه ڤلوم
plumber	توكڠ ڤأيڤ
plural	مجموع
podcast	ڤودچست
poem	شعير
poetry	شعير
point	تونجوق
poison	راچون
police	ڤوليس
policy	ڤوليسي
polite	سوڤن
pollution	ڤينچيماران
pond	كولم
pool	كولم
poop	تاهي
poor	ميسكين
pop	تيمبول
popular	تركنل
population	ڤوڤولسي
pork	داڬيڠ بابي
porridge	بوبور
port	ڤلابوهن
position	كدودوكن
positive	ڤوسيتيف
possess	مميليقي
possession	حق ميليق
possessive	ڤوسيسيف
possible	موڠكين
post	هانتر
postpone	توندا
potato	اوبي كنتڠ
potential	ڤوتينسي
pound	ڤاون
poverty	كميسكينن
power	كواس
powerful	بركواس
practical	ڤركتيكل
practice	برلاتيه
praise	ڤوجي
prank	ڬوراوان
pray	دعا
precious	برنيلاي
precise	تڤت
precisely	دڠن تڤت
predict	منجڠككن
prefer	مميليه
preference	ڤيليهن
pregnant	مڠاندوڠ
prejudice	ڤريجوديس
premises	ڤريميس
premium	ڤريميوم
preparation	ڤرسياڤن
prepare	برسديا
prepared	دسدياكن
preposition	ڤريڤوسيسي
presence	كحاضيرن
present	سكارڠ
present	حاضر
presentation	ڤمبنتڠن
preserve	منجاڬ
president	ڤريسيدن
press	تكان
pressure	تكنن
pretend	برڤورا٢
pretty	چنتيق
prevent	هالڠ
previous	يڠ لڤس
prey	مڠسا
price	هرڬ
pride	مرواه
priest	ڤندتا
primary	اوتاما
prime	ڤردان
princess	ڤوتري
principal	مودال
principal	ڤڠتوا
prior	سبلوم
priority	كاوتامأن
prison	ڤنجارا
privacy	ڤريۏاسي
private	ڤرسنديرين
privilege	كايستيميوأن
prize	هديه
probably	موڠكين
problem	مسئله
procedure	ڤروسيدور
proceed	تروسكن
process	ڤروسيس
produce	مڠحسيلكن
product	ڤرودوق
production	ڤڠلوارن
profession	ڤروفيسيون
professional	ڤروفيسيونل
profile	ڤروفيل
profit	اونتوڠ
profound	مندالم
progress	ڤركمبڠن
project	ڤروجيك
prominent	ڤنتيڠ
promise	جنجي
promote	ممڤروموسيكن
promotion	كناءيقن ڤڠكت
prompt	سديا
prone	تردده
pronouns	كات ڬنتي نام
pronunciation	سبوتن
proof	بوقتي
proper	سسواي
properly	دڠن بتول
properties	صفة٢
property	هرتانه
proposal	چادڠن
prospect	ڤروسڤيك
prosperity	كميواهن
prosperous	معمور
protect	ليندوڠ
proud	بڠڬ
prove	بوقتي
provide	مڽدياكن
provided	دسدياكن
province	ولايه
provision	ڤرونتوكن
puberty	عاقل بالغ
public	اورڠ عوام
pull	تاريق
pumpkin	لابو
punctual	منڤتي ماس
pupil	موريد
purchase	ڤمبلين
pure	سوچي
purple	اوڠو
purpose	متلامت
purse	دومڤيت
pursue	مڠجر
pursuit	مڠجر
push	تكان
push	تولق
put	لتق
qualification	كلاياكن
quality	كواليتي
quantity	كوانتيتي
quarantine	كوارنتين
quarrel	ڤرتيڠكرن
quarter	سوكو
Quechua	قويچوا
queen	ڤرماءيسوري
queer	ڤليق
query	ڤرتاڽان
question	سؤالن
queue	براتور
quick	چڤت
quickly	دڠن چڤت
quiet	سڽڤ
quilt	سليموت
quit	برهنتي
quite	بنر-بنر
quite	اڬق
quiz	كويز
quotation	سبوت هرڬ
quote	ڤتيكن
quotes	ڤتيكن
rabbit	ارنب
race	لومبا
race	بڠسا
rage	كمارهن
rain	هوجن
raise	ناءيقكن
raised	دينااقكن
ran	برلاري
random	راواق
range	جولت
rapid	ڤانتس
rapidly	دڠن ڤانتس
rare	لڠكا
rare	جارڠ
rarely	جارڠ٢
rash	روام
rat	تيكوس
rate	قدر
rather	لبيه باءيق
ratio	نسبه
rational	راسيونل
raw	منته
re	سمولا
reach	سمڤأي
reached	سمڤأي
reaction	تيندق بالس
read	باچ
reading	ممباچ
ready	برسديا
real	ڽات
reality	رياليتي
realize	سدر
realized	دسدري
really	بنر
rear	بلاكڠ
reason	السن
reasonable	مناسبه
recall	ايڠت باليق
receipt	رسيت
receive	تريما
received	تريما
recent	بارو٢ اين
recently	بارو٢ اين
reception	سمبوتن
recipe	ريسيڤي
reckless	چواي
recognition	ڤڠيعترافن
recognize	مڠنالي
recommend	مڠشوركن
recommended	ديثيوركن
record	راكم
recover	ڤوليه
recovery	ڤموليهن
rectangle	سڬي امڤت تڤت
red	ميره
redeem	تبوس
redemption	ڤنبوسان
reduce	كورڠكن
redundant	برلبيهن
refer	روجع
reference	رجوكن
reflect	مرنوڠ
reflection	ريفليكسي
refrain	مناهن ديري
refrigerator	ڤتي ايس
refund	ڤولڠن سمولا
refuse	اڠڬن
refused	منولق
regard	اڠڬڤ
regarding	بركنأن
regardless	تيدق كيرا
regards	كيريم سلام
region	كاوسن
register	دفتر
regret	مڽسل
regular	بياسا
regularly	كرڤ
reject	منولق
relate	كايتكن
related	بركاءيتن
relationship	هوبوڠن
relative	ساودارا مارا
relatives	ساودارا مارا
relax	بريحت
release	لڤسكن
released	دلڤسكن
relevant	بركاءيتن
reliable	بوليه دڤرچايأي
relief	بنتوان
relieve	ملڬاكن
relieved	لڬا
religion	اڬام
religious	براڬام
reluctant	كبرتن
rely	برڬنتوڠ
remain	برباكي
remaining	يڠ تيڠڬل
remarkable	لوار بياسا
remedy	ڤناور
remember	ايڠت
remind	ممڤرايڠتكن
reminder	ڤريڠاتن
remote	الت كاولن جاوه
remote	ترڤنچيل
remove	بواڠ
render	ريندر
rent	سيوا
repair	باءيقي
repeat	اولڠ
replace	ڬنتي
reply	بالس
report	لاڤورن
represent	مواكيلي
reputation	ريڤوتاسي
request	ڤرمينتأن
require	ممرلوكن
required	دڤرلوكن
rescue	مڽلامتكن
research	كاجين
resemble	مڽروڤأي
resentment	راس دندم
reservation	تمڤهن
reserve	سيمڤنن
resident	ڤندودوق
resign	لتق جاوتن
resilience	داي تاهن
resilient	برداي تاهن
resist	ملاوان
resistance	رينتاڠن
resolution	ريسولوسي
resolve	عزم
resort	تمڤت ڤراڠينن
resources	سومبر
respect	حرمت
respond	تيندق بالس
response	معلوم بالس
responsibility	تڠڬوڠجواب
responsible	برتڠڬڠجواب
rest	ريحت
rest in peace	بريحت دڠن تنڠ
restaurant	ريستورن
restore	مموليهكن
restrict	مڽكت
result	كڤوتوسن
results	كڤوتوسن
resume	سمبوڠ
retail	رونچيت
retain	ممڤرتاهنكن
retention	ڤڠكلن
retired	برسارا
retreat	بروندور
retrieve	منداڤتكن سمولا
return	ڤولڠ
reveal	مڠيشتهاركن
revealed	دددهكن
revenge	ممبالس دندم
revenue	ڤولڠن
reverse	ترباليق
review	اولسن
revise	مڽمق سمولا
revision	اولڠ كاجي
revolution	ريۏولوسي
reward	ڬنجرن
rhythm	ايرام
rib	روسوق
rice	ناسي
rich	كاي
rid	مڽيڠكيركن
ride	توڠڬڠ
ridiculous	مرڤك
right	بتول
right	كانن
right now	سكارڠ
rigid	تڬر
ring	چينچين
rinse	بيلس
riot	روسوهن
rip	چاريق
ripe	رانوم
rise	ناءيق
risk	ريسيكو
rival	ساءيڠن
river	سوڠاي
road	جالن
roast	ڤڠڬڠ
robust	منتڤ
rock	باتو
rod	باتڠ
role	توڬس
roll	ڬولوڠ
roof	اتڤ
room	بيليق
root	اكر
rope	تالي
rotten	بوسوق
rough	كاسر
roughly	سچارا كاسرڽ
round	بولت
route	لالوان
routine	روتين
row	باريسن
rub	ڬوسوق
rubber	ڬيته
rubbish	سمڤه
rude	بيادڤ
rug	كرڤيت
ruin	مروسقكن
rule	ڤراتورن
ruler	ڤمباريس
rules	ڤراتورن
run	لاري
running	برلاري
rural	لوار بندر
rush	ترڬسا٢
sack	ڬوني
sacred	سوچي
sacrifice	ڤڠوربنن
safe	سلامت
safe flight	ڤنربڠن سلامت
safety	كسلامتن
sage	بيجق ڤنداي
said	تله بركات
sail	بلاير
sailing	بلاير
sake	دمي
salary	ڬاجي
sale	جوالن
salmon	ايكن سلمون
salt	ڬارام
same	سام
Same here	سام دسيني
sample	سمڤل
sand	ڤاسير
Sanskrit	سنسكريت
sarcastic	سركستيق
sassy	لنچڠ
sat	دودوق
satisfaction	كڤواسن
satisfied	ممواسكن
satisfy	ممواسكن
satisfying	ممواسكن
Saturday	سبتو
sausage	سوسيج
savage	كجم
savage	ڬانس
save	سيمڤن
saw	تله ليهت
say	كات
scale	سكالا
scam	ڤنيڤوان
scar	ڤراوت
scarce	ترحد
scared	تاكوت
scarf	سليندڠ
scary	مناكوتكن
scattered	برتابورن
scene	اديڬن
scenery	ڤمنداڠن
scent	هارومن
schedule	جدوال
school	سكوله
science	ساءينس
scientist	اهلي ساءينس
scientists	اهلي ساءين س
scissors	ڬونتيڠ
scold	ممارهي
scope	سكوڤ
score	سكور
scrap	لوسوه
scratch	چاكر
scream	منجريت
screen	سكرين
screw	سكرو
script	سكريڤ
sea	لاوت
seal	توتوڤ
search	چارين
season	موسيم
seat	تمڤت دودوق
second	كدوا
secret	رهسيا
section	سيكشن
secure	سلامت
security	كسلامتن
see	ليهت
see you	جومڤا لاڬي
see you later	جومڤا لاڬي
see you soon	جومڤا لاڬي
see you tomorrow	جومڤا كامو ايسوق
seed	بنيه
seek	منچاري
seem	كليهاتن
seems	نمڤقڽ
seen	دليهت
seize	رامڤاس
seizure	ڤنڽيتأن
seldom	كادڠ٢
select	ڤيليه
self	ديري سنديري
self healing	ڤڽمبوهن ديري سنديري
selfish	ڤنتيڠكن ديري سنديري
sell	جوال
send	هانتر
send me your picture	هانتركن ڬمبر اوق كڤد ساي
senior	سنياور
sense	دريا
sensible	ماسوق عقل
sensitive	سينسيتيۏي
sent	تله هانتر
sentence	حكومن
sentence	ايات
sentences	ايات
separate	برڤيسه
Sepedi	سيڤدي
september	سيڤتيمبر
sequence	توروتن
series	سيري
serious	سريوس
seriously	بنر٢
serve	هيدڠ
service	ڤرخدمتن
session	سيسي
set	بوات
set up	مڽدياكن
setting	تتڤن
settle	سلساي
seven	توجوه
seventeen	توجوه بلس
seventy	توجوه ڤولوه
several	ببراڤ
severe	تروق
sew	منجاهيت
shade	تدوه
shadow	بايڠ
shake	ڬونچڠ
shall	ڤرلو
shallow	چيتيق
shame	ممالوكن
shape	بنتوق
share	كوڠسي
sharp	تاجم
she	دي
she has	دي ممڤوڽاءي
she is	دي اداله
shed	بڠسل
sheep	بيري٢
sheet	هلايان
shelf	رق
shell	چڠكراڠ
shelter	تمڤت برليندوڠ
shield	ڤريساءي
shift	مڠوبه
shine	برسينر
ship	كاڤل
shipping	ڤڠهنترن
shirt	كميجا
shoes	كاسوت٢
shoot	تيمبق
shop	كداي
shopping	ممبلي بله
shore	ڤسيسير ڤنتاي
short	ڤينديق
shortage	ككوراڠن
shot	تيمبكن
should	ڤاتوت
shoulder	باهو
shout	جريت
show	تونجوق
show me	تونجوقكن كڤد ساي
shower	مندي
shrimp	أودڠ
shrink	مڠچوت
shut	توتوڤ
shut up	ديام
shy	مالو
sibling	اديق براديق
siblings	اديق براديق
sick	ساكيت
side	سيسي
sigh	مڠلوه
sight	ڤڠليهتن
sightseeing	برسيار٢
sign	تندا
signature	تنداتاڠن
significant	ڤنتيڠ
silence	سڽڤ
silent	سڽڤ
silk	سوترا
silly	مڠاروت
silver	ڤراق
similar	سام
simp	ڤق ڤندير
simple	ريڠكس
simultaneously	سرنتق
since	سجق
sincere	إخلاص
sincerely	إخلاص
sing	ڽاڽي
singer	ڤڽاڽي
single	بوجڠ
single	توڠڬل
sink	تڠڬلم
Sir	انچئ
sister	اديق ڤرمڤوان
sister	كاكق
sister in law	كاكق ايڤر
sit	دودوق
site	تاڤق
situation	سيتواسي
six	انم
sixteen	انم بلس
sixty	انم ڤولوه
size	ساءيز
skill	سكيل
skills	سكيل
skin	كوليت
skinny	كوروس
skip	لڠكاو
skirt	سكرت
sky	لاڠيت
slave	همبا
sleep	تيدور
sleeping	سداڠ تيدور
sleepy	مڠنتوق
sleeve	لڠن باجو
slice	هيريسن
slide	لونچور
slightly	همڤير٢
slim	كوروس
slip	ترڬلينچير
slope	چرون
slot	سلوت
slow	لمبت
slowly	ڤرلاهن٢
small	كچيل
smart	بيجق
smell	با‍و
smile	سڽوم
smoke	اسڤ
smooth	لمبوت
snack	ماكنن ريڠن
snail	سيڤوت
snake	اولر
snap	سنتڤ
snow	ثلجي
so	جادي
so	سوڤاي
so cute	ساڠت چوميل
so far	ساڠت جاوه
soak	رندام
soap	سابون
sober	سوده سدر
soccer	بولا سيڤق
social	سوسيال
society	مشاركت
socks	ستوكين
soft	لمبوت
software	ڤرايسين
soil	تانه
sold	دجوال
sold out	هابيس دجوال
soldier	عسكر
sole	توڠڬل
solid	ڤجال
solution	جالن ڤڽلساين
solve	سلساي
some	ببراڤ
somebody	سساورڠ
somehow	انته باڬايمانا
someone	سساورڠ
something	سسواتو
sometimes	كادڠ٢
song	لاڬو
soon	اكن داتڠ
sophisticated	چڠڬيه
Sorani	سورني
sore	مرادڠ
sore throat	ساكيت تكاق
sorrow	كسدهن
Sorry	معاف
sort	مڠيسيه
sought	منچاري
soul	روح
soulmate	ڤاسڠن هيدوڤ
sound	بوڽي
soup	سوڤ
sour	ماسم
source	سومبر
south	سلتن
space	رواڠ
spam	سڤم
span	رنتڠ
Spanish	بهاس سيڤڽول
spare	مڽراهكن
speak	برچكڤ
special	ايستيميوا
species	سيڤسيس
specific	ترتنتو
spectacular	هيبت
speech	اوچاڤن
speechless	تق تركات
speed	كلاجوان
spell	ايجا
spend	بلنجا
spent	دبلنجاكن
spicy	ڤدس
spike	ڤنچاڠ
spin	ڤوسيڠ
spinach	بايم
spirit	سماڠت
spit	ملوده
splendid	اينده
split	ڤيسه
spoil	روسق
spoiled	منجا
spontaneous	سچارا سڤونتن
spoon	سودو
spot	تمڤت
spouse	ڤاسڠن
spread	سبار
spring	مات اير
spring	موسيم بوڠا
square	سڬي امڤت سام
squeeze	ممره
squid	سوتوڠ
squirrel	توڤاي
st	جالن
st	سوچي
stab	تيكام
stable	ستابيل
stack	تيمبونان
staff	كاكيتاڠن
stage	ڤريڠكت
stage	ڤنتس
stain	كوتورن
stairs	تڠڬ
stake	ڤنچاڠ
stalk	تڠكاي
stall	ڬراي
stamp	ستيم
stand	برديري
standard	ڤياواين
star	بينتڠ
start	مولا
started	برمولا
starving	كلاڤرن
state	كادأن
state	نڬري
statement	كڽاتأن
station	ستيسين
statue	ڤاتوڠ
status	ستاتوس
stay	تيڠڬل
stay safe	ككال سلامت
steady	تڬوه
steak	ستيق
steal	چوري
steam	كوكوس
steel	كلولي
steep	چورم
stem	باتڠ
step	لڠكه
stick	باتڠ
stiff	كاكو
still	ماسيه
still	تتڤ
sting	مڽڠت
stingy	كدكوت
stir	كاچاو
stock	ستوق
stolen	دچوري
stomach	ڤروت
stone	باتو
stood	برديري
stool	نجيس
stop	برهنتي
storage	ڤنڽيمڤنن
store	ستور
store	كداي
storm	ريبوت
story	چريتا
stove	داڤور
straight	لوروس
straightforward	تروس ترڠ
strain	مناڤيس
strange	ڤليق
stranger	اورڠ اسيڠ
strategy	ستراتيڬي
straw	ستراو
strawberry	ستراوبري
streak	چوريتن
stream	اليرن
street	جالن
strength	كقواتن
stress	ترتكان
stress	ستريسس
stretch	مرڬڠكن
strict	تڬس
strike	ڤوكول
string	بنڠ
strip	جالور
strive	بروسها
stroke	ستروق
stroke	ڤوكولن
strong	كوات
struck	ملندا
structure	ستروكتور
struggle	ڤرجواڠن
struggling	برڬلوت
stubborn	دڬيل
stuck	ترسڠكوت
student	ڤلاجر
study	بلاجر
studying	بلاجر
stuff	بارڠ
stuff	مڠيسي
stunning	مناقجوبكن
stupid	بودوه
style	ڬاي
subject	سوبجيك
submission	ڤڽرهن
submit	هانتر
substance	باهن
substitute	ڤڠڬنتي
subtle	ليچيك
subtle	هالوس
succeed	برجاي
success	كجايأن
successful	برجاي
such	سدميكيان
such as	سڤرتي
suck	مڠهيسڤ
sudden	مڠجوت
suddenly	تيبا٢
suffer	مران
suffering	ڤندريتاان
sufficient	چوكوڤ
sugar	ڬولا
suggest	چادڠ
suggestion	چادڠن
suit	سسواي
suitable	سسواي
suitcase	بيڬ ڤاكاين
sum	جومله
summary	ريڠكسن
summer	موسيم ڤانس
summit	سيدڠ كمونچق
sun	ماتهاري
sunday	احد
sunny	چره
sunset	ماتهاري تربنم
sunshine	چهاي ماتهاري
super	ساڠت هيبت
superior	اتسن
supervisor	ڤڽليا
supper	ماكن مالم
supply	بكلن
support	سوكوڠ
suppose	انداين
supposed	سڤاتوتڽ
sure	ڤستي
sure	يقين
surface	ڤرموكأن
surge	ملندا
surgery	ڤمبدهن
surname	نام كلوارڬ
surprise	كجوتن
surprised	تركجوت
surrender	سراه ديري
surrounding	سكليليڠ
surveillance	ڤڠاواسن
survey	منينجاو
survive	ترسلامت
suspect	سوسڤك
suspended	دڬنتوڠ
suspicious	چوريڬ
sustain	مڠكلكن
sustainability	كلستارين
sustainable	ليستاري
swallow	تلن
swap	برتوكر٢
swear	برسومڤه
sweat	ڤلوه
sweater	باجو سجوق
sweep	مڽاڤو
sweet	مانيس
sweet dreams	ميمڤي اينده
sweet tooth	ڬيڬي مانيس
sweetheart	ككاسيه هاتي
swell	ممبڠكق
swelling	بڠكق
swim	بيرينڠ
swimming	بيرينڠ
swing	ايونن
switch	سوايس
switch	توكر
swollen	بڠكق
sword	ڤدڠ
symbol	سيمبول
sympathy	سيمڤاتي
symptoms	ڬجالا
system	سيستم
table	ميجا
tackle	مڠاتسي
tag	تاڬ
tail	ايكور
take	امبيل
take away	باوا ڤولڠ
take care	جاڬ
take off	برلڤس
taken	دأمبيل
talk	برچاكڤ
talkative	باڽق چاكڤ
tall	ڤنجڠ
tap	سنتوه
tape	ڤيت
target	ساسرن
task	توڬسن
taste	راس
tasty	سداڤ
taught	تله اجر
tea	تيه
teach	اجر
teacher	ڬورو
teacher	چيئڬو
team	كومڤولن
tear	اير مات
tears	اير مات
tease	مڠوسيك
technology	تيكنولوڬي
teeth	ڬيڬي
tell	بريتاهو
tell me	بريتاهو ساي
temper	ڤراڠاي
temperature	سوهو
temple	كويل
temporary	سمنتارا
ten	سڤولوه
ten thousand	سڤولوه ريبو
tenant	ڤڽوا
tend	چندروڠ
tendency	كچندروڠن
tender	امڤوك
tense	تڬڠ
tension	كتڬڠن
tent	خايماه
tentative	تنتاتيف
term	شرط
terms	شرط
terrible	تروق
terrific	هيبت
territory	ولايه
test	اوجين
text	تيكس
than	بربنديڠ
thank	تريما كاسيه
thank you	تريما كاسيه
Thank you for your patience while we investigate shipment	تريما كاسيه اتس كصبرن اندا سمنتارا كامي مڽياسات كيريمن
thank you so much	تريما كاسيه باڽق٢
thank you very much	تريما كاسيه باڽق
thanks	تريما كاسيه
Thanks for using our app	تريما كاسيه كران مڠڬوناكن اڤليكسي كامي
that	يڠ
that	ايت
that is	ايت اداله
that's good	ايت باڬوس
the	يڠ
the	ايت
theft	كچورين
their	مريك
them	مريك
theme	تيما
themselves	ديري مريك سنديري
then	كمودين
then	سلڤس ايت
then	اوليه سبب يڠ دمكين
theory	تيوري
there	سان
there are	دسانا اد
there is	د سان اد
therefore	اوليه ايت
these	اين
they	مريك
they are	مريك اداله
thick	تبل
thief	ڤنچوري
thigh	ڤها
thin	نيڤيس
thing	بندا
things	ڤركارا
think	فيكير
third	كتيڬ
thirsty	داهڬ
thirteen	تيڬ بلس
thirty	تيڬ ڤولوه
this	اين
this is	اين اداله
thorough	تليتي
thoroughly	سچارا مڽلوروه
those	ايت
though	والاوڤون
thought	فيكيرن
thoughtful	برتيمبڠ راس
thoughts	فيكيرن
thousand	ريبو
thread	بنڠ
threat	انچمن
threaten	مڠنچم
three	تيڬ
threshold	حد
thrilled	ساڠت تروجا
thrive	بربياق
throat	تكاق
through	ملالوءي
throughout	سڤنجڠ
throw	ليمڤر
thumb	ايبو جاري
thunder	ڬوروه
Thursday	خاميس
thus	دڠن ايت
tick	تنداكن
tide	اير ڤاسڠ
tidy	كمس
tie	ايكت
tiger	هريماو
tight	كتات
Tigrinya	تيڬريڽ
time	ماس
timid	ڤمالو
tiny	كچيل
tip	هوجوڠ
tip	ڤتوا
tips	ڤتوا
tire	تاير
tired	ڤنت
tissue	تيسو
title	تاجوق
to	اونتوق
to be	اكن منجادي
toast	روتي بكر
today	هاري اين
toddler	كانق٢ كچيل
toes	جاري كاكي
together	برسام
toilet	تاندس
told	ممبريتاهو
tolerance	توليرنسي
tolerate	برتولق انسور
tomato	توماتو
tomorrow	ايسوق
tongue	ليده
tonight	مالم اين
too	جوڬ
took	امبيل
tool	الت
tools	التن
tooth	ڬيڬي
top	اتس
topic	توڤيق
torn	كويق
torture	ڤڽك سءن
total	جومله
touch	سنتوه
tough	كوات
tough	كوكوه
tour	لاوتن
toward	ك اره
towards	ك اره
towel	توالا
town	ڤكن
toxic	توكسيك
trace	جيجق
track	لندسن
track	جيجق
trade	ڤرداڬڠن
tradition	تراديسي
traditional	تراديسيونل
traffic	ترافيق
trail	جيجق
train	كريتا اڤي
training	لاتيهن
trait	چيري
traits	چيري٢
transfer	ڤينده
transition	ڤراليهن
translate	منترجمه
transparent	لوتسينر
transport	ڤڠڠكوتن
transportation	ڤڠڠكوتن
trap	ڤراڠكڤ
trash	سمڤه
trauma	تراوما
travel	مڠمبارا
tray	دولڠ
treasure	خزانه
treat	لاين
treat	بلنجا
treatment	راوتن
tree	ڤوكوق
tremendous	لوار بياسا
trend	ترند
trial	اوجين
trick	تيڤو حيله
tried	تله منچوبا
trigger	ڤيچو
trigger	منچتوسكن
trim	ممڠكس
trip	ڤرجالنن
trouble	مسئله
trousers	سلوار
truck	ترك
true	بنر
trunk	باتڠ
trust	ڤرچاي
truth	كبنرن
try	چوبا
Tsonga	ثونڬا
tube	تيوب
Tuesday	سلاس
tuition	تويشن
turkey	ايم بلندا
turmeric	كوڽيت
turn	ڬيليرن
turtle	ڤڽو
tutor	ڤمبيمبيڠ
twelve	دوا بلس
twenty	دوا ڤولوه
twenty-one	دوا ڤولوه ساتو
Twi	توي
twice	دوا كالي
twist	برڤوسيڠ
two	دوا
type	جنيس
typical	تيڤيكل
ugly	هودوه
ultimate	معتمد
umbrella	ڤايوڠ
unable	تق ممڤو
uncle	ڤق چئ
unconscious	تق سدر ديري
under	باوه
underneath	د باوه
underrated	دڤندڠ رنده
understand	فهم
understood	فهم
unfortunately	مالڠڽ
uniform	سراڬم
unique	اونيك
unit	اونيت
university	اونيۏرسيتي
unknown	تيدق دكتاهوي
unless	ملاءينكن
until	سهيڠڬ
unusual	لوار كبياساان
up	اتس
up to you	ترڤولڠ كڤد اندا
update	كمس كيني
upgrade	ناءيق تارف
upon	د كڤد
upset	سديه
urban	بندر
urge	مڠڬسا
urgent	سڬرا
us	كامي
use	ڬونا
used	دڬوناكن
useful	برڬونا
useless	تيدق برڬونا
usual	بياسا
usually	بياساڽ
utility	اوتيليتي
vacation	ڤرچوتين
vaccination	ۏكسيناسي
vaccine	ۏكسين
vacuum	ۏاكوم
vague	كلام كابور
valid	سه
valley	لمبه
valuable	برنيلاي
value	نيلاي
variety	ڤلباڬاي
various	ڤلباڬاي
vary	بربيذا٢
vase	ڤاسو
vast	لواس
vegetable	سايور
vegetables	سايور سايورن
vehicle	كندرأن
vendor	ۏيندور
venom	راچون
venture	اوسها نياڬ
venue	تمڤت
verify	مڠسهكن
versatile	سربا بوليه
version	ۏرسي
vertical	منڬق
very	ساڠت
very good	ساڠت باڬوس
vessel	كاڤل
via	ملالوءي
vibe	ڬيترن
vibes	ڬيترن
vicious	ڬانس
victim	مڠسا
video	ۏيدياو
view	ڤمنداڠن
village	كامڤوڠ
villain	ڤنجاهت
vinegar	چوكا
vintage	ۏينتاج
violence	كڬانسان
violent	ڬانس
viral	تولر
virgin	انق دارا
virtual	ماي
virtue	كباجيكن
vision	ڤڠليهتن
visit	لاوت
visual	ۏيسوال
vital	ڤنتيڠ
vivid	ترڠ
vocabulary	كوس كات
voice	سوارا
void	ممبطلكن
volume	ايسي ڤادو
volunteer	سوكاريلاون
vomit	مونته
vulnerable	تردده
wage	اوڤه
wages	اوڤه
waist	ڤيڠڬڠ
wait	توڠڬو
waiter	ڤلاين
waiting	سداڠ منوڠڬو
wake	باڠون
wake up	باڠون
walk	جالن
walking	برجالن
wall	دينديڠ
wallet	دومڤيت
wander	مراياو
wanna	نق
want	ماهو
wanted	دكهندقي
war	ڤراڠ
wardrobe	الماري
warehouse	ڬودڠ
warm	سوام
warm	هاڠت
warn	ممبري امران
warning	امران
warrior	ڤهلاون
was	تله
wash	باسوه
waste	سيسا
watch	جاڬ
watch	ليهت
water	اير
watermelon	بواه تمبيكاي
wave	ڬلومبڠ
way	جالن
we	كامي
we are	كامي اداله
we can	كيت بوليه
weak	لمه
weakness	كلمهن
wealth	هرتا
wealthy	كاي راي
wear	ڤاكاي
wearing	مماكاي
weather	چواچ
wedding	مجليس كهوين
Wednesday	رابو
weed	رومڤأي
week	ميڠڬو
weekend	هوجوڠ ميڠڬو
weight	برت
weird	ڤليق
welcome	سام-سام
welcome	سلامت داتيڠ
welfare	كباجيكن
Well	باءيق
well done	تهنيئه
went	تله ڤرڬي
were	تله
west	بارت
wet	باسه
whale	ايكن ڤاوس
what	اڤكه
what about you	باڬايمانا دڠن كامو
what are you doing	اوق سداڠ بوات اڤ
what are you doing now	اڤ يڠ اوق بوات سكارڠ
what are you doing right now	اڤ يڠ اوق بوات سكارڠ
what do you do	اڤ ڤكرجأن اوق
what do you do for a living	اوق كرجا اڤ
what do you mean	اڤ يڠ اوق مقصودكن
what do you want	اڤ يڠ كامو ماهو
what happened	اڤ يڠ برلاكو
what is	اڤاكه يڠ
what is this	اڤاكه اين
what is your job	اڤاكه ڤكرجأن اندا
what is your name	اڤ نام اوق
what's up	اڤ خبر
what's your name	سياڤا نام اوق
whatever	سبارڠ
wheat	ڬندوم
wheel	رود
when	بيلا
whenever	بيلا٢
where	د مان
where are you	اوق د مان
where are you from	اوق دري مان
where are you now	اوق د مان سكارڠ
where do you live	دمانكه اوق تيڠڬل
where is	د مانكه
whereas	مانكالا
whether	سام اد
which	يڠ
which	يڠ مان
while	سمنتارا
whisper	بربيسيق
whistle	ويسيل
white	ڤوتيه
who	سياڤا
who are you	اوق سياڤا
who is	سياڤاكه
who is this	سياڤا اين
whole	كسلوروهن
whom	سياڤا
whose	يڠ مان
why	كناڤ
why not	كناڤ تيدق
wicked	جاهت
wide	لواس
widow	جندا
width	ليبر
wife	استري
wild	ليار
