a	i
what is your job	phi trei ka kam aiu
what is your name	phi kyrteng kumno
what's your name	phi kyrteng kumno
wheat	kew
wheel	shaka
when	lano
whenever	ha kano kano kampor
where	hangno
where are you	hangno phi don
where are you from	phi dei naei
where are you now	phi don haei mynta
where do you live	phi sah hangno
where is	hangno don
whereas	katba
whether	lada
which	kaba
while	katba
whisper	pasiaw
whistle	siaw
white	lieh
who	mano
who are you	phi dei mano
who is	mano ba
who is this	mano ine
whole	baroh kawei
whom	mano
whose	jongno
why	balei
why not	balei em
wicked	sniew jinglong
wide	iar
widow	riew kynthei
width	jingiar
wife	ka lok
will	sa
win	jop
wind	lyer
window	jingkhang iit
windy	ba beh lyer
wine	kyiad
winter	tlang
wipe	niad
wire	sainar
wisdom	jingstad
wise	bastad
wish you all the best	kitbok kit rwiang
witch	ka nongaisniew
with	bad
withdrawal	jingrandien
within	hapoh
without	khlem
witness	sakhi
witness	nongsakhi
witty	ba biria
wolf	suri
woman	ka kynthei
women	ki kynthei
won	lah jop
wonder	jinglyngngoh
wood	ka dieng
wool	sai wool
word	ktien
words	ki ktien
work	trei
work	jingtrei
working	ba treikam
world	ka pyrthei
worm	wieh
worn	ba lah jot
worried	khuslai
worry	khuslai
worse	kham sniew
worship	mane
worst	ba sniew tam
worth	ka dor
worthy	ba don dor
wound	jingmong
Wow	Wow
wrap	sop
wrath	jingbitar
write	thoh
Write here	Thoh hangne
writing	jingthoh
written	ba la thoh
wrong	ba bakla
wrote	la thoh
yard	pruh
yawn	jingsaham
yawn	saham
year	snem
years	ki snem
yeast	thit
yell	hylla
yellow	ba stem
Yes	Hooid
yes honey	hooid baieid
yes my love	hooid baieid jong nga
yes of course	hooid khlem pep
yesterday	mynnin
yield	pyndem
you	phi
you are	phi long
you are beautiful	phi bhabriew
you are so beautiful	phi bhabriew bha
you can	phi lah
You know	Phi tip
you too	phi ruh
you're welcome	ym lei lei
young	dang khynnah
your	jong phi
your welcome	ym lei lei
yourself	ma phi
youth	samla
zero	nout
