أ	a
غضب	resentment
حجز	reservation
احتياطي	reserve
مقيم	resident
يستقيل	resign
صمود	resilience
مرن	resilient
يقاوم	resist
مقاومة	resistance
وضوح	resolution
حل	resolution
يحل	resolve
منتجع سياحي	resort
موارد	resources
إحترام	respect
يحترم	respect
يرد	respond
رد	response
مسؤولية	responsibility
مسؤول	responsible
راحة	rest
فضلات	rest
ارقد في سلام	rest in peace
مطعم	restaurant
يسترجع	restore
يقيد	restrict
النتيجة	result
نتائج	results
سيرة ذاتية	resume
يستأنف	resume
بيع بالتجزئة	retail
يحتفظ ب	retain
يحتفظ	retention
تقاعد	retired
نزل معاش	retired
انسحب	retreat
يسترجع	retrieve
يرجع	return
يكشف	reveal
مكشوف	revealed
انتقام	revenge
إيراد	revenue
يعكس	reverse
مراجعة	review
يراجع	review
يراجع	revise
مراجعة	revision
ثورة	revolution
جائزة	reward
إيقاع	rhythm
ضلع	rib
أرز	rice
غني	rich
يتخلص	rid
ركوب	ride
يركب	ride
سخيف	ridiculous
حق	right
صاح	right
الآن	right now
صلب	rigid
حلبة مصارعة	ring
خاتم	ring
شطف	rinse
شغب	riot
فتحة	rip
شق	rip
يشق	rip
ناضج	ripe
ارتفاع	rise
يرتفع	rise
خطر	risk
يخاطر	risk
منافسة	rival
نهر	river
طريق	road
مشوي	roast
قوي	robust
صخرة	rock
عصا	rod
وظيفة	role
لفة	roll
سقف	roof
غرفة	room
جذر	root
حبل	rope
يربط	rope
حقير	rotten
عنيف	rough
بقسوة	roughly
دائري	round
طريق	route
نمط يومي	routine
صف	row
دعك	rub
معوج	rub
مطاط	rubber
قمامة	rubbish
قليل أدب	rude
سجادة	rug
يخرب	ruin
قاعدة	rule
مسطرة	ruler
قواعد	rules
أجري	run
جري	running
قروي	rural
يندفع	rush
هجوم	rush
طرد	sack
نهب	sack
كيس	sack
مقدس	sacred
يضحّي	sacrifice
آمن	safe
رحلة امنة	safe flight
أمان	safety
حكيم	sage
قال	said
ريشة	sail
إبحار	sailing
من أجل	sake
مرتب	salary
بيع	sale
سمك السالمون	salmon
ملح	salt
نفس الشيء	same
نفس الشيء هنا	Same here
عينة	sample
رمل	sand
اللغة السنسكريتية	Sanskrit
ساخر	sarcastic
قليل أدب	sassy
جلس	sat
رضى	satisfaction
راضي	satisfied
يرضى	satisfy
رضى	satisfying
السبت	Saturday
سجوق	sausage
همجي	savage
يحفظ	save
رأى	saw
يقول	say
مقياس	scale
إحتيال	scam
ندبة	scar
جرح قديم	scar
نادرة	scarce
خايف	scared
وشاح	scarf
شال	scarf
مخيف	scary
مشتت	scattered
مشهد	scene
منظر طبيعى	scenery
عطر	scent
يجدول	schedule
جدول مواعيد	schedule
مدرسة	school
علم	science
عالم	scientist
العلماء	scientists
مقص	scissors
لام وعاتب	scold
مجال	scope
يسجل هدف	score
نتيجة	score
خردة	scrap
يخدش	scratch
يصرخ	scream
شاشة	screen
مفك	screw
لولب	screw
النصي	script
بحر	sea
ختم	seal
يبحث	search
موسم	season
مقعد	seat
الثاني	second
سر	secret
قسم	section
يؤمن	secure
يضمن	secure
أمن	security
أنظر	see
نتلاقى إنشاء الله	see you
أراك لاحقًا	see you later
اراك قريبا	see you soon
أشوفك بكرا	see you tomorrow
بذرة	seed
يسعى	seek
يبدو	seem
يبدو	seems
مرئي	seen
انكمش	seize
إعتقل	seize
مصادرة	seizure
نادراً	seldom
يختار	select
النفس	self
شفاء ذاتي	self healing
أناني	selfish
يبيع	sell
يرسل	send
رسل لي صورتك	send me your picture
كبير	senior
أعلى مرتبة	senior
إحساس	sense
منطقي	sensible
حساس	sensitive
أرسل	sent
محاكمة	sentence
جملة	sentence
عقوبة	sentences
جًُمل	sentences
أفصل	separate
لغة سيبيدي	Sepedi
سبتمبر	september
تسلسل	sequence
مسلسل	series
خطير	serious
بجد	seriously
يخدم	serve
خدمة	service
محاضرة	session
يضبط	set
الضبط	set
إعداد	set up
جلسة	setting
يستقر	settle
سبعة	seven
سبعة عشر	seventeen
سبعون	seventy
متعدد	several
صارم	severe
خياطة	sew
ش	sh
الظل	shade
ظل	shadow
هزة	shake
سوف	shall
سطحي	shallow
عار	shame
شكل	shape
يشارك	share
حاد	sharp
هي	she
هي تملك	she has
هي	she is
سقيفة	shed
خروف	sheep
ستارة	sheet
شيت ورق	sheet
رف	shelf
قشرة	shell
ملجأ	shelter
درع	shield
تحول	shift
يسطع	shine
سفينة	ship
شحن	shipping
قميص	shirt
أحذية	shoes
قتل	shoot
أطلق النار	shoot
دكان	shop
التسوق	shopping
شاطئ	shore
قصير	short
نقص	shortage
ضرب نار	shot
طلقة	shot
يجب	should
كتف	shoulder
يصرخ	shout
يستعرض	show
عرض	show
وريني	show me
يستحم	shower
سمك جمبري	shrimp
ينكمش	shrink
اغلق	shut
أسكت	shut up
خجول	shy
أشقاء	sibling
أخوان أشقاء	siblings
مريض	sick
جانب	side
تلهف	sigh
مشهد	sight
معالم	sightseeing
يوقع	sign
توقيع	signature
مهم	significant
الصمت	silence
صامت	silent
الحرير	silk
سخيف	silly
فضة	silver
مثل	similar
بسيط	simp
بسيط	simple
مع بعض	simultaneously
من زمان	since
مخلص	sincere
تحياتي	sincerely
يغنى	sing
مغني	singer
عاذب	single
حوض	sink
يغرق	sink
سيد	Sir
أخت	sister
اخت الزوجة	sister in law
أخت الزوج	sister in law
يجلس	sit
موقع	site
حال	situation
ستة	six
السادس عشر	sixteen
ستين	sixty
مقاس	size
مهارة	skill
مهارات	skills
جلد	skin
نحيف	skinny
يتخطى	skip
سكيرت	skirt
السماء	sky
عبد	slave
ينام	sleep
نائم	sleeping
نعسان	sleepy
كم	sleeve
قطعة	slice
يقطع الى شرائح	slice
الانزلاق	slide
صفحة في شيت	slide
براحة	slightly
ضعيف	slim
ينزلق	slip
إنحناء	slope
فتحة	slot
بطيء	slow
ببطء	slowly
صغير	small
ذكي	smart
يشم	smell
يبتسم	smile
إبتسامة	smile
دخان	smoke
ناعم	smooth
وجبة خفيفة	snack
حلزون	snail
ثعبان	snake
عض	snap
تلج	snow
إذن	so
ظريف جدًا	so cute
حتى الآن	so far
بلل	soak
صابون	soap
هادئ	sober
كرة القدم	soccer
هداف	soccer
اجتماعي	social
جمعية	society
جوارب	socks
ناعم	soft
برمجة	software
تربة	soil
إتباع	sold
إنتهى وخلص	sold out
جندي	soldier
نعال	sole
مفرد واحد	sole
صلب	solid
حل	solution
يحل	solve
بعض	some
شخص ما	somebody
بطريقة ما	somehow
شخص	someone
حاجة	something
أحياناً	sometimes
أغنية	song
قريباً	soon
متطور	sophisticated
لغة سوراني	Sorani
التهاب	sore
موجع	sore
إلتهاب حلق	sore throat
حزن	sorrow
أسف	Sorry
صنف	sort
طلب	sought
روح	soul
صديق العمر	soulmate
صوت	sound
شوربة	soup
تعفن	sour
مصدر	source
جنوب	south
مساحة	space
بريد عشوائي	spam
اتساع	span
أسباني	Spanish
إضافي	spare
وفر	spare
اتكلم	speak
خاص	special
أصناف	species
محدد	specific
مُذهِل	spectacular
خطاب	speech
اخرس	speechless
سرعة	speed
يتهجى	spell
يقضي وقت	spend
يصرف	spend
قضى وقت	spent
يصرف	spent
حار	spicy
يرتفع	spike
مسمار	spike
يدور	spin
سبانخ	spinach
روح	spirit
بصق	spit
رائع	splendid
انفصال	split
ينقسم	split
يخرب	spoil
مدلل	spoiled
تلقائي	spontaneous
ملعقة	spoon
بقعة	spot
شريك حياة	spouse
ينتشر	spread
الربيع	spring
مربع	square
يعصر	squeeze
الحبار	squid
سنجاب	squirrel
طعنة	stab
مستقر	stable
كوم	stack
مداخن	stack
فريق عمل	staff
مرحلة	stage
بقعة	stain
سلالم	stairs
عود	stake
عصا	stake
خاطر	stake
ساق نبات	stalk
إنتشر المرض	stalk
مشى بتكبر	stalk
المماطلة	stall
صالة	stall
ختم	stamp
يقف	stand
وقوف	stand
معيار	standard
نجمة	star
أبدأ	start
بدأ	started
يجوع	starving
ولاية	state
يعلن	state
تصريح	statement
بيان	statement
محطة	station
تمثال	statue
حالة	status
يبقى	stay
إقامة	stay
ابق في أمان	stay safe
ثابت	steady
قطعة لحم	steak
يسرق	steal
بخار	steam
فُولاَذ	steel
شرب	steep
انحدار	steep
قصبة	stem
خطوة	step
عصا	stick
قاسٍ	stiff
هاديء	still
لا يزال	still
لدغة	sting
بخيل	stingy
يحرك	stir
مخزون	stock
أسهم	stock
مسروق	stolen
المعدة	stomach
حجر	stone
وقف	stood
مقعد	stool
صاحب	stool
أقف	stop
تخزين	storage
متجر	store
عاصفة	storm
قصة	story
موقد	stove
مستقيم	straight
صريح	straightforward
إجهاد	strain
غريب	strange
شخص غريب	stranger
إستراتيجية	strategy
قَشَّة	straw
الفراولة	strawberry
أثَر	streak
مجرى	stream
طريق	street
قوة	strength
ضغط	stress
يتسع	stretch
متشدد	strict
يهجم	strike
خيط	string
شريط	strip
نزع	strip
يجتهد	strive
جلطة	stroke
قوي	strong
أصاب	struck
هيكل	structure
يعافر	struggle
معضلة	struggle
يناضل	struggling
يكافح	struggling
عنيد	stubborn
متورط	stuck
طالب	student
يدرس	study
مذاكرة	study
دراسة	studying
مواد خام	stuff
اشياء	stuff
مدهش	stunning
غبي	stupid
أسلوب	style
اسم الفاعل	subject
موضوع	subject
استسلام, تسليم	submission
يُقدِّم	submit
مادة	substance
بديل	substitute
غامض	subtle
ينجح	succeed
نجاح	success
ناجح	successful
مثل	such
مثل	such as
يمص	suck
عربي سوداني	Sudanese Arabic
مفاجئ	sudden
فجأة	suddenly
يعاني	suffer
معاناة	suffering
كافي	sufficient
سكر	sugar
يقترح	suggest
اقتراح	suggestion
بدلة	suit
يناسب	suit
مناسب	suitable
حقيبة سفر	suitcase
مجموع	sum
مختصر	summary
الصيف	summer
قمة	summit
الشمس	sun
الأحد	sunday
مشمس	sunny
غروب	sunset
شروق الشمس	sunshine
خارق	super
أعلى	superior
مشرف	supervisor
عشاء	supper
إمداد	supply
يزود	supply
يدعم	support
دعم	support
يفترض	suppose
مفترض	supposed
متأكد	sure
سطح	surface
طفرة	surge
جراحة	surgery
الاسم الثاني	surname
مفاجأة	surprise
مندهش	surprised
يستسلم	surrender
محاط	surrounding
مراقبة	surveillance
يجري استطلاع	survey
استطلاع رأي	survey
ينجو	survive
متهم	suspect
يتهم	suspect
مؤجل	suspended
مشكوك فيه	suspicious
تحمل	sustain
الإستمرارية	sustainability
مستمر	sustainable
غنيمة	swag
يبلع	swallow
تبادل	swap
يحلف	swear
يعرق	sweat
جاكت برد	sweater
مسح	sweep
حلو	sweet
أحلام جميلة	sweet dreams
بحب الحلويات	sweet tooth
حبيب	sweetheart
تضخم	swell
أنيق	swell
متكبر	swelling
تورم	swelling
يسبح	swim
سباحة	swimming
أرجوحة	swing
يتأرجح	swing
يحوّل	switch
مفتاح تحويل	switch
منفوخ	swollen
سيف	sword
رمز	symbol
تعاطف	sympathy
أعراض	symptoms
نظام	system
طربيزة	table
يتصدى	tackle
يشير الى	tag
وسم	tag
ذيل	tail
استلم	take
أبعد	take away
إحذر	take care
اخلع	take off
محتل	taken
محادثة	talk
يتحدث	talk
كثير الكلام	talkative
طويل	tall
مقبض	tap
حنفية	tap
شريط	tape
يستهدف	target
هدف	target
مهمة	task
طعم	taste
يتذوق	taste
حلو المذاق	tasty
عَلَّمَ	taught
شاي	tea
يدرس	teach
أستاذ	teacher
فريق	team
دموع	tear
دموع	tears
يضايق	tease
تكنولوجيا	technology
أسنان	teeth
يخبر	tell
أخبرني	tell me
مزاجي	temper
صلب	temper
درجة الحرارة	temperature
معبد	temple
مؤقت	temporary
عشرة	ten
عشرة آلاف	ten thousand
مؤجر	tenant
ينزع	tend
إتجاه	tendency
مزايدة في السعر	tender
زمن الفعل	tense
متوتر	tense
توتر	tension
خيمة	tent
مؤقت	tentative
مصطلح	term
مصطلحات	terms
فظيع	terrible
رائع	terrific
إِقلِيم	territory
إختبار	test
يختبر	test
نص	text
من	than
شكر	thank
شكرا ليك	thank you
شكرا على انتظارك أثناء تحقيقنا في موضوع الشحنة	Thank you for your patience while we investigate shipment
شكرا جزيلا	thank you so much
شكرا جزيلا	thank you very much
شكرا	thanks
شكرا لأنك بتستخدم تطبيقنا	Thanks for using our app
داك	that
إنه	that is
هذا جيد	that's good
ال	the
سرقة	theft
هم	their
هم	them
موضوع	theme
سمة	theme
أنفسهم	themselves
ثم	then
نظرية	theory
هناك	there
هناك	there are
هناك	there is
لذلك	therefore
هؤلاء	these
هم	they
هم	they are
سمك	thick
حرامي	thief
فخد	thigh
ضعيف	thin
شيء	thing
حاجات وأشياء	things
يفكر	think
ثالث	third
عطشان	thirsty
ثلاثة عشر	thirteen
ثلاثين	thirty
هذا	this
هذا	this is
شامل	thorough
كاملاً	thoroughly
أولئك	those
بالرغم من	though
ظن	thought
فِكْرٌ	thought
مدروس	thoughtful
أفكار	thoughts
ألف	thousand
سلسلة	thread
يهدد	threat
هدد	threaten
ثلاثة	three
عتبة	threshold
بسعادة	thrilled
يزدهر	thrive
حلق	throat
من خلال	through
طول فترة	throughout
يرمي	throw
إبهام	thumb
رعد	thunder
الخميس	Thursday
وهكذا	thus
غطاء	tick
قرادة	tick
حركة امواج البحر	tide
مرتب	tidy
ربطة عنق	tie
يربط	tie
نمر	tiger
ضيق	tight
لغة التيغرينية	Tigrinya
وقت	time
خجول	timid
صغير	tiny
بقشيش	tip
نصائح	tips
لستق	tire
عجل	tire
تعبان	tired
منديل	tissue
عنوان	title
الى	to
عشان يكون	to be
خبز محمص	toast
اليوم	today
طفل صغير	toddler
أصابع القدم	toes
مع بعض	together
الحمام	toilet
كلم	told
تسامح	tolerance
تساهل	tolerate
طماطم	tomato
غداً	tomorrow
لسان	tongue
الليلة	tonight
أيضا	too
أخذ	took
أداة	tool
أدوات	tools
سن	tooth
قمة	top
موضوع	topic
ممزق	torn
يعذب	torture
المجموع	total
يلمس	touch
خشن	tough
رحلة سياحية	tour
باتجاه	toward
بإتجاه	towards
فوطة	towel
مدينة	town
مسموم	toxic
يتبع	trace
يتبع	track
تجارة	trade
يتاجر	trade
تقاليد	tradition
تقليدي	traditional
حركة	traffic
مقطورة	trail
أثر	trail
يتمرن	train
قطار	train
تمرين	training
ميزة	trait
ميزات	traits
تحويل	transfer
انتقال	transition
يترجم	translate
شفاف	transparent
ينقل	transport
مواصلات	transportation
فخ	trap
مهملات	trash
صدمة	trauma
يسافر	travel
صينية	tray
أحب	treasure
كنز	treasure
إتعامل	treat
علاج	treatment
شجرة	tree
هائِل	tremendous
شائع	trend
مشهور	trend
محاكمة	trial
محاولة	trial
حيلة	trick
حاول	tried
زناد	trigger
يضغط	trigger
زخارف	trim
رحلة	trip
مشكلة	trouble
بناطلين	trousers
شاحنة	truck
صاح	true
جذع	trunk
ثقة وصدق	trust
يثق	trust
ثقة	truth
يحاول	try
لغة تسونجا	Tsonga
أنبوب	tube
الثلاثاء	Tuesday
دراسة	tuition
ديك رومى	turkey
الكُركُم	turmeric
ينعطف	turn
يلف	turn
سلحفاة	turtle
مدرس خاص	tutor
اثني عشر	twelve
عشرين	twenty
واحد وعشرين	twenty-one
لغة توي	Twi
مرتين	twice
إلتواء	twist
أثنين	two
نوع	type
متكرر	typical
قبيح	ugly
أقصى	ultimate
مظلة	umbrella
غير قادر	unable
عم	uncle
خال	uncle
غير واعي	unconscious
تحت	under
تحته	underneath
مُهمَل	underrated
يفهم	understand
مفهوم	understood
للأسف	unfortunately
زي رسمي	uniform
فريد	unique
وحدة	unit
جامعة	university
مجهول	unknown
إلا إذا	unless
حتى	until
غير عادي	unusual
فوق	up
على كيفك	up to you
تحديث	update
يحدث	update
تجديد	upgrade
تحديث	upgrade
على	upon
منزعج	upset
متحضر	urban
استعجال	urge
يعجل	urge
عاجل	urgent
نحن	us
يستخدم	use
إستعمال	use
مستخدم	used
مفيد	useful
عديم الفائدة	useless
عادي	usual
في العادة	usually
جدوى	utility
إجازة	vacation
لقاح	vaccination
لقاح	vaccine
مكنسة	vacuum
غامض	vague
ساري المفعول	valid
الوادي	valley
قيّم	valuable
يقدر	value
قيمة	value
متنوع	variety
مختلف	various
يختلف	vary
مزهرية	vase
واسع	vast
الخضروات	vegetable
خضروات	vegetables
عربية	vehicle
بائع	vendor
حسد	venom
السم	venom
يغامر	venture
مكان	venue
يؤكد	verify
متنوع القدرات	versatile
إصدار	version
رأسي	vertical
شديد	very
جيد جدا	very good
وعاء	vessel
عبر	via
شعور	vibe
مشاعر	vibes
فاسد	vicious
ضحية	victim
فيديو	video
منظر	view
قرية	village
خسيس	villain
الخل	vinegar
كلاسيكي	vintage
عنف	violence
عنيف	violent
فيروسي	viral
بِكر	virgin
إفتراضي	virtual
فضيلة	virtue
رؤية	vision
زيارة	visit
يزور	visit
مرئي	visual
حيوي	vital
واضح	vivid
مفردات	vocabulary
صوت	voice
فراغ	void
حجم	volume
متطوع	volunteer
أخرج	vomit
إستفراغ	vomit
مُعَرَّض	vulnerable
مرتب	wage
أجور	wages
مرتبات	wages
خصر	waist
انتظر	wait
جرسون	waiter
ينتظر	waiting
يستيقظ	wake
أصحى	wake up
يمشي	walk
مشي	walk
المشي	walking
حيطة	wall
جزلان	wallet
تجول	wander
سنين	wander
تريد	wanna
عايز	want
مطلوب	wanted
حرب	war
خزانة ملابس	wardrobe
مستودع	warehouse
دافيء	warm
يسخن	warm
تحذير	warn
تحذير	warning
محارب	warrior
كان	was
يغسل	wash
نفايات	waste
يضيع	waste
ساعة يد	watch
حراسة	watch
ينظر	watch
ماء	water
بطيخ	watermelon
موجة	wave
شارع	way
نحن	we
نحن	we are
نستطيع	we can
ضعيف	weak
ضعف	weakness
ثروة	wealth
غني	wealthy
ألبس	wear
يلبس	wearing
الجو	weather
زفاف	wedding
الأربعاء	Wednesday
حشيش	weed
أسبوع	week
عطلة نهاية الاسبوع	weekend
وزن	weight
يوزن	weight
مخيف	weird
مرحب بيك	welcome
رفاهية	welfare
شؤون اجتماعية	welfare
كويس	Well
شغل جميل	well done
مشى	went
كان	were
غرب	west
رطوبة	wet
الحوت	whale
ماذا	what
طيب وأنت	what about you
بتعمل في شنو	what are you doing
بتعمل في شنو حاليا	what are you doing now
ماذا تفعل الآن	what are you doing right now
ماذا تفعل	what do you do
ماذا تعمل لكسب لقمة عيشك	what do you do for a living
قصدك شنو	what do you mean
داير شنو ؟	what do you want
ماذا يحدث	what happened
ماذا يكون	what is
ما هذا؟	what is this
ما وظيفتك	what is your job
إسمك منو	what is your name
كيف أخبارك	what's up
اسمك منو	what's your name
أيا كان	whatever
قمح	wheat
عجل عربية	wheel
متين	when
في أي وقت	whenever
أين	where
أنت وين	where are you
أنت من وين	where are you from
أنت وين الآن	where are you now
أنت عايش وين	where do you live
أين هو	where is
بينما	whereas
سواء	whether
التي	which
عندما	while
يهمس	whisper
صفارة	whistle
أبيض	white
منو	who
أنت منو	who are you
الذي هو	who is
دا منو	who is this
كل	whole
من	whom
الذين	whose
لماذا	why
ولم لا؟	why not
الفاسد	wicked
واسع	wide
أرملة	widow
العرض	width
زوجة	wife
متوحش	wild
وصية	will
سوف	will
يرغب في	willing
يفوز	win
رياح	wind
نافذة او شباك	window
عاصف	windy
مشروب خمر	wine
الشتاء	winter
يمسح	wipe
الأسلاك	wire
حكمة	wisdom
حكمة	wise
يأمل	wish
أماني	wish
أتمنى لك الأفضل	wish you all the best
ساحرة	witch
مع	with
يسحب	withdraw
سحب	withdrawal
ضمن	within
بدون	without
شاهد	witness
يشهد	witness
مضحك	witty
ذكي	witty
ذئب	wolf
إمراة	woman
امرأة	women
فاز	won
يتعجب	wonder
عجيب	wonderful
خشب	wood
صوف	wool
كلمة	word
كلمات	words
يعمل	work
عمل	work
حل	work out
عمل	working
العالم	world
دُودَة	worm
لبس	worn
متوتر	worried
خوف	worry
أسوأ	worse
يعبد	worship
الأسوأ	worst
يستحق	worth
يستحق التعب	worth it
مستحق	worthy
جرح	wound
وااو	Wow
لف	wrap
غيظ	wrath
معصم اليد	wrist
أكتب	write
اكتب هنا	Write here
كتابة	writing
مكتوب	written
خطأ	wrong
كتب	wrote
حديقة المنزل	yard
يتثائب	yawn
تثاؤب	yawn
نعم	Yeah
عام	year
سنين	years
خميرة	yeast
صراخ	yell
أصفر	yellow
نعم	Yes
نعم حبيبي	yes baby
نعم عزيزي	yes dear
نعم حبيبتي	yes honey
أي حبيبتي	yes my love
نعم أكيد	yes of course
أمس	yesterday
قط	yet
محصول	yield
خضوع	yield
أنت	you
أنت	you are
أنت جميل	you are beautiful
أنت جميلة جداً	you are so beautiful
عفوا	you are welcome
أنت قادر	you can
أنت عارف	You know
أنت أيضاً	you too
العفو	you're welcome
شاب	young
حقك	your
العفو	your welcome
نفسك	yourself
شباب	youth
العفو	you’re welcome
لذيذ	yummy
صفر	zero
