with	a
vegher	quarter
Quechua	Quechua
torkwase	queen
cimin	queer
mbapin	query
kwaghpinen	question
nongo	queue
fese	quick
fele	quick
fesefese	quickly
Ving	quiet
de	quilt
de	quit
jimin cii	quite
kyaren	quiz
avur	quotation
nger	quotation
or kwagh la voughur	quote
ivur	quotes
alom	rabbit
ayem	race
iyugh	rage
ishima vihin	rage
ura	rain
Kende	raise
yese	raised
yevese	ran
ngenangena	random
atô kposo kposo	range
fele	rapid
fele	rapidly
ban	rare
aan a an	rarely
nure eren	rash
gagh	rash
ihyev	rat
inyaregh	rate
kpa	rather
iyenge	ratio
sha kwaghfan	rational
kô	raw
he	re
ar	reach
nyor	reached
ieren	reaction
Ôr	read
ôron	reading
ôr	reading
kohol iyol	ready
kegh iyol	ready
kpookpoo	real
mimi	real
kwagh umimi	reality
mumbur	realize
kav er	realized
Mimi nee	really
ken jime	rear
ityôkyaa	reason
fatyô	reasonable
ityôkwagh	reasonable
umbur	recall
lishii	receipt
ngohol	receive
ngohol	received
ainge	recent
nyen nyen	recently
ahegen-ahegen	recently
ndor-ndor	recently
ngohol	reception
akaa ayorun	recipe
daangdaang	reckless
kav	recognition
iwuese	recognition
kav	recognize
fa	recognize
kaven	recognize
tesen or kwagh	recommend
kaa	recommended
nger ver her	record
ngohol	recover
hide	recover
hide taver	recovery
sôron	recovery
kokonan	rectangle
nyian	red
yima	redeem
paa	redeem
yima	redemption
songor	reduce
goho	reduce
pande	reduce
nger gande	redundant
tesen apegenegh	refer
i ter	reference
gbidye kwar	reflect
tesen	reflection
palegh	refrain
firiiji	refrigerator
hiden ami	refund
venda	refuse
venda	refused
icivir	regard
sha kwagh	regarding
sha nahan kpaa	regardless
mna isughun	regards
tiôn tar	region
ati a ior man akaa	register
afanyô	regret
fele fele	regular
haanma shie	regularly
venda	reject
zough	relate
zua	relate
war zolun	related
mwe	relationship
ikyar	relationship
tsombur	relative
tsombor	relatives
angbianev	relatives
memnya	relax
pase	release
osogh	release
pase	released
ngi a inja	relevant
ngu u suur sha	reliable
shiman gban shin mi	relief
mpeveryol	relieve
mkpeyol	relieved
kwagh aondo	religion
kwaghaondo	religious
ihwev	reluctant
ver ashe	rely
shi	remain
shi her	remaining
gbenda u vesen	remarkable
sôr	remedy
umbur	remember
umbur mo	remind
umbur	reminder
ke atotoho	remote
dugh sha	remove
nan	render
haiya	rent
sor	repair
kimbir	repeat
dugh wa ugeen	replace
na ikyaa	reply
ibaver	report
tile sha ityou ki	represent
mbamhen mbaior sha or	reputation
kwagh sônon	request
sôn	request
gba pe	require
gba	required
duen akwagh ken zaiyol sha	rescue
Kwaghtovôn	research
bee	resemble
shima vihin ker	resentment
ver sha ciu	reservation
ver	reserve
ushirmbaiorov	resident
or ya	resident
de tom	resign
taver shima	resilience
ishima wan	resilience
ishimawan	resilient
venda	resist
hendan	resist
hendan a	resistance
mkur u kwagh	resolution
kure	resolve
sôr	resolve
hingir	resort
gema	resort
akaa a	resources
civir	respect
ngohol	respond
ungwa	respond
mlumun	response
mba mgbe	responsibility
tom	responsible
mem	rest
mem ken bem	rest in peace
ijiir i teen kwaghyan	restaurant
hide	restore
nyume ian i eren kwagh	restrict
rizôtu	result
due	results
hii	resume
tee cukucuku	retail
hide	retain
ver	retention
umbur akaa	retention
ordentom	retired
hide jime	retreat
hinde	retrieve
dugh	retrieve
hide	return
yôô	reveal
mpase	revealed
uyoon	revealed
iyevoron	revenge
nyaregh ki zua ami	revenue
hinden lun	reverse
kôr gema	reverse
kengese	review
sor	revise
nyôôso	revise
shinde sôr	revision
numgban	revolution
iyuwa	reward
ityoughlov	rhythm
hwan	rib
cinkafa	rice
cingapa	rice
shagbaor	rich
ta kera	rid
tim	rid
henda	ride
kwaghhendan	ride
kunya kor	ridiculous
Iyan	right
hengen	right now
norom ikyaa	rigid
iyou ki ke we	ring
elegh	rinse
num	riot
ande	rip
tsuwe	rip
via	ripe
kôndo	rise
eren kwagh cier iyol	risk
henda	rival
waa	river
gbenda	road
gbagh	roast
kpishi	robust
ngee	robust
iywen	rock
vande	rock
iyough	rod
tomwam	role
menger	roll
haa ku ya	roof
ijiir i tsan	room
ian	room
iyou	room
mise	root
kor	rope
hoo	rotten
shua shua	rough
shainjaga	roughly
gbilititi	round
gbenda	route
eren vough	routine
nongu	row
koo	rub
loba	rubber
ibumekwagh	rubbish
ihyôghnough	rubbish
gemgem	rude
rog	rug
vihin kwagh	ruin
tindi	rule
tor	ruler
atindi	rules
yevese	run
yevese	running
ayem	running
agar	rural
torough	rush
zenda	sack
icighan	sacred
iyuwa	sacrifice
war	safe
zende sha girgi u doo	safe flight
kuran yol	safety
kwaghfan	sage
ôr	said
nyôr tso	sail
tso u nahan	sailing
ci	sake
sha a ci	sake
injaatom	salary
teen	sale
kusugh	salmon
baa	salt
môm	same
mo kpaa	Same here
ikyav	sample
inya	sand
Sanskrit	Sanskrit
hom	sarcastic
tswam	sassy
tema	sat
mkom	satisfaction
kuma	satisfied
kuma	satisfy
kumam	satisfying
sati	Saturday
nyam	sausage
vihi tu	savage
ver	save
kura	save
yan m nenge	saw
or	say
kyaren	scale
aiye	scam
iyolough	scar
taver zuwan ami	scarce
Mciem	scared
Cian	scared
adikpo	scarf
cieriyol	scary
sambe wue wue	scattered
ijiir	scene
tembe	scene
ijiir	scenery
akongo	scenery
ihuma	scent
ver aynge	schedule
makeranta	school
sukuu	school
sainsi	science
sangen yeke	science
Mbatôvonkwaghfan	scientist
mbahenkwagh	scientists
keshi	scissors
zoho	scold
kwagh u alu ker yo	scope
akaaôron	score
avur	scrap
agher	scratch
genger	scream
ngor	scream
jingi	screen
kusa	screw
kwaghngeren	script
tyeku	sea
ikyagen	seal
varen	seal
keren	search
shighe	season
kwagh teman	seat
sha uhar	second
kwagh myer	secret
vegher	section
kuran	secure
mbakuran	secure
kura	security
nenge	see
nenge awe	see you
saa shie gen	see you later
saa shi se nenge	see you soon
se nenge kper	see you tomorrow
isham	seed
ker	seek
kam er	seem
Kam er	seems
nenge	seen
kor vernya	seize
ngohol shaage	seizure
Fe eren	seldom
sange	select
yol yam	self
sorun iyol you	self healing
wa bo	selfish
tee	sell
tindi	send
tindim a foto wou	send me your picture
ortamen	senior
orvesen	senior
kwaghfan	sense
kwaghfan	sensible
fan akaa fele	sensitive
tindi	sent
ingyeren	sentence
ingyeren	sentences
ver kposo	separate
pav	separate
Sepedi	Sepedi
wer u sha utaankar unyiin	september
sha aver aver	sequence
akaa eren	series
vesen	serious
tsung	seriously
beelee ga	seriously
er or tom	serve
eren tom	service
shighe	session
tim	set
hôn	set
ver voughur	set up
shighe	setting
memnya	settle
utaan kar uhar	seven
puekar utaan kar uhar	seventeen
akunduatar gber	seventy
kpishi	several
vihi kpishi	severe
kor	sew
sh	sh
mule	shade
jijingi	shadow
tsongur	shake
alu	shall
za shimi ga	shallow
Kpôôkpôô	shallow
kunya	shame
mlu	shape
bur	share
kwar	share
ci	share
ese	sharp
un	she
kwase la	she has
kwase la	she is
cii	shed
yongu	sheep
bamber kwagh	sheet
lwagh veren kyav	shelf
igbende	shell
kwembe	shell
ijiir i memen	shelter
kura	shield
kporum	shift
wanger	shine
giigi mnger	ship
tindin a kyav	shipping
liga i gba ave	shirt
sheti	shirt
akov angahar	shoes
ta	shoot
ijir i teen kwagh(noun)	shop
yamen kwagh(verb)	shop
yamen akaa	shopping
kpe ifi	shore
tiôn	short
yina	shortage
tume	shot
ta	shot
nahan	should
vandegh	shoulder
nande	shout
ngoo	shout
genger imo	shout
tese	show
tesem	show me
iyoloon	shower
ishu	shrimp
hide jime	shrink
senda	shut
cir dzwa	shut up
cia ashe	shy
angbian	sibling
an gbyanev	siblings
Dedoo ga	sick
kpe	side
shii shima	sigh
kenger	sight
nenge	sight
ahumne	sightseeing
zende kenger	sightseeing
sain	sign
ikyav	sign
wegh ku wan	signature
vesen	significant
ahuan	silence
viin	silent
silk	silk
tumbulu	silly
azurufa	silver
imba	similar
ibumeor	simp
taverga	simple
eren akaa ahar shien mon	simultaneously
Ashen je	since
mimi	sincere
sha mimi	sincerely
gber icam	sing
or gberen icham	singer
kwav	single
gbenger	single
mile	sink
orvesen	Sir
an gbyan u kwase	sister
won u kwase	sister in law
tema	sit
ijiir	site
mlu	situation
ateratar	six
pue ka uteratar	sixteen
akundu atar	sixty
cukuu	size
kehe	size
tomavee	skill
tor avee u fan	skills
kwavyologh	skin
kehe ga	skinny
aver	skip
shikee	skirt
kwavaôndo	sky
kpan	slave
yav	sleep
yaven	sleeping
mnyam	sleepy
wegh ku riga	sleeve
kpenkwagh	slice
dorugh sha kwagh	slide
cukuutso	slightly
kpuaa	slim
cuku	slim
osough	slip
lyemen	slip
vegher uwo	slope
ian	slot
teelee	slow
kule kule	slowly
kiriki	small
cuku	small
kpuaa	small
tsera tsera	smart
tsev tsev	smart
huma	smell
sen	smile
mnyim	smoke
lue-lue	smooth
kuese	snack
Ikyôr	snail
iyô	snake
tôô photo	snap
ta hwa	snap
kpikpishi	snow
iikpii	snow
Je	so
Nahan	so
dooshima	so cute
sha nahan yo	so far
ma	soak
chahul	soap
kundu shima	sober
sambe	sober
teghlee	sober
bol u gbidyen	soccer
mkombo	social
iniongo	social
tar	society
hingir	socks
taver ga	soft
kômputa	software
inya	soil
tee	sold
tee bee	sold out
orshoja	soldier
tseegh	sole
gbanggbang	solid
sôr mzeiyol	solution
shilishôn	solution
bee zaiyol	solve
A ngen	some
Mba ngen	some
or	somebody
gbem tsô	somehow
or	someone
kwagh	something
ashie ngenen	sometimes
icam	song
fese	soon
kwagh taver	sophisticated
Sorani	Sorani
avav a ken	sore
gôngul u nyion	sore throat
mzungu	sorrow
ijungwen	sorrow
M sugh u	Sorry
sor ver	sort
keren	sought
uma	soul
shioryam	soulmate
ayoosu	sound
iue	soup
iangen	sour
ange	sour
imbor	source
shi yange milen	south
ian	space
loho mba byumev	spam
mtse	span
anyom	span
mba lamen dzwa u ken spain	Spanish
tsegha	spare
lam	speak
ishima tsung	special
inja tsung	special
akaa a maren kposokposo	species
jighilii	specific
kpilighyol	spectacular
kwaghorun	speech
orkondonikyer	speechless
ayem	speed
supeli	spell
vihi	spend
vihi	spent
tsee mkem	spicy
ser	spike
dzomun	spin
ashwe	spinach
jijingi	spirit
ijer	spit
doo je gande	splendid
pav	split
vihi	spoil
vihi	spoiled
kar e ishima	spontaneous
cokeli	spoon
acôghor	spot
ijiir	spot
iyaagh	spouse
kwase	spouse
wumbur	spread
tar	spread
gbukugh	spread
hwembe	spring
nule	spring
sukwia	square
tembe	square
kam	squeeze
nyam mger	squid
alom	squirrel
orjighjigh	st
kuma	stab
zanyol ga	stable
tenger ga	stable
injuku	stack
gbough	staff
mbatomov	staff
tsembe	stage
ii	stain
gbenda u unden sha	stairs
tahav ken kwagh	stake
dondon	stalk
kor tile	stall
ikyav	stamp
tilesha	stand
tandad	standard
ishan	star
hii	start
hiin	started
ijen	starving
Siteiti	state
ikyaan	statement
tashan	station
imaagh	statue
iaven	status
lu her	stay
lu tsembelee	stay safe
tile jiilaa	steady
nyam bua	steak
iv	steal
tulugh	steam
iyôgh	steel
tingir	steep
tine	stem
iaven	step
tôô angahar	step
kon	stick
taver	stiff
girgir	still
ta	sting
vihi kwagh	stingy
tuur	stir
kende	stir
mgbegha	stir
ikyav mbi teen cii	stock
ii	stolen
gbor	stomach
iwen	stone
tile	stood
kwagh teman	stool
tile	stop
de	stop
koso	storage
koson	storage
ijiir kosun akaa	store
hiar	storm
ahumbeaura	storm
injakwagh	story
kwaghhir	story
imienger	stove
jighilaa	straight
orototo	straight
jighligh	straightforward
mnyion	strain
cier iyol	strange
kpiligh iyol	strange
orvanya	stranger
fa nan ga	stranger
gbenda	strategy
apee	straw
ityamegh	strawberry
usough	streak
tungu	stream
godobi	street
agee	strength
mvoor	stress
nalegh	stretch
taveraa	strict
ta sha agee	strike
idzuan	string
dugh	strip
nôngo	strive
kpe vesgh mon	stroke
taver	strong
gbidye	struck
ta	struck
kwagh maan	structure
iniôgon	struggle
nôngon	struggling
taver ityough	stubborn
gen	stubborn
taver	stuck
mbayevmakeranta	student
kwagh-henen	study
henen	studying
kwagh	stuff
kpiligh iyol	stunning
bume	stupid
mlu	style
itine kwagh	subject
ungwan imo	submission
na sha ikev	submit
urum	substance
sha tyough ki	substitute
sha a ci u	substitute
beelee	subtle
kôr cio	succeed
za ikyura	success
kule voughul	successful
imba	such
er	such as
suse	suck
gagh	sudden
fese	suddenly
dase	suddenly
baver	suddenly
ican	suffer
ican	suffering
kuma	sufficient
shuga	sugar
shoga	sugar
mhen	suggest
mhen	suggestion
suutu	suit
injaa	suitable
igbaikondo	suitcase
cii	sum
suma kwagh	summary
fam	summer
itough	summit
yange	sun
yange i memen	sunday
yange ta	sunny
aikegh	sunset
iyange i miren	sunset
iyange i taan	sunshine
ijever	super
orvesen	superior
orvesen	supervisor
kwagh yan u aikighe	supper
na	supply
Ishuen	support
gba pe	suppose
alaghga	supposed
tôô ase wer	supposed
vangertiôr	sure
sha taregh	surface
mseer	surge
ipyaven	surgery
iti is ter	surname
kpilighiyol	surprise
kpiligh yough	surprised
haa kya inya	surrender
gbihi	surrender
na yol	surrender
kase	surrounding
keren shi kuran	surveillance
tsofia	survey
mwar	survive
mhen	suspect
hila mem	suspended
har	suspended
wanger ga	suspicious
koso	sustain
kura	sustain
uzaan hemen a kwagh	sustainability
eren zanzan	sustainable
ikyondo	swag
mena	swallow
musan	swap
hum	swear
iusa	sweat
riga u wuhe	sweater
ese	sweep
nyoho	sweet
mnyaciem ma dedoo	sweet dreams
inyigh ki nyohon	sweet tooth
adoomshima	sweetheart
mor	swell
mulan	swelling
uwe ôôn	swim
iyol tungun	swimming
gema fese	swing
gema	switch
mula	swollen
sankegh	sword
ikyav	symbol
zungwe	sympathy
akav	symptoms
shighr	system
tebul	table
fatyô u been	tackle
keren yô	tag
tsa	tail
Ngohol	take
too sha	take away
wa kiô	take care
mou	take off
kôr	taken
tôô	taken
yôôso	talk
lam	talk
soo liam	talkative
taven	tall
tav	tall
zwa mnger	tap
tser	tape
aver ashe	target
ityom	task
nenge mnyoho	taste
nyoho	tasty
tese	taught
tii	tea
tese	teach
ortesen	teacher
nongu	team
ande	tear
mlian	tear
mliam	tears
hôm	tease
numbe	tease
iwavaren	technology
iwabuter	technology
anyi	teeth
Ôr	tell
kaa	tell
orum	tell me
ityoronshima	temper
iyol tseen	temperature
tempel	temple
hila	temporary
pue	ten
akpa akunduahar gber	ten thousand
mba hen ya wou	tenant
sha verashe	tend
sha inja	tendency
teelee	tender
zayol	tense
haghelaa	tension
ayôôso	tension
tenti	tent
henen	tentative
shie kpuaa	term
inja	terms
mbamzeyol	terrible
kpilighiyol	terrific
hen haregh	territory
kyaren	test
loho	text
hemba	than
msugh	thank
Msugh u	thank you
M sugh a shima wan se tov kwagh ikyav bi shun	Thank you for your patience while we investigate shipment
msugh u kpishi	thank you so much
msugh kpishi	thank you very much
M sugh u	thanks
se sugh u eren kwagh sha kwagh ne	Thanks for using our app
la	that
kwagh la	that is
kwaghla doo	that's good
u	the
iv	theft
uve	their
ve	them
itinekwagh	theme
ve ayol ave	themselves
maa	then
kwaghfan u kpilighiyol	theory
haal	there
mba	there are
kwagh u	there is
nahan	therefore
Mba	these
ve	they
mba	they are
civilii	thick
cafa	thick
ormbaiv	thief
namegh	thigh
vende	thin
kwagh	thing
akaa	things
hen	think
u sha utar	third
imula	thirsty
imura	thirsty
kyundu gber	thirteen
ikyundu gber	thirty
ka	this
kun	this is
ngun	this is
kpoghuloo	thorough
tsema tsema	thoroughly
vighe vighe	thoroughly
mba	those
Shin	though
hen	thought
mhen u dedoo	thoughtful
mba mhen	thoughts
akpa ataan	thousand
nongukwagh	thread
mciem	threat
tacin	threaten
utar	three
mhii u kwagh	threshold
doon	thrilled
nongun	thrive
kyer	throat
Ken	through
Hen	through
jimin cii	throughout
sha won cii	throughout
ker	throw
nomhôwe	thumb
dyuran	thunder
tom anyiin	Thursday
nahan yô	thus
ya	tick
kange	tide
wang	tidy
kange	tie
anyam	tiger
tsule	tight
Tigrinya	Tigrinya
shie	time
bume	timid
vegh vegh	tiny
ankyughur ice	tip
ikyuurce	tips
vor	tire
Due ishima	tired
Vôr	tired
kwa takerada	tissue
iti	title
Tiv	Tiv
hen	to
u lun	to be
shiorkwase	toast
kaa kyek	toast
nyian	today
wanakiriki	toddler
ahôangahar	toes
imômgo	together
ihyungwa	toilet
kaa	told
shimawan	tolerance
shimawan	tolerate
tumatu	tomato
Kpee	tomorrow
nombugh	tongue
nyian aikegh	tonight
tugh bun	tonight
kpaa	too
tôôr	took
ikyav mbi tomov	tool
ikyav	tools
inyigh	tooth
sha tyo	top
itinekwagh	topic
ityôkwagh	topic
ande	torn
atsan	torture
mtsaha	torture
cica cii	total
bende	touch
taver	tough
tsulugh	tough
zende	tour
ningir ken gar	tour
eren ave	toward
eren hen	toward
sha	towards
ikondo i uman yol	towel
geri	town
vihin	toxic
tov	trace
gbenda	track
hwange	track
tee	trade
kpenga	trade
atesen	tradition
tyo	traditional
mngee u akaahendan sha gbenda	traffic
sha angahar	trail
dondon	trail
igirgi dogo	train
ityesen	training
ieren	trait
akav	traits
aeren	traits
na pegeen	transfer
geman nan	transition
gema ken zwa ugen	translate
nenge tsula	transparent
zenden	transport
kwagh hendan	transportation
hôn	trap
wanger ami	trash
mnyoon	trauma
zende	travel
gbande u vesen	tray
akaa a doon	treasure
sôr	treat
tôr	treat
ieren aor	treatment
kon	tree
ulun kpen kpen	tremendous
kpishi	tremendous
ieren	trend
akaa a ieren ainge	trend
kaa	trial
tsugh	trick
nongun	tried
tughur	trigger
tondu	trim
zende	trip
imange	trouble
wondu	trousers
mato	truck
Mimi	TRUE
iwyenge	trunk
suur	trust
mimi	truth
kalegh	try
nôngo	try
Tsonga	Tsonga
tuub	tube
tom ahar	Tuesday
kimbin injar	tuition
kyer	turkey
kwatoho	turmeric
goom	turn
gema	turn
atsa	turn
kulugh	turtle
tese	tutor
pue kar uhaa	twelve
kyundu	twenty
kyundu ka mom	twenty-one
Twi	Twi
kwa har	twice
goom	twist
uhar	two
inja kwagh	type
ityo kwagh	type
ieren i sha mimi	typical
vihi	ugly
tsumuu	ugly
hemban cii	ultimate
vesen	ultimate
nima	umbrella
fa tyo ga	unable
angô u terem	uncle
hume	unconscious
Shin	under
shinya	underneath
iwuese ga	underrated
kav	understand
mfe	understood
kwagh er vihi	unfortunately
yonofum	uniform
zeeng	unique
kar	unit
makeranta	university
faga	unknown
saa	unless
saa	until
ka vande lu nahan ga	unusual
sha Aondo	up
mkuma sha we ga	up to you
sôr mkav	update
seer tan iwanger	update
kenden sha	upgrade
sha	upon
nduul	upset
geri	urban
shima taver	urge
fese	urgent
fele	urgent
Se	us
er gba iyol	use
yusu	used
liba	useful
a inja ga	useless
gbilinkwagh	useless
ivandelun	usual
ashie kpishi	usually
er tom ami	utility
memyol	vacation
gber iwambe	vaccination
icigh	vaccine
ovor ihyundu	vacuum
atyokyaashio	vague
shami	valid
shin pev	valley
kwagh dedoo	valuable
mpani	value
injaa	value
atô kposo kposo	variety
atô kposo kposo	various
koso	vary
kaha	vary
gbande u tumuun	vase
gbagerlaa	vast
ikyayue	vegetable
ikyayue	vegetables
moto	vehicle
orteen kasua	vendor
megh	venom
imôngo	venture
kpenga	venture
ijiir	venue
tovon fan	verify
eren akaa cii	versatile
kwaghuhe	version
sen a sen	vertical
je	very
doo kpishi	very good
ikav	vessel
sha ikyev	via
saan	vibe
myoon ken shima	vibes
msaan ken ishima	vibes
vihi tsung	vicious
ya ican	victim
vidio	video
mnenge	view
ijiir i mar	village
orihom	villain
viniger	vinegar
utse	vintage
num	violence
ipila	violence
tswam	violent
ipila	violent
anyigôr	viral
iniunkwase	virgin
sha ahumbe	virtual
sha inja	virtue
mpase	vision
mnenge	vision
vanya	visit
ufoto	visual
hangehange	vital
vie vie	vivid
ati akaa	vocabulary
ikyenge	voice
ityokyaaga	void
mngee	volume
na yol you	volunteer
na iwasen	volunteer
suwa	vomit
taver ga	vulnerable
injar	wage
injar	wages
iywenge	waist
Kegh	wait
or keghen	waiter
kegh	waiting
nder	wake
lun per	wake
nder	wake up
zende	walk
zenden	walking
kpukpe	wall
ikpa	wallet
tsume	wander
msoo ape	wanna
Soo	want
keren	wanted
ityav	war
wadroo	wardrobe
iyou i kosun kyav	warehouse
sule	warm
Saa	warm
ta icin	warn
tan icin	warning
ortuya	warrior
lu	was
kire	wash
vihi	waste
agogo	watch
kura	watch
Mngerem	water
fulum	watermelon
zege humbe	wave
gbenda	way
Se	we
se mba	we are
se fatyo	we can
gbeda gbeda	weak
vôr	weakness
shagba	wealth
inyaregh gbin	wealthy
shagba	wealthy
hua	wear
huan ikyondo	wearing
huan	wearing
fam	weather
nyom	weather
ivese	wedding
tomatar	Wednesday
toho	weed
lahadi	week
mkurtom	weekend
myohom	weight
cimin inja	weird
M sugh u da van	welcome
mkpeyol	welfare
Sha mi	Well
Doo doo	Well
Ijôr	Well
msugh a tom	well done
za	went
ngu	were
yange milen	west
ndor	wet
fam	wet
zege shu	whale
ishu	whale
Ka nyi	what
we di yee	what about you
Ka nyi u lu eren	what are you doing
U ngu eren nyi hegen	what are you doing now
u ngu eren nyi higen	what are you doing right now
kanyi kwagh u eren ne	what do you do
kanyi tom u eren	what do you do for a living
inja kwagh la ye nyii	what do you mean
kanyi u soo	what do you want
ka nyi i er	what happened
ka nyi	what is
kanyi nee	what is this
tom wou ka nyi	what is your job
I ti you ye ana	what is your name
i er nena	what's up
Iti you ér ana?	what's your name
nyityôkwagh	whatever
amine	wheat
ikyaven	wheel
kikye	wheel
Haa ma shien	when
hanma shie	whenever
Hana	where
U ngu hana	where are you
U ngu ba hana	where are you from
u ngu hana hegon	where are you now
ka han a utse	where do you live
ka hana	where is
gadiyo	whereas
aluer	whether
Haa mo	which
er	while
ivarvase	whisper
tungwa	whistle
Pupuu	white
Ana	who
u ngu ana	who are you
ka ana	who is
ka ana ne	who is this
jimin	whole
ana	whom
unô	whose
Ha cii U nyi	why
er nan	why not
vihi tu	wicked
vihi inja	wicked
belabela	wide
gbanger	wide
kpuung	wide
kwasecôghol	widow
igbyanger	width
hwan	wife
kwase ya	wife
amelia	wife
toho	wild
me er	will
mlumun u eren	willing
hemba	win
ahumbe	wind
ian ke kpe kpe	window
windoo	window
ahumbe	windy
wain	wine
msôrom	wine
inyom	winter
ese	wipe
tim	wipe
kor	wire
u taan sha kwagh	wire
kwaghfan	wisdom
bugh-ashe	wise
tôm	wish
aôndo a za awe	wish you all the best
ormbatsav	witch
a	with
dugh ave	withdraw
due	withdraw
dughn ave	withdrawal
ngohol	withdrawal
ken	within
shio	without
shiada	witness
atseregh	witty
gbaseela	wolf
kwase	woman
kasev	women
hemba	won
ga	won't
kpiligh iyol	wonder
kpiligh iyol	wonderful
ikon	wood
aive a iyôngo	wool
iti	word
ati	words
Tom	work
eren tom	work out
eren tom	working
tar	world
anyigôr	worm
bee yol	worn
mzungu	worried
mzaiyol mba ken ishima	worry
hemba vihin	worse
civir	worship
vihin cii	worst
mpani	worth
saa gbilin ga	worth it
kuma	worthy
luun	would
ivav	wound
wanda	Wow
kule	wrap
iyugh	wrath
kishiwe	wrist
nger	write
nger heen	Write here
kwagh ngeren	writing
ngeren	writing
nger	written
kwagh bo	wrong
nger	wrote
tembe	yard
aver	yawn
Een	Yeah
inyom	year
anyom	years
kwa	yeast
ngoor	yell
nyian bulumaa	yellow
Aan	Yes
mm wanwam	yes baby
adoom shima	yes dear
een u doon shima	yes honey
een dooshima iyam	yes my love
Een, kape i lu je la	yes of course
nyen	yesterday
kpa	yet
gure	yield
we'	you
u ngu	you are
u doo kwase	you are beautiful
u doo kwase	you are so beautiful
meraba	you are welcome
m sugh u da van	you are welcome
u fatyô	you can
u fa	You know
we kpaa	you too
msugh za van	you're welcome
iyev	young
Yenegh	your
msugh za van	your welcome
yol yol	yourself
agumaior	youth
gumor	youth
ikyaior	youth
se sugh za van	you’re welcome
kwaghnyohon	yummy
môm ga	zero
