assaat aalaneri	gesture
ussik	ox
marlunnik paasineqarsinnaaneq	ambiguous
annikitsortaanik paasissutissat	details
sukkassuseq	pace
poortugaq	pack
poortugaq	package
akilereerpoq	paid
anniaat	pain
qalipagaq	paint
walipaaneq	painting
illugiit	pair
qarsugavoq	pale
itumak	palm
qaaq	pan
kunngip pania	princess
paatsiveeruttoq	panic
qarliit	pants
pappiaraq	paper
qilammi paradise	paradise
utoqqatserpunga	pardon
angajoqqaat	parents
naatsiiviliarsuaq	park
papikuujuk	parrot
persille	parsley
ilaa	part
peqataaneq	participate
immikkuullarissoq	particular
ingasammik	particularly
aappaq	partner
nuannanneq	party
naluara	pass
ilaasoq	passage
angusivoq	passed
piumassuseq	passion
pileritsannertooq	passionate
ilatsiinnartoq	passive
pisimasut	past
ilaartorneq	patch
neriorsuut	path
killitsinnartoq	pathetic
Utaqqisinnaassuseq	patience
utaqqisinnaasoq	patient
allai	pattern
unikkallarneq	pause
akiliineq	pay
akissarsiassaq	payment
eqqissineq	peace
eqqissisimasoq	peaceful
ferskeni	peach
nuua	peak
pæri	pear
ærter	peas
allanartoq	peculiar
quivoq	pee
qasit	peel
peqatit	peers
Allaatissaq	pen
aqerluusaq	pencil
utaqqivoq	pending
inuit	people
qasilittoq	pepper
ukioqatai peqaavi	peer
nassuerneq	perceive
paasinninneq	perception
ajoquteqanngitsoq	perfect
takkutitsineq	perform
takutitaq	performance
immaqa	perhaps
piffissaq	period
utaqqiisaasumik	permanent
pisinnaatitsissut	permission
pisinnaatitsissut	permit
uagut perput	our
qasusuissuseq	perseverance
aserfallatsaaliineq	persistent
inuk	person
isiginnittariaaseq	perspective
akuersisippaa	persuade
kanngunartuliorumatooq	pervert
uumasuut	pet
malunnaatilik	phenomenon
filosofii	philosophy
oqarasuaat	phone
asseq	photo
oqariartaaseq	phrase
timikkut	physical
nersussuup piaraa	calf
qitsuup piaraa	kitten
tigujuk	pick
ikivaa	pick up
asseq	picture
ilaa	piece
immikkoortut	pieces
puuluki	pig
dueq	pigeon
isuma pigiliutiinnagaq	prejudice
kuutsillugit piiaaneq	discharge
illit piit	your
uanga pikka	mine
amerlasuut	pile
iluarsartuullugu pilersaarusiaq	project
iliuusissatit pilersaarutaa	chores
toqumut pillaaneq	execution
akiseq	pillow
Guutip pilluaqqulitit	god bless you
inuuvinni pilluarit	happy birthday
inuuvinni pilluarit	happy birthday to you
ukiortaami pilluarit	happy new year
juullimi pilluarit	merry christmas
pin	pin
ananas	pineapple
arfineq pingasut	eight
sappaluartoq	pink
nunami pinngortitaq	landscape
immikkut pisinnaatitaaneq	privilege
nalitsinni pisoq	contemporary
Eqqarsaqqaarani pisoq	spontaneous
isiginnaagassiaq pissaganartoq	drama
inuup pissusaa	personality
naleqquttumik pissusilik	entitled
tassa pissusiviusut	In fact
piffissaq pisut akornganniittoq	intermediate
itersaliaq	pit
misiginneqataaneq	pity
pinngitsoornagu piumasarineqarpoq	ultimate
suna piumaviuk	what do you want
suna piviuk	what do you mean
piffik	place
piffiit	places
nappaassuaq	plague
naliginnaasoq	plain
pilersaarut	plan
timmisartoq	plane
naasut	plant
naasut	plants
puugutaasaq	plate
platformi	platform
pinnguarpoq	play
pinnguarpoq	playing
iluaq	pleasant
inussiarnersumik	please
Tulluusimaartoq	pleased
nuannisaarneq	pleasure
kivitsineq	pledge
assulaaq	plenty
pissut	plot
simik	plug
blommi	plum
qillertoqqerisoq	plumber
amerlanerussuteqartut	plural
podcasti	podcast
taallaq	poem
taallaq	poetry
oqaatiginiagaq	point
toqunartoq	poison
politiit	police
politikki	policy
unneqqarissoq	polite
migutsitsineq	pollution
tasinnguaq	pond
pooli	pool
anaq	poop
piitsoq	poor
pop	pop
soqutiginilik	popular
inoqqortussuseq	population
Akinertut	porridge
talittarfik	port
inissisimaffik	position
ajunngitsoq	positive
pigisaq	possess
pigisaq	possession
pigaa	possessive
ilimanaq	possible
allakkat	post
kinguartippaa	postpone
naatsiiaq	potato
pundi	pound
piitsuussuseq	poverty
piginnaaneq	power
pissaanilik	powerful
ajornaatsoq	practical
sungiusarneq	practice
nersualaarinninneq	praise
salloqittaaneq	prank
qinuneq	pray
iluatinnaq	precious
taamaatoqqissaaq	precise
taamatoqqissaaq	precisely
piumaneruaa	prefer
salliusussaatitaaneq	preference
naartusoq	pregnant
sumiiffik	premises
eqqugassaq	premium
piareersarneq	preparation
piareersarneq	prepare
piareersimasoq	prepared
kingulleqqiutit	preposition
peqataaneq	presence
tunissutissaq	present
takutitsineq	presentation
paariinnarpaa	preserve
præsidenti	president
toorpaa	press
piumaffigineqarneq	pressure
pisuusaarneq	pretend
pinnerpoq	pretty
pinngitsoortinniagaq	prevent
siulia	previous
paarlaassineq	prey
akia	price
tulluusimaarneq	pride
palasi	priest
pingaarneq	primary
primtalli	prime
rektori	principal
siornatigut	prior
pingaartitaq	priority
parnaarussivik	prison
aki	prize
ilimanaq	probably
ajornartorsiut	problem
malitassaq	procedure
ingerlaneq	process
suliarisaq	produce
tunisassiaq	product
tunisassiorneq	production
inuuniut	profession
akissarsiutilik	professional
atuisuuffik	profile
pissarsiat	profit
itsinertooq	profound
qarasaasiami programmit najoqqutallu	software
Ingerlarnga	progress
takussutissaqarneq	prominent
neriorsuut	promise
apuuppoq	promote
sukkasooq	prompt
-qqajaaneq	prone
oqaatiginera	pronunciation
uppernarsaat	proof
naleqquttoq	proper
torersoq	properly
pigisat	properties
pigisaq	property
siunnersuut	proposal
pigissaarneq	prosperity
sikkeriartortoq	prosperous
illersorpaa	protect
tulluusimaartoq	proud
uppernarsaaneq	prove
tunniuppaa	provide
atorneqarsinnaasoq	provided
provinsi	province
agguagarsiassaq	provision
inuusuttunngulerneq	puberty
nusuppaa	pull
qaffalluni pullanneq	swelling
græskari	pumpkin
atuartoq	pupil
akiligassaq	purchase
miguitsoq	pure
tunguusaq	purple
pissutaa	purpose
aningaasivik	purse
malersorpaa	pursue
malinnaaviginninneq	pursuit
ajappaa	push
iliuk	put
allakkap puussaa	envelope
umiarsuup qaava	deck
isummakkut qangarnisarpaluttut	conservative
qungasequt qangattarpaa	reveal
taamaallaat qanittuani atuuttoq	local
unnuit qanoq ippa	how was your night
aluu qanoq ippit	hello how are you
aluu qanoq ippit	hello how are you doing
aluu qanoq ippit	hi how are you
ullumikkut qanoq ippit	how are you doing today
ullumikkut qanoq ippit	how are you today
iffiaq qaqortoq	bread
iffiaq qaqortoq	loaf
iffiaq qaqortoq ristingaq	toast
eqqarsartariaatsit qarasaq atorlugu iliuuserineqartartut	cognitive
eqqissillutit qasuersaarit	rest in peace
eqqissillutit qasuersaarna	rip
angut qatanngut	bro
unnuap qeqqa	midnight
ullup qeqqasiorneq	lunch
iliuusissamik qinersineq	strategy
Isumassarsiat qorsorpaluttut qalipaateqanngitsut sinissuaartut	colorless green ideas slept furiously
Apiukkunnaat	qualification
pitsaassuseq	quality
amerlassusai	quantity
mattusimaneq	quarantine
assortuunneq	quarrel
kuartia	quarter
Quechua	Quechua
suiaaqatiminoortoq	queer
apeqquteqaat	query
apeqqut	question
tunuleriiaat	queue
pikkorissoq quianaatsoq	nerd
sukkasooq	quick
sukkasuumik	quickly
nipaappoq	quiet
amersukkat	quilt
taamaatippoq	quit
eqquiniaasitsinik	quiz
naqitat quleriiaat	column
ukiut qulikkuutaat	decade
nipip qullasissusaa	pitch
inuiaqatigiinni qullersaqarlunilu allersaqarneq	hierarchy
ukaleq	rabbit
sumiuuneq	race
kamanneq	rage
sialuk	rain
pullattoq	raise
pullappoq	raised
arpappoq	ran
atulleriiaarneri	range
sukkasuumik	rapid
sukkasuumik	rapidly
qaqutikkut	rare
qaqutikkut	rarely
anillanneq	rash
teriarsuaq	rat
qaffasissusaa	rate
imaluunniit	rather
pissutsit	ratio
akunnaatsuliaq	rational
aapasoq	raw
anguaa	reach
angusaq	reached
qisuariarneq	reaction
atuaruk	read
atuarneq	reading
piareerpoq	ready
ilumoortoq	real
ilumoortoq	reality
paasilerpaa	realize
paasilerpaa	realized
ilumut	really
Tunua	rear
pissutaa	reason
naammanginarpoq	reasonable
sianeqqinneq	recall
uppernarsaat	receipt
tiguaa	receive
tiguaa	received
kingullertigut	recent
kingullertigut	recently
saaffiginnittarfik	reception
ilitsersuut	recipe
soqutigittaatsoq	reckless
nersugaaneq	recognition
ilisaraa	recognize
inassutigaa	recommend
siunnersuutigaa	recommended
immiussaq	record
pilerseqqitaq	recover
aaqqippoq	recovery
issoqqaarissoq	rectangle
aappaluttoq	red
aningaasanngortippaa	redeem
annanneq	redemption
sinneruttoq	redundant
unnersuussut	refer
maleqqiussaq	reference
tarrarsortillugu	reflect
takutippaa	reflection
iperarpaa	refrain
nillataartitsivik	refrigerator
utertitat	refund
itigartitaq	refuse
misiarpoq	refused
soqutiginninneq	regard
malillugu	regarding
qanorluunniit	regardless
inuulluaqqussut	regards
sumiiffik	region
nalunaarsuiffik	register
peqqissimivoq	regret
manngertoq	regular
aalakkaasumik	regularly
itigartippaa	reject
attuumassutilik	relate
attuumassutilik	related
aappariinneq	relationship
attuumassuteqartut	relative
attuumassuteqartut	relatives
eqqissisimaarneq	relax
iperarpaa	release
iperagaavoq	released
naleqquttoq	relevant
tatiginarpoq	reliable
ilorfaallanneq	relief
nipaallisarpaa	relieve
iperagaavoq	relieved
upperisaq	religion
uppertoq	religious
akiuunnartoq	reluctant
tatiginartoq	rely
Taamaaginnartoq	remain
utertitsineq	remaining
malugineqarluarsinnaasoq	remarkable
ukiuutaavoq	remedy
eqqaamasaq	remember
eqqaasitsissut	remind
eqqaamaqqussut	reminder
aquut	remote
peerpaa	remove
oqaluttuaraa	render
attartugaq	rent
aaqqissuineq	repair
uteqqiineq	repeat
taarserpaa	replace
akissut	reply
nalunaarut	report
aallartitaq	represent
tusaamaneqaataa	reputation
noqqaassut	request
piumasaraa	require
piumasaqaataasoq	required
annaassiniarneq	rescue
misissuineq	research
assiguvoq	resemble
kamak	resentment
inniminnigaq	reservation
taartissaq	reserve
najugaqartut	resident
tunuarneq	resign
mattusooq	resilience
qajannaatsoq	resilient
akiorpaa	resist
akerliuneq	resistance
aaqqiissutissaq	resolution
aaliagerneq	resolve
periarfissaq	resort
atortussat	resources
ataqqinninneq	respect
akissut	respond
akissut	response
akisussaaffik	responsibility
akisussaasoq	responsible
sinneri	rest
neriniartarfik	restaurant
pilerseqqippaa	restore
killilersuut	restrict
inernera	result
inernerit	results
Naalisaaneq	resume
paariinnarpaa	retain
tigummigallagaaneq	retention
suliunnaarpoq	retired
tunuarneq	retreat
aavaa	retrieve
uterpoq	return
paasisaavoq	revealed
akiniaaneq	revenge
isertitat	revenue
kingumut	reverse
takussutissaq	review
kukkunersiuineq	revise
misissuineq	revision
mumisitsineq	revolution
akissarsiaq	reward
akuttoqatigiissaarneq	rhythm
najugasoq	rib
suaasat	rice
pisooq	rich
iperaavoq	rid
qimusserpoq	ride
quianaappoq	ridiculous
ilumoorpoq	right
massakkoqqissaaq	right now
qeratavoq	rigid
assammiut	ring
siulippaa	rinse
perulluliorneq	riot
inerisimasoq	ripe
kivippaa	rise
nalorninartoq	risk
unammillerti	rival
kuuk	river
aqqusineq	road
siappaa	roast
qajannaatsoq	robust
ujaraq	rock
amitsujooq	rod
inissisimaneq	role
imusaq	roll
qilaaq	roof
ini	room
issoq	root
allunaasaq	rope
oquppoq	rotten
maniilakulattoq	rough
akunnaallisarpaa	roughly
ammalortoq	round
aqqut	route
periuseq	routine
siuleriaat	row
tagiartorpaa	rub
nungusaat	rubber
peqqarniippoq	rude
tippeq	rug
aserorpoq	ruin
malittarisassaq	rule
titartaat	ruler
malittarisassat	rules
arpak	run
arpanneq	running
tuaviusaarut	rush
killormut saatippaa	reduce
pooq	sack
illernartoq	sacred
ilungersorneq	sacrifice
isumannaatsoq	safe
angalalluarisi	safe flight
isumannaatsoq	safety
oqarpoq	said
umiartorpoq	sail
umiartorneq	sailing
nunap sajunnera	earthquake
pisuussut	sake
qaamaneq sakkortooq	highlight
kingorna sakkortuumik	hardly ever
akissarsiat	salary
tuniniagaq	sale
uukapaatitsilluni salloqittaaneq	fraud
kapisilik	salmon
taratsut	salt
tarngut salvi	sage
assinga	same
sunngiffimmi sammisaq	hobby
misiliineq	sample
assiliilluni sanaaq	artificial
uumassusillit sananeqaataasa minnersaat celli	cell
sioqqat	sand
alla saniatigut	additional
alla saniatigut	extra
Sanskrit	Sanskrit
arnaq sapigaatsoq	fairy
takoqqusaarummik saqqummiussineq	advertising
tusagiasaarerpaluttoq	sarcastic
naalanngitsoq	sassy
ingippoq	sat
iluarisimaarinninneq	satisfaction
iluarisimaarpaa	satisfied
naammagisimaarinninneq	satisfy
iluarisimaarnartoq	satisfying
Arfininngorneq	Saturday
pølsi	sausage
peqqarniitsoq	savage
toqqorpaa	save
takuaa	saw
oqarpoq	say
oqimaassuseq	scale
Ukkapaatitsineq	scam
qileroq	scar
toortaat	scarce
isersisoq	scared
qungasequt	scarf
ersinaq	scary
siaruaaqqasoq	scattered
isiginnaartitsisarfik	scene
pinngortitaq	scenery
malitassaq	schedule
atuarfik	school
misissuineq	science
ilisimatooq	scientist
ilisimatuut	scientists
qiuutit	scissors
Anaveersineq	scold
annertussuseq	scope
isertitsivoq	score
eqqakkat	scrap
kumiippaa	scratch
nillianeq	scream
isiginnaarut	screen
manuskripti	script
imaq	sea
naqissuserpaa	seal
ujaasineq	search
issiavik	seat
aappaa	second
isertugaq	secret
immikkoortortaq	section
isumannaatsoq	secure
isumannaallisaaneq	security
takuuk	see
kingunissaq	seed
ujarpaa	seek
isumaqarpoq	seem
ilimanarpoq	seems
takuneqareersoq	seen
takussuugut	see you
angissusaa	seize
qaqutikkut	seldom
toqqaruk	select
nammineq	self
imminissarsiorneq	selfish
tunivaa	sell
nassiuppoq	send
utoqqaneq	senior
misigissuseq	sense
isumatuneq	sensible
misigissusiniasoq	sensitive
kingusissoq	sent
oqaaseqatigiit	sentence
oqaaseqatigiit	sentences
avissaagasut	separate
Sepedi	Sepedi
septembari	september
Tulleriinneq	sequence
tulleriiaat	series
pimoorussisoq	serious
ilumoortumik	seriously
katersivoq	serve
sullissineq	service
ataatsimiinneq	session
inissippoq	set
aaqqiineq	setting
piareersarpaa	settle
aaqqissuussineq	set up
sytten	seventeen
sytten	seventy
arlallit	several
pimoorussaq	severe
mersorpaa	sew
tarraq	shade
tarraq	shadow
aalappaa	shake
tarraq	shallow
kanngusunneq	shame
iluseq	shape
siaruarpaa	share
ipittoq	sharp
qui	shed
sava	sheep
allaffissaq	sheet
ilisivik	shelf
qaleruaq	shell
oqqu	shelter
eqqornaveeqqut	shield
suliffissaq	shift
qillalaartoq	shine
umiarsuaq	ship
nassiussineq	shipping
tujuuluaraq	shirt
kamiit	shoes
ingerpoq	shoot
pisiniarfik	shop
pisiniarneq	shopping
sineriak	shore
naatsoq	short
amigaat	shortage
ingippoq	shot
tueq	shoulder
nillianeq	shout
takutitsineq	show
uffarfik	shower
takulaa	show me
raaja	shrimp
eqimattat	shrink
matuvoq	shut
nipagerit	shut up
ittoortoq	shy
tamanut siaruaattoq	epidemic
qatanngut	sibling
qatanngutit	siblings
napparsimavoq	sick
qupperneq	side
hajja	sigh
isigisaq	sight
takornariartitsineq	sightseeing
allagit	sign
atsiorneq	signature
pingaarutilik	significant
mipaassuseq	silence
nipaappoq	silent
siiliki	silk
ajuutoornermi sillimasut	emergency
sianiitsoq	silly
sølvi	silver
assigusoq	similar
staaseq	simp
Ajornanngitsoq	simple
taamanili	since
ilumoortoq	sincere
erinarsorpoq	sing
erinarsortartoq	singer
kisermaaq	single
kuuffik	sink
angaju	sister
sakiatsiaq	sister in law
ingigit	sit
qupperneq	site
pisoq	situation
ateq siulleq	first name
suli siumut	furthermore
sungiusaasoq siunnersorti	mentor
arfinillit	six
seksten	sixteen
tress	sixty
angissuseq	size
piginnaasaq	skill
piginnaasat	skills
ami	skin
qillerpoq	skinny
qaangiinnaruk	skip
atequt	skirt
kikiak skrueq	screw
nuiaq	sky
inussiaat	slave
sinippoq	sleep
sininneq	sleeping
uernarpoq	sleepy
kilitaq	slice
Quaappoq	slide
oqitsoq	slightly
saluttoq	slim
quaappoq	slip
kimmiliineq	slope
illussaarsuaq	slot
arriippoq	slow
arriitsumik	slowly
mikisoq	small
silassorissoq	smart
tipi	smell
qungujuppoq	smile
pujortarneq	smoke
ajornangitsoq	smooth
tamulugassat	snack
siuteroq	snail
pulateriaarsuk	snake
tiguaa	snap
aput	snow
taava	so
aqilisarpaa	soak
qaqorsaat	soap
qaatusimasoq	sober
arsartartoq	soccer
inuiaqatigiit	society
alersit	socks
inequnarluinnarpoq	so cute
aqitsoq	soft
nuna	soil
tunivoq	sold
sakkutooq	soldier
nungupput	sold out
kisiartaalluni	sole
ninngusooq	solid
aaqqiissutissaq	solution
aaqqiissut	solve
ilaai	some
kinaluunniit	somebody
qanorlunniit	somehow
ilaannikkut	sometimes
ernarsuut	song
kattorna	soon
aap soorunalimi	yes of course
torrallataq	sophisticated
Sorani	Sorani
sanneqqavoq	sore
arlaat sorlerluunniit	random
aliasunneq	sorrow
Utoqqatserpunga	Sorry
qernertoq	sort
ujaasivoq	sought
tarneq	soul
nipaa	sound
suppi	soup
seernartoq	sour
atortut	source
kujataa	south
inissaq	space
salloqittaatit	spam
Spaniamiusut	Spanish
kingoraartissat	spare
oqalunneq	speak
immikkuullarissoq	special
suussusaa	species
aaliagersimasoq	specific
alutornartoq	spectacular
oqalugiaat	speech
oqaasissaaruttoq	speechless
sukkassuseq	speed
taavaa	spell
atorpai	spend
atorpai	spent
qasilitsut	spicy
nuua	spike
kaajallanneq	spin
spinati	spinach
anersaaq	spirit
qiseq	spit
torrassuaq	splendid
svissaartoq	split
iluatatsippaa	spoil
nukatsitaq	spoiled
alussaat	spoon
takuaa	spot
aappaq	spouse
siammarpaa	spread
upernaaq	spring
kipparissoq	square
singuvoq	squeeze
amikoq	squid
sissinnguaq	squirrel
kapivaa	stab
aalajaatsoq	stable
qaleriissaat	stack
sulisoq	staff
isiginnaartitsisarfik	stage
simerneq	stain
tummeqqat	stairs
marserneq	stalk
unittoorpoq	stall
frimærki	stamp
nikorfavoq	stand
naliginnaasoq	standard
ulloriaq	star
aallartinneq	start
aallartippoq	started
perlilerpoq	starving
naalagaaffik	state
stationi	station
eqqaassutissaq	statue
uninngavoq	stay
mianersorluarna	stay safe
allanngorartuunngitsoq	steady
tillippoq	steal
streammerlugu	steam
sisak	steel
sivigasoq	steep
kanaartaq	stem
allorneq	step
qeratavoq	stiff
suli	still
ikkuffik	sting
tigumatooq	stingy
attuuavaa	stir
toqqorsivik	stock
tillitaq	stolen
naat	stomach
ujarak	stone
nikorfavoq	stood
anaq	stool
unigit	stop
toqqorsineq	storage
pisiniarfik	store
snori	storm
oqaluttuaq	story
ovni	stove
narlortoq	straight
ittoqertoq	strain
eqqumiitsoq	strange
ilisarisimanngisaq	stranger
equngasoq	straw
jordbæri	strawberry
innaallagiaq	stream
aqqusineq	street
sapiissuseq	strength
uippakajaarneq	stress
annertusarpaa	stretch
sukangasooq	strict
suliumajunnaarpoq	strike
allunaasaq	string
ilugersorpoq	strive
anaasineq	stroke
nakuusoq	strong
katassinnaanngilaq	struck
ilusilersornera	structure
ilugersorneq	struggle
ilugersorpoq	struggling
uteriitsoq	stubborn
nikinnaveeqqavoq	stuck
ilinniartoq	student
ilinniarneq	study
ilinniarneq	studying
sukujuit	stuff
alutornartoq	stunning
sianiitsoq	stupid
isikkua	style
qulequtaq	subject
tunniutiinnarneq	submission
nassiuppoq	submit
annoraamineq	substance
taarsiineq	substitute
iluatsippoq	succeed
iIuatsitsineq	success
iluatsitsineq	successful
milluarpaa	suck
tassanngaannaq	sudden
tassanngaannaq	suddenly
naalliuppoq	suffer
naalliunneq	suffering
naammappoq	sufficient
sukkut	sugar
siunnersuut	suggest
siunnersuut	suggestion
atasut	suit
tulluuppoq	suitable
kufferti	suitcase
Inguttaap sukkua	Honey
asasakka suleqatigiit	Dear Team
maannakkut sulerivit	what are you doing now
maannakkorpiaq sulerivit	what are you doing right now
sanaartugassanik suliassinneqartartoq	entrepreneur
suna suliffigaajuk	what is your job
piumassutsiminik sulisoq	volunteer
Asasara sullitaq	Dear Customer
katinneri	sum
nunat sumiiffiisa killigi	rural
maannakkut sumiippit	where are you now
naalisaaneq	summary
aasaq	summer
ataatsimeersuarneq	summit
seqineq	sun
unaana suna	what is this
sapaat	sunday
seqinnersoq	sunny
seqinnersoq	sunshine
pingaakujuttoq	superior
ilitsersuisoq	supervisor
unnukkorsiutit	supper
tunniussaq	supply
tapersersuineq	support
ilimagaa	suppose
ilimagaa	supposed
taamaassooq	sure
qaava	surface
qaffakkiartornera	surge
suliaritinneq	surgery
ateq	surname
tupaallatsitsineq	surprise
tupatsitaq	surprised
tunniutiinnarneq	surrender
ungoqqavaa	surrounding
nakkutiginninneq	surveillance
misissuineq	survey
annappoq	survive
pasisaq	suspect
atorunnaarallartippaa	suspended
pasinartoq	suspicious
aserfallatsaaliineq	sustain
piujuaannartitsinissaq	sustainability
uteqattaartoq	sustainable
iivaa	swallow
paarlaassineq	swap
uppernarsaavoq	swear
kiaguk	sweat
tujuulussuaq	sweater
sanerpoq	sweep
tungusunnitsoq	sweet
sinilluarna	sweet dreams
asasaq	sweetheart
mamakujunngersoq	sweet tooth
pullappoq	swell
nalunneq	swim
nalunnguarpoq	swimming
kaajallanneq	swing
paarlaassineq	switch
pullappoq	swollen
panaq	sword
ilisarnaat	symbol
misiginneqatiginninneq	sympathy
ersiutit	symptoms
ingerlatseriaaseq	system
angut taamaappoq	he is
Aap taamaappunga	I do
ataatsikkut taamaattoqarnerani	simultaneously
soorlu taamatut	as well as
aamma taannaanngitsoq	nor
taggisit taartissaat	pronouns
nerrivik	table
sarmiineq	tackle
qaliaq	tag
pamioq	tail
tigujuk	take
annissassat	take away
sissuerina	take care
tiguneqareersoq	taken
peeruk	take off
qanittumi takkutissaaq	coming soon
kingusinnerusukkut takussuugut	see you later
qanittumi takussuugut	see you soon
aqangu takussuugut	see you tomorrow
akerliussutsimik takutitsineq	demonstrate
tujuuluup talitai	sleeve
oqalunneq	talk
oqalukkumatooq	talkative
angisooq	tall
sumi tamaani	overall
aqqutaa tamaat	throughout
nunarsuaq tamakkerlugu	global
nunarsuaq tamakkerlugu	international
kikkut tamarmik	everybody
Asasakka tamassi	Dear All
ajornartoorluni tamaviaartoq	desperate
isserup tangia	essence
tooruk	tap
nipputtartoq	tape
anguniagaq	target
seqerngup tarrilernera	sunset
suliassaq	task
una tassaavoq	this is
mamaq	taste
mamaq	tasty
imminut tatigineq	confidence
imminut tatigineq	confident
imminut tatiginngitsoq	insecure
ilinniartitsineq	taught
tii	tea
ilinniartitsineq	teach
ilinniartitsisoq	teacher
suleqatigiit	team
qulliit	tear
qulliit	tears
qinngasaarineq	tease
teknologi	technology
kingutit	teeth
Oqaluttuarpoq	tell
oqaluttuunnga	tell me
isumaloriallaqqissoq	temper
kissassuseq	temperature
naalaffik	temple
utaqqiisaasumik	temporary
qulit	ten
suliassat	tenant
isumaginninneq	tend
eqqoriaaneq	tender
sukattooqqavoq	tense
pissanganeq	tension
tupi	tent
utaqqiisaarutaasut	tentative
semesteri	term
piumasaqaatit	terms
ajorluinnarpoq	terrible
ajunngilluinnarpoq	terrific
misiliut	test
allataq	text
taassuminngarniit	than
qujanaq	thank
qujanaq	thanks
qujanaq	thank you
qujanarujussuaq	thank you so much
qujanarujussuaq	thank you very much
ajunngilaq	that's good
Aoqimaassuseq	theft
taakkua	their
taakkua	them
qulequtaq	theme
kingorna	then
teorii	theory
taakani	there
taamaapput	there are
taamaammat	therefore
peqarpoq	there is
ukua	these
taakkua	they
taakku	they are
pualasooq	thick
tillinniaq	thief
sukangasoq	thigh
saluttoq	thin
sukujuit	things
isumaqarpoq	think
pingajuat	third
qilalertoq	thirsty
tretten	thirteen
tredive	thirty
una	this
iluameqqinnaaq	thorough
peqqissaartumik	thoroughly
ukua	those
taamaakkaluartoq	though
eqqarsarpunga	thought
eqqarsalersitsisoq	thoughtful
eqqarsaatit	thoughts
tusind	thousand
siorasaarut	thread
siorasaarineq	threat
siorasaarineq	threaten
pingasut	three
nuannaartoq	thrilled
qungaseq	throat
akornatigut	through
miloriuppaa	throw
kulloq	thumb
kallertoq	thunder
sisamanngorneq	Thursday
taamaalilluni	thus
krydsi	tick
peqqissaartoq	tidy
pituttorsimaneq	tie
tigeri	tiger
attuumasoq	tight
Tigrinya	Tigrinya
timmiaq tigutsisilik	kite
una tikillugu	until
piffissaq	time
ittoortoq	timid
mikisuaraq	tiny
tipi tipigissoq	scent
isumassarsiassat	tips
assakaasut	tire
qasuvoq	tired
kakkiffissaq	tissue
illussanik titartaasartoq	architect
illussanik titartaasartoq	architecture
qulequtaq	title
uunga	to
ullumi	today
meeraq	toddler
putukkut	toes
peqatigiilluta	together
perusuersartarfik	toilet
oqaluttuuppaa	told
akaarinninneq	tolerance
akuersaarpaa	tolerate
tomati	tomato
aqangu	tomorrow
oqaq	tongue
unnugu	tonight
aamma	too
tiguaa	took
atortoq	tool
sakkut	tools
tigut	tooth
qulaa	top
qulequtaq	topic
periarfissaq toqqagassaq	option
nammineq toqqagassaq	optional
siittorpaa	torn
suliaq torrak	good job
naalliutsitsineq	torture
katillugit	total
attorpaa	touch
manngersoq	tough
angalaneq	tour
tungaanut	toward
siumut	towards
allarut	towel
iIlloqarfik	town
sakkortooq	toxic
malugaa	trace
nalinnaavigaa	track
pisiniarpoq	trade
ileqqoq	tradition
ileqquusumik	traditional
angallattut	traffic
aqqusineeraq	trail
qimuttuitsut	train
sungiusaaneq	training
piginnaasat	trait
iliuutsit	traits
nuussineq	transfer
ikaarsaarneq	transition
nutserineq	translate
Google Translate nutserut	Google Translate
assartuineq	transport
angallassineq	transportation
pullat	trap
eqqagassat	trash
angalaneq	travel
erlinnartuutit	treasure
pissusilersorneq	treat
katsorsartinneq	treatment
orpik	tree
angisoorujussuaq	tremendous
misiliut	trial
ilioriasaarneq	trick
misilileerpoq	tried
aallartiaq	trigger
aaqqippaa	trim
angalaneq	trip
ajornartorsiut	trouble
qarliit	trousers
lastbiili	truck
ilumoorpoq	true
tatiginninneq	trust
ilumoortoq	truth
misiliineq	try
Tsonga	Tsonga
ruujori	tube
Marlunngorneq	Tuesday
atuartitsineq	tuition
niuvernermi tunisassiaq	commodity
avammut tunisineq	export
sianissutsimut tunngasoq	mental
eqqaakulunnermut tunngasoq	nostalgic
ulloq tunniunneqarfissaa	due to
qingalissuaq	turkey
gurkemeje	turmeric
tunugit	turn
saaniluk	turtle
ti tusind	ten thousand
siunnersorti	tutor
tiivat	twenty
enogtyve	twenty-one
Twi	Twi
marloriarluni	twice
qipiterpaa	twist
marluk	two
suussusaa	type
ilisaqqunnartoq	typical
pinniitsoq	ugly
qassinik ukioqarpit	how old are you
tinittarneq ulittarnerlu	tide
ullumikkut ullut qanoq ippa	how was your day
alanngittaat	umbrella
atorsinnaanngilaq	unable
akka	uncle
ilisimanngilaq	unconscious
ataani	under
ataani	underneath
nikagisat	underrated
paasivaa	understand
paasivaa	understood
ajoraluartumik	unfortunately
sullisit uniformit	uniform
inatsisinik unioqqutitsineq	illegal
inatsisinik unioqqutitsinngitsoq	legit
immikkuullarissoq	unique
killissai	unit
ilimmarfik	university
ilisimaneqanngilaq	unknown
taamaanngippat	unless
tamatingoortuunngitsoq	unusual
qummut	up
paasissutissiineq	update
qaffaaneq	upgrade
qulaa	upon
isumaluttoq	upset
illoqarfik	urban
perusutaa	urge
tuaviortoq	urgent
uagut	us
atorpaa	use
atorneqarpoq	used
atorsinnaavoq	useful
atorsinnaanngitsoq	useless
