abandoned	ꯊꯥꯗꯣꯛꯄ
discuss	ꯈꯟꯅ ꯅꯩꯅꯕ
diseases	ꯂꯥꯏꯅꯥ
disease	ꯂꯥꯏꯅ
disguise	ꯃꯁꯛ ꯂꯣꯠꯄ
disgusting	ꯇꯨꯀꯠꯆꯕ
dishes	ꯄꯨꯈꯝꯁꯤꯡ
dish	ꯍꯦꯟꯖꯥꯡ
dismiss	ꯈꯠꯇꯣꯛꯄ
dispatch	ꯊꯥꯗꯣꯛꯄ
display	ꯎꯌꯄ
disposal	ꯊꯥꯗꯣꯛꯄ
dispute	ꯇꯦꯠꯅꯕ ꯂꯩꯕ
distance	ꯑꯔꯥꯞꯄ
distinct	ꯇꯣꯉꯥꯟꯅ ꯇꯥꯕ
distinguish	ꯈꯦꯟꯅꯕ ꯇꯥꯛꯄ
distress	ꯑꯋꯥꯕ ꯇꯥꯔꯕ
distribution	ꯌꯦꯟꯊꯣꯛꯄ
district	ꯖꯤꯂꯥ
disturb	ꯌꯦꯠꯄ
ditch	ꯊꯥꯗꯣꯛꯄ
diverse	ꯃꯈꯜꯃꯊꯦꯜ ꯁꯨꯕ
diversity	ꯇꯣꯉꯥꯟꯕ ꯃꯒꯨꯟ ꯆꯦꯟꯕ
dive	ꯆꯣꯡꯁꯤꯟꯕ
divide	ꯌꯦꯟꯊꯣꯛꯄ
divine	ꯂꯥꯏꯒꯤ ꯃꯒꯨꯟ ꯆꯦꯟꯕ
divorce	ꯈꯥꯏꯅꯕ
dizzy	ꯀꯣꯛ ꯉꯥꯎꯕ
doctor	ꯗꯥꯛꯇꯔ
document	ꯆꯦ ꯆꯥꯡ
doesn't	ꯅꯠꯇꯕ
Dogri	ꯗꯣꯒꯔꯤ
dog	ꯍꯨꯏ
doing	ꯇꯧꯔꯤ
doll	ꯂꯥꯏꯐꯗꯤꯕꯤ
domain	ꯂꯧꯁꯤꯡꯒꯤ ꯍꯤꯔꯝ ꯑꯃ
domestic	ꯌꯨꯃꯒꯤ ꯑꯣꯏꯕ
dominant	ꯉꯝꯅ ꯆꯠꯄ
donate	ꯗꯥꯟ ꯇꯧꯕ
done	ꯇꯧꯈ꯭ꯔꯦ
donkey	ꯒꯙꯥ
Don't worry	ꯋꯥꯒꯅꯨ
don't	ꯇꯧꯅꯨ
dope	ꯑꯄꯪꯕ ꯅꯨꯄꯥ
double	ꯑꯅꯤ
doubt	ꯆꯤꯡꯅꯕ
dough	ꯌꯥꯝ ꯑꯇꯣꯠꯄ
download	ꯂꯧꯊꯕ
down	ꯃꯈꯥꯗ
do you love me	ꯑꯗꯣꯝꯅ ꯑꯩꯕꯨ ꯅꯨꯡꯁꯤꯕꯔꯥ
do you	ꯑꯗꯣꯝ
do	ꯇꯧꯁꯤ
draft	ꯑꯍꯥꯟꯕꯒꯤ ꯏꯊꯣꯛꯄ
drag	ꯆꯤꯡꯕ
drain	ꯇꯦꯡꯕ
drama	ꯇꯥꯠ ꯇꯧꯕ
drawer	ꯆꯤꯡꯊꯣꯛ ꯆꯤꯡꯁꯤꯟ ꯌꯥꯕ ꯎꯄꯨ
drawing	ꯑꯌꯦꯛꯄ ꯂꯥꯏ
draw	ꯁꯠꯄ
dread	ꯀꯤꯕ
dream	ꯃꯪ
dress	ꯗꯤꯔꯣꯜ
drill	ꯆꯥꯡꯌꯦꯡ
drink	ꯊꯛꯄ
drive	ꯊꯣꯕ
dropped	ꯊꯥꯗꯕ
drop	ꯊꯥꯗꯕ
drought	ꯏꯀꯪ ꯊꯣꯛꯄ
drunk	ꯌꯨ ꯉꯥꯎꯔꯕ
dry	ꯑꯀꯪꯕ
duck	ꯉꯥꯅꯨ
dude	ꯅꯨꯄꯥ
due to	ꯃꯁꯤꯅ ꯃꯔꯝ ꯑꯣꯏꯗꯨꯅ
due	ꯑꯋꯥꯠꯄ
dull	ꯑꯃꯛꯄ
dumb	ꯑꯄꯪꯕ
dump	ꯊꯥꯗꯣꯛꯄ
duration	ꯑꯆꯪꯕ ꯃꯇꯝ
during	ꯄꯥꯡꯊꯣꯛꯂꯤꯉꯩ ꯃꯅꯨꯡꯗ
dust	ꯎꯐꯨꯜ
duty	ꯊꯧꯗꯥꯡ
dwell	ꯂꯩꯁꯤꯟꯕ
dying	ꯁꯤꯒꯗꯧꯔꯕ
each other	ꯑꯃꯒ ꯑꯃꯒ
each	ꯑꯃꯃꯝ
eager	ꯈꯣꯏꯔꯥꯡꯕ
eagle	ꯎꯃꯥꯏꯕꯤ
earlier	ꯃꯃꯥꯡꯗ
early	ꯉꯟꯅ
earn	ꯇꯥꯟꯕ
ears	ꯅꯥꯀꯣꯡꯁꯤꯡ
earthquake	ꯌꯨꯍꯥ ꯍꯥꯕ
earth	ꯄ꯭ꯔꯤꯊꯤꯕꯤ
ear	ꯅꯥꯀꯣꯡ
ease	ꯂꯥꯏꯊꯣꯛꯄ
easily	ꯌꯥꯝꯅ ꯂꯥꯏꯅ
east	ꯅꯣꯡꯄꯣꯛ
easy	ꯑꯔꯥꯏꯕ
eating	ꯆꯥꯔꯤꯕ
eat	ꯆꯥꯕ
economic	ꯁꯦꯟꯃꯤꯠꯂꯣꯟ
economy	ꯁꯦꯟꯃꯤꯠꯂꯣꯟ
edge	ꯃꯇꯥꯏ
edit	ꯁꯦꯃꯗꯣꯛꯄ
education	ꯃꯍꯩ ꯃꯁꯤꯡ
effective	ꯀꯥꯟꯅꯕ
effect	ꯆꯩꯊꯦꯡ
efficiency	ꯐꯕꯒꯤ ꯆꯥꯡ
efficient	ꯑꯐꯕ
effort	ꯍꯣꯠꯅꯕ
eggplant	ꯈꯥꯃꯦꯟ
egg	ꯌꯦꯔꯨꯝ
ego	ꯅꯥꯄꯜ
eighteen	ꯇꯔꯥꯅꯤꯄꯥꯜ
eighty	ꯝꯔꯤꯐꯨ
eight	ꯅꯤꯄꯥꯜ
either	ꯑꯃ ꯅꯠꯇ꯭ꯔꯒ ꯑꯃ ꯑꯣꯏꯔꯕꯁꯨ
elaborate	ꯁꯟꯗꯣꯛꯅ ꯇꯥꯛꯄ
elbow	ꯈꯨꯅꯤꯡ
elderly	ꯑꯍꯜ ꯑꯣꯏꯕ
elder	ꯃꯊꯛ ꯊꯣꯡꯕ
elegant	ꯆꯤꯡ ꯂꯦꯝꯕ
element	ꯄꯣꯠꯂꯝ
elephant	ꯁꯃꯨ
eleven	ꯇꯔꯥꯃꯥꯊꯣꯏ
eligible	ꯃꯇꯤꯛ ꯆꯥꯕ
eliminate	ꯂꯧꯊꯣꯛꯄ
else	ꯑꯇꯣꯞꯄ
embarrassed	ꯏꯀꯥꯏꯕ ꯅꯪꯕ
embarrassing	ꯏꯀꯥꯏꯅꯤꯡꯉꯥꯏ ꯑꯣꯏꯕ
embrace	ꯀꯣꯟꯁꯤꯟꯕ
emergency	ꯈꯨꯗꯛꯀꯤ ꯑꯣꯏꯕ
emerge	ꯑꯣꯏꯔꯡꯄ
emotional	ꯄꯨꯛꯅꯤꯡ ꯅꯨꯡꯁꯤꯕ
empathy	ꯅꯨꯡꯉꯥꯏꯇꯕ ꯐꯎꯕ
emphasis	ꯃꯤꯠꯌꯦꯡ ꯆꯪꯕ
emphasize	ꯑꯍꯦꯟꯕ ꯃꯤꯠꯌꯦꯡ ꯆꯪꯕ
employees	ꯊꯕꯛ ꯇꯧꯕꯁꯤꯡ
employee	ꯊꯕꯀ ꯇꯧꯕ ꯃꯤ
employer	ꯊꯕꯛ ꯄꯤꯕ ꯃꯤꯑꯣꯏ
employment	ꯊꯕꯛ ꯐꯪꯕ
empty	ꯑꯍꯥꯡꯕ
enable	ꯌꯥꯍꯟꯕ
encounter	ꯊꯦꯡꯅꯕ
encourage	ꯄꯨꯛꯅꯤꯡ ꯊꯧꯒꯠꯄ
endangered	ꯃꯨꯠꯈꯤꯒꯗꯧꯔꯕ
endeavor	ꯊꯕꯛ ꯑꯃ
endurance	ꯈꯥꯡꯕ ꯀꯟꯕ
endure	ꯈꯥꯡꯕ
end	ꯑꯔꯣꯏꯕ
enemy	ꯌꯦꯛꯅꯕ
energy	ꯄꯥꯡꯒꯜ
engaged	ꯁꯔꯨꯛ ꯌꯥꯈ꯭ꯔꯕ
engagement	ꯁꯔꯨꯛ ꯌꯥꯃꯤꯟꯅꯕꯒꯤ ꯊꯧꯑꯣꯡ
engage	ꯌꯥꯁꯤꯟꯅꯕ
engineer	ꯏꯅꯖꯤꯅꯤꯌꯔ
engine	ꯏꯅꯖꯤꯟ
English	ꯍꯪꯂꯤꯁ
enhance	ꯍꯦꯟꯒꯠꯍꯟꯕ
enjoy	ꯅꯨꯡꯉꯥꯏꯌꯨ
enormous	ꯄꯥꯛ ꯆꯥꯎꯕ
enough	ꯃꯔꯥꯡ ꯀꯥꯏꯅ
ensure	ꯁꯣꯏꯍꯟꯗꯕ
entertainment	ꯍꯔꯥꯎ ꯅꯨꯡꯉꯥꯏꯕꯒꯤ ꯄꯥꯝꯕꯩ
enter	ꯆꯪꯕ
enthusiasm	ꯊꯋꯥꯏ ꯌꯥꯎꯕ
enthusiastic	ꯊꯋꯥꯏ ꯌꯥꯎꯕ
entire	ꯃꯄꯨꯡ ꯑꯣꯏꯕ
entitled	ꯀꯥꯟꯅꯕ ꯐꯪꯐꯝ ꯊꯣꯛꯄ ꯃꯤꯑꯣꯏ
entity	ꯄꯣꯠꯂꯝ
entrance	ꯆꯪꯐꯝ
entrepreneur	ꯑꯣꯟꯇꯧꯄ꯭ꯔꯦꯅꯣꯔ
envelope	ꯆꯦꯈꯨꯝ
environment	ꯑꯀꯣꯏꯕꯒꯤ ꯐꯤꯚꯝ
envy	ꯃꯤꯍꯧꯕ
epic	ꯁꯩꯔꯦꯡ ꯑꯁꯥꯡꯕ
epidemic	ꯂꯥꯏꯆꯠ
equal	ꯃꯥꯟꯅꯕ
equipment	ꯈꯨꯠꯂꯥꯏ
equity	ꯃꯥꯟꯅꯕ ꯃꯤꯠꯌꯦꯡ
equivalent	ꯃꯥꯟꯅꯕ
eraser	ꯃꯨꯊꯠꯅꯕ
error	ꯑꯁꯣꯏꯕ
escape	ꯅꯥꯟꯊꯣꯛꯄ
especially	ꯃꯔꯨ ꯑꯣꯏꯅ
essay	ꯋꯥꯔꯪꯡ
essence	ꯃꯒꯨꯟ
essential	ꯇꯉꯥꯏ ꯐꯗꯕ
established	ꯂꯤꯡꯈꯠꯈꯤꯕ
establish	ꯂꯤꯡꯈꯠꯄ
estate	ꯂꯩꯖꯕ ꯂꯝ
estimated	ꯆꯥꯎꯔꯥꯛꯅ ꯑꯣꯏꯒꯅꯤ ꯄꯥꯕ
estimate	ꯆꯥꯡ ꯄꯥꯕ
etc	ꯑꯁꯤꯅꯆꯤꯡꯕ
eternal	ꯁꯤꯕ ꯅꯥꯡꯗꯕ
ethics	ꯍꯧꯅ ꯂꯣꯟꯆꯠꯁꯤꯡ
evaluate	ꯍꯣꯠꯄ
evaluation	ꯔꯥꯏ ꯇꯥꯊꯣꯛꯄ
evening	ꯅꯨꯡꯊꯤꯜ
even though	ꯑꯗꯨꯝ ꯑꯣꯏꯅꯃꯛ
eventually	ꯃꯃꯩꯗ
event	ꯊꯧꯔꯝ
even	ꯇꯨꯃꯥ ꯁꯨꯕ
everybody	ꯃꯤꯄꯨꯝ ꯈꯨꯗꯤꯡ
everyone	ꯃꯤꯄꯨꯝ ꯈꯨꯗꯤꯡꯃꯛ
everything	ꯄꯨꯝꯅꯃꯛ
every	ꯈꯨꯗꯤꯡꯃꯛ
evidence	ꯁꯥꯈꯤ
evil	ꯐꯠꯇꯕ
evolution	ꯍꯧꯔꯛꯄ
evolve	ꯑꯣꯏꯔꯛꯄ
Ewe	ꯏꯋꯦ
exactly	ꯆꯞ ꯆꯥꯅ
exact	ꯆꯞ ꯆꯥꯕ
examine	ꯌꯦꯡꯁꯤꯟꯕ
example	ꯈꯨꯗꯝ
exam	ꯄꯔꯤꯈꯥ
exceed	ꯍꯦꯟꯗꯣꯛꯄ
excellent	ꯌꯥꯝꯅ ꯐꯕ
exception	ꯇꯣꯉꯥꯟꯕ
except	ꯃꯁꯤ ꯅꯠꯇꯅ
excessive	ꯑꯍꯦꯟꯕ ꯃꯇꯧ
excess	ꯑꯍꯦꯟꯕ
exchange	ꯂꯥꯟꯅꯕ
excited	ꯅꯨꯡꯉꯥꯏꯕ
excitement	ꯈꯝ ꯊꯦꯡꯅ ꯅꯨꯡꯉꯥꯏꯕ
exciting	ꯅꯨꯡꯉꯥꯏꯕ
exclusive	ꯃꯄꯨꯡ ꯑꯣꯏꯕ
excuse me	ꯑꯩꯍꯥꯛꯄꯨ ꯑꯃꯨꯛꯇ ꯉꯥꯛꯄꯤꯚꯨ
excuse	ꯉꯥꯛꯄꯤꯌꯨ
execute	ꯊꯧꯔꯥꯡ ꯑꯃ ꯊꯕꯛꯇ ꯑꯣꯟꯊꯣꯛꯄ
execution	ꯊꯧꯔꯥꯡ ꯑꯃ ꯊꯕꯛꯇ ꯑꯣꯟꯊꯣꯛꯄ
executive	ꯐꯝꯅꯥꯏꯕ
exercise	ꯁꯥꯖꯦꯜ ꯇꯧꯕ
exhausted	ꯋꯥꯕ
exhaust	ꯄꯥꯡꯒꯜ ꯂꯣꯏꯅꯃꯛ ꯁꯤꯖꯤꯟꯅꯊꯣꯛꯈꯤꯕ
exhibition	ꯎꯠꯄ
exhibit	ꯎꯠꯊꯣꯛꯂꯤꯕ ꯄꯣꯠꯂꯝ
existence	ꯍꯧꯖꯤꯛ ꯂꯩꯔꯤꯕ
existing	ꯍꯧꯖꯤꯛ ꯂꯩꯔꯤꯕ
exist	ꯂꯩꯕ
exit	ꯊꯣꯛꯄ
expand	ꯆꯥꯎꯊꯣꯛꯄ
expected	ꯊꯥꯖꯕ ꯊꯝꯕ
expect	ꯊꯥꯖꯕ ꯊꯝꯕ
expenses	ꯆꯥꯗꯤꯡ ꯇꯧꯕꯁꯤꯡ
expensive	ꯇꯥꯡꯕ
experience	ꯊꯦꯡꯅꯔꯛꯈꯤꯕ
experiment	ꯆꯥꯡꯌꯦꯡ ꯇꯧꯗꯨꯅꯥ ꯀꯔꯤꯒꯨꯝꯕ ꯑꯃ ꯄꯥꯡꯊꯣꯛꯄ
expert	ꯑꯈꯪ ꯑꯍꯩ
expired	ꯃꯇꯝ ꯂꯣꯏꯈ꯭ꯔꯕ
explain	ꯁꯟꯗꯣꯛꯅ ꯇꯥꯛꯄ
explanation	ꯁꯟꯗꯣꯛꯅ ꯇꯥꯛꯄ
exploit	ꯁꯤꯖꯤꯟꯅꯕ
explore	ꯊꯤꯗꯣꯛꯄ
export	ꯃꯤꯔꯝꯗ ꯡꯥꯗꯣꯡꯄ
exposed	ꯎꯠꯊꯣꯛꯄ
expose	ꯎꯠꯊꯣꯛꯄ
exposure	ꯎꯠꯊꯣꯛꯄ
expression	ꯐꯣꯡꯗꯣꯛꯄ
express	ꯐꯣꯛꯗꯣꯛꯄ
extended	ꯁꯥꯡꯗꯣꯛꯄ
extend	ꯁꯥꯡꯗꯣꯛꯄ
extension	ꯁꯥꯡꯗꯣꯛꯄ
extent	ꯀꯔꯤꯒꯨꯝꯕ ꯑꯃꯒꯤ ꯄꯥꯛ ꯆꯥꯎꯕ
external	ꯃꯄꯥꯟꯊꯣꯡꯒꯤ
extinct	ꯃꯨꯠꯈ꯭ꯔꯕ
extract	ꯆꯤꯡꯊꯣꯛꯄ
extraordinary	ꯇꯣꯉꯥꯟꯕ
extra	ꯑꯍꯦꯟꯕ
extremely	ꯈꯝ ꯊꯦꯡꯅ
extreme	ꯁꯥꯊꯤꯕ
ex	ꯍꯥꯟꯅꯒꯤ
eyes	ꯃꯤꯠ
eye	ꯃꯤꯠ
fabric	ꯐꯤ
fabulous	ꯑꯐꯕ
face	ꯃꯥꯏ
facilitate	ꯇꯦꯡꯕꯥꯡꯕ
facilities	ꯈꯨꯗꯣꯡꯆꯥꯕꯁꯤꯡ
facility	ꯈꯨꯗꯣꯡꯆꯥꯕ
factory	ꯀꯥꯔꯈꯥꯅꯥ
factor	ꯃꯔꯝ
facts	ꯋꯥꯔꯣꯜꯁꯤꯡ
fact	ꯑꯆꯨꯝꯕ ꯋꯥꯐꯝ
fade	ꯃꯨꯠꯈꯤꯕ
failed	ꯃꯥꯏꯊꯤꯔꯕ
failure	ꯃꯥꯏꯊꯤꯕ
fail	ꯃꯥꯏꯊꯤꯕ
faint	ꯋꯥꯟꯊꯕ
fairly	ꯃꯇꯤꯛ ꯆꯥꯅ
fairy	ꯍꯦꯜꯂꯣꯏ
fair	ꯀꯥꯡꯂꯣꯟ ꯆꯨꯝꯕ
faithful	ꯊꯃꯣꯏ ꯁꯦꯡꯕ
faith	ꯊꯥꯖꯕ ꯊꯝꯕ
fake	ꯁꯥꯁꯤꯟꯅꯕ
fall	ꯇꯥꯕ
false	ꯑꯔꯥꯟꯕ
fame	ꯐꯥꯎꯕ
familiar	ꯀꯣꯏꯗꯕ
family	ꯏꯃꯨꯡ ꯃꯅꯨꯡ
famine	ꯆꯥꯛ ꯇꯥꯡꯕ
famous	ꯃꯃꯤꯡ ꯆꯠꯄ
fancy	ꯐꯖꯕ
fantastic	ꯌꯥꯝꯅ ꯐꯖꯔꯦ
fan	ꯍꯨꯃꯥꯏ
farewell	ꯀꯥꯏꯅꯔꯁꯤ
farmer	ꯂꯧꯃꯤ
farm	ꯂꯕꯨꯛ
far	ꯑꯔꯥꯞꯄ
fascinating	ꯅꯤꯡꯊꯤꯕ
fashion	ꯐꯤꯔꯣꯜꯒꯤ ꯃꯑꯣꯡ
fast	ꯊꯨꯅ
fatal	ꯁꯤꯅꯤꯕ ꯌꯥꯕ
fate	ꯂꯥꯏꯕꯛ
father	ꯃꯄꯥ
fatigue	ꯋꯥꯕ
fat	ꯑꯅꯣꯏꯕ
fault	ꯑꯔꯥꯟꯕ
favorite	ꯄꯥꯝꯖꯕ
favourite	ꯑꯄꯥꯝꯕ
favour	ꯁꯧꯒꯠꯄ
fear	ꯑꯀꯤꯕ
feast	ꯆꯥꯛꯂꯦꯟ ꯑꯆꯎꯕ
feather	ꯝꯇꯨ
features	ꯃꯑꯣꯡ ꯃꯇꯧ
feature	ꯃꯑꯣꯡ ꯃꯇꯧ
february	ꯐꯦꯕ꯭ꯔꯨꯋꯥꯔꯤ
fed up	ꯄꯦꯜꯂꯛꯄ
feedback	ꯋꯥꯔꯣꯜ ꯐꯣꯡꯗꯣꯛꯄ
feed	ꯄꯤꯖꯕ
feeling	ꯋꯥꯈꯜꯗ ꯐꯥꯎꯕ
feel	ꯐꯥꯎꯕ
feet	ꯈꯣꯡ
fee	ꯐꯤ
fellow	ꯏꯃꯥꯟꯅꯕ
fell	ꯇꯥꯕ
felt	ꯄꯨꯛꯅꯤꯡꯗ ꯈꯟꯕ
female	ꯅꯨꯄꯤ
fence	ꯁꯝꯕꯜ
fertile	ꯂꯩꯍꯥꯎ ꯐꯕ
festival	ꯀꯨꯝꯍꯩ
fetch	ꯂꯧꯕ
fever	ꯂꯥꯏꯍꯧ ꯍꯧꯕ
fewer	ꯌꯥꯝꯁꯤꯜꯂꯛꯇꯕ
few	ꯈꯔ
fiance	ꯂꯨꯍꯣꯡꯒꯗꯧꯔꯕꯒꯤ ꯍꯥꯏꯅ ꯁꯤꯡꯅꯔꯒ ꯂꯩꯕ ꯃꯤꯑꯣꯏ
fiction	ꯁꯦꯝꯖꯤꯟ ꯁꯥꯖꯤꯟꯕ
field	ꯍꯤꯔꯝ
fierce	ꯏꯆꯪ ꯊꯣꯕ
fifteen	ꯇꯔꯥꯃꯉꯥ
fifty	ꯌꯥꯡꯈꯩ
fighting	ꯂꯥꯟ ꯁꯣꯛꯅꯕ
fight	ꯈꯌꯅꯕ
figure out	ꯈꯪꯗꯣꯛꯄ
figure	ꯃꯁꯤꯡ
file	ꯀꯔꯤꯒꯨꯝꯕ ꯑꯃꯒꯤ ꯏ ꯄꯥꯎ ꯈꯣꯝꯖꯤꯟꯗꯨꯅ ꯊꯝꯕ
filled	ꯃꯦꯜꯂꯕ
fill	ꯊꯜꯍꯟꯕ
film	ꯐꯤꯂꯝ
filthy	ꯃꯣꯠꯄ
finally	ꯑꯀꯣꯟꯕꯗ
finance	ꯁꯦꯜ ꯊꯨꯝꯒꯤ ꯍꯤꯔꯝ
financial	ꯁꯦꯜ ꯊꯨꯝꯒꯤ ꯃꯇꯥꯡ
find out	ꯈꯪꯗꯣꯛꯄ
find	ꯊꯤꯕ
fine	ꯐꯔꯦ
finger	ꯈꯨꯠꯁꯥ
finished	ꯂꯣꯏꯔꯦ
finish	ꯂꯣꯏꯁꯤꯟꯕ
fire	ꯃꯩ
firm	ꯆꯦꯠꯄ
first name	ꯑꯍꯥꯟꯕ ꯃꯤꯡ
first	ꯑꯍꯥꯟꯕ
fish	ꯉꯥ
fit	ꯆꯞ ꯆꯥꯕ
five	ꯃꯉꯥ
fixed	ꯂꯦꯡꯗꯕ
fix	ꯁꯦꯝꯖꯤꯟꯕ
flag	ꯐꯤꯔꯥꯜ
flash	ꯉꯥꯜꯍꯟꯕ
flat	ꯄꯥꯛꯄ
flawless	ꯑꯁꯣꯏꯕ ꯌꯥꯎꯗꯕ
flaw	ꯑꯁꯣꯏꯕ ꯌꯥꯎꯕ
flee	ꯆꯦꯟꯈꯤꯕ
flesh	ꯎꯅꯁꯥ
flew	ꯄꯥꯏꯈꯤꯕ
flexible	ꯂꯦꯡ ꯑꯣꯠꯄ ꯅꯨꯡꯉꯥꯏꯕ
flex	ꯊꯦꯛ ꯀꯣꯟꯕ ꯌꯥꯕ
flight	ꯄꯥꯏꯕ
flip	ꯑꯣꯟꯊꯣꯛꯄ
flirting	ꯅꯨꯄꯤ ꯂꯛꯅꯕ
flirt	ꯆꯒꯠꯅꯕ
float	ꯇꯥꯎꯕ
flood	ꯏꯁꯤꯡ ꯏꯆꯥꯎ
floor	ꯂꯩꯃꯥꯏ
flour	ꯌꯥꯝ
flower	ꯂꯩ
flow	ꯆꯦꯟꯊꯕ
fluently	ꯂꯠꯇꯅ
fluent	ꯋꯥ ꯉꯥꯡꯕꯗ ꯑꯄꯟꯕ ꯂꯩꯇꯕ
fluffy	ꯑꯃꯣꯟꯕ ꯂꯪꯅ ꯌꯣꯝꯕ
fluid	ꯃꯍꯤ
flu	ꯂꯣꯛ ꯊꯨꯡꯕ
fly	ꯄꯥꯏꯕ
focus	ꯃꯤꯠꯌꯦꯡ ꯆꯪꯕ
foggy	ꯂꯩꯆꯤꯜ ꯊꯥꯕ
fog	ꯂꯩꯆꯤꯜ
fold	ꯊꯨꯞꯄ
folks	ꯑꯀꯛꯅꯕ ꯃꯤ ꯀꯥꯡꯂꯨꯞꯁꯤꯡ
following	ꯇꯨꯡ ꯏꯅꯕ
follow up	ꯃꯈꯥ ꯇꯥꯅ ꯍꯪꯒꯠꯄ
follow	ꯇꯨꯡ ꯏꯅꯕ
food	ꯆꯤꯟꯖꯥꯛ
foolish	ꯑꯄꯪꯕ
fool	ꯑꯄꯪꯕ
football	ꯐꯨꯠꯕꯣꯜ
foot	ꯈꯣꯡ
forbidden	ꯑꯊꯤꯡꯕ ꯂꯩꯕ
force	ꯁꯥꯐꯨ
forecast	ꯃꯥꯡꯖꯧꯅꯅ ꯇꯥꯛꯄ
forehead	ꯂꯥꯏꯕꯛ
foreign	ꯃꯤꯔꯝ
forest	ꯎꯃꯪ
forever	ꯃꯇꯝ ꯄꯨꯝꯕꯗ
For example	ꯈꯨꯗꯝ ꯑꯣꯏꯅ
forget	ꯀꯥꯎꯕ
forgive	ꯉꯥꯛꯄꯤꯕ
forgot	ꯀꯥꯎꯈ꯭ꯔꯕ
for instance	ꯈꯨꯗꯝ ꯑꯣꯏꯅ
fork	ꯂꯣꯡꯕ
formal	ꯀꯥꯡꯂꯣꯟꯒꯤ ꯃꯇꯨꯡ ꯏꯅꯅ ꯄꯥꯡꯊꯣꯛꯄ
former	ꯍꯥꯟꯅꯒꯤ
form	ꯁꯦꯝꯕ
fortunately	ꯂꯥꯏꯕꯛꯐꯗꯨꯅ
fortune	ꯂꯟ ꯊꯨꯝ
forty-two	ꯅꯤꯐꯨꯅꯤꯊꯣꯏ
forty	ꯅꯤꯐꯨ
forward	ꯃꯥꯡꯂꯣꯝꯗ
for you	ꯑꯗꯣꯝꯒꯤꯗꯃꯛꯇ
foster	ꯆꯥꯎꯈꯠꯄ ꯄꯨꯔꯛꯅꯕ ꯄꯨꯛꯅꯤꯡ ꯊꯧꯒꯠꯄ
fought	ꯈꯠꯅꯈꯤꯕ
foundation	ꯌꯨꯝꯐꯝ
found	ꯐꯪꯂꯦ
fourteen	ꯇꯔꯥꯃꯔꯤ
four	ꯃꯔꯤ
fox	ꯂꯝꯍꯨꯏ
fragile	ꯀꯥꯏꯒꯟꯕ
framework	ꯃꯇꯥꯏ ꯈꯥꯕ
frame	ꯉꯥꯛꯂꯧ
fraud	ꯅꯝꯊꯥꯛ ꯇꯧꯕ
freak	ꯑꯉꯥꯎꯕ
freedom	ꯃꯅꯤꯡ ꯇꯝꯕ
freeze	ꯂꯦꯡꯒꯅꯨ
free	ꯅꯤꯡ ꯝꯕ
frequency	ꯀꯨꯡꯕꯒꯤ ꯆꯥꯡ
frequently	ꯌꯥꯝꯅ ꯇꯣꯏꯅ
frequent	ꯌꯥꯝꯅ ꯇꯣꯏꯕ
fresh	ꯑꯇꯦꯛꯄ
friday	ꯏꯔꯥꯏ
fridge	ꯐ꯭ꯔꯤꯖ
friendly	ꯃꯕꯨꯛ ꯃꯄꯥꯎ ꯐꯕ
friendship	ꯃꯔꯨꯞ ꯃꯄꯥꯡꯒꯤ ꯑꯣꯏꯕ ꯃꯔꯤ
friends	ꯃꯔꯨꯄꯁꯤꯡ
friend	ꯃꯔꯨꯞ
frightened	ꯀꯤꯖꯕ
frightening	ꯀꯤꯅꯤꯡꯉꯥꯏ ꯑꯣꯏꯕ
frog	ꯍꯉꯣꯏ
from	ꯗꯒꯤ
front	ꯃꯃꯥꯡ
frozen	ꯐꯝꯖꯤꯜꯂꯕ
fruit	ꯎꯍꯩ
frustrated	ꯁꯥꯎꯅꯤꯡꯕ
fuel	ꯊꯥꯎ
Fulfulde	ꯐꯨꯜꯐꯨꯜꯗꯦ
full	ꯃꯏꯛ ꯊꯟꯕ
function	ꯃꯊꯧ
fundamental	ꯇꯉꯥꯏ ꯐꯗꯕ ꯌꯨꯝꯐꯝ
funeral	ꯑꯔꯣꯏꯕ ꯃꯊꯧꯃꯉꯝ
funny	ꯅꯣꯛꯅꯤꯡꯕ
fun	ꯅꯨꯡꯉꯥꯏꯕ
furious	ꯁꯥꯊꯤꯅ ꯁꯥꯎꯕ
furniture	ꯎꯄꯨ ꯀꯥꯛꯊꯣꯜ
furthermore	ꯃꯈꯥ ꯇꯥꯅ
further	ꯃꯈꯥ ꯇꯥꯅ
fur	ꯃꯇꯨ
future	ꯇꯨꯡꯂꯝꯆꯠ
gain	ꯇꯣꯡꯕ
game	ꯃꯁꯥꯟꯅ
gap	ꯑꯍꯥꯡꯕ
garage	ꯒꯥꯔꯤ ꯊꯝꯐꯝ
garbage	ꯐꯠꯇ ꯍꯧꯗꯤ
garden	ꯂꯩꯀꯣꯜ
garlic	ꯆꯅꯝ
gate	ꯊꯣꯡꯒꯥꯜ
gathering	ꯃꯤ ꯄꯨꯟꯕ
gather	ꯇꯥꯁꯤꯟꯕ
gauge	ꯆꯥꯡ ꯑꯣꯟꯅꯕ ꯈꯨꯠꯂꯥꯏ
gave	ꯞꯤꯕ
gear	ꯒꯥꯔꯤꯒꯤ ꯈꯣꯡꯖꯦꯜꯒ ꯂꯣꯏꯅꯅ ꯍꯣꯡꯕ ꯈꯨꯠꯂꯥꯏ
