a	ani
show me	min hmuh rawh
shrimp	kaikuang
shrink	tawmte
shut	khar
shut up	ngawi rawh
shy	zakzum
siblings	unauza
sibling	unau
sick	dam lo
side	sir
sigh	huiham
sightseeing	khaw hawi
sight	thilhmuh
signature	hmingziak
sign	chhinchhiahna
significant	pawimawh
silence	reh
silent	reh
silk	maimaw puan
silly	mawl
silver	tangkarua
similar	inang
simp	huihphai
simple	naran
simultaneously	a rualin
since	atang khan
sincerely	tihtakzetin
sincere	titakzet
singer	zaithiam
single	mal
sing	zai
sink	pil
Sir	Ka pu
sister in law	kawppui unaunu
sister	unaunu
site	hmun
sit	thu
situation	dinhmun
six	paruk
sixteen	sawmparuk
sixty	sawmruk
size	lenzawng tehna
skills	themthiamna
skill	thiamna
skinny	cher
skin	vun
skip	bawhkan
skirt	pawnfen
sky	van
slave	sal
sleeping	mu
sleep	mu
sleepy	mutchhuak
sleeve	kawrban
slice	zai
slide	tleng
slightly	tlemtein
slim	ria
slip	tawlh
slope	awn
slot	khi
slowly	zawitein
slow	muang
small	te
smart	chengvawng
smell	rim
smile	nui
smoke	meikhu
smooth	mam
snack	ei tur
snail	hnapkhawn
snake	rul
snap	chat
snow	vur
soak	chiahzawp
soap	sahbawn
sober	harhfim
soccer	football
so	chuvangin
social	vantlang
society	khawtlang
socks	mawza
so cute	duhawm tak
so far	thleng pawhin
soft	nem
software	software
soil	lei
sold	hralh
soldier	sipai
sold out	hralh zo
sole	chauh
solid	sakhat
solution	chhanna dik
solve	tifel
somebody	tu emaw
some	engemawzat
somehow	engtin tin emawni
someone	tu emaw
something	engemaw
sometimes	achangin
song	hla
soon	vat
sophisticated	changkang
Sorani	Sorani tawng
sore	na
sore throat	hrawk thip
sorrow	lungngaihna
Sorry	Tihpalh
sort	thliar
sought	zawng
soulmate	inkawprem tak
soul	thlarau
sound	ri
soup	tuiril
source	bultanna
sour	thur
south	chhim
space	awl
spam	pawimawh lo
Spanish	Spanish
span	tluanin
spare	thlakna
speak	tawng
special	danglam bik
species	pawl chi khat
specific	chiang
spectacular	hmuhnawm
speechless	tawng ngaihna hre lo
speech	thusawi
speed	chak
spell	chham chhuak
spend	hmang
spent	hmang
spicy	thak
spike	thilzum
spinach	antam
spin	vir
spirit	thlarau
spit	chhak
splendid	tha lutuk
split	thenhrang
spoiled	tichhia
spoil	tichhia
spontaneous	mahni duh vanga ti
spoon	fian
spot	hmunbik
spouse	kawppui
spread	tidarh
spring	bultanna
square	square
squeeze	hmetsawr
squid	squid
squirrel	thehlei
stable	ngelnghet
stab	vit
stack	chherchhuan
staff	thawktu
stage	dawhsan
stain	bal
stairs	kailawn
stake	dahkham
stalk	zui ru
stall	chawlhtir
stamp	chhinchhiah
standard	nihphung pangngai
stand	ding
star	arsi
started	tan
start	tan
starving	riltam
statement	thu
state	nihphung
station	chawlhhmun
statue	milim
status	nihna
stay	cham
stay safe	lo him dam rawh u
steady	muangchang
steak	bawngsa hrang
steal	ru
steam	hu
steel	thir
steep	mu
stem	kuang
step	rahbi
stick	tiang
stiff	phiarfat
still	che lo
stingy	uikawm
sting	zuk
stir	chawk
stock	khawl
stolen	rukbo
stomach	pumpui
stone	lung
stood	ding
stool	ek
stop	tawp
storage	dahthatna
store	dahtha
storm	thlipui
story	thawnthu
stove	thuk
straightforward	tlang takin
straight	ngil
strain	pawt mar
strange	mak
stranger	hmelhriatloh
strategy	remhriatna
strawberry	strawberry
straw	kuang
streak	thlur sung
stream	lui te
street	khawlai
strength	chakna
stress	rimtawng
stretch	fan
strict	khirh
strike	vua
string	hrui
strip	phelh
strive	tum
stroke	thai
strong	chak
struck	deng
structure	ruangam
struggle	bei
struggling	tuar
stubborn	tumruh
stuck	tang
student	zirlai
studying	zir
study	zir
stuff	hnawh
stunning	duhawm tak
stupid	atthlak
style	tihdan
subject	thupui
submission	inpumpekna
submit	thehlut
substance	thupui
substitute	thlakthleng
subtle	hriat har
succeed	hlawhtling
successful	hlawhtling
success	hlawhtling
such as	chutiang bawkin
such	chutiang
suck	fawp
suddenly	thawklehkhatah
sudden	thut
suffering	tuarna
suffer	tuar
sufficient	tawk
sugar	chini
suggestion	kawhhmuh
suggest	thurawn
suitable	inhmeh
suitcase	thildahna bawm
suit	hmeh
sum	belhkhawm
summary	khaihtawi
summer	nipui
summit	chhip
sunday	Chawlhni
sun	ni
sunny	nisa
sunset	nitla
sunshine	ni sa
superior	chungnung
super	lutuk
supervisor	endiktu
supper	zanriah
supply	pechhuak
support	rinchhan
supposed	ring chhin
suppose	ringchhin
sure	ngei ngei
surface	pawnlang
surge	pung
surgery	inzai
surname	hnamhming
surprised	mak ti
surprise	mak ti
surrender	inpe
surrounding	chhehvel
surveillance	enzuina
survey	zirchiang
survive	damchhuak
suspect	ringhlel
suspended	hnawl
suspicious	ringhlel
sustainability	awm reng thei
sustainable	zo thei lo
sustain	chhawmdawl
swag	inthen
swallow	lem
swap	thlakthleng
swear	chhechham
sweater	kawrlum
sweat	thlan
sweep	phiat
sweet dreams	mang tha le
sweetheart	duhlai
sweet	thlum
sweet tooth	thil thlum ngaina
swelling	vung
swell	vung
swimming	tui hleuh
swim	tuihleuh
swing	then
switch	thlakthleng
swollen	vung
sword	ngunhnam
symbol	chhinchhiahna
sympathy	lainatna
symptoms	natna
system	tihdan
table	dawhkan
tackle	buan
tag	thlung
tail	mei
take away	la bo
take care	enkawl tha
take	la
taken	laksak
take off	thlawk chhuak
talkative	tawngduh
talk	bia
tall	sang
tape	pawnthem sei
tap	kik
target	tum bik
task	tihtur
taste	tem
tasty	tui
taught	zirtir
teacher	zirtirtu
teach	zirtir
team	pawl
tear	mittui
tears	mittui
tease	chhaih
tea	thingpui
technology	tunlai thiamna
teeth	ha
tell	hrilh
tell me	Min hrilh rawh
temperature	lum leh vawt tehna
temper	rilru
temple	biakin
temporary	nghet lo
tenant	luahtu
tendency	duh lam
tender	nem
tend	vulh
ten	sawm
tense	thinthawng
tension	phawklek
tentative	aitechhinna
ten thousand	singkhat
tent	puan in
term	hunbi
terms	inremsiamna
terrible	chhe tak
terrific	thil nasa tak
territory	ram bung
test	fiahna
text	thumal
than	aiin
thank	lawm
Thanks for using our app	Kan app i hman avangin kan lawm e
thanks	ka lawm e
Thank you for your patience while we investigate shipment	Thilthawn kan chhui chhunga i dawhtheihna avangin kan lawm e
thank you	ka lawm e
thank you so much	ka lawm lutuk
thank you very much	ka lawm lutuk e
that is	chu chu
that	sawmi
that's good	a tha alawm
the	chumi
theft	ruk
their	an
them	anni
theme	thupui
themselves	anni
then	tichuan
theory	thu
there are	an awm
therefore	chuvangin
there is	a awm
there	sawtah
these	hengte
they	anni
they are	anni chu
thick	chhah
thief	rukru
thigh	malpui
things	thilte
thing	thil
think	ngaihtuah
thin	liver
third	pathumna
thirsty	tuihal
thirteen	sawmpathum
thirty	sawmthum
this	hei
this is	hei hi
thorough	chipchiar
thoroughly	kimchangin
those	saw'ng saw
though	pawh nise
thoughtful	ngaihtuahthui
thought	ngaihtuah
thoughts	ngaihtuahna
thousand	sangkhat
thread	la
threaten	vau
threat	vau
three	pathum
threshold	bulthut
thrilled	nuam ti
thrive	thanglian
throat	hrawk
throughout	tluanin
through	tlang
throw	paih
thumb	kutzungpui
thunder	khawpui
Thursday	Ningani
thus	chuvangin
tick	thai
tide	inherna
tidy	fai
tie	suih
tiger	sakei
tight	tawt
Tigrinya	Tigrinya tawng
time	hun
timid	zakzum
tiny	tereuhte
tip	hmawr
tips	lawmthu sawina thilpek
tire	chau
tired	chau
tissue	tisa
title	nihna
to	ah
toast	chhangthawp hem ro
to be	ni tur
today	vawiin
toddler	nausen
toes	kezungtang
together	huho
toilet	ekin
told	hrilh
tolerance	dawhtheihna
tolerate	tuar hram hram
tomato	tomato
tomorrow	naktuk
tongue	lei
tonight	zanin
took	la
tool	hmanrua
tools	hmanrua
too	pawh
tooth	ha
top	chung
topic	thupui
torn	thler
torture	nghaisa
total	belhkhawm
touch	khawih
tough	tuarchhel
tour	zinvak
toward	lamah
towards	panin
towel	hrukpuan
town	khawpui
toxic	hlauhawmtak
trace	hnuchhui
track	chhui
trade	sumdawntawnna
traditional	tihdanphung
tradition	tihdan phung
traffic	motor
trail	hnu
training	inzirna
train	zirtir
trait	hmelhmang
traits	ziarang
transfer	sawn
transition	inthlakthleng
translate	letling
transparent	langtlang
transportation	thilthawnna
transport	thawn
trap	thang
trash	bawlhhlawh
trauma	lungchhiatthlak
travel	zin
tray	dawhthleng
treasure	ro
treat	enkawl
treatment	tihdamna
tree	thingkung
tremendous	nasa tak
trend	kalphung
trial	chhin
trick	bum
tried	tum
trigger	ti per
trim	hlawi
trip	tlu
trouble	buaina
trousers	kekawr
truck	truck
true	dik
trunk	thinrem
trust	ring
truth	thudik
try	bei
Tsonga	Tsonga tawng
tube	dawt
Tuesday	Thawhlehni
tuition	inzirtirna
turkey	sai ar
turmeric	aieng
turn	inher
turtle	sumsi
tutor	zirtirtu
twelve	sawmpahnih
twenty-one	sawmhnih pakhat
twenty	sawmhnih
twice	nawn
twist	herh
Twi	Twi tawng
two	pahnih
type	lampang
typical	thuhmun
ugly	hmelchhia
ultimate	tawp ber
umbrella	nihliap
unable	thei lo
uncle	putea
unconscious	nikhaw hre lo
under	hnuai
underneath	hnuaiah
underrated	anih aia hmu hniam
understand	hrethiam
understood	hrethiam
unfortunately	vanduaithlak takin
uniform	rual khat
unique	danglam
unit	hlawm khat
university	zirna sang
unknown	hriat loh
unless	loh chuan
until	hma chuan
unusual	pangngai lo
up	chunglam
update	tharlam
upgrade	tichangtlung
upon	chungah
upset	lungawilo
up to you	i tihdan dan
urban	khawpui
urgent	hmanhmawhthlak
urge	tur
used	hmang
useful	tangkai
use	hmang
useless	tangkailo
us	keini
usually	atlangpuiin
usual	tlangpui
utility	tangkaina
vacation	chawlhhun
vaccination	invenna
vaccine	invenna
vacuum	boruak awm lohna
vague	chiang lo
valid	nung
valley	ruam
valuable	hlu
value	hlutna
variety	danglamna
various	dang dang
vary	inang lo
vase	bursei
vast	zau
vegetables	thlaihnah
vegetable	thlai
vehicle	motor
vendor	zuartu
venom	tur
venture	tuar huam thil ti
venue	hmun
verify	tichiang
versatile	insiamrem zung zung
version	lehlin dan
vertical	ding ngil
very good	tha lutuk
very	lutuk
vessel	bawm
via	kaltlangin
vibe	boruak tawngchin
vibes	hriat dan
vicious	rawng
victim	tuartu
video	video
view	thlir
village	thingtlang
villain	misual
vinegar	vinegar
vintage	thiltha bik
violence	tharumthawh
violent	tharum
viral	darh
virgin	thianghlim
virtual	hmuhtheih
virtue	hlutna
vision	hmathlir
visit	tlawh
visual	hmuhtheih
vital	pawimawh
vivid	nung
vocabulary	thumal
voice	aw
void	ruak
volume	ri rin lam tehna
volunteer	tlawmngaia inpe
vomit	luak
vulnerable	hlauthawnawm
wage	hlawh
wages	hlawh
waist	kawng
waiter	nghaktu
waiting	nghak
wait	nghak
wake	harh
wake up	tho rawh
walking	kal
walk	kal
wall	bang
wallet	pawisa ipte
wander	vakvai
wanna	duh
want	duh
wanted	duhna
wardrobe	thawmhnaw bawm
warehouse	bungraw dahkhawmna
war	indona
warm	lum
warning	vaulawkna
warn	vau
warrior	raldotu
wash	su
was	tawh
waste	thilchhia
watch	thlir
watermelon	dawnfawh
water	tui
wave	vai
way	kawng
weak	chak lo
weakness	chaklohna
wealth	hausakna
wealthy	hausa
we are	kan ni
wear	ha
wearing	ha
weather	khawchin
we can	kan thei
wedding	inneihna
Wednesday	NIlaini
weed	hnim
weekend	kartawp
week	kar
weight	buk
weird	mak
we	keini
welcome	chibai
welfare	hamthatna
Well	Awle
well done	i ti tha e
went	kal
were	an
west	khawthlang
wet	huh
whale	nghapui
what about you	nang engtin nge
what are you doing	engnge i tih
what are you doing now	tunah enge i tih
what are you doing right now	tunah khan enge i tih le
what do you do	engnge i tih
what do you do for a living	eng hna nge i thawh
what do you mean	enge i sawi awmzia
what do you want	engnge i duh
what	engnge
whatever	engpawhnise
what happened	engnge thleng
what is	Eng hi
what is this	hei hi engnge
what is your job	engnge i hna
what is your name	tunge i hming
what's up	engnge ni ta
what's your name	tunge i hming
wheat	chhangphut buh
wheel	ke bial
when	engtikah
whenever	engtiklaipawhin
where are you from	khawi atanga lokal nge i nih
where are you	khawnge i awm
where are you now	tunah khawnge i awm
whereas	chupawh ni se
where do you live	khawnge in chen
where is	khawi nge
where	khawnge
whether	emaw
which	khawi
while	laiin
whisper	hrilhru
whistle	faifuk
white	var
who are you	tunge i nih
who is this	hei hi tunge
who is	tu chu
whole	pumpui
whom	tunge
whose	tu ber
who	tunge
why	engati nge
why not	anih lohvin
wicked	suaksual
wide	zau
widow	hmeithai
width	vang
wife	nupui
wild	ramhnuai
will	duhdan
willing	duh
win	chak
window	tukverh
wind	thli
windy	thlithaw
wine	uain
winter	thlasik
wipe	hru
wire	hrui
wisdom	finna
wise	fing
wish	duhsak
wish you all the best	duhsakna sang ber ka hlan a che
witch	dawithiam hmeichhia
withdrawal	lachhuak
withdraw	lachhuak
within	chhunglam atangin
with	nen
without	tellovin
witness	thuhretu
witty	fing
wolf	chinghnia
woman	hmeichhia
women	hmeichhia
won	chak
wonderful	duhawm
wonder	ngaihtuah
won't	lo ang
wood	thing
wool	sahmul
words	thumalte
word	thumal
work	hnathawk
working	hnathawk
work out	exer la
world	khawvel
worm	rulhut
worn	ha
worried	mangang
worry	lungngai
worse	chhe zawk
worship	chawimawina
worst	chhe ber
worth	hlutna
worth it	manhla
worthy	phu
would	ang
wound	hliam
Wow	Uai
wrap	tuam
wrath	thinrimna
wrist	banrek
Write here	Hetah hian ziak rawh
write	ziak
writing	ziak
written	ziak
wrong	dik lo
wrote	ziak
yard	tual
yawn	ham
Yeah	Awle
year	kum
years	kum
yeast	dawidim
yell	au
yellow	eng
Yes	Awle
yes baby	aw bawihte
yes dear	awle duhtak
yes honey	aw duhtak
yes my love	aw ka hmangaih
yes of course	aw ni e
yesterday	nimin
yet	thlengin
yield	hmuchhuak
you are beautiful	i mawi a ni
you are	I ni
you are so beautiful	i hmeltha hle mai
you are welcome	kan lawm a che
you can	I thei
You know	i hria
you	nangmah
young	naupang
you're welcome	Keipawh ka lawm
you’re welcome	nangpawh le
your	i
yourself	nangma
your welcome	kan lo lawm a che
youth	tleirawl
you too	nang pawh
yummy	tui
zero	bial
