a little	ӧжыт
render	лэсьтыны услугаос
rent	арендае
repair	ремонт
repeat	тодэ ваён
replace	асэныд воштыны
reply	ответ
report	вераны
represent	укшась
reputation	репутация
request	курон
request	курон сётыны
require	кулэ
required	кулэ
rescue	спасательный
research	эскерон
resemble	тодэ вайытыны
resentment	куатаськон
reservation	юнматыны
reserve	ваньбурет
resident	резидент
resign	отставкае сётон
resilience	юнлык
resilient	юнлыко
resist	пумитъяськыны
resistance	пумитъяськон
resolution	решение
resolve	быдэстыны
resort	курорт
resources	ужъюгдур
respect	гажан
respond	вазён
response	реакция
responsibility	кылкутон
responsible	ответственной
rest	шутэтскон
rest in peace	каньылэн кылльыны
restaurant	ресторан
restore	выльдыны
restrict	сюбегатыны
result	результатъёсыз
results	йылпумъянъёс
resume	выльысь кутскыны
retail	нимаз вузан
retain	утьыны
retention	возён
retired	пенсиын
retreat	чигнаны
retrieve	поттыны
return	берыктэ
reveal	усё
revealed	шараям
revenge	йыркурез берыктыны
revenue	доход
reverse	берен
review	лыдӟон
revise	выльысь учкыны
revision	выльысь учкон
revolution	революция
reward	кузьым
rhythm	ритм
rib	урдлы
rice	рис
rich	узыр
rid	мозмытыны
ride	мынон
ridiculous	кельыштэм формаез
right	эрикрадъя
right now	ӵапак али
rigid	чурыт
ring	кульчолы
rinse	гылатон
riot	бунт
rip	кесем
ripe	вуэм
rise	ӝужда
risk	дӥсьтон
rival	вожмаськыны
river	шур
road	сюрес
roast	пыжыны
robust	оскымон
rock	кӧльы
rod	стержень
role	рольёсты
roll	рулон
roof	липет
room	висъет
root	выжы
rope	гозы
rotten	сисьмем
rough	зуркак
roughly	лек
round	котырес
route	мынон маршрут
routine	огдышем сямъя ужан
row	рад
rub	зыраны
rubber	резинка
rubbish	жаг
rude	зуркак
rug	коврик
ruin	таркамын
rule	шонеррад
ruler	линейка
rules	шонеррад
run	бызьыса
running	бызись
rural	сельской
rush	дыртэммы
sack	мешок
sacred	вӧсяськон
sacrifice	юрттэткузьым сётыны
safe	кышкыттэм
safe flight	курдантэм лобӟон
safety	кышкыттэмлык
sage	визьбурчи
said	шуо
sail	уяны
sailing	уяса кошкон
sake	муг
sake	(мар ке) понна
salary	уждун
sale	вузан сярысь
salmon	лосось
salt	сылал
same	нош
Same here	Татын но сыӵе ик
sample	тусъет
sand	луо
Sanskrit	Санскрит
sarcastic	мыскылляса серекъян
sassy	кӧбертэм
sat	бусы кутон эскеронъёс
satisfaction	кӧт каньыл луон
satisfied	огназэс
satisfy	быдэстыны
satisfying	кӧт каньыл луон
Saturday	кӧснунал
sausage	векчи сӥльтырем
savage	дикарьёслэн
save	утьыны
saw	адӟыны
say	шуо
scale	масштаб
scam	мошенничество
scar	вурыс
scarce	тырмымтэ
scared	шурдыт
scarf	шарфик
scary	кышкыт
scattered	пасьтана зӥръям
scene	сцена
scenery	инкуазь тус
scent	зын
schedule	планировать
school	мар школьное
science	наука
scientist	тодосчи
scientists	тодосчиос
scissors	качы
scold	тышкаськыны
scope	дась
score	лыдъян
scrap	куштӥськем корт
scratch	ӵабтӥськем
scream	кесяськыны
screen	экран
screw	винт
script	сценарий
sea	зарезь
seal	печатья тэрытскисесь
search	утчан
season	вакыт
seat	пукон
second	кыкетӥ
secret	лушкес
section	висъет
secure	кышкыттэмлык кылдытыны
security	кышка
see	адӟыны
see you	адӟиськом
see you later	адӟиськом
see you soon	вуоно пумиськытозь
see you tomorrow	ӵуказеозь
seed	тысь
seek	вань утчаны
seem	адӟисько
seems	лэся
seen	адӟем
seize	пытсэтаны
seizure	кулыса усён
seldom	шер
select	октыны
self	ачим
self healing	ачиз бурмон
selfish	эгоистичный
sell	продажа
send	келяны
send me your picture	ысты мыным фотодэ
senior	бадӟымез
sense	пуштрос
sensible	визьмо
sensitive	ӧбылес
sent	келям
sent	ыстэм
sentence	пумкыл
sentences	шуосъёс
separate	нимаз
Sepedi	Сепиде
september	куарусён
sequence	радыз
series	сузьет
serious	серьёзной
seriously	йӧн-йӧн
serve	обслуживать
service	юрттэт
session	сессия
set	зуркатыны
set up	кылдытыны
setting	тупатон
settle	интыяны
seven	сизьым
seventeen	дас сизьым
seventy	сизьымдон
several	кӧня
severe	йӧн-йӧн
sew	вуриськыны
shade	вужер
shadow	вужер
shake	курткыны
shall	кулэ
shallow	лазег
shame	аслэсьтыззэ
shape	формаос
share	люкетэз
sharp	лэчыт
she	со
she has	солэн вань
she is	со
shed	сбрасывать
sheep	ыжъёс
sheet	куар
shelf	ӝажы
shell	дыж
shelter	ватӥськон-пегӟон
shield	щит
shift	смена
shine	пиштыны
ship	корабль
shipping	судно ветлон
shirt	дэрем
shoes	быгатӥсьлэн
shoot	ыбылыны
shop	вузаськонни
shopping	бичаськем
shore	ярдур
short	вакчи
shortage	ёрмон
shot	ыбылыны
should	кулэ
shoulder	пельпум
shout	кесяськыны
show	шоу
show me	мыным возьматыны
shower	лул
shrimp	креветка
shrink	ичиомыны
shut	пытсаны
shut up	ӵоксаськиз
shy	востэмак
sibling	агай-вынъёс
siblings	сузэр-вынъёс
sick	висись
side	пал
sigh	шокчыны
sight	ужрад
sightseeing	дано интыосты учкон
sign	пусъёс
signature	гожтӥськем
significant	шӧдскымон
silence	шыпыт
silent	чалмыт
silk	буртчин
silly	шузи
silver	азвесь
similar	огвыллем
simp	огшоры адями
simple	огшоры
simultaneously	огвакытэ
since	со дырысь
sincere	усьтэм сюлмо
sincerely	сэлмысь ик
sing	кырӟаны
singer	кырӟась
single	огназ
sink	куалемъёсысь
Sir	Сэрен
sister	сузэр
sister in law	вылькен
sit	пуктыны
site	сайт
situation	ситуация
six	куать
sixteen	дас куать
sixty	куатьтон
size	быдӟала
skill	ӧнер
skills	быгатэм
skin	ку
skinny	векчи
skip	чильпыра
skirt	юбкаен
sky	инбам
slave	вар
sleep	уйвӧтын
sleeping	ум
sleepy	кӧлэм потӥсь
sleeve	втулка
sleeve	тул
slice	юдоно
slice	юдэс
slide	слайд
slightly	кыньыръяса
slim	веськрес
slip	гылӟыны
slope	бамал
slot	слот
slow	каллен
slowly	каллен
small	пичи
smart	визьмо
smell	зын
smile	пальпотон
smoke	ӵын
smooth	вольыт
snack	закуска
snail	куалялюльы
snake	кый
snap	шлач карем
snow	сноу
so	озьы
so cute	сыӵе мусо
so far	улыны
soak	коттыны
soap	майтал
sober	сазь
soccer	футбол
social	пумитан
society	мер(лык)
socks	носки
soft	небыт
software	софтверной
soil	музъем
sold	вузамон
sold out	вузаны
soldier	солдат
sole	нимаз
solid	юн
solution	решение
solve	лэсьтыны
some	куд-огъёсыз
somebody	кин ке
somehow	озь но тазь но
someone	кин ке
something	мар-ке
sometimes	кытӥ
song	кырӟан
soon	ӝоген
sophisticated	сложной
Sorani	Сорани
sore	висись
sore throat	висись чырты
sorrow	куректон
Sorry	вождэс эн вае
sort	шертон
sought	утчаны
soul	лул
soulmate	родственной
sound	куара
soup	шыд
sour	чырс
source	дор ошмес
south	лымшор
space	инты
spam	спам
span	вӧлмыны
Spanish	испан кышно (ныл)
spare	шыръям
speak	верало
special	аспӧртэмлыко
species	видъёс
specific	кулэ
spectacular	синмаськымон
spectacular	эффектной
speech	вераськон
speechless	вераськисьтэм
speed	ӝоглык
spell	пелляськон
spend	арам
spent	быдтэм
spicy	лэчыт
spike	шеп
spin	бергатыса
spinach	шпинат
spirit	духовной
spit	сяланы
splendid	син мальдымон
split	вайяса
spoil	сӧрыны
spoiled	уродмем
spontaneous	шуак
spoon	пуньы
spot	инты
spouse	кышно
spread	вӧлмем
spring	тулыс
square	квадратлы
squeeze	пачкатыны
squid	кальмар
squirrel	коньы
stab	бышкалтыны
stable	вошъяськисьтэм
stack	штабеле тырыны
staff	персонал
stage	этапаз
stain	вишты
stairs	тубат
stake	лэсьтыны ставка
stalk	ныд
stall	партер
stamp	штамповать карыны
stand	киоскысь
standard	standart
star	кизили
start	кутскыны
started	кутскиз
starving	сютэм
state	штат
statement	заявление
station	станция
statue	статуя
status	инлыкез
stay	кыльыны
stay safe	кышкыттэмлыкын луыны
steady	юн
steak	стейк
steal	лушканы
steam	пар
steel	андан
steep	луонтэм
stem	модос
step	вамыш
stick	боды
stiff	чурыт
still	вань на-а
sting	леканы
stingy	чурыт
stir	сураны
stock	запассэ
stolen	лушкам
stomach	ӝуш
stone	из
stood	сылӥз
stool	пукон
stop	остановка
storage	утён
store	люкаськизы
storm	штурмовать карыны
story	мадёс
stove	гур
straight	прямой
straightforward	шонер
strain	напряжение
strange	йӧспӧртэм
stranger	тодмотэм мурт
strategy	стратегия
straw	куро
strawberry	боры
streak	гож
stream	ӧръёсъя
street	ульчаез
strength	кужым
stress	стресс
stretch	золъяськыны
strict	строгой
strike	бугыръяськемзы
string	чур
strip	гож
strive	тыршыны
stroke	инсульт
strong	кужмо
struck	вормем
structure	пушсузьетэз
struggle	нюръяськон
struggling	жугиськон
stubborn	ваменэс
stuck	ёрмись
student	ученический
study	дышетскыны
study	дышетскон
studying	дышетон
stuff	пушказ тырыны
stunning	кушектымон
stupid	капчилыкенызы
style	стиль
subject	тема
submission	возьматон
submit	эскерыны сётыны
substance	тырмет
substitute	вошъяны
subtle	векчи
succeed	мыныны
success	азинлык
successful	азинлыко
such	дорын сыӵе
such as	таӵе кадь
suck	сюпсьыны
sudden	шуак
suddenly	нуналазазвесь
suffer	курадӟонъёс
suffering	курадӟон
sufficient	ваньмыз
sugar	сахар
suggest	ӵектӥзы
suggestion	предложение
suit	костюм
suit	тупаны
suitable	тупась
suitcase	чемодан
sum	огъя лыд
summary	резюме
summer	гужем
summit	кенешонзы
sun	шунды
sunday	арня
sunny	шундыё
sunset	шунды пуксён
sunshine	шундылэн югытэз
super	супер
superior	вылӥ
supervisor	инспектор
supper	ӝытазезэ сиськон
supply	тырмыт сётон
support	юрттэт
suppose	поныны
supposed	азьмалпам
sure	веран
surface	вылыз
surge	жомбыляк
surgery	операция
surname	фамили(я)
surprise	витьымтэ
surprised	паймем
surrender	сётъян
surrender	сётон
surrounding	котыртӥсь
surveillance	чаклан
survey	юан-веран
survive	улэп кыльыны
suspect	шекланы
suspended	ошоно
suspicious	подозрительной
sustain	юрттэт сётыны
sustainability	йыг-йыг азинтон
sustainable	йыгмыт
swag	котыр
swallow	ньылӥз
swap	кыскон
swear	кыл сётыны
sweat	пӧсяны
sweater	свитер
sweep	ӵужыны
sweet	голькыт
sweet dreams	ческыт уйвӧтъёс
sweet tooth	ческыт сиись
sweetheart	мусо
swell	пельтӥськыны
swelling	пыктэм
swim	уяны
swimming	уян
swing	сэзъяса
switch	переключатель
swollen	тӧрнам
sword	меч
symbol	символ
sympathy	жалян
symptoms	тодметъёс
system	система
table	ӝӧк
tackle	быдэстыны
tag	пус
tail	быжзэ
take	кутыны
take away	басьтыны
take care	астэ уть
take off	лобӟем
taken	кутэм
talk	верало
talkative	вераськись
tall	ӝужыт
tap	кранысь
tape	лякыны
target	целевой
task	олo
taste	шӧмыз
tasty	ческыт
taught	дышетэм
tea	чай
teach	дышетоно
teacher	дышетӥсь
team	команда
tear	слезоточивой
tears	синвуос
tease	пышкылыны
technology	технологиос
teeth	пиньысь
tell	верало
tell me	мон верасько
temper	отпускной
temperature	температура
temple	черк
temporary	огдырлы
ten	дас
ten thousand	дас сюрс
tenant	арендатор
tend	утялтэ
tendency	тенденция
tender	тендер
tense	дыр
tension	вань кужымез поттон
tent	палатка
tentative	азьлосез
term	срок
terms	нимкылъёс
terrible	шимес
terrific	туж кышкыт
territory	улосвыл
test	тестовые
text	кылкуэт
than	мар
thank	тау
thank you	тау
Thank you for your patience while we investigate shipment	Тон понна, тыныд тау кариз чиданмылы, келян дыръёсыз мон тэкшыры
thank you so much	бадӟым тау тӥледлы
thank you very much	бадӟым тау тӥледлы
thanks	тау
Thanks for using our app	Тау приложенимез уже кутэмды понна
that	ма
that is	со луоз
that's good	со умой
theft	лушкам
their	соосты
them	соослы
theme	тема
themselves	соос асьсэос
then	собере
theory	малпан
there	отын
there are	вань
there is	пумиськизы
therefore	малы ке шуоно
these	со
they	соос
they are	соос вань
thick	кыз
thief	лушкаськись
thigh	макес
thin	векчи
thing	штука
things	ваньбур
think	малпаны
third	куинетӥез
thirsty	сюкуасьмем адями
thirteen	дас куинь
thirty	куамын
this	со
this is	со сыӵе
thorough	пыр-поч
thoroughly	пыр-поч
those	таос
though	ке но
thought	малпанъёс
thoughtful	мур малпаськись
thoughts	малпаъёс
thousand	сюрс
thread	шорт
threat	кышкытлыклэсь
threaten	кышкатыны
three	куинь
threshold	ӧс
thrilled	сюлэмшугъяськись
thrive	узырмизы
throat	гуньдӥсько
through	пыр
throughout	котькытын
throw	лэзяськыны
thumb	пӧлы
thunder	гудыри
Thursday	покчиарняосы
thus	образ
tick	клещ
tide	вуӝутскон
tidy	ӝикыт
tie	галстук
tiger	тигр
tight	ӝикыт
Tigrinya	Тигринья
time	ортчытэм дыр
timid	кöберась
tiny	пичи
tip	кенеш
tips	валэктонъёс
tire	катьтэммытыны
tired	жади
tissue	басма
title	нимыз
to	вылын
to be	луоно
toast	тост
today	туннэ
toddler	пичильтык
toes	пыдчиньы
together	ӵош
toilet	туалет
told	верам
tolerance	чидан
tolerate	чиданы
tomato	помидор
tomorrow	ӵуказе
tongue	кыл
tonight	туннэ ӝыт
too	ортчыт
took	басьтыны
tool	тӥрлык
tools	уж тӥрлыкъёс
tooth	пинь
top	вылӥысь
top	вылӥ
topic	тема
torn	кесям
torture	курадӟытыны
total	огъя лыдъям
touch	йӧтэ
tough	чурытоме
tour	тур
toward	пала
towards	мур доры
towel	ӵушкон
town	город
toxic	токсичный
trace	пытьы
track	трек
trade	вузкарыны
tradition	сям-йылол
traditional	котьку
traffic	ветлон
trail	пытьы
train	тренироваться
training	тренировочной
trait	йӧспӧртэм
traits	астодметъёс
transfer	сётыны
transition	потон
translate	берыктыны
transparent	пырадӟиськись
transport	нуыны-вайыны
transportation	нуллон-ворттон
trap	нальык
trash	жуг-жагзэс
trauma	сӧсырмем
travel	мыныны-ветлыны
tray	лоток
treasure	дуно ваньбур
treat	шыд
treatment	эмъян
tree	писпуос
tremendous	омабыдӟа
trend	тенденция
trial	пробный
trick	трюк
tried	веръяны
trigger	триггер
trim	чеберъян
trip	мынон
trouble	умойтэм ужъёс
trousers	брюки
truck	грузовик
true	ЗЭМЛЫКЕЗ
trunk	багажниказ
trust	оскыны
trust	оскон
truth	шонер
try	утчаны
Tsonga	Тсонга
tube	чильым
Tuesday	Вторник
tuition	дышетскон
turkey	курка
turmeric	куркума
turn	биниське
turtle	избака
tutor	репетитор
twelve	дас кык
twenty	кызь
twenty-one	кызь одӥг
Twi	Тви
twice	кык пол
twist	позыръяны
two	кык
type	тип
typical	типичной
Udmurt	Удмурт кыл
ugly	шуш
ultimate	пумозяз
umbrella	зорвозъет
unable	уг быгаты
uncle	дядя
unconscious	йырсазьтэк
under	улын
underneath	улын
underrated	ӧжытгес лыдъяны
understand	валаны
understood	валамон
unfortunately	шудтэм учырын
uniform	униформа
unique	уникальный
unit	огмет
university	университет
unknown	тодмотэм
unless	только
until	со дырозь
unusual	аспӧртэмлыко
up	солань
up to you	тыныд бырйоно
update	выльдӥськон
upgrade	умоятӥзы
upgrade	ӟеч карыны
upon	бöрысь
upset	шуген
urban	кар
urge	анна
urgent	ӝоген
us	милемыз
use	ужатонъя
used	уже кутыны
useful	умой
useless	кулэтэм
usual	огшоры
usually	котьку
utility	кулэлык
vacation	отпуск
vaccination	вакцинация
vaccine	вакцинация
vacuum	вакуум
vague	расплывчатый
valid	действительный
valley	нёжал
valuable	дуно
value	дунлыкъёсыз
variety	сям турлы
various	пӧртэм
vary	висъяськыны
vase	ваза
vast	паськыт
vegetable	бакча сиён
vegetables	бакча сиён
vehicle	транспорт
vendor	вузкарись
venom	яд
venture	ужбергатонни
venue	нуон инты
verify	эскерыны
versatile	троспӧртэмлыко
version	пӧртэмлык
vertical	валланет
very	туж
very good	но туж умой
vessel	сосуд
via	вамен
vibe	мар атмосфера
vibes	дырекъян
vicious	сьӧлыко
victim	бырем
video	видео
view	тусызъя
village	гурт
villain	лек мурт
vinegar	уксус
vintage	виноград октон вакыт
violence	кужмысь карон
violent	сэлэм чигиськись
viral	вирусной
virgin	исамтэ ныл
virtual	виртуальной
virtue	ӟеч сямо адями
vision	синадӟон
visit	лыктон
visual	адӟон
vital	жизненно
vivid	яркыт
vocabulary	словарной
voice	куара сётыны
void	кужымтэм
volume	громкость
volunteer	асмылкыдчи
vomit	ӧсконы
vomit	ӧскон
vulnerable	уязвимый
wage	уждун
wages	уждун
waist	талия
wait	витьыны
waiter	официант
waiting	витён
wake	сайкатыны
wake up	сайкатскиз
walk	мынэ
walking	ветлон
wall	борддор
wallet	янчик
wander	калгыса ветлыны
wanna	потыны
want	потыны
wanted	утчаськыса
war	ож
wardrobe	гардероб
warehouse	склад
warm	шуныт
warn	утьыны
warning	алон
warrior	ожгарчи
was	вал
wash	миськыны
waste	сюре
watch	час
water	ву
watermelon	арбуз
wave	шонтыны
way	образ
we	ми
we are	ми
we can	ми быгатӥськом
weak	ляб-а
weakness	лябӟем
wealth	узырлык
wealthy	узыр
wear	матын
wearing	нуллон
weather	куазь
wedding	сюан
Wednesday	вирнунал
weed	жуг-жаг
week	арня
weekend	шутэтскон
weight	секталазыя
weird	йӧспӧртэм
welcome	ӟеч-а
welfare	улон ӟечлык
Well	умой
well done	молодец
went	мынэ
were	вал
west	шундыпуксён
wet	мускытсэ
whale	кит
what	мар
what about you	мар тон сярысь
what are you doing	ма тон кариськод
what are you doing now	али мар тон лэсьтӥд
what are you doing right now	мар тон али кариськод
what do you do	мар тӥ ужаськоды
what do you do for a living	кызьы тон улыны коньдон поттӥськод?
what do you mean	мар тӥляд вань
what do you want	мар тынад потэ
what happened	мар луиз
what is	мар
what is this	мар со сыӵе
what is your job	кыӵе тынад ужед
what is your name	кызьы тӥляд нимтулды
what's up	мар луиз
what's your name	кызьы тынад нимыд
whatever	мед
wheat	чабей
wheel	питыран
when	ку
whenever	куке
where	кытын
where are you	кытын тон
where are you from	кытысь тон
where are you now	кытын али тон
where do you live	кытын тон улиськод
where is	кытын
whether	сотэк но
which	кыӵе
while	дыр
whisper	сипыртыны
whistle	шултэм
white	кисьтаськись
who	кинлэн
who are you	кин тон
who is	кин
who is this	кин та
whole	копак
whom	кинлэн
whose	кинлэн
why	a ма
why not	Малы бы ум
wicked	кышка
wide	паськыт
widow	пал кышно
width	пасьталаез
wife	кышноез
wild	кыр
will	потыны
will	эрик
willing	мылкыд карись
win	вормон
wind	тӧл
window	укно
windy	тӧло
wine	вина
winter	тол
wipe	ӵушылыны
wire	провод
wisdom	визьлыксэс
wise	визьмо
wish	мылкыд карисьёс
wish you all the best	сӥзисько тӥледлы ваньзэ умойзэ
witch	вегин
with	юрттэтэн
withdraw	отзывать
withdrawal	басьтон
within	пушкын
without	сотэк
witness	адӟыны
witty	лэчыт визьмо
wolf	кион
woman	нылъёс
women	нылъёс
won	вормем
won't	уз луы
wonder	тунсыко
wonderful	усто
wood	писпуос
wool	гон
word	кыл
words	кылъёс
work	уж
work	ужаны
work out	дасяны
working	ужась
world	дунне
worm	нумыр
worn	нуллэм
worried	кымачауланы
worry	сюлмаськыны
worse	уродгес
worse	уродгем
worship	йыбыртон
worst	самой урод
worth	сылэ
worth it	кулэ вылэм
worthy	ярамон
would	потэ вал
wound	эмъяськон
Wow	Вау
wrap	обертка
wrath	пуромон
wrist	суйпоскес
write	гожъяны
Write here	гожтоно татчы
writing	гожтон
written	письменной
wrong	умойтэм
wrote	гожтэм
yard	азбар
yawn	вушйылыны
yawn	вушйылон
Yeah	Мед
year	ар
years	аръёс
yeast	маял
yell	кесяськыны
yellow	ӵуж
Yes	мед
yes baby	бен пичие
yes dear	бен, дуное
yes honey	мед, мусо
yes my love	мед кыскоз, мынам яратон
yes of course	бен одно ик
yesterday	толло доры
yet	на
yield	кожалод
you	тӥледыз
you are	тӥ
you are beautiful	тон туж чебер
you are so beautiful	тон сыӵе чебер
you are welcome	тон ӟечкылазы
you can	тон быгатӥськод
You know	Тодӥськоды-а
you too	но тон
you're welcome	пожалуйста
young	егитъёс
your	мар тон
your welcome	ӟечкылан
yourself	астэ
youth	пинал дыр
you’re welcome	гажаса витиськом
yummy	ческыт
zero	нулевой
