ئە	a
لێدان	stab
جێگیر	stable
کەڵەکە	stack
ستاف	staff
قۆناغ	stage
پەڵە	stain
پەیژە	stairs
بەرژەوەندی	stake
چاودێریکردن	stalk
مۆر	stamp
وەستان	stand
ستاندەر	standard
ئەستێرە	star
دەستپێکردن	start
دۆخ	state
ووتە	statement
وێستگە	station
پەیکەر	statue
دۆخ	status
مانەوە	stay
ئامادە	steady
دزین	steal
تەوژم	steam
ستیل	steel
هەوراز	steep
قەد	stem
هەنگاو	step
پەیوەست	stick
تووند	stiff
هێشتا	still
پێوەدان	sting
چاوچنۆک	stingy
تێکدان	stir
کەرەستە	stock
دزراو	stolen
گەدە	stomach
بەرد	stone
وەستا	stood
پیسایی	stool
وەستان	stop
کۆگا	storage
فرۆشگا	store
زریان	storm
چیرۆک	story
فڕن	stove
ڕاستەوخۆ	straight
ڕاستەوخۆ	straightforward
فشار	strain
نامۆ	strange
بێگانە	stranger
ستراتیجیەت	strategy
قامیش	straw
شیلیک	strawberry
هێڵ	streak
تەوژم	stream
شەقام	street
بەهێزی	strength
فشار	stress
کێشهێنانەوە	stretch
تووند	strict
لێدان	strike
ڕستە	string
لابردن	strip
لێدان	stroke
بەهێز	strong
لێیدا	struck
پێکهاتە	structure
کێشە	struggle
چەقی	stuck
قوتابی	student
خوێندن	study
خوێندن	studying
شت	stuff
گێل	stupid
ستایڵ	style
بابەت	subject
پێشکەشکردن	submit
ماددە	substance
جێگرەوە	substitute
سەرکەوتن	succeed
سەرکەوتن	success
سەرکەوتوو	successful
چەشن	such
وەک	such as
مژین	suck
لەناکاو	sudden
لەناکاو	suddenly
چەشتن	suffer
چەشتن	suffering
گونجاو	sufficient
شەکر	sugar
پێشنیار	suggest
پێشنیار	suggestion
شیاو	suit
گونجاو	suitable
جانتا	suitcase
بڕ	sum
پوختە	summary
هاوین	summer
لووتکە	summit
خۆر	sun
ساماڵ	sunny
خۆرهەڵاتن	sunset
بەرز	super
باڵاتر	superior
سەرپەرشتیار	supervisor
زۆر	supper
دابینکردن	supply
پشتیوانی	support
پێشبینی	suppose
پێشبینیکراو	supposed
دڵنیا	sure
ڕووپۆش	surface
زیادکردن	surge
نەشتەرگەری	surgery
نازناو	surname
سوپرایس	surprise
سەرسووڕماو	surprised
دەوروبەر	surrounding
ڕووپێوی	survey
ڕزگاربوون	survive
گومانلێکراو	suspect
هەڵپەساردن	suspended
گوماناوی	suspicious
بەدرەوامی	sustainability
بەردەوام	sustainable
دەستکەوت	swag
قووتدان	swallow
جێگۆڕین	swap
ئارەقە	sweat
چاکەت	sweater
ماڵین	sweep
شیرین	sweet
ئازیز	sweetheart
ئاوسان	swell
ئاوسان	swelling
مەلە	swim
مەلەکردن	swimming
جوڵانە	swing
سویچ	switch
خەنجەر	sword
هێما	symbol
بەزەیی	sympathy
نیشانەکان	symptoms
سیستەم	system
خشتە	table
چارەسەرکردن	tackle
نیشانە	tag
کلک	tail
بردن	take
بردن	take away
بردراو	taken
فڕین	take off
قسەکردن	talk
بەرز	tall
بەلوعە	tap
کاسێت	tape
ئامانج	target
ئەرک	task
تام	taste
بەچێژ	tasty
فێرکرد	taught
چا	tea
فێرکردن	teach
مامۆستا	teacher
تیم	team
فرمێسک	tear
تێکدان	tears
گاڵتەپێکردن	tease
تەکنەلۆجیا	technology
ددان	teeth
میزاج	temper
پەرستگا	temple
کاتیى	temporary
دە	ten
کرێگرتە	tenant
نیاز	tend
تەندەر	tender
چڕ	tense
گرژی	tension
خێمە	tent
پێشبینیکراو	tentative
چەمک	term
مەرجەکان	terms
خراپ	terrible
جەرگبڕ	terrific
ناوچە	territory
تاقیکردنەوە	test
دەق	text
لە	than
سوپاس	thank
سوپاس	thanks
سوپاس	thank you
کە	that
ەکە	the
دزی	theft
ئەوان	them
خۆیان	themselves
گریمانە	theory
لەوێ	there
هەن	there are
بۆیە	therefore
ئەمانە	these
ئەوان	they
ئەوان	they are
ئەستوور	thick
دز	thief
ڕان	thigh
لاواز	thin
شت	thing
شتەکان	things
بیرکردنەوە	think
سێیەم	third
تێنوو	thirsty
سێزدە	thirteen
سی	thirty
ئەمە	this
گشتگیر	thorough
بەگشتی	thoroughly
ئەمانە	those
گەرچی	though
بیرۆکە	thought
بیرمەندانە	thoughtful
بیرۆکەکان	thoughts
هەزار	thousand
داو	thread
هەڕەشە	threat
سێ	three
لێوار	threshold
دڵخۆش	thrilled
کۆڵنەدان	thrive
گەروو	throat
لەڕێگەی	through
لەماوەی	throughout
هاوێشتن	throw
گەوارە	thunder
نیشانکردن	tick
هەڵچوون	tide
ڕێک	tidy
بۆیناغ	tie
پڵنگ	tiger
تووند	tight
تیگرینا	Tigrinya
کات	time
ماڵی	timid
بچووک	tiny
سەرنج	tip
سەرنج	tips
تایە	tire
ماندوو	tired
شانە	tissue
ناونیشان	title
بۆ	to
تۆست	toast
ئەمڕۆ	today
پێرەوکەر	toddler
بەیەکەوە	together
توالێت	toilet
لێبووردەیی	tolerance
لێبووردن	tolerate
تەماتە	tomato
بەیانی	tomorrow
زمان	tongue
ئەمشەو	tonight
هەروەها	too
بردی	took
ئامراز	tool
ئامرازەکان	tools
ددان	tooth
سەروو	top
بابەت	topic
تێکشکاند	torn
ئەشکەنجە	torture
کۆ	total
توند	tough
گەشت	tour
بەرەو	toward
بەرەو	towards
خاولی	towel
شار	town
ژەهراوی	toxic
شوێنپێ	trace
ڕێگا	track
بازرگانی	trade
نەریت	tradition
تەقلیدی	traditional
هاتوچۆ	traffic
شوێنەوار	trail
ڕاهێنان	train
ڕاهێنان	training
ڕووخسار	trait
تایبەتمەندی	traits
گواستنەوە	transfer
گواستنەوە	transition
وەرگێڕان	translate
ڕوون	transparent
گواستنەوە	transport
گواستنەوە	transportation
تەڵە	trap
خاشاک	trash
ترۆما	trauma
گەشتکردن	travel
سنی	tray
گەنجینە	treasure
مامەڵە	treat
چارەسەر	treatment
درەخت	tree
مەزن	tremendous
خواست	trend
تاقیکاری	trial
فێڵ	trick
تاقیکردەوە	tried
وورژاندن	trigger
بڕین	trim
گەشت	trip
کێشە	trouble
پانتۆڵ	trousers
بارهەڵگر	truck
ڕاست	true
قەد	trunk
متمانە	trust
ڕاستی	truth
هەوڵدان	try
چۆنگا	Tsonga
تیوب	tube
عەلەشیش	turkey
زەردەچەوە	turmeric
سووڕان	turn
کیسەڵ	turtle
دوازدە	twelve
بیست	twenty
توی	Twi
پێچان	twist
دوو	two
جۆر	type
نموونەیی	typical
ناشیرین	ugly
کۆتایی	ultimate
چەتر	umbrella
ناتوانێت	unable
مام	uncle
لەژێر	under
تێگەیشتن	understand
تێگەیشت	understood
بەداخەوە	unfortunately
یەکپۆشی	uniform
بێهاوتا	unique
یەکە	unit
زانکۆ	university
نەزانراو	unknown
مەگەر	unless
تا	until
نائاسایی	unusual
سەروو	up
نوێکردنەوە	update
بەرزکرنەوە	upgrade
بەگوێرەی	upon
بێزار	upset
شارستان	urban
هاندان	urge
لەناکاو	urgent
ئێمە	us
بەکارهێنان	use
بەکارهاتوو	used
بەسوود	useful
ئاسایی	usual
بەگشتی	usually
سوود	utility
پشوو	vacation
کوتان	vaccination
ڤاکسین	vaccine
بۆشایی	vacuum
ناڕوون	vague
ڕەوا	valid
دۆڵ	valley
بەهادار	valuable
بەها	value
هەمەچەشنی	variety
هەمەجۆر	various
هەمەچەشن	vary
گوڵدان	vase
زەبەلاح	vast
میوە	vegetable
سەوزەکان	vegetables
ئۆتۆمبێل	vehicle
فرۆشیار	vendor
ژەهر	venom
سەرکەش	venture
هۆڵ	venue
سەلماندن	verify
وەشان	version
ستوونی	vertical
زۆر	very
کەشتی	vessel
لەڕێگەی	via
کەش	vibe
کەرەستە	vibes
دڕندە	vicious
قوربانی	victim
ڤیدیۆ	video
دیمەن	view
گوند	village
چەپەڵ	villain
سرکە	vinegar
توندوتیژی	violence
تووندوتیژ	violent
گرنگ	viral
ڤیرچوەڵ	virtual
چاکە	virtue
دیدگا	vision
سەردان	visit
بینراو	visual
گرنگ	vital
ڕوون	vivid
وشە	vocabulary
دەنگ	voice
بەتاڵ	void
قەبارە	volume
خۆبەخش	volunteer
ڕشانەوە	vomit
لاواز	vulnerable
کرێ	wage
کرێ	wages
قەد	waist
گارسۆن	waiter
بەئاگا	wake
پیاسە	walk
پیاسەکردن	walking
دیوار	wall
جزدان	wallet
سووڕانەوە	wander
دەمەوێت	wanna
ویستن	want
ویستراو	wanted
جەنگ	war
کانتۆر	wardrobe
کۆگا	warehouse
گەرم	warm
جەنگاوەر	warrior
بوو	was
شوشتن	wash
بەفیڕۆدان	waste
سەیرکردن	watch
ئاو	water
شووتی	watermelon
شەپۆڵ	wave
رێگا	way
ئێمە	we
لاواز	weak
لاوازی	weakness
سامان	wealth
دەوڵەمەند	wealthy
پۆشین	wear
ئێمە	we are
پۆشین	wearing
کەشوهەوا	weather
دەتوانین	we can
زەماوەند	wedding
هەوەس	weed
هەفتە	week
کێش	weight
سەیر	weird
بەخێربێیت	welcome
خۆشگوزەرانی	welfare
باش	Well
ئافەرین	well done
چوو	went
خۆرئاوا	west
تەڕ	wet
نەهەنگ	whale
چی	what
چیە	what is
گەنم	wheat
تایە	wheel
کەی	when
لەکوێ	where
کە	whereas
کامە	whether
کامە	which
لەکاتێکدا	while
چرپە	whisper
فیکە	whistle
سپی	white
کێ	who
کە	who is
هەموو	whole
کێ	whom
بۆچی	why
شەڕانگێز	wicked
فراوان	wide
بێوەژن	widow
پانی	width
هاوسەر	wife
کێوی	wild
ویست	will
ویست	willing
بردنەوە	win
با	wind
پەنجەرە	window
با	windy
مەی	wine
زستان	winter
سڕینەوە	wipe
وایەر	wire
ژیری	wisdom
دانا	wise
خواست	wish
جادووگەر	witch
لەگەڵ	with
کشانەوە	withdraw
کشانەوە	withdrawal
لەناو	within
بەبێ	without
شایەت	witness
ژیر	witty
گورگ	wolf
ئافرەت	woman
ئافرەتان	women
بردیەوە	won
پرسیارکردن	wonder
سەمەرە	wonderful
نە	won't
دار	wood
خوری	wool
ووشە	word
وشەکان	words
کار	work
کارکردن	working
جیهان	world
کرم	worm
پۆشی	worn
نیگەران	worried
نیگەرانی	worry
خراپتر	worse
پەرستن	worship
خراپترین	worst
شایستە	worth
شایەنیەتی	worth it
شایستە	worthy
ویستن	would
برین	wound
وای	Wow
پێچانەوە	wrap
تووڕەیی	wrath
مەچەک	wrist
نووسین	write
نووسین	writing
نووسراو	written
هەڵە	wrong
نووسی	wrote
گۆڕەپان	yard
باوێشک	yawn
بەڵێ	Yeah
ساڵ	year
ساڵ	years
خومرە	yeast
زەرد	yellow
بەڵێ	Yes
دوێنێ	yesterday
هێشتا	yet
بەرهەم	yield
تۆ	you
تۆ	you are
سەرچاوان	you are welcome
دەتوانیت	you can
گەنج	young
سەرچاوان	you're welcome
سەرچاو	you’re welcome
خۆت	yourself
سەرچاو	your welcome
گەنجی	youth
بەچێژ	yummy
سفر	zero
بە ئاسانی	easily
نا ئاسایی	extraordinary
گەشتی ئاسمانی	flight
بێ ئاگا	unconscious
گەرووی ئاوساو	sore throat
بێ ئەقڵ	idiot
بێ ئەقڵ	silly
تەنها ئەنجامی بدە	just do it
کەم ئەندام	disabled
بە ئەنقەست	deliberate
هی ئەوان	their
تا ئەو کاتەی	as long as
لەگەڵ ئەوەش	nevertheless
بۆ ئەوەی	in order to
وەرە ئێرە	come here
تا ئێستا	so far
لەکاتی ئێستادا	currently
لەنێوان ئێمە	among us
هی ئێمە	our
پەیامی ئێمە: بۆ ڕێکخستنی زانیاری جیهان و وا بکەین بە شێوەی جیهانی بکرێتەوە و سوودبەخش بێت.	Our mission: to organize the world's information and make it universally accessible and useful.
پەیامی ئێمە: وا بکەین هەموو کەسێک، لە هەموو شوێنێک لە جیهان بگات و بە زمانە جیاوازەکان بۆچوونی خۆیان دەربڕن.	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
نانی ئێوارە	dinner
ئێوارە باش	good evening
بەیانی باش	good morning
بەیانی باش ئازیزەکەم	good morning my love
بەهوای باشترین	all the best
هیوای باشترینت بۆ دەخوازم	wish you all the best
بە باش زانین	prefer
من باشم	I am fine
من باشم	I'm fine
من باشم	I'm good
ئەمە باشە	that's good
زۆر باشە	very good
تەمەنی باڵغ بوون	puberty
بێ باوک	orphan
من باوکی خۆم خۆش دەوێت	I love my father
لە باوەشکردن	hug
برا بچووکەکەی خۆم خۆش دەوێت	I love my little brother
خوشکە بچووکەکەی خۆم خۆش دەوێت	I love my little sister
بڕۆ بخەوە	go to bed
ڕێگە بدە	let
زڕ برا	brother in law
ئەمە برتیە لە	that is
بەسەری برد	spent
ئەمە بریتیە لە	this is
وا بزانم	I think
پەلە بکە	hurry up
پێم بڵێ	tell me
لە بنەڕەتدا	basically
لێرە بنووسە	Write here
ئاگادار بە	be careful
بەردەوام بە	carry on
بەردەوام بە	go ahead
چاوەڕوان بە	hold on
ببێت بە	to be
چاوەڕوان بە	wait
پلە بە پلە	gradually
بە بەخت	lucky
بەهیوای بەختێکی باش	best of luck
بەهیوای بەختێکی باش	good luck
زیان بەخش	harmful
خۆ بەدەستەوەدان	surrender
گەڕان بەدوای	pursuit
خۆ بەدوورگرتن	refrain
گۆشتی بەراز	pork
لە بەردەم	in front of
لووت بەرز	arrogant
خواست بەرەو	tendency
جێگەی بەزەیی	pathetic
کڕیاری بەڕێز	Dear Customer
باوکی بەڕێز	Dear Parents
تیمی بەڕێز	Dear Team
قوتابیە بەڕێزەکان	Dear students
پشت بەستن	depend
کات بەسەربردن	leisure
گەشتکردن بە کەشتی	sailing
بەردەوام بە لە باشی	keep it up
دووایین بەڵام کەمترین نا	last but not least
خۆشحاڵم بە ناسینت	nice to meet you
گران بەها	expensive
نانی بەیانی	breakfast
هەی بوو	had
پابەند بوون	abide
سەرسام بوون	admire
ڕازی بوون	agree
ئامادە بوون	attend
لەدایک بوون	born
زۆر بوون	breed
پابەند بوون	commitment
پابەند بوون	compliance
پابەند بوون	comply
بەردەوام بوون	continue
بۆگەن بوون	decay
وون بوون	disappear
نیشتەجێ بوون	dwell
لێخۆش بوون	forgive
زاڵ بوون	overcome
قەرزار بوون	owe
پیس بوون	pollution
بەردەوام بوون	proceed
ڕازی بوون	satisfy
نوقم بوون	sink
برسی بوون	starving
نزیک بوونەوە	approach
بەرز بوونەوە	arise
چاک بوونەوە	cure
ڕووبەڕوو بوونەوە	encounter
دووبارە بوونەوە	frequency
چاک بوونەوە	heal
چاک بوونەوە	healing
خوار بوونەوە	lean
چاک بوونەوە	recover
چاک بوونەوە	recovery
بەرز بوونەوە	rise
خل بوونەوە	roll
بەرز بوونەوە	spike
بڵاو بوونەوە	spread
دەگەڕێتەوە بۆ	belong
چوون بۆ	going to
سوپاس بۆ ئارامگرتنت لەو کاتەی سەیری بارەکەت دەکەین	Thank you for your patience while we investigate shipment
سوپاس بۆ بەکارهێنانی ئەپلیکەیشنەکە	Thanks for using our app
زۆر بیرت دەکەم	I miss you so much
زۆر بیرکردنەوە	overthinking
شوێن بینین	sightseeing
هەرچۆنێک بێت	anyway
هەرچۆنێک بێت	anyways
هەرچۆنێک بێت	however
هەرچیەک بێت	whatever
گۆرانی بێژ	singer
بەڵێ بێگومان	yes of course
بە پاراوی	fluently
بێچووە پشیلە	kitten
ئامازی پەیوەندی	preposition
کریسمست پیرۆز بێت	merry christmas
تۆپی پێ	football
تۆپی پێ	soccer
پەنجەی پێ	toes
پشت پێبەستن	rely
خۆراک پێدان	feed
درێژە پێدان	sustain
دان پێدانان	acknowledge
دان پێدانان	admit
دان پێدانان	confess
حەزی پێدەکەم	I like
بەرەو پێش چوون	progress
بۆ پێشەوە	forward
کورسی پێشەوە	stall
دەستی پێکرد	began
ئاماژەی پێکرد	mentioned
دەستی پێکرد	started
گاڵتە پێکردن	bait
گاڵتە پێکردن	contempt
ئاماژە پێکردن	indicate
ئاماژە پێکردن	mention
گاڵتە پێکردن	mock
پەیوەندیم پێوە بکە	call me
مامۆستای تایبەت	tutor
بە تایبەتی	especially
دانەیەکی تر	another
چی تر	anymore
ئی تر	else
ئی تر	other
وەرزی ترێ لێکردنەوە	vintage
بە تەمەنتر	elder
بە تەنها	merely
بە تەواوی	exactly
بە توانا	capable
بە تووندی	extremely
و تۆ	and you
ئایا تۆ	are you
ئایا تۆ	do you
بۆ تۆ	for you
هی تۆ	your
دەمەوێت تۆ ببینم	I want to see you
هەروەها تۆش	you too
ئایا تۆ لەوێی	are you there
منیش تۆم خۆش دەوێت	I love you too
ئایا تۆ منت خۆش دەوێت	do you love me
من تێدەگەم	I understand
من تێناگەم	I do not understand
هیچی تێناگەم	My hovercraft is full of eels
چەند جار	how often
هەندێک جار	sometimes
دوو جار	twice
هەرگیز جارێکی تر	hardly ever
بە جددی	seriously
تۆ جوانیت	you are beautiful
لە جیاتی	instead of
بەهیوای چاک بوونەوە	get well soon
خود چاکردنەوە	self healing
تەمەنت چەند ساڵە	how old are you
بەهیوای چەندین یادکردنەوەی خۆشی ڕۆژەکە	many many happy returns of the day
بەرەوپێش چوون	advance
شەوەکەت چۆن بەسەر برد	how was your night
ڕۆژەکەت چۆن بوو	how was your day
سڵاو چۆنی	hi how are you
سڵاو چۆنیت	hello how are you
تۆ چۆنیت	hello how are you doing
ئەمڕۆ چۆنیت	how are you doing today
ئێستا چی دەکەیت	what are you doing now
ئێستا چی دەکەیت	what are you doing right now
مەبەستت چیە	what do you mean
ئەمە چیە	what is this
ناوت چیە	what is your name
ناوت چیە	what's your name
سۆدی چێشت لێنان	baking soda
زۆر حەز لە شیرینی دەکات	sweet tooth
شازادە خاتوون	princess
ڕەهنی خانوبەرە	mortgage
مامەڵەی خراپ	abuse
بەهیوای خەونی خۆش	sweet dreams
چیرۆکی خەیاڵی	fiction
ئارەزووی خواردن	appetite
ژەمە خواردن	meal
سوێند خواردن	swear
نانت خواردووە	have you eaten
ئاوات خواز	ambitious
ئاشتی خوازانە	peaceful
زڕ خوشک	sister in law
ئاگاداری خۆت بە	take care
وێنەی خۆت بۆ من بنێرە	send me your picture
درەوشانەوەی خۆر	sunshine
ڕجیمی خۆراک	diet
بە خۆشحاڵیەوە	my pleasure
تۆم خۆش دەوێت	I like you
تۆم خۆش دەوێت	I love you
تۆم خۆش دەوێت	love you
من خۆشمدەوێت	I love
دایکی خۆم خۆش دەوێت	I love my mother
لەکاتی خۆی	punctual
جووڵەی خێرا	dash
جووڵەی خێرا	jerk
ژەمی خێرا	snack
ئەنجامی دا	committed
ئەنجامی دا	did
پارەی دا	paid
قوتی دا	swollen
دەمت داخە	shut up
ئەنجام دان	commit
پەیمان دان	pledge
پارە دانان	deposit
پزیشکی ددان	dentist
بە دڵناییەوە	certainly
وای دەبینم	i guess
دواتر دەتبینمەوە	see you later
بەیانی دەتبینمەوە	see you tomorrow
لەوە دەچێت	seem
لەوە دەچێت	seems
ڕوو دەدات	occurs
ئەنجامی دەدەم	I do
چی دەربارەی تۆ	how about you
چی دەربارەی تۆ	what about you
لەڕادە دەرچوون	excess
چوونە دەرەوە	hang out
لە دەرەوە	outside
لە دەرەوەی وڵات	abroad
کەنار دەریا	beach
گەشتی دەریایی	cruise
تۆ دەزانیت	You know
بیرت دەکەم	I miss you
بیرت دەکەم	miss you
چی دەکەیت	what are you doing
چی دەکەیت	what do you do
لەخۆ دەگرێت	contains
بە دەگمەن	rarely
ئاوازی دەنگ	pitch
تۆم دەوێت	I want you
چیت دەوێت	what do you want
خۆش دوان	courtesy
بەم دواییانە	lately
بەم دواییانە	recent
بەم دواییانە	recently
کانونی دووەم	January
تشرینی دووەم	november
باش دیارە	good looking
بەهیوای دیدار	see you
بەهیوای دیدار لە کاتێکی زوو	see you soon
پێک دێت	consist
ڕەنگ زەرد	pale
کولەکەی زەرد	pumpkin
بەم زووانە دەگات	coming soon
تۆ زۆر جوانیت	you are so beautiful
تۆم زۆر خۆش دەوێت	I love you so much
ماوەیەکی زۆرە تۆم نەبینیوە	long time no see
بە ڕاست	by the way
بە ڕاستی	oh really
لە ڕاستیدا	actually
لە ڕاستیدا	indeed
لە ڕاستیدا	In fact
بە ڕاشکاوانە	honestly
سەرنج ڕاکێش	attractive
سەرنج ڕاکێش	exciting
سەرنج ڕاکێش	fascinating
سەرنج ڕاکێش	interesting
سەرنج ڕاکێش	stunning
سەرنج ڕاکێشان	attract
سەرنج ڕاکێشان	attraction
سەرنج ڕاکێشان	impress
خۆ ڕزگارکردن	rid
خودا ڕەحمت پێ بکات	god bless you
کەلە ڕەق	stubborn
فرە ڕەهەند	versatile
زۆر ڕەو	talkative
بە ڕواڵەت	apparently
چی ڕوویدا	what happened
لەم ڕۆژگارەدا	nowadays
بەهیوای ڕۆژێکی خۆش	good day
بەهیوای ڕۆژێکی شاد	have a good day
بەهیوای ڕۆژێکی شاد	have a nice day
لەگەڵ ڕێز	best regards
بە ڕێزەوە	kindly
بە ژاوەژاو	noisy
لە ژێرەوە	underneath
وشکە ساڵی	drought
بە سەختی	hardly
هێزی سەربازی	army
لە سەر بنەمای	based
ئایا سەرقاڵیت	are you busy
زۆر سەرنج ڕاکێش	charming
مەبەستی سەرەکی	theme
بێ سەروبەری	chaos
بە سەلامەتی بمێنەوە	stay safe
گەشە سەندن	evolve
زۆر سوپاس	thank you so much
زۆر سوپاس	thank you very much
بێ سوود	useless
شەو شاد	good night
شەو شاد	goodnight
ڕوحی شاد بێت	rest in peace
دەرەوەی شار	countryside
هەمان شت	Same here
هەر شتێک	anything
هەموو شتێک	everything
بێ شەرم	sassy
دوو شەمە	monday
یەک شەمە	sunday
پێنج شەمە	Thursday
سێ شەمە	Tuesday
چوار شەمە	Wednesday
نیوە شەو	midnight
بێ شومار	abundant
کچی شوونەکردوو	virgin
بەرهەمی شیری	dairy
بەهەمان شێوە	likewise
بەم شێوەیە	thus
بێ قسە	speechless
زۆر قەشەنگ	so cute
دەموچاو قەڵەو	chubby
ئەو کات	then
گشت کاتێک	always
هەر کاتێک	whenever
لە کاتێکدا	meanwhile
بەهیوای کاتێکی خۆش	have fun
چ کارێک دەکەیت	what do you do for a living
چ کارێک دەکەیت	what is your job
ئازاد کرا	released
تاوانباری کرد	accused
پرسیاری کرد	asked
ڕازی کرد	convinced
وەفاتی کرد	deceased
نکۆڵی کرد	denied
هەستی کرد	felt
تەواو کرد	finished
ڕای کرد	flee
لەبیری کرد	forgot
زیادی کرد	increased
سەرکردایەتی کرد	led
تێبینی کرد	noticed
ئامادەی کرد	prepared
دابینی کرد	provided
ڕای کرد	ran
پێشنیاری کرد	recommended
ئاشکرای کرد	revealed
هەموار کردن	amend
پێشبینی کردن	anticipate
دیاری کردن	assign
چاودێری کردن	caring
پەیوەندی کردن	communicate
بەشداری کردن	contribution
بەرگری کردن	defend
نکۆڵی کردن	deny
تێبینی کردن	detect
دیاری کردن	determination
دیاری کردن	determine
نوقم کردن	dip
ناچالاک کردن	disable
چالاک کردن	enable
بەشداری کردن	engage
بەشداری کردن	engagement
کارلێک کردن	interact
دەستکاری کردن	manipulate
چاودێری کردن	monitor
دانووستان کردن	negotiate
تێبینی کردن	observe
بەشداری کردن	participate
یاری کردن	playing
پێشبینی کردن	predict
ئامادە کردن	prepare
پێشکەش کردن	presentation
ڕێگری کردن	prevent
بەرگری کردن	resist
بەرگری کردن	resistance
ئاشکرا کردن	reveal
سەرزەنشت کردن	scold
ئامادە کردن	set up
پێشکەش کردن	submission
چاودێری کردن	surveillance
چاوەڕوان کردن	waiting
وەرزش کردن	work out
هاوار کردن	yell
کەم کردنەوە	decrease
بڵاو کردنەوە	deploy
ئاگادار کردنەوە	inform
قەرەبوو کردنەوە	redeem
قەرەبوو کردنەوە	refund
پێچەوانە کردنەوە	reverse
یەکلا کردنەوە	settle
بچووک کردنەوە	shrink
ئاگادار کردنەوە	warn
ئاگادار کردنەوە	warning
پڕی کردەوە	filled
بەرز کردەوە	raised
ڕەتی کردەوە	refused
هاوسەرگیری کردوو	married
هاوسەرگیریت کردووە یان سەڵتی	are you married or single
ئایس کرێم	ice cream
تاکە کەسی	individual
هەر کەسێک	anyone
هەموو کەسێک	everybody
هەموو کەسێک	everyone
هیچ کەسێک	nobody
پشتی کەشتی	deck
پێشبینی کەشوهەوا	forecast
لیستی کەلوپەل	inventory
بێ کەڵک	junk
بە کەم زانین	underrated
سەرئاو کەوتن	float
سەرشاخ کەوتن	hike
سەرشاخ کەوتن	hiking
پاڵ کەوتن	lay
لە کوێ	where is
لە کوێ دەژیت	where do you live
خەڵکی کوێی	where are you from
لە کوێیت	where are you
ناوی کۆتایی	last name
لە کۆتاییدا	eventually
پشووی کۆتایی هەفتە	weekend
هەرگیز کۆڵ مەدە	never give up
هی کێ	whose
وێنە کێشان	drawing
تۆ کێی	who are you
ئەمە کێیە	who is this
بەرگەی گرت	bore
بەرگە گرتن	endeavor
بەرگە گرتن	endurance
بەرگە گرتن	endure
بەکرێ گرتن	hire
میرات گرتن	inheritance
شوێن گرتنەوە	replace
هەنگاوی گرنگ	milestone
پلەی گەرمی	temperature
بەهیوای گەشتێکی سەلامەت	safe flight
پەنجەی گەورە	thumb
برا گەورەکەی خۆم خۆش دەوێت	I love my big brother
خوشکە گەورەکەی خۆم خۆش دەوێت	I love my big sister
وەرگێڕانی گوگڵ	Google Translate
نرخ گونجاو	affordable
بێ گوێدانە	regardless
پارچە گۆشت	steak
هاوڕێی گیان	soulmate
سڵاو گیانە	hello dear
چۆنی گیانە	how are you today
باشە گیانە	okay baby
باشە گیانە	okay dear
باشە گیانە	okay honey
باشە گیانە	ok dear
باشە گیانە	ok honey
باشە گیانە	ok my love
باشە گیانە	yes baby
بەڵی گیانە	yes dear
بەڵێ گیانە	yes honey
بەڵی گیانە	yes my love
باشە گیانەکەم	okay my love
ئاهەنگ گێڕان	celebrate
توێکڵ لابردن	peel
کاریگەری لاوەکی	leverage
بە لایەنی کەم	at least
زۆرێک لە	a lot of
بریتین لە	are
جگە لە	except
بریتیە لە	is
بریتیە لە	it is
دەچێت لە	resemble
جلت لەبەر بکە	get dressed
من لە تۆ ناگەم	I don't understand you
ڕۆژی لەدایک بوون	birthday
یادی لەدایک بوونت پیرۆز بێت	happy birthday
ڕۆژی لەدایک بوونت پیرۆز بێت	happy birthday to you
زەمین لەرزە	earthquake
دەست لە کار کێشانەوە	resign
ئێستا لە کوێی	where are you now
هێشتا لەوێیت؟	Are you still there?
داوای لێبووردن دەکەم	I'm sorry
داوای لێبووردن کردن	apologize
دەست لێدان	touch
من لێرەم	I'm here
هەڕەشە لێکراو	threaten
ڕێگری لێناکرێت	inevitable
چێشت لێنان	cook
چێشت لێنان	cooking
کەلوپەلی ماڵەوە	furniture
ئەرکی ماڵەوە	homework
ئاژەڵی ماڵی	pet
گۆشتی مانگا	beef
شوێنی مانەوە	accommodation
خاوەن متمانە	confident
جێ متمانە	reliable
گۆشتی مرۆڤ	flesh
بەزۆرە ملێ	compulsory
هی من	mine
هی من	my
هاوڕێی من	my friend
خۆشەویستی من	my love
هەروەها منیش	me too
نیگەران مەبە	Don't worry
تێناگەم مەبەستت چیە	I don't understand what you mean
ژێر مەترسی	endangered
گوێ مەدێ	never mind
گوێ مەدێ	nevermind
بێ مێشک	dope
بنیاتی نا	built
ئێستا نا	Not now
هێشتا نا	not yet
بۆچی نا	why not
بیرۆکە ناڕوونەکان نەمان	colorless green ideas slept furiously
بەلاوە نان	dismiss
خواردنی نانی بەیانی	have breakfast
چوونە ناو	enter
بۆ ناو	into
چوونە ناو ئاو	dive
خستنە ناو ئاو	soak
من ناوم	my name is
لە نزیک	nearby
بە نزیکەیی	roughly
بۆ نموونە	For example
بۆ نموونە	for instance
پارەی نەختی	cash
کۆڵ نەدان	strive
بەڵگە نەویست	intuition
ژووری نووستن	bedroom
