abandoned	ފަޅު
I miss you	އަހަރެން ތިބާ މަތިން ހަނދާން ވޭ
immediately	ވަގުތުން
immediate	ވަގުތުން
immense	ވަރަށް
impact	އިމްޕެކްޓް
impatient	ކެތްނުކުރެވޭ
implement	ތަންފީޒުކުރުން
important	މުހިންމު
import	އެތެރެކުރުން
impose	އިމްޕޯސް
impossible	ނުކުރެވޭ
impression	އިމްޕްރެޝަން
impressive	ވަރަށް ފުރިހަމަ
impress	ގަޔާވުން
improvement	ކުރިއެރުން
improve	ކުރިއަށްވުރެ ރަނގަޅު ކުރުން
I'm sorry	ސޮރީ
I'm	އަހަންނަކީ
I’m	އަހަންނަކީ
in addition	އޭގެ އިތުރުން
inappropriate	މުނާސަބުނޫން
incentive	ބޯނަސް
incident	އިންސިޑެންޓް
include	ހިމެނުން
including	ހިމެނޭގޮތަށް
income	ޢަމްދަނީ
inconvenience	އުނދަގޫ
increased	އިތުރުވެފަ
increase	އިތުރުކުރުން
incredible	ވަރަށް ފުރިހަމަ
indeed	ހަމަ ޔަޤީނުންވެސް
independent	މިނިވަން
India	އިންޑިއާ
indicate	ދައްކުވައިދިނުން
indigenous	ޘަޤާފީގޮތުން ވާރުތަވެފައިވާ
individual	ވަކި ފަރުދު
industry	އިންޑަސްޓްރީ
inevitable	ނުވެނުދާނެ
In fact	ހަމަ އެއާއެކު
infant	ތުއްތު ކުއްޖާ
infection	އިންފެކްޝަން
infinity	ނިމުމެއްނެތް
inflammation	ދުޅަވުން
inflation	ތަކެތީގެ އަގުބޮޑުވުން
influence	ނުފޫޒު
information	މަޢުލޫމާތު
inform	އެންގުން
in front of	ކުރިމަތީގައި
ingredients	ތަކެތި
inheritance	ވާރުތަމުދާ
initial	ފުރަތަމަ
initiative	އިސްނެގުން
injured	އަނިޔާވެފައި
injury	އަނިޔާ
innocent	ކުށެއްނެތް
innovation	އީޖާދު
in order to	ކުރުމަށްޓަކައި
inquiry	މަޢުލާމާތަށް އެދުން
insane	މޮޔަ
insect	ސޫފި
insecure	އިންސެކުޔަރ
insert	އިންސަރޓް
inside	އެތެރެ
insight	އިންސައިޓް
insist	ކުރުނުކުރުން
insomnia	ނިދިނައުން
inspiration	އިންސްޕިރޭޝަން
inspire	އިންސްޕަޔަރ
install	އެޅުން
instance	މިސާލަކަށް
instant	ވަގުތުން ކުރެވޭ
instead of	ބަދަލުގައި
instead	ބަދަލުގައި
instructions	އިރުޝާދު
instrument	އިންސްޓްރޫމަންޓް
insult	އިހާނެތިބަސް ބުނުން
insurance	އިންޝުރެންސް
intact	އެކުގައި
integrity	ނަޒާހަތްތެރިކަން
intellectual	ބުއްދީގެ ގޮތުން
intelligence	ތޫނުފިލިކަން
intelligent	ތޫނުފިލި
intended	އުންމީދުކުރީ
intend	އުންމީދުކުރުން
intense	އަސަރުގަދަ
intention	ނިޔަތް
interaction	މުޢާމަލާތު
interact	މުޢާމަލާތުކުރުން
interested	ޝައުގުވެރިވެފައި
interesting	ޝައުޤުވެރި
interest	ޝަޢުޤު
interfere	ނުފޫޒުފޯރުވުން
intermediate	އިންޓަރމީޑިއޭޓް
internal	އެތެރޭގެ
international	ބައިނަލްއަޤްވާމީ
internship	އިންޓަރންޝިޕް
interpreter	ތަރުޖަމާނު
interpret	ބަސްދޭހަ
interrupt	މެދުކެނޑުން
interview	އިންޓަރވިއު
intimate	އިންޓިމެޓް
into	ތެރެއަށް
introduce	ތަޢާރަފްކުރުން
introduction	ތަޢާރަފު
introvert	އިންޓްރޮވަރޓް
intuition	ހިތްބުނާގޮތް
invalid	ބާޠިލް
inventory	އިންވެންޓްރީ
invent	އީޖާދު
investigate	ތަޙުޤީޤުކުރުން
invest	އިންވެސްޓު
invitation	ދަޢުވަތު
invite	ދަޢުވަތުދިނުން
invoice	ބިލް
involved	މަޝްޢޫލުވެފައިވުން
involve	ހިމެނުން
in	އެތެރެ
iron	ދަގަނޑު
I see	އަހަންނަށް ފެނޭ
island	ރަށް
isolated	އެކަހެރިވެފައި
issues	މައްސަލަތައް
issue	މައްސަލަ
is	އަކީ
items	ތަކެތި
item	އައިޓަމް
I think	އަހަންނަށް ހީވަނީ
it is	އެއީ
It's okay	އެންމެ ރަނގަޅު
it's ok	އެ އޯކޭ
it's	އެއީ
its	އެއީ
it was	އެއީ
it	އޭތި
I understand	އަހަންނަށް ފަހުމް ވޭ
I want to see you	އަހަރެން ތިބާ ދެކިލަން ބޭނުން
I want you	އަހަރެން ތިބާ ބޭނުން
I want	އަހަރެން ބޭނުން
I was	އަހަރެން އުޅުނިން
I will	އަހަރެން ކުރާނަން
I would be	އަހަރެން ވާނެ
I	އަހަރެން
jacket	ޖެކެޓް
jail	ޖަލު
January	ޖަނަވަރީ
jar	ޖާރ
jaw	ދަތްދޮޅި
jealous	ޙަސަދަވެރި
jerk	ތާކުންތާކުނުޖެހޭ
jewelry	ގަހަނާ
job	ވަޒީފާ
jogging	ޖޮގްކުރުން
joint	ޖޮއިންޓް
join	ޖޮއިން
joke	ޖޯކު
journalist	ނޫސްވެރިން
journey	ދަތުރު
joy	އުފާވެރިކަން
judge	ގާޟީ
juice	ޖޫސް
july	ޖުލައި
jump	ފުންމުން
june	ޖޫން
junk	ޖަންކް
just do it	ދެން އެކަން ކޮށްލާ
justice	އިންސާފު
justify	ބަޔާންކޮށްދިނުން
just	ހަމަ
Kalaallisut	ްކަލާލިސަޓ
keen	ޝައުޤުވެރި
keep it up	ތިގޮތުގައި ކުރިއަށް ގެންދޭ
keep	ބެހެއްޓުން
kept	ބާއްވައިފި
kettle	ކުރާ
key	ތަޅުދަނޑި
kick	ޖެހުން
kidding	ސަމާސާކޮށްލުން
kidney	ކިޑްނީ
kids	ކުދިން
kid	ކުއްޖާ
kill	މެރުން
kinda	ހީވާގޮތުން
kindly	ހިތްހެޔޮކަމާއެކު
kindness	އޯގާތެރިކަން
kind	ހިތްހެޔޮ
king	ރަސްގެފާނު
kiss	ބޮސްދިނުން
kitchen	ބަދިގެ
kite	ގުޑި
kitten	ކުޑަބުލާ
knee	ކަކޫ
knew	އެނގުން
knife	ވަޅި
knight	ނައިޓް
knowledge	ޢިލްމު
known	އެނގިފައިވާ
know	އެނގުން
Konkani	ކެންގާނީ
Krio	ކްެރިއޯ
label	ލޭބަލް
labor	މަސައްކަތު މީހުން
labour	މަސައްކަތުމީހުން
lack	މަދުވުން
ladder	ހަރުގަނޑު
lady	އަންހެނާ
laid	ލެއިޑް
lake	ފެންގަނޑު
lamb	ކަންބަޅި
lame	ތާކުންތާކު ނުޖެހޭ
lamp	ބޮކި
landscape	ލޭންޑްސްކޭޕް
land	ބިން
language	ބަސް
lap	އުނގު
large	ވަރަށް ބޮޑު
last but not least	ފަހު ކަމަކަށް
last name	ފަހު ނަން
last	އެންމެ ފަހު
lately	ފަހަކަށް އައިސް
later	ފަހުން
latest	އެންމެފަހުގެ
late	ލަހުން
latter	ފަހުން
laughing	ހުނުން
laughter	ހިނިތުންވުން
laugh	ހުނުން
launch	ލޯންޗު
laundry	ހެދުން ދޮތުން
lawn	ލޯން
lawyer	ވަކީލުން
law	ޤާނޫނު
layer	ލޭޔަރ
layout	ލޭއައުޓް
lay	އޮތުން
lazy	ކަންނެތް
leader	ލީޑަރު
lead	އިސްނެގުން
leaf	ފަތް
leak	ލީކުވުން
lean	ލީން
leap	ލީޕް
learning	އުގެނުން
learn	ދަސްކުރުން
lease	ކުއްޔަށް
least	އެންމެ ކުޑަމިނުން
leather	ލެދަރ
leaves	ފަތްތައް
leave	ދިއުން
led	ލެޑް
left	ވާތް
legacy	ލެގަސީ
legal	ޝަރުޢީ
legend	ލެޖެންޑް
legit	ބަލައިގަންނަ
leg	ފައި
leisure	އަރާމުކުރާ ވަގުތު
lend	ލެންޑް
length	ދިގުމިން
lesson	ފިލާވަޅު
less	މަދުން
letter	ސިޓީ
lettuce	ލެޓިއުސް
level	ލެވަލް
leverage	ލެވަރެޖް
liability	ޒިންމާ ނަގަންޖެހޭ  ކަމެއް
library	ކުތުބުޚާނާ
lick	ދޫލުން
lies	ދޮގުތައް
lie	ދޮގު
life	ދިރިއުޅުން
lift	އުފުލުން
lightning	ވިދުން
light	އަލި
likely	ހީވާގޮތުން
likewise	ހަމަ އެގޮތަށް
like	ކަހަލަ
line	ލައިން
Lingala	ލިންގާލާ
link	ލިންކް
lion	ސިންގާ
liquid	ދިޔާތަކެތި
listening	އަޑުއެހުން
listen	އަޑުއެހުން
list	ލިސްޓް
literally	ޙަޤީޤަތުގައި
literature	އަދަބީ
litter	ކުނިއެޅުން
little	ކުޑަ
liver	މޭގަނޑު
lives	ދިރިއުޅުން
live	ދިރިއުޅުން
living room	ލިވިންގ ރޫމް
living	ދިރިއުޅުން
lizard	ލިޒާޑް
load	ލޯޑް
loaf	ލޯފް
loan	ލޯން
local	ލޯކަލް
location	ސަރަހައްދު
lockdown	ފުރަބަންދު
lock	ތަޅު
log	ވަކަރު ބުރި
lol	ލޮލް
lonely	އެކަނިވެރި
long time no see	ނުފެންނަތާ ވަރަށް ދުވަސްވެއްޖެ
long	ދިގު
look	ބެލުން
loop	ލޫޕް
loose	ގެއްލުނު
lord	ﷲ
lose	ގެއްލުން
loss	ގެއްލުން
lost	ގެއްލުން
lot	ތަން
loud	އަޑުގަދަ
lounge	ލޯންޖް
lovely	ލޮބުވެތި
love you	ތިބާދެކެ ލޯބިވޭ
love	ލޯބި
lower	ތިރިކުރުން
low	ދަށް
loyalty	އިޚްލާޞްތެރި
loyal	ވަފާތެރި
lucky	ނަސީބުގަދަ
luck	ނަސީބު
Luganda	ލުގެންޑާ
luggage	ލަގެޖް
lump	ލަމްޕް
lunch	މެންދުރު ކެއުން
lungs	ފުއްޕާމޭ
luxury	މޮޅެތި
lying	ދޮގުހެދުން
machine	މެޝިން
madam	މެޑަމް
made	ހެދުން
mad	މޮޔަ
magazine	މެގަޒިން
magnificent	މަތިވެރި
maid	ގޭގައި ގެންގުޅޭ ކުދިން
maintain	ދެމެހެއްޓުން
maintenance	ބެލެއްޓުން
main	މައިގަނޑު
Maithili	މައިތިލީ
majority	ގިނަ މީހުން
major	މައިގަނޑު
make up	މޭކަޕް
make	ހެދުން
male	ފިރިހެން
mall	މޯލް
management	މެނޭޖްމަންޓް
manager	މެނޭޖަރު
manage	ބެލެހެއްޓުން
mandatory	މަޖުބޫރު
manifest	މެނިފެސްޓް
manipulate	މެނިޕިއުލޭޓް ކުރުން
manner	އަޚްލާޤު
manual	މެނުއަލް
many many happy returns of the day	ދުވަހުގެ ހެޔޮ ތަހުނިޔާ އަދާކުރަން
many	ބައިވަރު
man	ފިރިހެނާ
march	މާޗް
margin	މާޖިން
market	މާރުކޭޓު
marriage	ކައިވެނި
married	މީހަކާ އިނދެގެން
mask	މާސްކު
massive	ވަރަށް ބައިވަރު
mass	ބައިވަރު
master	ބޮޑުމީހާ
match	މެޗް
material	ތަކެތި
mate	އެކުވެރިޔާ
math	ހިސާބު
matter	މައްސަލަ
maturity	ވިސްނުން
maybe	ފަހަރެއްގަ
may	ފަހަރެއްގަ
meal	ކެއުން
meaning	މާނަ
means	ސަބަބު
meant	މާނަކުރީ
meanwhile	މިގޮތަށް ކަންތައް އޮތްއިރު
mean	ގޯސް
measures	މިންގަޑުތައް
measure	މިނުން
meat	މަސް
medical	މެޑިކަލް
medicine	ބޭސް
meditation	މެޑިޓޭޝަން
medium	މީޑިއަމް
meeting	ބައްދަލުވުން
meet	ބައްދަލުކުރުން
Meiteilon	މައިޓީލޯން
melt	ވިރުން
memories	ހަނދާންތައް
memory	ހަނދާން
mental	ބޯ ހަމަނުޖެހުން
mentioned	ނަންގަތުން
mention	ނަންގަތުން
mentor	މެންޓަރ
merchant	ވިޔަފާރިވެރިޔާ
mercy	ރަޙުމު
merely	ކިރިޔާ
merry christmas	މެރީ ކްރިސްމަސް
message	މެސެޖް
messy	ތަރުތީބު ގެއްލިފައި
mess	ތަރުތީބު ގެއްލިފައި ހުރުން
metal	ދަގަނޑު
method	ގޮތް
me too	އަހަރެންވެސް
me	އަހަރެން
mice	މީދާ
middle	މެދު
midnight	ދަންވަރު
might	ވެދާނެ
mild	މަދުމިނުން
milestone	މައިލްސްޓޯން
military	ހެވިކަން
milk	ކިރު
million	މިލިއަން
mindset	ވިސްނުން
mind	ވިސްނުމުގައި
mine	އަހަރެންގެ
mingle	އެކުވުން
minor	ކުޑަ
minutes	މިނެޓް
minute	މިނެޓް
miracle	މުޢުޖިޒާތް
mirror	ލޯގަނޑު
miscellaneous	ވަކި ބާވަތަކަށް ނުފެތޭ
mischievous	ލާނެތް
miserable	އަބާއްޖަވެރި
misery	ހިތްދަތިކަން
missing	ްމަދުވުނ
mission	މިޝަން
miss you	ހަނދާންވޭ
miss	ހަނދާންވުން
mistake	ކުށް
mist	ދުންފިނި
Mizo	މައިޒޯ
mobile	މޯބައިލް
mock	މަލާމާތްކުރުން
model	މޮޑެލް
moderate	މެދުމިން
modern	ޒަމާނީ
modest	މޮޑެސްޓް
moisture	ތެތްކަން
moist	ތެތް
mold	މޯލްޑް
mole	މޯލް
moment	ހިނދުކޮޅު
mom	މަންމަ
monday	ހޯމަ ދުވަސް
money	ފައިސާ
monitor	މޮނީޓަރު
monkey	ރާމާމަކުނު
month	މަސް
moody	މޫޑީ
mood	މޫޑް
moon	ހަނދު
moral	ޢިބުރަތް
moreover	އޭގެ އިތުރުން
more	އިތުރަށް
morning	ހެނދުނު
mortgage	މޯގޭޖް
mostly	ގިނަފަހަރު
most	އެންމެ
mother	މަންމަ
motion	ހަރަކާތް
motivation	ހިތްވަރު
mountain	ފަރުބަދަ
mouse	މީދާ
mouth	އަނގަ
movement	ހަރަކާތް
move	ދިޔުން
movie	ފިލްމު
mrs	މިސިޒް
much	ވަރަށް
mud	މަޑް
mug	މަގް
muscle	މަސުލް
museum	މިއުޒިއަމް
mushroom	މަޝްރޫމު
music	މިއުޒިކް
must	މަޖުބޫރު
mute	އަޑުކަނޑާލުން
mutual	ދެފަރާތުން އެއްބަސްވާ
My dear	މައި ޑިއަރ
my friend	އަހަރެންގެ ރަޙްމަތްތެރިޔާ
My hovercraft is full of eels	އަހަރެންގެ ހޯވާރކްރާފްޓުގައި ފުރާ ހުރީ ހުސް ވެނެވެ
my love	އަހަރެންގެ ލޯބި
my name is	އަހަރެންގެ ނަމަކީ
my pleasure	މަރުޙަބާ
myself	އަހަރެން
mysterious	ވާނުވާ ނޭނގޭ
mystery	ގޮތްނޭނގޭ
myth	ތެދު ކަމަށް ޤަބޫލުކުރެވިފައި ހުންނަ ދޮގު
my	އަހަރެންގެ
nail	ނިޔަފަތި
naive	ނައީވް
name	ނަން
narrative	ރިވާއެއް
narrow	ދަތި
nasty	ވަރަށް ހުތުރު
nationality	ޤައުމިއްޔަތު
national	ޤައުމީ
native	އުފަން ޤައުމު
natural	ޤުދުރަތީ
nature	ތިމާވެށި
nausea	ބޯއެނބުރުން
nearby	ކައިރީގައި
nearly	ކިރިޔާ
near	ކައިރި
neat	ތަރުތީބު
necessary	ކޮންމެހެން ބޭނުންވާ
necklace	ކަރުގަ އަޅާ ފަށް
neck	ކަރު
need	ބޭނުން
negative	ނައްސި
neglect	އެކަހެރިކޮށްލުން
negotiate	ނެގޯޝިއޭޓް
neighborhood	އަވަށްޓެރިން ދިރިއުޅޭ ސަރަހައްދު
neighbor	އަވަށްޓެރިޔާ
neither	މިހެނެއްނޫން
nephew	އެއްބަނޑު އެއްބަފާ ބެއިންގެ ފިރިހެން ދަރިފުޅު
nerd	ނަރޑް
nervous	ހާސްވުން
nest	ހާލި
network	ނެޓްވަރކް
net	ނެޓް
neutral	އެއްވެސް ކޮޅަކަށް ނުޖެހޭ
never give up	ދުވަހަކުވެސް އުންމީދު ދޫކޮށްނުލާތި
never mind	އަޅާނުލާ
nevermind	އަޅާނުލާ
nevertheless	އެހެންވިޔަސް
never	ދުވަހަކުވެސް
news	ހަބަރުތައް
new	އާ
next to	އެއާ ޖެހިގެން
next	ދެން
nice to meet you	ބައްދަލުވީތީ އުފާކުރަން
nice	ރީތި
niece	އެއްބަނޑު އެއްބަފާ ބެއިންގެ ފިރިހެން ދަރިފުޅު
nightmare	ބިރުވެރި ހުވަފެން
night	ރޭގަނޑު
nineteen	ނަވާރަ
ninety	ނުވަދިހަ
nine	ނުވައެއް
nobody	އެއްވެސް މީހެއްނޫން
noise	އަޑު
noisy	އަޑުގަދަ
none	އެއްޗެއްނޫން
noon	މެންދުރު
nope	ނޫން
no problem	މައްސަލައެއް ނެތް
normal	އާދައިގެ
north	އުތުރު
nor	ނުވަތަ
nose	ނޭފަތް
nostalgic	ބޯއަނބުރައިގަތުން
not at all	އެއްގޮތަކަށްވެސް ނޫން
not bad	ގޯހެއްނޫން
noted	ފާހަގަކޮށްފިން
note	ނޯޓް
nothing	އެއްޗެއްނޫން
noticed	ފާހަގަވުން
notice	ނޯޓިސް
Not now	މިހާރަކު ނޫން
not yet	އަދި ނޫން
not	ނޫން
nouns	ނަންތައް
noun	ނަން
novel	ވާހަކަފޮތް
november	ނޮވެމްބަރ
nowadays	މިހާރަކަށް އައިސް
no way	އެހެންނުވާނެ
now	މިހާރު
No	ނޫން
nuisance	ޢާންމު އުނދަގޫ
number	ނަންބަރު
numb	އައްސިވުން
nurse	ނަރުހުން
nutmeg	ތަކޯވައް
nutrition	ނިއުޓްރީޝަން
nut	އިސްކުރު
oath	ހުވާ
obesity	ފަލަބަލި
obey	ބޯލެބުން
objective	މަޤަޞަދު
object	އެއްޗެއް
obligation	ވާޖިބު
obscure	ކަޝްފުވުން
observation	އޮބްޒަރވްކުރުން
observe	އޮބްޒަރވް
obsessed	އަޅައިގަނެފަ
obsession	އޮބްސެޝަން
obsolete	ނެތިގޮސްފައިވާ
obstacle	އުނދަގޫ
obtained	ލިބުން
obtain	ހޯދުން
obviously	ޔަޤީނުންވެސް
obvious	ޔަޤީން
occasionally	ބައެއް ފަހަރު
occupation	މަސައްކަތުގެ ދާއިރާ
occupied	މަޝްޢޫލުވެފައިވުން
occurred	ހިނގި ކަމެއް
occurs	އޮކަރސް
ocean	ކަނޑު
october	އޮކްޓޯބަރ
odds	އޮޑްސް
odd	އާދަޔާ ޚިލާފު
of course	ޔަޤީނެއްނު
offensive	އަނެކާ ދެރަވެދާނެފަދަ
offer	ފުރުސަތު
office	އޮފީސް
official	ރަސްމީ
off	އޮފް
often	ގިނަފަހަރު
oh really	ހަމަ ހުވާ
Oh	އޯހ
oil	ތެޔޮ
okay baby	އޯކޭ ލޯބިވާ
okay dear	މައްސަލައެއްނެތް ޑިއަރ
okay honey	އެންމެ ރަނގަޅު ލޯބީ
okay my love	އެންމެ ރަނގަޅު ލޯބީ
okay	އެންމެ ރަނގަޅު
ok dear	އެންމެ ރަނގަޅު
ok honey	އެންމެ ރަނގަޅު ލޯބިވާ
ok my love	އެންމެ ރަނގަޅު ލޯބިވާ
ok	އެންމެ ރަނގަޅު
old	އުމުރުން ދުވަސްވީ
once	އެއްފަހަރު
one language is never enough	އެއްބަހުން ދުވަހަކުވެސް ނުފުދޭނެ
one	އެކެއް
onion	ފިޔާ
online	އޮންލައިން
only	ހަމައެކަނި
on	މަތީގައި
open	ހުޅުވުން
operation	އޮޕަރޭޝަން
opinion	ޙިޔާލު
opportunities	ފުރުޞަތުތައް
opportunity	ފުރުޞަތު
opposite	އިދިކޮޅު
optimistic	އުންމީދުންފުރިފައިވާ
optional	އިޚްތިޔާރީ
option	ގޮތް
orange	އޮރެންޖު
order	ތަރުތީބު
ordinary	އާދައިގެ
organization	އޯގަނައިޒޭޝަން
orientation	އޮރިއެންޓޭޝަން
original	އަސްލު
origin	އޮރިޖިން
Oromo	އަރޯމާ
orphan	ޔަތީމު
or	ނުވަތަ
otherwise	އެހެންނޫންނަމަ
other	އެހެން
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	އަހަރުމެންގެ މިޝަން: އެކި ބަސްތަކުގެ ތެރެއިން ކޮންމެ ބަޔަކަށްވެސް އަދި ކޮންމެތާކުންވެސް ދުނިޔެ އެނގި އަދި އަމިއްލަ ނަފްސު ފާޅުކޮށް ހެދޭނެ ގޮތް ހޯދައިދިނުމެވެ.
Our mission: to organize the world's information and make it universally accessible and useful.	އަހަރުމެންގެ މަޤްސަދު: ދުނިޔޭގެ މަޢުލޫމާތު ތަރުތީބުކޮށް އެއީ ބޭނުންތެރި އެއްޗަކަށްހަދައި ޔުނިވާރސަލީ ލިބޭނެއެއްޗަކަށް ހެދުމެވެ.
our	އަހަރެމެންގެ
outcome	ނަތީޖާ
outfit	ހެދުން
outgoing	އައުޓްގޮއިންގް
outlet	އައުޓްލެޓް
outline	އައުޓްލައިން
outside	ބޭރު
outstanding	އާދަޔާޚިލާފަށް މޮޅު
out	ބޭރުކުރުން
oven	އަވަން
overall	ޖުމްލަގޮތެއްގައި
overcome	ފަހަނަޅައި ދިޔުން
over there	އެތާގައި
overthinking	މާބޮޑަށްވިސްނުން
overwhelmed	އުތުރިއެރުން
overwhelming	ހިތަށް ކެތްނުކުރެވޭވަރުގެ
over	މަތިން
owe	ދެރުން
owl	ބަކަމޫނު
owner	ވެރި ފަރާތް
own	އަމިއްލަ
ox	އޮކްސް
pace	ޕޭސް
package	ޕެކޭޖް
pack	ޕެކް
paid	ފައިސާދައްކާފައި
painting	ކުރެހުން
paint	ކުލަޖެއްސުން
pain	ތަދު
pair	ޕެއަރ
pale	ހުދުވެފައިވުން
palm	ރުއް
pandemic	ބަލިމަޑުކަން
panic	ހާސްވުން
pants	ފަޓުލޫނު
pan	ތަވާ
paper	ކަރުދާސް
paradise	ސުވަރުގެ
parallel	ޕަރެލަލް
parcel	ޕާރުސަލް
pardon	މައާފުކުރޭ
parents	މައިންބަފައިން
park	ޕާކު
parrot	ޕެރޮޓް
parsley	ޕާސްލީ
participate	ބައިވެރިވުން
particularly	ވަކިން ޚާއްސަކޮށް
particular	ވަކި ޚާއްސަ
partner	ބައިވެރިޔާ
party	ޕާޓީ
part	ބައެއް
passage	ޕެސެޖް
passed	ފާސްވުން
passionate	ޕެޝަނޭޓް
passion	ޝަޢުޤުވެރިކަން
passive	ޕެސިވް
password	ޕާސްވަރޑް
pass	ޕާސް
past	މާޒީ
patch	ޕެޗް
pathetic	ތާކުންތާކުނުޖެހޭ
path	މަގު
patience	ކެތްތެރިކަން
patient	ބަލިމީހާ
pattern	ޕެޓާރން
pause	މަޑުޖައްސާލުން
pavement	ކަފިހިހުރަސް
payment	ފައިސާދެއްކުން
pay	ފައިސާ ދެއްކުން
peaceful	ހަމަހިމޭންކަން
peace	އަމާންކަން
peach	ޕީޗް
peak	މަތި
pear	ޕެއާ
peas	ފެހިއޮްށް
peculiar	ތަފާތު
peel	ނޮޅުން
peers	އެކުވެރިން
peer	އެކުގައި އުޅޭމީހުން
pee	ވަރަ
pencil	ފަންސުރު
pending	ނުނިމި
pen	ގަލަން
people	މީހުން
pepper	އަސޭމިރުސް
perceive	ނަގައިގަންނަ
perception	ފެންނަގޮތް
perfect	ބަރާބަރު
performance	ހުށަހެޅުން
perform	ހުށަހެޅުން
perhaps	ފަހަރެއްގަ
period	ޕީރިއަޑް
permanent	ދާއިމީ
permission	ހުއްދަ
permit	ހުއްދަ
perseverance	ދެމިހުރުން
persistent	ދެމިހުރުން
personality	ޝަޚުސިއްޔަތު
personal	އަމިއްލަ
person	މީހާ
perspective	ވިސްނުން
persuade	ބާރުއެޅުން
pervert	ހުރަސްއެޅުން
pet	ގޭގައި ގެންގުޅޭ ޖަނަވާރު
phase	ފޭސް
phenomenon	ފެނޯމިނާ
philosophy	ފިލޯސޮފީ
phone	ފޯނު
photo	ފޮޓޯ
phrase	ޖުމްލަ
physical	ފިޒިކަލް
pick up	ޕިކްއަޕް
pick	ނެގުން
picture	ފޮޓޯ
pieces	އެތިކޮޅުަތައް
piece	އެތިކޮޅެއް
pigeon	ކޮތަރު
pig	އޫރު
pile	ފުނި
pillow	ބާލީސް
pilot	ޕައިލޮޓް
pineapple	އަލަނާސި
pink	ފިޔާތޮށި
pin	ޕިން
pitch	އަޑު
pity	މީހެއްގެ ހާލަތަށްވާ ހިތްދަތިކަން
pit	ވަޅުގަނޑެއް
places	ތަންތަަން
place	ތަން
plague	ބަލިމަޑުކަން
plain	އާދައިގެ
plane	ޕްލޭން
plants	ގަސްތައް
plant	ގަސް
plan	ރޭވުން
plate	ތަށި
platform	ޕްލެޓްފޯމް
playing	ކުޅުން
play	ކުޅުން
pleasant	ހިތްގައިމު
pleased	ހިތްހަމަޖެހިފައި
please	ޕްލީޒް
pleasure	ޝަރަފް
pledge	ޕްލެޖް
plenty	ބައިވަރު
plot	މަކަރު
plug	ޕްލަގް
plumber	ޕްލަމްބަރ
plum	ޕްލަމް
plural	އެކައްޗަށްވުރެ ގިނައިން
podcast	ޕޮޑްކާސްޓް
poem	ޅެން
poetry	ޅެން
point	ޕޮއިންޓް
poison	ވިހަ
police	ޕޮލިސް
policy	އުސޫލު
polite	ޕޮލައިޓް
pollution	ވައިނުސާފުވުން
pond	ފެންގަނޑު
pool	ފެންގަނޑު
poop	ބޮޑުކަމުދިއުން
poor	ފަޤީރު
popular	މަޝްހޫރު
population	އާބާދީ
pop	ފަޅާލުން
pork	އޫރުމަސް
porridge	ޕޮރިޖް
port	ބަނދަރު
position	މަޤާމު
positive	ޕޮޒިޓިވް
possession	ބެލުމުގެ ދަށުގައި
possessive	ޕޮސެސިވް
possess	މިލްކިއްޔާތުގައި ވުން
possible	ވެދާނެ
postpone	ލަސްކުރުން
post	ޕޯސްޓް
potato	އަލުވި
potential	އުންމީދު އޮތް
pound	ޕައުންޑް
poverty	ފަޤީރުކަން
powerful	ބާރުގަދަ
power	ބާރު
practical	ޕްރެކްޓިކަލް
practice	ޕްރެކްޓިސް
praise	ތަޢުރީފުކކުރުން
prank	އޮޅުވާލުމެއް
pray	ނަމާދުކުރުން
precious	އަގުހުރި
precisely	ކަނޑައެޅިގެން
precise	ސީދާ
predict	އަންދާޒާކުރުން
preference	ބޭނުންވާގޮތް
prefer	އިސްކަންދިނުން
pregnant	ބަނޑުބޮޑު
prejudice	ޕްރީޖުޑިސް
premises	ހުވާތައް
premium	މޮޅު
preparation	ތައްޔާރުވުން
prepared	ތައްޔާރުކޮށްފަ
prepare	ތައްޔާރުވުން
preposition	ޕްރިޕޮޒިޝަން
presence	ޙާޒިރުގައި
presentation	ޕްރެޒެންޓޭޝަން
present	ހަދިޔާ
preserve	ދެމެހެއްޓެނިވި ގޮތެއްގައި ބެލެހެއްޓުން
president	ރައީސް
pressure	ޕްރެޝަރ
press	ނޫސްވެރިން
pretend	ކަމެއް ވީކަމަށް ހެދުން
pretty	ރިވެތި
prevent	ހުރަސްއެޅުން
previous	ކުރީގެ
prey	ޝިކާރަ
price	އަގު
pride	ޝަރަފު
priest	އަޅުވެރިޔާ
primary	އިބްތިދާއީ
prime	ޕްރައިމް
princess	ޕްރިންސަސް
principal	ޕްރިންސިޕަލް
priority	އިސްކަންދޭކަންތައް
prior	ކުރިން
prison	ޖަލު
privacy	އަމިއްލަ
private	އަމިއްލަ
privilege	ޝަރަފު
prize	އިނާމު
probably	ޔަޤީނާ ގާތަށް
problem	މައްސަލަ
procedure	ޕްރޮސީޖަރ
proceed	ކުރިއަށް ދިއުން
process	މަރުޙަލާ
produce	އުފެއްދުން
production	އުފެއްދުން
product	މުދާ
professional	ޕްރޮފެޝަނަލް
profession	ޕްރޮފެޝަން
profile	ޕްރޮފައިލް
profit	ފައިދާ
profound	ޕްރޮފައުންޑް
progress	ކުރިއެރުން
project	ޕްރޮޖެކްޓް
prominent	މަޝްހޫރު
promise	ހުވާ
promote	ކުރިއެރުވުން
promotion	ޕްރޮމޯޝަން
