qunxaama	a little
anay mali	mute
ittin-gey	mutual
ambalaala	mutual
yi	my
yi kacanow	My dear
yi kataysa	my friend
yi kokkobeena kullimta ceela alak kibuk tan	My hovercraft is full of eels
yi kacanu	my love
migaq yok…	my name is
taqabi mali	my pleasure
yi ruffa	my pleasure
yoo	myself
cuumiita	mysterious
cuumi	mystery
hayyayooni	myth
ragid sini aydaadu	myth
lifiqi	nail
mismaara	nail
garci le	naive
migaq	name
tekkò gabbaaqu	narrative
ceena le	narrow
abici	nasty
agatiini	national
agattiina	nationality
baaxo baxa	native
sugeet numu	native
ginoh imi	natural
gino	nature
sakkitaanama	nausea
uydunuuqumu	nausea
xayih	near
gariik	nearby
edde xayuk	nearly
saytunih	neat
abaanam faxximtam	necessary
filla	neck
filli dahaba	necklace
faxximtah	need
asqassi	negative
maleeyta	negative
carrà dagna	neglect
malbo ab	negotiate
cuggaane	neighbor
ganda	neighborhood
ulim hinna	neither
maqanxa baxa	nephew
saqal baxa	nephew
baritto kacanu le	nerd
cunxuteh	nervous
kimbirò-qari	nest
oflo	net
netwarki	network
magabbise	neutral
way matakka	never
niya margaqin	never give up
aleey yanay xic	never mind
yanay xic	nevermind
takkay ikkal	nevertheless
qusbah	new
xaagu	news
ciggiilak	next
garik	next to
meqeh	nice
kot ongoorewem yot temqeh	nice to meet you
koo geemih ruffa exce	nice to meet you
say maqanxa baxa	niece
say toobokoyti baxa	niece
bara	night
ascaakira	nightmare
uma soono	nightmare
sagaala	nine
taban kee sagaala	nineteen
sagla tabana	ninety
aleey	No
bale	No
hinna	No
tù taqabi mali	no problem
matakka	no way
balè	no way
num hinna	nobody
waxxaqto	noise
wexxeq leemi	noisy
wohuk tu hinna	none
laqo	noon
aleey	nope
wohuk tu hinna	nor
qaadik taniimi	normal
kilbata	north
sana	nose
maxhaxa	nostalgic
hinna	not
balè wonna hinna	not at all
umam hinna	not bad
away hinna	Not now
uxih innah	not yet
awayam fan	not yet
kassiiseena	note
aytì-gexxo li	noted
ane waytaama	nothing
tu hinna	nothing
ced	notice
cedeh	noticed
seecenta	noun
muggaqse	nouns
qusbaama	novel
haadala	novel
naharsi kudo	november
awak	now
away	now
awayyih uddu	nowadays
loklokoli	nuisance
foyya	null
diye xagara	numb
ixxima	number
nibro	number
nersi	nurse
loozu	nut
koqso ibak fanat ruubaanama	nutmeg
adooba-wag	nutrition
xiiba	oath
kaxxa aroodu	obesity
ammirtimiyya	obey
tumamme	object
sadiyya	object
hadafa	objective
dirki	obligation
qubulli	obscure
asseleeleqiyya	observation
cubbus	observe
kaxxa fayxi	obsessed
ceenisiyya	obsessed
hawri sinni fayxi	obsession
wakti elle tatrè	obsolete
adafa	obstacle
geyiyya	obtain
geeh	obtained
geytimeh	obtained
qaduuk	obvious
qaduuk	obviously
inki inki waqdi	occasionally
taama	occupation
tintibbixe	occupied
akkiyya	occur
geytimiyya	occur
tekkeh	occurred
takkeh	occurs
kaxxa bada	ocean
kaxxa garablu	october
raqle	odd
ablewaynu	odd
saami	odds
asmata	of course
baysu	off
kal	off
umaama	offensive
tanqibiseemi	offensive
xayyosiyya	offer
kutbè buxa	office
reedantu	official
mango waqdi	often
mango widdir	often
yaa!	Oh
nummah ittaa	oh really
saliidi	oil
meqeh	ok
nagaya	ok
naqam	ok
meqeh yi kacanow	ok dear
meqeh yi malabey	ok honey
meqeh yi kacanow	ok my love
meqeh	okay
nagaya	okay
naqam	okay
meqeh yi dahabey	okay baby
dahabey	okay dear
meqeh yi dahabow	okay dear
meqeh yi dahabey	okay honey
meqeh yi dahabey	okay my love
idaltu	old
raagteemi	old
amo	on
inki adda	once
dumah	once
inkittu	one
Inki af yaaxigeenim dubuk tumaxiqta	one language is never enough
basala	onion
oyti maraba	online
dubuk	only
fakiyya	open
cogda	operation
mabla	opinion
saami	opportunities
saami	opportunity
sadi	opposite
niyale	optimistic
dooro	option
dirki akke sinni	optional
aw	or
hinnammay	or
burtukaan	orange
caddo	order
midu	ordinary
dumak taniimi	ordinary
missoyna	organization
egla	organization
mahoodo yaceenimi	orientation
ugutu	origin
elle geytim	origin
hunun	original
Oroomoh afa	Oromo
qayxixxu	orphan
kalah	other
akkewaytek	otherwise
takkem faxximta	ought
niimi	our
Ni qalaama: kulli num, kulli baaxok  qaalam cedam kee af kaa abbixe kal is yaybullu xiqsiisaanama.	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
Ni qalaama: Baadak inkih oyta missosahaanam kee  inkih yan baad gufsaanam kee tuxxiqil assaanama.	Our mission: to organize the world's information and make it universally accessible and useful.
iro	out
xalu	outcome
tikya	outfit
sara	outfit
tawqeemi	outgoing
tuk mawqa	outlet
sidoysiyya	outline
iro	outside
kaxxam meqeemi	outstanding
muxxò leemi	outstanding
mididdi	oven
gaba kale	over
wokkel	over there
amolladih	overall
aysiyya	overcome
kaxxa bohoyu	overthinking
mangom acsubiyya	overthinking
caddok daka takkem	overwhelmed
caddok daga	overwhelming
abuud aalliyya	owe
assadaara	owl
aalliyya	own
cankah aalliyya	own
lewanna	owner
aguru	ox
sissikaane	pace
packeeti	pack
quuka bicis	pack
xammaqiyya	package
mekkelsimteh	paid
beyak	pain
qansaru	pain
askutiyya	paint
muuci	painting
askutiyya	painting
nammay	pair
nammaamih asgella	pair
qadoomu	pale
ginnaqta	palm
maqayto	pan
dadhoyta	pandemic
tabta dalka	pandemic
qarkakiyya	panic
adda saro	pants
butanta	pants
warkata	paper
firdawsi gannata	paradise
sittin missa	parallel
ittat taniimi	parcel
qafu	pardon
xaleyna	parents
walwalle araca	park
yabta kimbir qaynata	parrot
suruy meqe hurdin qoborta	parsley
garaba	part
engel	participate
baxsa luk	particular
baxsa	particular
baxsaluk	particularly
saacib	partner
siitalluk tu le mara	partner
missoyna	party
taturu	pass
kawsa	passage
tatreh	passed
kaxxa kacanu	passion
caylali	passionate
sadusinna	passive
sirri-loowo	password
tatre wakti	past
luwaata	patch
ecla	patch
gita	path
taczunuseemi	pathetic
xiqi	patience
sabri	patience
dalkeyna	patient
lakmise	patient
tu-mabullu	pattern
inki waqdi soolo	pause
gita	pavement
wallu	pavement
mekla	pay
mekel	pay
mekla	payment
salaama	peace
saay leemi	peaceful
caxa fexxa	peach
exxà	peak
qado qinaba	pear
Qatiritte	peas
baxsaleemi	peculiar
daaco	pee
qalloysiyya/fiikiyya	peel
qallo	peel
adoyta	peer
fiqimtu	peer
fiqmà	peers
adoytiiti	peers
kalama	pen
kalama	pencil
takkare kalah yaniinim	pending
sinam	people
dat barbare	pepper
yacsubeenimi	perceive
hangi	perception
ascab	perception
kullim gitat lem	perfect
abiyya	perform
duddaaliyya	perform
duddala	performance
balkih	perhaps
masalan	perhaps
sona qabala	period
maytanih	permanent
raagah	permanent
idini	permission
idini yaceenimi	permit
sabril kattaatanama	perseverance
taqbe sinni	persistent
sabrili	persistent
inki numu	person
cankah imi	personal
sehdaytuk caalata	personality
mabla	perspective
geysiisaanama	persuade
adabi sinni numu	pervert
buxah ala	pet
caddo	phase
tekko	phenomenon
tafakkur misso	philosophy
telephoonu	phone
muuci	photo
taswiiri	photo
maxcà	phrase
muduqqa	phrase
xagar wagittam	physical
door	pick
meex	pick
ugsaanama	pick up
muuci	picture
taswiir	picture
exxa	piece
exxaaxi	pieces
asaama	pig
camaama	pigeon
koboxu	pile
makadda	pillow
barkuma	pillow
haadise	pilot
bayleeti	pilot
mudeena	pin
tuffaaca	pineapple
agbi bisu	pink
naba boodo	pit
booxa	pitch
xuwaawa	pity
rooka	pity
araca	place
aracitte	places
taba lakima	plague
bisu mali	plain
qaduuk	plain
ikraaro	plan
tayyaara	plane
daabis	plant
caxa	plant
cooxu	plants
sacfat	plate
sacan	plate
madrak	platform
missoyna	platform
digiri	play
digraanama	playing
rufto leemi	pleasant
magan	please
ruffa iyye	pleased
rufto	pleasure
xagana culiyya	pledge
mangoomu	plenty
nabah taniimi	plenty
mako	plot
edde culsaanama	plug
qinab-xaylo	plum
lee biubah taama abeena	plumber
manga	plural
walal barnaamiji	podcast
qadaar	poem
qadaara	poetry
ximmo	point
summi	poison
boliisi	police
radmo	policy
poolisi	policy
caalat maqaane	polite
wassakoosu	pollution
saadiyya	pollution
dora	pond
kalawa	pool
caara	poop
markabak derreh exxa	poop
qayxixxu	poor
tu mali	poor
mango mari yaabe gadih qaynata	pop
qunxa bakaqto	pop
sinam kicniimi	popular
tamixxigeemi	popular
ummata qadata	population
cereyya cado	pork
dakca	porridge
marso	port
araca	position
taama caddo	position
leytak taniimi	positive
aalliyya	possess
leh	possess
cankah aalliyya	possession
maalliino baxxaqsa	possessive
takkem bictah	possible
rub	post
takayru	post
geeri widirit cabiyya	postpone
waqdi ayxeeriyya	postpone
xinnichi	potato
beeri dudda	potential
quuki loowo	pound
baaca	poverty
qayxiixanna	poverty
cayla	power
cayla le	powerful
abnisso	practical
qibisaanama	practice
fayla	praise
digir makko	prank
xooqat	pray
dooqa	pray
gaali	precious
gitat	precise
gitaak	precisely
hununuh	precisely
ekkel	predict
akkal hayis	predict
doorah	prefer
taakume dooro	preference
soolima	pregnant
qaxiinu	prejudice
naharsi mabla culenta	premises
fayyale mexxale	premium
bicà	preparation
gulgulise	prepare
bicsiyya	prepare
bicteh	prepared
tekko tascasse qangooru	preposition
geytimiyya	presence
acwa	present
aniyya	present
xayyoosu	presentation
dacris	preserve
qambal	preserve
naharsi saqala	president
gutqo	press
matbaqa	press
gutqo	pressure
celssiisi	pretend
qaxmiqa	pretty
kallalu	prevent
ahaak afa	previous
admo	prey
mellebi	price
limo	price
kibriya	pride
keesi	priest
qimbo caddo	primary
qemboh	prime
yayse daban	prime
amoyti say baxà	princess
barittò buxa saqal	principal
afal	prior
naharsiino kah yaceenimi	priority
casbi buxa	prison
dubuukiya	privacy
cankah	private
gaariti	privilege
acwa	prize
kaado	prize
takkem bicta	probably
aslan	probably
taqabi	problem
gexsiti	procedure
bisoh inxic	proceed
gexso	process
yamruteemi	produce
murti	product
murti	production
mihrata	profession
mihratle	professional
weelo	profile
xallotu	profit
adda leemi	profound
biso maxco	progress
taddeera	project
projectii	project
baxxaq leemi	prominent
tamixxigeemi	prominent
xagana	promise
qaago	promise
yaysexeexegeenimi	promote
caddò dadala	promotion
aysixxigiyya	promotion
sissikaane	prompt
qeeditiyys	prone
tut beyaakimiyyi manga	prone
bedi muggaqso	pronouns
yoh seecis	pronunciation
silki yoh has	pronunciation
alhumu	proof
sumaaqa	proof
faxximtaama	proper
missat	properly
gitaak	properly
baxsale caalatitte	properties
ikoytiiti	properties
ikoytiino	property
mablal	proposal
qaago	prospect
leeda	prosperity
leedimteemi	prosperous
dacris	protect
kaxxiiniteh	proud
sumaaqis	prove
cedsis	prove
xayyoosiyya	provide
baxaciyya	provide
yeceeh	provided
teceeh	provided
rasu	province
kurraabiyaanama	provision
xayyoosu	provision
furrayniinu	puberty
baxuwwiinu	puberty
ayyunta	public
ummata	public
giitaanama	pull
kamadoora	pumpkin
saaqatal geytimiyya	punctual
barteena	pupil
xaamaanama	purchase
saytun	pure
sissin bisu	purple
hadaf	purpose
gaba santa	purse
kattaatiyya	pursue
gorana	pursuit
goor	pursuit
gutuq	push
hayis	put
faxximta xiqto	qualification
mexxata	quality
caddo	quantity
gidda	quantity
deesen araca	quarantine
deesiyya	quarantine
naqaabu	quarrel
qeebi	quarrel
rubqi	quarter
Quechuah afa	Quechua
amoyatà	queen
malika	queen
salaf xaga num	queer
baarra lakabta barra	queer
essero	query
essero	question
daami rorta	queue
sissik	quick
sissikuk	quickly
tibba teemi	quiet
kaccà teemi	quiet
calagto	quilt
cabiyya	quit
qigdu	quite
inkinnaah	quite
ux aqayyaare	quiz
mascassa	quotation
ascassiyya	quote
maxcooci	quotes
bakkeela	rabbit
agat	race
qalala	race
bagcarra	rage
roobu	rain
ugsiyya	raise
fayyiso	raise
yeynebeh	raised
ugseh	raised
yerdeq	ran
terdeh	ran
elle aninaan innal	random
roorisso farakka	range
sissik	rapid
sissikuk	rapidly
dayih geyaanama	rare
dayih	rarely
xagar waybo	rash
cantuuta	rat
waadisiyya	rate
hinna immay	rather
raashiyo	ratio
sababli	rational
qasih	raw
alaye kal	raw
qagu	re
gufeh	reach
gufeh	reached
maadeh	reached
wadir gacsa	reaction
kawis	read
kawsiyya	reading
bicat gaciyya	ready
numma	real
numma	reality
cediyya	realize
nummaysiyya	realize
yixmiqeh	realized
nummaak	really
ellel maynubu	rear
sabab	reason
takkeemi	reasonable
yakke sabab	reasonable
kassit	recall
yoofenta	receipt
oggol	receive
hirig	receive
oggoleh	received
hirgeh	received
qusbaama	recent
xayi uddurut	recently
qibnaytiino	reception
maaqò bicsih miracsenta	recipe
baaqid mali	reckless
kas mali	reckless
mamaxxaga	recognition
axmaqa	recognize
qakali maco	recommend
ascossa	recommend
yescesseh	recommended
fayu leemi	recommended
maysaqarra	record
yeseeheleh	recover
andabbiyya	recover
qaffootu	recovery
affara gammili	rectangle
qisi	red
mekliyya	redeem
wadu	redemption
daggos	reduce
fula	redundant
qagaaqagu	redundant
tatrusiyya	refer
sumaaqisso	reference
abaabis	reflect
abaabimi	reflection
is waaso	refrain
barraada	refrigerator
xamciseyna	refrigerator
maalu gacsa	refund
cinaanama	refuse
cineh	refused
konnabna	regard
wagsiisak	regarding
faxem takku	regardless
nagaale	regards
wagsiisak	regards
rakaakaya	region
maysaqarra	register
nadaama	regret
kulli waqdi	regular
timixxigi	regular
qaadih	regularly
kulli uddur	regularly
cin	reject
ramaddos	relate
ramad leemi	related
qalla	relationship
angaaraw	relationship
ramada	relative
ramaditte	relatives
sabhalal	relax
cabiyya	release
caben	released
taguudeemi	relevant
angaaraw leemi	relevant
aamanti leemi	reliable
oftoyu	relief
sahlisso	relieve
oftoy gee	relieved
diini	religion
diini li	religious
namma kalbitak	reluctant
kibalsiti	rely
kelliti	rely
raq	remain
saabo	remain
raqteemi	remaining
cakkuumu	remarkable
qajaba	remarkable
qellat massoosu	remedy
kassit	remember
kassiisi	remind
kassiisenta	reminder
alla	remote
kal	remove
cabsis	remove
issi maqna yecee	render
kira	rent
bicsa	repair
qagis	repeat
arac korsa	replace
kaadu gacsa	reply
gabbaaqu	report
awlisso	represent
meqe migaaqa	reputation
kallaci	request
qaago	request
faxsisso	require
faxximta	require
faxsissa	required
wadiyya	rescue
catiyya	rescue
kusaaqa	research
ceelo	resemble
carsiti	resentment
arac ibbix	reservation
teelo	reservation
arac ibbixi	reserve
sigoh elle yan	resident
isih cabiyya	resign
xiiqi	resilience
xiqto li	resilient
sadu	resist
saduh soolo	resistance
faatilisso	resolution
tifgideh	resolve
yifgideh	resolve
sabhalal araca	resort
gadditte	resources
massakaxxa	respect
gacsa	respond
gacsa	response
esserimiyya	responsibility
qaaqa	responsibility
masuuliyyat le	responsible
qaaqa li	responsible
qoof beyti	rest
oftoyu	rest
yalli kaah cabay	rest in peace
maaqo buxa	restaurant
elle sugennah gacsa	restore
waadot aysaadiyya	restrict
xalu	result
xalootitte	results
fanak qemmis	resume
boqà tellemo	retail
raaqisso	retain
daagisso	retain
ayseediyya	retention
dadqoh yewqe	retired
arac cabti	retreat
gacsis	retrieve
madaara	return
udur	return
qaddoysiyya	reveal
maysaballa	reveal
qaddowteh	revealed
cane gacsa	revenge
maali gibiri	revenue
derreh gaciyya	reverse
qaksih gaciyya	reverse
sekkactu	review
aysis	revise
sekkaacis	revise
massosu	revision
uguugumu	revolution
acwa	reward
dubto	rhythm
masanglae lafa	rib
ruddi	rice
gaddali	rich
kal	rid
bayis	rid
amo gexiyya	ride
taysuuleemi	ridiculous
ceelewaynu	ridiculous
migda	right
cakki	right
awaqdiik	right now
isih iyyem faxe	rigid
ferranto	ring
rukruk	rinse
uluuluka	riot
qanxisiyya	rip
alayte	ripe
koomiti	rise
ugtiyya	rise
osodu	risk
anaakareyna	rival
naqboyta	rival
dora	river
gita	road
laqlaqo	roast
maqarle	robust
kelleyto	rock
xaa	rock
birti caxxa	rod
midu	role
kokkobiya	roll
galaadisiyya	roll
tarmaana	roof
qari	room
ramidi	root
akata	rope
abicteemi	rotten
cenkarli	rough
cayla luk	roughly
amotilih	roughly
meeko	round
maro	round
gita	route
ayrok ayrok	routine
qaada	routine
rorta	row
godciyya	rub
labara	rubber
nafqi mali	rubbish
adbi mali	rude
duuge saro	rug
guula	rug
bookookiyya	ruin
baysiyya	ruin
madqa	rule
miraacis	rule
miraacise	ruler
madqooqi	rules
ered	run
arda	running
ardiyya	running
barri	rural
sissikaane	rush
diiriyyo	sack
dagor le kiisi	sack
diini massakaxxa leemi	sacred
fida	sacrifice
kazna	safe
amaanat tanim	safe
salaam safara	safe flight
nagayna	safety
kasloyta	sage
iyyeh	said
doonik safara	sail
doonik safara	sailing
.ah sabbatah	sake
qasbi	salary
limo	sale
naba kullunta	salmon
qasbo	salt
inkitto	same
baxsa le caalatitte	Same here
ceelallo	sample
saacili	sand
Sanskrit afa	Sanskrit
aysabahisil	sarcastic
yalliili	sassy
daffeh	sat
rufto	satisfaction
ruffatem	satisfied
ruffa haanama	satisfy
rufto leemi	satisfying
sabti	Saturday
yoogoren cado	sausage
galel mali	savage
wadiyya	save
ubleh suge	saw
ixxic	say
caddo	scale
duquusu	scam
ayra	scam
anxaqa	scar
dagnà	scarce
meesiteh	scared
lakbayto	scarf
meysissaama	scary
fixixxeemi	scattered
araca	scene
mayballays	scenery
baaxo bilaat	scenery
suruyu	scent
ikraaro	schedule
barittoh buxa	school
misso	science
missiini mixigi	scientist
misso mixigwa	scientists
makasa	scissors
sahtiyya	scold
caagidik ekraaro	scope
loowo	score
cabiyya	scrap
fiiko	scratch
kaayeh	scream
deero abe	scream
mablà gali	screen
diggoysiyya	screw
ransa	script
bada	sea
alif	seal
gorana	search
qasri	season
wakti	season
daffeyna	seat
nammay hayto	second
seconxi	second
cuumi	secret
footima	section
kurto	section
digga le	secure
dacayri	security
ubul	see
mabla	see
koo ableh	see you
hayya hay	see you
sarra koo ableyyo	see you later
xeyih itta geenno	see you soon
xeyih kableyyo	see you soon
beera koo ableyyo	see you tomorrow
dariyyu	seed
gorris	seek
ceelo	seem
ceelah	seems
tumbulleh	seen
bukkus	seize
abbax	seize
bukkusiyya	seizure
inki inki adda	seldom
dooriyya	select
isih	self
isinni daylisiyya	self healing
is kicne	selfish
aylammiyya	sell
ruubiyya	send
Ku taswiir yoh rub	send me your picture
idaltu	senior
saqala	senior
mabla	sense
maabba	sense
kas le	sensible
annaak yanqibi	sensitive
ruubumeh	sent
ackumiyya	sentence
maxca	sentence
maxcooci	sentences
baxsaanama	separate
Sepdi afa	Sepedi
qunxa garablu	september
midu	sequence
sitallakle	series
cubbi luk	serious
digir male	serious
nummaak	seriously
xayyos	serve
ayfaafayiyya	serve
ayfaafaya	service
daffeyna	session
hayis	set
bicsiyya	set up
bicsi araca	setting
tu elle tekkekke	setting
afraqiyya	settle
nooko	settle
malciini	seven
taban kee malciini	seventeen
malci tabana	seventy
mango	several
caylale	severe
gibdih	severe
axcixiyya	sew
uss.	sh
silaalo	shade
silaalo	shadow
axaxisiyya	shake
adda sinniimi	shallow
qaybi	shame
wacarriyi	shame
weelo	shape
asgalliyya	share
exxaleyta	sharp
teeti	she
is leh	she has
is kinnih	she is
qeksu	shed
kalti	shed
illi	sheep
ida	sheep
ansoola	sheet
uwwi rooru	shelf
riigi	shelf
sara	shell
reebu	shelter
iraawoh arac	shelter
goobu	shield
milaagiyya	shift
uriyya	shine
liliiqiyya	shine
dooniki	ship
baddi merraytu	shipping
shamiizi	shirt
kabeeli	shoes
ugur	shoot
utuk	shoot
dukkaana	shop
xaamiyya	shopping
limò	shopping
qaxa	shore
uxxih	short
nukusi	shortage
ugra	shot
atka	shot
taguudeh	should
takkem faxximtam	should
lakba	shoulder
kaayiyya	shout
mayballaata	show
uybulluy	show
yoo uybulluy	show me
dagay kaqaylo	shower
qunxaama	shrimp
kiiqitiyya	shrink
addah gaciyya	shrink
alif	shut
tibba xic	shut up
wacarriyli	shy
maqanxa	sibling
toobokoyta	sibling
maqanxa	siblings
toobokoyta	siblings
biyakli	sick
gambi	side
laclaci ufuy ruubo	sigh
mabla	sight
gufne gexo	sightseeing
afrimiyya	sign
asta	sign
firma	signature
kaxxam faxximtaama	significant
tibba	silence
tibbale	silent
cariiri	silk
qulaal	silly
lakqo	silver
sitta ceela	similar
sahali	simple
sittalluk	simultaneously
wagitak	since
tohuuk xabba haanam	since
kalbiik	sincere
sorkocobaxaak	sincerely
nummaak	sincerely
gad ab	sing
gadabe	singer
tiya	single
anxuqumiyya	sink
Gifta	Sir
maqanxa	sister
say ballise	sister in law
daffey	sit
araca	site
fanteena	site
caalata	situation
leceyi	six
taban kee leceyi	sixteen
lactama	sixty
caddo	size
mihrata	skill
miharata	skills
araba	skin
qaku le	skinny
tatur	skip
gurdi-kamiisi	skirt
qaraana	sky
naqasu	slave
xiini	sleep
xiiniyya	sleeping
camuccu iyye	sleepy
xinti fayxi	sleepy
gaba gufta saro	sleeve
exxa	slice
aftuciyya	slide
dagoo caddol	slightly
qaku le	slim
addak tabsiyya	slip
aftuciyya	slip
uluullu	slope
booha	slot
faxo	slot
caatih	slow
caatih	slowly
qunxa	small
agiru	smart
suruyu	smell
suruysiyya	smell
bikkiqitiyya	smile
asal	smile
qeerisiyya	smoke
missa le	smooth
xabca le	smooth
elle suga maaqo	snack
sankaraaraqz	snail
caatih gexiyya	snail
baaxot ala	snake
argiqiyya	snap
barafa	snow
tohih sabbatah	so
kaxxam qaxmeqe	so cute
awayam fan	so far
arqusiyya	soak
saabunu	soap
cubbi le	sober
ibi koqsò	soccer
ayyuntiimi	social
ayyunta	society
kalsitte	socks
xabcin	soft
kombiter tadeera	software
ballaaqe	soil
siisa	soil
yeylemmeenih	sold
kallimteh	sold
inkih tellemmeh	sold out
qaskara	soldier
soolu	sole
gibdo	solid
fidga	solution
ifdig	solve
raddi gacis	solve
inki inki	some
inki num	somebody
faxennal	somehow
inki numu	someone
barra	someone
inki caagid	something
inki inki waqdi	sometimes
gada	song
xeyih	soon
xayuk	soon
qusba qasrih imi	sophisticated
Sorani afa	Sorani
dale le	sore
garayri dale	sore throat
rookitiyya	sorrow
cuzni	sorrow
aczuneh	Sorry
qafu	Sorry
missoysiya	sort
riksiyya	sort
gorriseh	sought
rooci	soul
sorkocò baxi kacnoyta	soulmate
xongolo	sound
shorba	soup
cenkar baahiyya	sour
tamu aamiyya	sour
ayqu	source
gabbi	south
araca	space
maada	span
baaxa	span
Esbeen afa	Spanish
fula	spare
yab	speak
baxsa le	special
samaditte	species
baxisa luk	specific
cakkuumuk taniimi	spectacular
yaaba	speech
yab yeffere	speechless
sissikaane	speed
kawsiyya	spell
warrisiyya	spell
ayyaaqiyya	spend
yeyyeeqe	spent
laclaceh	spent
carrissa maaqo	spicy
osiyya	spike
afle birta	spike
meekis	spin
rooci	spirit
tuf	spit
qaxmeqe	splendid
kuriyya	split
baqsiyya	split
baysiyya	spoil
batriiseenimi	spoiled
garciik abaanama	spontaneous
likaacise	spontaneous
malkaqa	spoon
araca	spot
lewanna	spouse
baqala/barra	spouse
gufsiyya	spread
aydariyya	spread
sugumu	spring
booxa	square
xukkut	squeeze
geera qadoytà	squirrel
mudiyya	stab
yesseedeh	stable
kobxisiyya	stack
taama abeyniiti	staff
madraka	stage
darba	stain
rankooka	stairs
kela	stake
kattaata	stalk
qunxa dukkaana	stall
eyseediyya	stall
atbiqiyya	stamp
sooliyya	stand
madab	standard
cutukta	star
qembo	start
qimmis	start
qembiseh	started
qululu	starving
xiinisso	state
caalat	state
qaddoosu	statement
fanteyna	station
sehdaytu kee ali weelol sooliseenimi	statue
caalata	status
sug	stay
nagay sug	stay safe
qilsih	steady
qasa cado	steak
garqiyya	steal
hofo	steam
birta	steel
daaba	steep
laqibi	stem
caxa rimidu	stem
maaqatta	step
caddo	step
caxxa	stick
digga le	stiff
kacca yaanama	still
uxih	still
mudiyya	sting
gabaggidba li	stingy
arac korsa	stir
taqabi ugsa	stir
uwaat badaaqa	stock
garqimteemi	stolen
bagu	stomach
xaa	stone
sooleh	stood
daffeyna	stool
soolis	stop
gaaboyseyna	storage
daagisiyya	store
dukkaana	store
mermeritta qaane	storm
aydaadu	story
mididdi	stove
saanih	straight
missa	straight
qaduk	straightforward
silloysiyya	strain
barteweenimi	strange
qibnaytu	stranger
cogda	strategy
caffa	straw
injorri	strawberry
firti asta	streak
lee le bixaaxi	stream
giti qaxa	street
cayla	strength
xiicimiyya	stress
fidis	stretch
giit	stretch
digga le	strict
taama soolo	strike
uluuluka	strike
tufulu	string
fiikiyya	strip
kaliyya	strip
gabbatiyya	strive
sorkocò baxi atka	stroke
digga le	strong
maqar le	strong
yumuttukeh	struck
rikissi	structure
giclo	struggle
angacalluk	struggling
giddi le	stubborn
yeedeh	stuck
daabiteh	stuck
barteyna	student
ikriy	study
kusaaqa	study
bartiyya	studying
kusaaqisiya	studying
tumamme	stuff
qajaaqibi	stunning
cakkumu	stunning
duquru	stupid
sari haytih cogda	style
dikmiyya	subject
ammunta	subject
gaciyya	submission
culsaanam	submit
lani caagidi	substance
tumamme	substance
nagreyna	substitute
milaag	substitute
sabhal luk	subtle
cubbi luk	subtle
caatih	subtle
arcimiyya	succeed
arcimiyya	success
arcimta	successful
tanah tsnim	such
ceelalloh	such as
muxuuqiyya	suck
axiiyya	suck
garciik	sudden
garciik	suddenly
qansaritiyya	suffer
qansaru	suffering
xiqtah	sufficient
sokkara	sugar
ascossiyya	suggest
mabla	suggestion
ascossa	suggestion
bica leemi	suit
bica le	suitable
lubbi santa	suitcase
ossa	sum
amoggacsa	summary
cagaya	summer
fayya le daffeyna	summit
ayroyta	sun
caada	sunday
ayro le	sunny
ayro culma	sunset
ayro diifu	sunshine
daga raaqa	super
daga raaqa	superior
lowsiise	supervisor
afxago	supper
xayyoosu	supply
qokolu	support
akkaliyya	suppose
who ekkele	supposed
asmata	sure
irò weelo	surface
haffo	surge
garcik fayya	surge
qamaliyya	surgery
xaqar qanxiso	surgery
abba migaaqa	surname
cakkumsiisiyya	surprise
cakkumsuteh	surprised
gaba yaceenimi	surrender
marot	surrounding
kattaata	surveillance
nadar qidiyya	survey
asillimiyya	survive
raaqiyya	survive
bohoyitiyya	suspect
dareemime	suspect
waasenih	suspended
waagisiyya	suspicious
bohoyu	suspicious
soole kalaanama	sustain
waarisso	sustainability
waar le	sustainable
liglig	swag
unxuq	swallow
giyyar	swap
milaag	swap
xiibitiyya	swear
xooqu	sweat
shurraaba	sweater
fiy	sweep
salfa le	sweet
meqe soono	sweet dreams
canti moddina	sweet tooth
kacnoyta	sweetheart
duddubiyya	swell
dudduba	swelling
giiris	swim
giirisiyya	swimming
ligligiyya	swing
milaagiyya	switch
duddubteemi	swollen
gile	sword
sayfi	sword
asta	symbol
bedu	symbol
xuwaawa	sympathy
astooti	symptoms
gexso	system
adabi	system
miizi	table
afdigiyya	tackle
awqiyya	tackle
muggaqsiyya	tag
geera	tail
beyiyya	take
bey!	take
iroh bey	take away
hayya hay	take care
hanaawis	take care
ugsiyya	take off
kaliyya	take off
beytimteh	taken
yab	talk
yaaba	talk
yab nabo	talkative
xer	tall
giit	tap
xag	tap
tebbi tufulu	tape
hadafa	target
taama	task
tamu	taste
salfa leemi	tasty
barseh	taught
shaahi	tea
baris	teach
barseyna	teacher
dokonu	team
horta	team
ximo	tear
ximooma	tears
anqaasa	tease
teknolooji	technology
moddina	teeth
waris	tell
yoh waris	tell me
qamalli	temper
naqabu	temper
hawa' caalata	temperature
diini buxa	temple
elle sugah	temporary
tabana	ten
tabna alfi	ten thousand
qari kirat le	tenant
buxat mardeh gace	tenant
qambaaliyya	tend
inki abtoh qeegu	tendency
carraaja	tender
