ɖé	a
sùn	month
é ɖò wɛn	mood
adawùn	moody
sun	moon
hwɛjijɔ	moral
hú	more
nǔ ɖevo lɛ	more
é ɖò có	moreover
zanzan	morning
ɖó agban	mortgage
mɛ gègě	most
hwɛhwɛ ɔ	mostly
nɔ	mother
nùjlɛ́n	motion
nùkpinkpan	motivation
só	mountain
xɛ	mouse
nu	mouth
ɖyɔ́	move
dindàn	movement
fílimu	movie
nyɔnu	mrs
nǔ gègě	much
kɔ́	mud
agbàn	mug
azɔngban	muscle
nùɖúɖúxwé	museum
hùnto	mushroom
nùxixo	music
ɖó nà	must
memɔnɔdɔ́xo	mute
mɛ ɖokpo ɖokpo	mutual
ce	my
Mɛvíví ce	My dear
xɔ́ntɔn ce	my friend
Hovercraft ce gɔ́n ɔ	My hovercraft is full of eels
agɔnkpo gɔ́	My hovercraft is full of eels
wanyiyi ce	my love
nyǐkɔ ce wɛ nyí	my name is
e nyɔ́ nú mì	my pleasure
nyɛ ɖésú	myself
nùxámɛ	mysterious
nùbúdo	mystery
nùjlɛdonǔwu	myth
wùjɔ́nù	nail
tlennɔ́	naive
nyikɔ	name
hwenuxo	narrative
godwé	narrow
nǔ nyanya	nasty
tò tò	national
tò tò	nationality
tò tò	native
jujɔ́	natural
jijɔ́	nature
nùxámɛ	nausea
tòfi	near
kpò	nearby
é ɖò xixo wɛ	nearly
ɖò	neat
zinzin	neat
joxɛnù	necessary
kɔ	neck
nùjlɛ́nú	necklace
aɖò gblà mɛ	need
nukùnmyà	need
nùɖé ǎ	negative
ɖekpo	neglect
ɖɔ xó	negotiate
nɔzo	neighbor
nɔzo	neighborhood
ɖě ǎ	neither
mɛvíví	nephew
gɔgùnɔ́	nerd
é ɖò adohu adohu wɛ	nervous
xɛ	nest
nùɖé	net
nùjlɛ́n	network
démadokantɔ́	neutral
hweɖebǔnu	never
ma jó gbè gbeɖé ó	never give up
é ɖò wɛn	never mind
É ɖò wɛn	nevermind
é ɖò có	nevertheless
yɔyɔ	new
xota lɛ	news
mɛ e ná bɔ d'ewu é	next
kpá	next to
é nyɔ́	nice
é víví nú mì ɖɔ un mɔ mi	nice to meet you
nɔví nyɔnu tɔn	niece
zǎn	night
nǔ nyanya	nightmare
tɛntɔn	nine
kanwe afɔtɔn	nineteen
kanɖé gban	ninety
gbeɖé	No
tagba ɖé ǎ	no problem
é nyí mɔ̌ ǎ	no way
mɛɖebǔ	nobody
jɔhɔn	noise
jɔhɔn	noisy
ɖě ǎ	none
zanzan	noon
éǒ	nope
mɔ́mɔ́	nor
sɔ́ gbè	normal
totaligbé	north
nù	nose
nùxámɛ	nostalgic
é nyí	not
é nyí mɔ̌ gbeɖé ǎ	not at all
é nyɔ́	not bad
É nyí din ǎ	Not now
é ko lín ǎ	not yet
wlan wlan	note
è ɖɔ	noted
nǔtí ă	nothing
nùɖé ă	nothing
xójlawema	notice
mɔ ɖɔ	noticed
nyi	noun
nyikɔ́	nouns
nùjlɛdonǔwu	novel
azanzan	november
din	now
égbé	nowadays
nùklɛ́n	nuisance
nùɖé ǎ	null
mɔ́kpàn	numb
nùkan	number
dŏwùn	nurse
nùsúnnú	nut
nùsúnnú	nutmeg
nùɖuɖu	nutrition
akpágbánúmɛ	oath
ɖùɖù	obesity
se tónú	obey
nùjɔnǔ	object
nukúnɖíɖó	objective
azɔ̀	obligation
nùjlɛ́jlɛ́	obscure
nǔ kpɔ́n	observation
kpɔ́n	observe
é nɔ́ yí wǎn	obsessed
avivi	obsession
nùɖíɖó tɔn lɛ	obsolete
gbeta	obstacle
yí	obtain
è mɔ	obtained
é ɖò wɛn	obvious
é ɖò wɛn	obviously
hweɖelɛnu	occasionally
un nyí	occupation
è nɔ́ yí	occupied
nǔ nɔ jɛ	occur
é jɛ	occurred
nǔ nɔ jɛ	occurs
xù	ocean
azan ɔ	october
mɛ mù	odd
nùkpɔnmɛ	odds
un	of
é ɖò wɛn	of course
e ɖo azɔ́	off
nùbló	offensive
xógbé	offer
flɔ́n	offer
azɔxɔ	office
azɔ̌watɔ́	official
azɔn gègě wɛ	often
éé	Oh
nugbǒ wɛ	oh really
ami	oil
é nyɔ́	ok
alɔví ce	ok dear
E nyɔ́	ok honey
Kún ce	ok my love
é nyɔ́	okay
é nyɔ́ vǐví	okay baby
é nyɔ́ xɔ́ntɔn	okay dear
é nyɔ́, vǐví	okay honey
e nyɔ́ xɔ́ntɔn	okay my love
mɛxó	old
ɖò	on
azɔn ɖokpo	once
ɖokpo	one
gbè ɖokpo kún kpé ó	one language is never enough
xɛ	onion
nǔ e ɖò wemaxɔmɛ lɛ é	online
xlohùn	only
hun	open
azɔ	operation
linlin	opinion
tɛnkpɔn	opportunities
dŏ wŭ	opportunity
kpénà	opposite
nukúnɖíɖó	optimistic
gbeta	option
nùɖé ǎ	optional
alǒ	or
yovo zin	orange
zi zon	order
zon	order
nùɖíɖó lɛ	ordinary
tuto	organization
gbeta	orientation
fí è é sín	origin
tòxó	original
Oromo	Oromo
mɛ e ma ɖó tɔ́ ǎ	orphan
nǔ ɖevo lɛ	other
é nyí mɔ̌ ǎ ɔ	otherwise
ɖó	ought
mε tɔn	our
Nǔɖiɖe mǐtɔn wɛ nyí ɖɔ mǐ na d'alɔ mɛ bǐ bɔ ye na mɔ nukúnnú jɛ gbɛ̀ ɔ mɛ bo na ɖɔ xó dó gbè vovo mɛ.	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
Nǔɖiɖe mǐtɔn wɛ nyí ɖɔ mǐ na bló bɔ nǔ e ɖò wɛ̀kɛ ɔ́ mɛ lɛ́ɛ bǐ ná mɔ nukúnnú jɛ nǔ e ɖò wɛ̀kɛ ɔ́ mɛ lɛ́ɛ wú, bɔ nǔ ɖagbe lɛ́ɛ na jɛ.	Our mission: to organize the world's information and make it universally accessible and useful.
hɔn	out
ledudu	outcome
awu	outfit
hwezize	outgoing
tintɔ́n	outlet
nùjlɛdonǔwu	outline
hɔnto	outside
nǔ e ɖò jijɛ wɛ é	outstanding
jɔhɔn	oven
ɖi	over
ɖò fínɛ́	over there
nǔ bǐ	overall
len	overcome
nùxámɛ	overthinking
e ɖò nǔ kpé wɛ	overwhelmed
nǔ kpinkpɛn	overwhelming
é ɖó	owe
xɛ	owl
ayihun	own
xwétɔ́	owner
nyibú	ox
wefɔ́	pace
blá	pack
nùbiblà	package
sù àkwé	paid
wuvɛ̌	pain
tinmɛ	paint
wemafɔ	painting
kpɔ́	pair
nyénminyénmi	pale
atín	palm
ganzen	pan
nùxámɛ	pandemic
kpò	panic
gàn	pants
wèmá	paper
palaɖisi	paradise
nùɖé lɛ	parallel
ayikúngban	parcel
hwɛ kɛ mì	pardon
mɛjitɔ́ lɛ	parents
gletoxo	park
àcùkpà	parrot
nùsúnnú	parsley
akpáxwé	part
ɖù	participate
nùɖé	particular
tawun	particularly
alɔwliwli	partner
xwé	party
wà yì	pass
nùɖé	passage
Un ɖu	passed
jlǒ	passion
ayihunhun	passionate
hundidà	passive
xókwin	password
hwexónu tɔn	past
nùkpàkpà	patch
ali	path
nùblóbló	pathetic
suúlu	patience
azinzɔnnɔ	patient
ɖó suúlu	patient
nùjlɛdonǔwu	pattern
gbɔjɛ	pause
alijɛmɛ	pavement
su àkwè	pay
nùxámɛ	payment
alàfià	peace
fífá	peaceful
hwevihuhù	peach
atà	peak
dugo	pear
gbǎ	peas
nùɖé	peculiar
ɖŏ	pee
ɖù	pee
atinflo	peel
mɛ ɖokpo ɖokpo	peer
mɛɖòdó	peers
kpɔn	pen
nùjlɛ́mɛ	pencil
e ɖò te	pending
mɛ lɛ	people
atakin	pepper
mɔ	perceive
nǔ kpinkplɔn	perception
nùkpinkpɔn	perfect
wà	perform
azɔwanúwiwa	performance
é sixu nyí	perhaps
xwè	period
nɔ nɔ	permanent
gbè	permission
gbè	permit
kanɖodonǔwu	perseverance
nùɖíɖó	persistent
mɛ	person
mɛtɔn	personal
me	personality
nukúnɖíɖó	perspective
yí gbè	persuade
mɛdídá	pervert
làn	pet
tɛnkpɔn	phase
nùɖé	phenomenon
nùnywɛxó	philosophy
alokan	phone
foto	photo
xógbe	phrase
agbaza tɔn	physical
yí	pick
yí	pick up
nùjlɛdonǔwu	picture
nùɖé	piece
nù	pieces
xɛ	pig
ahwanné	pigeon
pilàa	pile
kɔɖonù	pillow
jɔmɛhun	pilot
nùkpá	pin
nùsúnnú	pineapple
kɔ́wé	pink
ayisùnhwin	pit
sô do	pitch
hwɛ kɛ mɛ	pity
tin mɛ	place
zédo	place
fí lɛ	places
azɔnkwín	plague
jihùn	plain
gbeta	plan
jɔmɛhun	plane
atín	plant
atín	plants
gblɛlɛ	plate
aligbɔn	platform
dayin houn	play
ɖù	play
ayi houn dida	play
dà ayihun	playing
nyɔ́	pleasant
kɛnklɛ́n	please
xomɛ nɔ hun mì	pleased
xomɛhunhun	pleasure
gbeji	pledge
nǔ gègě	plenty
nùɖé	plot
yí	plug
sunmi	plum
gbatesɔ́tɔ́	plumber
mɔ́kpàn	plural
nùjlɛdonǔwu	podcast
nùjlɛ́mɛ	poem
xójlawema	poetry
nǔ	point
nùnina	poison
kpodo kpodo kpodo	police
alixlɛ́mɛ	policy
mɛɖesɔhwe	polite
nùxámɛ	pollution
tɔ̀n	pond
xù	pool
lanmi	poop
wamamɔnɔ	poor
awadakpèkpè	pop
nùjlajla tɔn	popular
tomɛni	population
xasun	pork
hwinhwen	porridge
tɔjihun	port
tɛn	position
nùjlɛdonǔwu	positive
ɖó	possess
nùnɔ́	possession
xwétɔ́	possessive
nǔ sixu jɛ	possible
wɛn ɖé	post
wɛn	post
ɖŏ gbè	postpone
atín	potato
wlenwin	potential
goyitɔ́	pound
wamamɔnɔ	poverty
hlɔnhlɔn	power
hlɔnhlɔn	powerful
nùjiwǔ	practical
sé dó	practice
kpa	praise
lɔ́yà	prank
xoɖɛ	pray
xɔ akwɛ	precious
é jɛxa	precise
é ɖò wɛn	precisely
ɖŏ ɖŏ	predict
yí wǎn	prefer
e è nɔ yí gbè ná	preference
xò	pregnant
ɖŏ wŭ	prejudice
xɔmɛ	premises
akwɛ́	premium
nùxámɛ	preparation
blóɖó	prepare
è bló	prepared
nùnùklàjé	preposition
ɖò	presence
ɖŏ	present
nǔɖɔɖókpɔ́	presentation
ɖù	preserve
gǎn	president
zin	press
é zin zin	press
kancica	pressure
ɖŏ nù	pretend
nyɔ ɖεkpε	pretty
é nyɔ́ ganjí	pretty
kpà kɛ́n	prevent
nukɔn tɔn	previous
nùwli kànlin	prey
akwɛ́ tɔn	price
goyiyi	pride
vɔ̌sánú-xwlémawutɔ́	priest
nùɖíɖó nukɔntɔn	primary
xùnà	prime
axɔsuvi	princess
akwɛ́ kpinkpɛn	principal
nukɔnmɛ	prior
nukɔn yiyi	priority
ganxó	prison
mɛɖokponɔ	privacy
mɛɖesunɔ tɔn	private
wǔjɔmɛ ɖé wɛ	privilege
ajɔ	prize
é sixu nyí	probably
tagba	problem
azɔwanú	procedure
yì nukɔn	proceed
gbèjé	process
hwɛɖíɖó	process
do tè	produce
nùɖé	product
kplididé	production
azɔ̌	profession
azɔ̌watɔ́	professional
nùjlɛdonǔwu	profile
lèdudu	profit
nùkanmɛ	profound
yi nukɔ́n	progress
nukɔnyiyi	progress
azɔwanú	project
nùɖíɖó nukúnɖeji	prominent
akpá	promise
akpá dido	promise
d'alɔ mɛ	promote
ɖyɔ́dó	promotion
kpò	prompt
ɖíɖá	prone
me élɔ́ lé	pronouns
kpɔn	pronunciation
kúnnuɖenú	proof
jɔwùn	proper
ɖ'ayǐ	properly
mimé	properties
nùnyɔ́nà	property
xogbè	proposal
nukúnɖíɖó	prospect
ɖùɖù	prosperity
dɔkunnɔ	prosperous
cyɔn alɔ jí	protect
goyiyi	proud
xlé	prove
nà	provide
è ná	provided
tokpɔn	province
cédéé	provision
mɛvǔmɛ	puberty
mɛɖesɔhwe	puberty
mɛ lɛ	public
dɔn	pull
ayikpen	pumpkin
nɔ ɖó ganmɛ	punctual
nùkpàkpà	pupil
xɔ	purchase
ayi ɖó wɛ́n	pure
alɔví	purple
linlin	purpose
akwɛ́kpo	purse
blà gbà nu me	pursue
dŏ gudo	pursuit
dŏ	push
sɔ́	put
nǔwukpikpé	qualification
jujɔ́	quality
nabi Ka wɛ	quantity
è ɖó ná ɖó wǔ	quarantine
ɖgi lɛ	quarrel
ba hjo	quarrel
xota ɖokpo	quarter
Quechua	Quechua
axɔ́sú	queen
nǔglɔ́	queer
nùkanbyɔ	query
nùkanbyɔ	question
alɔ́	queue
avɔnu	queue
yá wǔ	quick
yá wǔ	quickly
dŏ wŭ	quiet
nùɖúɖú	quilt
jó dó	quit
é kpé	quite
nùkanbyɔ	quiz
kinkanbyɔ́	quotation
xókwín	quote
ɖɔ	quote
xota lɛ	quotes
azwi	rabbit
gbɛ̀	race
xomɛsin	rage
jĭ	rain
xwégbe	raise
è xwégbe	raise
è sɔ́	raised
hɔn	ran
nùɖé	random
sè xwè	range
bibi	rapid
kpɔnkpɔn	rapidly
nùxámɛ	rare
hweɖelɛnu	rarely
xomegblédome	rash
xɛ	rat
xùnà	rate
é nyɔ́	rather
nùjlɛ́n	ratio
nùɖíɖó	rational
lanjɔmɔ́	raw
ðò	re
kpé	reach
ɖŏ wŭ	reached
nǔwiwa	reaction
bǐ	read
xà	reading
mǐ ɖò gbesisɔmɛ	ready
nùjɔnǔ	real
nùgbonùgbo	reality
mɔ nǔ jɛ	realize
mɔ nǔ jɛ	realized
nugbǒ wɛ	really
gudo	rear
hwɛjijɔ	reason
nùnywɛ kpé	reasonable
yí gbè	recall
yiyi	receipt
yí	receive
yíyi	received
hweɖenu	recent
zaanɖé dìn	recently
yí	reception
nùdidà	recipe
glàglà	reckless
kpɛ ɖíɖo	recognition
tuùn	recognize
mɔ	recognize
ɖè wě xá	recommend
è ɖɔ	recommended
ɖŏ wŭ	record
ɖyɔ́	recover
ɖyɔ́	recovery
nùkùnmé	rectangle
alɔvɔ	red
yí	redeem
yí yí	redemption
ɖé kpò	reduce
nùɖíɖó e ma ɖó hudo tɔn ǎ	redundant
ɖɔ xó	refer
nùjlɛ́n	reference
nɔ ɖɔ	reflect
ayixà	reflection
hanyiyi	refrain
nùɖúɖú	refrigerator
yí gbè	refund
gbɛ́	refuse
è gbɛ́	refused
kpɔ́n	regard
ɖó xó dó	regarding
é ɖò có	regardless
kpɔ́n	regards
fí ɖé	region
wemaxɔmɛ	register
hwɛ dó mì	regret
hwɛhwɛ	regular
hwɛhwɛ	regularly
gbɛ́	reject
ɖɔ xó	relate
nùɖé	related
kancica	relationship
ɖiɖo	relative
miman ɖiɖo	relative
mɛɖòdó	relatives
gbɔjɛ́	relax
édjo do	release
djo do	release
jo nyi	released
daxo	relevant
alǒ	reliable
È sixu ɖeji dó wu	reliable
gbɔdónúmɛ	relief
gbɔjɛ	relieve
e ɖè sín azɔ̌ tɔn mɛ	relieved
sinsɛn	religion
sinsɛn	religious
nǔ nɔ jló mɛ ǎ	reluctant
ɖíɖá	rely
nɔ̀	remain
nǔ e kpo lɛ é	remaining
nǔ nukúnɖeji	remarkable
gbɔdónúmɛ	remedy
flín	remember
flín	remind
nùjiwǔ	reminder
lin lin	remote
ɖè	remove
ɖ'ayi	render
xɔ xɔ	rent
ɖyɔ́	repair
lɛ́ ɖɔ̀	repeat
ɖyɔ	replace
yí gbe	reply
ɖŏ gbè	reply
alinu	report
le sɔ́ yi	report
ɖekúnnu	represent
nyikɔ	reputation
byɔ́ byɔ́	request
kan bɔ́	request
byɔ	require
nǔ è ɖó ná bló	required
hwlɛn	rescue
nùkpinkplɔn	research
ɖi	resemble
xomɛsin	resentment
e ɖù kpɔ́n gǎndido tɔn lɛ	reservation
kpasin	reserve
nɔ nɔ	resident
jó azɔ̌ ɔ dó	resign
nǔwukpikpé	resilience
é nɔ́ gbò	resilient
ɖíɖá	resist
ɖíɖá	resistance
gbeta ɖé	resolution
gbeta ɖé	resolve
gbɔjɛtɛn	resort
akwɛ	resources
si	respect
mɛsisi	respect
yí gbe	respond
xósin	response
azɔ̌	responsibility
agbandotanànɔ	responsible
gbɔjɛ	rest
gbɔjɛ́ ɖo fífá mɛ	rest in peace
nùɖuɖu	restaurant
ɖyɔ́n	restore
buwùntù	restrict
xɔxɔ́	result
xɔxɔ́	results
ɖŏ azɔ̀	resume
nùɖúɖú tɔn	retail
ɖo ken ji	retain
ze nu hén	retention
mɛ e yì ezɔ́	retired
ɖyɔ́	retreat
yí sin	retrieve
lɛkɔ	return
ɖè xlè	reveal
e ɖe xlɛ́	revealed
hlɔn	revenge
akwɛ́ e è nɔ mɔ	revenue
yì gudo	reverse
kéjékéjé	review
kéjé kpɔ́n	review
ɖyɔ́	revise
kpɔnkpɔn	revision
huzuhuzu	revolution
ajɔ	reward
ayihun	rhythm
xù	rib
molukun	rice
dɔkunnɔ	rich
ɖè sin	rid
gboblibli	ride
klà	ride
nùblóbló	ridiculous
jlɔ́jlɔ́	right
dìn dìn	right now
é nɔ gblé	rigid
nùɖé	ring
hù	rinse
nǔdindɔn	riot
voun	rip
évoun	rip
nùkún	ripe
jijɛji	rise
sɔ́ do é ji	rise
djidi déya	risk
édo djidi déya	risk
kpɔ́n kpɔ́n	rival
tɔsisa	river
ali	road
sisɔ	roast
é nɔ́ syɛ́n	robust
só	rock
bàtakùn	rod
wà	role
wlan	roll
xɔ	roof
xɔ	room
gúdó	root
kàn	rope
nyinyɔ	rotten
gidigidi	rough
nùɖé	roughly
gbloboto	round
ali è nɔ gbɔn	route
nùxámɛ	routine
xwé	row
ɖì	rub
gú	rubber
awinyà	rubbish
mɛ ma ɖó sísí ǎ	rude
tikwéé	rug
gblégblé	ruin
nugbodòdó	rule
wèmàzénù	ruler
nugbodòdó lɛ	rules
hɔn	run
jijɔ	running
gleta tɔn	rural
nùxámɛ	rush
tɔ́n	rush
adɔ́kpo	sack
nǔ mímɛ́	sacred
vɔsisa	sacrifice
nùɖé nɔ́ wà ǎ	safe
jɔmɛhun ɖé	safe flight
vivomimɔ́	safety
nùnywétɔ́	sage
ɖɔ	said
xù	sail
xù	sailing
yehwè	sake
azɔkwɛ	salary
nùblíblí	sale
tɔ́n	salmon
jɛ	salt
ɖĕvo	same
Nyɛ lɔ ɔ	Same here
kpɔ́ndéwú	sample
kɔ́n	sand
Sanskrit	Sanskrit
lennɔ́	sarcastic
do gbangbè	sassy
nɔ́ nɔ́ nɔ́	sat
nyɔ́nú	satisfaction
é nyɔ́ xomɛ	satisfied
kpé nukún dó	satisfy
nǔ nyɔ́	satisfying
gbɔjɛzán	Saturday
nùsúnnú	sausage
gblǒ	savage
xàsà do	save
nǔjlɛ́n	saw
ɖɔ	say
kpò	scale
nùblíblí	scam
ɖá	scar
nùxámɛ	scarce
xɛsi ɖi mì	scared
alɔkpa	scarf
xɛsi ɖi	scary
gba kpé	scattered
nùɖé	scene
vivanù	scenery
wǎn	scent
azǎnzángbè	schedule
azɔmɛxɔmɛ	school
nùnywɛ xwitixwiti	science
nùnywɛ xwitixwiti	scientist
nùnywɛ xwitixwiti	scientists
nùsúnnú	scissors
hlun	scold
azɔwanú	scope
kpɔnkpɔn	score
xwyɔ́	scrap
klù	scratch
xlɛ́	scream
xàgbàjé	screen
afɔkpá	screw
nùwlanwlan	script
xù	sea
xɛ	seal
ba	search
xwè tɔn	season
tɛn	seat
wegɔ́ ɔ	second
wèmá	secret
akpáxwé	section
é ɖò ganjí	secure
sekirité	security
d'alɔ	see
mɔ mi	see you
Mǐ ná mɔ mi ɖò nukɔnmɛ	see you later
Mǐ ná mɔ mi ɖò malín málín mɛ	see you soon
Nukɔntɔn	see you tomorrow
jinukún	seed
ba	seek
é ci	seem
é cí ɖɔ	seems
mɔ	seen
wii	seize
nùxámɛ	seizure
hweɖelɛnu	seldom
sɔ́	select
mɛɖesunɔ tɔn	self
nùjlɛ́jlɛ́	self healing
éɖokponɔ	selfish
sà	sell
sɛ́ dó	send
sɛ́ wuntun towe dó mì	send me your picture
mɛxo	senior
nùnywɛ	sense
nùnywɛ kpé	sensible
càywé	sensitive
sè	sent
xota	sentence
xota lɛ	sentences
è ɖè	separate
Sepedi	Sepedi
suntɔn	september
ɖén dén	sequence
nùjlɛdonǔwu	series
nùɖé syɛnsyɛn	serious
wè wè	seriously
flɔ̀n	serve
azɔ̌	service
kplé	session
ɖŏ wŭ	set
gbeta	set
ɖŏtana	set up
ɖŏ	setting
ɖŏ	settle
tɛ́nwe	seven
xwè kanɖé gban	seventeen
kanɖé gban	seventy
nùɖé lɛ	several
adàntɔ́nɔ́	severe
ɖà	sew
ɖ	sh
hùn	shade
yɔdo	shadow
xò	shake
ɖó na	shall
nù	shallow
winnyá	shame
alɔkpa	shape
nùmima	share
dà	sharp
é	she
é ɖó	she has
é wɛ	she is
kɔ́n nyi	shed
lɛngbɔ́	sheep
wèmá	sheet
akakadà	shelf
xù	shell
xɔ	shelter
gǎglónú	shield
ɖŏ	shift
é nɔ́ kɔ́n	shine
tɔjihun	ship
tɔjihun	shipping
awu	shirt
afɔkpa	shoes
dŏ	shoot
xɔ	shop
xɔxɔ	shopping
xù	shore
kpéwùn	short
hihàn	shortage
da twi	shot
da	shot
ɖó na	should
alɔ	shoulder
sú xó	shout
sɔ xlɛ	show
gàn	show
xlɛ́ mì	show me
wùlèxɔ́sà	shower
xɛ̀n	shrimp
ɖè kpo	shrink
xò	shut
nɔ xwɛ	shut up
winnyá	shy
nɔví	sibling
nɔví	siblings
azɔn	sick
akpá	side
gbɔdónúmɛ	sigh
nukún	sight
kpɔ́n fí lɛ	sightseeing
wuntun	sign
alɔwliwli	signature
nùjɔnǔ	significant
xwɛ	silence
xwɛ	silent
nùsúnnú	silk
yɛjɛɛ́	silly
akwɛ	silver
nǔ ɖokpo ɔ	similar
nùɖé kpowun	simp
blakasaà	simple
ɖò hwe ɖokpó ɔ́ mɛ	simultaneously
sín hwenu e	since
nugbǒ nugbǒ	sincere
nugbǒ nugbǒ	sincerely
ji han	sing
nùxixo	singer
mɛ ɖokpo	single
kéjé kpɔ́n	sink
gbéjègbéjé	sink
Mɛɖaxó	Sir
nɔví nyɔnu	sister
nɔví nyɔnu	sister in law
nɔ ayǐ	sit
tɛn	site
nyinyi	situation
ayizɛ́n	six
kanwe afɔtɔn	sixteen
kanɖé kanɖé	sixty
jlɛ̀n	size
ɖŏ mε	skill
azɔwanú	skills
kɔ́	skin
kéncéén	skinny
linlɔ́n	skip
awu	skirt
jixwé	sky
kannumɔ	slave
dɔ amlɔ	sleep
amlɔ	sleeping
amlɔ	sleepy
alɔkpa	sleeve
ouncin	slice
nucincin	slice
nùjlɛdonǔwu	slide
hweɖě	slightly
kpikpa	slim
ɖŏ	slip
dŏ	slope
mɔ	slot
kpò zɔ́n	slow
dèdè	slowly
kpɛví	small
nùnywɛ	smart
wǎn	smell
nu kiko	smile
jɔhɔn	smoke
ɖì	smooth
nùɖúɖú	snack
ayimenù	snack
xɛ́	snail
dan	snake
kpɔn	snap
sεnεn	snow
hǔn	so
é víví tawun	so cute
káká jɛ din	so far
xwi	soak
nùsúnnú	soap
yàyà	sober
bɔlu	soccer
gbɛ̀nɔ	social
agun ɔ	society
afɔkpa	socks
dide	soft
azɔwanú	software
ayikúngban	soil
è sa	sold
è sa nǔ tɔn bǐ	sold out
sɔ́ja	soldier
tɔ́n	sole
jangbaàn	solid
wè	solution
ɖeɖɛ	solve
ɖé lɛ	some
mɛ ɖé	somebody
gbɔn alɔkpa ɖé mɛ	somehow
mɛ ɖé	someone
nùɖé	something
hweɖelɛnu	sometimes
han	song
zaanɖé	soon
nǔ kpinkpɛn	sophisticated
Sorani	Sorani
nuvɛ nan	sore
ɖù	sore throat
aluwɛ	sorrow
é vɛ́ nú mì	Sorry
ɖŏ azɔ̌	sort
ba	sought
ayi	soul
mɛ e ɖò gbɛ xá emi é	soulmate
gbeɖiɖe	sound
nùsúnnú	soup
mùmù	sour
tɔ́jɔ́tén	source
tofɔligbé	south
tɛntin	space
nùjlɛ́jlɛ́	spam
gbò	span
Epanɛ́n	Spanish
fí	spare
tɛn	spare
ɖɔ xó	speak
vó	special
alɔkpa lɛ	species
nùɖé	specific
nǔ nukúnɖeji	spectacular
xóɖiɖɔ	speech
é nɔ́ ɖɔ xó ǎ	speechless
gege	speed
nùɖé	spell
zán	spend
è zán	spent
kpéclenkùn	spicy
wùn	spike
ɖŏ jĭ	spin
fɔ́tetè	spinach
gbigbɔ	spirit
dè atàn	spit
é nyɔ́ ɖɛkpɛ	splendid
klànklàn	split
vlɔ́	split
gblé	spoil
nùblawú	spoiled
sù	spontaneous
àgiwi	spoon
tɛntin	spot
alɔwliwli	spouse
gbló	spread
gbε	spring
tɛnkpɔn	square
sin kàn do	squeeze
xɛ	squid
dɔ́n	squirrel
nù	st
dŏ	stab
é nɔ́ nɔ̀	stable
donu	stack
azɔ̌watɔ́	staff
tɛnkpɔn	stage
ɖì	stain
siká	stairs
akɔ́	stake
atinkàn	stalk
agbantitè	stall
wuntun	stamp
ginnaà	stand
mlè tè	stand
gàn	standard
sunví	star
jɛ̀	start
e jɛ	started
xovɛ́ ɖò xovɛ́ wɛ	starving
ninon min	state
yidé	state
xóɖiɖɔ	statement
tɛntin	station
atinmesɔ́	statue
tɛnkpɔn	status
nù kpùkpo	stay
ci tè	stay
nɔ ayijayǐ mɛ	stay safe
ɖíɖá	steady
xɛ́	steak
yí	steal
jɔhɔn	steam
ganwliwli	steel
kocaà	steep
atinkàn	stem
dŏ	step
kpàn	stick
dŏ wŭ	stiff
ayǐhɔ́ngbe	still
nùmeme	sting
nǔglɔ́	stingy
tukla	stir
cédéé	stock
wŭ	stolen
adɔgo	stomach
awǐnnya	stone
nɔ te	stood
zinkpo	stool
nɔ te	stop
sin	storage
xɔ ɔ	store
jɔhɔn ɖaxó	storm
xota	story
zanzan	stove
ɖisi	straight
blakasaà	straightforward
bǐbɛ̌mɛ	strain
nùxámɛ	strange
nùɖé	strange
jonɔ	stranger
tuto	strategy
fàn	straw
nùxuxu	strawberry
ɖŏ	streak
xù	stream
ali	street
hlɔnhlɔn	strength
adǎn	stress
dlen	stretch
adàntɔ́nɔ́	strict
nùɖé	strike
nùjlɛjlɛ	string
xɛ́	strip
dó gǎn	strive
nùxámɛ	stroke
hlɔnhlɔn	strong
do alɔ́ wù	struck
xɔ́gbigbà	structure
asàdànnyidànnyi	struggle
xò hùn	struggle
ɖò ahwan fun wɛ	struggling
gblé	stubborn
é ɖò xú	stuck
azɔmɛvi	student
kplɔ́n wèmà	study
kplɔ́nkplɔ́n	study
azɔmɛ	studying
nǔ lɛ	stuff
kpodo ayihun kpo	stunning
xlonɔ	stupid
nǔwiwa	style
Nùnina ɔ	subject
hwíhwɛ́	submission
xwlé nùdé me	submit
nùɖé	substance
tɛnkpɔn	substitute
dide	subtle
kpà me	succeed
é ɖù	success
é ɖù	successful
mɔ̌hunkɔtɔn	such
ɖi ɖi	such as
gbɔ́n	suck
nǔ kpò	sudden
azɔn ɖokpo	suddenly
ya ji	suffer
yajiji	suffering
nǔ kpé	sufficient
suklu	sugar
ɖè wě	suggest
wěɖexámɛ	suggestion
awù	suit
nùɖíɖó e sɔgbe é	suitable
azɔkwɛ́	suitcase
kpikpé	sum
nùɖé kpinkplɔn	summary
xwè	summer
atà	summit
hwezivɔ	sun
gbadanu	sunday
hwezivɔ	sunny
hwe ɖì	sunset
hwesivɔ	sunshine
nyla kàn	super
mɛ e hú gǎn	superior
nukúnkpinkpan	supervisor
hunmexwlé	supper
nà	supply
kpasin	supply
dŏ alɔ	support
alɔ dŏ	support
ɖɔ	suppose
é ɖó ná nyí	supposed
é ɖò wɛn	sure
fí è ɖè	surface
nùxámɛ	surge
