ⴰ	a
ⵓⵔ ⴷⵯⵢⴻⵜⵜⵉⵍⵉ ⴰⵔⴰ	doesn't
ⴰⵢⴷⵉ	dog
ⴹⵓⴳⵔⵉ	Dogri
ⵢⴻⵅⴷⴻⵎ	doing
ⵜⴰⵒⵓⵒⵉⵍⵜ	doll
ⴰⴳⵎⵓⴹ	domain
ⴰⵅⵅⵣⵎ	domestic
ⵜⴻⵃⴽⴻⵎ	dominant
ⵓⴻ ⴷⵯⵜⴰⵔⵔⴰ ⴰⵔⴰ	don't
ⵓⵔ ⵜⵜⵇⴻⵍⵉⴰ ⴰⵔⴰ	Don't worry
ⴰⵚⴻⴷⴷⴻⵇ	donate
ⵉⴼⵓⴽⴽ	done
ⴰⵖⵢⵓⵍ	donkey
ⵣⴻⵟⵍⴰ	dope
ⵓⵙⵍⵉⴳ	double
ⵢⵛⵓⴽ	doubt
ⴰⵔⴻⴽⵜⵉ	dough
ⵖⴻⵔ ⵍⵇⴰⵄⴰ	down
ⵙⵙⵉⴳⴻⵣ	download
ⴰⵔⵓ	draft
ⵣⵣⵓⵖⵓⵔⴻⵖ	drag
ⴰⵙⵓⴼ	drain
ⵜⴰⵎⵓⴳⴳⵉⵜ	drama
suneɣ	draw
ⵍⴻⵇⵊⴻⵔ	drawer
ⵙⵙⵓⵏⴻⵖ	drawing
ⴰⴼⵊⴰε	dread
ⴰⵔⴳⵓ	dream
ⵜⴰⵇⴻⵏⴷⵓⵔⵜ	dress
ⵜⴰⵙⴻⴼⵍⵓⵜ	drill
ⵙⴻⵡ	drink
ⵢⴻⵏⵀⴻⵔ	drive
ⵢⴻⵖⵍⵉ	drop
ⵢⵀⴻⵡⵡⴻⴷⵯⴷ	dropped
ⵜⴰⵖⴰⵔⵜ	drought
ⵢⴻⵙⵡⴰ	drunk
ⵢⴻⴽⴽⴰⵡ	dry
ⴰⴱⵔⵉⴽ	duck
ⴰⵢ ⴰⵎⴻⴷⴷⴰⴽⴻⵍ	dude
ⵍⵃⴻⵇ	due
ⵉⵎⵉ	due to
ⴷ ⴰⵎⵅⵓⵎ	dull
ⵓⵏⴳⵉⴼ	dumb
ⴰⴽⴰⵎⵢⵓⵏ	dump
ⵜⴰⵍⵍⵉⵜ	duration
ⴷⴻⴳ	during
ⴰⵖⴻⴱⴱⴰⵔ	dust
ⵍⵡⴰⵊⴻⴱ	duty
ⵢⴻⵣⴷⴻⵖ	dwell
ⵢⴻⵜⵜⵎⴻⵜⵜⴰⵜ	dying
ⵢⴰⵍ ⵢⵉⵡⴻⵏ	each
ⵡⴰ ⵖⴻⵔ ⵡⴰⵢⴻⴹ	each other
ⵢⴻⵙⵄⴰⵏ ⵍⴻⴱⵖⵉ	eager
ⵉⴳⵉⴷⴻⵔ	eagle
ⴰⵎⴻⵥⵥⵓⵖ	ear
ⵣⵉⴽⵯⵏⵏⵉ	earlier
ⵣⵉⴽ	early
ⵔⴻⴱⵃ	earn
ⵉⵎⴻⵥⵥⵓⵖⴻⵏ	ears
ⴰⴽⴰⵍ	earth
ⵜⵣⴻⵏⵣⴻⵍⵜ	earthquake
ⵜⴰⵙⵓⵙⵎⵉ	ease
ⵙ ⵜⴻⴼⵙⴻⵙ	easily
ⴰⵙⴰⵎⵎⴰⵔ	east
ⴰⵙⵀⴻⵍ	easy
ⴰⵞⵞ	eat
ⵜⵓⵞⵞⵉⵜ	eating
Admis	economic
ⵜⴰⴷⴰⵎⵙⴰ	economy
ⵔⵔⵉⴼ	edge
ⵥⵔⴻⴳ	edit
ⴰⵙⴻⵍⵎⴻⴷ	education
ⴰⵙⴻⵎⴷⵓ	effect
ⵢⴻⵙⵄⴰⵏ ⴰⵣⴰⵍ	effective
ⴰⴼⵓⴷ	efficiency
ⵢⴻⵙⵄⴰⵏ ⴰⵣⴰⵍ	efficient
ⴰⴼⵓⴷ	effort
ⵜⴰⵎⴻⵍⵍⴰⵍⵜ	egg
ⴱⴰⵜⴻⵏⵊⴰⵍ	eggplant
ⵉⵎⴰⵏⵯⵉⵡ	ego
ⵜⵎⴰⵏⵢⴰ	eight
ⵎⵔⴰⵡ ⴷ ⵟⴰⵎ	eighteen
ⵟⴰⵎ ⵏ ⵜⵎⴻⵔⵡⵉⵏ	eighty
ⵏⴻⵖ	either
ⴰⵙⵏⵓⵍⴼⵓ	elaborate
ⵜⴻⵖⵎⴻⵔⵜ	elbow
ⴰⵎⵖⴰⵔ	elder
ⴰⵎⵖⴰⵔ	elderly
ⵢⴻⵍⵀⴰ	elegant
ⴰⴼⵜⵓⵙ	element
ⵉⵍⵓ	elephant
ⵎⵔⴰⵡ ⴷ ⵢⵉⵡⴻⵏ	eleven
ⵢⴻⵙⵄⴰⵏ ⴰⵣⴻⵔⴼ	eligible
ⵢⴻⴽⴽⴻⵙ	eliminate
ⴰⵢⴻⵏ ⵏⵏⵉⴹⴻⵏ	else
ⵃⴻⵛⵛⵎⴻⵖ	embarrassed
ⵍⴻⵃⵕⵉⵙ	embarrassing
ⵇⴱⴻⵍ	embrace
ⵙⵉⴼⵔⵉⵔ	emerge
ⵢⴻⵄⴵⴻⵍ	emergency
ⵢⴻⵜⵃⵓⵍⴼⵓ	emotional
ⵍⵖⵉⴹ	empathy
ⵜⵉⵍⴰⵡⵜ	emphasis
ⵢⴻⵜⵜⵃⴻⵜⵜⵉⵜ	emphasize
ⴰⵅⴻⴷⴷⴰⵎ	employee
ⵉⵅⴻⴷⴷⴰⵎⴻⵏ	employees
ⴰⵏⴻⵎⵀⴰⵍ	employer
ⴰⵅⴻⴷⴷⵉⵎ	employment
ⵉⵍⴻⵎ	empty
ⵢⴻⵣⵎⴻⵔ ⵍⵃⴰⵍ	enable
ⵢⴻⵎⵍⴰⴽ	encounter
ⵙⵙⴻⵍⵀⵓ	encourage
ⵜⴰⴳⴳⴰⵔⴰ	end
ⴷⴻⴳ ⵓⵎⵉⵀⵉ	endangered
ⵉⴼⴰⴷⴷⴻⵏ	endeavor
ⵜⴰⵣⵉⴷⵉⵔⵜ	endurance
ⵢⴻⵙⵄⴰⵏ ⵚⵚⴱⴻⵕ	endure
ⴰεⴷⴰⵡ	enemy
ⵜⴰⵣⵎⴻⵔⵜ	energy
ⵢⴻⵅⴹⴻⴱ	engage
ⵢⴻⵅⴷⴻⴱ	engaged
ⵍⴻⵅⴹⵓⴱⴻⵢⵢⴰ	engagement
ⴰⵎⵓⵜⵓⵔ	engine
ⴰⵊⴻⵏⵢⵓⵔ	engineer
ⵜⴰⴳⵍⵉⵣⵉⵜ	English
ⵢⴻⵙⵏⴻⵔⵏⵉ	enhance
ⵄⴻⴴⴱⵯⴰⵙ	enjoy
ⴰⵎⴻⵇⵇⵔⴰⵏ	enormous
ⵉⵛⴰⵟ	enough
ⴰⴷ ⴷⵯⵢⴻⴼⴽ	ensure
ⴽⴻⵛⵎⴻⵜ	enter
ⵣⵣⵀⵓ	entertainment
ⴰⵣⵏⴰⵍ	enthusiasm
ⵉⵎⵏⵓⴼⴰⴳ	enthusiastic
ⴰⴽⴽ	entire
ⴰⵣⵔⴻⴼ	entitled
ⴰⵎⵙⴰⵔⵉ	entity
ⵓⵏⴻⴽⵛⵓⵎ	entrance
ⵉⵎⵄⴻⵍⵍⴻⵎ	entrepreneur
ⵜⴰⴱⵔⴰⵜ	envelope
ⵜⵉⵡⴻⵏⵏⴰⴹⵉⵏ	environment
ⵜⵉⵙⵎⵉⵏ	envy
ⵜⵉⵎⴻⵍⵃⴻⵎⵜ	epic
ⵜⴰⵙⴰⴽⵔⴰⵔⵜ	epidemic
ⴰⵎⵣⵓⵏ	equal
ⴰⵍⵍⴰⵍ	equipment
ⴰⵎⵓⵔ ⵏ ⵜⵏⴻⴼⵙⵉⵜ	equity
ⴽⵉⴼⴽⵉⴼ	equivalent
ⵙⴻⴼⴻⴹ	eraser
ⵜⵓⵛⵛⴹⴰ	error
ⵜⴰⵔⵡⵍⴰ	escape
ⵍⴰⴷⵖⴰ	especially
ⵜⵚⴻⴷⴷⴰⵔⵜ	essay
ⵜⵓⵎⴰⵙⵜ	essence
ⵢⴻⵙⵙⴻⴼⴽ	essential
ⴰⵙⴻⴱⴷⴻⴷ	establish
ⵢⴻⵜⵜⵡⴰⵙⴱⴻⴷⴷ	established
ⵓⵖⴻⴳⴳⴰⴷ	estate
ⴰⵙⵓⴳⴻⵏ	estimate
ⴰⵣⴰⵍ ⵏ	estimated
ⴰⵜⴳ	etc
ⴰⵎⵓⴷ	eternal
ⵜⴰⵖⴻⵎⴰ	ethics
ⴰⵙⵎⵓⵇⵇⴻⵍ	evaluate
ⴰⵙⴻⵖⵜⵉ	evaluation
ⵓⵍⴰ ⴷ	even
ⵖⴰⵙ ⴰⴽⴽⴻⵏ	even though
ⵜⴰⵎⴻⴷⴷⵉ	evening
ⵜⴰⴷⵢⴰⵏⵜ	event
ⵜⴰⴳⴳⴰⵔⴰ	eventually
ⵢⴰⵍ ⴰⵙⵙ	ever
ⵢⴰⵍ	every
ⵎⴻⴷⴷⴻⵏ ⴰⴽⴽ	everybody
ⴰⴽⴽ	everyone
ⴽⵔⴰ ⵢⴻⵍⴰⵏ	everything
ⵉⵙⵙⴻⴽⵏⵉⵢⴻⵏ	evidence
ⵢⵉⵔ	evil
ⵜⵉⵎⴻⵔⵏⵉ	evolution
ⵢⴻⵏⵔⵏⴰ	evolve
Eⵡ	Ewe
ⴰⵎⴻⴷⴷⴰⴽⴻⵍ ⵏ ⵣⵉⴽ	ex
ⵙⵡⴰⵙⵡⴰ	exact
ⵙⵡⴰⵙⵡⴰ	exactly
ⴰⴽⴰⵢⴰⴷ	exam
ⵜⵜⵎⵓⵇⵓⵍ	examine
ⴰⵎⴻⴷⵢⴰ	example
ⵢⵓⴳⴰⵔ	exceed
ⵢⴻⵍⵀⴰ	excellent
ⵙⵉⵡⴰ	except
ⴰⵍⴰ	exception
ⴰⵙⵟⵓⵇⵇⵓⵜ	excess
ⵙⵟⵓⵇⵇⵓⵜ	excessive
ⴰⴱⴻⴷⴷⴻⵍ	exchange
ⵙⴻⵇⵍⵉⵍⴻⵃ	excited
ⴰⵏⴱⴰⵛ	excitement
ⵢⴻⵙⵙⴻⵡⵀⴰⵎ	exciting
ⴰⵎⴰⴳⴰⵣ	exclusive
ⵙⵙⵓⵔⴻⴼⵯⵉⵢⵉ	excuse
ⵙⵙⵓⵔⴻⴼⵯⵉⵢⵉ	excuse me
ⵓⵇⵇⴻⵎ	execute
ⵜⴰⵙⴻⵍⴽⴻⵎⵜ	execution
ⴰⵎⴹⴻⴱⴱⴻⵔ	executive
ⵍⵖⴻⵍ	exercise
ⴼⴼⴰⴳⴳⵡⴻⵖ	exhaust
ⵢⴻⵙⵄⴰ	exhausted
ⵜⵉⵎⵣⵉⴽⴻⵏⵜ	exhibit
ⵜⵉⵎⵣⵉⴽⴻⵏⵜ	exhibition
ⵢⴻⵍⵍⴰ	exist
ⵜⵉⵍⴰⵡⵜ	existence
ⵉ ⵢⴻⵍⵍⴰⵏ	existing
ⵜⵓⴼⴼⵖⴰ	exit
ⵎⵖⵓⵔ	expand
ⵔⵊⵓ	expect
ⵢⴻⵜⵜⵓⵏⴻⴼⴽ	expected
ⴰⵙⴻⵔⵔⴻⴼ	expenses
ⵖⵍⴰⵢ	expensive
armi	experience
ⵜⴰⵔⵎⵉⵜ	experiment
ⴰⵎⵓⵙⵙⵏⴰⵡ	expert
ⵢⴻⵎⵎⵓⵜ	expired
ⴻⴼⵀⴻⵎ	explain
ⴰⵙⴻⴳⵣⵉ	explanation
ⵜⴰⵏⴼⵓⵙⵜ	exploit
ⴰⴷ ⴷⵯⵏⴰⴷⵉ	explore
ⴰⵙⵙⵉⴼⵉⴹⴻⵏ	export
ⴼⵙⴻⵔ	expose
ⵉⴱⴰⵏⵯ ⴻⴷ	exposed
ⴰⵙⴼⴻⵍ	exposure
ⵏⵍⴻⵎⵎⴻⴷ	express
ⴰⴷ ⴷⵯⵜⴻⵙⵙⴻⵏⴼⴰⵍⵉⴹ	expression
ⵙⴻⵖⵣⴻⴼ	extend
ⴰⵎⵔⴰⵃ	extended
ⵜⴰⵙⴳⵉⵡⵉⵜ	extension
ⴰⵙⴽⴻⵜ	extent
ⴰⵎⵏⵉⵔⵉ	external
ⵢⴻⵏⴳⴻⵔ	extinct
ⵓⴳⴰⵔ	extra
ⵢⴻⴽⴽⴻⵙ	extract
ⵉⴼⴰⵣⴻⵏ	extraordinary
ⵉⵎⵉⵅⴼⵉⵡ	extreme
ⵙ ⵡⴰⵟⴰⵙ	extremely
ⵜⵉⵟ	eye
ⴰⵍⵍⴻⵏ	eyes
ⴰⵛⴻⵟⵟⵉⴹ	fabric
ⵢⴻⵙⵙⴻⵡⵀⴰⵎⴻⵏ	fabulous
ⵙⴻⴷⵎⴻⵔ	face
ⵓⴷⴻⵎ	face
ⴰⵙⵀⴻⵍⵍⵉ	facilitate
ⴰⵔⴼⵉⵇ	facilities
ⵍⵜⴻⵙⴰⵍⴰ	facility
ⵜⵉⴷⴻⵜⵜ	fact
ⴰⵎⴻⵣⵣⴰⵔⴻⵡ	factor
ⵜⴰⵏⴻⵖⵔⴰⴼⵜ	factory
ⵜⵉⴷⴻⵜⵜ	facts
ⵜⴻⵜⵜⵕⵓⵃⵓ	fade
ⵅⴷⴻⵄ	fail
ⵢⴻⵅⵚⴻⵔ	fail
ⵢⴻⵅⵚⴻⵔ	failed
ⵍⴻⵅⵚⴰⵔⴰ	failure
ⵢⴻⵅⵍⴻⴼ	faint
ⴰⵏⴻⵎⴳⴰⵔ	fair
ⵓⵖⴷⵉⵎ	fair
ⴷⴰⵇⵙ	fairly
ⵙⴻⵏⵖⴻⴷ	fairy
ⵍⵉⵎⴰⵏ	faith
ⴰⵏⵚⵉⵃ	faithful
ⵎⴰⵞⵞⵉ ⴷ ⵡⵉⵏ ⵏ ⵜⵉⴷⴻⵜ	fake
ⵢⴻⵖⵍⵉ	fall
ⵢⴻⵖⵍⴻⴹ	false
ⵢⴻⵜⵡⴰⵙⵙⴻⵏ	fame
ⵢⴻⵜⵜⵡⴰⵙⴻⵏⴻⵏ	familiar
ⵜⴰⵡⴰⵛⵓⵍⵜ	family
ⵍⴰⵥ	famine
ⵢⴻⵜⵜⵡⴰⵙⵙⵏⴻⵏ	famous
ⵜⴻⵙⴱⵓⵃⵔⵓⵜ	fan
ⵢⴻⵔⴱⴻⵃ	fan
ⵖⵍⴰⵢ	fancy
ⵢⴻⵍⵀⴰ	fantastic
ⵉⴱⵄⴻⴷ	far
ⴰⵔ ⵜⵉⵎⵍⵉⵍⵉⵜ	farewell
ⵜⴰⴱⵃⵉⵔⵜ	farm
ⴰⴼⴻⵍⵍⴰⵃ	farmer
ⵜⴰⵏⴻⴱⴱⴰⴹⵟ	fascinating
ⵜⴻⵍⴽⵉⵎⵜ	fashion
ⵜⴰⵖⴰⵡⵍⴰ	fast
ⵢⴻⵙⵙⴻⵃⴰ	fat
ⵎⴻⵙⵙⵓⵙ	fatal
ⵜⴰⵡⴻⵏⵣⴰ	fate
ⴱⴰⴱⴰ	father
ⵄⴻⴳⴳⵓ	fatigue
ⵍⴻⵄⵢⵓⴱ	fault
ⵉⵏⴰⵔⴰⴼⴻⵏ	favorite
ⴷⴻⵔⴱⴻⵣ	favour
ⵉⵃⴻⵎⵎⴻⵍ	favourite
ⵢⵓⴳⴳⴰⴷ	fear
ⵜⴰⵎⴻⵖⵔⴰ	feast
ⵉⴼⴻⵔ	feather
ⴰⵎⴻⵢⴻⵣ	feature
ⵙⵉⴼⴰⵜ	features
ⴼⵓⵔⴰⵔ	february
ⴷⴰⵇⵙ	fed up
ⴰⵙⴻⴽⴽⵉⵍ	fee
ⴰⵖⴻⵓⵎ	feed
ⵉⵡⴻⵏⵏⵉⵟⴻⵏ	feedback
ⵃⵓⵍⴼⴰ	feel
ⵉⵃⵓⵍⴼⴰⵏ	feeling
ⵉⴹⴰⵔⵔⴻⵏ	feet
ⵢⴻⵖⵍⵉ	fell
ⴰⵎⴷⴰⴽⴻⵍ	fellow
ⵢⴻⵜⵜⵡⴰⵃⵓⵍⴼⵓ	felt
ⵜⴰⵎⴻⵜⵜⴰⵏⵜ	female
ⵙⴻⴼⵔⴻⵇ	fence
ⴷ ⵜⵉⴼⴻⵔⴽⴰ	fertile
ⵜⴰⴼⴰⵙⴽⴰ	festival
ⴰⵡⴻⴷ	fetch
ⵜⴰⵡⵍⴰ	fever
ⴽⵔⴰ	few
ⴷⵔⵓⵙ	fewer
ⴰⵎⴻⴷⴷⴰⴽⴻⵍ	fiance
ⵓⵙⵙⵓⴳⴻⵏ	fiction
ⴰⵎⴽⴰⵏ	field
ⵜⵉⵙⴻⵔⴳⴰⵍ	fierce
ⵎⵔⴰⵡ ⴷ ⵙⴻⵎⵎⵓⵙ	fifteen
ⵙⴻⵎⵎⵓⵙ ⵏ ⵜⵎⴻⵔⵡⵉⵏ	fifty
ⵏⵏⴰⵖ	fight
ⴰⵎⵎⴻⵛⵜⵛⴰⵡ	fighting
ⵢⴻⴼⵀⴻⵎ	figure
ⵢⴻⴼⵀⴻⵎ	figure out
ⵙⴻⵏⵜⵓ	file
ⵜⴻⵛⵛⵓⵔ	fill
ⵢⴻⵞⵞⵓⵔ	filled
ⴰⵙⴰⵔⵓ	film
ⵢⴻⵔⴽⴰ	filthy
ⵜⴰⴳⴳⴰⵔⴰ	finally
ⵜⴰⵥⵔⴰⴼ	finance
ⵉⴷⵔⵉⵎⴻⵏ	financial
ⴰⴼⴻⴷ	find
ⴰⴼⵯⴷ	find out
ⵢⴻⵍⵀⴰ	fine
ⵜⴰⴼⴳⵓⵔⵜ	fine
ⴰⴹⴰⴷ	finger
ⵉⴽⴼⴰ	finish
ⵢⴻⴼⵓⴽ	finished
ⵜⵉⵎⴻⵙ	fire
ⵉⵍⵓⵎⵎ	firm
ⴰⵎⴻⴰⵣⵡⴰⵔⵓ	first
ⵉⵙⴻⵎ	first name
ⵉⵙⴻⵍⵎⴰⵏ	fish
ⵢⴻⵙⵙⴼⴽⴻⵏ	fit
ⵙⴻⵎⵎⵓⵙ	five
ⴰⴷ ⵉⵢⵉⵯⵜⵙⴻⴳⴳⵎⴻⴷ	fix
ⵚⴻⴳⴳⴻⵎ	fixed
ⵙⴻⵏⵊⴰⵇ	flag
ⵍⴻⴱⵔⴻⵇ	flash
ⵢⴻⵥⵥⴻⵍ	flat
ⵍⴻⵅⵚⴰ	flaw
ⴰⵏⴻⴱⵍⴰⵍ	flawless
ⵢⴻⵔⵡⴻⵍ	flee
ⴰⴽⵙⵓⵎ	flesh
ⵢⵓⴼⴻⴳ	flew
ⵉⵍⴻⵖⵡⴰⵏⴻⵏ	flex
ⵜⴰⵍⵡⴰⵢⴰⵏⵜ	flexible
ⵡⴰⴼⴼⵓⴳ	flight
ⴱⵔⴻⵏ	flip
ⵢⴻⵜⵜⵀⵓⴽⴽⵓ	flirt
ⴰⴷ ⴰⵙⵯⵢⴻⵙⵙⴻⴽⵍⴻⵙ	flirting
ⵢⴻⵜⵜⵉⴼⵍⵉⵡ	float
ⴰⵃⴻⵎⵎⴰⵍ	flood
ⵍⵇⴰⵄⴰ	floor
ⴰⴳⵉⵍ	flour
ⵙⵔⵉⴷⴷⵉⵎⴻⵏ	flow
ⵜⴰⵣⴻǧǧⵉⴳⵜ	flower
ⴰⴱⴻⵃⵔⵉ.	flu
ⵉⵙⴻⵔⵔⴻⵃ	fluent
ⵙ ⵜⴰⵍⵡⵉⵜ	fluently
ⴰⵍⵍⴰⴳⴰⵖ	fluffy
ⴰⵎⴻⵏⴳⵉ	fluid
ⴰⴼⵓⴷ	fly
ⵉⵙⵡⵉ	focus
ⵍⵃⵓⵯⴷ	focus
ⴰⵙⵉⴳⵏⴰ	fog
ⴰⴳⵓ	foggy
ⴰⴷ ⵟⴻⴱⵇⴻⵖ	fold
ⵉⵎⴷⴰⵏⴻⵏ	folks
ⴹⴼⴻⵔ	follow
ⴹⴼⴻⵔ	follow up
ⵙⴻⵍⴷ	following
ⵓⵞⵞⵉ	food
ⴽⴻⵍⵍⴻⵅ	fool
ⴰⵎⵀⴰⵡ	foolish
ⴰⴹⴰⵔ	foot
ⴷⴷⴰⴱⴻⵅ ⵓⴷⴰⵔ	football
ⴰ ⵅⴰⵟⴻⵔ	for
ⴰⵎⴻⴷⵢⴰ	For example
ⴰⵎⴻⴷⵢⴰ	for instance
ⵉ ⴽⴻⵞⵞ	for you
ⵢⴻⵜⵜⵡⴰⴳⴷⴻⵍ	forbidden
ⵍⴵⵀⴻⴷ	force
ⴰⵙⵓⴳⴻⵏ	forecast
ⴰⵢⴻⵏⴷⵓⵔ	forehead
ⴰⴳⴻⵍⵣⵉⵎ	foreign
ⵜⵉⵥⴳⵉ	forest
ⵉ ⵍⴻⴱⴷⴰ	forever
ⵜⵜⵓⵖ	forget
ⵙⵓⵔⴻⴼ	forgive
ⵢⴻⵜⵜⵓ	forgot
ⵜⴰⴼⴻⵔⵛⵉⴹⵜ	fork
ⴳⴻⵜⵯⴷ	form
ⵜⵓⵏⵚⵉⴱ	formal
ⴰⵏⴻⵎⵀⴰⵍ	former
ⴰⵙⵔⴰⴳⴻⵏ	fortunately
ⵍⵅⵉⵔ	fortune
ⵓⴽⴽⵓⵥ ⵏ ⵜⵎⴻⵔⵡⵉⵏ	forty
ⵓⴽⴽⵓⵥ ⵏ ⵜⵎⴻⵔⵡⵉⵏ ⴷ ⵙⵉⵏ	forty-two
ⵖⴻⵔ ⵣⴷⴰⵜ	forward
ⵙⵏⴻⵔⵏⴰⵏ	foster
ⵢⴻⵏⵏⵓⵖ	fought
ⵓⴼⴰⵏ	found
ⵍⵍⵙⴰⵙ.	foundation
ⵓⴽⴽⵓⵥ	four
ⵎⵔⴰⵡ ⴷ ⵓⴽⴽⵓⵣ	fourteen
ⴰⴱⴰⵕⴻⵖ	fox
ⵢⴻⵅⵙⴻⵏ	fragile
ⵜⴰⵣⴻⵍⵖⴰ	frame
ⴰⵖⴰⵡⴰⵙ	framework
ⴰⴷⴻⵔⵔⴰⵃ	fraud
ⴰⴼⵖⵓⵍ	freak
ⵉⵍⴻⵍⵍⵉ	free
ⵜⵉⵍⴻⵍⵍⵉ	freedom
ⵜⵉⴳⴻⵔⵙⵉⵏ	freeze
ⴰⵙⵏⴰⴳⴰⵔ	frequency
ⵉⵙⵏⴰⴳⴰⵔⴰⵏ	frequent
ⵙ ⵡⴰⵟⴰⵙ	frequently
ⴰⵊⴷⵉⴷ	fresh
ⵍⵊⴻⵎⵄⴰ	friday
ⵉⵎⵙⵉⵙⵎⴻⴹ	fridge
ⴰⵎⴻⴷⴷⴰⴽⴻⴽ	friend
ⴷ ⵉⵎⴻⴷⴷⵓⴽⴰⵍ	friendly
ⵉⵎⴷⵓⴽⴰⵍ	friends
ⵜⴰⴷⵓⴽⵍⵉ	friendship
ⵢⵓⴳⴰⴷ	frightened
ⵢⴻⵙⵙⴻⵅⵍⴰεⴻⵏ	frightening
ⴰⴳⵔⵓ	frog
ⵙⵉ	from
ⵣⴷⴰⵜ	front
ⵢⴻⴼⵔⵉ	frozen
ⵍⴼⴰⴽⵢⴰ	fruit
ⵜⴻⵞⵞⴻⵃ	frustrated
ⴰⵙⴻⵔⵖⵓ	fuel
Fⵓⵍⴼⵓⴷ	Fulfulde
ⵢⴻⵞⵞⵓⵔ	full
ⴰⵎⵏⴻⵛⵔⴻⵃ	fun
ⴰⵅⴻⴷⴷⵉⵎ	function
ⵢⴻⵙⵄⴰⵏ ⴰⵣⴰⵍ ⴷ ⴰⵎⴻⵇⵔⴰⵏ	fundamental
ⵍⴵⴰⵏⴰⵣⴰ	funeral
ⵢⴻⵙⴻⵜⴰⵢ	funny
ⵜⴰⴷⵓⵟ	fur
ⵢⴻⵔⴼⴰ	furious
ⵍⵇⴻⵛⵛ	furniture
ⵓⴳⴰⵔ	further
ⵓⵍⴰ ⴷ	furthermore
ⵉⵎⴰⵍ	future
ⵢⴻⵔⴱⴻⵃ	gain
ⵜⵓⵔⴰⵔⴻⵜ	game
ⵍⵛⴻⵍⵍⵉⵅ	gap
ⴰⴳⴰⵔⴰⵊ	garage
ⵉⵍⴻⴼⴹⴰⵏ	garbage
ⵍⴻⵊⵏⴰⵏ	garden
ⵜⵉⵙⴽⴰⵔⵜ	garlic
ⵜⴰⵡⵡⵓⵔⵜ	gate
ⴷⴷⵓⴽⵍⴻⵜ	gather
ⵜⴻⵎⴰⵍⵍⴻⵍⴻⵏ	gathering
ⵍⴻⴽⴽⵉⵉⵍ	gauge
ⵢⴻⴼⴽⴰ	gave
ⴰⵙⴻⵍⴽⵉⵎ	gear
ⴰⵏⴰⵡ	gender
ⵓⵎⴰⵜⴰ	general
ⵙ ⵓⵎⴰⵜⴰ	generally
ⵜⴰⵙⵓⵜⴰⵢⵜ	generate
ⵉⵙⴰⵔⴰⵡⵡⴻⵏ	generation
ⴰⴼⴻⵃⵛⵓⵛ	generous
ⵓⵃⵔⵉⵛ	genius
ⵚⵚⴻⵏⴼ	genre
ⵢⴻⵃⴷⴻⵇ	gentle
ⵜⵉⴷⴻⵜⵜ	genuine
ⴰⵃⴰⴱⴰⵛ	gesture
ⴰⵡⵉ	get
ⴻⵍⵙ	get dressed
ⴽⴽⴻⵔⵯⴷ	get up
ⵇⵔⵉⴱ ⴰⴷ ⵢⴻⵊⵊⴻⵢ	get well soon
ⵢⴻⵜⵜⵡⴰⵟⵟⴰⴼ	getting
ⴰⵣⵖⵓⵖ	ghost
ⴰⵙⴼⴻⵍ	ghosting
ⴰⴳⴻⵀⴳⵓⵀ	giant
ⴰⵙⴻⴼⴽ	gift
ⵙⴻⴽⵏⴻⵊⴱⵉⵔ	ginger
ⵜⴰⵇⵛⵉⵯⵜ	girl
ⵜⴰⵎⴷⴰⴽⴻⵍⵜ	girlfriend
ⴼⴽⴻⵜ	give
ⴰⴷ ⵙⴻⵍⵍⵎⴻⵖ	give up
ⵉⵎⵓⴷⴷⴻⵏ	given
ⵢⴻⵏⴻⵛⵔⴰⵃ	glad
ⵢⴻⵎⵎⵓⵇⵇⴻⵍ	glance
ⵣⴻⵊⴰⵊ	glass
ⵏⵡⴰⴷⴻⵔ	glasses
ⵜⴰⵎⵓⵖⵍⵉ	glimpse
ⴰⵎⴰⵜⴰ	global
ⴰⵎⵙⵓⵍⵍⴻⵙ	gloomy
ⵍⵍⵉⴳⴰⵜ	gloves
ⵢⴻⴼⵔⴰⵔⵉ	glow
ⴰⴷ ⴷⵯⵢⴻⵣⵣⵉⵏ	glow up
ⵙⴻⵏⴻⵟⴹ	glue
ⵕⵓⵃ	go
ⴰⵀⴰ	go ahead
ⵔⵓⵃⴻⵜ	go away
ⵔⵓⵃ ⴰⴷ ⵜⴻⵟⵙⴻⴹ	go to bed
ⵉⵙⵡⵉ	goal
ⵉⵙⵡⵉⵢⴻⵏ	goals
ⵜⴰⵖⴰⵜⵜ	goat
ⵔⴻⴱⴱⵉ	god
ⴰⴷ ⴽⵯⵉⴱⴰⵔⴻⴽ ⵔⴻⴱⴱⵉ	god bless you
ⵉⵜⴻⴷⴷⵓ	goes
ⵢⴻⵜⵜⵔⵓⵃⵓ	going
ⴰⴷ ⵏⵔⵓⵃ	going to
ⵓⵔⴻⵖ	gold
ⵉⵔⵓⵃ	gone
ⴰⴷ	gonna
ⴳⴳⵓ	goo
ⵢⴻⵡⵇⴻⵎ	good
ⴰⵣⵓⵍ	good afternoon
ⴷⵉ ⵍⴰⵎⴰⵏ	good bye
ⴰⵙⵙ ⴰⵎⴻⴳⴳⴰⵣ	good day
ⵔⴰⵎⴻⴷⴷⵉⵜ ⵢⴻⵍⵀⴰⵏ	good evening
