a	i-
personal	komuntfu
personality	buntfu
perspective	umbono
persuade	kholisa
pervert	losonakele
pet	silwane lesifuyiwako
pet	totosa
phase	simo
phenomenon	simanga
philosophy	ifilosofi
phone	lucingo
photo	sitfombe
phrase	isisho
physical	kwemvelo
pick	khetsa
pick	lipiki
pick up	phakamisa
pick up	landza
picture	sitfombe
piece	incenye
piece	sicephu
pieces	ticephu
pieces	tincenye
pig	ingulube
pigeon	lituba
pile	incwaba
pillow	umcamelo
pilot	umshayeli welibhanoyi
pin	sipeleti
pineapple	liphayinaphu
pink	bomvana
pit	umgodzi
pitch	kuphakama
pity	sihawu
place	indzawo
places	tindzawo
plague	sifo
plain	sobala
plan	lisu
plan	luhlelo
plan	lipulani
plane	indiza
plant	sitjalo
plants	tijalo
plate	lipuleti
platform	inkundla
play	kudlala
playing	kudlala
pleasant	lokujabulisako
pleasant	lokuhle
please	kujabulisa
please	ngicela
pleased	jabulile
pleasure	injabulo
pledge	sicinisekiso
plenty	lokunyenti
plot	indzima
plug	lipulagi
plum	lipulamu
plural	bunyenti
poem	inkondlo
poetry	inkondlo
point	luhlamvu
poison	ushevu
police	emaphoyisa
policy	ipholisi
polite	nemusa
pollution	kungcolisa
pond	ichibi
pool	isiziba
poor	lophuyile
poor	loswele
pop	kuchuma
popular	tsandzwako
population	linani lebantfu
pork	inyama yengulube
porridge	liphalishi
port	litheku
position	sikhundla
positive	cinisile
possess	yiba ne-
possession	kuba ne-
possessive	kuba nakho
possible	entekako
post	tfumela ngeposi
post	insika
postpone	hlehlisa
potato	bhatata
potential	kwenteka
pound	liphawundi
poverty	kuswela
power	emandla
powerful	lonemandla
practical	lokulisito
practical	likhono lekwenta
practice	umkhuba
praise	babata
praise	dvumisa
prank	umgilo
pray	thantaza
precious	leligugu
precise	yikho
precisely	impela
predict	biketela
prefer	thandza kakhulu
preference	thandza kakhulu
pregnant	kukhulelwa
prejudice	kukhetsa
prejudice	kubandlulula
premises	itakhiwo
premium	umvuzo
preparation	kulungiselela
prepare	kulungiselela
prepared	kulungiselelwe
preposition	beka embilil
presence	kuba khona
present	lokukhona
presentation	setfulo
preserve	londolota
president	mengameli
press	cindzetela
pressure	kucindzetela
pretend	kwenta shengatsi
pretty	muhle
prevent	kuvimba
previous	kwekucala
prey	lokuzingelwako
price	intengo
pride	kutichenya
priest	umpristi
primary	calisako
prime	sisusa
princess	inkhosatana
principal	lokuyinhloko
prior	embi
priority	lokuta kucala
prison	litilongo
prison	lijele
privacy	kuba yedvwa
private	yedvwa
privilege	lilungelo
prize	umvuzo
probably	kungenteka
problem	inkhinga
procedure	inchubo
proceed	chubeka
process	inchubo
produce	khicita
product	umkhicito
production	umkhicito
profession	buncweti
professional	bungcweti
profile	liphrofayili
profit	inzuzo
profound	khulu khakhulu
progress	chubekelembili
progress	inchubekelembili
project	liphrojekthi
prominent	velele
promise	sitsembiso
promote	chubekisa
promotion	isenyuso
prompt	niketa
prone	tsandza ku-
pronouns	isabitwana
pronunciation	kuphimisela
proof	bufakazi
proper	lokufanele
properly	kahle
properly	ngokufanele
properties	tici
property	imphahla
proposal	umcabango
prospect	sibonakalo
prospect	litsemba
prosperity	inhlanhla
prosperous	busisiwe
protect	vikela
proud	kuticabha
prove	bonisa
prove	fakazela
provide	kuniketa
provided	niketile
province	sifundza seve
provision	lilungiselelo
puberty	kutfomba
public	kwantfu bonkhe
pull	donsa
pumpkin	litsanga
punctual	ngesikhatsi
pupil	umfundzi
purchase	tsenga
pure	cwebile
pure	ngcwele
purple	nsomi
purpose	injongo
purse	sikhwama
pursue	tingela
pursue	landzelisa
pursuit	kutingela
pursuit	kulandzelisa
push	sundzuta
put	beka
qualification	kufaneleka
quality	imfanelo
quantity	sibalo
quarantine	kuhlukaniswa
quarrel	umbango
quarter	likwata
Quechua	SiQuenchua
queen	indlovukati
queer	cabangisako
queer	mangalisako
query	umbuto
query	buta
question	umbuto
question	buta
queue	umugca
quick	ngekushesha
quickly	ngekushesha
quiet	kuthula
quilt	likhwilitsi
quit	yeka
quiz	mibuto
quotation	kucaphuna
quotation	imali lebitwako
quote	caphuna
quote	sicashunwa
quote	bita imali
quotes	ticashunwa
rabbit	nogwaja
race	mncintiswano
race	luhlanga
rage	intfukutselo
rain	imvula
raise	kukhulisa
raised	khulisile
ran	gijimile
random	ngokungahleliwe
range	hlela
rapid	sheshisako
rapidly	ngekusheshisako
rare	ngavamile
rarely	ngokungavamile
rash	sihlungu
rat	ligundvwane
rate	linganisela
rate	silinganiso
rather	kunekutsi
ratio	bukhulu
rational	nencondvo
raw	ngavutsiwe
re	mayelana
reach	kufinyelela
reached	finyelele
reaction	kusabela
read	fundza
reading	kufundza
ready	lungele
real	kweciniso
real	mbambambamba
reality	sibili
realize	tfola
realize	finyelela
realized	finyelele
realized	tfolile
really	mbambambamba
rear	indzawo yasemuva
reason	sizatfu
reasonable	nencondvo
recall	khumbula
receipt	lirisidi
receive	amukela
receive	tfola
received	amukele
received	tfolile
recent	kwamuva
recently	muva nje
reception	samukelo
recipe	indlela yokwenta
reckless	ngacabangi
recognition	kubonwa
recognition	kukhumbula
recognize	vuma
recognize	bona
recommend	ncoma
recommend	tusa
recommended	tusile
recommended	ncomile
record	bhala
record	irekhodi
recover	yiba ncono
recover	tfola futsi
recovery	kuba ncono
recovery	kutfola futsi
red	bomvu
redeem	hlenga
redemption	kuhlenga
reduce	nciphisa
redundant	nyenti
redundant	ngetulu
refer	dlulisela
refer	nikela
reference	kudlilisela
reflect	bukisa
reflect	cabanga
reflection	kucabanga
reflection	kubuyisa
refrain	gwema
refrigerator	lifriji
refund	imali lebuyiselwako
refuse	ncaba
refused	ncabile
regard	naka
regard	buka
regarding	mayelana
regardless	nganaki
regards	tilokotfo
region	indzawo
region	sifundza
register	bhalisa
regret	kutisola
regular	njalo
regularly	njalo
reject	ncaba
relate	coca
related	hlobene
relationship	buhlobo
relative	sihlobo
relatives	tihlobo
relax	phumula
release	khulula
released	khululile
relevant	condzene
relevant	fanele
reliable	letsembekile
relief	lusito
relieve	phumuta
relieved	phumulile
religion	inkholo
religious	kholwako
reluctant	kungatsandzi
rely	ncika
remain	sala
remaining	sele
remarkable	mangalisako
remedy	selapho
remedy	likhambi
remember	khumbula
remind	khumbuta
reminder	sikhumbuto
remote	kudze
remove	susa
render	enta
rent	casha
repair	lungisa
repeat	phindza
replace	eba endzaweni ya-
replace	tsatsa indzawo ya-
reply	imphendvulo
reply	phendvula
report	bika
report	umbiko
represent	fanekisa
represent	khulumela
reputation	lidvumela
request	sicelo
request	cela
require	funa
required	funile
rescue	sindzisa
research	cwaninga
research	lucwaningo
resemble	fana na-
resentment	kwenyanya
reservation	kubhukha
reserve	bhukha
resident	umhlali
resign	shiya
resign	yekela
resilience	kupeteka
resilient	petekako
resist	vimbela
resist	ncaba
resistance	kuvimbela
resistance	inkani
resolution	kucinisa
resolve	lungisa
resort	phatsa
resort	sebentisa
resources	licebo
resources	lisu
respect	kuhlonipha
respond	sabela
respond	phendvula
response	imphendvulo
response	kusabela
responsibility	sibopho
responsible	nesibopho
rest	kuphumula
rest	lokunye
rest in peace	lala ngekutfula
restaurant	sitolo sekudlela
restore	buyisela
restrict	vimbela
restrict	khawulisa
result	umphumela
results	imiphumela
resume	chubekisa
retail	umhwebi
retain	gcina
retention	kugcina
retired	hlehlile
retired	phumulile
retreat	hlehla
retreat	baleka
retrieve	tfola futsi
return	buya
return	buyisela
reveal	bonisa
revealed	bonisiwe
revenge	phindzisela
revenue	imali
reverse	buyisa
reverse	hlehlisa
reverse	hlehlela ngemuva
review	kubuketa
revise	buyeketa
revision	kubuyeketa
revolution	kugucuka
revolution	kuphendvuka
reward	umvuzo
rhythm	sigci
rib	lubambo
rich	cebile
rid	susa
ride	gibela
ridiculous	hlekekako
ridiculous	ngenancondvo
right	kulungile
right	cinisile
right now	nyalo
rigid	lukhuni
rigid	cinile
ring	indandatho
rinse	yakata
riot	bhikisha
rip	dzabula
ripe	vutsiwe
rise	phakama
risk	ingoti
rival	sitsa
river	umfula
road	umgwaco
roast	yosa
robust	cinile
rock	litje
rod	indvuku
role	indzima
roll	goca
roof	luphahla
room	likamelo
root	imapandze
rope	intsambo
rotten	bolile
rough	lukhuni
rough	matima
roughly	magudlugudlu
round	siyingi
route	umgwaco
routine	kujwayela
row	luhla
row	gwedla
rub	hlikihla
rubbish	kungcola
rude	kudzelela
rude	kuba luhlata
rug	umata
ruin	onakalisa
rule	umtsetfo
rule	busa
ruler	umbusi
rules	mitsetfo
run	gijima
running	kugijima
rural	emakhaya
rush	phutfuma
sack	lisaka
sacred	ngcwele
sacrifice	umnikelo
sacrifice	umhlabelo
safe	ngena ngoti
safe	londzekile
safe flight	kuhamba ngendiza lokuphephile
safety	kulondzeka
sage	muntfu lohlakaniphile
said	utse
sail	hamba ngokhumbi
sail	useyili
sailing	kuhamba ngomkhumbi
sake	nga-
salary	liholo
sale	kutsengisa
salt	liswayi
same	lokufanako
Same here	Kuyafana nalapha
sample	lisampula
sand	sihlabatsi
Sanskrit	SiSanskrit
sarcastic	bhincako
sarcastic	bhucako
sat	hlezi
satisfaction	kwaneliseka
satisfied	nelisekile
satisfy	nelisa
satisfying	kwenelisa
Saturday	UMgcibelo
sausage	lisositji
savage	nonya
save	gcina
save	sindzisa
saw	kubona
say	isho
scale	sikali
scar	sibati
scarce	ntulekile
scared	tfukile
scared	yesaba
scarf	sikhafu
scary	lokutfusako
scattered	hlakatekile
scattered	sabalele
scene	indzawo
scene	inkundla
scenery	lokubukwako
scent	amakha
scent	liphunga
schedule	luhlelo
school	sikolwa
science	isayensi
scientist	sosayensi
scientists	bososayensi
scissors	sikele
scold	sola
scold	tsetsa
scope	bubanti
score	emaphutu
scrap	lahla
scratch	dweba
scream	memeta
screen	sikrini
screen	sisitfo
screw	sikulufo
script	simo sokuloba
sea	lulwandle
seal	kuvala
search	hlola
search	cinga
season	sikhatsi somnyaka
seat	sihlalo
second	bili
secret	imfihlo
section	incenye
secure	vikelekile
security	kuvikeleka
see	bona
see you	ngizokubona
see you later	ngizokubona kamuva
see you soon	ngizokubona madvute
see you tomorrow	ngizokubona kusasa
seed	imbewu
seek	funa
seem	bukeka
seem	bonakala
seems	bukeka
seems	bonakala
seen	bone
seize	bamba
seizure	kubamba
seldom	ngokungavamile
seldom	kancane
select	khetsa
self	muntfu
self healing	kutelapha
selfish	kutifunela
sell	tsengisa
send	tfumela
send me your picture	tfumela sitfombe sakho
senior	lomdzala
senior	lomkhulu
sense	kwati
sense	incondvo
sensible	kwati
sensible	kuba nencondvo
sensitive	kutsamba
sent	tfumele
sentence	umusho
sentences	imisho
separate	hlukanisa
Sepedi	SiPedi
september	ngongoni
september	septemba
sequence	kulandzelana
series	kulandzelana
serious	ncamile
seriously	ngokuncamile
serve	khonta
serve	sebentela
service	kukhonta
session	sikhatsi
set	beka
set up	misa
setting	luhlelo
setting	kubeka
settle	hlela
settle	beka
seven	sikhombisa
seventeen	lishumi nesikhombisa
seventy	emashumi lasikhombisa
several	leminyenti
several	labanyenti
several	letinyenti
severe	bucayi
sew	tfunga
shade	umtfunti
shadow	sitfunti
shake	nyakatisa
shall	kumele
shallow	ngashonile
shame	mahloni
shape	simo
shape	sibumbeko
share	yabelana
share	sabelo
sharp	bukhali
she	yena
she has	une-
she is	u-
shed	chitsa
shed	indlwane
sheep	timvu
sheep	imvu
sheet	likhasi
sheet	lishidi
shelf	shalufu
shell	ligobolondo
shelter	kusitseka
shelter	kufukamela
shield	sivikelo
shift	hlehlisa
shine	khanya
ship	umkhumbi
shipping	kutfumela
shirt	lihhembe
shoes	ticatfulo
shoot	dubula
shop	tsenga
shopping	kutsenga
shore	ogwini
short	kwesikhashana
short	kufishane
shortage	kuntuleka
shot	dubulile
should	kufanele
shoulder	lihlombe
shout	memeta
show	bonisa
show me	ngibonise
shower	geza
shrink	shwabana
shut	vala
shut up	tfula
shy	unemahloni
sibling	lotalana naye
siblings	lotalana nabo
sick	kugula
side	luhlangotsi
sigh	bubula
sight	kubona
sightseeing	kubona indzawo
sign	luphawu
signature	kusayina
significant	lokubalulekile
silence	kutfula
silent	tfulile
silk	silika
silly	bulima
silver	siliva
similar	lokufanako
simple	lokulula
simultaneously	ngasikhatsi sinye
simultaneously	kanye kanye
since	kusukela
sincere	cinisile
sincerely	ngeciniso
sincerely	ngokucinisile
sing	hlabelela
singer	umhlabeleli
single	yodvwa
sink	cwila
Sir	Mnumzane
sister	dzadze
sister in law	umlamu
sit	hlala
site	sizindza
situation	kuma
six	sitfupha
sixteen	lishumi nesitfupha
sixty	emashumi lasitfupha
size	bukhulu
skill	likhono
skills	emakhono
skin	sikhumba
skinny	lomncane
skip	yeca
skirt	siketi
sky	litulu
sky	sibhakabhaka
slave	sisebenti
slave	sigcila
sleep	lala
sleeping	kulala
sleepy	nobutfongo
sleeve	umkhono
slice	lucezu
slide	shelela
slightly	kancane
slim	simo lesincane
slip	shelela
slope	kwehla
slot	sikhala
slow	phuta
slowly	ngekwephuta
small	lencane
smart	hlakaniphile
smart	bukhali
smell	hogela
smell	kunuka
smile	momotseka
smoke	intfutfu
smoke	bhema
smooth	phucukile
snail	umnenkhe
snake	inyoka
snap	ncamula
snow	lichwa
so	ngako-ke
so cute	kuhle kahulu
so far	kudze kakhulu
soak	cwilisa
soap	insipho
sober	sangulukile
soccer	libhola
social	komphakatsi
society	libandla
society	umhlangano
socks	emasokisi
soft	tsambile
soil	inhlabatsi
sold	tsengisile
sold out	tsengise konkhe
soldier	lisotja
sole	kuphela
solid	cinile
solution	sisombululo
solve	catulula
solve	cedza
some	letinye
some	labanye
somebody	lomunye
somehow	ngenye indlela
someone	muntfu lomunye
something	intfo lenye
sometimes	ngaletinye tikhatsi
song	ingoma
soon	masinyane
sophisticated	nelulwati
Sorani	SiSorani
sore	buhlungu
sore throat	umphimbo lobuhlungu
sorrow	kudzabuka
Sorry	Ncesi
Sorry	Ngiyacolisa
sort	hlukanisa
sort	luhlobo
sought	funa
soul	umphefumulo
soulmate	umacondzana
sound	umsindvo
soup	isobho
sour	munyu
source	sisusa
source	umtfombo
south	ningizimu
space	sikhala
span	silinganiso
Spanish	Sipeyini
spare	lokunye
speak	khuluma
special	khetsekile
species	luhlobo
specific	lokutsile
spectacular	mangalisako
speech	kukhuluma
speechless	ngenakukhuluma
speechless	ngenamlomo
speed	sivinini
spell	pela
spell	sibango
spend	kusebentisa
spend	kucitsa
spent	sebentise
spicy	nongiwe
spike	kucija
spin	photsa
spirit	umoya
spit	khafula
splendid	kuhle kakhulu
split	hlukanisa
spoil	phanga
spoiled	phangile
spontaneous	tivelela
spoon	sipunu
spot	lichashati
spot	libala
spouse	loshadze naye
spread	kusakateka
spread	kwendlulela
spread	kwandza
spring	intfwasahlobo
spring	hluma
square	sikwele
squeeze	cindzetela
squid	ingwane
stab	hlaba
stable	sitebelu
stack	incwaba
staff	ebasebenti
staff	tintfo
stage	siteji
stage	misa
stain	faka umbala
stairs	titebhisi
stake	sigcobo
stake	lucijo
stalk	luhlanga
stall	indzawo yehhashi
stamp	sitembu
stand	yima
standard	indzinganiso
star	inkhanyeti
start	cala
started	calile
starving	kulamba
state	bunjani
statement	sitatimende
station	siteshi
statue	sifanekiso
status	sikhundla
stay	hlala
stay safe	hlala ulondzekile
steady	kucinile
steak	siteki
steal	yeba
steam	umusi
steel	insimbi
steep	cwilisa
stem	lutsi
stem	luhlanga
step	nyatsela
stick	lukhuni
stick	lutsi
stiff	gongobele
still	noko
still	nanyalo
still	nobe kunjalo
sting	tinyela
stingy	ngoco
stir	bondza
stock	umphini
stolen	yebiwe
stomach	sisu
stone	litje
stood	mile
stool	bhosha
stop	ima
storage	kugcina
store	gcina
storm	siphepho
storm	sivunguvungu
story	indzaba
stove	sitofu
straight	lecondzile
straightforward	condzile
strain	vova
strain	bunzima
strain	luhlobo
strange	mangalisako
stranger	sihambi
stranger	umfokati
strategy	licebo
strategy	lisu
straw	mucu
straw	lutsi
streak	mugca
stream	umfudlana
street	sitaladi
street	umgwaco
strength	emandla
stress	gcizelela
stretch	lula
stretch	nweba
strict	lukhuni
strict	cinile
strike	shaya
strike	gadla
string	intsambo
strip	hluba
strive	etama
stroke	kushaya
stroke	kufa luhlangotsi
strong	nemandla
strong	cinile
struck	shayile
structure	kwakhiwa
struggle	bumatima
struggle	kulwisana
struggling	kulwisana
stubborn	nenkani
stuck	namatsele
student	umfundzisi
study	fundza
studying	kufundza
stuff	tintfo
stunning	lenhle kakhulu
stupid	bulima
style	sitayela
style	luhlobo
subject	indzaba
subject	sihloko
submission	kutfumela, kutfobela
submit	tfobela
submit	tfumela
substance	intfo
substitute	kubeka indzaweni yokunye
subtle	ngebucile
succeed	phumelela
success	impumelelo
successful	lonempumelelo
such	lokunjalo
such as	njenge-
suck	ncela
suck	munca
sudden	etfusako
suddenly	masinyane
suffer	hlupheka
suffering	kuhlupheka
sufficient	lokwanele
sugar	shukela
suggest	sikisela
suggestion	kusikisela
suit	sicelo
suitable	fanele
suitcase	lisutikhesi
sum	kuhlanganiswa
summary	sisonga
summer	lihlobo
summit	sicongo
sun	lilanga
sunday	sontfo
sunny	lelilanga lelishisako
sunset	kushona kwelilanga
sunshine	kuvela kwelilanga
super	enhle kakhulu
superior	mkhulu
supervisor	umphatsi
supper	kudla kwakusihlwa
supply	kuniketa
support	kusekelwa
suppose	si
supposed	catjangwako
sure	cinisekile
surface	ngetulu
surge	gubha
surgery	kuhlinta
surname	sibongo
surprise	mangalisa
surprised	mangele
surrender	nikela
surrender	dela
surrounding	lokutungetile
surveillance	kubekwa
surveillance	kugadza
survey	hlola
survive	sindza
suspect	sola
suspended	coshiwe
suspicious	sola
sustain	gcina
sustainable	lokugcinekako
swallow	gwinya
swap	shintja
Swati	Siswati
swear	funga
sweat	juluka
sweater	lijezi
sweep	shanyela
sweet	mnandzi
sweet dreams	emaphupho lamnandi
sweet tooth	tsandza lokuneshukela
sweetheart	tsandvo
swell	vuvuka
swell	khukhumala
swelling	kukhukhumala
swelling	kuvuvuka
swim	bukudza
swimming	kubukudza
swing	shwiba
switch	gucula
swollen	vuvukile
sword	inkemba
symbol	sifanekiso
symbol	luphawu
sympathy	uzwela
sympathy	sihawu
symptoms	tibonakaliso
system	luhlelo
table	litafula
tackle	bamba
tag	silingiso
tail	umsila
take	kutsatsa
take away	kutsatsa
take care	tinakekele
take off	kususa
taken	kutsatsiwe
talk	khuluma
talkative	lotsandza kukhuluma
tall	mudze
tap	impompi
tape	ithephu
target	umgomo
task	umsebenti
taste	nambitsa
tasty	lemnandzi
taught	fundzisiwe
tea	litiye
teach	fundzisa
teacher	thishela
teacher	umfundzisi
team	licembu
tear	dzabula
tears	tinyembeti
tease	belesela
technology	bucwephesha
teeth	matinyo
tell	tjela
tell me	ngitjele
temper	nhlitiyo lencane
temperature	kushisa
temple	lithempheli
temporary	kwesikhashana
ten	lishumi
ten thousand	tinkhulungwane telishumi
tenant	umcashi
tend	beka
tendency	kutsandza
tender	kutsamba
tense	kushaca
tension	kushaceka
tent	lithende
tentative	kwesikhashana
term	inkhatsi
terms	mitsetfo
terrible	lokubi
terrific	lokutfusako
territory	indzawo
test	kuhlola
test	sivivinyo
text	umbhalo
than	kwendlula
than	lokungetulu
than	kunekutsi
thank	kubonga
thank you	ngiyabonga
Thank you for your patience while we investigate shipment	Siyabonga ngekubeketela kwakho ngesikhatsi siphenya tintfo letitfutsiwe
thank you so much	siyabonga kakhulu
thank you very much	siyabonga kakhulu
thanks	ngiyabonga
Thanks for using our app	Siyabonga ngekusebentisa i-app yetfu
that	kutsi
that is	loku
that's good	kuhle
theft	kweba
their	yabo
theme	indzaba
themselves	kwabo
then	ngako-ke
then	bese
theory	kucabanga
theory	sichasiselo
there	lapho
there are	kune-
there is	kukhona
therefore	ngako-ke
these	leti
they	bona
they are	ba-
thick	lecinile
thick	bukhulu
thief	lisela
thigh	litsanga
thin	kondzile
thing	intfo
things	tintfo
think	cabanga
third	yesitsatfu
thirsty	omile
thirteen	lishumi nentsatfu
thirty	emashumi lamatsatfu
this	loku
this is	loku ku-
thorough	ngempela
thoroughly	impela
those	leti
though	nanobe
though	kodvwa-ke
thought	cabanga
thoughtful	kucabangela
thoughts	micabango
thousand	inkhulungwane
thread	intsambo
thread	uhala
threat	lusongo
threaten	songela
three	lokutsatfu
threshold	umnyango
thrilled	jabulile
thrive	khula
throat	luphimbo
through	nge
throughout	sikhatsi sonkhe
throughout	indzawo yonkhe
throw	lahla
thumb	sithupha
thunder	kudvuma
Thursday	Ngalesine
thus	kanjalo
tick	luphawu
tide	sikhatsi
tidy	cocekile
tie	ithayi
tie	bopha
tiger	ingwe
tight	cinile
Tigrinya	SiTigrinya
time	sikhatsi
timid	novalo
tiny	lokuncane
tip	sihloko
tips	emathipu
tips	emacebiso
tire	khatsala
tired	kudzinwa
title	lilungelo
title	sihloko
to	ku-
to be	kuba
toast	osa
today	lamuhla
toddler	ingane lecatfulako
toes	tinzwana
together	ndzawonye
toilet	indlu yangasese
told	tjelile
tolerance	kuvumela
tolerate	vumela
tomato	tamatisi
tomorrow	kusasa
tongue	lulwimi
tonight	lamuhla ebusuku
too	futsi
took	tsatsile
tool	lithuluzi
tools	emathuluzi
tooth	litinyo
top	etulu
topic	sihloko
torn	dzabulile
torture	buhlungu lobukhulu
total	lokuphelele
touch	litoshi
tough	matima
tour	luhambo
toward	ku-
towards	ku-
towel	lithawula
town	lidolobha
toxic	sihlungu
trace	umkhondvo
track	indlela
track	munca
trade	hweba
tradition	lisiko
traditional	kwelisiko
traffic	kuminyana
trail	hudula
train	cecesha
training	kucecesha
trait	isici
traits	itici
transfer	dlulisela
transition	gucuka
translate	humusha
transparent	bonakalako
transport	tfwala
transportation	kutfwala
trap	tsiya
trap	bamba
trash	umfungumfungu
trauma	kuhlukubeteka
travel	hamba
tray	lithileyi
treasure	ingcebo
treat	phatsa
treatment	kuphatsa
tree	sihlahla
tremendous	lokukhulu kakhulu
trend	lokutsandzwako
trial	silingo
trick	licebo
tried	tamile
trigger	kususa
trim	ncuma
trim	lungisa
trip	luhambo
trouble	inkhinga
trousers	libhulukwe
truck	liloli
TRUE	kuliciniso
trunk	lugodvo
trust	tsemba
truth	liciniso
try	yetama
Tsonga	SiTsonga
tube	imbobo
Tuesday	Lesibili
tuition	kufundzisa
turkey	ligalaguni
turn	phendvula
turtle	lufudu
tutor	fundzisa
tutor	uthisha
twelve	lishumi nambili
twenty	emashumi lamabili
twenty-one	emashumi lamabili nanye
Twi	SiTwi
twice	kabili
twist	sonta
two	bili
type	bhala
type	luhlobo
typical	kocobo
ugly	mubi
ultimate	kokugcina
umbrella	sambulela
unable	awukwati
uncle	malume
unconscious	culekile
under	ngephansi
underneath	ngephansi
underrated	ngatiswa
understand	kuvisisa
understand	kucondza
understood	condzile
unfortunately	ngelishwa
uniform	mfaniselo
unique	lehlukile
unit	silinganiso
unit	lokukodvwa
university	nyuvesi
unknown	lokungatiwa
unless	ngaphandle kwa-
until	kuze
unusual	lokungavamile
up	ngetulu
up to you	kukuwe
update	lungisa
upgrade	tfutfukisa
upon	etulu kwa-
upon	ku-
upset	kutfukutsela
urban	nedolobha
urge	celisisa
urge	sibophetelo
urgent	phutfumako
us	tsine
use	sebentisa
used	sebentisile
useful	sebentako
useless	ngenamsebenti
usual	vamile
usually	ngalokuvamile
utility	kusita
vacation	liholidi
vacation	kuvakasha
vaccination	kugcaba
vaccine	umgomo
vacuum	indzawo engelalutfo
vague	ngevakali
valid	ciniso
valley	lidzobo
valley	sigodzi
valuable	bugugu
value	linani
value	kubaluleka
variety	kuhluka
variety	nhlobonhlobo
various	hlukile
vary	hluka
vase	livasi
vast	khulu kakhulu
vegetable	umbidvo
vegetable	silimo
vegetables	mifino
vegetables	mibhidvo
vehicle	incola
vendor	umtsengisi
venom	butsi
venom	sihlungu
venture	kulinga
venue	indazwo yekuhlanganyela
verify	cinisekisa
versatile	nhlobonhlobo
version	luhlobo
vertical	kumile
very	cobo
very	kakhulu
very good	kuhle kakhulu
vessel	sitja
via	nga-
vibe	umoya
vicious	khohlakele
victim	sisulu
video	ividiyo
view	kubuka
view	kubona
village	umuzi
villain	lihilikici
vinegar	uvinika
vintage	kwakudzala
violence	budlova
violent	nebudlova
virgin	intfombi
virtual	wona
virtual	yena
virtue	ligunya
virtue	emandla
vision	umbono
visit	kuvakasha
visual	bonako
vital	nemphilo
vital	lokusemcoka
vivid	khanyako
vivid	njengako
vocabulary	luhlelo lamagama
voice	liphimbo
void	yite
volume	umsindvo
volunteer	tinikele
volunteer	volontiya
vomit	hlanta
vulnerable	limala
wage	liholo
wage	enta
wages	liholo
waist	elukhalo
wait	lindza
wait	kumela
waiter	sisebenti
waiting	kulindza
wake	vuma
wake up	vuka
walk	hamba ngetinyawo
walking	kuhamba
wall	ludvonga
wallet	sikhwama semali
wander	zula
wanna	funa
want	kufuna
wanted	funwako
war	imphi
warehouse	indlu yekugcina timphahla
warm	futfumele
warn	cwayisa
warning	sicwayiso
warrior	lichawe
warrior	libutfo
wash	geza
wash	hlanta
waste	emangcoliso
waste	kumosha
watch	kubukela
water	emanti
watermelon	lijoti
wave	ligagasi
way	indlela
we	tsine
we are	si-
we can	singa-
weak	butsakatsaka
weakness	butsakatsaka
wealth	ingcebo
wealthy	cebile
wear	gcoka
wearing	kugcoka
weather	simo selitulu
wedding	umshado
Wednesday	Lesitsatfu
weed	lukhula
weed	ugwayi
week	liviki
week	lisontfo
weekend	imphelaviki
weekend	imphelasontfo
weight	sisindvo
weird	emangalisako
weird	etfusako
welcome	kwemukela
welfare	inhlalakahle
Well	Kulungile
Well	Kahle
well done	wente kahle
went	chubeka
went	wahamba
were	bebe-
west	enshonalanga
wet	tsambile
whale	umkhoma
what	yini
what about you	kutsiwani ngawe
what are you doing	wentani
what are you doing now	wentani nyalo
what are you doing right now	wentani nyalo
what do you do	wentani
what do you do for a living	umsebenti wakho yini
what do you mean	usho kutsini
what do you want	ufunani
what happened	kwentekeni
what is	yini
what is this	yini loku
what is your job	yini umsebenti wakho
what is your name	ngubani libito lakho
what's up	kwentekani
what's your name	ngubani libito lakho
whatever	nobe yini
whatever	kungakhatsaliseki
wheat	kolweni
wheel	lisondvo
when	nini
whenever	tonkhe tikhatsi
whenever	nanini
where	kuphi
where are you	ukuphi
where are you from	uvela kuphi
where are you now	ukuphi nyalo
where do you live	uhlala kuphi
where is	ukuphi u-
where is	ikuphi i-
whereas	kodvwa
whereas	kantsi
whether	nobe
which	ngatiphi
which	nguyiphi
while	ngesikhatsi
whisper	hleba
whistle	hlaba likhwelo
white	mhlophe
who	bobani
who	ngubani
who are you	ungubani
who is	ngubani o-
who is	ngubani u-
who is this	ngubani lona
whole	yonkhe
whom	ubani
whose	kwabani
whose	kabani
why	kungani
why not	kungani
wicked	lokubi
wicked	khohlakele
wide	lebanti
widow	umfelokati
width	bubanti
wife	umfati
wild	kwasendle
will	ito-
will	sifiso
will	uto-
willing	fisako
willing	vumako
win	phumelela
win	ncoba
wind	umoya
window	lifasitela
windy	kunemoya
wine	liwayini
winter	busika
wipe	sula
wire	lucingo
wisdom	kuhlakanipha
wise	sati
wish	sifiso
wish	fisa
wish you all the best	ngikufisela lokuhle
witch	umtsakatsi
with	kanye na-
withdraw	buyisa
withdraw	hlehla
withdraw	susa
withdrawal	kuhlehlisa
withdrawal	kubuyisa
withdrawal	kususa
within	ngekhatsi
without	ngaphandle kwa-
witness	fakazi
witty	hlekisako
woman	umfati
women	bafati
won	hlulile
won	phumelele
won't	ngeke-
wonder	kumangalisa
wonderful	lesabakekako
wood	lukhuni
wool	boya bemvu
wool	liwuli
word	ligama
word	livi
words	emavi
words	emagama
work	umsebenti
