a	un
retrieve	teruukhoole
return	teruuk
return	teruukkome
return	omdreije
reveal	onthulle
revealed	onthuld
revenge	vraak
revenue	opbrings
reverse	omdreije
review	noakieke
review	beoordeiling
revise	reeviezeere
revision	reviesie
revolution	revoluusie
reward	beloeëning
rhythm	ritme
rib	rub
rice	ries
rich	riek
rich	veul
rid	kwietraake
rid	aafsjtand doon
ride	rieje
ridiculous	belachelik
right	rechts
right	sjus
right now	noe
right now	op dit moment
rigid	vàs
ring	sirkel
ring	rink
rinse	aafwèshe
riot	rèl
rip	sjeure
ripe	riep
rise	verhuuweging
risk	risiko
risk	risiko laupe
rival	rivaal
river	rievier
road	wêg
roast	roeëstere
robust	robuus
rock	sjtein
rod	hengel
role	ròl
roll	ròl
roof	daak
room	kamer
room	plaats
root	wortel
rope	touw
rotten	rot
rough	roe
roughly	roewèg
round	rond
route	roete
routine	roetien
row	riej
rub	vrieve
rubber	rubber
rubbish	rommel
rude	groof
rug	tapiet
ruin	verruuwieneere
rule	reigels
ruler	lienéaal
rules	reigels
run	rènne
running	rennentêre
running	renne
rural	plattelands
rush	hoas
sack	ontsjloon
sack	túút
sacred	heilig
sacrifice	opoffere
safe	veilig
safe flight	gooi vluch
safety	veiligheid
sage	versjtèndige
sage	wieze
said	zag
sail	zeil
sailing	zeile
sake	rêje
salary	salaris
sale	verkoup
salmon	zalm
salt	zaut
same	hetzelfde
Same here	Hie auch
sample	veurbeeld
sand	zand
sand	sjoere
Sanskrit	Sanskriet
sarcastic	sarkasties
sassy	onbesjaamp
sat	zoot
satisfaction	tevreijenheid
satisfied	tevreije
satisfy	bevrêjige
satisfying	bevrêjigend
Saturday	Zoaterdig
sausage	woorsj
savage	wild
save	opsjloon
save	besjpare
saw	zoog
say	zigge
scale	sjoal
scam	bedroch
scar	litteike
scarce	sjaars
scarce	bienoa neet
scared	bang
scarf	sjaal
scary	èng
scattered	versjpreid
scene	sên
scenery	landsjap
scent	geur
schedule	kàlènder
school	sjoal
school	onderwieze
science	weetensjap
scientist	wetensjapper
scientists	wetensjappers
scissors	sjieër
scold	sjèlle
scope	omvank
score	skoore
scrap	droethole
scrap	sjtukske
scratch	krats
scratch	kratse
scream	sjrieëve
screen	sjerm
screw	sjroef
script	skrip
script	gesjreve stuk
sea	zieë
seal	verzegeling
search	zeuke
season	sezoen
seat	sjtool
second	twieëde
secret	geheim
section	deil
secure	veilig
security	beveiliging
see	zeen
see you	hoïe
see you	zeen dich
see you later	tot sjtraks
see you soon	zeen dich sjnel
see you tomorrow	tot murrige
seed	zoad
seek	zeuke
seem	liek
seem	noad
seems	lieke
seen	gezeen
seize	griepe
seizure	besjlaag
seizure	toeval
seldom	zelde
select	selectere
self	zèlf
self healing	zelfgenezing
selfish	egoïsties
sell	verkoupe
send	sjture
send me your picture	sjtuur mich dien foto
senior	seenior
sense	mirrike
sense	aanveule
sensible	geveulig
sensitive	geveulig
sent	gesjtuurd
sentence	zin
sentence	veroerdeiling
sentences	zinne
separate	apaart
Sepedi	Sépédie
september	september
sequence	volgorde
series	reeks
serious	serieus
seriously	serieus
serve	serveere
service	deens
service	onderhoute
session	sessie
set	sjtille
set	zitte
set up	opzitte
setting	insjtilling
setting	umgeeving
settle	neersjloon
settle	euvereinkomme
seven	zeve
seventeen	zeventieën
seventy	zeventig
several	versheiene
severe	ernstig
sew	neie
shade	sjieëm
shadow	shaduw
shake	sjudde
shall	zal
shallow	ondeep
shame	sjaamte
shape	vurm
share	deile
sharp	sjerp
she	zie
she has	zie het
she is	zie is
shed	werrepe
sheep	sjöap
sheet	blaad
shelf	plank
shell	sjèlp
shelter	besjutting
shelter	onderkomme
shield	besjerming
shield	sjild
shift	verangere
shift	deens
shine	sjien
ship	versjeepe
ship	sjeep
ship	versjture
shipping	versjeepe
shipping	versjture
shirt	humme
shoes	sjeun
shoot	sjeete
shop	winkel
shopping	winkele
shore	kus
short	kort
shortage	tekort
shot	sjoot
shot	sjete
should	zouw
shoulder	sjouwer
shout	sjrieëf
show	sjow
show me	loat mich zeen
shower	doesj
shrimp	garnaal
shrink	krumpe
shut	toedoon
shut	toe
shut up	moel toe
shy	verlège
sibling	broor en zuster
siblings	breur en zuster
sick	krank
side	kant
sigh	zug
sight	zich
sightseeing	bezeenswaardigheid
sign	onderteikene
signature	handteikening
significant	aanzienlik
silence	sjtilte
silent	sjtil
silk	zie
silly	sjtom
silver	zilver
similar	vergeliekbare
simp	sump
simple	sumpel
simultaneously	geliektiejig
since	sins
sincere	oprèg
sincerely	oprèg
sincerely	hoeëgachtend
sing	zinge
singer	zanger
single	eine
single	singel
sink	zinke
Sir	Menieër
sister	zuster
sister in law	sjoeënzuster
sit	zitte
site	plaats
situation	situasie
six	zus
sixteen	zestieën
sixty	sestig
size	groeëte
skill	talènt
skills	tàllènte
skills	vaardighede
skin	huid
skinny	maager
skip	euversjloon
skirt	rok
sky	lòg
slave	sjlaaf
sleep	sjloap
sleeping	sjloape
sleepy	sjloaperig
sleeve	moe
slice	sjnieje
slide	sjuuvele
slightly	einigzins
slim	sjmaal
slip	gesjlip
slope	hilling
slot	sjleuf
slow	troag
slowly	troag
small	klein
small	fien
smart	sjlum
smell	reuk
smell	ruuke
smile	lache
smile	lach
smoke	rauk
smooth	glad
snack	snèk
snack	snèkke
snail	sjlèk
snake	sjlang
snap	breke
snow	sjnieë
so	dus
so cute	zoë leuk
so far	tot zoeë wiet
soak	opsoeke
soap	zeip
sober	nuchter
soccer	voetbal
social	sosjaal
society	gemeinsjap
socks	zukke
soft	zach
software	sofwêr
soil	drek
soil	boojem
sold	verkoch
sold out	oetverkoch
soldier	soldoat
sole	allein
sole	inkel
solid	vàs
solution	oplossing
solve	oplosse
some	vershiejene
somebody	eemes
somehow	op einige meneer
someone	eemes
something	gèt
sometimes	soms
song	leed
soon	binnekort
sophisticated	gedétàjeerd
sophisticated	verfiend
Sorani	Sooraanie
sore	pien
sore throat	kêlpien
sorrow	zurrig
Sorry	Het schpiet mich
sort	sorteere
sought	gezòch
soul	ziejel
soulmate	zielsverwant
sound	geluid
sound	huure
soup	soep
sour	zoer
source	bron
south	zuud
space	ruimte
space	plaats
spam	sjpam
span	besjtrieke
Spanish	Sjpaans
spare	oetsjpare
spare	reserf
speak	sjpreke
special	biezonder
species	soorte
specific	spesifiek
spectacular	sjpèktaakulêr
speech	sjpietsj
speechless	sjprakeloos
speed	sjnelheid
spell	sjpelle
spell	vlook
spend	sjpendere
spent	gesjpendeerd
spicy	kruidig
spike	piek
spin	dreije
spinach	sjpinazie
spirit	zieël
spirit	geis
spit	sjpuuge
splendid	fantastisch
split	verdeile
split	sjpliete
spoil	versjpille
spoiled	verwind
spoiled	versjpild
spontaneous	sjpontaan
spoon	leepel
spot	sjpot
spot	plaats
spouse	echgenoot
spread	spreije
spring	lente
square	plein
squeeze	duuje
squeeze	vringe
squid	inkvush
squirrel	eekhoorn
st	st
stab	sjteke
stable	sjtabiel
stack	sjtapel
staff	personeel
stage	punt
stage	nivoo
stain	vlèk
stairs	trappe
stake	inzat
stalk	sjtalke
stall	vasloupe
stall	kroam
stamp	sjtempel
stamp	sjtempele
stand	sjtoon
stand	sjtand
standard	sjtandaard
star	sjtèr
start	sjtart
start	beginne
started	gesjtart
starving	hongerig
state	sjtoat
statement	verkloaring
station	sjtasie
statue	sjtandbeeld
status	sjtatus
stay	blieve
stay safe	houd dich good
steady	vàs
steak	biefsjtuk
steal	sjtele
steam	sjtaum
steel	sjtoal
steep	sjtiel
stem	sjtèngel
step	sjtap
stick	vasplekke
stick	vashoute
stiff	sjtief
still	nog altied
still	stil
sting	sjteek
stingy	sjtekelig
stir	reure
stock	veurroad
stolen	gesjtole
stomach	verdrage
stomach	maag
stone	sjtein
stood	sjting
stool	sjtool
stop	sjtop
storage	opsjlaag
store	opsjloon
store	winkel
storm	sjturm
story	verhoal
stove	ove
straight	rech
straightforward	duudelik
straightforward	gemeekelik
strain	las
strain	druk
strange	vrèm
stranger	vrême
strategy	sjtrategie
straw	rietje
strawberry	aardbei
streak	sjtreep
stream	stroam
stream	sjtruime
street	sjtroat
strength	krach
stress	benoadrukke
stress	sjtress
stretch	oetrekke
strict	sjtrik
strike	treffe
strike	sjtake
strike	sjloon
string	koord
strip	sjtrip
strip	sjtrippe
strive	noasjtreve
stroke	sjlaag
stroke	besjlaag
strong	sjtèrk
struck	gesjlage
structure	sjtruktuur
struggle	sjtrieje
struggling	worstele
stubborn	koppig
stuck	vas
student	sjtudent
study	sjtudie
studying	sjtudere
stuff	sjpulle
stunning	euverweldigend
stupid	sjtom
style	sjtiel
subject	ongerwerp
submission	versjturing
submit	versjture
substance	sjtof
substitute	vervange
subtle	subtiel
succeed	sjlaage
success	succès
successful	suksesvol
such	zowie
such as	zowie
suck	zuuge
sudden	opins
suddenly	opins
suffer	lieje
suffering	lieje
sufficient	genog
sugar	sokker
suggest	veursjtille
suggestion	suggèstie
suit	pak
suitable	gesjik
suitcase	koffer
sum	som
summary	samenvatting
summer	zomer
summit	top
sun	zon
sunday	zondig
sunny	zonnig
sunset	zonsondergank
sunshine	zonnesjien
super	suuper
superior	beter
superior	euvertriffend
supervisor	opzichter
supper	oavendete
supply	aanbod
support	ondersjteuning
suppose	verondersjtille
supposed	verondersjtild
sure	zeker
surface	oppervlak
surge	opsjpringe
surgery	sjierurgie
surname	achternoam
surprise	verrasse
surprised	verras
surrender	euvergaaf
surrounding	omgeeving
surveillance	toezich
survey	onderzeuk
survey	enquête
survive	euverleve
suspect	verdachte
suspended	opgesjort
suspicious	verdach
sustain	onderhoute
sustain	vashoute
sustainability	duurzaamheid
sustainable	duurzaam
swag	buit
swag	gesjtoole good
swallow	doorsjlikke
swap	wissele
swear	vlooke
swear	sjwere
sweat	sjzweit
sweater	trui
sweep	vêge
sweet	zeut
sweet dreams	sjloap good
sweet tooth	zeutekauw
sweetheart	leefste
swell	opsjzwelle
swelling	szjwelle
swim	sjwumme
swimming	sjwumme
swing	dreije
switch	verangere
switch	sjakele
swollen	gesjzwolle
sword	sjwaard
symbol	simbool
sympathy	simpatie
symptoms	simtome
system	siesteem
table	toafel
tackle	tèkkele
tag	leebel
tail	sjtart
take	numme
take away	weghoale
take care	hout dich good
take off	vertrik
taken	genomme
talk	sjprêke
talkative	sjproakzaam
tall	hoewig
tap	kraan
tap	insjudde
tape	plekband
target	doel
task	taak
task	opdrach geve
taste	sjmaak
tasty	sjmakelijk
taught	liejerde
tea	tee
teach	lieëre
teacher	liejeraar
team	ploog
team	tiem
tear	sjeure
tears	troane
tease	ploage
technology	technologie
teeth	tan
tell	vertil
tell me	vertil mich
temper	humeur
temper	tempere
temperature	températuur
temple	tempel
temporary	tiejelik
ten	tieën
ten thousand	tieëndoezend
tenant	huurder
tend	neige
tendency	neiging
tender	mals
tender	aanbesjteding
tense	gesjpanne
tension	sjpanning
tent	tent
tentative	veurzichtig
term	termien
terms	veurwaarde
terrible	vreselik
terrific	fantastisch
territory	terrietorium
test	tès
text	teks
than	dan
thank	dank
thank	bedanke
thank you	danke
Thank you for your patience while we investigate shipment	Bedank veur euch geduld onderwieles dat ver de zending noakieke
thank you so much	hiejel erg bedank
thank you very much	hieël erg bedànk
thanks	bedank
Thanks for using our app	Bedank das se osse app gebruuks
that	dat
that is	dat is
that's good	dat is good
the	de
theft	deefsjtal
their	hunne
them	zie
theme	teema
themselves	hunzelf
then	dan
theory	teorie
there	doa
there are	der zin
there is	der is
therefore	doarom
these	dees
they	zie
they are	zie zin
thick	dik
thief	deef
thigh	diej
thin	dun
thing	dink
things	dinger
think	dink
third	derde
thirsty	deurshtig
thirteen	dertieën
thirty	dertig
this	dees
this is	dit is
thorough	grondig
thoroughly	grondig
those	die
though	allich
thought	gedachte
thought	dach
thoughtful	bedachzaam
thoughts	gedachte
thousand	doezend
thread	drödje
threat	bedreiging
threaten	bedreige
three	drie
threshold	drèmpel
thrilled	enthoesjas
thrive	bleuje
thrive	good doon
throat	kêl
through	door
throughout	aldoor
throw	goeweje
thumb	doem
thunder	donder
Thursday	Donderdig
thus	dus
tick	aafvinke
tick	teek
tide	getij
tidy	netjes
tie	binge
tiger	tieger
tight	krap
Tigrinya	Tiegrienja
time	tied
timid	verleege
tiny	hiël klein
tip	tip
tip	fooi geve
tips	tips
tire	meug
tired	meug
tissue	weefsel
title	titel
to	noa
to be	om te zin
toast	ruuwestere
toast	sjneej wik
today	vandaag
toddler	kleuter
toes	tieëne
together	same
toilet	wéécéé
told	vertild
tolerance	toleransie
tolerate	tolereere
tomato	tomaat
tomorrow	murrige
tongue	tong
tonight	venoavend
too	auch
took	noam
tool	gereidsjap
tools	gereidsjap
tooth	tand
top	top
topic	onderwerp
torn	versjeurd
torture	martele
total	totaal
touch	aanraaking
tough	sjtèrk
tour	toer
toward	richting
towards	noa
towel	handdook
town	durp
toxic	giftig
trace	sjpoor
track	sjpoor
track	paad
track	vollige
trade	handele
trade	handel
tradition	tradiesie
traditional	tradiesjoneel
traffic	verkieër
trail	sjpoor
trail	paad
train	trein
training	trêning
trait	eigesjap
traits	eigensjappe
transfer	doorzitte
transfer	euverzitte
transition	euvergank
translate	vertaal
translate	vertale
transparent	doorzichtig
transport	transportere
transportation	transportere
trap	vàl
trash	voelnis
trauma	trauma
travel	reize
tray	trêj
treasure	sjat
treat	behandele
treatment	behandeling
tree	baum
tremendous	énorm
trend	trent
trial	zitting
trial	poging
trial	proof
trick	truuk
tried	geprobeerd
trigger	oetlokke
trigger	oprope
trim	bieknippe
trip	reiske
trouble	probleme
trousers	brook
truck	vrachwage
TRUE	woar
trunk	kofferbak
trust	vertroewe
truth	woarheid
try	probere
Tsonga	Tsonga
tube	buus
Tuesday	Dinsdig
tuition	ljiergeld
turkey	kalkoen
turkey	turkije
turmeric	koerkoema
turn	dreije
turtle	sjildpad
tutor	lieërmeister
tutor	onderwieze
twelve	twelf
twenty	twintig
twenty-one	einentwintig
Twi	Twie
twice	twieë kier
twist	omsjakeling
two	twieë
type	tiepe
type	soort
typical	tiepies
ugly	liejelik
ultimate	ultieme
umbrella	paraaplu
unable	neet in sjtoat
unable	onmeugelik
uncle	nonk
unconscious	neet bie bewuszin
under	onder
underneath	dronder
underrated	ondergewaardeerd
understand	begriepe
understood	begrepe
unfortunately	helaas
uniform	geliek
unique	uniek
unit	einheid
university	universiteit
unknown	onbekind
unless	tenzij
until	tot
unusual	ongebruukelik
up	op
up to you	is aan dich
update	update
update	biewirke
upgrade	opwaardering
upgrade	opwaardere
upon	op
upset	koad
urban	sjtedelik
urge	aandringe
urgent	sjpoed
us	os
use	gebroeke
used	gebroek
useful	nuttig
useless	nutteloos
usual	gewoone
usually	geweunlijk
utility	behulpzaamheid
vacation	vakansie
vaccination	vaksienasie
vaccine	vaksienere
vacuum	vaacuüm
vague	vaag
valid	geldig
valley	dàl
valuable	waardevòl
value	wêrt
variety	versheienheit
various	vershillende
vary	variëre
vase	vaas
vast	oetgesjtrek
vegetable	greunte
vegetables	greuntes
vehicle	voortuug
vendor	verkauper
venom	gif
venture	avontuur
venture	ondernumming
venue	plaats
verify	verifiëre
versatile	veulzijdig
version	versie
vertical	vertikaal
very	erg
very good	hieël good
vessel	sjeep
via	via
vibe	sfeer
vibes	sfeer
vicious	verdorve
victim	sjlachoffer
video	viedeo
view	oetzich
view	meining
view	bekieke
village	durp
villain	deef
vinegar	azien
vintage	vàn weleer
violence	gewèld
violent	geweldadig
viral	versjpreid
virgin	maag
virtual	virtueel
virtue	deug
virtue	goodheid
vision	viesie
visit	bezeuk
visit	bezeuke
visual	viezueele
vital	vitaal
vivid	levendig
vocabulary	vookabulêr
voice	sjtum
void	lêgte
volume	voluume
volunteer	vriewilliger
vomit	sjpie
vulnerable	kwetsbaar
wage	lwan
wages	lwan
waist	middel
wait	wach
waiter	ober
waiting	wàchte
wake	wakker
wake up	wakker were
walk	loupe
walking	loupe
wall	moer
wallet	beursh
wander	ronddwale
wander	wandele
wanna	wille
want	wil
wanted	wool
wanted	gewild
war	oorlog
wardrobe	kleijerkas
warehouse	magazien
warm	werrem
warn	waarsjuwe
warning	waarsjuwing
warrior	krieger
was	woar
wash	wesh
waste	aafval
watch	kieke
water	water
watermelon	watermeloen
wave	golf
way	weeg
way	meneer
we	veer
we are	veer zeen
we can	veer kinne
weak	zsjwaak
weakness	sjwaakte
wealth	riekdom
wealthy	rieke
wear	drage
wear	shlietaasj
wearing	draage
wearing	versjliete
weather	wèr
wedding	broelof
Wednesday	Woonsdig
weed	onkroed
week	wêk
weekend	wiekènd
weight	gewich
weird	gek
welcome	welkom
welfare	weldoad
Well	Nou
well done	good gedoon
went	gegoon
were	woare
west	wès
wet	naat
whale	walvush
what	wat
what about you	wat dich
what are you doing	wat bisse aan het doon
what are you doing now	wat bis se noe aan het doon
what are you doing right now	wat bis se noe aan het doon
what do you do	wat deis dich
what do you do for a living	wat deis dich es beroep
what do you mean	wat bedoel se
what do you want	wat wil se
what happened	wat is der gebeurd
what is	wat is
what is this	wat is dit
what is your job	wat is dien beroep
what is your name	wie hits dich
what's up	alles good
what's your name	wie hits dich
whatever	wat dan auch
wheat	koore
wheel	wiel
when	wenniëh
whenever	wiennië dan auch
where	wo
where are you	wò bis se
where are you from	wo kumse vandaan
where are you now	wo bis dich noe
where do you live	wo woon se
where is	wo is
whereas	terwiel
whether	of
which	welleke
while	terwiel
while	onderwieles
whisper	fluustere
whistle	fluit
white	wit
who	wae
who are you	wêh bis dich
who is	wêh is
who is this	weh is dit
whole	gans
whom	van weh
whose	van weh
why	worom
why not	worom neet
wicked	verdreijd
wide	wied
widow	weduwe
width	breite
wife	vrouw
wild	wild
will	testament
will	wil
willing	wille
win	winne
wind	wind
window	vinster
windy	weierig
wine	wieën
winter	winter
wipe	wegvage
wipe	vêge
wire	droad
wisdom	wiesheid
wise	wieës
wish	wunsh
wish you all the best	wunsh euch allenei het biste
witch	hèks
with	mit
withdraw	teruuktrikke
withdrawal	teruuktrikke
within	derbinne
without	zonger
witness	getuuge
witty	geistig
wolf	wollef
woman	vrouw
women	vrouwluuj
won	gewonne
won't	zal neet
wonder	aafvroage
wonder	wonder
wonderful	gewèldig
wood	hout
wool	wòl
word	woord
words	weurt
work	wirreke
work out	oetwirke
work out	trêne
working	wirrike
world	wêreld
worm	wurm
worn	verweerd
worried	bezurg
worry	zurg
worry	zurg make
worse	sjlechter
worship	veraafgooding
worst	slechste
worth	wêrde
worth it	weert zin
worthy	verdeenstelik
would	zouw
wound	wond
Wow	Wòw
wrap	omwikkele
wrath	hieël koad
wrist	pols
write	sjrieve
Write here	Hie sjrieve
writing	sjrieve
written	gesjreve
wrong	verkierd
wrote	gesjreve
yard	gaard
yawn	gaap
yawn	gape
Yeah	Joa
year	joar
years	joare
yeast	gis
yell	sjrieëve
yellow	geel
Yes	Joa
yes baby	joa sjat
yes dear	joa leefste
yes honey	joa leefste
yes my love	joa mien leefste
yes of course	joa natuurlijk
yesterday	gistere
yet	nog
yield	opbrings
you	doe
you	dich
you are	dich bis
you are beautiful	dich bis sjoeën
you are so beautiful	dich bis zoeë sjoeën
you are welcome	gèr gedoon
you can	doe kins
You know	Wit se
you too	dich auch
you're welcome	gêr gedoon
young	jonk
your	diene
your welcome	gèr gedoon
yourself	dichzelf
youth	jeugdig
you’re welcome	gêr gedoon
yummy	lekker
zero	gein
zero	nul
