abandoned	ምቁራጽ
messy	ሕንፍሽፍሽ
mess	ዝርኽርኽ
metal	ሓጺን
method	ሜላ
me too	ኣነ ዉን
me	ኣነ
mice	ኣናፁ
middle	ማእኸል
midnight	ፍርቂ ለይቲ
might	ይኸዉን
mild	ማእኸላይ
milestone	ኣገዳሲ ፍፃመ
military	ወተሃደራዊ ኣገልግሎት
milk	ጸባ
million	ሚልዮን
mindset	ኣተሓሳስባ
mind	ሓንጎል
mine	ናይ ባዕለይ
mingle	ምትሕውዋስ
minor	ንኡስ
minutes	ደቒቓታት
minute	ደቒቓ
miracle	ተኣምራት
mirror	መስተዋት
miscellaneous	ዝተፈላለዩ
mischievous	እከይ
miserable	ስቃይ ተመልኦ
misery	ፀበባ
missing	ዝጠፈአ
mission	ተልእኾ
miss you	ናፊቀኪ
miss	ናፍቅ
mistake	ጌጋ
mist	ግመ
Mizo	ሚዞ
mobile	ተንቀሳቓሲ
mock	ላግፂ
model	መርኣያ
moderate	ማእኸላይ
modern	ዘበናዊ
modest	ምጥን ዝበለ
moisture	ራሕሲ
moist	ጠሊ
mold	ዓሳው
mole	ሞለኲል
moment	ቕጽበት
mom	ኣደይ
monday	ሶኑይ
money	ገንዘብ
monitor	ምቁጽጻር
monkey	ህበይ
month	ወርሒ
moody	ጠባይ
mood	ስምዒት
moon	ወርሒ
moral	ስነ ምግባር
moreover	ካብዚ ብተወሳኺ
more	ቡዙሕ
morning	ጉሓት
mortgage	ዕዳ
mostly	መብዛሕትኡ ግዜ
most	ብጥዕሚ
mother	ኣዶ
motion	ምንቅስቓስ
motivation	ምልዕዓል
mountain	ጎቦ
mouse	ኣንጭዋ
mouth	ኣፍ
movement	ምንቅስቓስ
move	ምንቅስቓስ
movie	ፊልሚ
mrs	ወይዘሪት
much	ብዙሕ
mud	ጭቃ
mug	ኣዛን ኩባያ
muscle	ጭዋዳ
museum	ሙዝየም
mushroom	ቅንጥሻራ
music	ሙዚቃ
must	ግድን
mute	ድምጺ ምጥፋእ
mutual	ሓበራዊ ጥቕሚ
My dear	ክቡረይ
my friend	ናሃተይ ዓርከይ
My hovercraft is full of eels	ኣብቲ ዘረባይ ሲ ፀገም ኣለዎ
my love	ፍቅረይ ናተይ
my name is	ናተይ ሽመይ
my pleasure	ደስ ይብለኒ
myself	ባዕለይ
mysterious	ምስጢራዊ
mystery	ምሽጥር
myth	ፅውፅዋይ
my	ናተይ
nail	ጽፍሪ
naive	ገርሂ
name	ሽም
narrative	ተራኺ
narrow	ፀቢብ
nasty	ባዕለገ
nationality	ዜግነት
national	ሃገራዊ
native	መበቆል
natural	ተፈጥራዊ
nature	ተፈጥሮ
nausea	ዕግርግር ምባል
nearby	ኣብ ቐረባ
nearly	ከባቢ
near	ጥቃ
neat	ፅፉፍ
necessary	አድላዩ
necklace	ሓብል ክሳድ
neck	ክሳድ
need	ድሌት
negative	ኣሉታ
neglect	ዕሽሽ ምባል
negotiate	ምስምዕማዕ
neighborhood	ከባቢ
neighbor	ጎረቤት
neither	ዋላ
nephew	ወዲ ሓው
nerd	ነርድ
nervous	ድንጉፅ
nest	ሰፈር
network	መርበብ ሓበሬታ
net	ዝተጻረየ
neutral	ግሉል
never give up	ፈጺምካ ከይተቋርጽ
never mind	አየግድስን
nevermind	ፀገም የለን
nevertheless	ምንም ብዘየገድስ
never	ፍፁም
news	ዜና
new	ሓድሽ
next to	ቐጺሉ
next	ቀፃሊ
nice to meet you	ስለዝረኸብኩኻ ሕጉስ እየ
nice	ሓሪፍ
niece	ጓል ሓፍቲ አቦ
nightmare	ሕልሚ
night	ምሸት
nineteen	ዓሰርተ ትሽዓተ
ninety	ቴስዓ
nine	ትሸዓተ
nobody	ዋላ ሓደ
noise	ዓው ዓው
noisy	ረባሺ ድምጺ
none	ዋላ ሓደ
noon	ምሸት
nope	ኣይከውንን
no problem	ፀገም የብሉን
normal	ንቡር
north	ሰሜን
nor	እውን ኣይኮነን
nose	ኣፍንጫ
nostalgic	ናፍቖት
not at all	ብፍጹም ኣይኮነን
not bad	ሕማቕ ዘይኮነ
noted	ተመዝጊቡ
note	መዝገብ
nothing	ምንም
noticed	ኣስተውዒሉ
notice	ኣፍልጦ
Not now	ሕጂ ኣይከውንን
not yet	ሕዚ አይኮነን
not	ዘይኮነ
nouns	ሽማት
noun	ስም
novel	ልበ ወለድ
november	ሕዳር
nowadays	ኣብዚ ሐዚ እዋን
no way	ኣይኾንን
now	ሕዚ
No	አይኮንን
nuisance	ኣሸጋሪ
null	ከንቱ
number	ቑጽሪ
numb	ድንዙዝ
nurse	ነርስ
nutmeg	ናይ በርበረ ቕመም
nutrition	ኣመጋግባ
nut	ለውዝ
oath	ማሕላ
obesity	መጠኑ ዝሓለፈ ርጉዲ
obey	ኣኽብር
objective	ዕላማ
object	ግኡዝ ነገር
obligation	ግደታ
obscure	ዘይፍለጥ
observation	ትዕዝብቲ
observe	ትዕዝብቲ
obsessed	ዝምቸዎ
obsession	ጭንቀት
obsolete	ዝኣረገ
obstacle	ዕንቅፋት
obtained	ዝተረኸበ
obtain	ሓዝ
obviously	ብርግፀኝነት
obvious	ብርግፀኝነት
occasionally	ሕልፍ ሕልፍ ኢሉ
occupation	ሞያ
occupied	ብስራሕ ትሑዝ
occurred	ዝተፈጠረ
occurs	ኮነ
occur	ይፍፀም
ocean	ባሕሪ
october	ጥቅምቲ
odds	ዕድል
odd	ጎደሎ
of course	ትሑዝ
offensive	ፀያፍ
offer	ውህብቶ
office	ቤት-ፅሕፈት
official	ዘፍለጠ
off	ምጥፋእ
often	ኩል ግዘ
of	ካብ
oh really	ኦ ብሓቂ
Oh	ኦ
oil	ዘይቲ
okay baby	ፅቡቕ ቆልዓ
okay dear	ሕራይ ክቡር
okay honey	ሕራይ መዓረይ
okay my love	ሕራይ ፍቅረይ ናተይ
okay	እሺ
ok dear	ሕራይ ክቡር
ok honey	ሕራይ መዓረይ
ok my love	ሕራይ ፍቅረይ ናተይ
ok	እሺ
old	ዓብይ
once	ሓንሳዕ
one language is never enough	ሓደ ቋንቋ እኹል ኣይኮነን
one	ሓደ
onion	ቐይሕ ሽጉርቲ
online	ኦንላይን
only	ጥራሕ
on	አብ ልዕሊ
open	ክፈት
operation	ስርሒት
opinion	ርእይቶ
opportunities	ዕድላት
opportunity	ዕድል
opposite	ተቃራኒ
optimistic	ተስፋ ዝገበረ
optional	ዘይናይግድን
option	መማረጺ
orange	ኣራንሺ
order	ስርዓት
ordinary	ተራ
organization	ውድብ
orientation	ኣንፈት
original	ኦርጂናል
origin	መሰረት
Oromo	ኦሮሞ
orphan	ዘኽታም
or	ወይ
otherwise	ተዘይኮይኑ ግን
other	ካልእ
ought	ይግባእ
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	ልእኹቶና፡ ንኹሉ ሰብ፣ ቦታ ዓለም ንኽርድእዋን ብቛንቋ ኣቢሎም ዓርሶም ንኽገልፁ ምግባርን።
Our mission: to organize the world's information and make it universally accessible and useful.	ልእኹቶና፡ ናይ ዓለም ሓበሬታ ምዕራይን ብኹሉመዳይ ተረካብን ተጠቃምን ምግባርን።
our	ናትና
outcome	ውጽኢት
outfit	ኣከዳድና
outgoing	ወጻኢ
outlet	መውጽኢ
outline	ኣስተዋፅኦ
outside	ደገ
outstanding	ብሉፅ
out	ደገ
oven	እቶን
overall	ጠቅላላ
overcome	ተቈፃፀረ
over there	ኣብቲ
overthinking	ልዕሊ መጠን ምሕሳብ
overwhelmed	ዝተፀለለ
overwhelming	ልዕሊ ዓቕሚ
over	ልዕሊ
owe	ብዓል ዕዳ
owl	ጒንጓ
owner	በዓል ዋና
own	ወንን
ox	ብዕራይ
pace	እንቅስቃሰ
package	ጥቕላል
pack	ጥቕላል
paid	ተኸፊሉ
painting	ስእሊ
paint	ስእሊ
pain	ቃንዛ
pair	ጽምዲ
pale	ሃሳስ
palm	ከብዲ ኢድ
pandemic	ተመሓላላፊ
panic	ራዕዲ
pants	ስረታት
pan	መቕለዊ
paper	ወረቐት
paradise	ገነት
parallel	ተምዓዳዳዊ
parcel	ጥቕላል
pardon	ይቕረታ
parents	ኣቦን ኣዶን
park	መናፈሻ
parrot	ፓፓጋሎ
parsley	ብሒደት
participate	ምስታፍ
particularly	ብፍላይ
particular	ብፍሉይ
partner	መሳርሕቲ
party	ጓይላ
part	ክፋል
passage	መሕለፊ
passed	ሓሊፉ
passionate	ስምዒታዊ
passion	ተፍታው
passive	ዝንጉዕ
password	መሕለፊ ቓል
pass	ሕለፍ
past	ሕሉፍ
patch	ንእሽተይ ቦታ
pathetic	ዘይረብሕ
path	መንገዲ
patience	ትዕግስቲ
patient	ተሓካሚ
pattern	ንድፊ
pause	ጠጠው ምባል
pavement	መንገዲ
payment	ክፍሊት
pay	ክፈል
peaceful	ሰለማዊ
peace	ሰላም
peach	ፒች
peak	ጫፍ
pear	ሉል
peas	ዓተር
peculiar	ፍልይ ዝበለ
peel	ምልሓፅ
peers	መዛኑ
peer	መሓዙት
pee	ሽንቲ
pencil	እርሳስ
pending	ኣብ ከይዲ
pen	ቢሮ
people	ህዝቢ
pepper	በርበረ
perceive	ምስትውዓል
perception	ናይ ምርዳእ ክእለት
perfect	ፍፁም
performance	ብቅዓት
perform	ግበር
perhaps	ምናልባት
period	ግዘ
permanent	ቀዋሚ
permission	ፍቓድ
permit	ፍቓድ
perseverance	ጽንዓት
persistent	ዘይምሕላል
personality	ባህርያት
personal	ውልቃዊ
person	ሰብ
perspective	ኣመለኻኽታ
persuade	ኣእምን
pervert	ብልሹው
pet	እንስሳ ዘቤት
phase	ደረጃ
phenomenon	ኽስተት
philosophy	ፍልስፍና
phone	ስልኪ
photo	ፎቶ
phrase	ሓረግ
physical	ኣካላዊ
pick up	ምልዓል
pick	ምልዓል
picture	ስእሊ
pieces	ቁርፅራፅ
piece	ቀራፅ
pigeon	ርግቢ
pig	ሓሰማ
pile	ኩምራ
pillow	መተርኣስ
pilot	ኣብራሪ ኣየር
pineapple	ኣናናስ
pink	ሮዛ ሕብሪ
pin	ፒን
pitch	ጫፍ
pity	ሓዘን
pit	ጉድጓድ
places	ቦታታት
place	ቦታ
plague	መዓት
plain	ጎልጎል
plane	ሰጥ ዝበለ
plants	ተኽልታት
plant	ተኽሊ
plan	ትልሚ
plate	ሸሓነ
platform	ንድፊ
playing	ምፅዋት
play	ተፃወት
pleasant	ጥዑም
pleased	ሕጉስ
please	በይዝኦም
pleasure	ሓጎስ
pledge	መጽብዓ
plenty	ቡዝሕ
plot	ንድፊ
plug	ምስኳዕ
plumber	ናይ ቡንባ ሰራሕተኛ
plum	ዓይነት ፍረ
plural	ብዙሕ
podcast	ፖድካስት
poem	ግጥሚ
poetry	ግጥሚ
point	ነጥቢ
poison	መርዚ
police	ፖሊስ
policy	ፖሊሲ
polite	ክብሪ ብዘለዎ
pollution	ብኽለት
pond	ዕቋር ማይ
pool	መሐመሲ
poop	ዕውታ
poor	ድኻ
popular	ህቡብ
population	በዝሒ ህዝቢ
pop	ኣቦ
pork	ስጋ ሓሰማ
porridge	ገዓት
port	ወደብ
position	ቦታ
positive	ኣወንታዊ
possession	ስራሕ
possessive	በዓል ቤት
possess	ጥሪት
possible	ዝከኣል
postpone	ኣመሓላለፈ
post	ለጥፍ
potato	ድንሽ
potential	ውሽጣዊ ዓቅሚ
pound	ፓውንድ
poverty	ድኽነት
powerful	ሓያል
power	ሓይሊ
practical	ብተግባር
practice	ትግበራ
praise	ሽልማት
prank	ላግፂ
pray	ጸለየ
precious	ዝኸበረ
precisely	ብግልፂ
precise	ምጽግጋዕ
predict	ምትንባይ
preference	ምርጫ
prefer	ይመርፅ
pregnant	ጥንስቲ
prejudice	ጽልኢት
premises	ቦታታት
premium	ክፍሊት
preparation	ምድላው
prepared	ድልው
prepare	ተዳሎ
preposition	መስተዋድድ
presence	ህላወ
presentation	ገለጻ ምቕራብ
present	እዋናዊ
preserve	ምዕቃብ
president	ፕረዝደንት
pressure	ፀቅጢ
press	ተውቕ
pretend	ኣምሰለ
pretty	ሽኮር
prevent	ምክልኻል
previous	ዝሓለፈ
prey	ግዳይ
price	ዋጋ
pride	ኩርዓት
priest	ቀሺ
primary	ቀዳማይ
prime	ቀዳማይ
princess	ልእልቲ
principal	ርእሰ መምህር
priority	ቀዳምነት
prior	ቅድሚያ
prison	እስር ቤት
privacy	ናይ ብሕቲ ጉዳይ
private	ብሕታዊ
privilege	ፍሉይ መሰል
prize	ሽልማት
probably	ናይ ምዃን ዕድል
problem	ፀገም
procedure	መስርዕ
proceed	ይቀፅሉ
process	ከይዲ
produce	ምፍራይ
production	ምህርቲ
product	ፍርያት
professional	በዓል ልምዲ
profession	ስራሕ
profile	መግለፂ
profit	ከስቢ
profound	ዓሚቚ
progress	ምዕባለ
project	ፕሮጀክት
prominent	ጠቃሚ
promise	ቃል
promote	ኣፋልጥ
promotion	ምስግጋር
prompt	ምስዓብ
prone	ዝተቓልዐ
pronouns	ክንዲ ሽም
pronunciation	ኣናብባ
proof	መረጋገፂ
properly	ብግቡእ
properties	ኣቕሑት
property	ንብረት
proper	ቅቡል
proposal	ሕቶ
prospect	ተስፋ
prosperity	ብልጽግና
prosperous	ብልፁግ
protect	ሓሉ
proud	ኩሩዕ
prove	መርትዖ
provided	ተዳልዩ
provide	ምቅራብ
province	ገጸር
provision	ምድላው
puberty	ብፅሕና
public	ህዝባዊ
pull	ጉተት
pumpkin	ዱባ
punctual	ኣብ ሰዓቱ ዝርከብ
pupil	ተምሃራይ
purchase	ዓድግ
pure	ፅሩይ
purple	ሊሊ
purpose	ዕላማ
purse	ቦርሳ
pursue	ክትትል
pursuit	ደድሕሪ ምስዓብ
push	ምድፋእ
put	አቅምጥ
qualification	ብቕዓት
quality	ፅፈት
quantity	መጠን
quarantine	ምፍላይ
quarrel	ናዕቢ
quarter	ርብዒ
Quechua	ቄቹዋ
queen	ንግስቲ
queer	ዘገርም
query	ሕቶ
question	ሕቶ
queue	ተራ
quickly	ብህጹጽ
quick	ቀልጠፈ
quiet	ፀጥ ዝበለ
quilt	ክዳን
quite	ፀጥ ዝበለ
quit	ግደፍ
quiz	ሕቶ
quotation	ጥቕሲ
quotes	ጥቕስታት
quote	ጥቕሲ
rabbit	ማንትለ
race	ዘርኢ
rage	ቑጠዐ
rain	ዝናብ
raised	ተሰአ
raise	ምልዓል
random	ሓንደበት
range	ግዝፈት
ran	ጎየየ
rapidly	ብቕልጡፍ
rapid	ቕልጡፍ
rarely	ሓልሓሊፉ
rare	ብበዝሒ ዘይርከብ
rash	ታህዋኽ
rate	መደብ
rather	ይመርፅ
rational	ርትዓዊ
ratio	መጠነ ዝምድና
rat	ኣንጭዋ
raw	ዘይበሰለ
reached	በጸሐ
reach	ብፅሕ
reaction	መልሲ ምሃብ
reading	ምንባብ
ready	ድልው
read	ኣንብብ
reality	ክውንነት
realized	ዘልእለማዊ
realize	አስተብህል
really	ናይ ብሓቂ
real	ሓቂ
rear	ዝባን
reasonable	ምኽንያታዊ
reason	ምኽንያት
recall	ምዝካር
receipt	ቅብሊት
received	ዝተቀበለ
receive	ተቀበል
recently	ኣብ ቀረባ
recent	ናይ ቀረባ
reception	መቐበሊ ጋሻ
recipe	ኣሰራርሓ
reckless	ብዕሽነት
recognition	ተፈላጥነት
recognize	ምልላይ
recommended	ዝምከር
recommend	ምምካር
record	ቅዳሕ
recovery	ምሕዋይ
recover	ካብ ሕማም ምድሓን
rectangle	ርቡዕ ኩርናዕ
redeem	በጃ ዝኾን
redemption	መድሕን
reduce	ቀንስ
redundant	ብዙሕ
red	ቀይሕ
reference	መጣቀሲ
refer	ምራሕ
reflection	ምስትንታን
reflect	ኣንጸባርቕ
refrain	ተደጋገምቲ መስመራት
refrigerator	ፍርጅ
refund	መሊስካ ምክፋል
refused	ዝተኸለአ
refuse	እበይ
regarding	ብዛዕባ
regardless	ብዘየግድስ
regards	ኣኽብሮት
regard	ሕሰብ
region	ክልል
register	ምዝገባ
regret	ነስሓ
regularly	ብስሩዕ
regular	ልሙድ
reject	ምንጻግ
related	ዝተኣሳሰረ
relate	ምዝማድ
relationship	ርክብ
relatives	ዘመዳት
relative	ዘመድ
relax	ተዘናጋዕ
released	ተለቒቑ
release	ስደድ
relevant	ጠቃሚ
reliable	ተኣማኒ
relief	ቅልል ምባል
relieved	ኣፎይ በለ
relieve	ዕረፍቲ
religion	ሃይማኖት
religious	ሃይማኖታዊ
reluctant	ለጋሚ
rely	ክትተኣማመነሉ
remaining	ዝተረፈ
remain	ምፅናሕ
remarkable	ዘደንቕ
remedy	መፍትሒ
remember	ዘክር
reminder	መዘኻኸሪ
remind	ኣዘኻኸረ
remote	መቆፃፀሪ
remove	ኣወግድ
render	መለሰ
rent	ክራይ
repair	ጽገና
repeat	ደገመ
replace	ምትካእ
reply	መልሲ ምሃብ
report	ኣፍልጥ
represent	ውክልና
reputation	ክብሪ
request	ሕተት
required	ዘድሊ
require	ይደሊ
rescue	ኣድሐነ
research	ፅንዓት
resemble	ምምሳል
resentment	ቂም
reservation	ምዕቃብ
reserve	ምቕማጥ
resident	ነባሪ
resign	ካብ ስራሕ ተባረረ
resilience	ተጸዋርነት
resilient	ዝጻወር
resistance	ተቓውሞ
resist	ተቓውሞ
resolution	መፍትሒ ምሃብ
resolve	ምፍታሕ
resort	ሪዞርት
resources	ምንጭታት
respect	ክብሪ
respond	መልሲ
response	ምላሽ
responsibility	ሓላፍነት
responsible	ሓላፍነት ዝወስድ
restaurant	ቤት ብልዒ
rest in peace	ብሰላም ዕረፍ
restore	ምምላስ
restrict	ይግድብ
rest	ዕረፍቲ
results	ውፅኢታት
result	ውፅኢት
resume	ቀፅል
retail	ቀጥታ መሸጣ
retain	ዓቀበ
retention	ምዕቃብ
retired	ጥሮተኛ
retreat	መዕረፊ
retrieve	ምምጻእ
return	ተመለስ
revealed	ዝተቓልዐ
reveal	አጋልፅ
revenge	ሕነ ምፍዳይ
revenue	እቶት
reverse	ግልባጥ
review	ገምጋም
revise	ምኽላስ
revision	ክለሳ
revolution	ለውጢ
reward	ሽልማት
re	ዳግም
rhythm	ስኒት
rib	መሰንገል
rice	ሩዝ
rich	ሓፍታም
ride	ጋልብ
ridiculous	ዘስሕቕ
rid	ሓራ
right now	ሕጂ
right	ትኽክል
rigid	ተሪር
ring	ቀለበት
rinse	ለቕለቐ
riot	ናዕቢ
ripe	ብሱል
rip	መንግስተ ሰማያት የዋርሶ
rip	ሳ
rise	ምልዓል
risk	ሓደጋ
rival	መቐናቕንቲ
river	ሩባ
road	መንገዲ
roast	ጥብሲ
robust	ጠንካራ
rock	ከውሒ
rod	በትሪ
role	ግደ
roll	ጥቕላል
roof	ናሕሲ
room	ክፍሊ
root	ሱር
rope	ገመድ
rotten	ዝተበላሸወ
roughly	ዳርጋ
rough	ሓርፋፍ
round	ዓንኬል
route	መንገዲ
routine	ልሙድ-ንጥፈት
row	መስርዕ
rubber	መደምሰስ
rubbish	ጉሓፍ
rub	ፍሕፍሕ
rude	ስዲ
rug	ምንፃፍ
ruin	ምብልሻው
ruler	መስመርያ
rules	ስርዓታት
rule	ስርዓት
running	ምጉያይ
run	ጉየ
rural	ከባቢ ገጠር
rush	ችኮላ
sack	ኸረጢት
sacred	ቕዱስ
sacrifice	መስዋእቲ
safe flight	ድሕንነት ዘለዎ በረራ
safety	ድሕንነት
safe	ውሑስ
sage	ለባም
said	ኢሉ
sailing	ብጀልባ ምኻድ
sail	ብመርከብ ምጉዓዝ
sake	ምኽንያት
salary	ደሞዝ
sale	መሸጣ
salmon	ዓይነት ዓሳ
salt	ጨው
Same here	ኣብዚ እውን ከምኡ
same	ማዕረ
sample	መርኣዪ
sand	ሑጻ
Sanskrit	ሳንስክሪት
sarcastic	ሕጫጨ
sassy	ደረቕ
satisfaction	ዕግበት
satisfied	ዕጉብ
satisfying	ኣፅጋቢ
satisfy	ዕግበት
Saturday	ቀዳም
sat	ኮፍ በለ
sausage	ስልሲ
savage	ጉሓፍ
save	ምቑጣብ
saw	ሪኤ
say	በል
scale	መለክዒ
scam	ምጥፍፋእ
scarce	ሕፅረት
scared	ዝፈረሐ
scarf	መሃረብ
scary	መፍርሒ
scar	በሰላ
scattered	ዝተበታተነ
scenery	ገጸ መሬት
scene	ኣጋጣሚ
scent	ሽታ
schedule	ናይ ግዘ ሰሌዳ
school	ቤት ትምህርቲ
science	ሳይንስ
scientists	ሳይንቲስት
scientist	ሳይንቲስት
scissors	መቐሳት
scold	መግናሕቲ
scope	ስፍሓት
score	ነጥቢ
scrap	ጉሓፍ
scratch	ፃሕትር
scream	ምእዋይ
screen	ሽፋን
screw	ሕልኽላኽ
script	ፅሑፍ
seal	ሽፋን
search	ምድላይ
season	ወቕቲ
seat	ኮፍ ምባል
sea	ባሕሪ
second	ካልኣይ
secret	ምሽጥር
section	ክፍሊ
secure	ውሑስ
security	ድሕንነት
seed	ዘርኢ
seek	ድለ
seems	ይመስል
seem	መሰለ
seen	ተራእዩ
see you later	ጸኒሑ የራኽበና
see you soon	ኣብ ቐረባ እዋን ንራኸብ
see you tomorrow	ፅባሕ ንራኸብ
see you	ክንራኸብ ኢና
see	ረአ
seize	መንጠለ
seizure	ምንፍርፋር
seldom	ሓደ ሓደ ግዘ
select	ምረፅ
self healing	ዓርሰ ፈውሲ
selfish	ዓርሱ ዝፈቱ
self	ዓርሰ
sell	ሽጥ
send me your picture	ፎቶኻ ለኣኸለይ
send	ስደድ
senior	ላዕለዋይ
sense	ትርጉም
sensible	መስተውዓሊ
sensitive	ኣብ ቀረባ ዘሎ
sentences	ቅፅዓታት
sentence	ቅፅዓት
sent	ተላኢኹ
separate	ፍለ
Sepedi	ሴፐዲ
september	መስከረም
sequence	ቕደም ስዓብ
series	ተኸታታሊ
seriously	ኣኽቢድካ ዝርአ
serious	ቁም ነገር
serve	ኣገልገለ
service	ግልጋሎት
session	ፕሮግራም
setting	ምምላእ
settle	ተስማዕመዐ
set up	ምድላው
set	ፅምዲ
seventeen	ዓሰርተ ሸውዓተ
seventy	ሰብዓ
seven	ሸውዓተ
several	ቡዙሓት
severe	ሓያል
sew	ስረ
shade	ፅላል
shadow	ፅላሎት
shake	ምጭባጥ
shallow	ጎድጓድ
shall	ይግባእ
shame	ሕፍረት
shape	ቅርፂ
share	ናይ ሓባር
sharp	በሊሕ
shed	መሕብኢ
sheep	በጊዕ
sheet	ወረቐት
she has	ኣለዋ
she is	ንሳ እያ
shelf	ስካፋለ
shell	ዛዕጎል
shelter	መፅለሊ
she	እሳ
shield	ዋልታ
shift	ምቕያር
shine	ምንጽብራቕ
shipping	ምልኣኽ
ship	መርከብ
shirt	ከናቲራ
shoes	ጫማታት
shoot	ምውቃዕ
shopping	ምዕዳግ
shop	ድኳን
shore	ገምገም-ባሕሪ
shortage	ሕፅረት
short	ሓፂር
shot	ምትኳስ
shoulder	መንኰብ
should	ይሓይሽ
shout	ዓው ምባል
shower	መሕጸቢ
show me	ኣርእየኒ
show	አርኢ
shrimp	ሽሪምፕ
shrink	ምንካይ
sh	sh
shut up	ሱቅ በል
shut	ዕጸው
shy	ሓፋር
siblings	አሕዋት
sibling	ኣሕዋት
sick	ሕሙም
side	ጎኒ
sightseeing	ብዓይኒ ምርኣይ
sight	ትርኢት
sigh	ብዓብዩ ምትንፋስ
signature	ክታም
significant	ግዙፍ
sign	ምልክት
silence	ስቕታ
silent	ፀጥታ
silk	ሃሪ
silly	ዕንሹሽ
silver	ነሓስ
similar	ተመሳሳሊ
simple	ቀሊል
simp	ቐሊል
simultaneously	ብተኻታታሊ
sincerely	ብቕንዕና
sincere	ቕንዕና
since	ካብ
singer	ደራፊ
single	ነፀላ
sing	ድረፍ
sink	ዓሚቅ
Sir	ሃለቃ
sister in law	ንዕልቲ
sister	ሓፍቲ
site	ጣብያ
situation	ኩነታት
sit	ተቐመጠ
sixteen	ዓሰርተ ሽድሽተ
sixty	ስድሳ
six	ሽዱሽተ
size	ግዝፊ
skills	ክእለታት
skill	ክእለት
skinny	ቀጢን
skin	ቆርበት
skip	ዝለል
skirt	ጉርዲ
sky	ሰማይ
slave	ባርያ
sleeping	ድቃስ
sleepy	ደቃሲ
sleep	ደቅስ
sleeve	እጅገ
slice	ቁርፅራፅ
slide	ገጽታ
slightly	ብውሕድ
slim	ቀጢን
slip	ምንሽርታት
slope	ሸላው
slot	ነዃል
slowly	ቐስ ብቐስ
slow	ዝንጉዕ
small	ንኡስ
smart	ንቁሕ
smell	ጨና
smile	ሰሓቅ
smoke	ትኪ
smooth	ለሚፅ
snack	ጠዓሞት
snail	ፅፍሪ
snake	ተመን
snap	ምቑራጽ
snow	በረድ
soak	ምርሓስ
soap	ሳሙና
sober	ስኽራን
soccer	ኹዕሶ እግሪ
social	ማሕበራዊ
society	ሕብረተሰብ
socks	ካልስታት
so cute	ብጣዕሚ ምጭውቲ
so far	ርሑቕ
software	ሶፍትዌር
soft	ልስሉስ
soil	ሓመድ
soldier	ወተሃደር
sold out	ተሸይጡ
sold	ሽዩጥ
sole	ብሕቲ
solid	ደረቕ
solution	መፍትሒ
solve	ፍታሕ
somebody	ዝኾነ ሰብ
somehow	ብገለ መንገዲ
someone	ሓደ ሰብ
something	ዝኾነ ነገር
sometimes	ሓደ ሓደ ግዘ
some	ንእሽተይ
song	ደርፊ
soon	አብ ቀረባ
sophisticated	ዝተወሳሰበ
Sorani	ሶራኒ
sore throat	ቓንዛ ጎሮሮ
sore	ቁስሊ
sorrow	ሓዘን
Sorry	ይሓዝን
sort	ምስራዕ
sought	ድሌት
soulmate	ኣሚን
soul	መንፈስ
sound	ድምጺ
soup	ሳሙና
source	ፍልፍል
sour	ዘቀንዙ
south	ደቡብ
so	ስለዚ
space	ቦታ
spam	ዘይጠቅም
Spanish	ስጳኛ
span	ንውሓቱ
spare	መቀያየሪ
speak	ተዛረብ
special	ፍሉይ
species	ዓሌታት
specific	ዝተወሰነ
spectacular	መስተንክራዊ
speechless	ዘይዛረብ
speech	ዘረባ
speed	ፍጥነት
spell	ብፊደል ፀሓፍ
spend	ክፈል
spent	ዝጠፍአ
spicy	ቐመም
spike	ዓንኬል
spinach	ጎመን ስፒናች
spin	ሸመነ
spirit	መንፈስ
spit	ምትፋእ
splendid	ዘደንቕ
split	ምቀል
spoiled	ዝተበላሸወ
spoil	ምርኮ
spontaneous	ብዘይምቁራጽ
spoon	ማንካ
spot	ነጥቢ
spouse	በዓል ገዛ
spread	ምዝርጋሕ
spring	ፅድያ
square	ርባዕ
squeeze	ምጽሟቕ
squid	ሕብራዊ ዓሳ
squirrel	ምጹጽላይ
stable	ዝተረጋገአ
stab	ብኻራ ምውጋእ
stack	ዝተኣከበ
staff	ሰራሕተኛታት
stage	መድረኽ
stain	ፀያፍ
stairs	መደያይቦታት
stake	ጉንዲ
stalk	ጉንዲ
stall	መደያይቦ
stamp	ማሕተም
standard	መለክዒ
stand	ደው ምባል
started	ተጀሚሩ
start	ጀምር
starving	ፃምእ
star	ኮኾብ
statement	ዓንቀፅ
state	ግዝኣት
station	ጣብያ
statue	ሓውልቲ
status	ኩነታት
stay safe	ደሓን ኩን
stay	ፅናሕ
steady	ኣብ ዕረፍቲ
steak	ስቲክ
steal	ስርቂ
steam	ሃፋ
steel	ሓጺን
steep	ጸዳፍ
stem	ጉንዲ
step	ደረጃ
stick	ዕንጨይቲ
stiff	ተሪር
still	እስካብ ሕዚ
stingy	ልሕሉሕ
sting	ምትንካፍ
stir	ምምሳል
stock	ኽዙን
stolen	ዝተሰረቐ
stomach	ከብዲ
stone	እምኒ
stood	ደው ኢሉ
stool	ድኳ
stop	ጠጠው በል
storage	መኽዚን
store	መኽዝን
storm	ህቦብላ
story	ዛንታ
stove	ምድጃ
straightforward	ፊት ንፊት
