тӀэкӀу	a little
Ӏумэт	impact
пхырыкӀ зиӀэ	impact
шыӀэныгъэншэ	impatient
хэшэн	implement
импорт щӀын	import
импорт	import
мыхьэнэшхуэ зиӀэ	important
кӀэрыщӀэн	impose
хъункӀэ Ӏэмал зимыӀэ	impossible
гукъинэ щыхъун	impress
гукъинэ	impression
гукъинэ	impressive
егъэфӀэкӀуэн	improve
нэхъыфӀ хъуныгъэ	improvement
ефӀэкӀуэныгъэ	improvement
дыщӀыгъуу	in addition
ЗэрыщытымкӀэ	In fact
ипэ	in front of
щхьэ	in order to
къемыкӀу	inappropriate
тезыгъэгушхуэ	incentive
мыхъумыщӀагъэ	incident
щӀэгъэнэн	include
хэгъэхьауэ	including
хэхъуэ	income
мытыншыгъэ	inconvenience
хэгъэхъуэныгъэ	increase
хэгъэхъуэн	increase
хэхъуп	increased
щхьэм къимытӀасэ	incredible
пэж дыдэу	indeed
зыми щымыгугъ	independent
Индие	India
гъэлъэгъуэн	indicate
нэхъыщхьэ	indigenous
цӀыху	individual
промышленность	industry
фӀэкӀ зимыӀэ	inevitable
сабий цӀынэ	infant
зэрыцӀалэ уз	infection
мыухыж	infinity
къэпщыныгъэ	inflammation
бэгыныгъэ	inflammation
инфляцэ	inflation
лъэкӀыныгъэ	influence
хэлӀыфӀыхьыныгъэ	influence
хъыбар егъэщӀэн	inform
информацэ	information
зэдащӀэ	information
халъхьэхэр	ingredients
щӀэин	inheritance
пэублэ	initial
гукъыдэжыныгъэ	initiative
уӀэгъэ зиӀэ	injured
фэбжь	injury
къуаншэкъым	innocent
мыкъуаншэ	innocent
щӀэ гуэр дунейм къытехьэныгъэ	innovation
щӀэупщӀэныгъэ	inquiry
делэ хъуа	insane
хпщхупщ	insect
зигурэ зи щхьэрэ зэтемылъ	insecure
хэлъхьэн	insert
хэгъэувэн	insert
и кӀуэцӀым	inside
къэунэхуныгъэ	insight
къэщӀэжыныгъэ	insight
тегъэкӀыныхьын	insist
жеиншагъэ	insomnia
гухэхъуэгъуэ	inspiration
къыхуэгъэушын	inspire
тегъэувэн	install
къэхъуныгъэ	instance
напӀэзыпӀэ	instant
и пӀэкӀэ	instead
и пӀэкӀэ	instead of
жыпхъэ	instructions
Ӏэмэпсымэ	instrument
икӀагъэ	insult
страховкэ	insurance
хъумэнкӀэ зэгурыӀуэныгъэ	insurance
зэгурыӀуэныгъэ	insurance
сэкъатыншэ	intact
псо	integrity
акъылыфӀэ	intellectual
акъыл	intelligence
губзыгъэ	intelligent
гугъэн	intend
хухэха	intended
гузэва	intense
мурад	intention
зэдэщӀэн	interact
зэдэщӀэныгъэ	interaction
гулъытэ	interest
зыфӀэгъэщӀэгъуэн	interested
гъэщӀэгъуэн	interesting
хэӀэбэн	interfere
зэхуаку зиӀэ	intermediate
кӀуэцӀ	internal
къэрал зэхуаку	international
лъэпкхъхэм зэдай	international
ӀэщӀагъэм щыхуагъасэ	internship
зэдзэкӀын	interpret
зэдзэкӀакӀуэ	interpreter
зэпыудын	interrupt
интервью	interview
гъунэгъу	intimate
къызыщыгъэхъун	introduce
хэзыгъэгъуазэ	introduction
и щхьэ хуэпсэуж цӀыху	introvert
къащӀэ	intuition
интуицэ	intuition
пцӀы	invalid
хъуэжыныгъэ	invent
Ӏэмэмсымэ	inventory
мылъкур предприятэ гуэрым хэлъхьэн	invest
зэхэгъэкӀын	investigate
егъэблэгъэныгъэ	invitation
къегъэблэгъэн	invite
есэп	invoice
есэп хуэгъувын	invoice
щӀэгъэнэн	involve
хэша	involved
ету	iron
ету тедзэн	iron
щытщ	is
хытӀыгу	island
щхьэхуэ	isolated
закъуэ	isolated
къыхэгъэкӀын	issue
Ӏуэхугъуэ гугъу	issue
Ӏуэхугъуэ гугъу	issues
ар	it
мыр щытщ	it is
щыӀащ	it was
мыр щытщ	it's
псори тэмэмщ	it's ok
псори хъарзынэщ	it's ok
Псори тэмэмщ	It's okay
хьэпшып	item
хьэпшыпхэр	items
и	its
Сэ сыщытщ	I’m
кӀагуэ	jacket
тутнакъ	jail
лъэхъуэщ	jail
ЩӀышылэ	January
банкӀ	jar
жьэпкъ	jaw
езыфыгъулӀэ	jealous
хэлъэтын	jerk
цӀугъэнэ зралъхьэхэр	jewelry
лэжьапӀэ	job
лэжьыгъэ	job
хыхьэн	join
зэгъусэ	joint
зэщӀыгъу	joint
гушыӀэ	joke
журналист	journalist
дунеялъэ	journey
гуфӀэгъуэ	joy
хеящӀэ	judge
хей щӀын	judge
псы	juice
пхъэщхьэмыщхьэпс	juice
бадзэуэгъуэ	july
дэпкӀеин	jump
мэкъуауэгъуэ	june
пхъэнкӀий	junk
пэж	just
ауэ	just
ауэ щӀэи ара	just do it
суд захуэ	justice
хей щӀын	justify
Къэбэрдей	Kabardian
Адыгэ	Kabardian
Калааллист	Kalaallisut
губзыгъэ	keen
Ӏущ	keen
Ӏыгъын	keep
апхуэдэ дыдэу пыщэ	keep it up
иӀыгъащ	kept
шеиныч	kettle
ӀункӀыбзэӀух	key
псынэ	key
еӀунщӀын	kick
лъакъуэкӀэ кӀэщӀэуэн	kick
сабий	kid
мэгушыӀэ	kidding
жьэжий	kidney
сабийхэр	kids
укӀын	kill
щытыкӀэ	kind
фӀы	kind
хуэдэ	kinda
кхъыӀэ	kindly
угъурлыгъэ	kindness
пащтыхь	king
ба хуэщӀын	kiss
пщэфӀапӀэ	kitchen
хьэуам ерс блэ	kite
джэду цӀыкӀу	kitten
лъэгуажьэ	knee
сщӀэт	knew
сэ	knife
рыцарь	knight
щӀэн	know
щӀэныгъэ	knowledge
цӀэрыӀуэ	known
Конканэ	Konkani
Криэ	Krio
дамыгъэ тедзэн	label
дамыгъэ	label
гугъуехь	labor
гугъуехь	labour
ныкъусаныгъэ	lack
щыщӀагъэ	lack
пкӀэлъей	ladder
цӀыхубз	lady
фыз	lady
шэсыпӀэ илъхьэн	laid
къэхухьын	laid
гуэл	lake
щынэ	lamb
ещӀэкъуауэ	lame
уэздыгъэ	lamp
щӀым деж къетӀысэхын	land
щӀы	land
щӀыуэпс сурэт	landscape
бзэ	language
лъэгуажьэхэр	lap
ин	large
иужь	last
иужь дыдэщ, ауэ нэхъ мыхьэнэншэкъым	last but not least
унэцӀэ	last name
гува	late
куэд мыщӀэу	lately
нэхъ гувауэ	later
иужь	latest
иужь	latter
и кӀэ	latter
дыхьэшхын	laugh
дыхьэшх макъ	laughing
дыхьэшх макъ	laughter
егъэжьэн	launch
жьыщӀэн	laundry
закон	law
хабзэ	law
хуей мыин	lawn
удзыпӀэ щӀыпӀэ тӀэкӀу	lawn
къэрал хабзэхэмкӀэ ӀэщӀагъэлӀ	lawyer
телъхьэн	lay
къат	layer
хэщӀапӀэ	layout
фӀыуэ хущытыныгъэ	layout
щхьэхынэ	lazy
егъэкӀуэкӀын	lead
пашэ	leader
тхьэмпэ	leaf
тхылъымпӀэ	leaf
ежэхын	leak
зегъэзыхын	lean
дэпкӀеин	leap
зэгъэщӀэн	learn
егъэджэн	learn
егъэджэныгъэ	learning
бэджэнд	lease
нэхъ мащӀэу	least
фэ	leather
зыгъэпсэхугъуэ	leave
къэгъэнэн	leave
тхьэмпэ	leaves
ишэу щытащ	led
ишащ	led
сэмэгумкӀэ	left
лъакъуэ	leg
щӀэин	legacy
законым тет	legal
таурыхъ	legend
тхыдэ	legend
хабзэм тет	legit
зыгъэпсэхуныгъэ	leisure
къеӀыхын	lend
кӀыхьагъ	length
нэхъ мащӀэ	less
дерс	lesson
хуэдэн	let
пощт	letter
яшх къэкӀыгъэ	lettuce
здынэсыр	level
щӀыхь	leverage
жэуап хьыныгъэ	liability
тхылъ унэ	library
ебзеин	lick
пцӀы	lie
къэгъэпцӀэн	lie
пцӀы	lies
гъащӀэ	life
дэкӀуэтеипӀэ	lift
къэӀэтын	lift
псынщӀэ	light
нэху	light
щӀэгъэнэн	light
щыблэ	lightning
кӀуэныгъэ	lightning
игу ирихьын	like
енэгуеигъуэ	likely
апхуэдэу	likewise
итхъа	line
Лингалэ	Lingala
зэпыщӀэныгъэ	link
аслъэн	lion
ткӀуаткӀуэ	liquid
псыӀэгъэ	liquid
спискэ	list
едэӀуэн	listen
едаӀуэр	listening
зэрыщыт	literally
литературэ	literature
уфӀеин	litter
цӀыкӀу	little
псэун	live
жыджэр	live
тхьэмщӀыгъу	liver
мэпсэу	lives
гъащӀэ	living
хьэщӀэщ	living room
шындырхъуо	lizard
хьэлъэ	load
щӀакхъуэ	loaf
щӀыхуэ	loan
щӀыпӀэ	local
щӀыпӀэ хэхам щыпсэу	local
щӀыпӀэ	location
быдапӀэ	lock
ӀункӀыбзэ	lock
щхьэхуэ щӀа	lockdown
ентӀыр	log
гуфӀэгъуэ макъ	lol
закъуэ	lonely
кӀыхь	long
куэд щӀауэ дызэрылъэгъуакъым	long time no see
плъэкӀэ	look
плъэн	look
кӀапсэ зэрыдза	loop
хуит къэщӀын	loose
хуит	loose
тепщэ	lord
гъэкӀуэдын	lose
кӀуэдар	loss
кӀуэда	lost
насып	lot
ӀуэхузэхэлъыкӀэ	lot
ину	loud
пэшышхуэ	lounge
лъагъуныгъэ	love
лъагъуныгъэ хуэщӀын	love
фӀыуэ узолъагъу	love you
закъуэ	lovely
лъахъшэ	low
и лъабжьэ	lower
пэж	loyal
хуэщыпкъэныгъэ	loyalty
ехъулӀэныгъэ	luck
къызэхъулӀэ	lucky
Лугандэ	Luganda
зыдахь хьэпшып	luggage
тыкъыр	lump
шэджагъуашхэ	lunch
тхьэмбыл	lungs
къулеиныгъэ	luxury
пцӀыӀуэпцӀышэ	lying
машинэ	machine
убыдыпӀэншэ	mad
гуащэ	madam
сщӀащ	made
журнал	magazine
гъуэзэджэ	magnificent
хамэ унэм щыӀэпыдзлъэпыдз цӀыхубз	maid
нэхъыщхьэ	main
пашэ	main
дэӀыгъын	maintain
гъэлэжьэн	maintenance
Майтхилэ	Maithili
майор	major
пӀащэ	major
нэхъыбэр	majority
щӀэн	make
зэхэгъэувэн	make up
хъу	male
сату щӀыпӀэшхуэ	mall
лӀы	man
цӀыхухъу	man
зегъэкӀуэн	manage
зехьэныгъэ	management
зегъэкӀуэныгъэ	management
ӀуэхущӀапӀэм и лэжьыгъэр унэтӀыныгъэмкӀэ ӀэщӀагъэлӀ	manager
фӀэкӀыпӀэ зимыӀэ	mandatory
манифест	manifest
хьэгъэщагъэ зехьэн	manipulate
щытыкӀэ	manner
Ӏэпщэ	manual
ӀэкӀэ щӀа	manual
куэд	many
укъыщалъхуа махуэр пхуэугъурлын	many many happy returns of the day
макъамэ укъызыщӀэзыӀэтэ	march
зекӀуэкӀэ зыщӀэгъэуӀуа	march
хэхъуэ	margin
бэзэр	market
нэчыхь	marriage
дагъуэ	marriage
фыз зиӀэ	married
нэкӀуӀулъхьэ	mask
хьэлъагъ	mass
массэ	mass
куэд	mass
хьэлъэ	massive
ин	massive
ӀэщӀагъэлӀ	master
зэтехуэн	match
зэтехуэныгъэ	match
ӀупэфӀэгъу	mate
материал	material
матиматикэ	math
мыхьэнэ зиӀэ	matter
щытыкӀэ	matter
хъугъуэ	maturity
балигъыпӀэ	maturity
щӀэн	may
накъыгъэ	may
лъэкӀын	may
щытынкӀэ хъунущ	maybe
сэ	me
сэри	me too
шхын	meal
ябгэ	mean
мыхьэнэ иӀэн	mean
мыхьэнэ	meaning
хэкӀыпӀэхэр	means
зыгуэр къзэрыкӀыу щыта	meant
а зэманым	meanwhile
къэпщын	measure
мардэ	measures
Ӏэмалхэр	measures
лы	meat
медицинскэ	medical
хущхъуэ	medicine
егупсысыныгъэ	meditation
курыт	medium
пежьэн	meet
зэхуэзэ	meeting
Мейтейлиуэн	Meiteilon
ткӀун	melt
гукъэкӀыж	memories
гурыхуагъэ	memory
гукъэкӀыж	memory
акъылкӀэ	mental
игу къэгъэкӀыжын	mention
къиӀуэн	mention
къыхэгъэща	mentioned
зи цӀэ къиӀуа	mentioned
гъэсакӀуэ	mentor
сатуущӀэ	merchant
зыщэ	merchant
гущӀэгъу	mercy
къудей	merely
хъуромэм насып къыдэкӀуэну	merry christmas
зэкӀэлъымыкӀуагъэ	mess
хъыбарыщӀэ	message
зэрызэрыщӀэ	message
фӀей	messy
гъущӀыкӀэ	metal
щӀыкӀэ	method
дзыгъуэхэр	mice
зэхуаку	middle
жэщ ныкъуэ	midnight
лъэщ	might
тынш	mild
псынщӀэ	mild
гъуэгу дамыгъэ	milestone
зауэ	military
шэ	milk
мелуан	million
акъыл	mind
едэуэн	mind
гупсысэкӀэ	mindset
щӀыщӀагъ хъугъуэфӀыгъуэхэр къыщыщӀах щӀыпӀэ	mine
сысей	mine
зэхэзэрыхьын	mingle
мыхьэнэншэ	minor
дакъикъэ	minute
дакъикъэхэр	minutes
телъыджэлажьэ	miracle
гъуджэ	mirror
зэмылӀэужьыгъуэ	miscellaneous
къуейщӀей	mischievous
гу зыщӀэгъу	miserable
насыпыншагъэ	misery
блэгъэкӀын	miss
сигу укъокӀ	miss you
иримыкъу	missing
къалэн	mission
пшагъуэ	mist
щыуагъэ	mistake
Мизэ	Mizo
мобильнэ	mobile
щыдыхьэшхын	mock
модель	model
зыгуэрым и щапхъэ	model
зэпӀэзэрыт	moderate
щабэ щӀын	moderate
иджырей	modern
нэмысыфӀэ	modest
псыӀэ	moist
псыӀэ	moisture
щытыкӀэ	mold
щытыкӀэ етын	mold
щӀыӀуб	mole
анэ	mom
мамэ	mom
напӀэзыпӀэ	moment
блыщхьэ	monday
ахъшэ	money
кӀэлъыплъын	monitor
номин	monkey
мазэ	month
нэжэгужэ	mood
цӀикъ	moody
мазэ	moon
хьэл-щэн мардэхэм епха	moral
нэхъыбэ	more
абы нэмыщӀ	moreover
пщэдджыжь	morning
ипотекэ	mortgage
нэхъыбэу	most
нэхъыбэу	mostly
анэ	mother
гъэхъеиныгъэ	motion
тегъэщӀэн	motivation
бгы	mountain
дзыгъуэ	mouse
жьэ	mouth
гъэхъеин	move
гъэхъеиныгъэ	movement
фильм	movie
инджылыбзэ къэралхэм цӀыхубзхэм я цӀэ-унэцӀэм пыту жаӀэ	mrs
куэд	much
ятӀэ	mud
фӀей	mud
кӀрушкӀэ	mug
лыпцӀэналъэ	muscle
музей	museum
Ӏэгъэбэгу	mushroom
уэрэд	music
хуэныкъуэныгъэ	must
ищӀэн хуейщ	must
бзагуэ	mute
зэдай	mutual
сысей	my
Си лъапӀэ	My dear
си ныбжьэгъу	my friend
Си кхъухь хьэуа щхьэнтэр блэм ещхь бдзэжьейхэмкӀэ гъэнщӀащ	My hovercraft is full of eels
си лъагъуныгъэ	my love
сэ къызэрызэджэр	my name is
Ӏуэхукъым	my pleasure
сэ езым	myself
мыгурыӀуэгъуэ	mysterious
къуажэхь	mystery
таурыхъыжь	myth
псысэ	myth
гъущӀӀунэ	nail
зэхэщӀыкӀыншэ	naive
цӀэ	name
къэӀуэтэжыныгъэ	narrative
зэв	narrow
Ӏей	nasty
цӀапӀэ	nasty
лъэпкъ	national
лъэпкъ	nationality
нэхъыщхьэ	native
зэрыщыт дыдэ	natural
щӀыуэпс	nature
гукъекӀуэныгъэ	nausea
гъунэгъуу	near
гъунэгъуу	nearby
нэблагъэ	nearly
хуэсакъ	neat
узыхуэныкъуэ	necessary
пщэ	neck
абдж щыгъэ	necklace
хуэныкъуэныгъэ	need
хуэныкъуэн	need
Ӏей	negative
гулъытэншэу къэгъэнэн	neglect
зэпсэлъэныгъэ егъэкӀуэкӀын	negotiate
гъунэгъу	neighbor
куей	neighborhood
зыри	neither
дэлъху бын	nephew
къуэш бын	nephew
шыпхъу бын	nephew
еджэн фӀэкӀа къызыфӀэмыӀуэху	nerd
губжьрей	nervous
абгъуэ	nest
хъы	net
хъы	network
аткӀи-мыткӀи хэмыхьэ	neutral
зэикӀ	never
зей зыри зэтомыгъакӀуэ	never give up
укъимыкӀуэт	never give up
мыщӀагъуэ	never mind
мыщӀагъуэ	nevermind
дапхуэдэу щымытми	nevertheless
щӀэ	new
хъыбарыщӀэ	news
къыкӀэлъыкӀуэр	next
гъусэу	next to
фӀы	nice
си гуапэщ укъызэрысцӀыхуар	nice to meet you
дэлъху бын	niece
шыпхъу бын	niece
жэщ	night
гуӀэгъуэ	nightmare
шынагъуэ	nightmare
бгъу	nine
пщыкӀубгъу	nineteen
бгъущӀ	ninety
Хьэуэ	No
проблемэ щыӀэкъым	no problem
зыуикӀ	no way
зыри	nobody
даущ	noise
Ӏэуэлъауэ	noise
Ӏэуэлъауэ	noisy
хьэуэ	none
шэджагъуэ	noon
махуэ ныкъуэ	noon
хьэуэ	nope
тэмэм	normal
ищхъэрэ	north
пэ	nose
гукъэкӀыж зыхэлъ	nostalgic
хьэуэ дыдэ	not at all
Ӏейкъым	not bad
Иджыпстукъым	Not now
иджыри хьэуэ	not yet
заметкэ	note
къыхэгъэща	noted
зыри	nothing
гу лъытэн	notice
гу лъитащ	noticed
щыӀэцӀэ	noun
щыӀэцӀэ	nouns
роман	novel
щэкӀуэгъуэ	november
иджыпсту	now
ди махуэхэм	nowadays
лъэпощхьэпо	nuisance
зэран хъу	nuisance
ныкъусаныгъэ	nuisance
нол	null
зыри	null
ундэрэбжьа	numb
номыр	number
медицинэ ӀэщӀагъэ курыт зиӀэ цӀыхубз	nurse
дэ	nut
мускатнэ дэ	nutmeg
пкъыгъуэ сэбэп зыхэлъ	nutrition
тхьэрыӀуэ	oath
пшэр хъуныгъэ	obesity
хуэпщылӀын	obey
щӀыпӀэ	object
объект	object
къалэн	objective
къалэн	obligation
мыцӀэрыӀуэ	obscure
кӀэлъыплъыныгъэ	observation
кӀэлъыплъын	observe
зэщӀиӀыгъэ	obsessed
зэщӀэӀыгъэныгъэ	obsession
жьы хъуа	obsolete
зэран хъу	obstacle
пэщӀэуэныгъэ	obstacle
Ӏэрыхьэн	obtain
къыӀэрыхьащ	obtained
шэч зыхэмылъ	obvious
нэрылъагъущ	obviously
иныкъуэм деж	occasionally
ӀэщӀагъэ	occupation
зыхущӀэмыхьэ	occupied
къэхъун	occur
къэхъуащ	occurred
къохъу	occurs
хы	ocean
жэпуэгъуэ	october
гъэщӀэгъуэн	odd
телъыджэ	odd
гугъапӀэхэр	odds
дауи	of course
гъэуфӀынкӀа	off
гуауэ пщыхъу	offensive
Ӏуэхугъуэ гуэр къыхэлъхьэн	offer
хьэрычэт	offer
лэжьыгъэ гуэр щрагъэкӀуэкӀ пэш	office
официальнэ	official
куэдрэ	often
Уэху	Oh
гушыӀэншэу	oh really
дагъэ	oil
хъарзынэ	ok
тэмэм	ok
хъунщ, лъапӀэ	ok dear
хъунщ, лъапӀэ	ok honey
хъунщ, фӀыуэ слъагъу	ok my love
хъарзынэ	okay
тэмэм	okay
тэмэмщ, псэм хуэдэ	okay baby
хъунщ, лъапӀэ	okay dear
хъунщ, лъапӀэ	okay honey
хъунщ, си лъагъуныгъэ	okay my love
жьы	old
зэ	once
зы	one
Зы бзэ закъуэкӀэ зей урикъунукъым	one language is never enough
бжьын	onion
дунейпсо бэджыхъым щис зэман	online
онлайн	online
къудей	only
Ӏуха	open
операцэ	operation
еплъыкӀэ	opinion
Ӏэмал	opportunities
Ӏэмал	opportunity
зэпэщӀэуэ	opposite
нэжэгужэ	optimistic
лӀэужьыгъуэ	option
умыщӀэми хъуну	optional
е	or
тӀамы	orange
гъуэжь-плъыжьыфэ	orange
унафэ щӀын	order
тэмэмагъ	order
къызэрыгуэкӀ	ordinary
къызэгъэпэщыныгъэ	organization
хуэунэтӀыныгъэ	orientation
гъуазэ	orientation
къызыхэкӀар	origin
къахэщхьэхукӀ	original
зыми къытрамыха	original
Оромэ	Oromo
зеиншэ	orphan
нэгъуэщӀ	other
нэгъуэщӀу	otherwise
хуейщ	ought
дыдей	our
Дэ ди къэлэныр: псоми дунейр зэхащӀыкӀыну, бзэ зэмылӀэужьыгъуэхэмкӀэ я гупсысэр къаӀуэтэну хуит щӀынырщ.	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
Дэ ди къэлэныр: информацэр зэдгъэзахууэу ар дэндежи гъуэтыгъуафӀэ икӀи сэбэп щӀынырщ.	Our mission: to organize the world's information and make it universally accessible and useful.
и щӀыӀум	out
кӀэ зэригъуэта щӀыкӀэ	outcome
щыгъын	outfit
гуп	outfit
къыздикӀ	outgoing
иӀупӀэ	outlet
розеткэ	outlet
къэтхъыхьыныгъэ	outline
и щӀыӀум	outside
мыхьэнэшхуэ зыхэлъ	outstanding
духовкэ	oven
нэхъыбэу	over
абдеж	over there
къудейщ	overall
псори	overall
фӀэкӀын	overcome
щхьэдэхын	overcome
шыхьыныгъэ	overthinking
телъыджэ	overwhelmed
телъыджащэ	overwhelming
щытын хуейщ	owe
жьынду	owl
Ӏыгъын	own
узыхуит	own
къэгъэсэбэпын	own
зей	owner
зыбгъэдэлъ	owner
гуу	ox
лъэбакъуэ	pace
зэкӀуэцӀыпхэн	pack
зэрызыкӀуэцӀалъхьэ	package
зыкӀуэцӀылъыр	package
уасэ щӀитащ	paid
уз	pain
лэч	paint
ӀэкӀэ щӀа сурэт	painting
зэгъусэ	pair
тӀу	pair
фагъуэ	pale
Ӏэгу	palm
тебэ	pan
пандемие	pandemic
гужьеигъуэ	panic
хьэрпхъэр	panic
гъуэншэдж	pants
тхьэмпэ	paper
тхылъымпӀэ	paper
жэнэт	paradise
зэпэщӀэуэ	parallel
гъэкӀуэныгъэ	parcel
тезэрыр техыжыныгъэ	pardon
хуэгъэгъуныгъэ	pardon
адэ-анэ	parents
зыщагъэпсэху	park
бгъэудзыфэ	parrot
дыдыкъуш	parrot
къуэн	parsley
Ӏыхьэ	part
хэтын	participate
хэха	particular
пыухыкӀа	particular
псом хуэмыдэу	particularly
гъусэ	partner
пшыхьзэхэс	party
щӀэпщакӀуэ	party
кӀуэцӀрыкӀын	pass
къыщӀыхьэн	pass
кӀуэцӀрыкӀыпӀэ	passage
кӀуэцӀрыкӀащ	passed
дэзыхьэх	passion
фӀэфӀагъэ ин зыхэлъ	passionate
жэрдэмыншэ	passive
пароль	password
блэкӀа	past
Ӏыхьэ	patch
гъуэгу	path
гу зыщӀэгъу	pathetic
зышыӀэныгъэ	patience
сымаджэ	patient
шыӀэныгьэ зыхэлъ	patient
тхыпхъэщӀыпхъэ	pattern
зэпыугъуэ	pause
ЦӀыхухэр здызекӀуэ гъуэгу Ӏыхьэ	pavement
щӀэтын	pay
уасэр щӀэтыныгъэ	payment
дуней	peace
мамыр	peace
мамыр	peaceful
шэфтал	peach
нэӀу	peak
кхъужь	pear
джэшхъурей	peas
гуузджэш	peas
хэха	peculiar
щхьэхуэ	peculiar
гъутхьэпс	pee
тхэн	pee
фэ	peel
уи ныбжь	peer
ныбжьхэр	peers
къалэм	pen
къэрэндащ	pencil
ежьэн	pending
цӀыхухэр	people
шыбжий	pepper
бурш	pepper
къыгурыӀуэн	perceive
къэщӀэныгъэ	perception
къызэрыщыхъу	perception
къызыхуэтыншэ	perfect
гъэзэщӀэн	perform
зэлэжьам мыхьэнэ зиӀэумкъыхэкӀар	performance
къэхъункӀэ хъун	perhaps
зэман	period
пӀалъэ	period
зэпымыу	permanent
хуитыныгъэ	permission
хуэдэн	permit
ерыщыгъэ	perseverance
ерыщ	persistent
цӀыху	person
и щхьэкӀэ	personal
цӀыхум и Ӏуплъэ	personality
цӀыху щхьэхуэ	personality
еплъыкӀэ	perspective
и фӀэщ щӀын	persuade
лейзехьэ	pervert
унэ псэущхьэ	pet
пӀалъэ хэха	phase
лъэхъэнэ	phase
къэхъу-къащӀэ	phenomenon
философие	philosophy
телефон	phone
сурэт	photo
жыӀэкӀэ	phrase
Ӏэпщэ къару зыхь	physical
къыхухэхын	pick
къыхэхын	pick up
къэщтэжын	pick up
ӀэкӀэ щӀа сурэт	picture
Ӏыхьэ	piece
Ӏыхьэхэр	pieces
кхъуэ	pig
тхьэрыкъуэ	pigeon
Ӏэтэ	pile
щхьэнтэ	pillow
кхъухьлъатэзехуэ	pilot
мастэкъуаншэ	pin
кӀэмастэ	pin
ананас	pineapple
тхьэмбылыфэ	pink
мащэ	pit
лъагагъ	pitch
гущӀэгъуныгъэ	pity
щӀыпӀэ	place
щӀэгъэзэгъэн	place
щӀыпӀэхэр	places
емынэ	plague
гурыӀуэгъуафӀэ	plain
план	plan
кхъухьлъатэ	plane
къэкӀыгъэ	plant
къэкӀыгъэхэр	plants
тепщэч	plate
платформэ	platform
джэгун	play
пьесэ	play
джэгу	playing
гуакӀуэ	pleasant
кхъыӀэ	please
арэзы щӀын	please
арэзы хъуа	pleased
гухэхъуэ	pleasure
тхьэрыӀуэ	pledge
куэд	plenty
художественнэ тхыгъэм щекӀуэкӀ Ӏуэхугъуэхэр	plot
гъэбыдэн	plug
къыпцӀэ	plum
псыщӀэшакӀуэ	plumber
куэду щыӀэ	plural
ютуб зэпсэлъэлӀыныгъэ	podcast
усэ	poem
усыгъэ	poetry
точкэ	point
щхъухь	poison
полицэ	police
политикэ	policy
щэныфӀэ	polite
уфӀеиныгъэ	pollution
псы ӀущӀа	pond
зыщагъэпскӀ	pool
бассейн	pool
ӀэкӀэ щӀа псыхъурей	pool
щӀыб икӀын	poop
тхьэмыщкӀэ	poor
къэуэн	pop
цӀэрыӀуэ	popular
щӀыпӀэм щыпсэу цӀыхухэр	population
кхъуэл	pork
кашэ	porridge
кхъухьхэр здэщыт щӀыпӀэ	port
щӀыпӀэ	position
итыпӀэ	position
тегъэщӀапӀэ	position
арэзыныгъэ	positive
ӀэщӀэлъын	possess
иӀэн	possess
мылъку	possession
езым и	possessive
Ӏэмал	possible
пощт	post
трегъэдзэн	post
гъэтӀылъын	postpone
кӀэртӀоф	potato
зэрыщытыр	potential
фунт	pound
тхьэмыскӀагъэ	poverty
къару	power
лъэщ	powerful
практическэ	practical
практикэ щӀын	practice
практикэ	practice
щытхъун	praise
дэгушыӀэныгъэ	prank
джэгукӀэ лӀэужьыгъуэ	prank
тхьэ елъэӀун	pray
лъапӀэ	precious
хуэдэпс	precise
техуэпс	precise
пэжу	precisely
къэхъуныр жыӀэн	predict
нэхъ къэщтэн	prefer
нэхъ фӀэфӀыныгъэ	preference
лъэщыджэ	pregnant
уэндэхъу	pregnant
хабзэжь	prejudice
щӀыпӀэ	premises
саугъэт	premium
гъэхьэзырыныгъэ	preparation
гъэхьэзырын	prepare
хьэзыр	prepared
щхьэусыгъуэ	preposition
щыӀэныгъэ	presence
иджырей	present
иджыпсту	present
тыгъэ	present
презентацэ	presentation
зехьэн	preserve
Ӏэтащхьэ	president
прессэ	press
текъузэн	press
хузыныгъэ	pressure
зыщӀын	pretend
лъагъугъуафӀэ	pretty
дыдэ	pretty
къэгъэувыӀэн	prevent
ипэ ит	previous
щхьэузыхь	prey
уасэ	price
пагагъэ	pride
чылисэ лэжьакӀуэ	priest
нэхъапэ	primary
нэхъыщхьэ	prime
пашэ	prime
пащтыхьыпхъу	princess
унэфэщӀ	principal
ипэ ит	prior
пэрытыныгъэ	priority
лъэхъуэщ	prison
тутнакъ	prison
щэху	privacy
хабзэу щымыт	private
хуитыныгъэ хэха	privilege
саугъэт	prize
тыгъэ	prize
къэхъункӀэ хъун	probably
нэкъусэныгъэ	problem
процедурэ	procedure
пыщэн	proceed
елэжьын	process
екӀуэкӀыныгъэ	process
къыдэгъэкӀын	produce
Ӏэужь	product
шхыныгъуэ	product
щӀыныгъэ	production
къыдэгъэкӀыныгъэ	production
ӀэщӀагъэ	profession
ӀэщӀагъэм хуэӀэзэ	professional
нэӀубгъу	profile
хьэпшыпыбгъу	profile
хэхъуэ	profit
куу	profound
зыузэщӀыныгъэ	progress
хэкӀуэтэн	progress
проект	project
мыхьэнэшхуэ зиӀэ	prominent
къэгъэгугъэн	promise
