бер аҙ	a little
мөмкинлектәр	opportunities
мөмкинлек	opportunity
киреһенсә	opposite
оптимист	optimistic
вариант	option
ихтыяри	optional
йәки	or
ҡыҙғылт һары	orange
әфлисун	orange
тәртип	order
бойороҡ бирергә	order
ябай	ordinary
ойошма	organization
йүнәлеш алыу	orientation
сығыш	origin
үҙгәле	original
иң тәүге	original
оромо теле	Oromo
етем бала	orphan
икенсе	other
башҡаса	otherwise
тейеш	ought
беҙҙең	our
Беҙҙең миссия: һәр кемгә, ҡайҙа ғына булһа ла, донъяны аңларға һәм үҙенең фекерен төрлө телдәрҙә әйтергә мөмкинлек биреү.	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
Беҙҙең миссия: донъя мәғлүмәтен системалаштырыу һәм уны дөйөм ҡулланылышлы һәм файҙалы итеү.	Our mission: to organize the world's information and make it universally accessible and useful.
тышта	out
һөҙөмтә	outcome
кейем-һалым	outfit
алсаҡ	outgoing
сығыш	outlet
контур	outline
тышта	outside
данлыҡлы	outstanding
духовка	oven
өҫтөндә	over
тегендә	over there
дөйөм алғанда	overall
еңеп сығырға	overcome
күп уйлау	overthinking
тетрәнгән	overwhelmed
өҫтөнлөк иткән	overwhelming
бурыслы булырға	owe
өкө	owl
биләргә	own
үҙенеке	own
хужа	owner
үгеҙ	ox
тиҙлек	pace
төргәкләргә	pack
төрөү материалы	package
түләүле	paid
ауыртыу	pain
буярға	paint
картина	painting
пар	pair
аҡһыл	pale
ус	palm
кәстрүл	pan
пандемия	pandemic
паника	panic
ыштан	pants
гәзит	paper
ҡағыҙ	paper
ожмах	paradise
параллель	parallel
посылка	parcel
ғәфү итергә	pardon
ата-әсә	parents
парк	park
торатырға	park
тутыйғош	parrot
петрушка	parsley
өлөш	part
ҡатнашырға	participate
айырым	particular
атап әйткәндә	particularly
партнер	partner
байрам	party
үтергә	pass
абзац	passage
үтеү	passage
үткән	passed
дәрт	passion
дәртле	passionate
пассив	passive
пароль	password
үткән	past
ямаулыҡ	patch
юл	path
меҫкен	pathetic
сабырлыҡ	patience
түҙемле	patient
пациент	patient
өлгө	pattern
пауза	pause
тротуар	pavement
түләргә	pay
түләү	payment
тыныс	peace
тыныс	peaceful
персик	peach
түбә	peak
груша	pear
борсаҡ	peas
үҙенсәлекле	peculiar
һейҙек	pee
һейергә	pee
әрсергә	peel
ҡабыҡ	peel
йәштәш	peer
ҡорҙаштер	peers
ручка	pen
ҡәләм	pencil
көтә-көтә	pending
кешеләр	people
борос	pepper
үҙләштерергә	perceive
зиһенгә алыу	perception
идеаль	perfect
башҡарырға	perform
тамаша	performance
ихтимал	perhaps
период	period
нөктә	period
даими	permanent
рөхсәт	permission
рөхсәт итергә	permit
ныҡышмалылыҡ	perseverance
сыҙамлы	persistent
кеше	person
шәхси	personal
шәхес	personality
ҡараш	perspective
ышандырырға	persuade
аҙғын кеше	pervert
йорт хайуаны	pet
фаза	phase
күренеш	phenomenon
философия	philosophy
телефон	phone
фото	photo
фраза	phrase
физик	physical
һайларға	pick
күтәрергә	pick up
рәсем	picture
киҫәк	piece
өлөштәр	pieces
сусҡа	pig
күгәрсен	pigeon
өйөм	pile
мендәр	pillow
летчик	pilot
төйрәүес	pin
ананас	pineapple
алһыу	pink
һөйәк	pit
соҡор	pit
ыҫмала	pitch
бирергә	pitch
йәлләү	pity
урын	place
ҡуйырға	place
урындар	places
чума	plague
ябай	plain
план	plan
самолет	plane
үҫемлек	plant
завод	plant
үҫемлек	plants
заводтар	plants
тәрилкә	plate
платформа	platform
спектакль	play
уйнарға	play
уйнау	playing
рәхәт	pleasant
кинәндерергә	please
рөхсәт	please
ҡәнәғәт	pleased
шатлыҡ	pleasure
вәғәҙә	pledge
күп	plenty
сюжет	plot
тығырға	plug
бөкө	plug
слива	plum
сантехник	plumber
күплек	plural
подкаст	podcast
шиғыр	poem
шиғриәт	poetry
мәрәй	point
нөктә	point
ағыу	poison
полиция	police
сәйәсәт	policy
ипле	polite
бысраныу	pollution
быуа	pond
бассейн	pool
ярау итергә	poop
ярлы	poor
поп	pop
шартларға	pop
танылған	popular
популяция	population
халыҡ һаны	population
сусҡа ите	pork
һоло бутҡаһы	porridge
порт	port
вазифа	position
позиция	position
ыңғай	positive
эйә булырға	possess
милек	possession
эйәлек	possessive
мөмкин	possible
һалырға	post
бағана	post
кисектерергә	postpone
картуф	potato
потенциаль	potential
фунт	pound
ярлылыҡ	poverty
көс	power
хакимлыҡ	power
көслө	powerful
ғәмәли	practical
практика	practice
күнегеүгә	practice
маҡтарға	praise
шаяртыу	prank
намаҙ уҡырға	pray
ҡиммәтле	precious
теүәл	precise
дөрөҫ	precisely
юрарға	predict
өҫтөнлөк бирергә	prefer
өҫтөнлөк	preference
йөклө ҡатын	pregnant
тиҫкәре мөнәсәбәт	prejudice
тәүшарттар	premises
юғары сорт	premium
әҙерлек	preparation
әҙерләнергә	prepare
әҙер	prepared
ярҙамсы һүҙ	preposition
препозиция	preposition
барлыҡ	presence
хәҙерге	present
бүләк	present
хәҙерге заман	present
презентация	presentation
һаҡлап ҡалырға	preserve
президент	president
баҫырға	press
баҫыу	press
баҫым	pressure
юрамал ҡыланырға	pretend
дәғүә итергә	pretend
матур	pretty
байтаҡ	pretty
булдырмарға	prevent
алдағы	previous
табыш	prey
хаҡ	price
ғорурлыҡ	pride
дин әһеле	priest
баш	primary
төп	prime
принцесса	princess
баш	principal
алдында	prior
өҫтөнлөк	priority
төрмә	prison
яңғыҙлыҡ	privacy
шәхси	private
айырым хоҡуҡ	privilege
приз	prize
моғайын	probably
мәсьәлә	problem
процедура	procedure
дауам итергә	proceed
эшкәртергә	process
процесс	process
етештерергә	produce
продукт	product
етештереү	production
һөнәр	profession
профессиональ	professional
профиль	profile
файҙа	profit
нигеҙле	profound
алға барырға	progress
прогресс	progress
проект	project
күренекле	prominent
вәғәҙә	promise
вәғәҙә итеү	promise
булышырға	promote
вазифаһын күтәреү	promotion
тиҙ	prompt
әүәҫ	prone
алмаштар	pronouns
әйтелеше	pronunciation
дәлил	proof
тейешле	proper
дөрөҫ	properly
үҙенсәлектәр	properties
милек	property
тәҡдим	proposal
перспектива	prospect
гөрләү	prosperity
хәлле	prosperous
яҡларға	protect
ғорур	proud
иҫбатларға	prove
тәьмин итергә	provide
тәҡдим ителгән	provided
провинция	province
тәьминәт	provision
енси өлгөргәнлек	puberty
йәмәғәт	public
тартырға	pull
ҡабаҡ	pumpkin
пунктуаль	punctual
уҡыусы	pupil
һатып алған эйбер	purchase
таҙа	pure
көрән күк	purple
маҡсат	purpose
аҡса янсығы	purse
артынан төшөргә	pursue
эҙәрләү	pursuit
этергә	push
һалырға	put
квалификация	qualification
сифат	quality
һан	quantity
карантин	quarantine
бәхәс	quarrel
бәхәсләшергә	quarrel
сирек	quarter
кечуа теле	Quechua
королева	queen
сәйер	queer
һорау	query
шикләнергә	question
һорау	question
сират	queue
сиратта торорға	queue
тиҙ	quick
тиҙ	quickly
тыныс	quiet
һырылған юрған	quilt
ташларға	quit
бөтөнләй	quite
күп	quite
викторина	quiz
цитата	quotation
өҙөмтә килтерергә	quote
өҙөмтә	quote
тырнаҡтар	quotes
ҡуян	rabbit
уҙыш	race
раса	race
ярһыу	rage
ямғыр	rain
күтәреү	raise
үҫтерергә	raise
күтәрелгән	raised
йүгергән	ran
осраҡлы	random
диапазон	range
тиҙ	rapid
шәп	rapidly
һирәк	rare
һирәк	rarely
сабыртҡы	rash
ҡомаҡ	rat
тариф	rate
тиҙлек	rate
мөнәсәбәт	ratio
рациональ	rational
сей	raw
тағы	re
етергә	reach
һуҙырға	reach
еткән	reached
тейелгән	reached
реакция	reaction
уҡырға	read
уҡыу	reading
әҙер	ready
ысын	real
ысынбарлыҡ	reality
аңларға	realize
аңлаған	realized
ысынлап та	really
артҡы	rear
аҡыл	reason
сәбәп	reason
төплө	reasonable
иҫләргә	recall
чек	receipt
алырға	receive
алған	received
күптән түгел	recent
күптән түгел	recently
ҡабул итеү	reception
рецепт	recipe
аҡылһыҙ	reckless
танылыу	recognition
танырға	recognize
кәңәш бирергә	recommend
кәңәш бирелгән	recommended
яҙымта	record
яҙырға	record
һауығырға	recover
тергеҙелеү	recovery
тура дүртмөйөш	rectangle
ҡыҙыл	red
түләп алырға	redeem
ҡотҡарыу	redemption
кәметергә	reduce
артыҡ	redundant
ебәрергә	refer
һылтанма	reference
көҙнәргә	reflect
сағылыш	reflection
тыйылырға	refrain
һыуытҡыс	refrigerator
аҡса кире бирергә	refund
кире ҡағырға	refuse
баш тартты	refused
ихтирам	regard
тураһында	regarding
бойондороҡһоҙ	regardless
ихтирам менән	regards
регион	region
теркәргә	register
үкенергә	regret
тигеҙ	regular
нормаль	regular
регуляр	regularly
кире ҡағырға	reject
ҡағылырға	relate
ҡағылышлы	related
бәйләнеш	relationship
туған	relative
сағыштырма	relative
ҡәрҙәштәр	relatives
ял итергә	relax
ебәрергә	release
сығарырға	release
ебәрелгән	released
тейешле	relevant
ышаныслы	reliable
еңеллек	relief
еңеләйтергә	relieve
еңеләйтелгән	relieved
дин	religion
динле	religious
теләмәгән	reluctant
ышанырға	rely
ҡалырға	remain
ҡалған	remaining
иҫ киткес	remarkable
сара	remedy
иҫтәргә	remember
иҫкә төшөрөргә	remind
иҫкәртмә	reminder
алыҫ	remote
сығарып алырға	remove
яһарға	render
ҡуртым	rent
йүнәтергә	repair
ҡабатларға	repeat
алмаштырырға	replace
яуап бирергә	reply
яуап	reply
доклад яһарға	report
отчет	report
күрһәтеү	represent
репутация	reputation
һорарға	request
һорау	request
кәрәк	require
биргеҙәм	required
ҡотҡарырға	rescue
ғилми хеҙмәт	research
иҫкәртергә	resemble
асыу	resentment
бронләү	reservation
иплелек	reserve
резерв	reserve
йәшәүсе	resident
отставкаға китергә	resign
һығылмалылыҡ	resilience
һығылмалы	resilient
ҡаршылыҡ күрһәтергә	resist
ҡаршылыҡ	resistance
ҡарар	resolution
ҡыйыулыҡ етергә	resolve
һыйыныр урын	resort
ҡулланырға	resort
курорт	resort
ресурстар	resources
хөрмәт	respect
хөрмәт итергә	respect
яуап бирергә	respond
яуап	response
яуаплылыҡ	responsibility
яуаплы	responsible
ял итергә	rest
башҡалар	rest
тупрағы еңел булһын	rest in peace
ресторан	restaurant
элекке хәленә ҡайтарырға	restore
сикләргә	restrict
һөҙөмтә	result
һөҙөмтәләр	results
яңыртырға	resume
ваҡлап һатыу	retail
тотоп торорға	retain
һаҡлап ҡалыу	retention
пенсияла	retired
сигенергә	retreat
сығарырға	retrieve
кире бирергә	return
кире барырға	return
фаш итергә	reveal
асыҡланған	revealed
үс алыу	revenge
һатыуҙан килгән аҡса	revenue
кире	reverse
байҡау яһарға	review
байҡау	review
яңынан ҡарарға	revise
ҡайтанан тикшереү	revision
инҡилап	revolution
награда	reward
ритм	rhythm
ҡабырға	rib
рис	rice
бай	rich
ҡотолорға	rid
йөрөргә	ride
сәфәр	ride
аҡылға һыймаҫлыҡ	ridiculous
уңға	right
дөрөҫ	right
шунда уҡ	right now
ҡаты	rigid
доңғолдарға	ring
балдаҡ	ring
йыуырға	rinse
бола	riot
өҙөк	rip
өҙөргә	rip
бешкән	ripe
күтәреү	rise
күтәрергә	rise
ҡурҡыныс	risk
ҡурҡыныс аҫтына ҡуйырға	risk
көнәркәш	rival
йылға	river
юл	road
ҡыҙҙырырға	roast
ныҡ	robust
таш	rock
рок	rock
сыбыҡ	rod
роль	role
ҡатлама	roll
төргәк	roll
ҡыйыҡ	roof
бүлмә	room
тамыр	root
бау	rope
серек	rotten
ҡытыршы	rough
тупаҫлы	roughly
яҡынса	roughly
түңәрәк	round
маршрут	route
рутина	routine
саф	row
ышҡырға	rub
юйғыс	rubber
резина	rubber
сүп сар	rubbish
тупаҫлыҡ	rude
балаҫ	rug
емереп бөтөрөргә	ruin
етәкселек итергә	rule
ҡағиҙә	rule
хаким	ruler
мистар	ruler
ҡағиҙәләр	rules
етәкселек итергә	run
йүгерергә	run
йүгереүсе	running
ауыл	rural
ашығырға	rush
ҡабаланыу	rush
тоҡ	sack
эштән сығарырға	sack
изге	sacred
ҡорбан	sacrifice
хәүефһеҙ	safe
хәйерле осоу	safe flight
хәүефһеҙлек	safety
тәрән аҡыллы	sage
әйткән	said
елкәнле карап менән һыуға сығырға	sail
елкән спорты менән шөғөлләнеү	sailing
өсөн	sake
эш хаҡы	salary
һатып бөтөрөү	sale
һөмбаш	salmon
тоҙ	salt
шундай уҡ	same
Шулай уҡ	Same here
өлгө	sample
ҡом	sand
санскрит теле	Sanskrit
саркастик	sarcastic
тәүәккәл	sassy
ултырған	sat
ҡәнәғәтләнеү	satisfaction
ҡәнәғәт	satisfied
ҡәнәғәтләндерергә	satisfy
ҡәнәғәтләнерлек	satisfying
шәмбе	Saturday
сосиска	sausage
вәхши	savage
ҡотҡарырға	save
бысҡы	saw
күрҙе	saw
әйтергә	say
мизан	scale
афера	scam
яра эҙе	scar
етер-етмәҫ	scarce
ҡурҡытылҡан	scared
шарф	scarf
ҡурҡыныс	scary
һибелгән	scattered
мәүкиғ	scene
күренеш	scene
пейзаж	scenery
еҫ	scent
теҙмә	schedule
билдәрергә	schedule
мәктәп	school
фән	science
ғалим	scientist
ғалимдар	scientists
ҡайсы	scissors
әрләргә	scold
масштаб	scope
иҫәп	score
киҫәк	scrap
бәшәк	scratch
ҡысҡырырға	scream
экран	screen
шөрөп	screw
сценарий	script
диңгеҙ	sea
мисәт	seal
тюлень	seal
эҙләргә	search
миҙгел	season
сезон	season
урын	seat
икенсе	second
секунд	second
йәшерен	secret
бүлек	section
хәүефһеҙ	secure
ышаныс биреү	security
һаҡ	security
хәүефһеҙлек	security
күрергә	see
күрешербеҙ	see you
һуңыраҡ күрешербеҙ	see you later
тиҙҙән күрешербеҙ	see you soon
иртәгә күрешербеҙ	see you tomorrow
орлоҡ	seed
эҙләргә	seek
күренергә	seem
күренә	seems
күргәне	seen
тотоп алырға	seize
алым	seizure
өйәнәк	seizure
һирәк	seldom
һайларға	select
үҙе	self
үҙ сәләмәтләнеү	self healing
эгоистик	selfish
һатырға	sell
ебәрергә	send
миңә үҙ фотоңды ебәр әле	send me your picture
өлкән	senior
тойғо	sense
аҡыллы	sensible
күренерлек	sensitive
ебәрелгән	sent
иректән мәхрүм итеү	sentence
һөйләм	sentence
һөйләмдәр	sentences
айырым	separate
сепеди теле	Sepedi
сентябрь	september
эҙмә-эҙлелек	sequence
киҙемтә	series
етди	serious
етди	seriously
хеҙмәт итергә	serve
хеҙмәтләндереү	service
сессия	session
йыйылма	set
асыҡларға	set
башларға	set up
параметр	setting
ҡунларға	settle
ете	seven
ун ете	seventeen
етмеш	seventy
бер нисә	several
ҡаты	severe
ауыр	severe
тегергә	sew
тс	sh
күләгә	shade
төҫмөр	shade
күләгә	shadow
һелкенергә	shake
булыр	shall
ваҡ-төйәк	shallow
хурлыҡ	shame
ҡалып	shape
акция	share
бүлешергә	share
киҫкен	sharp
ул	she
уныҡы бар	she has
ул	she is
һарай	shed
һарыҡ	sheep
ҡағыҙ	sheet
кәштә	shelf
ҡабырсаҡ	shell
һыйыныу	shelter
ҡалҡан	shield
күсеш	shift
смена	shift
яҡтырырға	shine
карап	ship
ташыу	shipping
күлдәк	shirt
аяҡ кейеме	shoes
төшөрөргә	shoot
атырға	shoot
магазин	shop
магазиндар буйлап йөрөү	shopping
яр	shore
ҡыҫҡа	short
етмәү	shortage
атырға	shot
атыу	shot
тейеш	should
ҡулбаш	shoulder
ҡысҡырырға	shout
күрһәтергә	show
күргәҙмә	show
күрһәтәле	show me
душ	shower
креветка	shrimp
бөршәйергә	shrink
ябырға	shut
ауыҙыңды яп	shut up
оялсан	shy
ҡәрҙәш	sibling
ағайҙары һәм апайҙары	siblings
ауырыу	sick
яҡ	side
тын алыу	sigh
күренес	sight
иҫтәлекле урындарҙы ҡарау	sightseeing
билдә	sign
ҡултамға	signature
мөһим	significant
тыныслыҡ	silence
тыныс	silent
ебәк	silk
ахмаҡ	silly
көмөш	silver
оҡшаған	similar
иҫәүән	simp
ябай	simple
бер үк ваҡытта	simultaneously
ихласлыҡ	sincere
ихлас күңелдән	sincerely
йырларға	sing
йырсы	singer
яңғыҙ	single
раковина	sink
батырға	sink
Сэр	Sir
апай	sister
һеңле	sister
килен	sister in law
еңгә	sister in law
ҡәйенбикә	sister in law
ултырырға	sit
урын	site
сайт	site
хәл	situation
алты	six
ун алты	sixteen
алтмыш	sixty
үлсәм	size
оҫталыҡ	skill
оҫталыҡтар	skills
тир	skin
ябыҡ	skinny
бармай ҡалырға	skip
итәк	skirt
күк йөҙө	sky
ҡоллоҡ	slave
йоктарға	sleep
йоклау	sleeping
йоҡоло	sleepy
еңдәр	sleeve
киҫергә	slice
киҫәк	slice
шыуырға	slide
аҙ ғына	slightly
ябыҡ	slim
хата	slip
шыуырға	slip
һөҙәклек	slope
ярыҡ	slot
яй	slow
яй	slowly
бәләкәй	small
зирәк	smart
еҫ	smell
йылмайырға	smile
йылмайыу	smile
төтөн	smoke
шыма	smooth
ашамлыҡ	snack
ҡусҡар	snail
йылан	snake
сиртергә	snap
ҡар	snow
шулай	so
шул тиклем һөйкөмлө	so cute
әлегәсә	so far
еүешләргә	soak
һабын	soap
айыҡ	sober
футбол	soccer
йәмәғәт	social
йәмғиәт	society
ойоҡбаштар	socks
йомшаҡ	soft
программа тәьминәте	software
тупраҡ	soil
һатылған	sold
һатылып бөткән	sold out
һалдат	soldier
табан	sole
берҙән-бер	sole
ҡаты	solid
сиселеш	solution
хәл итергә	solve
ҡайһы бер	some
кемдер	somebody
нисектер	somehow
бер кем	someone
нимәлер	something
ҡайһы берҙә	sometimes
йыр	song
тиҙҙән	soon
ҡатмарлы	sophisticated
сорани теле	Sorani
ауырыу	sore
йәрәхәт	sore
ауырыу тамаҡ	sore throat
ҡайғы	sorrow
Ғәфү ит	Sorry
төр	sort
сорттарға айырыу	sort
эҙләгән	sought
йән	soul
туғанлыҡ йәне	soulmate
яңғырарға	sound
тауыш	sound
аш	soup
әсе	sour
сығанаҡ	source
көнъяҡ	south
арауыҡ	space
йыһан	space
спам	spam
ара	span
Испан	Spanish
һаҡларға	spare
запас	spare
һөйләшергә	speak
айынсыҡ	special
төр	species
үҙгәлекле	specific
тәьҫирле	spectacular
һүҙ	speech
телдән ҡалған	speechless
тиҙлек	speed
арбау	spell
хәрефләп әйтергә	spell
үткәрергә	spend
тоторға	spend
тотоп бөтөргән	spent
әсе	spicy
сәнскәк	spike
өйрөлөргә	spin
шпинат	spinach
рух	spirit
төкөрөү	spit
бынамын тигән	splendid
айырыу	split
айырырға	split
боҙорға	spoil
боҙолған	spoiled
үҙенән-үҙе барлыҡҡа килгән	spontaneous
ҡалаҡ	spoon
урын	spot
тап	spot
иптәш	spouse
таратырға	spread
һикерергә	spring
яҙ	spring
майҙан	square
ҡыҫырға	squeeze
кальмар	squid
аҡһым	squirrel
сәнсергә	stab
тотороҡло	stable
ат һарайы	stable
өйөм	stack
эштәшлек	staff
сәхнә	stage
осор	stage
тап	stain
баҫҡыс	stairs
ҡаҙыҡ	stake
муйт	stake
аңдырырға	stalk
һабаҡ	stalk
кәртә	stall
оҙон-оҙаҡҡа һуҙырға	stall
тамға	stamp
стенд	stand
торорға	stand
стандартлы	standard
йондоҙ	star
башларға	start
башланған	started
аслыҡ	starving
дәүләт	state
белдерергә	state
белдереү	statement
станция	station
статуя	statue
статус	status
тормаҡ	stay
ҡалырға	stay
иҫән булып тор	stay safe
тотороҡло	steady
стейк	steak
урларға	steal
пар	steam
ҡорос	steel
текә	steep
һабаҡ	stem
баҫырға	step
аҙым	step
таяҡ	stick
йәбештерергә	stick
ҡаты	stiff
элеккесә	still
томроҡ	still
сағырға	sting
ярлы	stingy
һаран	stingy
болғарға	stir
мөгәзәй	stock
урланған	stolen
ашҡаҙан	stomach
таш	stone
торған	stood
артһыҙ ултырғыс	stool
туҡтарға	stop
һаҡлау	storage
һаҡлыҡҡа һалырға	store
дауыл	storm
хикәйә	story
мейес	stove
төҙ	straight
тура	straightforward
кирелеш	strain
сәйер	strange
ят	strange
таныш түгел кеше	stranger
стратегия	strategy
һалам	straw
ер еләге	strawberry
һыҙат	streak
ағыш	stream
урам	street
көс	strength
баҫым	stress
стресс	stress
һуҙылырға	stretch
ҡәтғи	strict
һуғырға	strike
эш ташлау	strike
еп	string
буй	strip
һыҙырырға	strip
тырышырға	strive
инсульт	stroke
көслө	strong
һуғылған	struck
структура	structure
көрәш	struggle
көрәшергә	struggle
ҡыйынлыҡтарға юлыҡҡан	struggling
тиҫкәре	stubborn
батып ҡалған	stuck
студент	student
уҡыусы	student
уҡырға	study
уҡыу	study
уҡыу	studying
нәмәләр	stuff
иҫ киткес	stunning
аҡылһыҙ	stupid
стиль	style
подданный	subject
дусар итергә	subject
фән	subject
буйһоноу	submission
буйһонорға	submit
ҡарауға ҡуйырға	submit
матдә	substance
алмаш	substitute
нескә	subtle
уңышҡа ирешергә	succeed
уңыш	success
уңышлы	successful
ундай	such
кеүек	such as
имергә	suck
ҡапыл	sudden
көтмәгәндә	suddenly
ғазапланырға	suffer
яфаланыу	suffering
етерлек	sufficient
шәкәр	sugar
тәҡдим итергә	suggest
тәҡдим	suggestion
тура килергә	suit
костюм	suit
килештерелгән	suitable
сумаҙан	suitcase
ҡушылдыҡ	sum
һығымта	summary
йәй	summer
илбаштар йыйыны	summit
түбә	summit
ҡояш	sun
йәкшәмбе	sunday
ҡояшлы	sunny
ҡояш быйыу	sunset
ҡояш нуры	sunshine
бик	super
өҫтөнөрәк	superior
күҙәтсе	supervisor
киске аш	supper
тапшырыу	supply
тәьмин итергә	supply
ярҙам	support
күтәремләргә	support
уйларға	suppose
күҙалланған	supposed
әлбиттә	sure
инаныулы	sure
өҫтө	surface
сәпелдәү	surge
хирургия	surgery
операция	surgery
фамилия	surname
көтөлмәгәнлек	surprise
аптыраған	surprised
бирешергә	surrender
тирәге	surrounding
күҙәтеү	surveillance
белем тикшереү	survey
байҡарға	survey
иҫән ҡалырға	survive
шикләнергә	suspect
шик	suspect
туҡтатып торолған	suspended
ялартҡыс	suspicious
бирешмәҫкә	sustain
тотороҡлолоҡ	sustainability
тотороҡло	sustainable
талап йыйылған эйбер	swag
ҡарлуғас	swallow
йоторға	swallow
алмашыу	swap
ант итергә	swear
һүгек һүгергә	swear
тирләргә	sweat
свитер	sweater
һеперергә	sweep
шәрбәт	sweet
тыныс йоҡо	sweet dreams
тәмлетамаҡ	sweet tooth
һөйгәнем	sweetheart
шешенергә	swell
шешлек	swelling
йөҙөргә	swim
йөҙөү	swimming
сайҡалырға	swing
бәүетергә	swing
һүндергес	switch
тоташтырырға	switch
шешенгән	swollen
ҡылыс	sword
символ	symbol
теләктәшлек	sympathy
симптомдары	symptoms
система	system
йәҙүәл	table
өҫтәл	table
хәл итергә	tackle
ярлыҡ	tag
ҡойроҡ	tail
алырға	take
алып китергә	take away
һаҡ бул	take care
сисергә	take off
алынған	taken
һөйләшергә	talk
һүҙ	talk
телсән	talkative
бейек	tall
баҫырға	tap
кран	tap
таҫма	tape
маҡсат	target
төҙәү	target
мәсьәлә	task
тәмләп ҡарарға	taste
тәм	taste
тәмле	tasty
өйрәткән	taught
сәй	tea
өйрәтергә	teach
уҡытыусы	teacher
команда	team
йыртырға	tear
йәш	tear
күҙ йәштәр	tears
ҡорсоторға	tease
технология	technology
тештәр	teeth
әйтергә	tell
эйтәле миңә	tell me
холоҡ	temper
температура	temperature
сикә	temple
ғибәҙәтхана	temple
ваҡытлы	temporary
ун	ten
ун мең	ten thousand
арендатор	tenant
ынтылырға	tend
үҫеш йүнәлеше	tendency
наҙлы	tender
заман	tense
ныҡ тартылған	tense
көсөргәнеш	tension
палатка	tent
алдан	tentative
сирек	term
срок	term
шарт	term
шарттар	terms
ҡот осҡос	terrible
иҫ киткес	terrific
территория	territory
тест	test
тест буйынса һынарға	test
яҙырға	text
текст	text
рәхмәт белдерергә	thank
рәхмәт	thank you
Беҙ һеҙҙең сабырлыҡҡа рәхмәтлебеҙ, һеҙ көткёнегеҙ өсөн, әлегә беҙ посылканы тикшерҙек	Thank you for your patience while we investigate shipment
ҙур рәхмәт	thank you so much
ҙур рәхмәт	thank you very much
рәхмәт	thanks
Беҙҙең приложение менән ҡулланғаны өсөн рәхмәт	Thanks for using our app
тип	that
йәғни	that is
яҡшы	that's good
урлау	theft
уларҙың	their
уларҙы	them
тема	theme
үҙ-үҙеңде	themselves
шунан	then
ул ваҡытта	then
тәғлимәт	theory
шунда	there
унда	there are
бында бар	there is
шуға күрә	therefore
был	these
улар	they
улар	they are
ҡуйы	thick
ҡараҡ	thief
мосай	thigh
йоҡаҡ	thin
нәмә	thing
эйберҙәр	things
уйларға	think
өсөнсө	third
һыуһаған	thirsty
ун өс	thirteen
утыҙ	thirty
ошо	this
был	this is
ентекле	thorough
ентекләп	thoroughly
шулар	those
ләкин	though
уй	thought
уйлаәған	thought
уйсан	thoughtful
фекерҙәр	thoughts
мең	thousand
еп	thread
хәүеф	threat
ҡурҡытырға	threaten
өс	three
тупһа	threshold
тулҡынланған	thrilled
уңышҡа өлгәшергә	thrive
тамаҡ	throat
аша	through
дауамында	throughout
бәрергә	throw
ҙур бармаҡ	thumb
күк күкрәү	thunder
кесаҙна	Thursday
шулай итеп	thus
билдә ҡуйырға	tick
текелдәү	tick
һыу ҡалҡыу	tide
таҙа	tidy
бәйләргә	tie
галстук	tie
юлбарыҫ	tiger
тығыҙ	tight
тигринья теле	Tigrinya
тапҡыр	time
ваҡыт	time
оялсан	timid
бәләкәй генә	tiny
ос	tip
кәңәштәр	tips
покрышка	tire
йонсоторға	tire
арыған	tired
туҡыма	tissue
исем	title
булырға	to be
киптерелгән икмәк киҫәге	toast
бөгөн	today
атлай алған бала	toddler
аяҡ бармаҡтары	toes
бергә	together
бәҙрәф	toilet
әйткән	told
толерантлыҡ	tolerance
түҙергә	tolerate
помидор	tomato
иртәгә	tomorrow
тел	tongue
бөгөн кис	tonight
шулай уҡ	too
алған	took
инструмент	tool
инструменттар	tools
теш	tooth
өҫтө	top
мәсьәлә	topic
өҙөлгән	torn
ғазап	torture
дөйөм	total
тейергә	touch
ҡаты	tough
тур	tour
табан	toward
ҡаршы	towards
таҫтамал	towel
ҡала	town
ағыулы	toxic
эҙ	trace
андып	track
сауҙа итергә	trade
сауҙа	trade
йола	tradition
традицион	traditional
хәрәкәт	traffic
эҙ	trail
күнегеү үткәрергә	train
поезд	train
күнегеүҙәр	training
характер һыҙаты	trait
шәхес һыҙаттары	traits
күсерергә	transfer
күсеү	transition
тәржемә итергә	translate
үтә күренмәле	transparent
транспорт	transport
йөк ташыу	transportation
тоҙаҡ	trap
сүп сар	trash
йәрәхәт	trauma
сәйәхәт итергә	travel
батмус	tray
хазина	treasure
тоторға	treat
һый	treat
мөнәсәбәт	treatment
ағас	tree
ғәйәт ҙур	tremendous
тенденция	trend
һынау	trial
мәхкәмә тәфтише	trial
хәйлә	trick
тырышҡан	tried
триггер	trigger
активацияларға	trigger
тигеҙләргә	trim
тәртипкә килтерергә	trim
сәфәр	trip
бәлә	trouble
салбар	trousers
йөк машина	truck
хәҡиҡәт	true
олон	trunk
ышанырға	trust
ышаныс	trust
дөрөҫлөк	truth
тырышырға	try
тсонга теле	Tsonga
торба	tube
шишәмбе	Tuesday
уҡытыу	tuition
уҡыу өсөн түләү	tuition
күркә ите	turkey
куркума	turmeric
борорға	turn
гөбөргәйел	turtle
тәрбиәсе	tutor
ун ике	twelve
егерме	twenty
егерме бер	twenty-one
чви теле	Twi
ике тапҡыр	twice
әйләндерергә	twist
ике	two
тип	type
баҫҡытырға	type
типик	typical
йәмһеҙ	ugly
һуңғы	ultimate
