benn	a
dina:	shall
xóot tuuti	shallow
Gaawu	shame
melo	shape
seddale	share
ñaw	sharp
moom	she
am na	she has
mu ngi	she is
sotti	shed
xar	sheep
kawe coll	sheet
tegukaay	shelf
xoru buuj	shell
laxas	shelter
muur	shield
kaar	shift
Meiteilon	shine
gaa ñi	ship
yóbbu ci gaal	shipping
simis	shirt
ay dàll	shoes
dóor	shoot
bitig	shop
ndugg	shopping
tefes	shore
gas bën-bën	short
ñàkk	shortage
bal soq	shot
da nga	should
mbaam-xuux	shoulder
yóoxu	shout
xew-xew won	show
won ma	show me
sangu	shower
sipax	shrimp
suux	shrink
tëj	shut
noppil	shut up
tóoy	shy
mag ak rakk	sibling
mag	siblings
feebar	sick
wet	side
nokki	sigh
gis-gis xool	sight
wër di gis	sightseeing
màndarga màndargaal	sign
xaatim	signature
am solo	significant
noppi	silence
noppi	silent
suwaa	silk
diwaan	silly
xaalis	silver
niroo	similar
jaamu	simp
yomb	simple
amandoo	simultaneously
ndegem ci	since
dëggu	sincere
ca dëgg-dëgg	sincerely
woy	sing
woykat	singer
benn kese	single
suuxu suux	sink
Sëriñ bi	Sir
ji garab	sister
goro bu góor	sister in law
toog	sit
barab	site
anam	situation
juróom	six
fukk-ag-juróom benn	sixteen
juróom-benn fukk	sixty
ngandaay	size
xereñteef	skill
ay xereñteef	skills
dër	skin
sew	skinny
romb	skip
sipp	skirt
asamaan	sky
jaajëfal	slave
nelaw	sleep
nelaw	sleeping
gëmmentu	sleepy
loxo	sleeve
xar	slice
saaraan	slide
ci anam bu tuuti	slightly
sew	slim
tarxiis	slip
dëng	slope
xar-xar	slot
yéex wàññi	slow
ndànk ndànk	slowly
tuuti	small
muus	smart
xeeñ	smell
ree	smile
saxaar	smoke
neex	smooth
lekk	snack
yéet	snail
jaamu	snake
poortale bu gaaw	snap
gafaka	snow
kon	so
rafet lool	so cute
ba léegi	so far
tooyal	soak
saabu	soap
yaru	sober
kunu wóoluwul ñàkk a wóolu	soccer
bu askan	social
askan	society
ay kawas	socks
nooy	soft
amalin	software
suuf	soil
jaaykat	sold
jeex	sold out
soldaar	soldier
kese	sole
dëgër	solid
saafara	solution
saafara	solve
yenn ay	some
ak nit	somebody
ci nii mbaa ci naa	somehow
ak nit	someone
dara	something
yenn saa yi	sometimes
woy	song
ci lu yàggul dara	soon
mucc ayib	sophisticated
Sorani	Sorani
metti	sore
metti góom	sore throat
naqqar	sorrow
Baal ma	Sorry
gënale	sort
seetoon	sought
ruu	soul
farandoo	soulmate
coow wér	sound
supp	soup
formaas	sour
cosaan	source
bëj-saalum	south
yaatuwaay	space
bataaxal bunu bëggul	spam
dayoo	span
eskaliye	Spanish
nay deñc	spare
wax	speak
ferees	special
ay xeet	species
leen	specific
bu fës	spectacular
wax	speech
noppi	speechless
gaaw woor	speed
bind ñaan	spell
seer ndieuk	spend
jëfandikoo	spent
saf	spicy
jàllukaay jàll	spike
ràbb	spin
mburu	spinach
njuuma	spirit
tuflit tufli	spit
rafet	splendid
seddoo seddale	split
yàqq	spoil
yàqq	spoiled
jekk	spontaneous
ku yem ci boppam rekk	spoon
bërab	spot
way-deñcante	spouse
law	spread
cooron tëb	spring
ñeenti koñ màndu	square
paccal	squeeze
kalaas	squid
jaanu-biir	squirrel
st	st
jam	stab
dal	stable
tegale	stack
naatangoowu liggéey	staff
tolluwaay	stage
suub	stain
esaans	stairs
teg	stake
car	stalk
bitig	stall
tàmpong	stamp
taxawaay taxaw	stand
tolluwaay bu jaar yoon	standard
biddéew	star
Doon naa nekk	start
tàmbaliwoon	started
xiif	starving
anam	state
wax	statement
gaaraas	station
Español	statue
tolluwaay nekkin	status
tokk	stay
nekkal ci jàmm	stay safe
wóor	steady
dogtoor	steak
sàcc	steal
ngelaw lu tàng	steam
asiye	steel
kawe	steep
car	stem
jéego	step
bant taf	stick
dëgër	stiff
ba tey	still
ba léegi	still
jam	sting
nay	stingy
yëngal	stir
action	stock
sàcc	stolen
mbatit	stomach
xeer	stone
taxawoon	stood
toogu	stool
dakkal dal	stop
deñc	storage
dence	store
tawu ngelaw	storm
léeb	story
Fulfulde	stove
jub	straight
jub xoj	straightforward
coono	strain
raglu	strange
gan	stranger
pexe	strategy
ñax	straw
fentkatu tabax	strawberry
diir	streak
deseer	stream
mbebët	street
donte	strength
jaaxle	stress
tàllal doxantu	stretch
tar	strict
door	strike
buum	string
summi	strip
xeex	strive
daloon raay	stroke
dëgër	strong
songoon	struck
tabax	structure
am jafe-jafe ci	struggle
am jafe-jafe ci	struggling
dëgër bopp	stubborn
tëju	stuck
ndongo	student
njàng jàng	study
nekk di jàng	studying
sol bagaas	stuff
yéeme	stunning
dof	stupid
colin	style
tomb	subject
jébbalu	submission
jox xel	submit
cër	substance
wuutu	substitute
xereñ	subtle
am ndam	succeed
ndam	success
am ndam	successful
bu mel nii	such
melni	such as
muucu	suck
ci lu gaaw	sudden
ci saa si	suddenly
am mettit	suffer
sonn	suffering
doy	sufficient
suukar	sugar
joxe xalaat	suggest
tektal	suggestion
yéré sol	suit
jaar yoon	suitable
waliis	suitcase
lim	sum
tënk	summary
tàngaay	summer
ndaje	summit
jàngu	sun
dibéer	sunday
naaj	sunny
sowwu-jànt	sunset
naaj	sunshine
baax	super
ci kaw	superior
saytukat	supervisor
reer	supper
lingeer	supply
ndimbal dimbali	support
yaakaar	suppose
foofa	supposed
wóor	sure
maa ngi tudd	surface
yéeg	surge
opeere	surgery
sant	surname
mbënd	surprise
bettoon	surprised
bàyyi	surrender
li ci bokkul	surrounding
wattu	surveillance
jàngalewoon	survey
dund	survive
kumpa	suspect
wékku	suspended
wóoradi	suspicious
jàppalante	sustain
luy wéy	sustainability
luy wéy	sustainable
taxawaalu	swag
wonn	swallow
weccee	swap
waat	swear
ñaqq	sweat
yéré jiital	sweater
bale	sweep
neex	sweet
tàngal	sweet
fanaan ak jàmm	sweet dreams
foqqale	sweet tooth
seeri	sweetheart
newwi	swell
newwi	swelling
féexal xol	swim
féey	swimming
njoowaan njoowaanu	swing
taalukaay taal	switch
newwi	swollen
xeec	sword
màndarga	symbol
yërmaande	sympathy
man ma	symptoms
tëralin	system
taabal	table
song	tackle
màndarga	tag
géej	tail
jél	take
yóbbu	take away
nekkal ci jàmm	take care
jog	take off
jël	taken
wax	talk
waxtaan	talk
bari wax	talkative
njool	tall
robine tànn	tap
bànd	tape
jubluwaay	target
liggéey	task
cafka mos	taste
neex	tasty
jàngalekat	taught
ataaya	tea
jàng njàng	teach
jàngale kat	teacher
kureel	team
xotti ràngooñ	tear
ay ràngooñ	tears
tooñ	tease
jumtukaayu internet	technology
gën	teeth
wax	tell
wax ma	tell me
mer	temper
tàngooru yaram	temperature
bërabu jaamukaay	temple
bu yàggul	temporary
fukk	ten
fukk i junni	ten thousand
borom kër	tenant
toppatoo	tend
tolluwaay	tendency
maye	tender
dëgër	tense
taansiyong	tension
tànt	tent
jéem	tentative
anam	term
ay anam	terms
doywaar	terrible
raglu	terrific
diwaan	territory
xayma	test
juddoowaale	text
ni	than
jaaduwul	thank
jërëjëf	thank you
Jërëjëf ci sab taaxirlu ci jamono ji ñuy gëstoo yónnee gi	Thank you for your patience while we investigate shipment
dieredieufeuti	thank you so much
Maa ngi lay jaajëfal bu baax	thank you very much
jërëjëf	thanks
jërëjëf	Thanks for using our app
ba	that
lii mooy	that is
baax na	that's good
bi	the
càcc	theft
seen seeni	their
ñoom	them
tomb	theme
ñoom ci seen bopp	themselves
léegi nak	then
njàngat	theory
fee	there
am na	there are
am na	there is
ba taxna	therefore
yii	these
ñu ngi	they
ñu ngi nekk	they are
ngand	thick
sàcc	thief
pooj	thigh
sew jeex	thin
daraa	thing
ay mbir	things
xalaat	think
ñetteel	third
mar	thirsty
fukk-ag-ñett	thirteen
ñett fukk	thirty
bii	this
lii lan la	this is
mat	thorough
lépp	thoroughly
yooya	those
donte	though
xalaat	thought
teey	thoughtful
ay xalaat	thoughts
junni	thousand
wëñ	thread
xupp	threat
xupp	threaten
ñett	three
peggu bunt	threshold
bég	thrilled
yokku	thrive
put	throat
ci	through
ci diirub	throughout
sànni	throw
baaraamu dëy	thumb
dënn lajj	thunder
Alxemes	Thursday
noonu	thus
ñaas	tick
duus	tide
set	tidy
fas	tie
segg	tiger
xat	tight
Tigrinya	Tigrinya
waxtu	time
tóoy	timid
ndaw	tiny
diggu bëccëg	tip
ay ndigle	tips
pono	tire
sònn	tired
njandukaayu kayit	tissue
boppu	title
ngir	to
nekk	to be
lakk	toast
tey	today
liir	toddler
ay baaraami tànk	toes
àndadoo	together
gaañu-gaañu	toilet
waxoon	told
yërmaande	tolerance
muñ	tolerate
tamaate	tomato
suba	tomorrow
lam	tongue
tay ci guddi	tonight
itam	too
jéll daanu	took
jumtukaay	tool
ay jumtukaay	tools
bëñ	tooth
ci kaw	top
tomb	topic
xotteeku	torn
mucc ayib	torture
lépp	total
laajoon	touch
dëgër	tough
doxalin dogal	tour
ci	toward
ci yoonu	towards
sarbet	towel
dëkku taax	town
buy lore	toxic
yoon rëdd	trace
yoon	track
njaay jaay	trade
aada	tradition
bu aada	traditional
dem beek dikk	traffic
ñàll	trail
wotoraay	train
tàggat	training
rëdd	trait
ay melokaan	traits
toxal	transfer
soppi yoon	transition
tekki	translate
yaraax	transparent
demak dikk	transport
yóbbu	transportation
ndëgg-sërëx	trap
mbalaan	trash
gaañu-gaañu	trauma
tukki	travel
palaat	tray
alal	treasure
faj	treat
toppatoo	treatment
garab	tree
mag	tremendous
li nga lan	trend
àtte	trial
këf	trick
jéem jéemal	tried
yëkatiku yëkati	trigger
rafetal	trim
tukki	trip
jafe-jafe	trouble
pantalong	trousers
kàmb	truck
Dëgg la	true
waxande	trunk
kóolute	trust
dëgg	truth
jéem	try
Tsonga	Tsonga
raakool	tube
Talaata	Tuesday
payu njàng	tuition
koppar	turkey
fekksi	turmeric
walbati coppite	turn
monaat	turtle
njaatige	tutor
fukk-ag-ñaar	twelve
ñaar-fukk	twenty
ñaar-fukk-ag-benn	twenty-one
Twi	Twi
ñaari yoon	twice
lem	twist
ñaar	two
xeet tàppe	type
bu melokaan	typical
ñaaw	ugly
bu mujj	ultimate
parasool	umbrella
mënoon doole	unable
nijaay	uncle
xëm	unconscious
ci suufu	under
ci suufu	underneath
xeeb	underrated
nànd	understand
ndàndoon	understood
ci anam bu naxari	unfortunately
niroo	uniform
benn rekk	unique
pàcc	unit
daara ju kawe	university
lu jiitu	unknown
lu dara jogul	unless
ba	until
faraldi	unusual
ca kaw	up
ci yaw la aju	up to you
lunu mënul teg loxo	update
yeesal yeesalaat	upgrade
ci kaw	upon
mer	upset
bu dëkku taax	urban
bëgg-bëgg ñaax	urge
jamonoy tay	urgent
nu	us
jëfandikoo xaalis	use
jëfandikoo	used
am njériñ	useful
ñàkk njëriñ	useless
lu faral di am	usual
ñaare	usually
njariñ	utility
bër	vacation
ñakku	vaccination
ñakk	vaccine
amul dara	vacuum
dunq	vague
baax	valid
tund	valley
am njériñ	valuable
njariñ xayma	value
yu bokkul	variety
bari	various
soppi	vary
këf	vase
yaatu	vast
yu sew	vegetable
ay lujum	vegetables
woto	vehicle
jaay benn benn	vendor
dangar	venom
këru liggéeyukaay dëgër	venture
bërab	venue
xoolaat	verify
sikki-sakka	versatile
xeet	version
taxaw	vertical
lolli	very
baax na lool	very good
gaal	vessel
bu jaar ci	via
yëngu-yëngu	vibe
xumbte	vibes
soxor	vicious
ki	victim
widewoo	video
Gis naa	view
dëkk	village
soxor	villain
bineegar	vinegar
bu yàgg	vintage
coxorte	violence
soxor	violent
bu wiris	viral
ku	virgin
Luganda	virtual
baaxaay	virtue
gis-gis	vision
wër seetsi	visit
lu galaase	visual
lu mënul ñàkk	vital
leer	vivid
wokabileer	vocabulary
baat	voice
fo	void
tolluwaay	volume
ci coobare	volunteer
waccu	vomit
nééw doole	vulnerable
payoor	wage
ay payoor	wages
ndigg	waist
xaar	wait
serwëer	waiter
xaar	waiting
yeewu	wake
yeewu	wake up
doxantu	walk
dox	walking
mettitu bopp	wall
kàllaama	wallet
taxawaalu	wander
bëgg naa	wanna
bëgg soxla	want
bëggoon	wanted
xare	war
armuwaar	wardrobe
màndu woyof lool	warehouse
ndugg nduggal	warm
àrtu	warn
àrtu	warning
xarekat	warrior
nekkoon	was
raxas	wash
yàqq	waste
seetaan montar	watch
ndox	water
xaal	watermelon
duus	wave
yoon doxalin	way
nun	we
nu ngi nekk	we are
Mën naa	we can
nooy	weak
néew doole	weak
néew kattan	weak
woyofaay	weakness
alal	wealth
am alal	wealthy
sol	wear
sol	wearing
climat	weather
céyt	wedding
Allarba	Wednesday
ñax	weed
ayubés	week
njéexitalu ajubés	weekend
diisaay	weight
doy waar	weird
teeru	welcome
dalal ak jàmm	welcome
ndimbalu askan	welfare
baax na	Well
baax na	well done
demokaraasi	went
nekkoon	were
sowwu-jant	west
tooy tooyal	wet
baleñ	whale
Lan	what
yaw nag	what about you
loy def	what are you doing
lan ngay def fi mu toll nii	what are you doing now
lan ngay def nii	what are you doing right now
lan ngay def	what do you do
lan ngay liggéey	what do you do for a living
lan nga bëgg	what do you mean
lan mooy	what do you want
lu xew	what happened
luy	what is
liggéeyu tàggatu	what is this
lan ngay liggéey	what is your job
nan nga tudd	what is your name
lu xel nangu	what's up
nan nga tudd	what's your name
lépp	whatever
bele	wheat
pono	wheel
kañ	when
saa boo	whenever
fan	where
fan nga nekk	where are you
fan nga bayyeekoo	where are you from
fo nekk nii	where are you now
fan nga dëkk	where do you live
fan	where is
te	whereas
wala	whether
ban	which
ci diir	while
dex tëmb	whisper
wëliis	whistle
weex	white
kan	who
yaw yaay kan	who are you
kañ	who is
ki nu tooñ	who is this
yépp	whole
kese	whom
Krio	whose
Lu tax	why
lunu yeesal yeesal	why not
soxor	wicked
yaatu	wide
ku fi nekkul	widow
yaatuwaay	width
jaba	wife
bu àll	wild
bëgg-bëgg	will
sopp	willing
am ndam	win
ngelaw jàdd	wind
palanteer	window
bari ngelaw	windy
sàngara	wine
seddaay	winter
fompukaay	wipe
buum	wire
xam-xam	wisdom
am xam-xam	wise
yéene	wish
di am	wish you all the best
njuuma	witch
ak	with
jël	withdraw
bàyyi	withdraw
jël	withdrawal
ci biir	within
amul	without
seede	witness
xelu	witty
till	wolf
Wolof	Wolof
jigéen	woman
ay jigéen	women
jël dogal	won
du man	won't
laaj digal	wonder
rafet na	wonderful
bant	wood
wëttéen	wool
baat	word
ay baat	words
liggéey	work
tàggat	work out
liggéey	working
àddina	world
sax	worm
sol	worn
jaaxle	worried
jaaxle	worry
yées	worse
jaam	worship
bi ci gën a bon	worst
njëg	worth
jar na ko	worth it
jàppoon	worthy
dina	would
ngagne	wound
Waa	Wow
Lem NA	wrap
mer	wrath
tibb-jara	wrist
bind	write
Bindal fii	Write here
bind	writing
bind	written
wérul	wrong
baaxul	wrong
bindoon	wrote
estati	yard
óbbali	yawn
Waaw	Yeah
at	year
ay at	years
levure	yeast
yóoxu	yell
mbóoya	yellow
Waaw	Yes
waaw bebe	yes baby
waaw sama soppe	yes dear
waaw sama xol	yes honey
waaw sama soppe	yes my love
waaw kay	yes of course
démb	yesterday
waaye	yet
yót	yield
yow	you
yéen	you
yaa ngi	you are
danga taaru	you are beautiful
danga rafet lool	you are so beautiful
noo ko bokk	you are welcome
mën nanu	you can
Xam nga	You know
yaw itam	you too
noo ko bokk	you're welcome
ndaw	young
sa	your
noo ko bokk	your welcome
yaw sa bopp	yourself
ndaw ñi	youth
ñoo ko bokk	you’re welcome
neex	yummy
tus	zero
