a little	халта
ordinary	юрэ хирын
organization	байгуулга
orientation	тала баримталуулха
origin	үндэһэ
original	эхэ
Oromo	Оромо
orphan	үнэшэн
other	нүгөө
otherwise	ондоогоор
ought	ёһогүй
our	манай
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	Манай үүргэ: хаанашье байгаа хүн дэлхэй ойлгохо боломжо ба өөрыгөө ямаршье һаа хэлээр ойлгуулжа шадаха арга үүсэхэ юм.
Our mission: to organize the world's information and make it universally accessible and useful.	Манай үүргэ: дэлхэйн мэдээсэл эмхилжэ хүн бүхэндэ тэрээние туһа болгожо хүргэхэ.
out	газаа
outcome	үрэ дүн
outfit	гоёлой хубсаһан
outgoing	гараһан
outlet	гаралга
outline	хэлбэри
outside	газаа
outstanding	гаһар
oven	сахилгаан пеэшэн
over	дээгүүр
over there	тээ тэндэ
overall	бүхы
overall	юрэнхы
overcome	дабаха
overthinking	дан ехэ бодолго
overwhelmed	сошордуулһан
overwhelming	диилэнхи
owe	үритэй байха
owl	бэгсэргэ
own	өөрын
owner	эзэн
ox	һарлаг
pace	темп
pack	эмхилжэ уяха
pack	ябталжа хэхэ
package	һаба баглаа
paid	түлөөтэй
pain	үбшэн
paint	зураха
paint	зураг
painting	зураг
pair	үрөөһэн
pale	сухигар
palm	альган
pan	хайруул
pandemic	тахал
panic	мэгдэхэ ябадал
pants	ургамал
paper	саарһан
paradise	диваажин
parallel	параллел
parcel	эльгээлгэ
pardon	хүлисэ
parents	эхэ эсэгэ
park	парк
park	сэсэрлэг
parrot	тоти
parsley	юусай
part	хуби
participate	хабаадаха
particular	онсо
particularly	илангаяа
partner	наадалсагша
party	үдэшын наадан
pass	үнгэрхэ
passage	гаралга
passed	үнгэрһэн
passion	шунал
passionate	хорхойтой
passive	эдэбхигүй ябадалтай
password	нюуса үгэ
past	үнгэрһэн саг
patch	няалта
path	харгы
pathetic	хайратай
patience	тэсэбэри
patient	эмнүүлэгшэ
pattern	хэб
pause	забһар
pavement	хүбөө
pay	түлэхэ
payment	түлэбэри
peace	эб найрамдал
peaceful	амар тайбан
peach	тоор
peak	орой
pear	груша
peas	горох
peculiar	өөрэ янзын
pee	шээхэ
peel	арилгаха
peer	үетэн
peer	сасуутан
peer	үүри
peers	үетэн
pen	бэшүүр
pencil	харандаа
pending	хүлеэгдэжэ байһан
people	хүн зон
pepper	халуун үбһэн
perceive	хадуужа абаха
perception	хадуун абаса
perfect	эрхим түгэс
perform	гүйсэдхэхэ
performance	бүтээсэ
perhaps	алтай
period	үе саг
permanent	үргэлжын
permission	зүбшөөл
permit	зөбшөөри
perseverance	үсэд оролдолго
persistent	үсэд
person	хүн
personal	хубиин
personality	ами нюур
perspective	холо үзэмжэ
persuade	этигүүлхэ
pervert	гажаалһан хүн
pet	тэжээмэл амитан
phase	шата
phenomenon	мүн шанар
phenomenon	феномен
phenomenon	гаһар
philosophy	гүн ухаан
phone	утаһан
photo	зураг
phrase	хэлэлгэ
phrase	үгүүлэл
physical	бодото бодисой
pick	шэлэхэ
pick up	абаха
picture	зураг
piece	амгалан байдал
pieces	хуби
pig	гахай
pigeon	гулабхаа
pile	обоо
pillow	дэрэ
pilot	пилот
pin	тобшо
pineapple	хан боргосо
pink	яагаан
pit	нүхэн
pitch	үгэлгэ
pity	хайра
place	газар
places	газарнууд
plague	тахал
plain	жиирэй
plan	түсэб
plane	агаарай онгосо
plant	ургамал
plants	ургамал
plate	табаг
platform	платформо
play	наадаха
playing	наадаһан
pleasant	аятай
pleased	баяр баясхалантай
pleasure	ханал
pledge	тангариг
plenty	олон ехэ
plot	гол удха
plug	бүглэхэ
plum	чавга
plumber	уһа дамжуулгын талаар мэргэжэлтэй хүдэлмэришэн
plural	олоной тоо
podcast	подкаст
poem	шүлэгөөр бэшэһэн томохон зохёол
poetry	шүлэг зохёол
point	зааха
poison	хорон
police	сагдаа
policy	политика
polite	зохид зантай
pollution	муухай болголго
pollution	хиртүүлгэ
pond	нуурмаг
pool	тамардаг газар
pool	бассейн
poop	бааха
poor	үгытэй
pop	альгадаха
popular	алдаршаһан
population	хүн зон
pork	гахайн мяхан
porridge	каша
port	порт
position	байра
positive	болохотой
possess	түхэл
possession	үмсын
possessive	хамтын
possible	бололтой
post	шуудан
postpone	хойшолуулха
potato	түмһэн
potato	хартаабха
potential	далда
pound	хэмэл нуур
poverty	ядарал
power	шадал
powerful	хүсэтэ
practical	бодото ажа-ябуулга
practice	туршаха
praise	магтаха
prank	пранк
pray	зальбарха
pray	мүргэхэ
precious	үнэтэй сэнтэй
precious	эрдэни
precise	нягта
precisely	тон тиимэ
predict	уридшалха
prefer	дээрэшээхэ
preference	дээрэшээлгэ
pregnant	хээлитэй
prejudice	мухар һүзэ
premises	байрлуулга
premium	премиум
preparation	бэлэдхэл
prepare	бэлдэхэ
prepared	бэлдэһэн
preposition	дайбар үгэ
presence	байлга
present	мүнөөнэй
present	бэлэг
presentation	презентаци
preserve	хадгалха
president	юрэнхылэгшэ
press	дараха
pressure	хашалта
pretend	хэбэртэй болохо
pretty	сэбэрхэн
prevent	зайлуулха
previous	удаадахи
prey	эдишэ
price	үнэ
pride	омогорхол
priest	санаарта
primary	анхан
prime	үндэһэн
princess	хан изагуурта эхэнэр
principal	гол шухала асуудалай
prior	урдахи
priority	түрүү байлга
prison	түрмэ
privacy	хубита
private	хубиин
privilege	тусхай эрхэ
prize	шагнал
probably	ёһотой
problem	асуудал
procedure	ябуулга
proceed	үргэлжэлүүлхэ
process	ябуулга
produce	үйлэдбэрилхэ
produce	гаргаха
product	бүтээл
production	бүтээл
profession	мэргэжэл
professional	мэргэжэлэй
profile	профиль
profit	ашаг
profit	олзо
profound	гүндүү
progress	дэбжэлтэ
project	түлэблэл
project	хараа
project	проект
prominent	элитэ болоһон
promise	үгэеэ үгэхэ
promote	дээшэнь гаргаха
promotion	дээшэлгэ
prompt	түргэн
prompt	хурдан
prone	һанаатай
pronouns	түлөөнэй үгэ
pronunciation	хэлэлгэ
proof	баталалга
proper	зүбынь
properly	зүбөөр
properties	хүдэлхэгүй юумэн
property	зөөри
property	шэнжэ
proposal	һанамжа
prospect	үргэн гудамжа
prosperity	һалбаран бадаралга
prosperous	һалбаран бадарһан
protect	хамгаалха
proud	омогорхохо
prove	баталха
provide	хангалха
provided	барюулха
province	аймаг
provision	эдихэ юумэн
puberty	наһандаа хүрэхэ
public	олониитын
pull	татаха
pumpkin	хулуу
punctual	нягтаар
pupil	һурагша
purchase	худалдан абаһан юумэн
pure	арюун
purple	ягаан хүхэ
purpose	ушар
purse	сүүмхэ
pursue	мүрдэхэ
pursuit	мүрдэлгэ
push	түлхихэ
put	табиха
qualification	мэргэжэл
quality	шанар
quantity	тоо
quarantine	тусгаарлалта
quarrel	хэрэлдэхэ
quarter	дүрбэнэй нэгэн
Quechua	Кешуа
queen	хатан
queer	жэгтэй
query	һуралта
query	асуулта
question	асуулта
queue	ээлжээн
quick	түргэн
quickly	түргэн
quiet	аалихан
quiet	шэмээгүй
quilt	хүнжэл
quit	гараха
quite	нилээн
quiz	асуулта
quotation	эшэ таталга
quote	эшэ татаха
quotes	эшэ таталга
rabbit	туулай
race	урилдаан
rage	галзуу сухал
rain	бороо
raise	үргэхэ
raised	ургуулһан
ran	гүйһэн
random	гэнтын
range	дэлисэ
rapid	түргэн
rapidly	хурданаар
rare	хомор
rarely	таруугаар
rash	эшэргэнэ
rat	харха
rat	үхэр хулганаан
rate	табиса
rather	дээрэ
ratio	тэнсүүри
rational	бодолтой
raw	түүхэй
re	тушаа
reach	хүрэхэ
reached	хүрэһэн
reaction	харюулга
read	уншаха
reading	уншалга
ready	бэлэн
real	үнэн
reality	бодото байлга
realize	ойлгохо
realized	ойлгоһон
really	нээрһээ
rear	ардахи
reason	ушар
reason	шалтагаан
reasonable	бодолтой
recall	дуудажа бусаалга
receipt	тоосоо
receive	хүлеэн абаха
received	абаһан
recent	һаянай
recently	һая
reception	абалга
reception	угталга
reception	уулзалга
recipe	тобшо заабари
reckless	бодомжогүй
recognition	хүндэ
recognize	таниха
recommend	магтан дурадхаха
recommended	һайн хэлүүлһэн
record	бэшэжэ абаха
recover	һэргээн бодхоохо
recovery	һэргээн бодхоолго
rectangle	дүрбэлжэн
red	улаан
redeem	худалдажа абаха
redemption	гэмээ амсалга
reduce	бага болгохо
redundant	үлүү гарама
refer	шалтаг бариха
reference	дурдалга
reflect	толитохо
reflection	толиролго
refrain	тэсэхэ
refrigerator	хүргэгшэ
refund	мүнгэ бусаалга
refuse	хүлеэжэ абахагүй
refused	хүлеэжэ абаагүй
regard	анхарал
regarding	хамаатай
regardless	болобошье
regards	хүндэлэлгэтэй
region	орон
register	дансада оруулха
register	тэмдэглэхэ
regret	шаналха
regular	үргэлжын
regularly	хододоо
reject	хүлеэн абахагүй
relate	тоологдохо
relate	хандаха
related	холбоотой
relationship	харилсаан
relative	түрэл
relatives	түрэлхид
relax	амарха
release	гаргажа табиха
released	табигдаһан
relevant	тааруу байха
reliable	найдамтай
relief	хүнгэдхэлгэ
relieve	хүнгэлхэ
relieved	сүүлөөлэлтэ
religion	шажан
religion	шүтэлгэ
religious	шажанай
reluctant	баалаха
rely	найдаха
remain	үлэгдэл
remaining	үлдэһэн
remarkable	гайхамшаг
remarkable	һөөл
remedy	арга
remember	һанаха
remind	һануулха
reminder	һануулга
remote	холын
remove	зайлуулха
render	хүргэхэ
render	үзүүлхэ
rent	хүлһөөр абаха
repair	заһаха
repeat	дабтаха
replace	һэлгүүлхэ
replace	һолихо
reply	харюулха
report	тоосоон
represent	харуулха
reputation	алдар
request	һуралта
require	эрилтэ табиха
required	эрилтэтэй
rescue	абаралга
research	шэнжэлгэ
resemble	һануулха
resentment	дураа гуталга
reservation	уридшалан захилга
reserve	уридшалан захиха
resident	һуурин хүн
resign	ажалһаа гараха
resilience	тогтуури
resilient	хүжүүн
resist	тэмсэхэ
resistance	эсэргүүсэлтэ
resolution	шиидэбэри
resolve	бодожо гаргаха
resort	хандаха
resources	баялиг
respect	хүндэлхэ
respond	харюу үгэхэ
response	харюу
responsibility	харюусалга
responsible	харюусалгата
rest	амарха
rest in peace	hайн түрэлөө олоорой
restaurant	хоол бариха газар
restore	һэргээхэ
restrict	хизаарлаха
result	үрэ дүн
results	үрэ дүн
resume	үргэлжэлүүлхэ
retail	бутархай наймаан
retain	табихагүй
retention	даралга
retired	пенси абадаг хүн
retreat	бусаалга
retrieve	абаха
return	бусааха
reveal	элирүүлхэ
revealed	харуулһан
revenge	үһөө
revenue	орошо
reverse	ара талын
reverse	тад ондоо
review	харалга
revise	шалгаха
revise	заһаха
revision	шалгалта
revolution	хубисгал
reward	шагнал
rhythm	үгын холболго
rib	хабһан
rice	сагаан будаа
rich	баян
rid	абарха
ride	унаха
ridiculous	удхагүй
right	баруун
right	зүб
right now	энэ доро
rigid	шэрүүн
ring	бэһэлиг
rinse	зайлаха
riot	буһалгаан
rip	таһалха
ripe	болбосорhон
rise	ургалта
rise	ургуулха
risk	аюул
risk	талаан туршалга
rival	мэеэрхэлдэгшэ
river	гол
road	харгы
roast	шараха
roast	хайраха
robust	хатуу бүхэ
rock	шулуун
rod	hорболжо
role	үүргэ
roll	эрьюулхэ
roof	дээбэри
room	таһалга
root	үндэһэн
rope	ооһор
rotten	үжэһэн
rough	шэрүүн
roughly	шэрүүнээр
round	монсогор
round	түхэреэн
route	харгы зам
routine	хуушан заншал сахилга
row	зэргэ
rub	үрэхэ
rubber	резинэ
rubbish	бог хог
rubbish	нобшо
rude	ёборгон
rug	шэрдэг
ruin	үгырэлгэ
rule	дурим
ruler	шугам
ruler	засаг баригша
rules	дурим
run	гүйхэ
running	гүйлтэ
rural	хүдөөнэй
rush	яараха
sack	хүхэхэ
sacred	нангин
sacrifice	үргэл
safe	аюулгүй
safe flight	аюулгүй ниидэлгэ
safety	аюулгүй байдал
sage	сэсэн
said	хэлэгдэһэн
sail	тамарха
sailing	тамаралга
sake	тулада
salary	хүлһэн
salary	салин
sale	сэн бууха
salmon	лосось
salt	дабһан
same	адли
Same here	Эндэ баһа адли
sample	жэшээ
sample	янза
sample	маяг
sand	элһэн
Sanskrit	Самгарди
sarcastic	мунгаалгын
sassy	сортоотой
sat	һууһан
satisfaction	хангалга
satisfied	ханалтай
satisfy	хангаха
satisfying	хангалтатай
Saturday	Зургаадахи үдэр
sausage	сосиска
savage	зэрлиг хүн
save	хадгалха
saw	хараһан
say	хэлэхэ
scale	хэмжээ
scam	хууралга
scar	һорьбо
scarce	хомор
scared	айһан
scarf	шаарпа
scary	аймшагтай
scattered	холо холо
scene	тайзан
scenery	байгаали
scenery	пейзаж
scent	үнэр
schedule	саг дараалал
school	һургуули
science	шэнжэлхэ ухаан
scientist	эрдэмтэн
scientists	эрдэмтэд
scissors	хайша
scold	харааха
scope	багтаса
score	тоо
scrap	түмэр түдэгэ
scratch	маажаха
scream	хашхараан
screen	дэлгэсэ
screw	шүрэб
script	сценари
sea	далай
seal	тамга
search	бэдэрэлгэ
season	уларил
seat	һуудал
second	хоёрдохи
secret	нюуса
section	хуби
secure	хамгаалалтай
secure	аюулгүй
security	хамгаалалга
see	үзэхэ
see	хараха
see you	уулзатараа баяртай
see you later	уулзатараа баяртай
see you soon	дахин уулзатараа баяртай
see you tomorrow	үглөөдэр уулзая
seed	үрэһэхэн
seek	бэдэрхэ
seem	харагдаха
seems	харагдана
seen	харагдаһан
seize	булимтаран абаха
seizure	унадаг үбшэн
seldom	хаяа
select	шэлэхэ
self	өөрөө
self healing	өөрөө аргалха
selfish	хара амяа хараһан
sell	худалдаха
send	эльгээхэ
send me your picture	намда зурагаа эльгээгыш
send me your picture	намда зурагаа эльгээгыт
senior	үндэр наһатай
sense	удха
sensible	бодолтой
sensitive	хурса мэдэрэлтэй
sent	эльгээхэ
sentence	мэдүүлэл
sentences	мэдүүлэл
separate	аминдаа
Sepedi	Сепеди
september	юһэдэхи һара
sequence	эмхитэй гуримтай байлга
series	зэргэ
serious	томоотой
seriously	ёһотоор
serve	үйлэшэлхэ
service	үйлэшэлгэ
session	сесси
set	суглуулбари
set up	тааруулха
setting	тааруулга
settle	шиидэхэ
settle	һуурижаха
seven	долоон
seventeen	арбан долоон
seventy	далан
several	хэдэн
severe	горитой
sew	оёхо
shade	һүүдэр
shadow	һүүдэр
shake	һэжэрхэ
shall	ёһотой
shallow	гүйхэн
shame	эшэдэһэн
shape	хэлбэри
share	хубаалсаха
sharp	хурса
she	тэрэ
she has	тэрэндэ байна
she is	тэрэ бол
shed	хаяха
sheep	хонин
sheet	хуудаһан
shelf	табюур
shell	ёбуун
shelter	хорохо газар
shield	бамбай
shift	һууриһаа хүдэлэлгэ
shine	ялаганаха
ship	онгосо
shipping	хүргэлтэ
shirt	самса
shoes	гутал
shoot	буудаха
shop	дэлгүүр
shopping	худалдаа хэхэ
shore	эрье
short	богони
shortage	дутагдал
shot	буудалга
should	ёһотой
shoulder	мүрэ
shout	хашхарха
show	харуулха
show me	намда харуула
shower	уһанда орохо
shrimp	далайн хорхой
shrink	бэеэ жэмэлхэ
shut	хааха
shut up	амаа хаа
shy	даруу
sibling	аха дүү
siblings	аха дүү
sick	үбшэнтэй
side	тала
sigh	һанаа алдалга
sight	тэмдэг
sightseeing	алдарта һонин юумэнүүдые үзэлгэ
sign	тэмдэг
signature	гар табилга
significant	нилээдгүй шухала
silence	аниргүй
silent	абяагүй
silk	торгон
silly	тэнэг
silver	мүнгэн
similar	адли
simp	дүнгеэ амитан
simple	бэлэн
simultaneously	нэгэ доро
since	тэрэ үеһөө
sincere	үнэншэ
sincerely	үнэн зүрхэнһөө
sing	дуулаха
singer	дуушан
single	ганса
sink	угаалтуур
Sir	Ноён
sister	эгэшэ
sister	дүү басаган
sister in law	үбгэнэйнь дүү
sister in law	хүр дүү
sit	һууха
site	сайт
site	газар
situation	байдал
six	зургаа
sixteen	арбан зургаан
sixty	жаран
size	хэмжээ
skill	дүй дүршэл
skill	дадал
skills	дүй дүршэл
skin	арьһан
skinny	туранхай
skip	хаяха
skirt	юбкэ
sky	тэнгэри
slave	барлаг
slave	богоол
sleep	унтаха
sleeping	унталга
sleepy	унтаамхай
sleeve	хамсы
slice	зүһэм
slide	гүбөө
slightly	халта
slightly	хүнгэхэнөөр
slim	туранхай
slip	халтирха
slope	уруудам газар
slot	слот
slow	удаан
slowly	удаан
small	бага
small	заахан
smart	ухаансар
smell	үнэр
smile	миһэд гэлгэ
smile	энеэбхилгэ
smoke	тамхи татаха
smooth	жэгдэ
snack	эдеэн
snail	улитка
snake	могой
snap	няһа
snow	саһан
so	теэд
so cute	тон хөөрхэн
so far	тун холо
soak	норохо
soap	сабан
soap	мылэ
sober	элүүр
soccer	хүл бүмбэгэн
social	олониитын
social	ниитын
society	ниигэм
socks	оймоһон
soft	зөөлэн
software	софт
soil	хүрьһэн
sold	худалдаһан
sold out	худалдаһан
soldier	сэрэгшэн
sole	ула
solid	хатуу
solution	шиидхэбэри
solve	шиидхэхэ
some	зарим
somebody	хэн нэгэн
somehow	яагаад ааб даа
someone	хэн нэгэн
something	нэгэ юумэ
sometimes	заримдаа
song	дуу
soon	һаяар
sophisticated	хурса байлгын
Sorani	Сорани
sore	үбэшэн
sore throat	үбдэһэн хоолой
sorrow	уйдхар
sorrow	уй
Sorry	Хүлисөөрэй
Sorry	Хүлисөөрэйгты
sort	сорт
sought	бэдэрһэн
soul	зүрхэн сэдьхэл
soulmate	хани
sound	абяа
soup	шүлэн
sour	гашуун
source	эшэ үндэһэн
south	урда зүг
space	газар
space	сансар
spam	спам
span	тойруулан хараха
span	тэбэрихэ
Spanish	Испани
spare	үлүү
speak	дуугарха
special	онсо
species	ондоо янзань
specific	онсо өөрэ
spectacular	үзэсхэлэнгэй
speech	үгэ хэлэлгэ
speechless	абяагүй
speed	хурдан
spell	хэлэлгэ
spell	шэбшэлгэ
spend	гаргашалха
spent	һалгаһан
spicy	халуун ногоотой
spike	хадхуур
spin	эрьюулэхэ
spinach	буусай
spirit	һүнэһэн
spit	нёолбохо
splendid	уран һайхан
splendid	жабхаланта
split	таһалха
spoil	эрхэлүүлхэ
spoiled	эрхэ
spontaneous	гэнтын
spoon	халбага
spot	газар
spouse	үбгэ һамган
spread	тарааха
spring	хабар
square	талмай
squeeze	бажууха
squeeze	шахаха
squid	тавдал
squirrel	хэрмэн
st	гудамжа
stab	худхалха
stable	тогтуури
stack	хабшуулдаха
staff	ажалшад
stage	тайзан
stain	толбо
stairs	шата
stake	табиса
stalk	эшэ
stalk	шэлбэ
stall	алаабхи
stamp	тамга
stand	зогсохо
standard	нэгэ хэб
standard	стандарт
star	мүшэн
star	одон
start	старт
started	эхилһэн
starving	үлдэхэ
starving	үлэсхэлэн байха
state	байдал
state	гүрэн
statement	мэдүүлгэ
station	станци
statue	хүшөө
status	статус
stay	үлэхэ
stay safe	болгоомжотой байгаарай
steady	тохонижоһон
steak	шараһан мяхан
steal	хулгайха
steal	булад
steam	уур
steel	ган
steep	эгсэ
stem	уг узуур
step	алха
stick	модон
stiff	шэрүүн
still	мүнөө хүрэтэр
sting	хилгааһан
sting	хүбшэ
stingy	харуулһан
stir	худхаха
stock	нөөсэ
stolen	хулгайгдаһан
stomach	гэдэһэн
stone	шулуун
stood	зогсоһон
stool	һандали
stop	болюулха
storage	хадгалха газар
store	дэлгүүр
storm	далайн шуурган
story	түүхэ
stove	пеэшэн
straight	жэгдэ
straightforward	сэхээр
strain	һунаалга
strange	гайхалтай
stranger	танигдаагүй хүн
strategy	стратеги
straw	һолоомон
strawberry	гүлзөөргэнэ
streak	зурууд
stream	дамжуулха
street	гудамжа
strength	хүсэ
stress	стресс
stretch	һуняаха
strict	хатуу шанга
strike	шаалга
string	хилгааһан
string	хүбшэ
strip	зурууд
strive	шармайха
stroke	инсульт
strong	хүсэтэй
struck	сохиһон
structure	байгуулга
struggle	тэмсээн
struggling	тэмсэһэн
stubborn	үсэд
stuck	торохо
student	оюутан
student	һурагша
study	һураха
studying	шудалалга
stuff	бараа
stunning	сэдьхэл доһолгомо
stupid	тэнэг
style	стиль
subject	субъект
submission	мэдэгдэлгэ
submit	үгтэхэ
substance	бодос
substitute	һэлгэлгэ
subtle	нарин
succeed	амжалтада хүрэхэ
success	амжалта
successful	амжалтатай
such	тиимэ
such as	тиимэ гэгшэ
suck	хүхэхэ
sudden	гэнтын
suddenly	гэнтэ
suffer	зобохо
suffering	зобохо
sufficient	хангалтатай
sugar	шэхэр
suggest	дурадхаха
suggestion	һайшаан зууршалалга
suggestion	һайшаал
suit	зохихо
suitable	зохид
suitcase	хайрсаг
sum	дүн
summary	согсо
summer	зун
summit	орой
sun	наран
sunday	долоодохи үдэр
sunny	нартай
sunset	нара оролгон
sunshine	наранай туяа
super	тон
super	үзэлэй
superior	захиралга
supervisor	ударидагша
supper	үдэшын хоол
supply	хангаха
support	дэмжэхэ
suppose	тухайлһан
supposed	багсааһан
sure	этигэлтэй
surface	дэбисхэр
surge	салгидаса
surgery	операци
surname	обог
surprise	һонин бэлэг
surprise	гэнтын ушар
surprised	гайхаһан
surrender	бэеэ тушааха
surrounding	тойроһон
surveillance	ажаглалта
survey	һуралга
survive	амиды үлэхэ
suspect	һэжэглэхэ
suspended	тогтооһон
suspicious	һэжэглэлтэй
sustain	тулаха
sustainability	тогтууритай байлга
sustainable	тогтуурита
swag	найгаха
swallow	залгиха
swap	һэлгэхэ
swear	амлаха
sweat	хүлһэн
sweat	хүлэрхэ
sweater	дулаан самса
sweep	хамаха
sweet	нилуун
sweet	аятай
sweet dreams	һайхан амараарай
sweet tooth	амтатай юумэ эдигшэ
sweetheart	хонгор
swell	миралталга
swelling	хабданги
swim	тамарха
swimming	тамарлта
swing	дүүжэндэхэ
switch	шэлжүүлэн оруулха
swollen	залгиһан
sword	һэлмэ
symbol	һүлдэ тэмдэг
sympathy	хөөршөөлгэ
symptoms	шэнжэ
system	системэ
table	шэрээ
tackle	орохо
tag	ярлык
tail	һүүл
take	абаха
take away	абажа ябахаар
take care	һанаагаа зобохо
take off	тайлаха
taken	абаһан
talk	хөөрэлдэхэ
talkative	шашаг
tall	үндэр
tap	кран
tape	лентэ
tape	ооһор
target	сагаался
task	бодолго
taste	амта
tasty	амтатай
taught	һургагдаһан
tea	сай
teach	зааха
teach	һургаха
teacher	багша
team	хамтарал
tear	нёлбоһон
tears	нёолбоһон
tease	гасаалха
technology	технологи
teeth	шүдэн
tell	хөөрэхэ
tell me	намда хэлэ
temper	бахатай
temperature	халуун
temple	һүмэ
temporary	түр зуурын
ten	арбан
ten thousand	арбан мянган
tenant	байраар байгша
tend	тенденци
tendency	ябадалай шэг
tender	энхэргэн
tense	хүсэлэлгэ
tension	зангидалга
tent	майхан
tentative	туршалгын
term	хухасаа
terms	нүхэсэл
terrible	аймшагтай
terrific	сэдьхэл доһолгомо
territory	территори
test	туршалга
text	текст
than	ороходоо
thank	баяр хүргэхэ
thank you	баярлаа
thank you	һайн даа
Thank you for your patience while we investigate shipment	Хүргэлтэ шалггажа байхадамнай тэсэжэ байһандатнай баяртай байнабди
thank you so much	тон ехэ баярлаа
thank you very much	ехэ баярланаб шамда
thank you very much	ехэ баярланаб танда
thanks	һайн даа
Thanks for using our app	Манай апликейшн хэрэглэжэ байһандатнай баяртай байнабди
that	тэрэ
that is	тэрэ бол
that's good	тэрэнь һайн
theft	хулгайлга
their	тэдэнэй
them	тэдэнэр
theme	сэдэб
theme	темэ
themselves	өөһэдөө
then	тиихэдээ
theory	теори
there	тэндэ
there are	тэндэ бол
therefore	тиимэһээ
these	эдэ
they	тэдэ
they are	тэдэ бол
thick	бүдүүн
thief	хулгайшан
thigh	гуя
thin	нимгэн
thing	зүйл
thing	юумэ
things	юумэ
think	бодохо
third	гурбадахи
thirsty	ундаа хүрэлгэ
thirteen	арбан гурбан
thirty	гушан
this	энэ
this is	энэ хадаа
thorough	оролдосотой
thoroughly	нарин нягта
those	тэдэ
though	тиигээшье һаа
thought	бодол
thought	һанаан
thoughtful	бодолгото болоһон
thoughts	бодолнууд
thousand	мянган
thread	заналта
threat	заналга
threaten	айлгаха
three	гурбан
threshold	богоһон
thrilled	сэдьхэлээ хүдэлһэн
thrive	амидарха
throat	хоолой
through	нэбтэ
throughout	соогуур
throw	соогуур
thumb	барбаадай
thunder	тэнгэриии дуун
Thursday	Дүрбэдэхи үдэр
thus	тиимэ дээрэһээ
tick	хашаг
tide	сэбэр
tidy	тоб гэмэ
tie	галстук
tiger	эреэн гүрөөһэн
tight	барюу
Tigrinya	Тигриниа
time	саг
timid	зүрхэгүй
timid	хитүү
tiny	бишыхан
tip	үзүүр
tips	һэмээхэн хэлэлгэ
tire	шиинэ
tired	эсэхэ
tissue	аршуул
title	нэрэ соло
title	хэргэм
to	хүрэтэр
to be	байха
toast	хилээмэн
today	мүнөөдэр
toddler	нялха
toes	хүлэй хурган
together	хамта
toilet	бэеэ хүнгэлхэ газар
toilet	жорлон
told	хэлээтэй
tolerance	тэсэбэри
tolerate	тэсэхэ
tomato	улаан лооли
tomorrow	үглөөдэр
tongue	хэлэн
tonight	энэ һүни
too	баһа
took	абаа
tool	хэрэгсэл
tools	зэбсэг
tooth	шүдэн
top	орой
topic	сэдэб
torn	хахарһан
torture	тамалалга
total	бүхы
touch	хүрэхэ
tough	шэрүүн
tour	тур
toward	урдаһаань
towards	урдаһаань
towel	аршуур
town	хото
toxic	хорото
trace	мүр
track	гэтэхэ
trade	наймаа худалдаа
tradition	ёһо заншал
traditional	ёһо заншал болошоһон
traditional	заншашаһан
traffic	хагшалаан
trail	зүргэ
trail	жэм
train	галтай тэргэ
training	бэлдэлгэ
trait	шэнжэ
traits	шэнжэ
transfer	дамжуулга
transition	шэлжэн гаралга
translate	оршуулха
transparent	тунгалаг
transport	унаа
transportation	хүргэлтын ябуулга
trap	занга
trash	хог
trash	бог
trauma	гэмтэлгэ
trauma	эбэрэлгэ
travel	аяншалха
tray	поднос
treasure	үнэтэ эд зөөри
treasure	эрдэни
treat	хандаха
treatment	харууһалалга
tree	модон
tremendous	абарга
trend	тренд
trial	шүүхэ
trick	мэхэлхэ
tried	үзэһэн
trigger	шабха
trim	тайраха
trip	ябалга
trouble	асуудал
trousers	үмдэн
truck	ашаа машина
TRUE	зүб
trunk	багажник
trust	этигэхэ
truth	үнэн
try	туршажа үзэхэ
Tsonga	Цонга
tube	сорго
tube	ганза
tube	гааһан
Tuesday	Хоёрдохи үдэр
tuition	һургуулиин түлэбэри
turkey	эрэ галуун
turmeric	турмерик
turn	эрьелгэ
turtle	мэлхэй
tutor	багша
twelve	арбан хоёр
twenty	хорин
twenty-one	хорин нэгэн
Twi	Тви
twice	хоёр дахин
twist	эрьюулэхэ
two	хоёр
type	маяг
typical	олоной шэнжэтэй
ugly	эрэмдэг
ultimate	эрид эрилтэтэй
umbrella	шүхэр
unable	шадахагүй
uncle	нагаса
unconscious	бодолгүй
under	доро
underneath	досоонь
underrated	сэгнэгдээгүй
understand	ойлгохо
understood	ойлгоһон
unfortunately	гэмшэлтэй
uniform	дүримтэ хубсаһан
unique	шухаг
unit	единицэ
university	дээдэ һургуули
unknown	мэдэгдэгүй
unless	үгы һаа
until	хүрэтэр
unusual	юрын бэшэ
up	дээшэ
up to you	өөрөө мэдээрэй
update	шэнэлхэ
upgrade	шэнэлхэ
upon	дээгүүр
upset	гашууданги
urban	хотын
urge	яаралтай
urgent	яаралтай
us	бидэ
use	хэрэглэхэ
used	хэрэглэгдэһэн
useful	хэрэглэхээр
useless	хэрэггүй
usual	эгээлэй
usually	жииртэ
utility	ашагтай
vacation	амаралта
vaccination	тарилга
vaccine	тарилга
vacuum	вакуум
vague	эли бэшэ
valid	бодото
valley	хүнды
valuable	үнэтэ
