kele	a
buu	muscle
mize	museum
fiyenan	mushroom
fɔli	music
ka kan ka	must
bobo	mute
ɲɔgɔn	mutual
nne	my
n	my
N jarabi	My dear
N teri	my friend
Nne ka ayeroglisɛɛri fara ni sajigwɛ ye	My hovercraft is full of eels
n jarabi	my love
n tɔgɔ ye	my name is
n ka diya	my pleasure
ne yɛrɛ	myself
gundo	mysterious
gundo	mystery
bisigiyako	myth
pɔnti	nail
duga	naive
tɔgɔ	name
lankaleli	narrative
dɔgɔya	narrow
dɔgɔ	narrow
cɛjugu	nasty
jamaden	national
jamanadenya	nationality
duguden	native
jamanaden	native
yɛrɛyɛrɛ	natural
latanganin	nature
fɔɔnɔnege	nausea
gɛrɛfɛ	near
kɛrɛ fɛ	nearby
sɔɔni dɔrɔn	nearly
pelepele	neat
mi kakan	necessary
kan	neck
kannankɔnɔ	necklace
bi.fɛ	need
bansira	negative
sɔsɔlisira	negative
a ma jate	neglect
ka tɛrɛmɛ	negotiate
sigiɲɔgnwɔ	neighbor
sigiya	neighborhood
sigijɔngɔnya	neighborhood
foyi	neither
lamɔden	nephew
kegun	nerd
basigibali	nervous
ɲaa	nest
dafalen	net
erezo	network
kelenna	neutral
pɛtu	never
abadan	never
ka na ban abada	never give up
ka na jɔrɔ abada	never mind
kana hami	nevermind
nga	nevertheless
kura	new
kibaruyaw	news
nata	next
a kɛrɛfɛ	next to
cɛɲi	nice
ɲɛna	nice
ɲi	nice
n dusu ka di ka i kunbɛn	nice to meet you
lamɔden	niece
suu	night
sugojugu	nightmare
kɔnɔntɔn	nine
tan ni kɔnɔntɔn	nineteen
bikɔnɔntɔn	ninety
Ayi	No
un un	No
ɔn ɔn	No
baasi t'a ra	no problem
tɔɔrɔ t'u ra	no problem
abada	no way
mɔgɔsi	nobody
mankan	noise
mankan kɛlɛ	noisy
si	none
foyi si	none
mɔgɔ si	none
midi	noon
ayi	nope
wa	nor
a ka kan	normal
worodugu	north
nuun	nose
ɲanafinya	nostalgic
ɲɛnafinya	nostalgic
te	not
ti	not
fiyewu	not at all
a juguyalen tɛ	not bad
Sisan tɛ	Not now
ban fɔlɔ	not yet
nɔti	note
a famuna	noted
foyi	nothing
fosi	nothing
papaga	nothing
kɔrɔsili kɛ	notice
kunnafoni	notice
kɔrɔsili kɛra	noticed
yera	noticed
tɔgɔ	noun
tɔgɔw	nouns
kura	novel
novanburukalo	november
sisan	now
bidonya	nowadays
tɔɔrɔli	nuisance
fu	null
deessè	numb
hakɛya	number
jatiden	number
dɔgɔtɔrɔ	nurse
ekuru	nut
muskaad yiriden	nutmeg
baloli	nutrition
kalilikan	oath
bonyakojugu	obesity
kolo	obey
ban	object
minɛn	object
dilankun	objective
diyagoya	obligation
finman	obscure
jateminɛ	observation
kɔrɔsi	observe
tɔɔrɔnin	obsessed
fa	obsession
datibanen	obsolete
kunbalan	obstacle
latigɛ	obtain
lasɔrɔ	obtain
sɔrɔla	obtained
welekubali	obvious
welekubali	obviously
wagati dɔ	occasionally
ciya	occupation
mako	occupation
baara	occupation
okipe	occupied
kɛli	occur
kɛra	occurred
ka kɛ	occurs
kɔgɔjiba	ocean
ɔtɔburukalo	october
kunntan	odd
garisigɛ	odds
ta	of
ka	of
koyi	of course
te yen	off
bagama	offensive
di	offer
biro	office
cikɛda baarada	office
faama	official
waati caman	often
sɔn	often
.yo	Oh
Waayi	Oh
Wala	Oh
tiɲɛ lo	oh really
tulu	oil
n'sona	ok
ayiwa ne balima	ok dear
ayiwa ne jarabi	ok honey
ayiwa n jarabi	ok my love
ayiwa	okay
ayiwa n jarabi	okay baby
ayiwa n teri	okay dear
baasi t'a la n jarabi	okay honey
ayiwa n jarabi	okay my love
kɔrɔman	old
kan	on
sanfɛ	on
kun	on
ni	once
siɲɛ kelen	once
kelen	one
kan kelen dorɔn ti dafa	one language is never enough
jaba	onion
bɔlɔlɔ san fɛ	online
dorɔn	only
yɛlɛ	open
baarakɛcogo	operation
opereli	operation
miiriya	opinion
kunnadiya	opportunities
seen	opportunity
siratigɛ	opportunity
bolominɛyɔrɔ	opportunity
kɔɔ donni	opposite
jgima	optimistic
cogo	option
wajibi tɛ	optional
wala	or
walima	or
woranjima	orange
lemburuba	orange
yamaruyali	order
latigɛ	order
diyagoyasira	order
gwansan	ordinary
jɛkulu	organization
ɲɛyirali	orientation
bɔyɔrɔ	origin
yɛrɛyɛrɛ	original
Oromokan	Oromo
falatɔ	orphan
wɛrɛ	other
n'o tɛ	otherwise
kan ka	ought
an	our
anw	our
an ka baara walasa yɔrɔ bɛɛ ka se ka diɲɛ famuya ani k'u hakilina fɔ kan bɛɛɔɔ, an ka baara walasa yɔrɔ bɛɛ ka se ka diɲɛ famuya ani k'u hakilina fɔ kan bɛɛɔɔ	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
an ka baara ye ka diɲɛkunnafoniw labɛ ani k'u kɛ fɛn min bɛ, ani k'u kɛ fɛn min bɛ se ka sɔrɔani nafa srɔ, ani k'u kɛ fɛn min bɛ se ka sɔrɔani nafa srɔ	Our mission: to organize the world's information and make it universally accessible and useful.
kɛnɛma	out
jaabi	outcome
teni	outfit
bɔ ta	outgoing
bɔda	outlet
ka fɛsɛ fɛsɛ	outline
kɛnɛma	outside
min ɲɔgɔn te yen	outstanding
pɔli	oven
baanna	over
yen	over there
yenfɛ	over there
bɛɛ	overall
dumu	overcome
miiri ka tɛmɛ	overthinking
walannin	overwhelmed
sungandili	overwhelming
kèta	owe
gingin	owl
bi.bolo	own
yɛrɛ	own
tigi	owner
misi	ox
cɛlatigɛ	pace
tagamasen	pace
ka faraɲɔgɔn kan	pack
pake	package
sarala	paid
dimi	pain
pɛntiri don	paint
pɛntiri	paint
pɛntirili	painting
fila	pair
nyalaguè	pale
tɛgɛ	palm
kasɔrɔli	pan
mumumunu bana	pandemic
siraɲɛ	panic
pantalɔn	pants
sɛbɛn	paper
alijɛnɛ	paradise
kuntilenna kelen	parallel
du tɛrɛn	parcel
yafa	pardon
bangeba	parents
pariki	park
solo	parrot
pɛrisili	parsley
fan	part
taalikɛ	participate
kɛrɛnkɛrɛnnin	particular
jango	particularly
jɛɲɔgɔn	partner
fɛti	party
ɲɛnɛgɛ	party
sabati	pass
tɛmɛ	pass
tɛmɛsira	passage
tɛmɛnen	passed
kanuya	passion
fɛ	passionate
tɛmɛta	passive
kɔdi	password
ka kɔrɔ	past
ka bari	patch
sira	path
hinɛtɔ	pathetic
sabali	patience
dusufaga	patience
farigwantɔ	patient
sabali mɔgɔ	patient
ɲɔgɔnna	pattern
sugu	pattern
ka jɔ	pause
pawe	pavement
san	pay
sarali	payment
hɛɛrɛ	peace
hɛrɛ ni baaden	peaceful
mɔnni	peach
kuncɛmana	peak
dakun	peak
biɲɛ	peak
puwari	pear
siyɔ	peas
kɛrɛnkɛrɛnlen	peculiar
suunadji	pee
fara	peel
toɲɔgɔn	peer
tɔɲɔgɔnw	peers
biki	pen
kiriyon	pencil
min ma kɛ	pending
mɔgɔ	people
jama	people
foronto	pepper
ka sɔrɔ	perceive
sɔminiminan	perception
cege	perfect
dafanin	perfect
kɛ	perform
seloya	performance
se	performance
adɔrɔ	perhaps
nasɔrɔ	perhaps
tuma	period
waati	period
banbali	permanent
yamaruyasɛbɛ	permission
yamaruya	permit
taaɲɛ	perseverance
mɛta	persistent
mɔgɔ	person
mɔgɔkelenko	personal
hadamadenya	personality
poroze	perspective
lasɔn	persuade
fatɔ	pervert
tiyɛnni	pervert
sokɔnɔbigan	pet
kumasen	phase
fɛnw	phenomenon
filo	philosophy
telefɔni	phone
foto	photo
kumasen	phrase
farigolo	physical
tigɛ	pick
soli	pick
ta	pick up
jaa	picture
faranfaran	piece
kunkurunw	pieces
lɛ	pig
jɛnɛtugan	pigeon
sara	pile
kunkɔrɔdonnan	pillow
kunblana	pillow
pankurunbolila	pilot
biɲɛ	pin
jabibi	pineapple
anana	pineapple
bilenman	pink
kɔlɔn	pit
karafu	pitch
hinan	pity
makaritɔya	pity
yɔrɔ	place
yɔrɔw	places
lɔyɔrɔw	places
banaburuku	plague
banajɛnsɛ	plague
gwansan	plain
fɛɛrɛ	plan
bolola	plan
awiyɔn	plane
nɛɛmafɛn	plant
falenfɛn	plant
turu	plant
falenfɛnw	plants
tasa	plate
bɔlɔlɔ kan	platform
tlon k	play
tulob kɛ	playing
diya	pleasant
duman	pleasant
i ye sabari	please
i hakɛ to	please
kunadiyara	pleased
nege	pleasure
delili	pledge
caaman	plenty
yɔrɔ	plot
kurantayɔrɔ	plug
mandi	plum
pulɔnbiye	plumber
cayalan	plural
kan talen	podcast
poyi	poem
poyi baara	poetry
tomi	point
da	point
baga	poison
polisi	police
fɛɛrɛ	policy
ladamunin	polite
lamininɔgɔ	pollution
ji dingɛ	pond
bunbayɔrɔ	pool
dalan	pool
ka bo kɛ	poop
fantan	poor
sarama	pop
jama bɛɛ mɔgɔ	popular
jama	population
lɛsogo	pork
baga	porridge
pɔri	port
dakun	position
lɔyɔrɔ	position
sɔnsira	positive
bɛ bolo	possess
tigiya	possession
tigiyalan	possessive
min bi se	possible
bɔlɔ	post
lase	post
yakaro	postpone
weleku	postpone
kɔmitɛrɛ	potato
sekoya	potential
bugɔbugɔ	pound
bunte	pound
lakolonya	poverty
see	power
barikama	powerful
nɔgɔman	practical
minɛbolo	practice
waleya	practice
bato	praise
dalabɔli	prank
deli	pray
seli	pray
taare	precious
ka sɛbɛntiya	precise
kɛrɛnkɛrɛnlenyala	precisely
ka sni dɔn	predict
fisaya	prefer
fisaya	preference
kɔnɔma	pregnant
gasilako	prejudice
yɔrɔw	premises
kalite fɔlɔ	premium
labɛnli	preparation
tobi	prepare
babaara	prepare
tobinin	prepared
bilaɲɛ	preposition
ɲana	presence
ɲɛ na	presence
bii	present
mɔɔ	present
yira	present
dantigɛkan	presentation
kana	preserve
latanga	preserve
jamanatuntigi	president
ka digi	press
daga	pressure
nɔminɛ	pretend
janjigi	pretty
bali	prevent
fɔlɔ fɔlɔɔ	previous
sɔnnifɛn	prey
sɔngɔ	price
disibaya	pride
kuncɛbaya	pride
sarakalasebaga	priest
baju	primary
pirimu	prime
masaden	princess
kunbaba	principal
kabini	prior
diyanyeta	priority
kɔnkatɛmɛjo min bi tɔɔw ɲɛ	priority
kaso	prison
daamu	privacy
dumuduguma	private
nafa	privilege
kunnawolojala	prize
adɔrɔ	probably
nasɔrɔ	probably
gwɛlɛya	problem
kititigɛsira	procedure
cogo	procedure
ka taa ma	proceed
cogo	process
sɔrɔ	produce
bɔ	produce
dilanlifɛn	product
sɛnɛ	production
baaradegin	profession
baarakalan	professional
porofili	profile
nafa	profit
dunya	profound
yiriwali	progress
poroze	project
tɔgɔma	prominent
ba	prominent
layidu	promise
karifa	promise
yiriwa	promote
jalayɛlɛ	promotion
waaju	prompt
tigɛlanteli	prompt
dusuba	prone
nɔnabilaw	pronouns
fɔcogo	pronunciation
kokɔrɔbɔ	proof
yɛrɛ	proper
saniya	properly
bolo fɛnw	properties
marafɛn	property
tigiya	property
ɲanala	proposal
hakilina	prospect
ɲɛsuma	prosperity
sabatili	prosperous
latanga	protect
kisi	protect
falimɔgɔ	proud
ka kiisa yira	prove
balo	provide
dilen	provided
marali	province
dumunifɛn	provision
cɛmisɛnya	puberty
sunguruya	puberty
foroba	public
saman	pull
jɛ	pumpkin
wagati	punctual
lakɔliden	pupil
san	purchase
gwɛ	pure
saniman	pure
dilankun	purpose
bilakun	purpose
pɔrɔtɔmani	purse
warimisɛnbilanan	purse
tagama	pursue
magwɛn	pursue
nɔgɛn	pursuit
ɲɔnti	push
digi	push
don	put
tɔgɔmadon	qualification
mankutuli	qualification
sɔn	quality
dama	quantity
latɔn yɔrɔ	quarantine
kɛlɛ	quarrel
kin	quarter
Kuechuakan	Quechua
masamuso	queen
kɛrɛnkɛrɛnneya la	queer
ɲininkali	query
ɲininga	question
ɲiningali	question
safa	queue
joona	quick
joona	quickly
suu	quiet
dara	quilt
birifani	quilt
toyi	quit
bila	quit
fin	quite
degeli	quiz
sɔngɔ di	quotation
kofɔta	quote
sɔngɔn di	quotes
sonsan	rabbit
siya	race
wurubana	rage
sanji ben	rain
sanji	rain
sangi	rain
layɛlɛ	raise
lawili	raised
ka boli	ran
kuntere	random
sugu wɛrɛw	range
telima	rapid
joona	rapidly
go	rare
dɔgɔ	rarely
farikolo bana	rash
toto	rat
sɔngɔ	rate
ka kon a nyè	rather
kɛmɛsarada	ratio
nafama	rational
kɛnɛ	raw
tuguni	re
tugu	re
arrive	reach
se	reach
a sera	reached
reyakisɔn	reaction
kalan	read
gafekalan	reading
fɛrɛ	ready
tiɲɛ	real
kow	reality
lɔnya	realize
faamuyara	realized
jaati	really
ti ti ti	really
kɔni	really
kɔfɛla	rear
kɔɔ	rear
dakun	reason
fisa	reasonable
ka segin ka wele	recall
resi	receipt
minɛ	receive
mina	receive
sɔrɔra	received
kurakura	recent
kɔsa nin na	recently
donda	reception
fana	recipe
miiribali	reckless
boɲamasegin	recognition
lakolɔn	recognize
lɔn	recognize
koo fɔ	recommend
kumagwɛlɛya	recommend
koo fɔra	recommended
cisama	record
kofɔsɛbɛ	record
ka kɛnɛya	recover
kɛnɛyali	recovery
tangili	rectangle
selekenaani	rectangle
wulen	red
kisi	redeem
sarali	redemption
dɔ bɔ	reduce
tanikasegin	redundant
ka . ci.fɛ	refer
tamachien	reference
taasi	reflect
hakilijagabɔ	reflection
jatiminɛ	reflection
miriya	reflection
yɛrɛ minɛ	refrain
firigo	refrigerator
sara	refund
warikɔsegi	refund
jɛn	refuse
ban	refuse
banna	refused
gasi	regard
gasi	regarding
bonyabaliya	regardless
gasiw	regards
mara	region
sɛbɛn	register
nimisa	regret
basiginin	regular
tuman bɛ	regularly
ka fili	reject
lakali	relate
min be bɔ ɲɔgɔnw ma	related
cɛ	relationship
somɔgɔ	relative
baliman	relative
balimaw	relatives
labila	relax
afoni	relax
bɔli	release
bila	release
labilalen	released
bè a ma	relevant
hɔɔrɔn	reliable
ka kan ka	reliable
dɛmɛɲini	relief
dugukolo labɛnsigicogo	relief
sigikamine	relieve
lafiya sɔrɔla	relieved
dinan	religion
diinɛ	religious
a be kɛɲɛ	reluctant
la	rely
to	remain
tɔ	remaining
kɔsɔsilen	remarkable
saraka	remedy
hakiliya	remember
hakili jigin	remind
hakilinajiginla	reminder
yɔrɔjan	remote
labɔ	remove
bɔ	remove
ka i yɛrɛ di	render
sosara	rent
sofuru	rent
luwanse	rent
dilan	repair
segi a kan	repeat
segi	repeat
kɔfalen	replace
kunmafalen	replace
jaabili	reply
kumatasɛbɛ	report
cikɔsegisɛbɛ	report
kofɔ	report
bisigiya	represent
danbe	reputation
mankutu	reputation
dawula	reputation
dali	request
ka kan ni	require
komi o ka kan	required
lahinɛ	rescue
bolominɛyɔrɔ	rescue
ɲinini	research
fɛ	resemble
ka bɔ	resemble
kɔnɔnakuru	resentment
dimi	resentment
mɔnɛ	resentment
lakofɔli	reservation
ka mara	reserve
lasigiden	resident
ka baara bila	resign
ko ku	resilience
fasaman	resilient
ka firifiri	resist
firifirili	resistance
ŋaniya	resolution
ka ɲɛnabɔ	resolve
eresɔri	resort
nafolomafɛnw	resources
bato	respect
bonya	respect
jaabi	respond
jaabili	response
ɲɛmɔgɔya	responsibility
ɲanabɔbaga	responsible
lafiɲɛ	rest
lafiya	rest
ala ka dinan i la	rest in peace
dumunifeereyɔrɔ	restaurant
ka lasegin	restore
ka dansiri	restrict
jaabi	result
jaabiw	results
segi k'a kɛ	resume
jagomafila	retail
tɔn	retain
marali	retention
sɛngɛ lafiɲɛ	retired
rɛtrɛt	retreat
sigikamine	retrieve
segi	return
yira	reveal
jiralen	revealed
ta sara	revenge
nafolo	revenue
ka yɛlɛma	reverse
sɛgɛsɛgɛli	review
ka sɛgɛsɛgɛ	revise
seginkanni	revision
erewolisɔn	revolution
kunnawolojala	reward
baraji	reward
fɔlisen	rhythm
galakakolo	rib
galaka	rib
kinin	rice
nafolotigi	rich
ka fili	rid
boli	ride
latulon	ridiculous
kini	right
bɛnnin lo	right
ten lo	right
sisan	right now
makama	rigid
tugutugunin	ring
kasi	ring
susa	rinse
sanango	rinse
balawu	riot
ka fara	rip
mɔlen	ripe
sannayɛlɛn	rise
farati	risk
sinacɛ	rival
sina	rival
ba	river
sira	road
worotilen	roast
ka fɔri	robust
farakurun	rock
kalamanin	rod
lɔda	role
ka kolonkolon	roll
sanbo	roof
soden	room
lili	root
juruden	rope
torila	rotten
ŋɛɲɛ	rough
ɲɔgɔnna	roughly
kulukutu	round
mulunkutu	round
sira	route
don o don	routine
sira	row
aranze	row
jɔɔsi	rub
digi	rub
goro	rub
gɔmu	rubber
ɲaman	rubbish
malobali	rude
ŋɛɲɛ	rug
halaki	ruin
bɔnɛ	ruin
sariya	rule
tiiricilan	ruler
sariyaw	rules
boli	run
bori	run
boli	running
dafɛdugu	rural
teliya	rush
teliman	rush
saki	sack
bɔrɔ	sack
lasirannen	sacred
jibɔn	sacrifice
saraka	sacrifice
wulibal	safe
wulibali pankurunnatagama	safe flight
lakana	safety
hakilitigi	sage
kumanan	said
fɔra	said
ka kurunboli	sail
batoboli	sailing
kɔsɔn	sake
sara	salary
sannin	sale
tèbèn	salmon
kɔgɔ	salt
bɔɲɔgɔman	same
o kelen do yan	Same here
esantiyɔn	sample
cɛncɛn	sand
Sanskritikan	Sanskrit
jagaci	sarcastic
nafantan	sassy
sigilen	sat
wasali	satisfaction
kɛlɛkɛlɛ	satisfied
dafanin	satisfied
fanin	satisfied
wasa	satisfy
nafama	satisfying
Sibirilon	Saturday
sogo mugu	sausage
waraya	savage
kisi	save
tun .ye	saw
fɔ	say
wɔrɔ	scale
fara	scale
yuruya	scam
jolifɔ	scar
dɔgɔ	scarce
tɔlɛ	scared
siranan	scared
dankana	scarf
min be jabɔra	scary
serilen	scattered
kɛnɛ	scene
ɲɔgɔlɔn	scenery
wusulan	scent
programu	schedule
kalanso	school
lɔnniya	science
siyantifiki	scientist
dɔnnibagaw	scientists
sizo	scissors
sɔngɔ	scold
nafa	scope
bi	score
ɲaman	scrap
baasi	scratch
kulekan	scream
ekaran	screen
wisi	screw
sɛbɛnni	script
kɔgɔji	sea
sirinan	seal
ɲini	search
woloma	search
wagati	season
sigilan	seat
filanan	second
segɔndi	second
gundo	secret
fan	section
ka lakana	secure
lakana	security
ye	see
filɛ	see
kan bɛn	see you
kan bɛ kɔfɛ	see you later
kan bɛ sɔɔni	see you soon
k'an bɛn	see you tomorrow
an be sini	see you tomorrow
si	seed
ɲini	seek
tugu	seek
a sugu	seem
i n'a fɔ	seems
a yela	seen
ka minɛ	seize
minɛli	seizure
lawoloma	seldom
ka sugandi	select
yɛrɛ	self
yɛrɛ furakɛli	self healing
ɲakuna	selfish
feere	sell
ci	send
i foto ci ne ma	send me your picture
kuntigi	senior
ja	sense
kala	sense
fɛgɛya	sensible
makaritɔ	sensitive
a ci la	sent
kumasen	sentence
ɲegili	sentence
kumasenw	sentences
danfara	separate
fara	separate
Sepedikan	Sepedi
sɛtanburukalo	september
dasigi	sequence
seriw	series
sɛbɛ	serious
dun	serious
sɛbɛla	seriously
nafa	serve
dumuni	serve
mako	service
sesiyɔn	session
lonsigi	set
kɛ	set up
paramɛtiri	setting
latigɛ	settle
ɲaɲini	settle
wolonfila	seven
bisegi	seventeen
biwolonfila	seventy
dama dɔ	several
caaman	several
fariman	severe
dun	severe
sɛnɛ kɛla	sew
suu	sh
ka dibi don	shade
ja	shadow
ka yigiyigi	shake
bena	shall
min ti dunman	shallow
maloya	shame
cogoya	shape
tilan	share
niyɔrɔ	share
di	sharp
leru	sharp
a	she
a bi	she has
a ye	she is
gwaa	shed
sagasi	sheep
saga	sheep
dara	sheet
sɛbɛn	sheet
fara	shell
ka wɔrɔ	shell
gwaa	shelter
togon	shelter
dogotu	shelter
nɛgɛbɛnnan	shield
yɛlɛma	shift
ka manamana	shine
kurunba	ship
cili bato fɔ	shipping
semisi	shirt
dereke	shirt
samaraw	shoes
suliye	shoes
k'a tan	shoot
bitiki	shop
sanni	shopping
jida	shore
surun	short
danya	shortage
tiri	shot
ka kan ka	should
fɛfɛ	shoulder
gaman	shoulder
ka kule	shout
ɲɛfɔ	show
yira	show
ɲanagwɛ	show
a yira ne ma	show me
koyɔrɔ	shower
kerevɛti	shrimp
ka wolo	shrink
ka datugu	shut
makun	shut up
da ge	shut up
maloya	shy
baliman	sibling
denw	siblings
farigwanto	sick
man kɛnɛ	sick
banabagatɔ	sick
faan	side
galaka	side
tɔgɔ	side
taamasiyɛn	sigh
yeeli	sight
turizimu	sightseeing
tagamasiɲɛ	sign
tigɛnɔbila	sign
tigɛnɔbila	signature
bolonɔ	signature
bolokɔfɛfɛn	significant
kumabaliya	silence
datugu	silent
fuu	silk
naloman	silly
warijɛ	silver
ɲɔgɔnna	similar
sɔgɔman	simp
nɔgɔman	simple
wagati kelen	simultaneously
fo	since
sɛbɛ	sincere
sɛbɛsɛbɛla	sincerely
dɔnkilila	sing
dɔnkililala	singer
gwanan	single
ben	sink
Balimancɛ	Sir
Cɛmɔgɔ	Sir
badenman	sister
buramuso	sister in law
sigi	sit
yɔrɔ	site
ko	situation
wɔɔrɔ	six
tan ni wɔɔrɔ	sixteen
biwɔɔrɔ	sixty
kundama	size
lɔnniya	skill
lɔntaw	skills
golo	skin
fasalen	skinny
toyi	skip
bila	skip
ɔrɔbu	skirt
sankolo	sky
jɔn	slave
sinɔgɔ	sleep
sunɔgɔ	sleeping
sinɔgɔ b'a ra	sleepy
gulokiboloda	sleeve
ka tigɛ fitini fitini	slice
ka tɛnrɛn tɛnrɛn	slide
falafala	slightly
misɛn	slim
cɛɛnɛ	slip
jigi jigi	slope
ka don	slot
sumaman	slow
dɔɔnin dɔɔnin	slowly
fitinin	small
politiki	smart
kasa	smell
yɛlɛ	smile
sisi	smoke
manugu	smooth
munaki	smooth
daladumini	snack
kerekete	snail
saa	snake
ka ja ta	snap
nɛzi	snow
o le kosɔn	so
o le kanma	so
o tuma	so
cɛ ka ɲi ka ɲakojugu	so cute
hali bi	so far
ka ɲigin	soak
safunɛ	soap
sulen	sober
ntolotan	soccer
sosiyali	social
baarabolo	society
sosiyete	society
susɛti	socks
magaman	soft
lozisiyɛli	software
dugumakolo	soil
feerela	sold
feerela	sold out
sɔrɔdasi	soldier
fama	soldier
kelen	sole
jalen	solid
bɔda	solution
ɲanabɔ	solve
dɔ	some
mɔgɔ	somebody
mɔgɔ dɔ	somebody
cogo walima suguya wɛrɛ	somehow
mɔgɔ dɔ	someone
fɛn dɔ	something
waati waati	sometimes
dɔnkili	song
dɔɔnin	soon
sɔrɔbatigi	sophisticated
Soranikan	Sorani
joli	sore
kan dimi	sore throat
ɲɛnasisi	sorrow
Safurulayi	Sorry
Hakɛ to	Sorry
I sabari	Sorry
suguya	sort
sugandi	sort
ɲinina	sought
nii	soul
diyanyebaga	soulmate
kanɲɛ	sound
mankan	sound
naji	soup
kuma	sour
bununda	source
fɔlɔyɔrɔ	source
baɲafan	south
worodugu	south
kɛnɛ	space
jankarabu ci	spam
janya	span
Esipaɲɔnli	Spanish
kisi	spare
kumasɛn	speak
fɔ	speak
kɛrɛnkɛrɛn	special
fɛn suguyaw	species
kɛrɛnkɛrɛn	specific
ilɛlifɛnw	spectacular
wajuli	speech
dantigɛkan	speech
bobo	speechless
teliya	speed
siginindenfɔ	spell
dabali	spell
mɔgɔbolo	spell
wari bɔ	spend
kɛla	spent
farin	spicy
biɲɛ	spike
tago	spin
munu	spin
bisi	spin
pinari	spinach
nii	spirit
tu	spit
cɛɲi	splendid
tilanan	split
tiɲɛ	spoil
tiɲɛ	spoiled
sisan	spontaneous
kuyɛri	spoon
yɔrɔ	spot
ɲanɔto	spot
kurunin	spot
furuɲɔgɔn cɛman	spouse
furuɲɔgɔn musoman	spouse
duruntu	spread
fara	spread
kɔrɔtanan	spring
bunun	spring
soni	spring
kaare	square
ka madigi	squeeze
djidiara	squid
nkɛlen	squirrel
turu	stab
basigilen	stable
faraɲɔgɔnkan	stack
baarabolo mɔgɔw	staff
dakun	stage
tagamasira	stage
nɔ	stain
yɛlɛnan	stairs
yɛlɛnyɛlɛnna	stairs
bɔlɔ	stake
kala	stalk
ka kale	stall
tɛnburu	stamp
lɔ	stand
dansiginin	standard
lolo	star
daminɛ	start
daminɛna	started
kɔngɔ	starving
jamana	state
fɔta	statement
kuma	statement
sitasiyɔn	station
jirimɔgɔnin	statue
dakun	status
to	stay
ɲuman sigi	stay safe
basigilen	steady
sogo	steak
sonya	steal
cici	steam
sisi	steam
nɛgɛ	steel
teliman	steep
kala	stem
etapu	step
bere	stick
nɔrɔnɔrɔ	stick
fɛgɛma	stiff
fɔlɔ	still
cinda	sting
tɛgɛmagɛlɛ	stingy
ka lamaga	stir
bilankɔrɔ	stock
bilanin	stock
sonyalen	stolen
kɔnɔ	stomach
gabakurun	stone
bɛrɛ	stone
jɔlen	stood
kurun	stool
wagalen	stool
lalɔ	stop
marayɔrɔ	storage
bila	store
bitiki	store
bilanin	store
funufunu	storm
ziri	story
tariki	story
furuno	stove
tilennin	straight
kɔnɔnagwɛ	straight
kunkelen	straight
para tilennin	straightforward
yirikurun	strain
kunntan	strange
dunan	stranger
fɛɛrɛ	strategy
karata	straw
firɛzi	strawberry
serilen	streak
kɔɔ	stream
ba	stream
siraba	street
fanga	strength
se	strength
magwan	stress
ka sama	stretch
fari	strict
baarabila	strike
gusi	strike
juru	string
juruden	string
ka wɔrɔ	strip
ka sabati	strive
surun	stroke
tiiri	stroke
barikaman	strong
gosilen	struck
baaradabolo	structure
kɛlɛ	struggle
ɲakɔrɔse	struggle
kɛlɛ	struggling
mɔgɔjugu	stubborn
balan	stuck
kalanden	student
kalandenba	student
sɛgɛsɛgɛli	study
kalan	study
kalan	studying
sɔgu	stuff
sɔsɔ	stuff
dabaliban	stunning
naloman	stupid
mɔdɛli	style
lahalaya	subject
kɔnɔnako	subject
kalanta	subject
dɔgɔmaya	submission
kolo	submit
kɔnɔnafɛn	substance
ka falen	substitute
ceguman	subtle
sabati	succeed
kunawolo	success
dondala	successful
ɲɔgɔn	such
i n'a fɔ	such as
mugan	suck
ka bali	sudden
pɔkɛ	suddenly
tɔrɔ	suffer
dimi	suffering
ɲanaman	sufficient
dafanin	sufficient
sukaro	sugar
sula	suggest
ladili	suggestion
ɲafa	suit
kunminɛ	suit
bèle a ma	suitable
walisi	suitcase
hakɛ	sum
bakurubafɔ	summary
fɔkasurunya	summary
telema	summer
kuncɛ	summit
tile	sun
dimansilon	sunday
tilebin	sunny
tilebin	sunset
tileɲɛ	sunshine
a kaɲi	super
a sanfɛ	superior
ɲɛmɔgɔ	supervisor
ka dumini kɛ	supper
bɔ	supply
bɔli	supply
dɛmɛli	support
dɛmɛ	support
bisigi	suppose
i n'a fɔ	supposed
lɛgɛsɛ	sure
wulibali	sure
kɔkanna	surface
ka yɛlɛ	surge
operelikɛyɔrɔ	surgery
jamu	surname
bali	surprise
barinnako	surprise
balinanko	surprise
balinan	surprised
yɛrɛdi	surrender
fanfɛla	surrounding
lakɔlɔsi	surveillance
sɛgɛsɛgɛli	survey
balo	survive
siganamɔgɔ	suspect
a jɔlendo	suspended
sigamɔgɔ	suspicious
ka mɛn	sustain
min bi mɛn	sustainability
min be mɛn	sustainable
kado	swag
kunu	swallow
ka falen	swap
ka kalen	swear
wɔsi	sweat
jugujugu	sweater
ka fura	sweep
aluwa	sweet
siko nɔgɔman	sweet dreams
ɲiin ɲuman	sweet tooth
dusu	sweetheart
funu	swell
funu bɛ kɛ	swelling
nage	swim
naze	swimming
bumuso	swing
felefala	swing
yɛlɛma	switch
kununen	swollen
npan	sword
sɛnboli	symbol
