a	kĩ
optimistic	gũkoragwo na mwĩhoko
option	mweke
optional	gũtiagĩrĩire
or	kana
orange	njungwa
order	mũbango
ordinary	undu andu moĩ
organization	ithondeka
orientation	mĩerekera
origin	kĩhumo
original	kĩa ma
Oromo	Oromo
orphan	mwana wa ngoriai
other	ingĩ
otherwise	kana ũndũ ũngĩ
ought	no mũhaka
our	witũ
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	Muoroto witũ: kũhotithia mũndũ o wothe, o kũrĩa guothe egũkorũo, ataũkĩrũo nĩ thĩ na arie thiomi itiganĩte.
Our mission: to organize the world's information and make it universally accessible and useful.	Muoroto witũ: kũbanga ũhoro ũrĩa ũrĩ thĩinĩ wa thĩ na kũwĩtĩkĩria ũhũthĩke na ũkinyĩre andũ othe.
out	nja
outcome	moimĩrĩra
outfit	nguo
outgoing	indo iria ithiaga
outlet	njira ya kuumira
outline	taarĩria
outside	nja
outstanding	kĩa mwanya
oven	riko
over	gũthira
over	iguru ria
over there	Kũu
overall	gĩothe
overcome	gũtooria
overthinking	gwĩciria mũno
overwhelmed	kũhinyĩrĩrĩka
overwhelming	kũneneha
owe	gũkorwo na thiirĩ
owl	ndundu
own	mũndũ mwene
owner	mwene
ox	ngʼombe
pace	kũhiũha
pack	kũbanga
package	mũrigo
paid	kũrĩha
pain	ruo
paint	rangi
painting	kũhaka rangi
pair	igĩrĩ igĩrĩ
pale	gĩtarĩ kĩnyitu rangi
palm	mũthabibũ
pan	rũgĩyo
pandemic	mũrimũ
panic	kũigua guoya
pants	mũbũto
paper	karatathi
paradise	ikenero
parallel	kũringana
parcel	mũrigo
pardon	kuohera
parents	aciari
park	mũgũnda
parrot	nyoni
parsley	mũkũyũ
part	gĩcunjĩ
participate	kũnyitanĩra
particular	mwanya
particularly	mũno
partner	mũrata
party	gĩathĩ
pass	kũhĩtũka
passage	rũgano
passage	njĩra
passed	kũhĩtũka
passion	merirĩria
passionate	kũgĩa na merirĩria
passive	gwĩtĩkĩra
password	namba ya thiri
past	tene
patch	kĩraka
path	gacĩra
pathetic	kĩeha
patience	wetereri
patient	mũrwaru
pattern	kĩonereria
pause	kũrũgama
pavement	baranda
pay	kũrĩha
payment	marĩhi
peace	thayũ
peaceful	na thayũ
peach	mũkũyũ
peak	gacũmbĩrĩ
pear	mũgũmo
peas	minji
peculiar	kĩndũ kĩa mwanya
pee	gũthuguma
peel	kũũnũra
peer	mũrata
peers	andũ a riika rĩake
pen	karamu
pencil	karamu
pending	kuigwo kando
people	andũ
pepper	biribiri
perceive	kũona
perception	ũrĩa mũndũ onaga maũndũ
perfect	gĩkinyanĩru
perform	gwĩka
performance	uruti wa wĩra
perhaps	hihi
period	ihinda
permanent	gũtũũra
permission	rũtha
permit	rũtha
perseverance	ũkirĩrĩria
persistent	gũkirĩrĩria
person	mũndũ
personal	mũndũ kĩũmbe
personality	mutugo
perspective	muonere
persuade	kũiguithia
pervert	mũndũ mũrũngĩrĩru
pet	nyamũ cia mũciĩ
phase	itĩna
phenomenon	ũndũ ũcio
philosophy	ũũgĩ
phone	thimũ
photo	mbica
phrase	kiugo
physical	mwĩrĩ
pick	gũthuura
pick up	amũkĩra
picture	mbica
piece	kienyũ
pieces	tũcunjĩ
pig	nguruwe
pigeon	ndutura
pile	kũiganĩrĩra
pillow	muto
pilot	mũtwarithia wa ndege
pin	mbini
pineapple	inanathi
pink	rangi wa pinki
pit	irima
pitch	kiharo
pitch	kĩara
pity	tha
place	handũ
places	kũndũ
plague	ihũra
plain	mwaraganu
plan	mũbango
plane	ndege
plant	mũmera
plants	mĩmera
plate	thaani
platform	kĩhaaro
play	gũthaka
playing	gũthaka
pleasant	gũkenia
please	ndagũthaitha
pleased	nĩakenete
pleasure	mwago
pledge	kwĩrĩra
plenty	nyingĩ mũno
plot	mũgũnda
plug	gathĩka
plum	mbegũ
plumber	bũndi wa miberethi
plural	wũingĩ
podcast	tabarĩra
poem	irebeta
poetry	ũgani wa marebeta
point	handũ
poison	thumu
police	thigari
policy	watho
polite	muhoreri
pollution	ũthũkangio
pond	gĩthima
pool	gĩthima kĩa maaĩ
poop	mai
poor	mũthĩĩni
pop	mũgambo
popular	gũkorwo wi na gatũ
population	ũingĩ wa andũ
pork	nyama cia nguruwe
porridge	ũcũrũ
port	gĩcukĩro kia meri
position	namba
positive	kwagirira
possess	kũgĩa na
possession	gũkorũo na indo
possessive	kũgĩa na indo
possible	kũhoteka
post	uhoro mwandike
postpone	gũtĩria
potato	waru
potential	ũhoti
pound	mũcaara
poverty	thĩina
power	hinya
powerful	wi na hinya
practical	maũndũ ma gwika
practice	kũruta
praise	kũgooca
prank	mũhĩnga
pray	kũhoya
precious	ma goro
precise	njĩra ngũhĩ
precisely	na njĩra ngũhi
predict	kũratha
prefer	nĩ kaba
preference	kwenderera
pregnant	kũgĩa ihu
prejudice	mũthutũkanio
premises	wũikaro
premium	mũhothi
preparation	kũhaarĩria
prepare	kũhaarĩria
prepared	ĩhaarĩirio
preposition	kiugo kĩrĩa gĩukaga mbere ya ciugo ingĩ
presence	gũkorũo kuo
present	gũkorwo kuo
presentation	mutaratara wa rĩarĩria
preserve	kũgitĩra
president	mũtongoria wa bururi
press	kũhihinya
pressure	gĩthũri
pretend	gwĩtua
pretty	nĩ mũthaka
prevent	gwĩthema
previous	mbere ĩyo
prey	nyamũ nyite
price	thogora
pride	mwĩtĩo
priest	mũthĩnjĩri Ngai
primary	gĩkĩro kĩa mũthingi
prime	mũnene
princess	muirĩtu wa mũthamaki
principal	mũnene
prior	mbere
priority	mweke wa mbere
prison	njera
privacy	ũgitĩri
private	kiumbe
privilege	gĩtĩo
prize	kĩheo
probably	no kũhoteke
problem	thĩna
procedure	mutaratara
proceed	thiĩ na mbere
process	mutaratara
produce	irio
product	indo
production	ũthondeki
profession	wĩra
professional	wĩra-inĩ
profile	ũhoro wa mũndũ
profit	baita
profound	ũndũ mũnene
progress	ũthiĩ wa na mbere
project	mũbango wa wira
prominent	mũndũ ũrĩ na igweta
promise	kĩĩranĩro
promote	gũtwarithia na mbere
promotion	gũkũria
prompt	gũcũngiriria
prone	ũhotekeku
pronouns	ciugo iria irũgamagĩrĩra ciugo ingĩ
pronunciation	gũtamũka
proof	ũira
proper	ũrĩa wagĩrĩire
properly	wega
properties	indo
property	kĩndũ
proposal	rĩandekithia
prospect	mwerekera
prosperity	ũgaciru
prosperous	na marĩ na ũtonga
protect	kũgitĩra
proud	ni ari mwitiyo
prove	kuonania
provide	kũhe
provided	gũtũhe
province	gĩcigo
provision	kũheana
puberty	ũkũrũ
public	mũingĩ
pull	kũgucia
pumpkin	irenge
punctual	kũhinga mahinda
pupil	mũrutwo
purchase	kũgũra
pure	gĩtheru
purple	rangi wa papũ
purpose	muoroto
purse	kabeti
pursue	gũthingata
pursuit	gũthingata
push	gũthingata
put	kũiga
qualification	gĩkĩro gĩa kwagĩrĩra
quality	gikiro
quantity	mũigana
quarantine	kũhingirwo mwanya
quarrel	ngarari
quarter	gĩcunjĩ kĩa inya
Quechua	Quechua
queen	mũtumia wa mũthamaki
query	kĩũria
question	kĩũria
queue	mũraini
quick	na ihenya
quickly	na ihenya
quiet	gukira
quilt	murĩngĩti
quit	tiga
quite	mũno
quiz	kĩũria
quotation	kũgweta
quote	kũgweta
quotes	uuge mugwete
rabbit	thungura
race	rũrĩrĩ
rage	marakara
rain	mbura
raise	kwambatira
raised	kũrerwo
ran	gũteng'era
random	hatarĩ na mũtaratara
range	ũtiganu
rapid	na ihenya
rapidly	na ihenya
rare	kĩriga
rarely	maita manini
rash	kaimbo
rat	mbĩya
rate	gikiro
rather	handũ ha ũguo
ratio	ũigana hari kuringithania
rational	kĩhoto
raw	gĩthi
reach	gũkinya
reached	gũkinya
reaction	gũcokia ciũria
read	gũthoma
reading	gũthoma
ready	nĩhaarĩirie
real	ma
reality	maũndũ ma ma
realize	kũmenya
realized	gũkuokirwo
really	Ma nĩ atĩ
rear	thutha
reason	gĩtũmi
reasonable	ũigananĩru
recall	kũririkana
receipt	kwamũkĩra
receive	kwamũkĩra
received	kwamukira
recent	ica ikuhĩ
recently	ica ikuhĩ
reception	kwamũkĩra
recipe	mũtaratara wa kũruga
reckless	ũtarĩ na kĩharĩro
recognition	kũmenyeka
recognize	gũtambũra
recommend	kũruta mendikithia
recommended	kwandĩkithio
record	rekondi
recover	kũhona
recovery	gũcokia
rectangle	ta gathandũkũ
red	mũtune
redeem	kũgũra
redemption	ũhonokio
reduce	kũnyiihia
redundant	gũcokera
refer	kũgweta
reference	ũhoro
reflect	kũonania
reflection	kũonania
refrain	kũgiria
refrigerator	kĩndũ gĩa gwĩkĩra heho
refund	gũcokia mbeca
refuse	kũrega
refused	nĩ aregete
regard	uhoro wiigie
regarding	ũhoro-inĩ wĩgiĩ
regardless	gũtekũmakania
regards	ngatho
region	gĩcigo
register	kwandikithia
regret	kwĩrira
regular	kaingĩ
regularly	maita maingĩ
reject	kũrega
relate	gũtarania
related	maũndũ megiĩ
relationship	ũkuruhanu
relative	mũndũ wa mucii
relatives	andũ a bamĩrĩ
relax	hurũka
release	kũrekererio
released	kũrekererio
relevant	ũhoro wa ma
reliable	kwĩhokeka
relief	kũhonokio
relief	uteithio
relieve	kũhonokia
relieved	kũrekererio
religion	ndini
religious	ndini
reluctant	kũrega
rely	kwĩhoka
remain	gũikara
remaining	gĩcunjĩ kĩrĩa gĩtigarĩte
remarkable	ũndũ wa mwanya
remedy	kĩhonia
remember	ririkana
remind	kũririkania
reminder	kũririkania
remote	kũraihu
remove	kweheria
render	gũcokia
rent	marĩhi ma nyumba
repair	gũthondeka
repeat	gũcokera
replace	ithenya rĩa
reply	macokio
report	riboti
represent	kũrũgamĩrĩra
reputation	rĩĩtwa
request	kũhoya
require	kũbatarania
required	kũbatarania
rescue	kũhonokia
research	ũthuthuria
resemble	kũhaana
resentment	kũrakara
reservation	kũiga kando
reserve	kuiga
resident	mũtũũrĩ
resign	gũtiga wĩra
resilience	ũmĩrĩru
resilient	kũrũma
resist	kũregana
resistance	kũregana
resolution	itua
resolve	gũtua itua
resort	mũkawa
resources	indo
respect	gitiyo
respond	macokio
response	macokio
responsibility	itemi
responsible	ũrĩa ũraruta wĩra
rest	kũhurũka
rest in peace	hũrũka thayũ
restaurant	mũkawa
restore	gũcokia
restrict	kũgiria
result	maumirira
results	moimĩrĩra
resume	gucokerera
retail	indo cia kwendia
retain	gũikara
retention	kũiga
retired	ũtigĩte wĩra
retreat	gũcokerera
retrieve	gũcokia
return	gũcoka
reveal	kũguũria
revealed	kũguũrĩrio
revenge	kwĩrĩhĩria
revenue	mbeca cia igoti
reverse	kũgarũrũka
review	kũrora
revise	gũcokera
revision	ũthuthuria
revolution	ũgarũrũku
reward	kĩheo
rhythm	rũgambi
rib	mbaru
rice	mucere
rich	gĩtonga
rid	kũniina
ride	gũtwarana
ridiculous	gĩthekania
right	ũguo nĩguo kwagiriire
right now	o rĩu
rigid	kĩrũmu
ring	gĩcũhĩ
rinse	gũkamura
riot	ngũĩ
rip	kũguraria
ripe	kwĩruha
rise	kwambata
risk	ũgwati
rival	thũ
river	rũũĩ
road	barabara
roast	gũcina
robust	kiri na hinya
rock	ihiga
rod	cuma
role	itemi
roll	kũgaragara
roof	mambarita
room	nyũmba
root	mũri
rope	mũkwa
rotten	gũbutha
rough	kuumu
roughly	hakuhĩ
round	gĩthioruri
route	barabara
routine	mũtugo
row	muhari
rub	gũthugua
rubber	raba
rubbish	kĩara
rude	kung'athia
rug	gĩtambara
ruin	gũthũkia
rule	gũtongoria
ruler	mwathani
rules	mawatho
run	guteng'era
running	gũteng'era
rural	gĩcagi
rush	kũhiũha
sack	ikũnia
sack	gũbuta wĩra
sacred	gĩtheru
sacrifice	igongona
safe	na ũgitĩri
safe flight	rũgendo rũrĩ na ũgitĩri
safety	ũgitĩri
sage	ũũgĩ
said	akiuga
sail	kĩara
sailing	gũtwarithia marikabu
sake	nĩ undu wa
salary	mũcara
sale	kwendia
salmon	thamaki
salt	cumbĩ
same	o ro ũguo
Same here	O na niĩ noguo
sample	kĩonereria
sand	mũthanga
Sanskrit	Sanskrit
sarcastic	kũhũthia
sassy	gĩcamba
sat	gũikara
satisfaction	ũiganiru
satisfied	kũiganĩra
satisfy	kũiganĩra
satisfying	wũiganĩra
Saturday	Mũthenya wa jumamothi
savage	ũũru mũingĩ
save	kũhonokia
saw	kĩara
saw	kuona
say	kuuga
scale	ratiri
scam	ngungo
scar	kĩrema
scarce	ũnyihu
scared	gwitigira
scarf	kĩremba
scary	nĩ wa kũmakania
scattered	kũhurunjũka
scene	handu
scenery	handũ
scent	mũtararĩko
schedule	mũtaratara
school	cukuru
science	sayansi
scientist	mũrutani wa maũndũ ma sayansi
scientists	athomi aa maundu ma sayansi
scissors	magathĩ
scold	kũnegenia
scope	kĩhumo
score	kũingiria
scrap	gĩko gĩa cuma
scratch	gũkũrũta
scream	gũkaya
screen	gĩcicio
screw	gĩcuhi
script	rũgano rwandike
sea	iria
seal	muhũri
search	gũcaria
season	ihinda rĩa mwaka
seat	gĩtĩ
second	gĩa kerĩ
secret	hitho
section	gĩcigo
secure	na ũgitĩri
security	ũgitĩri
see	kuona
see you	nĩ tũkũonana
see you later	nĩtũcemanie thaa ingĩ.
see you soon	Nĩtũcemanie ica ikuhi
see you tomorrow	tũkonana rũciũ
seed	mbegũ
seek	gũcaria
seem	nĩ ta
seems	nĩ ta
seen	kuona
seize	kũoya
seizure	kũoya
seldom	ti kaingĩ
select	thuura
self	we mwene
self healing	kwĩhonia
selfish	kwĩyenda
sell	kwendia
send	gũtũma
send me your picture	ndũmĩra mbica yaku
senior	mũnene
sense	wĩcirio
sensible	na njĩra njega
sensitive	kũigua ũũru
sent	gũtũma
sentence	mũhari
sentences	mĩhari
separate	gũtigana
Sepedi	Sepedi
september	mweri wa kenda
sequence	marũmagĩrĩra.
series	ĩcunjĩ irũmanĩrĩire
serious	kĩritũ
seriously	na ma
serve	gũtungata
service	ũtungata
session	ihinda
set	kũiga
set up	kũhaarĩria
setting	kũiga
settle	gũikarania
seven	mũgwanja
seventeen	ikũmi na mũgwanja
seventy	mĩrongo mũgwanja
several	nyingi
severe	mũritũ
sew	gũtuma
sh	ki
shade	kĩĩruru
shadow	kĩĩruru
shake	kũinainia
shall	no mũhaka
shallow	itarĩ na ũrikũru
shame	thoni
shape	mũhianĩre
share	gaya
share	gĩcunji
sharp	kĩũgĩ
she	we
she has	nĩ arĩ
she is	nĩ we
shed	kiugũ
sheep	ngʼondu
sheet	karatathi
shelf	gathandũkũ
shell	ngothi nyũmũ
shelter	ha gũikara
shield	ngoo
shift	gũcenjia mwerekera
shine	cangarara
ship	meeri
shipping	gũkuwa mĩrigo
shirt	cati
shoes	iraatũ
shoot	kũhũũra
shop	nduka
shopping	kũgũra
shore	hũgũrũrũ-inĩ
short	gikuhi
shortage	kwaga
shot	kũhũũrũo
should	no mũhaka
shoulder	kiande
shout	kũgũthũka
show	onania
show me	nyonia
shower	gwĩthamba
shrimp	ndinoho cia maaĩ-inĩ
shrink	kũnyiha
shut	kũhingwo
shut up	kira
shy	kũigua thoni
sibling	mũndũ wa nyina na mũndũ
siblings	ciana cia nyina ũmwe
sick	kũrũara
side	mwena
sigh	kũhooya
sight	kuona
sightseeing	gũceera kũndũ
sign	kĩmenyithia
signature	thaĩri
significant	cia bata
silence	gũkira
silent	gũkira
silk	hariri
silly	ũkĩgu
silver	betha
similar	o ta ũguo
simp	muhũthũ kĩwendo
simple	kĩhũthũ
simultaneously	hĩndĩ ĩmwe
since	kuuma hĩndĩ ĩyo
sincere	na ma
sincerely	ndĩ na ma
sing	kũina
singer	mũini
single	mũndũ ũmwe
sink	kũrikĩra
sink	gĩthima
Sir	Mũthuri
sister	mwarĩ wa nyina
sister in law	mwarĩ wa nyina
sit	gũikara thĩ
site	gĩikaro
situation	maũndũ
six	ithathatũ
sixteen	ikũmi na ithathatũ
sixty	mĩrongo ĩtandatũ
size	ũigana
skill	ũhoti
skills	ũhoti
skin	ngothi
skinny	mũhinju
skip	kũrũga
skirt	nguo ya thikati
sky	matu
slave	ngombo
sleep	gũkoma
sleeping	gũkoma
sleepy	ndi na toro
sleeve	guoko kwa nguo
slice	tinangia
slice	gĩcunjĩ
slide	teretha
slightly	hanini
slim	mũhinju
slip	gũteretha
slope	mũharuruko
slot	mweke
slow	kahora
slowly	o kahora
small	nini
smart	githaka
smell	mũnungo
smile	gũkenga
smoke	ndogo
smooth	kihoro
snack	kĩndũ gĩa kũnyuanĩria
snail	ndinoho
snake	nyoka
snap	kuuna
snow	mbarabu
so	nĩ ũndũ ũcio
so cute	githaka mũno
so far	nginya rĩu
soak	kũrinda
soap	thabuni
sober	atarĩ na njohi
soccer	mũbira wa magũrũ
social	maũndũ-inĩ ma mĩikarĩre
society	mũtũũrĩre wa andu
socks	thogithi
soft	kĩororo
software	programu
soil	tĩri
sold	kwendia
sold out	nĩ ithĩrĩte
soldier	mũthigari
sole	ikinya
solid	nyũmũ
solution	anja
solve	kũniina
some	amwe
some	imwe
somebody	mũndũ
somehow	na njĩra ĩmwe kana ĩngĩ
someone	mũndũ mũna
something	kĩndũ
sometimes	rĩmwe na rĩmwe
song	rwĩmbo
soon	ica ikuhĩ
sophisticated	kĩũru
Sorani	Sorani
sore	ruo
sore throat	ruo rwa mũmero
sorrow	kĩeha
Sorry	Nĩ ndacũnga mũhera
sort	gũcaria
sought	gũcaria
soul	ngoro
soulmate	mũrata wakwa wa ngoro
sound	mũgambo
soup	thũbũ
sour	kĩrurũ
source	kĩhumo
south	mwena wa gũthini
space	rĩera
space	bathi
spam	ndũmĩrĩri njũru
span	ihinda rĩayo
Spanish	Kĩhisipania
spare	gĩcunjĩ gĩa kũgarũrĩra
speak	kwaria
special	mwanya
species	mĩthemba
specific	mwanya
spectacular	nĩ kĩene mũno
speech	mĩario
speechless	ndarĩ ũndũ angĩkiuga
speed	ihenya
spell	ũrogi
spend	kũhũthĩra
spent	ĩhũthĩrĩtwo
spicy	kĩrũrũ
spike	kwambatira
spin	gũthiũrũkia
spinach	nyeni
spirit	roho
spit	gũtua
splendid	nĩ mwega mũno
split	kũgayania
spoil	gũthũka
spoiled	gũthũkio
spontaneous	kwĩrehe
spoon	gĩciko
spot	handũ
spouse	mũthuri kana mũtumia
spread	gũtherema
spring	gathima
square	kĩhaaro
squeeze	kũhihinya
squid	muthemba wa thamaki
squirrel	ngaara
st	njira
stab	gũtheca
stable	kĩrumu
stack	kũbanga
staff	aruti aa wĩra
stage	ngathĩ
stain	gĩcamba
stairs	ngathĩ
stake	nyama
stalk	honge
stall	thitoo
stamp	mũhũri
stand	kũrũgama
standard	ithimi
star	njata
start	kwambĩrĩria
started	kwambĩrĩria
starving	ng'aragu
state	uria kuri
state	bũrũri
statement	kiugo
station	gĩcagi
statue	mũcongo
status	uhoti
stay	ikara
stay safe	ikaraga wĩhũgĩte
steady	ĩrũmanĩrĩire
steak	nyama ĩtari ĩhĩndĩ
steal	kũiya
steam	rũhuho
steel	cuma
steep	kĩharũrũka
stem	mũtĩ
step	ikinya
stick	kamuti
stiff	kũrũma
still	o na rĩu
sting	kũratha
stingy	ũrĩ na wairu
stir	gũkoroga
stock	indo cia kwendia
stolen	kũiywo
stomach	nda
stone	ihiga
stood	kũrũgama
stool	gĩtĩ
stop	tiga
storage	kũigwo
store	nduka
storm	kĩhuhũkanio
story	rũgano
stove	riko
straight	irungiririo
straightforward	ĩmwe kwa ĩmwe
strain	kũgiyika
strange	ũndũ wa kiriga
stranger	mũgeni
strategy	rĩthugunda
straw	nyeki
strawberry	ndare
streak	rũrigi
stream	rũĩ
street	ituura
strength	hinya
stress	mĩtangiko
stretch	gũtambũrũkia
strict	kũrũma
strike	kũgoma
string	rũrigi
strip	rũrigi
strive	kwĩrutanĩria
stroke	kũgũrũ
strong	hinya
struck	kũhũũrũo
structure	mwako
struggle	kũgiginyana
struggling	kuhiũrania
stubborn	mung'athia
stuck	gukwama
student	mũrutwo
study	guthoma
studying	gũthoma
stuff	indo
stunning	kũgegania
stupid	kĩrimũ
style	mwĩhumbĩre
subject	ithomo
submission	kwĩheyana
submit	kũneyana
substance	kĩndũ
substitute	ithenya
subtle	ũndũ mũritu
succeed	kũgaacĩra
success	kũgaacĩra
successful	kũgaacĩra
such	ta ũguo
such as	ta ũguo
suck	kũonga
sudden	o rĩmwe
suddenly	o rĩmwe
suffer	kũnyamarĩka
suffering	mĩnyamaro
sufficient	kũigana
sugar	cukari
suggest	gũtaarĩria
suggestion	rĩandĩkithia
suit	thuti
suitable	kiagiriire
suitcase	ithandũkũ
sum	ithabu
summary	na njĩra nguhĩ
summer	hĩndĩ ya riũa
summit	mũcemanio
sun	riũa
sunday	mũthenya wa kiumia
sunny	riũa
sunset	riũa rĩathũa
sunshine	riũa
super	njega mũno
superior	mũnene
supervisor	mũrori
supper	irio cia hwaĩ-inĩ
supply	gũtwara
support	ũteithio
suppose	ta wĩcirie
supposed	ũrĩa wagĩrĩirũo
sure	nĩ ma
surface	handu
surge	kũingĩha
surgery	gũthinjwo
surname	rĩĩtwa rwa muhĩriga
surprise	kũgegia
surprised	nĩ ndaamakire
surrender	kwĩrekereria
surrounding	gũikarania
surveillance	kũrorwo
survey	ũthuthuria
survive	gũtũũra muoyo
suspect	gwĩkuĩra
suspect	mwĩkuĩrwo
suspended	kũrũgamio
suspicious	kũgĩa na nganja
sustain	gũtũũria
sustainability	ũthii wa na mbere
sustainable	ũkinyanĩru
swag	ũthaka wa mwihumbĩre
swallow	kũmeria
swap	kũgarũra
swear	kwĩhĩta
sweat	thigino
sweater	nguo ya kwĩhumba
sweep	kũhata
sweet	cama
sweet dreams	iroto njega
sweet tooth	igego ri na cama
sweetheart	mwendwa wakwa
swell	kũimba
swelling	kũimba
swim	gũthambĩra
swimming	gũthambĩra
swing	gũcuha
swing	mũcuha
switch	kũgarũra
swollen	kũimba
sword	rũhiũ rwa njora
symbol	rũũri
sympathy	kũiguĩra andũ tha
symptoms	ndariri
system	mũtabarĩre
table	metha
tackle	kũhũũra
tag	gĩcũhĩ
tail	mũting'oe
take	kuoya
take away	gũthii na cio
take care	kwimenyerera
take off	kũũmbuka
taken	kũoywo
talk	kwaria
talkative	mwaria
tall	mũraihu
tap	kũgũtha
tap	mũberethi
tape	mũkwa
target	muoroto
task	wĩra
taste	mũcamo
tasty	kĩna cama
taught	kũruta
tea	cai
teach	gũthomithia
teacher	mwarimũ
team	timũ
tear	gũtĩnika
tear	rĩithori
tears	maithori
tease	gũthakia
technology	tekinoronjĩ
teeth	magego
tell	mwĩre
tell me	ta njĩĩra
temper	marakara
temperature	rĩera
temple	hekarũ
temporary	cia kahinda
ten	ikũmi
ten thousand	ngiri ikũmi
tenant	mũkombori
tend	kũrora
tendency	mĩerekera
tender	hũthũ
tender	tha
tense	guoya
tension	marakara
tent	hema
tentative	gĩkĩrĩre nganja
term	tamu
terms	mawatho
terrible	ũrũ mũno
terrific	nĩ wega mũno
territory	gĩcigo
test	kĩgerio
text	ũhoro mwandike
than	gũkĩra
thank	nĩ ngatho
thank you	nĩ ngatho
Thank you for your patience while we investigate shipment	Nĩ ngatho nĩ ũndũ wa wetereri waku o tũgĩthuthuria ũhoro wigii murigo ucio
thank you so much	nĩ ngatho mũno
thank you very much	nĩ ngatho mũno
thanks	nĩ ngatho
Thanks for using our app	Nĩ ngatho nĩ kũhũthĩra app itũ
that	atĩ
that is	ũguo nĩ kuuga
that's good	ũguo nĩ wega
the	ũrĩa
theft	ũici
their	ciao
them	acio
theme	kĩongo
themselves	o ene
then	hĩndĩ ĩyo
theory	ũrutani
there	hau
there are	nĩ kũrĩ
there is	nĩ kũrĩ
therefore	nĩ ũndũ ũcio
these	ici
they	o
they are	nĩcio
thick	kĩrũmu
thief	mũici
thigh	kĩero
thin	kĩhinju
thing	kĩndũ
things	indo
think	wĩcirie
third	gatatũ
thirsty	mũnyootu
thirteen	ikũmi na ithatũ
thirty	mĩrongo ĩtatũ
this	ino
this	ũyũ
this is	ũyũ nĩ
thorough	giothe
thoroughly	na kĩyo
those	icio
though	o na gutuika
thought	riciria
thoughtful	gwĩciria
thoughts	meciria
thousand	ngiri ĩmwe
thread	rũrigi
threat	kwĩhĩtĩra
threaten	kũhinyĩrĩria
three	ithatũ
threshold	mũigana
thrilled	nĩ ndakena mũno
thrive	kũgaacĩra
throat	mũmero
through	kũgerera
throughout	kũndũ guothe
throw	gũikia
thumb	kĩara
thunder	kĩrurumĩ
Thursday	Mũthenya wa kana
thus	nikio
tick	ngũha
tide	kĩhuhukanio
tidy	gĩtheru
tie	kuoha
tiger	kanyũtũ
tight	na hinya
Tigrinya	Tigrinya
time	mathaa
timid	kĩguoya
tiny	kahengereca
tip	kĩongo
tips	mĩthiya
tire	kũnoga
tired	kunoga
tissue	nyama cia mwĩrĩ
title	rĩĩtwa
to	kũgerera
to be	gũkorwo
toast	mũgate
today	ũmũthĩ
toddler	kaana kanini
toes	ndwara cia magũrũ
together	hamwe
toilet	kĩoro
told	akĩnjĩra
tolerance	gũkirĩrĩria
tolerate	gũkirĩrĩria
tomato	nyanya
tomorrow	rũciũ
tongue	rũrĩmĩ
tonight	hwaĩ-inĩ ũyũ
too	o na niĩ
took	akĩoya
tool	indo cia wĩra
tools	indo cia wĩra
tooth	igego
top	igũrũ
topic	kĩongo
torn	gũtarurwo
torture	kũhinyĩrĩria
total	mũigana wothe
touch	kũhutia
tough	kĩrũmu
tour	gũceera
toward	kũgerera
towards	kuroreria
towel	tauro
town	taũni
toxic	thumu
trace	gwetha
track	gabara
trade	thuguri
tradition	ũndũire
traditional	cia ndũire
traffic	muthongomano wa ngari
trail	gũbuata
train	guthomithia
train	mũgithi
training	ũrutani
trait	ngumo
traits	ngumo
transfer	gũthamĩra
transition	ihinda ria ituika
translate	gũtaũra
transparent	waragania
transport	ũkuui
transportation	ũkuui
trap	mũtego
trash	gĩko
trauma	kĩmakania
travel	thii rũgendo
tray	turee
treasure	mũthithũ
treat	kũrigita
treatment	ũrigitani
tree	mũtĩ
tremendous	nĩ mũnene mũno
trend	ũrĩa maũndũ marathiĩ
trial	kigerio
trick	wara
tried	kũgeria
trigger	gũtũma undu uhanike
trim	gũceha
trip	rũgendo
trouble	mathĩna
trousers	mĩbuto
truck	ngaari
TRUE	ni ma
trunk	mbuti
trust	kwĩhoka
truth	ũhoro wa ma
try	geria
Tsonga	Tsonga
tube	baibũ
Tuesday	Mũthenya wa keri
tuition	cukuru
turkey	mbata mũcinga
turn	garuruka
turtle	nguru ya maaĩ-inĩ
tutor	mũrutani
twelve	ikũmi na igĩrĩ
twenty	mĩrongo ĩĩrĩ
twenty-one	mĩrongo ĩĩrĩ na ũmwe
Twi	Twi
twice	maita merĩ
twist	kũgarũrũka
two	igĩrĩ
type	mũthemba
typical	ũndu wa kawaida
ugly	gicong'i
ultimate	mũico
umbrella	iburi
unable	ndingĩhota
uncle	mama
unconscious	atekwimenya
under	rungu
underneath	rungu
underrated	kũhũthia
understand	gutaukirwo
understood	gũtaũkĩrwo
unfortunately	ũndũ wa kĩeha nĩ atĩ
uniform	nguo ihuanaine
unique	ya mwanya
unit	gĩthimi
unit	cekeri
university	yunivasĩtĩ
unknown	ũtoĩkaine
unless	tiga no
until	nginya
unusual	ũrĩ kĩriga
up	igũrũ
up to you	nĩ ũhoro waku
update	kũgacirithia
upgrade	kwambatia ikĩro
upon	igũrũ
upset	kũrakara
urban	taũni
urge	kwĩra andu
urgent	nĩ wa mĩtũkĩ
us	ithuĩ
use	kũhũthĩra
used	kũhũthĩrũo
useful	nĩ ũrĩ ũguni
useless	itarĩ kĩene
usual	o ta ũrĩa kwagĩrĩire
usually	kaingĩ
