abandoned	jaytanukuta
rigid	jan k'umt'kaya
ring	surtija
rinse	wasitat jarsuña
riot	jan walt'a
ripe	puquta
rip	wikhata
rise	aptaña
risk	jani walt'a
rival	ch'iqiyata
river	jawira
road	thakhi
roast	tustaña
robust	lunqhu
rock	ruk
rod	warilla
role	ruli
roll	llawu
roof	utapatxa
room	uta
root	saphi
rope	chinuña
rotten	thujsantata
rough	jan tuxatata
roughly	ñäka
round	muruq'u
route	thakhi
routine	sapür lurawi
row	siqi
rubber	phiskuña
rubbish	t'una
rub	qaqsuña
rude	qhuru
rug	jant'aku
ruin	ruyna
ruler	tupuña
rules	kamachinaka
rule	tupuña
run	jalaña
running	jalaña
rural	patatuqi
rush	t'ijuña
sack	wulsa
sacred	sakraru
sacrifice	ch'amachawi
safe	chiqa
safe flight	chiqa sartawi
safety	jark'aqawi
sage	yatiri
said	siwa
sailing	tuyuña
sail	tuyuña
sake	waliki
salary	payllawi
sale	alja
salmon	salmuna
salt	jayu
Same here	akanx kipkaraki
same	pachpa
sample	uñacht'a
sand	ch'alla
Sanskrit	Sanskrita
sarcastic	thithiri
sassy	jan asxarañani
satisfaction	satisphaksyuna
satisfied	kusisita
satisfying	asikikipuni
satisfy	phuqsuyaña
Saturday	sawaru
sat	utjnuqasiwa
sausage	inwutiru
savage	salwaji
save	imaña
saw	uñjana
say	saña
scale	makhataña
scam	apaqawi
scarce	q'alt'ata
scared	mulljata
scarf	chala
scar	t'iri
scary	mulljasiri
scattered	ch'iqxtata
scene	isina
scenery	isinaryu
scent	q'aphi
schedule	wakichäwi
school	yatiqañ uta
science	sinsya
scientist	sintiphiku
scientists	yatxatatanaka
scissors	khuchhuña
scold	tuqiña
scope	purita
score	puntaji
scrap	chatara
scratch	jat'iña
scream	arnaqaña
screen	pantalla
screw	turnillu
script	wakichata
sea	lamar quta
seal	sillu
search	thaqhata
season	istasyuna
seat	qunuña
second	sijuntu
secret	jamasata
section	chiqa
secure	chiqsapuni
security	jark'aqawi
seed	jatha
seek	thaqhaña
seems	ukham
seem	taripayaña
seen	uñjata
see	uñjaña
see you	jikisñaniwa
see you later	ukat jikisiñani
see you soon	niyaw jikisiñani
see you tomorrow	arumanthiw jikisiñani
seize	umaña
seizure	kunwulsyuna
seldom	mä kuti
select	ajlliña
self healing	sansyunasita
selfish	jupatakikiri
self	ukaña
sell	aljaña
send	apayaña
send me your picture	jamuqam apayanita
senior	sinyur
sense	kunjama
sensible	sinsitiwu
sensitive	jisk'a chuyma
sent	apayata
sentences	tamanaka
sentence	urasyuna
separate	jaljata
Sepedi	Sepedi
september	sta qallta
sequence	sikunsya
series	siryi
serious	amulaqa
seriously	qhanpacha
serve	luqtaña
service	sirwisyu
session	sisyuna
setting	jak'ankiri
settle	utjnuqasiña
set up	mayjt'ayaña
set	utjnuqayaña
seven	paqallqu
seventeen	tunka paqallquni
seventy	paqallqtunka
several	juk'ampinaka
severe	siwiru
sew	ch'ukuña
shade	ch'amaka
shadow	ch'iwi
shake	thalsuña
shallow	juk'a manqha
shame	p'inqa
shape	ukhama
share	uñt'ayaña
sharp	salla
shed	kalpuna
sheep	iwija
sheet	laphi
she has	jupanx utjiwa
she is	jupawa
she	jupa
shelf	istanti
shell	kaparasuna
shelter	jark'aqasiwi
shield	iskuru
shift	turnu
shine	llijiña
ship	jach'a yampu
shipping	apaya
shirt	kamisa
shoes	sapatunaka
shoot	illapt'aña
shopping	alaña
shop	qhathu
shore	lamar quta thiya
shortage	pisthapita
short	jisk'a
shot	tiru
shoulder	kallachi
shout	arnaqaña
shower	jarisiña
show me	uñichayita
show	uñachayaña
shrimp	kamaruna
shrink	jisk'thapiña
shut	jist'antaña
shut up	amukiña
shy	asjariri
sibling	jila
siblings	jilanaka
sick	usuta
side	thiya
sigh	llakirt'asiña
sight	nayra
sightseeing	muytaña
signature	rixunta
significant	amuyaskiri
sign	rixuntaña
silence	ch'ujtata
silent	amukiña
silk	juch'usa
silly	ipi
silver	qullqi
similar	niy kipka
simple	jasa
simp	simp
simultaneously	maykiptatata
sincerely	chiqpachansa
sincere	qhana arsuña
since	ukhata
singer	jayllt'iri
sing	jaylliña
single	sapa
sink	pilita
Sir	Tata
sister in law	kuñara
sister	kullaka
site	sityu
sit	qunuña
situation	sitwasyuna
six	suxta
sixteen	tunka suxtani
sixty	suxta tunka
size	ukch'a
skill	awilirara
skills	awiliraranak
skin	janchi
skinny	t'ukha
skip	willikipaña
skirt	phalta
sky	alaxpacha
slave	jan samarayata
sleep	ikiña
sleeping	ikkasa
sleepy	sumnulintu
sleeve	manka
slice	juch'usa
slide	allqtaña
slightly	jank'akipuni
slim	juch'usa
slip	llust'aña
slope	suyt'ayat utjiri
slot	qulurara
slow	k'acha
slowly	k'achaki
small	jisk'a
smart	jiwaki
smell	mukhiña
smile	sixsi
smoke	phusaña
smooth	jasa
snack	mallinta
snail	ch'uru
snake	katari
snap	winkuña
snow	khunu
soak	chulluchiña
soap	jawuna
sober	suwryu
soccer	futwula
social	marka qamawi
society	jaqinaka
socks	miryasa
so cute	jiwakipuni
so far	sinti jaya
soft	jasa
software	software
soil	uraqi
sold	aljata
soldier	sultaru
sold out	q'alt'ata
sole	sapaki
solid	ch'ullqhi
solution	askichäwi
solve	askichaña
somebody	khithi
somehow	ukhamatwa
someone	khithi
something	kunsa
sometimes	yaqhippacha
some	yaqha
song	jaylli
soon	niyawa
sophisticated	siphistikata
Sorani	Sorani
sore throat	mallq'a usu
sore	ulsira
sorrow	llaki
Sorry	P'ampachawi
sort	may maya
sought	thaqhata
so	ukatsti
soul	ajayu
soulmate	naya kipka
sound	salla
soup	kaltu
source	phunti
sour	k'allk'u
south	aynacha
space	ispasyu
spam	jan aski kuriyu
span	awantaña
Spanish	ispañula
spare	jilt'iri
speak	arsuña
special	ispisyala
species	ispisyinaka
specific	qhana amyu
spectacular	ispiktakular
speech	arsu
speechless	jan aruni
speed	jank'aki
spell	arutaru
spend	tukhaña
spent	irataña
spicy	xaxu
spike	ispija
spinach	ch'uxña laphi
spin	muytaña
spirit	ajayu
spit	thusaña
splendid	kusapuni
split	jaljaña
spoiled	tukjata
spoil	pantjayaña
spontaneous	ispuntanyu
spoon	kuchara
spot	puntu
spouse	chacha
spread	phawatataña
spring	ch'uxñapacha
square	kuwararu
squeeze	ch'irwsuña
squid	kalamara
squirrel	ardilla
stab	jununuquta
stable	istawli
stack	pila
staff	pirsunala
stage	itapa
stain	mancha
stairs	iskalira
stake	chikachasiña
stalk	ist'aña
stall	sayt'aña
stamp	istampilla
standard	jach'a
stand	pachpankaña
started	qalltiwa
start	qalltaña
starving	manq'at awtjayasiña
star	wara wara
state	istaru
statement	qhanancht'a
station	puriñawja
statue	pachacha
status	istaru
stay safe	suyt'awiniña
stay	ukankaña
steady	jayapachataki
steak	churasku
steal	lunthataña
steam	jüri
steel	asiru
steep	warankha
stem	jark'aqaña
step	pasu
stick	wara
stiff	lawaki
still	janirawa
sting	usuchjayasita
stingy	q'awachira
stir	unxtayaña
st	kalli
stock	utjirinaka
stolen	lunthatata
stomach	puraka
stone	qala
stood	amukt'asiña
stool	jamanaka
stop	suyt'ayaña
storage	imata
store	tantaña
storm	q'ixu q'ixu
story	isturya
stove	junt'uchaña
straight	chiqaki
straightforward	chiqaki
strain	thuruchawi
strange	jan uñt'ata
stranger	mayja
strategy	mayjata
strawberry	phirisa
straw	jichhu
streak	amtata
stream	kurinti
street	kalli
strength	ch'amanchawi
stress	thithita
stretch	jiyt'aña
strict	phuqhayiri
strike	manq'at mutuña
string	karina
strip	tira
strive	ch'axwaña
stroke	t'ukhu usu
strong	ch'ullqhi
struck	nuwjata
structure	utt'ayata
struggle	ch'axwaña
struggling	ch'axwasa
stubborn	tinas
stuck	achuntata
student	yatiqiri
studying	yatiqkasa
study	yatiqaña
stuff	yä
stunning	musparkaya
stupid	ipi
style	istilu
subject	sujitu
submission	apayiwa
submit	apayaña
substance	sustansya
substitute	lantichawi
subtle	juch'usa
succeed	aski sarawiniña
successful	aski
success	kusapana
such as	ukjama
such	ukhama
suck	ch'amuña
sudden	akatjamata
suddenly	akatjamata
suffering	t'aqisiwi
suffer	t'aqisiña
sufficient	ukhaki
sugar	asukara
suggestion	amuyt'a
suggest	saña
suitable	ukatajama
suitcase	q'ipiña
suit	isi
summary	juk'achata
summer	jallupacha
summit	apachita
sum	suma
sunday	tuminku
sunny	lupintata
sunset	jayp'uru
sunshine	qhana
sun	willka
superior	jila
super	kusapuni
supervisor	uñjiri
supper	arum manq'a
supply	uchaña
support	supurtaña
supposed	inasa
suppose	ukhamsaña
sure	sijuru
surface	jach'a
surgery	khariyasiña
surge	wuritinsyuna
surname	apilliru
surprise	akatjamata
surprised	akatjamarstayata
surrender	qarjasiña
surrounding	puriñawjanaka
surveillance	uñch'ukiña
survey	jiskt'awi
survive	jakapachaña
suspect	amuyaña
suspended	suyt'ata
suspicious	pächasita
sustainability	yanapasiña
sustainable	jikt'kaya
sustain	katxaruña
swag	wuta
swallow	uquntaña
swap	chhalaqa
swear	phuqhaw saña
sweater	chumpa
sweat	jump'i
sweep	pichaña
sweet dreams	suma iki
sweetheart	munata
sweet	muxsa
sweet tooth	muxsa muniri
swelling	p'usuta
swell	p'usuntaña
swimming	tuyuña
swim	tuyuña
swing	ritmu
switch	mayjt'ayaña
swollen	p'usuta
sword	ispara
symbol	chimpu
sympathy	kumpasyuna
symptoms	usuta
system	sistima
table	kumpurilla
tackle	qalltaña
tag	chimpu
tail	wich'inkha
take away	apaña
take care	askin uñjasiña
taken	umata
take off	apaqaña
take	umaña
talk	arsuña
talkative	aruskipiri
tall	pata
tape	sinta
tap	llamkt'aña
target	amta
task	tariya
taste	sawura
tasty	muxsa
taught	yatichtwa
teacher	yatichiri
teach	yatichaña
team	tama
tear	jacha
tears	jacha
tease	phastiryaña
tea	tiyi
technology	tiknulujiya
teeth	laka ch'akhanaka
tell me	sita
tell	saña
temperature	timpiratura
temper	timpiramintu
temple	yupaychañ uta
temporary	pachaki
tenant	arintjiri
tendency	munatarjama
tender	lisitasyuna
tend	janaña
tense	thurt'asita
tension	ch'amampi
tentative	ukaspa janispa
tent	ch'iwt'ayañ uta
ten thousand	tunka waranqa
ten	tunka
term	aru
terms	arunaka
terrible	phiru
terrific	phantastico
territory	uraqi
test	yant'a
text	panka
thank	paychaña
Thanks for using our app	Walik aplikasyunax apnaqtaxa
thanks	pay suma
than	kuna
Thank you for your patience while we investigate shipment	Suyt'awimatx pay suma ukhakamax apayawit jiskxatañani
thank you	pay suma
thank you so much	pay suma
thank you very much	pay suma
that is	ukawa
that	kuna
that's good	walikiwa
theft	lunthatata
their	jupankirinaka
the	jupa
theme	timatika
them	jupanakaru
themselves	jupanak pachpa
then	ukata
theory	qillqataki
there are	utji
therefore	ukhamipanxa
there is	utji
there	khayana
these	akanaka
they are	ukhamapxiwa
they	jupanaka
thick	thuru
thief	lunthata
thigh	chichi
things	yanaka
thing	yä
thin	juch'usa
think	lup'iña
third	kimsïri
thirsty	pharkatata
thirteen	tunka kimsani
thirty	kimsa tunka
this	aka
this is	akawa
thorough	jark'ata
thoroughly	khuskhachiri
those	jupanaka
though	sipansa
thought	amuyu
thoughtful	amuyt'awi
thoughts	amuyunaka
thousand	waranqa
thread	ilu
threat	asxarayawi
threaten	asxarayaña
three	kimsa
threshold	umral
thrilled	inkantaru
thrive	qamiriptaña
throat	mallq'a
throughout	akata jayaru
through	uksatuqi
throw	jaqtaña
thumb	jach'a luk'ana
thunder	q'ixu q'ixu
Thursday	juwisa
thus	akhamatjama
tick	chimpuña
tide	mariya
tidy	q'umachasiri
tie	chinuntaña
tiger	titi
tight	mulljata
Tigrinya	Tigrinya
time	pacha
timid	asxariri
tiny	jisk'aki
tip	amuyt'a
tips	amuyunaka
tired	qarita
tire	niwmatiku
tissue	p'itata
title	titulu
to	a
toast	jamp'ita
to be	ukhamaña
today	jichhüru
toddler	jisk'a yuqall wawa
toes	kayu luk'ana
together	taqini
toilet	litrina
told	siwa
tolerance	suyt'a
tolerate	suyt'aña
tomato	tumati
tomorrow	qharüru
tongue	aru
tonight	esta noche
took	umi
tool	iraminta
tools	iraminta
tooth	k'achi
too	ukakipkaraki
top	alaya
topic	tima
torn	jat'irata
torture	yanqhachaña
total	taqpacha
touch	tuki
tough	ukatsa
tour	sarata
towards	uksaru
toward	uksaru
towel	wañsuyasiña
town	marka
toxic	tuxiku
trace	rastru
track	uñakipaña
trade	aljawi
traditional	sarawi
tradition	sarawi
traffic	sarnaqawi
trail	thakhi
train	chhukhuchhukhu
training	yatichawi
trait	rasju
traits	uñstirinaka
transfer	maysarstayaña
transition	majt'ayaña
translate	jaqukipaña
transparent	qhana
transportation	k'añasku
transport	k'añasku
trap	tarampa
trash	t'una
trauma	trawmawa
travel	ch'usasiwi
tray	watiyu
treasure	ujirinaka
treatment	tratamintu
treat	uñt'aña
tree	quqa
tremendous	jach'a
trend	tendencia
trial	yant'a
trick	truku
tried	yant'iwa
trigger	utjayaña
trim	khuchjaña
trip	ch'usasiwi
trouble	jan walt'a
trousers	pantalunanaka
truck	jach'a pachaxchu
true	chiqa
trunk	trumpa
trust	kumphiyansa
truth	chiqa
try	yant'aña
Tsonga	Tsonga
tube	tuwu
Tuesday	martisa
tuition	matrikula
turkey	pawu
turmeric	sirkuma
turn	k'umt'ayaña
turn	q'imt'aña
turtle	turtuja
tutor	tutur
twelve	tunka paya
twenty-one	pä tunka mayani
twenty	pä tunka
twice	pä kuti
twist	muytaña
Twi	Twi
two	paya
type	kasta
typical	kikipa
ugly	phiru
ultimate	qhipa
umbrella	parawanaka
unable	jan atiri
uncle	tiyu
unconscious	jan amuyuni
under	aynacha
underneath	manqha
underrated	wali yäqata
understand	amuyaña
understood	amuytwa
unfortunately	jan wakiskiri
uniform	uniphurmi
unique	mayaki
unit	mayaki
university	jach'a yatiqañ uta
unknown	jani uñt'ata
unless	juk'ampinsa
until	kama
unusual	janapanaqaña
up	alaya
update	jichhakiptayaña
upgrade	waliki
upon	patxa
upon	suwri
upset	usuchjata
up to you	jumaw amuyata
urban	urwanu
urge	jank'aki
urgent	jank'aki
use	apnaqaña
used	apnaqata
useful	wakiskiri
useless	inamaya
us	jiwasaru
usually	jilpachaxa
usual	sapakuti
utility	apnaqkaya
vacation	samarawi
vaccination	wakunaña
vaccine	wakuna
vacuum	ch'usa
vague	jan amuykaya
valid	walikiskiwa
valley	qhirwa
valuable	wakiskiri
value	walura
variety	mayjanaka
various	walja
vary	jan kipka
vase	panqar uchaña
vast	jach'a
vegetable	ch'uxña achunaka
vegetables	ch'uxña achunaka
vehicle	k'añasku
vendor	uñch'ukiri
venom	wininu
venture	impirisa
venue	wakichawi
verify	uñakipaña
versatile	jasak tukuri
version	wirsyuna
vertical	sayt'ata
very good	walikiwa
very	wali
vessel	jach'a yampu
via	ukatuqi
vibe	q'urawa
vibes	amuyuni
vicious	munaskakiri
victim	jan walt'ayata
video	uñtaña
view	nayra
village	marka
villain	qhuru
vinegar	winajri
vintage	nayra
violence	yanqhachawi
violent	jank'aki
viral	ch'iqiyata
virgin	wirjina
virtual	llika
virtue	ch'ama
vision	uñtawi
visit	tumpa
visual	uñjata
vital	wital
vivid	qamata
vocabulary	arunaka
voice	aru
void	ch'usa
volume	wulumina
volunteer	wuluntaryu
vomit	waq'aqiña
vulnerable	mayjt'ayata
wage	payllawi
wages	payllawinaka
waist	sintura
waiter	wayna
waiting	suyaskiwa
wait	suyaña
wake	sartayaña
wake up	sartayaña
walking	sarnaqkasa
walk	sarnaqaña
wallet	willitira
wall	pirqa
wander	inakïña
wanna	muntwa
wanted	thaqhata
want	munaña
war	ch'axwa
wardrobe	plakarta
warehouse	jaytasiña
warm	junt'u
warn	amtayaña
warning	yatiyawi
warrior	ch'axwiri
wash	jariña
waste	inach'usaru
was	ukawa
watch	uñtaña
watermelon	santiya
water	uma
wave	kamisaki
way	phurma
weakness	t'ukharsta
weak	t'ukha
wealth	utjiri
wealthy	janchitakjama
wear	apnaqaña
we are	jiwasapxtanwa
wearing	apnaqata
weather	pacha
we can	atiñasawa
wedding	jaqichasiwi
Wednesday	mirkulisa
weed	qura
weekend	siman tukuya
week	simana
weight	pisu
weird	jan uñt'ata
welcome	aski jutäwi
welfare	walikiña
well done	walik lurtaxa
Well	Waliki
we	nanaka
went	ukhamawa
were	ukankanawa
west	willkajalsu
wet	junt'u
whale	wallina
what about you	kunas jumamp kamachi
what are you doing	kuns lurtä
what are you doing now	kunsa lurta
what are you doing right now	anchhitax akan kunsa luraskta
what do you do for a living	kunats jakta
what do you do	kunsa lurta
what do you mean	kamsañs munta
what do you want	kunsa munta
whatever	kunapasay
what happened	kunas kamachi
what is	kunasa
what is this	kunasa akaxa
what is your job	kunas irnaqta
what is your name	kunas sutimaxa
what	kuna
what's up	kunas kamachi
what's your name	kuna sutinitasa
wheat	tiriwu
wheel	ruyra
whenever	kunawsasa
when	kunawsa
where are you from	kawkhatatäsa
where are you	kawkhanktasa
where are you now	kawkhankis jichhaxa
whereas	ukhakama
where do you live	kawkhans jakta
where is	kawkhasa
where	kawkhana
whether	jïsa
which	kawkiri
while	ukhakamaxa
whisper	uxuri
whistle	chhurtayaña
white	janq'u
who are you	khititasa
who is	khitisa
who is this	khitisa
who	khiti
whole	ukch'a
whom	khitiru
whose	uka
why	kunata
why not	kunats janixa
wicked	malwaru
wide	jach'a
widow	ijma
width	anchu
wife	warmi
wild	yanqhachiri
willing	muniri
win	atipaña
window	wintana
wind	thaya
windy	thaya
wine	winu
winter	juyphipacha
wipe	pichaña
wire	kawli
wisdom	yatiña
wise	ch'ikhi
wish	munaña
wish you all the best	askikipan sirismawa
witch	layqa
withdrawal	ritiru
withdraw	aptaña
within	manqhana
without	jani
with	ukampi
witness	uñjiri
witty	ch'ikhi
wolf	luwu
woman	warmi
women	warmi
won	atipjiwa
wonderful	jiwakipuni
wonder	jisk'tasiña
wood	lawa
wool	t'arwa
word	aru
words	arunaka
working	irnaqkasa
work	irnaqaña
work out	wakiyaña
world	uraqpacha
worm	laq'u
worn	mirq'i
worried	llakita
worry	llakisiña
worse	juk'ampi
worship	tantasiwi
worst	juk'ampi
worth	chani
worth it	jikxatatwa
worthy	sinti wakiskiri
wound	usuchjata
Wow	Wauu
wrap	llawuntaña
wrath	phiñasiña
wrist	pulsira
Write here	Akaruw qillqtxa
write	qillqaña
writing	qillqa
written	qillqata
wrong	pantjata
wrote	qillqäna
yard	uta anqaxa
yawn	ansaraña
Yeah	jïsa
year	mara
years	maranaka
yeast	liwarura
yell	arnaqasiña
yellow	q'illu
yes baby	jisa, wawa
yes dear	jisa, munata
yes honey	jisa, munata
Yes	Jïsa
yes my love	jisa, munataja
yes of course	jisa, ukhamawa
yesterday	wasüru
yet	janïra
yield	uñt'ayaña
you are beautiful	jiwakitawa
you are	jumatawa
you are so beautiful	jiwakipunitawa
you are welcome	janiw kunatsa
you can	atismawa
you	juma
You know	yattati
young	tawaqu
young	wayna
you're welcome	janiw kunatsa
you’re welcome	janiw kunatsa
your	jupana
yourself	jumapacha
your welcome	janiw kuntsa
youth	wayna
you too	jumax kipkaraki
yummy	muxsa
zero	ch'usa
