азчыкъ	a little
урьмет	respect
джевап бермек	respond
сесленюв	response
месулиет	responsibility
месулиетли	responsible
раатланмакъ	rest
къалгъан	rest
раатланув	rest
яткъан еринъ дженнет олсун	rest in peace
мейхане	restaurant
гъайрыдан къурмакъ	restore
сынъырламакъ	restrict
акъибет	result
нетиджелер	results
резюме	resume
кутьлевий сатыш	retail
сакълап къалдырмакъ	retain
тутып къалдырма	retention
нефакъаджы	retired
кери чекильмек	retreat
гъайрыдан тиклемек	retrieve
къайтмакъ	return
мейданъа чыкъармакъ	reveal
ортагъа чыкъкъан	revealed
интикъам	revenge
келир	revenue
терс	reverse
козьден кечирмек	review
козьден кечирмек	revise
козьден кечирюв	revision
инкъиляп	revolution
мукяфат	reward
везин	rhythm
къабургъа	rib
пирнич	rice
зенгин	rich
къуртулмакъ	rid
кезинмек	ride
сачма	ridiculous
сагъ	right
акълы	right
шу дакъкъасы	right now
къатты	rigid
юзюк	ring
алкъа	ring
чайкъамакъ	rinse
фесат	riot
йыртмакъ	rip
пишкен	ripe
осюв	rise
хавф	risk
ракъип	rival
озен	river
ёл	road
къызартмакъ	roast
сагълам	robust
эджель	rock
миль	rod
роль	role
айланмакъ	roll
дам	roof
ода	room
тамыр	root
аркъан	rope
чюрюк	rotten
къаба	rough
къаба	roughly
тёгерек	round
сеяат ёлу	route
рутина	routine
сатыр	row
окъаламакъ	rub
сильгич	rubber
эски-пуськю	rubbish
акъаретлейиджи	rude
килим	rug
харапламакъ	ruin
къаиде	rule
джедвель	ruler
къаиделер	rules
чапмакъ	run
чапкъан	running
койлю	rural
аджеле	rush
ашыкъмакъ	rush
чувал	sack
мукъаддес	sacred
феда этмек	sacrifice
хавфсыз	safe
огъурлы учушлар	safe flight
хавфсызлыкъ	safety
ада чайы	sage
анъылгъан	said
деди	said
елькен	sail
денъизге чыкъмакъ	sailing
хатыр	sake
айлыкъ	salary
сатыш	sale
лосось балыгъы	salmon
туз	salt
айны	same
Айны мында	Same here
мисаль	sample
къум	sand
Санскрит тили	Sanskrit
мизахий	sarcastic
джурьатлы	sassy
отурды	sat
хошнутлыкъ	satisfaction
хошнут	satisfied
къанаатлендирмек	satisfy
къанаатлендириджи	satisfying
Джумаэртеси	Saturday
суджукъ	sausage
кийик	savage
къайд этмек	save
корьдим	saw
пычкъы	saw
айтмакъ	say
ольчев	scale
ийлекярлыкъ	scam
яра изи	scar
къыт	scarce
къоркъкъан	scared
шарф	scarf
къоркъунчлы	scary
дагъыныкъ	scattered
сана	scene
манзара	scenery
къокъу	scent
джедвель	schedule
мектеп	school
илим	science
бильги саиби	scientist
алимлер	scientists
макъас	scissors
тазирлемек	scold
микъяс	scope
баа	score
къырынты	scrap
тырнамакъ	scratch
къычырма	scream
экран	screen
винт	screw
сценарий	script
денъиз	sea
муурь	seal
къыдырмакъ	search
мевсим	season
отургъыч	seat
экинджи	second
сыр	secret
шубе	section
телюкесиз	secure
телюкесизлик	security
корьмек	see
корюширмиз	see you
кечче корюширмиз	see you later
корюшкендже	see you soon
ярын корюширмиз	see you tomorrow
урлукъ	seed
къыдырмакъ	seek
корюнмек	seem
корюне	seems
корюнди	seen
тутмакъ	seize
запт	seizure
сийрек	seldom
сечмек	select
озю	self
озь-озюни тедавийлев	self healing
нефисхор	selfish
сатмакъ	sell
йибермек	send
манъа ресиминъни ёлла	send me your picture
уйкен	senior
мана	sense
акъылгъа яткъан	sensible
сезгир	sensitive
йиберильди	sent
джумле	sentence
джумлелер	sentences
айры	separate
Сепеди тили	Sepedi
ильк кузь айы	september
ардысыралыкъ	sequence
сильсиле	series
джиддий	serious
джиддий оларакъ	seriously
хызмет этмек	serve
хызмет	service
отурыш	session
аярламакъ	set
такъым	set
тиклемек	set up
сазлама	setting
ерлешмек	settle
еди	seven
он еди	seventeen
етмиш	seventy
бир къач	several
шиддетли	severe
тикмек	sew
ш	sh
талда	shade
кольге	shadow
салламакъ	shake
оладжакътыр	shall
сай	shallow
айып	shame
сыфат	shape
пай	share
пайлашмакъ	share
отькюр	sharp
о	she
онынъ бар	she has
о	she is
аран	shed
къой	sheep
чаршаф	sheet
раф	shelf
къабурчакъ	shell
сыгъынакъ	shelter
къалкъан	shield
йылышув	shift
парылдамакъ	shine
геми	ship
теслим	shipping
кольмек	shirt
аякъкъап	shoes
атеш ачмакъ	shoot
тюкян	shop
алыш-вериш	shopping
саиль	shore
къыскъа	short
къытлыкъ	shortage
атыш	shot
япмалы	should
омуз	shoulder
къычырмакъ	shout
косьтермек	show
темаша	show
косьтер манъа	show me
душ	shower
креветка	shrimp
букшеймек	shrink
къапатмакъ	shut
сус	shut up
утанчакъ	shy
къардаш	sibling
догъмуш къардашлар	siblings
хаста	sick
тараф	side
оксюнмек	sigh
козетмек	sight
кезип корьме	sightseeing
ишарет	sign
имза	signature
эмиетли	significant
сессизлик	silence
сакин	silent
ипек	silk
ахмакъ	silly
кумюш	silver
ошагъан	similar
матюв	simp
саде	simple
бир вакъытта	simultaneously
берли	since
самимий	sincere
хулюскяране	sincerely
йырламакъ	sing
йырджы	singer
муджеррет	single
чиркеф ери	sink
Бей	Sir
тата	sister
корюмдже	sister in law
отурмакъ	sit
мейдан	site
ал	situation
алты	six
он алты	sixteen
алтмыш	sixty
буюклик	size
мелеке	skill
мерафет	skills
тери	skin
арыкъ	skinny
къалдырып кечмек	skip
этек	skirt
сема	sky
къул	slave
юкъламакъ	sleep
юкълагъан	sleeping
юкъулы	sleepy
енъ	sleeve
тилим	slice
таймакъ	slide
енгильден	slightly
зариф	slim
йылышмакъ	slip
джап	slope
юва	slot
яваш	slow
яваш	slowly
кичик	small
башы чалышкъан	smart
сасыкъ	smell
тебессюм	smile
тютюн чекмек	smoke
тегиз	smooth
къапынма	snack
чыкъчыкъ балабан	snail
йылан	snake
чертмек	snap
къар	snow
иште	so
пек хош	so cute
шимдилик	so far
синъмек	soak
сабун	soap
айыныкъ	sober
футбол	soccer
ичтимаий	social
джемаат	society
чорап	socks
йымшакъ	soft
язылым	software
топракъ	soil
сатылгъан	sold
эр шей сатылып битти	sold out
аскер	soldier
табан	sole
къатты	solid
иринти	solution
иритмек	solve
базы	some
бириси	somebody
насылдыр	somehow
кимдир	someone
бир шей	something
кимерде	sometimes
йыр	song
якъын арада	soon
муреккеп	sophisticated
Сорани тили	Sorani
сызлагъан	sore
богъаз агърысы	sore throat
къаарь	sorrow
Багъышла	Sorry
чешит	sort
къыдырылгъан	sought
гонъюль	soul
джан аркъадашы	soulmate
сес	sound
шорба	soup
экши	sour
менба	source
дженюп	south
кяинат	space
спам	spam
кемер	span
Испанджа	Spanish
едек	spare
лаф этмек	speak
махсус	special
тюрлер	species
хусусий	specific
тесирли	spectacular
нутукъ	speech
сессиз-солукъсыз	speechless
сурьат	speed
ариф-ариф анълатмакъ	spell
масраф этмек	spend
сарф этильген	spent
аджджы	spicy
мамуз	spike
айланма	spin
испанакъ	spinach
рух	spirit
тюкюрмек	spit
корьгемли	splendid
ярмакъ	split
бозмакъ	spoil
бозукъ	spoiled
бирден	spontaneous
къашыкъ	spoon
леке	spot
омюр аркъадашы	spouse
таркъатмакъ	spread
таркъалув	spread
баарь	spring
дёрткоше	square
сувыны сыкъмакъ	squeeze
мерекеп балыгъы	squid
сансар	squirrel
сокъ	st
пычакъламакъ	stab
денъишмез	stable
кебен	stack
хадимлер	staff
сана	stage
леке	stain
мердивенлер	stairs
къазыкъ	stake
сап	stalk
ахыр	stall
тамгъа	stamp
турмакъ	stand
стандарт	standard
йылдыз	star
башлама	start
башлангъан	started
ач олгъан	starving
девлет	state
ресмий бильдирме	statement
станция	station
эйкель	statue
вазиет	status
къалмакъ	stay
озюнъе мукъайт ол	stay safe
сабит	steady
кебап	steak
хырсызламакъ	steal
був	steam
челик	steel
тик	steep
негиз	stem
адым	step
тыкъмакъ	stick
чубукъ	stick
къатты	stiff
аля даа	still
чакъмакъ	sting
саран	stingy
къарыштырмакъ	stir
ихтият	stock
чалынгъан	stolen
ашкъазан	stomach
таш	stone
турды	stood
курсю	stool
токътамакъ	stop
магъаза	storage
тюкян	store
фуртуна	storm
ривает	story
соба	stove
тюз	straight
саде	straightforward
кергинлик	strain
ят	strange
ябанджы	stranger
стратегия	strategy
тобан	straw
джилек	strawberry
ёлакъ	streak
яйынламакъ	stream
акъыш	stream
сокъакъ	street
къувет	strength
стресс	stress
созмакъ	stretch
талапкяр	strict
иш ташлав	strike
сатыр	string
ёлакъ	strip
тырышмакъ	strive
сыйпамакъ	stroke
кучьлю	strong
чарпты	struck
теркип	structure
куреш	struggle
курешкен	struggling
инат	stubborn
сыкъылгъан	stuck
талебе	student
араштырув	study
огренген	studying
абур-чубур	stuff
шашыртыджы	stunning
аванакъ	stupid
тарз	style
мевзу	subject
бойсунма	submission
такъдим этмек	submit
мадде	substance
тебдиль	substitute
индже	subtle
мувафакъиет къазанмакъ	succeed
мувафакъиет	success
мувафакъиетли	successful
бойле	such
киби	such as
эммек	suck
апансыз	sudden
апансыздан	suddenly
азап чекмек	suffer
къыйналгъан	suffering
етерли	sufficient
шекер	sugar
теклиф этмек	suggest
теклиф	suggestion
ярашмакъ	suit
келишкен	suitable
джемидан	suitcase
джеми	sum
къыскъа мундеридже	summary
яз	summer
юксек севиеде корюшюв	summit
кунеш	sun
базар куню	sunday
кунешли	sunny
кунь батув	sunset
кунеш нуру	sunshine
супер	super
усьтюн олгъан	superior
идареджи	supervisor
акъшам ашы	supper
тедарик этмек	supply
къол тутмакъ	support
зан этмек	suppose
сёзде	supposed
таби	sure
усть	surface
толкъун	surge
джеррахий амелият	surgery
сойады	surname
сюрприз	surprise
шашкъын	surprised
теслим олмакъ	surrender
чевре-четтеки	surrounding
козетме	surveillance
сорав	survey
сагъ къалмакъ	survive
шекленмек	suspect
асылгъан	suspended
шубели	suspicious
дестеклемек	sustain
истикърарлы	sustainability
дургъун	sustainable
пырт	swag
салланмакъ	swag
ютмакъ	swallow
алмашув	swap
ант этмек	swear
тер	sweat
свитер	sweater
сипирмек	sweep
татлы	sweet
татлы тюшлер	sweet dreams
татлы севген	sweet tooth
яр	sweetheart
къабармакъ	swell
шишик	swelling
ялдамакъ	swim
ялдав	swimming
салламакъ	swing
салынджакъ	swing
авуштырыджы	switch
шишкен	swollen
къылыч	sword
тимсаль	symbol
шефкъат	sympathy
делялетлер	symptoms
тертибат	system
маса	table
джедвель	table
огърашмакъ	tackle
тамгъа	tag
къуйрукъ	tail
алмакъ	take
алып кетмек	take away
къайгъырмакъ	take care
чыкъармакъ	take off
алынгъан	taken
къонушмакъ	talk
лафазан	talkative
узун бойлу	tall
къурна	tap
шерит	tape
бельги	target
вазифе	task
дат	taste
леззетли	tasty
огретти	taught
чай	tea
огретмек	teach
оджа	teacher
такъым	team
козьяш	tear
козьяшлар	tears
эриштирмек	tease
технология	technology
тишлер	teeth
айтып бермек	tell
айт манъа	tell me
къуй	temper
сыджакълыкъ	temperature
ибадетхане	temple
вакътынджа	temporary
он	ten
он бинъ	ten thousand
кираджи	tenant
мейиль олмакъ	tend
мейиль	tendency
ярыш	tender
кергин	tense
басым	tension
чадыр	tent
сынама	tentative
муддет	term
шартлар	terms
къоркъунчлы	terrible
къоджаман	terrific
ер	territory
тест	test
метин	text
даа	than
тешеккюр бильдирмек	thank
сагъ ол	thank you
Биз ёлланманы къыдыргъан арада сабыр эткенинъиз ичюн сагъ олунъыз	Thank you for your patience while we investigate shipment
чокъ сагъ олунъыз	thank you so much
чокъ сагъ олунъыз	thank you very much
тешеккюрлер	thanks
Илявемизни къуллангъанынъыз ичюн сагъ олунъыз	Thanks for using our app
шу	that
яни	that is
бу	that's good
яхшыдыр	that's good
хырсызлыкъ	theft
оларнынъ	their
оларны	them
фен	theme
озьлерини	themselves
бундан сонъ	then
назарие	theory
анда	there
бар	there are
бар	there is
бунынъ ичюн	therefore
булар	these
олар	they
олар	they are
къалын	thick
хырсыз	thief
баджакъ	thigh
арыкъ	thin
индже	thin
шей	thing
шейлер	things
тюшюнмек	think
учюнджи	third
сувсагъан	thirsty
он учь	thirteen
отуз	thirty
бу	this
бу	this is
чалыкъ	thorough
тамамен	thoroughly
шу	those
лякин	though
тюшюндим	thought
тюшюнджели	thoughtful
тюшюнджелер	thoughts
бинъ	thousand
йип	thread
хавф	threat
къоркъутмакъ	threaten
учь	three
босагъа	threshold
эеджанлы	thrilled
онъмакъ	thrive
тамакъ	throat
вастасынен	through
боюнджа	throughout
атмакъ	throw
баш пармакъ	thumb
кок гудюрдиси	thunder
Джумаакъшамы	Thursday
бойлеликнен	thus
ишарет	tick
артылув	tide
мисмиль	tidy
боюнбагъ	tie
къаплан	tiger
тыгъыз	tight
Тигринья тили	Tigrinya
вакъыт	time
тартынчакъ	timid
бир къарыш	tiny
бахшыш	tip
бахшышлар	tips
шын	tire
болдургъан	tired
токъума	tissue
башлыкъ	title
олмакъ	to be
къызартылгъан отьмек	toast
бугунь	today
ильк адымларыны япкъан бала	toddler
аякъ пармакълары	toes
берабер	together
кенеф	toilet
айтты	told
сабыр	tolerance
даянмакъ	tolerate
помидор	tomato
ярын	tomorrow
тиль	tongue
бу гедже	tonight
къарардан зияде	too
де	too
алды	took
алет	tool
алетлер	tools
тиш	tooth
устю	top
мевзу	topic
йыртыкъ	torn
азап	torture
топлам оларакъ	total
тиймек	touch
серт	tough
тур	tour
догъру	toward
таба	towards
ягъбез	towel
къасаба	town
зеэрли	toxic
из	trace
тар сокъакъ	track
тиджарет	trade
аньане	tradition
аньаневий	traditional
ёл арекети	traffic
из	trail
трен	train
огретюв	training
табиат чизгиси	trait
хусусиетлер	traits
ерини денъиштирмек	transfer
кечме	transition
терджиме этмек	translate
шеффаф	transparent
накълият вастасы	transport
накълият	transportation
къапкъан	trap
чёплюк	trash
травма	trauma
сеяат	travel
тепси	tray
хазине	treasure
тедавийлемек	treat
тедавийлев	treatment
терек	tree
пек буюк	tremendous
темаюль	trend
сынама	trial
ийлекярлыкъ	trick
тырышты	tried
тетик	trigger
къыркъмакъ	trim
ёлджулыкъ	trip
къыйынлыкъ	trouble
штан	trousers
юк машнасы	truck
догъру олгъан	TRUE
кевде	trunk
ишанч	trust
акъикъат	truth
тырышмакъ	try
Тсонга тили	Tsonga
бору	tube
Салы	Tuesday
талим	tuition
корель	turkey
зердечал	turmeric
бурмакъ	turn
къаплы бакъа	turtle
оджа	tutor
он эки	twelve
йигирми	twenty
йигирми бир	twenty-one
Тви тили	Twi
эки кере	twice
буклемек	twist
эки	two
тюр	type
типик	typical
чиркин	ugly
къатий	ultimate
шемсие	umbrella
япып оламай	unable
эмдже	uncle
байылгъан	unconscious
тюбюнде	under
тюбюнде	underneath
ляйыкъ къыймет кесильмеген	underrated
анъламакъ	understand
анълады	understood
языкълар олсун ки	unfortunately
униформа	uniform
бенъзерсиз	unique
ольчю бирлеми	unit
университет	university
меджуль	unknown
бу вакъыткъадже	unless
къадар	until
тааджип	unusual
юкъары	up
санъа багълы	up to you
янъартмакъ	update
юксельтме	upgrade
устюнде	upon
къасеветли	upset
шеэр	urban
тюртмек	urge
аджеле	urgent
бизни	us
къулланмакъ	use
къулланылгъан	used
файдалы	useful
нафиле	useless
басит	usual
адетиндже	usually
файда	utility
татиль	vacation
ашылама	vaccination
ашы	vaccine
вакуум	vacuum
бельгисиз	vague
акъикъий олгъан	valid
вадий	valley
къыйметли	valuable
къадирине етмек	value
чешитлик	variety
тюрлю	various
фаркълылыкъ косьтермек	vary
чичек савуты	vase
къулан	vast
себзе	vegetable
себзелер	vegetables
накълият вастасы	vehicle
сатыджы	vendor
зеэр	venom
маджера	venture
мекян	venue
тешкермек	verify
чокъ тарафлама	versatile
версия	version
тик	vertical
пек	very
пек яхшы	very good
геми	vessel
вастасынен	via
муит	vibe
ихтизаз	vibes
амансыз	vicious
къурбан	victim
видео	video
бакъыш	view
кой	village
ярамай адам	villain
сирке	vinegar
юзюм джыювы	vintage
зорбалыкъ	violence
джебрий	violent
вирус	viral
бакъире	virgin
виртуаль	virtual
фазилет	virtue
бакъыш	vision
зиярет	visit
тышкъы	visual
аятий эмиети олгъан	vital
парлакъ	vivid
тиль байлыгъы	vocabulary
сес	voice
кечерсиз	void
колем	volume
гонъюлли	volunteer
къусмакъ	vomit
имаесиз	vulnerable
мааш	wage
уджрет	wages
бель	waist
токъта	wait
аякъчы	waiter
беклев	waiting
уянмакъ	wake
уянмакъ	wake up
юрьмек	walk
юрюш	walking
дивар	wall
джюздан	wallet
доланмакъ	wander
истемек	wanna
истемек	want
истеген	wanted
дженк	war
урба долабы	wardrobe
анбар	warehouse
исси	warm
ихтар этмек	warn
тенби	warning
дженкчи	warrior
эди	was
ювмакъ	wash
бошуна сарф этмек	waste
къалымты	waste
саат	watch
бакъмакъ	watch
сув	water
къарпыз	watermelon
далгъа	wave
усул	way
биз	we
биз	we are
биз япып олурмыз	we can
зайыф	weak
зайыфлыкъ	weakness
байлыкъ	wealth
барлыкълы	wealthy
киймек	wear
урба	wearing
ава вазиети	weather
той	wedding
Чаршенбе	Wednesday
кийик от	weed
афта	week
раатлыкъ куньлери	weekend
агъырлыкъ	weight
худжур	weird
хош кельдинъ	welcome
боллукъ	welfare
Яхшы	Well
Айды	Well
аферин	well done
кетти	went
бар эди	were
гъарп	west
серс	wet
кит балыгъы	whale
не	what
я сен	what about you
не япасынъ	what are you doing
сен шимди не япасынъ	what are you doing now
шимди не япасынъ	what are you doing right now
не япасынъ	what do you do
яшамакъ ичюн не иш япасынъыз	what do you do for a living
сен не айтмагъа истейсинъ	what do you mean
не истейсинъ	what do you want
не олды	what happened
недир	what is
бу недир	what is this
ким олып чалышасынъ	what is your job
адынъ не	what is your name
не олды	what's up
адынъ не	what's your name
не де олса	whatever
богъдай	wheat
копчек	wheel
не вакъыт	when
эр вакъыт	whenever
къайда	where
сен къайдасынъ	where are you
сиз къайдан кельдинъиз	where are you from
сен шимди къайдасынъ	where are you now
къайда яшайсынъ	where do you live
къайдадыр	where is
албуки	whereas
олып-олмагъаны	whether
къайсы	which
исе	while
фысылты	whisper
сызгъырмакъ	whistle
беяз	white
ким	who
сен кимсинъ	who are you
кимдир	who is
бу ким	who is this
бутюн	whole
кимге	whom
кимнинъ	whose
не ичюн	why
неден олмасын	why not
киндар	wicked
кенъ	wide
тул къадын	widow
кенълик	width
къары	wife
кийик	wild
оладжакъ	will
азыр олгъан	willing
енъмек	win
ель	wind
пенджере	window
рузгярлы	windy
шарап	wine
къыш	winter
сюртмек	wipe
тель	wire
икмет	wisdom
икметли	wise
истек	wish
энъ эйи тилеклер	wish you all the best
джады	witch
иле	with
кери чекмек	withdraw
алып чыкъарма	withdrawal
сынъырлары ичинде	within
олмадан	without
шаат	witness
кескин акъыллы	witty
къашкъыр	wolf
къадын	woman
къадынлар	women
гъалебе къазанды	won
олмайджакъ	won't
айретленмек	wonder
муджизевий	wonderful
агъач	wood
юнь	wool
сёз	word
сёзлер	words
иш	work
ишлемек	work out
чалышкъан	working
дюнья	world
къурт	worm
йыпрангъан	worn
эеджанланды	worried
раатсызланмакъ	worry
даа бетер	worse
тапма	worship
бетер	worst
къыймет	worth
къыйметке малик	worth it
мунасип	worthy
олур	would
яра	wound
Демесе	Wow
сармакъ	wrap
гъадап	wrath
билек	wrist
язмакъ	write
Мында яз	Write here
язам	writing
язылгъан	written
янълыш	wrong
язды	wrote
азбар	yard
эснемек	yawn
Эбет	Yeah
йыл	year
йыллар	years
мая	yeast
багъырмакъ	yell
сары	yellow
Э	Yes
э, эвлядым	yes baby
эбет, джаным	yes dear
эбет, татлым	yes honey
эбет, севгилим	yes my love
э, эбет	yes of course
тюневин	yesterday
шимдилик	yet
кяр	yield
сен	you
сен	you are
сен дюльберсинъ	you are beautiful
пек гузельсинъ	you are so beautiful
бир шей дегиль	you are welcome
сен япып оласынъ	you can
Билесинъми	You know
сен де	you too
Аллах разы олсун	you're welcome
генч	young
сенинъ	your
бир шей дегиль	your welcome
озюни	yourself
яшлар	youth
Аллах разы олсун	you’re welcome
дамлы	yummy
сыфыр	zero
