drusceņ	a little
raups	rough
aptuvenai	roughly
opoļš	round
maršruts	route
rutina	routine
rynda	row
berzēt	rub
gumeja	rubber
atkrytumi	rubbish
rups	rude
pakluojs	rug
sabūjuot	ruin
lykums	rule
lineals	ruler
nūsacejumi	rules
skrīt	run
skrīnūšs	running
lauku rajons	rural
steigt	rush
maiss	sack
svāts	sacred
upers	sacrifice
drūss	safe
drūsu liduojumu	safe flight
drūseiba	safety
salveja	sage
saceja	said
buruot	sail
buruot	sailing
dieļ	sake
olga	salary
izpuordūšona	sale
lass	salmon
suoļs	salt
tys pats	same
taipoš ite	Same here
paraugs	sample
smiļkts	sand
sanskrits	Sanskrit
sarkastisks	sarcastic
oss	sassy
sēdēja	sat
apmīrynuoteiba	satisfaction
apmīrynuots	satisfied
apmīrynuot	satisfy
apmīrynūšs	satisfying
sastdīne	Saturday
deseņa	sausage
dasa	sausage
mežūneigs	savage
gluobt	save
redzēja	saw
saceit	say
svori	scale
kruopšona	scam
rāta	scar
rats	scarce
nūsabejs	scared
šaļs	scarf
baileigs	scary
izkaiseits	scattered
aina	scene
skots	scenery
smarža	scent
grafiks	schedule
škola	school
zynuotne	science
zynuotnīks	scientist
zynuotnīki	scientists
škēris	scissors
lomuot	scold
darbeibys jūma	scope
rezultats	score
atkrytumi	scrap
kaseit	scratch
klīgs	scream
ekrans	screen
skrūve	screw
scenarejs	script
jyura	sea
zeimūgs	seal
rūņs	seal
meklēt	search
sezona	season
sēdeklis	seat
ūtrais	second
nūslāpums	secret
sadaļa	section
drūss	secure
drūseiba	security
redzi	see
iz sasatikšonu	see you
redzēsimīs vāluok	see you later
dreiži sasatiksim	see you soon
sasatiksim reitā	see you tomorrow
sākla	seed
meklēt	seek
līkās	seem
līkās	seems
redziejs	seen
īkaruot	seize
lēkme	seizure
ratai	seldom
izavielēt	select
pats	self
pošatveseļuošonuos	self healing
egoistisks	selfish
puordūt	sell
syuteit	send
atsyuti maņ sovu biļdi	send me your picture
vacuokais	senior
sajust	sense
sapruoteigs	sensible
jiuteigs	sensitive
nūsyuteits	sent
teikums	sentence
teikumi	sentences
atsevišks	separate
sapedi	Sepedi
septembris	september
seceiba	sequence
sereja	series
nūpītnys	serious
nūpītnai	seriously
kolpuot	serve
apkolpuošona	service
seseja	session
komplekts	set
nūsaceit	set
sagatavuot	set up
īstatejums	setting
apsamest	settle
septeni	seven
septeņpadsmit	seventeen
septeņdesmit	seventy
vairuoki	several
gryuts	severe
šyut	sew
susātivs	shade
susātivs	shadow
krateit	shake
sakls	shallow
kauns	shame
forma	shape
figura	shape
daleit	share
oss	sharp
jei	she
jai ir	she has
jei ir	she is
škiuns	shed
nūsvīst	shed
vuška	sheep
lopa	sheet
plaukts	shelf
glīmežvuoks	shell
pajumte	shelter
aizsorgs	shield
mainēt	shift
speidēt	shine
kugis	ship
syuteišona	shipping
krakls	shirt
kūrpis	shoes
saut	shoot
veikals	shop
īsapierkšona	shopping
krosts	shore
eiss	short
tryukums	shortage
izsauts	shot
vajadzātu	should
placs	shoulder
klīgt	shout
paruodeit	show
paruodi maņ	show me
duša	shower
garnele	shrimp
sasaraut	shrink
aizvērt	shut
aizataisi	shut up
kautreigs	shy
bruoļs	sibling
muosa	sibling
bruoļs	siblings
muosa	siblings
slyms	sick
puse	side
nūpyuta	sigh
redze	sight
vītu apskate	sightseeing
zeime	sign
paroksts	signature
nūzeimeigs	significant
klusums	silence
kluss	silent
zeids	silk
nagudrys	silly
sudobrs	silver
leidzeigs	similar
vīgls	simple
vīnlaiceigi	simultaneously
kūpš	since
sirsneigs	sincere
nu sirds	sincerely
dzīduot	sing
dzīduotuojs	singer
dzīduotuoja	singer
vīns pats	single
izlītne	sink
nūgrimt	sink
kungs	Sir
muosa	sister
svaine	sister in law
sēdēt	sit
teikls	site
situaceja	situation
seši	six
sešpadsmit	sixteen
sešdesmit	sixty
izmārs	size
prasme	skill
prasmis	skills
uoda	skin
tīvs	skinny
izlaist	skip
brunči	skirt
dabasi	sky
vergs	slave
gulēt	sleep
gulēšona	sleeping
mīgains	sleepy
pīdurkne	sleeve
škiele	slice
sleidēt	slide
nadaudz	slightly
tīvs	slim
sleidēt	slip
sleipums	slope
sprauga	slot
lāns	slow
lānai	slowly
mozeņš	small
gudrys	smart
saūst	smell
smaids	smile
peipe	smoke
dyumi	smoke
peipēt	smoke
gluds	smooth
uzkūda	snack
glīmezs	snail
čyuska	snake
salyuzt	snap
snīgs	snow
tai	so
tik mīļš	so cute
tik tuoli	so far
mērcēt	soak
zīpis	soap
nadziers	sober
futbols	soccer
socials	social
sabīdreiba	society
zečis	socks
meiksts	soft
programmatura	software
zeme	soil
puordūts	sold
izpierkts	sold out
karaveirs	soldier
zūle	sole
pamata	sole
cīts	solid
rysynuojums	solution
atrysynuot	solve
daži	some
dažys	some
nazkas	somebody
nazkai	somehow
nazkurš	someone
nazkas	something
dažreiz	sometimes
dzīsme	song
dreiž	soon
izsmolcynuots	sophisticated
sorani	Sorani
suopeigs	sore
suopūšs kokls	sore throat
bādys	sorrow
atlaid	Sorry
kuortuot	sort
meklēja	sought
dvēsele	soul
dvieselis radinīks	soulmate
skaņa	sound
zupa	soup
skuobs	sour
olūts	source
dīnvydu	south
kosmoss	space
vīta	space
surogatposts	spam
izaplest	span
Spāņu	Spanish
apžaluot	spare
līks	spare
runuot	speak
eipašs	special
suga	species
eipašs	specific
izcils	spectacular
runa	speech
bez vuordu	speechless
uotrums	speed
burvesteiba	spell
izlaist	spend
tērēja	spent
oss	spicy
smaile	spike
grīztīs	spin
spinats	spinach
gors	spirit
špļaut	spit
breineigi	splendid
sadaleit	split
izaškiert	split
izbalavuots	spoil
izlutynuots	spoiled
piekšņs	spontaneous
karūte	spoon
plankums	spot
vīta	spot
veirs	spouse
sīva	spouse
izplateit	spread
pavasars	spring
kvadrats	square
kvartals	square
saspīst	squeeze
kalmars	squid
vuovere	squirrel
sadurt	stab
stabils	stable
sakraut	stack
personals	staff
skotive	stage
pūsms	stage
nateirums	stain
kuopnis	stairs
likme	stake
izsekuot	stalk
aizkavēt	stall
stends	stall
zeimūgs	stamp
stuovēt	stand
standarta	standard
zvaigzne	star
īsuokt	start
īsuokts	started
bodā	starving
stuovūklis	state
vaļsts	state
izsaceit	state
paziņuojums	statement
staceja	station
statuja	statue
stuovūklis	status
statuss	status
palikt	stay
esi drūss	stay safe
stabils	steady
steiks	steak
nūzagt	steal
tvaiks	steam
dzeļzs	steel
stuovs	steep
ceļtīs nu	stem
kuots	stem
pakuopīņs	step
kuots	stick
steivs	stiff
vys vēļ	still
īdzeļt	sting
skūps	stingy
maisēt	stir
akcejis	stock
kruojums	stock
nūzagts	stolen
vādars	stomach
akmiņs	stone
stuovēja	stood
syuds	stool
taburete	stool
apsastuot	stop
nūlyktova	storage
veikals	store
vātra	storm
stuosts	story
plita	stove
taisns	straight
taišni	straightforward
pyulētīs	strain
deivains	strange
svešinīks	stranger
strategeja	strategy
solms	straw
zemine	strawberry
sveitra	streak
straume	stream
īla	street
spāks	strength
uztraukums	stress
staipētīs	stretch
styngrs	strict
sist	strike
stričs	string
lūksne	strip
ceņstīs	strive
glaudeit	stroke
insults	stroke
spieceigs	strong
īsyta	struck
puorsteigts	struck
struktura	structure
ceiņa	struggle
ceineitīs	struggling
spīteigs	stubborn
īspryuds	stuck
students	student
vuiceitīs	study
vuiceibys	studying
lītys	stuff
pībuozt	stuff
satrīcūši	stunning
nagudrys	stupid
stils	style
prīkšmats	subject
pasakļaušona	submission
īsnēgt	submit
vīla	substance
aizvītojamais	substitute
smolks	subtle
veiktīs	succeed
panuokumi	success
sekmeigs	successful
taids	such
taidi kai	such as
syukt	suck
piekšnis	sudden
pieški	suddenly
cīst	suffer
cīsšonys	suffering
pīteikūšs	sufficient
cukrs	sugar
īsacēt	suggest
īsacejums	suggestion
kostims	suit
derēt	suit
dereigs	suitable
čemodans	suitcase
summa	sum
apkūpuojums	summary
vosora	summer
viersūtne	summit
sanuoksme	summit
saule	sun
svātdīne	sunday
saulains	sunny
saulis rīts	sunset
saulis gaisma	sunshine
super	super
puoruoks	superior
uzraugs	supervisor
vakarenis	supper
piegāde	supply
atbolsts	support
laikam	suppose
dūmojams	supposed
prūtams	sure
vierss	surface
puorsprīgums	surge
operaceja	surgery
pavuorde	surname
puorsteigums	surprise
puorsteigts	surprised
pasadūt	surrender
apuortejais	surrounding
nūvāruošona	surveillance
aptauja	survey
izdzeivuot	survive
aizdūmuos turamais	suspect
apturāta	suspended
aizdūmeigs	suspicious
uzturēt	sustain
iļgtspiejeiba	sustainability
iļgtspiejeigs	sustainable
nūreit	swallow
maineit	swap
zvērēt	swear
sveist	sweat
džempers	sweater
slaiceit	sweep
soldons	sweet
soldus sapņus	sweet dreams
soldumu āduojs	sweet tooth
meiluo	sweetheart
sapampt	swell
pampums	swelling
peļdēt	swim
peļdēšona	swimming
leigačis	swing
samaineit	switch
sapamps	swollen
zūbyns	sword
simbols	symbol
simpateja	sympathy
simptomi	symptoms
sistema	system
tabula	table
rysynuot	tackle
atzeimuot	tag
aste	tail
jem	take
atņemt	take away
pasaryupej	take care
nūjem nūst	take off
aizjimts	taken
runuot	talk
runuoteigs	talkative
garš	tall
krāns	tap
baksteit	tap
lente	tape
mierkis	target
aizdavums	task
garša	taste
gords	tasty
īvuiceja	taught
čajs	tea
viuceit	teach
školuotuojs	teacher
komanda	team
pleist	tear
osorys	tears
kircynuot	tease
tehnologeja	technology
zūbi	teeth
saceit	tell
soki maņ	tell me
temperaments	temper
temperatura	temperature
templis	temple
pagaidu	temporary
desmit	ten
desmit tyukstūšys	ten thousand
īrnīks	tenant
tendeņce	tend
tendeņce	tendency
konkurss	tender
saspriņdzs	tense
sprīdze	tension
telts	tent
provizoriski	tentative
jiedzīns	term
nūsacejumi	terms
brīsmeigs	terrible
breineigs	terrific
teritoreja	territory
puorbaudejums	test
ziņa	text
teksts	text
kai	than
paļdis	thank
paļdis	thank you
Paļdis par pacīteibu, cikom mes izmeklejom syutiejumu	Thank you for your patience while we investigate shipment
lels paļdis	thank you so much
lels paļdis	thank you very much
paļdis	thanks
paļdis, ka izmontuojot myusu aplikaceju	Thanks for using our app
tei	that
tys	that
tys ir	that is
tys ir labi	that's good
tys	the
zuodzeiba	theft
jūs	their
jī	them
tema	theme
jī poši	themselves
tod	then
teoreja	theory
tī	there
tī ir	there are
tī ir	there is
deļtuo	therefore
tī	these
juos	they
jī	they
jī ir	they are
bīzs	thick
zaglis	thief
lytka	thigh
tīvs	thin
līta	thing
lītys	things
dūmuot	think
trešais	third
izsluops	thirsty
treispadsmit	thirteen
treisdesmit	thirty
ituo	this
ituos	this
itys ir	this is
cauri	thorough
pavadēt laiku	thoroughly
tī	those
gon	though
dūma	thought
dūmeigs	thoughtful
dūmys	thoughts
tyukstūša	thousand
pavedīns	thread
drauds	threat
draud	threaten
treis	three
rūbeža	threshold
saviļņuots	thrilled
uzplaukt	thrive
reikle	throat
cauri	through
cauri	throughout
svīst	throw
eikss	thumb
pārkiuņs	thunder
catūrtdine	Thursday
deļtuo	thus
ērce	tick
plyudmainis	tide
kuorteigs	tidy
teirs	tidy
šlipse	tie
sasīt	tie
tīgers	tiger
cīšs	tight
tigrinja	Tigrinya
laiks	time
kautreigs	timid
seiks	tiny
dzeramnauda	tip
gols	tip
padūmi	tips
dzeromnauda	tips
rīpa	tire
pīkuss	tired
salvete	tissue
nūsaukums	title
iz	to
byut	to be
grauzdeņš	toast
šudiņ	today
bārns	toddler
kuoju piersti	toes
kūpā	together
tualete	toilet
sacēja	told
toleraņce	tolerance
pacīst	tolerate
tomāts	tomato
reit	tomorrow
mēle	tongue
itūnakt	tonight
ari	too
pajēme	took
reiks	tool
dorbareiki	tools
zūbs	tooth
augšā	top
temats	topic
plāsts	torn
mūceibys	torture
kūpā	total
pīskuorīns	touch
gryuts	tough
ekskurseja	tour
iz	toward
vierzīnī iz	towards
dvīļs	towel
piļsāta	town
toksisks	toxic
izsekuot	trace
izsekuot	track
trase	track
omots	trade
tierdznīceiba	trade
tradiceja	tradition
tradicionals	traditional
satiksme	traffic
styga	trail
trenētīs	train
viļcīņs	train
treneņs	training
eipašeiba	trait
eipašeibys	traits
nūdūt cytam	transfer
puoreja	transition
tulkuot	translate
caurspeideigs	transparent
transports	transport
transportēšona	transportation
lomotys	trap
musurs	trash
trauma	trauma
ceļuot	travel
papluote	tray
duorgums	treasure
gordums	treat
uorstēšona	treatment
kūks	tree
miļzeigs	tremendous
tendeņce	trend
puorbaudejums	trial
triks	trick
raudzeits	tried
īmeslis	trigger
apgrīzt	trim
ceļuojums	trip
napatikšonys	trouble
biksis	trousers
smoguo mašyna	truck
eists	TRUE
bagažnīks	trunk
ticēt	trust
patīseiba	truth
raudzeit	try
tsonga	Tsonga
caurule	tube
ūtardīne	Tuesday
vuiceibu moksa	tuition
kurkyns	turkey
kurkuma	turmeric
pasagrīzt	turn
bruņurupucss	turtle
školuotuojs	tutor
divpadsmit	twelve
divdesmit	twenty
divdesmit vīns	twenty-one
tvi	Twi
divreiz	twice
grīzt	twist
divi	two
tips	type
tipisks	typical
naskaists	ugly
galeigais	ultimate
leitasorgs	umbrella
naspiejeigs	unable
onkuļs	uncle
bez samanis	unconscious
zam	under
zam	underneath
nanūviertēts	underrated
saprast	understand
saprosts	understood
dīvamžāl	unfortunately
forma	uniform
unikals	unique
vīneiba	unit
universitate	university
nazynoms	unknown
ja viņ	unless
cikom	until
naparosts	unusual
iz augšu	up
izlem tu	up to you
atjaunynuojums	update
uzlobuojums	upgrade
iz	upon
biedeigs	upset
piļsātys	urban
mudynuot	urge
steidzams	urgent
mes	us
izmontuot	use
izmontuots	used
nūdereigs	useful
bezjiedzeigs	useless
parosts	usual
parostai	usually
lītdereiba	utility
atvalinuojums	vacation
vakcinaceja	vaccination
vakcina	vaccine
putekļu syuciejs	vacuum
naskaidrys	vague
dereigs	valid
īleja	valley
vierteigs	valuable
vierteiba	value
vysaideiba	variety
vysaidi	various
variēt	vary
vāze	vase
plašs	vast
duorziņs	vegetable
duorzini	vegetables
transportleidzeklis	vehicle
puordeviejs	vendor
iņde	venom
risks	venture
vīta	venue
apstyprynuot	verify
vysaids	versatile
verseja	version
vertikals	vertical
cīši	very
cīši lobs	very good
trauks	vessel
caur	via
sajiutys	vibe
nūskaņa	vibes
vibracejis	vibes
ļauns	vicious
upers	victim
video	video
skots	view
cīms	village
švakais	villain
etikis	vinegar
senejs	vintage
vardarbeiba	violence
vardarbeigs	violent
populars	viral
vīrusu	viral
jaunive	virgin
virtuals	virtual
tykums	virtue
redzejums	vision
apcīmuot	visit
vizuals	visual
vitāls	vital
spylgts	vivid
vuordineica	vocabulary
bolss	voice
tukšums	void
skaļums	volume
breivpruoteigais	volunteer
vamakli	vomit
naaizsorguots	vulnerable
olga	wage
olgys	wages
vyduklis	waist
gaidi	wait
vīsmīļs	waiter
gaidūt	waiting
mūstīs	wake
celīs augšā	wake up
īt	walk
staigojūt	walking
sīna	wall
moks	wallet
kleist	wander
gribi	wanna
gribēt	want
grybāts	wanted
kars	war
skaps	wardrobe
nūlyktova	warehouse
sylts	warm
breidynuot	warn
breidynuojums	warning
karuotuojs	warrior
beja	was
mozguot	wash
atkrytumi	waste
izškīst	waste
vērtīs	watch
iudiņs	water
arbuzs	watermelon
viļņs	wave
ceļš	way
mes	we
mes asom	we are
mes varim	we can
vuojš	weak
vuojums	weakness
boguoteiba	wealth
boguots	wealthy
nosuot	wear
nosojūt	wearing
laikapstuokli	weather
kuozys	wedding
trešdīne	Wednesday
zuoleite	weed
sluobs	week
nedeļgols	weekend
svors	weight
sovaids	weird
sveicynuot	welcome
lobkluojeiba	welfare
labi	Well
labi padareits	well done
guoja	went
beja	were
rītumi	west
slapnis	wet
vaļs	whale
kas	what
kai ar tevi	what about you
kū tu dori	what are you doing
kū tu niu dori	what are you doing now
kū tu niu dori	what are you doing right now
kū tu dori	what do you do
kū to dori	what do you do for a living
kū tu ar tū dūmoj	what do you mean
kū tu gribi	what do you want
kas nūtics	what happened
kas ir	what is
kas ir itys	what is this
kur tu struodoj	what is your job
kaids ir tovs vuords	what is your name
kai īt	what's up
kai tevi sauc	what's your name
kaids ir tovs vuords	what's your name
vīnolga	whatever
kvīši	wheat
ritiņs	wheel
kod	when
sevkod	whenever
kur	where
kur tu esi	where are you
nu kurīņs tu esi	where are you from
kur tu niu esi	where are you now
kur tu dzeivoj	where do you live
kur ir	where is
tai kai	whereas
voi	whether
kurš	which
cikom	while
čukstēt	whisper
sviļpuot	whistle
bolts	white
kurš	who
kura	who
kas tu esi	who are you
kas ir	who is
kas tu esi	who is this
vyss	whole
kurs	whom
kuru	whose
parkū	why
parkū nā	why not
troks	wicked
plots	wide
atraitne	widow
plotums	width
sīva	wife
sovvalis	wild
gryba	will
gribēdams	willing
uzvarēt	win
viejs	wind
lūgs	window
viejains	windy
veins	wine
zīma	winter
slauceit	wipe
vods	wire
gudreiba	wisdom
gudrs	wise
gribēt	wish
vieleju tev vysu lobuokū	wish you all the best
rogona	witch
ar	with
atsaukt	withdraw
izastuošona	withdrawal
īškā	within
bez	without
līcinīks	witness
atjauteigs	witty
vylks	wolf
sīvīte	woman
sīvite	women
uzvarēja	won
nabyus	won't
breinums	wonder
breineigs	wonderful
molka	wood
vylna	wool
vuords	word
vuordi	words
dorbs	work
trenētīs	work out
struodojūt	working
pasauļs	world
tuorps	worm
nosuots	worn
uzatraucss	worried
uzatraukt	worry
švakuok	worse
pīlyugt	worship
švakuokais	worst
vārts	worth
tys ir tuo vārts	worth it
vārts	worthy
voi	would
rāta	wound
sateit	wrap
dusmis	wrath
rūkys lūceitova	wrist
raksteit	write
roksti ite	Write here
raksteiba	writing
raksteits	written
napareizs	wrong
raksteja	wrote
pogolms	yard
žuovuotīs	yawn
žuova	yawn
nui	Yeah
gods	year
godi	years
ryugs	yeast
bļaut	yell
dzaltons	yellow
nui	Yes
niu bierneņ	yes baby
nui duorgais	yes dear
nui duorguo	yes honey
nui muna mīla	yes my love
nui prūtams	yes of course
vakardīne	yesterday
vēļ	yet
raža	yield
tu	you
tu esi	you are
tu esi šmuka	you are beautiful
tu esi tik šmuka	you are so beautiful
lapini aicynuots	you are welcome
tu vari	you can
tu zini	You know
tu ari	you too
nav par kū	you're welcome
jauns	young
tovs	your
tova	your
nav par kū	your welcome
es pats	yourself
jauneiba	youth
nav par kū	you’re welcome
gords	yummy
nulle	zero
