a little	veháš
procedure	meannudanvuohki
proceed	ovdánit
process	proseassa
process	ávnnastit
produce	buvttadit
product	buvtta
production	buvttadeapmi
profession	ámmát
professional	ámmátlaš
profile	profiila
profit	vuoitu
profit	ávkkáiduvvat
profound	čiekŋal
progress	ovdánit
progress	ovdáneapmi
project	prošeakta
prominent	fuomášahtti
promise	lohpádus
promise	lohpidit
promote	máinnustit
promote	doarjut
promotion	alideapmi
prompt	ávžžuhit
prompt	ážžuhus
prone	soddjil
pronouns	pronomenat
pronunciation	jietnadeapmi
proof	duođaštus
proper	albma
properly	albma ládje
properties	iešvuođat
property	giddodat
proposal	evttohus
prospect	oainnus
prosperity	jábálašvuohta
prosperous	jábálaš
protect	suodjalit
proud	rámis
prove	duođaštit
provide	addit
provided	juos
province	eanagoddi
provision	doaimmaheapmi
provision	eaktu
puberty	rávásmanahki
public	almmolaš
pull	geassit
pumpkin	gurbbet
punctual	joavdil
pupil	oahppi
purchase	oastit
pure	buhtis
pure	čielggas
purple	sáhppat
purpose	ulbmil
purse	bursa
pursue	háhpohallat
pursuit	háhpohallan
push	hoigadit
put	bidjat
qualification	dutkkus
quality	kvalitehta
quantity	mearri
quarantine	karantena
quarrel	nággu
quarrel	nágget
quarter	njealjádas
quarter	koartil
Quechua	ketšuagiella
queen	dronnet
queer	bonju
query	jearaldat
question	gažaldat
queue	ráidu
queue	čuožžut ráiddus
quick	johtil
quickly	hoahpus
quiet	jaskat
quilt	govččas
quit	loahpahit
quite	aivve
quite	oalle
quiz	gažus
quotation	sitáhta
quote	sitáhta
quote	siteret
quotes	aisttonmearkkat
rabbit	njoammil
race	gilvu
rage	moarri
rain	arvi
raise	loktet
raise	bálkábajádus
raised	loktejuvvon
ran	viegai
random	sahtedohko
range	skála
rapid	johtil
rapidly	jođánit
rare	hárvenaš
rarely	hárve
rash	ihtalanvigit
rat	roahttu
rate	dákta
rather	millosabbot
ratio	gorri
rational	jearggalaš
raw	roavis
reach	ollit
reached	olii
reaction	reakšuvdna
read	lohkat
reading	lohkan
ready	gárvvis
real	albma
reality	duođalašvuohta
realize	fihttet
realized	ollašuvvan
really	duođai
rear	maŋábealle
reason	sivva
reasonable	áššálaš
recall	muittašit
receipt	kuite
receipt	reseapta
receive	oažžut
received	ožžon
recent	gieskadaš
recently	eske
reception	vuostáiváldin
reception	resepšuvdna
recipe	reseapta
reckless	eaimmaskas
recognition	dovddasteapmi
recognize	dovdát
recommend	ávžžuhit
recommended	ávžžuhuvvon
record	skearru
record	báddet
recover	návccaiduvvat
recovery	buorráneapmi
rectangle	njuolggočiegahas
red	ruoksat
redeem	lotnut
redemption	lotnun
redemption	bestojupmi
reduce	uhcidit
redundant	liiggálaš
redundant	dárbbašmeahttun
refer	čujuhit
reference	čujuheapmi
reflect	speadjalastit
reflection	speadjalastin
refrain	mážžat
refrigerator	jiekŋaskáhppe
refund	buhtadit
refund	buhtadus
refuse	biehttalit
refused	biehttalii
regard	doaladuvvat
regarding	hárrai
regardless	fuolakeahttá
regards	dearvvuođat
region	guovlu
register	registtar
regret	gáhtat
regular	jeavddalaš
regularly	jeavddalaččat
reject	hilgut
relate	muitalit
relate	guoskat
related	áššáigullevaš
relationship	gaskavuohta
relative	gorálaš
relative	fuolki
relatives	fuolkkit
relax	vuoiŋŋastit
release	olggosaddin
release	addit olggos
released	almmustahtii
relevant	áššáigullevaš
reliable	luohttehahtti
relief	geahpádus
relieve	álkidit
relieved	mášuiduvvan
religion	osku
religious	oskkoldatlaš
reluctant	dáhtuheapme
rely	luohttit
remain	báhcit
remaining	loahppa
remarkable	čalbmáičuohcci
remedy	dálkkas
remember	muitit
remind	muittuhit
reminder	muittuhus
remote	gáiddus-
remote	boaitto-
remove	jávkadit
render	rievdadit
rent	láigu
repair	divodit
repeat	geardduhit
replace	lonuhit
reply	vástidit
reply	vástádus
report	raporteret
report	raporta
represent	ovddastit
reputation	beaggin
request	bivdit
request	bivddat
require	gáibidit
required	bákkolaš
rescue	gádjut
research	dutkamuš
resemble	muittuhit
resentment	bahčavuohta
reservation	várren
reserve	várret
resident	ássi
resign	cealkit eret
resilience	sitkatvuohta
resilient	sitkat
resist	vuostálastit
resistance	vuostálastin
resolution	resolušuvdna
resolution	mearrádus
resolve	čoavdit
resort	geaidnu
resources	návccat
respect	gudnejahttin
respect	gudnejahttit
respond	vástidit
response	vástádus
responsibility	ovttasvástádus
responsible	vásttolaš
rest	vuoiŋŋastit
rest in peace	vuoiŋŋas ráfis
restaurant	restoráŋŋa
restore	máhcahit
restrict	ráddjet
result	boađus
results	bohtosat
resume	joatkit
retail	bođuidvuovdin
retain	doalahit
retention	vurken
retired	ealáhagas
retreat	murdilit
retrieve	viežžat
return	máhccat
reveal	iktit
revealed	almmostahtton
revenge	máksu
revenue	gávpejohtu
reverse	geassit ruovttoluotta
review	dárkkistit
review	dárkkástus
revise	buorádallat
revision	veršuvdna
revolution	revolušuvdna
reward	bálkkašupmi
rhythm	ritma
rib	erttetdákti
rice	risenat
rich	rikkis
rid	beassat
ride	sáhttu
ride	riidet
ridiculous	boagustahtti
right	riekta
right	olgeš
right now	aiddo dál
rigid	doaŋgat
ring	suorpmas
rinse	doidit
riot	stuibmi
rip	gaikásit
rip	gaikkohat
ripe	láddan
rise	badjáneapmi
rise	badjánit
risk	riska
risk	riskeret
rival	gilvaleaddji
river	johka
road	geaidnu
roast	čoarbbealli
roast	bassit
robust	šumppas
rock	geađgi
rod	stággu
role	rolla
roll	jorrat
roof	gáhttu
room	latnja
root	ruohtas
rope	báddi
rotten	guohca
rough	roavis
roughly	sullii
round	jorbbas
route	geaidnu
routine	rutiidna
row	gurgadas
rub	ruvvet
rubber	gummi
rubbish	ruska
rude	eahpeustitlaš
rug	láhtterátnu
ruin	bázahus
ruin	bilidit
rule	njuolggadus
ruler	ráđđejeaddji
ruler	linjála
rules	njuolggadusat
run	viehkat
running	viehkan
rural	dálon-
rush	meahttit
rush	bahkadas
sack	seahkka
sacred	bassi
sacrifice	oaffaruššat
safe	oadjebas
safe flight	dorvvolaš mátki
safety	dorvvolašvuohta
sage	sálvia
sage	viissis
said	dajai
sail	borjjastit
sailing	borjjasteapmi
sake	dihte
salary	bálká
sale	vuoládusvuovdin
sale	vuovdin
salmon	luossa
salt	sálti
same	seamma
Same here	Mun maid
sample	čájánas
sand	sáddu
Sanskrit	sanskrihtta
sarcastic	sarkasttalaš
sassy	ealas
sat	čohkkái
satisfaction	duhtadeapmi
satisfied	duđavaš
satisfy	duhtadit
satisfying	duhtadahtti
Saturday	lávvardat
sausage	márfi
savage	roavis
save	seastit
saw	oinnii
say	dadjat
scale	skála
scam	skelbmošeapmi
scar	árpa
scarce	gárži
scared	balus
scarf	liidni
scary	balahahtti
scattered	bieđgái
scene	dáhpáhuvvanbáiki
scenery	duovdda
scent	hádja
schedule	dateret
schedule	áigetávval
school	skuvla
science	dieđa
scientist	dutki
scientists	dutkit
scissors	skierat
scold	moaitit
scope	olli
score	čuokkeslohku
scrap	oassi
scratch	ráhput
scream	biškut
screen	šearbma
screw	skruvva
script	giehtačálus
sea	mearra
seal	njuorju
search	ohcat
season	jahkeáigi
seat	čohkkedat
second	sekunda
second	nubbi
secret	suollemasvuohta
section	oassi
secure	oadjebas
security	oadjebasvuohta
see	oaidnit
see you	oaidnaleapmái
see you later	oaidnaletne maŋŋelaš
see you soon	oaidnaletne farga
see you tomorrow	oaidnaletne ihttin
seed	siepman
seek	ohcat
seem	váikkuhit
seems	váikkuha
seen	oidnojuvvon
seize	dollet
seizure	dohppehallan
seldom	hárve
select	válljet
self	ieš
self healing	ieš buorráneaddji
selfish	vuovdnái
sell	vuovdit
send	sáddet
send me your picture	sáddes munnje iežat gova
senior	boarrásut
sense	jierbmi
sensible	jierbmái
sensitive	hearki
sent	sáddii
sentence	cealkka
sentences	cealkagat
separate	sierra
Sepedi	sepedigiella
september	čakčamánnu
sequence	ortnet
series	ráidu
serious	duođalaš
seriously	duođalaččat
serve	bálvalit
service	bálvalus
session	čohkkán
set	čoahkki
set	bidjat
set up	cegget
setting	ásahus
settle	ásahuvvat
seven	čieža
seventeen	čiežanuppelohkái
seventy	čiežalogi
several	máŋga
severe	duođalaš
sew	goarui
sh	hyš
shade	suoivvan
shadow	suoivva
shake	savdnjilit
shall	áigu
shallow	coagis
shame	heahpat
shape	hápmi
share	juohkit
sharp	bastil
she	son
she has	sus lea
she is	son lea
shed	skadjá
sheep	sávza
sheet	árka
sheet	láhkán
shelf	hildu
shell	garra
shelter	suodji
shield	suodji
shield	galba
shift	sirdin
shine	báitit
ship	dámpa
shipping	fievrredeapmi
shirt	báidi
shoes	gápmagat
shoot	báhčit
shop	gávpi
shopping	oastin
shore	gáddi
short	oanehis
shortage	vátni
shot	bážii
shot	skuohtta
should	galggašii
shoulder	oalgi
shout	čuorvut
show	show
show	čájehit
show me	čájet munnje
shower	riššu
shrimp	reahkka
shrink	játnat
shut	gitta
shut up	oro jaska
shy	árgi
sibling	oarbin
siblings	oarbinat
sick	buozus
side	bealli
sigh	šuohkihit
sigh	šuohkanas
sight	oainnáhus
sight	oaidnu
sightseeing	oainnáldagaid geahččan
sign	mearka
signature	vuolláičálus
significant	fuomášahtti
silence	jaskatvuohta
silent	jaskat
silk	silki
silly	ártet
silver	silba
similar	sullasaš
simp	duipi
simple	oktageardán
simultaneously	seamma áigge
since	rájes
sincere	njuolggalaš
sincerely	rehálaččat
sing	lávlut
singer	lávlu
single	ovttaskas
sink	vuodjut
sink	basadangárri
sister	oabbá
sister in law	gálojeatni
sister in law	sivjjot
sister in law	mannji
sit	čohkkát
site	báiki
site	siidu
situation	dilli
six	guhtta
sixteen	guhttanuppelohkái
sixty	guhttalogi
size	sturrodat
skill	dáidu
skills	dáiddut
skin	liiki
skinny	ruoinnas
skip	hilgut
skirt	vuolpu
sky	albmi
slave	šláva
sleep	oađđit
sleeping	oađđimin
sleepy	ođeš
sleeve	soadjá
slice	vajahastit
slice	vajahas
slide	čeassat
slightly	binná
slim	seaggi
slip	njalkkastit
slope	fielti
slot	latnja
slow	hiđis
slowly	gulul
small	uhci
smart	fihtolaš
smell	hádja
smile	moddját
smile	modji
smoke	suovva
smooth	livttis
snack	nealgádat
snail	riifu
snake	gearpmaš
snap	doddjot
snow	muohta
so	nu
so cute	nu čáppis
so far	dassážii
soak	luvvadit
soap	sáibu
sober	juguheapme
soccer	juolgespábba
social	sosiála
society	servodat
socks	suohkut
soft	linis
software	prográmmadat
soil	eanavuođđu
sold	vuvdon
sold out	lohppii vuvdojuvvon
soldier	soalddát
sole	juolgevuođđu
solid	fásta
solution	čoavddus
solve	čoavdit
some	muhtin
somebody	soames
somehow	mo nu
someone	soames
something	juoga
sometimes	muhtumin
song	lávlla
soon	farga
sophisticated	kompleaksa
Sorani	soranigiella
sore	bávččas
sore	rašši
sore throat	čottabávččas
sorrow	moraš
Sorry	Ándagassii
sort	šládja
sort	sorteret
sought	ozai
soul	siellu
soulmate	váibmoustit
sound	jietna
soup	málli
sour	suvrris
source	gáldu
south	máddi
space	gomuvuohta
spam	ruskapoasta
span	áigegaska
Spanish	spánskkagiella
spare	seastit
spare	várre-
speak	hállat
special	erenomáš
species	šládja
specific	aiddolaš
spectacular	čalbmáičuohcci
speech	hállan
speech	sáhka
speechless	jávoheapme
speed	leaktu
spell	stávet
spend	goluhit
spent	goluhii
spicy	álbmái
spike	biika
spin	jorrat
spin	jorgalit
spinach	spináhtta
spirit	heagga
spirit	vuoigŋa
spit	čolgat
spit	čolga
splendid	briljánta
split	juohkit
split	juohku
spoil	lilluhit
spoil	billidit
spoiled	guohca
spontaneous	spontána
spoon	baste
spot	dielku
spot	báiki
spouse	guoibmi
spread	leavvat
spring	giđđa
square	njealjehas
squeeze	čárvet
squid	bleahkkaguolli
squirrel	oarri
stab	niibádit
stable	stáđis
stack	guhpá
staff	bargit
stage	lávdi
stain	duolvvidit
stairs	tráhppá
stake	čuolda
stalk	nađđa
stall	hiŋgal
stamp	steampalastit
stamp	poastamearka
stamp	steampal
stand	oaidnu
stand	čuožžut
standard	standárda
star	násti
start	álgit
started	álggii
starving	nelgon
state	cealkit
state	dilli
statement	cealkámuš
station	stašuvdna
statue	bázzi
status	status
status	dilli
stay	báhcit
stay	galledeapmi
stay safe	eale dearvan
steady	dásset
steak	biffa
steal	suoladit
steam	lievla
steel	stálli
steep	ceakkus
stem	nađđa
step	lávki
stick	darvánit
stick	soabbi
stiff	doaŋgi
still	lihkatkeahtes
still	ain
sting	biika
stingy	hánis
stir	fierrut
stock	rádju
stolen	suoladuvvon
stomach	čoavji
stone	geađgi
stood	čuoččui
stool	reŋko
stop	bissehit
storage	vuorkun
store	gávpi
storm	stoarbma
story	máinnas
stove	oapman
straight	njuolga
straightforward	mohkeheapme
strain	dearidit
strange	amas
stranger	vierroolmmoš
strategy	strategiija
straw	bohcci
straw	oalga
strawberry	eanamuorji
streak	stáhpi
stream	rávdnji
stream	streamet
street	gáhtta
strength	nannodat
stress	streassa
stretch	vatnat
strict	sroaŋggis
strike	bargoheaitta
string	báddi
strip	nuoladit
strive	gierddahallat
stroke	časkkástat
strong	gievra
struck	časkkii
structure	ráhkadus
struggle	dáistalit
struggle	dáistaleapmi
struggling	dáistaleapmi
stubborn	nággár
stuck	darvánan
student	oahppi
study	dutkamuš
study	studeret
studying	studeren
stuff	tiŋga
stunning	ebmui
stupid	doavki
style	stiila
subject	dahkki
submission	vuolláneapmi
submit	guođđit
submit	vuollánit
substance	ávnnas
substitute	sadjásaš
subtle	dorjolas
succeed	lihkostuvvat
success	menestupmi
successful	lihkostuvvan
such	dakkár
such as	dego
suck	njammat
sudden	fáhkka
suddenly	fáhkkestaga
suffer	gillát
suffering	gillámuš
sufficient	doarvái
sugar	sohkar
suggest	evttohit
suggestion	evttohus
suit	gárvu
suit	heivet
suitable	dohkálaš
suitcase	tásku
sum	supmi
summary	čoahkkáigeassu
summer	geassi
summit	allačoahkkin
sun	beaivváš
sunday	sotnabeaivi
sunny	beaivvádat-
sunset	beaiveluoitin
sunshine	beaivvadat
super	super
superior	ovdaolmmoš
supervisor	bagadalli
supper	eahkedaš
supply	rádju
supply	doaimmahit
support	doarjja
support	doarjut
suppose	navdit
supposed	navdojuvvon
sure	sihkkar
surface	bajáš
surge	márastat
surgery	čuohpahus
surname	sohkanamma
surprise	heahkastuvvan
surprised	hirpmahuvvan
surrender	vuollánit
surrounding	biras
surveillance	bajilgeahčču
survey	jearahallat
survey	jearahallan
survive	ceavzit
suspect	várohit
suspect	várohuvvon
suspended	heaŋggo-
suspicious	eahpidahtti
sustain	joatkit
sustainability	suvdilis ovdáneapmi
sustainable	suvdil
swag	hearva
swag	swag
swallow	njiellat
swap	lonuhit
swear	vuordnut
swear	garrudit
sweat	bivastat
sweater	ullobáidi
sweep	sihkastit
sweep	kustet
sweet	njálggis
sweet dreams	buorre idja
sweet tooth	váibmil herskuide
sweetheart	gollážan
swell	bohtanit
swelling	bohtaneapmi
swim	vuojadit
swimming	vuojadeapmi
swing	suhkká
swing	sugadit
switch	laktit
switch	botkkon
swollen	bohtanan
sword	miehkki
symbol	symbola
sympathy	sympatiija
symptoms	dávdamearkkat
system	systema
table	beavdi
tackle	gearganit
tag	mearka
tail	seaibi
take	váldit
take away	váldit eret
take away	take away
take care	leage várrugas
take off	váldit eret
take off	vuolgit
taken	váldojuvvon
talk	hállan
talk	hállat
talkative	hállái
tall	guhkki
tap	hátna
tap	spoahkuhit
tape	báddi
tape	teaipa
target	čuozáhat
target	čuozihit
task	bargamuš
taste	máistit
taste	smáhkka
tasty	njálggis
taught	oahpahii
tea	deadja
teach	oahpahit
teacher	oahpaheaddji
team	joavku
tear	gatnjal
tear	gáikanit
tears	gatnjalat
tease	nárret
technology	teknologiija
teeth	bánit
tell	muitalit
tell me	muital munnje
temper	giivvisvuohta
temperature	temperatuvra
temple	tempel
temporary	gaskaboddosaš
ten	logi
ten thousand	logi duhát
tenant	láigolaš
tend	lávet
tendency	mieđisvuohta
tender	ráhkislaš
tender	smierru
tense	gealdašuvvan
tension	gealdagas
tent	tealtá
tentative	ráhkkaneaddji
term	badji
terms	eavttut
terrible	issoras
terrific	fiinnis
territory	guovlu
test	testet
test	iskkus
text	teaksta
than	go
thank	giitit
thank you	giitu
Thank you for your patience while we investigate shipment	Giitu go nagodat vuordit dan botta go mii leat dutkamin sáddehusa
thank you so much	eatnat giitu
thank you very much	eatnat giitu
thanks	giitu
Thanks for using our app	Giitu go geavahat min áppa
that	duot
that is	dat lea
that's good	dat lea buorre
theft	suoládeapmi
their	sin
them	sii
theme	tema
themselves	ieža
then	dalle
theory	teoriija
there	doppe
there are	leat
there is	doppe lea
therefore	danin
these	dát
they	sii
they are	soai leaba
they are	sii leat
thick	assái
thief	suola
thigh	badjeváhkká
thin	ruoinnas
thing	ášši
things	áššit
think	jurddašit
third	goalmmát
thirsty	lea goiku
thirteen	golbmanuppelohkái
thirty	golbmalogi
this	dát
this is	dát lea
thorough	vuđolaš
thoroughly	čađa
those	duot
though	vaikko
thought	jurddašii
thought	jurdda
thoughtful	jurddašahkes
thoughts	jurdagat
thousand	duhát
thread	árpu
threat	uhki
threaten	uhkidit
three	golbma
threshold	šielbmá
thrilled	movtta
thrive	menestuvvat
throat	čotta
through	čađa
throughout	miehtá
throw	bálkestit
thumb	bealgi
thunder	baján
Thursday	duorastat
thus	nie
tick	coahkkit
tick	niranas
tide	vuorročáhci
tidy	čorgat
tie	kraváhtta
tie	čatnat
tiger	tiger
tight	čavgat
Tigrinya	tigrinjagiella
time	áigi
timid	árgi
tiny	bás
tip	tipsa
tips	tipsat
tire	váibat
tire	riekkis
tired	váiban
tissue	njunneliidni
title	bajilčála
to be	leahkit
toast	goarddaláibi
toast	cearki
today	otne
toddler	unnoraš
toes	juolgesuorpmat
together	ovttas
toilet	hivsset
told	muitalii
tolerance	gierdilvuohta
tolerate	gierdat
tomato	tomáhta
tomorrow	ihttin
tongue	njuovčča
tonight	otne eahkedis
too	maiddái
took	válddii
tool	bargoneavvu
tools	bargoneavvut
tooth	bátni
top	čohkka
topic	fáddá
torn	gaikánan
torture	biinnidit
total	oktiibuot
touch	guoskkahit
tough	garas
tour	tuvra
toward	vuostá
towards	vuostá
towel	sihkaldat
town	gávpot
toxic	mirkkolaš
trace	luodda
track	bihttá
track	bálggis
trade	gávppašeapmi
trade	gávppašit
tradition	árbevierru
traditional	árbevirolaš
traffic	johtolat
trail	bálggis
train	toga
training	skuvlen
trait	iešvuohki
traits	iešvuogit
transfer	sirdašuvvat
transition	sirdin
translate	jorgalit
transparent	čađačuovgi
transport	johtolat
transportation	fievrredeapmi
trap	giella
trash	ruski
trauma	trauma
travel	mátkkoštit
tray	brihkká
treasure	árdna
treat	gieđahallat
treatment	dikšun
treatment	dikšu
tree	muorra
tremendous	fámolaš
trend	treanda
trial	diggi
trial	iskan
trick	koansta
tried	geahččalii
trigger	báhcahat
trigger	báhcahit
trim	čorgestit
trip	mátki
trouble	váttisvuohta
trousers	buvssat
truck	guorbmebiila
true	riekta
trunk	muorramátta
trust	luohttámuš
trust	luohttit
truth	duohtavuohta
try	geahččalit
Tsonga	tsoŋgagiella
tube	bohcci
Tuesday	maŋŋebárga
tuition	oahpahus
turkey	kálkon
turmeric	gurkemeija
turn	jorggihit
turtle	galbarihcci
tutor	tutor
tutor	oahpaheaddji
twelve	guoktenuppelohkái
twenty	guoktelogi
twenty-one	guoktelogiokta
Twi	twigiella
twice	guktii
twist	jorahit
twist	jorggáldat
two	guokte
type	tiipa
typical	typihkalaš
ugly	ropmi
ultimate	dehálamos
umbrella	arvesuodji
unable	basttekeahtes
uncle	čeahci
unconscious	mielavuloš
under	vulobealde
underneath	vuolde
underrated	badjelgehččojuvvon
understand	áddet
understood	áddii
unfortunately	dađi bahábut
uniform	unifoarbma
unique	áidnalunddot
unit	ovttadat
unit	boddu
university	universitehtta
unknown	dovdameahttun
unless	earretgo
until	dasa
unusual	eahpedáválaš
up	bajás
up to you	mearrit don
update	ođasmahttit
update	ođasmahttin
upgrade	buoridit
upgrade	buorideapmi
upon	aldi
upset	jierásmuvvan
urban	gávpot-
urge	dáhttu
urge	vikkahit
urgent	hohpolaš
us	min
use	geavahit
use	geavaheapmi
used	geavahuvvon
useful	anolaš
useless	dušši
usual	dábálaš
usually	dábálaččat
utility	ávki
vacation	luopmu
vaccination	boahkut
vaccine	boahkuhusat
vacuum	guorosadji
vague	mearritmeahttun
valid	čuožžovaš
valley	leahki
valuable	divrras
value	árvu
value	árvvoštit
variety	máŋggahámatvuohta
variety	hivvodat
various	sierralágan
vary	molsašuddat
vase	váse
vast	ravdameahttun
vegetable	ruonas
vegetables	šattut
vehicle	fievru
vendor	gálvolágideaddji
venom	mirku
venture	arvat
venue	báiki
verify	duođaštit
versatile	máŋggabealat
version	veršuvdna
vertical	ceakkonjuolgat
very	hui
very good	hui buorre
vessel	fanas
via	bokte
vibe	vuoigŋa
vibes	dovdu
vicious	olmmošmeahttun
victim	oaffar
video	video
view	oainnus
view	geahčadit
village	gilli
villain	skealbma
vinegar	ettet
vintage	jahkegeardi
violence	veahkaváldi
violent	veahkaválddálaš
viral	virála
virgin	buhtisnieida
virtual	virtuála
virtue	šiehku
vision	višuvdna
vision	oaidnu
visit	galledit
visit	galledeapmi
visual	visuála
vital	heakkadeaŧalaš
vivid	ealas
vocabulary	sátnerádju
voice	jietna
void	árvvoheapme
void	guoros
volume	saddjáivuohta
volunteer	eaktodáhtolaš
vomit	vuovssadit
vomit	vuovssanas
vulnerable	suojeheapme
wage	bálká
wages	bálkágolut
waist	seakkáš
wait	vuordit
waiter	beavdebálvá
waiting	vuordimin
wake	lođas
wake up	gohccát
walk	vázzit
walk	vázzin
walking	vázzimin
wall	seaidni
wallet	bursa
wander	jođašit
wanna	hálida
want	hálidit
wanted	háliduvvon
wanted	hálidii
war	soahti
wardrobe	bivttaskábe
warehouse	rádju
warm	ligget
warm	liekkas
warn	váruhit
warning	váruhus
warrior	soahtti
was	lei
wash	bassat
waste	bázahus
waste	háskkidit
watch	geahččat
water	čáhci
watermelon	čáhcemelovdna
wave	bárru
way	vuohki
we	mii
we are	mii leat
we can	mii sáhttit
weak	headju
weakness	váili
wealth	jábálašvuohta
wealthy	jábálaš
wear	coggat
wearing	lea alde
weather	dálki
wedding	heajat
Wednesday	gaskavahkku
weed	árvvohisrássi
week	vahkku
weekend	vahkkoloahppa
weight	deaddu
weight	deaddit
weird	ártet
welcome	buresboahtin
welfare	buresbirgen
Well	Na
well done	bures dahkkon
went	manai
were	ledje
west	oarji
wet	njuoskkas
whale	fális
what	mii
what about you	naba don
what are you doing	maid don barggat
what are you doing now	maid don dál leat bargamin
what are you doing right now	maid leat dál bargamin
what do you do	maid don barggat
what do you do for a living	maid don barggat
what do you mean	maid oaivvildat
what do you want	maid don hálidat
what happened	mii dáhpáhuvai
what is	mii lea
what is this	mii dát lea
what is your job	maid barggat
what is your name	mii du namma lea
what's up	mo manná
what's your name	mii du namma lea
whatever	mo beare
wheat	nisu
wheel	juvla
when	go
whenever	goas beare
where	gos
where are you	gos don leat
where are you from	gos don leat eret
where are you now	gos don dál leat
where do you live	gos don orut
where is	gos lea
whereas	go fas
whether	lešgo
which	mii
while	dan botta go
whisper	savkalit
whistle	njurgut
white	vielgat
who	gii
who are you	gii don leat
who is	gii lea
who is this	gii diet lea
whole	ollislaš
whom	gean
whose	gean
why	manin
why not	manin ii
wicked	bahánihkkán
wide	viiddis
widow	leaska
width	govdodat
wife	eamit
wild	vilddas
will	áigut
will	dáhttu
willing	dáhtolaš
win	vuoitu
win	vuoitit
wind	biegga
window	láse
windy	bieggái
wine	viidni
winter	dálvi
wipe	sihkkut
wire	streaŋga
wisdom	viisodat
wise	viissis
wish	sávaldat
wish	sávvat
wish you all the best	sávan dutnje buot buriid
witch	noaidi
withdraw	geassádit
withdrawal	geassádeapmi
without	haga
witness	vihtanuššat
witness	vihtan
witty	áices
wolf	gumpe
woman	nisu
women	nissonat
won	vuittii
won't	ii áiggo
wonder	imaš
wonderful	ovddolaš
wood	muorra
wool	ullu
word	sátni
words	sánit
work	bargu
work	bargat
work out	trenet
working	bargamin
world	máilbmi
worm	máhtu
worn	duolvvas
worried	fuolas
worry	fuolastuvvat
worry	fuolla
worse	vearrát
worship	bálvalit
worst	vearrámus
worth	árvosaš
worth it	dan veara
worthy	veará
wound	hávvi
Wow	Šoš
wrap	giesaldat
wrap	giesadit
wrath	vašši
wrist	giehtaruohtas
write	čállit
Write here	Čále deike
writing	čállin
written	čállon
wrong	boastut
wrote	čálii
yard	šillju
yawn	gávastallat
yawn	gávvasat
Yeah	Jua
year	jahki
years	jagi
yeast	jeasta
yell	čuorvvas
yellow	fiskat
Yes	Juo
yes baby	juo gieris
yes dear	juo ráhkis
yes honey	juo gollážan
yes my love	juo ráhkkásan
yes of course	dieđusge
yesterday	ikte
yet	vel
yield	buvttihit
yield	vuollánit
you	don
you are	don leat
you are beautiful	leat čáppis
you are so beautiful	don leat nu čáppis
you are welcome	leage buorre
you can	sáhtát
You know	Oainnat
you too	don maid
you're welcome	leage buorre
young	nuorra
your	du
your welcome	leage buorre
yourself	don ieš
youth	nuorravuohta
youth	nuorrageardi
you’re welcome	leage buorre
yummy	njálggis
zero	nolla
