ɖo aba	laid
xlɔ̃ nu	urge
nye nu vɔɖi wɔla	suspicious
nya nu	wash
nya nu	wise
eme nuwo	content
si nu womate ŋu asi le o	inevitable
le nuwuwu	ultimate
he nya	argue
gblɔ nya ɖi	predict
ga nya	economic
ku nya	fatal
ga nya	financial
le nyagbᴐgblᴐa nu	literally
wɔ nyamaa	clumsy
tso nyame	decide
ɖe nya me	interpret
geɖe nya me	interrupt
ƒe nyame sẽ	strict
si nya nu	brilliant
dzodzo nyanyanya	jerk
nya nyanya	vocabulary
ŋuti nya	profile
to nya	quote
ka nyata	communicate
o nyateƒea	oh really
toa nyateƒe	honest
le nyateƒe me	honestly
le nyateƒe me	indeed
le nyateƒe me	In fact
le nyateƒe me	sincerely
nye nyateƒe nu	legit
toa nyateƒe	sincere
dzidzᴐ nyawo	vibes
woawoe nye	consist
si nye dɔxɔleameŋu	contagious
si nye dzizizi nu	mandatory
ŋkɔ nyee nye	my name is
alekee nye	how is
dometᴐ nye	include
enyo nye lɔlɔ̃tɔ	ok my love
ɛ̃ nye lᴐlɔ̃	yes my love
egɔmee nye	mean
gᴐme nye	means
gɔme nye	meant
si nye nyahehe	controversial
eyae nye	she is
ema nye	that is
woawoe nye	they are
esia nye	this is
míawoe nye	we are
alekee nye wò dɔdɔ	how was your night
alekee nye wò ŋkekea	how was your day
si nyo	positive
si nyo	suitable
ema nyo	that's good
ahiãvi nyɔnu	girlfriend
vi nyᴐnu	daughter
nyruiyᴐvi nyᴐnu	niece
nᴐvi nyᴐnu	sister
srɔ̃ nyᴐnu	wife
eli nyuiea	how do you do
wɔ nyuie	behave
xede nyuie	bye
kpɔe nyuie	careful
de nyuie	goodbye
ewɔe nyuie	good job
dzᴐgbe nyuie	good luck
meli nyuie	I am fine
ʋɔnudɔdrɔ nyuie	justice
dzigbezã nyuie nawò	happy birthday to you
nu nyuie	virtue
ewɔ nyuie	well done
gbetsi nyui	fortune
hede nyui	good bye
ɖu ŋdi nu	have breakfast
de ŋgɔ	advanced
le ŋgɔ	ahead
do ŋgɔ	before
do ŋgɔ	earlier
yi ŋgɔ	go ahead
yi ŋgɔ	improve
le ŋgɔ	in front of
nɔ ŋgɔ	lead
nya ŋgɔnya	preposition
do ŋgɔ	prior
le ŋgɔ	prominent
dodoɖe ŋgɔ	promotion
do ŋgɔ xoxo	already
do ŋgᴐ	advance
yi ŋgᴐ	develop
le ŋkeke siawo me	lately
nudzadzra ŋkɔ	brand
ƒome ŋkɔ	last name
ŋlɔ ŋkɔ	register
ƒome ŋkɔ	surname
gbã ŋku	blind
da ŋku ɖe edzi	glance
le ŋku ɖe eŋu	check
le ŋku ɖe eŋu gbadza	survey
le ŋku ɖe eŋu	observe
lea ŋku ɖe nu me	curious
ɖo ŋku edzi	note
ɖo ŋku edzi	remember
ɖo ŋku edzi	remind
mesᴐ ŋku me o	awkward
wo ŋlɔ	written
do ŋɔdzi	dread
do ŋɔdzi	scary
yɔ ŋɔŋlɔdzesiwo	spell
te ŋu	able
mate ŋu adzɔ o	impossible
ate ŋu adzᴐ	possible
ate ŋu aƒle	afford
mate ŋu aƒo nu o	speechless
ate ŋu agbã bɔbɔe	fragile
ate ŋu	can
ate ŋu	capable
ɖa ŋu	cook
te ŋu	could
kpᴐ ŋudzedze	achieve
kpᴐ ŋudzedze	eligible
na ŋudzedze	impress
na ŋudzedzekpɔkpɔ	appreciate
kpɔ ŋudzedze	passed
kpɔ ŋudzedze	pleased
le ŋudzᴐ	ready
mate ŋu	I can
mate ŋui o	can't
mate ŋui o	unable
ʋã ŋu	jealous
si ŋu kpe	ashamed
nye ŋukpe	embarrassing
ate ŋu	may
ate ŋu	might
si ŋu mɔ mele o	forbidden
si ŋu ŋkɔ mele o	anonymous
si ŋu ŋudɔwɔnu aɖeke mele o	useless
ɖo ŋu	rely
kple ŋusẽ	aggressive
de ŋusẽ eme	boost
do ŋusẽ nu	strive
le ŋute	conscious
tea ŋu	tend
klɔ ŋuti	bleach
nuɖaɖa ŋuti ɖoɖo	recipe
le ŋutifafa me	peaceful
si ŋuti kɔ	sacred
nunyiame ŋuti nunya	nutrition
hakpanya ŋuti nunya	poetry
atike ŋuti nusɔsrɔ̃	chemistry
dzᴐdzᴐme ŋuti nusᴐsrɔ̃	science
ga ŋuti nya	economy
si ŋuti woɖe asi le	released
sẽ ŋu	tough
nyakpɔ ŋutɔ	charming
nyakpɔ ŋutɔ	elegant
veviẽ ŋutɔ	extremely
nyo ŋutɔ	fantastic
nyo ŋutɔ	great
sesẽna ŋutɔ	hardly
gã ŋutɔ	huge
nye ŋutɔ	myself
nua ŋutɔ	principal
ame ŋutɔ	self
nyakpɔ ŋutɔ	so cute
nyakpɔ ŋutɔ	splendid
nyo ŋutɔ	super
woawo ŋutɔ	themselves
nyo ŋutɔ	very good
wò ŋutɔ	yourself
nyo ŋutᴐ	adorable
hiã ŋutᴐ	crucial
lolo ŋutᴐ	enormous
enyo ŋutᴐ	excellent
ame ŋutᴐ ƒe	private
nyo ŋutᴐ	lovely
ahiãvi ŋutsu	boyfriend
nɔvi ŋutsu	bro
nᴐvi ŋutsu	brother
srɔ̃ ŋutsu	hubby
srɔ̃ ŋutsu	husband
nɔvi ŋutsu srɔ̃	sister in law
míate ŋu	we can
si ŋu womebu o	regardless
ate ŋu	you can
ake o	anymore
atam	oath
menyo o	awful
amidada	obesity
nu	object
taɖodzi	objective
nuteɖeamedzi	obligation
nukpɔkpɔ	observation
nudzeamedzi	obsession
mɔxenu	obstacle
xᴐ	obtain
xɔ	obtained
ɣeaɖewoɣi	occasionally
dɔwɔna	occupation
dzᴐ	occur
dzɔ	occurred
dzɔna	occurs
atsiaƒu	ocean
kele	october
na	odds
gawɔe o	don't
megali o	extinct
nyateƒee	of course
tsi	off
na	offer
dɔwɔƒe	office
dɔwɔla	official
often	often
O	Oh
medzɔna o	hardly ever
ami	oil
mesɔ o	invalid
Enyo	ok
enyo	okay
tsitsi	old
mesẽŋu o	mild
edzi	on
ɖeka	one
megatsidzi o	never mind
sabala	onion
ko	only
ɖeke o	none
megblẽ o	not bad
naneke o	nothing
haɖe o	not yet
mesᴐ o	odd
ʋu	open
nuwɔna	operation
tamesusu	opinion
mɔnukpɔkpɔwo	opportunities
mɔnukpɔkpɔ	opportunity
tiatia	option
alo	or
aŋuti	orange
mebᴐ o	rare
gbeɖeɖe	order
medidi o	recently
susutɔtrɔ	orientation
dzɔtsoƒe	origin
gbãtɔ	original
Oromo	Oromo
tsyɔẽvi	orphan
megoglo o	shallow
madidi o	soon
bubu	other
míaƒe	our
metsonu	outcome
awudodo	outfit
dodoƒe	outlet
ɖoɖo	outline
gota	outside
numekpo	oven
wui	overwhelmed
adzexe	owl
nutɔ	owner
maawɔe o	won't
mede o	wrong
tedzitsu	ox
haɖe o	yet
naneke o	zero
ɖiɖime	pace
ƒoƒu	pack
vevesese	pain
aŋɔ	paint
aŋɔsisi	painting
fu	pale
asiƒome	palm
dᴐxᴐtsatsa	pandemic
vɔvɔ̃	panic
godui	pants
pɛpa	paper
paradiso	paradise
nubabla	parcel
tsɔtsɔke	pardon
dzilawo	parents
gbadzaƒe	park
ako	parrot
na	parsley
akpa	part
ma	particular
hati	partner
dunyaheha	party
nuŋlɔɖi	passage
safuinya	password
tsã	past
afᴐmᴐ	path
dzigbᴐɖi	patience
dzigbɔɖi	patient
ɖoɖome	pattern
mɔtokpe	pavement
fexexe	payment
ŋutifafa	peace
na	peach
kɔkɔƒe	peak
pɛya	pear
ayi	peas
aɖuɖɔ	pee
kle	peel
hati	peer
hatiwo	peers
nuŋlɔti	pen
nuŋlɔti	pencil
amewo	people
atadi	pepper
nukpᴐkpᴐ	perception
dᴐwᴐwᴐ	performance
ɖewòhĩ	perhaps
ɣeyiɣi	period
mᴐɖeɖe	permission
kutrikuku	perseverance
edziedzi	persistent
ame	person
nukpɔkpɔ	perspective
ŋunyɔ	pervert
ameƒelã	pet
akpa	phase
nudzɔdzɔ	phenomenon
nunya	philosophy
kaƒomɔ	phone
foto	photo
nyatiatia	phrase
fɔ	pick
tsᴐe	pick up
nutata	picture
ha	pig
ahɔnɔe	pigeon
suɖi	pillow
yameʋukula	pilot
abui	pin
atɔtɔ	pineapple
dzẽ	pink
ʋe	pit
gbadzaƒe	pitch
nublanui	pity
teƒe	place
teƒewo	places
dɔxɔleameŋu	plague
ɖoɖo	plan
gbadza	plane
ati	plant
atiwo	plants
nuɖugba	plate
nugbadza	platform
taflatsɛ	please
dzidzᴐkpᴐkpᴐ	pleasure
sɔgbɔ	plenty
babla	plot
katsyiãnu	plug
atɔ	plum
tsidɔwɔla	plumber
agbɔsɔsɔ	plural
na	podcast
hakpanya	poem
asitɔƒe	point
aɖi	poison
kpovitɔ	police
ɖoɖo	policy
ɖiƒoƒo	pollution
mí	poop
pɔp	pop
nyanyɛ	popular
amehawo	population
halã	pork
dzogbɔ	porridge
ʋudzeƒe	port
ɖoƒe	position
lé	possess
nunɔamesi	possession
nutɔnyeye	possessive
dzɔƒe	post
nagoti	potato
ŋutete	potential
pɔŋ	pound
ahedada	poverty
ŋusẽ	power
ŋusẽtɔ	powerful
asidɔwɔwɔ	practical
kasa	practice
kafu	praise
amebeble	prank
tᴐxɛ	precious
tututu	precise
tututu	precisely
tiã	prefer
tiatia	preference
fɔfu	pregnant
nazã	prejudice
nyagɔmenya	premises
dzadzraɖo	preparation
dzrãɖo	prepare
dzraɖo	prepared
amegbɔnɔnɔ	presence
fifia	present
nunana	presentation
dukplɔla	president
nuteɖeamedzi	pressure
asi	price
dada	pride
trɔ̃nua	priest
gɔmedzeƒe	primary
fiavinyɔnu	princess
mɔ	prison
adzame	privacy
dziɖufiakuku	prize
ɖewòhĩ	probably
kuxi	problem
afᴐɖeɖe	procedure
nuwᴐna	process
wɔ	produce
nuwɔwɔ	production
dɔwɔwɔ	profession
dɔnyala	professional
viɖe	profit
ŋgᴐyiyi	progress
dɔwɔna	project
ŋgbedodo	promise
ŋkɔteƒenɔnyawo	pronouns
nyayɔyɔ	pronunciation
kpeɖodzi	proof
nyuietᴐ	proper
nyuie	properly
nunɔamesiwo	properties
nunᴐamesi	property
nyadoɖa	proposal
ŋgɔkpɔkpɔ	prospect
nudzedziname	prosperity
hotsuikpɔkpɔ	prosperous
dana	proud
na	provide
nutoga	province
nuhiahiawo	provision
ɖetugbivãvã	puberty
amedome	public
hee	pull
na	pumpkin
nusrɔ̃vi	pupil
ƒle	purchase
dzẽ	purple
taɖodzi	purpose
gakotoku	purse
tutu	push
ŋudzedzekpɔkpɔ	qualification
nyonyo	quality
agbɔsɔsɔ	quantity
dzre	quarrel
kuata	quarter
Quechua	Quechua
fianyɔnu	queen
biabia	query
biabia	question
fli	queue
kaba	quick
kaba	quickly
na	quilt
abe	quite
dodokpɔ	quiz
nyatoto	quotation
nyatotowo	quotes
fɔmizi	rabbit
ɖimekeke	race
tsidzadza	rain
kekeme	range
kabakaba	rapid
kabakaba	rapidly
ŋutsetsi	rash
alegeli	rat
asixᴐxᴐ	rate
boŋ	rather
ɖoɖo	ratio
mumu	raw
de	reached
ŋuɖoɖo	reaction
xlẽ	read
nuxexlẽ	reading
ŋutᴐ	real
nyateƒe	reality
nyateƒea	really
nyi	rear
susu	reason
gayɔ	recall
fexegbalẽ	receipt
xᴐ	receive
xᴐ	received
amexɔƒe	reception
maɖɔʋu	reckless
dzesidede	recognition
nyaleɖi	record
hayahaya	recovery
dzẽ	red
ɖe	redeem
ɖeɖekpɔkpɔ	redemption
klẽ	reflect
dzedze	reflection
dzudzɔ	refrain
nufamɔ	refrigerator
gbe	refuse
gbe	refused
kpɔ	regard
gbedoname	regards
nuto	region
edzidzi	regular
edziedzi	regularly
gbe	reject
ƒomedodo	relationship
ƒometɔ	relative
ƒometɔwɔ	relatives
gbᴐɖeme	relief
subɔsubɔ	religion
atike	remedy
ŋkuɖodzi	reminder
haya	rent
nutsotso	report
bubudede	reputation
bia	request
hiã	require
numekuku	research
ɖi	resemble
dɔmedzoedodo	resentment
megbedede	reservation
dumenɔla	resident
tenɔnɔ	resilience
gbe	resist
agladzedze	resistance
nuɖoɖo	resolution
amedzrodzeƒe	resort
nunɔamesiwo	resources
ŋuɖoɖo	response
dɔdeasi	responsibility
dzudzᴐ	rest
nuɖuƒe	restaurant
metsonu	result
metsonu	results
nuléleɖi	retention
xɔegbɔ	retrieve
teƒeɖoɖo	revenge
gakpᴐkpᴐ	revenue
ɖɔɖɔɖo	revision
fetu	reward
ʋugbe	rhythm
axadameƒu	rib
mᴐli	rice
ku	ride
nyui	right
asigɛ	ring
kpala	rinse
aglãdzedze	riot
ɖi	ripe
ŋɔdzi	risk
atsusi	rival
tɔsisi	river
mɔ	road
me	roast
ahliha	rock
kpo	rod
wɔƒe	role
mli	roll
xɔgbagbã	roof
xɔ	room
ke	root
ka	rope
gblẽ	rotten
ƒlatsa	rough
lɔƒo	roughly
nogo	round
mɔ	route
akpa	row
si	rub
aŋe	rubber
gbeɖuɖɔ	rubbish
ɖovu	rug
se	rule
dziɖula	ruler
sewo	rules
kɔƒeme	rural
kotoku	sack
vɔsa	sacrifice
dedienɔnɔ	safety
nunyala	sage
gblᴐ	said
ta	sake
fetu	salary
nudzadzra	sale
sama	salmon
dze	salt
kpɔɖeŋunu	sample
ke	sand
Sanskrit	Sanskrit
alɔmeɖenya	sarcastic
dzetugbe	sassy
ƒoɖiɖi	satisfaction
Memlɛɖa	Saturday
na	sausage
kpᴐ	saw
gblᴐ	say
dudanu	scale
adzodamɔnu	scam
abikukuteƒe	scar
vɔ̃	scared
taku	scarf
kaka	scattered
nukpɔkpɔ	scene
nukpɔkpɔ	scenery
ʋeʋe	scent
suku	school
dzɔdzɔmeŋutinunyala	scientist
dzɔdzɔmeŋutinunyalawo	scientists
sakisi	scissors
gbenya	scold
kekeme	scope
mɔxenu	screen
nuŋlɔɖi	script
atsyiaƒu	sea
nutrenu	seal
di	search
ɣeyiɣi	season
zikpui	seat
xᴐe se	believe
evelia	second
nuɣaɣla	secret
akpa	section
zã se	curfew
dedienɔnɔ	security
nye sedede	compulsory
va se ɖe fifia	so far
va se ɖe	until
kpɔ	see
nuku	seed
di	seek
kpɔ	seen
nudzisesẽ	seizure
tia	select
dzra	sell
dᴐ	send
ametsitsi	senior
susu	sense
dɔ	sent
nyagbe	sentence
nyagbewo	sentences
le senu	legal
mele se nu o	illegal
si seŋu	resilient
si sẽŋu	terrific
nya se ŋutɔ	impressive
Sepedi	Sepedi
nya se	pleasant
anyɔnyɔ	september
yomenuwo	sequence
moveviẽ	serious
veviẽ	seriously
si sẽ	robust
subɔ	serve
dɔ	service
ɣli sesẽ	bang
se seselelãme	emotional
kple seselelãme	passionate
seselelãme sesẽ	passion
nu sesẽ	solid
efɔ̃ sesiẽa	how are you doing
akpa	session
ɖoe	set
ɖoɖo	setting
adrẽ	seven
wuiadrẽ	seventeen
blaadrẽ	seventy
geɖe	several
seŋu	severe
tɔ	sew
na	sh
vɔvɔli	shade
vɔvɔli	shadow
ʋuʋu	shake
na	shall
ŋkpe	shame
dzedzeme	shape
ma	share
ɖaɖɛ	sharp
e	she
agbadɔ	shed
alẽ	sheep
agba	shelf
dzato	shell
bebeƒe	shelter
akpoxɔnu	shield
klẽ	shine
mɛli	ship
awu	shirt
afɔkpawo	shoes
da	shoot
fiase	shop
nuƒeƒle	shopping
tɔto	shore
kpuie	short
mademade	shortage
dada	shot
abɔta	shoulder
tsinyɔnyɔ	shower
fiam	show me
bɔlu	shrimp
tu	shut
ŋukpem	shy
ame sia ame	anyone
ame sia ame	everybody
ame sia ame	everyone
ɖe sia ɖe	each
ɖe sia ɖe	every
ɖe sia ɖe hã	anyways
ɖe sia ɖe ko	anyway
ƒe sia ƒe	annual
gbe sia gbe	daily
gbe sia gbe ƒe nu	normal
gbe sia gbe nu	ordinary
gbe sia gbe nuwɔna	routine
ɣe sia ɣi	always
ɣe sia ɣi	whenever
afi sia hã	Same here
afi sia	here
nu sia nu	anything
nu sia nu	everything
nu sia	this
fiɛ̃ sia	tonight
ŋkeke siawo me	nowadays
nu siawo	these
nɔvi	sibling
nᴐviwo	siblings
axa	side
nu si de megbe	background
nu si doa nu ɖe ŋgɔ	booster
ɖoɖo si dzi woazɔ	schedule
tsɔ si gbɔna	tomorrow
tsᴐ si gbᴐna	future
nukpᴐkpᴐ	sight
ŋkutsatsa	sightseeing
dzesi	sign
nu si le eteƒe	fact
ɖoɖoezizi	silence
nu si le veviẽ	priority
ɖetsi	silk
abunɛ	silly
klosalo	silver
ɖetugbui si menya ŋutsu o	virgin
sᴐ	similar
abunɛtɔ	simp
ɖagbuie	simple
enumake	simultaneously
hadzila	singer
ɖeka	single
nu si nɔa edzi yim	context
amega	Sir
teƒe	site
ame si trɔa susu kabakaba	freak
ɣeyiɣi	situation
tsᴐ si va yi	yesterday
ame si	whom
nu si wobu	assumption
ame si wodo goe	acquaintance
nu siwo ƒo xlã	surrounding
ale si wolɔ̃	arbitrary
ati si wotu	stake
nu si wowɔ	product
adẽ	six
wuiadẽ	sixteen
blaadẽ	sixty
lolome	size
aɖaŋuwɔwɔ	skill
aɖaŋuwɔwɔ	skills
ŋutigbalẽ	skin
siketi	skirt
yame	sky
kluvi	slave
awubɔ	sleeve
kpakpɛ	slice
ɖiɖi	slide
tsralɛ	slim
agbalẽvi	slip
aga	slope
nudeƒe	slot
blewu	slow
blewu	slowly
sue	small
zãzɛ̃	smart
ʋeʋẽ	smell
alɔgbɔnu	smile
dzudzɔ	smoke
zrɔ̃	smooth
numeɖenu	snack
abɔbɔ	snail
dã	snake
sno	snow
eyata	so
adzalẽ	soap
hame	social
du	society
afɔwui	socks
bᴐbᴐ	soft
sɔƒtwɛ	software
ke	soil
dzra	sold
asrafo	soldier
wodzrae	sold out
ɖeka	sole
ŋuɖoɖo	solution
ɖe	some
ɖewuiɖewui	somehow
nane	something
ɣeaɖewoɣi	sometimes
ha	song
Sorani	Sorani
abi	sore
vemexɔabi	sore throat
konyifafa	sorrow
Babaa	Sorry
ɖo	sort
di	sought
luʋɔ̃	soul
na	soulmate
gbeɖiɖi	sound
detsi	soup
dzᴐtsoƒe	source
anyiehe	south
tsɔe sɔ	compare
si sɔgbɔ	abundant
si sɔ kple	equivalent
si sɔ	uniform
na	spam
lũ	span
Spaniagbe	Spanish
kpeɖeŋu	spare
tᴐxɛ	special
ƒome	species
nukpɔla	spectacular
nuƒoƒo	speech
dusisi	speed
zã	spend
zã	spent
ŋu	spike
tro	spin
ama	spinach
gbɔgbɔ	spirit
ma	split
gblẽ	spoil
gblẽ	spoiled
enumake	spontaneous
gatsi	spoon
teƒe	spot
srɔ̃	spouse
kaka	spread
gagᴐdɔ̃e	spring
mía	squeeze
bosrã	squid
adɔ	squirrel
eɖe srɔ̃a	are you married
ɖe srɔ̃	married
amekɔkɔe	st
nuƒoƒu	stack
dᴐwᴐlawo	staff
fefewɔƒe	stage
ɖi	stain
trakpui	stairs
nutredzesi	stamp
tso	stand
dzidzenu	standard
ɣletivi	star
dukɔ	state
nyadu	statement
ʋuɖoƒe	station
kpetata	statue
ɖoƒe	status
dzɔ	steady
nyilãmeme	steak
fi	steal
dzudzɔ	steam
ga	steel
ati	stem
afɔɖeɖe	step
ati	stick
dzeti	stiff
kokooko	still
te	sting
blu	stir
asigba	stock
ƒodo	stomach
kpe	stone
tso	stood
zikui	stool
tᴐ	stop
nudzadzraɖo	storage
fiase	store
ahom	storm
ŋutinya	story
mlekpui	stove
dzɔ	straight
amedzro	stranger
ayɛ	strategy
gbekui	straw
na	strawberry
flitsotsowo	streak
tᴐsisi	stream
mɔdodo	street
ŋusẽ	strength
nuteɖeamedzi	stress
ƒo	strike
ka	string
gbagbãdᴐ	stroke
sẽ	strong
ƒo	struck
nɔnɔme	structure
ʋli	struggle
nusrɔ̃la	student
nuwo	stuff
abunɛ	stupid
atsyiã	style
nyati	subject
nu	substance
teƒenɔla	substitute
dzidzedzekpᴐkpᴐ	success
abe	such
abe	such as
no	suck
emumake	sudden
tete	suddenly
fukpekpe	suffering
de	sufficient
sukli	sugar
nudodoɖa	suggestion
dziwui	suit
potomato	suitcase
home	sum
totoɖeme	summary
dzomeŋɔli	summer
takpekpegã	summit
ɣe	sun
kɔsiɖa	sunday
ŋdɔkutsu	sunny
ɣetoɖoɖo	sunset
ɣedzedze	sunshine
dzikpɔla	supervisor
nunana	supply
ŋkume	surface
amekoko	surgery
gbetakpɔkpɔ	surveillance
ƒe susu ɖa	intelligent
le susume	cognitive
le susume	mental
le susunu	rational
le susu nu	reasonable
le susuwom	miss you
mi	swallow
vuvɔmewu	sweater
vivi	sweet
lɔlɔ̃tɔ	sweetheart
numevivi	sweet tooth
te	swell
tete	swelling
ƒutsi	swim
tsiƒuƒu	swimming
dayidagbɔe	swing
si	switch
te	swollen
yi	sword
dzesi	symbol
akɔfafa	sympathy
mɔnu	system
kplɔ̃	table
afɔdeme	tackle
ʋli ta	defend
dzesidekpe	tag
esia ta	hence
asikɛ	tail
tsɔ	take
lebenɛ	take care
tsɔ	taken
kᴐkᴐ	tall
se tame	cruel
megadee tame o	nevermind
gbemu tamesusuwo dɔ alɔ̃ kple adã	colorless green ideas slept furiously
bu tame	think
bua tame	thoughtful
nudzidzeka	tape
taɖodzinu	target
dɔ	task
ɖe ta	spit
na ta	surrender
eya ta	therefore
eya ta	thus
ɖo ta	toward
ɖo ta	towards
tii	tea
nufiala	teacher
dɔwɔha	team
aɖatsi	tear
aɖatsiwo	tears
le te	balance
mɔɖaŋu	technology
si teɖe mía gbɔ	nearby
ɖeɖi te eŋu	exhausted
ɖeɖi te eŋu	frustrated
ɖeɖi te eŋu	tired
yi tẽe	straightforward
aɖuwo	teeth
le teƒe ɖeka	fixed
tsi teƒe ɖeka	stuck
gblᴐ	tell
dziku	temper
dzoxɔxɔ	temperature
gbedoxɔ	temple
ewo	ten
xɔhayala	tenant
ŋutete	tendency
bᴐbᴐ	tender
kpɔ̃ɔ	tense
dzimaɖeɖi	tension
agbadɔ	tent
le tenu	firm
nya	term
ɖoɖowo	terms
anyigbã	territory
dodokpɔ	test
nuŋɔɖi	text
wu	than
akpe	thank
akpe	thanks
the	the
fififi	theft
woƒe	their
wo	them
nyati	theme
agbalẽmenya	theory
wo	they
tri	thick
fiafi	thief
atagba	thigh
lɛe	thin
nu	thing
nuwo	things
etɔ̃lia	third
wuietɔ̃	thirteen
blaetɔ̃	thirty
memie	thorough
memie	thoroughly
emawo	those
togbɔ	though
tamesusuwo	thoughts
akpe	thousand
ka	thread
ŋᴐdzidodo	threat
etɔ̃	three
kpui	threshold
vetome	throat
da	throw
degblefetsu	thumb
dziɖegbe	thunder
Yawoɖa	Thursday
le tiatia me	optional
ƒudada	tide
kpɔ̃	tiger
mía	tight
Tigrinya	Tigrinya
nu ti kɔ nɛ	fed up
ɣeyiɣi	time
vɔna	timid
sue	tiny
nunana	tip
aɖaŋuɖoɖowo	tips
ayi	tissue
zã titina	midnight
tanya	title
yi	to
nyenye	to be
egbe	today
vitata	toddler
trɔ to eme	manipulate
afɔbidɛ	toes
dzo to eta	skip
ɖekae	together
lia to	hike
afɔdzi	toilet
gblɔ	told
dzigbɔɖi	tolerance
ɖo to	listen
tomatre	tomato
aɖe	tongue
hã	too
tsᴐ	took
dɔwɔnu	tool
dɔwɔnuwo	tools
aɖu	tooth
dzi	top
nyati	topic
vuvu	torn
funyafunya	torture
yi to	sink
ƒuƒoƒo	total
gatagbadze totro	screw
tsaɖiɖi	tour
si to vovo	queer
si to vovo sã	extraordinary
papaŋu	towel
du	town
zɔ tɔdzi	sail
dzɔgbenyuie tɔe	fortunately
wɔ tɔtrɔ	amend
wɔ tɔtrɔ	edit
wɔ tɔtrɔ	revise
ame tɔxɛ	personality
mɔnukpɔkpɔ tɔxɛ	privilege
gbememᴐ	track
asitsatsa	trade
dekɔnu	tradition
trafik	traffic
hehe	training
nɔnɔme	trait
nɔnɔmewo	traits
ʋuɖoɖo	transportation
mɔ	trap
gbeɖuɖɔ	trash
vevesesegã	trauma
agbagbadzɛ	tray
kesinɔnu	treasure
dᴐyᴐyᴐ	treatment
ati	tree
dodokpᴐ	trial
ayɛ	trick
daƒe	trigger
ku trikpa	numb
lũ	trim
mᴐzɔ̃zᴐ	trip
kuxi	trouble
atalegbe	trousers
keke	truck
nyateƒe	true
nugo	trunk
nyateƒe	truth
si tsana	creepy
si tsana	mobile
le tsi	bath
ƒo tsi	damp
nɔ tsi dzi	float
Mega tsi dzi o	Don't worry
le tsi dzi	trend
le tsidzi zɔm	sailing
si tsi edzi	excess
si tsi edzi	redundant
ƒo tsi	humid
ƒo tsi	moist
de tsi	soak
tsi tsitre ɖe eŋu	against
tsi tsitre	vertical
ƒo tsi	wet
Tsonga	Tsonga
nu tsɔtsɔ yi	submission
ku tsu	crazy
nuto	tube
blãɖa	Tuesday
dze tugbe	beautiful
edze tugbe ŋutɔ	you are so beautiful
edze tugbe	you are beautiful
nufiafia	tuition
si tu	lame
dɔkɔ	turkey
na	turmeric
trᴐ	turn
klo	turtle
nufiala	tutor
aɖe tutu	dumb
wuieve	twelve
blaeve	twenty
blaeve-vɔ-ɖɛkɛ	twenty-one
Blugbe	Twi
tro	twist
eve	two
ƒomevi	type
ŋutɔŋutɔ	typical
vlo	ugly
xexi	umbrella
nyrui	uncle
egɔme	under
gɔme	underneath
dzᴐgbevᴐetᴐ	unfortunately
tɔxɛ	unique
yunivesiti	university
negbe	unless
na	upon
dugãme	urban
mí	us
zã	use
ŋudɔwɔnu	utility
tsᴐe va	brought
mᴐkeke	vacation
abuidodo	vaccination
abuitike	vaccine
bali	valley
asixᴐxᴐ	value
vovovowo	variety
vovovo	various
agba	vase
si va yi	ago
dzɔ va yi	happened
le vedome	medium
le ve dome	moderate
amagbewo	vegetable
amagbewo	vegetables
ʋu	vehicle
nudzrala	vendor
aɖi	venom
nuwɔƒe	venue
nukpɔkpɔ	version
ŋtᴐ	very
nugo	vessel
le vevem	bitter
le vevem	sour
se veve	regret
didi veviẽ	craving
le veviẽ	important
le veviẽ	relevant
le veviẽ	significant
le veviẽ	vital
tsɔe vɛ	bring
seselelãme	vibe
vɔɖi	vicious
fukpela	victim
video	video
kpᴐtᴐ vie ko	barely
tɔ vie	pause
kpᴐ	view
kɔƒe	village
amevɔ̃ɖi	villain
ahatsitsi	vinegar
ɛ̃ vinye	yes baby
avuwɔwɔ	violence
na	virtual
nukpɔkpɔ	vision
sasrã	visit
nukpɔkpɔ	visual
ɖe vi	useful
me vivim o	boring
gbeɖiɖi	voice
ɣlidodo	volume
to vovo	different
to vovo	distinct
mele vovome o	engaged
to vovo	separate
de vovototo	contrast
de vovototo	distinguish
to vovo	vary
to vovo	weird
wɔe vɔ	done
ɖi vɔvɔ̃	horrible
do vɔvɔ̃	threaten
metsonu vɔ̃wo	consequences
ɖi vᴐvɔ̃	terrible
le vᴐvᴐm	nervous
gbᴐdzᴐ	vulnerable
tsi ʋe	pond
dᴐ ʋᴐnu	judge
ɖo ʋu	commute
ku ʋu	drive
de ʋu	transport
fetu	wage
fetu	wages
ali	waist
lala	wait
subɔla	waiter
nyɔ	wake
nyɔ	wake up
zɔ̃	walk
glĩ	wall
gakotoku	wallet
tsa	wander
di	want
aʋa	war
awudzraɖoƒe	wardrobe
agbaxɔ	warehouse
kpɔnyuiedodo	warning
aʋawɔla	warrior
nye	was
gbeɖuɖᴐ	waste
kpɔ	watch
tsi	water
dzamatre	watermelon
ƒutsotsoe	wave
mᴐ	way
mí	we
gbᴐdzᴐ	weak
gbɔdzɔgbɔdzɔ	weakness
hotsuikpᴐkpᴐ	wealth
gatɔ	wealthy
do	wear
do	wearing
srɔ̃ɖeɖe	wedding
