a	Langai
guilty	mara lu ai
guy	masha
guy	jahpoi asawng ai
gym	ginsup nta
gym	ginsup dum
habit	akyang
habit	lai nsam
habitat	nga ai shara
habitat	mu lu ai shara
had	nga ai
hail	marang si hkrat ai
hail	marawn bawp la ai
hail	marang si
hair	kara
half	daw mi
half	chyen mi
hall	shawa hting nu
hand	ta
handle	magra ai
handle	jum tek ai
handle	lashum
handsome	shingkang ai
hang	lam tawn ai
hang	dau si ai
hang	noi tawn ai
hang out	majoi yu hkawm ai
hang out	majoi nga hkawm ai
happen	byin wa ai
happen	byin pru ai
happened	byin wa ai
happened	byin pru ai
happiness	pyaw hpa lam
happy	pyaw ai
happy birthday	Ngwi pyaw ai shangai nhtoi rai u ga
happy birthday to you	Ngai pyaw ai shangai nhtoi rai u ga yaw
happy new year	ngwi pyaw ai shaning n na rai u ga
hard	yak ai
hardly	yak yak hkak hkak
hardly	ja ja
hardly	agying agang
hardly ever	yak ga ai
harm	dingbai dingla
harm	hkrit tsang hpa
harmful	shoi hpa jaw lu ai
harmful	tsin yam jaw lu ai
harmony	nsen rap ra ai lam
harmony	myit hkrum ai lam
harmony	yu ngwi masa
harsh	hkara
harvest	mam dan ten
harvest	n mut ten
has	nga ai
hate	ndawng ai
hate	nyawt ai
hate	n ju ai
have	Lu ai
have	Nga ai
have a good day	Nhtoi kaja rai u ga
have a nice day	Ngwi pyaw ai shani rai u ga
have breakfast	jahpawt shat sha u
have fun	pyaw u ga
have you eaten	Sha ngut sai i?
having	nga ai
hazard	sa dan ai lam
hazard	hkrit hpa lam
haze	n hpu mawng ai
haze	bungshi
he	Dai wa
he	Shi
he has	shi kaw nga ai
he is	shi gaw
head	baw
headache	baw machyi ai
heal	shamai ai
healing	shamai ya ai
healing	tsi lajang ya ai
healing	shamai shatsai ya ai
health	hkam ja lam
healthy	hkam kaja ai
hear	na ai
heard	na lu ai
heart	salum
heat	kahtet ai
heat	wan dap
heaven	sumsing mungdan
heavy	li ai
heavy	nak ai
hectic	myit law ai
hectic	bungli grai kyin ai
height	tsaw shadang
heir	sali wunli hkam wa
heir	sali dagraw na wa
heist	damya mya ai lam
heist	kashun ai lam
held	jum ai
hell	ngaraidi
Hello	Kaja ai i?
hello dear	E tsawra
hello how are you	E ning, hkam ja ai i?
hello how are you doing	E hkau nang zeng gaw rai nga n ni?
helmet	lagup
helmet	hpri lagup
help	karum kahtau
help	karum ai
helpful	akyu rawng ai
helpful	shingtau chye ai
helpful	garum chye ai
hence	dai majaw
her	shi na
herd	dumsu hpung
here	ndai kaw
heritage	maran
hesitate	dawn ai
hesitate	tsang ai
Hey	E
hi how are you	Hi, Hkam ja nga ai i?
hidden	makoi da ai
hidden	magap da ai
hide	lagyim ai
hide	makoi ai
hierarchy	hpung sara up hkang masa
high	tsaw ai
highlight	shapraw dan ai
highlight	shadawng dan ai
highlight	shadan dan ai
hike	lam hkawm ai
hike	lagaw lam hkawm ai
hiking	lam hkawm ai
hiking	lagaw lam hkawm ai
hilarious	nachying mani hpa
hill	kawng pawlaw
hill	pawm tawn ai
him	shi hpe
hint	la kap n na tsun ai ga
hint	ga machyan
hip	dangkawp
hips	mashi
hips	dang kang
hire	shap ai
hiring	shap taw ai
hiring	shaga taw ai
his	shi na
history	labau
hit	adup ai
hit	hkra ai
Hmm	Hmmm
hobby	myit lawm bungli
hobby	ra sharawng bungli
hold	jum
hold on	jum da u
hold on	jahkring
hold on	sharang u
hole	hku
hole	n hkun
holiday	ban sa nhtoi
hollow	jahtau marawn ai
hollow	nhkun nhkaw
hollow	krawk ai
home	dum nta
homework	nta kaw galaw ra ai laika
honest	ding ai
honest	dingman ai
honestly	asan sha
honestly	myit madu dingman lam
Honey	Lagat n tsin
Honey	Tsaw
honor	shagrau ai
honor	sha a ai
hood	magap ya ai rai
hood	baw magap
hook	chyinghkyi
hook	myek
hook	hkai
hop	ka gumlawt ai
hope	myit mada lam
hopefully	grai myit mada let
hopefully	grai kam kaba let
hopeless	myit mada shara n nga ai
horizontal	nda tang re ai
horizontal	nda hpan re ai
horn	rung
horrible	hkrit makren hpa re ai
horrible	hkrit kajawng hpa
horror	hkrit gari ai lam
horse	gumra
horse	laring gumra
hospital	tsi rung
hospitality	manam daw chye ai lam
host	madu
host	hkap la ai wa
hostile	hpyen tai ai
hostile	ninghtan shai hkat ai
hot	jap ai
hot	kahtet ai
hotel	manam jarawp
hour	ahkying
hour	hkying mum
hours	ahkying
hours	hkying hkum
house	nta
household	dinghku
how	gara hku rai?
how about you	Nang gaw gara hku rai?
how are you	Hkam kaja ai i?
how are you doing	zeng re nga ai i?
how are you doing today	dai ni zeng rai nga ni?
how are you today	Nang dai ni gara hku rai?
how do you do	Nang hpa ni galaw ai rai?
how is	gara hku na?
how many	kade ram rai?
how much	kade rai?
how often	kade lang rai?
how old are you	Nang na asak kade rai?
how was your day	mani gara hku rai?
how was your night	Mana gara hku rai?
however	Raitim mung
hub	hting chyai
hubby	kasha kawa
hubby	madu wa
hug	hpum ai
hug	chyit ai
huge	kaba dik ai
human	shinggyim masha hte seng ai
human	shinggyim masha
humble	myit shanyem ai
humble	myit sha gyip
humid	madi ai
humid	bam ai
humidity	madi nyap
humidity	bam nyap masa
hundred	latsa
hungry	kaw si ai
hungry	kut ai
hunt	hkwi ai
hunt	tam ai
hunt	shan gap ai
hurricane	laru
hurricane	nbung laru kaba
hurry	lawan ladan
hurry up	lawan
hurry up	lawan di u
hurt	machyi ai
hurt	kaprep ai
husband	madu wa
husband	ningrum ningtau wa
hustle	shawa num
hustle	atik anang gau sha le ai
hut	sum
hut	yi hkyap
hut	ginsum
hygiene	hkam kaja lam
I	Ngai
I am	ngai gaw
I am fine	Ngai kaja ai
I can	ngai dang di lu ai
I can't	ngai n dang di ai
I do	ngai galaw ai
I do not know	ngai n chye ai
I do not understand	ngai nchye na ai
I don't	ngai nre
I don't know	Ngai nchye ai
I don't understand	Ngai nchye na ai
I don't understand what you mean	Nang hpa tsun mayu ai hpe ngai nchye na ai.
I don't understand you	ngai nang hpe nchye na sai
I don’t know	ngai nchye ai
I don’t understand	ngai nchye na ai
i guess	ngai shadu ai
i guess	ngai htang ai
I had	ngai kaw nga ga ai
I have	ngai kaw nga ai
I have been	ngai galaw hpang wa ai
I hope so	Ngai mung myit mada ai
I know	Ngai chye ai
I like	ngai ra ai
I like you	Ngai nang hpe ra ai
I love	ngai tsawra ai
I love my big brother	Ngai nye hpu ba hpe tsawra ai
I love my big sister	Ngai nye kana hpe tsawra ai
I love my father	Ngai nye wa hpe tsawra ai
I love my little brother	Ngai nye kanau la sha hpe tsawra ai
I love my little sister	Ngai nye kanau numsha hpe tsawra ai
I love my mother	Ngai nye nu hpe tsawra ai
I love you	Nang hpe ngai tsawra ai
I love you so much	Nang hpe ngai grai tsawra ai
I love you too	Ngai mung nang hpe tsawra ai
I mean	ngai tsun mayu ai gaw
I miss you	Ngai nang hpe dum ai
I miss you so much	Nang hpe ngai grai dum ai
I see	ngai chye na sai
I think	ngai shadu ai
I understand	ngai chye na ai
I want	ngai ra ai
I want to see you	Ngai nang hpe hkrum mayu ai
I want you	Ngai nang hpe ra ai
I was	Ngai gaw
I will	ngai galaw na re
I would be	ngai galaw na re
I'm	ngai gaw
I'm fine	ngai zeng re ai
I'm good	ngai kaja ai
I'm here	ngai ndai kaw re ai
I'm sorry	myit npyaw sai
ice	hka ge
ice	hkyen
ice cream	hkyen muk
idea	myit masa
idea	myit mang ai lam
ideal	kamang
ideal	kasi
ideal	htung hte seng ai
identical	bung pre ai
identify	masat masa
identity	bung pre lam
idiot	mana
idle	lagawn ai
idle	aten majoi shalai ai
if	lama na
ignore	koi yen ai
ill	machyi makaw ai
ill	hkum npyaw ai
illegal	tara n shang ai
illness	machyi makaw ai
image	hkrang sumla
image	gawk ngu sumla
imagine	myit mang ai
imagine	sasat ai
immediate	kalang ta nan
immediate	ya jang jang
immediate	hkyak hkyak
immediately	ya jang jang
immediately	kalang ta
immense	na chying law ai
immense	na chying kaba ai
impact	akyu byin ai
impact	byin shangun ai
impatient	n dawt ai
impatient	myit katu ai
impatient	myit n galu ai
implement	shabyin shatai ai
import	jashawn gun rai
import	jashawn ai
important	ahkrak ai
impose	masat la ai
impose	ahkun hkanse hta ai
impossible	nmai byin ai
impress	myit chyung mat ai
impression	ning mu
impression	myit hta chyung mat ai lam
impressive	htang kaba ai
improve	rawt jat wa ai
improvement	rawt jat wa ai lam
in	kata e
in	kata kaw
in	dai kaw
in addition	hta sha n ga
In fact	kaja ngu yang
in front of	shawng e
in front of	shawng hta
in order to	byin na matu
in order to	matu
inappropriate	n htap htuk ai
incentive	myit shalen rai
incentive	myit sharawng rai
incident	byin nga masa
incident	byin pru chye ai
include	lawm ai
including	shalawm ai
including	mung lawm ai
income	shang gumhpaw
inconvenience	n manu n mana byin ai
increase	jat
increased	jat wa ai
increased	rawt jat wa ai
incredible	mau na zawn re
incredible	manu mana
indeed	kaja nan
indeed	kaja sha
independent	shanglawt ai
independent	shamyet shanat ai lam n nga ai
India	kala mung
indicate	htawng madun ai
indicate	madi madun ai
indigenous	mungchying sha hte seng ai
individual	langai hpra
individual	dinghkrai
industry	marai
industry	bungli
industry	jak rung
inevitable	ntawt lai lu ai
infant	ma chyangai
infant	ma kaji
infection	yawga kap ai lam
infection	ana
infinity	htum ngu n nga
infinity	hti ndang hkra
inflammation	bum ai
inflation	gumbawm
inflation	gumhpraw bawm masa
influence	kaput ai
inform	tsun dan ai
inform	shiga shana ai
inform	shana ai
information	shiga
ingredients	gayau bang ai rai
inheritance	sali wunli da graw ai
inheritance	sali wunli hkam la ai lam
initial	shawng ningnan
initial	npawt nhpang
initiative	shawng ai
injured	machyi hkrum ai
injury	hkra machyi ai
injury	ning ma
innocent	kaw lakai ai
innovation	lak lai rai galaw ai lam
innovation	rai n nan galaw shapraw ai
inquiry	san sagawn ai lam
inquiry	san jep ai lam
insane	ngawk ai
insane	mana ai
insect	shingtai sumbra
insect	shagri
insecure	shim ai ngu nhkam sha ai
insert	shakap ai
insert	bang ai
insert	matep bang ai
inside	kata
insight	shingran myit
insist	maja galaw ra ai
insist	madung da ai
insomnia	yupgan
insomnia	yup n pyaw mai ai lam
inspiration	atsam jaw ai
inspiration	wenyi n gun
inspiration	myit katu shangun ai
inspire	wenyi n gun jaw ai
inspire	shatsam ya ai
install	dung ai
instance	ga shadawn
instance	ga shadawn madun ai
instant	a kajawng sha re ai
instant	kalang ta re ai
instead	malai
instead of	dai na malai
instead of	na malai
instructions	matsun ga
instructions	sharin shaga lam
instrument	hking hku
instrument	madum sumpyi
insult	n kaw n law di ai
insult	roi ai
insurance	pahkam hkam ai lam
insurance	pahkam bungli
intact	shara n nawt ai
intact	nan nan re ai
integrity	arawng sadang
intellectual	kraw hpaji kung ai masha
intelligence	hpaji rawng ai
intelligence	nyan zen ai
intelligent	nyan marai
intelligent	shet
intend	yaw shada ai
intended	teng teng
intended	kaja wa
intense	lapyin ai
intense	shajan shalai ai
intention	yaw shada ai
interact	shada da hting lu hting lai ai
interaction	shada da hting lu hting lai ai
interest	myit shang sha ai
interested	myit shang sha ai
interesting	myit lawm ai
interesting	myit shang sha ai
interfere	lapren shang shaga ai
interfere	chying bai re ai
intermediate	pran wan na
internal	kata na
internal	dinghku kata na
internal	mung
international	mungdan ga daga hte seng ai
internship	bungli sharin hkam ai
interpret	ga gale tsun dan ai
interpreter	ga gale tsun ya ai wa
interrupt	tsun achyau ai
interrupt	tsun gin jang ai
interrupt	hkrau tsun ai
interview	ga san ga htai
interview	masha san jep ai lam
intimate	hkau chyap ai
intimate	hku hkau ai
into	de
into	hku n na
introduce	shachyen ai
introduce	shaga ai
introduction	shachyen shaga ai
introvert	myit shang ai wa
intuition	myihtoi myit
intuition	shi hte shi chye ai myit
intuition	shi hkrai shi chye ai nyan
invalid	n hkam kaja ai wa
invalid	tara n shang ai
invent	sawk gyin ai
invent	n nan gyin shapraw ai
inventory	lu la gun rai jahpan
inventory	jahpan hta ai lam
invest	rang ai
invest	arang bang ai
investigate	ga sawk yu ai
investigate	shiga manaw la ai
invitation	saw shaga ai lam
invite	saw shaga ai
invite	shaga ai
involve	shang lawm ai
involved	malawm
involved	shang lawm ai
iron	hpri
is	re ai
is	rai ai
island	zunlawng
isolated	kaga san da ai
isolated	san san di da ai
issue	lawng lam
issue	shapraw/shale
issues	shapraw ai
issues	shale ai
it	Dai
it is	dai gaw
it was	dai re ai
it's	dai gaw
it's ok	Hpa nra ai
It's okay	hpa nra ai
item	amyu
item	lamang
items	amyu
items	hpan
items	lamang
its	dai na
I’m	ngai gaw
jacket	palawng kaba
jacket	ntsa palawng
jail	hkyuk htawng
jail	htawng
January	hkru ta
jar	hka yam
jar	yam
jaw	shakap
jaw	ga manaw galu ai
jealous	manawn masham
jealous	manawn ai
jerk	ahkye la ai
jewelry	ja lung seng rai
job	bungli
job	kan bau bungli
jogging	gat hkawm ai lam
join	matut ai
join	hkin dun ai
join	shang lawm ai
joint	lamyi
joint	hkri hkraw
joke	mani hpa
joke	mani hpa galaw ai
journalist	shiga sawk ai wa
journey	hkrun lam
joy	kabu aw law ai
judge	daw dan ai
judge	tara dara ai
juice	ntsin
juice	jahku
july	shi mari ta
jump	shing tawt ai
jump	gumlawt ai
june	sangan ta
junk	miwa sanghpaw
just	sha
just do it	sha di dat yu
justice	tara rap ra ai lam
justify	teng man ai lam madun ai
Kachin	Jinghpaw
keen	myit rawt ai
keep	zing
keep	kyem
keep it up	matut manoi galaw u
kept	kyem da ai
kept	yu lajang ai
kept	mazing da ai
kettle	hpun lum di
key	zaw si
key	sum saw
kick	hkin dit ai
kick	htawng ai
kid	hkalung
kid	bainam kasha
kid	ma kasha
kidding	majoi shala chyai ai
kidding	shala ai
kidney	sinde
kids	ma kasha ni
kids	bainam kasha ni
kids	hkalung ni
kill	sat ai
kind	amyu hpan
kinda	tsawm ra mi
kindly	matsan dum lama hte
kindness	matsan dum lama chye ai myit
king	hkaw hkam
kiss	pup ai
kiss	manam ai
kitchen	shat gawk
kite	galang
kite	maisau galang
kite	langji
kitten	hkalung
kitten	lanyau kasha
knee	lahput
knew	chye da ai
knife	nhtu
knife	nhki
knight	share magan
know	chye ai
knowledge	machye machyang
known	chye ai
known	mying gum hkawng ai
label	madi madun ai
labor	magam
labor	bungli masha
labour	magam bungli
labour	bungli galaw ai
lack	gawng kya ai
lack	n nga ai
ladder	lakang
lady	hpaw mi
lady	arawng aya lu ai hpaw mi
laid	tawn ai
laid	u di di ai
laid	mara tawn ai
lake	hka nawng
lamb	sagu kasha
lame	chyahten
lamp	wan kawk
lamp	pyen ding
land	pa
landscape	bum maling sumla
language	ga
lap	kahpam ai
lap	lahpyen
large	kaba ai
large	dam lada ai
last	grin ai
last	jahtum
last name	amyu mying
late	hpang hkrat ai
lately	ndai laman
lately	hpang daw de
later	hpang e
later	yat
latest	jahtum re ai
latter	dai hpang
laugh	Mani ai
laughing	mani ai
laughter	mani ai
launch	galaw hpang ai
laundry	rai hkrut ya ai shara
law	tara
lawn	tsing du pa
lawyer	tara agyi
lay	u di di ai
lay	galeng ai
layer	tsang
layer	htap
layout	hkrang kasi
layout	kasi
lazy	lagawn ai
lazy	nkam ai
lead	numshawn
lead	woi awn ai
leader	hpa awn
leader	woi awn ai wa
leaf	namlap
leaf	laika alam
leak	kayun ai
leak	yun hkrat ai
lean	n yawt
lean	nhkrem
leap	gumlawt ai
leap	kagan mat wa ai
learn	hka ja ai
learning	sharin hkam la taw ai
learning	hka ja taw ai
lease	shaning galu hkoi shap ga sadi laika
lease	hkoi jaw ai lam
least	yawm dik htum
leather	shan hpyi
leave	Pru u
leave	Pru mat u
leave	ahkang
leaves	ahkang
leaves	le mat ai
led	woi ningshawng ai
led	machyu ai
led	lam woi ai
left	pru mat wa sai
left	lapai maga de
leg	lagaw
legacy	hkringhtawng
legal	tara lam hte seng ai
legend	matsun maroi
legit	tara shang ai
legit	teng ai lam
leisure	ban sa ai
lend	hkoi shap ai
length	shadawn shadang
less	shau ai
lesson	sharin hkam la hpa
let	ga
letter	laika
level	tsang
level	madang
liability	lit nga ai
liability	jaw ra ai
library	laika dum
lick	shinglet hte kasut sha ai
lick	mata sha ai
lie	masu ai
lie	taw
lies	masu ai
lies	hka lem ai
life	prat
lift	ka aw
lift	aw
lift	jahpai
light	nhtoi
lightning	myihprap
like	bung ai
like	zawn re
like	ra ai
likely	byin na masa nga ai
likewise	maren
likewise	dai hte maren
likewise	dai zawn
line	lam
line	hkang
link	matut ai
lion	hkang hkyi
liquid	ntsin
liquid	jahku
list	jahpan
list	jahpan galaw ai
listen	madat u
listen	madat ai
listening	madat mara taw ai
listening	madat taw ai
literally	kaja nan
literature	laika
litter	shanut shanawt
little	kaji ai
little	loi mi
live	shanu(nga ai)
live	nga ai
liver	sin
lives	nga ai
lives	shanu nga ai
living	asak rawng ai
living room	daw dap
lizard	hka sin gu
lizard	shingnyen
load	lit shagun ai
load	magun lit
loaf	a ngaw hkawm ai
loaf	a jawt hkawm ai
loaf	tawng
loan	hkoi shap ai
local	buga ginra hte seng ai
local	buga ginra
location	nga shara
lock	sum saw
lock	pad da ai
lockdown	hkum pat da ai lam
log	hpun tawng
log	mai lung
log	tawng
lonely	garen ai
long	galu ai
long time no see	N hkrum ai grai na sai
look	yu ai
look	nsam
loop	dawnggawng
loop	shanghkawng
loose	mat ai
loose	sum ai
loose	hkrat ai
lord	madu
lord	du
lose	hkrat sum ai
lose	shamat ai
lose	dinglut ai
loss	sum ai
lost	sum ai
lost	shamat ai
lost	dinglut ai
lot	yawng
loud	ngoi ai
lounge	daw dap
love	Tsawra ai
love you	Nang hpe tsawra ai
lovely	tsawra dik ai
low	nyem ai
lower	shagrit ai
lower	shayu dat ai
lower	shanem ai
loyal	kang ka ai
loyal	sadi dung ai
loyalty	sadi dung ai lam
luck	gam maka
lucky	gam kaja ai
lucky	gam rawng ai
luggage	buhkawm rai
luggage	buhkawm yupra
lump	tawng
lunch	shani shat
lungs	sin wawp
luxury	pyaw hpa lam
luxury	zing hkam rai
lying	u di di taw ai
lying	galeng taw ai
machine	jak
mad	ngawk ai
mad	pawt ai
madam	hpaw mi
madam	majan
madam	hkawp
made	galaw ai
magazine	yam dek
magazine	laika buk
magnificent	hkik hkam ai
magnificent	hpung shingkang rawng ai
maid	mahkawn
maid	hkawn ram
main	madung
maintain	yu reng ai
maintenance	yu reng ai
major	madung
majority	law malawng
make	galaw ai
make up	shakya rai
male	La
mall	gat dut shara
man	La
manage	hparan ai
manage	hparen ai
management	hparan hpareng ai
manager	ning baw
mandatory	shadik shatup ra ai
manifest	shadan shaleng tsun dan ai
manifest	lachyum pru ai
manipulate	lata hte galaw ai
manipulate	lata hte jum ai
manner	lai nsam
manner	sat lawat
manual	lakchyoi
manual	lata hte seng ai
many	law law
many	mana maka
many	dawtsa
many many happy returns of the day	Dai shani hta kabu kara ai lam law law lu la u ga
march	wut shata
march	rawt sa wa ai
margin	matu
margin	nchyan
market	gat ginra
market	gat
marriage	hkungran ai lam
married	dinghku hte re ai lam
married	hkungran da ai
mask	myiman magap
mass	missa hkungga
mass	atawng apa rai
massive	htat ai
massive	li ai
massive	tawng kaba ai
master	madu
master	sara
match	htuk ai
mate	madu wa
mate	madu jan
mate	manang
material	arung arai
math	sawnhpan hpaji
matter	lam
maturity	kunghpan lam
maturity	myitsu ai lam
may	mai byin ai
maybe	rai na re
me	Ngai
me too	Ngai ma
me too	Ngai mung
meal	da mi
meal	sha hpa
meal	ma mi
mean	lachyum pru ai
mean	tsun mayu ai lam gaw
meaning	lachyum
means	lachyum hpyen ai
means	lachyum pru ai
means	lachyum
meant	lachyum pru ai
meanwhile	laman
meanwhile	dai ten hta
measure	sharam ai
measure	shadawn ai
measures	shadawn ai
meat	shan
medical	tsi hpaji hte seng ai
medicine	tsi mawan
medicine	tsi
meditation	tara dung ai
medium	myi htoi
meet	hkrum ai
meeting	zuphpawng
melt	shabyawng ai
memories	matsing nyan
memories	sumhting nyan
memory	matsing nyan
memory	sumhting nyan
mental	myit hte seng ai
mention	htawng madun ai
mention	madi madun ai
mentioned	tsun dan ai
mentioned	tsun yan dan ai
mentor	lam matsun madun ai wa
merchant	hpaga la
merchant	hpaga masha
mercy	n gaw n wai myit
mercy	matsan dum myit
merely	majoi sha
merely	majoi mi
merry christmas	Ngwi pyaw ai Hkritsmat
mess	mazuk mazak
mess	abut abye
message	matsun maroi laika
messy	mazuk mazak
messy	abut abye
metal	n hprang
method	mahkrun
mice	yu ni
middle	ka ang hkup
midnight	yup tung
might	mai byin ai
mild	sumnung ai
milestone	madung lam
military	luk suk
military	hpyen la hte seng ai
military	hpyen
milk	chyu
milk	chyu shup ai
million	wan
mind	myit
mind	masin salum
mindset	myit jasat
mine	ngai na
mingle	hkawn bang ai
mingle	gayau ai
minor	n ahkrak ai
minute	minit
minutes	minit
miracle	mau hpa lam
miracle	lamik kum la
mirror	pat
miscellaneous	n kaja ai gam maka byin wa ai
miscellaneous	n myit mada ai lam byin wa ai
mischievous	kajam kalam re ai
miserable	jam jau ai
miserable	myit npyaw ai
misery	nchyi nmu lam
misery	n ni n kri
miss	dum ai
miss you	nang hpe dum ai
missing	marit taw ai
missing	dumhprut taw ai
missing	mat taw ai
mission	dat kasa hpung, sasana hpung
mist	sai wan
mistake	shut shai ai lam
mobile	htawt hkawm mai ai
mock	jaw ai
mock	ajet n re ai
mock	ashu kau ai
model	kamang
model	kasi
moderate	shadawn sharam ai
modern	ya prat
modern	prat dep ai
modest	gaya chye ai
modest	sari rawng ai
moist	bam ai
moist	madi manyap nga ai
moisture	bam masa
moisture	madi manyap masa
mole	sharu
mole	prat
mom	anu
moment	chyahkring mi
monday	bat langai ya
monday	but sani
money	gumhpraw
monitor	jawng ma ningbaw wa
monitor	up hkang ai
monitor	reng hkang ai
monkey	woi
month	shata
mood	hkam sha lam
moody	myit sat lawat
moon	shata
moral	len
more	hta n ga
moreover	hta sha n ga
morning	jahpawt manap
mortgage	rai shadun ai
most	law malawng
mostly	law malawng gaw
mostly	madung hku nna
mother	Anu
motion	shamu shamawt ai lam
motivation	shamu shamawt ya ai
motivation	katut pru shangun ai
mountain	bum
mountain	bum jinghkang
mouse	yu
mouth	n gup
move	htawt ai
move	sit u
movement	shamu shamawt ai lam
movie	sumla hkrung
mrs	jan
much	mana maka
mud	hkum pa
mud	hkum pup
mug	kawk
muscle	n gun sha
museum	madun gawk
mushroom	mati
music	madum sumpyi
must	tup hkrak
mute	nchye shaga ai
mute	ma a ai
mutual	hti htang re ai
mutual	lahkawng maga
my	Ngai na
My dear	ngai na tsawra
My dear	ngai na nja
my friend	ngai na manang
My hovercraft is full of eels	Ngai na sabawng pyen li kaw gaw hkang shan tup hpring taw ai
my love	Ngai na nja
my love	Ngai na tsawra
my name is	ngai na mying gaw
my pleasure	ngai na tsawra myit re
myself	ngai nan
myself	madu hkum madu
mysterious	lachyum sung ai
mysterious	chye na yak ai
mystery	lachyum sung ai lam
mystery	mauhpa lam
myth	mau mwi mau sa
nail	hpri woi na
nail	lamyin
naive	a ngawk ai
naive	mahkrum madup n nga ai
name	mying
narrative	maumwi
narrow	gyip ai
narrow	nshu nshang
narrow	chyat ai
nasty	zai ai
nasty	nkaja ai
national	amyu sha hte seng ai
nationality	amyu sha amyu
native	dai daw ai shara
natural	shingra tara
nature	shingra tara
nausea	kraw galau ai
nausea	ka awn machyi ai
near	ani sha
near	ni ai
near	ni htep ai
nearby	ni ai
nearby	a ni sha kaw
nearly	ganoi noi sha
nearly	hkawt
nearly	na daram
neat	yu htuk manu ai
neat	san seng ai
necessary	ra ai
necessary	ra ahkrak ai
neck	du
necklace	ka chyi
necklace	du gali
need	ra ai
need	ningra
negative	nda de
negative	ninghkang ai
neglect	myi man shinggang kau ai
neglect	n gau shinggang di ai
negotiate	hting rai ya ai
negotiate	hting rat ya ai
neighbor	hting bu
neighborhood	htingbu
neither	langai ma nre
nephew	kanam
nephew	kahkri
nervous	myit kahpra ai
nest	u tsip
net	sut
net	sumgawn
neutral	hkailau hte seng ai
never	tsep kawp
never	kalang pyi
never give up	galoi asum hkum jaw
never give up	myit galoi hkum daw
never mind	myit kaw hkum bang da
nevermind	hpa hkum sawn
nevermind	myit kaw hkum bang da
nevertheless	raitim mung
new	n nan
new	ning nan
news	shiga
next	ya na
next	hpang langai
next to	makau kaw
nice	Mai kaja dik sai
nice	hkrak sai
nice to meet you	Hkrum tsup lu ai majaw grai kabu sai.
niece	ka nam
night	shana
nightmare	yup dip
nine	jahku
nineteen	shi jahku
ninety	jahku shi
No	Nre ai
no problem	manghkang n nga ai
no way	nmai byin ai
no way	byin na lam n nga ai
nobody	kadai ma nre
noise	mahku
noisy	arung
none	hpa nre ai
noon	shani ka ang
nope	nre
nor	gara mung nre ai
nor	lahkawng yen nre ai
normal	hkrak sha re
normal	masa hte maren re
north	dingdung de
north	maga de
nose	ladi
nostalgic	nta marit ana
not	nre
not at all	yawng nre
not bad	hkrak nga ai
not bad	ram nga ai
Not now	Ya nre
not yet	grai nre shi ai
note	matsing laika buk
note	matsing ai
noted	mying gumhkawng ai
noted	mying kaba ai
nothing	Kaman lila
nothing	Hpa nre
notice	sadi jaw ai
noticed	sadi jaw ai
noticed	matsing da ai
noticed	myit maju jung ai lam
nouns	mying ni
nouns	shingteng ni
novel	sumroi laika
november	maji ta
now	Ya
nowadays	ya dai ni ten hta gaw
nowadays	ndai prat hta gaw
nuisance	myit n ji nmu byin hpa
null	kaman re ai
null	akyu n nga ai
numb	nuk ai
numb	a ngawk ai
number	hti hkum
nurse	tsi sara num
nut	kawp ja ai namsi
nutmeg	kawp ja ai namsi
nutrition	hkrum ra lu sha
oath	dagam ga
oath	ga shaka
obesity	ahtun ai lam
obesity	grai hpum ai lam
obey	hkan nang ai
object	ninghkap ai
objective	masa
obligation	lit
obscure	magap tawn ai
obscure	n dan dawng ai
obscure	n dan leng ai
observation	masat masa galaw lu ai lam
observation	maram masam yu ai lam
observe	yu ai
observe	mada ai
obsessed	masa mat ai
obsessed	mayawn ai
obsession	myit hta rawng mat ai lam
obsession	myit chyung ai lam
obsolete	prat madang ndep ai
obsolete	akyu nrawng ai
obstacle	numdaw numdan
obstacle	dingbai dinla
obtain	hkap la lu ai
obtained	shakut lu la ai
obtained	lu la ai
obvious	dan dawng ai
obvious	dan leng ai
obviously	dan leng ai
obviously	adan aleng
occasionally	masa hta hkan n na
occupation	kan bau bungli
occupied	shang nga ai
occupied	shara la kau ai
occur	byin pru wa ai
occurred	byin pru wa ai
occurs	byin pru wa ai
occurs	rawt byin wa ai
ocean	hka dan
ocean	nammukdara
october	kala ta
odd	tai
odds	atai re ai ni
odds	tai sha
of	na
of course	she rai
off	hkring ai
off	jahkring ai
offensive	chye ai
offensive	n ra ai
offer	hkungga jaw ai
offer	jaw ai
office	rung
official	tara shang ai lam
official	tara shang ai rai
often	Jahkring hkring
oh really	kaja re i
oil	sau
oil	namman
ok	Mai sa
ok dear	hkrak sai tsaw
ok honey	mai sa nja wa e
ok my love	maisa tsawra
okay	Mai kaja sai
okay baby	Mai sa nja
okay dear	kaja sai tsaw
okay honey	mai sa tsawra
okay my love	maisa tsawra
old	kaba ai
old	dingsa
on	Ntsa hta
on	Ntsa e
once	kalang ta
one	langai
one language is never enough	Tsun shaga ai ga langai hte sha gaw galoi n law ai
onion	shakau hkyeng
only	sha
open	hpaw ninghtan ai
open	hpaw da ai
operation	hpyen gasat ai lam
operation	kadoi ga ai lam
opinion	mu mada ai lam
opinion	ning mu
opportunities	ahkaw ahkang ni
opportunity	a hkaw a hkang
opposite	nhtan shai
optimistic	kaja ai myit rawng ai
optimistic	kaja ai mu chye ai
option	lata la na ahkang
