a little	тӀэкӀу
impact	Ӏумэт
impact	пхырыкӀ зиӀэ
impatient	шыӀэныгъэншэ
implement	хэшэн
import	импорт щӀын
import	импорт
important	мыхьэнэшхуэ зиӀэ
impose	кӀэрыщӀэн
impossible	хъункӀэ Ӏэмал зимыӀэ
impress	гукъинэ щыхъун
impression	гукъинэ
impressive	гукъинэ
improve	егъэфӀэкӀуэн
improvement	нэхъыфӀ хъуныгъэ
improvement	ефӀэкӀуэныгъэ
in addition	дыщӀыгъуу
In fact	ЗэрыщытымкӀэ
in front of	ипэ
in order to	щхьэ
inappropriate	къемыкӀу
incentive	тезыгъэгушхуэ
incident	мыхъумыщӀагъэ
include	щӀэгъэнэн
including	хэгъэхьауэ
income	хэхъуэ
inconvenience	мытыншыгъэ
increase	хэгъэхъуэныгъэ
increase	хэгъэхъуэн
increased	хэхъуп
incredible	щхьэм къимытӀасэ
indeed	пэж дыдэу
independent	зыми щымыгугъ
India	Индие
indicate	гъэлъэгъуэн
indigenous	нэхъыщхьэ
individual	цӀыху
industry	промышленность
inevitable	фӀэкӀ зимыӀэ
infant	сабий цӀынэ
infection	зэрыцӀалэ уз
infinity	мыухыж
inflammation	къэпщыныгъэ
inflammation	бэгыныгъэ
inflation	инфляцэ
influence	лъэкӀыныгъэ
influence	хэлӀыфӀыхьыныгъэ
inform	хъыбар егъэщӀэн
information	информацэ
information	зэдащӀэ
ingredients	халъхьэхэр
inheritance	щӀэин
initial	пэублэ
initiative	гукъыдэжыныгъэ
injured	уӀэгъэ зиӀэ
injury	фэбжь
innocent	къуаншэкъым
innocent	мыкъуаншэ
innovation	щӀэ гуэр дунейм къытехьэныгъэ
inquiry	щӀэупщӀэныгъэ
insane	делэ хъуа
insect	хпщхупщ
insecure	зигурэ зи щхьэрэ зэтемылъ
insert	хэлъхьэн
insert	хэгъэувэн
inside	и кӀуэцӀым
insight	къэунэхуныгъэ
insight	къэщӀэжыныгъэ
insist	тегъэкӀыныхьын
insomnia	жеиншагъэ
inspiration	гухэхъуэгъуэ
inspire	къыхуэгъэушын
install	тегъэувэн
instance	къэхъуныгъэ
instant	напӀэзыпӀэ
instead	и пӀэкӀэ
instead of	и пӀэкӀэ
instructions	жыпхъэ
instrument	Ӏэмэпсымэ
insult	икӀагъэ
insurance	страховкэ
insurance	хъумэнкӀэ зэгурыӀуэныгъэ
insurance	зэгурыӀуэныгъэ
intact	сэкъатыншэ
integrity	псо
intellectual	акъылыфӀэ
intelligence	акъыл
intelligent	губзыгъэ
intend	гугъэн
intended	хухэха
intense	гузэва
intention	мурад
interact	зэдэщӀэн
interaction	зэдэщӀэныгъэ
interest	гулъытэ
interested	зыфӀэгъэщӀэгъуэн
interesting	гъэщӀэгъуэн
interfere	хэӀэбэн
intermediate	зэхуаку зиӀэ
internal	кӀуэцӀ
international	къэрал зэхуаку
international	лъэпкхъхэм зэдай
internship	ӀэщӀагъэм щыхуагъасэ
interpret	зэдзэкӀын
interpreter	зэдзэкӀакӀуэ
interrupt	зэпыудын
interview	интервью
intimate	гъунэгъу
introduce	къызыщыгъэхъун
introduction	хэзыгъэгъуазэ
introvert	и щхьэ хуэпсэуж цӀыху
intuition	къащӀэ
intuition	интуицэ
invalid	пцӀы
invent	хъуэжыныгъэ
inventory	Ӏэмэмсымэ
invest	мылъкур предприятэ гуэрым хэлъхьэн
investigate	зэхэгъэкӀын
invitation	егъэблэгъэныгъэ
invite	къегъэблэгъэн
invoice	есэп
invoice	есэп хуэгъувын
involve	щӀэгъэнэн
involved	хэша
iron	ету
iron	ету тедзэн
is	щытщ
island	хытӀыгу
isolated	щхьэхуэ
isolated	закъуэ
issue	къыхэгъэкӀын
issue	Ӏуэхугъуэ гугъу
issues	Ӏуэхугъуэ гугъу
it	ар
it is	мыр щытщ
it was	щыӀащ
it's	мыр щытщ
it's ok	псори тэмэмщ
it's ok	псори хъарзынэщ
It's okay	Псори тэмэмщ
item	хьэпшып
items	хьэпшыпхэр
its	и
I’m	Сэ сыщытщ
jacket	кӀагуэ
jail	тутнакъ
jail	лъэхъуэщ
January	ЩӀышылэ
jar	банкӀ
jaw	жьэпкъ
jealous	езыфыгъулӀэ
jerk	хэлъэтын
jewelry	цӀугъэнэ зралъхьэхэр
job	лэжьапӀэ
job	лэжьыгъэ
join	хыхьэн
joint	зэгъусэ
joint	зэщӀыгъу
joke	гушыӀэ
journalist	журналист
journey	дунеялъэ
joy	гуфӀэгъуэ
judge	хеящӀэ
judge	хей щӀын
juice	псы
juice	пхъэщхьэмыщхьэпс
july	бадзэуэгъуэ
jump	дэпкӀеин
june	мэкъуауэгъуэ
junk	пхъэнкӀий
just	пэж
just	ауэ
just do it	ауэ щӀэи ара
justice	суд захуэ
justify	хей щӀын
Kabardian	Къэбэрдей
Kabardian	Адыгэ
Kalaallisut	Калааллист
keen	губзыгъэ
keen	Ӏущ
keep	Ӏыгъын
keep it up	апхуэдэ дыдэу пыщэ
kept	иӀыгъащ
kettle	шеиныч
key	ӀункӀыбзэӀух
key	псынэ
kick	еӀунщӀын
kick	лъакъуэкӀэ кӀэщӀэуэн
kid	сабий
kidding	мэгушыӀэ
kidney	жьэжий
kids	сабийхэр
kill	укӀын
kind	щытыкӀэ
kind	фӀы
kinda	хуэдэ
kindly	кхъыӀэ
kindness	угъурлыгъэ
king	пащтыхь
kiss	ба хуэщӀын
kitchen	пщэфӀапӀэ
kite	хьэуам ерс блэ
kitten	джэду цӀыкӀу
knee	лъэгуажьэ
knew	сщӀэт
knife	сэ
knight	рыцарь
know	щӀэн
knowledge	щӀэныгъэ
known	цӀэрыӀуэ
Konkani	Конканэ
Krio	Криэ
label	дамыгъэ тедзэн
label	дамыгъэ
labor	гугъуехь
labour	гугъуехь
lack	ныкъусаныгъэ
lack	щыщӀагъэ
ladder	пкӀэлъей
lady	цӀыхубз
lady	фыз
laid	шэсыпӀэ илъхьэн
laid	къэхухьын
lake	гуэл
lamb	щынэ
lame	ещӀэкъуауэ
lamp	уэздыгъэ
land	щӀым деж къетӀысэхын
land	щӀы
landscape	щӀыуэпс сурэт
language	бзэ
lap	лъэгуажьэхэр
large	ин
last	иужь
last but not least	иужь дыдэщ, ауэ нэхъ мыхьэнэншэкъым
last name	унэцӀэ
late	гува
lately	куэд мыщӀэу
later	нэхъ гувауэ
latest	иужь
latter	иужь
latter	и кӀэ
laugh	дыхьэшхын
laughing	дыхьэшх макъ
laughter	дыхьэшх макъ
launch	егъэжьэн
laundry	жьыщӀэн
law	закон
law	хабзэ
lawn	хуей мыин
lawn	удзыпӀэ щӀыпӀэ тӀэкӀу
lawyer	къэрал хабзэхэмкӀэ ӀэщӀагъэлӀ
lay	телъхьэн
layer	къат
layout	хэщӀапӀэ
layout	фӀыуэ хущытыныгъэ
lazy	щхьэхынэ
lead	егъэкӀуэкӀын
leader	пашэ
leaf	тхьэмпэ
leaf	тхылъымпӀэ
leak	ежэхын
lean	зегъэзыхын
leap	дэпкӀеин
learn	зэгъэщӀэн
learn	егъэджэн
learning	егъэджэныгъэ
lease	бэджэнд
least	нэхъ мащӀэу
leather	фэ
leave	зыгъэпсэхугъуэ
leave	къэгъэнэн
leaves	тхьэмпэ
led	ишэу щытащ
led	ишащ
left	сэмэгумкӀэ
leg	лъакъуэ
legacy	щӀэин
legal	законым тет
legend	таурыхъ
legend	тхыдэ
legit	хабзэм тет
leisure	зыгъэпсэхуныгъэ
lend	къеӀыхын
length	кӀыхьагъ
less	нэхъ мащӀэ
lesson	дерс
let	хуэдэн
letter	пощт
lettuce	яшх къэкӀыгъэ
level	здынэсыр
leverage	щӀыхь
liability	жэуап хьыныгъэ
library	тхылъ унэ
lick	ебзеин
lie	пцӀы
lie	къэгъэпцӀэн
lies	пцӀы
life	гъащӀэ
lift	дэкӀуэтеипӀэ
lift	къэӀэтын
light	псынщӀэ
light	нэху
light	щӀэгъэнэн
lightning	щыблэ
lightning	кӀуэныгъэ
like	игу ирихьын
likely	енэгуеигъуэ
likewise	апхуэдэу
line	итхъа
Lingala	Лингалэ
link	зэпыщӀэныгъэ
lion	аслъэн
liquid	ткӀуаткӀуэ
liquid	псыӀэгъэ
list	спискэ
listen	едэӀуэн
listening	едаӀуэр
literally	зэрыщыт
literature	литературэ
litter	уфӀеин
little	цӀыкӀу
live	псэун
live	жыджэр
liver	тхьэмщӀыгъу
lives	мэпсэу
living	гъащӀэ
living room	хьэщӀэщ
lizard	шындырхъуо
load	хьэлъэ
loaf	щӀакхъуэ
loan	щӀыхуэ
local	щӀыпӀэ
local	щӀыпӀэ хэхам щыпсэу
location	щӀыпӀэ
lock	быдапӀэ
lock	ӀункӀыбзэ
lockdown	щхьэхуэ щӀа
log	ентӀыр
lol	гуфӀэгъуэ макъ
lonely	закъуэ
long	кӀыхь
long time no see	куэд щӀауэ дызэрылъэгъуакъым
look	плъэкӀэ
look	плъэн
loop	кӀапсэ зэрыдза
loose	хуит къэщӀын
loose	хуит
lord	тепщэ
lose	гъэкӀуэдын
loss	кӀуэдар
lost	кӀуэда
lot	насып
lot	ӀуэхузэхэлъыкӀэ
loud	ину
lounge	пэшышхуэ
love	лъагъуныгъэ
love	лъагъуныгъэ хуэщӀын
love you	фӀыуэ узолъагъу
lovely	закъуэ
low	лъахъшэ
lower	и лъабжьэ
loyal	пэж
loyalty	хуэщыпкъэныгъэ
luck	ехъулӀэныгъэ
lucky	къызэхъулӀэ
Luganda	Лугандэ
luggage	зыдахь хьэпшып
lump	тыкъыр
lunch	шэджагъуашхэ
lungs	тхьэмбыл
luxury	къулеиныгъэ
lying	пцӀыӀуэпцӀышэ
machine	машинэ
mad	убыдыпӀэншэ
madam	гуащэ
made	сщӀащ
magazine	журнал
magnificent	гъуэзэджэ
maid	хамэ унэм щыӀэпыдзлъэпыдз цӀыхубз
main	нэхъыщхьэ
main	пашэ
maintain	дэӀыгъын
maintenance	гъэлэжьэн
Maithili	Майтхилэ
major	майор
major	пӀащэ
majority	нэхъыбэр
make	щӀэн
make up	зэхэгъэувэн
male	хъу
mall	сату щӀыпӀэшхуэ
man	лӀы
man	цӀыхухъу
manage	зегъэкӀуэн
management	зехьэныгъэ
management	зегъэкӀуэныгъэ
manager	ӀуэхущӀапӀэм и лэжьыгъэр унэтӀыныгъэмкӀэ ӀэщӀагъэлӀ
mandatory	фӀэкӀыпӀэ зимыӀэ
manifest	манифест
manipulate	хьэгъэщагъэ зехьэн
manner	щытыкӀэ
manual	Ӏэпщэ
manual	ӀэкӀэ щӀа
many	куэд
many many happy returns of the day	укъыщалъхуа махуэр пхуэугъурлын
march	макъамэ укъызыщӀэзыӀэтэ
march	зекӀуэкӀэ зыщӀэгъэуӀуа
margin	хэхъуэ
market	бэзэр
marriage	нэчыхь
marriage	дагъуэ
married	фыз зиӀэ
mask	нэкӀуӀулъхьэ
mass	хьэлъагъ
mass	массэ
mass	куэд
massive	хьэлъэ
massive	ин
master	ӀэщӀагъэлӀ
match	зэтехуэн
match	зэтехуэныгъэ
mate	ӀупэфӀэгъу
material	материал
math	матиматикэ
matter	мыхьэнэ зиӀэ
matter	щытыкӀэ
maturity	хъугъуэ
maturity	балигъыпӀэ
may	щӀэн
may	накъыгъэ
may	лъэкӀын
maybe	щытынкӀэ хъунущ
me	сэ
me too	сэри
meal	шхын
mean	ябгэ
mean	мыхьэнэ иӀэн
meaning	мыхьэнэ
means	хэкӀыпӀэхэр
meant	зыгуэр къзэрыкӀыу щыта
meanwhile	а зэманым
measure	къэпщын
measures	мардэ
measures	Ӏэмалхэр
meat	лы
medical	медицинскэ
medicine	хущхъуэ
meditation	егупсысыныгъэ
medium	курыт
meet	пежьэн
meeting	зэхуэзэ
Meiteilon	Мейтейлиуэн
melt	ткӀун
memories	гукъэкӀыж
memory	гурыхуагъэ
memory	гукъэкӀыж
mental	акъылкӀэ
mention	игу къэгъэкӀыжын
mention	къиӀуэн
mentioned	къыхэгъэща
mentioned	зи цӀэ къиӀуа
mentor	гъэсакӀуэ
merchant	сатуущӀэ
merchant	зыщэ
mercy	гущӀэгъу
merely	къудей
merry christmas	хъуромэм насып къыдэкӀуэну
mess	зэкӀэлъымыкӀуагъэ
message	хъыбарыщӀэ
message	зэрызэрыщӀэ
messy	фӀей
metal	гъущӀыкӀэ
method	щӀыкӀэ
mice	дзыгъуэхэр
middle	зэхуаку
midnight	жэщ ныкъуэ
might	лъэщ
mild	тынш
mild	псынщӀэ
milestone	гъуэгу дамыгъэ
military	зауэ
milk	шэ
million	мелуан
mind	акъыл
mind	едэуэн
mindset	гупсысэкӀэ
mine	щӀыщӀагъ хъугъуэфӀыгъуэхэр къыщыщӀах щӀыпӀэ
mine	сысей
mingle	зэхэзэрыхьын
minor	мыхьэнэншэ
minute	дакъикъэ
minutes	дакъикъэхэр
miracle	телъыджэлажьэ
mirror	гъуджэ
miscellaneous	зэмылӀэужьыгъуэ
mischievous	къуейщӀей
miserable	гу зыщӀэгъу
misery	насыпыншагъэ
miss	блэгъэкӀын
miss you	сигу укъокӀ
missing	иримыкъу
mission	къалэн
mist	пшагъуэ
mistake	щыуагъэ
Mizo	Мизэ
mobile	мобильнэ
mock	щыдыхьэшхын
model	модель
model	зыгуэрым и щапхъэ
moderate	зэпӀэзэрыт
moderate	щабэ щӀын
modern	иджырей
modest	нэмысыфӀэ
moist	псыӀэ
moisture	псыӀэ
mold	щытыкӀэ
mold	щытыкӀэ етын
mole	щӀыӀуб
mom	анэ
mom	мамэ
moment	напӀэзыпӀэ
monday	блыщхьэ
money	ахъшэ
monitor	кӀэлъыплъын
monkey	номин
month	мазэ
mood	нэжэгужэ
moody	цӀикъ
moon	мазэ
moral	хьэл-щэн мардэхэм епха
more	нэхъыбэ
moreover	абы нэмыщӀ
morning	пщэдджыжь
mortgage	ипотекэ
most	нэхъыбэу
mostly	нэхъыбэу
mother	анэ
motion	гъэхъеиныгъэ
motivation	тегъэщӀэн
mountain	бгы
mouse	дзыгъуэ
mouth	жьэ
move	гъэхъеин
movement	гъэхъеиныгъэ
movie	фильм
mrs	инджылыбзэ къэралхэм цӀыхубзхэм я цӀэ-унэцӀэм пыту жаӀэ
much	куэд
mud	ятӀэ
mud	фӀей
mug	кӀрушкӀэ
muscle	лыпцӀэналъэ
museum	музей
mushroom	Ӏэгъэбэгу
music	уэрэд
must	хуэныкъуэныгъэ
must	ищӀэн хуейщ
mute	бзагуэ
mutual	зэдай
my	сысей
My dear	Си лъапӀэ
my friend	си ныбжьэгъу
My hovercraft is full of eels	Си кхъухь хьэуа щхьэнтэр блэм ещхь бдзэжьейхэмкӀэ гъэнщӀащ
my love	си лъагъуныгъэ
my name is	сэ къызэрызэджэр
my pleasure	Ӏуэхукъым
myself	сэ езым
mysterious	мыгурыӀуэгъуэ
mystery	къуажэхь
myth	таурыхъыжь
myth	псысэ
nail	гъущӀӀунэ
naive	зэхэщӀыкӀыншэ
name	цӀэ
narrative	къэӀуэтэжыныгъэ
narrow	зэв
nasty	Ӏей
nasty	цӀапӀэ
national	лъэпкъ
nationality	лъэпкъ
native	нэхъыщхьэ
natural	зэрыщыт дыдэ
nature	щӀыуэпс
nausea	гукъекӀуэныгъэ
near	гъунэгъуу
nearby	гъунэгъуу
nearly	нэблагъэ
neat	хуэсакъ
necessary	узыхуэныкъуэ
neck	пщэ
necklace	абдж щыгъэ
need	хуэныкъуэныгъэ
need	хуэныкъуэн
negative	Ӏей
neglect	гулъытэншэу къэгъэнэн
negotiate	зэпсэлъэныгъэ егъэкӀуэкӀын
neighbor	гъунэгъу
neighborhood	куей
neither	зыри
nephew	дэлъху бын
nephew	къуэш бын
nephew	шыпхъу бын
nerd	еджэн фӀэкӀа къызыфӀэмыӀуэху
nervous	губжьрей
nest	абгъуэ
net	хъы
network	хъы
neutral	аткӀи-мыткӀи хэмыхьэ
never	зэикӀ
never give up	зей зыри зэтомыгъакӀуэ
never give up	укъимыкӀуэт
never mind	мыщӀагъуэ
nevermind	мыщӀагъуэ
nevertheless	дапхуэдэу щымытми
new	щӀэ
news	хъыбарыщӀэ
next	къыкӀэлъыкӀуэр
next to	гъусэу
nice	фӀы
nice to meet you	си гуапэщ укъызэрысцӀыхуар
niece	дэлъху бын
niece	шыпхъу бын
night	жэщ
nightmare	гуӀэгъуэ
nightmare	шынагъуэ
nine	бгъу
nineteen	пщыкӀубгъу
ninety	бгъущӀ
No	Хьэуэ
no problem	проблемэ щыӀэкъым
no way	зыуикӀ
nobody	зыри
noise	даущ
noise	Ӏэуэлъауэ
noisy	Ӏэуэлъауэ
none	хьэуэ
noon	шэджагъуэ
noon	махуэ ныкъуэ
nope	хьэуэ
normal	тэмэм
north	ищхъэрэ
nose	пэ
nostalgic	гукъэкӀыж зыхэлъ
not at all	хьэуэ дыдэ
not bad	Ӏейкъым
Not now	Иджыпстукъым
not yet	иджыри хьэуэ
note	заметкэ
noted	къыхэгъэща
nothing	зыри
notice	гу лъытэн
noticed	гу лъитащ
noun	щыӀэцӀэ
nouns	щыӀэцӀэ
novel	роман
november	щэкӀуэгъуэ
now	иджыпсту
nowadays	ди махуэхэм
nuisance	лъэпощхьэпо
nuisance	зэран хъу
nuisance	ныкъусаныгъэ
null	нол
null	зыри
numb	ундэрэбжьа
number	номыр
nurse	медицинэ ӀэщӀагъэ курыт зиӀэ цӀыхубз
nut	дэ
nutmeg	мускатнэ дэ
nutrition	пкъыгъуэ сэбэп зыхэлъ
oath	тхьэрыӀуэ
obesity	пшэр хъуныгъэ
obey	хуэпщылӀын
object	щӀыпӀэ
object	объект
objective	къалэн
obligation	къалэн
obscure	мыцӀэрыӀуэ
observation	кӀэлъыплъыныгъэ
observe	кӀэлъыплъын
obsessed	зэщӀиӀыгъэ
obsession	зэщӀэӀыгъэныгъэ
obsolete	жьы хъуа
obstacle	зэран хъу
obstacle	пэщӀэуэныгъэ
obtain	Ӏэрыхьэн
obtained	къыӀэрыхьащ
obvious	шэч зыхэмылъ
obviously	нэрылъагъущ
occasionally	иныкъуэм деж
occupation	ӀэщӀагъэ
occupied	зыхущӀэмыхьэ
occur	къэхъун
occurred	къэхъуащ
occurs	къохъу
ocean	хы
october	жэпуэгъуэ
odd	гъэщӀэгъуэн
odd	телъыджэ
odds	гугъапӀэхэр
of course	дауи
off	гъэуфӀынкӀа
offensive	гуауэ пщыхъу
offer	Ӏуэхугъуэ гуэр къыхэлъхьэн
offer	хьэрычэт
office	лэжьыгъэ гуэр щрагъэкӀуэкӀ пэш
official	официальнэ
often	куэдрэ
Oh	Уэху
oh really	гушыӀэншэу
oil	дагъэ
ok	хъарзынэ
ok	тэмэм
ok dear	хъунщ, лъапӀэ
ok honey	хъунщ, лъапӀэ
ok my love	хъунщ, фӀыуэ слъагъу
okay	хъарзынэ
okay	тэмэм
okay baby	тэмэмщ, псэм хуэдэ
okay dear	хъунщ, лъапӀэ
okay honey	хъунщ, лъапӀэ
okay my love	хъунщ, си лъагъуныгъэ
old	жьы
once	зэ
one	зы
one language is never enough	Зы бзэ закъуэкӀэ зей урикъунукъым
onion	бжьын
online	дунейпсо бэджыхъым щис зэман
online	онлайн
only	къудей
open	Ӏуха
operation	операцэ
opinion	еплъыкӀэ
opportunities	Ӏэмал
opportunity	Ӏэмал
opposite	зэпэщӀэуэ
optimistic	нэжэгужэ
option	лӀэужьыгъуэ
optional	умыщӀэми хъуну
or	е
orange	тӀамы
orange	гъуэжь-плъыжьыфэ
order	унафэ щӀын
order	тэмэмагъ
ordinary	къызэрыгуэкӀ
organization	къызэгъэпэщыныгъэ
orientation	хуэунэтӀыныгъэ
orientation	гъуазэ
origin	къызыхэкӀар
original	къахэщхьэхукӀ
original	зыми къытрамыха
Oromo	Оромэ
orphan	зеиншэ
other	нэгъуэщӀ
otherwise	нэгъуэщӀу
ought	хуейщ
our	дыдей
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	Дэ ди къэлэныр: псоми дунейр зэхащӀыкӀыну, бзэ зэмылӀэужьыгъуэхэмкӀэ я гупсысэр къаӀуэтэну хуит щӀынырщ.
Our mission: to organize the world's information and make it universally accessible and useful.	Дэ ди къэлэныр: информацэр зэдгъэзахууэу ар дэндежи гъуэтыгъуафӀэ икӀи сэбэп щӀынырщ.
out	и щӀыӀум
outcome	кӀэ зэригъуэта щӀыкӀэ
outfit	щыгъын
outfit	гуп
outgoing	къыздикӀ
outlet	иӀупӀэ
outlet	розеткэ
outline	къэтхъыхьыныгъэ
outside	и щӀыӀум
outstanding	мыхьэнэшхуэ зыхэлъ
oven	духовкэ
over	нэхъыбэу
over there	абдеж
overall	къудейщ
overall	псори
overcome	фӀэкӀын
overcome	щхьэдэхын
overthinking	шыхьыныгъэ
overwhelmed	телъыджэ
overwhelming	телъыджащэ
owe	щытын хуейщ
owl	жьынду
own	Ӏыгъын
own	узыхуит
own	къэгъэсэбэпын
owner	зей
owner	зыбгъэдэлъ
ox	гуу
pace	лъэбакъуэ
pack	зэкӀуэцӀыпхэн
package	зэрызыкӀуэцӀалъхьэ
package	зыкӀуэцӀылъыр
paid	уасэ щӀитащ
pain	уз
paint	лэч
painting	ӀэкӀэ щӀа сурэт
pair	зэгъусэ
pair	тӀу
pale	фагъуэ
palm	Ӏэгу
pan	тебэ
pandemic	пандемие
panic	гужьеигъуэ
panic	хьэрпхъэр
pants	гъуэншэдж
paper	тхьэмпэ
paper	тхылъымпӀэ
paradise	жэнэт
parallel	зэпэщӀэуэ
parcel	гъэкӀуэныгъэ
pardon	тезэрыр техыжыныгъэ
pardon	хуэгъэгъуныгъэ
parents	адэ-анэ
park	зыщагъэпсэху
parrot	бгъэудзыфэ
parrot	дыдыкъуш
parsley	къуэн
part	Ӏыхьэ
participate	хэтын
particular	хэха
particular	пыухыкӀа
particularly	псом хуэмыдэу
partner	гъусэ
party	пшыхьзэхэс
party	щӀэпщакӀуэ
pass	кӀуэцӀрыкӀын
pass	къыщӀыхьэн
passage	кӀуэцӀрыкӀыпӀэ
passed	кӀуэцӀрыкӀащ
passion	дэзыхьэх
passionate	фӀэфӀагъэ ин зыхэлъ
passive	жэрдэмыншэ
password	пароль
past	блэкӀа
patch	Ӏыхьэ
path	гъуэгу
pathetic	гу зыщӀэгъу
patience	зышыӀэныгъэ
patient	сымаджэ
patient	шыӀэныгьэ зыхэлъ
pattern	тхыпхъэщӀыпхъэ
pause	зэпыугъуэ
pavement	ЦӀыхухэр здызекӀуэ гъуэгу Ӏыхьэ
pay	щӀэтын
payment	уасэр щӀэтыныгъэ
peace	дуней
peace	мамыр
peaceful	мамыр
peach	шэфтал
peak	нэӀу
pear	кхъужь
peas	джэшхъурей
peas	гуузджэш
peculiar	хэха
peculiar	щхьэхуэ
pee	гъутхьэпс
pee	тхэн
peel	фэ
peer	уи ныбжь
peers	ныбжьхэр
pen	къалэм
pencil	къэрэндащ
pending	ежьэн
people	цӀыхухэр
pepper	шыбжий
pepper	бурш
perceive	къыгурыӀуэн
perception	къэщӀэныгъэ
perception	къызэрыщыхъу
perfect	къызыхуэтыншэ
perform	гъэзэщӀэн
performance	зэлэжьам мыхьэнэ зиӀэумкъыхэкӀар
perhaps	къэхъункӀэ хъун
period	зэман
period	пӀалъэ
permanent	зэпымыу
permission	хуитыныгъэ
permit	хуэдэн
perseverance	ерыщыгъэ
persistent	ерыщ
person	цӀыху
personal	и щхьэкӀэ
personality	цӀыхум и Ӏуплъэ
personality	цӀыху щхьэхуэ
perspective	еплъыкӀэ
persuade	и фӀэщ щӀын
pervert	лейзехьэ
pet	унэ псэущхьэ
phase	пӀалъэ хэха
phase	лъэхъэнэ
phenomenon	къэхъу-къащӀэ
philosophy	философие
phone	телефон
photo	сурэт
phrase	жыӀэкӀэ
physical	Ӏэпщэ къару зыхь
pick	къыхухэхын
pick up	къыхэхын
pick up	къэщтэжын
picture	ӀэкӀэ щӀа сурэт
piece	Ӏыхьэ
pieces	Ӏыхьэхэр
pig	кхъуэ
pigeon	тхьэрыкъуэ
pile	Ӏэтэ
pillow	щхьэнтэ
pilot	кхъухьлъатэзехуэ
pin	мастэкъуаншэ
pin	кӀэмастэ
pineapple	ананас
pink	тхьэмбылыфэ
pit	мащэ
pitch	лъагагъ
pity	гущӀэгъуныгъэ
place	щӀыпӀэ
place	щӀэгъэзэгъэн
places	щӀыпӀэхэр
plague	емынэ
plain	гурыӀуэгъуафӀэ
plan	план
plane	кхъухьлъатэ
plant	къэкӀыгъэ
plants	къэкӀыгъэхэр
plate	тепщэч
platform	платформэ
play	джэгун
play	пьесэ
playing	джэгу
pleasant	гуакӀуэ
please	кхъыӀэ
please	арэзы щӀын
pleased	арэзы хъуа
pleasure	гухэхъуэ
pledge	тхьэрыӀуэ
plenty	куэд
plot	художественнэ тхыгъэм щекӀуэкӀ Ӏуэхугъуэхэр
plug	гъэбыдэн
plum	къыпцӀэ
plumber	псыщӀэшакӀуэ
plural	куэду щыӀэ
podcast	ютуб зэпсэлъэлӀыныгъэ
poem	усэ
poetry	усыгъэ
point	точкэ
poison	щхъухь
police	полицэ
policy	политикэ
polite	щэныфӀэ
pollution	уфӀеиныгъэ
pond	псы ӀущӀа
pool	зыщагъэпскӀ
pool	бассейн
pool	ӀэкӀэ щӀа псыхъурей
poop	щӀыб икӀын
poor	тхьэмыщкӀэ
pop	къэуэн
popular	цӀэрыӀуэ
population	щӀыпӀэм щыпсэу цӀыхухэр
pork	кхъуэл
porridge	кашэ
port	кхъухьхэр здэщыт щӀыпӀэ
position	щӀыпӀэ
position	итыпӀэ
position	тегъэщӀапӀэ
positive	арэзыныгъэ
possess	ӀэщӀэлъын
possess	иӀэн
possession	мылъку
possessive	езым и
possible	Ӏэмал
post	пощт
post	трегъэдзэн
postpone	гъэтӀылъын
potato	кӀэртӀоф
potential	зэрыщытыр
pound	фунт
poverty	тхьэмыскӀагъэ
power	къару
powerful	лъэщ
practical	практическэ
practice	практикэ щӀын
practice	практикэ
praise	щытхъун
prank	дэгушыӀэныгъэ
prank	джэгукӀэ лӀэужьыгъуэ
pray	тхьэ елъэӀун
precious	лъапӀэ
precise	хуэдэпс
precise	техуэпс
precisely	пэжу
predict	къэхъуныр жыӀэн
prefer	нэхъ къэщтэн
preference	нэхъ фӀэфӀыныгъэ
pregnant	лъэщыджэ
pregnant	уэндэхъу
prejudice	хабзэжь
premises	щӀыпӀэ
premium	саугъэт
preparation	гъэхьэзырыныгъэ
prepare	гъэхьэзырын
prepared	хьэзыр
preposition	щхьэусыгъуэ
presence	щыӀэныгъэ
present	иджырей
present	иджыпсту
present	тыгъэ
presentation	презентацэ
preserve	зехьэн
president	Ӏэтащхьэ
press	прессэ
press	текъузэн
pressure	хузыныгъэ
pretend	зыщӀын
pretty	лъагъугъуафӀэ
pretty	дыдэ
prevent	къэгъэувыӀэн
previous	ипэ ит
prey	щхьэузыхь
price	уасэ
pride	пагагъэ
priest	чылисэ лэжьакӀуэ
primary	нэхъапэ
prime	нэхъыщхьэ
prime	пашэ
princess	пащтыхьыпхъу
principal	унэфэщӀ
prior	ипэ ит
priority	пэрытыныгъэ
prison	лъэхъуэщ
prison	тутнакъ
privacy	щэху
private	хабзэу щымыт
privilege	хуитыныгъэ хэха
prize	саугъэт
prize	тыгъэ
probably	къэхъункӀэ хъун
problem	нэкъусэныгъэ
procedure	процедурэ
proceed	пыщэн
process	елэжьын
process	екӀуэкӀыныгъэ
produce	къыдэгъэкӀын
product	Ӏэужь
product	шхыныгъуэ
production	щӀыныгъэ
production	къыдэгъэкӀыныгъэ
profession	ӀэщӀагъэ
professional	ӀэщӀагъэм хуэӀэзэ
profile	нэӀубгъу
profile	хьэпшыпыбгъу
profit	хэхъуэ
profound	куу
progress	зыузэщӀыныгъэ
progress	хэкӀуэтэн
project	проект
prominent	мыхьэнэшхуэ зиӀэ
promise	къэгъэгугъэн
