an	a
pindot	press
presyur	pressure
kuno	pretend
mahusay	pretty
gihuhusayi	pretty
paglikay	prevent
naglabay	previous
biktima	prey
presyo	price
pagpahitaas	pride
padi	priest
primaryo	primary
primero	prime
prinsesa	princess
kapital	principal
unahan	prior
antes	prior
prayoridad	priority
pirisohan	prison
pribado	privacy
pribado	private
prebelehiyo	privilege
premyo	prize
bangin	probably
siguro	probably
problema	problem
pamaagi	procedure
padayon	proceed
proseso	process
prosesoha	process
produkto	produce
produkto	product
produksyon	production
propesyon	profession
propesyonal	professional
tan-aw ha tagiliran	profile
kita	profit
hilarom	profound
sakto	profound
pauswaga	progress
pag uswag	progress
proyekto	project
prominente	prominent
igsaad	promise
saad	promise
pagpauswag	promote
promosyon	promotion
pag gios	prompt
masayon	prone
pronombre	pronouns
pagluwas	pronunciation
ebidensya	proof
husto	proper
husto	properly
gintatag iya	properties
propyedad	property
mga suhestyon	proposal
paglaom	prospect
kauswagan	prosperity
mauswagon	prosperous
panalipdi	protect
hambog	proud
mapahitas-on	proud
pagpamatuod	prove
paghatag	provide
ginhatag	provided
probinsya	province
pagtagana	provision
pagdaraga	puberty
publiko	public
pagbutong	pull
karabasa	pumpkin
maagap	punctual
estudyante	pupil
pagpalit	purchase
puro	pure
purpura	purple
katuyoan	purpose
pitaka	purse
pagpadayon	pursue
paglanat	pursuit
duso	push
ibutang	put
kwalipikasyon	qualification
kalidad	quality
kadamu	quantity
kwarentinas	quarantine
away	quarrel
awaya	quarrel
kwarto	quarter
Quechua	Quechua
rayna	queen
kakaiba	queer
pakiana	query
pakiana	question
igpila	queue
pila	queue
madagmit	quick
magdagmit	quickly
mingaw	quiet
hilom	quiet
panapton	quilt
paghunong	quit
bug-os gud	quite
bangin gud	quite
pakiana	quiz
kotasyon	quotation
kotara	quote
kotar	quote
ginkotar	quotes
koneho	rabbit
karera	race
lahi	race
kasina	rage
uran	rain
dugangi	raise
pagdugang	raise
alsaha	raise
gin alsa	raised
dinalagan	ran
panapang	random
sulod	range
nasasakop	range
madagmit	rapid
madagmit	rapidly
talagsa	rare
talagsahon	rare
danay la	rarely
agresibo	rash
yatot	rat
kalaksi	rate
lugod	rather
diri	rather
imbes	rather
pagtunga-tunga	ratio
rasyonal	rational
hilaw	raw
nga	re
pagdatong	reach
pagkaabot	reach
nakaabot	reached
reaksyon	reaction
pagbasa	read
pagbasa	reading
andam na	ready
tinuod	real
ungod	reality
masabtan	realize
nahibaro	realized
tinuod	really
ungod	really
luyo	rear
urhi	rear
hinungdan	reason
rason	reason
makatadungan	reasonable
nahinunumdoman	recall
pagkarawat	receipt
resibo	receipt
makarawat	receive
kinarawat	received
bag-o pa	recent
bag-o pa	recently
bag-o la	recently
pagkarawat	reception
resipe	recipe
kimas	reckless
pagkilala	recognition
kilal-on	recognize
irekomendar	recommend
iginrirekomendar	recommended
irekord	record
rekord	record
pag ayo	recover
pagbawi	recovery
rektangulo	rectangle
pula	red
pagbayad	redeem
paglukat	redemption
pag-bawas	reduce
pagpaubos	reduce
labis	redundant
sobra	redundant
pag unabi	refer
ginhihisgotan	reference
ginpapakita	reflect
pagpakita	reflection
paglikay	refrain
pridyeder	refrigerator
pagbalik han bayad	refund
pagdumiri	refuse
pagdumiri	refused
pagtagad	regard
mahitungod	regarding
mahiunong	regarding
may kalabotan	regarding
anoman	regardless
mga pagbati	regards
rehiyon	region
pagrehistro	register
pagbasol	regret
regular nga	regularly
igsalikway	reject
kalabotan	relate
may kalabotan	related
relasyon	relationship
paryente	relative
damo an paryente	relative
mga paryente	relatives
pahuway	relax
pagpagawas	release
igawas	release
ginpagawas	released
may kalabotan	relevant
masasarigan	reliable
pagbulig	relief
nakaginhawa	relieve
ginpagawas	relieved
relihiyon	religion
relihiyoso	religious
diri andam	reluctant
pagruhaduha	reluctant
sarig	rely
magpabilin	remain
nahibilin	remaining
makatirigamnan	remarkable
solusyon	remedy
hinumdumi	remember
pahinumdom	remind
pahinumdom	reminder
harayo	remote
kuhaon	remove
iginhubad	render
plete	rent
pag ayad	repair
pag utro	repeat
pagliwan	replace
batona	reply
baton	reply
sumati	report
sumat	report
representante	represent
reputasyon	reputation
hangyo-s	request
paghangyo	request
kinahanglan	require
kinahanglan	required
pagtalwas	rescue
pagsaliksik	research
magkapareho	resemble
pagdumot	resentment
reserbasyon	reservation
pagtipig	reserve
residente	resident
pag undang	resign
pag antos	resilience
makusog	resilient
pag ato	resist
pag diri	resist
atohan	resistance
resolusyon	resolution
pagsulbad	resolve
mga bahandi	resources
tahori	respect
pagtahod	respect
batona	respond
baton	response
responsabilidad	responsibility
responsable	responsible
iba	rest
pahuway	rest
pahuway ha kamurayawan	rest in peace
restawran	restaurant
ibalik	restore
paglimita	restrict
resulta	result
resulta	results
iginpadayon	resume
parte la	retail
pagtipig	retain
pagtipig	retention
nagretiro	retired
atras	retreat
pagkuha	retrieve
pagbalik	return
pagpadayag	reveal
iginpadayag	revealed
pagbulos	revenge
kita	revenue
pagbalik	reverse
pagrepaso	review
pagrepasoha	review
pagrepaso	revise
rebisyon	revision
rebolusyon	revolution
balos	reward
ritmo	rhythm
gusok	rib
bugas	rice
humay	rice
riko	rich
pagwara	rid
igsakay	ride
sakay	ride
waray pulos	ridiculous
tama	right
tinuod	right
tuo	right
yana gud	right now
istrikto	rigid
singsing	ring
paghugas	rinse
kasamok	riot
pagbulag	rip
bulagi	rip
hinog	ripe
tindog	rise
pagtindog	rise
peligroha	risk
peligro	risk
karibal	rival
salog	river
kalsada	road
sinanlag	roast
inihaw	roast
makusog	robust
bato	rock
sungkod	rod
papel	role
paglunay	roll
atop	roof
kwarto	room
gamot	root
higut	rope
dunot	rotten
malumo	rough
haros	roughly
malidong	round
ruta	route
rutina	routine
linya	row
ighihirog	rub
goma	rubber
basura	rubbish
bastos	rude
waray batasan	rude
tapi	rug
hinis	rug
kabungkagan	ruin
balaud	rule
magmarando	ruler
mga balaud	rules
pagdalagan	run
dinalagan	running
baryo	rural
dagmita	rush
pagdagmit	rush
sako	sack
sagrado	sacred
sakripisyo	sacrifice
talwas	safe
luwas nga paglupad	safe flight
seguridad	safety
maaramon	sage
nagsiring	said
siniring	said
layag	sail
paglalayag	sailing
tungod	sake
sweldo	salary
pagbaligya	sale
asin	salt
sugad liwat	same
pareho	same
amo liwat ini	Same here
sampol	sample
baras	sand
Sanskrit	Sanskrit
sarkasmo	sarcastic
marayhak	sassy
naglingkod	sat
natatagbaw	satisfaction
nagtagbaw	satisfied
pagtagbaw	satisfy
makuntento	satisfy
makapatagbaw	satisfying
Sabado	Saturday
suriso	sausage
mapintas	savage
pagtipig	save
talwas	save
kinita	saw
nakita	saw
pagsugad	say
pagsiring	say
kadako	scale
panlimbong	scam
ulat	scar
gutiay	scarce
nangirhat	scared
nahadlok	scared
bandana	scarf
makaharadlok	scary
makahadlok	scary
nagsasarang	scattered
kiritaon	scene
kiritaon	scenery
baho	scent
eskedyol	schedule
ig-eskedyol	schedule
eskwelahan	school
syensya	science
syentista	scientist
mga syentista	scientists
gunting	scissors
mag isog	scold
katubtoban	scope
karuhaan	score
basura	scrap
pag iskay	scratch
guliat	scream
salipod	screen
turnilyo	screw
iskrip	script
dagat	sea
selyo	seal
pamiling	search
panahon	season
lingkuran	seat
ikaduha	second
sekreto	secret
seksyon	section
talwas	secure
seguridad	security
kitaa	see
kulawi	see
magkita kita	see you
magkita-kita na	see you later
magkita kita dayon	see you soon
magkita kita buwas	see you tomorrow
liso	seed
pamiling	seek
pagtinguha	seek
pagturoy	seek
baga hin	seem
sugad hin	seems
nakita	seen
pagdakop	seize
pagkisikisi	seizure
talagsa	seldom
pagpili	select
kalugaringon	self
pag-opay ha kalugaringon	self healing
makikalugaringon	selfish
ibaligya	sell
pagpadara	send
pagsugo	send
ipadara ha akon an imo retrato	send me your picture
edaran	senior
sentido	sense
panhunahuna	sense
maaramon	sensible
sensitibo	sensitive
ginpadara	sent
pulong	sentence
mga pulong	sentences
bulag	separate
Sepedi	Sepedi
setyembre	september
sunodsunod	sequence
serye	series
seryoso	serious
seryoso	seriously
pag alagad	serve
serbisyo	service
sesyon	session
ibutang	set
butang	set
ginpatindog	set up
kahimtang	setting
pag ukoy	settle
pito	seven
napulo kag pito	seventeen
kapitoan	seventy
pira	several
damo	several
grabe	severe
gintahi	sew
lambong	shade
lambong	shadow
pag uyog	shake
kinahanglan	shall
waray kahiladman	shallow
hababaw	shallow
awod	shame
porma	shape
bahin	share
parte	share
matarom	sharp
maaram	sharp
hiya	she
may hiya	she has
hiya in	she is
hiya	she is
kamalig	shed
karnero	sheep
tabla	sheet
estante	shelf
balayan	shell
panalipod	shelter
panalipod	shield
pagbalhin	shift
naglamrag	shine
barko	ship
pagpadara	shipping
kamiseta	shirt
sapatos	shoes
pusila	shoot
tindahan	shop
pagpalit	shopping
baybayon	shore
habubo	short
halipot	short
kakulang	shortage
pinusil	shot
pusila	shot
kinahanglan	should
sugbong	shoulder
pag guliat	shout
pakita	show
igpakita	show
ipakita ha akon	show me
uran	shower
pagparigo	shower
pasayan	shrimp
umondang	shrink
ginsadhan	shut
maghilom ka	shut up
awdanon	shy
bugto	sibling
magbugto	siblings
masakit	sick
ligid	side
panhayhay	sigh
pagkita	sight
pamasyada	sightseeing
pag kulaw	sightseeing
tigaman	sign
pirma	signature
importante	significant
hilom	silence
hilom	silent
sida	silk
kalokohan	silly
plata	silver
pareho	similar
luko	simp
durungan	simultaneously
tikang han	since
tikang	since
sinsero	sincere
sinsero	sincerely
pagkanta	sing
magkaranta	singer
uusa la	single
waray asawa	single
ilunod	sink
nalunod	sink
bugto nga babaye	sister
hipag	sister in law
lingkod	sit
lugar	site
kahimtang	situation
unom	six
napulo kag unom	sixteen
kaunman	sixty
kadako	size
abilidad	skill
mga abilidad	skills
panit	skin
magasa	skinny
lukso	skip
saya	skirt
langit	sky
uripon	slave
pagkaturog	sleep
naturog	sleeping
paghingaturog	sleepy
manggas	sleeve
paghiwaa	slice
paghiwa	slice
pagparik	slide
hinay-hinay	slightly
manipis	slim
hipatalindas	slip
bakilid	slope
puwang	slot
mahinay	slow
hinay hinay	slowly
guti	small
gutiay	small
maaramon	smart
baho	smell
paghiyom	smile
hiyom	smile
aso	smoke
mahamis	smooth
meryenda	snack
suso	snail
halas	snake
nautod	snap
niyebe	snow
salit	so
makangurodyot	so cute
maopay gud	so cute
tubtob yana	so far
paghurom	soak
sabon	soap
murayaw	sober
sosyal	social
katilingban	society
medyas	socks
mahumok	soft
malumo	soft
tuna	soil
ginbaligya	sold
iginbaligya	sold out
sundalo	soldier
rapadapa	sole
solido	solid
solusyon	solution
pagsulbad	solve
pira	some
an iba	some
usa ka tawo	somebody
baga hin	somehow
usa ka tawo	someone
usa ka butang	something
danay	sometimes
usahay	sometimes
kanta	song
niyan	soon
harani na	soon
sopistikado	sophisticated
Sorani	Sorani
ginsuolan	sore
masu-ol	sore
sakit ha but-ol	sore throat
kasubo	sorrow
Pasayloa	Sorry
klase	sort
ginbiling	sought
kalag	soul
bugto nga kalag	soulmate
tunog	sound
sabaw	soup
maaslom	sour
gintikanan	source
sur	south
lugar	space
katubtoban	span
Kinatsila	Spanish
iginreserba	spare
ireserba	spare
pagyakan	speak
espesyal	special
espisipiko	specific
urusahon	spectacular
panyakan	speech
diri nakakayakan	speechless
kalaksi	speed
pagkasurat	spell
paggasto	spend
ginasto	spent
maharang	spicy
durho	spike
pagtuyok	spin
tangkong	spinach
espiritu	spirit
linura	spit
makaruruyag	splendid
pagbulag	split
pagbulaga	split
pagkadunot	spoil
ginhibang	spoiled
ginpabay-an	spoiled
gindaot	spoiled
awtomatiko	spontaneous
kutsara	spoon
lugar	spot
asawa	spouse
bana	spouse
ipadasig	spread
ipasamwak	spread
ipahibaro	spread
burabod	spring
kwadrado	square
pagpirit	squeeze
nuos	squid
mago	squirrel
nagtugob	stab
marig-on	stable
pagtirok	stack
mga empleyado	staff
yugto	stage
entablado	stage
mantsa	stain
hagdanan	stairs
taya	stake
uhay	stalk
kwadra	stall
selyo	stamp
tindogi	stand
pagtindog	stand
suruklan	standard
bitoon	star
pagtikang	start
nagtikang	started
gutom	starving
estado	state
ginsiring	statement
istasyon	station
estatwa	statue
kahimtang	status
bilina	stay
magpabilin	stay
magin luwas	stay safe
marig-on	steady
karne	steak
pangawat	steal
alisngaw	steam
asero	steel
bakilid	steep
sanga	stem
pitad	step
hagdan	step
kahoy	stick
makusog	stiff
pirmi kalmado	still
kalma	still
malara	sting
kuripot	stingy
pag awas	stir
pundo	stock
ginpangawat	stolen
tiyan	stomach
bato	stone
natindog	stood
tungtongan	stool
paghunong	stop
bodega	storage
tindahan	store
bagyo	storm
istorya	story
lutoan	stove
kalan	stove
tadong	straight
pranka	straightforward
pag antos	strain
urusahon	strange
estranghero	stranger
estratehiya	strategy
uhot	straw
estroberi	strawberry
bagis	streak
sapa	stream
kalsada	street
kusog	strength
kaguol	stress
pag unat	stretch
istrikto	strict
kastigo	strike
higot	string
lubid	string
paghukas	strip
pagtinguha	strive
paghaplos	stroke
atake	stroke
makusog	strong
gintagan	struck
istruktura	structure
kakurian	struggle
kurii	struggle
nakukurian	struggling
matig-a an ulo	stubborn
nahiluho	stuck
nadukot	stuck
estudyante	student
pag aram	study
pag admi	study
pag aram	studying
mga butang	stuff
urusahon	stunning
mahusay	stunning
nakakadaku	stunning
lurong	stupid
estilo	style
hintungod	subject
sakop	subject
butang	subject
pagsumite	submission
magpasakop	submit
igsumat	submit
sustansya	substance
ginliwanan	substitute
mahinay la	subtle
maglampos	succeed
kalamposan	success
malampuson	successful
sugad hini	such
sugad hin	such as
magsupsop	suck
tigda	sudden
tigda	suddenly
nag aantos	suffer
kakurian	suffering
pag antos	suffering
igo	sufficient
asukar	sugar
suhestyon	suggest
suhestyon	suggestion
isul-ot	suit
sul-ot	suit
angay	suitable
maleta	suitcase
pagsuma	sum
sumaryo	summary
katpaso	summer
pungkay	summit
hitaasan	summit
adlaw	sun
domingo	sunday
masirak	sunny
katunod han adlaw	sunset
adlaw	sunshine
labaw	superior
superbisor	supervisor
panihapon	supper
suplayi	supply
suplay	supply
suporta	support
suportahi	support
bangin la	suppose
hunahunaa	suppose
ginlalaoman	supposed
sigurado	sure
syempre	sure
bawbaw	surface
pagsulog	surge
operasyon	surgery
apelyido	surname
sorpresa	surprise
nahipausa	surprised
pagtubyan	surrender
palibot	surrounding
pagbantay	surveillance
pagsurbey	survey
surbey	survey
mabuhi	survive
suspetsar	suspect
suspetsari	suspect
pag undang	suspended
nagsuspetsa	suspicious
pagpadayon	sustain
pagpadayon	sustainability
pagpapadayon	sustainable
kinawat	swag
pagtulon	swallow
pagbalyoay	swap
pagsumpa	swear
balhas	sweat
panhagkot	sweater
pag anod	sweep
matam-is	sweet
matam-is nga mga inop	sweet dreams
matam-is	sweet tooth
hinigugma	sweetheart
pag awas	swell
nadako	swelling
nahubag	swelling
paglangoy	swim
paglangoy	swimming
igduyan	swing
duyan	swing
igbalhin	switch
balhin	switch
manhubag	swollen
espada	sword
simbolo	symbol
pagpaid	sympathy
mga sintomas	symptoms
sistema	system
lamesa	table
pag abre	tackle
pag atubang	tackle
etiketa	tag
ikog	tail
kuhaa	take
kuhaon	take
kuhaon	take away
pag atamana	take care
tanggala	take off
ginkuha	taken
yakan	talk
pagyakan	talk
mayakan	talkative
hitaas	tall
tapika	tap
tapik	tap
teyp	tape
puntirya	target
puntiryaha	target
buruhaton	task
rasahi	taste
rasa	taste
marasa	tasty
gintutdoan	taught
tsaa	tea
tutdo	teach
magturutdo	teacher
grupo	team
luha	tear
pag-gisi	tear
luha	tears
pagsunlog	tease
teknolohiya	technology
ngipon	teeth
pagsumat	tell
sumati ako	tell me
panhunahuna	temper
mapaso it ulo	temper
malipong it ulo	temper
temperatura	temperature
templo	temple
temporaryo	temporary
napulo	ten
napulo ka yukot	ten thousand
umurukoy	tenant
nagtitinguha	tend
tendensya	tendency
pagpaid	tender
tensyonado	tense
tensyon	tension
tolda	tent
probisyonal	tentative
termino	term
mga termino	terms
makaharadlok	terrible
urusahon	terrific
teritoryo	territory
pagsari	test
pagsarihi	test
teksto	text
labaw pa	than
salamat	thank
salamat	thank you
Salamat han iyo pagpailob samtang nga gin uusia namon an kargamento	Thank you for your patience while we investigate shipment
damo nga salamat	thank you so much
damo nga salamat	thank you very much
salamat	thanks
Salamat ha paggamit han amon app	Thanks for using our app
iton	that
ito an	that is
maopay ito	that's good
an	the
kawatan	theft
ira	their
nira	their
ira	them
nira	them
tema	theme
kalugaringon	themselves
kon sugad	then
teorya	theory
didto	there
mayda	there are
may ada	there is
mayda	there is
salit	therefore
ini	these
ira	they
nira	they
hira	they
hira	they are
madakmol	thick
kawatan	thief
hita	thigh
manipis	thin
butang	thing
mga butang	things
paghunahuna	think
hunahunaa	think
ikatulo	third
uhaw	thirsty
napulo kag tulo	thirteen
trenta	thirty
ini	this
ini nga	this is
ini	this is
bug-os	thorough
kabug-osan	thoroughly
bug-os	thoroughly
ito	those
kun	though
bisan	though
hunahuna	thought
hunahunaa	thought
mahunahunaon	thoughtful
mga hunahuna	thoughts
yukot	thousand
sinulit	thread
gahi	thread
pagtarhog	threat
gintarhog	threaten
tulo	three
ganghaan	threshold
nalilipay	thrilled
pag uswag	thrive
but-ol	throat
ha	through
pianaagi	through
ha bug-os	throughout
paglabog	throw
paglabay	throw
tamuragko	thumb
dalugdog	thunder
Huwebes	Thursday
sugad hini	thus
tulbok	tick
tubig	tide
limpyo	tidy
higot	tie
higoti	tie
tigre	tiger
hugot	tight
Tigrinya	Tigrinya
panahon	time
oras	time
awdonon	timid
gudtiay	tiny
gudti	tiny
katapusan	tip
mga suhestyon	tips
kaliding	tire
binubotlaw	tired
kapoy	tired
tisyu	tissue
titulo	title
ha	to
kan	to
magigin	to be
nakipagtagay	toast
yana	today
naya nga adlaw	today
bata	toddler
tudlo	toes
kaupod	together
kasilyas	toilet
ginsumatan	told
pag antos	tolerance
nagtutugot	tolerate
kamatis	tomato
buwas	tomorrow
dila	tongue
yana nga gab-i	tonight
liwat	too
ginkuha	took
kinuha	took
garamiton	tool
mga garamiton	tools
ngipon	tooth
kahitas-an	top
nahiuuna	top
tema	topic
gin gisi	torn
pasakitan	torture
kabug-osan	total
paghikap	touch
makuri	tough
maisog	tough
makusog	tough
paglibot	tour
tipakadto	toward
ngadto	towards
tualya	towel
bungto	town
makahilo	toxic
ginsusog	trace
inaagian	track
makigbalyo	trade
igbalyo	trade
tradisyon	tradition
tradisyonal	traditional
trapik	traffic
agianan	trail
tren	train
pagbansay	training
kinaiya	trait
mga kinaiya	traits
pagbalhin	transfer
pagbalhin	transition
paghubad	translate
masilhag	transparent
sarakyan	transport
transportasyon	transportation
lit-ag	trap
basura	trash
kasakit	trauma
pagbiyahe	travel
trey	tray
bahandi	treasure
pagtambal	treat
pagtratar	treat
pagtambal	treatment
pagdumara	treatment
kahoy	tree
daku gud	tremendous
uso	trend
pagsari	trial
paglitis	trial
limbong	trick
ginbista	tried
nagsari	tried
pagtikangi	trigger
pagtikang	trigger
pag arot	trim
biyahe	trip
samok	trouble
problema	trouble
saruwal	trousers
trak	truck
TINUOD	TRUE
puno	trunk
pagsarig	trust
sarigi	trust
kamatuoran	truth
sulay	try
pangalimbasog	try
Tsonga	Tsonga
tubo	tube
Martes	Tuesday
matrikula	tuition
pabo	turkey
dulaw	turmeric
luy-a nga dulaw	turmeric
paglingi	turn
turno	turn
bao	turtle
magturutdo	tutor
napulo kagduha	twelve
karuhaan	twenty
karuhaan kag usa	twenty-one
Twi	Twi
duha ka beses	twice
ginbaliko	twist
duha	two
tipo	type
tipikal	typical
mapurot	ugly
maraot	ugly
katapusan	ultimate
payong	umbrella
waray kapas	unable
bata	uncle
kawaray sarabotan	unconscious
waray malay	unconscious
ha ilarom	under
ha ubos	under
ilarom	underneath
ubos	underneath
gin ubos	underrated
maintindihan	understand
masabtan	understand
nasasabtan	understood
ikasubo	unfortunately
pagkadimalas	unfortunately
uniporme	uniform
talagsaon	unique
yunit	unit
unibersidad	university
diri kilala	unknown
gawas kon	unless
tubtob	until
ngada	until
ngadto	until
urusahon	unusual
alsa	up
ha imo iton	up to you
imo ito	up to you
bag-oha	update
bag-o	update
pauswaga	upgrade
pagpauswag	upgrade
ha	upon
nasusubo	upset
syudad	urban
pag agha	urge
pag aghata	urge
apurado	urgent
kita	us
gamita	use
gamiton	use
gin gamit	used
mapulsanon	useful
waray pulos	useless
kasagaran	usual
kasagaran	usually
agsob	usually
gamit	utility
bakasyon	vacation
bakuna	vaccination
bakuna	vaccine
bakyum	vacuum
diri klaro	vague
makatadungan	valid
walog	valley
importante	valuable
pahimulosi	value
pahimulos	value
klase	variety
iba-iba	various
magkalainlain	vary
plorera	vase
daku	vast
utan	vegetable
mga utan	vegetables
sakyanan	vehicle
parabaligya	vendor
lara	venom
pagsapalaran	venture
lugar	venue
pag usisa	verify
maabtik	versatile
bersyon	version
bertikal	vertical
gud	very
maopay gud	very good
sarakyan	vessel
barko	vessel
pinaagi	via
pag awas	vibe
pag awas	vibes
pagtimaraot	vicious
biktima	victim
bidyo	video
pagkita	view
baryo	village
magraot	villain
suoy	vinegar
antigo	vintage
kamadarahog	violence
madarahog	violent
matapon	viral
birhen	virgin
haros	virtual
pagkamaopay	virtue
panan-awon	vision
bisitaha	visit
bisita	visit
handuraw	visual
importante	vital
matin-aw	vivid
bokabularyo	vocabulary
tingog	voice
waray pulos	void
kadaku	volume
boluntaryo	volunteer
suka	vomit
pagsuka	vomit
maluya	vulnerable
sweldo	wage
sahod	wages
sweldo	wages
hawak	waist
ayaw anay	wait
paghulat	wait
paraserbi	waiter
naghuhulat	waiting
magmata	wake
pagmata	wake up
lakat	walk
paglakat	walk
paglakat	walking
pader	wall
pitaka	wallet
paglinakat	wander
karuyag	wanna
karuyag	want
ginbiling	wanted
gera	war
Waray	Waray
aparador	wardrobe
bodega	warehouse
pasoa	warm
mapaso	warm
pahimangno	warn
pahimangno	warning
girriro	warrior
nga	was
na	was
paghugas	wash
basuar	waste
ibasura	waste
pagkulaw	watch
pagbantay	watch
tubig	water
pakwan	watermelon
balud	wave
pag-para	wave
dalan	way
paagi	way
hi kami	we
kami	we
kami ini	we are
mahimo naton	we can
maluya	weak
kaluyahan	weakness
bahandi	wealth
riko	wealthy
pagsul-ot	wear
sul-ot	wearing
pagsul-ot	wearing
panahon	weather
kasal	wedding
Miyerkules	Wednesday
banwa	weed
semana	week
katapusan han semana	weekend
bug-at	weight
bug-ati	weight
urusahon	weird
maupay nga pag abot	welcome
kaopayan	welfare
Maupay	Well
maopay nga buhat	well done
kinadto	went
mga	were
katundan	west
mahulos	wet
balyena	whale
ano	what
ano man hi ikaw	what about you
kumusta ka man	what about you
ano an imo ginbubuhat	what are you doing
ano an imo ginbubuhat yana	what are you doing now
ano an imo ginbubuhat yana	what are you doing right now
ano an imo ginbubuhat	what do you do
nag aano ka	what do you do
ano an imo trabaho	what do you do for a living
ano iton imo ikinabubuhi	what do you do for a living
ano an imo karuyag sidngon	what do you mean
ano imo karuyag	what do you want
ano an nahitabo?	what happened
ano an	what is
ano it	what is
ano ini	what is this
ano iton imo trabaho	what is your job
ano imo trabaho	what is your job
ano an imo ngaran	what is your name
ano an nahinabo	what's up
ano imo ngaran	what's your name
bisan ano	whatever
trigo	wheat
kaliding	wheel
kan-o	when
bisan san-o	whenever
diin	where
hain ka	where are you
taga diin ka	where are you from
hain ka yana	where are you now
hain ka uukoy	where do you live
diin ka naukoy	where do you live
hain na	where is
nga	whereas
samtang	whereas
kon	whether
nga	which
hain	which
samtang	while
paghinuring	whisper
silbato	whistle
nagtaghoy	whistle
puti	white
hin-o	who
hin-o ka	who are you
hin-o an	who is
hin-o ini	who is this
ngatanan	whole
bug-os	whole
kanay	whom
kan kanay	whose
kay ano	why
kay ano nga diri	why not
maraot	wicked
halapad	wide
haluag	wide
balo nga babaye	widow
kahilapad	width
asawa	wife
ihalas	wild
layaw	wild
determinasyon	will
magin derterminado	will
andam	willing
pagdaog	win
hangin	wind
bintana	window
mahangin	windy
bino	wine
kathagkot	winter
pagpahid	wipe
kable	wire
kinaadman	wisdom
maaramon	wise
tinguha	wish
tinguhaa	wish
hangyo ko ha iyo han ngatanan nga kaopayan	wish you all the best
aswang	witch
nga may-ada	with
nga mayda	with
nga may	with
pagbaya	withdraw
pagkuha	withdraw
pag atras	withdrawal
ha sulod	within
sakop ha	within
waray	without
testigo	witness
igtestigo	witness
pagpasulay	witty
lobo	wolf
babaye	woman
kababayin-an	women
nagdaog	won
diri	won't
paghipausa	wonder
urusahon	wonderful
kahoy	wood
lana	wool
pulong	word
mga pulong	words
trabahoa	work
trabaho	work
pag ehersisyo	work out
nagtatrabaho	working
kalibotan	world
ulod	worm
nagamit	worn
nababaraka	worried
kabaraka	worry
mas maraot pa	worse
pagsingba	worship
pinakagrabe	worst
puros	worth
pulos	worth
takos ito	worth it
takos	worthy
bangin la	would
magigin	would
samad	wound
Waw	Wow
pagputos	wrap
kasina	wrath
purso	wrist
pagsurat	write
Isurat dinhi	Write here
panurat	writing
sinurat	written
sayop	wrong
nagsurat	wrote
bungsaran	yard
paghuyam	yawn
huyam	yawn
Oo	Yeah
Asya	Yeah
tuig	year
mga tuig	years
lebadura	yeast
guliatan	yell
dulaw	yellow
Oo	Yes
oo baying	yes baby
oo arog	yes dear
oo hinigugma	yes honey
oo arog	yes honey
oo hinigugma ko	yes my love
oo syempre	yes of course
kakulop	yesterday
pero	yet
bisan pa	yet
abot	yield
ikaw	you
hi ikaw	you are
ikaw	you are
mahusay ka	you are beautiful
mahusay ka gud	you are so beautiful
matahom ka gud	you are so beautiful
Gin-aabiabi ka	you are welcome
mahimo nimo	you can
mahimo mo	you can
Maaram ka	You know
ikaw daman	you too
gin aabiabi ka	you're welcome
batan-on	young
iyo	your
imo	your
imo pagkarawat	your welcome
imo kalugaringon	yourself
batan-on	youth
waray sapayan	you’re welcome
marasa	yummy
waray	zero
