халта	a little
юрэ хирын	ordinary
байгуулга	organization
тала баримталуулха	orientation
үндэһэ	origin
эхэ	original
Оромо	Oromo
үнэшэн	orphan
нүгөө	other
ондоогоор	otherwise
ёһогүй	ought
манай	our
Манай үүргэ: хаанашье байгаа хүн дэлхэй ойлгохо боломжо ба өөрыгөө ямаршье һаа хэлээр ойлгуулжа шадаха арга үүсэхэ юм.	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
Манай үүргэ: дэлхэйн мэдээсэл эмхилжэ хүн бүхэндэ тэрээние туһа болгожо хүргэхэ.	Our mission: to organize the world's information and make it universally accessible and useful.
газаа	out
үрэ дүн	outcome
гоёлой хубсаһан	outfit
гараһан	outgoing
гаралга	outlet
хэлбэри	outline
газаа	outside
гаһар	outstanding
сахилгаан пеэшэн	oven
дээгүүр	over
тээ тэндэ	over there
бүхы	overall
юрэнхы	overall
дабаха	overcome
дан ехэ бодолго	overthinking
сошордуулһан	overwhelmed
диилэнхи	overwhelming
үритэй байха	owe
бэгсэргэ	owl
өөрын	own
эзэн	owner
һарлаг	ox
темп	pace
эмхилжэ уяха	pack
ябталжа хэхэ	pack
һаба баглаа	package
түлөөтэй	paid
үбшэн	pain
зураха	paint
зураг	paint
зураг	painting
үрөөһэн	pair
сухигар	pale
альган	palm
хайруул	pan
тахал	pandemic
мэгдэхэ ябадал	panic
ургамал	pants
саарһан	paper
диваажин	paradise
параллел	parallel
эльгээлгэ	parcel
хүлисэ	pardon
эхэ эсэгэ	parents
парк	park
сэсэрлэг	park
тоти	parrot
юусай	parsley
хуби	part
хабаадаха	participate
онсо	particular
илангаяа	particularly
наадалсагша	partner
үдэшын наадан	party
үнгэрхэ	pass
гаралга	passage
үнгэрһэн	passed
шунал	passion
хорхойтой	passionate
эдэбхигүй ябадалтай	passive
нюуса үгэ	password
үнгэрһэн саг	past
няалта	patch
харгы	path
хайратай	pathetic
тэсэбэри	patience
эмнүүлэгшэ	patient
хэб	pattern
забһар	pause
хүбөө	pavement
түлэхэ	pay
түлэбэри	payment
эб найрамдал	peace
амар тайбан	peaceful
тоор	peach
орой	peak
груша	pear
горох	peas
өөрэ янзын	peculiar
шээхэ	pee
арилгаха	peel
үетэн	peer
сасуутан	peer
үүри	peer
үетэн	peers
бэшүүр	pen
харандаа	pencil
хүлеэгдэжэ байһан	pending
хүн зон	people
халуун үбһэн	pepper
хадуужа абаха	perceive
хадуун абаса	perception
эрхим түгэс	perfect
гүйсэдхэхэ	perform
бүтээсэ	performance
алтай	perhaps
үе саг	period
үргэлжын	permanent
зүбшөөл	permission
зөбшөөри	permit
үсэд оролдолго	perseverance
үсэд	persistent
хүн	person
хубиин	personal
ами нюур	personality
холо үзэмжэ	perspective
этигүүлхэ	persuade
гажаалһан хүн	pervert
тэжээмэл амитан	pet
шата	phase
мүн шанар	phenomenon
феномен	phenomenon
гаһар	phenomenon
гүн ухаан	philosophy
утаһан	phone
зураг	photo
хэлэлгэ	phrase
үгүүлэл	phrase
бодото бодисой	physical
шэлэхэ	pick
абаха	pick up
зураг	picture
амгалан байдал	piece
хуби	pieces
гахай	pig
гулабхаа	pigeon
обоо	pile
дэрэ	pillow
пилот	pilot
тобшо	pin
хан боргосо	pineapple
яагаан	pink
нүхэн	pit
үгэлгэ	pitch
хайра	pity
газар	place
газарнууд	places
тахал	plague
жиирэй	plain
түсэб	plan
агаарай онгосо	plane
ургамал	plant
ургамал	plants
табаг	plate
платформо	platform
наадаха	play
наадаһан	playing
аятай	pleasant
баяр баясхалантай	pleased
ханал	pleasure
тангариг	pledge
олон ехэ	plenty
гол удха	plot
бүглэхэ	plug
чавга	plum
уһа дамжуулгын талаар мэргэжэлтэй хүдэлмэришэн	plumber
олоной тоо	plural
подкаст	podcast
шүлэгөөр бэшэһэн томохон зохёол	poem
шүлэг зохёол	poetry
зааха	point
хорон	poison
сагдаа	police
политика	policy
зохид зантай	polite
муухай болголго	pollution
хиртүүлгэ	pollution
нуурмаг	pond
тамардаг газар	pool
бассейн	pool
бааха	poop
үгытэй	poor
альгадаха	pop
алдаршаһан	popular
хүн зон	population
гахайн мяхан	pork
каша	porridge
порт	port
байра	position
болохотой	positive
түхэл	possess
үмсын	possession
хамтын	possessive
бололтой	possible
шуудан	post
хойшолуулха	postpone
түмһэн	potato
хартаабха	potato
далда	potential
хэмэл нуур	pound
ядарал	poverty
шадал	power
хүсэтэ	powerful
бодото ажа-ябуулга	practical
туршаха	practice
магтаха	praise
пранк	prank
зальбарха	pray
мүргэхэ	pray
үнэтэй сэнтэй	precious
эрдэни	precious
нягта	precise
тон тиимэ	precisely
уридшалха	predict
дээрэшээхэ	prefer
дээрэшээлгэ	preference
хээлитэй	pregnant
мухар һүзэ	prejudice
байрлуулга	premises
премиум	premium
бэлэдхэл	preparation
бэлдэхэ	prepare
бэлдэһэн	prepared
дайбар үгэ	preposition
байлга	presence
мүнөөнэй	present
бэлэг	present
презентаци	presentation
хадгалха	preserve
юрэнхылэгшэ	president
дараха	press
хашалта	pressure
хэбэртэй болохо	pretend
сэбэрхэн	pretty
зайлуулха	prevent
удаадахи	previous
эдишэ	prey
үнэ	price
омогорхол	pride
санаарта	priest
анхан	primary
үндэһэн	prime
хан изагуурта эхэнэр	princess
гол шухала асуудалай	principal
урдахи	prior
түрүү байлга	priority
түрмэ	prison
хубита	privacy
хубиин	private
тусхай эрхэ	privilege
шагнал	prize
ёһотой	probably
асуудал	problem
ябуулга	procedure
үргэлжэлүүлхэ	proceed
ябуулга	process
үйлэдбэрилхэ	produce
гаргаха	produce
бүтээл	product
бүтээл	production
мэргэжэл	profession
мэргэжэлэй	professional
профиль	profile
ашаг	profit
олзо	profit
гүндүү	profound
дэбжэлтэ	progress
түлэблэл	project
хараа	project
проект	project
элитэ болоһон	prominent
үгэеэ үгэхэ	promise
дээшэнь гаргаха	promote
дээшэлгэ	promotion
түргэн	prompt
хурдан	prompt
һанаатай	prone
түлөөнэй үгэ	pronouns
хэлэлгэ	pronunciation
баталалга	proof
зүбынь	proper
зүбөөр	properly
хүдэлхэгүй юумэн	properties
зөөри	property
шэнжэ	property
һанамжа	proposal
үргэн гудамжа	prospect
һалбаран бадаралга	prosperity
һалбаран бадарһан	prosperous
хамгаалха	protect
омогорхохо	proud
баталха	prove
хангалха	provide
барюулха	provided
аймаг	province
эдихэ юумэн	provision
наһандаа хүрэхэ	puberty
олониитын	public
татаха	pull
хулуу	pumpkin
нягтаар	punctual
һурагша	pupil
худалдан абаһан юумэн	purchase
арюун	pure
ягаан хүхэ	purple
ушар	purpose
сүүмхэ	purse
мүрдэхэ	pursue
мүрдэлгэ	pursuit
түлхихэ	push
табиха	put
мэргэжэл	qualification
шанар	quality
тоо	quantity
тусгаарлалта	quarantine
хэрэлдэхэ	quarrel
дүрбэнэй нэгэн	quarter
Кешуа	Quechua
хатан	queen
жэгтэй	queer
һуралта	query
асуулта	query
асуулта	question
ээлжээн	queue
түргэн	quick
түргэн	quickly
аалихан	quiet
шэмээгүй	quiet
хүнжэл	quilt
гараха	quit
нилээн	quite
асуулта	quiz
эшэ таталга	quotation
эшэ татаха	quote
эшэ таталга	quotes
туулай	rabbit
урилдаан	race
галзуу сухал	rage
бороо	rain
үргэхэ	raise
ургуулһан	raised
гүйһэн	ran
гэнтын	random
дэлисэ	range
түргэн	rapid
хурданаар	rapidly
хомор	rare
таруугаар	rarely
эшэргэнэ	rash
харха	rat
үхэр хулганаан	rat
табиса	rate
дээрэ	rather
тэнсүүри	ratio
бодолтой	rational
түүхэй	raw
тушаа	re
хүрэхэ	reach
хүрэһэн	reached
харюулга	reaction
уншаха	read
уншалга	reading
бэлэн	ready
үнэн	real
бодото байлга	reality
ойлгохо	realize
ойлгоһон	realized
нээрһээ	really
ардахи	rear
ушар	reason
шалтагаан	reason
бодолтой	reasonable
дуудажа бусаалга	recall
тоосоо	receipt
хүлеэн абаха	receive
абаһан	received
һаянай	recent
һая	recently
абалга	reception
угталга	reception
уулзалга	reception
тобшо заабари	recipe
бодомжогүй	reckless
хүндэ	recognition
таниха	recognize
магтан дурадхаха	recommend
һайн хэлүүлһэн	recommended
бэшэжэ абаха	record
һэргээн бодхоохо	recover
һэргээн бодхоолго	recovery
дүрбэлжэн	rectangle
улаан	red
худалдажа абаха	redeem
гэмээ амсалга	redemption
бага болгохо	reduce
үлүү гарама	redundant
шалтаг бариха	refer
дурдалга	reference
толитохо	reflect
толиролго	reflection
тэсэхэ	refrain
хүргэгшэ	refrigerator
мүнгэ бусаалга	refund
хүлеэжэ абахагүй	refuse
хүлеэжэ абаагүй	refused
анхарал	regard
хамаатай	regarding
болобошье	regardless
хүндэлэлгэтэй	regards
орон	region
дансада оруулха	register
тэмдэглэхэ	register
шаналха	regret
үргэлжын	regular
хододоо	regularly
хүлеэн абахагүй	reject
тоологдохо	relate
хандаха	relate
холбоотой	related
харилсаан	relationship
түрэл	relative
түрэлхид	relatives
амарха	relax
гаргажа табиха	release
табигдаһан	released
тааруу байха	relevant
найдамтай	reliable
хүнгэдхэлгэ	relief
хүнгэлхэ	relieve
сүүлөөлэлтэ	relieved
шажан	religion
шүтэлгэ	religion
шажанай	religious
баалаха	reluctant
найдаха	rely
үлэгдэл	remain
үлдэһэн	remaining
гайхамшаг	remarkable
һөөл	remarkable
арга	remedy
һанаха	remember
һануулха	remind
һануулга	reminder
холын	remote
зайлуулха	remove
хүргэхэ	render
үзүүлхэ	render
хүлһөөр абаха	rent
заһаха	repair
дабтаха	repeat
һэлгүүлхэ	replace
һолихо	replace
харюулха	reply
тоосоон	report
харуулха	represent
алдар	reputation
һуралта	request
эрилтэ табиха	require
эрилтэтэй	required
абаралга	rescue
шэнжэлгэ	research
һануулха	resemble
дураа гуталга	resentment
уридшалан захилга	reservation
уридшалан захиха	reserve
һуурин хүн	resident
ажалһаа гараха	resign
тогтуури	resilience
хүжүүн	resilient
тэмсэхэ	resist
эсэргүүсэлтэ	resistance
шиидэбэри	resolution
бодожо гаргаха	resolve
хандаха	resort
баялиг	resources
хүндэлхэ	respect
харюу үгэхэ	respond
харюу	response
харюусалга	responsibility
харюусалгата	responsible
амарха	rest
hайн түрэлөө олоорой	rest in peace
хоол бариха газар	restaurant
һэргээхэ	restore
хизаарлаха	restrict
үрэ дүн	result
үрэ дүн	results
үргэлжэлүүлхэ	resume
бутархай наймаан	retail
табихагүй	retain
даралга	retention
пенси абадаг хүн	retired
бусаалга	retreat
абаха	retrieve
бусааха	return
элирүүлхэ	reveal
харуулһан	revealed
үһөө	revenge
орошо	revenue
ара талын	reverse
тад ондоо	reverse
харалга	review
шалгаха	revise
заһаха	revise
шалгалта	revision
хубисгал	revolution
шагнал	reward
үгын холболго	rhythm
хабһан	rib
сагаан будаа	rice
баян	rich
абарха	rid
унаха	ride
удхагүй	ridiculous
баруун	right
зүб	right
энэ доро	right now
шэрүүн	rigid
бэһэлиг	ring
зайлаха	rinse
буһалгаан	riot
таһалха	rip
болбосорhон	ripe
ургалта	rise
ургуулха	rise
аюул	risk
талаан туршалга	risk
мэеэрхэлдэгшэ	rival
гол	river
харгы	road
шараха	roast
хайраха	roast
хатуу бүхэ	robust
шулуун	rock
hорболжо	rod
үүргэ	role
эрьюулхэ	roll
дээбэри	roof
таһалга	room
үндэһэн	root
ооһор	rope
үжэһэн	rotten
шэрүүн	rough
шэрүүнээр	roughly
монсогор	round
түхэреэн	round
харгы зам	route
хуушан заншал сахилга	routine
зэргэ	row
үрэхэ	rub
резинэ	rubber
бог хог	rubbish
нобшо	rubbish
ёборгон	rude
шэрдэг	rug
үгырэлгэ	ruin
дурим	rule
шугам	ruler
засаг баригша	ruler
дурим	rules
гүйхэ	run
гүйлтэ	running
хүдөөнэй	rural
яараха	rush
хүхэхэ	sack
нангин	sacred
үргэл	sacrifice
аюулгүй	safe
аюулгүй ниидэлгэ	safe flight
аюулгүй байдал	safety
сэсэн	sage
хэлэгдэһэн	said
тамарха	sail
тамаралга	sailing
тулада	sake
хүлһэн	salary
салин	salary
сэн бууха	sale
лосось	salmon
дабһан	salt
адли	same
Эндэ баһа адли	Same here
жэшээ	sample
янза	sample
маяг	sample
элһэн	sand
Самгарди	Sanskrit
мунгаалгын	sarcastic
сортоотой	sassy
һууһан	sat
хангалга	satisfaction
ханалтай	satisfied
хангаха	satisfy
хангалтатай	satisfying
Зургаадахи үдэр	Saturday
сосиска	sausage
зэрлиг хүн	savage
хадгалха	save
хараһан	saw
хэлэхэ	say
хэмжээ	scale
хууралга	scam
һорьбо	scar
хомор	scarce
айһан	scared
шаарпа	scarf
аймшагтай	scary
холо холо	scattered
тайзан	scene
байгаали	scenery
пейзаж	scenery
үнэр	scent
саг дараалал	schedule
һургуули	school
шэнжэлхэ ухаан	science
эрдэмтэн	scientist
эрдэмтэд	scientists
хайша	scissors
харааха	scold
багтаса	scope
тоо	score
түмэр түдэгэ	scrap
маажаха	scratch
хашхараан	scream
дэлгэсэ	screen
шүрэб	screw
сценари	script
далай	sea
тамга	seal
бэдэрэлгэ	search
уларил	season
һуудал	seat
хоёрдохи	second
нюуса	secret
хуби	section
хамгаалалтай	secure
аюулгүй	secure
хамгаалалга	security
үзэхэ	see
хараха	see
уулзатараа баяртай	see you
уулзатараа баяртай	see you later
дахин уулзатараа баяртай	see you soon
үглөөдэр уулзая	see you tomorrow
үрэһэхэн	seed
бэдэрхэ	seek
харагдаха	seem
харагдана	seems
харагдаһан	seen
булимтаран абаха	seize
унадаг үбшэн	seizure
хаяа	seldom
шэлэхэ	select
өөрөө	self
өөрөө аргалха	self healing
хара амяа хараһан	selfish
худалдаха	sell
эльгээхэ	send
намда зурагаа эльгээгыш	send me your picture
намда зурагаа эльгээгыт	send me your picture
үндэр наһатай	senior
удха	sense
бодолтой	sensible
хурса мэдэрэлтэй	sensitive
эльгээхэ	sent
мэдүүлэл	sentence
мэдүүлэл	sentences
аминдаа	separate
Сепеди	Sepedi
юһэдэхи һара	september
эмхитэй гуримтай байлга	sequence
зэргэ	series
томоотой	serious
ёһотоор	seriously
үйлэшэлхэ	serve
үйлэшэлгэ	service
сесси	session
суглуулбари	set
тааруулха	set up
тааруулга	setting
шиидэхэ	settle
һуурижаха	settle
долоон	seven
арбан долоон	seventeen
далан	seventy
хэдэн	several
горитой	severe
оёхо	sew
һүүдэр	shade
һүүдэр	shadow
һэжэрхэ	shake
ёһотой	shall
гүйхэн	shallow
эшэдэһэн	shame
хэлбэри	shape
хубаалсаха	share
хурса	sharp
тэрэ	she
тэрэндэ байна	she has
тэрэ бол	she is
хаяха	shed
хонин	sheep
хуудаһан	sheet
табюур	shelf
ёбуун	shell
хорохо газар	shelter
бамбай	shield
һууриһаа хүдэлэлгэ	shift
ялаганаха	shine
онгосо	ship
хүргэлтэ	shipping
самса	shirt
гутал	shoes
буудаха	shoot
дэлгүүр	shop
худалдаа хэхэ	shopping
эрье	shore
богони	short
дутагдал	shortage
буудалга	shot
ёһотой	should
мүрэ	shoulder
хашхарха	shout
харуулха	show
намда харуула	show me
уһанда орохо	shower
далайн хорхой	shrimp
бэеэ жэмэлхэ	shrink
хааха	shut
амаа хаа	shut up
даруу	shy
аха дүү	sibling
аха дүү	siblings
үбшэнтэй	sick
тала	side
һанаа алдалга	sigh
тэмдэг	sight
алдарта һонин юумэнүүдые үзэлгэ	sightseeing
тэмдэг	sign
гар табилга	signature
нилээдгүй шухала	significant
аниргүй	silence
абяагүй	silent
торгон	silk
тэнэг	silly
мүнгэн	silver
адли	similar
дүнгеэ амитан	simp
бэлэн	simple
нэгэ доро	simultaneously
тэрэ үеһөө	since
үнэншэ	sincere
үнэн зүрхэнһөө	sincerely
дуулаха	sing
дуушан	singer
ганса	single
угаалтуур	sink
Ноён	Sir
эгэшэ	sister
дүү басаган	sister
үбгэнэйнь дүү	sister in law
хүр дүү	sister in law
һууха	sit
сайт	site
газар	site
байдал	situation
зургаа	six
арбан зургаан	sixteen
жаран	sixty
хэмжээ	size
дүй дүршэл	skill
дадал	skill
дүй дүршэл	skills
арьһан	skin
туранхай	skinny
хаяха	skip
юбкэ	skirt
тэнгэри	sky
барлаг	slave
богоол	slave
унтаха	sleep
унталга	sleeping
унтаамхай	sleepy
хамсы	sleeve
зүһэм	slice
гүбөө	slide
халта	slightly
хүнгэхэнөөр	slightly
туранхай	slim
халтирха	slip
уруудам газар	slope
слот	slot
удаан	slow
удаан	slowly
бага	small
заахан	small
ухаансар	smart
үнэр	smell
миһэд гэлгэ	smile
энеэбхилгэ	smile
тамхи татаха	smoke
жэгдэ	smooth
эдеэн	snack
улитка	snail
могой	snake
няһа	snap
саһан	snow
теэд	so
тон хөөрхэн	so cute
тун холо	so far
норохо	soak
сабан	soap
мылэ	soap
элүүр	sober
хүл бүмбэгэн	soccer
олониитын	social
ниитын	social
ниигэм	society
оймоһон	socks
зөөлэн	soft
софт	software
хүрьһэн	soil
худалдаһан	sold
худалдаһан	sold out
сэрэгшэн	soldier
ула	sole
хатуу	solid
шиидхэбэри	solution
шиидхэхэ	solve
зарим	some
хэн нэгэн	somebody
яагаад ааб даа	somehow
хэн нэгэн	someone
нэгэ юумэ	something
заримдаа	sometimes
дуу	song
һаяар	soon
хурса байлгын	sophisticated
Сорани	Sorani
үбэшэн	sore
үбдэһэн хоолой	sore throat
уйдхар	sorrow
уй	sorrow
Хүлисөөрэй	Sorry
Хүлисөөрэйгты	Sorry
сорт	sort
бэдэрһэн	sought
зүрхэн сэдьхэл	soul
хани	soulmate
абяа	sound
шүлэн	soup
гашуун	sour
эшэ үндэһэн	source
урда зүг	south
газар	space
сансар	space
спам	spam
тойруулан хараха	span
тэбэрихэ	span
Испани	Spanish
үлүү	spare
дуугарха	speak
онсо	special
ондоо янзань	species
онсо өөрэ	specific
үзэсхэлэнгэй	spectacular
үгэ хэлэлгэ	speech
абяагүй	speechless
хурдан	speed
хэлэлгэ	spell
шэбшэлгэ	spell
гаргашалха	spend
һалгаһан	spent
халуун ногоотой	spicy
хадхуур	spike
эрьюулэхэ	spin
буусай	spinach
һүнэһэн	spirit
нёолбохо	spit
уран һайхан	splendid
жабхаланта	splendid
таһалха	split
эрхэлүүлхэ	spoil
эрхэ	spoiled
гэнтын	spontaneous
халбага	spoon
газар	spot
үбгэ һамган	spouse
тарааха	spread
хабар	spring
талмай	square
бажууха	squeeze
шахаха	squeeze
тавдал	squid
хэрмэн	squirrel
гудамжа	st
худхалха	stab
тогтуури	stable
хабшуулдаха	stack
ажалшад	staff
тайзан	stage
толбо	stain
шата	stairs
табиса	stake
эшэ	stalk
шэлбэ	stalk
алаабхи	stall
тамга	stamp
зогсохо	stand
нэгэ хэб	standard
стандарт	standard
мүшэн	star
одон	star
старт	start
эхилһэн	started
үлдэхэ	starving
үлэсхэлэн байха	starving
байдал	state
гүрэн	state
мэдүүлгэ	statement
станци	station
хүшөө	statue
статус	status
үлэхэ	stay
болгоомжотой байгаарай	stay safe
тохонижоһон	steady
шараһан мяхан	steak
хулгайха	steal
булад	steal
уур	steam
ган	steel
эгсэ	steep
уг узуур	stem
алха	step
модон	stick
шэрүүн	stiff
мүнөө хүрэтэр	still
хилгааһан	sting
хүбшэ	sting
харуулһан	stingy
худхаха	stir
нөөсэ	stock
хулгайгдаһан	stolen
гэдэһэн	stomach
шулуун	stone
зогсоһон	stood
һандали	stool
болюулха	stop
хадгалха газар	storage
дэлгүүр	store
далайн шуурган	storm
түүхэ	story
пеэшэн	stove
жэгдэ	straight
сэхээр	straightforward
һунаалга	strain
гайхалтай	strange
танигдаагүй хүн	stranger
стратеги	strategy
һолоомон	straw
гүлзөөргэнэ	strawberry
зурууд	streak
дамжуулха	stream
гудамжа	street
хүсэ	strength
стресс	stress
һуняаха	stretch
хатуу шанга	strict
шаалга	strike
хилгааһан	string
хүбшэ	string
зурууд	strip
шармайха	strive
инсульт	stroke
хүсэтэй	strong
сохиһон	struck
байгуулга	structure
тэмсээн	struggle
тэмсэһэн	struggling
үсэд	stubborn
торохо	stuck
оюутан	student
һурагша	student
һураха	study
шудалалга	studying
бараа	stuff
сэдьхэл доһолгомо	stunning
тэнэг	stupid
стиль	style
субъект	subject
мэдэгдэлгэ	submission
үгтэхэ	submit
бодос	substance
һэлгэлгэ	substitute
нарин	subtle
амжалтада хүрэхэ	succeed
амжалта	success
амжалтатай	successful
тиимэ	such
тиимэ гэгшэ	such as
хүхэхэ	suck
гэнтын	sudden
гэнтэ	suddenly
зобохо	suffer
зобохо	suffering
хангалтатай	sufficient
шэхэр	sugar
дурадхаха	suggest
һайшаан зууршалалга	suggestion
һайшаал	suggestion
зохихо	suit
зохид	suitable
хайрсаг	suitcase
дүн	sum
согсо	summary
зун	summer
орой	summit
наран	sun
долоодохи үдэр	sunday
нартай	sunny
нара оролгон	sunset
наранай туяа	sunshine
тон	super
үзэлэй	super
захиралга	superior
ударидагша	supervisor
үдэшын хоол	supper
хангаха	supply
дэмжэхэ	support
тухайлһан	suppose
багсааһан	supposed
этигэлтэй	sure
дэбисхэр	surface
салгидаса	surge
операци	surgery
обог	surname
һонин бэлэг	surprise
гэнтын ушар	surprise
гайхаһан	surprised
бэеэ тушааха	surrender
тойроһон	surrounding
ажаглалта	surveillance
һуралга	survey
амиды үлэхэ	survive
һэжэглэхэ	suspect
тогтооһон	suspended
һэжэглэлтэй	suspicious
тулаха	sustain
тогтууритай байлга	sustainability
тогтуурита	sustainable
найгаха	swag
залгиха	swallow
һэлгэхэ	swap
амлаха	swear
хүлһэн	sweat
хүлэрхэ	sweat
дулаан самса	sweater
хамаха	sweep
нилуун	sweet
аятай	sweet
һайхан амараарай	sweet dreams
амтатай юумэ эдигшэ	sweet tooth
хонгор	sweetheart
миралталга	swell
хабданги	swelling
тамарха	swim
тамарлта	swimming
дүүжэндэхэ	swing
шэлжүүлэн оруулха	switch
залгиһан	swollen
һэлмэ	sword
һүлдэ тэмдэг	symbol
хөөршөөлгэ	sympathy
шэнжэ	symptoms
системэ	system
шэрээ	table
орохо	tackle
ярлык	tag
һүүл	tail
абаха	take
абажа ябахаар	take away
һанаагаа зобохо	take care
тайлаха	take off
абаһан	taken
хөөрэлдэхэ	talk
шашаг	talkative
үндэр	tall
кран	tap
лентэ	tape
ооһор	tape
сагаался	target
бодолго	task
амта	taste
амтатай	tasty
һургагдаһан	taught
сай	tea
зааха	teach
һургаха	teach
багша	teacher
хамтарал	team
нёлбоһон	tear
нёолбоһон	tears
гасаалха	tease
технологи	technology
шүдэн	teeth
хөөрэхэ	tell
намда хэлэ	tell me
бахатай	temper
халуун	temperature
һүмэ	temple
түр зуурын	temporary
арбан	ten
арбан мянган	ten thousand
байраар байгша	tenant
тенденци	tend
ябадалай шэг	tendency
энхэргэн	tender
хүсэлэлгэ	tense
зангидалга	tension
майхан	tent
туршалгын	tentative
хухасаа	term
нүхэсэл	terms
аймшагтай	terrible
сэдьхэл доһолгомо	terrific
территори	territory
туршалга	test
текст	text
ороходоо	than
баяр хүргэхэ	thank
баярлаа	thank you
һайн даа	thank you
Хүргэлтэ шалггажа байхадамнай тэсэжэ байһандатнай баяртай байнабди	Thank you for your patience while we investigate shipment
тон ехэ баярлаа	thank you so much
ехэ баярланаб шамда	thank you very much
ехэ баярланаб танда	thank you very much
һайн даа	thanks
Манай апликейшн хэрэглэжэ байһандатнай баяртай байнабди	Thanks for using our app
тэрэ	that
тэрэ бол	that is
тэрэнь һайн	that's good
хулгайлга	theft
тэдэнэй	their
тэдэнэр	them
сэдэб	theme
темэ	theme
өөһэдөө	themselves
тиихэдээ	then
теори	theory
тэндэ	there
тэндэ бол	there are
тиимэһээ	therefore
эдэ	these
тэдэ	they
тэдэ бол	they are
бүдүүн	thick
хулгайшан	thief
гуя	thigh
нимгэн	thin
зүйл	thing
юумэ	thing
юумэ	things
бодохо	think
гурбадахи	third
ундаа хүрэлгэ	thirsty
арбан гурбан	thirteen
гушан	thirty
энэ	this
энэ хадаа	this is
оролдосотой	thorough
нарин нягта	thoroughly
тэдэ	those
тиигээшье һаа	though
бодол	thought
һанаан	thought
бодолгото болоһон	thoughtful
бодолнууд	thoughts
мянган	thousand
заналта	thread
заналга	threat
айлгаха	threaten
гурбан	three
богоһон	threshold
сэдьхэлээ хүдэлһэн	thrilled
амидарха	thrive
хоолой	throat
нэбтэ	through
соогуур	throughout
соогуур	throw
барбаадай	thumb
тэнгэриии дуун	thunder
Дүрбэдэхи үдэр	Thursday
тиимэ дээрэһээ	thus
хашаг	tick
сэбэр	tide
тоб гэмэ	tidy
галстук	tie
эреэн гүрөөһэн	tiger
барюу	tight
Тигриниа	Tigrinya
саг	time
зүрхэгүй	timid
хитүү	timid
бишыхан	tiny
үзүүр	tip
һэмээхэн хэлэлгэ	tips
шиинэ	tire
эсэхэ	tired
аршуул	tissue
нэрэ соло	title
хэргэм	title
хүрэтэр	to
байха	to be
хилээмэн	toast
мүнөөдэр	today
нялха	toddler
хүлэй хурган	toes
хамта	together
бэеэ хүнгэлхэ газар	toilet
жорлон	toilet
хэлээтэй	told
тэсэбэри	tolerance
тэсэхэ	tolerate
улаан лооли	tomato
үглөөдэр	tomorrow
хэлэн	tongue
энэ һүни	tonight
баһа	too
абаа	took
хэрэгсэл	tool
зэбсэг	tools
шүдэн	tooth
орой	top
сэдэб	topic
хахарһан	torn
тамалалга	torture
бүхы	total
хүрэхэ	touch
шэрүүн	tough
тур	tour
урдаһаань	toward
урдаһаань	towards
аршуур	towel
хото	town
хорото	toxic
мүр	trace
гэтэхэ	track
наймаа худалдаа	trade
ёһо заншал	tradition
ёһо заншал болошоһон	traditional
заншашаһан	traditional
хагшалаан	traffic
зүргэ	trail
жэм	trail
галтай тэргэ	train
бэлдэлгэ	training
шэнжэ	trait
шэнжэ	traits
дамжуулга	transfer
шэлжэн гаралга	transition
оршуулха	translate
тунгалаг	transparent
унаа	transport
хүргэлтын ябуулга	transportation
занга	trap
хог	trash
бог	trash
гэмтэлгэ	trauma
эбэрэлгэ	trauma
аяншалха	travel
поднос	tray
үнэтэ эд зөөри	treasure
эрдэни	treasure
хандаха	treat
харууһалалга	treatment
модон	tree
абарга	tremendous
тренд	trend
шүүхэ	trial
мэхэлхэ	trick
үзэһэн	tried
шабха	trigger
тайраха	trim
ябалга	trip
асуудал	trouble
үмдэн	trousers
ашаа машина	truck
зүб	TRUE
багажник	trunk
этигэхэ	trust
үнэн	truth
туршажа үзэхэ	try
Цонга	Tsonga
сорго	tube
ганза	tube
гааһан	tube
Хоёрдохи үдэр	Tuesday
һургуулиин түлэбэри	tuition
эрэ галуун	turkey
турмерик	turmeric
эрьелгэ	turn
мэлхэй	turtle
багша	tutor
арбан хоёр	twelve
хорин	twenty
хорин нэгэн	twenty-one
Тви	Twi
хоёр дахин	twice
эрьюулэхэ	twist
хоёр	two
маяг	type
олоной шэнжэтэй	typical
эрэмдэг	ugly
эрид эрилтэтэй	ultimate
шүхэр	umbrella
шадахагүй	unable
нагаса	uncle
бодолгүй	unconscious
доро	under
досоонь	underneath
сэгнэгдээгүй	underrated
ойлгохо	understand
ойлгоһон	understood
гэмшэлтэй	unfortunately
дүримтэ хубсаһан	uniform
шухаг	unique
единицэ	unit
дээдэ һургуули	university
мэдэгдэгүй	unknown
үгы һаа	unless
хүрэтэр	until
юрын бэшэ	unusual
дээшэ	up
өөрөө мэдээрэй	up to you
шэнэлхэ	update
шэнэлхэ	upgrade
дээгүүр	upon
гашууданги	upset
хотын	urban
яаралтай	urge
яаралтай	urgent
бидэ	us
хэрэглэхэ	use
хэрэглэгдэһэн	used
хэрэглэхээр	useful
хэрэггүй	useless
эгээлэй	usual
жииртэ	usually
ашагтай	utility
амаралта	vacation
тарилга	vaccination
тарилга	vaccine
вакуум	vacuum
эли бэшэ	vague
бодото	valid
хүнды	valley
үнэтэ	valuable
