azçıq	a little
ada çayı	sage
dedi	said
añılğan	said
yelken	sail
deñizge çıqmaq	sailing
hatır	sake
aylıq	salary
satış	sale
losos balığı	salmon
tuz	salt
aynı	same
Aynı mında	Same here
misal	sample
qum	sand
Sanskrit tili	Sanskrit
mizahiy	sarcastic
cüratlı	sassy
oturdı	sat
hoşnutlıq	satisfaction
hoşnut	satisfied
qanaatlendirmek	satisfy
qanaatlendirici	satisfying
Cumaertesi	Saturday
sucuq	sausage
kiyik	savage
qayd etmek	save
kördim	saw
pıçqı	saw
aytmaq	say
ölçev	scale
iylekârlıq	scam
yara izi	scar
qıt	scarce
qorqqan	scared
şarf	scarf
qorqunçlı	scary
dağınıq	scattered
sana	scene
manzara	scenery
qoqu	scent
cedvel	schedule
mektep	school
ilim	science
bilgi saibi	scientist
alimler	scientists
maqas	scissors
tazirlemek	scold
miqyas	scope
baa	score
qırıntı	scrap
tırnamaq	scratch
qıçırma	scream
ekran	screen
vint	screw
stsenariy	script
deñiz	sea
müür	seal
qıdırmaq	search
mevsim	season
oturğıç	seat
ekinci	second
sır	secret
şübe	section
telükesiz	secure
telükesizlik	security
körmek	see
körüşirmiz	see you
keççe körüşirmiz	see you later
körüşkence	see you soon
yarın körüşirmiz	see you tomorrow
urluq	seed
qıdırmaq	seek
körünmek	seem
körüne	seems
köründi	seen
tutmaq	seize
zapt	seizure
siyrek	seldom
seçmek	select
özü	self
öz-özüni tedaviylev	self healing
nefishor	selfish
satmaq	sell
yibermek	send
maña resimiñni yolla	send me your picture
üyken	senior
mana	sense
aqılğa yatqan	sensible
sezgir	sensitive
yiberildi	sent
cümle	sentence
cümleler	sentences
ayrı	separate
Sepedi tili	Sepedi
ilk küz ayı	september
ardısıralıq	sequence
silsile	series
ciddiy	serious
ciddiy olaraq	seriously
hızmet etmek	serve
hızmet	service
oturış	session
taqım	set
ayarlamaq	set
tiklemek	set up
sazlama	setting
yerleşmek	settle
yedi	seven
on yedi	seventeen
yetmiş	seventy
bir qaç	several
şiddetli	severe
tikmek	sew
ş	sh
talda	shade
kölge	shadow
sallamaq	shake
olacaqtır	shall
say	shallow
ayıp	shame
sıfat	shape
paylaşmaq	share
pay	share
ötkür	sharp
o	she
onıñ bar	she has
o	she is
aran	shed
qoy	sheep
çarşaf	sheet
raf	shelf
qaburçaq	shell
sığınaq	shelter
qalqan	shield
yılışuv	shift
parıldamaq	shine
gemi	ship
teslim	shipping
kölmek	shirt
ayaqqap	shoes
ateş açmaq	shoot
tükân	shop
alış-veriş	shopping
sail	shore
qısqa	short
qıtlıq	shortage
atış	shot
yapmalı	should
omuz	shoulder
qıçırmaq	shout
temaşa	show
köstermek	show
köster maña	show me
duş	shower
krevetka	shrimp
bükşeymek	shrink
qapatmaq	shut
sus	shut up
utançaq	shy
qardaş	sibling
doğmuş qardaşlar	siblings
hasta	sick
taraf	side
öksünmek	sigh
közetmek	sight
kezip körme	sightseeing
işaret	sign
imza	signature
emiyetli	significant
sessizlik	silence
sakin	silent
ipek	silk
ahmaq	silly
kümüş	silver
oşağan	similar
matüv	simp
sade	simple
bir vaqıtta	simultaneously
berli	since
samimiy	sincere
hulüskârane	sincerely
yırlamaq	sing
yırcı	singer
mücerret	single
çirkef yeri	sink
Bey	Sir
tata	sister
körümce	sister in law
oturmaq	sit
meydan	site
al	situation
altı	six
on altı	sixteen
altmış	sixty
büyüklik	size
meleke	skill
merafet	skills
teri	skin
arıq	skinny
qaldırıp keçmek	skip
etek	skirt
sema	sky
qul	slave
yuqlamaq	sleep
yuqlağan	sleeping
yuqulı	sleepy
yeñ	sleeve
tilim	slice
taymaq	slide
yengilden	slightly
zarif	slim
yılışmaq	slip
cap	slope
yuva	slot
yavaş	slow
yavaş	slowly
kiçik	small
başı çalışqan	smart
sasıq	smell
tebessüm	smile
tütün çekmek	smoke
tegiz	smooth
qapınma	snack
çıqçıq balaban	snail
yılan	snake
çertmek	snap
qar	snow
işte	so
pek hoş	so cute
şimdilik	so far
siñmek	soak
sabun	soap
ayınıq	sober
futbol	soccer
içtimaiy	social
cemaat	society
çorap	socks
yımşaq	soft
yazılım	software
topraq	soil
satılğan	sold
er şey satılıp bitti	sold out
asker	soldier
taban	sole
qattı	solid
irinti	solution
iritmek	solve
bazı	some
birisi	somebody
nasıldır	somehow
kimdir	someone
bir şey	something
kimerde	sometimes
yır	song
yaqın arada	soon
mürekkep	sophisticated
Sorani tili	Sorani
sızlağan	sore
boğaz ağrısı	sore throat
qaar	sorrow
Bağışla	Sorry
çeşit	sort
qıdırılğan	sought
göñül	soul
can arqadaşı	soulmate
ses	sound
şorba	soup
ekşi	sour
menba	source
cenüp	south
kâinat	space
spam	spam
kemer	span
İspanca	Spanish
yedek	spare
laf etmek	speak
mahsus	special
türler	species
hususiy	specific
tesirli	spectacular
nutuq	speech
sessiz-soluqsız	speechless
surat	speed
arif-arif añlatmaq	spell
masraf etmek	spend
sarf etilgen	spent
accı	spicy
mamuz	spike
aylanma	spin
ispanaq	spinach
ruh	spirit
tükürmek	spit
körgemli	splendid
yarmaq	split
bozmaq	spoil
bozuq	spoiled
birden	spontaneous
qaşıq	spoon
leke	spot
ömür arqadaşı	spouse
tarqaluv	spread
tarqatmaq	spread
baar	spring
dörtköşe	square
suvını sıqmaq	squeeze
merekep balığı	squid
sansar	squirrel
soq	st
pıçaqlamaq	stab
deñişmez	stable
keben	stack
hadimler	staff
sana	stage
leke	stain
merdivenler	stairs
qazıq	stake
sap	stalk
ahır	stall
tamğa	stamp
turmaq	stand
standart	standard
yıldız	star
başlama	start
başlanğan	started
aç olğan	starving
devlet	state
resmiy bildirme	statement
stantsiya	station
eykel	statue
vaziyet	status
qalmaq	stay
özüñe muqayt ol	stay safe
sabit	steady
kebap	steak
hırsızlamaq	steal
buv	steam
çelik	steel
tik	steep
negiz	stem
adım	step
tıqmaq	stick
çubuq	stick
qattı	stiff
alâ daa	still
çaqmaq	sting
saran	stingy
qarıştırmaq	stir
ihtiyat	stock
çalınğan	stolen
aşqazan	stomach
taş	stone
turdı	stood
kürsü	stool
toqtamaq	stop
mağaza	storage
tükân	store
furtuna	storm
rivayet	story
soba	stove
tüz	straight
sade	straightforward
kerginlik	strain
yat	strange
yabancı	stranger
strategiya	strategy
toban	straw
cilek	strawberry
yolaq	streak
aqış	stream
yayınlamaq	stream
soqaq	street
quvet	strength
stress	stress
sozmaq	stretch
talapkâr	strict
iş taşlav	strike
satır	string
yolaq	strip
tırışmaq	strive
sıypamaq	stroke
küçlü	strong
çarptı	struck
terkip	structure
küreş	struggle
küreşken	struggling
inat	stubborn
sıqılğan	stuck
talebe	student
araştıruv	study
ögrengen	studying
abur-çubur	stuff
şaşırtıcı	stunning
avanaq	stupid
tarz	style
mevzu	subject
boysunma	submission
taqdim etmek	submit
madde	substance
tebdil	substitute
ince	subtle
muvafaqiyet qazanmaq	succeed
muvafaqiyet	success
muvafaqiyetli	successful
böyle	such
kibi	such as
emmek	suck
apansız	sudden
apansızdan	suddenly
azap çekmek	suffer
qıynalğan	suffering
yeterli	sufficient
şeker	sugar
teklif etmek	suggest
teklif	suggestion
yaraşmaq	suit
kelişken	suitable
cemidan	suitcase
cemi	sum
qısqa münderice	summary
yaz	summer
yüksek seviyede körüşüv	summit
küneş	sun
bazar künü	sunday
küneşli	sunny
kün batuv	sunset
küneş nuru	sunshine
super	super
üstün olğan	superior
idareci	supervisor
aqşam aşı	supper
tedarik etmek	supply
qol tutmaq	support
zan etmek	suppose
sözde	supposed
tabi	sure
üst	surface
tolqun	surge
cerrahiy ameliyat	surgery
soyadı	surname
sürpriz	surprise
şaşqın	surprised
teslim olmaq	surrender
çevre-çetteki	surrounding
közetme	surveillance
sorav	survey
sağ qalmaq	survive
şeklenmek	suspect
asılğan	suspended
şübeli	suspicious
desteklemek	sustain
istiqrarlı	sustainability
durğun	sustainable
pırt	swag
sallanmaq	swag
yutmaq	swallow
almaşuv	swap
ant etmek	swear
ter	sweat
sviter	sweater
sipirmek	sweep
tatlı	sweet
tatlı tüşler	sweet dreams
tatlı sevgen	sweet tooth
yar	sweetheart
qabarmaq	swell
şişik	swelling
yaldamaq	swim
yaldav	swimming
salıncaq	swing
sallamaq	swing
avuştırıcı	switch
şişken	swollen
qılıç	sword
timsal	symbol
şefqat	sympathy
delâletler	symptoms
tertibat	system
cedvel	table
masa	table
oğraşmaq	tackle
tamğa	tag
quyruq	tail
almaq	take
alıp ketmek	take away
qayğırmaq	take care
çıqarmaq	take off
alınğan	taken
qonuşmaq	talk
lafazan	talkative
uzun boylu	tall
qurna	tap
şerit	tape
belgi	target
vazife	task
dat	taste
lezzetli	tasty
ögretti	taught
çay	tea
ögretmek	teach
oca	teacher
taqım	team
közyaş	tear
közyaşlar	tears
eriştirmek	tease
tehnologiya	technology
tişler	teeth
aytıp bermek	tell
ayt maña	tell me
quy	temper
sıcaqlıq	temperature
ibadethane	temple
vaqtınca	temporary
on	ten
on biñ	ten thousand
kiraci	tenant
meyil olmaq	tend
meyil	tendency
yarış	tender
kergin	tense
basım	tension
çadır	tent
sınama	tentative
müddet	term
şartlar	terms
qorqunçlı	terrible
qocaman	terrific
yer	territory
test	test
metin	text
daa	than
teşekkür bildirmek	thank
sağ ol	thank you
Biz yollanmanı qıdırğan arada sabır etkeniñiz içün sağ oluñız	Thank you for your patience while we investigate shipment
çoq sağ oluñız	thank you so much
çoq sağ oluñız	thank you very much
teşekkürler	thanks
İlâvemizni qullanğanıñız içün sağ oluñız	Thanks for using our app
şu	that
yani	that is
bu	that's good
yahşıdır	that's good
hırsızlıq	theft
olarnıñ	their
olarnı	them
fen	theme
özlerini	themselves
bundan soñ	then
nazariye	theory
anda	there
bar	there are
bar	there is
bunıñ içün	therefore
bular	these
olar	they
olar	they are
qalın	thick
hırsız	thief
bacaq	thigh
arıq	thin
ince	thin
şey	thing
şeyler	things
tüşünmek	think
üçünci	third
suvsağan	thirsty
on üç	thirteen
otuz	thirty
bu	this
bu	this is
çalıq	thorough
tamamen	thoroughly
şu	those
lâkin	though
tüşündim	thought
tüşünceli	thoughtful
tüşünceler	thoughts
biñ	thousand
yip	thread
havf	threat
qorqutmaq	threaten
üç	three
bosağa	threshold
eyecanlı	thrilled
oñmaq	thrive
tamaq	throat
vastasınen	through
boyunca	throughout
atmaq	throw
baş parmaq	thumb
kök güdürdisi	thunder
Cumaaqşamı	Thursday
böyleliknen	thus
işaret	tick
artıluv	tide
mismil	tidy
boyunbağ	tie
qaplan	tiger
tığız	tight
Tigrinya tili	Tigrinya
vaqıt	time
tartınçaq	timid
bir qarış	tiny
bahşış	tip
bahşışlar	tips
şın	tire
boldurğan	tired
toquma	tissue
başlıq	title
olmaq	to be
qızartılğan ötmek	toast
bugün	today
ilk adımlarını yapqan bala	toddler
ayaq parmaqları	toes
beraber	together
kenef	toilet
ayttı	told
sabır	tolerance
dayanmaq	tolerate
pomidor	tomato
yarın	tomorrow
til	tongue
bu gece	tonight
de	too
qarardan ziyade	too
aldı	took
alet	tool
aletler	tools
tiş	tooth
üstü	top
mevzu	topic
yırtıq	torn
azap	torture
toplam olaraq	total
tiymek	touch
sert	tough
tur	tour
doğru	toward
taba	towards
yağbez	towel
qasaba	town
zeerli	toxic
iz	trace
tar soqaq	track
ticaret	trade
anane	tradition
ananeviy	traditional
yol areketi	traffic
iz	trail
tren	train
ögretüv	training
tabiat çizgisi	trait
hususiyetler	traits
yerini deñiştirmek	transfer
keçme	transition
tercime etmek	translate
şeffaf	transparent
naqliyat vastası	transport
naqliyat	transportation
qapqan	trap
çöplük	trash
travma	trauma
seyahat	travel
tepsi	tray
hazine	treasure
tedaviylemek	treat
tedaviylev	treatment
terek	tree
pek büyük	tremendous
temayül	trend
sınama	trial
iylekârlıq	trick
tırıştı	tried
tetik	trigger
qırqmaq	trim
yolculıq	trip
qıyınlıq	trouble
ştan	trousers
yük maşnası	truck
doğru olğan	true
kevde	trunk
işanç	trust
aqiqat	truth
tırışmaq	try
Tsonga tili	Tsonga
boru	tube
Salı	Tuesday
talim	tuition
körel	turkey
zerdeçal	turmeric
burmaq	turn
qaplı baqa	turtle
oca	tutor
on eki	twelve
yigirmi	twenty
yigirmi bir	twenty-one
Tvi tili	Twi
eki kere	twice
büklemek	twist
eki	two
tür	type
tipik	typical
çirkin	ugly
qatiy	ultimate
şemsiye	umbrella
yapıp olamay	unable
emce	uncle
bayılğan	unconscious
tübünde	under
tübünde	underneath
lâyıq qıymet kesilmegen	underrated
añlamaq	understand
añladı	understood
yazıqlar olsun ki	unfortunately
uniforma	uniform
beñzersiz	unique
ölçü birlemi	unit
universitet	university
mecul	unknown
bu vaqıtqace	unless
qadar	until
taacip	unusual
yuqarı	up
saña bağlı	up to you
yañartmaq	update
yükseltme	upgrade
üstünde	upon
qasevetli	upset
şeer	urban
türtmek	urge
acele	urgent
bizni	us
qullanmaq	use
qullanılğan	used
faydalı	useful
nafile	useless
basit	usual
adetince	usually
fayda	utility
tatil	vacation
aşılama	vaccination
aşı	vaccine
vakuum	vacuum
belgisiz	vague
aqiqiy olğan	valid
vadiy	valley
qıymetli	valuable
qadirine yetmek	value
çeşitlik	variety
türlü	various
farqlılıq köstermek	vary
çiçek savutı	vase
qulan	vast
sebze	vegetable
sebzeler	vegetables
naqliyat vastası	vehicle
satıcı	vendor
zeer	venom
macera	venture
mekân	venue
teşkermek	verify
çoq taraflama	versatile
versiya	version
tik	vertical
pek	very
pek yahşı	very good
gemi	vessel
vastasınen	via
müit	vibe
ihtizaz	vibes
amansız	vicious
qurban	victim
video	video
baqış	view
köy	village
yaramay adam	villain
sirke	vinegar
yüzüm cıyuvı	vintage
zorbalıq	violence
cebriy	violent
virus	viral
baqire	virgin
virtual	virtual
fazilet	virtue
baqış	vision
ziyaret	visit
tışqı	visual
ayatiy emiyeti olğan	vital
parlaq	vivid
til baylığı	vocabulary
ses	voice
keçersiz	void
kölem	volume
göñülli	volunteer
qusmaq	vomit
imayesiz	vulnerable
maaş	wage
ücret	wages
bel	waist
toqta	wait
ayaqçı	waiter
beklev	waiting
uyanmaq	wake
uyanmaq	wake up
yürmek	walk
yürüş	walking
divar	wall
cüzdan	wallet
dolanmaq	wander
istemek	wanna
istemek	want
istegen	wanted
cenk	war
urba dolabı	wardrobe
anbar	warehouse
issi	warm
ihtar etmek	warn
tenbi	warning
cenkçi	warrior
edi	was
yuvmaq	wash
qalımtı	waste
boşuna sarf etmek	waste
baqmaq	watch
saat	watch
suv	water
qarpız	watermelon
dalğa	wave
usul	way
biz	we
biz	we are
biz yapıp olurmız	we can
zayıf	weak
zayıflıq	weakness
baylıq	wealth
barlıqlı	wealthy
kiymek	wear
urba	wearing
ava vaziyeti	weather
toy	wedding
Çarşenbe	Wednesday
kiyik ot	weed
afta	week
raatlıq künleri	weekend
ağırlıq	weight
hucur	weird
hoş keldiñ	welcome
bolluq	welfare
Aydı	Well
Yahşı	Well
aferin	well done
ketti	went
bar edi	were
ğarp	west
sers	wet
kit balığı	whale
ne	what
ya sen	what about you
ne yapasıñ	what are you doing
sen şimdi ne yapasıñ	what are you doing now
şimdi ne yapasıñ	what are you doing right now
ne yapasıñ	what do you do
yaşamaq içün ne iş yapasıñız	what do you do for a living
sen ne aytmağa isteysiñ	what do you mean
ne isteysiñ	what do you want
ne oldı	what happened
nedir	what is
bu nedir	what is this
kim olıp çalışasıñ	what is your job
adıñ ne	what is your name
ne oldı	what's up
adıñ ne	what's your name
ne de olsa	whatever
boğday	wheat
köpçek	wheel
ne vaqıt	when
er vaqıt	whenever
qayda	where
sen qaydasıñ	where are you
sen qaydansıñ	where are you from
sen şimdi qaydasıñ	where are you now
qayda yaşaysıñ	where do you live
qaydadır	where is
albuki	whereas
olıp-olmağanı	whether
qaysı	which
ise	while
fısıltı	whisper
sızğırmaq	whistle
beyaz	white
kim	who
sen kimsiñ	who are you
kimdir	who is
bu kim	who is this
bütün	whole
kimge	whom
kimniñ	whose
ne içün	why
neden olmasın	why not
kindar	wicked
keñ	wide
tul qadın	widow
keñlik	width
qarı	wife
kiyik	wild
olacaq	will
azır olğan	willing
yeñmek	win
yel	wind
pencere	window
ruzgârlı	windy
şarap	wine
qış	winter
sürtmek	wipe
tel	wire
ikmet	wisdom
ikmetli	wise
istek	wish
eñ eyi tilekler	wish you all the best
cadı	witch
ile	with
keri çekmek	withdraw
alıp çıqarma	withdrawal
sıñırları içinde	within
olmadan	without
şaat	witness
keskin aqıllı	witty
qaşqır	wolf
qadın	woman
qadınlar	women
ğalebe qazandı	won
olmaycaq	won't
ayretlenmek	wonder
mücizeviy	wonderful
ağaç	wood
yün	wool
söz	word
sözler	words
iş	work
işlemek	work out
çalışqan	working
dünya	world
qurt	worm
yıpranğan	worn
eyecanlandı	worried
raatsızlanmaq	worry
daa beter	worse
tapma	worship
beter	worst
qıymet	worth
qıymetke malik	worth it
munasip	worthy
olur	would
yara	wound
Demese	Wow
sarmaq	wrap
ğadap	wrath
bilek	wrist
yazmaq	write
Mında yaz	Write here
yazam	writing
yazılğan	written
yañlış	wrong
yazdı	wrote
azbar	yard
esnemek	yawn
Ebet	Yeah
yıl	year
yıllar	years
maya	yeast
bağırmaq	yell
sarı	yellow
E	Yes
e, evlâdım	yes baby
ebet, canım	yes dear
ebet, tatlım	yes honey
ebet, sevgilim	yes my love
e, ebet	yes of course
tünevin	yesterday
şimdilik	yet
kâr	yield
sen	you
sen	you are
sen dülbersiñ	you are beautiful
pek güzelsiñ	you are so beautiful
bir şey degil	you are welcome
sen yapıp olasıñ	you can
Bilesiñmi	You know
sen de	you too
Allah razı olsun	you're welcome
genç	young
seniñ	your
bir şey degil	your welcome
özüni	yourself
yaşlar	youth
Allah razı olsun	you’re welcome
damlı	yummy
sıfır	zero
