omu	a
ennanansi	pineapple
pinka	pink
ekinnya	pit
ekisaawe	pitch
ekifo	place
ebifo	places
kawumpuli	plague
omuseetwe	plain
okuteekateeka	plan
ennyonyi	plane
okusimba	plant
ebimera	plants
essowaani	plate
ekifo	platform
okuzannya	play
okuzannya	playing
kisanyusa	pleasant
-saba	please
okwenyumirizaamu	pleased
essanyu	pleasure
omusingo	pledge
-ngi	plenty
puloti	plot
okuyingiza	plug
obunene	plum
pulamba	plumber
binji	plural
podcast	podcast
ekitontome	poem
obutontomi	poetry
okusonga	point
obutwa	poison
poliisi	police
etteeka	policy
ggonjebwa	polite
okwoonoona	pollution
ekidiba	pond
puulu	pool
obubi	poop
-aavu	poor
okubwatuka	pop
okumanyika	popular
obusera	porridge
omwaalo	port
ekifo	position
-lungi	positive
oby'obugagga	possession
-soboka	possible
ekiwandiiko	post
okwongezayo	postpone
lumonde	potato
obusobozi	potential
okusekula	pound
obwaavu	poverty
amaanyi	power
-maanyi	powerful
kikolebwa	practical
okwegezamu	practice
okutenda	praise
omuzannyo	prank
okusaba	pray
mubufunzi	precise
butereeve	precisely
okuteebereza	predict
okwagala	preference
ekifo	premises
okutegeka	preparation
okutegeka	prepare
okwetegeka	prepared
okubeerawo	presence
ekirabo	present
okwolesa	presentation
okukuuma	preserve
okunyiga	press
puleesa	pressure
okwekoza	pretend
mulungi	pretty
okutangira	prevent
jjuuzi	previous
omulabe	prey
omuwendo	price
amalala	pride
kabona	priest
pulayimale	primary
kikulu	prime
omumbejja	princess
pulinsipaali	principal
bukyali	prior
ekkomera	prison
kyaama	privacy
eddembe	privilege
ekirabo	prize
-yinza	probably
ekizibu	problem
omutendero	procedure
omutendero	process
okuzaala	produce
ekyamaguzi	product
okufulumya	production
omulimu	profession
omukugu	professional
ebikukwatako	profile
amagoba	profit
kyewuunyisa	profound
okukulakulana	progress
pulojekiti	project
okumakibwa	prominent
okusuubiza	promise
okukuza	promote
okukuza	promotion
okukubiriza	prompt
enjogera	pronunciation
obukakafu	proof
bulungi	proper
bulungi	properly
eby'bwanannyini	properties
okiteeso	proposal
obugagga	prosperity
obuwanguzi	prosperous
okukuuma	protect
amalala	proud
okugabirira	provide
okugabirira	provided
ettwale	province
obugabirizi	provision
obuvubuka	puberty
okusika	pull
ensujju	pumpkin
omusomi	pupil
okugula	purchase
obutukuvu	pure
kakobe	purple
omugaso	purpose
akasawo	purse
okulemerako	pursue
ekiruyi	pursuit
okusindika	push
okuteekamu	put
ekisaanizo	qualification
omutindo	quality
omuwendo	quantity
kalantiini	quarantine
okuyomba	quarrel
kwoota	quarter
Quechua	Quechua
nabagereka	queen
tekitegeerekeka	queer
ekibuuzo	query
ekibuuzo	question
mangu	quick
mangu	quickly
okusirika	quiet
ekyeebikko	quilt
okuwanika	quit
ebibuuzo	quiz
kwoti	quote
ebiwandiiko	quotes
akamyu	rabbit
okusindana	race
obusungu	rage
enkuba	rain
okuyimusa	raise
okuyimusa	raised
okudduka	ran
ebanga	range
mangu	rapid
mangu	rapidly
tekilabikalabika	rare
okwanguwa	rash
emmese	rat
omuwendo	rate
wadde	rather
okugereganya	ratio
ekigendererwa	rational
-bisi	raw
okutuuka	reach
okutuuka	reached
kagugumuko	reaction
okusoma	read
okusoma	reading
okwetegeka	ready
-ddala	real
ebyaddala	reality
okuzuula	realize
okukizuula	realized
kituufu	really
okulunda	rear
ensonga	reason
okutegeerekeka	reasonable
okujjukira	recall
lisiiti	receipt
okufuna	receive
-afuna	received
lisepusoni	reception
ebirungo	recipe
-lagajjavu	reckless
okutegeera	recognition
okutegeera	recognize
okulonda	recommend
okulagirira	recommended
ebiterekero	record
okufuna	recover
okuwona	recovery
mwamba	rectangle
-myuufu	red
okununula	redeem
okununulibwa	redemption
okukendeeza	reduce
tekyetagisa	redundant
okulagirira	refer
okufumitiriza	reflect
ekitangaala	reflection
okwezira	refrain
fuliiji	refrigerator
okusasula	refund
okugaana	refuse
okugaana	refused
nwankubadde	regardless
kulamusiza	regards
ekifo	region
okwewandiisa	register
okwejjusa	regret
okugaana	reject
oluganda	relate
enkolagana	relationship
ow'ekika	relative
ab'ekika	relatives
okuwummula	relax
okuta	release
okuteebwa	released
-mugaso	relevant
okwesigika	reliable
emirembe	relief
okuweweeza	relieve
okuweweera	relieved
eddiini	religion
okukungubala	reluctant
okwesigama	rely
okusigala	remain
okusigalawo	remaining
eddagala	remedy
okujjukira	remember
okujjukiza	remind
okujjukiza	reminder
limooti	remote
okujjamu	remove
okuwa	render
obusuulu	rent
okukanika	repair
okuddamu	repeat
okuzzaawo	replace
okuddamu	reply
okuloopa	report
okukiikirira	represent
ekitiibwa	reputation
okusaba	request
okwetaagisa	require
-etaagisa	required
okununula	rescue
okunoonyereza	research
-faanana	resemble
obukyaayi	resentment
okutereka	reservation
okutereka	reserve
omutuuze	resident
okulekulira	resign
obumalirivu	resilience
obumalirivu	resilient
okulwana	resist
okugaana	resistance
ensalawo	resolution
okumalirira	resolve
ettabaaliro	resort
eby'okukozesa	resources
okuddamu	respond
okuddamu	response
obuvunaanyizibwa	responsibility
-buvunaanyizibwa	responsible
okuwummula	rest
lesitoolanti	restaurant
okuwona	restore
okufunza	restrict
alizaati	result
alizaati	results
okuddamu	resume
okukuuma	retain
okukuuma	retention
okulekulira	retired
obuddukiro	retreat
-funa	retrieve
okukomawo	return
okubikkula	reveal
okubikkulirwa	revealed
okuwolera	revenge
enfuna	revenue
okwekkaanya	review
okwewaggula	revolution
empeera	reward
olubiriizi	rib
omuceere	rice
obugagga	rich
okujjawo	rid
okusotta	ride
kibi	ridiculous
kituufu	right
kati	right now
okukaluba	rigid
empeta	ring
okumunyunguza	rinse
okwekalakaasa	riot
okuyuza	rip
okwengera	ripe
okuyimuka	rise
akabi	risk
omulabe	rival
omugga	river
oluguudo	road
okwookya	roast
eggume	robust
olwaazi	rock
omu'ggo	rod
omugaso	role
okuzinga	roll
akasolya	roof
ekisenge	room
omuzi	root
omuguwa	rope
-vundu	rotten
obukakanyavu	rough
okwetooloola	round
ekkubo	route
okudingana	routine
olunyiriri	row
okusangula	rub
labba	rubber
kasassiro	rubbish
-kambwe	rude
ekisiimula	rug
okwonoona	ruin
okufuga	rule
luula	ruler
amateeka	rules
okudduka	run
okudduka	running
okwaanguwa	rush
egguniya	sack
obutukuvu	sacred
sadaaka	sacrifice
obukuumi	safe
obukuumi	safety
-agamba	said
okuseeyeeya	sail
ekigendererwa	sake
omusaala	salary
okutunda	sale
eky'enyanja	salmon
omunnyo	salt
-mu	same
okulegako	sample
omusenyu	sand
Sanskrit	Sanskrit
kusaaga	sarcastic
obukanu	sassy
okutuula	sat
okukkuta	satisfaction
okukkuta	satisfied
okukkusa	satisfy
-kkusa	satisfying
soseji	sausage
okununula	save
omusumeeno	saw
okugamba	say
minzaani	scale
okufera	scam
enkovu	scar
ebbula	scarce
okutya	scared
ekizibawo	scarf
eky'entiisa	scary
okusaansaana	scattered
oluyombo	scene
enabika	scenery
akawoowo	scent
teekateeka	schedule
essomero	school
sayansi	science
kigezimunnyo	scientist
abanasayansi	scientists
makansi	scissors
okuyombesa	scold
okuteeba	score
akatiriginya	scrap
okutakula	scratch
okuleekaana	scream
lutimbe	screen
omusumaali	screw
ekiwandiiko	script
enyanja	sea
okusiba	seal
okunoonya	search
ebiro	season
ekifo	seat
akatikitiki	second
ekyaama	secret
akabondo	section
okukuuma	secure
obukuumi	security
okulaba	see
ensigo	seed
okunoonya	seek
okulabika	seem
kilabika	seems
okulaba	seen
tulabagane	see you
okubaka	seize
ensimbu	seizure
okulonda	select
obwananyini	self
okwewonya	self healing
okwemalirira	selfish
okutunda	sell
okutuma	send
omukulu	senior
okuwulira	sense
okutegeera	sensible
kyamugasonyo	sensitive
yatumwa	sent
sentensi	sentence
ebigambo	sentences
okwawula	separate
Sepedi	Sepedi
olunyiriri	sequence
kikulu	serious
okikakasa	seriously
okuweereza	serve
empeereza	service
olukiiko	session
biggate	set
okutereeza	setting
okutereera	settle
okutandika	set up
musanvu	seven
nsanvu	seventy
-ngi	several
-ngi	severe
okutunga	sew
sh	sh
okusiiga	shade
ekisiikirize	shadow
okunyeenya	shake
nja	shall
-funda	shallow
ensonyi	shame
enkula	shape
omugabo	share
-oogi	sharp
ye	she
okufiirwa	shed
endiga	sheep
ebbaati	sheet
ekitindiiro	shelf
ekisosonkole	shell
okweggama	shelter
engabo	shield
okusenguka	shift
okwaaka	shine
emmeeri	ship
saati	shirt
engatto	shoes
okugula	shop
okugula	shopping
olukalu	shore
obumpi	short
ebbula	shortage
-teekwa	should
amabegaabega	shoulder
okulekaana	shout
okulaga	show
okunaaba	shower
ndaga	show me
shrimp	shrimp
okukendeera	shrink
okuggalawo	shut
sirika	shut up
ensonyi	shy
ab'oluganda	siblings
-lwadde	sick
oludda	side
okulaba	sight
okulambuula	sightseeing
akasiriikiriro	silence
okusirika	silent
liiri	silk
obusiru	silly
effeeza	silver
okwefaananyiriza	similar
-angu	simple
okuva	since
amazima	sincere
mazima	sincerely
okuyimba	sing
omuyimbi	singer
-wuulu	single
okubbira	sink
Ssebo	Sir
mwanyina	sister
okutuula	sit
ekibanja	site
embeera	situation
mukaaga	six
nkaaga	sixty
obunene	size
eby'emikono	skill
eby'engalo	skills
omubiri	skin
mutono	skinny
okubuuka	skip
sikaati	skirt
eggulu	sky
omuddu	slave
otulo	sleep
okwebaka	sleeping
okusala	slice
okuseerera	slide
katono	slightly
-tono	slim
okuseerera	slip
akaselengeto	slope
ekifo	slot
mpola	slow
mpola	slowly
-tono	small
okuwunyiza	smell
okumweenya	smile
omukka	smoke
obugonvu	smooth
obumpwankimpwanki	snack
ekkovu	snail
omusota	snake
ekifananyi	snap
omuzira	snow
ekituufu	so
okunnyika	soak
sabuuni	soap
okutegeera	sober
omupiira	soccer
Sitookisi	socks
baking soda	baking soda
kakati	so far
obugonvu	soft
sofutiweeya	software
ettaka	soil
-atunda	sold
omujaasi	soldier
soole	sole
ekigumu	solid
okugonjoola	solution
okuggusa	solve
-mu	some
omuntu	somebody
afazali	somehow
oluusi	sometimes
oluyimba	song
tategerekeka	sophisticated
Sorani	Sorani
okuzimba	sore
ennaku	sorrow
Nsonyiwa	Sorry
engeri	sort
okunoonya	sought
omwoyo	soul
-omwoyo	soulmate
okuwulikika	sound
supu	soup
okukaawa	sour
ensibuko	source
sawusi	south
ekifo	space
ebbanga	span
Olusupeyini	Spanish
okusonyiwa	spare
okwoogera	speak
ebika	species
kilondemu	specific
kisuffu	spectacular
okwoogera	speech
supiidi	speed
okwogera	spell
okusaasaanya	spend
okukozesa	spent
okulunga	spicy
okukoleera	spike
okwetooloola	spin
bbuga	spinach
omwooyo	spirit
okuwandula	spit
Kisuffu	splendid
yatika	split
okwoonoona	spoil
okwoononeka	spoiled
ekikangabwa	spontaneous
ekijiiko	spoon
ekifo	spot
omufumbo	spouse
okusaasanya	spread
sepulingi	spring
kyebiriga	square
okukamula	squeeze
endegeya	squirrel
omuntu ssekinnomu	individual
st	st
okufumita	stab
yetengerede	stable
okubunga	stack
abakozi	staff
siteeji	stage
ebbala	stain
amadaala	stairs
olubaawo	stake
omudaala	stall
sitampu	stamp
okuyimirira	stand
omutindo	standard
emmunyeenye	star
okutandika	start
okutandika	started
eggwanga	state
ekigambo	statement
sitenseni	station
ekiwumbe	statue
ennyimirira	status
okusigala	stay
wekuume	stay safe
obugumu	steady
enyama	steak
okubba	steal
omukka	steam
kyuuma	steel
akaserengeto	steep
enduli	stem
eddaala	step
akati	stick
okukakanyala	stiff
naye	still
okuluma	sting
obukodo	stingy
okutabula	stir
okutunda	stock
ekibbe	stolen
olubuto	stomach
ejjinja	stone
yayimirira	stood
akatebe	stool
okulekera	stop
okutereka	storage
sitoowa	store
kibuyaga	storm
olugero	story
sigiri	stove
okugolokoka	straight
kulafuubana	strain
mugenyi	stranger
akakodyo	strategy
akaseke	straw
situloberi	strawberry
olunyiriri	streak
oluzzi	stream
ekkubo	street
amaanyi	strength
okukoowa	stress
okugolola	stretch
obukakaativu	strict
okwekalakaasa	strike
akaguwa	string
okwambula	strip
okufuba	strive
storoko	stroke
obugumu	strong
okukubibwa	struck
enkula	structure
okufuba	struggle
obulafubana	struggling
-ddalu	stubborn
okulaalira	stuck
omuyizi	student
okusoma	study
okusoma	studying
ebintu	stuff
-siru	stupid
engeri	style
essomo	subject
obujeemulukufu	submission
okuwaayo	submit
amakulu	substance
okukulaakulana	succeed
okuyita	success
okuyita	successful
nga	such
okunuuna	suck
kibwatukira	sudden
kibwatukira	suddenly
okubonabona	suffer
okubonabona	suffering
okumala	sufficient
sukaali	sugar
okuteesa	suggest
okuteesa	suggestion
suuti	suit
okusaanira	suitable
sanduuko	suitcase
okugatta	sum
okubumbako	summary
obusammambiro	summit
enjuba	sun
Sabiiti	sunday
omusana	sunny
obugwanjuba	sunset
akasana	sunshine
kiyitirivu	super
omukulu	superior
omulabirizi	supervisor
eky'eggulo	supper
okugaba	supply
okuwagira	support
okuteekwa	suppose
okuteekwa	supposed
okuloongoosa	surgery
okuzinduukiriza	surprise
okuzinduukiriza	surprised
surrender	surrender
okwetooloola	surrounding
okuketta	surveillance
okunyoonyereza	survey
okusimattuka	survive
okwekengera	suspect
okuyimiriza	suspended
okubuusabuusa	suspicious
okubeezawo	sustain
okwebeezawo	sustainability
kimazaako	sustainable
amalala	swag
okumira	swallow
okufaanyisa	swap
okulayira	swear
okutuuyana	sweat
sweeta	sweater
okuyera	sweep
okuwooma	sweet
kabiite	sweetheart
okuzimba	swell
okuzimba	swelling
okuwuga	swim
okuwuga	swimming
okwesuuba	swing
okukyuusa	switch
okuzimba	swollen
ekitala	sword
akabonero	symbol
okusaasira	sympathy
obubonero	symptoms
njagala taata wange	I love my father
emmeeza	table
erinnya	tag
omukira	tail
twaala	take
-kuume	take care
okutwaalibwa	taken
okujjako	take off
okwoogera	talk
obuwanvu	tall
taapu	tap
teepu	tape
ssabaawa	target
ekigezo	task
okuloza	taste
okuwooma	tasty
-asomesa	taught
caayi	tea
okusomesa	teach
omusomesa	teacher
ekibinja	team
okuyuza	tear
amaziga	tears
okukookoonya	tease
tekinolojiya	technology
amanyo	teeth
okugamba	tell
mbulira	tell me
obusungu	temper
ebbugumu	temperature
yeekalu	temple
sikyalubeerera	temporary
kkumi	ten
omupangisa	tenant
okulabirira	tend
emize	tendency
okugonda	tender
obunkenke	tension
eweema	tent
tekimanyidwa	tentative
mutwaalo	ten thousand
ekisanja	term
emitendera	terms
kibi	terrible
-ntiisa	terrific
amatwaale	territory
ekigezo	test
okusinga	than
okwebaza	thank
weebale	thanks
weebale	thank you
ekyo	that
omu	the
obubbi	theft
byaabwe	their
bbo	them
omulamwa	theme
bokka	themselves
awo	then
okukkiriza	theory
awo	there
n'olw'ekyo	therefore
waliwo	there is
bino	these
bbo	they
obukwaafu	thick
omubbi	thief
ekisambi	thigh
obutono	thin
ekintu	thing
ebintu	things
okulowooza	think
eky'okusatu	third
ennyonta	thirsty
asatu	thirty
-no	this
nyo	thoroughly
-o	those
naye	though
ekirowoozo	thought
okulowoozako	thoughtful
ebirowoozo	thoughts
lukumi	thousand
wuzi	thread
entiisa	threat
okutiisatiisa	threaten
ssatu	three
okusanyuka	thrilled
okuwangula	thrive
amamiro	throat
mu	through
okukasuka	throw
laddu	thunder
n'olwekyo	thus
okusaza	tick
empewo	tide
obuyonjo	tidy
okusiba	tie
engo	tiger
okunyweeza	tight
Tigrinya	Tigrinya
omulundi	time
obutiitiizi	timid
-tono	tiny
kawuna	tip
tiipu	tips
omupiira	tire
nkooye	tired
omutwe	title
ku	to
okubeera	to be
leero	today
omwaana	toddler
obugere	toes
ffembi	together
kabuyonjo	toilet
okubuulira	told
obuguminkiriza	tolerance
okuguminkiriza	tolerate
enyaanya	tomato
enkya	tomorrow
olulimi	tongue
nyo	too
yatwaala	took
ekikozesebwa	tool
ebikozesebwa	tools
erinnyo	tooth
waggulu	top
omulamwa	topic
okuyulika	torn
okutulugunya	torture
okugatta	total
okukwaata	touch
obugumu	tough
okulambuula	tour
eri	toward
eri	towards
tawulo	towel
kibuga	town
okuziga	trace
kuziga	track
obusuubuzi	trade
ennono	tradition
-lombo	traditional
tulafiki	traffic
okutendeka	training
empisa	trait
empisa	traits
okusindika	transfer
okuyuuka	transition
okuvvunula	translate
okutangaala	transparent
entambula	transport
entambula	transportation
omutego	trap
kasassiro	trash
okukosebwa	trauma
Okutambula	travel
olugali	tray
eky'omuwendo	treasure
okujjanjaba	treat
obujjanjabi	treatment
omuti	tree
okugezako	trial
olukwe	trick
okugezaako	tried
okusiikula	trigger
okukendeeza	trim
olugendo	trip
ennaku	trouble
empale	trousers
motoka	truck
kituufu	true
essanduuko	trunk
obwesigwa	trust
amazima	truth
okugezaako	try
Tsonga	Tsonga
ku ttaka	ground
omupiira	tube
sente	tuition
ffe tuli	we are
mu tuntu	afternoon
ssekokko	turkey
ekinzaali	turmeric
okukyuuka	turn
enfudu	turtle
omusomesa	tutor
Twi	Twi
okunyoola	twist
bbiri	two
okuwandiika	type
-bi	ugly
ambuleera	umbrella
obutasobola	unable
kojja	uncle
obutategeera	unconscious
wansi	under
okunyooma	underrated
okutegeera	understand
-tegeera	understood
eky'embi	unfortunately
yunifoomu	uniform
eky'enjawulo	unique
omunwe	unit
yunivasite	university
ekitamanyikiddwa	unknown
waggulu	up
okututegeza	update
waggulu	upon
okunyiiga	upset
mukibuga	urban
okukuutira	urge
mangu	urgent
ffe	us
omugaso	use
okukozesa	used
ebikozesebwa	utility
ekiwummulo	vacation
okugema	vaccination
ebanga	vacuum
tekitegeerekeka	vague
kituufu	valid
ekiwonvu	valley
omuwendo	value
eby'enjawulo	variety
eby'enjawulo	various
-aawukana	vary
veesi	vase
-nene	vast
emmotoka	vehicle
omutunzi	vendor
obutwa	venom
omwoleso	venture
ekifo	venue
okukakasa	verify
okukyuukakyuuka	versatile
ekika	version
okwesimba	vertical
nyo	very
ekikompe	vessel
ku	via
okukwana	vibe
okukwana	vibes
-kambwe	vicious
omukube	victim
vidiyo	video
endowooza	view
ekyaalo	village
omulabe	villain
vinega	vinegar
-kadde	vintage
obukambwe	violence
obutujju	violent
okusaasaana	viral
mbeerera	virgin
lutimbe	virtual
obulongoofu	virtue
okulaba	vision
okukyaala	visit
ebifaananyi	visual
okulabikirawo	vivid
eddoboozi	voice
tekikirizibwa	void
eddoboozi	volume
okwewaayo	volunteer
okusesema	vomit
omwaavu	vulnerable
waggulu wa	above
wansi wa	below
wansi wa	beneath
okwaanika wabweeru	hang out
kasitoma waffe omulungi	Dear Customer
empeera	wage
empeera	wages
ekiwato	waist
linda	wait
omuweerezi	waiter
okulinda	waiting
ebya waka	domestic
okuzuukuka	wake
zuukuka	wake up
okutambula	walk
okutambula	walking
ekisenge	wall
waleti	wallet
omusawo w'amannyo	dentist
okukolagana wamu	compliance
okwenjeera	wander
muganda wange	sibling
okwagala	wanna
jangu wano	come here
Ndi wano	I'm here
wandiika wano	Write here
okwagala	want
okwagalwa	wanted
olutalo	war
woduloopu	wardrobe
weeyahawusi	warehouse
okubuguma	warm
okulabula	warn
okulabula	warning
omulwaanyi	warrior
-ali	was
-yoza	wash
omuzanyi wa sineema	actor
kasassiro	waste
saawa	watch
amazzi	water
wotameloni	watermelon
wansi wa	underneath
amayengo	wave
oli wa	where are you
ova wa	where are you from
obeera wa	where do you live
engeri	way
ffe	we
obunafu	weak
obunafu	weakness
obugagga	wealth
obugagga	wealthy
okwambala	wear
okuyambala	wearing
obudde	weather
omulabirizi w'ebiwandiiko	clerk
tusobola	we can
embaga	wedding
omuddo	weed
sabiiti	week
wikendi	weekend
omukulu w'eggwanga	president
obuzito	weight
obutategerekeka	weird
kaale	welcome
embeera	welfare
bulungi	Well
gyebaleko	well done
omuvuzi w'ennyonyi	pilot
-agenda	went
twaali	were
okutoba	wet
lukwaata	whale
kiki	what
eng'aano	wheat
nnamuziga	wheel
ddi	when
wa	where
oba	whether
nga	which
naye	while
akaama	whisper
kyeeru	white
ani	who
ani	whom
-aani	whose
lwaaki	why
-labe	wicked
obugazi	wide
namwandu	widow
obugazi	width
mukyaala	wife
eky'ensiko	wild
ekiraamo	will
okwagala	willing
okusinga	win
empewo	wind
eddirisa	window
omwenge	wine
okusiimuula	wipe
waaya	wire
amagezi	wisdom
singa	wish
omulogo	witch
ne	with
okujjayo	withdraw
okujjayo	withdrawal
omujulizi	witness
-gezi	witty
okubeera wo	attend
omusege	wolf
omukazi	woman
abakazi	women
okusinga	won
okweewuunya	wonder
-lungi	wonderful
okulekera	won't
enku	wood
ebyooya	wool
ekigambo	word
ebigambo	words
okukola	work
okukola	working
ensi	world
olusiringanyi	worm
okwambala	worn
okweraliikirira	worried
okweraliikirira	worry
okusinza	worship
omuwendo	worth
-saanira	worth it
okusaanira	worthy
-andi	would
ekiwundu	wound
Wow	Wow
okuzinga	wrap
okukyaayi	wrath
oluyingo	wrist
wandiika	write
okuwandiika	writing
kiwandikiddwa	written
-kyaamu	wrong
-wandiika	wrote
Minsani yaffe: okukungaanya yinfomesoni n'ebyokumanya byonna tusobole okubisaasaanya eri buli omu.	Our mission: to organize the world's information and make it universally accessible and useful.
Minsani yaffe: okusobozesa buli omu, ali buli wamu okutegeera okutegeera ensi n'okweyogerako mu buli nnimi.	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
kooti y'amateeka	court
hovercraft yange ejjudde ensonzi	My hovercraft is full of eels
yaadi	yard
okwayuuya	yawn
Yee	Yeah
omwaka	year
emyaka	years
ekizimbukulusa	yeast
endowoza yekilagala yebase	colorless green ideas slept furiously
okuwoggana	yell
kyenvu	yellow
enyama y'embizzi	pork
kabada y'engoye	closet
omuntu yenna	anyone
Yee	Yes
jjo	yesterday
naye	yet
okukungula	yield
okyali yo?	Are you still there?
embeera y'obudde	climate
entegeragana yobuntu	mutual
embera yobuntu	social
gaali y'omukka	train
eneri yona	anyways
engeri yonna	anyway
ensi yonna	global
ggwe	you
oli	you are
osobola	you can
Omanyi	You know
obuto	young
-yo	your
kaale	you're welcome
kaale	you’re welcome
ggwe	yourself
obuvubuka	youth
naawe	you too
okuwooma	yummy
ennyukuta z'amannya	initial
zeelo	zero
ennaku zino	currently
ennaku zino	lately
ennaku zino	nowadays
