kĩ	a
gũkoragwo na mwĩhoko	optimistic
mweke	option
gũtiagĩrĩire	optional
kana	or
njungwa	orange
mũbango	order
undu andu moĩ	ordinary
ithondeka	organization
mĩerekera	orientation
kĩhumo	origin
kĩa ma	original
Oromo	Oromo
mwana wa ngoriai	orphan
ingĩ	other
kana ũndũ ũngĩ	otherwise
no mũhaka	ought
witũ	our
Muoroto witũ: kũhotithia mũndũ o wothe, o kũrĩa guothe egũkorũo, ataũkĩrũo nĩ thĩ na arie thiomi itiganĩte.	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
Muoroto witũ: kũbanga ũhoro ũrĩa ũrĩ thĩinĩ wa thĩ na kũwĩtĩkĩria ũhũthĩke na ũkinyĩre andũ othe.	Our mission: to organize the world's information and make it universally accessible and useful.
nja	out
moimĩrĩra	outcome
nguo	outfit
indo iria ithiaga	outgoing
njira ya kuumira	outlet
taarĩria	outline
nja	outside
kĩa mwanya	outstanding
riko	oven
gũthira	over
iguru ria	over
Kũu	over there
gĩothe	overall
gũtooria	overcome
gwĩciria mũno	overthinking
kũhinyĩrĩrĩka	overwhelmed
kũneneha	overwhelming
gũkorwo na thiirĩ	owe
ndundu	owl
mũndũ mwene	own
mwene	owner
ngʼombe	ox
kũhiũha	pace
kũbanga	pack
mũrigo	package
kũrĩha	paid
ruo	pain
rangi	paint
kũhaka rangi	painting
igĩrĩ igĩrĩ	pair
gĩtarĩ kĩnyitu rangi	pale
mũthabibũ	palm
rũgĩyo	pan
mũrimũ	pandemic
kũigua guoya	panic
mũbũto	pants
karatathi	paper
ikenero	paradise
kũringana	parallel
mũrigo	parcel
kuohera	pardon
aciari	parents
mũgũnda	park
nyoni	parrot
mũkũyũ	parsley
gĩcunjĩ	part
kũnyitanĩra	participate
mwanya	particular
mũno	particularly
mũrata	partner
gĩathĩ	party
kũhĩtũka	pass
rũgano	passage
njĩra	passage
kũhĩtũka	passed
merirĩria	passion
kũgĩa na merirĩria	passionate
gwĩtĩkĩra	passive
namba ya thiri	password
tene	past
kĩraka	patch
gacĩra	path
kĩeha	pathetic
wetereri	patience
mũrwaru	patient
kĩonereria	pattern
kũrũgama	pause
baranda	pavement
kũrĩha	pay
marĩhi	payment
thayũ	peace
na thayũ	peaceful
mũkũyũ	peach
gacũmbĩrĩ	peak
mũgũmo	pear
minji	peas
kĩndũ kĩa mwanya	peculiar
gũthuguma	pee
kũũnũra	peel
mũrata	peer
andũ a riika rĩake	peers
karamu	pen
karamu	pencil
kuigwo kando	pending
andũ	people
biribiri	pepper
kũona	perceive
ũrĩa mũndũ onaga maũndũ	perception
gĩkinyanĩru	perfect
gwĩka	perform
uruti wa wĩra	performance
hihi	perhaps
ihinda	period
gũtũũra	permanent
rũtha	permission
rũtha	permit
ũkirĩrĩria	perseverance
gũkirĩrĩria	persistent
mũndũ	person
mũndũ kĩũmbe	personal
mutugo	personality
muonere	perspective
kũiguithia	persuade
mũndũ mũrũngĩrĩru	pervert
nyamũ cia mũciĩ	pet
itĩna	phase
ũndũ ũcio	phenomenon
ũũgĩ	philosophy
thimũ	phone
mbica	photo
kiugo	phrase
mwĩrĩ	physical
gũthuura	pick
amũkĩra	pick up
mbica	picture
kienyũ	piece
tũcunjĩ	pieces
nguruwe	pig
ndutura	pigeon
kũiganĩrĩra	pile
muto	pillow
mũtwarithia wa ndege	pilot
mbini	pin
inanathi	pineapple
rangi wa pinki	pink
irima	pit
kiharo	pitch
kĩara	pitch
tha	pity
handũ	place
kũndũ	places
ihũra	plague
mwaraganu	plain
mũbango	plan
ndege	plane
mũmera	plant
mĩmera	plants
thaani	plate
kĩhaaro	platform
gũthaka	play
gũthaka	playing
gũkenia	pleasant
ndagũthaitha	please
nĩakenete	pleased
mwago	pleasure
kwĩrĩra	pledge
nyingĩ mũno	plenty
mũgũnda	plot
gathĩka	plug
mbegũ	plum
bũndi wa miberethi	plumber
wũingĩ	plural
tabarĩra	podcast
irebeta	poem
ũgani wa marebeta	poetry
handũ	point
thumu	poison
thigari	police
watho	policy
muhoreri	polite
ũthũkangio	pollution
gĩthima	pond
gĩthima kĩa maaĩ	pool
mai	poop
mũthĩĩni	poor
mũgambo	pop
gũkorwo wi na gatũ	popular
ũingĩ wa andũ	population
nyama cia nguruwe	pork
ũcũrũ	porridge
gĩcukĩro kia meri	port
namba	position
kwagirira	positive
kũgĩa na	possess
gũkorũo na indo	possession
kũgĩa na indo	possessive
kũhoteka	possible
uhoro mwandike	post
gũtĩria	postpone
waru	potato
ũhoti	potential
mũcaara	pound
thĩina	poverty
hinya	power
wi na hinya	powerful
maũndũ ma gwika	practical
kũruta	practice
kũgooca	praise
mũhĩnga	prank
kũhoya	pray
ma goro	precious
njĩra ngũhĩ	precise
na njĩra ngũhi	precisely
kũratha	predict
nĩ kaba	prefer
kwenderera	preference
kũgĩa ihu	pregnant
mũthutũkanio	prejudice
wũikaro	premises
mũhothi	premium
kũhaarĩria	preparation
kũhaarĩria	prepare
ĩhaarĩirio	prepared
kiugo kĩrĩa gĩukaga mbere ya ciugo ingĩ	preposition
gũkorũo kuo	presence
gũkorwo kuo	present
mutaratara wa rĩarĩria	presentation
kũgitĩra	preserve
mũtongoria wa bururi	president
kũhihinya	press
gĩthũri	pressure
gwĩtua	pretend
nĩ mũthaka	pretty
gwĩthema	prevent
mbere ĩyo	previous
nyamũ nyite	prey
thogora	price
mwĩtĩo	pride
mũthĩnjĩri Ngai	priest
gĩkĩro kĩa mũthingi	primary
mũnene	prime
muirĩtu wa mũthamaki	princess
mũnene	principal
mbere	prior
mweke wa mbere	priority
njera	prison
ũgitĩri	privacy
kiumbe	private
gĩtĩo	privilege
kĩheo	prize
no kũhoteke	probably
thĩna	problem
mutaratara	procedure
thiĩ na mbere	proceed
mutaratara	process
irio	produce
indo	product
ũthondeki	production
wĩra	profession
wĩra-inĩ	professional
ũhoro wa mũndũ	profile
baita	profit
ũndũ mũnene	profound
ũthiĩ wa na mbere	progress
mũbango wa wira	project
mũndũ ũrĩ na igweta	prominent
kĩĩranĩro	promise
gũtwarithia na mbere	promote
gũkũria	promotion
gũcũngiriria	prompt
ũhotekeku	prone
ciugo iria irũgamagĩrĩra ciugo ingĩ	pronouns
gũtamũka	pronunciation
ũira	proof
ũrĩa wagĩrĩire	proper
wega	properly
indo	properties
kĩndũ	property
rĩandekithia	proposal
mwerekera	prospect
ũgaciru	prosperity
na marĩ na ũtonga	prosperous
kũgitĩra	protect
ni ari mwitiyo	proud
kuonania	prove
kũhe	provide
gũtũhe	provided
gĩcigo	province
kũheana	provision
ũkũrũ	puberty
mũingĩ	public
kũgucia	pull
irenge	pumpkin
kũhinga mahinda	punctual
mũrutwo	pupil
kũgũra	purchase
gĩtheru	pure
rangi wa papũ	purple
muoroto	purpose
kabeti	purse
gũthingata	pursue
gũthingata	pursuit
gũthingata	push
kũiga	put
gĩkĩro gĩa kwagĩrĩra	qualification
gikiro	quality
mũigana	quantity
kũhingirwo mwanya	quarantine
ngarari	quarrel
gĩcunjĩ kĩa inya	quarter
Quechua	Quechua
mũtumia wa mũthamaki	queen
kĩũria	query
kĩũria	question
mũraini	queue
na ihenya	quick
na ihenya	quickly
gukira	quiet
murĩngĩti	quilt
tiga	quit
mũno	quite
kĩũria	quiz
kũgweta	quotation
kũgweta	quote
uuge mugwete	quotes
thungura	rabbit
rũrĩrĩ	race
marakara	rage
mbura	rain
kwambatira	raise
kũrerwo	raised
gũteng'era	ran
hatarĩ na mũtaratara	random
ũtiganu	range
na ihenya	rapid
na ihenya	rapidly
kĩriga	rare
maita manini	rarely
kaimbo	rash
mbĩya	rat
gikiro	rate
handũ ha ũguo	rather
ũigana hari kuringithania	ratio
kĩhoto	rational
gĩthi	raw
gũkinya	reach
gũkinya	reached
gũcokia ciũria	reaction
gũthoma	read
gũthoma	reading
nĩhaarĩirie	ready
ma	real
maũndũ ma ma	reality
kũmenya	realize
gũkuokirwo	realized
Ma nĩ atĩ	really
thutha	rear
gĩtũmi	reason
ũigananĩru	reasonable
kũririkana	recall
kwamũkĩra	receipt
kwamũkĩra	receive
kwamukira	received
ica ikuhĩ	recent
ica ikuhĩ	recently
kwamũkĩra	reception
mũtaratara wa kũruga	recipe
ũtarĩ na kĩharĩro	reckless
kũmenyeka	recognition
gũtambũra	recognize
kũruta mendikithia	recommend
kwandĩkithio	recommended
rekondi	record
kũhona	recover
gũcokia	recovery
ta gathandũkũ	rectangle
mũtune	red
kũgũra	redeem
ũhonokio	redemption
kũnyiihia	reduce
gũcokera	redundant
kũgweta	refer
ũhoro	reference
kũonania	reflect
kũonania	reflection
kũgiria	refrain
kĩndũ gĩa gwĩkĩra heho	refrigerator
gũcokia mbeca	refund
kũrega	refuse
nĩ aregete	refused
uhoro wiigie	regard
ũhoro-inĩ wĩgiĩ	regarding
gũtekũmakania	regardless
ngatho	regards
gĩcigo	region
kwandikithia	register
kwĩrira	regret
kaingĩ	regular
maita maingĩ	regularly
kũrega	reject
gũtarania	relate
maũndũ megiĩ	related
ũkuruhanu	relationship
mũndũ wa mucii	relative
andũ a bamĩrĩ	relatives
hurũka	relax
kũrekererio	release
kũrekererio	released
ũhoro wa ma	relevant
kwĩhokeka	reliable
kũhonokio	relief
uteithio	relief
kũhonokia	relieve
kũrekererio	relieved
ndini	religion
ndini	religious
kũrega	reluctant
kwĩhoka	rely
gũikara	remain
gĩcunjĩ kĩrĩa gĩtigarĩte	remaining
ũndũ wa mwanya	remarkable
kĩhonia	remedy
ririkana	remember
kũririkania	remind
kũririkania	reminder
kũraihu	remote
kweheria	remove
gũcokia	render
marĩhi ma nyumba	rent
gũthondeka	repair
gũcokera	repeat
ithenya rĩa	replace
macokio	reply
riboti	report
kũrũgamĩrĩra	represent
rĩĩtwa	reputation
kũhoya	request
kũbatarania	require
kũbatarania	required
kũhonokia	rescue
ũthuthuria	research
kũhaana	resemble
kũrakara	resentment
kũiga kando	reservation
kuiga	reserve
mũtũũrĩ	resident
gũtiga wĩra	resign
ũmĩrĩru	resilience
kũrũma	resilient
kũregana	resist
kũregana	resistance
itua	resolution
gũtua itua	resolve
mũkawa	resort
indo	resources
gitiyo	respect
macokio	respond
macokio	response
itemi	responsibility
ũrĩa ũraruta wĩra	responsible
kũhurũka	rest
hũrũka thayũ	rest in peace
mũkawa	restaurant
gũcokia	restore
kũgiria	restrict
maumirira	result
moimĩrĩra	results
gucokerera	resume
indo cia kwendia	retail
gũikara	retain
kũiga	retention
ũtigĩte wĩra	retired
gũcokerera	retreat
gũcokia	retrieve
gũcoka	return
kũguũria	reveal
kũguũrĩrio	revealed
kwĩrĩhĩria	revenge
mbeca cia igoti	revenue
kũgarũrũka	reverse
kũrora	review
gũcokera	revise
ũthuthuria	revision
ũgarũrũku	revolution
kĩheo	reward
rũgambi	rhythm
mbaru	rib
mucere	rice
gĩtonga	rich
kũniina	rid
gũtwarana	ride
gĩthekania	ridiculous
ũguo nĩguo kwagiriire	right
o rĩu	right now
kĩrũmu	rigid
gĩcũhĩ	ring
gũkamura	rinse
ngũĩ	riot
kũguraria	rip
kwĩruha	ripe
kwambata	rise
ũgwati	risk
thũ	rival
rũũĩ	river
barabara	road
gũcina	roast
kiri na hinya	robust
ihiga	rock
cuma	rod
itemi	role
kũgaragara	roll
mambarita	roof
nyũmba	room
mũri	root
mũkwa	rope
gũbutha	rotten
kuumu	rough
hakuhĩ	roughly
gĩthioruri	round
barabara	route
mũtugo	routine
muhari	row
gũthugua	rub
raba	rubber
kĩara	rubbish
kung'athia	rude
gĩtambara	rug
gũthũkia	ruin
gũtongoria	rule
mwathani	ruler
mawatho	rules
guteng'era	run
gũteng'era	running
gĩcagi	rural
kũhiũha	rush
ikũnia	sack
gũbuta wĩra	sack
gĩtheru	sacred
igongona	sacrifice
na ũgitĩri	safe
rũgendo rũrĩ na ũgitĩri	safe flight
ũgitĩri	safety
ũũgĩ	sage
akiuga	said
kĩara	sail
gũtwarithia marikabu	sailing
nĩ undu wa	sake
mũcara	salary
kwendia	sale
thamaki	salmon
cumbĩ	salt
o ro ũguo	same
O na niĩ noguo	Same here
kĩonereria	sample
mũthanga	sand
Sanskrit	Sanskrit
kũhũthia	sarcastic
gĩcamba	sassy
gũikara	sat
ũiganiru	satisfaction
kũiganĩra	satisfied
kũiganĩra	satisfy
wũiganĩra	satisfying
Mũthenya wa jumamothi	Saturday
ũũru mũingĩ	savage
kũhonokia	save
kĩara	saw
kuona	saw
kuuga	say
ratiri	scale
ngungo	scam
kĩrema	scar
ũnyihu	scarce
gwitigira	scared
kĩremba	scarf
nĩ wa kũmakania	scary
kũhurunjũka	scattered
handu	scene
handũ	scenery
mũtararĩko	scent
mũtaratara	schedule
cukuru	school
sayansi	science
mũrutani wa maũndũ ma sayansi	scientist
athomi aa maundu ma sayansi	scientists
magathĩ	scissors
kũnegenia	scold
kĩhumo	scope
kũingiria	score
gĩko gĩa cuma	scrap
gũkũrũta	scratch
gũkaya	scream
gĩcicio	screen
gĩcuhi	screw
rũgano rwandike	script
iria	sea
muhũri	seal
gũcaria	search
ihinda rĩa mwaka	season
gĩtĩ	seat
gĩa kerĩ	second
hitho	secret
gĩcigo	section
na ũgitĩri	secure
ũgitĩri	security
kuona	see
nĩ tũkũonana	see you
nĩtũcemanie thaa ingĩ.	see you later
Nĩtũcemanie ica ikuhi	see you soon
tũkonana rũciũ	see you tomorrow
mbegũ	seed
gũcaria	seek
nĩ ta	seem
nĩ ta	seems
kuona	seen
kũoya	seize
kũoya	seizure
ti kaingĩ	seldom
thuura	select
we mwene	self
kwĩhonia	self healing
kwĩyenda	selfish
kwendia	sell
gũtũma	send
ndũmĩra mbica yaku	send me your picture
mũnene	senior
wĩcirio	sense
na njĩra njega	sensible
kũigua ũũru	sensitive
gũtũma	sent
mũhari	sentence
mĩhari	sentences
gũtigana	separate
Sepedi	Sepedi
mweri wa kenda	september
marũmagĩrĩra.	sequence
ĩcunjĩ irũmanĩrĩire	series
kĩritũ	serious
na ma	seriously
gũtungata	serve
ũtungata	service
ihinda	session
kũiga	set
kũhaarĩria	set up
kũiga	setting
gũikarania	settle
mũgwanja	seven
ikũmi na mũgwanja	seventeen
mĩrongo mũgwanja	seventy
nyingi	several
mũritũ	severe
gũtuma	sew
ki	sh
kĩĩruru	shade
kĩĩruru	shadow
kũinainia	shake
no mũhaka	shall
itarĩ na ũrikũru	shallow
thoni	shame
mũhianĩre	shape
gaya	share
gĩcunji	share
kĩũgĩ	sharp
we	she
nĩ arĩ	she has
nĩ we	she is
kiugũ	shed
ngʼondu	sheep
karatathi	sheet
gathandũkũ	shelf
ngothi nyũmũ	shell
ha gũikara	shelter
ngoo	shield
gũcenjia mwerekera	shift
cangarara	shine
meeri	ship
gũkuwa mĩrigo	shipping
cati	shirt
iraatũ	shoes
kũhũũra	shoot
nduka	shop
kũgũra	shopping
hũgũrũrũ-inĩ	shore
gikuhi	short
kwaga	shortage
kũhũũrũo	shot
no mũhaka	should
kiande	shoulder
kũgũthũka	shout
onania	show
nyonia	show me
gwĩthamba	shower
ndinoho cia maaĩ-inĩ	shrimp
kũnyiha	shrink
kũhingwo	shut
kira	shut up
kũigua thoni	shy
mũndũ wa nyina na mũndũ	sibling
ciana cia nyina ũmwe	siblings
kũrũara	sick
mwena	side
kũhooya	sigh
kuona	sight
gũceera kũndũ	sightseeing
kĩmenyithia	sign
thaĩri	signature
cia bata	significant
gũkira	silence
gũkira	silent
hariri	silk
ũkĩgu	silly
betha	silver
o ta ũguo	similar
muhũthũ kĩwendo	simp
kĩhũthũ	simple
hĩndĩ ĩmwe	simultaneously
kuuma hĩndĩ ĩyo	since
na ma	sincere
ndĩ na ma	sincerely
kũina	sing
mũini	singer
mũndũ ũmwe	single
kũrikĩra	sink
gĩthima	sink
Mũthuri	Sir
mwarĩ wa nyina	sister
mwarĩ wa nyina	sister in law
gũikara thĩ	sit
gĩikaro	site
maũndũ	situation
ithathatũ	six
ikũmi na ithathatũ	sixteen
mĩrongo ĩtandatũ	sixty
ũigana	size
ũhoti	skill
ũhoti	skills
ngothi	skin
mũhinju	skinny
kũrũga	skip
nguo ya thikati	skirt
matu	sky
ngombo	slave
gũkoma	sleep
gũkoma	sleeping
ndi na toro	sleepy
guoko kwa nguo	sleeve
tinangia	slice
gĩcunjĩ	slice
teretha	slide
hanini	slightly
mũhinju	slim
gũteretha	slip
mũharuruko	slope
mweke	slot
kahora	slow
o kahora	slowly
nini	small
githaka	smart
mũnungo	smell
gũkenga	smile
ndogo	smoke
kihoro	smooth
kĩndũ gĩa kũnyuanĩria	snack
ndinoho	snail
nyoka	snake
kuuna	snap
mbarabu	snow
nĩ ũndũ ũcio	so
githaka mũno	so cute
nginya rĩu	so far
kũrinda	soak
thabuni	soap
atarĩ na njohi	sober
mũbira wa magũrũ	soccer
maũndũ-inĩ ma mĩikarĩre	social
mũtũũrĩre wa andu	society
thogithi	socks
kĩororo	soft
programu	software
tĩri	soil
kwendia	sold
nĩ ithĩrĩte	sold out
mũthigari	soldier
ikinya	sole
nyũmũ	solid
anja	solution
kũniina	solve
amwe	some
imwe	some
mũndũ	somebody
na njĩra ĩmwe kana ĩngĩ	somehow
mũndũ mũna	someone
kĩndũ	something
rĩmwe na rĩmwe	sometimes
rwĩmbo	song
ica ikuhĩ	soon
kĩũru	sophisticated
Sorani	Sorani
ruo	sore
ruo rwa mũmero	sore throat
kĩeha	sorrow
Nĩ ndacũnga mũhera	Sorry
gũcaria	sort
gũcaria	sought
ngoro	soul
mũrata wakwa wa ngoro	soulmate
mũgambo	sound
thũbũ	soup
kĩrurũ	sour
kĩhumo	source
mwena wa gũthini	south
rĩera	space
bathi	space
ndũmĩrĩri njũru	spam
ihinda rĩayo	span
Kĩhisipania	Spanish
gĩcunjĩ gĩa kũgarũrĩra	spare
kwaria	speak
mwanya	special
mĩthemba	species
mwanya	specific
nĩ kĩene mũno	spectacular
mĩario	speech
ndarĩ ũndũ angĩkiuga	speechless
ihenya	speed
ũrogi	spell
kũhũthĩra	spend
ĩhũthĩrĩtwo	spent
kĩrũrũ	spicy
kwambatira	spike
gũthiũrũkia	spin
nyeni	spinach
roho	spirit
gũtua	spit
nĩ mwega mũno	splendid
kũgayania	split
gũthũka	spoil
gũthũkio	spoiled
kwĩrehe	spontaneous
gĩciko	spoon
handũ	spot
mũthuri kana mũtumia	spouse
gũtherema	spread
gathima	spring
kĩhaaro	square
kũhihinya	squeeze
muthemba wa thamaki	squid
ngaara	squirrel
njira	st
gũtheca	stab
kĩrumu	stable
kũbanga	stack
aruti aa wĩra	staff
ngathĩ	stage
gĩcamba	stain
ngathĩ	stairs
nyama	stake
honge	stalk
thitoo	stall
mũhũri	stamp
kũrũgama	stand
ithimi	standard
njata	star
kwambĩrĩria	start
kwambĩrĩria	started
ng'aragu	starving
uria kuri	state
bũrũri	state
kiugo	statement
gĩcagi	station
mũcongo	statue
uhoti	status
ikara	stay
ikaraga wĩhũgĩte	stay safe
ĩrũmanĩrĩire	steady
nyama ĩtari ĩhĩndĩ	steak
kũiya	steal
rũhuho	steam
cuma	steel
kĩharũrũka	steep
mũtĩ	stem
ikinya	step
kamuti	stick
kũrũma	stiff
o na rĩu	still
kũratha	sting
ũrĩ na wairu	stingy
gũkoroga	stir
indo cia kwendia	stock
kũiywo	stolen
nda	stomach
ihiga	stone
kũrũgama	stood
gĩtĩ	stool
tiga	stop
kũigwo	storage
nduka	store
kĩhuhũkanio	storm
rũgano	story
riko	stove
irungiririo	straight
ĩmwe kwa ĩmwe	straightforward
kũgiyika	strain
ũndũ wa kiriga	strange
mũgeni	stranger
rĩthugunda	strategy
nyeki	straw
ndare	strawberry
rũrigi	streak
rũĩ	stream
ituura	street
hinya	strength
mĩtangiko	stress
gũtambũrũkia	stretch
kũrũma	strict
kũgoma	strike
rũrigi	string
rũrigi	strip
kwĩrutanĩria	strive
kũgũrũ	stroke
hinya	strong
kũhũũrũo	struck
mwako	structure
kũgiginyana	struggle
kuhiũrania	struggling
mung'athia	stubborn
gukwama	stuck
mũrutwo	student
guthoma	study
gũthoma	studying
indo	stuff
kũgegania	stunning
kĩrimũ	stupid
mwĩhumbĩre	style
ithomo	subject
kwĩheyana	submission
kũneyana	submit
kĩndũ	substance
ithenya	substitute
ũndũ mũritu	subtle
kũgaacĩra	succeed
kũgaacĩra	success
kũgaacĩra	successful
ta ũguo	such
ta ũguo	such as
kũonga	suck
o rĩmwe	sudden
o rĩmwe	suddenly
kũnyamarĩka	suffer
mĩnyamaro	suffering
kũigana	sufficient
cukari	sugar
gũtaarĩria	suggest
rĩandĩkithia	suggestion
thuti	suit
kiagiriire	suitable
ithandũkũ	suitcase
ithabu	sum
na njĩra nguhĩ	summary
hĩndĩ ya riũa	summer
mũcemanio	summit
riũa	sun
mũthenya wa kiumia	sunday
riũa	sunny
riũa rĩathũa	sunset
riũa	sunshine
njega mũno	super
mũnene	superior
mũrori	supervisor
irio cia hwaĩ-inĩ	supper
gũtwara	supply
ũteithio	support
ta wĩcirie	suppose
ũrĩa wagĩrĩirũo	supposed
nĩ ma	sure
handu	surface
kũingĩha	surge
gũthinjwo	surgery
rĩĩtwa rwa muhĩriga	surname
kũgegia	surprise
nĩ ndaamakire	surprised
kwĩrekereria	surrender
gũikarania	surrounding
kũrorwo	surveillance
ũthuthuria	survey
gũtũũra muoyo	survive
gwĩkuĩra	suspect
mwĩkuĩrwo	suspect
kũrũgamio	suspended
kũgĩa na nganja	suspicious
gũtũũria	sustain
ũthii wa na mbere	sustainability
ũkinyanĩru	sustainable
ũthaka wa mwihumbĩre	swag
kũmeria	swallow
kũgarũra	swap
kwĩhĩta	swear
thigino	sweat
nguo ya kwĩhumba	sweater
kũhata	sweep
cama	sweet
iroto njega	sweet dreams
igego ri na cama	sweet tooth
mwendwa wakwa	sweetheart
kũimba	swell
kũimba	swelling
gũthambĩra	swim
gũthambĩra	swimming
gũcuha	swing
mũcuha	swing
kũgarũra	switch
kũimba	swollen
rũhiũ rwa njora	sword
rũũri	symbol
kũiguĩra andũ tha	sympathy
ndariri	symptoms
mũtabarĩre	system
metha	table
kũhũũra	tackle
gĩcũhĩ	tag
mũting'oe	tail
kuoya	take
gũthii na cio	take away
kwimenyerera	take care
kũũmbuka	take off
kũoywo	taken
kwaria	talk
mwaria	talkative
mũraihu	tall
kũgũtha	tap
mũberethi	tap
mũkwa	tape
muoroto	target
wĩra	task
mũcamo	taste
kĩna cama	tasty
kũruta	taught
cai	tea
gũthomithia	teach
mwarimũ	teacher
timũ	team
gũtĩnika	tear
rĩithori	tear
maithori	tears
gũthakia	tease
tekinoronjĩ	technology
magego	teeth
mwĩre	tell
ta njĩĩra	tell me
marakara	temper
rĩera	temperature
hekarũ	temple
cia kahinda	temporary
ikũmi	ten
ngiri ikũmi	ten thousand
mũkombori	tenant
kũrora	tend
mĩerekera	tendency
hũthũ	tender
tha	tender
guoya	tense
marakara	tension
hema	tent
gĩkĩrĩre nganja	tentative
tamu	term
mawatho	terms
ũrũ mũno	terrible
nĩ wega mũno	terrific
gĩcigo	territory
kĩgerio	test
ũhoro mwandike	text
gũkĩra	than
nĩ ngatho	thank
nĩ ngatho	thank you
Nĩ ngatho nĩ ũndũ wa wetereri waku o tũgĩthuthuria ũhoro wigii murigo ucio	Thank you for your patience while we investigate shipment
nĩ ngatho mũno	thank you so much
nĩ ngatho mũno	thank you very much
nĩ ngatho	thanks
Nĩ ngatho nĩ kũhũthĩra app itũ	Thanks for using our app
atĩ	that
ũguo nĩ kuuga	that is
ũguo nĩ wega	that's good
ũrĩa	the
ũici	theft
ciao	their
acio	them
kĩongo	theme
o ene	themselves
hĩndĩ ĩyo	then
ũrutani	theory
hau	there
nĩ kũrĩ	there are
nĩ kũrĩ	there is
nĩ ũndũ ũcio	therefore
ici	these
o	they
nĩcio	they are
kĩrũmu	thick
mũici	thief
kĩero	thigh
kĩhinju	thin
kĩndũ	thing
indo	things
wĩcirie	think
gatatũ	third
mũnyootu	thirsty
ikũmi na ithatũ	thirteen
mĩrongo ĩtatũ	thirty
ino	this
ũyũ	this
ũyũ nĩ	this is
giothe	thorough
na kĩyo	thoroughly
icio	those
o na gutuika	though
riciria	thought
gwĩciria	thoughtful
meciria	thoughts
ngiri ĩmwe	thousand
rũrigi	thread
kwĩhĩtĩra	threat
kũhinyĩrĩria	threaten
ithatũ	three
mũigana	threshold
nĩ ndakena mũno	thrilled
kũgaacĩra	thrive
mũmero	throat
kũgerera	through
kũndũ guothe	throughout
gũikia	throw
kĩara	thumb
kĩrurumĩ	thunder
Mũthenya wa kana	Thursday
nikio	thus
ngũha	tick
kĩhuhukanio	tide
gĩtheru	tidy
kuoha	tie
kanyũtũ	tiger
na hinya	tight
Tigrinya	Tigrinya
mathaa	time
kĩguoya	timid
kahengereca	tiny
kĩongo	tip
mĩthiya	tips
kũnoga	tire
kunoga	tired
nyama cia mwĩrĩ	tissue
rĩĩtwa	title
kũgerera	to
gũkorwo	to be
mũgate	toast
ũmũthĩ	today
kaana kanini	toddler
ndwara cia magũrũ	toes
hamwe	together
kĩoro	toilet
akĩnjĩra	told
gũkirĩrĩria	tolerance
gũkirĩrĩria	tolerate
nyanya	tomato
rũciũ	tomorrow
rũrĩmĩ	tongue
hwaĩ-inĩ ũyũ	tonight
o na niĩ	too
akĩoya	took
indo cia wĩra	tool
indo cia wĩra	tools
igego	tooth
igũrũ	top
kĩongo	topic
gũtarurwo	torn
kũhinyĩrĩria	torture
mũigana wothe	total
kũhutia	touch
kĩrũmu	tough
gũceera	tour
kũgerera	toward
kuroreria	towards
tauro	towel
taũni	town
thumu	toxic
gwetha	trace
gabara	track
thuguri	trade
ũndũire	tradition
cia ndũire	traditional
muthongomano wa ngari	traffic
gũbuata	trail
guthomithia	train
mũgithi	train
ũrutani	training
ngumo	trait
ngumo	traits
gũthamĩra	transfer
ihinda ria ituika	transition
gũtaũra	translate
waragania	transparent
ũkuui	transport
ũkuui	transportation
mũtego	trap
gĩko	trash
kĩmakania	trauma
thii rũgendo	travel
turee	tray
mũthithũ	treasure
kũrigita	treat
ũrigitani	treatment
mũtĩ	tree
nĩ mũnene mũno	tremendous
ũrĩa maũndũ marathiĩ	trend
kigerio	trial
wara	trick
kũgeria	tried
gũtũma undu uhanike	trigger
gũceha	trim
rũgendo	trip
mathĩna	trouble
mĩbuto	trousers
ngaari	truck
ni ma	TRUE
mbuti	trunk
kwĩhoka	trust
ũhoro wa ma	truth
geria	try
Tsonga	Tsonga
baibũ	tube
Mũthenya wa keri	Tuesday
cukuru	tuition
mbata mũcinga	turkey
garuruka	turn
nguru ya maaĩ-inĩ	turtle
mũrutani	tutor
ikũmi na igĩrĩ	twelve
mĩrongo ĩĩrĩ	twenty
mĩrongo ĩĩrĩ na ũmwe	twenty-one
Twi	Twi
maita merĩ	twice
kũgarũrũka	twist
igĩrĩ	two
mũthemba	type
ũndu wa kawaida	typical
gicong'i	ugly
mũico	ultimate
iburi	umbrella
ndingĩhota	unable
mama	uncle
atekwimenya	unconscious
rungu	under
rungu	underneath
kũhũthia	underrated
gutaukirwo	understand
gũtaũkĩrwo	understood
ũndũ wa kĩeha nĩ atĩ	unfortunately
nguo ihuanaine	uniform
ya mwanya	unique
gĩthimi	unit
cekeri	unit
yunivasĩtĩ	university
ũtoĩkaine	unknown
tiga no	unless
nginya	until
ũrĩ kĩriga	unusual
igũrũ	up
nĩ ũhoro waku	up to you
kũgacirithia	update
kwambatia ikĩro	upgrade
igũrũ	upon
kũrakara	upset
taũni	urban
kwĩra andu	urge
nĩ wa mĩtũkĩ	urgent
ithuĩ	us
kũhũthĩra	use
kũhũthĩrũo	used
nĩ ũrĩ ũguni	useful
itarĩ kĩene	useless
o ta ũrĩa kwagĩrĩire	usual
kaingĩ	usually
