nnye	a little
potso	query
potso	question
mola	queue
ka pele	quick
itlhaganele	quick
ka pele	quickly
didimetse	quiet
khwilete	quilt
tlogela	quit
ruri	quite
khwizi	quiz
lenanetlhwatlhwa	quotation
nopolo	quotation
nopolo	quote
mananetlhwatlhwa	quotes
dinopolo	quotes
mmutla	rabbit
lotso	race
lebelo	race
kgalefo	rage
pula	rain
godisa	raise
tsholeditse	raised
godisitse	raised
tabogile	ran
kgethafela	random
tlhatlhamano	range
bofefo	rapid
ka bonako	rapidly
sa tlwaelega	rare
sewelo	rarely
boswata	rash
peba	rat
seelo	rate
bogolo	rather
kabo	ratio
rašenala	rational
tala	raw
ka ga	re
filthelela	reach
fitlhile	reached
tsibogo	reaction
buisa	read
puiso	reading
a buisa	reading
siame	ready
ya tota	real
boteng	reality
lemoga	realize
lemogile	realized
tota	really
morago	rear
lebaka	reason
isega	reasonable
gopola	recall
kamogelo	receipt
rasiti	receipt
amogela	receive
amogetse	received
bošeng	recent
gautshwane	recently
kamogelo	reception
resipi	recipe
se nne kelotlhoko	reckless
temogo	recognition
lemoga	recognize
gakolola	recommend
atlenegisitswe	recommended
atlenegisitse	recommended
gatisa	record
busa	recover
nonofa	recovery
khutlonnetsepa	rectangle
khibidu	red
rekolola	redeem
thekololo	redemption
fokotsa	reduce
fetileng palo	redundant
bua ka	refer
romela	refer
tshupetso	reference
supatshwano	reflect
kakanyo	reflection
tshupotshwano	reflection
ikgogela morago	refrain
foritšhi	refrigerator
pusetsomorago ya madi	refund
gana	refuse
ganetse	refused
tsaya	regard
mabapi le	regarding
ntle le	regardless
ka ga	regards
ditumediso	regards
kgaolo	region
rejesetara	register
ikotlhaya	regret
ya gale	regular
ka gale	regularly
galala	reject
amana	relate
amana	related
kamano	relationship
lesika	relative
leamanyi	relative
masika	relatives
iketle	relax
golola	release
golotse	released
maleba	relevant
ikanyega	reliable
thuso	relief
imolola	relieve
golola	relieve
imolotse	relieved
wetse makgwafo	relieved
tumelo	religion
bodumedi	religious
itsemeletsa	reluctant
ikanya	rely
sala	remain
setseng	remaining
tlhomogileng	remarkable
pheko	remedy
gopola	remember
gakolola	remind
kgakololo	reminder
kgakala	remote
tlosa	remove
gagola	render
ranola	render
gagoga	rent
hira	rent
baakanya	repair
boeletsa	repeat
emisetsa	replace
araba	reply
karabo	reply
bega	report
emela	represent
serodumo	reputation
kopo	request
batla	require
tlhoka	required
falosa	rescue
patlisiso	research
tshwana le	resemble
kgalefo	resentment
pelaelo	reservation
rasefe	reservation
peeletsomanno	reservation
beela	reserve
moagi	resident
leboga tiro	resign
boitsetsepelo	resilience
na le boitsetsepelo	resilient
ema kgatlhanong	resist
twantsho	resistance
tshwetso	resolution
rarabolola	resolve
ikaelela	resolve
go ineela	resort
lefelo la boikhutso	resort
metswedithuso	resources
tlotla	respect
tlotlo	respect
araba	respond
tsibogo	response
maikarabelo	responsibility
nna le maikarabelo	responsible
boikhutso	rest
robala ka kagiso	rest in peace
resetšhurente	restaurant
busetsa	restore
thibela	restrict
botso	result
dipholo	results
simolola gape	resume
kgwebo	retail
tshegetsa	retain
go tshegetsa	retention
rotse tiro	retired
boela morago	retreat
tsaya	retrieve
busa	return
bowa	return
senola	reveal
senotse	revealed
boipusolosetso	revenge
ipusolosetsa	revenge
letseno	revenue
busa	reverse
sekaseka	review
boeletsa	revise
poeletso	revision
modikologo	revolution
tsulolo	revolution
tuelo	reward
moribo	rhythm
kgopo	rib
raese	rice
huma	rich
tlosa	rid
golola	rid
palama	ride
sa boeleele	ridiculous
moja	right
nepile	right
akere	right
jaanong jaana	right now
popota	rigid
palamonwana	ring
tsokotsa	rinse
pheretlho	riot
gagola	rip
butswitse	ripe
tlhatlhoga	rise
kotsi	risk
mogadika	rival
noka	river
mmila	road
besa	roast
thata	robust
lejwe	rock
lere	rod
seabo	role
mogaro	roll
pitika	roll
marulelo	roof
phaposi	room
modi	root
kgwele	rope
bodile	rotten
magwata	rough
ka tekanyetso	roughly
ka kgobololo	roughly
kgolokwe	round
tsela	route
modirotlwaelo	routine
komang	row
mola	row
fudua	row
sedila	rub
tshasa	rub
rabara	rubber
matlakala	rubbish
makgakga	rude
mmata	rug
senya	ruin
busa	rule
molao	rule
mmusi	ruler
rulara	ruler
melao	rules
taboga	run
tabogang	running
selegae	rural
lepotlapotla	rush
itlhaganela	rush
kgetsi	sack
boitshepo	sacred
setlhabelo	sacrifice
ntsha setlhabelo	sacrifice
bolokesega	safe
leoto la sefofane le le babalesegileng	safe flight
polokego	safety
seiji	sage
rile	said
saile	sail
tsamaya ka sekepe	sail
tsamaya ka sekepe	sailing
ntlha	sake
tuelo	salary
thekiso	sale
sesolo	sale
salemone	salmon
letswai	salt
tshwana	same
Go a tshwana le fano	Same here
sampole	sample
santa	sand
Sanskrit	Sanskrit
na le ngongolo	sarcastic
makgakga	sassy
dutse	sat
kgotsofalo	satisfaction
kgotsofetse	satisfied
kgotsofatsa	satisfy
kgotsofatsang	satisfying
Lamatlhatso	Saturday
boroso	sausage
motho yo motala	savage
boloka	save
bone	saw
re	say
sekale	scale
tsietsa	scam
tsietso	scam
lebadi	scar
tlhokega	scarce
tshogile	scared
sekhafo	scarf
tshosang	scary
phatlhaletse	scattered
felo	scene
tema	scene
lenaga	scenery
monkgo	scent
thulaganyo	schedule
sekolo	school
bonetetshi	science
monetitshi	scientist
banetetshi	scientists
dikere	scissors
omanya	scold
sekoupu	scope
sekoro	score
nosa	score
thatanyana	scrap
ngapa	scratch
gowa	scream
sekerine	screen
kurufelela	screw
lokwalo	script
lewatle	sea
sekano	seal
letshwao	seal
phuruphutsa	search
paka	season
bodulo	seat
bobedi	second
sephiri	secret
karolo	section
tlhomameng	secure
bolokesega	secure
tshireletso	security
bona	see
ke tla go bona	see you
ke tla go bona kgantele	see you later
ke tla go bona mo bogautshwaneng	see you soon
ke tla go bona kamoso	see you tomorrow
peo	seed
batla	seek
lebega e kare	seem
ekete	seems
bone	seen
tshwara	seize
go ngatega	seizure
sewelo	seldom
tlhopha	select
bonna	self
boena	self
iphodiso	self healing
timana	selfish
rekisa	sell
romela	send
nthomelela setshwantsho sa gago	send me your picture
mogolo	senior
kutlo	sense
molemo	sensible
sisimoga	sensitive
rometse	sent
romile	sent
katlholo	sentence
polelo	sentence
dipolelo	sentences
tlhaola	separate
kgaoganya	separate
Sepedi	Sepedi
lwetse	september
tatelano	sequence
tlhatlhamano	series
masisi	serious
tlhonama	serious
ka tlhwaafalo	seriously
direla	serve
tirelo	service
kopano	session
tlhoma	set
sete	set
siamisa	set up
lefelo	setting
tlhomo	setting
ineela	settle
itshetlega	settle
supa	seven
somesupa	seventeen
somasupa	seventy
mmalwa	several
thata	severe
rokile	sew
moriti	shade
moriti	shadow
tsikinya	shake
tla	shall
seng boteng	shallow
tlhabisa ditlhong	shame
ditlhong	shame
popego	shape
arolelana	share
bogale	sharp
o	she
o na le	she has
o	she is
tsholola	shed
tlhotlhorega	shed
leobo	shed
nku	sheep
lakane	sheet
letlhare	sheet
šelofo	shelf
kokola	shell
kgapetla	shell
kgopana	shell
botshabelo	shelter
sireletsa	shield
thebe	shield
sutisa	shift
phatsima	shine
sekepe	ship
go romela	shipping
hempe	shirt
ditlhako	shoes
thunya	shoot
lebenkele	shop
go reka	shopping
losi	shore
khutshwane	short
tlhaelo	shortage
thuntsitse	shot
tshwanetse	should
legetla	shoulder
goa	shout
pontsho	show
bontsha	show
mpontshe	show me
shawara	shower
šhirimpo	shrimp
ngotlega	shrink
tswala	shut
didimala	shut up
ditlhong	shy
ngwana wa ko gaabo	sibling
ngwana wa ko gae	sibling
bana ba motho	siblings
lwala	sick
letlhakore	side
go kgwa mowa	sigh
pono	sight
bona mafelo a a kgatlisang	sightseeing
letshwao	sign
tshaeno	signature
botlhokwa	significant
tidimalo	silence
didimetse	silent
silika	silk
o seeleele	silly
selefera	silver
tshwanang	similar
seso	simp
bonolo	simple
ka gangwe	simultaneously
e re ka	since
e sa le	since
pelo e phepa	sincere
ka botswapelo	sincerely
opela	sing
moopedi	singer
nosi	single
nwela	sink
Morena	Sir
nnake	sister
nkgonne	sister
kgaitsedi	sister
mogwe	sister in law
mogokane	sister in law
dula	sit
lefelo	site
seemo	situation
thataro	six
somethataro	sixteen
somamarataro	sixty
tekanyo	size
kgono	skill
dikgono	skills
letlalo	skin
sesane	skinny
tlola	skip
sekete	skirt
loapi	sky
lelata	slave
robala	sleep
robetse	sleeping
otsela	sleepy
letsogo	sleeve
selae	slice
relela	slide
theletsane	slide
go se sekae	slightly
sesane	slim
thupana	slip
mogkokolosa	slope
nako	slot
bonya	slow
ka bonya	slowly
nnye	small
botlhale	smart
ntle	smart
monkgo	smell
monyenyo	smile
nyenya	smile
mosi	smoke
borethe	smooth
seneke	snack
kgopa	snail
noga	snake
kgagogela	snap
kgaoga	snap
semathana	snow
jalo	so
ntle jang	so cute
ga jaana	so far
inela	soak
sesepa	soap
ikgaphile	sober
kgwele ya dinao	soccer
seloago	social
loago	society
dikausu	socks
boleta	soft
serweboleta	software
mmu	soil
rekisitswe	sold
fedile	sold out
lesole	soldier
nosi	sole
tiileng	solid
tharabololo	solution
rarabolola	solve
ngwe	some
mongwe	somebody
ka tsela nngwe	somehow
mongwe	someone
sengwe	something
dinako dingwe	sometimes
pina	song
kgantele	soon
marara	sophisticated
Sorani	Sorani
botlhoko	sore
mometso o botlhoko	sore throat
kutlobotlhoko	sorrow
ikwatlhaya	Sorry
kutlobotlhoko	Sorry
mofuta	sort
tlhaola	sort
batlile	sought
motho	soul
mowa	soul
modumo	sound
sopo	soup
botlhale	sour
motswedi	source
borwa	south
lefaufau	space
sebaka	space
sepeme	spam
paralatsa	span
sepane	span
Spanish	Spanish
falodisa	spare
nngwe	spare
bua	speak
kgethegileng	special
mefuta	species
rileng	specific
morekaarekise	spectacular
puo	speech
tlhoka puo	speechless
lebelo	speed
peleta	spell
kgakge	spell
dirisa	spend
dirisitse	spent
nnile	spent
baba	spicy
tlhaba	spike
tlhatlhoga	spike
lomapo	spike
dikolosa	spin
sepinatšhe	spinach
mowa	spirit
kgwa	spit
mathe	spit
ntle	splendid
phatloganya	split
senya	spoil
sentse	spoiled
ka nosi	spontaneous
leso	spoon
lefelo	spot
bona	spot
mogatsa	spouse
phatlalatsa	spread
motswedi	spring
dikgakogolo	spring
sekwere	square
gamola	squeeze
sekwidi	squid
mošha	squirrel
tlhaba	stab
setale	stable
tlhomama	stable
mokoa	stack
tlhatlhaganya	stack
badiri	staff
seralo	stage
kgato	stage
selabe	stain
ditepose	stairs
seteiki	stake
motlhaka	stalk
kukuna	stalk
botlhatlhelo	stall
setempe	stamp
ema	stand
maemo	standard
naledi	star
simolola	start
simolotse	started
tshwere ke tlala	starving
mmuso	state
boemo	state
polelo	statement
seteišhene	station
sefikantswe	statue
seemo	status
dula	stay
nna o bolokesegile	stay safe
tsepama	steady
seteike	steak
utswa	steal
fufutsa	steam
phufudi	steam
tshipi	steel
ina	steep
kutu	stem
kgato	step
matarela	stick
thupa	stick
tiile	stiff
kokobala	still
sa	still
loma	sting
lobolela	sting
timana	stingy
fuduwa	stir
setoko	stock
utswitswe	stolen
mpa	stomach
letlapa	stone
eme	stood
mantle	stool
setilo	stool
emisa	stop
polokelo	storage
lebenkele	store
setoro	store
sefefo	storm
kgang	story
setofo	stove
tlhamaletse	straight
tlhamaletse	straightforward
kgatelelo	strain
seeng	strange
moeng	stranger
togamaano	strategy
lotlhaka	straw
setoroberi	strawberry
ralala	streak
moraladi	streak
molapo	stream
mmila	street
maatla	strength
kgatelelo	stress
gatelela	stress
ngantsolola	stretch
bogale	strict
ditshupetso	strike
tlhasela	strike
mogala	string
senara	string
sekgetšhana	strip
lwa	strive
leka ka natla	strive
titeo	stroke
seterouku	stroke
thata	strong
beditswe	struck
popego	structure
kgaratlha	struggle
kgaratlho	struggle
sokola	struggling
tlhogo e thata	stubborn
kgomaretse	stuck
moithuti	student
ithuta	study
ithutang	studying
ithuta	studying
dilo	stuff
ntle	stunning
gakgamamtsa	stunning
sematla	stupid
setaele	style
ikobela	subject
kgang	subject
serutwa	subject
boineelo	submission
tsenya	submit
sere	substance
moemedi	substitute
matsetseleko	subtle
atlega	succeed
tswelelopele	success
atlegile	successful
ntse jalo	such
jaaka	such as
momona	suck
ka tshoganyetso	sudden
ka tshoganyetso	suddenly
boga	suffer
tshotlego	suffering
lekane	sufficient
sukiri	sugar
tsitsinya	suggest
tlhagiso	suggestion
sutu	suit
tshwanela	suit
tshwanela	suitable
sutukheise	suitcase
palo	sum
tlhakano	sum
tshobokanyo	summary
selemo	summer
samiti	summit
setlhoa	summit
letsatsi	sun
Latshipi	sunday
nang le letsatsi	sunny
phirimo ya letsatsi	sunset
phatsimo ya letsatsi	sunshine
golo	super
gaisang	superior
motlhatlhobedi	supervisor
difitlholo	supper
naya	supply
tshegetso	support
tsaya gore	suppose
tshwanetse	supposed
naganne	supposed
tlhomama	sure
tlhaga	surface
boalogodimo	surface
kgomogo	surge
koketsego	surge
karolo	surgery
boalafelo	surgery
sefane	surname
gakgamatsa	surprise
kgagamalo	surprise
maketse	surprised
ineela	surrender
tikologo	surrounding
tshekatsheko	surveillance
tekanyo	surveillance
lekanya	survey
tshekatsheko	survey
go phologa	survive
mmelaelwa	suspect
belaela	suspect
beetswethoko	suspended
belaetsa	suspicious
tsweletsa	sustain
go tswelela	sustainability
ya leruri	sustainable
moswenko	swag
kometsa	swallow
refosana	swap
ikana	swear
rogana	swear
fufula	sweat
mofufutso	sweat
jeresi	sweater
gogola	sweep
feela	sweep
botshe	sweet
ditoro tse di monate	sweet dreams
rata botshe	sweet tooth
mokapelo	sweetheart
ruruga	swell
boruruga	swelling
thusa	swim
thumang	swimming
ya kwa pele le kwa morago	swing
fetola	switch
rurugile	swollen
sabole	sword
letshwao	symbol
kutlwelobotlhoko	sympathy
ditshupo	symptoms
thulaganyo	system
tafole	table
rarabolola	tackle
theke	tag
mogatla	tail
tsaya	take
tsamaya ka yona	take away
tlhokomela	take care
tloga	take off
tlosa	take off
tseilwe	taken
bua	talk
balabala	talkative
telele	tall
thepe	tap
kokota	tap
theipi	tape
setotiwa	target
tiro	task
tatso	taste
latswega	tasty
rutile	taught
mogodungwana	tea
ruta	teach
morutabana	teacher
setlhopha	team
gagola	tear
keledi	tear
dikeledi	tears
rumola	tease
thekenoloji	technology
meno	teeth
bolelela	tell
mpolelela	tell me
bogale	temper
themperetšha	temperature
tempele	temple
nakwana	temporary
lesome	ten
dikete tse di lesome	ten thousand
mohiri	tenant
a tle	tend
oka	tend
disa	tend
tlwaelo	tendency
thendara	tender
nolo	tender
paka	tense
gagamala	tense
kgogakgogano	tension
kgagamatso	tension
tente	tent
sa totobalang	tentative
paka	term
mafoko	terms
metlha	terms
maswe	terrible
gaisa	terrific
naga	territory
teko	test
leka	test
sekwalwa	text
go na le	than
leboga	thank
Ke a leboga	thank you
Re lebogela bopelotelele fa re ntse re batlisisa thoto e e rometsweng	Thank you for your patience while we investigate shipment
ke leboga thata	thank you so much
ke leboga thata	thank you very much
Ke a leboga	thanks
Re lebogela fa o dirisitse epo ya rona	Thanks for using our app
gore	that
e	that
ke gore	that is
go siame	that's good
bogodu	theft
tsa bona	their
bone	them
morero	theme
bone ka bobone	themselves
ka nako eo	then
tiori	theory
foo	there
go na le	there are
go na le	there is
ka jalo	therefore
tse	these
ba	they
ba	they are
kima	thick
legodu	thief
serope	thigh
tshesane	thin
selopo	thing
dilo	things
nagana	think
boraro	third
tshwerwe ke lenyora	thirsty
lesometharo	thirteen
masomeamararo	thirty
se	this
se ke	this is
feta mo	thorough
ka	thorough
ka botlalo	thoroughly
bao	those
ntswa	though
kakanyo	thought
boakanyetsi	thoughtful
dikakanyo	thoughts
sekete	thousand
mogala	thread
tshosetsa	threat
matshosetsi	threat
tshosetsa	threaten
tharo	three
serepodi	threshold
itumetse tota	thrilled
gola sentle	thrive
mometso	throat
ka	through
ka nako ya	throughout
latlhela	throw
kgonotswe	thumb
duma	thunder
modumo wa tladi	thunder
Labone	Thursday
jalo	thus
kgofa	tick
tshwaya	tick
lekhubu le le tlhatlogang	tide
ithata	tidy
bofa	tie
thae	tie
nkwe	tiger
gagamala	tight
Tigrinya	Tigrinya
nako	time
boi	timid
nnyenyane	tiny
kgakololo	tip
maele	tips
lapisa	tire
lapile	tired
thitšhu	tissue
setlhogo	title
leina	title
go	to
go nna	to be
thousotu	toast
gompieno	today
mapimpana	toddler
menwana ya dinao	toes
mmogo	together
ntlwana	toilet
boleletse	told
go itshokelana	tolerance
itshokela	tolerate
tamati	tomato
kamoso	tomorrow
leleme	tongue
bosigong bono	tonight
thata	too
le	too
tseile	took
sediriswa	tool
didiriswa	tools
leino	tooth
godimo	top
setlhogo	topic
gagogile	torn
bogisa	torture
palogotlhe	total
ama	touch
thata	tough
go ja nala	tour
loeto	tour
go	toward
go	towards
toulo	towel
teropo	town
botlhole	toxic
gatisa	trace
motlhala	trace
latela motlhala	trace
motlhala	track
gweba	trade
dingwao	tradition
tsa setso	traditional
pharakano	traffic
motlhala	trail
terena	train
katiso	training
katisa	training
ponalo	trait
dipopego	traits
fetisa	transfer
phetogo	transition
fetolela	translate
letsatsa	transparent
tsamaisa	transport
dipalangwa	transport
thwalo	transportation
serai	trap
matlakala	trash
senya	trash
manokonoko	trauma
eta	travel
terei	tray
letlotlo	treasure
tshwara	treat
kalafi	treatment
tsholo	treatment
setlhare	tree
golo	tremendous
ganelela go	trend
kganelelo	trend
tsheko	trial
tsietsa	trick
leano	trick
lekile	tried
sekisitswe	tried
tsosa	trigger
kera	trim
loeto	trip
mathata	trouble
tshwenya	trouble
borokgwe	trousers
teraka	truck
NNETE	true
kutu	trunk
selopo	trunk
teranka	trunk
tshepa	trust
nnete	truth
leka	try
Tsonga	Tsonga
Setswana	Tswana
tšhupu	tube
Labobedi	Tuesday
thuto	tuition
kalakune	turkey
tšhumeriki	turmeric
tsoketso	turn
faposa	turn
turtle	turtle
morutisi	tutor
some le bobedi	twelve
masomamabedi	twenty
somamabedinngwe	twenty-one
Twi	Twi
gabedi	twice
lokolola	twist
soka	twist
pedi	two
thaepa	type
mofuta	type
tlhophegileng	typical
maswe	ugly
gaisang	ultimate
ya bofelo	ultimate
sekgele	umbrella
se kgone	unable
malome	uncle
idibetse	unconscious
idibetseng	unconscious
kwa tlase	under
tlase	underneath
tseelwa tlase	underrated
tlhaloganya	understand
tlhalogantse	understood
ka bomadimabe	unfortunately
yunifomo	uniform
kgethegileng	unique
yuniti	unit
yunivesithi	university
ga e itsege	unknown
fa	unless
go fitlha	until
sa tlwaelega	unusual
godimo	up
go tswa mo go wena	up to you
tlhabolola	update
tokafatsa	upgrade
mo godimo ga	upon
kgophola	upset
seteropo	urban
rotloetsa	urge
makgabeadipapetla	urgent
rona	us
dirisa	use
dirisitse	used
dirisitsweng	used
mosola	useful
go tlhoka molemo	useless
tlwaelegileng	usual
tle	usually
sediriswa	utility
itapoloso	vacation
moento	vaccination
moento	vaccine
lolea	vacuum
go sa totobal	vague
amogelesega	valid
mogorogoro	valley
nang le boleng	valuable
tlhwatlhwa	value
mothalethale	variety
farologaneng	various
farologana	vary
morufašeše	vase
kgolo	vast
morogo	vegetable
merogo	vegetables
serori	vehicle
morekisi	vendor
botlhole	venom
bowelo	venture
lefelo	venue
rurifatsa	verify
fetogangfetogang	versatile
thanolo	version
molatsepama	vertical
thata	very
bontle tota	very good
setsholo	vessel
ka	via
natefelwa	vibe
maikutlo a natefo	vibes
bogale	vicious
motswasetlhabelo	victim
vidiyo	video
pono	view
motse	village
molotsana	villain
vinekara	vinegar
tsa bogologolo	vintage
dikgoka	violence
nna dikgoka	violent
ka ga mogare	viral
tlalatlala	viral
legammana	virgin
mo inthaneteng	virtual
nonofo	virtue
pono	vision
eta	visit
ketelo	visit
tsa pono	visual
botlhokwa	vital
bonalang sentle	vivid
tlotlofoko	vocabulary
lentswe	voice
dirolola	void
volumu	volume
moithaopi	volunteer
ithaopa	volunteer
tlhatsa	vomit
mo kotsing	vulnerable
mogolo	wage
dituelo	wages
letheka	waist
leta	wait
moabadijo	waiter
eme	waiting
tsosa	wake
tsoga	wake up
tsamaya	walk
tsamaya	walking
lebota	wall
walete	wallet
kaila	wander
batla	wanna
batla	want
batlile	wanted
ntwa	war
wotoropo	wardrobe
polokelo	warehouse
bothito	warm
tlhagisa	warn
tlhagiso	warning
motlhabani	warrior
ne	was
tlhatswa	wash
matlakala	waste
senya	waste
tshupanako	watch
leba	watch
metsi	water
legapu	watermelon
lekhubu	wave
tsela	way
re	we
re	we are
re ka	we can
re a kgona	we can
bokoa	weak
bokowa	weakness
khumo	wealth
humile	wealthy
apara	wear
apereng	wearing
bosa	weather
lenyalo	wedding
Laboraro	Wednesday
mofero	weed
beke	week
mafelo a beke	weekend
bokete	weight
sa tlwaelega	weird
amogelesega	welcome
katlaatleloloago	welfare
siame	Well
dirile sentle	well done
botsisitswe	well done
ile	went
ne	were
bophirima	west
kolobile	wet
leruarua	whale
eng	what
go tweng ka wena	what about you
o dirang	what are you doing
o dirang jaanong	what are you doing now
o dira eng jaanong jaana	what are you doing right now
o dira eng	what do you do
o dira eng go itshedisa	what do you do for a living
o raya jang	what do you mean
o batlang	what do you want
go diragetseng	what happened
ke eng	what is
ke eng se	what is this
tiro ya gago ke eng	what is your job
leina la gago ke mang	what is your name
dintshang	what's up
leina la gago ke mang	what's your name
eng kapa eng	whatever
korong	wheat
leotwana	wheel
motlhang	when
leng	when
nako nngwe le nngwe	whenever
kae	where
o ko kae	where are you
o tswa kae	where are you from
o ko kae jaanong	where are you now
o nna kae	where do you live
e kae	where is
le mororo	whereas
kana	whether
efe	which
ya re	while
lobaka	while
seba	whisper
molodi	whistle
letsa molodu	whistle
tshweu	white
mang	who
yo	who
o mang	who are you
ke mang	who is
ke mang yo	who is this
feletse	whole
yoo	whom
ga mang	whose
goreng	why
goreng	why not
ikepa	wicked
atlhama	wide
motlholagadi	widow
bophara	width
mosadi	wife
tlhaga	wild
tla	will
thato	will
batla	willing
fenya	win
phefo	wind
letlhaphefo	window
diphefo	windy
veine	wine
mariga	winter
phimola	wipe
terata	wire
botlhale	wisdom
botlhale	wise
keletso	wish
nala	wish you all the best
katlego	wish you all the best
masego	wish you all the best
moloi	witch
ka	with
le	with
gogela morago	withdraw
kgogo	withdrawal
mo teng	within
ntle le	without
paki	witness
ka matlhajana	witty
phiri	wolf
mosadi	woman
basadi	women
fentse	won
nkitla	won't
kgagamatso	wonder
gakgamatsa	wonderful
legong	wood
bobowa	wool
lefoko	word
mafoko	words
tiro	work
tsamaya sentle	work out
itshidila mmele	work out
dirang	working
lefatshe	world
seboko	worm
aperwe	worn
tshwenyegile	worried
tshewenyega	worry
maswe go feta	worse
obamela	worship
maswe go gaisa	worst
boleng	worth
go mosola	worth it
tshwanelwa ke	worthy
o ne a tla	would
ntho	wound
Haa!Haa!	Wow
phutela	wrap
tšhakgalo	wrath
letlhalela	wrist
kwala	write
Kwala fa	Write here
mokwalo	writing
kwadilwe	written
fosa	wrong
kwadile	wrote
jarata	yard
edimola	yawn
Mm	Yeah
ngwaga	year
dingwaga	years
yisiti	yeast
goa	yell
serolwane	yellow
ee	Yes
ee motho wa ka	yes baby
ee moratiwa	yes dear
ee moratiwa	yes honey
ee moratiwa	yes my love
ee nnete	yes of course
maabane	yesterday
ise	yet
ntsha	yield
kungo	yield
wena	you
o	you are
o montle	you are beautiful
o montle jang	you are so beautiful
o amogelesegile	you are welcome
o ka	you can
Waitse	You know
le wena	you too
O amogelesegile	you're welcome
nšha	young
gago	your
kamogelo ya gago	your welcome
wena ka wesi	yourself
boša	youth
baša	youth
o amogetswe	you’re welcome
monate	yummy
lefela	zero
