sere	a
saggenta sibuntulu pole	see you later
saggenta sibuntulu pole	see you soon
sibuntulukki ammuko	see you tomorrow
benih	seed
abboya	seek
kacinikang	seem
singkammanna	seems
kacinikan	seen
menangkap	seize
kaddoro	seizure
masagala	seldom
pile	select
kalenku	self
anggassingi bata kale	self healing
kalennaji naturuki	selfish
abbalu	sell
angngiring	send
kirinngi mae fotonu	send me your picture
daeng	senior
akkala	sense
antama ri akkala	sensible
alusu	sensitive
ta'kirim	sent
kalima	sentence
kalima	sentences
nipasisa'la	separate
Sepedi	Sepedi
september	september
urutan	sequence
dro	series
attojeng tojeng	serious
attojeng tojeng	seriously
melayani	serve
appakasadia	service
sidang	session
angnyusung	set
atoroki	set
appakasadia	set up
angngaturu	setting
ammantang	settle
tuju	seven
sampulo tuju	seventeen
tuju pulo	seventy
battala	severe
angjai	sew
sh	sh
naungan	shade
bayangan	shadow
appagiyo	shake
siratanna	shall
tena na lantang	shallow
siri	shame
appare	shape
abbage	share
tarang	sharp
kalenna baine	she
ia pata	she has
iami antu	she is
gudang	shed
domba	sheep
a'lawara	sheet
rak	shelf
kerang	shell
tampa accakko	shelter
palindung	shield
aggesere	shift
accora	shine
angngiring	ship
angngirim	shipping
baju	shirt
sapatu	shoes
annemba'	shoot
gade	shop
abbalanja	shopping
tamparan	shore
bodo	short
kekurangan	shortage
tembakang	shot
annemba	shot
sibajikna	should
salangga	shoulder
ammarrang	shout
angjojjoki	show
pertunjukan	show
cinikka beng	show me
ajjene	shower
doang	shrimp
annyusu	shrink
nitongko	shut
sannang	shut up
siri	shy
saribbattang	sibling
aaribattang	siblings
garring	sick
sa'ri	side
mendesah	sigh
paccini	sight
accini cini	sightseeing
tanda	sign
tanda tangan	signature
parallu	significant
assino	silence
sannang	silent
sutra	silk
konyol	silly
perak	silver
assingkamma	similar
tau tolo	simp
lomo lomo	simple
appada	simultaneously
sibungasana	since
jujuru	sincere
attojeng tojeng	sincerely
akkelong	sing
pakkelong	singer
tau rungka	single
westafel	sink
tallang	sink
pak	Sir
saribbattang baine	sister
ipara	sister in law
ammempo	sit
tampa	site
situasi	situation
annang	six
sampulo annang	sixteen
annang pulo	sixty
ukkuran	size
kaporean	skill
keterampilan	skills
kuli	skin
roso	skinny
allaloi	skip
ro'	skirt
langi	sky
jongoso	slave
tinro	sleep
attindroki	sleeping
tado'do	sleepy
lengan baju	sleeve
ammolong	slice
molong	slice
anggesere	slide
agak	slightly
longkoro	slim
tappaleccoro	slip
lereng	slope
slot	slot
lamba	slow
palang palang	slowly
caddi	small
carakde	smart
bau	smell
tersenyum	smile
semuyan	smile
akkaluru	smoke
mulusu	smooth
kanre-kanrean	snack
siput	snail
ulara	snake
tepo	snap
salju	snow
jari	so
caddi caddi dudu	so cute
sallona anne	so far
akmasak	soak
sabun je'ne	soap
tena nisaringi	sober
akkarena golo	soccer
sosial	social
rakya	society
kaus bankeng	socks
alusu	soft
perangkat lunak	software
butta	soil
laku	sold
labbusu ngaseng	sold out
tantara	soldier
akkale	sole
akkalepu	solid
larutan	solution
appaklebba	solve
jai	some
sere tau	somebody
antekamma pun	somehow
se're tau	someone
iare	something
punna	sometimes
lagu	song
tettere	soon
sokala	sophisticated
Sorani	Sorani
garring	sore
parrisi karro karro	sore throat
duka	sorrow
Pammoporanga	Sorry
appasisa'la	sort
niboya	sought
nyawa	soul
pamai hati	soulmate
sa'ra	sound
sup	soup
kacci	sour
poko	source
timboro	south
langit	space
spam	spam
nagappai	span
tau Spanyol	Spanish
meluangkan	spare
senggang	spare
a'bicara	speak
spesial	special
jannisi	species
spektakuler	spectacular
pidato	speech
tena kulle bicara	speechless
panggassingan	speed
anggeja	spell
ammalli	spend
nipa'labbusu	spent
bambang	spicy
paku	spike
putaran	spin
bayam	spinach
roh	spirit
appi'ru	spit
sanna gaggana	splendid
tappasah	split
ammue	split
appakalabiri	spoil
nimanja	spoiled
spontan	spontaneous
si'ru	spoon
titti	spot
pasangan	spouse
tassiara	spread
musim semi	spring
passegi	square
meremas	squeeze
cumi-cumi	squid
tupai	squirrel
annoddo	stab
stabil	stable
tumpukan	stack
ana' bua	staff
pangung	stage
noda	stain
tuka	stairs
a'botoro	stake
tangkai	stalk
mace	stall
stempel	stamp
gadde	stand
menteng	stand
sitandara	standard
bintang	star
uru uru	start
pakaramula	started
kacipurang	starving
kajadiang	state
nagara	state
pernyataan	statement
stasiun	station
patung	statue
status	status
abbangngi	stay
mantang	stay
jaga kasalamakkang	stay safe
stabil	steady
daging panggang	steak
allukka	steal
uap	steam
baja	steel
curam	steep
tangke	stem
ajappa	step
tongkat	stick
kaddoro	stiff
tetaki	still
tetak	still
menyengat	sting
sekke	stingy
aggaru	stir
modala	stock
nilukka	stolen
battang	stomach
batu	stone
menteng	stood
bangko	stool
ammari	stop
pammolikan	storage
gadde	store
angin lonpo	storm
carita	story
komporo	stove
lambusu	straight
gampang	straightforward
tekanang	strain
ganjili	strange
labbi aneh	stranger
strategi	strategy
pipe	straw
stroberi	strawberry
garisi	streak
binanga cadi	stream
agadan	street
pa'gassingang	strength
annekang	stress
ammeru	stretch
ketat	strict
ammajji	strike
rangkaian	string
abba'bi	strip
ajjuang	strive
stroke	stroke
kassa	strong
niparappasa	struck
struktur	structure
perjuangan	struggle
ajjuang	struggle
berjuang	struggling
kaddoro	stubborn
terjebak	stuck
murid	student
penelitian	study
appilajara	study
ampilajari	studying
Iyamiantu	stuff
appalannasa	stunning
tolo tolo	stupid
gaya	style
penyerahan	submission
kirim	submit
zat	substance
passambe	substitute
assamara	subtle
berhasil	succeed
kesuksesan	success
sukses	successful
singkamma	such
singkamma	such as
angngisu	suck
tiba tiba	sudden
tiba-tiba	suddenly
sessa	suffer
sessa	suffering
memadai	sufficient
golla	sugar
angngussulu	suggest
saran	suggestion
coco	suit
setelah	suit
singkamma	suitable
koporo	suitcase
ganna	sum
nyingkaan	summary
timoro	summer
cappa	summit
mata allo	sun
Aha	sunday
singara	sunny
naungi mata allo	sunset
singara mata allo	sunshine
super	super
unggul	superior
pengawasa	supervisor
nganre bangngi	supper
ampantama	supply
pasokan	supply
pandukung	support
mandukung	support
appakira kira	suppose
niparakirai	supposed
nassa	sure
permukaan	surface
kenaikan	surge
operasi	surgery
areng riboko	surname
tabbanka	surprise
tabbanka	surprised
mallami	surrender
rampi na	surrounding
pengawasan	surveillance
anninjau	survey
penelitian	survey
bertahan tallasa	survive
mencurigai	suspect
tersangka	suspect
tergantung	suspended
accurigakang	suspicious
angpertahankan	sustain
pakatarrusu	sustainability
anu tarrusu	sustainable
barang nilukka	swag
kiti lompo	swallow
appassambe	swap
assumpah	swear
keringat	sweat
sweter	sweater
abbarrasa	sweep
te'ne	sweet
bayo bayoang baji	sweet dreams
gigi gagga	sweet tooth
sayang	sweetheart
kambang	swell
pakbakkangan	swelling
allange	swim
allange	swimming
ayunan	swing
mengayun	swing
annyambei	switch
sambe	switch
kambang	swollen
pandang	sword
simbolo	symbol
simpati	sympathy
gejala	symptoms
sistem	system
meja	table
menangani	tackle
menandai	tag
ingkong	tail
ngalle	take
angngerang a'lampa	take away
atutu	take care
rappasa ri landasang	take off
nialle	taken
abbicara	talk
ceramah	talk
jai kana	talkative
longga	tall
akkatto	tap
keran	tap
tape	tape
menargetkan	target
target	target
tugasa	task
merasakan	taste
rasa	taste
nyamang	tasty
ri ajara	taught
teh	tea
angngajara	teach
guru	teacher
tim	team
angngekke	tear
je'ne mata	tears
anggoda	tease
teknologi	technology
gigi	teeth
assare kabara	tell
poanga	tell me
appaluna	temper
suhu	temperature
kuil	temple
ia mo anne rong	temporary
sampulo	ten
sampulo sa'bu	ten thousand
passewa	tenant
cenderung	tend
kecenderungan	tendency
alusu	tender
tegang	tense
ketegangan	tension
tenda	tent
akkulle minra	tentative
katantuan	term
katantuang	terms
sanna kodina	terrible
pore	terrific
parasangang	territory
uijang	test
annguji	test
teks	text
ribandingkan	than
tarima kasi	thank
tarima kasi	thank you
Tarima kasih kasabbarangta mange rikatte aseng anne amparessai pangirimanga	Thank you for your patience while we investigate shipment
tarima kasih jai	thank you so much
tarima kasi jai	thank you very much
tarimakasi	thanks
terimakasih lebba ki pake aplikasi ku	Thanks for using our app
anjo	that
anjo iamintu	that is
anjo gaga	that's good
palukkakkang	theft
iya ngaseng pata	their
yangaseng	them
tema	theme
kale	themselves
nampa	then
teori	theory
rinni	there
nia	there are
nia	there is
nasaba anjo	therefore
anne	these
paraia	they
para iya	they are
kapala'	thick
palukka	thief
bonggang	thigh
roso'	thin
benda	thing
hal hal	things
ammikkiri	think
maka tallu	third
rere	thirsty
sampulo tallu	thirteen
tallumpulo	thirty
anne	this
anne	this is
ia ngaseng	thorough
ia ngaseng	thoroughly
anjo	those
manna mamo	though
nawa nawa	thought
pikkiri	thought
rassi pattimbangan	thoughtful
pikkirang	thoughts
sabbu	thousand
bannang	thread
ancaman	threat
anngancam	threaten
tallu	three
batasa	threshold
sannang sanna	thrilled
attimbo sanna	thrive
karro karro	throat
laloi	through
selama	throughout
anyambila	throw
jempolo	thumb
guruh	thunder
Kammisi	Thursday
ia mi antu	thus
kutu	tick
gelombang pasang	tide
rappi	tidy
annyikko	tie
dasi	tie
harimau	tiger
ketat	tight
Tigrinya	Tigrinya
wattu	time
passirikang	timid
caddi	tiny
passarean	tip
pakainga	tips
ban	tire
mangngang	tired
jaringan	tissue
judulu	title
mange	to
anjari	to be
roti panggang	toast
anne alloa	today
balita	toddler
ana bangken	toes
siagang	together
toilet	toilet
nipoang	told
toleransi	tolerance
annarima	tolerate
tagalae	tomato
ammuko	tomorrow
lilah	tongue
anne bangngi	tonight
ia tong	too
lebbami angngalle	took
ala	tool
peralatan	tools
gigi	tooth
rate	top
tema	topic
kekke	torn
annyessa	torture
ia ngaseng	total
annyento	touch
terasa'	tough
wisata	tour
anjoreng	toward
namange	towards
handu	towel
kota	town
beracun	toxic
bate	trace
abboya	track
paddanggangang	trade
a'dangang	trade
tradisi	tradition
anu riolo	traditional
lalu lintas	traffic
bate	trail
kereta	train
pelatihan	training
sipa	trait
sipa sipa	traits
ngirim	transfer
transisi	transition
anterjemahkan	translate
transparan	transparent
mengangkut	transport
paerang	transportation
perangkap	trap
loro	trash
trauma	trauma
a'lampa	travel
baki	tray
barang tallan	treasure
ammarakai	treat
paggaukang	treatment
poko-poko	tree
sanna lompona	tremendous
kecenderungan	trend
ni coba	trial
annipu	trick
accoba	tried
appagio	trigger
pemicu	trigger
ammolong	trim
oloang	trip
masalah	trouble
saluara la'bu	trousers
tere	truck
TOJENG	true
belalai	trunk
patapakkang	trust
angpatappa	trust
anu tojeng	truth
angnyoba	try
Tsonga	Tsonga
tabung	tube
Salasa	Tuesday
biyaya sikola	tuition
turki	turkey
kunyit	turmeric
allekko	turn
penyu	turtle
tutor	tutor
sampulon rua	twelve
rompulo	twenty
ruampulo se're	twenty-one
Twi	Twi
pinruang	twice
ammutara	twist
rua	two
jenis	type
khas	typical
kodi	ugly
riboko dudu	ultimate
payung	umbrella
tena gappa	unable
purina	uncle
tena sadara	unconscious
i rawa	under
ri rawa	underneath
tena ri hati bati	underrated
memahami	understand
nipahami	understood
sayangna	unfortunately
seragam	uniform
masagala	unique
se'rean	unit
universitas	university
tena ri issengi	unknown
mingka antu	unless
sanggengna	until
tena biasa	unusual
naik	up
battu ri katte	up to you
appaka beru	update
paling beru	update
appakanaik	upgrade
panaikang	upgrade
ri	upon
kanawa nawang	upset
perkotaan	urban
dorongan	urge
angdesak	urge
andesak	urgent
paraikatte	us
ammake	use
dipake	used
amatu matu	useful
tina gunanna	useless
biasa	usual
biasanna	usually
matu matu	utility
liburan	vacation
vaksinasi	vaccination
vaksin	vaccine
kekosongan	vacuum
tena nasingara	vague
sah	valid
lembah	valley
berharga	valuable
nilai	value
anghargai	value
arrupa rupa	variety
arrupa rupa	various
arrupa rupa	vary
po bunga	vase
luara	vast
gangang gangang	vegetable
ganganga	vegetables
kendaraan	vehicle
pabalu	vendor
bisa ulara	venom
usaha	venture
tampa	venue
ammaressa	verify
serbaguna	versatile
versi	version
vertikal	vertical
sanna	very
sanna bajina	very good
kappala	vessel
angngolo	via
atmosfer	vibe
atmosfer	vibes
bambala	vicious
koroban	victim
pidio	video
accinik	view
kampong	village
penjahat	villain
cuka	vinegar
antik	vintage
katerassan	violence
brutal	violent
virus	viral
perawan	virgin
maya	virtual
kabajikan	virtue
paccini	vision
ambattui	visit
kujungan	visit
visual	visual
poko	vital
jelas	vivid
kosakata	vocabulary
sa'ra	voice
ruangan kosong	void
volume	volume
sukarelawan	volunteer
ta'langnge	vomit
langngei	vomit
lamma	vulnerable
gaji	wage
gaji	wages
sarring	waist
tayang	wait
pakkasadia	waiter
attayang	waiting
bangung	wake
ambangun	wake up
ajjappa	walk
trotoar	walk
sedang ajjappa	walking
tembo	wall
dompet	wallet
afappa jappa	wander
ero	wanna
ero'	want
nikeroki	wanted
bundu	war
care care	wardrobe
gudang	warehouse
kammuk	warm
tena nabambang dudu	warm
appaka inga	warn
pappakainga	warning
pahlawang	warrior
riolo	was
assassa	wash
cammara	waste
boros	waste
accini	watch
je'ne	water
mandike	watermelon
adda	wave
ajjappa	way
ikatte	we
katte	we are
anggappaki	we can
lamma	weak
kelammangang	weakness
kakalumannyangngan	wealth
kalumannyang	wealthy
ammake	wear
ammake	wearing
rammang	weather
pabbuntingan	wedding
araba	Wednesday
gulma	weed
pekan	week
akhir pekan	weekend
appabattala	weight
battala	weight
mara'-maraeng	weird
salama battu	welcome
kaselawangan	welfare
Gassing	Well
sanna baji'na	well done
a'lampami	went
riolo	were
lau	west
basa	wet
paus	whale
apa	what
antekamma antu katte	what about you
apa nu pare	what are you doing
apa nupare kamma kamma anne	what are you doing now
apa nu pare kamma kammayya anne	what are you doing right now
apa jama jamannu	what do you do
apa jamannu	what do you do for a living
apa massunnu	what do you mean
apa ikatte kieroki	what do you want
apa kajarian	what happened
apa anjo	what is
apa anne	what is this
apa jamannu	what is your job
nai arennu	what is your name
nia apa	what's up
nai arennu	what's your name
apapun	whatever
gandum	wheat
roda	wheel
ringngapanna	when
sambaran wattu	whenever
kemae	where
kemaeko	where are you
battu kemaeko	where are you from
kimae katte kamma anne	where are you now
kimaeki ammantang	where do you live
kemae	where is
ingka	whereas
apa anjo	whether
punna	while
bisi bisi	whisper
pippiri	whistle
kebo	white
nai	who
inaiki	who are you
inai ang	who is
nai anne	who is this
rassi	whole
yang	whom
yang	whose
ngapai	why
angngapa tena	why not
jaha	wicked
labba	wide
janda	widow
labba	width
baine	wife
liara	wild
punna	will
punna ngapa	will
assedia	willing
ammeta	win
angin	wind
tontongan	window
angngangin	windy
anggoro	wine
bara	winter
angngapusu	wipe
kabala	wire
kebijaksanaan	wisdom
bijak	wise
ero	wish
angharap	wish
semoga nugappa ngasengi paling bajika	wish you all the best
panyihiri	witch
siagang	with
abbeso'	withdraw
penarikan	withdrawal
ilalang	within
tena	without
sassi	witness
menyaksikan	witness
caradde	witty
serigala	wolf
ba'baine	woman
baine	women
won	won
tena ero	won't
pakkasia sannang	wonder
luar biasa	wonderful
kayu	wood
wol	wool
kana	word
kana-kana	words
anjama	work
jama	work
olaraga	work out
anjama	working
lino	world
cacing	worm
nipake	worn
ripikkiri	worried
abbata bata	worry
sanna kodina	worse
appaganti	worship
paling kodi	worst
matu matu	worth
singkamma	worth it
cocok	worthy
erok	would
loko	wound
abbungkusu	wrap
kalarroang	wrath
gallang lima	wrist
annulisi	write
tulisikki rinni	Write here
annulisi	writing
tattulisi	written
salah	wrong
annulisi	wrote
halaman	yard
anguap	yawn
angnguap	yawn
taun	year
attahung tahung	years
ragi	yeast
marrang	yell
kunyi	yellow
Iye	Yes
iye sayang	yes baby
iye, ngai	yes dear
iye, sayang	yes honey
iya, sayangku	yes my love
iye, attantumi	yes of course
subangngi	yesterday
tenapa	yet
appajjari	yield
katte	you
katte	you are
katte gagga	you are beautiful
ga'ga sannakki	you are so beautiful
tarima kasi kembali	you are welcome
ikau kulle	you can
kau nisseng	You know
ikau poleng	you too
tarima kasi motere	you're welcome
lolo	young
anunnu	your
singkamma	your welcome
kalennu	yourself
tau runka	youth
terimakasih motere	you’re welcome
nyamang	yummy
nolo	zero
