i	a
ikota	quarter
isiQuechua	Quechua
indlovukazi	queen
umbuzo	query
umbuzo	question
umjeje	queue
msinya	quick
msinyazana	quickly
thula	quiet
ikhavara yombhede	quilt
lisa	quit
pheleleko	quite
ikhwizi	quiz
ikhothetjheni	quotation
dzubhula	quote
umdzubhulo	quote
imidzubhulo	quotes
umqasa	rabbit
ubuhlanga	race
ukufutheka	rage
izulu	rain
khuphula	raise
ukukhuphula	raise
khuliswe	raised
balekile	ran
ngakhethiko	random
umhlobo	range
msinya	rapid
msinya	rapidly
ngakavami	rare
ngokungakavami	rarely
amathuthuva	rash
ikhondlo	rat
inani	rate
ngcono	rather
iretjhiyo	ratio
zwakalako	rational
hlaza	raw
fikelela	reach
fikelele	reached
ipenduko	reaction
funda	read
ukufunda	reading
lungele	ready
kwamambala	real
iqiniso	reality
ukulemuka	realize
lemuka	realized
kwamambala	really
ngakandi	rear
isizathu	reason
zwakalako	reasonable
khumbula	recall
irasidi	receipt
thola	receive
tholile	received
mhlapha	recent
mhlapha	recently
ukwamukela	reception
iresibhu	recipe
ngakhathaliko	reckless
ukukhumbula	recognition
khumbula	recognize
phakamisa	recommend
phakamisiwe	recommended
rekhoda	record
ukurekhoda	record
thola godu	recover
ukululama	recovery
uncane	rectangle
bomvu	red
ukuhlenga	redeem
ukuhlengwa	redemption
phungula	reduce
okungafunekiko	redundant
dlulisela	refer
ireferensi	reference
tjengisa	reflect
isiboniso	reflection
zibambe	refrain
ifriji	refrigerator
ukubuyiselwa imali	refund
yala	refuse
yala	refused
mayelana	regard
mayelana	regarding
kungakhathaleki	regardless
mayelana	regards
isifunda	region
irejistara	register
zisola	regret
kanengi	regular
kanengi	regularly
yala	reject
hlobana	relate
hlobene	related
ubuhlobo	relationship
hlobanako	relative
isihlobo	relative
iinini	relatives
ledlha	relax
khupha	release
ukukhupha	release
khutjhwa	released
faneleko	relevant
thembekile	reliable
ukuphumuza	relief
ukuphungula	relieve
khululekile	relieved
ikolo	religion
kwekolo	religious
ukuba nokuzaza	reluctant
thembela	rely
sala	remain
seleko	remaining
qalekako	remarkable
ipengu	remedy
khumbula	remember
khumbuza	remind
isikhumbuzo	reminder
kude	remote
susa	remove
yenza	render
irende	rent
lungisa	repair
buyelela	repeat
ukujamiselela	replace
phendula	reply
ipendulo	reply
umbiko	report
bika	report
jamela	represent
ibuyelelo	reputation
bawa	request
isibawo	request
funeka	require
okufunekako	required
sindisa	rescue
irhubhululo	research
fuza	resemble
ukusilingeka	resentment
ukubekisa	reservation
ukubekisa	reserve
umhlali	resident
tjhiya phasi	resign
ukuqina	resilience
eqinileko	resilient
yala	resist
ukujamelana	resistance
isisombululo	resolution
rarulula	resolve
indawo yokuphumula	resort
imithombo	resources
hlonipha	respect
ihlonipho	respect
phendula	respond
ipendulo	response
isibopho	responsibility
nesibopho	responsible
phumula	rest
lala uphumule ngokuthula	rest in peace
irestjurendi	restaurant
buyisela esigeni	restore
vimbela	restrict
umphumela	result
imiphumela	results
thoma	resume
isitolo	retail
buyisa	retain
ukulondwa	retention
thethe umhlalaphasi	retired
ukuhlehla	retreat
buyisa	retrieve
ukubuya	return
vumbulula	reveal
bonisa	revealed
ukuzibuyiselela	revenge
irevenyu	revenue
buyela emva	reverse
ukubuyekeza	review
buyekeza	review
buyekeza	revise
ukubuyekeza	revision
ivukelombuso	revolution
umtlomelo	reward
igido	rhythm
imbambo	rib
ireyisi	rice
ukunjinga	rich
susa	rid
khwela	ride
ukukhwela	ride
hlekisako	ridiculous
kulungile	right
-isidlela	right
njenganje	right now
qina	rigid
idzilamnwana	ring
pula	rinse
ukubhenyoga	riot
dabula	rip
ukudabula	rip
vuthwa	ripe
ukuphakama	rise
phakama	rise
ingozi	risk
bangisanako	rival
umlambo	river
indlela	road
osa	roast
qina	robust
ilitje	rock
intongana	rod
indima	role
gedeka	roll
umfulelo	roof
ikamero	room
umrabhu	root
irowubhu	rope
ukubola	rotten
maguzuguzu	rough
maguzuguzu	roughly
rono	round
indlela	route
kwangamalanga	routine
ireyi	row
hlikihla	rub
iraba	rubber
iinsila	rubbish
ukungazisi	rude
umada	rug
ona	ruin
umthetho	rule
irula	ruler
imithetho	rules
gijima	run
ukugijima	running
kwamaplasi	rural
rhaba	rush
ukurhaba	rush
umgodla	sack
cwengileko	sacred
umhlatjelo	sacrifice
phephile	safe
ukhambe kuhle	safe flight
ivikeleko	safety
hlakaniphile	sage
uthe	said
ukuthaya emanzini	sail
ukuthaya	sailing
ngenca	sake
umrholo	salary
indali	sale
isalmoni	salmon
itswayi	salt
fanako	same
Nami kunjalo	Same here
isampula	sample
isanta	sand
isiSanskrit	Sanskrit
ukurhwala	sarcastic
hlala	sat
aneliseka	satisfaction
aneliseka	satisfied
anelisako	satisfy
anelisako	satisfying
Mgqibelo	Saturday
isoseji	sausage
ukungalawuleki	savage
onga	save
bonile	saw
itjho	say
isikala	scale
ubukirikitjana	scam
isibazi	scar
tlhogekako	scarce
esaba	scared
isikhafu	scarf
sabekako	scary
rhatjhekileko	scattered
isiqephu	scene
indawo	scenery
umnuko	scent
hlela	schedule
ihlelo	schedule
isikolo	school
isayensi	science
usosayensi	scientist
abososayensi	scientists
isikere	scissors
ukukhalima	scold
isilinganiso	scope
skora	score
isikrebhe	scrap
nghwara	scratch
rhuwelela	scream
umpheme	screen
isikrufu	screw
isikribhu	script
ilwandle	sea
vala	seal
rhubhulula	search
isikhathi somnyaka	season
isihlalo	seat
kwesibili	second
ifihlo	secret
isigaba	section
vikeleka	secure
ivikeleko	security
qala	see
sizakubonana	see you
sakubonana	see you later
sizakubonana msinya	see you soon
sakubonana kusasa	see you tomorrow
imbewu	seed
funa	seek
kwangathi	seem
sengathi	seems
boniwe	seen
isayizi	seize
ukutsirimezeka	seizure
kanengi	seldom
khetha	select
kwakho	self
ukuzelapha wena	self healing
ukuba nehliziyo embi	selfish
thengisa	sell
thumela	send
ngithumela isithombe sakho	send me your picture
phezulu	senior
umuzwa	sense
zwakalako	sensible
ukuba nezwelo	sensitive
thumele	sent
umutjho	sentence
imitjho	sentences
hlukanisa	separate
iSepedi	Sepedi
ukhukhulamungu	september
ukulandelana	sequence
ilungelunge	series
ncamileko	serious
kwamambala	seriously
sebenza	serve
umsebenzi	service
isetjheni	session
seda	set
isede	set
ukuhlela	set up
indawo	setting
hlala	settle
ikhomba	seven
itjhumi nekhomba	seventeen
amatjhumi alikhomba	seventy
okumbalwa	several
ngamandla	severe
thunga	sew
umthunzi	shade
isithunzi	shadow
khuhluza	shake
ngizaku	shall
ngatjhingiko	shallow
ziinhloni	shame
ijamo	shape
abelana	share
bukhali	sharp
une	she has
uya	she is
itjhede	shed
imvu	sheep
iphepha	sheet
itjhelfu	shelf
iqephe	shell
ubusithelo	shelter
isihlangu	shield
tjhida	shift
rhanyazela	shine
isikepe	ship
ukuthwala ngesikepe	shipping
irhambe	shirt
amanyathelo	shoes
dumuza	shoot
isitolo	shop
ukuthenga	shopping
iqadi lamanzi	shore
fitjhani	short
ukutjhoda	shortage
ukudumuza	shot
dumuza	shot
fanele	should
ihlombe	shoulder
memeza	shout
tjengisa	show
ukutjengisa	show
ngitjengisa	show me
itjhawara	shower
imfanzi	shrimp
ukurhunyela	shrink
vala	shut
thula	shut up
iba neenhloni	shy
umntwana wakwenu	sibling
izelamani	siblings
gula	sick
ihlangothi	side
ukububula	sigh
ikghono	sight
ukubona indawo	sightseeing
itshwayo	sign
umtlikitlo	signature
qakathekileko	significant
ukuthula	silence
ukuthula	silent
isiliga	silk
ubudlhadlha	silly
isiliva	silver
fanako	similar
lula	simp
lula	simple
kanye kanye	simultaneously
soloko	since
othandekako	sincere
othandekako	sincerely
vuma	sing
umvumi	singer
wedwa	single
ukucwila	sink
cwila	sink
Nomzana	Sir
udade	sister
umrharibo	sister in law
hlala	sit
indawo	site
ubujamo	situation
sithandathu	six
itjhumi nesithandathu	sixteen
amatjhumi asithandathu	sixty
isayizi	size
ikghonofundwa	skill
amakghonofundwa	skills
isikhumba	skin
matsikani	skinny
yeqa	skip
isikerde	skirt
umkayi	sky
isigqila	slave
lala	sleep
ukulala	sleeping
ukulala	sleepy
umkhono	sleeve
ukusineya	slice
sineya	slice
tjhelela	slide
kancazana	slightly
matsikana	slim
tjhelela	slip
umkhuphuka	slope
indawo	slot
kabuthaka	slow
kabuthaka	slowly
ncani	small
hlakaniphileko	smart
umnuko	smell
momotheka	smile
ukumomotheka	smile
intuthu	smoke
butjhelela	smooth
isineki	snack
isibungu	snail
inyoka	snake
phahlaka	snap
irhwaba	snow
yeke	so
kuhle khulu	so cute
bekube nje	so far
thambisa	soak
isibha	soap
ngakadakwa	sober
ibholo erarhwako	soccer
ihlalakuhle	social
umphakathi	society
amakowusu	socks
thambileko	soft
isoftwe	software
ihlabathi	soil
thengisiwe	sold
kuthengisiwe	sold out
isotja	soldier
yedwa	sole
qinileko	solid
isisombululo	solution
rarulula	solve
okhunye	some
omunye umuntu	somebody
ngenye indlela	somehow
omunye umuntu	someone
okuthileko	something
kwesinye isikhathi	sometimes
ingoma	song
msinyazana	soon
nelwazi	sophisticated
isiSorani	Sorani
ubuhlungu	sore
buhlungu	sore
umphimbo obuhlungu	sore throat
isizi	sorrow
Ncancabe	Sorry
hlukanisa	sort
funa	sought
umphefumulo	soul
umathandana	soulmate
itjhada	sound
isobho	soup
siri	sour
umthombo	source
esewula	south
Isindebele	South Ndebele
isikhala	space
isipamu	spam
isipani	span
i-Spanish	Spanish
onga	spare
ongileko	spare
khuluma	speak
khethekileko	special
imihlobo	species
khethekileko	specific
qalekako	spectacular
ikulumo	speech
tlhoga umlomo	speechless
ibelo	speed
umoya omumbi	spell
sebenzisa	spend
sebenzisa	spent
okubabako	spicy
ihlabihlabi	spike
drayisa	spin
isipinatjhi	spinach
umoya	spirit
khafula	spit
bukhazikhazi	splendid
ukuhlukanisa	split
ahlukanisa	split
ona	spoil
konakele	spoiled
ukuzenzakalela	spontaneous
isigobho	spoon
icatjhazi	spot
umlingani	spouse
rhatjheka	spread
itwasahlobo	spring
isikwere	square
minya	squeeze
ubudorana	squirrel
hlaba	stab
nzinza	stable
isitaka	stack
isisebenzi	staff
isiteji	stage
isigaba	stage
ibala	stain
amastebhisi	stairs
isikhonkhwani	stake
isiqu	stalk
isitolo	stall
isitembu	stamp
ukujama	stand
jama	stand
ibanga	standard
ikwekwezi	star
thoma	start
thomileko	started
lamba	starving
jama	state
ubujamo	state
isitatimende	statement
isitetjhi	station
isithombe	statue
ubujamo	status
ukuhlala	stay
hlala	stay
uhlale ngokuphepha	stay safe
ngatjhidiko	steady
inyama yekomo	steak
yeba	steal
isitimu	steam
isimbi	steel
ehlela	steep
isiqu	stem
isitepe	step
isigodo	stick
lukhuni	stiff
bekufike	still
-nganyakaziko	still
tinyela	sting
ukudimana	stingy
rura	stir
isitoko	stock
yetjiwe	stolen
amathumbu	stomach
ilitje	stone
sikima	stood
amakaka	stool
jama	stop
indawo yokubeka	storage
isitolo	store
amawuruwuru	storm
indatjana	story
isitofu	stove
nqopha	straight
bunqopha	straightforward
ubudisi	strain
rarako	strange
isivakatjhi	stranger
iqhinga	strategy
isitro	straw
isitrubheri	strawberry
umuda	streak
umlanjana	stream
isitrada	street
amandla	strength
igandelelo	stress
naba	stretch
bukhali	strict
ukubhenyoga	strike
intambo	string
umtletle	strip
lwela	strive
isitrowugu	stroke
namandla	strong
wabetha	struck
isakhiwo	structure
umtlhago	struggle
tlhaga	struggle
tlhaga	struggling
unekani	stubborn
pakelana	stuck
isitjudeni	student
funda	study
ukufunda	study
ukufunda	studying
izinto	stuff
karisako	stunning
isidlhadlha	stupid
isitayela	style
isifundo	subject
ukuthumela	submission
thumela	submit
isiqa	substance
jamiselela	substitute
okufihlekileko	subtle
phumelela	succeed
ipumelelo	success
ngepumelelo	successful
njenga	such
okufana ne	such as
munya	suck
msinyazana	sudden
msinyazana	suddenly
tlhaga	suffer
umtlhago	suffering
kwanele	sufficient
itjhukela	sugar
phakamisa	suggest
isiphakamiso	suggestion
ukufanela	suit
fanela	suit
faneleko	suitable
isikhwama	suitcase
isibalo	sum
isirhunyezo	summary
ihlobo	summer
umbuthano	summit
ilanga	sun
usondo	sunday
kuyatjhisa	sunny
ukutjhinga kwelanga	sunset
ukuphuma kwelanga	sunshine
phezulu	super
ngaphezulu	superior
umtlhogomeli	supervisor
isidlo samadina	supper
thuthela	supply
ukuthuthela	supply
sekela	support
ukusekela	support
kokudlumbana	suppose
okufanele	supposed
kwamambala	sure
ilingaphandle	surface
iwobhu	surge
isejari	surgery
isibongo	surname
rara	surprise
rareka	surprised
lahlela itewu	surrender
ukuragelela	surrounding
ukugadwa	surveillance
phenya	survey
iphenyo	survey
sinda	survive
umrhononwa	suspect
rhonona	suspect
janyisiweko	suspended
solekako	suspicious
nepumelelo	sustain
nepumelelo	sustainability
sebenza isikhathi eside	sustainable
umswenko	swag
ginya	swallow
tjhentjha	swap
thukana	swear
umjuluko	sweat
isikipa	sweater
thanyela	sweep
sudu	sweet
ubhudange kamnandi	sweet dreams
ukuthanda izinto ezisudu	sweet tooth
sithandwa	sweetheart
ukuvuvuka	swell
ukuvuvuka	swelling
duda	swim
ukududa	swimming
jinka	swing
ukujinka	swing
ukukhanyisa	switch
khanyisa	switch
vuvukile	swollen
isabula	sword
itshwayo	symbol
izwelo	sympathy
amatshwayo	symptoms
ihlelo	system
itafula	table
ukuzama	tackle
ukumaka	tag
umsila	tail
thatha	take
thatha ukhambe	take away
tlhogomela	take care
thoma	take off
thethe	taken
khuluma	talk
ukukhuluma	talk
khulumako	talkative
dege	tall
pompa	tap
ipompi	tap
itheyibhu	tape
ukuqothelwa	target
qothela	target
umsebenzi	task
nambitha	taste
umnambitho	taste
nambithekako	tasty
fundisiwe	taught
itiye	tea
fundisa	teach
umfundisi	teacher
isiqhema	team
dabula	tear
iinyembezi	tears
rhuga	tease
ithekhnoloji	technology
amazinyo	teeth
tjela	tell
ngitjela	tell me
ilaka	temper
izinga lokutjhisa	temperature
ithempeli	temple
kwesikhatjhana	temporary
itjhumi	ten
iinkulungwana ezilitjhumi	ten thousand
umqatjhi	tenant
vane	tend
umkhuba	tendency
ithenda	tender
isikhathi	tense
ukutjhuba komoya	tension
itende	tent
okungaba ngikho	tentative
ithemu	term
imibandela	terms
kumbi	terrible
kuhle khulu	terrific
isifunda	territory
hlahluba	test
isihlahlubo	test
itheksti	text
kuna	than
thokoza	thank
ngiyathokoza	thank you
Ngiyathokoza ngokuzithoba kwakho	Thank you for your patience while we investigate shipment
ngithokoza khulu	thank you so much
ngithokoza khulu	thank you very much
ngiyathokoza	thanks
Siyathokoza ukobana usebenzise i-ep yethu	Thanks for using our app
lokho	that
ngilokhu	that is
kuhle	that's good
i	the
ukweba	theft
kwabo	their
bona	them
ummongo	theme
bona	themselves
yeke	then
ithiyori	theory
lapha	there
kuna	there are
kune	there is
ngakhoke	therefore
lokhu	these
bona	they
ba	they are
dege	thick
isilelesi	thief
igoji	thigh
matsikana	thin
into	thing
izinto	things
cabanga	think
kwesithathu	third
ukoma	thirsty
itjhumi nantathu	thirteen
amatjhumi amathathu	thirty
lokhu	this
lokhu yi	this is
mbala	thorough
ngamandla	thoroughly
labo	those
nanyana	though
ocabangelako	thoughtful
imibono	thoughts
ikulungwana	thousand
irhara	thread
ingozi	threat
sabisa	threaten
kuthathu	three
ubungeno	threshold
ukuthaba	thrilled
zama	thrive
umphimbo	throat
dlulako	through
koke	throughout
phosa	throw
uthubhakghuru	thumb
amawuruwuru	thunder
Lesine	Thursday
ngikho	thus
tshwaya	tick
bopha	tide
hlanzekileko	tidy
bopha	tie
ukubopha	tie
ingwe	tiger
qinileko	tight
isiTigrinya	Tigrinya
isikhathi	time
ukuba nevalo	timid
ncani khulu	tiny
isiyeleliso	tip
iiyeleliso	tips
itayere	tire
diniwe	tired
ithitjhu	tissue
ithayitlela	title
ku	to
ithowusti	toast
namhlanjesi	today
umntwana omncani	toddler
amazwani	toes
sisoke	together
indlwana yangasese	toilet
tjele	told
ukubekezela	tolerance
bekezela	tolerate
itamati	tomato
kusasa	tomorrow
ilimi	tongue
ebusuku	tonight
ngokudlulisa	too
thethe	took
isisetjenziswa	tool
iinsetjenziswa	tools
izinyo	tooth
phezulu	top
isihloko	topic
dabuka	torn
tlhorisa	torture
inani loke	total
thinta	touch
qinileko	tough
ikhambo	tour
ngaku	toward
nakusondele	towards
ithawula	towel
idorobho	town
yimbi	toxic
landela umkhondo	trace
umkhondo	track
rhweba	trade
irhwebo	trade
isiko	tradition
kwendabuko	traditional
itrafiki	traffic
umkhondo	trail
isitimela	train
ibandulo	training
umkhuba	trait
imikhondo	traits
dlulisela	transfer
ukutjhuguluka	transition
tjhugulula	translate
tjhatjhalazi	transparent
isithuthi	transport
ukuthutha	transportation
thiya	trap
iinsila	trash
ukutlhoriseka	trauma
khamba	travel
ithreyi	tray
igugu	treasure
phatha	treat
ipatho	treatment
umuthi	tree
ngokudluleleko	tremendous
umukghwa	trend
ukugwetjwa	trial
iqhinga	trick
zama	tried
ukususa	trigger
susa	trigger
qunta	trim
ikhambo	trip
ingozi	trouble
amabhrugu	trousers
ithraga	truck
LIQINISO	true
umzimba	trunk
ukuthembeka	trust
themba	trust
iqiniso	truth
zama	try
isiTsonga	Tsonga
itjhubhu	tube
ngeLesibili	Tuesday
ifundo	tuition
igaligune	turkey
itjhumeriki	turmeric
jika	turn
ikghuru yelwandle	turtle
umfundisi	tutor
itjhumi nambili	twelve
amatjhumi amabili	twenty
amatjhumi amabili nanye	twenty-one
isiTwi	Twi
kabili	twice
ukusonga	twist
kubili	two
umhlobo	type
yomhlobo	typical
mbi	ugly
ekugcineni	ultimate
isambreli	umbrella
ngakghoniko	unable
umalume	uncle
tsirimezeka	unconscious
ngaphasi	under
ngaphasi	underneath
okungaphasi	underrated
zwisisa	understand
zwisisa	understood
ngebhadi	unfortunately
ijinifomu	uniform
khethekileko	unique
iyunidi	unit
iyunivesithi	university
ngaziwako	unknown
ngaphandle kokuthi	unless
bekube	until
ngakajayeleki	unusual
phezulu	up
kuphuma kuwe	up to you
khwezelela	update
ukukhwezelela	update
khuphula	upgrade
ukukhuphula	upgrade
kwesinye	upon
dana	upset
edorobheni	urban
tjhisakala	urge
itjisakalo	urge
msinya	urgent
thina	us
ukusebenzisa	use
sebenzisa	use
sebenzileko	used
lisizo	useful
nganamsebenzi	useless
jayelekileko	usual
vamileko	usually
ukusebenziseka	utility
iholideyi	vacation
umjovo	vaccination
umjovo	vaccine
ilize lelize	vacuum
ngazwakaliko	vague
isemthethweni	valid
umbundu	valley
okuligugu	valuable
siza	value
ukusiza	value
imihlobohlobo	variety
okuhlukahlukeneko	various
hluka	vary
ivasi	vase
inengi	vast
umrorho	vegetable
imirorho	vegetables
isithuthi	vehicle
umthengisi	vendor
itjhefu	venom
ukuthoma	venture
indawo	venue
qinisekisa	verify
ehlukahlukeneko	versatile
umhlobo	version
thwi	vertical
khulu	very
kuhle khulu	very good
isikepe	vessel
ukuya	via
ubujamo	vibe
okwenzekako	vibes
bukhali	vicious
ungazimbi	victim
ividiyo	video
umbono	view
isigodi	village
isigebengu	villain
iviniga	vinegar
kwakade	vintage
inturhu	violence
inturhu	violent
ingogwana	viral
ngakathintwa	virgin
ithungelelwano	virtual
ubuhle	virtue
umbono	vision
ivakatjho	visit
vakatjha	visit
ezibonakalako	visual
qakathekileko	vital
bonakalako	vivid
ilwazimagama	vocabulary
iphimbo	voice
isikhala	void
umthamo	volume
ukuzinikela	volunteer
ukuhlanza	vomit
hlanza	vomit
sengozini	vulnerable
umrholo	wage
imirholo	wages
idini	waist
linda	wait
uweyitha	waiter
lindileko	waiting
vuka	wake
vuka	wake up
khamba	walk
ukukhamba	walk
ukukhamba	walking
umthangala	wall
isikhwama	wallet
zulazula	wander
ngiza	wanna
funa	want
funwa	wanted
ipi	war
iwodrobho	wardrobe
iwehawusi	warehouse
futhumala	warm
futhumeleko	warm
yelelisa	warn
ukukhalima	warning
isotja	warrior
yabe	was
hlanza	wash
ukona	waste
ona	waste
qala	watch
amanzi	water
ikhabe	watermelon
igagasi	wave
indlela	way
thina	we
si	we are
singakghona	we can
sibaga	weak
ukubogaboga	weakness
umnono	wealth
njingileko	wealthy
mbatha	wear
ukwembatha	wearing
ubujamo bezulu	weather
umtjhado	wedding
ngeLesithathu	Wednesday
umonyana	weed
isangu	weed
iveke	week
ipelaveke	weekend
ubudisi	weight
rarako	weird
siyakwamukela	welcome
ihlalakuhle	welfare
Kuhle	Well
usebenzile	well done
khambile	went
besi	were
etjingalanga	west
manzi	wet
umkhomo	whale
ini	what
alo wena	what about you
wenzani	what are you doing
wenzani njenganje	what are you doing now
wenza ini njenganje	what are you doing right now
wenza ini	what do you do
usebenza kuphi	what do you do for a living
utjho ukuthini	what do you mean
ufuna ini	what do you want
kwenzekeni	what happened
yini	what is
khuyini lokhu	what is this
uyini umsebenzi wakho	what is your job
ungubani ibizo lakho	what is your name
kwenzekani	what's up
ungubani ibizo lakho	what's your name
nanyana yini	whatever
ikoroyi	wheat
ivilo	wheel
nini	when
nanyana ngiyiphi	whenever
kuphi	where
ukuphi	where are you
ubuya kuphi	where are you from
ukuphi njenganje	where are you now
uhlala kuphi	where do you live
kuphi	where is
njengokuthi	whereas
namkha	whether
yiphi	which
lokha	while
hleba	whisper
ifengwana	whistle
mhlophe	white
ngubani	who
ungubani wena	who are you
ngubani	who is
ngubani lo	who is this
koke	whole
ngubani	whom
kabani	whose
kubayini	why
kubayini	why not
ngakalungi	wicked
banzi	wide
umfelokazi	widow
ububanzi	width
ukosikazi	wife
kwemmangweni	wild
isifiso	will
-ngizaku	will
ukufuna	willing
thumba	win
ummoya	wind
ifesdere	window
kunommoya	windy
iwayini	wine
ubusika	winter
sula	wipe
idrada	wire
ukuhlakanipha	wisdom
hlakaniphile	wise
isifiso	wish
fisa	wish
sikufisela okuhle kodwa	wish you all the best
umloyi	witch
ne	with
lisa	withdraw
ukulisa	withdrawal
hlangana	within
ngaphandle kwe	without
fakaza	witness
ufakazi	witness
uhlakaniphile	witty
ipisi	wolf
umfazi	woman
abomma	women
thumba	won
ngiyazibuza	wonder
kuhle	wonderful
iinkuni	wood
ivolo	wool
igama	word
amagama	words
umsebenzi	work
sebenza	work
sebenza	work out
ukusebenza	working
iphasi	world
isibungu	worm
embatha	worn
tshwenyeka	worried
tshwenyeka	worry
mbi khulu	worse
ukukhonza	worship
ngokudluleleko	worst
lungele	worth
kuyafaneleka	worth it
faneleko	worthy
ngizoku	would
isilonda	wound
Bababe	Wow
phuthela	wrap
ilaka	wrath
isihlakala	wrist
tlola	write
Tlola lapha	Write here
ukutlola	writing
tlolwe	written
ngakalungi	wrong
tlole	wrote
ijarada	yard
ukuzamula	yawn
zamula	yawn
Iye	Yeah
umnyaka	year
iminyaka	years
isibiliso	yeast
ukurasa	yell
sarulani	yellow
Iye	Yes
iye mntwana	yes baby
iye sithandwa	yes dear
iye sithandwa	yes honey
iye sithandwa sami	yes my love
iye kunjalo	yes of course
izolo	yesterday
ukube	yet
lisa	yield
wena	you
ungu	you are
wena umuhle	you are beautiful
umuhle khulu	you are so beautiful
ngiyathokoza	you are welcome
ungenza	you can
Uyazi	You know
nawe	you too
wamukelekile	you're welcome
sesemutjha	young
yakho	your
wamukelekile	your welcome
wena ngokwakho	yourself
itja	youth
ngiyathokoza	you’re welcome
mnandi	yummy
iziro	zero
